シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			海都を騒がす毒の果実							
今、故郷では備蓄してある食料でどうにか凌いでいるわ。だから、一刻もはやく祭器を取り戻したい……育ち盛りの弟妹たちが、お腹を空かせる前にね。			今、故郷では備蓄してある食料でどうにか凌いでいるわ。だから、一刻もはやく祭器を取り戻したい……育ち盛りの弟妹たちが、お腹を空かせる前にね。			毒と暮らす人々							
あの赤髪の少年みたいに、集落のみんなに安心してもらいたいから、がんばらないと！			あの赤髪の少年みたいに、集落のみんなに安心してもらいたいから、がんばらないと！			毒と暮らす人々							
アナタに自分のことや一族のことを話していたら、なんだか元気が戻ってきたわ！			アナタに自分のことや一族のことを話していたら、なんだか元気が戻ってきたわ！			毒と暮らす人々							
長くなっちゃったけど、話につきあってくれてありがとう。そろそろ「リムサ・ロミンサ」に引き揚げましょうか。			長くなっちゃったけど、話につきあってくれてありがとう。そろそろ「リムサ・ロミンサ」に引き揚げましょうか。			毒と暮らす人々							
さて……！気を取り直して、これからどう動くべきか考えるとしましょう。			さて……！気を取り直して、これからどう動くべきか考えるとしましょう。			毒と暮らす人々							
よう、あんたら！			よう、あんたら！			毒と暮らす人々							
あら、また会えて嬉しいわ。ふたりとも、リムサ・ロミンサに来てたのね。			あら、また会えて嬉しいわ。ふたりとも、リムサ・ロミンサに来てたのね。			毒と暮らす人々							
ちっと買い出しにな！そしたら、あんたらを見かけたもんで挨拶しようと思ってよ。			ちっと買い出しにな！そしたら、あんたらを見かけたもんで挨拶しようと思ってよ。			毒と暮らす人々							
魔法人形に襲われたときは世話になったな。おかげさんで、護衛の依頼も無事に果たすことができたぜ。			魔法人形に襲われたときは世話になったな。おかげさんで、護衛の依頼も無事に果たすことができたぜ。			毒と暮らす人々							
あのときの醜態を思い出すと気が遠くなるが……駆けつけてくれたことには、心から感謝してる。			あのときの醜態を思い出すと気が遠くなるが……駆けつけてくれたことには、心から感謝してる。			毒と暮らす人々							
そういえば、ふたりは、エルレットとココノワを追ってきたと言っていたよな。			そういえば、ふたりは、エルレットとココノワを追ってきたと言っていたよな。			毒と暮らす人々							
ええ、そうなの。部族の宝を彼女たちに盗られてしまったから、それを取り戻すために追っているのよ。			ええ、そうなの。部族の宝を彼女たちに盗られてしまったから、それを取り戻すために追っているのよ。			毒と暮らす人々							
へぇ、そんな事情があったのか。あれっきり、エールポートでは見かけてねぇんだよなぁ……似たような事件も、起きたって話は聞かないしよ。			へぇ、そんな事情があったのか。あれっきり、エールポートでは見かけてねぇんだよなぁ……似たような事件も、起きたって話は聞かないしよ。			毒と暮らす人々							
ま、俺たちも連中を野放しにしとくのは我慢ならねぇし、もし足取りがつかめたら、あんたらに連絡するぜ。世話になった分、恩返しはしねぇと。			ま、俺たちも連中を野放しにしとくのは我慢ならねぇし、もし足取りがつかめたら、あんたらに連絡するぜ。世話になった分、恩返しはしねぇと。			毒と暮らす人々							
ありがとう、そう言ってもらえると助かるわ！ワタシはここを拠点にしているから、どうかよろしくね。			ありがとう、そう言ってもらえると助かるわ！ワタシはここを拠点にしているから、どうかよろしくね。			毒と暮らす人々							
今回はエルレットたちを見つけられなかったけど、アナタとゆっくり話せたし、協力者も増えてよかったわ。			今回はエルレットたちを見つけられなかったけど、アナタとゆっくり話せたし、協力者も増えてよかったわ。			毒と暮らす人々							
彼らと連絡を取り合いつつ、引き続き行方を探ってみるから、折を見て、また声をかけてちょうだいね！			彼らと連絡を取り合いつつ、引き続き行方を探ってみるから、折を見て、また声をかけてちょうだいね！			毒と暮らす人々							
八分儀広場南のローシュカナは、冒険者の来訪を待っていたようだ。			八分儀広場南のローシュカナは、冒険者の来訪を待っていたようだ。			毒を消す者、耐える者							
ローシュカナと話した。駆け出し冒険者のウィスルムとゼリグが、エルレットたちを探りに行ったという。あとを追うため、西ラノシアのエールポートで「ローシュカナ」と話そう。			ローシュカナと話した。駆け出し冒険者のウィスルムとゼリグが、エルレットたちを探りに行ったという。あとを追うため、西ラノシアのエールポートで「ローシュカナ」と話そう。			毒を消す者、耐える者							
ローシュカナたちと話した。ウィスルムとゼリグによると、エルレットたちはブロンズレイクを渡ろうとしていたようだ。彼女たちが向かったと思われる高地ラノシアのキャンプ・ブロンズレイクで「ローシュカナ」と話そう。			ローシュカナたちと話した。ウィスルムとゼリグによると、エルレットたちはブロンズレイクを渡ろうとしていたようだ。彼女たちが向かったと思われる高地ラノシアのキャンプ・ブロンズレイクで「ローシュカナ」と話そう。			毒を消す者、耐える者							
ローシュカナたちと話した。エルレットたちによって温泉に毒が付与されて騒動になったが、どうにか落ち着きを取り戻したようだ。キャンプ・ブロンズレイクを見回り、「幻覚に惑わされている人々」に「エスナ」をかけよう。			ローシュカナたちと話した。エルレットたちによって温泉に毒が付与されて騒動になったが、どうにか落ち着きを取り戻したようだ。キャンプ・ブロンズレイクを見回り、「幻覚に惑わされている人々」に「エスナ」をかけよう。			毒を消す者、耐える者							
幻覚に惑わされている人々にエスナをかけた。キャンプ・ブロンズレイクの「ローシュカナ」と話そう。			幻覚に惑わされている人々にエスナをかけた。キャンプ・ブロンズレイクの「ローシュカナ」と話そう。			毒を消す者、耐える者							
ローシュカナと話した。リムサ・ロミンサへ戻り、「ローシュカナ」と話そう。			ローシュカナと話した。リムサ・ロミンサへ戻り、「ローシュカナ」と話そう。			毒を消す者、耐える者							
ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが98以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが98以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			毒を消す者、耐える者							
エールポートのローシュカナと話す			エールポートのローシュカナと話す			毒を消す者、耐える者							
キャンプ・ブロンズレイクのローシュカナと話す			キャンプ・ブロンズレイクのローシュカナと話す			毒を消す者、耐える者							
幻覚に惑わされている人々にエスナをする			幻覚に惑わされている人々にエスナをする			毒を消す者、耐える者							
ローシュカナと話す			ローシュカナと話す			毒を消す者、耐える者							
リムサ・ロミンサのローシュカナと話す			リムサ・ロミンサのローシュカナと話す			毒を消す者、耐える者							
ああ、ちょうどいいところに来てくれたわ！			ああ、ちょうどいいところに来てくれたわ！			毒を消す者、耐える者							
実はね、協力を申し出てくれた駆け出し冒険者のふたり……ウィスルムとゼリグから、連絡があったの。			実はね、協力を申し出てくれた駆け出し冒険者のふたり……ウィスルムとゼリグから、連絡があったの。			毒を消す者、耐える者							
なんでも、エルレットたちの目撃情報が入ったみたいで、今、高地ラノシアへ探りに向かってくれてるわ。ワタシも行くと言ったんだけど、ここは任せろって……。			なんでも、エルレットたちの目撃情報が入ったみたいで、今、高地ラノシアへ探りに向かってくれてるわ。ワタシも行くと言ったんだけど、ここは任せろって……。			毒を消す者、耐える者							
がんばって情報を持ち帰るから、「エールポート」で落ち合おうと言われてね。ひとまず、向かってみましょう。			がんばって情報を持ち帰るから、「エールポート」で落ち合おうと言われてね。ひとまず、向かってみましょう。			毒を消す者、耐える者							
アナタを待っているあいだに軽く見て回ってみたけど、ウィスルムとゼリグは、まだ戻っていないみたい。			アナタを待っているあいだに軽く見て回ってみたけど、ウィスルムとゼリグは、まだ戻っていないみたい。			毒を消す者、耐える者							
やっぱり、ワタシたちも追いかけた方がよさそうね……。ここから高地ラノシア方面に向かってみましょう。			やっぱり、ワタシたちも追いかけた方がよさそうね……。ここから高地ラノシア方面に向かってみましょう。			毒を消す者、耐える者							
よお、あんたら……遅くなって悪ぃな。			よお、あんたら……遅くなって悪ぃな。			毒を消す者、耐える者							
ふたりとも、おかえりなさい！無事でよかった……。			ふたりとも、おかえりなさい！無事でよかった……。			毒を消す者、耐える者							
さっそくで悪いんだけど、エルレットたちの動向について、教えてもらってもいいかしら？			さっそくで悪いんだけど、エルレットたちの動向について、教えてもらってもいいかしら？			毒を消す者、耐える者							
情報のとおり、連中は見つけたぜ。ただ、追跡してる最中にトチっちまってよ……。			情報のとおり、連中は見つけたぜ。ただ、追跡してる最中にトチっちまってよ……。			毒を消す者、耐える者							
奴らが連れている魔法人形に、見つかってしまった。しかも、数がかなり多くて、僕たち程度の力では、到底勝ち目がなくてな。			奴らが連れている魔法人形に、見つかってしまった。しかも、数がかなり多くて、僕たち程度の力では、到底勝ち目がなくてな。			毒を消す者、耐える者							
で、情けねぇことに敗走してきたわけだが……奴らがブロンズレイクを渡ろうとしてるのはわかったぜ。			で、情けねぇことに敗走してきたわけだが……奴らがブロンズレイクを渡ろうとしてるのはわかったぜ。			毒を消す者、耐える者							
小舟に魔法人形を積み込もうとしてたんだ。となると、今度はキャンプ・ブロンズレイクのあたりで、何かしでかすつもりかもな。			小舟に魔法人形を積み込もうとしてたんだ。となると、今度はキャンプ・ブロンズレイクのあたりで、何かしでかすつもりかもな。			毒を消す者、耐える者							
もちろん、そのまま東ラノシアへ抜ける可能性もある。いずれにせよ、奴らを追いかけるなら、ひとまずキャンプ・ブロンズレイクを目指すのが妥当だろう。			もちろん、そのまま東ラノシアへ抜ける可能性もある。いずれにせよ、奴らを追いかけるなら、ひとまずキャンプ・ブロンズレイクを目指すのが妥当だろう。			毒を消す者、耐える者							
僕たち新米風情では、ここまでが限界みたいだ。決定的な情報がつかめなくてすまない。			僕たち新米風情では、ここまでが限界みたいだ。決定的な情報がつかめなくてすまない。			毒を消す者、耐える者							
そんな、謝らないで。むしろ無茶をさせてしまってごめんなさい。			そんな、謝らないで。むしろ無茶をさせてしまってごめんなさい。			毒を消す者、耐える者							
いやいや、それこそ気にすんなって！あの連中に腹立ててんのは、俺らも同じだからよ。			いやいや、それこそ気にすんなって！あの連中に腹立ててんのは、俺らも同じだからよ。			毒を消す者、耐える者							
ふたりに必要な情報を届けて、彼らに一矢報いることができるなら、それがなによりだ。			ふたりに必要な情報を届けて、彼らに一矢報いることができるなら、それがなによりだ。			毒を消す者、耐える者							
さて、全速力で長距離走って疲れたから、僕たちは少し体を休めてくるよ……。			さて、全速力で長距離走って疲れたから、僕たちは少し体を休めてくるよ……。			毒を消す者、耐える者							
あなたたちが強いのはわかっているが、奴らを追うなら、どうか気をつけて。			あなたたちが強いのはわかっているが、奴らを追うなら、どうか気をつけて。			毒を消す者、耐える者							
たしか「キャンプ・ブロンズレイク」へ行くには、ここから高地ラノシアに出て、湖を渡るのよね？急いで向かうとしましょう。			たしか「キャンプ・ブロンズレイク」へ行くには、ここから高地ラノシアに出て、湖を渡るのよね？急いで向かうとしましょう。			毒を消す者、耐える者							
ここがキャンプ・ブロンズレイクね……。さっそく情報を集めましょうか。			ここがキャンプ・ブロンズレイクね……。さっそく情報を集めましょうか。			毒を消す者、耐える者							
あはははっ！豚の着ぐるみが飛び回って見えるわ～！			あはははっ！豚の着ぐるみが飛び回って見えるわ～！			毒を消す者、耐える者							
だっはははは！はぁ、はぁ、笑い過ぎて苦しくなってきた……！			だっはははは！はぁ、はぁ、笑い過ぎて苦しくなってきた……！			毒を消す者、耐える者							
この笑い声……上のほうからかしら？進んでみましょう！			この笑い声……上のほうからかしら？進んでみましょう！			毒を消す者、耐える者							
アナタ、まさか温泉に毒を……！？			アナタ、まさか温泉に毒を……！？			毒を消す者、耐える者							
そうそう、大正解～！さすがに丸ごと毒水にはできなかったけど、みんな幻覚の毒で笑い転げてて、おもしろいでしょ？			そうそう、大正解～！さすがに丸ごと毒水にはできなかったけど、みんな幻覚の毒で笑い転げてて、おもしろいでしょ？			毒を消す者、耐える者							
Forename、お湯から少し離れておいて。			Forename、お湯から少し離れておいて。			毒を消す者、耐える者							
あっは、お友だちをかばうなんて、お姉さん優しい～！幻覚に惑わされないよう、せいぜい気をつけ……？			あっは、お友だちをかばうなんて、お姉さん優しい～！幻覚に惑わされないよう、せいぜい気をつけ……？			毒を消す者、耐える者							
エルレット、どうかしました？			エルレット、どうかしました？			毒を消す者、耐える者							
ひぃ～～っ！！不気味な人形みたいな顔をしたココノワが見えるんだけどぉ！？			ひぃ～～っ！！不気味な人形みたいな顔をしたココノワが見えるんだけどぉ！？			毒を消す者、耐える者							
ちょっと、何やってるんですか。			ちょっと、何やってるんですか。			毒を消す者、耐える者							
蒸発した毒、吸っちゃったみたい……！あははは、やばい、やばい、おもしろすぎでしょ～！			蒸発した毒、吸っちゃったみたい……！あははは、やばい、やばい、おもしろすぎでしょ～！			毒を消す者、耐える者							
ふふ、ふふふ……！隠れ家まで戻れば、調合しといた解毒薬があるんだけど、持ってくるの、忘れちゃったんだよねぇ！			ふふ、ふふふ……！隠れ家まで戻れば、調合しといた解毒薬があるんだけど、持ってくるの、忘れちゃったんだよねぇ！			毒を消す者、耐える者							
自分のイタズラにひっかかるとか、仕方のない人ですね。これはもう、撤収するしかないか……。			自分のイタズラにひっかかるとか、仕方のない人ですね。これはもう、撤収するしかないか……。			毒を消す者、耐える者							
こんな騒動を起こしておいて、アナタたち、また逃げるつもり！？			こんな騒動を起こしておいて、アナタたち、また逃げるつもり！？			毒を消す者、耐える者							
エルレットがこんな状態ですから。そもそも、僕は戦闘とか苦手なもので……。			エルレットがこんな状態ですから。そもそも、僕は戦闘とか苦手なもので……。			毒を消す者、耐える者							
あ、追いかけてこないでくださいよ？まさか、幻覚を見ている客を放置なんてしませんよね。			あ、追いかけてこないでくださいよ？まさか、幻覚を見ている客を放置なんてしませんよね。			毒を消す者、耐える者							
ふふ、これはまだお試しだし、今度は島全体に毒をばらまいて、イタズラしちゃうもんね～！			ふふ、これはまだお試しだし、今度は島全体に毒をばらまいて、イタズラしちゃうもんね～！			毒を消す者、耐える者							
よかった……。お湯からも毒気がなくなったみたい。			よかった……。お湯からも毒気がなくなったみたい。			毒を消す者、耐える者							
何と言う？			何と言う？			毒を消す者、耐える者							
流れ出た毒はどうなる？			流れ出た毒はどうなる？			毒を消す者、耐える者							
周辺の生物に影響がないといいけど……			周辺の生物に影響がないといいけど……			毒を消す者、耐える者							
仕掛けた毒にエルレット自ら引っかかってくれたから、祭器の使われた時間はとても短かったみたい。おかげで、毒化したお湯の量と毒性も抑えられたわね。			仕掛けた毒にエルレット自ら引っかかってくれたから、祭器の使われた時間はとても短かったみたい。おかげで、毒化したお湯の量と毒性も抑えられたわね。			毒を消す者、耐える者							
それに、キャンプ・ブロンズレイク内を流れるあいだにも、毒は蒸発して薄まるから、すぐに無害化していくわ。煙幕の酷い臭いが次第に消えていくのと、同じようなものよ！			それに、キャンプ・ブロンズレイク内を流れるあいだにも、毒は蒸発して薄まるから、すぐに無害化していくわ。煙幕の酷い臭いが次第に消えていくのと、同じようなものよ！			毒を消す者、耐える者							
でも、本来なら祭器の力で付与した毒は「エスナ」での治療や、何らかの方法で打ち消す必要がある……。無毒化の効果も同様だからこそ、食料に使えるわけだからね。			でも、本来なら祭器の力で付与した毒は「エスナ」での治療や、何らかの方法で打ち消す必要がある……。無毒化の効果も同様だからこそ、食料に使えるわけだからね。			毒を消す者、耐える者							
さて、気になることはいろいろあるけど、まずは、キャンプ・ブロンズレイクを見回ってみましょう。			さて、気になることはいろいろあるけど、まずは、キャンプ・ブロンズレイクを見回ってみましょう。			毒を消す者、耐える者							
ワタシは念のために、お湯の状態をたしかめておくわ。アナタは、幻覚に惑わされている人の手当をお願い。			ワタシは念のために、お湯の状態をたしかめておくわ。アナタは、幻覚に惑わされている人の手当をお願い。			毒を消す者、耐える者							
ここも大丈夫そうね……。			ここも大丈夫そうね……。			毒を消す者、耐える者							
冒険者さん、騒ぎを静めてくださったうえに、治療までしていただけるなんて、本当にありがとうございます。私たちのほうでも、具合の悪い方への対応を進めますね。			冒険者さん、騒ぎを静めてくださったうえに、治療までしていただけるなんて、本当にありがとうございます。私たちのほうでも、具合の悪い方への対応を進めますね。			毒を消す者、耐える者							
まさか、温泉に毒を流される事態になるとは……。今後の対策を検討しなければなりませんね。			まさか、温泉に毒を流される事態になるとは……。今後の対策を検討しなければなりませんね。			毒を消す者、耐える者							
ひぃぃ、もう勘弁してくれ！笑いすぎて、い、息が苦しい……！			ひぃぃ、もう勘弁してくれ！笑いすぎて、い、息が苦しい……！			毒を消す者、耐える者							
温泉の毒によって「幻覚」に惑わされているようだ。「エスナ」を使って治療しよう。			温泉の毒によって「幻覚」に惑わされているようだ。「エスナ」を使って治療しよう。			毒を消す者、耐える者							
はぁ、はぁ……笑いすぎて、つらくなるなんて……。怪我を癒やそうとここまで来たってのに、まさか、こんな騒動に巻き込まれるとは思わなかったよ。			はぁ、はぁ……笑いすぎて、つらくなるなんて……。怪我を癒やそうとここまで来たってのに、まさか、こんな騒動に巻き込まれるとは思わなかったよ。			毒を消す者、耐える者							
悪さをしてた連中、あんたらが追い払ってくれたんだろ？幻覚も治してくれて、本当にありがとな。			悪さをしてた連中、あんたらが追い払ってくれたんだろ？幻覚も治してくれて、本当にありがとな。			毒を消す者、耐える者							
疲れてしまったから、少し温泉から離れて涼んでくるよ。			疲れてしまったから、少し温泉から離れて涼んでくるよ。			毒を消す者、耐える者							
あははは！変な着ぐるみの人が踊り続けてるんですけどー！			あははは！変な着ぐるみの人が踊り続けてるんですけどー！			毒を消す者、耐える者							
温泉の毒によって「幻覚」に惑わされているようだ。「エスナ」を使って治療しよう。			温泉の毒によって「幻覚」に惑わされているようだ。「エスナ」を使って治療しよう。			毒を消す者、耐える者							
あれっ、変な着ぐるみの人が消えた……？ずーっと踊りまくってるから、催しか何かと思ってたけど、そういうわけじゃなかったんですかー。			あれっ、変な着ぐるみの人が消えた……？ずーっと踊りまくってるから、催しか何かと思ってたけど、そういうわけじゃなかったんですかー。			毒を消す者、耐える者							
おもしろい幻だったけど、笑い続けるのも体力使うし、エスナをしてくれて助かりましたー！			おもしろい幻だったけど、笑い続けるのも体力使うし、エスナをしてくれて助かりましたー！			毒を消す者、耐える者							
それじゃ、スパイスワインのおかわりをもらって、気分転換してきますー！			それじゃ、スパイスワインのおかわりをもらって、気分転換してきますー！			毒を消す者、耐える者							
ふふ、ふふふっ！もう笑わせないで、お腹が痛い……！			ふふ、ふふふっ！もう笑わせないで、お腹が痛い……！			毒を消す者、耐える者							
温泉の毒によって「幻覚」に惑わされているようだ。「エスナ」を使って治療しよう。			温泉の毒によって「幻覚」に惑わされているようだ。「エスナ」を使って治療しよう。			毒を消す者、耐える者							
うわぁ、お手数をおかけしました！お湯に浸かってはいなかったんですけど、毒の混じった湯気を吸ってしまったようで……。			うわぁ、お手数をおかけしました！お湯に浸かってはいなかったんですけど、毒の混じった湯気を吸ってしまったようで……。			毒を消す者、耐える者							
ブロンズレイクの周辺を魔法人形がうろついていたと、療養者さんから聞いて気にはしていましたが……。こんな騒ぎになるとは、まいりましたよ。			ブロンズレイクの周辺を魔法人形がうろついていたと、療養者さんから聞いて気にはしていましたが……。こんな騒ぎになるとは、まいりましたよ。			毒を消す者、耐える者							
騒ぎを解決してくださって、ありがとうございました！私も皆さんの様子を見回ってきますね。			騒ぎを解決してくださって、ありがとうございました！私も皆さんの様子を見回ってきますね。			毒を消す者、耐える者							
Forename、そちらはどう？			Forename、そちらはどう？			毒を消す者、耐える者							
幻覚を見ていた人の治療は終わったのね。おつかれさま、こちらも温泉の安全は確認がとれたわ。			幻覚を見ていた人の治療は終わったのね。おつかれさま、こちらも温泉の安全は確認がとれたわ。			毒を消す者、耐える者							
さてと……それじゃあ、さっきの騒動について少し話しましょう。			さてと……それじゃあ、さっきの騒動について少し話しましょう。			毒を消す者、耐える者							
実はワタシ、祭器の力で扱える毒に、幻覚を見せるものがあるなんて知らなかったのよ。普段の狩りで使う、目くらましや麻痺の毒は知ってたけど……。			実はワタシ、祭器の力で扱える毒に、幻覚を見せるものがあるなんて知らなかったのよ。普段の狩りで使う、目くらましや麻痺の毒は知ってたけど……。			毒を消す者、耐える者							
どうやらエルレットは、想像以上に祭器の力を使いこなせてるみたい。			どうやらエルレットは、想像以上に祭器の力を使いこなせてるみたい。			毒を消す者、耐える者							
でも、「無毒化」の力には気づいていないようだったわ。幻覚をあの場で治せたのに、彼女はそうしなかった……きっと、毒を付与することしか頭にないのね。			でも、「無毒化」の力には気づいていないようだったわ。幻覚をあの場で治せたのに、彼女はそうしなかった……きっと、毒を付与することしか頭にないのね。			毒を消す者、耐える者							
それと、気になったことがあったんだけど……。エルレットは幻覚を見ていたのに、彼女の近くにいたココノワは、平気そうにしてたわ。			それと、気になったことがあったんだけど……。エルレットは幻覚を見ていたのに、彼女の近くにいたココノワは、平気そうにしてたわ。			毒を消す者、耐える者							
リムサ・ロミンサでのことを思い出してほしいんだけど、彼、毒が付与されている果物を齧ってみせているのよ……。どうして毒が効かないのか、何か心当たりはないかしら？			リムサ・ロミンサでのことを思い出してほしいんだけど、彼、毒が付与されている果物を齧ってみせているのよ……。どうして毒が効かないのか、何か心当たりはないかしら？			毒を消す者、耐える者							
何と言う？			何と言う？			毒を消す者、耐える者							
ウルダハの女王は、毒を盛られたが無事だった			ウルダハの女王は、毒を盛られたが無事だった			毒を消す者、耐える者							
習慣的に服毒して毒耐性をつける人々がいる			習慣的に服毒して毒耐性をつける人々がいる			毒を消す者、耐える者							
女王様に昏睡毒って、穏やかじゃない話……。でも、デューンフォークの伝統的な暮らしを通じて、毒に耐性があったおかげで、目覚めることができたのね。			女王様に昏睡毒って、穏やかじゃない話……。でも、デューンフォークの伝統的な暮らしを通じて、毒に耐性があったおかげで、目覚めることができたのね。			毒を消す者、耐える者							
習慣的に服毒……！？そのデューンフォークの人たちは、伝統的な暮らしを通じて、毒に耐性をつけてきたのね。			習慣的に服毒……！？そのデューンフォークの人たちは、伝統的な暮らしを通じて、毒に耐性をつけてきたのね。			毒を消す者、耐える者							
ワタシにはココノワがデューンフォークかわからなかったけど、アナタが見たかぎりでは、そうだったと……。だったら、毒に耐性があるのも納得だわ。			ワタシにはココノワがデューンフォークかわからなかったけど、アナタが見たかぎりでは、そうだったと……。だったら、毒に耐性があるのも納得だわ。			毒を消す者、耐える者							
それにしても、あえて微毒を口にして耐性をつけるなんて、無毒化で対策を講じてきたワタシの部族とは正反対。そういう毒との付き合い方もあるのね……。			それにしても、あえて微毒を口にして耐性をつけるなんて、無毒化で対策を講じてきたワタシの部族とは正反対。そういう毒との付き合い方もあるのね……。			毒を消す者、耐える者							
さて、ここの騒動も落ち着いたことだし、ひとまず「リムサ・ロミンサ」へ戻りましょうか。			さて、ここの騒動も落ち着いたことだし、ひとまず「リムサ・ロミンサ」へ戻りましょうか。			毒を消す者、耐える者							
Forename、アナタがいてくれたおかげで、温泉でみんなを助けられたわ。同行してくれて、本当にありがとう。			Forename、アナタがいてくれたおかげで、温泉でみんなを助けられたわ。同行してくれて、本当にありがとう。			毒を消す者、耐える者							
けど、エルレットの残した言葉に不安があるわね。島全体に毒をばらまくと言ってたから……。			けど、エルレットの残した言葉に不安があるわね。島全体に毒をばらまくと言ってたから……。			毒を消す者、耐える者							
毒を扱う力を本気で悪用したら、多くの死者が出かねない。彼女の「イタズラ」は影響がどんどん大きくなってるから、なんとしてでも、祭器を取り戻さないと。			毒を扱う力を本気で悪用したら、多くの死者が出かねない。彼女の「イタズラ」は影響がどんどん大きくなってるから、なんとしてでも、祭器を取り戻さないと。			毒を消す者、耐える者							
今回情報をくれたウィスルムとゼリグに差し入れをしつつ、ワタシのほうで、エルレットたちの動向を探っておくわ。			今回情報をくれたウィスルムとゼリグに差し入れをしつつ、ワタシのほうで、エルレットたちの動向を探っておくわ。			毒を消す者、耐える者							
八分儀広場南のローシュカナは、次の目的地を定めたようだ。			八分儀広場南のローシュカナは、次の目的地を定めたようだ。			贈り物には毒を込めて							
ローシュカナと話した。彼女は、これまでのエルレットたちの動向を踏まえて、次は東ラノシアを探りたいという。東ラノシアのコスタ・デル・ソルで「ローシュカナ」と話そう。			ローシュカナと話した。彼女は、これまでのエルレットたちの動向を踏まえて、次は東ラノシアを探りたいという。東ラノシアのコスタ・デル・ソルで「ローシュカナ」と話そう。			贈り物には毒を込めて							
ローシュカナたちと話した。ヴェイスケートの情報によると、魔法人形がレインキャッチャー樹林に出没しているという。調査の打ち合わせをするため、コスタ・デル・ソルで「ローシュカナ」と再度話そう。			ローシュカナたちと話した。ヴェイスケートの情報によると、魔法人形がレインキャッチャー樹林に出没しているという。調査の打ち合わせをするため、コスタ・デル・ソルで「ローシュカナ」と再度話そう。			贈り物には毒を込めて							
ローシュカナと話した。彼女と魔法人形を調べることになった。東ラノシアのレインキャッチャー樹林で「指定地点」から見渡し、現れた魔法人形を倒して手がかりを入手しよう。			ローシュカナと話した。彼女と魔法人形を調べることになった。東ラノシアのレインキャッチャー樹林で「指定地点」から見渡し、現れた魔法人形を倒して手がかりを入手しよう。			贈り物には毒を込めて							
魔法人形を倒し、「河川の調査記録」を手に入れた。レインキャッチャー樹林の「ローシュカナ」に「河川の調査記録」を渡そう。			魔法人形を倒し、「河川の調査記録」を手に入れた。レインキャッチャー樹林の「ローシュカナ」に「河川の調査記録」を渡そう。			贈り物には毒を込めて							
ローシュカナに河川の調査記録を渡した。魔法人形が河川について調べていることが判明したあと、エルレットたちの襲撃を受けた。エルレットは近々とびきりの「イタズラ」をすると言い残し、ココノワとともに姿を消した。レインキャッチャー樹林の「ローシュカナ」と話そう。			ローシュカナに河川の調査記録を渡した。魔法人形が河川について調べていることが判明したあと、エルレットたちの襲撃を受けた。エルレットは近々とびきりの「イタズラ」をすると言い残し、ココノワとともに姿を消した。レインキャッチャー樹林の「ローシュカナ」と話そう。			贈り物には毒を込めて							
ローシュカナと話した。コスタ・デル・ソルで「ローシュカナ」と再度話そう。			ローシュカナと話した。コスタ・デル・ソルで「ローシュカナ」と再度話そう。			贈り物には毒を込めて							
ローシュカナたちと話した。エルレットたちの企みについて、ゲゲルジュとヴェイスケートに情報を共有した。東ラノシアで動きがあれば、連絡をもらえるように約束を取りつけた。リムサ・ロミンサへ戻り、「ローシュカナ」と話そう。			ローシュカナたちと話した。エルレットたちの企みについて、ゲゲルジュとヴェイスケートに情報を共有した。東ラノシアで動きがあれば、連絡をもらえるように約束を取りつけた。リムサ・ロミンサへ戻り、「ローシュカナ」と話そう。			贈り物には毒を込めて							
ローシュカナと話した。エルレットたちの企みを阻止し、祭器を奪還するために、今度こそ決着をつけなければならない。準備を万全に整え、ゲゲルジュたちからの連絡を待とう。※いずれかのHEALERジョブのレベルが100以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			ローシュカナと話した。エルレットたちの企みを阻止し、祭器を奪還するために、今度こそ決着をつけなければならない。準備を万全に整え、ゲゲルジュたちからの連絡を待とう。※いずれかのHEALERジョブのレベルが100以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			贈り物には毒を込めて							
コスタ・デル・ソルのローシュカナと話す			コスタ・デル・ソルのローシュカナと話す			贈り物には毒を込めて							
ローシュカナと再度話す			ローシュカナと再度話す			贈り物には毒を込めて							
指定地点で見渡して現れた魔法人形から手がかりを入手			指定地点で見渡して現れた魔法人形から手がかりを入手			贈り物には毒を込めて							
ローシュカナに「河川の調査記録」を渡す			ローシュカナに「河川の調査記録」を渡す			贈り物には毒を込めて							
ローシュカナと話す			ローシュカナと話す			贈り物には毒を込めて							
ローシュカナと再度話す			ローシュカナと再度話す			贈り物には毒を込めて							
リムサ・ロミンサのローシュカナと話す			リムサ・ロミンサのローシュカナと話す			贈り物には毒を込めて							
Forename、来てくれたわね。そろそろ動こうと思ってたところなの。			Forename、来てくれたわね。そろそろ動こうと思ってたところなの。			贈り物には毒を込めて							
