流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			死に鎖された森							
プクア・ピカと話した。精霊の機嫌を直すには、淀みを浄化すればいいようだ。茨の森の上空にいる「プクア・ピカ」と話そう。			プクア・ピカと話した。精霊の機嫌を直すには、淀みを浄化すればいいようだ。茨の森の上空にいる「プクア・ピカ」と話そう。			盟約の証							
プクア・ピカと話し、淀みを発見した。「土の淀み」を浄化しよう。			プクア・ピカと話し、淀みを発見した。「土の淀み」を浄化しよう。			盟約の証							
土の淀みを浄化することができた。「プクア・ピカ」と話そう。			土の淀みを浄化することができた。「プクア・ピカ」と話そう。			盟約の証							
プクア・ピカと話した。淀みの発生を食い止めるには、祈りを込めた苗木を植える必要があるらしい。グリダニアの双蛇党：統合司令部にいる「白蛇の守人」と話そう。			プクア・ピカと話した。淀みの発生を食い止めるには、祈りを込めた苗木を植える必要があるらしい。グリダニアの双蛇党：統合司令部にいる「白蛇の守人」と話そう。			盟約の証							
白蛇の守人と話した。苗木の準備が終われば、プクア・ピカが報せにくるようだ。※いずれかのTANKジョブのレベルが89以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			白蛇の守人と話した。苗木の準備が終われば、プクア・ピカが報せにくるようだ。※いずれかのTANKジョブのレベルが89以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			盟約の証							
碩老樹瞑想窟の白蛇の守人と話す			碩老樹瞑想窟の白蛇の守人と話す			盟約の証							
茨の森のモーグリ族と話す			茨の森のモーグリ族と話す			盟約の証							
プクア・ピカと話す			プクア・ピカと話す			盟約の証							
土の淀みを調べて、淀んだスプライトを倒す			土の淀みを調べて、淀んだスプライトを倒す			盟約の証							
プクア・ピカと話す			プクア・ピカと話す			盟約の証							
双蛇党：統合司令部の白蛇の守人と話す			双蛇党：統合司令部の白蛇の守人と話す			盟約の証							
英雄殿、カヌ・エ様との面会許可が下りました。さっそく、「碩老樹瞑想窟」へ向かいましょう！			英雄殿、カヌ・エ様との面会許可が下りました。さっそく、「碩老樹瞑想窟」へ向かいましょう！			盟約の証							
カヌ・エ様の治療は、一旦終わりました。まもなく、こちらにいらっしゃるかと。			カヌ・エ様の治療は、一旦終わりました。まもなく、こちらにいらっしゃるかと。			盟約の証							
カヌ・エ様、もうよろしいのですか？			カヌ・エ様、もうよろしいのですか？			盟約の証							
はい、ご心配をおかけしましたが、改めて、皆様と行動をともにさせてください。			はい、ご心配をおかけしましたが、改めて、皆様と行動をともにさせてください。			盟約の証							
いいえ、それはいけません。他者との面会が可能になったとはいえ、あなたはまだ無理をできる状態ではありませんよ。			いいえ、それはいけません。他者との面会が可能になったとはいえ、あなたはまだ無理をできる状態ではありませんよ。			盟約の証							
なぜです？			なぜです？			盟約の証							
森の大精霊と対話を試みた際に、激しい拒絶にあったと聞いています。			森の大精霊と対話を試みた際に、激しい拒絶にあったと聞いています。			盟約の証							
大精霊とは、純粋なエーテルに近い存在……。その強き負の感情を身に受ければ、肉体のエーテルに、悪しき影響が及ぶことは、あなたもご存じのはず。			大精霊とは、純粋なエーテルに近い存在……。その強き負の感情を身に受ければ、肉体のエーテルに、悪しき影響が及ぶことは、あなたもご存じのはず。			盟約の証							
し、しかし、グレイプニルが、すぐに行動を再開しない保証はどこにもありません。			し、しかし、グレイプニルが、すぐに行動を再開しない保証はどこにもありません。			盟約の証							
各地で獣に転じる者が増えているとも聞いています。人と精霊との架け橋たる私が、何もせずここに閉じこもっているわけには……！			各地で獣に転じる者が増えているとも聞いています。人と精霊との架け橋たる私が、何もせずここに閉じこもっているわけには……！			盟約の証							
架け橋であればこそ、万全であらねばならぬのです。橋が軋みを上げて揺れ動くようでは、心穏やかに、その上を歩むことなどできないはず。			架け橋であればこそ、万全であらねばならぬのです。橋が軋みを上げて揺れ動くようでは、心穏やかに、その上を歩むことなどできないはず。			盟約の証							
なればこそ、今は無理を通さず、皆を信じて休むことです。			なればこそ、今は無理を通さず、皆を信じて休むことです。			盟約の証							
……わかりました。			……わかりました。			盟約の証							
やみくもに前線に出る前に、今はここでしっかりと対策を練ることにします。			やみくもに前線に出る前に、今はここでしっかりと対策を練ることにします。			盟約の証							
グレイプニルと直接対峙し、あの毒気を浄化するには、大精霊の力が必要不可欠だということを再認識いたしました。			グレイプニルと直接対峙し、あの毒気を浄化するには、大精霊の力が必要不可欠だということを再認識いたしました。			盟約の証							
かつて私たちは、第七霊災の危機に際して、大精霊の力を借りて、天地を貫く防御結界……「六合結界」を張ることで、黒衣森を災いの炎から護りました。			かつて私たちは、第七霊災の危機に際して、大精霊の力を借りて、天地を貫く防御結界……「六合結界」を張ることで、黒衣森を災いの炎から護りました。			盟約の証							
人の治癒魔法では浄化しきれぬ毒気も、大精霊の力を賜ることができれば、抗うことも可能でしょう。			人の治癒魔法では浄化しきれぬ毒気も、大精霊の力を賜ることができれば、抗うことも可能でしょう。			盟約の証							
つまり次にすべきは、森の大精霊との対話を成功させるために、精霊の心の鎮静に注力することだと考えているのです。			つまり次にすべきは、森の大精霊との対話を成功させるために、精霊の心の鎮静に注力することだと考えているのです。			盟約の証							
何と言う？			何と言う？			盟約の証							
まずは話を聞いてもらえないことには……			まずは話を聞いてもらえないことには……			盟約の証							
こちらに敵意がないことを伝えてみては？			こちらに敵意がないことを伝えてみては？			盟約の証							
鎮撫の儀をしてみては？			鎮撫の儀をしてみては？			盟約の証							
たしかに……私たちは偽神獣とは違う、安心して話ができる相手だと、大精霊に認めてもらう必要がありますね。			たしかに……私たちは偽神獣とは違う、安心して話ができる相手だと、大精霊に認めてもらう必要がありますね。			盟約の証							
あなたは、ア・トワ様の想いを継いだ白魔道士として、ラヤ・オやア・ルンとともに、「長老の木」の大精霊を鎮めたことがあったのでしたね。			あなたは、ア・トワ様の想いを継いだ白魔道士として、ラヤ・オやア・ルンとともに、「長老の木」の大精霊を鎮めたことがあったのでしたね。			盟約の証							
あの時は、大精霊が荒ぶるあまり、外敵を排除するため、森が魔物をけしかけてきていましたが、今回はまったく逆で、外敵との接触すら恐れているようです。			あの時は、大精霊が荒ぶるあまり、外敵を排除するため、森が魔物をけしかけてきていましたが、今回はまったく逆で、外敵との接触すら恐れているようです。			盟約の証							
そのため、まずは警戒心を解いてみてはどうでしょうか。たとえば、我々は偽神獣とは違う、安心して心を開いてほしい、というようなやり方です。			そのため、まずは警戒心を解いてみてはどうでしょうか。たとえば、我々は偽神獣とは違う、安心して心を開いてほしい、というようなやり方です。			盟約の証							
問題は、グレイプニルの動きですね。あのとき、やつは大精霊が宿る「長老の木」を狙うかのような、動きを見せていました……。			問題は、グレイプニルの動きですね。あのとき、やつは大精霊が宿る「長老の木」を狙うかのような、動きを見せていました……。			盟約の証							
私もその理由を考えていました。偽神獣の行動は生前の人格や記憶に影響を受けている可能性がある。ラザハンの報告書にはそのような記載があります。			私もその理由を考えていました。偽神獣の行動は生前の人格や記憶に影響を受けている可能性がある。ラザハンの報告書にはそのような記載があります。			盟約の証							
つまり、グレイプニルに転じた人物に、大精霊を狙う何らかの動機があったのやもしれません。問題は、転じた者の身元が明らかになっていないことですが……。			つまり、グレイプニルに転じた人物に、大精霊を狙う何らかの動機があったのやもしれません。問題は、転じた者の身元が明らかになっていないことですが……。			盟約の証							
「超える力」で、グレイプニルの過去を視たのですか！？しかも、子どもの頃の私と一緒にいたと……！？			「超える力」で、グレイプニルの過去を視たのですか！？しかも、子どもの頃の私と一緒にいたと……！？			盟約の証							
カヌ・エ様とともに、私の下で修行をしていた、角尊の少年。ああ……なんということでしょう。			カヌ・エ様とともに、私の下で修行をしていた、角尊の少年。ああ……なんということでしょう。			盟約の証							
エア・スラ・スピン……。まさか、彼がグレイプニルに……？			エア・スラ・スピン……。まさか、彼がグレイプニルに……？			盟約の証							
……どうやら、おふたりにとって、旧知の間柄のご様子。どのような方だったのでしょうか？			……どうやら、おふたりにとって、旧知の間柄のご様子。どのような方だったのでしょうか？			盟約の証							
エア・スラは、私と同じく角尊として生まれた者……。それゆえ、物心つく前に親元から離され、師の下で修行を受けておりました。			エア・スラは、私と同じく角尊として生まれた者……。それゆえ、物心つく前に親元から離され、師の下で修行を受けておりました。			盟約の証							
幼くしてその宿命を受け容れ、森と民の役に立とうとするエア・スラに比べて、私は……あまり良い角尊ではありませんでした。			幼くしてその宿命を受け容れ、森と民の役に立とうとするエア・スラに比べて、私は……あまり良い角尊ではありませんでした。			盟約の証							
そうでした。あなたは、名門センナ家の生まれでありながら、いつも修行に身が入らず、上の空で……。			そうでした。あなたは、名門センナ家の生まれでありながら、いつも修行に身が入らず、上の空で……。			盟約の証							
時折、私の目を盗んでは、この碩老樹瞑想窟を勝手に抜け出して、森に遊びに行っていましたね。			時折、私の目を盗んでは、この碩老樹瞑想窟を勝手に抜け出して、森に遊びに行っていましたね。			盟約の証							
カヌ・エ様にそのような頃があったなんて……信じられません。			カヌ・エ様にそのような頃があったなんて……信じられません。			盟約の証							
あの頃の私には、角尊たる自覚もなく、なぜ街で皆と暮らせないのかと嘆いてばかりおりました。			あの頃の私には、角尊たる自覚もなく、なぜ街で皆と暮らせないのかと嘆いてばかりおりました。			盟約の証							
そんな私を励まし、支えてくれたのがエア・スラでした。彼のおかげで、私は自分の宿命と向き合い、角尊として生きる決意を固めることができたのです。			そんな私を励まし、支えてくれたのがエア・スラでした。彼のおかげで、私は自分の宿命と向き合い、角尊として生きる決意を固めることができたのです。			盟約の証							
しかし、ある日……。師のいいつけで、薬草を採りに出かけたときのことでした。			しかし、ある日……。師のいいつけで、薬草を採りに出かけたときのことでした。			盟約の証							
森の中で、異国より来たと語る巡礼者と出会いました。その者は、身重の妻のために大精霊に祈りを捧げたく、長老の木まで案内してもらえないか、と頼んできました。			森の中で、異国より来たと語る巡礼者と出会いました。その者は、身重の妻のために大精霊に祈りを捧げたく、長老の木まで案内してもらえないか、と頼んできました。			盟約の証							
ですが、かの地はみだりに立ち入っていい場所ではありません。その者の言葉が、どうにも信用できなかったこともあり、私は断りました……。			ですが、かの地はみだりに立ち入っていい場所ではありません。その者の言葉が、どうにも信用できなかったこともあり、私は断りました……。			盟約の証							
ところがエア・スラが、困っている人を見捨てられないと、案内役を買って出たのです。私はすぐに師を呼び、ともに後を追うことにしました。			ところがエア・スラが、困っている人を見捨てられないと、案内役を買って出たのです。私はすぐに師を呼び、ともに後を追うことにしました。			盟約の証							
あのとき、長老の木で目にした光景は忘れられません。大精霊の怒りを受け、息絶えた巡礼の男、その隣で昏倒するエア・スラの姿……。			あのとき、長老の木で目にした光景は忘れられません。大精霊の怒りを受け、息絶えた巡礼の男、その隣で昏倒するエア・スラの姿……。			盟約の証							
後に意識を取り戻したエア・スラから聞いた話では、男は、長老の木に祈りを捧げるどころか、その枝を手に入れようと企む、邪な冒険者だったそうです。			後に意識を取り戻したエア・スラから聞いた話では、男は、長老の木に祈りを捧げるどころか、その枝を手に入れようと企む、邪な冒険者だったそうです。			盟約の証							
エア・スラは、人の善性を信じるあまり、男の心中に潜む、邪悪な声を聞くことができなかったのです。しかし……後悔しても遅すぎました。			エア・スラは、人の善性を信じるあまり、男の心中に潜む、邪悪な声を聞くことができなかったのです。しかし……後悔しても遅すぎました。			盟約の証							
害為す者を連れてきたエア・スラは、大精霊より罰を受け、祝福の証たる角を奪われてしまったのです。そんな彼を、私は破門せざるを得ませんでした。			害為す者を連れてきたエア・スラは、大精霊より罰を受け、祝福の証たる角を奪われてしまったのです。そんな彼を、私は破門せざるを得ませんでした。			盟約の証							
……あれから、随分と時が経ちましたが、それでも彼は黒衣森に留まっていたのでしょうか……？			……あれから、随分と時が経ちましたが、それでも彼は黒衣森に留まっていたのでしょうか……？			盟約の証							
彼はひと一倍の努力家で、将来必ず幻術皇となり、森と民の将来を担うんだ、という責任感に溢れていました。			彼はひと一倍の努力家で、将来必ず幻術皇となり、森と民の将来を担うんだ、という責任感に溢れていました。			盟約の証							
その未来が閉ざされた後も……きっと陰から森を見続けていたに違いありません。			その未来が閉ざされた後も……きっと陰から森を見続けていたに違いありません。			盟約の証							
ですが、最近になって彼の身に何かが起こり、グレイプニルに転じてしまった……？			ですが、最近になって彼の身に何かが起こり、グレイプニルに転じてしまった……？			盟約の証							
……そういえば、エア・スラが罰を受けたときは、大精霊の心を鎮めるために、モーグリ族の協力を仰いだのでした。			……そういえば、エア・スラが罰を受けたときは、大精霊の心を鎮めるために、モーグリ族の協力を仰いだのでした。			盟約の証							
モーグリ族は、人よりも古くから森に棲んでいます。彼らの知恵を借りてはどうでしょうか？			モーグリ族は、人よりも古くから森に棲んでいます。彼らの知恵を借りてはどうでしょうか？			盟約の証							
それは良い考えです。			それは良い考えです。			盟約の証							
彼らには、「茨の森」で会えるでしょう。森の危機ですから、きっと皆が協力してくれるはずです。ここを動けない私に代わり、行ってくれませんか？			彼らには、「茨の森」で会えるでしょう。森の危機ですから、きっと皆が協力してくれるはずです。ここを動けない私に代わり、行ってくれませんか？			盟約の証							
万一に備え、カヌ・エ様の傍には私がついておりますので、英雄殿は、モーグリ族の件をよろしくお願いいたします。			万一に備え、カヌ・エ様の傍には私がついておりますので、英雄殿は、モーグリ族の件をよろしくお願いいたします。			盟約の証							
モーグリ族には「茨の森」で会えるでしょう。大精霊を鎮める方法を知っていると良いのですが……。			モーグリ族には「茨の森」で会えるでしょう。大精霊を鎮める方法を知っていると良いのですが……。			盟約の証							
モグたちは今、忙しいクポ！怪我したくなかったら、ひっこんでろクポッ！			モグたちは今、忙しいクポ！怪我したくなかったら、ひっこんでろクポッ！			盟約の証							
あれ、その面白いカオ……。ひょっとして、モーグリ家臣団を叩きのめした、Forenameクポ～？			あれ、その面白いカオ……。ひょっとして、モーグリ家臣団を叩きのめした、Forenameクポ～？			盟約の証							
その節はお世話になったクポ。モグの名前は、プクア・ピカ……いったい何の用クポ？			その節はお世話になったクポ。モグの名前は、プクア・ピカ……いったい何の用クポ？			盟約の証							
森の精霊を鎮める方法クポ～？ちょうどモグたちもその話をしていたクポ！			森の精霊を鎮める方法クポ～？ちょうどモグたちもその話をしていたクポ！			盟約の証							
大きな角の魔物が森に現れてからというもの、精霊たちがアワアワしちゃって、そりゃもう大変クポ……！			大きな角の魔物が森に現れてからというもの、精霊たちがアワアワしちゃって、そりゃもう大変クポ……！			盟約の証							
森の各地には、魔力の淀みがポンポカ湧き出して、ますます精霊たちの機嫌も悪くなるし……			森の各地には、魔力の淀みがポンポカ湧き出して、ますます精霊たちの機嫌も悪くなるし……			盟約の証							
そしたらラヤ・オからも、精霊の機嫌を直すために、力を貸してほしいってお願いされちゃったから、モグたちで、淀みを浄化しようとしていたところクポ！			そしたらラヤ・オからも、精霊の機嫌を直すために、力を貸してほしいってお願いされちゃったから、モグたちで、淀みを浄化しようとしていたところクポ！			盟約の証							
あんときゃ、世話になったクポ！モグは「モーグリ家臣団」のクプディ・クープ！			あんときゃ、世話になったクポ！モグは「モーグリ家臣団」のクプディ・クープ！			盟約の証							
大丈夫、モグは正気クポ……！ラヤ・オたちからテンパードの治療を受け、善王様を召喚したのが、間違いだったとわかったクポ。			大丈夫、モグは正気クポ……！ラヤ・オたちからテンパードの治療を受け、善王様を召喚したのが、間違いだったとわかったクポ。			盟約の証							
そんなわけで、精霊たちの気を鎮めるため、みんなで手分けして、淀みを浄化するところだったクポ！			そんなわけで、精霊たちの気を鎮めるため、みんなで手分けして、淀みを浄化するところだったクポ！			盟約の証							
よかったら、キミもモグといっしょに、淀み探しを手伝ってほしいクポ！			よかったら、キミもモグといっしょに、淀み探しを手伝ってほしいクポ！			盟約の証							
ありがとクポ～！それじゃ、「高いところ」に行って、周辺を見渡すクポ～！			ありがとクポ～！それじゃ、「高いところ」に行って、周辺を見渡すクポ～！			盟約の証							
あ、ちゃんと来られたみたいでよかったクポ。キミたちには羽根がないこと忘れてたクポ～。			あ、ちゃんと来られたみたいでよかったクポ。キミたちには羽根がないこと忘れてたクポ～。			盟約の証							
さて……淀みはどこクポ～？			さて……淀みはどこクポ～？			盟約の証							
あ、ここから南に見つけたクポ～！すぐに向かって、浄化するクポ！			あ、ここから南に見つけたクポ～！すぐに向かって、浄化するクポ！			盟約の証							
草木がカリカリクポ……。淀みを浄化すれば、きっと大精霊のゴキゲンも直るはずクポ！			草木がカリカリクポ……。淀みを浄化すれば、きっと大精霊のゴキゲンも直るはずクポ！			盟約の証							
さすがForenameクポ！これで浄化は完了クポ～。			さすがForenameクポ！これで浄化は完了クポ～。			盟約の証							
ほかのみんなも頑張ってくれてるから、きっとすぐに大精霊もゴキゲンになるはずクポ～！			ほかのみんなも頑張ってくれてるから、きっとすぐに大精霊もゴキゲンになるはずクポ～！			盟約の証							
あ、クプディ・クープ、そっちの方も終わったクポ～？			あ、クプディ・クープ、そっちの方も終わったクポ～？			盟約の証							
淀みの浄化はできたけど……ダメクポ。浄化したそばから、新しい淀みが次々に湧きやがるクポ。			淀みの浄化はできたけど……ダメクポ。浄化したそばから、新しい淀みが次々に湧きやがるクポ。			盟約の証							
きっと森の自己治癒力が弱まってるせいで、治したそばから病気になっているクポ。これじゃ埒が明かないクポーッ！			きっと森の自己治癒力が弱まってるせいで、治したそばから病気になっているクポ。これじゃ埒が明かないクポーッ！			盟約の証							
え～、それはまずいクポ～！いったいどうすればいいクポ～？			え～、それはまずいクポ～！いったいどうすればいいクポ～？			盟約の証							
このまま淀みの浄化は続けつつ、それと並行して、森の生命力を回復させていく必要がありそうクポ。			このまま淀みの浄化は続けつつ、それと並行して、森の生命力を回復させていく必要がありそうクポ。			盟約の証							
森の生命力を回復～？それってどうやるクポ？			森の生命力を回復～？それってどうやるクポ？			盟約の証							
う～ん、それはだな……。			う～ん、それはだな……。			盟約の証							
閃いたクポッ！「トモダチの儀式」をすればいいクポーッ！			閃いたクポッ！「トモダチの儀式」をすればいいクポーッ！			盟約の証							
ト、トモダチの儀式って何クポ？初めて聞く言葉クポよ～。			ト、トモダチの儀式って何クポ？初めて聞く言葉クポよ～。			盟約の証							
儀式の名前は、今、オレが適当に考えただけだから、気にするなクポ……。			儀式の名前は、今、オレが適当に考えただけだから、気にするなクポ……。			盟約の証							
とにかく、すご～く昔に行われた儀式クポ。あれは、まだ黒衣森に、グリダニアという国が、できる前のことだったクポ……。			とにかく、すご～く昔に行われた儀式クポ。あれは、まだ黒衣森に、グリダニアという国が、できる前のことだったクポ……。			盟約の証							
森の中に街を作って住みたいと考えたヒトたちが、精霊と交渉をしたことがあったクポ。			森の中に街を作って住みたいと考えたヒトたちが、精霊と交渉をしたことがあったクポ。			盟約の証							
そのとき、とある魔道士が、精霊のゴキゲンを取るために、森を蝕む淀みを浄化した後、その場所に、祈りを込めた苗木を植えたクポ。			そのとき、とある魔道士が、精霊のゴキゲンを取るために、森を蝕む淀みを浄化した後、その場所に、祈りを込めた苗木を植えたクポ。			盟約の証							
ヒトの誠意を受け取った精霊は、彼らが森に住むことを許しただけでなく、盟約の証として「祝福」を与えたと言われているクポ！			ヒトの誠意を受け取った精霊は、彼らが森に住むことを許しただけでなく、盟約の証として「祝福」を与えたと言われているクポ！			盟約の証							
その話なら聞いたことあるクポ～！たしか、今でも街を発展させるために森を切り拓くときは、必ず代わりの植樹をして、緑を減らさないようにしてるクポ。			その話なら聞いたことあるクポ～！たしか、今でも街を発展させるために森を切り拓くときは、必ず代わりの植樹をして、緑を減らさないようにしてるクポ。			盟約の証							
ということは……森の怪我を治しながら、新たな樹を増やして、森をにぎやかにすればいい、ってことクポね～！？			ということは……森の怪我を治しながら、新たな樹を増やして、森をにぎやかにすればいい、ってことクポね～！？			盟約の証							
そういうことクポ！			そういうことクポ！			盟約の証							
ついでに教えておくと、今の話に出てきた、とある魔道士っていうのが、最初の角尊イ・オク・ポタの父、ヨリンなんだクポ。			ついでに教えておくと、今の話に出てきた、とある魔道士っていうのが、最初の角尊イ・オク・ポタの父、ヨリンなんだクポ。			盟約の証							
それ以来、精霊はヨリンと同じヒューラン族にのみ、祝福……つまり「角」を与えて、仲良くしているクポ。それが黒衣森で、彼ら角尊が特別な存在とされる所以クポ～。			それ以来、精霊はヨリンと同じヒューラン族にのみ、祝福……つまり「角」を与えて、仲良くしているクポ。それが黒衣森で、彼ら角尊が特別な存在とされる所以クポ～。			盟約の証							
あれ、どうしたクポ？何か気になることでもあるクポ？			あれ、どうしたクポ？何か気になることでもあるクポ？			盟約の証							
何と言う？			何と言う？			盟約の証							
グレイプニルの正体は、角尊かもしれない			グレイプニルの正体は、角尊かもしれない			盟約の証							
グレイプニルの毒気は、ヒューラン族を死に至らしめる			グレイプニルの毒気は、ヒューラン族を死に至らしめる			盟約の証							
ど、どういうことクポ？詳しく教えてほしいクポ……！			ど、どういうことクポ？詳しく教えてほしいクポ……！			盟約の証							
グレイプニルの正体が、角尊に関係している人かもしれなくて、それに、その毒気が鎖死病に似ているらしいクポ……？			グレイプニルの正体が、角尊に関係している人かもしれなくて、それに、その毒気が鎖死病に似ているらしいクポ……？			盟約の証							
精霊と強い繋がりを持ちながら、その加護に対して、深く絶望して獣になったとしたら……			精霊と強い繋がりを持ちながら、その加護に対して、深く絶望して獣になったとしたら……			盟約の証							
もしかしたら、ヒューラン族だけに死をもたらす鎖死病も、それに似た症状が出るグレイプニルの毒気も、精霊の加護に反応してるのかもクポ！			もしかしたら、ヒューラン族だけに死をもたらす鎖死病も、それに似た症状が出るグレイプニルの毒気も、精霊の加護に反応してるのかもクポ！			盟約の証							
それなら、精霊が怯えてしまうのも無理はないクポ。早く植樹をして、安心させてあげるクポ！			それなら、精霊が怯えてしまうのも無理はないクポ。早く植樹をして、安心させてあげるクポ！			盟約の証							
それじゃ、これからモグたちは、みんなと協力して植樹のための苗木を用意するから、キミは「双蛇党：統合司令部」で待っていてほしいクポ～。			それじゃ、これからモグたちは、みんなと協力して植樹のための苗木を用意するから、キミは「双蛇党：統合司令部」で待っていてほしいクポ～。			盟約の証							
なるほど、ヨリンが行った植樹を再現する、と……。それなら精霊の心を鎮められるかもしれません。やはりモーグリ族の知恵を頼って正解でしたね。			なるほど、ヨリンが行った植樹を再現する、と……。それなら精霊の心を鎮められるかもしれません。やはりモーグリ族の知恵を頼って正解でしたね。			盟約の証							
英雄殿、おかえりなさい！モーグリ族からの情報収集、首尾はいかがでしたか？			英雄殿、おかえりなさい！モーグリ族からの情報収集、首尾はいかがでしたか？			盟約の証							
グリダニア建国にまつわる儀式、ですか。未曾有の国難にあって、これ以上ない秘策ですね！			グリダニア建国にまつわる儀式、ですか。未曾有の国難にあって、これ以上ない秘策ですね！			盟約の証							
モーグリ族が苗木の準備をしている間、私は各地と連係して、獣の討伐に努めます。			モーグリ族が苗木の準備をしている間、私は各地と連係して、獣の討伐に努めます。			盟約の証							
カヌ・エ様もまだ万全ではありません。あなたも、どうかしばしの休息を。			カヌ・エ様もまだ万全ではありません。あなたも、どうかしばしの休息を。			盟約の証							
双蛇党：統合司令部の白蛇の守人は、モーグリ族から報せがくるのを待っているようだ。			双蛇党：統合司令部の白蛇の守人は、モーグリ族から報せがくるのを待っているようだ。			獣の心、精霊の心							
白蛇の守人と話した。苗木はカヌ・エ・センナが祈りを込め、植えることになった。中央森林のグリーンティア択伐地で「風の淀み」を浄化しよう。			白蛇の守人と話した。苗木はカヌ・エ・センナが祈りを込め、植えることになった。中央森林のグリーンティア択伐地で「風の淀み」を浄化しよう。			獣の心、精霊の心							
風の淀みを浄化した。カヌ・エ・センナと話そう。			風の淀みを浄化した。カヌ・エ・センナと話そう。			獣の心、精霊の心							
カヌ・エ・センナと話し、祈りの苗木を植えた。次は南部森林の沈黙の花壇で「水の淀み」を浄化しよう。			カヌ・エ・センナと話し、祈りの苗木を植えた。次は南部森林の沈黙の花壇で「水の淀み」を浄化しよう。			獣の心、精霊の心							
水の淀みを浄化した。カヌ・エ・センナと話そう。			水の淀みを浄化した。カヌ・エ・センナと話そう。			獣の心、精霊の心							
カヌ・エ・センナと話し、祈りの苗木を植えた。北部森林のハーストミルの「カヌ・エ・センナ」と話そう。			カヌ・エ・センナと話し、祈りの苗木を植えた。北部森林のハーストミルの「カヌ・エ・センナ」と話そう。			獣の心、精霊の心							
カヌ・エ・センナと話した。苗木の植樹によって、森の体力を回復し、友愛を示すことができたはずだ。中央森林のエバーシェイドの「カヌ・エ・センナ」と話そう。			カヌ・エ・センナと話した。苗木の植樹によって、森の体力を回復し、友愛を示すことができたはずだ。中央森林のエバーシェイドの「カヌ・エ・センナ」と話そう。			獣の心、精霊の心							
森の大精霊との対話に成功し、長老の木の枝を授かった。これを黒衣森の各所に接ぎ木することで、強力な結界を張ることができるらしい。グリダニアの双蛇党：統合司令部にいる「白蛇の守人」と話そう。			森の大精霊との対話に成功し、長老の木の枝を授かった。これを黒衣森の各所に接ぎ木することで、強力な結界を張ることができるらしい。グリダニアの双蛇党：統合司令部にいる「白蛇の守人」と話そう。			獣の心、精霊の心							
白蛇の守人と話した。森を護るため、人々の心がひとつになろうとしている。結界の準備が整えば、遂にグレイプニルと決着をつけるときだ。決戦に向けて、準備をしておこう。※いずれかのTANKジョブのレベルが90以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			白蛇の守人と話した。森を護るため、人々の心がひとつになろうとしている。結界の準備が整えば、遂にグレイプニルと決着をつけるときだ。決戦に向けて、準備をしておこう。※いずれかのTANKジョブのレベルが90以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			獣の心、精霊の心							
グリーンティア択伐地の風の淀みを調べて淀んだスプライトを倒す			グリーンティア択伐地の風の淀みを調べて淀んだスプライトを倒す			獣の心、精霊の心							
カヌ・エ・センナと話す			カヌ・エ・センナと話す			獣の心、精霊の心							
沈黙の花壇の水の淀みを調べて淀んだスプライトを倒す			沈黙の花壇の水の淀みを調べて淀んだスプライトを倒す			獣の心、精霊の心							
カヌ・エ・センナと話す			カヌ・エ・センナと話す			獣の心、精霊の心							
ハーストミルのカヌ・エ・センナと話す			ハーストミルのカヌ・エ・センナと話す			獣の心、精霊の心							
エバーシェイドのカヌ・エ・センナと話す			エバーシェイドのカヌ・エ・センナと話す			獣の心、精霊の心							
双蛇党：統合司令部の白蛇の守人と話す			双蛇党：統合司令部の白蛇の守人と話す			獣の心、精霊の心							
グレイプニルは、先日の襲撃以来、身を潜めているようです。この隙に、大精霊との対話を行えれば良いのですが……。			グレイプニルは、先日の襲撃以来、身を潜めているようです。この隙に、大精霊との対話を行えれば良いのですが……。			獣の心、精霊の心							
お待たせクポ～！			お待たせクポ～！			獣の心、精霊の心							
モグたちが手塩にかけて育てている花園から、選りすぐりの苗木を持ってきたクポ！			モグたちが手塩にかけて育てている花園から、選りすぐりの苗木を持ってきたクポ！			獣の心、精霊の心							
この前みたいに淀みを浄化した後に、苗木を植えていけば、森の生命力も安定していくはずクポ！もう新しい淀みが湧くこともないクポ～！			この前みたいに淀みを浄化した後に、苗木を植えていけば、森の生命力も安定していくはずクポ！もう新しい淀みが湧くこともないクポ～！			獣の心、精霊の心							
そうしたら、森の大精霊もゴキゲンになって、話ができるようになるはずクポ～。			そうしたら、森の大精霊もゴキゲンになって、話ができるようになるはずクポ～。			獣の心、精霊の心							
東部森林はモグたちでなんとかするから、キミたちは、ほかの地域をお願いするクポ～。			東部森林はモグたちでなんとかするから、キミたちは、ほかの地域をお願いするクポ～。			獣の心、精霊の心							
ありがたい！これで、ようやく次の行動に移れますね！			ありがたい！これで、ようやく次の行動に移れますね！			獣の心、精霊の心							
(-？？？？-)苗木を植える役目は、私にやらせてください。			(-？？？？-)苗木を植える役目は、私にやらせてください。			獣の心、精霊の心							
カヌ・エ様！お身体の具合は、もうよろしいのですか？			カヌ・エ様！お身体の具合は、もうよろしいのですか？			獣の心、精霊の心							
