鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
……さて、この「宝剣」をどう修復するかについてですが。キミは聞いたことがありませんか？北部森林のハーストミルにいる伝説の武具職人「ゲロルト」の噂を。			……さて、この「宝剣」をどう修復するかについてですが。キミは聞いたことがありませんか？北部森林のハーストミルにいる伝説の武具職人「ゲロルト」の噂を。			宝剣と名匠							
この「ジェルヴァン家の宝剣」の修復法を知る者は、エオルゼア広しといえども、その方ぐらいでしょうね……。			この「ジェルヴァン家の宝剣」の修復法を知る者は、エオルゼア広しといえども、その方ぐらいでしょうね……。			宝剣と名匠							
キミは聞いたことがありませんか？北部森林のハーストミルにいる伝説の武具職人「ゲロルト」の噂を。			キミは聞いたことがありませんか？北部森林のハーストミルにいる伝説の武具職人「ゲロルト」の噂を。			宝剣と名匠							
この「ジェルヴァン家の宝剣」の修復法を知る者は、エオルゼア広しといえども、その方ぐらいでしょうね……。			この「ジェルヴァン家の宝剣」の修復法を知る者は、エオルゼア広しといえども、その方ぐらいでしょうね……。			宝剣と名匠							
あぁン！？そのツラ……さては厄介事を持ち込んできやがったな！？何しにきやがった！			あぁン！？そのツラ……さては厄介事を持ち込んできやがったな！？何しにきやがった！			宝剣と名匠							
なんだ……この小汚ねぇ剣は……。こっちはヤカン作りで、手一杯なンだよ！しょっぱい仕事の話なら、ドレイクの小僧に回しやがれ！！			なんだ……この小汚ねぇ剣は……。こっちはヤカン作りで、手一杯なンだよ！しょっぱい仕事の話なら、ドレイクの小僧に回しやがれ！！			宝剣と名匠							
……すみません、冒険者さん！私が用件を伺います。			……すみません、冒険者さん！私が用件を伺います。			宝剣と名匠							
……なるほど、その「宝剣」の修復法を知りたいと？修理にかけては、それなりの経験を積んできた私ですが、ここまで傷みが激しいと、難しいですね……。			……なるほど、その「宝剣」の修復法を知りたいと？修理にかけては、それなりの経験を積んできた私ですが、ここまで傷みが激しいと、難しいですね……。			宝剣と名匠							
やはり、お師匠様の知恵が必要です。……私がなんとか執りなしますから、かわりにひとつ、仕事を依頼できないでしょうか？			やはり、お師匠様の知恵が必要です。……私がなんとか執りなしますから、かわりにひとつ、仕事を依頼できないでしょうか？			宝剣と名匠							
お師匠様の機嫌が悪いのは、借金のカタとして、愛用の「チタンランプハンマー」が奪われたからでして。かわりの品を用意していただければ、機嫌も直ると思うんです。			お師匠様の機嫌が悪いのは、借金のカタとして、愛用の「チタンランプハンマー」が奪われたからでして。かわりの品を用意していただければ、機嫌も直ると思うんです。			宝剣と名匠							
ああ、冒険者さん。「チタンランプハンマー」ですが、かわりの品は用意できましたでしょうか？			ああ、冒険者さん。「チタンランプハンマー」ですが、かわりの品は用意できましたでしょうか？			宝剣と名匠							
……おお、良い品をありがとうございます！鉄器の細かい仕上げをしやすいよう、使い勝手を考え抜いた、繊細かつ丁寧な仕事……これで、極上のヤカンが作れそうです！			……おお、良い品をありがとうございます！鉄器の細かい仕上げをしやすいよう、使い勝手を考え抜いた、繊細かつ丁寧な仕事……これで、極上のヤカンが作れそうです！			宝剣と名匠							
お師匠様には、すでに話をしてあります。どうか、「ジェルヴァン家の宝剣」をお見せください。			お師匠様には、すでに話をしてあります。どうか、「ジェルヴァン家の宝剣」をお見せください。			宝剣と名匠							
あぁン、こっちは今、忙しいンだよ！！……とっとと「ジェルヴァン家の宝剣」とやらを見せな！			あぁン、こっちは今、忙しいンだよ！！……とっとと「ジェルヴァン家の宝剣」とやらを見せな！			宝剣と名匠							
ずいぶんと、年季の入った「宝剣」だな、オイ！刀身は、古式の精錬法で純度を増したアダマンか……。こいつを実戦で使えるように打ち直せたぁ、無茶言いやがる！			ずいぶんと、年季の入った「宝剣」だな、オイ！刀身は、古式の精錬法で純度を増したアダマンか……。こいつを実戦で使えるように打ち直せたぁ、無茶言いやがる！			宝剣と名匠							
悪いが、ハッキリ言わせてもらうとだな。「こいつ」自体の修繕は……不可能だ！			悪いが、ハッキリ言わせてもらうとだな。「こいつ」自体の修繕は……不可能だ！			宝剣と名匠							
……だが、あきらめるのはまだ早い。この剣の柄にゃ、どうやら「聖遺物」が入ってるようだ。「宝剣」と呼ばれているのは、そのためだろう。			……だが、あきらめるのはまだ早い。この剣の柄にゃ、どうやら「聖遺物」が入ってるようだ。「宝剣」と呼ばれているのは、そのためだろう。			宝剣と名匠							
こいつを修繕することはできないが、同じ素材、同じ様式の剣を、テメェで打って、柄の中身を移し替えりゃ……			こいつを修繕することはできないが、同じ素材、同じ様式の剣を、テメェで打って、柄の中身を移し替えりゃ……			宝剣と名匠							
つまり、そっくりそのまま、新しい「宝剣」を創り出すことならできるはずだぜ。			つまり、そっくりそのまま、新しい「宝剣」を創り出すことならできるはずだぜ。			宝剣と名匠							
おお、鍛冶師どの、ご足労をおかけしました……。「宝剣」の修復法は判明しましたでしょうか？			おお、鍛冶師どの、ご足労をおかけしました……。「宝剣」の修復法は判明しましたでしょうか？			宝剣と名匠							
……ふむ、柄の中身を移植すると。この「宝剣」の柄に収められている聖遺物は、戦神ハルオーネの聖人「聖フィネア」の遺骨……。			……ふむ、柄の中身を移植すると。この「宝剣」の柄に収められている聖遺物は、戦神ハルオーネの聖人「聖フィネア」の遺骨……。			宝剣と名匠							
つまり、新しい剣を作り、その柄に聖遺物を移すことで、新たな宝剣としての「魂」を込めるわけですな！なるほど、それならば、歴代のお館様も納得されましょう！			つまり、新しい剣を作り、その柄に聖遺物を移すことで、新たな宝剣としての「魂」を込めるわけですな！なるほど、それならば、歴代のお館様も納得されましょう！			宝剣と名匠							
……上覧試合の本戦開始も近づいてまいりました。決勝の時が迫り、いよいよ佳境となりましたら、鍛冶師どのに、正式な依頼をさせていただきますぞ！			……上覧試合の本戦開始も近づいてまいりました。決勝の時が迫り、いよいよ佳境となりましたら、鍛冶師どのに、正式な依頼をさせていただきますぞ！			宝剣と名匠							
宝杖通りのフレモンダンは、ロリスから伝言を受け取ったようだ。			宝杖通りのフレモンダンは、ロリスから伝言を受け取ったようだ。			主君と忠臣							
フレモンダンと話した。ロリスが腕試しのため、今度は高地ドラヴァニアに向かったらしい。当地の集落「テイルフェザー」に赴き、ロリスを見つけたら合流しよう。			フレモンダンと話した。ロリスが腕試しのため、今度は高地ドラヴァニアに向かったらしい。当地の集落「テイルフェザー」に赴き、ロリスを見つけたら合流しよう。			主君と忠臣							
ロリスと合流した。彼女の話によれば、負傷した猟師を助けた際、愛用の剣が折れたらしい。上覧試合の予選に出場するために、かわりの剣が必要なようだ。「チタンバスタードソード」を製作し、イシュガルドの宝杖通りにいる「フレモンダン」に納品しよう。			ロリスと合流した。彼女の話によれば、負傷した猟師を助けた際、愛用の剣が折れたらしい。上覧試合の予選に出場するために、かわりの剣が必要なようだ。「チタンバスタードソード」を製作し、イシュガルドの宝杖通りにいる「フレモンダン」に納品しよう。			主君と忠臣							
フレモンダンと話した。上覧試合の予選が始まるという。ロリスの出場結果を聞くため、イシュガルドにあるライトフェザー闘技場前の「指定地点」で待機しよう。			フレモンダンと話した。上覧試合の予選が始まるという。ロリスの出場結果を聞くため、イシュガルドにあるライトフェザー闘技場前の「指定地点」で待機しよう。			主君と忠臣							
ロリスの神殿騎士団入りがかかった「上覧試合」の予選が始まった。彼女は驚異的な幸運に助けられ、本戦進出を果たしたようだ。神殿騎士となり、故国の民を救いたいという彼女の誓いに応えるため、引き続きロリスを支援していこう。※鍛冶師のレベルが58以上になると、宝杖通りのフレモンダンから次の鍛冶師クエストを受注することができます。			ロリスの神殿騎士団入りがかかった「上覧試合」の予選が始まった。彼女は驚異的な幸運に助けられ、本戦進出を果たしたようだ。神殿騎士となり、故国の民を救いたいという彼女の誓いに応えるため、引き続きロリスを支援していこう。※鍛冶師のレベルが58以上になると、宝杖通りのフレモンダンから次の鍛冶師クエストを受注することができます。			主君と忠臣							
テイルフェザーのロリスと話す			テイルフェザーのロリスと話す			主君と忠臣							
チタンバスタードソードを製作イシュガルドのフレモンダンにチタンバスタードソードを納品			チタンバスタードソードを製作イシュガルドのフレモンダンにチタンバスタードソードを納品			主君と忠臣							
ライトフェザー闘技場前の指定地点で待機			ライトフェザー闘技場前の指定地点で待機			主君と忠臣							
おお、鍛冶師どの！実はついさきほど、ロリスお嬢様からの伝言を、受け取ったところでしてな……さて、中身のほどは……。			おお、鍛冶師どの！実はついさきほど、ロリスお嬢様からの伝言を、受け取ったところでしてな……さて、中身のほどは……。			主君と忠臣							
ふむ……なっ、これはいけませぬ！お嬢様がまたも、腕試しに出かけた模様！目的地は、あろうことか「高地ドラヴァニア」……！			ふむ……なっ、これはいけませぬ！お嬢様がまたも、腕試しに出かけた模様！目的地は、あろうことか「高地ドラヴァニア」……！			主君と忠臣							
ドラゴン族の根拠地として知られる、まさに危険地帯ですぞ！上覧試合の予選出場を控えた、大切な時期に！			ドラゴン族の根拠地として知られる、まさに危険地帯ですぞ！上覧試合の予選出場を控えた、大切な時期に！			主君と忠臣							
鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			主君と忠臣							
いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			主君と忠臣							
鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			鍛冶師どの、まことに、まことに申し訳ありませぬが……高地ドラヴァニアまで、向かってもらえませぬか！私めもこの副業が片づきしだい、すぐに向かいますゆえ。			主君と忠臣							
いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			いくらお嬢様でも、敵の本拠まで直行するとは考えにくく、道中、猟師の集う「テイルフェザー」に立ち寄るはず。そこにロリス様がまだおりましたら、戻るよう説得してくだされ！			主君と忠臣							
大丈夫だ、傷は浅い……。			大丈夫だ、傷は浅い……。			主君と忠臣							
鍛冶師のForename……？こんなところで、偶然会うわけがないわよね。私を連れ戻すよう頼まれた……というところかしら。			鍛冶師のForename……？こんなところで、偶然会うわけがないわよね。私を連れ戻すよう頼まれた……というところかしら。			主君と忠臣							
君はお嬢さんのお知り合いか？……いや、なりこそ小さいが、実に勇敢な娘さんだな！野生のチョコボに苦戦中、窮地を救われたんだ……おや？			君はお嬢さんのお知り合いか？……いや、なりこそ小さいが、実に勇敢な娘さんだな！野生のチョコボに苦戦中、窮地を救われたんだ……おや？			主君と忠臣							
(-？？？？-)お嬢様、ロリスお嬢様～！			(-？？？？-)お嬢様、ロリスお嬢様～！			主君と忠臣							
ロリス様！ご無事でいらっしゃいますかっ！？			ロリス様！ご無事でいらっしゃいますかっ！？			主君と忠臣							
……むしろ、じいのほうが、息も絶えだえに見えるのだけど？見てのとおり、私は平気よ。			……むしろ、じいのほうが、息も絶えだえに見えるのだけど？見てのとおり、私は平気よ。			主君と忠臣							
お嬢さん……。たしかに怪我はないようだが、オレを助けたとき、剣がポッキリ逝っただろ？			お嬢さん……。たしかに怪我はないようだが、オレを助けたとき、剣がポッキリ逝っただろ？			主君と忠臣							
むっ……！？愛用のブラスヴァイキングソードが折れてしまったと！？			むっ……！？愛用のブラスヴァイキングソードが折れてしまったと！？			主君と忠臣							
い、意外と安……いや、庶民的な剣を使ってたんだな。よし、使ってない剣をやろう、助けてくれた礼だ。あとでオレのところに寄りな。			い、意外と安……いや、庶民的な剣を使ってたんだな。よし、使ってない剣をやろう、助けてくれた礼だ。あとでオレのところに寄りな。			主君と忠臣							
ありがとう。短剣でいいから、いただけると嬉しいわ。			ありがとう。短剣でいいから、いただけると嬉しいわ。			主君と忠臣							
お嬢様……。てっきり「他人の剣など借りぬ！」と、お断りになるかと思いました。			お嬢様……。てっきり「他人の剣など借りぬ！」と、お断りになるかと思いました。			主君と忠臣							
丸腰のままでは、じいを皇都まで送り届けられない。決死の覚悟で来たのでしょう？その想いには、報いないと。			丸腰のままでは、じいを皇都まで送り届けられない。決死の覚悟で来たのでしょう？その想いには、報いないと。			主君と忠臣							
お、お嬢様……！？なんとお優しいお言葉……。			お、お嬢様……！？なんとお優しいお言葉……。			主君と忠臣							
あなたにも迷惑をかけたわね。これからは、無茶はしないようにするわ……な、なるべくね！			あなたにも迷惑をかけたわね。これからは、無茶はしないようにするわ……な、なるべくね！			主君と忠臣							
……鍛冶師どの、ちょいと困ったことになり申した。先に申しあげたとおり、まもなく上覧試合の予選が始まります。さすがに、短剣で出場するわけにも参りませぬ。			……鍛冶師どの、ちょいと困ったことになり申した。先に申しあげたとおり、まもなく上覧試合の予選が始まります。さすがに、短剣で出場するわけにも参りませぬ。			主君と忠臣							
ここはひとつ、「軽量にして剛鋭」と噂に高い新型剣……「チタンバスタードソード」など、ご製作いただけませぬか？……お代はその……例のごとく、出世払いで…………。			ここはひとつ、「軽量にして剛鋭」と噂に高い新型剣……「チタンバスタードソード」など、ご製作いただけませぬか？……お代はその……例のごとく、出世払いで…………。			主君と忠臣							
お、お嬢様、お待ちください～！さぁ、皇都まで帰りましょうぞ～！			お、お嬢様、お待ちください～！さぁ、皇都まで帰りましょうぞ～！			主君と忠臣							
おお、鍛冶師どの！先だっては、大変お世話になり申した！それで、その……お願いした剣ですが……。			おお、鍛冶師どの！先だっては、大変お世話になり申した！それで、その……お願いした剣ですが……。			主君と忠臣							
おおおっ……これは、素人目にもわかるほどの業物ですな！副業が終わりましたら、さっそくお嬢様にお届けします！鍛冶師どのが用意したものと知れば、お嬢様も喜びましょう！			おおおっ……これは、素人目にもわかるほどの業物ですな！副業が終わりましたら、さっそくお嬢様にお届けします！鍛冶師どのが用意したものと知れば、お嬢様も喜びましょう！			主君と忠臣							
そう……上覧試合の予選が、いよいよ始まるのでございます！ロリス様の実力に、この剣が加われば、向かうところ敵なし！			そう……上覧試合の予選が、いよいよ始まるのでございます！ロリス様の実力に、この剣が加われば、向かうところ敵なし！			主君と忠臣							
試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			主君と忠臣							
試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			試合は、「ライトフェザー闘技場」で行われまする。闘技場の前で結果を待ちましょうぞ！			主君と忠臣							
鍛冶師どの！剣は無事に、ロリス様にお届けしましたぞ！お嬢様は今まさに、上覧試合の予選に出場中のはず。			鍛冶師どの！剣は無事に、ロリス様にお届けしましたぞ！お嬢様は今まさに、上覧試合の予選に出場中のはず。			主君と忠臣							
おや、お嬢様？これはまた、ずいぶんとお早いお帰りで！して、結果のほうは……			おや、お嬢様？これはまた、ずいぶんとお早いお帰りで！して、結果のほうは……			主君と忠臣							
本戦出場、一番乗りよ！Forename、あなたの剣のおかげ。刀身のバランスが絶妙で、いくら振っても疲れないの！			本戦出場、一番乗りよ！Forename、あなたの剣のおかげ。刀身のバランスが絶妙で、いくら振っても疲れないの！			主君と忠臣							
おお、最高の滑り出しですな！ちなみに、何戦して何勝でございまするか？			おお、最高の滑り出しですな！ちなみに、何戦して何勝でございまするか？			主君と忠臣							
3戦して、2勝1引き分け。でも不戦勝が5つもあったから、あっという間に終わっちゃった。			3戦して、2勝1引き分け。でも不戦勝が5つもあったから、あっという間に終わっちゃった。			主君と忠臣							
5つも不戦勝を拾うとは……大きな幸運に恵まれましたな！なに、亡き先代も、よく言っておられました。「強運も実力の一部」と……！			5つも不戦勝を拾うとは……大きな幸運に恵まれましたな！なに、亡き先代も、よく言っておられました。「強運も実力の一部」と……！			主君と忠臣							
……「不運を言い訳にするな」ともね。人の上に立つ者に求められるのは、勝利という結果のみ。敗軍の将の釈明など、死者にはなんの意味もなさぬのだからって。			……「不運を言い訳にするな」ともね。人の上に立つ者に求められるのは、勝利という結果のみ。敗軍の将の釈明など、死者にはなんの意味もなさぬのだからって。			主君と忠臣							
お父様は、餓えた民に、隊の糧食を分けあたえたことで、横領の罪に問われ……騎士団を追われたわ。そのときすら黙って処罰を受け入れ、釈明は一切しなかった……。			お父様は、餓えた民に、隊の糧食を分けあたえたことで、横領の罪に問われ……騎士団を追われたわ。そのときすら黙って処罰を受け入れ、釈明は一切しなかった……。			主君と忠臣							
ロリス様が、ジェルヴァン家の再興を強く願う理由……それはやはり、先代の無念を晴らすためでございましょうか？			ロリス様が、ジェルヴァン家の再興を強く願う理由……それはやはり、先代の無念を晴らすためでございましょうか？			主君と忠臣							
故国の民を救うためよ。「お前の内に流れる高貴の血は、そのためにあるのだ」……お父様は、いつもそう言っていたもの。			故国の民を救うためよ。「お前の内に流れる高貴の血は、そのためにあるのだ」……お父様は、いつもそう言っていたもの。			主君と忠臣							
だから……上覧試合で優勝を勝ち取って、必ず騎士になってみせる。素晴らしい剣を提供してくれた、あなたのためにもね！			だから……上覧試合で優勝を勝ち取って、必ず騎士になってみせる。素晴らしい剣を提供してくれた、あなたのためにもね！			主君と忠臣							
鍛冶師ギルドのブリサエルは、冒険者に感謝しているようだ。			鍛冶師ギルドのブリサエルは、冒険者に感謝しているようだ。			美人剣士への贈り物							
ブリサエルから依頼を受けた。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」と話そう。			ブリサエルから依頼を受けた。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」と話そう。			美人剣士への贈り物							
フェーズアールと話した。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」に「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」を1個ずつ見せよう。			フェーズアールと話した。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」に「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」を1個ずつ見せよう。			美人剣士への贈り物							
フェーズアールにコバルトナックル、バッカニアバルディッシュ、シャムシールを見せた。リムサ・ロミンサのアスタリシア号にいる「ミュリエル」に「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」を1個ずつ納品しよう。			フェーズアールにコバルトナックル、バッカニアバルディッシュ、シャムシールを見せた。リムサ・ロミンサのアスタリシア号にいる「ミュリエル」に「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」を1個ずつ納品しよう。			美人剣士への贈り物							
ミュリエルにコバルトナックル、バッカニアバルディッシュ、シャムシールを納品した。装備品を受け取ったミュリエルは、冒険者という本物の職人と出会えたことが、大きな収穫だったと感動していた。彼女の言葉を励みにして、鍛冶師としての修行を続けよう。※鍛冶師のレベルが50以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			ミュリエルにコバルトナックル、バッカニアバルディッシュ、シャムシールを納品した。装備品を受け取ったミュリエルは、冒険者という本物の職人と出会えたことが、大きな収穫だったと感動していた。彼女の言葉を励みにして、鍛冶師としての修行を続けよう。※鍛冶師のレベルが50以上になると、ブリサエルから次の鍛冶師クエストを受注することができます。			美人剣士への贈り物							
フェーズアールと話す			フェーズアールと話す			美人剣士への贈り物							
フェーズアールに依頼品を見せる			フェーズアールに依頼品を見せる			美人剣士への贈り物							
アスタリシア号のミュリエルに依頼品を納品			アスタリシア号のミュリエルに依頼品を納品			美人剣士への贈り物							
やあ、Forename君！キミのおかげで、ここのところギルド運営も順調ですよ！			やあ、Forename君！キミのおかげで、ここのところギルド運営も順調ですよ！			美人剣士への贈り物							
ふふふ……僕としては、笑いを抑えきれませんよ。キミをギルドに誘ったのは、我が人生最大の功ですね。			ふふふ……僕としては、笑いを抑えきれませんよ。キミをギルドに誘ったのは、我が人生最大の功ですね。			美人剣士への贈り物							
最近は胃薬の量も減って、毎日ご飯がおいしいです。先日も、フェーズアール氏と会食しました。その席で、ちょっと相談を受けまして……。			最近は胃薬の量も減って、毎日ご飯がおいしいです。先日も、フェーズアール氏と会食しました。その席で、ちょっと相談を受けまして……。			美人剣士への贈り物							
ミュリエルさんという、ウルダハのコロセウム闘士が、最近、フェーズアール氏のお気に入りだそうで。彼女に装備品を贈りたいそうなんですよ。			ミュリエルさんという、ウルダハのコロセウム闘士が、最近、フェーズアール氏のお気に入りだそうで。彼女に装備品を贈りたいそうなんですよ。			美人剣士への贈り物							
その製作を、ぜひキミに依頼したいとのことです。詳しい話は、「フェーズアール」氏に聞いてください。それではよろしくお願いしますね。			その製作を、ぜひキミに依頼したいとのことです。詳しい話は、「フェーズアール」氏に聞いてください。それではよろしくお願いしますね。			美人剣士への贈り物							
よう来てくれた、Forename。こんなことを頼めるのは、ヌシだけじゃわい。			よう来てくれた、Forename。こんなことを頼めるのは、ヌシだけじゃわい。			美人剣士への贈り物							
それでの、ミュリエルちゃんへの贈り物なんじゃが、あの子は戦いにかけては器用での、武器を選ばんのじゃ。			それでの、ミュリエルちゃんへの贈り物なんじゃが、あの子は戦いにかけては器用での、武器を選ばんのじゃ。			美人剣士への贈り物							
どんな武器でも鮮やかに使いこなしてのける。ま、そこにシビれるんじゃがのう！			どんな武器でも鮮やかに使いこなしてのける。ま、そこにシビれるんじゃがのう！			美人剣士への贈り物							
それでじゃ、ヌシには3種類の装備品を用意してほしい。「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」の3種類じゃ。			それでじゃ、ヌシには3種類の装備品を用意してほしい。「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」の3種類じゃ。			美人剣士への贈り物							
品物が完成したら、まずはワガハイのところに頼む。ヌシのことは信じておるが、贈り主としてはやはり自分の目で見たいでな。			品物が完成したら、まずはワガハイのところに頼む。ヌシのことは信じておるが、贈り主としてはやはり自分の目で見たいでな。			美人剣士への贈り物							
「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」の3種類を1個ずつ持ってくるんじゃぞ。			「コバルトナックル」「バッカニアバルディッシュ」「シャムシール」の3種類を1個ずつ持ってくるんじゃぞ。			美人剣士への贈り物							
品物は、あっちでじっくりと見せてもらおう。ワシの威信がかかっておるでの。			品物は、あっちでじっくりと見せてもらおう。ワシの威信がかかっておるでの。			美人剣士への贈り物							
まずは「コバルトナックル」じゃが……実に頑丈そうじゃな。粘りのあるコバルトを使っているからかの？			まずは「コバルトナックル」じゃが……実に頑丈そうじゃな。粘りのあるコバルトを使っているからかの？			美人剣士への贈り物							
拳の一撃を確実に敵へと打ち込める、しっかりとした作りは、まるでヌシを体現するかのようじゃ。			拳の一撃を確実に敵へと打ち込める、しっかりとした作りは、まるでヌシを体現するかのようじゃ。			美人剣士への贈り物							
そしてこの「バッカニアバルディッシュ」じゃ。分厚い斧の刃は、蛮族的な野卑に通じるものがある。			そしてこの「バッカニアバルディッシュ」じゃ。分厚い斧の刃は、蛮族的な野卑に通じるものがある。			美人剣士への贈り物							
一見するとミュリエルちゃんには似合わぬと思えるが、逆に今までにはない、意外な魅力を引き出しそうじゃわい。			一見するとミュリエルちゃんには似合わぬと思えるが、逆に今までにはない、意外な魅力を引き出しそうじゃわい。			美人剣士への贈り物							
最後に「シャムシール」は……大きく弧を描いた刀身が、これまた美しいのう。			最後に「シャムシール」は……大きく弧を描いた刀身が、これまた美しいのう。			美人剣士への贈り物							
加工の難しいコバルトの扱いは完璧じゃな。ヌシでなければ、この刃の美しい曲線は描けまい。ごくろうじゃった、やはりヌシに任せてよかったわい。			加工の難しいコバルトの扱いは完璧じゃな。ヌシでなければ、この刃の美しい曲線は描けまい。ごくろうじゃった、やはりヌシに任せてよかったわい。			美人剣士への贈り物							
それでは、贈り物をミュリエルちゃんへ届けてくれい。今は、「アスタリシア号」で、鍛錬してるはずじゃ。			それでは、贈り物をミュリエルちゃんへ届けてくれい。今は、「アスタリシア号」で、鍛錬してるはずじゃ。			美人剣士への贈り物							
あたしに贈り物ですって？ああ、前にフェーズアールのおじ様が言っていた話ね。聞いてるわよ、あなたが持ってきてくれるの？			あたしに贈り物ですって？ああ、前にフェーズアールのおじ様が言っていた話ね。聞いてるわよ、あなたが持ってきてくれるの？			美人剣士への贈り物							
わあ……こんなに素敵な武器をいただいちゃっていいのかしら！うん、これを装備すれば、華麗に勝てそうだわ。			わあ……こんなに素敵な武器をいただいちゃっていいのかしら！うん、これを装備すれば、華麗に勝てそうだわ。			美人剣士への贈り物							
あなたがギルドいちの腕利き鍛冶師だなんて、びっくり！おじ様が、腕利きだっていうから、どんな偏屈で厳つい感じの人が来るのかと思ったら。			あなたがギルドいちの腕利き鍛冶師だなんて、びっくり！おじ様が、腕利きだっていうから、どんな偏屈で厳つい感じの人が来るのかと思ったら。			美人剣士への贈り物							
ふふっ、人は見かけによらないっていうのは、闘士も職人も、同じみたいね。			ふふっ、人は見かけによらないっていうのは、闘士も職人も、同じみたいね。			美人剣士への贈り物							
おじ様に誘われて、稽古がてらリムサ・ロミンサに来てみたんだけど……あなたっていう「本物」に出会えたのが、一番の収穫だわ！			おじ様に誘われて、稽古がてらリムサ・ロミンサに来てみたんだけど……あなたっていう「本物」に出会えたのが、一番の収穫だわ！			美人剣士への贈り物							
鍛冶師ギルドのブリサエルは、どうすればシントウを見返せるか悩んでいるようだ。			鍛冶師ギルドのブリサエルは、どうすればシントウを見返せるか悩んでいるようだ。			直情娘、悩む							
ブリサエルから、シントウの真意を聞き出すよう頼まれた。リムサ・ロミンサの西国際街商通りで「シントウ」と話そう。			ブリサエルから、シントウの真意を聞き出すよう頼まれた。リムサ・ロミンサの西国際街商通りで「シントウ」と話そう。			直情娘、悩む							
シントウ曰く、セッカに最も足りないものは腕前ではないらしい。鍛冶師ギルドの「ブリサエル」に報告しよう。			シントウ曰く、セッカに最も足りないものは腕前ではないらしい。鍛冶師ギルドの「ブリサエル」に報告しよう。			直情娘、悩む							
ブリサエルは、セッカの使っている道具を彼女の力量に見合ったものにしてあげたいという。セッカの主道具を作るための素材を受け取るため、鍛冶師ギルド受付の「ランドウルフ」と話そう。			ブリサエルは、セッカの使っている道具を彼女の力量に見合ったものにしてあげたいという。セッカの主道具を作るための素材を受け取るため、鍛冶師ギルド受付の「ランドウルフ」と話そう。			直情娘、悩む							
ランドウルフから素材を受け取った。「鍛冶師ギルド製インゴット」をもとに「小ぶりなハンマー」を製作し、鍛冶師ギルドの「ブリサエル」に納品しよう。※「鍛冶師ギルド製インゴット」を失った場合は、ランドウルフに話しかけましょう。材料を入手し、再挑戦が可能になります。			ランドウルフから素材を受け取った。「鍛冶師ギルド製インゴット」をもとに「小ぶりなハンマー」を製作し、鍛冶師ギルドの「ブリサエル」に納品しよう。※「鍛冶師ギルド製インゴット」を失った場合は、ランドウルフに話しかけましょう。材料を入手し、再挑戦が可能になります。			直情娘、悩む							
ブリサエルに「小ぶりなハンマー」を納品した。彼も、セッカのための副道具を打ちおえたらしい。リムサ・ロミンサのアンカーヤードにいる「セッカ」に「真新しい鍛冶道具」を渡そう。			ブリサエルに「小ぶりなハンマー」を納品した。彼も、セッカのための副道具を打ちおえたらしい。リムサ・ロミンサのアンカーヤードにいる「セッカ」に「真新しい鍛冶道具」を渡そう。			直情娘、悩む							
「真新しい鍛冶道具」を受け取ったセッカは、取り掛かっている刀を仕上げるため走り去っていった。鍛冶師ギルドに向かった「セッカ」と話そう。			「真新しい鍛冶道具」を受け取ったセッカは、取り掛かっている刀を仕上げるため走り去っていった。鍛冶師ギルドに向かった「セッカ」と話そう。			直情娘、悩む							
