ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			秘められし民の想い							
すまない、とんだ茶番を見せてしまった。			すまない、とんだ茶番を見せてしまった。			ユウギリの帰郷							
だが……それでも両親の元気な姿を見ることができて、よかったとも思う。			だが……それでも両親の元気な姿を見ることができて、よかったとも思う。			ユウギリの帰郷							
ふたりが穏やかに生きていけるよう、私はこれからもドマに仕える者として……いや、東方連合の一員として、平和を護っていきたい。			ふたりが穏やかに生きていけるよう、私はこれからもドマに仕える者として……いや、東方連合の一員として、平和を護っていきたい。			ユウギリの帰郷							
それに、今後スイの里が開かれ、両親とも心置きなく会える日が来るやもしれん。死別したわけでもないのだからな。			それに、今後スイの里が開かれ、両親とも心置きなく会える日が来るやもしれん。死別したわけでもないのだからな。			ユウギリの帰郷							
だが、ヒエン様はというと、知ってのとおり、両親ともに亡くしておいでだ。			だが、ヒエン様はというと、知ってのとおり、両親ともに亡くしておいでだ。			ユウギリの帰郷							
母君のミナ様は帝国占領下の心労がもとで亡くなり、父君のカイエン様は反乱の折に、ゼノスの凶刃に倒れた。つまりヒエン様も、帝国によって大切な人を喪っているということ。			母君のミナ様は帝国占領下の心労がもとで亡くなり、父君のカイエン様は反乱の折に、ゼノスの凶刃に倒れた。つまりヒエン様も、帝国によって大切な人を喪っているということ。			ユウギリの帰郷							
あの方が絶望して獣になるとは思えぬが……同じ痛みを抱えながら、民のことばかり考え、ご自分のことを蔑ろにしていることが、私は心苦しいのだ。			あの方が絶望して獣になるとは思えぬが……同じ痛みを抱えながら、民のことばかり考え、ご自分のことを蔑ろにしていることが、私は心苦しいのだ。			ユウギリの帰郷							
すまぬ、こんな話をしても仕方がないな。どうか、忘れてくれ。			すまぬ、こんな話をしても仕方がないな。どうか、忘れてくれ。			ユウギリの帰郷							
それでは、町人地に戻り、ヒエン様に、調査結果の報告をしよう。			それでは、町人地に戻り、ヒエン様に、調査結果の報告をしよう。			ユウギリの帰郷							
帰燕館は、普段と変わらぬ様子だ。偽神獣に襲われることもなかったと見える。			帰燕館は、普段と変わらぬ様子だ。偽神獣に襲われることもなかったと見える。			ユウギリの帰郷							
ふたりとも、ご苦労だった。さっそくだが調査結果を聞かせてくれ。			ふたりとも、ご苦労だった。さっそくだが調査結果を聞かせてくれ。			ユウギリの帰郷							
なるほど……キセイは追放された元スイの民であり、幼少期から口寄せの才があると、主張していたというのか……。			なるほど……キセイは追放された元スイの民であり、幼少期から口寄せの才があると、主張していたというのか……。			ユウギリの帰郷							
その異能が本物かどうかはともかく、キセイの口寄せに、人を信じさせる力があることは確か。事実、信者は数を増やしているという。			その異能が本物かどうかはともかく、キセイの口寄せに、人を信じさせる力があることは確か。事実、信者は数を増やしているという。			ユウギリの帰郷							
とはいえ、こちらも手をこまねいてはおらん。帰還者たちの帰燕館への避難は完了し、防備も固めた。			とはいえ、こちらも手をこまねいてはおらん。帰還者たちの帰燕館への避難は完了し、防備も固めた。			ユウギリの帰郷							
次なる一手は、海賊衆を始めとした諸勢力と協力した上で、偽神獣捜索網を構築し、居所を突き止めること……。その態勢が整うまで、今しばらく待っていてくれ。			次なる一手は、海賊衆を始めとした諸勢力と協力した上で、偽神獣捜索網を構築し、居所を突き止めること……。その態勢が整うまで、今しばらく待っていてくれ。			ユウギリの帰郷							
ドマ町人地のユウギリは、冒険者に報告があるようだ。			ドマ町人地のユウギリは、冒険者に報告があるようだ。			ミナトという女							
ユウギリから、紅玉海で偽神獣が目撃されたと聞いた。ヒエンも来て海賊衆から話を聞くことになった。紅玉海の筋違砦にいる「ラショウ」と話そう。			ユウギリから、紅玉海で偽神獣が目撃されたと聞いた。ヒエンも来て海賊衆から話を聞くことになった。紅玉海の筋違砦にいる「ラショウ」と話そう。			ミナトという女							
ラショウと話した。偽神獣が沖之岩付近で目撃されたというので、討伐に向かうことになった。紅玉海の沖之岩にいる「ヒエン」と話そう。			ラショウと話した。偽神獣が沖之岩付近で目撃されたというので、討伐に向かうことになった。紅玉海の沖之岩にいる「ヒエン」と話そう。			ミナトという女							
ヒエンと話し、偽神獣を発見したが逃げられてしまった。駆けつけたタンスイによると、偽神獣に転化したミナトは臆病な性格で、ヒエンを恐れて逃げてしまったようだ。沖之岩にいる「ヒエン」と再度話そう。			ヒエンと話し、偽神獣を発見したが逃げられてしまった。駆けつけたタンスイによると、偽神獣に転化したミナトは臆病な性格で、ヒエンを恐れて逃げてしまったようだ。沖之岩にいる「ヒエン」と再度話そう。			ミナトという女							
ヒエンと話した。ドマ町人地に戻り「ヒエン」と話そう。			ヒエンと話した。ドマ町人地に戻り「ヒエン」と話そう。			ミナトという女							
ヒエンと話したところ、キセイと村人たちがやって来て、帰燕館に匿った帰還者たちを差し出すよう要求してきた。ヒエンは断固として断り、そこにゴウセツが現れキセイの欺瞞が暴かれ、彼女と村人たちは去っていった。トンボが寄ってきて、ヒエンを恨んだことを謝ったが、今度は自分が獣になることが不安だという。ゴウセツによると、キセイの死者の口寄せが暴かれたことにより、獣化する者が必ず出てくるというので、ヒエンはその対策を考えるという。精進を重ねて、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが89以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ヒエンと話したところ、キセイと村人たちがやって来て、帰燕館に匿った帰還者たちを差し出すよう要求してきた。ヒエンは断固として断り、そこにゴウセツが現れキセイの欺瞞が暴かれ、彼女と村人たちは去っていった。トンボが寄ってきて、ヒエンを恨んだことを謝ったが、今度は自分が獣になることが不安だという。ゴウセツによると、キセイの死者の口寄せが暴かれたことにより、獣化する者が必ず出てくるというので、ヒエンはその対策を考えるという。精進を重ねて、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが89以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ミナトという女							
筋違砦のラショウと話す			筋違砦のラショウと話す			ミナトという女							
ヒエンと話す			ヒエンと話す			ミナトという女							
ヒエンと再度話す			ヒエンと再度話す			ミナトという女							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			ミナトという女							
Forename殿！先ほど海賊衆から、紅玉海で偽神獣が目撃されたと連絡が入った！幸い被害はまだ出ていないようだが……			Forename殿！先ほど海賊衆から、紅玉海で偽神獣が目撃されたと連絡が入った！幸い被害はまだ出ていないようだが……			ミナトという女							
おお、ちょうどよいところに……。さっそく偽神獣捜索網が機能してくれたのだ。			おお、ちょうどよいところに……。さっそく偽神獣捜索網が機能してくれたのだ。			ミナトという女							
これより海賊衆のもとに向かうつもりでな。慌ただしくてすまんが、そなたにも来てもらいたい。筋違砦の「ラショウ」に話を聞きにゆこう。			これより海賊衆のもとに向かうつもりでな。慌ただしくてすまんが、そなたにも来てもらいたい。筋違砦の「ラショウ」に話を聞きにゆこう。			ミナトという女							
偽神獣の件だったら、まずは頭領に聞いてくれ。			偽神獣の件だったら、まずは頭領に聞いてくれ。			ミナトという女							
これはまた、ドマの殿様までおいでなすったか。偽神獣ってやつは、それほどまで大物のようだな。			これはまた、ドマの殿様までおいでなすったか。偽神獣ってやつは、それほどまで大物のようだな。			ミナトという女							
そのとおりだ。さっそく、目撃情報について聞かせてくれ。			そのとおりだ。さっそく、目撃情報について聞かせてくれ。			ミナトという女							
話に聞く偽神獣らしき魔物は、沖之岩付近で、うちの者に目撃された。だが、そいつは襲ってくる様子もなく、佇んでいたそうだ。			話に聞く偽神獣らしき魔物は、沖之岩付近で、うちの者に目撃された。だが、そいつは襲ってくる様子もなく、佇んでいたそうだ。			ミナトという女							
海賊衆に参加した身寄りのない帰還者たちも、帰燕館で匿ってもらっていたのは、正解だったかもしれん。いれば襲われていた可能性もあるだろうからな。			海賊衆に参加した身寄りのない帰還者たちも、帰燕館で匿ってもらっていたのは、正解だったかもしれん。いれば襲われていた可能性もあるだろうからな。			ミナトという女							
ともかく、相手に動きがないのは好都合だ。奇襲を仕掛けて、早いところ始末してやろうじゃないか。			ともかく、相手に動きがないのは好都合だ。奇襲を仕掛けて、早いところ始末してやろうじゃないか。			ミナトという女							
俺たちは船を出して洋上から、お前らは、島伝いに陸から偽神獣を探してくれ。逃がす手はない、見つけ次第、早いもの勝ちで仕掛けるぞ！			俺たちは船を出して洋上から、お前らは、島伝いに陸から偽神獣を探してくれ。逃がす手はない、見つけ次第、早いもの勝ちで仕掛けるぞ！			ミナトという女							
おう、望むところだ！急ぎ沖之岩へ向かうとしよう。			おう、望むところだ！急ぎ沖之岩へ向かうとしよう。			ミナトという女							
帝国を追い払ったと思ったら、今度は魔物の出現とはな。とにかく、俺たちの海で好きにさせておくものか。			帝国を追い払ったと思ったら、今度は魔物の出現とはな。とにかく、俺たちの海で好きにさせておくものか。			ミナトという女							
俺たちは船を出して洋上から、お前らは、島伝いに陸から偽神獣を探してくれ。逃がす手はない、見つけ次第、早いもの勝ちで仕掛けるぞ！			俺たちは船を出して洋上から、お前らは、島伝いに陸から偽神獣を探してくれ。逃がす手はない、見つけ次第、早いもの勝ちで仕掛けるぞ！			ミナトという女							
いよいよ、偽神獣の討伐となるな。心して掛かろう。			いよいよ、偽神獣の討伐となるな。心して掛かろう。			ミナトという女							
さて、この先が偽神獣が目撃されたところだ。各々、抜かりなくゆくぞ！			さて、この先が偽神獣が目撃されたところだ。各々、抜かりなくゆくぞ！			ミナトという女							
くっ、逃げられてしまったか……。			くっ、逃げられてしまったか……。			ミナトという女							
なんという素早さ。あれでは、大隼でも追いつけぬでしょう。			なんという素早さ。あれでは、大隼でも追いつけぬでしょう。			ミナトという女							
そっちが先に見つけたか。だが、逃げられちまったようだな……。			そっちが先に見つけたか。だが、逃げられちまったようだな……。			ミナトという女							
偽神獣に転じたミナトという女がわしを恨んでいたのなら、向かってきてもおかしくないと思っていたのだがな。			偽神獣に転じたミナトという女がわしを恨んでいたのなら、向かってきてもおかしくないと思っていたのだがな。			ミナトという女							
ミナトだって！？あの化物はミナトだってのか！？			ミナトだって！？あの化物はミナトだってのか！？			ミナトという女							
そなた、かの女を知っておるのか？			そなた、かの女を知っておるのか？			ミナトという女							
ああ、ミナトは一時期、海賊衆が面倒を見ていた女だ。両親と一緒に、ひんがしの国に逃れようと船を出したんだが……帝国兵に臨検されちまってな。			ああ、ミナトは一時期、海賊衆が面倒を見ていた女だ。両親と一緒に、ひんがしの国に逃れようと船を出したんだが……帝国兵に臨検されちまってな。			ミナトという女							
俺たちが漂流していたボロ船を見つけたときには、冷たくなった両親の間で、ミナトがひとり震えていたよ。			俺たちが漂流していたボロ船を見つけたときには、冷たくなった両親の間で、ミナトがひとり震えていたよ。			ミナトという女							
その後、筋違砦に連れ帰って介抱してやってたんだが、よほど恐ろしい目に遭ったのか、とにかく臆病でな……。抜身の刀を見ただけで、悲鳴を上げるほどだった。			その後、筋違砦に連れ帰って介抱してやってたんだが、よほど恐ろしい目に遭ったのか、とにかく臆病でな……。抜身の刀を見ただけで、悲鳴を上げるほどだった。			ミナトという女							
そんなわけで、海賊仕事をさせるわけにもいかず、イサリ村で受け入れてもらえるよう、手回ししてやったのさ。			そんなわけで、海賊仕事をさせるわけにもいかず、イサリ村で受け入れてもらえるよう、手回ししてやったのさ。			ミナトという女							
その数ヶ月後……この砂浜で若い漁師の男と一緒にいるミナトを見かけてな。声をかけたら、いい仲になった相手と言うじゃないか。			その数ヶ月後……この砂浜で若い漁師の男と一緒にいるミナトを見かけてな。声をかけたら、いい仲になった相手と言うじゃないか。			ミナトという女							
それから何度も、夫婦そろって浜にいる姿を見たもんさ。ようやく心安らげる場所が見つけられたのかと、喜んでいたんだが……。			それから何度も、夫婦そろって浜にいる姿を見たもんさ。ようやく心安らげる場所が見つけられたのかと、喜んでいたんだが……。			ミナトという女							
偽神獣の行動は、生前の人格や記憶に影響を受けている可能性がある。たしか、ラザハンからの報告書に、そう記載されておりました。			偽神獣の行動は、生前の人格や記憶に影響を受けている可能性がある。たしか、ラザハンからの報告書に、そう記載されておりました。			ミナトという女							
なるほど、この砂浜に現れたのは、ミナトの思い出が、そうさせていたということか……。			なるほど、この砂浜に現れたのは、ミナトの思い出が、そうさせていたということか……。			ミナトという女							
だとしたら、偽神獣がすぐ逃げていったのも頷けるってもんだ。ミナトは、とにかく臆病だったからな。			だとしたら、偽神獣がすぐ逃げていったのも頷けるってもんだ。ミナトは、とにかく臆病だったからな。			ミナトという女							
彼女だった頃の心根が、カケラでも残ってるんなら、ドマの殿様に刀を向けられちゃあ、平静を保ってられねぇよ。			彼女だった頃の心根が、カケラでも残ってるんなら、ドマの殿様に刀を向けられちゃあ、平静を保ってられねぇよ。			ミナトという女							
帰還者を匿っている帰燕館が襲われぬのも、あるいは、ドマの侍たちが守りを固めているためなのかもしれん。だが、そこまで臆病となると、どう叩くかが問題だな。			帰還者を匿っている帰燕館が襲われぬのも、あるいは、ドマの侍たちが守りを固めているためなのかもしれん。だが、そこまで臆病となると、どう叩くかが問題だな。			ミナトという女							
しかし、やるせない話だな。両親どころか、愛する男すらも帝国軍に奪われて……あんな悲しい化物になっちまうなんてな。			しかし、やるせない話だな。両親どころか、愛する男すらも帝国軍に奪われて……あんな悲しい化物になっちまうなんてな。			ミナトという女							
とにかく、またうちのシマで偽神獣を見かけたら一報を入れる。その時は……せめてこれ以上、苦しまずに済むよう、成仏させてやってくれ。			とにかく、またうちのシマで偽神獣を見かけたら一報を入れる。その時は……せめてこれ以上、苦しまずに済むよう、成仏させてやってくれ。			ミナトという女							
偽神獣には逃げられたようだな。またうちのシマで見かけたら、すぐに一報を入れよう。			偽神獣には逃げられたようだな。またうちのシマで見かけたら、すぐに一報を入れよう。			ミナトという女							
ミナトの人生は苦難続きだった。せめてこれ以上、苦しまずに済むよう、どうか彼女を成仏させてやってくれ……。			ミナトの人生は苦難続きだった。せめてこれ以上、苦しまずに済むよう、どうか彼女を成仏させてやってくれ……。			ミナトという女							
あれほど素早く逃げられてしまっては、そなたが射貫く間もなかったな。			あれほど素早く逃げられてしまっては、そなたが射貫く間もなかったな。			ミナトという女							
偽神獣に逃げられた以上、ここにいても仕方がない。ドマ町人地に戻るとしよう。			偽神獣に逃げられた以上、ここにいても仕方がない。ドマ町人地に戻るとしよう。			ミナトという女							
偽神獣がなかなか見つからなかったのも、その臆病な性格ゆえ、あまり人前に出なかったということか。			偽神獣がなかなか見つからなかったのも、その臆病な性格ゆえ、あまり人前に出なかったということか。			ミナトという女							
偽神獣の動きは、おおよそ掴めてきたわけだが、はてさて、どう討伐したらいいものか……			偽神獣の動きは、おおよそ掴めてきたわけだが、はてさて、どう討伐したらいいものか……			ミナトという女							
此度は、ドマ国君主ヒエン様に、恐れながらお願いしたき儀があって参上いたしました……。			此度は、ドマ国君主ヒエン様に、恐れながらお願いしたき儀があって参上いたしました……。			ミナトという女							
そなたはキセイだな。聞こう、申し立てがあるならば話すがよい。			そなたはキセイだな。聞こう、申し立てがあるならば話すがよい。			ミナトという女							
帰燕館にて、捕虜交換によって帰還せし、元帝国徴用兵を匿っておられますな……？			帰燕館にて、捕虜交換によって帰還せし、元帝国徴用兵を匿っておられますな……？			ミナトという女							
彼らは本来、戦場で死すべき者たちでございました。彼らの不当な生が、亡者の霊魂を苦しめておるのでございます！ゆえに、イザナミ様の御前に、差し出していただきたく存じます！			彼らは本来、戦場で死すべき者たちでございました。彼らの不当な生が、亡者の霊魂を苦しめておるのでございます！ゆえに、イザナミ様の御前に、差し出していただきたく存じます！			ミナトという女							
断る……！			断る……！			ミナトという女							
死んでよい者などいようものか！わしが斬ってきた者たちとて、死んでよかったはずはない。			死んでよい者などいようものか！わしが斬ってきた者たちとて、死んでよかったはずはない。			ミナトという女							
それでも侍が人を斬るのは、その業を背負ってでも、救いたい誰かがいるからなのだ！			それでも侍が人を斬るのは、その業を背負ってでも、救いたい誰かがいるからなのだ！			ミナトという女							
業を背負うとおっしゃるならば、なぜ、罪ある代理総督ヨツユを斬らず放置なさったか！裁きを下さぬ殿様の軟弱が、我らを苦しめたのですぞ！			業を背負うとおっしゃるならば、なぜ、罪ある代理総督ヨツユを斬らず放置なさったか！裁きを下さぬ殿様の軟弱が、我らを苦しめたのですぞ！			ミナトという女							
ドマ城の戦いの折、わしは命を奪うつもりでヨツユを斬った。それは、彼女の罪ゆえでもあるが、代理総督を討つことで、救える命があったからにほかならぬ。			ドマ城の戦いの折、わしは命を奪うつもりでヨツユを斬った。それは、彼女の罪ゆえでもあるが、代理総督を討つことで、救える命があったからにほかならぬ。			ミナトという女							
では、記憶を失い幼子同然となったヨツユに、他者の命を脅かす何かがあったのか。わしは、それゆえに斬れなかったのだ。			では、記憶を失い幼子同然となったヨツユに、他者の命を脅かす何かがあったのか。わしは、それゆえに斬れなかったのだ。			ミナトという女							
その判断を否とし、過ちであると断じるならば、その責めは甘んじて受けよう……。			その判断を否とし、過ちであると断じるならば、その責めは甘んじて受けよう……。			ミナトという女							
だが、帰燕館にいる帰還者たちの命を差し出すことは断じてできん！殺しの業を背負い、他者の命を救うために彼らの命を奪うのだと、その信念がある者は前に出よ！！			だが、帰燕館にいる帰還者たちの命を差し出すことは断じてできん！殺しの業を背負い、他者の命を救うために彼らの命を奪うのだと、その信念がある者は前に出よ！！			ミナトという女							
そ、それでも、亡者たちが叫んでおるのだ。まだ、黄泉国に来るべき者が来ていない、と……！！			そ、それでも、亡者たちが叫んでおるのだ。まだ、黄泉国に来るべき者が来ていない、と……！！			ミナトという女							
(-？？？？-)それは、誠に死者の言葉か……？			(-？？？？-)それは、誠に死者の言葉か……？			ミナトという女							
おぬし、死者の霊魂を口寄せできるらしいが、拙者は帝国の戦場跡でとある人物に出会い、手紙を託された。			おぬし、死者の霊魂を口寄せできるらしいが、拙者は帝国の戦場跡でとある人物に出会い、手紙を託された。			ミナトという女							
イサリ村の漁師、アキツだな……？おぬし宛てだ、受け取れ。			イサリ村の漁師、アキツだな……？おぬし宛てだ、受け取れ。			ミナトという女							
こ、これは……親父からの手紙！戦場で重傷を負って、いまは治療中だって……！？			こ、これは……親父からの手紙！戦場で重傷を負って、いまは治療中だって……！？			ミナトという女							
親父は生きていた。じゃあ、あの口寄せは……？			親父は生きていた。じゃあ、あの口寄せは……？			ミナトという女							
さて、これをどう説明する？			さて、これをどう説明する？			ミナトという女							
義娘は臆病な娘であったが、真に家族思いであった。私のために、きっとお前を討ち果たしてくれるはず……。			義娘は臆病な娘であったが、真に家族思いであった。私のために、きっとお前を討ち果たしてくれるはず……。			ミナトという女							
若、ご挨拶が遅くなり申したが、ゴウセツ、只今、帰参つかまつりました。			若、ご挨拶が遅くなり申したが、ゴウセツ、只今、帰参つかまつりました。			ミナトという女							
おう、よく戻ってくれた。そなたのおかげで、キセイの欺瞞が暴かれ、扇動されていた村人たちも我に返ってくれたようだ。			おう、よく戻ってくれた。そなたのおかげで、キセイの欺瞞が暴かれ、扇動されていた村人たちも我に返ってくれたようだ。			ミナトという女							
本当に助かったぞ、ゴウセツ。どうやら、偽神獣の件はすでに承知しているようだな。			本当に助かったぞ、ゴウセツ。どうやら、偽神獣の件はすでに承知しているようだな。			ミナトという女							
ドマに戻ってきたところ、民の騒ぎを聞きつけ、話を聞いて回ったので、大体のことは把握済みでござる。			ドマに戻ってきたところ、民の騒ぎを聞きつけ、話を聞いて回ったので、大体のことは把握済みでござる。			ミナトという女							
アキツの父親とは、帝国領内で慰霊の旅をしているときに、たまたま反乱軍の療養所で出会った次第。			アキツの父親とは、帝国領内で慰霊の旅をしているときに、たまたま反乱軍の療養所で出会った次第。			ミナトという女							
のっぴきならぬ状況下ではあるが、こうして皆、無事に再会できたことは、喜ばしきことでござるな。			のっぴきならぬ状況下ではあるが、こうして皆、無事に再会できたことは、喜ばしきことでござるな。			ミナトという女							
そなたは確か……トンボだな？			そなたは確か……トンボだな？			ミナトという女							
ご、ごめんなさい！ヒエン様のことを恨むなんて、俺が間違っていた！			ご、ごめんなさい！ヒエン様のことを恨むなんて、俺が間違っていた！			ミナトという女							
誰かを恨んだところで、死んだ父ちゃんは帰ってこないのに、そうせずにはいられなかったんだ。			誰かを恨んだところで、死んだ父ちゃんは帰ってこないのに、そうせずにはいられなかったんだ。			ミナトという女							
もうよいのだ、どうか面を上げてくれ。			もうよいのだ、どうか面を上げてくれ。			ミナトという女							
でも、兄貴は誰も恨まなかったことで、絶望して獣になった。俺もまだ父ちゃんの死を乗り越えられていないから、今度は自分が獣になるんじゃないかと不安なんだ。			でも、兄貴は誰も恨まなかったことで、絶望して獣になった。俺もまだ父ちゃんの死を乗り越えられていないから、今度は自分が獣になるんじゃないかと不安なんだ。			ミナトという女							
父ちゃんにお墓を作ってあげられたらいいんだけど、遺体も戻ってきてないから、埋葬すらできない……。			父ちゃんにお墓を作ってあげられたらいいんだけど、遺体も戻ってきてないから、埋葬すらできない……。			ミナトという女							
ご、ごめんなさい、これもヒエン様のせいじゃない。どうしようもないことなんだ。			ご、ごめんなさい、これもヒエン様のせいじゃない。どうしようもないことなんだ。			ミナトという女							
拙者、旅先にて、戦場跡に残る大量の躯を埋葬いたしました。アキツの父のように生存している者は、例外中の例外、戻ってきてない徴用兵の生還は絶望的でござろう。			拙者、旅先にて、戦場跡に残る大量の躯を埋葬いたしました。アキツの父のように生存している者は、例外中の例外、戻ってきてない徴用兵の生還は絶望的でござろう。			ミナトという女							
そして、たとえ虚偽であっても、キセイの口寄せに、救いを見出す者がいたのは事実。			そして、たとえ虚偽であっても、キセイの口寄せに、救いを見出す者がいたのは事実。			ミナトという女							
また、逆恨みであっても、やり場のない怒りをヒエン様や帰還者に向けることで、絶望を紛らわせていた者もいたはず。			また、逆恨みであっても、やり場のない怒りをヒエン様や帰還者に向けることで、絶望を紛らわせていた者もいたはず。			ミナトという女							
そのすべてが失われたいま、あの小僧然り、絶望を抱えた者が、獣と化す危険が生じたことでござろう。			そのすべてが失われたいま、あの小僧然り、絶望を抱えた者が、獣と化す危険が生じたことでござろう。			ミナトという女							
そのとおりだな。キセイの虚偽が暴かれたとて、状況が好転したわけではない。いまこそ獣化の抜本的な対策を講じねばならん。			そのとおりだな。キセイの虚偽が暴かれたとて、状況が好転したわけではない。いまこそ獣化の抜本的な対策を講じねばならん。			ミナトという女							
ゴウセツ、是非とも慰霊の旅で死と向き合ってきた、そなたの知恵をかしてほしい。			ゴウセツ、是非とも慰霊の旅で死と向き合ってきた、そなたの知恵をかしてほしい。			ミナトという女							
この老いぼれにできることがあれば、何なりとお申し付けくだされ。			この老いぼれにできることがあれば、何なりとお申し付けくだされ。			ミナトという女							
そもそも、元凶であるヨツユを生かして連れ帰ったのは拙者。その責任も果たさねばなりますまい。			そもそも、元凶であるヨツユを生かして連れ帰ったのは拙者。その責任も果たさねばなりますまい。			ミナトという女							
Forename、此度もご苦労だった。獣化の対策はわしらで講じておく。また折を見て、様子を見に来てくれ。			Forename、此度もご苦労だった。獣化の対策はわしらで講じておく。また折を見て、様子を見に来てくれ。			ミナトという女							
ドマ町人地のユウギリは、冒険者を待っていたようだ。			ドマ町人地のユウギリは、冒険者を待っていたようだ。			遺品に宿る魂							
ヒエンから獣化の対策のため、ガンエン廟に民を埋葬し国葬を行うことにしたと聞いた。遺体の代わりに遺品を埋葬するため、その回収に冒険者が同行することになった。ヤンサのナマイ村にいる「ヒエン」と話そう。			ヒエンから獣化の対策のため、ガンエン廟に民を埋葬し国葬を行うことにしたと聞いた。遺体の代わりに遺品を埋葬するため、その回収に冒険者が同行することになった。ヤンサのナマイ村にいる「ヒエン」と話そう。			遺品に宿る魂							
遺品回収に同行して遺族の話を聞くことになった。ヒエンと同行して、ナマイ村の遺族たちと話そう。※同行状態が解除された場合、再度「ヒエン」に話しかけることで同行を再開できます			遺品回収に同行して遺族の話を聞くことになった。ヒエンと同行して、ナマイ村の遺族たちと話そう。※同行状態が解除された場合、再度「ヒエン」に話しかけることで同行を再開できます			遺品に宿る魂							
ヒエンの遺品回収に同行して遺族の話を聞いた。ヒエンと休憩することになった。ヤンサの玄水連山の棚田にいる「ヒエン」と話そう。			ヒエンの遺品回収に同行して遺族の話を聞いた。ヒエンと休憩することになった。ヤンサの玄水連山の棚田にいる「ヒエン」と話そう。			遺品に宿る魂							
ヒエンと話したところ、ゴウセツが現れて、ヒエンの父であるカイエンの遺品を埋葬することになった。空を飛ばないと行けない場所にあるというので、ヒエンはヨルを呼んだ。玄水連山の棚田にいる「ヒエン」と話し、梅泉郷へ向かおう。			ヒエンと話したところ、ゴウセツが現れて、ヒエンの父であるカイエンの遺品を埋葬することになった。空を飛ばないと行けない場所にあるというので、ヒエンはヨルを呼んだ。玄水連山の棚田にいる「ヒエン」と話し、梅泉郷へ向かおう。			遺品に宿る魂							
ヒエンと話し、ヨルに乗って梅泉郷へ向かった。ヒエンは埋められていた「セイテンタイセイ」の人形を掘り返した。彼が幼い頃にカイエンから与えられたものだという。ドマ町人地の「ヒエン」と話そう。			ヒエンと話し、ヨルに乗って梅泉郷へ向かった。ヒエンは埋められていた「セイテンタイセイ」の人形を掘り返した。彼が幼い頃にカイエンから与えられたものだという。ドマ町人地の「ヒエン」と話そう。			遺品に宿る魂							
ヒエンと話した。彼は遺品がすべて集まり次第、ドマの国葬を執り行うという。折を見て、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが90以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ヒエンと話した。彼は遺品がすべて集まり次第、ドマの国葬を執り行うという。折を見て、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが90以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			遺品に宿る魂							
ナマイ村のヒエンと話して同行させる			ナマイ村のヒエンと話して同行させる			遺品に宿る魂							
ヒエンを連れて遺族たちと話す			ヒエンを連れて遺族たちと話す			遺品に宿る魂							
ヒエンと話す			ヒエンと話す			遺品に宿る魂							
ヒエンと再度話す			ヒエンと再度話す			遺品に宿る魂							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			遺品に宿る魂							
Forename殿。海賊衆によると、あれから偽神獣の姿は目撃されていないそうだ。おそらく、我らを恐れてのことだろう。			Forename殿。海賊衆によると、あれから偽神獣の姿は目撃されていないそうだ。おそらく、我らを恐れてのことだろう。			遺品に宿る魂							
一方で、ゴウセツと共に練っていた、獣化を防ぐための方策がまとまったと聞く。ヒエン様から、説明を受けるとしよう。			一方で、ゴウセツと共に練っていた、獣化を防ぐための方策がまとまったと聞く。ヒエン様から、説明を受けるとしよう。			遺品に宿る魂							
すでに聞き及んでおるかもしれんが、帰還者たちを保護していることもあり、偽神獣に動きはない。			すでに聞き及んでおるかもしれんが、帰還者たちを保護していることもあり、偽神獣に動きはない。			遺品に宿る魂							
その間、獣化を防ぐための方策を練っておったのだが……ゴウセツ、説明を頼めるか？			その間、獣化を防ぐための方策を練っておったのだが……ゴウセツ、説明を頼めるか？			遺品に宿る魂							
トンボが語っていたように。徴用兵の遺族らは、愛する者の遺体すら戻ってこないとあって、弔うこともできておらぬ。			トンボが語っていたように。徴用兵の遺族らは、愛する者の遺体すら戻ってこないとあって、弔うこともできておらぬ。			遺品に宿る魂							
埋葬とは死者に敬意を示すと同時に、別れを告げる機会でござる。それができぬとあっては、死を受け入れることも難しい。			埋葬とは死者に敬意を示すと同時に、別れを告げる機会でござる。それができぬとあっては、死を受け入れることも難しい。			遺品に宿る魂							
そこで、わしは決意した。我が祖先の霊廟である「ガンエン廟」に、戦没者すべての魂を祀り、厳かに国葬を執り行うとな。			そこで、わしは決意した。我が祖先の霊廟である「ガンエン廟」に、戦没者すべての魂を祀り、厳かに国葬を執り行うとな。			遺品に宿る魂							
