不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
そういうことなら、私たちも……！			そういうことなら、私たちも……！			もうひとつの未来							
いや、お前たちは一度、拠点に戻るのだ。メルウィブから、大事を成しとげたあとだと聞いている。かなり消耗したはずだとな……。			いや、お前たちは一度、拠点に戻るのだ。メルウィブから、大事を成しとげたあとだと聞いている。かなり消耗したはずだとな……。			もうひとつの未来							
リセの言うとおり、塔の調査は吾輩らで試みよう。成果が出次第、各国と「暁」にも共有する。そのときにまた、お前たちの意見を聞かせてくれ。			リセの言うとおり、塔の調査は吾輩らで試みよう。成果が出次第、各国と「暁」にも共有する。そのときにまた、お前たちの意見を聞かせてくれ。			もうひとつの未来							
……わかったわ、気遣いありがとう。でも、力が必要だったら必ず連絡して。リセ、それにラウバーンも……どうか気をつけて。			……わかったわ、気遣いありがとう。でも、力が必要だったら必ず連絡して。リセ、それにラウバーンも……どうか気をつけて。			もうひとつの未来							
このような事態だ……また「暁」の協力を仰ぎもするだろう。だからこそ、今は吾輩らに任せて休んでくれ。何かあったらすぐに共有しよう。			このような事態だ……また「暁」の協力を仰ぎもするだろう。だからこそ、今は吾輩らに任せて休んでくれ。何かあったらすぐに共有しよう。			もうひとつの未来							
そっか、テンパードの治療、やりとげたんだね……！だったらなおさら、アタシたちもがんばらないと。すぐに支度をして塔に向かってみるよ。			そっか、テンパードの治療、やりとげたんだね……！だったらなおさら、アタシたちもがんばらないと。すぐに支度をして塔に向かってみるよ。			もうひとつの未来							
「石の家」に戻ってくると、本当に落ち着くよ。考えるべきことは多いが、ここでなら冷静になれそうだ……。			「石の家」に戻ってくると、本当に落ち着くよ。考えるべきことは多いが、ここでなら冷静になれそうだ……。			もうひとつの未来							
ヤ・シュトラも、ついさっき帰ってきたんですって。例の塔が現れたことも知ってるそうよ。			ヤ・シュトラも、ついさっき帰ってきたんですって。例の塔が現れたことも知ってるそうよ。			もうひとつの未来							
あちこち、走りに走ったな……。おかげさまでどこに行っても身体は平気だが、ここでひと息つくのには賛成だ。			あちこち、走りに走ったな……。おかげさまでどこに行っても身体は平気だが、ここでひと息つくのには賛成だ。			もうひとつの未来							
休ませてもらったおかげで、すっかり回復したわ。そちらは別れたあとも、大分いろいろあったようね。			休ませてもらったおかげで、すっかり回復したわ。そちらは別れたあとも、大分いろいろあったようね。			もうひとつの未来							
お帰りなさいまっせ。みなさんお疲れでしょう、ゆっくり休んでくだっさい。			お帰りなさいまっせ。みなさんお疲れでしょう、ゆっくり休んでくだっさい。			もうひとつの未来							
Forenameさんも、おかえりなさい。大変な事態になってしまったということ、取り急ぎ同盟軍から連絡をもらったわ……。			Forenameさんも、おかえりなさい。大変な事態になってしまったということ、取り急ぎ同盟軍から連絡をもらったわ……。			もうひとつの未来							
ヤ・シュトラも戻ってきていることだし、あなたたちからも、改めて事の次第を聞かせてもらえる？			ヤ・シュトラも戻ってきていることだし、あなたたちからも、改めて事の次第を聞かせてもらえる？			もうひとつの未来							
蛮神問題の解決に光明が見えたと思ったら、とんでもない相手が現れたものね。しかも、ゼノスまで加担しているなんて……。			蛮神問題の解決に光明が見えたと思ったら、とんでもない相手が現れたものね。しかも、ゼノスまで加担しているなんて……。			もうひとつの未来							
ファダニエルは「終末」を再現すると言っていたが、その意図も方法論も、謎に包まれたままだ。関係しているらしい、異形の塔の調査が待たれるが……			ファダニエルは「終末」を再現すると言っていたが、その意図も方法論も、謎に包まれたままだ。関係しているらしい、異形の塔の調査が待たれるが……			もうひとつの未来							
ねえ、ファダニエルは、従えていた竜のことを、「ルナバハムート」って呼んでいたわよね？			ねえ、ファダニエルは、従えていた竜のことを、「ルナバハムート」って呼んでいたわよね？			もうひとつの未来							
確かに姿形は、第七霊災のときに確認された、バハムートと似ていたようにも思うけれど……。			確かに姿形は、第七霊災のときに確認された、バハムートと似ていたようにも思うけれど……。			もうひとつの未来							
確かに姿形は、あなたと見た蛮神バハムートに、似ていた気もするけれど……。			確かに姿形は、あなたと見た蛮神バハムートに、似ていた気もするけれど……。			もうひとつの未来							
ファダニエルに使役されていたことも考えると、そのものってわけじゃなさそうだな。アシエンの秘術で創ったものか、それとも……。			ファダニエルに使役されていたことも考えると、そのものってわけじゃなさそうだな。アシエンの秘術で創ったものか、それとも……。			もうひとつの未来							
今は、あまりにも情報が少ない。いずれにせよ、再出現に備えて同盟軍と連携し、警戒網を作っていくしかないだろう。			今は、あまりにも情報が少ない。いずれにせよ、再出現に備えて同盟軍と連携し、警戒網を作っていくしかないだろう。			もうひとつの未来							
こちらからは以上だが、ヤ・シュトラはあれから、どうしてたんだい？			こちらからは以上だが、ヤ・シュトラはあれから、どうしてたんだい？			もうひとつの未来							
マトーヤの洞窟で休息させてもらったあと、私はポークシーを不滅隊に引き渡しに行ったの。			マトーヤの洞窟で休息させてもらったあと、私はポークシーを不滅隊に引き渡しに行ったの。			もうひとつの未来							
ウルダハではテンパードの処分が頻繁に行われているから、一刻も早く、治療法を伝えるべきだと判断したのよ。ナナモ陛下は、ことさら喜んでくれたわ。			ウルダハではテンパードの処分が頻繁に行われているから、一刻も早く、治療法を伝えるべきだと判断したのよ。ナナモ陛下は、ことさら喜んでくれたわ。			もうひとつの未来							
ただ、そこで気になることを耳にしてね……。不滅隊とアマルジャ族の和平交渉が成立寸前まで進んだものの、一転して決裂したと言うのよ。			ただ、そこで気になることを耳にしてね……。不滅隊とアマルジャ族の和平交渉が成立寸前まで進んだものの、一転して決裂したと言うのよ。			もうひとつの未来							
しかも、その理由が、ヒトによるアマルジャ族の誘拐騒ぎなんだとか……。			しかも、その理由が、ヒトによるアマルジャ族の誘拐騒ぎなんだとか……。			もうひとつの未来							
現時点では犯人の正体、目的ともに不明。事件の捜査中に、ザナラーンにも異形の塔が現れたとあって、不滅隊もてんやわんやだったわ……。			現時点では犯人の正体、目的ともに不明。事件の捜査中に、ザナラーンにも異形の塔が現れたとあって、不滅隊もてんやわんやだったわ……。			もうひとつの未来							
同盟軍からの連絡によると、異形の塔が現れたのは、ギラバニア、黒衣森、ラノシア、ザナラーン、ドラヴァニア、そして東方のヤンサ……。			同盟軍からの連絡によると、異形の塔が現れたのは、ギラバニア、黒衣森、ラノシア、ザナラーン、ドラヴァニア、そして東方のヤンサ……。			もうひとつの未来							
エオルゼアに留まらず、東方のドマにまで……。そうとなれば、未だ確認されていないだけで、ほかの地域にも出現しているかもしれないね。			エオルゼアに留まらず、東方のドマにまで……。そうとなれば、未だ確認されていないだけで、ほかの地域にも出現しているかもしれないね。			もうひとつの未来							
とにかく今は、調査結果を待ちつつ備えを強化しましょう。ファダニエルが七大天竜に連なる存在を従えているなら、その筋の専門家を迎えなくっちゃ。			とにかく今は、調査結果を待ちつつ備えを強化しましょう。ファダニエルが七大天竜に連なる存在を従えているなら、その筋の専門家を迎えなくっちゃ。			もうひとつの未来							
エスティニアンさんでっすね！			エスティニアンさんでっすね！			もうひとつの未来							
なんだって……！？エスティニアン殿の協力が得られればもちろん心強いが、彼に連絡をつけることはできるのかい？			なんだって……！？エスティニアン殿の協力が得られればもちろん心強いが、彼に連絡をつけることはできるのかい？			もうひとつの未来							
それなら、この私とクルルさんにお任せくだっさい！どこに隠れていようとも、必ずや見つけ出してみせまっす！			それなら、この私とクルルさんにお任せくだっさい！どこに隠れていようとも、必ずや見つけ出してみせまっす！			もうひとつの未来							
別に隠れてはいないと思うけど、私とタタルさんで捜索すれば確実なのはたしかね。さっそく探しに行くとしましょうか。			別に隠れてはいないと思うけど、私とタタルさんで捜索すれば確実なのはたしかね。さっそく探しに行くとしましょうか。			もうひとつの未来							
それじゃあ、私も各国を巡って、ポークシーの扱い方を指導して回ってこようかしら。じっとしているより、よほど有益なはずだもの。			それじゃあ、私も各国を巡って、ポークシーの扱い方を指導して回ってこようかしら。じっとしているより、よほど有益なはずだもの。			もうひとつの未来							
賛成だが、少し身体を休めてからだよ。コボルド族との和解をはじめ成果だって出ているんだ。焦りすぎず、着実にこなしていこう。			賛成だが、少し身体を休めてからだよ。コボルド族との和解をはじめ成果だって出ているんだ。焦りすぎず、着実にこなしていこう。			もうひとつの未来							
第八霊災は退けても、一難去ってまた一難……だな。			第八霊災は退けても、一難去ってまた一難……だな。			もうひとつの未来							
何と言う？			何と言う？			もうひとつの未来							
終末なんて、起こさせない			終末なんて、起こさせない			もうひとつの未来							
楽しい冒険じゃなくてごめん			楽しい冒険じゃなくてごめん			もうひとつの未来							
や、休みたい……			や、休みたい……			もうひとつの未来							
ああ……まだわからないことだらけだが、世界を「死にたいだけ」の道連れにされてたまるか。			ああ……まだわからないことだらけだが、世界を「死にたいだけ」の道連れにされてたまるか。			もうひとつの未来							
オレは生きるし、あんたもみんなも死なせない……そのためになら何度だって戦えるんだ。……あんたにもあんたの、そういう理由があるんだろ？			オレは生きるし、あんたもみんなも死なせない……そのためになら何度だって戦えるんだ。……あんたにもあんたの、そういう理由があるんだろ？			もうひとつの未来							
オレは十分、楽しかったけどな。たしかに気ままな旅じゃないが、あんたと並んで、「今」って歴史を歩んでるんだ。			オレは十分、楽しかったけどな。たしかに気ままな旅じゃないが、あんたと並んで、「今」って歴史を歩んでるんだ。			もうひとつの未来							
けど、まだまだ全然たりないぞ！だからテロフォロイの好きにはさせない……だろ？			けど、まだまだ全然たりないぞ！だからテロフォロイの好きにはさせない……だろ？			もうひとつの未来							
はは……今のうちにひと眠りしてくるか？何かあったら、今度はオレが、あんたを起こすよ。			はは……今のうちにひと眠りしてくるか？何かあったら、今度はオレが、あんたを起こすよ。			もうひとつの未来							
オレはあんたの活躍を格好いいと思ってるけどさ、同じくらい、無事でいてほしいとも思ってるんだ。だからときには休んで……次の戦いも、超えていこう。			オレはあんたの活躍を格好いいと思ってるけどさ、同じくらい、無事でいてほしいとも思ってるんだ。だからときには休んで……次の戦いも、超えていこう。			もうひとつの未来							
アドミラルブリッジのメルウィブは、コボルド族との和平交渉に臨みたいようだ。			アドミラルブリッジのメルウィブは、コボルド族との和平交渉に臨みたいようだ。			バイルブランドの船出							
メルウィブと話した。外地ラノシアのキャンプ・オーバールックで「アリゼー」と話そう。			メルウィブと話した。外地ラノシアのキャンプ・オーバールックで「アリゼー」と話そう。			バイルブランドの船出							
アリゼーと話したところ、メルウィブらも到着し、和平交渉に向かうことになった。外地ラノシアのウ・ガマロ武装鉱山で「メルウィブ」と話そう。			アリゼーと話したところ、メルウィブらも到着し、和平交渉に向かうことになった。外地ラノシアのウ・ガマロ武装鉱山で「メルウィブ」と話そう。			バイルブランドの船出							
メルウィブと話し、交渉場所へ向かった。作戦は成功し、ペイトリアーク02 ザ・ダのテンパード化を解くことができた。			メルウィブと話し、交渉場所へ向かった。作戦は成功し、ペイトリアーク02 ザ・ダのテンパード化を解くことができた。			バイルブランドの船出							
メルウィブと現れたガ・ブによる交渉の末、コボルド族と和平を結ぶことに成功した。キャンプ・オーバールックの「メルウィブ」と話そう。			メルウィブと現れたガ・ブによる交渉の末、コボルド族と和平を結ぶことに成功した。キャンプ・オーバールックの「メルウィブ」と話そう。			バイルブランドの船出							
メルウィブと話した。種族間の和解の成功は、未来への大きな一歩となるだろう。			メルウィブと話した。種族間の和解の成功は、未来への大きな一歩となるだろう。			バイルブランドの船出							
キャンプ・オーバールックのアリゼーと話す			キャンプ・オーバールックのアリゼーと話す			バイルブランドの船出							
メルウィブと話す			メルウィブと話す			バイルブランドの船出							
メルウィブと再度話す			メルウィブと再度話す			バイルブランドの船出							
決闘が始まったときは、どうなることかと思ったが、なんとか丸く収まってよかったよ。			決闘が始まったときは、どうなることかと思ったが、なんとか丸く収まってよかったよ。			バイルブランドの船出							
シカルドたちのやってたことを肯定はしないけど、生き方を変えるのが難しいのは、よくわかるわ……。私だって、それを思い知るくらいには人と出会ってきたもの。			シカルドたちのやってたことを肯定はしないけど、生き方を変えるのが難しいのは、よくわかるわ……。私だって、それを思い知るくらいには人と出会ってきたもの。			バイルブランドの船出							
自分が絶対に正しい保証など、どこにもない……それをわかっていながらも、堂々と立ち、意志を通さなければならないことがあるんだ。			自分が絶対に正しい保証など、どこにもない……それをわかっていながらも、堂々と立ち、意志を通さなければならないことがあるんだ。			バイルブランドの船出							
……立派だよ、メルウィブ提督は。彼女の繰る船に、いい風が吹くといいな。			……立派だよ、メルウィブ提督は。彼女の繰る船に、いい風が吹くといいな。			バイルブランドの船出							
まさか、ヒルフィルが姿を現すとはな。霧髭と同じく、奴もメルウィブ提督にこの国を託したんだ。新たなリムサ・ロミンサの船出は、その時から始まっていたのさ。			まさか、ヒルフィルが姿を現すとはな。霧髭と同じく、奴もメルウィブ提督にこの国を託したんだ。新たなリムサ・ロミンサの船出は、その時から始まっていたのさ。			バイルブランドの船出							
Surname、提督がお待ちだ。アドミラルブリッジの「提督室」に通そう。			Surname、提督がお待ちだ。アドミラルブリッジの「提督室」に通そう。			バイルブランドの船出							
「アドミラルブリッジ：提督室」へ移動しますか？			「アドミラルブリッジ：提督室」へ移動しますか？			バイルブランドの船出							
さて、和平交渉についてだが……大前提として、話し合いの場を設けられたとしても、相手がテンパードのままでは、話が堂々巡りするだけだろう。			さて、和平交渉についてだが……大前提として、話し合いの場を設けられたとしても、相手がテンパードのままでは、話が堂々巡りするだけだろう。			バイルブランドの船出							
そこで、引き続き「暁の血盟」には協力を頼みたい。交渉相手となるであろうコボルド族の高位司祭に、治療を施し、蛮神の影響を掃ってほしいのだ。			そこで、引き続き「暁の血盟」には協力を頼みたい。交渉相手となるであろうコボルド族の高位司祭に、治療を施し、蛮神の影響を掃ってほしいのだ。			バイルブランドの船出							
もちろん、そのつもりだったわ。一種の洗脳状態ともいえるテンパード化を解除できれば、話し合いは可能になる……あとはそちら次第よ。			もちろん、そのつもりだったわ。一種の洗脳状態ともいえるテンパード化を解除できれば、話し合いは可能になる……あとはそちら次第よ。			バイルブランドの船出							
かたじけない……。ところで、交渉に向かう前に、君たちに知っておいてもらいたいことがある。			かたじけない……。ところで、交渉に向かう前に、君たちに知っておいてもらいたいことがある。			バイルブランドの船出							
実は50年以上前、我が国はサハギン族との戦いに注力するため、一度、コボルド族と和議を結んだことがあるのだ。			実は50年以上前、我が国はサハギン族との戦いに注力するため、一度、コボルド族と和議を結んだことがあるのだ。			バイルブランドの船出							
「海の恵みは人のもの、大地の恵みはコボルド族のもの」……という相互不可侵協定のことですね？			「海の恵みは人のもの、大地の恵みはコボルド族のもの」……という相互不可侵協定のことですね？			バイルブランドの船出							
ラノシアはリムサ・ロミンサ領、オ・ゴモロ山以北はコボルド領、そう取り決めたつもりが、認識にズレがあったのだ。条文が曖昧すぎたとも言える。			ラノシアはリムサ・ロミンサ領、オ・ゴモロ山以北はコボルド領、そう取り決めたつもりが、認識にズレがあったのだ。条文が曖昧すぎたとも言える。			バイルブランドの船出							
結果、北ラノシアへの入植を巡って衝突が起きた。最初の交戦で相互に犠牲が出れば、後戻りはできない。そして、戦えば戦うほどに、死者数と遺恨が膨れ上がる……。			結果、北ラノシアへの入植を巡って衝突が起きた。最初の交戦で相互に犠牲が出れば、後戻りはできない。そして、戦えば戦うほどに、死者数と遺恨が膨れ上がる……。			バイルブランドの船出							
この戦いは、歴史ではなく、現在進行形で起きている問題なのだ。テンパードを治療できたとて、交渉が容易ではないということを、心に留めておいてほしい……。			この戦いは、歴史ではなく、現在進行形で起きている問題なのだ。テンパードを治療できたとて、交渉が容易ではないということを、心に留めておいてほしい……。			バイルブランドの船出							
(-エインザル大甲将-)提督……。このまま和平交渉を持ちかけたとて、コボルド族が、応じることなど考えられませんが……？			(-エインザル大甲将-)提督……。このまま和平交渉を持ちかけたとて、コボルド族が、応じることなど考えられませんが……？			バイルブランドの船出							
断罪党が略奪したクリスタルを押収し、コボルド族に返還したいと持ちかけるつもりだ。それも、私による直接の謝罪を伴った上で、と……。			断罪党が略奪したクリスタルを押収し、コボルド族に返還したいと持ちかけるつもりだ。それも、私による直接の謝罪を伴った上で、と……。			バイルブランドの船出							
(-エインザル大甲将-)ふむ……彼らにとっては、敵の盟主を討ち取る、またとない好機。和平に応じる考えはなくとも、我らを拠点に招き入れるでしょうな。			(-エインザル大甲将-)ふむ……彼らにとっては、敵の盟主を討ち取る、またとない好機。和平に応じる考えはなくとも、我らを拠点に招き入れるでしょうな。			バイルブランドの船出							
特に、大量のクリスタルを引き渡すわけだからな。その場でタイタンを召喚し、私の抹殺を狙う可能性が高いだろう。			特に、大量のクリスタルを引き渡すわけだからな。その場でタイタンを召喚し、私の抹殺を狙う可能性が高いだろう。			バイルブランドの船出							
そっか……神降ろしをするとなれば、高位の司祭が必ず現れる。そこを私の使い魔で、テンパード化を解けばいいのね！			そっか……神降ろしをするとなれば、高位の司祭が必ず現れる。そこを私の使い魔で、テンパード化を解けばいいのね！			バイルブランドの船出							
私を餌に、大物を釣り上げたい。問題は、アリゼー殿に司祭の治療を頼むとして、ほかのコボルド族が黙って見ているはずがないという点だ。			私を餌に、大物を釣り上げたい。問題は、アリゼー殿に司祭の治療を頼むとして、ほかのコボルド族が黙って見ているはずがないという点だ。			バイルブランドの船出							
かといって、ひとりでも殺めれば、治療の成否によらず、会談はご破算となるだろう。			かといって、ひとりでも殺めれば、治療の成否によらず、会談はご破算となるだろう。			バイルブランドの船出							
(-エインザル大甲将-)「魔縛鎖」が使えるでしょう……。動きを封じることができる、魔法仕掛けの鎖です。ある程度は相手を弱らせる必要がありますがね。			(-エインザル大甲将-)「魔縛鎖」が使えるでしょう……。動きを封じることができる、魔法仕掛けの鎖です。ある程度は相手を弱らせる必要がありますがね。			バイルブランドの船出							
……聞いたことがある。たしか伝説の大海賊「霧髭」が、人を殺めることなく、略奪するために使っていた古代の秘宝だったか……。			……聞いたことがある。たしか伝説の大海賊「霧髭」が、人を殺めることなく、略奪するために使っていた古代の秘宝だったか……。			バイルブランドの船出							
では、妨害者は「魔縛鎖」で封じるとして……あとは、アリゼー殿と「暁」の皆に意見を聞きたい。			では、妨害者は「魔縛鎖」で封じるとして……あとは、アリゼー殿と「暁」の皆に意見を聞きたい。			バイルブランドの船出							
召喚を仕切る司祭ともなると、恐らく重度のテンパードだろう。治療を成功させるには、かなりの魔力が必要になる……術者であるアリゼーの負担は大きいはずだ。			召喚を仕切る司祭ともなると、恐らく重度のテンパードだろう。治療を成功させるには、かなりの魔力が必要になる……術者であるアリゼーの負担は大きいはずだ。			バイルブランドの船出							
それに加えて、治療完了までは集中を要します。私たちも加わってアリゼーを護りますが、相手方の拠点となれば、乱戦にもつれこんで、危険が及ぶ可能性もありましょう。			それに加えて、治療完了までは集中を要します。私たちも加わってアリゼーを護りますが、相手方の拠点となれば、乱戦にもつれこんで、危険が及ぶ可能性もありましょう。			バイルブランドの船出							
大丈夫、それでもやるわ！私はもう、ガ・ブのような悲しい子を出したくないの。			大丈夫、それでもやるわ！私はもう、ガ・ブのような悲しい子を出したくないの。			バイルブランドの船出							
テンパードの解除魔法は、罪喰い化を治す術から生まれた。弱き者を護ろうとしたテスリーンの……大事な友達の遺志を継いだからこそ、会得したものだった。			テンパードの解除魔法は、罪喰い化を治す術から生まれた。弱き者を護ろうとしたテスリーンの……大事な友達の遺志を継いだからこそ、会得したものだった。			バイルブランドの船出							
だから、私はここで怖気づいたりなんてしない。必ず司祭を治療してみせるから、その作戦でいきましょう！			だから、私はここで怖気づいたりなんてしない。必ず司祭を治療してみせるから、その作戦でいきましょう！			バイルブランドの船出							
何と言う？			何と言う？			バイルブランドの船出							
アリゼーならできる！			アリゼーならできる！			バイルブランドの船出							
やっぱり、心配……			やっぱり、心配……			バイルブランドの船出							
ありがとう。私も信じてるから……みんなと、Forename Surnameをね。			ありがとう。私も信じてるから……みんなと、Forename Surnameをね。			バイルブランドの船出							
なら、私を絶対、あなたが護って。……信じてるからね、Forename。			なら、私を絶対、あなたが護って。……信じてるからね、Forename。			バイルブランドの船出							
では、作戦は決まりだな。各員、準備を整え、「キャンプ・オーバールック」に集合されたし！私からは以上だ……！			では、作戦は決まりだな。各員、準備を整え、「キャンプ・オーバールック」に集合されたし！私からは以上だ……！			バイルブランドの船出							
Surname。和平交渉の成功を祈っているぞ！			Surname。和平交渉の成功を祈っているぞ！			バイルブランドの船出							
大丈夫、アリゼーなら絶対にやりとげるさ。私たちは、それを全力で支援するんだ！			大丈夫、アリゼーなら絶対にやりとげるさ。私たちは、それを全力で支援するんだ！			バイルブランドの船出							
コボルド族の司祭の治療となると、軽症で大人しかったガ・ブとはわけが違うだろう。だが、実際はこういう相手の方が圧倒的に多いはずだ。			コボルド族の司祭の治療となると、軽症で大人しかったガ・ブとはわけが違うだろう。だが、実際はこういう相手の方が圧倒的に多いはずだ。			バイルブランドの船出							
第一世界の知恵と、こっちの知恵で編み上げた治癒魔法が、どこまで通用するか……オレたちで証明してみせよう。			第一世界の知恵と、こっちの知恵で編み上げた治癒魔法が、どこまで通用するか……オレたちで証明してみせよう。			バイルブランドの船出							
確認だけど……さっきアルフィノが言っていたように、治療中の私は、どうしたって無防備になってしまうわ。だから、みんなにサポートをお願いするわね。			確認だけど……さっきアルフィノが言っていたように、治療中の私は、どうしたって無防備になってしまうわ。だから、みんなにサポートをお願いするわね。			バイルブランドの船出							
もちろん、全力で護衛させてもらうさ。だから君は、使い魔の操作に集中するといい。			もちろん、全力で護衛させてもらうさ。だから君は、使い魔の操作に集中するといい。			バイルブランドの船出							
魔力についても、躊躇せずに使ってくれ。不足するようだったら、みんなで補うつもりだ。			魔力についても、躊躇せずに使ってくれ。不足するようだったら、みんなで補うつもりだ。			バイルブランドの船出							
ガ・ブ！？どうしてここに……！？			ガ・ブ！？どうしてここに……！？			バイルブランドの船出							
ボク　司祭さーまに　伝えたいことあーる！だから　ボクも　ワヘイコウショウにつれていってほしーい！			ボク　司祭さーまに　伝えたいことあーる！だから　ボクも　ワヘイコウショウにつれていってほしーい！			バイルブランドの船出							
ごめんね、ガ・ブ。とても危険だから、連れていけないの。ここでお留守番していてちょうだい。			ごめんね、ガ・ブ。とても危険だから、連れていけないの。ここでお留守番していてちょうだい。			バイルブランドの船出							
待たせたな。友好的なコボルド族を介して、謝罪を申し入れてきた。			待たせたな。友好的なコボルド族を介して、謝罪を申し入れてきた。			バイルブランドの船出							
当初は懐疑的な反応ではあったが、クリスタルの返却と、私の直接謝罪という条件を聞き、態度は一変してな。			当初は懐疑的な反応ではあったが、クリスタルの返却と、私の直接謝罪という条件を聞き、態度は一変してな。			バイルブランドの船出							
想定通り、タイタンを祀るオ・ゴモロ山の火口神殿にて、第2洞穴団の高位司祭、ザ・ダ殿と対面できることになった。さっそく、神殿に至る「ウ・ガマロ武装鉱山」に向かうとしよう。			想定通り、タイタンを祀るオ・ゴモロ山の火口神殿にて、第2洞穴団の高位司祭、ザ・ダ殿と対面できることになった。さっそく、神殿に至る「ウ・ガマロ武装鉱山」に向かうとしよう。			バイルブランドの船出							
ボク　司祭さーまにどうしても　伝えたいことあるのーに……。			ボク　司祭さーまにどうしても　伝えたいことあるのーに……。			バイルブランドの船出							
ザ・ダ殿というと、ガ・ブの両親を贄に捧げた、あの司祭だろうか……。			ザ・ダ殿というと、ガ・ブの両親を贄に捧げた、あの司祭だろうか……。			バイルブランドの船出							
あのとき私は、竜詩戦争を経て得た学びをもって、彼との和解を望み……届かなかった。			あのとき私は、竜詩戦争を経て得た学びをもって、彼との和解を望み……届かなかった。			バイルブランドの船出							
今やそれが皆の願いになっているんだ。必ず……今度こそ、和平交渉を成し遂げよう！			今やそれが皆の願いになっているんだ。必ず……今度こそ、和平交渉を成し遂げよう！			バイルブランドの船出							
ここまできて、四の五の言わないわ。私はやる……コボルド族とリムサ・ロミンサの未来のために。この術を生み出してくれた、みんなのために！			ここまできて、四の五の言わないわ。私はやる……コボルド族とリムサ・ロミンサの未来のために。この術を生み出してくれた、みんなのために！			バイルブランドの船出							
多少の無茶は承知だが、アリゼーが命の危険まで冒そうとしたら、額を弾いて止めてやるさ。			多少の無茶は承知だが、アリゼーが命の危険まで冒そうとしたら、額を弾いて止めてやるさ。			バイルブランドの船出							
まあ、そうさせないようにオレたちがいるんだけどな。……準備はいいか、英雄殿？			まあ、そうさせないようにオレたちがいるんだけどな。……準備はいいか、英雄殿？			バイルブランドの船出							
「魔縛鎖」の準備は万端だ。コボルド族を弱らせてくれたら、俺がまとめて拘束しよう。			「魔縛鎖」の準備は万端だ。コボルド族を弱らせてくれたら、俺がまとめて拘束しよう。			バイルブランドの船出							
コボルド族のチビが飛び込んできたようだが……もう元気になったのか？			コボルド族のチビが飛び込んできたようだが……もう元気になったのか？			バイルブランドの船出							
会談場所に指定されたオ・ゴモロ火口神殿は、このエーテライトから転移可能だ。			会談場所に指定されたオ・ゴモロ火口神殿は、このエーテライトから転移可能だ。			バイルブランドの船出							
我らが訪問すれば、司祭は蛮神召喚を試みるだろう。その兆しが見えた時点で、私がこれを阻止し、エインザルに「魔縛鎖」で拘束させる。			我らが訪問すれば、司祭は蛮神召喚を試みるだろう。その兆しが見えた時点で、私がこれを阻止し、エインザルに「魔縛鎖」で拘束させる。			バイルブランドの船出							
あとは、アリゼー殿の治療が完了するまで、我らで襲いくる者の相手をして、彼女を護るのだ。ただし、殺すな……弱らせて、エインザルに任せればいい。			あとは、アリゼー殿の治療が完了するまで、我らで襲いくる者の相手をして、彼女を護るのだ。ただし、殺すな……弱らせて、エインザルに任せればいい。			バイルブランドの船出							
それでは、君の準備がよければ、作戦を始めるとしよう。			それでは、君の準備がよければ、作戦を始めるとしよう。			バイルブランドの船出							
司祭さーま　わかってくれて　よかったーよ！アリーゼと　みんなのおかーげありがとーう！			司祭さーま　わかってくれて　よかったーよ！アリーゼと　みんなのおかーげありがとーう！			バイルブランドの船出							
和解が実現できて本当によかった。今はとにかく、アリゼーを讃え、労いたいと思っているよ。			和解が実現できて本当によかった。今はとにかく、アリゼーを讃え、労いたいと思っているよ。			バイルブランドの船出							
治療が成功したのは、みんなの協力あってこそよ。何より、人を信じようとしてくれた、ザ・ダ司祭に感謝したいわ。提督とガ・ブの想いが伝わったということね……。			治療が成功したのは、みんなの協力あってこそよ。何より、人を信じようとしてくれた、ザ・ダ司祭に感謝したいわ。提督とガ・ブの想いが伝わったということね……。			バイルブランドの船出							
世界を超えた多くの出会いが、アリゼーや提督の願いによって、コボルド族との和解という歴史を紡いだんだ。その場に立ち会えたことを、オレも誇りに思うよ。			世界を超えた多くの出会いが、アリゼーや提督の願いによって、コボルド族との和解という歴史を紡いだんだ。その場に立ち会えたことを、オレも誇りに思うよ。			バイルブランドの船出							
提督の無茶にはまたも肝を冷やされたが……それで和議を結べたのだから、良しとすべきか……。お前も皆も本当にご苦労だった！			提督の無茶にはまたも肝を冷やされたが……それで和議を結べたのだから、良しとすべきか……。お前も皆も本当にご苦労だった！			バイルブランドの船出							
皆のおかげで、コボルド族と和議を結ぶことができた。今後は、いまだテンパードの呪縛にとらわれている者たちを、第2洞穴団と黒渦団と協力して、治療していこうと思う。			皆のおかげで、コボルド族と和議を結ぶことができた。今後は、いまだテンパードの呪縛にとらわれている者たちを、第2洞穴団と黒渦団と協力して、治療していこうと思う。			バイルブランドの船出							
だが、コボルド族には多くの洞穴団が存在し、そのすべてを治療した上で、和解するには時間が必要だろう。地道に同志を増やしていくほかあるまい。			だが、コボルド族には多くの洞穴団が存在し、そのすべてを治療した上で、和解するには時間が必要だろう。地道に同志を増やしていくほかあるまい。			バイルブランドの船出							
改めて、私から皆に礼を言わせてくれ。此度はリムサ・ロミンサ……いや、エオルゼアの未来のため、尽力してくれたことに感謝する……本当にありがとう。			改めて、私から皆に礼を言わせてくれ。此度はリムサ・ロミンサ……いや、エオルゼアの未来のため、尽力してくれたことに感謝する……本当にありがとう。			バイルブランドの船出							
