イディルシャイアのロウェナは、帰り支度をしているようだ。			イディルシャイアのロウェナは、帰り支度をしているようだ。			その名をアニマウェポン							
さあ、「星精」が完成したよ。ゲロルトさんに依頼された、「秘製蒸留酒」と合わせて受け取ってくれ。			さあ、「星精」が完成したよ。ゲロルトさんに依頼された、「秘製蒸留酒」と合わせて受け取ってくれ。			人造精霊の未来							
じゃあ、ゲロルトさんにもよろしくね。また、どうぞご贔屓に！			じゃあ、ゲロルトさんにもよろしくね。また、どうぞご贔屓に！			人造精霊の未来							
星精と秘製蒸留酒をアルダシールくんに渡してあげてくれ。また、何か必要になったらどうぞご贔屓に！			星精と秘製蒸留酒をアルダシールくんに渡してあげてくれ。また、何か必要になったらどうぞご贔屓に！			人造精霊の未来							
Forenameさん、おかえりなさい。あなたを待っている間に、こちらも研究の進展がありました！もちろん、霊薬の調合準備も整っていますよ。			Forenameさん、おかえりなさい。あなたを待っている間に、こちらも研究の進展がありました！もちろん、霊薬の調合準備も整っていますよ。			人造精霊の未来							
「[???]」、「[???]」と、ブランプレさんから受け取ったものを渡してもらえますか？			「[???]」、「[???]」と、ブランプレさんから受け取ったものを渡してもらえますか？			人造精霊の未来							
「[???]」と、ブランプレさんから受け取ったものを渡してもらえますか？			「[???]」と、ブランプレさんから受け取ったものを渡してもらえますか？			人造精霊の未来							
ありがとうございます！これで、霊薬が作れます。			ありがとうございます！これで、霊薬が作れます。			人造精霊の未来							
……なんだこのビン？なにか、他に頼んでいたものがあったでしょうか。			……なんだこのビン？なにか、他に頼んでいたものがあったでしょうか。			人造精霊の未来							
……ゲロルトさんが、追加で頼んだ蒸留酒ですって？なんで借金まみれのアンタが、こんなもの買えるんですか……。			……ゲロルトさんが、追加で頼んだ蒸留酒ですって？なんで借金まみれのアンタが、こんなもの買えるんですか……。			人造精霊の未来							
……あ！！ロウェナさんから貰った研究費使い込んだなクソオヤジ！！			……あ！！ロウェナさんから貰った研究費使い込んだなクソオヤジ！！			人造精霊の未来							
なぁに、お前に説教しただろう？その授業料を支払ってもらったまでよ！			なぁに、お前に説教しただろう？その授業料を支払ってもらったまでよ！			人造精霊の未来							
……って、また秘製蒸留酒があるじゃないか！！俺からの説教をもう忘れてしまったのですかねぇ！！			……って、また秘製蒸留酒があるじゃないか！！俺からの説教をもう忘れてしまったのですかねぇ！！			人造精霊の未来							
……いいからちゃっちゃと霊薬を作りやがれ！この秘製蒸留酒を呷って、ノリにのったオレ様が人造精霊に打ちこんでやっからよォ！			……いいからちゃっちゃと霊薬を作りやがれ！この秘製蒸留酒を呷って、ノリにのったオレ様が人造精霊に打ちこんでやっからよォ！			人造精霊の未来							
もう、アンタって人は本当にどうしようもない人だ！今度は、俺からの説教を受けてもらいますよ！！！			もう、アンタって人は本当にどうしようもない人だ！今度は、俺からの説教を受けてもらいますよ！！！			人造精霊の未来							
もう、本当にアンタって人は……。あとで、もう一度俺からの説教を受けてもらいますよ！！			もう、本当にアンタって人は……。あとで、もう一度俺からの説教を受けてもらいますよ！！			人造精霊の未来							
…………では、気を取り直して、霊薬の調合を開始します！			…………では、気を取り直して、霊薬の調合を開始します！			人造精霊の未来							
★削除予定★			★削除予定★			人造精霊の未来							
よしっ、霊薬が完成したぞ！さあ、あとはこの霊薬を人造精霊に与えましょう。			よしっ、霊薬が完成したぞ！さあ、あとはこの霊薬を人造精霊に与えましょう。			人造精霊の未来							
ゲロルトさん、よろしくお願いします。			ゲロルトさん、よろしくお願いします。			人造精霊の未来							
完成したぜ……！！見ろ、霊薬によってエーテルを得て成長を遂げた、人造精霊の姿をな！			完成したぜ……！！見ろ、霊薬によってエーテルを得て成長を遂げた、人造精霊の姿をな！			人造精霊の未来							
名付けて、「[???]」！			名付けて、「[???]」！			人造精霊の未来							
名付けて「[???]」……そして、「[???]」！			名付けて「[???]」……そして、「[???]」！			人造精霊の未来							
主……。俺は今、力が流れ込むのを感じている……。また新たに、成長できているのか？			主……。俺は今、力が流れ込むのを感じている……。また新たに、成長できているのか？			人造精霊の未来							
……主！私、また輝いた気がします……。どうでしょう、あなたにふさわしくなれましたか……？			……主！私、また輝いた気がします……。どうでしょう、あなたにふさわしくなれましたか……？			人造精霊の未来							
どう答える？			どう答える？			人造精霊の未来							
もちろんだよ			もちろんだよ			人造精霊の未来							
まだまだだ			まだまだだ			人造精霊の未来							
……			……			人造精霊の未来							
ありがとう……主。主が気に入ったなら、それで十分だ。			ありがとう……主。主が気に入ったなら、それで十分だ。			人造精霊の未来							
ありがとう、主。あなたが気に入ったなら本望です。……ッフフ。			ありがとう、主。あなたが気に入ったなら本望です。……ッフフ。			人造精霊の未来							
……そうだな。主のために、つけられる力……。きっと、まだある。			……そうだな。主のために、つけられる力……。きっと、まだある。			人造精霊の未来							
……そうですね。まだ喜ぶには早すぎました……。主のために、もっと精進します。			……そうですね。まだ喜ぶには早すぎました……。主のために、もっと精進します。			人造精霊の未来							
なっ、なにか言ってくれ。主の気持ちを読み取れるほど、まだ力がないんだ。			なっ、なにか言ってくれ。主の気持ちを読み取れるほど、まだ力がないんだ。			人造精霊の未来							
……まだまだ、精進が必要だな。共に、頑張ってくれるか……？			……まだまだ、精進が必要だな。共に、頑張ってくれるか……？			人造精霊の未来							
なっ、なにか言ってください……！言葉がなければ、私には主の気持ちがわからないのです……。			なっ、なにか言ってください……！言葉がなければ、私には主の気持ちがわからないのです……。			人造精霊の未来							
まだまだ、精進が必要ですね……！共に、歩んでください……。			まだまだ、精進が必要ですね……！共に、歩んでください……。			人造精霊の未来							
どうやら人造精霊は、また一段と成長できたようですね。			どうやら人造精霊は、また一段と成長できたようですね。			人造精霊の未来							
……そうだ、Forenameさんに、報告があるのです！			……そうだ、Forenameさんに、報告があるのです！			人造精霊の未来							
人造精霊の永続性を担保するために、新たなソウルストーンを作り、移植することに決めました！			人造精霊の永続性を担保するために、新たなソウルストーンを作り、移植することに決めました！			人造精霊の未来							
その設計のため、古代の知識を探っていたところ、面白い子を見つけましてね……。			その設計のため、古代の知識を探っていたところ、面白い子を見つけましてね……。			人造精霊の未来							
ザ…ザザ…………加工システムを起動……。資材をセットし、加工方法を選択してください。			ザ…ザザ…………加工システムを起動……。資材をセットし、加工方法を選択してください。			人造精霊の未来							
どうもこの子は、人の手では不可能な精密加工を、こなしてくれる優れモノらしいのです。ところが故障しているのか、加工方法を選んだ途端……。			どうもこの子は、人の手では不可能な精密加工を、こなしてくれる優れモノらしいのです。ところが故障しているのか、加工方法を選んだ途端……。			人造精霊の未来							
ザ……圧潰シス……テム……。ビーガガガガ……。			ザ……圧潰シス……テム……。ビーガガガガ……。			人造精霊の未来							
……と動かなくなってしまいます。俺は、新ソウルストーンを完璧なものへと仕上げるために、加工システムを利用して作業をしようと考えています。			……と動かなくなってしまいます。俺は、新ソウルストーンを完璧なものへと仕上げるために、加工システムを利用して作業をしようと考えています。			人造精霊の未来							
そのためにまずは、この加工システムを修復しなければなりません。			そのためにまずは、この加工システムを修復しなければなりません。			人造精霊の未来							
なので、加工システムの修理が完了したら、新ソウルストーンの製作に移りましょう。			なので、加工システムの修理が完了したら、新ソウルストーンの製作に移りましょう。			人造精霊の未来							
……それからゲロルトさんは、新ソウルストーンに合わせて、人造精霊の新たな身体の設計を進めているそうです。こちらも設計が完了次第、先へ進みましょう。			……それからゲロルトさんは、新ソウルストーンに合わせて、人造精霊の新たな身体の設計を進めているそうです。こちらも設計が完了次第、先へ進みましょう。			人造精霊の未来							
それまでは、人造精霊のことをよろしくお願いします！			それまでは、人造精霊のことをよろしくお願いします！			人造精霊の未来							
無事に人造精霊が成長して、安心しました……。引き続き、人造精霊のことをよろしくお願いします！			無事に人造精霊が成長して、安心しました……。引き続き、人造精霊のことをよろしくお願いします！			人造精霊の未来							
「新たなアニマウェポン」は強化され、「アニマウェポン・シャープ」となりました！			「新たなアニマウェポン」は強化され、「アニマウェポン・シャープ」となりました！			人造精霊の未来							
イディルシャイアのアンジェレトは、冒険者が声をかけるのを待っているようだ。			イディルシャイアのアンジェレトは、冒険者が声をかけるのを待っているようだ。			アンジェレトのお願い							
冒険者が霊布を持って、これまでの戦いを追想することで生まれる、追想の霊布を持って来れば、アンジェレトが活性化クラスターと交換してくれるようだ。霊布を持ち「コンテンツルーレット：ハイレベリング」を攻略して、「追想の霊布」を入手しよう。※「追想の霊布」は、クエストを受注している状態で「コンテンツルーレット：ハイレベリング」を攻略することで入手できます。			冒険者が霊布を持って、これまでの戦いを追想することで生まれる、追想の霊布を持って来れば、アンジェレトが活性化クラスターと交換してくれるようだ。霊布を持ち「コンテンツルーレット：ハイレベリング」を攻略して、「追想の霊布」を入手しよう。※「追想の霊布」は、クエストを受注している状態で「コンテンツルーレット：ハイレベリング」を攻略することで入手できます。			アンジェレトのお願い							
追想の霊布を入手した。イディルシャイアの「アンジェレト」に「追想の霊布」を渡そう。			追想の霊布を入手した。イディルシャイアの「アンジェレト」に「追想の霊布」を渡そう。			アンジェレトのお願い							
アンジェレトに追想の霊布を渡し、活性化クラスターを入手した。彼女は霊布を使って、恨みを晴らすための呪いの人形を作るようだ。また機会があったら彼女の頼みに応じよう。※本クエストは、繰り返しの攻略が可能です。最大で毎日1回ずつコンプリートすることができ、コンプリートした日は、クエストを再度受注することができません。クエストを受注した状態で日をまたぎ、翌日にコンプリートした場合は、コンプリートした日の受注権が消費されます。※次回の攻略は、（地球時間）毎日、[Reset]午後午前123456789101100時から、受注可能です。リセット日までお待ちください。			アンジェレトに追想の霊布を渡し、活性化クラスターを入手した。彼女は霊布を使って、恨みを晴らすための呪いの人形を作るようだ。また機会があったら彼女の頼みに応じよう。※本クエストは、繰り返しの攻略が可能です。最大で毎日1回ずつコンプリートすることができ、コンプリートした日は、クエストを再度受注することができません。クエストを受注した状態で日をまたぎ、翌日にコンプリートした場合は、コンプリートした日の受注権が消費されます。※次回の攻略は、（地球時間）毎日、[Reset]午後午前123456789101100時から、受注可能です。リセット日までお待ちください。			アンジェレトのお願い							
コンテンツルーレット：ハイレベリングを攻略して追想の霊布を入手			コンテンツルーレット：ハイレベリングを攻略して追想の霊布を入手			アンジェレトのお願い							
イディルシャイアのアンジェレトに追想の霊布を渡す			イディルシャイアのアンジェレトに追想の霊布を渡す			アンジェレトのお願い							
……活性化クラスターが欲しいのなら、私を助けてくれる？			……活性化クラスターが欲しいのなら、私を助けてくれる？			アンジェレトのお願い							
………………ありがとう。どんな敵も、どんな困難も乗り越えてきた冒険者様。そんなあなたにしかできない頼みがあるの。			………………ありがとう。どんな敵も、どんな困難も乗り越えてきた冒険者様。そんなあなたにしかできない頼みがあるの。			アンジェレトのお願い							
私が編んだ、霊布を持って、これまでの戦いを追想してほしいの。そうすれば、追想の霊布が完成する……。			私が編んだ、霊布を持って、これまでの戦いを追想してほしいの。そうすれば、追想の霊布が完成する……。			アンジェレトのお願い							
戦いの追想といっても、適当な場所ではだめ……。激しい戦いの思い出でなければだめなの。そうでなければ、意味がないから注意して。			戦いの追想といっても、適当な場所ではだめ……。激しい戦いの思い出でなければだめなの。そうでなければ、意味がないから注意して。			アンジェレトのお願い							
コンテンツルーレット：ハイレベリングを攻略することで、「追想の霊布」が入手できます。			コンテンツルーレット：ハイレベリングを攻略することで、「追想の霊布」が入手できます。			アンジェレトのお願い							
あっ……また来てくれた……。活性化クラスターのためだとしても、私を助けてくれるなら、とっても嬉しい。			あっ……また来てくれた……。活性化クラスターのためだとしても、私を助けてくれるなら、とっても嬉しい。			アンジェレトのお願い							
さっそく、霊布を持って、これまでの戦いを追想してほしいの。			さっそく、霊布を持って、これまでの戦いを追想してほしいの。			アンジェレトのお願い							
たくさん、悲しい怨念を染み込ませてね。その強い想いが……私の人形に恨みを晴らす力を与えるのだから。			たくさん、悲しい怨念を染み込ませてね。その強い想いが……私の人形に恨みを晴らす力を与えるのだから。			アンジェレトのお願い							
さあ、霊布を持って強く思い出して……戦いの記憶を……。そうすれば、追想の霊布は完成するわ……。			さあ、霊布を持って強く思い出して……戦いの記憶を……。そうすれば、追想の霊布は完成するわ……。			アンジェレトのお願い							
コンテンツルーレット：ハイレベリングを攻略することで、「追想の霊布」が入手できます。			コンテンツルーレット：ハイレベリングを攻略することで、「追想の霊布」が入手できます。			アンジェレトのお願い							
おかえりなさい、待ってたよ……。追想の霊布をくれる……？			おかえりなさい、待ってたよ……。追想の霊布をくれる……？			アンジェレトのお願い							
どうして、追想の霊布をくれないの……？みんな、私に助けを求めるのに、誰も私を助けてはくれないのね……。			どうして、追想の霊布をくれないの……？みんな、私に助けを求めるのに、誰も私を助けてはくれないのね……。			アンジェレトのお願い							
ありがとう……。……冒険者様なら、きっと叶えてくれるって信じてた。			ありがとう……。……冒険者様なら、きっと叶えてくれるって信じてた。			アンジェレトのお願い							
……すごい。あなたの周囲にまとわりついている敗者の怨念が、私の霊布に、しっかり染み込んでいる。			……すごい。あなたの周囲にまとわりついている敗者の怨念が、私の霊布に、しっかり染み込んでいる。			アンジェレトのお願い							
私はね……この霊布を使って人形をつくるの。…………怨念の力をたっぷり宿した、恨みを晴らすための呪いの人形を……。			私はね……この霊布を使って人形をつくるの。…………怨念の力をたっぷり宿した、恨みを晴らすための呪いの人形を……。			アンジェレトのお願い							
……それにしてもすごいわ。冒険者様は、いったいどれだけの存在を負かしてきたのかしら？……こんなに悍ましい怨念……みたことないもの。			……それにしてもすごいわ。冒険者様は、いったいどれだけの存在を負かしてきたのかしら？……こんなに悍ましい怨念……みたことないもの。			アンジェレトのお願い							
約束通り、「活性化クラスター」をあげる。……また、助けてね。			約束通り、「活性化クラスター」をあげる。……また、助けてね。			アンジェレトのお願い							
イディルシャイアのアンフェリスは、冒険者を気にしているようだ。			イディルシャイアのアンフェリスは、冒険者を気にしているようだ。			アンフェリスのお願い							
アンフェリスは、追想の冒険譚を3つ集めてくれば、活性化クラスターをくれるらしい。「コンテンツルーレット：レベリング」を攻略し、「追想の冒険譚：第1章」を入手しよう。※「追想の冒険譚：第1章」は、クエストを受注している状態で「コンテンツルーレット：レベリング」を攻略することで入手できます。			アンフェリスは、追想の冒険譚を3つ集めてくれば、活性化クラスターをくれるらしい。「コンテンツルーレット：レベリング」を攻略し、「追想の冒険譚：第1章」を入手しよう。※「追想の冒険譚：第1章」は、クエストを受注している状態で「コンテンツルーレット：レベリング」を攻略することで入手できます。			アンフェリスのお願い							
追想の冒険譚：第1章を入手した。「コンテンツルーレット：レベリング」を攻略し、「追想の冒険譚：第2章」を入手しよう。※「追想の冒険譚：第2章」は、クエストを受注している状態で「コンテンツルーレット：レベリング」を攻略することで入手できます。			追想の冒険譚：第1章を入手した。「コンテンツルーレット：レベリング」を攻略し、「追想の冒険譚：第2章」を入手しよう。※「追想の冒険譚：第2章」は、クエストを受注している状態で「コンテンツルーレット：レベリング」を攻略することで入手できます。			アンフェリスのお願い							
追想の冒険譚：第2章を入手した。「コンテンツルーレット：レベリング」を攻略し、「追想の冒険譚：第3章」を入手しよう。※「追想の冒険譚：第3章」は、クエストを受注している状態で「コンテンツルーレット：レベリング」を攻略することで入手できます。			追想の冒険譚：第2章を入手した。「コンテンツルーレット：レベリング」を攻略し、「追想の冒険譚：第3章」を入手しよう。※「追想の冒険譚：第3章」は、クエストを受注している状態で「コンテンツルーレット：レベリング」を攻略することで入手できます。			アンフェリスのお願い							
追想の冒険譚：第3章を入手した。イディルシャイアの「アンフェリス」に「追想の冒険譚」を3つ渡そう。			追想の冒険譚：第3章を入手した。イディルシャイアの「アンフェリス」に「追想の冒険譚」を3つ渡そう。			アンフェリスのお願い							
アンフェリスに追想の冒険譚を渡し、活性化クラスターを入手した。アンフェリスは追想の冒険譚を使って呪いの詩集をしたためるという。また、追想の冒険譚が欲しくなったら冒険者に頼るようだ……。※本クエストは、繰り返しの攻略が可能です。最大で毎週1回ずつコンプリートすることができ、コンプリートした週は、クエストを再度受注することができません。クエストを受注した状態で週をまたぎ、翌週にコンプリートした場合は、コンプリートした週の受注権が消費されます。※次回の攻略は、（地球時間）毎週[Reset]日月火水木金土曜日の午後午前123456789101100時から、受注可能です。リセット日までお待ちください。			アンフェリスに追想の冒険譚を渡し、活性化クラスターを入手した。アンフェリスは追想の冒険譚を使って呪いの詩集をしたためるという。また、追想の冒険譚が欲しくなったら冒険者に頼るようだ……。※本クエストは、繰り返しの攻略が可能です。最大で毎週1回ずつコンプリートすることができ、コンプリートした週は、クエストを再度受注することができません。クエストを受注した状態で週をまたぎ、翌週にコンプリートした場合は、コンプリートした週の受注権が消費されます。※次回の攻略は、（地球時間）毎週[Reset]日月火水木金土曜日の午後午前123456789101100時から、受注可能です。リセット日までお待ちください。			アンフェリスのお願い							
コンテンツルーレット：レベリングを攻略して追想の冒険譚：第1章を入手			コンテンツルーレット：レベリングを攻略して追想の冒険譚：第1章を入手			アンフェリスのお願い							
コンテンツルーレット：レベリングを攻略して追想の冒険譚：第2章を入手			コンテンツルーレット：レベリングを攻略して追想の冒険譚：第2章を入手			アンフェリスのお願い							
コンテンツルーレット：レベリングを攻略して追想の冒険譚：第3章を入手			コンテンツルーレット：レベリングを攻略して追想の冒険譚：第3章を入手			アンフェリスのお願い							
イディルシャイアのアンフェリスに追想の冒険譚を渡す			イディルシャイアのアンフェリスに追想の冒険譚を渡す			アンフェリスのお願い							
さっそく、私のお願いを聞いてくれるのね。			さっそく、私のお願いを聞いてくれるのね。			アンフェリスのお願い							
私が求めているのは、あなたの記憶……。血湧き肉躍るような、凄惨なる戦いの記憶よ……。それと引き換えに活性化クラスターを差し上げるわ。			私が求めているのは、あなたの記憶……。血湧き肉躍るような、凄惨なる戦いの記憶よ……。それと引き換えに活性化クラスターを差し上げるわ。			アンフェリスのお願い							
これまでの戦いを思い起こして、あなたなりに冒険譚を記してくれればいいの……。そうね……3冊ぶんあれば十分よ。			これまでの戦いを思い起こして、あなたなりに冒険譚を記してくれればいいの……。そうね……3冊ぶんあれば十分よ。			アンフェリスのお願い							
フフフ、あなたの冒険譚……。とっても楽しみにしているわ……。			フフフ、あなたの冒険譚……。とっても楽しみにしているわ……。			アンフェリスのお願い							
あら、またお願いを聞いてくれるのね。フフッ、もちろん協力してあげる。			あら、またお願いを聞いてくれるのね。フフッ、もちろん協力してあげる。			アンフェリスのお願い							
前回と同様に、あなたの冒険譚をくださいな？3冊と引き換えに、活性化クラスターをさしあげるわ。フフフ、今回も楽しみね……。			前回と同様に、あなたの冒険譚をくださいな？3冊と引き換えに、活性化クラスターをさしあげるわ。フフフ、今回も楽しみね……。			アンフェリスのお願い							
コンテンツルーレット：レベリングを攻略することで、「追想の冒険譚」が入手できます。			コンテンツルーレット：レベリングを攻略することで、「追想の冒険譚」が入手できます。			アンフェリスのお願い							
もう……焦らすのはやめてくださらない？さあ、早く3冊の冒険譚をくださいな。			もう……焦らすのはやめてくださらない？さあ、早く3冊の冒険譚をくださいな。			アンフェリスのお願い							
コンテンツルーレット：レベリングを攻略することで、「追想の冒険譚」が入手できます。			コンテンツルーレット：レベリングを攻略することで、「追想の冒険譚」が入手できます。			アンフェリスのお願い							
おかえりなさい。3冊の冒険譚は、したためられたかしら？			おかえりなさい。3冊の冒険譚は、したためられたかしら？			アンフェリスのお願い							
なんて、血湧き肉躍る冒険譚なの……。あなたが倒してきた敵たちの、無念と絶望の声が聞こえてくるわ！フフフ、新しい呪詛の言葉を考えるにはとても刺激的……。			なんて、血湧き肉躍る冒険譚なの……。あなたが倒してきた敵たちの、無念と絶望の声が聞こえてくるわ！フフフ、新しい呪詛の言葉を考えるにはとても刺激的……。			アンフェリスのお願い							
私はね……呪詛の言葉を並べて、詩集をしたためているの。誰かを恐怖によって、心底震え上がらせたい。……そう思っている人が手に取る詩集をね。			私はね……呪詛の言葉を並べて、詩集をしたためているの。誰かを恐怖によって、心底震え上がらせたい。……そう思っている人が手に取る詩集をね。			アンフェリスのお願い							
最初に出した詩集が、とても評判が良くて、次作にとりかかっていたのだけれど、上手くいかなくてね。詩想を得るには、新しい刺激が必要だったのよ。			最初に出した詩集が、とても評判が良くて、次作にとりかかっていたのだけれど、上手くいかなくてね。詩想を得るには、新しい刺激が必要だったのよ。			アンフェリスのお願い							
けれど、あなたのおかげで助かったわ。……はい、約束の活性化クラスター。ぜひとも、また取引してくださいな。			けれど、あなたのおかげで助かったわ。……はい、約束の活性化クラスター。ぜひとも、また取引してくださいな。			アンフェリスのお願い							
ありがとう。今回も、とっても魅力的な冒険譚ね……。どうぞ、報酬の活性化クラスターを受け取って？			ありがとう。今回も、とっても魅力的な冒険譚ね……。どうぞ、報酬の活性化クラスターを受け取って？			アンフェリスのお願い							
フフフ、新たな詩集を作るときは、あなたが倒してきた者たちの断末魔……いいえ、想いが詰まった冒険譚を参考にさせてね。			フフフ、新たな詩集を作るときは、あなたが倒してきた者たちの断末魔……いいえ、想いが詰まった冒険譚を参考にさせてね。			アンフェリスのお願い							
特殊ルール： クラス・ジョブ固定アルダシールは吉報があるようだ。			特殊ルール： クラス・ジョブ固定アルダシールは吉報があるようだ。			人造精霊は咲き誇る							
※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。※また、本クエストは破棄禁止となります。　クエスト破棄を行いたい場合は、アルダシールに話しかけて破棄を行いましょう。ゲロルトから、魔晶堂の宝玉、古式魔法人形、ソーム・アルの霊溶岩を入手するよう頼まれた。「神聖遺跡 古アムダプール市街 (Hard)」を攻略すると魔晶堂の宝玉が、「稀書回収 グブラ幻想図書館 (Hard)」を攻略すると古式魔法人形が、「霊峰浄化 ソーム・アル（Hard）」を攻略するとソーム・アルの霊溶岩が入手できるようだ。※コンテンツファインダーから攻略に参加できます。			※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。※また、本クエストは破棄禁止となります。　クエスト破棄を行いたい場合は、アルダシールに話しかけて破棄を行いましょう。ゲロルトから、魔晶堂の宝玉、古式魔法人形、ソーム・アルの霊溶岩を入手するよう頼まれた。「神聖遺跡 古アムダプール市街 (Hard)」を攻略すると魔晶堂の宝玉が、「稀書回収 グブラ幻想図書館 (Hard)」を攻略すると古式魔法人形が、「霊峰浄化 ソーム・アル（Hard）」を攻略するとソーム・アルの霊溶岩が入手できるようだ。※コンテンツファインダーから攻略に参加できます。			人造精霊は咲き誇る							
3つの材料をすべて集めることができた。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、魔晶堂の宝玉、古式魔法人形、ソーム・アルの霊溶岩をポート・ヘリックスの「ゲロルト」に渡そう。			3つの材料をすべて集めることができた。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、魔晶堂の宝玉、古式魔法人形、ソーム・アルの霊溶岩をポート・ヘリックスの「ゲロルト」に渡そう。			人造精霊は咲き誇る							
ゲロルトは、人造精霊の器を製作する作業に入るようだ。アルダシールが「新生ソウルストーン」の製作にとりかかろうという。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、「加工システム」に話かけよう。			ゲロルトは、人造精霊の器を製作する作業に入るようだ。アルダシールが「新生ソウルストーン」の製作にとりかかろうという。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、「加工システム」に話かけよう。			人造精霊は咲き誇る							
アルダシールから、「新生ソウルストーン」の説明を聞いた。新生ソウルストーンを製作したいのならば、もう一度「加工システム」に話しかける必要があるようだ。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、「認証システム」に話しかけよう。			アルダシールから、「新生ソウルストーン」の説明を聞いた。新生ソウルストーンを製作したいのならば、もう一度「加工システム」に話しかける必要があるようだ。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、「認証システム」に話しかけよう。			人造精霊は咲き誇る							
アルダシールから、「改良型アニマグラス」を受け取った。本クエストを進行しているジョブのアニマウェポン・シャープで特定の各種コンテンツを攻略すると、「魂の凝縮度」が高まります。クエストを受注した際のジョブとなり「アニマウェポン」を装備し、凝縮度を最大限に高めた状態で、「認証システム」にもう一度声をかけてみましょう。※「改良型アニマグラス」を紛失した場合は、ポート・ヘリックスにいる「アルダシール」に話しかけると、再入手することができます。			アルダシールから、「改良型アニマグラス」を受け取った。本クエストを進行しているジョブのアニマウェポン・シャープで特定の各種コンテンツを攻略すると、「魂の凝縮度」が高まります。クエストを受注した際のジョブとなり「アニマウェポン」を装備し、凝縮度を最大限に高めた状態で、「認証システム」にもう一度声をかけてみましょう。※「改良型アニマグラス」を紛失した場合は、ポート・ヘリックスにいる「アルダシール」に話しかけると、再入手することができます。			人造精霊は咲き誇る							
認証システムから、アラグ帝国魔科学省公認の特級エーテル密度の認定をもらった。クエストを受注した際のジョブとなり「アニマウェポン」を装備から外し、所持した状態で、「ゲロルト」に「新生ソウルストーン」とアニマウェポン・シャープを渡そう。			認証システムから、アラグ帝国魔科学省公認の特級エーテル密度の認定をもらった。クエストを受注した際のジョブとなり「アニマウェポン」を装備から外し、所持した状態で、「ゲロルト」に「新生ソウルストーン」とアニマウェポン・シャープを渡そう。			人造精霊は咲き誇る							
アルダシールやゲロルト、冒険者の力により、無事にアニマウェポンが完成した。真の姿をみせた人造精霊も嬉しそうにしてくれているようだ。これからも、人造精霊と共に旅へ出よう。※アニマウェポンのパラメータを再調整したい場合は、イディルシャイアのウランに声をかけてみましょう。			アルダシールやゲロルト、冒険者の力により、無事にアニマウェポンが完成した。真の姿をみせた人造精霊も嬉しそうにしてくれているようだ。これからも、人造精霊と共に旅へ出よう。※アニマウェポンのパラメータを再調整したい場合は、イディルシャイアのウランに声をかけてみましょう。			人造精霊は咲き誇る							
セインズソード・シャープとセインズシールド・シャープスルタンズフィスト・シャープブラッドエンペラーアクス・シャープオーバーロードトライデント・シャープオウタークボウ・シャープホワイトザールケーン・シャープブラックハーンロッド・シャープブック・オブ・マッドクィーン・シャープワード・オブ・マグネート・シャープソーンプリンスブレード・シャープダイナストファイア・シャープタイラントディバイダー・シャープラストエアープラニスフィア・シャープを所持か装備し「神聖遺跡 古アムダプール市街 (Hard)」を攻略して魔晶堂の宝玉を入手			セインズソード・シャープとセインズシールド・シャープスルタンズフィスト・シャープブラッドエンペラーアクス・シャープオーバーロードトライデント・シャープオウタークボウ・シャープホワイトザールケーン・シャープブラックハーンロッド・シャープブック・オブ・マッドクィーン・シャープワード・オブ・マグネート・シャープソーンプリンスブレード・シャープダイナストファイア・シャープタイラントディバイダー・シャープラストエアープラニスフィア・シャープを所持か装備し「神聖遺跡 古アムダプール市街 (Hard)」を攻略して魔晶堂の宝玉を入手			人造精霊は咲き誇る							
セインズソード・シャープとセインズシールド・シャープスルタンズフィスト・シャープブラッドエンペラーアクス・シャープオーバーロードトライデント・シャープオウタークボウ・シャープホワイトザールケーン・シャープブラックハーンロッド・シャープブック・オブ・マッドクィーン・シャープワード・オブ・マグネート・シャープソーンプリンスブレード・シャープダイナストファイア・シャープタイラントディバイダー・シャープラストエアープラニスフィア・シャープを所持か装備し「稀書回収 グブラ幻想図書館 (Hard)」を攻略して古式魔法人形を入手			セインズソード・シャープとセインズシールド・シャープスルタンズフィスト・シャープブラッドエンペラーアクス・シャープオーバーロードトライデント・シャープオウタークボウ・シャープホワイトザールケーン・シャープブラックハーンロッド・シャープブック・オブ・マッドクィーン・シャープワード・オブ・マグネート・シャープソーンプリンスブレード・シャープダイナストファイア・シャープタイラントディバイダー・シャープラストエアープラニスフィア・シャープを所持か装備し「稀書回収 グブラ幻想図書館 (Hard)」を攻略して古式魔法人形を入手			人造精霊は咲き誇る							
