格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			拳の聖人							
たしかに師匠は、私たちを騙していたけど……でも、私は師匠のことを嫌いになったりできない。私にとって命の恩人だってことは、変わらないから。			たしかに師匠は、私たちを騙していたけど……でも、私は師匠のことを嫌いになったりできない。私にとって命の恩人だってことは、変わらないから。			闘魂の行方							
でも、このままじゃ師匠って、ただのダメ人間でしょう？だから私、師匠に昔のことを思い出してもらうために、作戦を練ったの！			でも、このままじゃ師匠って、ただのダメ人間でしょう？だから私、師匠に昔のことを思い出してもらうために、作戦を練ったの！			闘魂の行方							
師匠はあなたのこと「昔の自分に似てる」って言ってた。だから、強くなっていくForenameを見れば、昔の自分を思い出すんじゃないかしら？			師匠はあなたのこと「昔の自分に似てる」って言ってた。だから、強くなっていくForenameを見れば、昔の自分を思い出すんじゃないかしら？			闘魂の行方							
だから、あなたのためにも師匠のためにも、Forenameに、師匠も昔得意だったっていう格闘術の技を教えてあげる！			だから、あなたのためにも師匠のためにも、Forenameに、師匠も昔得意だったっていう格闘術の技を教えてあげる！			闘魂の行方							
その名も……「鉄山靠」！「闘気」を溜めて一気に発散させることで、身体を加速させ、背中から敵に体当たりする妙技よ！			その名も……「鉄山靠」！「闘気」を溜めて一気に発散させることで、身体を加速させ、背中から敵に体当たりする妙技よ！			闘魂の行方							
新しい技を活用して、鍛錬に励んでね♪更に強くなった貴方を、師匠に見せてやりましょう！			新しい技を活用して、鍛錬に励んでね♪更に強くなった貴方を、師匠に見せてやりましょう！			闘魂の行方							
Forename、力を合わせて頑張ろう！			Forename、力を合わせて頑張ろう！			闘魂の行方							
師匠から教わった格闘術があれば……この程度の敵なんて！			師匠から教わった格闘術があれば……この程度の敵なんて！			闘魂の行方							
Forename！　そっちのマーモットはお願い！			Forename！　そっちのマーモットはお願い！			闘魂の行方							
斧術のオーバーパワーには、巻き込まれないようにね！			斧術のオーバーパワーには、巻き込まれないようにね！			闘魂の行方							
Forename！　アラクランの格闘士の技は強力よ、後ろに避けて！			Forename！　アラクランの格闘士の技は強力よ、後ろに避けて！			闘魂の行方							
ちっ……使えないな、ひとまず逃げるぞ……。			ちっ……使えないな、ひとまず逃げるぞ……。			闘魂の行方							
クエスト「ClsPgl150」のバトルを開始しますか？			クエスト「ClsPgl150」のバトルを開始しますか？			闘魂の行方							
はい			はい			闘魂の行方							
いいえ			いいえ			闘魂の行方							
格闘士ギルドのハモンは、連続攻撃の基礎、その弐を教えたいようだ。			格闘士ギルドのハモンは、連続攻撃の基礎、その弐を教えたいようだ。			疾風迅雷の如く							
まずは素早く拳を繰り出すための修行だ。ギルドの外に設置された5個の「木人」に「連撃」を加えよう。			まずは素早く拳を繰り出すための修行だ。ギルドの外に設置された5個の「木人」に「連撃」を加えよう。			疾風迅雷の如く							
全ての木人に連撃を加えた。「格闘士ギルド」に戻り「ハモン」に報告しよう。			全ての木人に連撃を加えた。「格闘士ギルド」に戻り「ハモン」に報告しよう。			疾風迅雷の如く							
連続攻撃を極めるためには、「連撃」から「正拳突き」、そして「崩拳」へと技を紡げる必要がある。「ネズミの巣」の「キキルン・シェルスウィーパー」に、連続攻撃の決め技「崩拳」3回打ち込もう。			連続攻撃を極めるためには、「連撃」から「正拳突き」、そして「崩拳」へと技を紡げる必要がある。「ネズミの巣」の「キキルン・シェルスウィーパー」に、連続攻撃の決め技「崩拳」3回打ち込もう。			疾風迅雷の如く							
キキルン・シェルスウィーパーに3回崩拳を打ち込んだ。「格闘士ギルド」に戻り「ハモン」に報告しよう。			キキルン・シェルスウィーパーに3回崩拳を打ち込んだ。「格闘士ギルド」に戻り「ハモン」に報告しよう。			疾風迅雷の如く							
冒険者の成長の速さに、ハモンは驚いているようだ。一方、共に修行を積んでいた「ルルクタ」が失踪してしまったことが原因でチュチュトは伸び悩んでいるらしい。チュチュトとも、一緒に切磋琢磨できるよう、腕を磨いていこう。※格闘士のレベルが15以上になると、ハモンから次の格闘士クエストを受注することができます。			冒険者の成長の速さに、ハモンは驚いているようだ。一方、共に修行を積んでいた「ルルクタ」が失踪してしまったことが原因でチュチュトは伸び悩んでいるらしい。チュチュトとも、一緒に切磋琢磨できるよう、腕を磨いていこう。※格闘士のレベルが15以上になると、ハモンから次の格闘士クエストを受注することができます。			疾風迅雷の如く							
木人を連撃で攻撃する			木人を連撃で攻撃する			疾風迅雷の如く							
ハモンに報告			ハモンに報告			疾風迅雷の如く							
キキルン・シェルスウィーパーに崩拳を打ち込む			キキルン・シェルスウィーパーに崩拳を打ち込む			疾風迅雷の如く							
ハモンに報告			ハモンに報告			疾風迅雷の如く							
フォッフォッフォ、いい目つきになってきたぞい。ワシのような拳聖になりたくて、頑張っとるようじゃのう！			フォッフォッフォ、いい目つきになってきたぞい。ワシのような拳聖になりたくて、頑張っとるようじゃのう！			疾風迅雷の如く							
基礎その壱では、拳の「硬さ」を鍛えたが、基礎その弐では、拳の「数」を鍛えてゆくぞ！			基礎その壱では、拳の「硬さ」を鍛えたが、基礎その弐では、拳の「数」を鍛えてゆくぞ！			疾風迅雷の如く							
修行用の「木人」を、外に5体立ててある！そいつらにズババーンと「連撃」を叩き込んでこーい！			修行用の「木人」を、外に5体立ててある！そいつらにズババーンと「連撃」を叩き込んでこーい！			疾風迅雷の如く							
外にある、修行用の「木人」5体に、ズババババーンと「連撃」を叩き込むのじゃ！			外にある、修行用の「木人」5体に、ズババババーンと「連撃」を叩き込むのじゃ！			疾風迅雷の如く							
木人が設置してある……。			木人が設置してある……。			疾風迅雷の如く							
木人共を倒してきたなら、さあ基礎の仕上げといこうぞ！仕上げはとうとう「連続攻撃」が課題じゃ。今まで学んだことを、全て叩き込んでくるのじゃ！			木人共を倒してきたなら、さあ基礎の仕上げといこうぞ！仕上げはとうとう「連続攻撃」が課題じゃ。今まで学んだことを、全て叩き込んでくるのじゃ！			疾風迅雷の如く							
連続攻撃には決まった「型」の流れがあるぞい。「連撃」から「正拳突き」、そして「崩拳」を決める！			連続攻撃には決まった「型」の流れがあるぞい。「連撃」から「正拳突き」、そして「崩拳」を決める！			疾風迅雷の如く							
この基本の型の流れを体得することで、お主は連続攻撃を極めることができるじゃろう。			この基本の型の流れを体得することで、お主は連続攻撃を極めることができるじゃろう。			疾風迅雷の如く							
攻撃に継ぐ攻撃によって、相手を圧倒すること……それこそ「無限の連続攻撃」が目指すところじゃ！			攻撃に継ぐ攻撃によって、相手を圧倒すること……それこそ「無限の連続攻撃」が目指すところじゃ！			疾風迅雷の如く							
試練の相手は「ネズミの巣」にいる「キキルン・シェルスウィーパー」がよかろう。「崩拳」を3回打ち込んできたら、試練は合格じゃっ！			試練の相手は「ネズミの巣」にいる「キキルン・シェルスウィーパー」がよかろう。「崩拳」を3回打ち込んできたら、試練は合格じゃっ！			疾風迅雷の如く							
「ネズミの巣」にいる「キキルン・シェルスウィーパー」に、コンボの決め技「崩拳」3回打ち込んでくるのじゃ！			「ネズミの巣」にいる「キキルン・シェルスウィーパー」に、コンボの決め技「崩拳」3回打ち込んでくるのじゃ！			疾風迅雷の如く							
ひょーっ！　Forenameは飲み込みがいいのう！もう連続攻撃を極めたとは、素晴らしい！！			ひょーっ！　Forenameは飲み込みがいいのう！もう連続攻撃を極めたとは、素晴らしい！！			疾風迅雷の如く							
ま、まぁワシも連続攻撃は大得意なんじゃよ？今ここで見せてやりたいところじゃが……			ま、まぁワシも連続攻撃は大得意なんじゃよ？今ここで見せてやりたいところじゃが……			疾風迅雷の如く							
「技の爆風でギルドが倒壊してしまうからのう……。　残念ながら、見せてやることはできないのじゃぁ。」……でしょ？			「技の爆風でギルドが倒壊してしまうからのう……。　残念ながら、見せてやることはできないのじゃぁ。」……でしょ？			疾風迅雷の如く							
師匠ったらそう言って、私たちに技を見せてくれないの。だから、師匠の強さは「伝説」の中でしか聞けないのよ。斧を持った大男すら、流れるような技で沈めた……とかね。			師匠ったらそう言って、私たちに技を見せてくれないの。だから、師匠の強さは「伝説」の中でしか聞けないのよ。斧を持った大男すら、流れるような技で沈めた……とかね。			疾風迅雷の如く							
フォッフォッフォ、懐かしい話じゃのう。			フォッフォッフォ、懐かしい話じゃのう。			疾風迅雷の如く							
それにしてもForenameの成長を見てると、焦るなぁ。私も……負けないように、頑張ってたくさん修行しなきゃ。			それにしてもForenameの成長を見てると、焦るなぁ。私も……負けないように、頑張ってたくさん修行しなきゃ。			疾風迅雷の如く							
……実はのう、チュチュトは少し、伸び悩んでおる。きっかけは、彼女と格闘士ギルドに入門したワシの元弟子、「ルルクタ」の失踪が原因じゃろうなぁ……。			……実はのう、チュチュトは少し、伸び悩んでおる。きっかけは、彼女と格闘士ギルドに入門したワシの元弟子、「ルルクタ」の失踪が原因じゃろうなぁ……。			疾風迅雷の如く							
二人とも流民の生まれじゃった。路上で死にかけていた二人をワシが見つけ、格闘士ギルドの一番弟子として育ててのう……。			二人とも流民の生まれじゃった。路上で死にかけていた二人をワシが見つけ、格闘士ギルドの一番弟子として育ててのう……。			疾風迅雷の如く							
当時は二人が互いに切磋琢磨し、いいライバル関係を築けていたのじゃが……。			当時は二人が互いに切磋琢磨し、いいライバル関係を築けていたのじゃが……。			疾風迅雷の如く							
……爺のひとりごとだ、気にするでない。……さて、Forenameよ。ワシは基礎を修めたお主を、高く評価しておる。			……爺のひとりごとだ、気にするでない。……さて、Forenameよ。ワシは基礎を修めたお主を、高く評価しておる。			疾風迅雷の如く							
じゃからのう、お主が「他のギルドにて術を学ぶこと」を許可するぞい。			じゃからのう、お主が「他のギルドにて術を学ぶこと」を許可するぞい。			疾風迅雷の如く							
ウルダハには、美人なギルドマスターがいる剣術や、見分けのつかぬ兄弟がギルドマスターをする呪術など、なかなか面白いギルドがたくさんあるんじゃ。			ウルダハには、美人なギルドマスターがいる剣術や、見分けのつかぬ兄弟がギルドマスターをする呪術など、なかなか面白いギルドがたくさんあるんじゃ。			疾風迅雷の如く							
他にも裁縫や彫金、錬金術のような製作職、採掘のような採集職もあるぞい！			他にも裁縫や彫金、錬金術のような製作職、採掘のような採集職もあるぞい！			疾風迅雷の如く							
まぁ、ワシは格闘で一人前になってから、他の術を学ぶことをオススメしたいがのう……どの道を選ぶかは、お主の心次第じゃ！			まぁ、ワシは格闘で一人前になってから、他の術を学ぶことをオススメしたいがのう……どの道を選ぶかは、お主の心次第じゃ！			疾風迅雷の如く							
「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			「クラスチェンジ」が開放されました。他のクラスのギルドを訪れ、受付に話しかけると新たなクラスを習得するためのクエストが発行されます。			疾風迅雷の如く							
エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「格闘」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			エオルゼアには、さまざまなクラスが存在します。まずは、現在学んでいる「格闘」について熟知し、そのうえで他のクラスを学ぶと、より理解が深まるでしょう。			疾風迅雷の如く							
敵の気配を感じた！！			敵の気配を感じた！！			疾風迅雷の如く							
格闘士ギルドのハモンは、連続攻撃の基礎、その弐を教えたいようだ。			格闘士ギルドのハモンは、連続攻撃の基礎、その弐を教えたいようだ。			疾風迅雷の如く							
まずは素早く拳を繰り出すための修行だ。ギルドの外に設置された5個の「木人」に「連撃」を加えよう。			まずは素早く拳を繰り出すための修行だ。ギルドの外に設置された5個の「木人」に「連撃」を加えよう。			疾風迅雷の如く							
全ての木人に連撃を加えた。「格闘士ギルド」に戻り「ハモン」に報告しよう。			全ての木人に連撃を加えた。「格闘士ギルド」に戻り「ハモン」に報告しよう。			疾風迅雷の如く							
連続攻撃を極めるためには、「連撃」から「正拳突き」、そして「崩拳」へと技を紡げる必要がある。「ネズミの巣」の「キキルン・シェルスウィーパー」に、連続攻撃の決め技「崩拳」3回打ち込もう。			連続攻撃を極めるためには、「連撃」から「正拳突き」、そして「崩拳」へと技を紡げる必要がある。「ネズミの巣」の「キキルン・シェルスウィーパー」に、連続攻撃の決め技「崩拳」3回打ち込もう。			疾風迅雷の如く							
キキルン・シェルスウィーパーに3回崩拳を打ち込んだ。「格闘士ギルド」に戻り「ハモン」に報告しよう。			キキルン・シェルスウィーパーに3回崩拳を打ち込んだ。「格闘士ギルド」に戻り「ハモン」に報告しよう。			疾風迅雷の如く							
冒険者の成長の速さに、ハモンは驚いているようだ。一方、共に修行を積んでいた「ルルクタ」が失踪してしまったことが原因でチュチュトは伸び悩んでいるらしい。チュチュトとも、一緒に切磋琢磨できるよう、腕を磨いていこう。※格闘士のレベルが15以上になると、ハモンから次の格闘士クエストを受注することができます。			冒険者の成長の速さに、ハモンは驚いているようだ。一方、共に修行を積んでいた「ルルクタ」が失踪してしまったことが原因でチュチュトは伸び悩んでいるらしい。チュチュトとも、一緒に切磋琢磨できるよう、腕を磨いていこう。※格闘士のレベルが15以上になると、ハモンから次の格闘士クエストを受注することができます。			疾風迅雷の如く							
木人を連撃で攻撃する			木人を連撃で攻撃する			疾風迅雷の如く							
ハモンに報告			ハモンに報告			疾風迅雷の如く							
キキルン・シェルスウィーパーに崩拳を打ち込む			キキルン・シェルスウィーパーに崩拳を打ち込む			疾風迅雷の如く							
ハモンに報告			ハモンに報告			疾風迅雷の如く							
フォッフォッフォ、いい目つきになってきたぞい。ワシのような拳聖になりたくて、頑張っとるようじゃのう！			フォッフォッフォ、いい目つきになってきたぞい。ワシのような拳聖になりたくて、頑張っとるようじゃのう！			疾風迅雷の如く							
基礎その壱では、拳の「硬さ」を鍛えたが、基礎その弐では、拳の「数」を鍛えてゆくぞ！			基礎その壱では、拳の「硬さ」を鍛えたが、基礎その弐では、拳の「数」を鍛えてゆくぞ！			疾風迅雷の如く							
修行用の「木人」を、外に5体立ててある！そいつらにズババーンと「連撃」を叩き込んでこーい！			修行用の「木人」を、外に5体立ててある！そいつらにズババーンと「連撃」を叩き込んでこーい！			疾風迅雷の如く							
外にある、修行用の「木人」5体に、ズババババーンと「連撃」を叩き込むのじゃ！			外にある、修行用の「木人」5体に、ズババババーンと「連撃」を叩き込むのじゃ！			疾風迅雷の如く							
木人が設置してある……。			木人が設置してある……。			疾風迅雷の如く							
木人共を倒してきたなら、さあ基礎の仕上げといこうぞ！仕上げはとうとう「連続攻撃」が課題じゃ。今まで学んだことを、全て叩き込んでくるのじゃ！			木人共を倒してきたなら、さあ基礎の仕上げといこうぞ！仕上げはとうとう「連続攻撃」が課題じゃ。今まで学んだことを、全て叩き込んでくるのじゃ！			疾風迅雷の如く							
連続攻撃には決まった「型」の流れがあるぞい。「連撃」から「正拳突き」、そして「崩拳」を決める！			連続攻撃には決まった「型」の流れがあるぞい。「連撃」から「正拳突き」、そして「崩拳」を決める！			疾風迅雷の如く							
この基本の型の流れを体得することで、お主は連続攻撃を極めることができるじゃろう。			この基本の型の流れを体得することで、お主は連続攻撃を極めることができるじゃろう。			疾風迅雷の如く							
攻撃に継ぐ攻撃によって、相手を圧倒すること……それこそ「無限の連続攻撃」が目指すところじゃ！			攻撃に継ぐ攻撃によって、相手を圧倒すること……それこそ「無限の連続攻撃」が目指すところじゃ！			疾風迅雷の如く							
試練の相手は「ネズミの巣」にいる「キキルン・シェルスウィーパー」がよかろう。「崩拳」を3回打ち込んできたら、試練は合格じゃっ！			試練の相手は「ネズミの巣」にいる「キキルン・シェルスウィーパー」がよかろう。「崩拳」を3回打ち込んできたら、試練は合格じゃっ！			疾風迅雷の如く							
「ネズミの巣」にいる「キキルン・シェルスウィーパー」に、コンボの決め技「崩拳」3回打ち込んでくるのじゃ！			「ネズミの巣」にいる「キキルン・シェルスウィーパー」に、コンボの決め技「崩拳」3回打ち込んでくるのじゃ！			疾風迅雷の如く							
ひょーっ！　Forenameは飲み込みがいいのう！もう連続攻撃を極めたとは、素晴らしい！！			ひょーっ！　Forenameは飲み込みがいいのう！もう連続攻撃を極めたとは、素晴らしい！！			疾風迅雷の如く							
ま、まぁワシも連続攻撃は大得意なんじゃよ？今ここで見せてやりたいところじゃが……			ま、まぁワシも連続攻撃は大得意なんじゃよ？今ここで見せてやりたいところじゃが……			疾風迅雷の如く							
「技の爆風でギルドが倒壊してしまうからのう……。　残念ながら、見せてやることはできないのじゃぁ。」……でしょ？			「技の爆風でギルドが倒壊してしまうからのう……。　残念ながら、見せてやることはできないのじゃぁ。」……でしょ？			疾風迅雷の如く							
師匠ったらそう言って、私たちに技を見せてくれないの。だから、師匠の強さは「伝説」の中でしか聞けないのよ。斧を持った大男すら、流れるような技で沈めた……とかね。			師匠ったらそう言って、私たちに技を見せてくれないの。だから、師匠の強さは「伝説」の中でしか聞けないのよ。斧を持った大男すら、流れるような技で沈めた……とかね。			疾風迅雷の如く							
フォッフォッフォ、懐かしい話じゃのう。			フォッフォッフォ、懐かしい話じゃのう。			疾風迅雷の如く							
それにしてもForenameの成長を見てると、焦るなぁ。私も……負けないように、頑張ってたくさん修行しなきゃ。			それにしてもForenameの成長を見てると、焦るなぁ。私も……負けないように、頑張ってたくさん修行しなきゃ。			疾風迅雷の如く							
……実はのう、チュチュトは少し、伸び悩んでおる。きっかけは、彼女と格闘士ギルドに入門したワシの元弟子、「ルルクタ」の失踪が原因じゃろうなぁ……。			……実はのう、チュチュトは少し、伸び悩んでおる。きっかけは、彼女と格闘士ギルドに入門したワシの元弟子、「ルルクタ」の失踪が原因じゃろうなぁ……。			疾風迅雷の如く							
二人とも流民の生まれじゃった。路上で死にかけていた二人をワシが見つけ、格闘士ギルドの一番弟子として育ててのう……。			二人とも流民の生まれじゃった。路上で死にかけていた二人をワシが見つけ、格闘士ギルドの一番弟子として育ててのう……。			疾風迅雷の如く							
当時は二人が互いに切磋琢磨し、いいライバル関係を築けていたのじゃが……。			当時は二人が互いに切磋琢磨し、いいライバル関係を築けていたのじゃが……。			疾風迅雷の如く							
……爺のひとりごとだ、気にするでない。お主はこれからも、鍛錬に励むのじゃよ！			……爺のひとりごとだ、気にするでない。お主はこれからも、鍛錬に励むのじゃよ！			疾風迅雷の如く							
敵の気配を感じた！！			敵の気配を感じた！！			疾風迅雷の如く							
格闘士ギルドの受付ガガルナは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			格闘士ギルドの受付ガガルナは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			疾風の格闘士							
ガガルナから、ギルドマスター「ハモン」に入門の意思を伝えるよう言われた。格闘士ギルドの稽古場にいる「ハモン」に声をかけてみよう。			ガガルナから、ギルドマスター「ハモン」に入門の意思を伝えるよう言われた。格闘士ギルドの稽古場にいる「ハモン」に声をかけてみよう。			疾風の格闘士							
ハモンから討伐の指示を請けた。「スナッピング・シュルー」と「ヒュージ・ホーネット」、「マーモット」をそれぞれ3体倒そう			ハモンから討伐の指示を請けた。「スナッピング・シュルー」と「ヒュージ・ホーネット」、「マーモット」をそれぞれ3体倒そう			疾風の格闘士							
魔物を全て倒した。「格闘士ギルド」の「ハモン」に報告しよう。			魔物を全て倒した。「格闘士ギルド」の「ハモン」に報告しよう。			疾風の格闘士							
ハモンは、冒険者を認めてくれた。彼のような拳聖となるため、これから修行を積んでいこう。※格闘士のレベルが5以上になると、ハモンから次の格闘士クエストを受注することができます。			ハモンは、冒険者を認めてくれた。彼のような拳聖となるため、これから修行を積んでいこう。※格闘士のレベルが5以上になると、ハモンから次の格闘士クエストを受注することができます。			疾風の格闘士							
ハモンに話す			ハモンに話す			疾風の格闘士							
格闘術でマーモットを討伐			格闘術でマーモットを討伐			疾風の格闘士							
格闘術でヒュージ・ホーネットを討伐			格闘術でヒュージ・ホーネットを討伐			疾風の格闘士							
格闘術でスナッピング・シュルーを討伐			格闘術でスナッピング・シュルーを討伐			疾風の格闘士							
格闘士ギルドのハモンに報告			格闘士ギルドのハモンに報告			疾風の格闘士							
さぁ、どうですか？「格闘士ギルド」への入門を決意するなら、門戸の開いている今しかありませんよ？			さぁ、どうですか？「格闘士ギルド」への入門を決意するなら、門戸の開いている今しかありませんよ？			疾風の格闘士							
ハモン様はかつて「拳聖」と呼ばれた、凄腕の格闘士です。現役を退いてからは、ここで若手の指導をしておられますが、その腕は、老いた今なお健在！			ハモン様はかつて「拳聖」と呼ばれた、凄腕の格闘士です。現役を退いてからは、ここで若手の指導をしておられますが、その腕は、老いた今なお健在！			疾風の格闘士							
……さあさあ、気が変わらないうちに、奥におられるハモン様に、入門の意志をお伝えください！			……さあさあ、気が変わらないうちに、奥におられるハモン様に、入門の意志をお伝えください！			疾風の格闘士							
そうですか……もったいない。「拳聖」と呼ばれたハモン様の弟子となる、数少ない機会なのですよ？			そうですか……もったいない。「拳聖」と呼ばれたハモン様の弟子となる、数少ない機会なのですよ？			疾風の格闘士							
フォッフォッフォ、遅かったのう。踊り子の姉ちゃんに、ワシの恋文を渡してくれたかの？			フォッフォッフォ、遅かったのう。踊り子の姉ちゃんに、ワシの恋文を渡してくれたかの？			疾風の格闘士							
って……その武器は…………！もしやお主、格闘士ギルドの入門希望かえ！？こりゃあ嬉しいのう！！			って……その武器は…………！もしやお主、格闘士ギルドの入門希望かえ！？こりゃあ嬉しいのう！！			疾風の格闘士							
では、伝説の格闘士であるこの「拳聖のハモン」が、お主のために、格闘術の説明をしてやろうかのう！			では、伝説の格闘士であるこの「拳聖のハモン」が、お主のために、格闘術の説明をしてやろうかのう！			疾風の格闘士							
格闘術とは、己の鍛え抜いた四肢を使い、軽やかに連続攻撃をたたき込む武術であるぞ。「一撃の重さ」よりも「手数の多さ」こそ格闘の本分！			格闘術とは、己の鍛え抜いた四肢を使い、軽やかに連続攻撃をたたき込む武術であるぞ。「一撃の重さ」よりも「手数の多さ」こそ格闘の本分！			疾風の格闘士							
格闘士ギルドに入門すれば、無限と続く連続攻撃を、このワシから直々に教わることができるのじゃっ！フォーッフォッフォッフォッフォッ！			格闘士ギルドに入門すれば、無限と続く連続攻撃を、このワシから直々に教わることができるのじゃっ！フォーッフォッフォッフォッフォッ！			疾風の格闘士							
フォッフォッ……フォゴッ！　ウォッホン！……ぜぇ……ぜぇ……久々にたくさん喋って疲れたのう。			フォッフォッ……フォゴッ！　ウォッホン！……ぜぇ……ぜぇ……久々にたくさん喋って疲れたのう。			疾風の格闘士							
さ、さぁ……お主に問わせてもらうぞい。無限の連続攻撃を手に入れるために、厳しい修行を乗り越えてゆく闘魂はあるか？			さ、さぁ……お主に問わせてもらうぞい。無限の連続攻撃を手に入れるために、厳しい修行を乗り越えてゆく闘魂はあるか？			疾風の格闘士							
闘魂はある？			闘魂はある？			疾風の格闘士							
はい			はい			疾風の格闘士							
いいえ			いいえ			疾風の格闘士							
フォッフォッフォ！若いもんの熱意は、ええもんじゃ。さっそく修行をはじめちゃおうかのう！			フォッフォッフォ！若いもんの熱意は、ええもんじゃ。さっそく修行をはじめちゃおうかのう！			疾風の格闘士							
「スナッピング・シュルー」「マーモット」そして「ヒュージ・ホーネット」を、それぞれ3体、倒してみてきんしゃい！			「スナッピング・シュルー」「マーモット」そして「ヒュージ・ホーネット」を、それぞれ3体、倒してみてきんしゃい！			疾風の格闘士							
し、ショック！　ハモンショックじゃ！拳聖にショックを与えるとは、お主やるのう！！			し、ショック！　ハモンショックじゃ！拳聖にショックを与えるとは、お主やるのう！！			疾風の格闘士							
おお、帰ってきよったか。若いもんはええのう、スタミナが有り余っておるようじゃ！			おお、帰ってきよったか。若いもんはええのう、スタミナが有り余っておるようじゃ！			疾風の格闘士							
よし、格闘士としての一歩を踏み出した若いお主に、この「討伐手帳」を授けようかのう！			よし、格闘士としての一歩を踏み出した若いお主に、この「討伐手帳」を授けようかのう！			疾風の格闘士							
「討伐手帳」には、修行に適した敵が記されておるぞ。新しい敵にチャレンジして、己を磨くと良いじゃろう！			「討伐手帳」には、修行に適した敵が記されておるぞ。新しい敵にチャレンジして、己を磨くと良いじゃろう！			疾風の格闘士							
敵と戦い、修行をつむことで、お主自身のスタミナは上がっていくのじゃ。じゃから、日々の鍛錬を大事にするんじゃよ？			敵と戦い、修行をつむことで、お主自身のスタミナは上がっていくのじゃ。じゃから、日々の鍛錬を大事にするんじゃよ？			疾風の格闘士							
鍛錬を積み、さらなる高みに達したとき、次の課題を与えるぞい！			鍛錬を積み、さらなる高みに達したとき、次の課題を与えるぞい！			疾風の格闘士							
若いもんは多くの可能性を秘めておる。お主の成長が楽しみじゃ！フォッフォッフォッ！			若いもんは多くの可能性を秘めておる。お主の成長が楽しみじゃ！フォッフォッフォッ！			疾風の格闘士							
「格闘士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「格闘士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			疾風の格闘士							
格闘士ギルドのハモンは、連続攻撃の基礎その壱を教えたいようだ。			格闘士ギルドのハモンは、連続攻撃の基礎その壱を教えたいようだ。			岩よりも硬く							
ウォーミングアップのために、走り込みが必要だ。ハモンが街中にばらまいた「古びたギル硬貨」を走って拾い集めよう。走る速度を上げるには「スプリント」が有効だ。			ウォーミングアップのために、走り込みが必要だ。ハモンが街中にばらまいた「古びたギル硬貨」を走って拾い集めよう。走る速度を上げるには「スプリント」が有効だ。			岩よりも硬く							
古びたギル硬貨を全て拾い集めた。「格闘士ギルド」に戻り、「ハモン」に渡そう。			古びたギル硬貨を全て拾い集めた。「格闘士ギルド」に戻り、「ハモン」に渡そう。			岩よりも硬く							
次の試練は「岩殴りの修行」だ。「試練の岩」に「連撃」を加えると出現する「アーススプライト」を倒そう。「試練の岩」は「スコーピオン交易所」近くに4箇所ある。			次の試練は「岩殴りの修行」だ。「試練の岩」に「連撃」を加えると出現する「アーススプライト」を倒そう。「試練の岩」は「スコーピオン交易所」近くに4箇所ある。			岩よりも硬く							
全てのアーススプライトを倒した。「格闘士ギルド」に戻り、「ハモン」に報告しよう。			全てのアーススプライトを倒した。「格闘士ギルド」に戻り、「ハモン」に報告しよう。			岩よりも硬く							
ハモンに報告すると、師範代のチュチュトを紹介された。彼女はハモンがギルドマスターになって初めての弟子だという。素晴らしい拳聖になるため、日々の鍛錬を積んでいこう。※格闘士のレベルが10以上になると、ハモンから次の格闘士クエストを受注することができます。			ハモンに報告すると、師範代のチュチュトを紹介された。彼女はハモンがギルドマスターになって初めての弟子だという。素晴らしい拳聖になるため、日々の鍛錬を積んでいこう。※格闘士のレベルが10以上になると、ハモンから次の格闘士クエストを受注することができます。			岩よりも硬く							
古びたギル硬貨を入手			古びたギル硬貨を入手			岩よりも硬く							
格闘士ギルドのハモンに古びたギル硬貨を渡す			格闘士ギルドのハモンに古びたギル硬貨を渡す			岩よりも硬く							
試練の岩に連撃を使いアーススプライトを討伐			試練の岩に連撃を使いアーススプライトを討伐			岩よりも硬く							
格闘士ギルドのハモンに報告			格闘士ギルドのハモンに報告			岩よりも硬く							
フォッフォッ、真面目に鍛錬しているようじゃのう！今日からは、連続攻撃の基礎を学んでもらうのじゃが……その前に、ウォーミングアップの走り込みじゃっ！			フォッフォッ、真面目に鍛錬しているようじゃのう！今日からは、連続攻撃の基礎を学んでもらうのじゃが……その前に、ウォーミングアップの走り込みじゃっ！			岩よりも硬く							
都市内に「古びたギル硬貨」を散りばめてあるからのう。お主は、時すらも追い抜く速さで、それを拾い集めにいくのじゃ！			都市内に「古びたギル硬貨」を散りばめてあるからのう。お主は、時すらも追い抜く速さで、それを拾い集めにいくのじゃ！			岩よりも硬く							
走り回るときは「スプリント」を活用するがよい。スプリントを使用するとのう……疲れるんじゃ！！			走り回るときは「スプリント」を活用するがよい。スプリントを使用するとのう……疲れるんじゃ！！			岩よりも硬く							
