流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
かつて、わらわは女王として国民を守ろうとするあまり、ひとりの「人」が抱いていた想いを見誤り、大きな失敗を犯した。			かつて、わらわは女王として国民を守ろうとするあまり、ひとりの「人」が抱いていた想いを見誤り、大きな失敗を犯した。			剣なき英雄							
だからこそ今は、政を支持する者も、そうでない者も、なるべく多くの人々の声を聞き、想いを汲もうと努力をしておる。そして、同じだけ、わらわの言葉を伝えようともな……。			だからこそ今は、政を支持する者も、そうでない者も、なるべく多くの人々の声を聞き、想いを汲もうと努力をしておる。そして、同じだけ、わらわの言葉を伝えようともな……。			剣なき英雄							
……まことに、ご立派になられましたな、ナナモ様。			……まことに、ご立派になられましたな、ナナモ様。			剣なき英雄							
そう綺麗ごとだけで上手くいけば苦労はないが、近頃では、共和派の連中とも対話の機会を増やしておるのじゃ。立場の異なる者の想いを知らねば、手を取り合うこともできまい。			そう綺麗ごとだけで上手くいけば苦労はないが、近頃では、共和派の連中とも対話の機会を増やしておるのじゃ。立場の異なる者の想いを知らねば、手を取り合うこともできまい。			剣なき英雄							
立場の異なる者の想い、か……。			立場の異なる者の想い、か……。			剣なき英雄							
これまで、俺たちは遺族たちを支援してきたつもりだった。でも、それだけじゃ、彼らの絶望を完全に払拭し、獣化を止めることはできなかった。			これまで、俺たちは遺族たちを支援してきたつもりだった。でも、それだけじゃ、彼らの絶望を完全に払拭し、獣化を止めることはできなかった。			剣なき英雄							
だれかのために戦うってことは、その人にとっての大事なものや、守りたいものを知り……同じ目線に立って、行動を起こすことなのかもしれない。			だれかのために戦うってことは、その人にとっての大事なものや、守りたいものを知り……同じ目線に立って、行動を起こすことなのかもしれない。			剣なき英雄							
だったら俺たちが今、絶望の淵にいる遺族たちの心を救うためには……			だったら俺たちが今、絶望の淵にいる遺族たちの心を救うためには……			剣なき英雄							
遺族か……帝国に苦しめられてきたことは変わらぬというのに、その立場ゆえ、心静かに家族の死を悼むことさえ赦されず……さぞかし無念じゃろうな。			遺族か……帝国に苦しめられてきたことは変わらぬというのに、その立場ゆえ、心静かに家族の死を悼むことさえ赦されず……さぞかし無念じゃろうな。			剣なき英雄							
そうか……慰霊祭……。			そうか……慰霊祭……。			剣なき英雄							
ラウバーン隊長、今こそ「慰霊祭」を執り行いませんか？敵も味方もなく、解放戦争で散ったすべての命を等しく悼み、悲しみと、明日への希望を共有するために……！			ラウバーン隊長、今こそ「慰霊祭」を執り行いませんか？敵も味方もなく、解放戦争で散ったすべての命を等しく悼み、悲しみと、明日への希望を共有するために……！			剣なき英雄							
なるほど……髑髏連隊を始め、帝国に協力した者たちも、それぞれに「人」として、愛する者を守らんとする想いがあった。結果として忌むべき行いがあったとしても……。			なるほど……髑髏連隊を始め、帝国に協力した者たちも、それぞれに「人」として、愛する者を守らんとする想いがあった。結果として忌むべき行いがあったとしても……。			剣なき英雄							
ゆえに、罪は憎めども、せめて遺族に、家族の死を悼む機会は等しく設け、共に悲しみを乗り越え、絶望に打ち勝とうというのだな。			ゆえに、罪は憎めども、せめて遺族に、家族の死を悼む機会は等しく設け、共に悲しみを乗り越え、絶望に打ち勝とうというのだな。			剣なき英雄							
……よし、各代表者に呼びかけ、「慰霊祭」開催に向けて協力を呼びかけようぞ。そこで可決されれば、国を挙げ、開催することが可能となろう。			……よし、各代表者に呼びかけ、「慰霊祭」開催に向けて協力を呼びかけようぞ。そこで可決されれば、国を挙げ、開催することが可能となろう。			剣なき英雄							
当然、反対する人もいることでしょう。それでも俺は……作ってやりたいんです！同じアラミゴ人として、平等に、愛する者を弔える場を……！			当然、反対する人もいることでしょう。それでも俺は……作ってやりたいんです！同じアラミゴ人として、平等に、愛する者を弔える場を……！			剣なき英雄							
ナナモ女王陛下、お忙しいのは重々承知していますが、もう少しだけ、お話をお聞かせ願えないでしょうか。			ナナモ女王陛下、お忙しいのは重々承知していますが、もう少しだけ、お話をお聞かせ願えないでしょうか。			剣なき英雄							
よいだろう。アレンヴァルド、そなたのことも聞かせてくれぬか。これまでに経験したこと、それから……理想とする未来のことを。			よいだろう。アレンヴァルド、そなたのことも聞かせてくれぬか。これまでに経験したこと、それから……理想とする未来のことを。			剣なき英雄							
それでは我らはひと足先に、「アラミガン・クォーター」に戻るとしよう。			それでは我らはひと足先に、「アラミガン・クォーター」に戻るとしよう。			剣なき英雄							
俺にできること……少しだけだが、見えてきたような気がするんだ。今すぐに何か成せなくとも、どこへ一歩を踏み出すべきか、それがわかっただけでも、俺にとっては希望なんだ。			俺にできること……少しだけだが、見えてきたような気がするんだ。今すぐに何か成せなくとも、どこへ一歩を踏み出すべきか、それがわかっただけでも、俺にとっては希望なんだ。			剣なき英雄							
アラミゴには難民支援の件でも世話になっておるからな。我らにできることがあれば、喜んで協力しよう。			アラミゴには難民支援の件でも世話になっておるからな。我らにできることがあれば、喜んで協力しよう。			剣なき英雄							
ナナモ様もこのように立派に成長なさって……。頼もしい限りでございます。			ナナモ様もこのように立派に成長なさって……。頼もしい限りでございます。			剣なき英雄							
アレンヴァルドのことは、ナナモ様も気にかけておられた。だが、あの負傷で彼の未来が潰えたわけではない。			アレンヴァルドのことは、ナナモ様も気にかけておられた。だが、あの負傷で彼の未来が潰えたわけではない。			剣なき英雄							
アレンヴァルドが、今自分にできることを掴み始めたこと……いつかそれが、誰かの心を支え、希望となるだろう。			アレンヴァルドが、今自分にできることを掴み始めたこと……いつかそれが、誰かの心を支え、希望となるだろう。			剣なき英雄							
吾輩は、そんな未来が来ることを信じている。			吾輩は、そんな未来が来ることを信じている。			剣なき英雄							
では、長旅ご苦労であった。引き続き偽神獣の調査に加え、慰霊祭の説明会の準備に取り掛かる。次なる進展があるまで、ゆっくり身体を休ませてくれ。			では、長旅ご苦労であった。引き続き偽神獣の調査に加え、慰霊祭の説明会の準備に取り掛かる。次なる進展があるまで、ゆっくり身体を休ませてくれ。			剣なき英雄							
おかえりなさいませ！こちらは異常ありませんです！			おかえりなさいませ！こちらは異常ありませんです！			剣なき英雄							
アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			それぞれの立場、それぞれの責任							
ラウバーンからの伝言を聞いた。アレンヴァルドを中心に、慰霊祭の説明会の準備を進めているようだ。アラミガン・クォーターで「アレンヴァルド」と話そう。			ラウバーンからの伝言を聞いた。アレンヴァルドを中心に、慰霊祭の説明会の準備を進めているようだ。アラミガン・クォーターで「アレンヴァルド」と話そう。			それぞれの立場、それぞれの責任							
アレンヴァルドから、慰霊祭の説明会への案内状を届ける手伝いを頼まれた。ギラバニア辺境地帯で、ピーリングストーンズのメ・ラツ・ヌンと、ウィルラ・ニリヤのサリーシャに、「慰霊祭の案内状」を渡そう。			アレンヴァルドから、慰霊祭の説明会への案内状を届ける手伝いを頼まれた。ギラバニア辺境地帯で、ピーリングストーンズのメ・ラツ・ヌンと、ウィルラ・ニリヤのサリーシャに、「慰霊祭の案内状」を渡そう。			それぞれの立場、それぞれの責任							
メ・ラツ・ヌンとサリーシャに案内状を渡した。案内状には、アレンヴァルドが対話により知り得た、遺族たちの過去が書かれていたようだ。家族のために行動していた遺族の話に、メ・ラツ・ヌンは理解を示し、立場や境遇の違いにより生まれた悲劇を繰り返さぬようにと、サリーシャも慰霊祭の開催に理解を示した。アラミガン・クォーターに戻り、「アレンヴァルド」に報告しよう。			メ・ラツ・ヌンとサリーシャに案内状を渡した。案内状には、アレンヴァルドが対話により知り得た、遺族たちの過去が書かれていたようだ。家族のために行動していた遺族の話に、メ・ラツ・ヌンは理解を示し、立場や境遇の違いにより生まれた悲劇を繰り返さぬようにと、サリーシャも慰霊祭の開催に理解を示した。アラミガン・クォーターに戻り、「アレンヴァルド」に報告しよう。			それぞれの立場、それぞれの責任							
アレンヴァルドと話した。慰霊祭の説明会に参加するため、アラミガン・クォーターで「解放軍の案内人」と話そう。			アレンヴァルドと話した。慰霊祭の説明会に参加するため、アラミガン・クォーターで「解放軍の案内人」と話そう。			それぞれの立場、それぞれの責任							
慰霊祭の説明会に参加した。代表者たちの中には反対するものもいたが、ラウバーンやアレンヴァルドの真摯な言葉に耳を傾けていた。アラミガン・クォーターで「ラウバーン」と話そう。			慰霊祭の説明会に参加した。代表者たちの中には反対するものもいたが、ラウバーンやアレンヴァルドの真摯な言葉に耳を傾けていた。アラミガン・クォーターで「ラウバーン」と話そう。			それぞれの立場、それぞれの責任							
ラウバーンと話した。今すぐとはいかずとも、慰霊祭は開催に向けて動きだすことができそうだ。残る偽神獣の討伐に向けて、力を蓄えておこう。※いずれかのHEALERジョブのレベルが89以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			ラウバーンと話した。今すぐとはいかずとも、慰霊祭は開催に向けて動きだすことができそうだ。残る偽神獣の討伐に向けて、力を蓄えておこう。※いずれかのHEALERジョブのレベルが89以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			それぞれの立場、それぞれの責任							
アレンヴァルドと話す			アレンヴァルドと話す			それぞれの立場、それぞれの責任							
ピーリングストーンズのメ・ラツ・ヌンに慰霊祭の案内状を渡す			ピーリングストーンズのメ・ラツ・ヌンに慰霊祭の案内状を渡す			それぞれの立場、それぞれの責任							
ウィルラ・ニリヤのサリーシャに慰霊祭の案内状を渡す			ウィルラ・ニリヤのサリーシャに慰霊祭の案内状を渡す			それぞれの立場、それぞれの責任							
アラミガン・クォーターのアレンヴァルドと話す			アラミガン・クォーターのアレンヴァルドと話す			それぞれの立場、それぞれの責任							
解放軍の案内人と話す			解放軍の案内人と話す			それぞれの立場、それぞれの責任							
ラウバーンと話す			ラウバーンと話す			それぞれの立場、それぞれの責任							
あっ、Forenameさん！ラウバーン隊長より、伝言を授かっております！			あっ、Forenameさん！ラウバーン隊長より、伝言を授かっております！			それぞれの立場、それぞれの責任							
まずは、現状のご報告です！解放軍は「白羽根の会」と協力し、髑髏連隊の遺族の中でも、行方不明者に絞って偽神獣の手がかりを探っています！			まずは、現状のご報告です！解放軍は「白羽根の会」と協力し、髑髏連隊の遺族の中でも、行方不明者に絞って偽神獣の手がかりを探っています！			それぞれの立場、それぞれの責任							
ラウバーン隊長の陣頭指揮によって、少しずつではありますが、調査は着実に進行中。調査に協力してくれる民間人も増えているのであります！			ラウバーン隊長の陣頭指揮によって、少しずつではありますが、調査は着実に進行中。調査に協力してくれる民間人も増えているのであります！			それぞれの立場、それぞれの責任							
一方、「慰霊祭」の開催に向けた準備は、発起人であるアレンヴァルドさんを中心に進められております！近く、各代表への説明会が開催される予定だとか……！			一方、「慰霊祭」の開催に向けた準備は、発起人であるアレンヴァルドさんを中心に進められております！近く、各代表への説明会が開催される予定だとか……！			それぞれの立場、それぞれの責任							
Forenameさんには、ぜひ説明会に向けて動いている、アレンヴァルドさんのサポートに回っていただきたいとのこと！ここから南西の市街地にいらっしゃるので、向かってください！			Forenameさんには、ぜひ説明会に向けて動いている、アレンヴァルドさんのサポートに回っていただきたいとのこと！ここから南西の市街地にいらっしゃるので、向かってください！			それぞれの立場、それぞれの責任							
伝言は以上になります！では、私も別件の任務がありますので、失礼いたします！			伝言は以上になります！では、私も別件の任務がありますので、失礼いたします！			それぞれの立場、それぞれの責任							
来てくれてありがとうな。慰霊祭のことは、すでに聞いているだろうが、一応、改めて趣旨を説明させてくれ。			来てくれてありがとうな。慰霊祭のことは、すでに聞いているだろうが、一応、改めて趣旨を説明させてくれ。			それぞれの立場、それぞれの責任							
慰霊祭は、亡くなった人たちを弔う場だが、そこに髑髏連隊の遺族たちも招待したいんだ。家族が罪を犯したとはいえ、愛する者への想いは同じだからな。			慰霊祭は、亡くなった人たちを弔う場だが、そこに髑髏連隊の遺族たちも招待したいんだ。家族が罪を犯したとはいえ、愛する者への想いは同じだからな。			それぞれの立場、それぞれの責任							
問題は、代表者たちの同意を得られるかどうかだ。髑髏連隊は、多くのアラミゴ人にとって忌まわしい記憶……それは俺も理解しているさ。			問題は、代表者たちの同意を得られるかどうかだ。髑髏連隊は、多くのアラミゴ人にとって忌まわしい記憶……それは俺も理解しているさ。			それぞれの立場、それぞれの責任							
だからこそ、きちんと説明の場を設けようと思うんだ。Forenameには、その説明会への案内状を、ギラバニア辺境地帯の代表者に届けてもらいたい。			だからこそ、きちんと説明の場を設けようと思うんだ。Forenameには、その説明会への案内状を、ギラバニア辺境地帯の代表者に届けてもらいたい。			それぞれの立場、それぞれの責任							
この「慰霊祭の案内状」を、ピーリングストーンズの「メ・ラツ・ヌン」さんと、ウィルラ・ニリヤの「サリーシャ」さんに渡してほしいんだ。			この「慰霊祭の案内状」を、ピーリングストーンズの「メ・ラツ・ヌン」さんと、ウィルラ・ニリヤの「サリーシャ」さんに渡してほしいんだ。			それぞれの立場、それぞれの責任							
髑髏連隊の被害を受けた人たちからすれば、慰霊祭といっても、その心中は複雑なはずだ……。最悪、説明会への参加すら、断られかねないと思う。			髑髏連隊の被害を受けた人たちからすれば、慰霊祭といっても、その心中は複雑なはずだ……。最悪、説明会への参加すら、断られかねないと思う。			それぞれの立場、それぞれの責任							
でも、髑髏連隊の遺族たちだって、同じ「人」なんだよ。罪を憎むことと、遺族を孤立させて絶望に追いやることは、別のことだと知ってほしいんだ。			でも、髑髏連隊の遺族たちだって、同じ「人」なんだよ。罪を憎むことと、遺族を孤立させて絶望に追いやることは、別のことだと知ってほしいんだ。			それぞれの立場、それぞれの責任							
そこで、案内状には開催の趣旨と共に、俺が「白羽根の会」で出会ってきた、髑髏連隊の遺族たちの境遇を書き記しておいたんだ。			そこで、案内状には開催の趣旨と共に、俺が「白羽根の会」で出会ってきた、髑髏連隊の遺族たちの境遇を書き記しておいたんだ。			それぞれの立場、それぞれの責任							
彼らにも愛する家族や大事な人がいることや、帝国の侵略で同じように苦しんでいたことなんかを、少しでも知ってほしくてさ。			彼らにも愛する家族や大事な人がいることや、帝国の侵略で同じように苦しんでいたことなんかを、少しでも知ってほしくてさ。			それぞれの立場、それぞれの責任							
拙い文章ではあるけれど、それで少しでも理解してもらえれば幸いだ。配達士みたいなことさせてすまないが、よろしく頼むよ。			拙い文章ではあるけれど、それで少しでも理解してもらえれば幸いだ。配達士みたいなことさせてすまないが、よろしく頼むよ。			それぞれの立場、それぞれの責任							
すまないが、「慰霊祭の案内状」を、ピーリングストーンズの「メ・ラツ・ヌン」さんと、ウィルラ・ニリヤの「サリーシャ」さんに渡してきてくれないか？			すまないが、「慰霊祭の案内状」を、ピーリングストーンズの「メ・ラツ・ヌン」さんと、ウィルラ・ニリヤの「サリーシャ」さんに渡してきてくれないか？			それぞれの立場、それぞれの責任							
あら、Forenameさん。このような所まで、ようこそいらしてくださいました。			あら、Forenameさん。このような所まで、ようこそいらしてくださいました。			それぞれの立場、それぞれの責任							
おお、Forenameじゃないか。私に何か用か？			おお、Forenameじゃないか。私に何か用か？			それぞれの立場、それぞれの責任							
慰霊祭……か。たしかに、その話は噂に聞いている。			慰霊祭……か。たしかに、その話は噂に聞いている。			それぞれの立場、それぞれの責任							
どういう風の吹き回しかわからぬが……あのラガンフリッドが、遺族への支援組織を立ち上げたのだろう？それも、髑髏連隊の遺族を、支援対象に含めていると聞く……。			どういう風の吹き回しかわからぬが……あのラガンフリッドが、遺族への支援組織を立ち上げたのだろう？それも、髑髏連隊の遺族を、支援対象に含めていると聞く……。			それぞれの立場、それぞれの責任							
正直なところ、メ族には帝国に恨みを持っている者も多い。この私とて、戦争で死んでいった仲間がいる手前、おいそれと容認するわけにはいかぬのだ……。			正直なところ、メ族には帝国に恨みを持っている者も多い。この私とて、戦争で死んでいった仲間がいる手前、おいそれと容認するわけにはいかぬのだ……。			それぞれの立場、それぞれの責任							
何と言う？			何と言う？			それぞれの立場、それぞれの責任							
そう言わず、まずは案内状を読んでほしい			そう言わず、まずは案内状を読んでほしい			それぞれの立場、それぞれの責任							
開催の趣旨を読んでから決めてほしい			開催の趣旨を読んでから決めてほしい			それぞれの立場、それぞれの責任							
たしかに頭から否定するのは不躾だったが……いいだろう、お前がそこまで言うのなら、案内状を読ませてくれ。			たしかに頭から否定するのは不躾だったが……いいだろう、お前がそこまで言うのなら、案内状を読ませてくれ。			それぞれの立場、それぞれの責任							
…………家族か。			…………家族か。			それぞれの立場、それぞれの責任							
考えてみれば当然のことだな。私はメ族の長、家族を守る責任の重さは、誰よりわかるつもりだ。			考えてみれば当然のことだな。私はメ族の長、家族を守る責任の重さは、誰よりわかるつもりだ。			それぞれの立場、それぞれの責任							
子を、親を守るためなら、売国奴と呼ばれることもいとわない。その悲壮な覚悟が、誤った道を歩ませるに至ったと、そんな風に、考えられもするか……。			子を、親を守るためなら、売国奴と呼ばれることもいとわない。その悲壮な覚悟が、誤った道を歩ませるに至ったと、そんな風に、考えられもするか……。			それぞれの立場、それぞれの責任							
……わかった、犯した非道は許すことはできぬが、私とて遺族たちを絶望に追いやることは本意でない……。			……わかった、犯した非道は許すことはできぬが、私とて遺族たちを絶望に追いやることは本意でない……。			それぞれの立場、それぞれの責任							
メ族は、慰霊祭への参加を約束する！もちろん、説明会へも足を運ぶとしよう。			メ族は、慰霊祭への参加を約束する！もちろん、説明会へも足を運ぶとしよう。			それぞれの立場、それぞれの責任							
どうか、案内状を書いた若者にも、感謝の言葉を伝えてほしい。我々アラミゴ人が長いこと目を背けてきた問題へと、真摯に向き合ってくれた勇気に、私は敬意を表すよ。			どうか、案内状を書いた若者にも、感謝の言葉を伝えてほしい。我々アラミゴ人が長いこと目を背けてきた問題へと、真摯に向き合ってくれた勇気に、私は敬意を表すよ。			それぞれの立場、それぞれの責任							
メ族の者たちには、私から説得しよう。こんなときにまで我々アラミゴ人を気にかけてくれて、感謝するよ。			メ族の者たちには、私から説得しよう。こんなときにまで我々アラミゴ人を気にかけてくれて、感謝するよ。			それぞれの立場、それぞれの責任							
各地で異形の獣が現れていると聞きました。どうかあなたも、決して無理はしないでくださいね……。			各地で異形の獣が現れていると聞きました。どうかあなたも、決して無理はしないでくださいね……。			それぞれの立場、それぞれの責任							
シュー……そなたが会いに来てくれようとは。我々に何か用があってのことですか？			シュー……そなたが会いに来てくれようとは。我々に何か用があってのことですか？			それぞれの立場、それぞれの責任							
シュー……なるほど、話はわかりました。			シュー……なるほど、話はわかりました。			それぞれの立場、それぞれの責任							
しかし、たとえほかならぬそなたの頼み事であっても、慰霊祭に髑髏連隊の戦死者を含めることは、賛同しかねます。			しかし、たとえほかならぬそなたの頼み事であっても、慰霊祭に髑髏連隊の戦死者を含めることは、賛同しかねます。			それぞれの立場、それぞれの責任							
彼らはカリヤナ派のように、帝国に抗うこともせず、楽な生活へ逃げるかのように、故郷を捨て、同胞を裏切り、敵国に寝返ったと聞いています。			彼らはカリヤナ派のように、帝国に抗うこともせず、楽な生活へ逃げるかのように、故郷を捨て、同胞を裏切り、敵国に寝返ったと聞いています。			それぞれの立場、それぞれの責任							
そなたらのおかげで戦争が終結したとはいえ、カリヤナ派と対立している我々が、認めることは難しいでしょう。力になることができず、心苦しいですが……。			そなたらのおかげで戦争が終結したとはいえ、カリヤナ派と対立している我々が、認めることは難しいでしょう。力になることができず、心苦しいですが……。			それぞれの立場、それぞれの責任							
何と言う？			何と言う？			それぞれの立場、それぞれの責任							
開催の趣旨を読めば気持ちは変わるかも			開催の趣旨を読めば気持ちは変わるかも			それぞれの立場、それぞれの責任							
案内状には髑髏連隊の遺族のことも書かれている			案内状には髑髏連隊の遺族のことも書かれている			それぞれの立場、それぞれの責任							
シュー……わかりました。それでは、まずは案内状を拝読いたしましょう。			シュー……わかりました。それでは、まずは案内状を拝読いたしましょう。			それぞれの立場、それぞれの責任							
………………。			………………。			それぞれの立場、それぞれの責任							
シュー……。我らは自由を得るために、多くの犠牲を払ってきました。同胞たちの痛みや苦しみを、蔑ろにするわけにはいきません。			シュー……。我らは自由を得るために、多くの犠牲を払ってきました。同胞たちの痛みや苦しみを、蔑ろにするわけにはいきません。			それぞれの立場、それぞれの責任							
ですが……			ですが……			それぞれの立場、それぞれの責任							
……いいでしょう。我らウィルラ派のアナンタ族は、慰霊祭に賛同します。戦争による悲劇が、二度と生まれないことを願って……。			……いいでしょう。我らウィルラ派のアナンタ族は、慰霊祭に賛同します。戦争による悲劇が、二度と生まれないことを願って……。			それぞれの立場、それぞれの責任							
こうして足を運び、言葉を交わしてくれたことを嬉しく思います。ヒトは知らないこと、わからないことに恐怖を抱きます。どちらかが歩み寄らない限り、相互理解は生まれません。			こうして足を運び、言葉を交わしてくれたことを嬉しく思います。ヒトは知らないこと、わからないことに恐怖を抱きます。どちらかが歩み寄らない限り、相互理解は生まれません。			それぞれの立場、それぞれの責任							
慰霊祭の説明会には、ウィルラ派代表として私が赴きましょう。「アレンヴァルド」という、そなたの友にも感謝を伝えてください。この方は真摯にアラミゴのことを考えてくれているようです。			慰霊祭の説明会には、ウィルラ派代表として私が赴きましょう。「アレンヴァルド」という、そなたの友にも感謝を伝えてください。この方は真摯にアラミゴのことを考えてくれているようです。			それぞれの立場、それぞれの責任							
慰霊祭の説明会には、ウィルラ派代表として私が赴きましょう。「アレンヴァルド」という、そなたの友にも感謝を伝えてください。この方は真摯にアラミゴのことを考えてくれているようです。			慰霊祭の説明会には、ウィルラ派代表として私が赴きましょう。「アレンヴァルド」という、そなたの友にも感謝を伝えてください。この方は真摯にアラミゴのことを考えてくれているようです。			それぞれの立場、それぞれの責任							
おかえり、Forename！辺境地帯の代表者たちの反応はどうだったかい？			おかえり、Forename！辺境地帯の代表者たちの反応はどうだったかい？			それぞれの立場、それぞれの責任							
メ族とウィルラ派の代表が俺に感謝を！？身に余る光栄だよ……。			メ族とウィルラ派の代表が俺に感謝を！？身に余る光栄だよ……。			それぞれの立場、それぞれの責任							
ともかく、ふたりが慰霊祭に賛成してくれて良かった。これも信頼の厚いForenameのおかげさ。協力してくれて本当にありがとう。			ともかく、ふたりが慰霊祭に賛成してくれて良かった。これも信頼の厚いForenameのおかげさ。協力してくれて本当にありがとう。			それぞれの立場、それぞれの責任							
素性をよく知らない人たちに対して警戒してしまうのは仕方ない。それでも、人となりを知れば共感できる部分だってあるはずなんだ。対話を諦めてはいけない……俺はナナモ様にそれを教わった。			素性をよく知らない人たちに対して警戒してしまうのは仕方ない。それでも、人となりを知れば共感できる部分だってあるはずなんだ。対話を諦めてはいけない……俺はナナモ様にそれを教わった。			それぞれの立場、それぞれの責任							
……まだ、そんな大層なことはしてないけどさ、誰かのためにできることがあるなら、俺はやりたい。たとえそれが地味でも、自分なりの英雄への道を模索するんだ。			……まだ、そんな大層なことはしてないけどさ、誰かのためにできることがあるなら、俺はやりたい。たとえそれが地味でも、自分なりの英雄への道を模索するんだ。			それぞれの立場、それぞれの責任							
さてと……！これで慰霊祭の説明会に向けて、代表者たちへの案内は完了した。当然、反対の人たちもいたが、ひとまずは足を運んでくれそうだよ。			さてと……！これで慰霊祭の説明会に向けて、代表者たちへの案内は完了した。当然、反対の人たちもいたが、ひとまずは足を運んでくれそうだよ。			それぞれの立場、それぞれの責任							
Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			それぞれの立場、それぞれの責任							
Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			それぞれの立場、それぞれの責任							
代表者による「慰霊祭」の説明会が開かれております。会場へ向かわれますか？			代表者による「慰霊祭」の説明会が開かれております。会場へ向かわれますか？			それぞれの立場、それぞれの責任							
「アラミゴ王宮」へ移動しますか？			「アラミゴ王宮」へ移動しますか？			それぞれの立場、それぞれの責任							
慰霊祭を開催するにあたって、髑髏連隊の関係者を呼ぶことに、異論があるのは承知している。私とて家族を殺された身……その気持ちは痛いほどわかる。			慰霊祭を開催するにあたって、髑髏連隊の関係者を呼ぶことに、異論があるのは承知している。私とて家族を殺された身……その気持ちは痛いほどわかる。			それぞれの立場、それぞれの責任							
しかし、もとをただせば、彼らも私たちと同じアラミゴ人。この非常事態だからこそ共に……			しかし、もとをただせば、彼らも私たちと同じアラミゴ人。この非常事態だからこそ共に……			それぞれの立場、それぞれの責任							
髑髏連隊は……奴らは同胞を殺しているんだぞ！			髑髏連隊は……奴らは同胞を殺しているんだぞ！			それぞれの立場、それぞれの責任							
だが、以前ここで我らが、あのフォルドラに命を救われたことも確かだ。			だが、以前ここで我らが、あのフォルドラに命を救われたことも確かだ。			それぞれの立場、それぞれの責任							
しかし、それとこれとは……！			しかし、それとこれとは……！			それぞれの立場、それぞれの責任							
しばし、吾輩の言葉に耳を傾けてくれないだろうか。			しばし、吾輩の言葉に耳を傾けてくれないだろうか。			それぞれの立場、それぞれの責任							
吾輩には、このアラミゴを守るという、大きな責任がある。そして誰しもが社会に生きる上で、大なり小なり、何かしらの責を負って生きているはずだ。			吾輩には、このアラミゴを守るという、大きな責任がある。そして誰しもが社会に生きる上で、大なり小なり、何かしらの責を負って生きているはずだ。			それぞれの立場、それぞれの責任							
家族を守る責任、誇りを守る責任……ここに居るあなた方なら特に、その重みがわかるだろう。			家族を守る責任、誇りを守る責任……ここに居るあなた方なら特に、その重みがわかるだろう。			それぞれの立場、それぞれの責任							
それは、帝国側に付いた者たちも同じだったはず。我らに不幸があったとすれば、他国に侵されたときに、それぞれが異なる方法で、大切なものを守ろうとしたことだ。			それは、帝国側に付いた者たちも同じだったはず。我らに不幸があったとすれば、他国に侵されたときに、それぞれが異なる方法で、大切なものを守ろうとしたことだ。			それぞれの立場、それぞれの責任							
耐え忍ぶことを選んだ者、戦い抗うことを選んだ者、そして、征服者に膝を突くことを選んだ者……。皆、守りたかっただけなのだ。			耐え忍ぶことを選んだ者、戦い抗うことを選んだ者、そして、征服者に膝を突くことを選んだ者……。皆、守りたかっただけなのだ。			それぞれの立場、それぞれの責任							
終末の獣による危機が訪れている今だからこそ、皆で考えてほしい。今度こそ、苦しいときに団結できる、助け合えるアラミゴにしようではないか！			終末の獣による危機が訪れている今だからこそ、皆で考えてほしい。今度こそ、苦しいときに団結できる、助け合えるアラミゴにしようではないか！			それぞれの立場、それぞれの責任							
俺たちはさ、本来平等にあるはずの自由を獲得するために、多くの血を流して戦い、守られ……そして、生き延びた。			俺たちはさ、本来平等にあるはずの自由を獲得するために、多くの血を流して戦い、守られ……そして、生き延びた。			それぞれの立場、それぞれの責任							
だから、自由を得た今こそ……犠牲となったすべての命に、敬意を払うべきだと思うんだ。			だから、自由を得た今こそ……犠牲となったすべての命に、敬意を払うべきだと思うんだ。			それぞれの立場、それぞれの責任							
同じ地で生まれ育ち、ただ自由に憧れたその命に、違いなんてない……ましてや、今も苦しみ続けている同胞がいる。			同じ地で生まれ育ち、ただ自由に憧れたその命に、違いなんてない……ましてや、今も苦しみ続けている同胞がいる。			それぞれの立場、それぞれの責任							
あなた方にも辛い過去があるのはわかっているさ。それを忘れろだなんて、言うつもりはない……。ただ、このアラミゴを救う、手伝いをさせてもらえないだろうか？			あなた方にも辛い過去があるのはわかっているさ。それを忘れろだなんて、言うつもりはない……。ただ、このアラミゴを救う、手伝いをさせてもらえないだろうか？			それぞれの立場、それぞれの責任							
