再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
モル族の女性と話す			モル族の女性と話す			買い物上手							
道具入りの箱を入手			道具入りの箱を入手			買い物上手							
モル族の女性と話す			モル族の女性と話す			買い物上手							
種子入りの壺を入手			種子入りの壺を入手			買い物上手							
モル族の女性に薬草入りの袋、道具入りの箱、種子入りの壺を渡す			モル族の女性に薬草入りの袋、道具入りの箱、種子入りの壺を渡す			買い物上手							
あら、旅人さん！突然だけど、あなた、買い物に付き合ってくれない？			あら、旅人さん！突然だけど、あなた、買い物に付き合ってくれない？			買い物上手							
今日の神託は、外の者と市に赴けというものだったから、あなたと一緒に買い物をしたいと思ってね。私は再会の市まで行くから、時間があったら来てちょうだい。			今日の神託は、外の者と市に赴けというものだったから、あなたと一緒に買い物をしたいと思ってね。私は再会の市まで行くから、時間があったら来てちょうだい。			買い物上手							
あら、来てくれたのね！とっても安く薬草を買えたのも、あなたのおかげかしら？			あら、来てくれたのね！とっても安く薬草を買えたのも、あなたのおかげかしら？			買い物上手							
けれど、私の細腕じゃ、こんなに持てないってこと忘れてたわ。せっかく来てくれたんだし、まだまだ買い物したいのに……。			けれど、私の細腕じゃ、こんなに持てないってこと忘れてたわ。せっかく来てくれたんだし、まだまだ買い物したいのに……。			買い物上手							
……そうだ！申し訳ないけど、ちょっと荷物を持ってくれないかしら？私は次のお店を見てくるから、そこの「薬草入りの袋」をお願い！			……そうだ！申し訳ないけど、ちょっと荷物を持ってくれないかしら？私は次のお店を見てくるから、そこの「薬草入りの袋」をお願い！			買い物上手							
いい毛刈りばさみを見つけたから、ついつい買っちゃったわ。ごめんなさい、この「道具入りの箱」も持ってくれる？			いい毛刈りばさみを見つけたから、ついつい買っちゃったわ。ごめんなさい、この「道具入りの箱」も持ってくれる？			買い物上手							
あっちのお店で特売が始まるって噂を聞いたから、急いで向かうとするわ！あなたも、あとから付いてきてね！！			あっちのお店で特売が始まるって噂を聞いたから、急いで向かうとするわ！あなたも、あとから付いてきてね！！			買い物上手							
買い物に付いてきてくれて、本当にありがとう！まさか、あんな破格で、この量の種が買えるなんて思わなかった！			買い物に付いてきてくれて、本当にありがとう！まさか、あんな破格で、この量の種が買えるなんて思わなかった！			買い物上手							
さて、帰るとしましょう。そこの「種子入りの壺」を、家まで運んでもらえるかしら？			さて、帰るとしましょう。そこの「種子入りの壺」を、家まで運んでもらえるかしら？			買い物上手							
本当にお世話になったわね、ありがとう。持ってもらっていた、「薬草入りの袋」と、「道具入りの箱」、「種子入りの壺」を渡してくれる？			本当にお世話になったわね、ありがとう。持ってもらっていた、「薬草入りの袋」と、「道具入りの箱」、「種子入りの壺」を渡してくれる？			買い物上手							
どうもありがとう、重かったでしょう？いいものが見つかりすぎて、運ぶことを考えないで買っちゃったから……ごめんなさい。			どうもありがとう、重かったでしょう？いいものが見つかりすぎて、運ぶことを考えないで買っちゃったから……ごめんなさい。			買い物上手							
でもね、その壺に入った種子は、炒って食べてもおいしいし、搾ったら油にもなる優れものなのよ。誰からも人気だから、勝ち取るのは大変だったわ……。			でもね、その壺に入った種子は、炒って食べてもおいしいし、搾ったら油にもなる優れものなのよ。誰からも人気だから、勝ち取るのは大変だったわ……。			買い物上手							
ああっ、そうだ、お礼をしなきゃ！今日はあなたのおかげで、いい買い物ができたわ。また機会があったら、買い物に付き合ってね。			ああっ、そうだ、お礼をしなきゃ！今日はあなたのおかげで、いい買い物ができたわ。また機会があったら、買い物に付き合ってね。			買い物上手							
モル・イローのブジェグは、儀礼の準備に取りかかりたいようだ。			モル・イローのブジェグは、儀礼の準備に取りかかりたいようだ。			新たな季節へ							
指定地点で清めの水を入手			指定地点で清めの水を入手			新たな季節へ							
マスグッドから奉納用の供物を入手			マスグッドから奉納用の供物を入手			新たな季節へ							
チャカ・ゾーの守人にモル族の剣、清めの水、奉納用の供物を渡す			チャカ・ゾーの守人にモル族の剣、清めの水、奉納用の供物を渡す			新たな季節へ							
ブジェグに報告			ブジェグに報告			新たな季節へ							
モル族を勝利へと導いた英雄よ。お前に、ぜひやってもらいたいことがあるのだ。			モル族を勝利へと導いた英雄よ。お前に、ぜひやってもらいたいことがあるのだ。			新たな季節へ							
合戦に勝利した部族は、西の祠へ供物を奉納するしきたりなのだが、それは、一番の功労者が行なうようにと決まっていてな。満場一致で、お前が選ばれたゆえ、よろしく頼む。			合戦に勝利した部族は、西の祠へ供物を奉納するしきたりなのだが、それは、一番の功労者が行なうようにと決まっていてな。満場一致で、お前が選ばれたゆえ、よろしく頼む。			新たな季節へ							
奉納するのは、「モル族の剣」、そして「清めの水」と「奉納用の供物」の3つだ。これらを揃え、祠にいる「チャカ・ゾーの守人」へ渡してくれ。			奉納するのは、「モル族の剣」、そして「清めの水」と「奉納用の供物」の3つだ。これらを揃え、祠にいる「チャカ・ゾーの守人」へ渡してくれ。			新たな季節へ							
まずは「モル族の剣」をお前に渡そう。「清めの水」は、明けの玉座の下にある湖、アジム・カートから汲むといい。			まずは「モル族の剣」をお前に渡そう。「清めの水」は、明けの玉座の下にある湖、アジム・カートから汲むといい。			新たな季節へ							
「奉納用の供物」の手配は、再会の市の「マスグッド」に頼んだ。英雄よ、手間をかけるが、奉納をよろしくお願いする。			「奉納用の供物」の手配は、再会の市の「マスグッド」に頼んだ。英雄よ、手間をかけるが、奉納をよろしくお願いする。			新たな季節へ							
祠の「チャカ・ゾーの守人」へ奉納すべき物は、「モル族の剣」と、「清めの水」、「奉納用の供物」の3つだ。			祠の「チャカ・ゾーの守人」へ奉納すべき物は、「モル族の剣」と、「清めの水」、「奉納用の供物」の3つだ。			新たな季節へ							
明けの玉座の下にある湖から「清めの水」が、再会の市の「マスグッド」から「奉納用の供物」が手に入る。手間をかけるが、よろしく頼んだぞ。			明けの玉座の下にある湖から「清めの水」が、再会の市の「マスグッド」から「奉納用の供物」が手に入る。手間をかけるが、よろしく頼んだぞ。			新たな季節へ							
ブジェグさんからのお使いかい？「奉納用の供物」なら用意できてるよ。量が多くて重たいから、気をつけてな。			ブジェグさんからのお使いかい？「奉納用の供物」なら用意できてるよ。量が多くて重たいから、気をつけてな。			新たな季節へ							
待っておりましたぞ。「モル族の剣」と「清めの水」、「奉納用の供物」は、用意できましたかな？			待っておりましたぞ。「モル族の剣」と「清めの水」、「奉納用の供物」は、用意できましたかな？			新たな季節へ							
確かに、受け取りました……。そういえば、あなたは異国から来たそうですが、功労者が供物を奉納することの意味はご存知ですか？			確かに、受け取りました……。そういえば、あなたは異国から来たそうですが、功労者が供物を奉納することの意味はご存知ですか？			新たな季節へ							
この儀礼は、剣を置き、次の季節までの安寧を祈りつつ、合戦で失われた命に安らぎあれと、供養するものなのです。どうかあなたも、祈りを捧げてあげてください……。			この儀礼は、剣を置き、次の季節までの安寧を祈りつつ、合戦で失われた命に安らぎあれと、供養するものなのです。どうかあなたも、祈りを捧げてあげてください……。			新たな季節へ							
その祈りに感謝を……そして、あなたの旅路に祝福を……。これで儀礼は無事に終わりました。モル・イローの「ブジェグ」へ、そのことを伝えてあげてください。			その祈りに感謝を……そして、あなたの旅路に祝福を……。これで儀礼は無事に終わりました。モル・イローの「ブジェグ」へ、そのことを伝えてあげてください。			新たな季節へ							
そうか、儀礼を終えてくれたか。お前のおかげで、合戦は本当の意味で終わりを告げた。			そうか、儀礼を終えてくれたか。お前のおかげで、合戦は本当の意味で終わりを告げた。			新たな季節へ							
礼を言うぞ、我ら、モル族の英雄よ。これで我らも悔いなく、新しい季節へと歩みだすことができる。お前の旅路に、よき風が吹くよう祈っているぞ。			礼を言うぞ、我ら、モル族の英雄よ。これで我らも悔いなく、新しい季節へと歩みだすことができる。お前の旅路に、よき風が吹くよう祈っているぞ。			新たな季節へ							
モル・イローの優しそうなモル族の男は、神託の代行者を探しているようだ。			モル・イローの優しそうなモル族の男は、神託の代行者を探しているようだ。			職人の炎							
指定地点で見渡し、敵が現れたら討伐			指定地点で見渡し、敵が現れたら討伐			職人の炎							
優しそうなモル族の男に報告			優しそうなモル族の男に報告			職人の炎							
あっ、キミは、戦い慣れた戦士みたいだね。申し訳ないけれど、ひとつ、お手伝いを頼めるかな？			あっ、キミは、戦い慣れた戦士みたいだね。申し訳ないけれど、ひとつ、お手伝いを頼めるかな？			職人の炎							
僕の神託の代行者として、暮れの玉座にいる魔物を倒してほしいんだ。			僕の神託の代行者として、暮れの玉座にいる魔物を倒してほしいんだ。			職人の炎							
神託で、魔物を倒すよう命じられたんだけど、僕はただの骨細工職人で、戦うことに慣れていないんだ。どうしてこんな神託を与えられたのかも、わからなくて……。			神託で、魔物を倒すよう命じられたんだけど、僕はただの骨細工職人で、戦うことに慣れていないんだ。どうしてこんな神託を与えられたのかも、わからなくて……。			職人の炎							
あぁ、代行することには問題ないよ。神託では、自分で倒すように、とは言われてないからさ！			あぁ、代行することには問題ないよ。神託では、自分で倒すように、とは言われてないからさ！			職人の炎							
暮れの玉座で「見渡す」まで、どんな魔物がいるのか、わからないんだけど、キミならきっと大丈夫。それじゃあ、よろしく頼んだよ！			暮れの玉座で「見渡す」まで、どんな魔物がいるのか、わからないんだけど、キミならきっと大丈夫。それじゃあ、よろしく頼んだよ！			職人の炎							
暮れの玉座で「見渡し」て、現れた魔物を倒してくれないかい？現地に行くまで、どんな魔物がいるのか、わからないんだけど、キミならきっと大丈夫さ！			暮れの玉座で「見渡し」て、現れた魔物を倒してくれないかい？現地に行くまで、どんな魔物がいるのか、わからないんだけど、キミならきっと大丈夫さ！			職人の炎							
おつかれさま。それで、いったい、なんの魔物を退治したんだい？			おつかれさま。それで、いったい、なんの魔物を退治したんだい？			職人の炎							
火の精「アナラ」が、神託で倒すよう命じられた魔物だったのか。……なるほど！			火の精「アナラ」が、神託で倒すよう命じられた魔物だったのか。……なるほど！			職人の炎							
ははっ、やっぱり神は見抜いているんだね！三日三晩悩んでいた悩みが、一瞬で解決してしまったよ。			ははっ、やっぱり神は見抜いているんだね！三日三晩悩んでいた悩みが、一瞬で解決してしまったよ。			職人の炎							
実は、ブドゥガ族の戦士から、装飾品を依頼されていたんだけど、どういう意匠にしようか、ずっと悩んでいたんだ。			実は、ブドゥガ族の戦士から、装飾品を依頼されていたんだけど、どういう意匠にしようか、ずっと悩んでいたんだ。			職人の炎							
けれど、アナラと聞いて閃いたよ！火は、戦を象徴するものだから、勇ましい炎を題材に作れば、必ずやいい物が作れるってね！			けれど、アナラと聞いて閃いたよ！火は、戦を象徴するものだから、勇ましい炎を題材に作れば、必ずやいい物が作れるってね！			職人の炎							
代行者として、僕の神託をこなしてくれて、ありがとう。キミも行き詰まったことがあれば、神託を頼るといい。必ずや、キミを導いてくれるよ！			代行者として、僕の神託をこなしてくれて、ありがとう。キミも行き詰まったことがあれば、神託を頼るといい。必ずや、キミを導いてくれるよ！			職人の炎							
オンサル・ハカイルのマカリは、息子のことを気にしているようだ。			オンサル・ハカイルのマカリは、息子のことを気にしているようだ。			軟弱息子の成長							
チャグルと話す			チャグルと話す			軟弱息子の成長							
マカリの息子と話す			マカリの息子と話す			軟弱息子の成長							
マカリに報告			マカリに報告			軟弱息子の成長							
やあやあ、モル族を勝利に導きし英雄殿。本当、アンタには感謝しきれねぇよ。			やあやあ、モル族を勝利に導きし英雄殿。本当、アンタには感謝しきれねぇよ。			軟弱息子の成長							
そんなアンタに頼むのは、心苦しいんだが……。明けの玉座に、使いに行かせた息子の帰りが遅く、ちょっと心配なんだ……。			そんなアンタに頼むのは、心苦しいんだが……。明けの玉座に、使いに行かせた息子の帰りが遅く、ちょっと心配なんだ……。			軟弱息子の成長							
弱小部族だったモル族が、合戦の勝者となったことで、オロニル族の中には、かなり苛立っている者もいると聞く。もしや、息子に何かあったんじゃないかってな……。			弱小部族だったモル族が、合戦の勝者となったことで、オロニル族の中には、かなり苛立っている者もいると聞く。もしや、息子に何かあったんじゃないかってな……。			軟弱息子の成長							
何かの用で、明けの玉座に立ち寄ることがあったら、「チャグル」という女に、息子のことを聞いてみてくれ。心配のしすぎなら、いいんだが……。			何かの用で、明けの玉座に立ち寄ることがあったら、「チャグル」という女に、息子のことを聞いてみてくれ。心配のしすぎなら、いいんだが……。			軟弱息子の成長							
何かの用で、明けの玉座に立ち寄ることがあったら、「チャグル」という女に、息子のことを聞いてみてくれ。心配のしすぎなら、いいんだが……。			何かの用で、明けの玉座に立ち寄ることがあったら、「チャグル」という女に、息子のことを聞いてみてくれ。心配のしすぎなら、いいんだが……。			軟弱息子の成長							
お主は、合戦の勇士ではないか。いかなる用で、こんな場所まで足を運んだ？			お主は、合戦の勇士ではないか。いかなる用で、こんな場所まで足を運んだ？			軟弱息子の成長							
ふむ、確かにマカリの息子なら、使いに来たぞ。その後、明けの玉座にいる若者たちと、西の方に向かったようだが……。			ふむ、確かにマカリの息子なら、使いに来たぞ。その後、明けの玉座にいる若者たちと、西の方に向かったようだが……。			軟弱息子の成長							
そんなに心配なのであれば、様子を見にいってみたらどうだ？			そんなに心配なのであれば、様子を見にいってみたらどうだ？			軟弱息子の成長							
そんなに心配なのであれば、様子を見にいってみたらどうだ？確か西の方に向かったはずだが……。			そんなに心配なのであれば、様子を見にいってみたらどうだ？確か西の方に向かったはずだが……。			軟弱息子の成長							
はあ……はあ……もう、だめだ……。マメが潰れて、斧を握っただけで激痛が走る……。って、貴方は英雄殿……いったい、なんでここに？			はあ……はあ……もう、だめだ……。マメが潰れて、斧を握っただけで激痛が走る……。って、貴方は英雄殿……いったい、なんでここに？			軟弱息子の成長							
す、すみません。明けの玉座で、彼らと意気投合しちゃいまして。訓練に誘われて、一緒にやっていたんです。			す、すみません。明けの玉座で、彼らと意気投合しちゃいまして。訓練に誘われて、一緒にやっていたんです。			軟弱息子の成長							
モル族は弱小部族と侮っていたが、我らは敗れた。強い者であれば、学ぶべきところもあるはずと思ってな。さあ、もうひと勝負といこうぞ！			モル族は弱小部族と侮っていたが、我らは敗れた。強い者であれば、学ぶべきところもあるはずと思ってな。さあ、もうひと勝負といこうぞ！			軟弱息子の成長							
ご、ごめん、もう限界……じゃなくて、父さんが待っているから、今日はこのあたりで！あ、ありがとうございました～！			ご、ごめん、もう限界……じゃなくて、父さんが待っているから、今日はこのあたりで！あ、ありがとうございました～！			軟弱息子の成長							
息子には、会えたか？			息子には、会えたか？			軟弱息子の成長							
我らが敗れたモル族だ、軟弱なはずがない。……ハッ、まさか真の実力を隠して、油断させているのか？			我らが敗れたモル族だ、軟弱なはずがない。……ハッ、まさか真の実力を隠して、油断させているのか？			軟弱息子の成長							
まだまだ、もっと強くならねば！			まだまだ、もっと強くならねば！			軟弱息子の成長							
迎えに行ってくれて、ありがとな。息子の奴、帰ってきて早々治療に向かったんだが、なにかあったのか？			迎えに行ってくれて、ありがとな。息子の奴、帰ってきて早々治療に向かったんだが、なにかあったのか？			軟弱息子の成長							
はっはっは！オロニル族とブドゥガ族に、しごかれていたのか。それは、いい勉強をさせてもらったな。			はっはっは！オロニル族とブドゥガ族に、しごかれていたのか。それは、いい勉強をさせてもらったな。			軟弱息子の成長							
息子には、アンタみたいに、一族や、誇り……いろんなものを、護れる男になってほしいんだ。嫌がるだろうが、今度、また特訓に行かせるとするよ。			息子には、アンタみたいに、一族や、誇り……いろんなものを、護れる男になってほしいんだ。嫌がるだろうが、今度、また特訓に行かせるとするよ。			軟弱息子の成長							
モル・イローのジェンクシは、どうしても欲しい物があるようだ。			モル・イローのジェンクシは、どうしても欲しい物があるようだ。			病に効く卵							
モー・ショボーの卵を入手			モー・ショボーの卵を入手			病に効く卵							
ジェンクシにモー・ショボーの卵を渡す			ジェンクシにモー・ショボーの卵を渡す			病に効く卵							
なあ、お前、バルダム覇道を越えたってことは、この地を飛ぶ術を持ってるんだよな？それなら、ちょっと頼みがあるんだ！			なあ、お前、バルダム覇道を越えたってことは、この地を飛ぶ術を持ってるんだよな？それなら、ちょっと頼みがあるんだ！			病に効く卵							
うちの羊が病気にかかってしまってな……。どうしても、モー・ショボーの巣にある卵が欲しいんだ。			うちの羊が病気にかかってしまってな……。どうしても、モー・ショボーの巣にある卵が欲しいんだ。			病に効く卵							
けど、奴らは、俺たちが敵う相手じゃないし、巣は高いところにあるしで、手に入れることができないんだ。恥ずかしい話だが、俺はまだ覇道を越えていなくてな……。			けど、奴らは、俺たちが敵う相手じゃないし、巣は高いところにあるしで、手に入れることができないんだ。恥ずかしい話だが、俺はまだ覇道を越えていなくてな……。			病に効く卵							
恩人であるお前に頼ってしまって申し訳ないが、「モー・ショボーの卵」を、3つ取ってきてくれ！			恩人であるお前に頼ってしまって申し訳ないが、「モー・ショボーの卵」を、3つ取ってきてくれ！			病に効く卵							
モー・ショボーは、俺たちが敵う相手じゃないし、巣は高いところにあるしで、手に入れることができないんだ。お願いだ、「モー・ショボーの卵」を3つ取ってきてくれ！			モー・ショボーは、俺たちが敵う相手じゃないし、巣は高いところにあるしで、手に入れることができないんだ。お願いだ、「モー・ショボーの卵」を3つ取ってきてくれ！			病に効く卵							
「モー・ショボーの卵」は3つ、手に入ったか？このままじゃ、羊が……！			「モー・ショボーの卵」は3つ、手に入ったか？このままじゃ、羊が……！			病に効く卵							
おぉ、手に入ったのか！！よかった……これがあれば、薬を作ってやれる！			おぉ、手に入ったのか！！よかった……これがあれば、薬を作ってやれる！			病に効く卵							
羊のかかった病が、うつりやすい厄介なやつでさ。もしも、ほかの羊たちにまで感染していたらと思うと、ゾッとするよ。			羊のかかった病が、うつりやすい厄介なやつでさ。もしも、ほかの羊たちにまで感染していたらと思うと、ゾッとするよ。			病に効く卵							
こういうときのためにも、俺も早く覇道を越えないとな。助けてくれて、本当にありがとう。お前のおかげで、モル族の大事な羊を失わなくて済むよ。			こういうときのためにも、俺も早く覇道を越えないとな。助けてくれて、本当にありがとう。お前のおかげで、モル族の大事な羊を失わなくて済むよ。			病に効く卵							
明けの玉座のオゴデイは、頼みたいことがあるようだ。			明けの玉座のオゴデイは、頼みたいことがあるようだ。			草原に生まれる子のために							
マンモスからマンモスの粗皮を入手			マンモスからマンモスの粗皮を入手			草原に生まれる子のために							
乾燥した木の葉を入手			乾燥した木の葉を入手			草原に生まれる子のために							
オゴデイにマンモスの粗皮と乾燥した木の葉を渡す			オゴデイにマンモスの粗皮と乾燥した木の葉を渡す			草原に生まれる子のために							
お前、いま手が空いているか？部族外の者にしか頼めん仕事があるのだが……。			お前、いま手が空いているか？部族外の者にしか頼めん仕事があるのだが……。			草原に生まれる子のために							
実は、そろそろ子が生まれそうでな。その子のため、温かな毛布を作ってやりたいのだが、あまり右往左往している様を、家族には見せたくなくてな……。			実は、そろそろ子が生まれそうでな。その子のため、温かな毛布を作ってやりたいのだが、あまり右往左往している様を、家族には見せたくなくてな……。			草原に生まれる子のために							
そこでお前に、こっそりと毛布の材料を集めてきてもらいたいのだ。ここから北東にいる「マンモス」を倒して、「マンモスの粗皮」を3つ取ってきてくれ。			そこでお前に、こっそりと毛布の材料を集めてきてもらいたいのだ。ここから北東にいる「マンモス」を倒して、「マンモスの粗皮」を3つ取ってきてくれ。			草原に生まれる子のために							
それと、毛皮をなめす煮汁を作るための、「乾燥した木の葉」も必要だ。北に点在する低木の根元に落ちているだろう。			それと、毛皮をなめす煮汁を作るための、「乾燥した木の葉」も必要だ。北に点在する低木の根元に落ちているだろう。			草原に生まれる子のために							
とにかく万全の状態で出産を待ちたい。ふたつが揃ったら、私に渡してくれ。よろしく頼むッ！			とにかく万全の状態で出産を待ちたい。ふたつが揃ったら、私に渡してくれ。よろしく頼むッ！			草原に生まれる子のために							
北東の「マンモス」から「マンモスの粗皮」を3つ、北に点在する低木の根元から、「乾燥した木の葉」を取ってきてくれ。			北東の「マンモス」から「マンモスの粗皮」を3つ、北に点在する低木の根元から、「乾燥した木の葉」を取ってきてくれ。			草原に生まれる子のために							
「マンモスの粗皮」と「乾燥した木の葉」は、取ってこれたか？			「マンモスの粗皮」と「乾燥した木の葉」は、取ってこれたか？			草原に生まれる子のために							
よし、これで生まれてくる子に毛布を作ってやれるぞ！この辺りは風も強く、夜になると冷えるからな……。			よし、これで生まれてくる子に毛布を作ってやれるぞ！この辺りは風も強く、夜になると冷えるからな……。			草原に生まれる子のために							
年に数回だが、ひどい寒波が来ることもあって、運が悪ければ外にいる赤子が、亡くなることがあるのだ。羊とはいえ、生まれてきてすぐに死ぬのは、忍びないからな。			年に数回だが、ひどい寒波が来ることもあって、運が悪ければ外にいる赤子が、亡くなることがあるのだ。羊とはいえ、生まれてきてすぐに死ぬのは、忍びないからな。			草原に生まれる子のために							
…………も、もしや、生まれてくるのが、羊の子だということ、説明し忘れていたか？いやはや、すまんすまん！			…………も、もしや、生まれてくるのが、羊の子だということ、説明し忘れていたか？いやはや、すまんすまん！			草原に生まれる子のために							
ともかく助かったぞ、旅人よ。お前の助力によって、生まれてくる子羊は安泰だ！			ともかく助かったぞ、旅人よ。お前の助力によって、生まれてくる子羊は安泰だ！			草原に生まれる子のために							
明けの玉座のアバカは、旅人のことを試したいようだ。			明けの玉座のアバカは、旅人のことを試したいようだ。			論より証拠							
フン・チョローを討伐			フン・チョローを討伐			論より証拠							
アバカに報告			アバカに報告			論より証拠							
ちょっと待て。貴様、バルダム覇道を越えたと聞いたが、本当か？			ちょっと待て。貴様、バルダム覇道を越えたと聞いたが、本当か？			論より証拠							
外から来た貴様が、あの試練を突破するとは到底思えん。……だが、俺が与える試練をも越えるならば、信じてやろう。			外から来た貴様が、あの試練を突破するとは到底思えん。……だが、俺が与える試練をも越えるならば、信じてやろう。			論より証拠							
ここより北西の、キオルエンに生息する、「フン・チョロー」を4体倒してこい。達成できなくば、覇道の件は、ただの噂に過ぎなかったと見なす。			ここより北西の、キオルエンに生息する、「フン・チョロー」を4体倒してこい。達成できなくば、覇道の件は、ただの噂に過ぎなかったと見なす。			論より証拠							
もし貴様が、太陽神アジムの子たるオロニル族にも、ひけをとらぬ戦士ならば、これくらい簡単であろう？			もし貴様が、太陽神アジムの子たるオロニル族にも、ひけをとらぬ戦士ならば、これくらい簡単であろう？			論より証拠							
ここより北西の、キオルエンに生息する、「フン・チョロー」を4体倒してこい。達成できなくば、覇道の件は、ただの噂に過ぎなかったと見なす。			ここより北西の、キオルエンに生息する、「フン・チョロー」を4体倒してこい。達成できなくば、覇道の件は、ただの噂に過ぎなかったと見なす。			論より証拠							
誰も見ていないにも関わらず、己が強さを証明するためだけに戦うとは、貴様は誠の戦士だな。			誰も見ていないにも関わらず、己が強さを証明するためだけに戦うとは、貴様は誠の戦士だな。			論より証拠							
だが安心せよ、俺は見ていたぞ。ヨルの背に乗り、遙か上空からな。			だが安心せよ、俺は見ていたぞ。ヨルの背に乗り、遙か上空からな。			論より証拠							
確かに貴様には、あの覇道を越えるだけの資質があるようだ。……疑ってすまなかったな。			確かに貴様には、あの覇道を越えるだけの資質があるようだ。……疑ってすまなかったな。			論より証拠							
オロニル族は、強き者には相応の敬意を示す。俺の与えた試練に打ち勝った腕を、称えてやろう。			オロニル族は、強き者には相応の敬意を示す。俺の与えた試練に打ち勝った腕を、称えてやろう。			論より証拠							
明けの玉座のブドゥガ族の戦士は、噂の戦士に頼みたいことがあるようだ。			明けの玉座のブドゥガ族の戦士は、噂の戦士に頼みたいことがあるようだ。			ブドゥガの理想							
ブドゥガ族の戦士と話す			ブドゥガ族の戦士と話す			ブドゥガの理想							
ブドゥガ族の戦士と再度話す			ブドゥガ族の戦士と再度話す			ブドゥガの理想							
ブドゥガ族の戦士とさらに話す			ブドゥガ族の戦士とさらに話す			ブドゥガの理想							
アンタが噂の、異国からの旅人でありながら、バルダム覇道を越えたっていう戦士だな？暇なら、ちょっと俺につきあってくれよ。			アンタが噂の、異国からの旅人でありながら、バルダム覇道を越えたっていう戦士だな？暇なら、ちょっと俺につきあってくれよ。			ブドゥガの理想							
なぁに、簡単な仕事を頼みたいだけだ。ちょっとここでは話しにくいから、移動しようぜ。場所はそうだなぁ……玉座の下で。			なぁに、簡単な仕事を頼みたいだけだ。ちょっとここでは話しにくいから、移動しようぜ。場所はそうだなぁ……玉座の下で。			ブドゥガの理想							
アンタが噂どおりの戦士なら、ちょろい仕事さ。んじゃ、待ってるぜ。			アンタが噂どおりの戦士なら、ちょろい仕事さ。んじゃ、待ってるぜ。			ブドゥガの理想							
おっ、よく来てくれたな！それじゃ……いっちょ、試させてもらおうか！			おっ、よく来てくれたな！それじゃ……いっちょ、試させてもらおうか！			ブドゥガの理想							
噂どおり……ってか、それ以上の強さだな。不意打ちをかけて、3人で囲んだってのに、まさか、負けるとは思わなかったぜ。			噂どおり……ってか、それ以上の強さだな。不意打ちをかけて、3人で囲んだってのに、まさか、負けるとは思わなかったぜ。			ブドゥガの理想							
悪いな、仕事があるってのは嘘だ。試練を越えた異国の戦士と、どうしても戦いたくってさ。いやぁ、その戦いっぷり、参考になったぜ。			悪いな、仕事があるってのは嘘だ。試練を越えた異国の戦士と、どうしても戦いたくってさ。いやぁ、その戦いっぷり、参考になったぜ。			ブドゥガの理想							
アンタ、ブドゥガ族にならねえか？そんだけ強ければ、異人であろうと、誰も文句言わねぇよ！			アンタ、ブドゥガ族にならねえか？そんだけ強ければ、異人であろうと、誰も文句言わねぇよ！			ブドゥガの理想							
アンタが男だったら、ブドゥガ族に誘うところなんだがな。……ドタール族のやつだったら、男へ生まれ変わるのを、待つこともできたのに。			アンタが男だったら、ブドゥガ族に誘うところなんだがな。……ドタール族のやつだったら、男へ生まれ変わるのを、待つこともできたのに。			ブドゥガの理想							
うーん、残念だ。ま、とにかく、つきあってくれた礼をするよ。明けの玉座の上まで来てくれ。			うーん、残念だ。ま、とにかく、つきあってくれた礼をするよ。明けの玉座の上まで来てくれ。			ブドゥガの理想							
さっきの誘い、冗談に聞こえたかもしれんが本気だぜ。アンタみたいなやつがいてくれりゃ、百人力だ。			さっきの誘い、冗談に聞こえたかもしれんが本気だぜ。アンタみたいなやつがいてくれりゃ、百人力だ。			ブドゥガの理想							
けれど、その前に、俺たちがもっと強くならないとな！絶対に、今より強くなってみせるから、そんときは戦ってくれよ、じゃあな！			けれど、その前に、俺たちがもっと強くならないとな！絶対に、今より強くなってみせるから、そんときは戦ってくれよ、じゃあな！			ブドゥガの理想							
明けの玉座のチャラカは、異国の戦士へ教えたいことがあるようだ。			明けの玉座のチャラカは、異国の戦士へ教えたいことがあるようだ。			アジムの御心							
指定地点にオロニル族の乳酒を使う			指定地点にオロニル族の乳酒を使う			アジムの御心							
チャラカに報告			チャラカに報告			アジムの御心							
ほう……そなたがあの、バルダム覇道を越えてきたという、異国の戦士か。なるほど、良い面構えをしている。			ほう……そなたがあの、バルダム覇道を越えてきたという、異国の戦士か。なるほど、良い面構えをしている。			アジムの御心							
一部の兄弟たちは、異人を侮っている節があるが、あの試練を越えたのであれば、認めるに値するというもの！			一部の兄弟たちは、異人を侮っている節があるが、あの試練を越えたのであれば、認めるに値するというもの！			アジムの御心							
せっかくだ、オロニルに伝わる儀式をしてみないか？試練を越えた者が行なう神聖なものだが、異人が行ってはならないとは、決められていないからな。			せっかくだ、オロニルに伝わる儀式をしてみないか？試練を越えた者が行なう神聖なものだが、異人が行ってはならないとは、決められていないからな。			アジムの御心							
内容は簡単だ。この「オロニル族の乳酒」を、周囲の巨石へ撒くのみ。			内容は簡単だ。この「オロニル族の乳酒」を、周囲の巨石へ撒くのみ。			アジムの御心							
しかし、ただ撒くのではない。心の中で、成し遂げたい野望を唱えながらだ。			しかし、ただ撒くのではない。心の中で、成し遂げたい野望を唱えながらだ。			アジムの御心							
玉座の周囲にある巨石は、全部で5か所ある。儀式を終えたら、戻ってくるがよい。			玉座の周囲にある巨石は、全部で5か所ある。儀式を終えたら、戻ってくるがよい。			アジムの御心							
