裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
ケイメイと話した。ケイメイも、コトチョウの再起を信じているようだ。芸子に復帰した暁には、新たな衣装を製作できるよう、腕を磨いておこう。※裁縫師のレベルが70以上になると、クガネのケイメイから、次の裁縫師クエストを受注することができます。			ケイメイと話した。ケイメイも、コトチョウの再起を信じているようだ。芸子に復帰した暁には、新たな衣装を製作できるよう、腕を磨いておこう。※裁縫師のレベルが70以上になると、クガネのケイメイから、次の裁縫師クエストを受注することができます。			大勝負の「どれす」どす							
コトチョウと話す			コトチョウと話す			大勝負の「どれす」どす							
ケイメイに報告			ケイメイに報告			大勝負の「どれす」どす							
ヤギリと話してビスチェの材料を入手			ヤギリと話してビスチェの材料を入手			大勝負の「どれす」どす							
製作手帳 クラスクエスト：高級サベネアンビスチェを製作ケイメイに高級サベネアンビスチェを納品			製作手帳 クラスクエスト：高級サベネアンビスチェを製作ケイメイに高級サベネアンビスチェを納品			大勝負の「どれす」どす							
コトチョウを探す			コトチョウを探す			大勝負の「どれす」どす							
ケイメイと話す			ケイメイと話す			大勝負の「どれす」どす							
Forenameさん、お待ちしてました！「開港をどり」は、大成功に終わりましたよ。もちろん、コトチョウの舞も大変な好評ぶりでした。			Forenameさん、お待ちしてました！「開港をどり」は、大成功に終わりましたよ。もちろん、コトチョウの舞も大変な好評ぶりでした。			大勝負の「どれす」どす							
「ひんがしの国」の民であるコトチョウが、貴方の作ったスプリングドレスを着たことが良かったようです。東西の文化が融合していると、異国の要人に大受けでしてね。			「ひんがしの国」の民であるコトチョウが、貴方の作ったスプリングドレスを着たことが良かったようです。東西の文化が融合していると、異国の要人に大受けでしてね。			大勝負の「どれす」どす							
おかげで、三条花街では異国人の客足が増えたそうです。さらにコトチョウにも、常連がつきはじめ、特別な依頼まで舞いこんだのです！			おかげで、三条花街では異国人の客足が増えたそうです。さらにコトチョウにも、常連がつきはじめ、特別な依頼まで舞いこんだのです！			大勝負の「どれす」どす							
なんでも、この街の役人たちをまとめる「クガネ奉行」から、国賓を招いた園遊会で、芸を披露してほしいと、直々にご指名いただいたとか。			なんでも、この街の役人たちをまとめる「クガネ奉行」から、国賓を招いた園遊会で、芸を披露してほしいと、直々にご指名いただいたとか。			大勝負の「どれす」どす							
そのような公式行事を成功させれば、名声は一段と高まります。コトチョウも重要性を理解しているようで、新たな衣装をねだられましてね。			そのような公式行事を成功させれば、名声は一段と高まります。コトチョウも重要性を理解しているようで、新たな衣装をねだられましてね。			大勝負の「どれす」どす							
つきましては、彼女の魅力を最大限に引き出す、園遊会用のドレスの製作を、依頼させていただきたいのです。詳しくは、三条花街にいる「コトチョウ」と話し合ってください。			つきましては、彼女の魅力を最大限に引き出す、園遊会用のドレスの製作を、依頼させていただきたいのです。詳しくは、三条花街にいる「コトチョウ」と話し合ってください。			大勝負の「どれす」どす							
コトチョウの魅力を最大限に引き出す、園遊会用のドレス製作をお願いします。詳しくは、三条花街にいる「コトチョウ」と話し合ってください。			コトチョウの魅力を最大限に引き出す、園遊会用のドレス製作をお願いします。詳しくは、三条花街にいる「コトチョウ」と話し合ってください。			大勝負の「どれす」どす							
いつまで、けったいな衣装に頼るつもりやの？芸子の着物が、長年変わらず伝えられてる理由を考えよし。			いつまで、けったいな衣装に頼るつもりやの？芸子の着物が、長年変わらず伝えられてる理由を考えよし。			大勝負の「どれす」どす							
Forenameはん、待ってましたわ。コトツル姉さんが、園遊会では着物で舞えといわはるんどす。			Forenameはん、待ってましたわ。コトツル姉さんが、園遊会では着物で舞えといわはるんどす。			大勝負の「どれす」どす							
姉さんたら、わてが、なんぼ説明しても納得してくれんし、Forenameはんからも、「どれす」の魅力を、説明しておくれやす。			姉さんたら、わてが、なんぼ説明しても納得してくれんし、Forenameはんからも、「どれす」の魅力を、説明しておくれやす。			大勝負の「どれす」どす							
コトチョウ、Forenameはんを、巻き込むのは、あきまへんえ。困ってはるやないの……。			コトチョウ、Forenameはんを、巻き込むのは、あきまへんえ。困ってはるやないの……。			大勝負の「どれす」どす							
Forenameはん、妹のコトチョウがいちびって、かんにんな。			Forenameはん、妹のコトチョウがいちびって、かんにんな。			大勝負の「どれす」どす							
そうやって、すぐ決めつけへんといてんか？わて、Forenameはんに迷惑なんて、かけておらへんえ。			そうやって、すぐ決めつけへんといてんか？わて、Forenameはんに迷惑なんて、かけておらへんえ。			大勝負の「どれす」どす							
コトツル姉さん、わてが若旦那やForenameはんに、可愛がってもろてるの、やきもちやいてはるんやないの？			コトツル姉さん、わてが若旦那やForenameはんに、可愛がってもろてるの、やきもちやいてはるんやないの？			大勝負の「どれす」どす							
コトチョウ……あんたには、なにいうても無駄みたいやな。痛い目見んと、わからんのやったら、わてとあんた、園遊会でどっちが評価されるか勝負しぃ。			コトチョウ……あんたには、なにいうても無駄みたいやな。痛い目見んと、わからんのやったら、わてとあんた、園遊会でどっちが評価されるか勝負しぃ。			大勝負の「どれす」どす							
はん、のぞむところや！花街が、わての時代になったこと、証明したるわ！			はん、のぞむところや！花街が、わての時代になったこと、証明したるわ！			大勝負の「どれす」どす							
ほな、負けた方が芸子を降りて、「仕込さん」に戻るのでええな？舞子になる前の下働きからやりなおしや、覚悟おし！！			ほな、負けた方が芸子を降りて、「仕込さん」に戻るのでええな？舞子になる前の下働きからやりなおしや、覚悟おし！！			大勝負の「どれす」どす							
はあ～コトツル姉さんが行かはって、空気がおいしいわ！姉さんがこだわる伝統がカビ臭うて、かなしませんどした！せや……わては、姉さんにない若さを打ち出したる！			はあ～コトツル姉さんが行かはって、空気がおいしいわ！姉さんがこだわる伝統がカビ臭うて、かなしませんどした！せや……わては、姉さんにない若さを打ち出したる！			大勝負の「どれす」どす							
異国の要人さんとお話ししたとき、わて、聞いたんどす。ウルダハで見た、踊り子さんよりも煌びやかな、「さべねあんびすちぇ」いう「どれす」があるんやろ？			異国の要人さんとお話ししたとき、わて、聞いたんどす。ウルダハで見た、踊り子さんよりも煌びやかな、「さべねあんびすちぇ」いう「どれす」があるんやろ？			大勝負の「どれす」どす							
それをこしらえておくれやす。もちろん、わての勝負色、緑青色でな。			それをこしらえておくれやす。もちろん、わての勝負色、緑青色でな。			大勝負の「どれす」どす							
若旦那に伝えて、極上の布地を用意してもろて！さあ、Forenameはん、気張っていきまひょ！「どれす」完成まで、わては舞の稽古を積んどくわ！！			若旦那に伝えて、極上の布地を用意してもろて！さあ、Forenameはん、気張っていきまひょ！「どれす」完成まで、わては舞の稽古を積んどくわ！！			大勝負の「どれす」どす							
さあ、Forenameはん、気張っていきまひょ！「どれす」完成まで、わては舞の稽古を積んどくわ！！			さあ、Forenameはん、気張っていきまひょ！「どれす」完成まで、わては舞の稽古を積んどくわ！！			大勝負の「どれす」どす							
コトチョウから、ドレスの要望を聞き出せましたか？			コトチョウから、ドレスの要望を聞き出せましたか？			大勝負の「どれす」どす							
ウルダハの踊り子の衣装よりも煌びやか！？むむ……胸騒ぎがしますが、気のせいでしょうか……？と、とにかくドレス製作に必要な材料はありますか？			ウルダハの踊り子の衣装よりも煌びやか！？むむ……胸騒ぎがしますが、気のせいでしょうか……？と、とにかくドレス製作に必要な材料はありますか？			大勝負の「どれす」どす							
なんと……薄く艶やかな緑青色の絹ですか……。最高級の生地を見繕えば用意できますが、価格も最高です……。ああ、やはりなんだか眩暈が……。			なんと……薄く艶やかな緑青色の絹ですか……。最高級の生地を見繕えば用意できますが、価格も最高です……。ああ、やはりなんだか眩暈が……。			大勝負の「どれす」どす							
しかも、コトツルと芸子生命をかけて勝負するですって！？実力も人気も花街いちのコトツルに、なんてことを……。はあ……ますます眩暈が……。			しかも、コトツルと芸子生命をかけて勝負するですって！？実力も人気も花街いちのコトツルに、なんてことを……。はあ……ますます眩暈が……。			大勝負の「どれす」どす							
で、ですが、ここはコトチョウを信じましょう。安全な道を歩むだけでは、花街の頂点など目指せません。コトチョウのために、最高のドレスを用意してください！！			で、ですが、ここはコトチョウを信じましょう。安全な道を歩むだけでは、花街の頂点など目指せません。コトチョウのために、最高のドレスを用意してください！！			大勝負の「どれす」どす							
例のごとく、材料は、番頭「ヤギリ」からお受け取りを。「高級サベネアンビスチェ」が完成したら、私へ納品してください。			例のごとく、材料は、番頭「ヤギリ」からお受け取りを。「高級サベネアンビスチェ」が完成したら、私へ納品してください。			大勝負の「どれす」どす							
例のごとく、材料は、番頭「ヤギリ」からお受け取りを。「高級サベネアンビスチェ」が完成したら、私へ納品してください。			例のごとく、材料は、番頭「ヤギリ」からお受け取りを。「高級サベネアンビスチェ」が完成したら、私へ納品してください。			大勝負の「どれす」どす							
依頼の品を作るための材料ですね？どうぞ、お受け取りください。			依頼の品を作るための材料ですね？どうぞ、お受け取りください。			大勝負の「どれす」どす							
今回は、これまで以上に高級な材料を使うのですね……。とはいえ、必要な生地が、少なすぎるように思えますが、本当にこれだけで足りるのですか？			今回は、これまで以上に高級な材料を使うのですね……。とはいえ、必要な生地が、少なすぎるように思えますが、本当にこれだけで足りるのですか？			大勝負の「どれす」どす							
……肌の露出がそんなに……！？なんとも破廉恥……いや、失礼、異国文化というのは、我ら「ひんがしの国」の民には、馴染みが薄いもので……。			……肌の露出がそんなに……！？なんとも破廉恥……いや、失礼、異国文化というのは、我ら「ひんがしの国」の民には、馴染みが薄いもので……。			大勝負の「どれす」どす							
匠が精魂込めて仕上げた、異国の装束……期待しています。材料が不足した際には、すぐに声をかけてください。			匠が精魂込めて仕上げた、異国の装束……期待しています。材料が不足した際には、すぐに声をかけてください。			大勝負の「どれす」どす							
匠が精魂込めて仕上げた、異国の装束……期待しています。材料が不足した際には、すぐに声をかけてください。			匠が精魂込めて仕上げた、異国の装束……期待しています。材料が不足した際には、すぐに声をかけてください。			大勝負の「どれす」どす							
「高級サベネアンビスチェ」が完成しましたか！？完成品を見るのが恐ろしい気がしますが……まずは若旦那へお渡しください。			「高級サベネアンビスチェ」が完成しましたか！？完成品を見るのが恐ろしい気がしますが……まずは若旦那へお渡しください。			大勝負の「どれす」どす							
はあ……ドレスを思うと、鼓動が早鐘を打ちます……。でも、Forenameさん、ドレスが完成したら、すぐに見せてくださいね。			はあ……ドレスを思うと、鼓動が早鐘を打ちます……。でも、Forenameさん、ドレスが完成したら、すぐに見せてくださいね。			大勝負の「どれす」どす							
ぐぬぬ……想像以上に布地が狭小ですね……。私は、果たしてコトチョウの決意を見届けられるでしょうか……。と、と、とにかく試着してもらいましょう。			ぐぬぬ……想像以上に布地が狭小ですね……。私は、果たしてコトチョウの決意を見届けられるでしょうか……。と、と、とにかく試着してもらいましょう。			大勝負の「どれす」どす							
若旦那、Forenameはん、支度がすみました、どうですやろか？			若旦那、Forenameはん、支度がすみました、どうですやろか？			大勝負の「どれす」どす							
や、やはり……露出が……目のやり場に困ります……。し、し、しかし、これがコトチョウの決意と覚悟ならば……わたしも逃げずに、誠意をこめて受け止めなければ……。			や、やはり……露出が……目のやり場に困ります……。し、し、しかし、これがコトチョウの決意と覚悟ならば……わたしも逃げずに、誠意をこめて受け止めなければ……。			大勝負の「どれす」どす							
ウルダハで見た踊り子さんのべべより、煌めいていて軽やかどす。蝶の羽根の様にうつやかで、ほんまに羽ばたけそうどすわ。これなら、花街イチのコトツル姉さんにだって、負けしまへん！			ウルダハで見た踊り子さんのべべより、煌めいていて軽やかどす。蝶の羽根の様にうつやかで、ほんまに羽ばたけそうどすわ。これなら、花街イチのコトツル姉さんにだって、負けしまへん！			大勝負の「どれす」どす							
ああ、その心意気だ。気負わず、稽古の成果を出しきれれば、そのドレスが君を助けてくれるだろう。			ああ、その心意気だ。気負わず、稽古の成果を出しきれれば、そのドレスが君を助けてくれるだろう。			大勝負の「どれす」どす							
ほな、わて、園遊会に出かけます。新しいべべに引けを取らんほど、大胆に挑戦的に、気張って舞を披露してきますわ！			ほな、わて、園遊会に出かけます。新しいべべに引けを取らんほど、大胆に挑戦的に、気張って舞を披露してきますわ！			大勝負の「どれす」どす							
はあ……なんだか動悸が……。これは、コトチョウの姿のせいか、勝負前の緊張か……。			はあ……なんだか動悸が……。これは、コトチョウの姿のせいか、勝負前の緊張か……。			大勝負の「どれす」どす							
と、とにかくコトチョウが帰ってくるまで、とてもひとりでは耐えられそうにありません。Forenameさん、どうか一緒にいてください。			と、とにかくコトチョウが帰ってくるまで、とてもひとりでは耐えられそうにありません。Forenameさん、どうか一緒にいてください。			大勝負の「どれす」どす							
はあ、そろそろ園遊会が終わる頃合い……。結局、動悸はおさまらずじまいでした……。貴方がそばにいてくれて、助かりましたよ。			はあ、そろそろ園遊会が終わる頃合い……。結局、動悸はおさまらずじまいでした……。貴方がそばにいてくれて、助かりましたよ。			大勝負の「どれす」どす							
そろそろ、コトチョウが笑顔で戻ってきてもいいはずですが……。さすがに、帰りが遅すぎますね……。あたりを探してみましょうか？			そろそろ、コトチョウが笑顔で戻ってきてもいいはずですが……。さすがに、帰りが遅すぎますね……。あたりを探してみましょうか？			大勝負の「どれす」どす							
私は、園遊会の会場周辺を見回ってみます。貴方は、第一波止場を見てみてください。あの子は、仕事が終わると、よくそのあたりにいるもので。			私は、園遊会の会場周辺を見回ってみます。貴方は、第一波止場を見てみてください。あの子は、仕事が終わると、よくそのあたりにいるもので。			大勝負の「どれす」どす							
私は、園遊会の会場周辺を見回ってみます。貴方は、第一波止場を見てみてください。あの子は、仕事が終わると、よくそのあたりにいるので。			私は、園遊会の会場周辺を見回ってみます。貴方は、第一波止場を見てみてください。あの子は、仕事が終わると、よくそのあたりにいるので。			大勝負の「どれす」どす							
園遊会が終わったというのに、コトチョウが戻らないそうですね……。彼女の恰好が恰好だけに、無事を祈るばかりです……。			園遊会が終わったというのに、コトチョウが戻らないそうですね……。彼女の恰好が恰好だけに、無事を祈るばかりです……。			大勝負の「どれす」どす							
あら、Forenameはん……なしてここに？			あら、Forenameはん……なしてここに？			大勝負の「どれす」どす							
わてが戻らんと、探しに来てくれはったんどすか……。			わてが戻らんと、探しに来てくれはったんどすか……。			大勝負の「どれす」どす							
よかった、ここにいたのか、コトチョウ。戻らないから、心配したよ……。園遊会、お疲れさまだったね。			よかった、ここにいたのか、コトチョウ。戻らないから、心配したよ……。園遊会、お疲れさまだったね。			大勝負の「どれす」どす							
若旦那まで……えらい心配かけてしもうて、かんにんな……。コトツル姉さんとの勝負は……あかんかったわ……。			若旦那まで……えらい心配かけてしもうて、かんにんな……。コトツル姉さんとの勝負は……あかんかったわ……。			大勝負の「どれす」どす							
べべの問題やあらへん。悪いんは全部、わてどすわ……。天狗になって……稽古が足りんかったんどす……。			べべの問題やあらへん。悪いんは全部、わてどすわ……。天狗になって……稽古が足りんかったんどす……。			大勝負の「どれす」どす							
わてが舞台に出たとたん、お客さん凍りついてしもうて……。わて、おそろしゅうなって……いつもどおり舞えへんかったんどす。			わてが舞台に出たとたん、お客さん凍りついてしもうて……。わて、おそろしゅうなって……いつもどおり舞えへんかったんどす。			大勝負の「どれす」どす							
(-コトツルの声-)Forenameはんがこさえた、べべの出来栄えは、まさに匠だけがなせる技……。わてすら舞を忘れ、見惚れそうなほどにうつやかどした。			(-コトツルの声-)Forenameはんがこさえた、べべの出来栄えは、まさに匠だけがなせる技……。わてすら舞を忘れ、見惚れそうなほどにうつやかどした。			大勝負の「どれす」どす							
せやけど、招かれとった国賓は「さべねあんびすちぇ」の本場、近東の異国「ラザハン」の方々ばかりで、見慣れてはったんよ。かたやクガネのお役人は、破廉恥と眉をひそめはった……。			せやけど、招かれとった国賓は「さべねあんびすちぇ」の本場、近東の異国「ラザハン」の方々ばかりで、見慣れてはったんよ。かたやクガネのお役人は、破廉恥と眉をひそめはった……。			大勝負の「どれす」どす							
それでも、あんたがちゃんと舞えば、結果は変わったんよ。お客さんは、べべばかり見てるんとちゃうってこと、これで、ようわかったやろ？			それでも、あんたがちゃんと舞えば、結果は変わったんよ。お客さんは、べべばかり見てるんとちゃうってこと、これで、ようわかったやろ？			大勝負の「どれす」どす							
心入れ替えて、「仕込さん」に戻って下働きをおし！わては、あんたが這い上がってくるのを待ってるさかい。ほなな。			心入れ替えて、「仕込さん」に戻って下働きをおし！わては、あんたが這い上がってくるのを待ってるさかい。ほなな。			大勝負の「どれす」どす							
やっぱり、姉さんには敵わんわ。コトツル姉さんは、最初からすべてお見通しやったんやわ。わてのこと、お客さんのこと、べべのこと、何もかも……。			やっぱり、姉さんには敵わんわ。コトツル姉さんは、最初からすべてお見通しやったんやわ。わてのこと、お客さんのこと、べべのこと、何もかも……。			大勝負の「どれす」どす							
せっかく、姉さんがわてのこと気遣って、忠告してくれはったのに、わて、ひどいこと言って……。それでも、姉さんはやり直す機会までくれはった……。			せっかく、姉さんがわてのこと気遣って、忠告してくれはったのに、わて、ひどいこと言って……。それでも、姉さんはやり直す機会までくれはった……。			大勝負の「どれす」どす							
わて……もう二度と忘れへん！この悔しい気持ちも、姉さんへの憧れと尊敬も、花街の頂点に立つ夢も……！！			わて……もう二度と忘れへん！この悔しい気持ちも、姉さんへの憧れと尊敬も、花街の頂点に立つ夢も……！！			大勝負の「どれす」どす							
若旦那、せっかく贔屓にしてくれたのに、また「仕込さん」になってしもうて、かんにんな……。			若旦那、せっかく贔屓にしてくれたのに、また「仕込さん」になってしもうて、かんにんな……。			大勝負の「どれす」どす							
少しの間、待ってておくれやす？わて、必ず、芸子に返り咲いてみせますよって。			少しの間、待ってておくれやす？わて、必ず、芸子に返り咲いてみせますよって。			大勝負の「どれす」どす							
そう……その目……。私が君を贔屓にしたのは、伝統や因習に逆らってでも、夢をかなえようとする決意に輝く目に魅かれたからだ。			そう……その目……。私が君を贔屓にしたのは、伝統や因習に逆らってでも、夢をかなえようとする決意に輝く目に魅かれたからだ。			大勝負の「どれす」どす							
君なら、必ずできるはずだ。応援しているから、しっかり勉強しなおしてきなさい。			君なら、必ずできるはずだ。応援しているから、しっかり勉強しなおしてきなさい。			大勝負の「どれす」どす							
若旦那、Forenameはん、おおきに。わて、荷物まとめに戻らな、ほなな。			若旦那、Forenameはん、おおきに。わて、荷物まとめに戻らな、ほなな。			大勝負の「どれす」どす							
Forenameさん、平静を装ってあの子を励ましたものの、私も頭が真っ白です。店に戻りながら頭を整理しますから、寄ってください。			Forenameさん、平静を装ってあの子を励ましたものの、私も頭が真っ白です。店に戻りながら頭を整理しますから、寄ってください。			大勝負の「どれす」どす							
Forenameはん、おおきに……。わて、荷物まとめるわ。ほなな。			Forenameはん、おおきに……。わて、荷物まとめるわ。ほなな。			大勝負の「どれす」どす							
コトチョウが無事で、安心しましたが……彼女は、「仕込み」に戻るそうですね……。この困難を乗り越えられるといいのですが……。			コトチョウが無事で、安心しましたが……彼女は、「仕込み」に戻るそうですね……。この困難を乗り越えられるといいのですが……。			大勝負の「どれす」どす							
Forenameさん、貴方がいてくれて、助かりました……。ひとりだったら、私の方が崩れ落ちていたことでしょう。			Forenameさん、貴方がいてくれて、助かりました……。ひとりだったら、私の方が崩れ落ちていたことでしょう。			大勝負の「どれす」どす							
とりあえず、今は、あの子を信じて待つしかありません。芸子に復帰した暁には、もう一度、祝儀を贈りたいので、その日に備え、裁縫の腕を磨きあげておいてください。			とりあえず、今は、あの子を信じて待つしかありません。芸子に復帰した暁には、もう一度、祝儀を贈りたいので、その日に備え、裁縫の腕を磨きあげておいてください。			大勝負の「どれす」どす							
裁縫師ギルドのレドレント・ローズは、冒険者に仕事を頼みたいようだ。			裁縫師ギルドのレドレント・ローズは、冒険者に仕事を頼みたいようだ。			身を包むぬくもり							
レドレント・ローズから依頼を受けた。ウルダハのゴールドコートにいる「ココモ」と話そう。			レドレント・ローズから依頼を受けた。ウルダハのゴールドコートにいる「ココモ」と話そう。			身を包むぬくもり							
ココモと話した。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に「ウールタイツ」を1個納品しよう。			ココモと話した。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に「ウールタイツ」を1個納品しよう。			身を包むぬくもり							
レドレント・ローズにウールタイツを納品した。ココモは、ワワルッカのことを悪く思っていないようだ。次にワワルッカが洋服を注文してきた時には、協力してあげよう。その時に備えて、裁縫師として修業を続けよう。※裁縫師のレベルが45以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			レドレント・ローズにウールタイツを納品した。ココモは、ワワルッカのことを悪く思っていないようだ。次にワワルッカが洋服を注文してきた時には、協力してあげよう。その時に備えて、裁縫師として修業を続けよう。※裁縫師のレベルが45以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			身を包むぬくもり							
ココモと話す			ココモと話す			身を包むぬくもり							
レドレント・ローズにウールタイツを納品			レドレント・ローズにウールタイツを納品			身を包むぬくもり							
うーん……この依頼はどうしましょ。あ、Forenameちゃん、いいところに来たわね！			うーん……この依頼はどうしましょ。あ、Forenameちゃん、いいところに来たわね！			身を包むぬくもり							
ワワルッカちゃんの想い人……ココモちゃんから、お洋服の依頼が来たのよ。正確には、彼女のお父様からの依頼だけど。			ワワルッカちゃんの想い人……ココモちゃんから、お洋服の依頼が来たのよ。正確には、彼女のお父様からの依頼だけど。			身を包むぬくもり							
ちょうどいいから、依頼内容を聞くついでに、ココモちゃんがワワルッカちゃんのことをどう思ってるか探ってくれない？			ちょうどいいから、依頼内容を聞くついでに、ココモちゃんがワワルッカちゃんのことをどう思ってるか探ってくれない？			身を包むぬくもり							
「ココモ」ちゃんはゴールドコートにいるわ。しっかり聞き出してくるのよ！あ、依頼も忘れないでね。			「ココモ」ちゃんはゴールドコートにいるわ。しっかり聞き出してくるのよ！あ、依頼も忘れないでね。			身を包むぬくもり							
あら、裁縫師さん。あなたが、お父様の依頼を引き受けてくださったんですね。			あら、裁縫師さん。あなたが、お父様の依頼を引き受けてくださったんですね。			身を包むぬくもり							
そういえば、ワワルッカさんってご存知ですか？ええ？　あの方の着ていたシャツはあなたが作ったんですか！？			そういえば、ワワルッカさんってご存知ですか？ええ？　あの方の着ていたシャツはあなたが作ったんですか！？			身を包むぬくもり							
ふふ……あんなに素敵な上着なのに下がサブリガで、私、思わず笑っちゃいました。			ふふ……あんなに素敵な上着なのに下がサブリガで、私、思わず笑っちゃいました。			身を包むぬくもり							
もう少し普通の格好でいらしてくれたらちゃんとお話できるのに……残念です。			もう少し普通の格好でいらしてくれたらちゃんとお話できるのに……残念です。			身を包むぬくもり							
そうそう、お洋服の注文でしたね？「ウールタイツ」をひとつ作ってください。よろしくお願いします。			そうそう、お洋服の注文でしたね？「ウールタイツ」をひとつ作ってください。よろしくお願いします。			身を包むぬくもり							
「ウールタイツ」をひとつ作ってください。よろしくお願いします。			「ウールタイツ」をひとつ作ってください。よろしくお願いします。			身を包むぬくもり							
ココモちゃんのために「ウールタイツ」を作るのよ。あなたなら、これくらい簡単でしょ？			ココモちゃんのために「ウールタイツ」を作るのよ。あなたなら、これくらい簡単でしょ？			身を包むぬくもり							
ココモちゃん、早速ウールタイツを着てみてくれる？			ココモちゃん、早速ウールタイツを着てみてくれる？			身を包むぬくもり							
素敵……肌触りのいいタイツですね。それに、とってもあたたかい。			素敵……肌触りのいいタイツですね。それに、とってもあたたかい。			身を包むぬくもり							
お父様のお手伝いで夜会に何度か出席していたのですがウルダハの夜の冷え込みに、困っていたのです。			お父様のお手伝いで夜会に何度か出席していたのですがウルダハの夜の冷え込みに、困っていたのです。			身を包むぬくもり							
このウールタイツなら、ドレスの下に、こっそり着られるから助かりますね。			このウールタイツなら、ドレスの下に、こっそり着られるから助かりますね。			身を包むぬくもり							
宝石商の娘さんも大変ねえ。たまにはお手伝いをさぼって、家でのんびりしてたら？			宝石商の娘さんも大変ねえ。たまにはお手伝いをさぼって、家でのんびりしてたら？			身を包むぬくもり							
欠席なんてできませんよ……お父様は、私の意見なんて聞いてくれませんから。			欠席なんてできませんよ……お父様は、私の意見なんて聞いてくれませんから。			身を包むぬくもり							
困ったお父さんね……だったら、さっさとお嫁に行っちゃえば？あなたのためなら何でもするって男が……いるでしょ？			困ったお父さんね……だったら、さっさとお嫁に行っちゃえば？あなたのためなら何でもするって男が……いるでしょ？			身を包むぬくもり							
わ、ワワルッカさんはそんな……。			わ、ワワルッカさんはそんな……。			身を包むぬくもり							
あらー？私はワワルッカちゃんのことだなんて一言も言ってないんだけど、どうしたのかしら？			あらー？私はワワルッカちゃんのことだなんて一言も言ってないんだけど、どうしたのかしら？			身を包むぬくもり							
も、もう！私、帰りますね。お洋服を仕立ててくれて、ありがとうございます。			も、もう！私、帰りますね。お洋服を仕立ててくれて、ありがとうございます。			身を包むぬくもり							
そんなこと……許してもらえないけど……でも……。			そんなこと……許してもらえないけど……でも……。			身を包むぬくもり							
ねえForenameもしまたワワルッカちゃんが来たら今度こそ告白できるように、手伝ってあげましょうか？			ねえForenameもしまたワワルッカちゃんが来たら今度こそ告白できるように、手伝ってあげましょうか？			身を包むぬくもり							
ココモちゃん、悪い気はしてないみたいだし少し協力してあげたくなってきたわ！			ココモちゃん、悪い気はしてないみたいだし少し協力してあげたくなってきたわ！			身を包むぬくもり							
クガネのケイメイは、相談したいことがあるようだ。			クガネのケイメイは、相談したいことがあるようだ。			天女がまとう「どれす」どす							
芸子に復帰することが決まったコトチョウが、ケイメイの祝儀を断っているという。その原因を探るよう、ケイメイから依頼された。クガネの三条花街にいる「コトチョウ」と話そう。			芸子に復帰することが決まったコトチョウが、ケイメイの祝儀を断っているという。その原因を探るよう、ケイメイから依頼された。クガネの三条花街にいる「コトチョウ」と話そう。			天女がまとう「どれす」どす							
コトチョウと話した。コトツルの引退が決まり、一生、姉芸子を追い抜けなくなったことで、コトチョウは自暴自棄になっているようだ。楽座街の「ケイメイ」に報告しよう。			コトチョウと話した。コトツルの引退が決まり、一生、姉芸子を追い抜けなくなったことで、コトチョウは自暴自棄になっているようだ。楽座街の「ケイメイ」に報告しよう。			天女がまとう「どれす」どす							
ケイメイに報告した。姉芸子コトツルに、コトチョウの復帰舞台「クガネをどり」に出演するよう依頼することになった。クガネの第一波止場にいる「コトツル」と話そう。			ケイメイに報告した。姉芸子コトツルに、コトチョウの復帰舞台「クガネをどり」に出演するよう依頼することになった。クガネの第一波止場にいる「コトツル」と話そう。			天女がまとう「どれす」どす							
コトツルと話して、「クガネをどり」への出演の約束を取り付けた。そのための条件は、コトチョウとコトツルが同じ衣装で、同じ舞を披露すること。楽座街の「ケイメイ」と話そう。			コトツルと話して、「クガネをどり」への出演の約束を取り付けた。そのための条件は、コトチョウとコトツルが同じ衣装で、同じ舞を披露すること。楽座街の「ケイメイ」と話そう。			天女がまとう「どれす」どす							
ケイメイと話した。姉芸子コトツルと最後の勝負ができると知ったコトチョウは、さっそく稽古に入った。一方、ケイメイからは、「天女の羽衣」2着の製作を依頼された。楽座街の「ヤギリ」と話し、材料「羽衣の材料」を受け取ろう。			ケイメイと話した。姉芸子コトツルと最後の勝負ができると知ったコトチョウは、さっそく稽古に入った。一方、ケイメイからは、「天女の羽衣」2着の製作を依頼された。楽座街の「ヤギリ」と話し、材料「羽衣の材料」を受け取ろう。			天女がまとう「どれす」どす							
ヤギリから、必要な材料を受け取った。「天女の羽衣」を2着製作して、楽座街の「ケイメイ」に納品しよう。※「羽衣の材料」を失った場合は、ヤギリに話しかけましょう。材料を入手し、再挑戦が可能になります。			ヤギリから、必要な材料を受け取った。「天女の羽衣」を2着製作して、楽座街の「ケイメイ」に納品しよう。※「羽衣の材料」を失った場合は、ヤギリに話しかけましょう。材料を入手し、再挑戦が可能になります。			天女がまとう「どれす」どす							
