ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			お得意様カイ・シル							
なぁ、悪いんだが、市民たちが今何を食いたがっているのか、「話題」を集めてきてくれないか？せっかくなら、みんなが食いたいものを作ってやりたいんだ！			なぁ、悪いんだが、市民たちが今何を食いたがっているのか、「話題」を集めてきてくれないか？せっかくなら、みんなが食いたいものを作ってやりたいんだ！			メオルに代えて							
兵士の俺が聞くと、警戒されちまうからよ……。あんただったら、きっとみんなも話してくれると思うんだ。頼んだぜ！			兵士の俺が聞くと、警戒されちまうからよ……。あんただったら、きっとみんなも話してくれると思うんだ。頼んだぜ！			メオルに代えて							
うーん、食べたいもの？祖母が昔よく作ってくれた、「フッブートマフィン」かな。最近ではもう、作ってくれなくなってしまってね……。			うーん、食べたいもの？祖母が昔よく作ってくれた、「フッブートマフィン」かな。最近ではもう、作ってくれなくなってしまってね……。			メオルに代えて							
炊き出しか……それはいい考えだな！だが、生憎自分はユールモアの食事しか知らないんだよ……。そうだ、旅人の「おすすめ」があれば、食べてみたいな！			炊き出しか……それはいい考えだな！だが、生憎自分はユールモアの食事しか知らないんだよ……。そうだ、旅人の「おすすめ」があれば、食べてみたいな！			メオルに代えて							
この島が栄えていた頃は、「コルシア風魚介スープ」が有名だったそうさ。生きているうちに、生まれ故郷の料理を食べてみたいもんだねぇ。			この島が栄えていた頃は、「コルシア風魚介スープ」が有名だったそうさ。生きているうちに、生まれ故郷の料理を食べてみたいもんだねぇ。			メオルに代えて							
久しぶりに、「フッブートマフィン」が食べたいね。			久しぶりに、「フッブートマフィン」が食べたいね。			メオルに代えて							
旅人の「おすすめ」があれば、食べてみたいな！			旅人の「おすすめ」があれば、食べてみたいな！			メオルに代えて							
地元の「コルシア風魚介スープ」を食べてみたいもんだねぇ。			地元の「コルシア風魚介スープ」を食べてみたいもんだねぇ。			メオルに代えて							
市民たちが今何を食いたがっているのか、「話題」を集めてきてくれないか？			市民たちが今何を食いたがっているのか、「話題」を集めてきてくれないか？			メオルに代えて							
「話題」を集めてきてくれたか！？			「話題」を集めてきてくれたか！？			メオルに代えて							
ふむ、フッブートマフィンなら、貴人のために作った事があるぞ！コルシア風魚介スープも、スティルタイドの漁師から魚を仕入れればいけそうだ！			ふむ、フッブートマフィンなら、貴人のために作った事があるぞ！コルシア風魚介スープも、スティルタイドの漁師から魚を仕入れればいけそうだ！			メオルに代えて							
うーん、旅人のおすすめは……あんた、何かあるかい？			うーん、旅人のおすすめは……あんた、何かあるかい？			メオルに代えて							
何と言う？			何と言う？			メオルに代えて							
モル族の創作ボーズ			モル族の創作ボーズ			メオルに代えて							
ハーブティー			ハーブティー			メオルに代えて							
バジリスクシチュー			バジリスクシチュー			メオルに代えて							
なに、具材入りの蒸しパンだって？具は甘じょっぱく、じっくり煮詰めたナマズの肉か……。なるほど、腹に溜まって元気が出そうだな！			なに、具材入りの蒸しパンだって？具は甘じょっぱく、じっくり煮詰めたナマズの肉か……。なるほど、腹に溜まって元気が出そうだな！			メオルに代えて							
ふむ、食事も重要だが、ハーブティーで落ち着かせるってか……。百合の根を煎じて淹れるのがイシュガルド風？その名は聞いたことがないが、試してみるよ！			ふむ、食事も重要だが、ハーブティーで落ち着かせるってか……。百合の根を煎じて淹れるのがイシュガルド風？その名は聞いたことがないが、試してみるよ！			メオルに代えて							
高名な将軍が、手づからに暖かな肉入りシチューを配り、兵たちを鼓舞した逸話がある、と。なるほど……そういった経験があるのだな！			高名な将軍が、手づからに暖かな肉入りシチューを配り、兵たちを鼓舞した逸話がある、と。なるほど……そういった経験があるのだな！			メオルに代えて							
いずれにせよ、市民の日常が少しでも安定するように、美味しい食事を作ってみせるさ！			いずれにせよ、市民の日常が少しでも安定するように、美味しい食事を作ってみせるさ！			メオルに代えて							
ありがとう、あんたが協力してくれて助かったぜ！これはほんのお礼さ、受け取ってくれ！さぁて、まずは作り方と材料集めだな……！			ありがとう、あんたが協力してくれて助かったぜ！これはほんのお礼さ、受け取ってくれ！さぁて、まずは作り方と材料集めだな……！			メオルに代えて							
特殊ルール： レベルアジャスト栄光の門付近のツイ・シルは、小屋の修理をしているようだ。			特殊ルール： レベルアジャスト栄光の門付近のツイ・シルは、小屋の修理をしているようだ。			廃船街の木材調達							
廃船の木材を集める			廃船の木材を集める			廃船街の木材調達							
廃船の木材と古びた指輪をツイ・シルに渡す			廃船の木材と古びた指輪をツイ・シルに渡す			廃船街の木材調達							
ふう……あんた、手空きじゃないかい？よかったら、小屋の修理を手伝ってほしいんだ。ちゃんと礼は考えとくからよ！			ふう……あんた、手空きじゃないかい？よかったら、小屋の修理を手伝ってほしいんだ。ちゃんと礼は考えとくからよ！			廃船街の木材調達							
材料が足りなくなりそうでな。その辺りに打ち上っている船から、「廃船の木材」を4つ集めてきてくれ！			材料が足りなくなりそうでな。その辺りに打ち上っている船から、「廃船の木材」を4つ集めてきてくれ！			廃船街の木材調達							
その辺りに打ち上っている船から、「廃船の木材」を4つ集めてきてくれ！			その辺りに打ち上っている船から、「廃船の木材」を4つ集めてきてくれ！			廃船街の木材調達							
板材の横に、光るものを見つけた。「古びた指輪」のようだ。「ツイ・シル」に見せれば、何かわかるだろうか……。			板材の横に、光るものを見つけた。「古びた指輪」のようだ。「ツイ・シル」に見せれば、何かわかるだろうか……。			廃船街の木材調達							
よう、「廃船の木材」は集まったか？			よう、「廃船の木材」は集まったか？			廃船街の木材調達							
ご苦労さん、助かったぜ！ん……なんだこりゃ、指輪？			ご苦労さん、助かったぜ！ん……なんだこりゃ、指輪？			廃船街の木材調達							
おいおい……ユールモアとの交易が許可された商人が、証明書代わりに与えられたっていう、指輪じゃねえか。			おいおい……ユールモアとの交易が許可された商人が、証明書代わりに与えられたっていう、指輪じゃねえか。			廃船街の木材調達							
なぜ俺がそんなことを知っているかって？昔、造船所で働いてたことがあってよ。そんときに、昔の船についての書物を読んだことがあるんだ。			なぜ俺がそんなことを知っているかって？昔、造船所で働いてたことがあってよ。そんときに、昔の船についての書物を読んだことがあるんだ。			廃船街の木材調達							
どうせなら、船を壊して家をつくるんじゃなくて、世界の海へと冒険に出るような、でーっかい船を作ってみたいもんだぜ！			どうせなら、船を壊して家をつくるんじゃなくて、世界の海へと冒険に出るような、でーっかい船を作ってみたいもんだぜ！			廃船街の木材調達							
なんにせよこいつは換金すりゃ金になるから、その分の報酬をやる！俺の弁当を半分わけてやろうとも思ったんだがよ、金の方が役に立つだろ？　へへっ、ありがとな！			なんにせよこいつは換金すりゃ金になるから、その分の報酬をやる！俺の弁当を半分わけてやろうとも思ったんだがよ、金の方が役に立つだろ？　へへっ、ありがとな！			廃船街の木材調達							
特殊ルール： レベルアジャスト栄光の門付近のスリスティアラは、困り果てているようだ。			特殊ルール： レベルアジャスト栄光の門付近のスリスティアラは、困り果てているようだ。			廃船街の子どもたち							
子供たちを探す			子供たちを探す			廃船街の子どもたち							
スリスティアラと話す			スリスティアラと話す			廃船街の子どもたち							
あぁ……もう、ちょっと目を離した隙に、これなんだから！この辺りで、4人の子供たちを見かけなかったかい？どこを探しても見当たらなくって……！			あぁ……もう、ちょっと目を離した隙に、これなんだから！この辺りで、4人の子供たちを見かけなかったかい？どこを探しても見当たらなくって……！			廃船街の子どもたち							
もしも海に落ちたりしたら、どうなることか！まして今は、例の騒動で混乱しているっていうのにさ……！			もしも海に落ちたりしたら、どうなることか！まして今は、例の騒動で混乱しているっていうのにさ……！			廃船街の子どもたち							
悪いんだけど、あんた子供たちを探すの、手伝ってくれるかい？報酬はなんとか用意するからさ、どうか頼むよ！			悪いんだけど、あんた子供たちを探すの、手伝ってくれるかい？報酬はなんとか用意するからさ、どうか頼むよ！			廃船街の子どもたち							
悪いんだけど、あんた子供たちを探すの、手伝ってくれるかい？報酬はなんとか用意するからさ、どうか頼むよ！			悪いんだけど、あんた子供たちを探すの、手伝ってくれるかい？報酬はなんとか用意するからさ、どうか頼むよ！			廃船街の子どもたち							
げっ、母ちゃんが探してたって！？かくれんぼしてるだけだって、伝えてよ！			げっ、母ちゃんが探してたって！？かくれんぼしてるだけだって、伝えてよ！			廃船街の子どもたち							
しーーーーっ！終わったらちゃんと帰るからっ！			しーーーーっ！終わったらちゃんと帰るからっ！			廃船街の子どもたち							
母ちゃんが心配してた？へーき、へーき、海には近付かないからさ！それより、他のやつら見なかった？			母ちゃんが心配してた？へーき、へーき、海には近付かないからさ！それより、他のやつら見なかった？			廃船街の子どもたち							
きゃっ！……って、鬼じゃなかった！お母さんには、すぐ帰るって言っておいて！			きゃっ！……って、鬼じゃなかった！お母さんには、すぐ帰るって言っておいて！			廃船街の子どもたち							
げっ、母ちゃんが探してたって！？かくれんぼしてるだけだって、伝えてよ！			げっ、母ちゃんが探してたって！？かくれんぼしてるだけだって、伝えてよ！			廃船街の子どもたち							
しーーーーっ！終わったらちゃんと帰るからっ！			しーーーーっ！終わったらちゃんと帰るからっ！			廃船街の子どもたち							
母ちゃんが心配してた？へーき、へーき、海には近付かないからさ！それより、他のやつら見なかった？			母ちゃんが心配してた？へーき、へーき、海には近付かないからさ！それより、他のやつら見なかった？			廃船街の子どもたち							
きゃっ！……って、鬼じゃなかった！お母さんには、すぐ帰るって言っておいて！			きゃっ！……って、鬼じゃなかった！お母さんには、すぐ帰るって言っておいて！			廃船街の子どもたち							
あぁ、よかった……みんな無事だったんだね！あんたには迷惑かけちまったね。報酬、受けとってよ。			あぁ、よかった……みんな無事だったんだね！あんたには迷惑かけちまったね。報酬、受けとってよ。			廃船街の子どもたち							
あたしらみたいな下々のもんは、上で何が起こってるかなんて、知る由もないけどさ。空にあの怪物が見えたときは、背筋が凍ったもんさ……。			あたしらみたいな下々のもんは、上で何が起こってるかなんて、知る由もないけどさ。空にあの怪物が見えたときは、背筋が凍ったもんさ……。			廃船街の子どもたち							
この命に代えても、子供たちだけは守らないと。……さぁて、余計な心配をかけた悪い子たちには、お仕置きしてやらないとね！			この命に代えても、子供たちだけは守らないと。……さぁて、余計な心配をかけた悪い子たちには、お仕置きしてやらないとね！			廃船街の子どもたち							
特殊ルール： レベルアジャストクラウンリフトの優雅な貴婦人は、探し物をしているようだ。			特殊ルール： レベルアジャストクラウンリフトの優雅な貴婦人は、探し物をしているようだ。			落し物は一族の誇り							
ユールモアで優雅な貴婦人の装飾品を探す			ユールモアで優雅な貴婦人の装飾品を探す			落し物は一族の誇り							
優雅な貴婦人に装飾品を渡す			優雅な貴婦人に装飾品を渡す			落し物は一族の誇り							
必死で逃げるうちに大切な装飾品を失くしてしまいました……。あの、もしよろしければ探していただけないでしょうか？			必死で逃げるうちに大切な装飾品を失くしてしまいました……。あの、もしよろしければ探していただけないでしょうか？			落し物は一族の誇り							
見当たらないのは、紋章入りのティアラに、家名入りのネックレス……それから、紫水晶の指輪の合計3点ですわ。			見当たらないのは、紋章入りのティアラに、家名入りのネックレス……それから、紫水晶の指輪の合計3点ですわ。			落し物は一族の誇り							
どれも一族に伝わる、大切なものなのです。このままでは、祖先に顔向けができません……。			どれも一族に伝わる、大切なものなのです。このままでは、祖先に顔向けができません……。			落し物は一族の誇り							
ユールモアのどこかにあるはずなのです……。もちろん、お礼はご用意いたします！どうかお願いいたします……！			ユールモアのどこかにあるはずなのです……。もちろん、お礼はご用意いたします！どうかお願いいたします……！			落し物は一族の誇り							
ユールモアのどこかにあるはずなのです……。旅のお方、どうかよろしくお願いします……！			ユールモアのどこかにあるはずなのです……。旅のお方、どうかよろしくお願いします……！			落し物は一族の誇り							
見つかりましたでしょうか……？			見つかりましたでしょうか……？			落し物は一族の誇り							
あぁ……これです！　間違いありません！すべて見つけてきてくださるなんて、なんとお礼を言ったらよいか……！			あぁ……これです！　間違いありません！すべて見つけてきてくださるなんて、なんとお礼を言ったらよいか……！			落し物は一族の誇り							
この紋章、当家のモットーがモチーフになっているそうなのです。ユールモアに入る以前には、貧しい人々にも手を差し伸べる、誇り高きモットーを掲げていたのだとか……。			この紋章、当家のモットーがモチーフになっているそうなのです。ユールモアに入る以前には、貧しい人々にも手を差し伸べる、誇り高きモットーを掲げていたのだとか……。			落し物は一族の誇り							
ユールモアの市民も、これから変わらなければなりません。私も祖先のように、そしてあなた様のように、困っている方々がいれば、手を差し伸べられるようにならなければ。			ユールモアの市民も、これから変わらなければなりません。私も祖先のように、そしてあなた様のように、困っている方々がいれば、手を差し伸べられるようにならなければ。			落し物は一族の誇り							
本当に、ありがとうございました。心ばかりのお礼ですが、どうかお納めください。			本当に、ありがとうございました。心ばかりのお礼ですが、どうかお納めください。			落し物は一族の誇り							
特殊ルール： レベルアジャストキャバレー・ビーハイヴのビーハイヴの支配人は、廃船街へ出入り可能な人物を探しているようだ。			特殊ルール： レベルアジャストキャバレー・ビーハイヴのビーハイヴの支配人は、廃船街へ出入り可能な人物を探しているようだ。			恋人は海の彼方							
廃船街のソリナと話す			廃船街のソリナと話す			恋人は海の彼方							
キャバレー・ビーハイヴのビーハイヴの支配人と話す			キャバレー・ビーハイヴのビーハイヴの支配人と話す			恋人は海の彼方							
廃船街のビーハイヴの支配人と話す			廃船街のビーハイヴの支配人と話す			恋人は海の彼方							
失礼ですが、旅の方とお見受けいたします。実は、人探しをしておりまして……。報酬はお支払いしますので、どうかご協力いただけないでしょうか？			失礼ですが、旅の方とお見受けいたします。実は、人探しをしておりまして……。報酬はお支払いしますので、どうかご協力いただけないでしょうか？			恋人は海の彼方							
ありがたい！ここだけの話、いなくなったのは当店の人気ナンバーワンの、キャストでして……名をソリナといいます。			ありがたい！ここだけの話、いなくなったのは当店の人気ナンバーワンの、キャストでして……名をソリナといいます。			恋人は海の彼方							
ユールモアの騒乱以降、姿が見えなくて……ですがつい先ほど、「廃船街」で目撃情報があったのです。どうか、「ソリナ」を探して連れ戻していただきたい！			ユールモアの騒乱以降、姿が見えなくて……ですがつい先ほど、「廃船街」で目撃情報があったのです。どうか、「ソリナ」を探して連れ戻していただきたい！			恋人は海の彼方							
「廃船街」で「ソリナ」を探して連れ戻していただきたい！			「廃船街」で「ソリナ」を探して連れ戻していただきたい！			恋人は海の彼方							
そう、支配人が私を……。悪いけど、恋人を探さなくてはいけないから。			そう、支配人が私を……。悪いけど、恋人を探さなくてはいけないから。			恋人は海の彼方							
彼が……見つからないの……騒乱に巻き込まれて……あるのは、ここの廃船から落ちたっていう目撃証言だけ……。			彼が……見つからないの……騒乱に巻き込まれて……あるのは、ここの廃船から落ちたっていう目撃証言だけ……。			恋人は海の彼方							
このまま彼が見つからなかったら……私……私……。とにかく、お店には戻らないわ……。そう支配人に伝えて。			このまま彼が見つからなかったら……私……私……。とにかく、お店には戻らないわ……。そう支配人に伝えて。			恋人は海の彼方							
お店には戻らないわ。そう支配人に伝えて。			お店には戻らないわ。そう支配人に伝えて。			恋人は海の彼方							
ううむ……。恋人を探すために廃船街へ行ったというのか……。彼女が早まる前に、手を打たなければ……。			ううむ……。恋人を探すために廃船街へ行ったというのか……。彼女が早まる前に、手を打たなければ……。			恋人は海の彼方							
何度も恐縮ですが、一緒に来ていただけないでしょうか。あなたのご協力が必要なのです。			何度も恐縮ですが、一緒に来ていただけないでしょうか。あなたのご協力が必要なのです。			恋人は海の彼方							
ソリナ、落ち着いて話を聞くんだ！			ソリナ、落ち着いて話を聞くんだ！			恋人は海の彼方							
もう放っておいて！お店には戻らないと、伝えたはずよ！もし彼が見つからなかったら、生きていけないの！			もう放っておいて！お店には戻らないと、伝えたはずよ！もし彼が見つからなかったら、生きていけないの！			恋人は海の彼方							
だが、海に落ちた者の捜索は大変だろう。それに、街の外を探すにしても、か弱い女の子が護衛もなく、ひとりで行動するのは危険すぎる！			だが、海に落ちた者の捜索は大変だろう。それに、街の外を探すにしても、か弱い女の子が護衛もなく、ひとりで行動するのは危険すぎる！			恋人は海の彼方							
あなたの所作から、相当腕が立つとお見受けします。捜索の依頼をしたいのですが、お引き受け願えませんか？もちろん、追加の報酬もお支払いします。			あなたの所作から、相当腕が立つとお見受けします。捜索の依頼をしたいのですが、お引き受け願えませんか？もちろん、追加の報酬もお支払いします。			恋人は海の彼方							
え……本当に！？支配人……ありがとう……。私、てっきり……彼のこと諦めろって言われるものとばかり……。			え……本当に！？支配人……ありがとう……。私、てっきり……彼のこと諦めろって言われるものとばかり……。			恋人は海の彼方							
心穏やかでなければ、良いサービスはできないだろう？早く恋人を見つけて、店に戻って来なさい。従業員一同、待っているから……。			心穏やかでなければ、良いサービスはできないだろう？早く恋人を見つけて、店に戻って来なさい。従業員一同、待っているから……。			恋人は海の彼方							
お店には戻らないわ！			お店には戻らないわ！			恋人は海の彼方							
特殊ルール： レベルアジャストグランド・デイム付近のアーナーは、廃船街に大事なものを落としてしまったようだ。			特殊ルール： レベルアジャストグランド・デイム付近のアーナーは、廃船街に大事なものを落としてしまったようだ。			舞い落ちた想い							
廃船街で封蝋閉じの封書を集める			廃船街で封蝋閉じの封書を集める			舞い落ちた想い							
グランドデイム・パーラー付近のアーナーに封蝋閉じの封書を渡す			グランドデイム・パーラー付近のアーナーに封蝋閉じの封書を渡す			舞い落ちた想い							
強風に煽られて、手紙を廃船街まで落としてしまってな……。価値はないが……私にとっては大事なものなのだ。			強風に煽られて、手紙を廃船街まで落としてしまってな……。価値はないが……私にとっては大事なものなのだ。			舞い落ちた想い							
すぐに取りに行きたいが、商売があってここを動けぬ……。すまんが、「廃船街」に立ち寄ることがあれば、「封蝋閉じの封書」を3通、拾ってきてくれないだろうか？			すぐに取りに行きたいが、商売があってここを動けぬ……。すまんが、「廃船街」に立ち寄ることがあれば、「封蝋閉じの封書」を3通、拾ってきてくれないだろうか？			舞い落ちた想い							
すまんが、「廃船街」に立ち寄ることがあれば、「封蝋閉じの封書」を3通、拾ってきてくれないだろうか？			すまんが、「廃船街」に立ち寄ることがあれば、「封蝋閉じの封書」を3通、拾ってきてくれないだろうか？			舞い落ちた想い							
待っていたよ！「封蝋閉じの封書」は、すべて集まっただろうか？			待っていたよ！「封蝋閉じの封書」は、すべて集まっただろうか？			舞い落ちた想い							
そう、これだよ！ありがとう……本当にありがとう……！			そう、これだよ！ありがとう……本当にありがとう……！			舞い落ちた想い							
ところで君……もしかして、先日の騒乱のときの中心人物じゃないか？			ところで君……もしかして、先日の騒乱のときの中心人物じゃないか？			舞い落ちた想い							
やはりそうか……。君たちのおかげで、私は目が覚めたのだ……。			やはりそうか……。君たちのおかげで、私は目が覚めたのだ……。			舞い落ちた想い							
私は、元々はクリスタリウムの住人だったのだ。数年前、罪喰いが人を襲うところを目の当たりにして、いよいよ、この世界も終わりなのだと、実感してしまった……。			私は、元々はクリスタリウムの住人だったのだ。数年前、罪喰いが人を襲うところを目の当たりにして、いよいよ、この世界も終わりなのだと、実感してしまった……。			舞い落ちた想い							
この世に未来などない……そう思った私は、恐怖から逃れて快楽にふけるため、家族や従業員たちを捨て……ユールモアへ……。			この世に未来などない……そう思った私は、恐怖から逃れて快楽にふけるため、家族や従業員たちを捨て……ユールモアへ……。			舞い落ちた想い							
そして今、憑き物が取れたかのように、後悔の念が押し寄せてきて……ううっ……。私はとんでもない…裏切り者だ……！			そして今、憑き物が取れたかのように、後悔の念が押し寄せてきて……ううっ……。私はとんでもない…裏切り者だ……！			舞い落ちた想い							
今さら家族や従業員たちに、合わせる顔もない……。だが、どうしても謝りたくて……思いの丈を、この手紙に綴ったのだ……。			今さら家族や従業員たちに、合わせる顔もない……。だが、どうしても謝りたくて……思いの丈を、この手紙に綴ったのだ……。			舞い落ちた想い							
本当に、ありがとう。騒乱の中にいた、あのエルフ族の少年にも、どうか心からの礼を伝えてほしい。			本当に、ありがとう。騒乱の中にいた、あのエルフ族の少年にも、どうか心からの礼を伝えてほしい。			舞い落ちた想い							
特殊ルール： レベルアジャスト栄光の門付近のゾイ・チョルは、最新の仕入れ情報を手に入れたいようだ。			特殊ルール： レベルアジャスト栄光の門付近のゾイ・チョルは、最新の仕入れ情報を手に入れたいようだ。			廃船街の需要							
廃船街で情報を集める			廃船街で情報を集める			廃船街の需要							
ゾイ・チョルと話す			ゾイ・チョルと話す			廃船街の需要							
……俺は「仕入れ屋」だ。商人みたいなもんだが、店を構えて物を売っているわけじゃねえ。			……俺は「仕入れ屋」だ。商人みたいなもんだが、店を構えて物を売っているわけじゃねえ。			廃船街の需要							
廃船街の連中が欲しがっている物を調べ、それを様々なルートを使って手に入れるのが俺の仕事さ。			廃船街の連中が欲しがっている物を調べ、それを様々なルートを使って手に入れるのが俺の仕事さ。			廃船街の需要							
で、ものは相談なんだがよ……。あんた、御用聞きを手伝ってくれねえか？			で、ものは相談なんだがよ……。あんた、御用聞きを手伝ってくれねえか？			廃船街の需要							
ありがてえ！というのも、この前の騒動でいろいろ状況が変わってきていてな。需要にも影響が出ているはずなんだ。			ありがてえ！というのも、この前の騒動でいろいろ状況が変わってきていてな。需要にも影響が出ているはずなんだ。			廃船街の需要							
……ただし、大げさに物事を語る連中もいるし、計画性のないヤツもいるから、錯綜する言葉を鵜呑みにはするな。不要なものを大量に仕入れちまったら、大損だからな。			……ただし、大げさに物事を語る連中もいるし、計画性のないヤツもいるから、錯綜する言葉を鵜呑みにはするな。不要なものを大量に仕入れちまったら、大損だからな。			廃船街の需要							
「廃船街」にいるやつらから話を聞いた上で、「需要を見極め」、必要だと思う量を申告してくれ。頼んだぞ……。			「廃船街」にいるやつらから話を聞いた上で、「需要を見極め」、必要だと思う量を申告してくれ。頼んだぞ……。			廃船街の需要							
「廃船街」にいるやつらから話を聞いた上で、「需要を見極め」、必要だと思う量を申告してくれ。頼んだぞ……。			「廃船街」にいるやつらから話を聞いた上で、「需要を見極め」、必要だと思う量を申告してくれ。頼んだぞ……。			廃船街の需要							
必要な物？　今回の騒動で家の至る所にガタが来たんで、「ニカワ」が多く必要だ。そうだな……普段の「2倍」くらいだな。			必要な物？　今回の騒動で家の至る所にガタが来たんで、「ニカワ」が多く必要だ。そうだな……普段の「2倍」くらいだな。			廃船街の需要							
ったく、メオルの配給がなくなって、大混乱だぜ！魚1匹の値段が、何倍になったことか！			ったく、メオルの配給がなくなって、大混乱だぜ！魚1匹の値段が、何倍になったことか！			廃船街の需要							
ゾイ・チョルは普段はこう言っているね。「薪」はある程度で、「食料」は少なく、補修に使う「ニカワ」はほんの少し……今はどう変わったかな。			ゾイ・チョルは普段はこう言っているね。「薪」はある程度で、「食料」は少なく、補修に使う「ニカワ」はほんの少し……今はどう変わったかな。			廃船街の需要							
必要な物？　今回の騒動で家の至る所にガタが来たんで、「ニカワ」が多く必要だ。そうだな……普段の「2倍」くらいだな。			必要な物？　今回の騒動で家の至る所にガタが来たんで、「ニカワ」が多く必要だ。そうだな……普段の「2倍」くらいだな。			廃船街の需要							
ったく、メオルの配給がなくなって、大混乱だぜ！魚1匹の値段が、何倍になったことか！			ったく、メオルの配給がなくなって、大混乱だぜ！魚1匹の値段が、何倍になったことか！			廃船街の需要							
ゾイ・チョルは普段はこう言っているね。「薪」はある程度で、「食料」は少なく、補修に使う「ニカワ」はほんの少し……今はどう変わったかな。			ゾイ・チョルは普段はこう言っているね。「薪」はある程度で、「食料」は少なく、補修に使う「ニカワ」はほんの少し……今はどう変わったかな。			廃船街の需要							
どうだ、需要はわかったか？			どうだ、需要はわかったか？			廃船街の需要							
何と言う？			何と言う？			廃船街の需要							
薪は少なく、食料は大量に、ニカワは不要			薪は少なく、食料は大量に、ニカワは不要			廃船街の需要							
薪はたくさん、食料とニカワはほんの少し			薪はたくさん、食料とニカワはほんの少し			廃船街の需要							
薪はある程度、食料とニカワはいつもの2倍			薪はある程度、食料とニカワはいつもの2倍			廃船街の需要							
なるほど……。やはり、先日の騒動の影響を受けているな。食料とニカワを普段より多く仕入れるとしよう。			なるほど……。やはり、先日の騒動の影響を受けているな。食料とニカワを普段より多く仕入れるとしよう。			廃船街の需要							
ありがとよ。あんたの御用聞きのおかげで、人々の生活が少しはマシになるだろうよ。			ありがとよ。あんたの御用聞きのおかげで、人々の生活が少しはマシになるだろうよ。			廃船街の需要							
……自信がないって顔だな。忘れちまうのは仕方ねえが、情報は正確に頼む。もう一度、御用聞きに行ってきてもいいんだぜ。			……自信がないって顔だな。忘れちまうのは仕方ねえが、情報は正確に頼む。もう一度、御用聞きに行ってきてもいいんだぜ。			廃船街の需要							
特殊ルール： レベルアジャスト廃船街南東付近のソリナは、恋人の捜索を頼みたいようだ。			特殊ルール： レベルアジャスト廃船街南東付近のソリナは、恋人の捜索を頼みたいようだ。			愛の支配人							
クラックシェル海岸付近で蒼髪の好青年を探す			クラックシェル海岸付近で蒼髪の好青年を探す			愛の支配人							
蒼髪の好青年を救助			蒼髪の好青年を救助			愛の支配人							
廃船街の蒼髪の好青年と話す			廃船街の蒼髪の好青年と話す			愛の支配人							
先ほどは見苦しいところを見せて、ごめんなさい……。あなたを頼りにさせてもらうわ。			先ほどは見苦しいところを見せて、ごめんなさい……。あなたを頼りにさせてもらうわ。			愛の支配人							
私は、もう一度この廃船街を探してみる。あなたには「コルシア島」の海岸付近を探してほしいの。浜辺に泳ぎ着いているかもしれないわ……。			私は、もう一度この廃船街を探してみる。あなたには「コルシア島」の海岸付近を探してほしいの。浜辺に泳ぎ着いているかもしれないわ……。			愛の支配人							
彼の特徴は、蒼い髪が爽やかで、笑顔がとってもセクシーな、エルフ族の好青年よ！			彼の特徴は、蒼い髪が爽やかで、笑顔がとってもセクシーな、エルフ族の好青年よ！			愛の支配人							
た、助かった！もうダメかと思ったよ……本当にありがとう！			た、助かった！もうダメかと思ったよ……本当にありがとう！			愛の支配人							
そうか……ソリナも無事だったんだな……！			そうか……ソリナも無事だったんだな……！			愛の支配人							
あんたも一緒に、ユールモアの「廃船街」に来てくれないか？ソリナと、改めて礼を言わせてほしい。			あんたも一緒に、ユールモアの「廃船街」に来てくれないか？ソリナと、改めて礼を言わせてほしい。			愛の支配人							
ソリナ？知らねぇけど……そいつ、ユールモアに入れてくれんのか？			ソリナ？知らねぇけど……そいつ、ユールモアに入れてくれんのか？			愛の支配人							
残念ながら僕じゃないよ。ユールモアの騒乱で、たくさんの人が逃げてきたから、探すのは大変かもしれないね。			残念ながら僕じゃないよ。ユールモアの騒乱で、たくさんの人が逃げてきたから、探すのは大変かもしれないね。			愛の支配人							
ソリナ！！！			ソリナ！！！			愛の支配人							
ダーリン！！！！よかった、無事だったのね！			ダーリン！！！！よかった、無事だったのね！			愛の支配人							
君を置いて逝ったりしないさ。			君を置いて逝ったりしないさ。			愛の支配人							
うわああん……もう、心配かけて……バカァ！			うわああん……もう、心配かけて……バカァ！			愛の支配人							
あなたのおかげです……！本当に、なんとお礼を言ったらいいか……！			あなたのおかげです……！本当に、なんとお礼を言ったらいいか……！			愛の支配人							
俺、前まであの店でボーイやってたんだ。ソリナと付き合ってるのが支配人にバレてさ。殴られて店を辞めてから、廃船街で細々と生活してたんだが……。			俺、前まであの店でボーイやってたんだ。ソリナと付き合ってるのが支配人にバレてさ。殴られて店を辞めてから、廃船街で細々と生活してたんだが……。			愛の支配人							
今回俺を探すように手を回してくれたのは、支配人だったんだな……まったくあの人は。			今回俺を探すように手を回してくれたのは、支配人だったんだな……まったくあの人は。			愛の支配人							
支配人の優しさに応えられるように、これからもしっかり働くわ。			支配人の優しさに応えられるように、これからもしっかり働くわ。			愛の支配人							
報酬は俺から払わせてくれ。支配人にいいとこ見せられっぱなしじゃ癪だからな。本当に、ありがとう！			報酬は俺から払わせてくれ。支配人にいいとこ見せられっぱなしじゃ癪だからな。本当に、ありがとう！			愛の支配人							
ダーリン！！！！			ダーリン！！！！			愛の支配人							
