園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			彼女はダメダメ園芸師							
だが、確かに「シュラウドベッチ」を植えても根付かない。交雑によって、こいつの特徴を更に引き出してやらねば……。			だが、確かに「シュラウドベッチ」を植えても根付かない。交雑によって、こいつの特徴を更に引き出してやらねば……。			連載第二回「マメが繋ぐ交流の芽」							
ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			連載第二回「マメが繋ぐ交流の芽」							
さあ、必要なものは理解できたね？ならば稀少な豆を集めて、「バジール」君というのに、渡してやるといい。			さあ、必要なものは理解できたね？ならば稀少な豆を集めて、「バジール」君というのに、渡してやるといい。			連載第二回「マメが繋ぐ交流の芽」							
ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			ドラヴァニア雲海に原生すると言われる希少種……「エメラルドビーン」が10個ほどあれば、「シュラウドベッチ」と交雑を試すにも充分だろう。			連載第二回「マメが繋ぐ交流の芽」							
ムジ・ミュリラーさんから話を聞きましたよ。まさか、本草学の権威であるマルティノーさんのところまで、足を運んでくださるとは……。			ムジ・ミュリラーさんから話を聞きましたよ。まさか、本草学の権威であるマルティノーさんのところまで、足を運んでくださるとは……。			連載第二回「マメが繋ぐ交流の芽」							
……これが「エメラルドビーン」。こいつと、園芸師ギルドの「シュラウドベッチ」を、交雑させればいいんですね……？			……これが「エメラルドビーン」。こいつと、園芸師ギルドの「シュラウドベッチ」を、交雑させればいいんですね……？			連載第二回「マメが繋ぐ交流の芽」							
おお、なんと見事な品種だ！それでは、この2種を使って交雑を試してみます。			おお、なんと見事な品種だ！それでは、この2種を使って交雑を試してみます。			連載第二回「マメが繋ぐ交流の芽」							
交雑は、相当に手間のかかる仕事ですが……なんとか、やり遂げてみせますよ！			交雑は、相当に手間のかかる仕事ですが……なんとか、やり遂げてみせますよ！			連載第二回「マメが繋ぐ交流の芽」							
そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			連載第二回「マメが繋ぐ交流の芽」							
そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			そういえば、ムジ・ミュリラーさんから伝言がありました。無事に採集が終わったら、「イシュガルド」まで来てほしいそうですよ。			連載第二回「マメが繋ぐ交流の芽」							
Forenameさん、お疲れさまでした！いやあ、グリダニアとイシュガルドの植生をつなぐ、見事な架け橋っぷりでしたね！			Forenameさん、お疲れさまでした！いやあ、グリダニアとイシュガルドの植生をつなぐ、見事な架け橋っぷりでしたね！			連載第二回「マメが繋ぐ交流の芽」							
原稿も書き上がって、グリダニアに送りました！今回の記事も、大好評間違いなしです！もちろん、内容の捏造は一切してませんよ？			原稿も書き上がって、グリダニアに送りました！今回の記事も、大好評間違いなしです！もちろん、内容の捏造は一切してませんよ？			連載第二回「マメが繋ぐ交流の芽」							
「マメが繋ぐ交流の芽、ふたつの国の交流により新品種が誕生！？　その名も、クラウドベッチ！」……なんて書いてませんとも！　本当です！			「マメが繋ぐ交流の芽、ふたつの国の交流により新品種が誕生！？　その名も、クラウドベッチ！」……なんて書いてませんとも！　本当です！			連載第二回「マメが繋ぐ交流の芽」							
バジールさんも気合十分ですし、このまま開拓がうまくいくといいですよね。この調子で、次の依頼もよろしくお願いしますっ！			バジールさんも気合十分ですし、このまま開拓がうまくいくといいですよね。この調子で、次の依頼もよろしくお願いしますっ！			連載第二回「マメが繋ぐ交流の芽」							
園芸師として、これまでにない境地を感得し、「開拓者の眼力」を修得しました！			園芸師として、これまでにない境地を感得し、「開拓者の眼力」を修得しました！			連載第二回「マメが繋ぐ交流の芽」							
園芸師ギルドのフフチャは冒険者に依頼したい仕事があるようだ。			園芸師ギルドのフフチャは冒険者に依頼したい仕事があるようだ。			いまだ戦火は途絶えず							
フフチャから依頼を受けた。グリダニアの「双蛇党：統合司令部」にいる「ガヴィン少牙士」と話そう。			フフチャから依頼を受けた。グリダニアの「双蛇党：統合司令部」にいる「ガヴィン少牙士」と話そう。			いまだ戦火は途絶えず							
ガヴィン少牙士と話した。グリダニアの園芸師ギルドにいる「フフチャ」に「ミスルトゥ」を20束納品しよう。「ミスルトゥ」はクルザス中央高地のキャンプ・ドラゴンヘッド近くの良木で採集できる。			ガヴィン少牙士と話した。グリダニアの園芸師ギルドにいる「フフチャ」に「ミスルトゥ」を20束納品しよう。「ミスルトゥ」はクルザス中央高地のキャンプ・ドラゴンヘッド近くの良木で採集できる。			いまだ戦火は途絶えず							
フフチャにミスルトゥを納品した。依頼の品をフフチャに届けたところ、彼女は戦争が森を傷つけることを嘆き、園芸師の存在意義について考えていた。フフチャの心の迷いに引きずられることなく、固い信念で園芸師の修行を積もう。※園芸師のレベルが50以上になると、フフチャから次の園芸師クエストを受注することができます。			フフチャにミスルトゥを納品した。依頼の品をフフチャに届けたところ、彼女は戦争が森を傷つけることを嘆き、園芸師の存在意義について考えていた。フフチャの心の迷いに引きずられることなく、固い信念で園芸師の修行を積もう。※園芸師のレベルが50以上になると、フフチャから次の園芸師クエストを受注することができます。			いまだ戦火は途絶えず							
双蛇党：統合司令部のガヴィン少牙士と話す			双蛇党：統合司令部のガヴィン少牙士と話す			いまだ戦火は途絶えず							
園芸師ギルドのフフチャにミスルトゥを納品			園芸師ギルドのフフチャにミスルトゥを納品			いまだ戦火は途絶えず							
Forename、頼みたい仕事があるんです。……私の気持ちを汲んでくれる、あなたに頼みたい仕事が。			Forename、頼みたい仕事があるんです。……私の気持ちを汲んでくれる、あなたに頼みたい仕事が。			いまだ戦火は途絶えず							
グリダニアの「双蛇党」統合司令部から、「ミスルトゥ」を集めよ、との依頼がきました。……裏事情が気になります。			グリダニアの「双蛇党」統合司令部から、「ミスルトゥ」を集めよ、との依頼がきました。……裏事情が気になります。			いまだ戦火は途絶えず							
クルザス中央高地は「キャンプ・ドラゴンヘッド」……その近くで採れる「ミスルトゥ」は秘薬の材料のはず……もしや、またイクサル族との戦いが始まるのでしょうか……？			クルザス中央高地は「キャンプ・ドラゴンヘッド」……その近くで採れる「ミスルトゥ」は秘薬の材料のはず……もしや、またイクサル族との戦いが始まるのでしょうか……？			いまだ戦火は途絶えず							
「双蛇党」統合司令部のガヴィン少牙士に、探りを入れてみてください。彼が軍需物資の集積を担当していますから……。			「双蛇党」統合司令部のガヴィン少牙士に、探りを入れてみてください。彼が軍需物資の集積を担当していますから……。			いまだ戦火は途絶えず							
ミスルトゥの使い道を、フフチャが気にしていた？なるほど、彼女は戦が嫌いだから無理もない。だが残念なことに、彼女の予想は正解だ。			ミスルトゥの使い道を、フフチャが気にしていた？なるほど、彼女は戦が嫌いだから無理もない。だが残念なことに、彼女の予想は正解だ。			いまだ戦火は途絶えず							
双蛇隊の兵士たちのため、秘薬の材料として使うのだ。まさしく、戦への備え以外の何物でもない。			双蛇隊の兵士たちのため、秘薬の材料として使うのだ。まさしく、戦への備え以外の何物でもない。			いまだ戦火は途絶えず							
……平然としているように見えるか？戦を肯定しているように思えるか？			……平然としているように見えるか？戦を肯定しているように思えるか？			いまだ戦火は途絶えず							
ふん、戦などないほうがいいに決まっている。しかし、こちらがどう思おうと、イクサル族は襲ってくるんだ。もはや交渉は不可能であり、無意味だよ。			ふん、戦などないほうがいいに決まっている。しかし、こちらがどう思おうと、イクサル族は襲ってくるんだ。もはや交渉は不可能であり、無意味だよ。			いまだ戦火は途絶えず							
これから、ものを言うのは武力になるだろう。我々は、人々の現在と未来を守るために戦っている。すべては、そのための準備なのだ。			これから、ものを言うのは武力になるだろう。我々は、人々の現在と未来を守るために戦っている。すべては、そのための準備なのだ。			いまだ戦火は途絶えず							
ともかく、「ミスルトゥ」20束を用意し園芸師ギルドの「フフチャ」に届けるように。後ほど、双蛇党の使いが受け取りに行くのでな。			ともかく、「ミスルトゥ」20束を用意し園芸師ギルドの「フフチャ」に届けるように。後ほど、双蛇党の使いが受け取りに行くのでな。			いまだ戦火は途絶えず							
話は、こちらにも来ています。それでは「ミスルトゥ」を20束、預かりますね。			話は、こちらにも来ています。それでは「ミスルトゥ」を20束、預かりますね。			いまだ戦火は途絶えず							
御苦労でしたね、Forename。……やはり、また戦が起こると。			御苦労でしたね、Forename。……やはり、また戦が起こると。			いまだ戦火は途絶えず							
ガヴィン少牙士が言うのならば、真実なのでしょう。彼は嘘をつかない方ですから……でも、残念です。本当に戦が起こってしまうなんて。			ガヴィン少牙士が言うのならば、真実なのでしょう。彼は嘘をつかない方ですから……でも、残念です。本当に戦が起こってしまうなんて。			いまだ戦火は途絶えず							
……以前にも少し話しましたが、私はどうしても、戦で森が傷つくことが耐えられないのです。			……以前にも少し話しましたが、私はどうしても、戦で森が傷つくことが耐えられないのです。			いまだ戦火は途絶えず							
私たち園芸師は森と生き、慈しみ育てるのが仕事のはず。なのに、これではまるでミスルトゥ……ヤドリギのように、森に寄生しているみたいではありませんか。			私たち園芸師は森と生き、慈しみ育てるのが仕事のはず。なのに、これではまるでミスルトゥ……ヤドリギのように、森に寄生しているみたいではありませんか。			いまだ戦火は途絶えず							
戦争のために、森から搾取するだけ……それの何が園芸師なのでしょう？私は上手い答えをだすことができません……。			戦争のために、森から搾取するだけ……それの何が園芸師なのでしょう？私は上手い答えをだすことができません……。			いまだ戦火は途絶えず							
グリーングラブ菜園のエドギスは、冒険者に結果を報告したいようだ。			グリーングラブ菜園のエドギスは、冒険者に結果を報告したいようだ。			白き死							
エドギスによると、品種改良の第一世代が枯死したらしい。そのことで、フフチャから話があるそうだ。グリダニアの園芸師ギルドにいる「フフチャ」と話そう。			エドギスによると、品種改良の第一世代が枯死したらしい。そのことで、フフチャから話があるそうだ。グリダニアの園芸師ギルドにいる「フフチャ」と話そう。			白き死							
フフチャと話した。園芸師ギルドでも枯死の原因がわからなかったので、冒険者も調べてほしいと頼まれた。イディルシャイアのグリーングラブ菜園にある「交雑用の畑」を調べよう。			フフチャと話した。園芸師ギルドでも枯死の原因がわからなかったので、冒険者も調べてほしいと頼まれた。イディルシャイアのグリーングラブ菜園にある「交雑用の畑」を調べよう。			白き死							
交雑用の畑を調べた。グリーングラブ菜園の「交雑用の畑」を再度調べよう。			交雑用の畑を調べた。グリーングラブ菜園の「交雑用の畑」を再度調べよう。			白き死							
極小の白石を手に入れた。グリーングラブ菜園の「エドギス」に「極小の白石」を渡そう。			極小の白石を手に入れた。グリーングラブ菜園の「エドギス」に「極小の白石」を渡そう。			白き死							
エドギスに極小の白石を渡した。彼女は何かに気がついたらしく、原因を確定させるための試薬の発注を冒険者に頼んだ。イディルシャイアのスティックキクス工房にいる「ゴルドオクス」に「エドギスの発注書」を渡そう。			エドギスに極小の白石を渡した。彼女は何かに気がついたらしく、原因を確定させるための試薬の発注を冒険者に頼んだ。イディルシャイアのスティックキクス工房にいる「ゴルドオクス」に「エドギスの発注書」を渡そう。			白き死							
ゴルドオクスにエドギスの発注書を渡した。検査用の試薬を作るには、材料が足りないらしい。スティックキクス工房の「ゴルドオクス」に「ナノリソ」を20個納品しよう。「ナノリソ」は紅玉海の螺旋海峡の北西側にある草刈場で草刈できる。			ゴルドオクスにエドギスの発注書を渡した。検査用の試薬を作るには、材料が足りないらしい。スティックキクス工房の「ゴルドオクス」に「ナノリソ」を20個納品しよう。「ナノリソ」は紅玉海の螺旋海峡の北西側にある草刈場で草刈できる。			白き死							
ゴルドオクスにナノリソを納品し、検査用の試薬を作ってもらった。グリーングラブ菜園の「エドギス」に「検査用の試薬」を渡そう。			ゴルドオクスにナノリソを納品し、検査用の試薬を作ってもらった。グリーングラブ菜園の「エドギス」に「検査用の試薬」を渡そう。			白き死							
エドギスに検査用の試薬を渡した。それを使って確認したところ、第一世代の枯死の原因は、ネマトーダという虫によるものだとわかった。フフチャらが対応策を探している間、冒険者は何が起きてもいいように園芸師の技術を磨いておこう。※園芸師のレベルが70以上になると、イディルシャイアのグリーングラブ菜園にいるエドギスから次の園芸師クエストを受注することができます。			エドギスに検査用の試薬を渡した。それを使って確認したところ、第一世代の枯死の原因は、ネマトーダという虫によるものだとわかった。フフチャらが対応策を探している間、冒険者は何が起きてもいいように園芸師の技術を磨いておこう。※園芸師のレベルが70以上になると、イディルシャイアのグリーングラブ菜園にいるエドギスから次の園芸師クエストを受注することができます。			白き死							
園芸師ギルドのフフチャと話す			園芸師ギルドのフフチャと話す			白き死							
イディルシャイアの交雑用の畑を調べる			イディルシャイアの交雑用の畑を調べる			白き死							
交雑用の畑を再度調べる			交雑用の畑を再度調べる			白き死							
エドギスに極小の白石を渡す			エドギスに極小の白石を渡す			白き死							
ゴルドオクスにエドギスの発注書を渡す			ゴルドオクスにエドギスの発注書を渡す			白き死							
螺旋海峡でナノリソを草刈イディルシャイアのゴルドオクスにナノリソを納品			螺旋海峡でナノリソを草刈イディルシャイアのゴルドオクスにナノリソを納品			白き死							
エドギスに検査用の試薬を渡す			エドギスに検査用の試薬を渡す			白き死							
……あ、冒険者さん。すみません、ダメダメなウチのせいで、残念な結果を伝えなきゃいけません……。			……あ、冒険者さん。すみません、ダメダメなウチのせいで、残念な結果を伝えなきゃいけません……。			白き死							
交雑で作りだした改良ポポトの第一世代ですが、発芽はしたものの、すぐに枯れてしまったんです。何らかの病害だと思うのですが……。			交雑で作りだした改良ポポトの第一世代ですが、発芽はしたものの、すぐに枯れてしまったんです。何らかの病害だと思うのですが……。			白き死							
今後について「フフチャ」様から話があるとのことなので、冒険者さんも、一緒に話を聞いてもらえませんか？よろしくお願いします……。			今後について「フフチャ」様から話があるとのことなので、冒険者さんも、一緒に話を聞いてもらえませんか？よろしくお願いします……。			白き死							
来てくれてありがとうございます、冒険者さん。それじゃあ、一緒に「フフチャ」様の話を聞いてください……。			来てくれてありがとうございます、冒険者さん。それじゃあ、一緒に「フフチャ」様の話を聞いてください……。			白き死							
よく来てくれました、Forename。第一世代の枯死については聞きましたね？その解決について、あなたの力をお借りしたいのです。			よく来てくれました、Forename。第一世代の枯死については聞きましたね？その解決について、あなたの力をお借りしたいのです。			白き死							
おそらく、メークインポポトの病気や害虫に弱いという形質が、第一世代に遺伝したのだと思いますが、直接の原因は不明……。まずは、問題を洗い出すところから始めねばなりません。			おそらく、メークインポポトの病気や害虫に弱いという形質が、第一世代に遺伝したのだと思いますが、直接の原因は不明……。まずは、問題を洗い出すところから始めねばなりません。			白き死							
そんな！？フフチャ様でも……グリダニアの誇る園芸師ギルドでも！枯死の原因がわからないというのですか！？			そんな！？フフチャ様でも……グリダニアの誇る園芸師ギルドでも！枯死の原因がわからないというのですか！？			白き死							
ええ……残念ながら。私たちも、自然の恵みを与る者でしかなく、悔しくはありますが、すべてがわかるわけではありません。			ええ……残念ながら。私たちも、自然の恵みを与る者でしかなく、悔しくはありますが、すべてがわかるわけではありません。			白き死							
ですが、解決を諦めたわけではありませんよ。原因を究明するべく、引き続き調査を行いましょう。			ですが、解決を諦めたわけではありませんよ。原因を究明するべく、引き続き調査を行いましょう。			白き死							
Forename、あなたも手伝ってください。さしあたり、菜園の畑を調べてほしいのです。冒険者ならではの視点で、何か発見できるかもしれませんから。			Forename、あなたも手伝ってください。さしあたり、菜園の畑を調べてほしいのです。冒険者ならではの視点で、何か発見できるかもしれませんから。			白き死							
あ、う、ウチも戻って、一緒に調べます。ダメダメなウチじゃ、何もできないと思いますけど……。			あ、う、ウチも戻って、一緒に調べます。ダメダメなウチじゃ、何もできないと思いますけど……。			白き死							
植物が枯死する原因はさまざまです。ですが、管理に不備があったとは思えません。何か別の、不測の事態によるものとしか……。			植物が枯死する原因はさまざまです。ですが、管理に不備があったとは思えません。何か別の、不測の事態によるものとしか……。			白き死							
ソーニーさんには、状況を共有して、シャーレアンの資料を、調べてもらっています。……ウチがダメダメなせいで、失敗してごめんなさい。			ソーニーさんには、状況を共有して、シャーレアンの資料を、調べてもらっています。……ウチがダメダメなせいで、失敗してごめんなさい。			白き死							
土の中に、極小さな白い点が見える……。もっとよく調べてみよう。			土の中に、極小さな白い点が見える……。もっとよく調べてみよう。			白き死							
交雑用の畑から、「極小の白石」を見つけた！			交雑用の畑から、「極小の白石」を見つけた！			白き死							
ぼ、冒険者さん、なにか見つけたんですか！？すごいです、さすがです！！……あ、あの、ダメダメなウチにも、見せてもらえませんか？			ぼ、冒険者さん、なにか見つけたんですか！？すごいです、さすがです！！……あ、あの、ダメダメなウチにも、見せてもらえませんか？			白き死							
そ、そのう……よければですね、ダメダメなウチにも、見つけたものを見せてもらえませんか？			そ、そのう……よければですね、ダメダメなウチにも、見つけたものを見せてもらえませんか？			白き死							
……これは……石？いや、違う……そうじゃなくて……。でもこれを、フフチャ様がわからないはずない……			……これは……石？いや、違う……そうじゃなくて……。でもこれを、フフチャ様がわからないはずない……			白き死							
……そうです、きっと勘違いです。ダメダメなウチの考えなんて、絶対間違ってると思いますし……。			……そうです、きっと勘違いです。ダメダメなウチの考えなんて、絶対間違ってると思いますし……。			白き死							
何と言う？			何と言う？			白き死							
自分の考えに自信を持て			自分の考えに自信を持て			白き死							
フフチャだってわからないことがある			フフチャだってわからないことがある			白き死							
冒険者さん……。ウチ……ダメダメですけど……。でも、冒険者さんの言葉なら、自信を持ちます！			冒険者さん……。ウチ……ダメダメですけど……。でも、冒険者さんの言葉なら、自信を持ちます！			白き死							
……フフチャ様も、そう言ってましたね。それなら……何かの奇跡で、ダメダメなウチが、気がついてしまうことも、あるかもしれなかったり……うん！			……フフチャ様も、そう言ってましたね。それなら……何かの奇跡で、ダメダメなウチが、気がついてしまうことも、あるかもしれなかったり……うん！			白き死							
もしかしたら、枯死の原因がわかるかもしれません。ただ、確定させるためには検査用の試薬が必要です。			もしかしたら、枯死の原因がわかるかもしれません。ただ、確定させるためには検査用の試薬が必要です。			白き死							
冒険者さん、スティックキクス工房の、「ゴルドオクス」さんにこのメモを渡して、検査用の試薬をもらってきてもらえますか？			冒険者さん、スティックキクス工房の、「ゴルドオクス」さんにこのメモを渡して、検査用の試薬をもらってきてもらえますか？			白き死							
ウチはこの極小の白石を、フフチャ様とソーニーさんに見せて、相談してきます。よろしくお願いしますね！			ウチはこの極小の白石を、フフチャ様とソーニーさんに見せて、相談してきます。よろしくお願いしますね！			白き死							
Forename、お手柄でした。エドギスさんの話からして、おそらく原因は……。いえ、これは確定してからお話ししましょう。			Forename、お手柄でした。エドギスさんの話からして、おそらく原因は……。いえ、これは確定してからお話ししましょう。			白き死							
シュコォ……シュコォ……アンタは　ヒトの　採掘師？最技研に　ご用でなくて　わざわざゴブに　何のご用？			シュコォ……シュコォ……アンタは　ヒトの　採掘師？最技研に　ご用でなくて　わざわざゴブに　何のご用？			白き死							
シュコォ……シュコォ……ようこそ　我らが　工房へ！いったい　ぜんたい　何のご用？			シュコォ……シュコォ……ようこそ　我らが　工房へ！いったい　ぜんたい　何のご用？			白き死							
シュコォ……シュコォ……なるほど　なるほど　検査用の試薬が　ご入用！でもでも　いまは　作れない！			シュコォ……シュコォ……なるほど　なるほど　検査用の試薬が　ご入用！でもでも　いまは　作れない！			白き死							
欠かせぬ　素材　とっても希少な　「ナノリソ」手持ちにないから　作れない！			欠かせぬ　素材　とっても希少な　「ナノリソ」手持ちにないから　作れない！			白き死							
アンタは　園芸　できる人？ならなら　「ナノリソ」　採ってきて！20個もあれば　検査用の試薬　作れるぞ～！			アンタは　園芸　できる人？ならなら　「ナノリソ」　採ってきて！20個もあれば　検査用の試薬　作れるぞ～！			白き死							
「ナノリソ」　遠い東の　海藻よ！紅玉海の　海の底　そこなら　そこそこ　採れるはず～！			「ナノリソ」　遠い東の　海藻よ！紅玉海の　海の底　そこなら　そこそこ　採れるはず～！			白き死							
シュコォ……シュコォ……紅玉海の　「ナノリソ」　20個もあれば検査用の試薬が　作れるぞ～！			シュコォ……シュコォ……紅玉海の　「ナノリソ」　20個もあれば検査用の試薬が　作れるぞ～！			白き死							
これは　まさしく　「ナノリソ」だ！品質　良質　これならできる！ちょっと　待ってね　すぐすぐ　試薬を　作っちゃる！			これは　まさしく　「ナノリソ」だ！品質　良質　これならできる！ちょっと　待ってね　すぐすぐ　試薬を　作っちゃる！			白き死							
シュコォ……シュコォ……ガリガリ　ゴリゴリ　素材を潰し～ゴブの技術で　混ぜ混ぜすれば～　あっという間に　できあがり～！			シュコォ……シュコォ……ガリガリ　ゴリゴリ　素材を潰し～ゴブの技術で　混ぜ混ぜすれば～　あっという間に　できあがり～！			白き死							
シュコォ……シュコォ……ほらほら　完成　「検査用の試薬」！コイツを　「エドギス」　届けてね～！			シュコォ……シュコォ……ほらほら　完成　「検査用の試薬」！コイツを　「エドギス」　届けてね～！			白き死							
シュコォ……シュコォ……ゴブの　力作　「検査用の試薬」！ちゃんと　「エドギス」　届けてね～！			シュコォ……シュコォ……ゴブの　力作　「検査用の試薬」！ちゃんと　「エドギス」　届けてね～！			白き死							
冒険者さん、冒険者さん、お待ちしてました！「検査用の試薬」は手に入りましたか？			冒険者さん、冒険者さん、お待ちしてました！「検査用の試薬」は手に入りましたか？			白き死							
さすが、冒険者さん！これで原因を特定できますよ。本当にダメダメなウチの考えが正解か……それ！			さすが、冒険者さん！これで原因を特定できますよ。本当にダメダメなウチの考えが正解か……それ！			白き死							
やっぱり……反応がでちゃいましたね……信じられないけど、間違いありません。			やっぱり……反応がでちゃいましたね……信じられないけど、間違いありません。			白き死							
そろそろ、何かがつかめている頃かと思い、様子を見にきてみましたが……いかがですか？			そろそろ、何かがつかめている頃かと思い、様子を見にきてみましたが……いかがですか？			白き死							
シャーレアンの資料にあった「アレ」で、間違いなかったのか？			シャーレアンの資料にあった「アレ」で、間違いなかったのか？			白き死							
試薬に反応しましたし、間違いありません。枯死の原因は、ネマトーダというとても小さな害虫。冒険者さんが見つけた「極小の白石」は、その卵です。			試薬に反応しましたし、間違いありません。枯死の原因は、ネマトーダというとても小さな害虫。冒険者さんが見つけた「極小の白石」は、その卵です。			白き死							
エドギスさんが気がついたとおりでしたか。ですが、ネマトーダは寄生する宿主がなければ生きられません。新たに作った菜園に、なぜその卵が……。			エドギスさんが気がついたとおりでしたか。ですが、ネマトーダは寄生する宿主がなければ生きられません。新たに作った菜園に、なぜその卵が……。			白き死							
シャーレアンの研究資料によれば、ネマトーダの卵は、母虫の死骸の中で休眠状態になり、10年以上、耐えるのだとか。そうして、しぶとく宿主が現れるのを待つそうです。			シャーレアンの研究資料によれば、ネマトーダの卵は、母虫の死骸の中で休眠状態になり、10年以上、耐えるのだとか。そうして、しぶとく宿主が現れるのを待つそうです。			白き死							
その資料には、すべて駆除済みとあったんだがな。だが……どこかに卵を抱えた死骸が残っていたんだろうよ。それが今回の件で、宿主を得て孵化しちまった……。			その資料には、すべて駆除済みとあったんだがな。だが……どこかに卵を抱えた死骸が残っていたんだろうよ。それが今回の件で、宿主を得て孵化しちまった……。			白き死							
なるほど……。エドギスさん、あなたはこの地の自然について、よく学び、よく理解していますね。			なるほど……。エドギスさん、あなたはこの地の自然について、よく学び、よく理解していますね。			白き死							
そ、そんな……気がついたのは、たまたま、ですし……。そもそも冒険者さんが、卵を見つけてなければ……。それにそれに、解決法もまだわからないですし……。			そ、そんな……気がついたのは、たまたま、ですし……。そもそも冒険者さんが、卵を見つけてなければ……。それにそれに、解決法もまだわからないですし……。			白き死							
資料には、対応策までは書いてなかった。駆除済みとあるからには、方法があるはずなんだが……。			資料には、対応策までは書いてなかった。駆除済みとあるからには、方法があるはずなんだが……。			白き死							
では、ここからは私の仕事ですね。ほかのネマトーダ被害の例を参考にしながら、最適な対応策を考えてみましょう。			では、ここからは私の仕事ですね。ほかのネマトーダ被害の例を参考にしながら、最適な対応策を考えてみましょう。			白き死							
う、ウチは、引き続きシャーレアンの資料を、調べてみます！対応策がわかるかもしれませんし！			う、ウチは、引き続きシャーレアンの資料を、調べてみます！対応策がわかるかもしれませんし！			白き死							
んじゃ、俺はそれを手伝うか。それくらいしか、できねえしな。			んじゃ、俺はそれを手伝うか。それくらいしか、できねえしな。			白き死							
あなたの出番は、私たちが対応策を見つけた後でしょう。それまでは今までどおり、冒険の中で、園芸師の技術と知識を磨いてください……頼りにしてますよ。			あなたの出番は、私たちが対応策を見つけた後でしょう。それまでは今までどおり、冒険の中で、園芸師の技術と知識を磨いてください……頼りにしてますよ。			白き死							
園芸師として、ポポトの品種改良への協力を経て、「バウンティフルハーベストII」を修得しました！			園芸師として、ポポトの品種改良への協力を経て、「バウンティフルハーベストII」を修得しました！			白き死							
園芸師ギルドのフフチャは冒険者に依頼したい仕事があるようだ。			園芸師ギルドのフフチャは冒険者に依頼したい仕事があるようだ。			伝えられた思い出							
フフチャから依頼を受けた。グリダニアの園芸師ギルドにいる「フフチャ」に「ズッキーニ」を20個見せよう。「ズッキーニ」は東ラノシアの船着場：レインキャッチャー南にある草刈場で採集できる。			フフチャから依頼を受けた。グリダニアの園芸師ギルドにいる「フフチャ」に「ズッキーニ」を20個見せよう。「ズッキーニ」は東ラノシアの船着場：レインキャッチャー南にある草刈場で採集できる。			伝えられた思い出							
フフチャにズッキーニを見せた。グリダニアのグレートローム農場にいる「ヤニ」に「ズッキーニ」を20個納品しよう。			フフチャにズッキーニを見せた。グリダニアのグレートローム農場にいる「ヤニ」に「ズッキーニ」を20個納品しよう。			伝えられた思い出							
ヤニにズッキーニを納品した。園芸師ギルドの「フフチャ」に「特製のラタトゥイユ」を渡そう。			ヤニにズッキーニを納品した。園芸師ギルドの「フフチャ」に「特製のラタトゥイユ」を渡そう。			伝えられた思い出							
フフチャに特製のラタトゥイユを渡した。調理師のヤニが作った料理は、フフチャの母のレシピを参考にしたラタトゥイユだった。「特製のラタトゥイユ」を受け取ったフフチャは、平和な森を思い出し、苦悩をさらに深めてしまったようだ……。仕事を助けて彼女を支えるためにも、園芸師として修業を続けよう。※園芸師のレベルが45以上になると、フフチャから次の園芸師クエストを受注することができます。			フフチャに特製のラタトゥイユを渡した。調理師のヤニが作った料理は、フフチャの母のレシピを参考にしたラタトゥイユだった。「特製のラタトゥイユ」を受け取ったフフチャは、平和な森を思い出し、苦悩をさらに深めてしまったようだ……。仕事を助けて彼女を支えるためにも、園芸師として修業を続けよう。※園芸師のレベルが45以上になると、フフチャから次の園芸師クエストを受注することができます。			伝えられた思い出							
フフチャにズッキーニを見せる			フフチャにズッキーニを見せる			伝えられた思い出							
ヤニにズッキーニを納品			ヤニにズッキーニを納品			伝えられた思い出							
フフチャに特製のラタトゥイユを渡す			フフチャに特製のラタトゥイユを渡す			伝えられた思い出							
……先日の、園芸師が戦争を助長するという悩み、私の中ではいまだ、解決には至りません……。悩みというのは、まったく狂おしいものですね……！			……先日の、園芸師が戦争を助長するという悩み、私の中ではいまだ、解決には至りません……。悩みというのは、まったく狂おしいものですね……！			伝えられた思い出							
ですが、私の状況とは無関係に依頼は来るのです。実は、調理師ヤニに「ズッキーニ」の調達を依頼されましたが……少々、数の確保に手間取っています。			ですが、私の状況とは無関係に依頼は来るのです。実は、調理師ヤニに「ズッキーニ」の調達を依頼されましたが……少々、数の確保に手間取っています。			伝えられた思い出							
……でも、冒険者であるあなたなら、任せられそうです。自生しているラノシア地方まで赴き、収穫できますからね。			……でも、冒険者であるあなたなら、任せられそうです。自生しているラノシア地方まで赴き、収穫できますからね。			伝えられた思い出							
