砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			新たな蛮神							
……Surname、実はね。ネールが、蛮神「バハムート」の力を纏ったとき、私、あなたでも勝てないかもしれないと思ったの。			……Surname、実はね。ネールが、蛮神「バハムート」の力を纏ったとき、私、あなたでも勝てないかもしれないと思ったの。			再び深き淵へ							
相手は蛮神本体じゃないし、あなたが強いのも知ってる。でも蛮神「バハムート」は、お祖父様ですら命を懸けて戦った強敵だから……。			相手は蛮神本体じゃないし、あなたが強いのも知ってる。でも蛮神「バハムート」は、お祖父様ですら命を懸けて戦った強敵だから……。			再び深き淵へ							
それでも、こうしてここまで来られた。			それでも、こうしてここまで来られた。			再び深き淵へ							
……人は強いのね。そして、とても尊い可能性を持っている。			……人は強いのね。そして、とても尊い可能性を持っている。			再び深き淵へ							
お祖父様が守りたかったものは、きっとこれなんだわ。私にも……少しだけ、わかったような気がする。			お祖父様が守りたかったものは、きっとこれなんだわ。私にも……少しだけ、わかったような気がする。			再び深き淵へ							
さあ、地上へ戻りましょう。ウリエンジェに報告して、状況を整理しないと！			さあ、地上へ戻りましょう。ウリエンジェに報告して、状況を整理しないと！			再び深き淵へ							
お、お祖父様……本当に……！？……でも……なぜ……。			お、お祖父様……本当に……！？……でも……なぜ……。			再び深き淵へ							
ここまでじゃ、アリゼー。これ以上、拘束艦に干渉することは許されん。			ここまでじゃ、アリゼー。これ以上、拘束艦に干渉することは許されん。			再び深き淵へ							
な、何を言っているのです……？蛮神「バハムート」の復活阻止には、拘束艦を停止しないと……！			な、何を言っているのです……？蛮神「バハムート」の復活阻止には、拘束艦を停止しないと……！			再び深き淵へ							
……聞けぬというのであれば、ここで始末するまでじゃ。			……聞けぬというのであれば、ここで始末するまでじゃ。			再び深き淵へ							
ねえ、本当に……本当に、お祖父様なの……？どうして……こんなこと……！？			ねえ、本当に……本当に、お祖父様なの……？どうして……こんなこと……！？			再び深き淵へ							
愚かな孫娘よ……。			愚かな孫娘よ……。			再び深き淵へ							
……このような持たざる者すら退けられんとは。凶鳥も語るに落ちるな。			……このような持たざる者すら退けられんとは。凶鳥も語るに落ちるな。			再び深き淵へ							
覚えておくがよい。すべては大いなる意志がため……。			覚えておくがよい。すべては大いなる意志がため……。			再び深き淵へ							
我が神「バハムート」こそが絶対であると！			我が神「バハムート」こそが絶対であると！			再び深き淵へ							
……慈悲だ、去れ。再び、この地に踏み入るようであれば、次はおぬしとて容赦はせん。			……慈悲だ、去れ。再び、この地に踏み入るようであれば、次はおぬしとて容赦はせん。			再び深き淵へ							
あの光……ネールと同じ……。…………ならば、お祖父様はもう……。			あの光……ネールと同じ……。…………ならば、お祖父様はもう……。			再び深き淵へ							
……お祖父様はもういないわ。あれは、お祖父様を穢すただの幻影……。			……お祖父様はもういないわ。あれは、お祖父様を穢すただの幻影……。			再び深き淵へ							
だったら私は、全力であいつを叩き潰す！……そして、お祖父様の魂を、バハムートの支配から解放してみせる……ッ！			だったら私は、全力であいつを叩き潰す！……そして、お祖父様の魂を、バハムートの支配から解放してみせる……ッ！			再び深き淵へ							
蛮神「バハムート」……私の愛するお祖父様を取り込んだお前を、絶対に許さない！……絶対に、絶対にッ！			蛮神「バハムート」……私の愛するお祖父様を取り込んだお前を、絶対に許さない！……絶対に、絶対にッ！			再び深き淵へ							
アリゼーは、大迷宮バハムート侵攻作戦について報告したいようだ。			アリゼーは、大迷宮バハムート侵攻作戦について報告したいようだ。			真実と決断							
アリゼーから、大迷宮バハムート侵攻作戦について報告をするように頼まれた。ベスパーベイの砂の家へ戻り、「ウリエンジェ」と話そう。			アリゼーから、大迷宮バハムート侵攻作戦について報告をするように頼まれた。ベスパーベイの砂の家へ戻り、「ウリエンジェ」と話そう。			真実と決断							
ウリエンジェ、アリゼーと共に、今回の侵攻作戦について総括した。迷宮内で出会ったネールは、かつてダラガブを使ってエオルゼアを侵略せんとしたガレマール帝国軍第VII軍団長。ダラガブとの交信を試みるうちに蛮神「バハムート」の信者になったと推測されるという。同じく信者となったルイゾワにも引導を渡すというアリゼー。悲しみの果てにたどり着く「真実」とは、いかなるものなのだろうか……。			ウリエンジェ、アリゼーと共に、今回の侵攻作戦について総括した。迷宮内で出会ったネールは、かつてダラガブを使ってエオルゼアを侵略せんとしたガレマール帝国軍第VII軍団長。ダラガブとの交信を試みるうちに蛮神「バハムート」の信者になったと推測されるという。同じく信者となったルイゾワにも引導を渡すというアリゼー。悲しみの果てにたどり着く「真実」とは、いかなるものなのだろうか……。			真実と決断							
砂の家のウリエンジェと話す			砂の家のウリエンジェと話す			真実と決断							
どうにか地上に戻ってこられたようね。転移先は前と同じ……北ザナラーンだったみたい。			どうにか地上に戻ってこられたようね。転移先は前と同じ……北ザナラーンだったみたい。			真実と決断							
……さっきは守ってくれてありがとう。あなたは、先に砂の家へ戻って、ウリエンジェに報告をお願い。			……さっきは守ってくれてありがとう。あなたは、先に砂の家へ戻って、ウリエンジェに報告をお願い。			真実と決断							
私も、すぐに後を追いかけるから……。大丈夫……少し疲れたから、休んでいくだけよ……。			私も、すぐに後を追いかけるから……。大丈夫……少し疲れたから、休んでいくだけよ……。			真実と決断							
砂の家へ戻って、ウリエンジェに報告をお願い。私も……すぐに後を追いかけるから……。			砂の家へ戻って、ウリエンジェに報告をお願い。私も……すぐに後を追いかけるから……。			真実と決断							
英雄の凱旋……よくぞ戻られました……。その眼は、使命を果たした者の眼……。「拘束艦」は沈黙したようですね。			英雄の凱旋……よくぞ戻られました……。その眼は、使命を果たした者の眼……。「拘束艦」は沈黙したようですね。			真実と決断							
しかして、万事は無事にならず……。あなたに落ちた影の理由を、お聞かせください。			しかして、万事は無事にならず……。あなたに落ちた影の理由を、お聞かせください。			真実と決断							
……白銀の凶鳥、ネール・ヴァン・ダーナス……。そして、我が師が……。			……白銀の凶鳥、ネール・ヴァン・ダーナス……。そして、我が師が……。			真実と決断							
……それでは、ルイゾワ様のエーテルは、ネールと同様に蛮神「バハムート」に取り込まれ、かの蛮神のテンパードになったというのですね……。			……それでは、ルイゾワ様のエーテルは、ネールと同様に蛮神「バハムート」に取り込まれ、かの蛮神のテンパードになったというのですね……。			真実と決断							
なんという……ことでしょう……。……エーテルを束ねし虚構なる幻影とはいえ、ルイゾワ様と相対するは、私でさえ耐え難きこと……。			なんという……ことでしょう……。……エーテルを束ねし虚構なる幻影とはいえ、ルイゾワ様と相対するは、私でさえ耐え難きこと……。			真実と決断							
……ましてや、アリゼー様にとっては如何ほどか。この戦い、もはや協力を望むべきではないかもしれません。			……ましてや、アリゼー様にとっては如何ほどか。この戦い、もはや協力を望むべきではないかもしれません。			真実と決断							
(-？？？？-)余計な心配は不要よ、ウリエンジェ。			(-？？？？-)余計な心配は不要よ、ウリエンジェ。			真実と決断							
アリゼー様……。			アリゼー様……。			真実と決断							
私は奴らを倒すと決めた……それがすべて。それよりも、今回判明した事実を整理させてちょうだい。			私は奴らを倒すと決めた……それがすべて。それよりも、今回判明した事実を整理させてちょうだい。			真実と決断							
……委細承知しました。			……委細承知しました。			真実と決断							
報告から察するに、今回の要となるのは、大迷宮の衛士となったネール・ヴァン・ダーナスです……。			報告から察するに、今回の要となるのは、大迷宮の衛士となったネール・ヴァン・ダーナスです……。			真実と決断							
あなたには説明をするまでもない……。ネールは、あなたが5年前に通称「月下の闘い」で破った、ガレマール帝国の第VII軍団長……。第六星暦末期……エオルゼアを制さんと侵攻せし、ガレマール帝国軍第VII軍団の長。それが「白銀の凶鳥」こと、ネールでありました。			あなたには説明をするまでもない……。ネールは、あなたが5年前に通称「月下の闘い」で破った、ガレマール帝国の第VII軍団長……。第六星暦末期……エオルゼアを制さんと侵攻せし、ガレマール帝国軍第VII軍団の長。それが「白銀の凶鳥」こと、ネールでありました。			真実と決断							
「交信雷波塔」を覚えておいでですか……？ネールがダラガブを制御するために建設した、クリスタルタワーの代用品……あなたが打ち砕いた野望を。彼の者の生家、ダーナス家はアラグの知を受け継ぐ一門……。それゆえに月の衛星「ダラガブ」の正体を知り、エオルゼア侵略に用いんとしたのです……。			「交信雷波塔」を覚えておいでですか……？ネールがダラガブを制御するために建設した、クリスタルタワーの代用品……あなたが打ち砕いた野望を。彼の者の生家、ダーナス家はアラグの知を受け継ぐ一門……。それゆえに月の衛星「ダラガブ」の正体を知り、エオルゼア侵略に用いんとしたのです……。			真実と決断							
おそらく、あの塔を完成させるべく、ダラガブへの交信を試行錯誤するうちに……その内に眠る蛮神を目覚めさせ、魅入られたのでしょう。しかし、制御を司るクリスタルタワーは、当時まだ地中。ダラガブへの交信を試行錯誤するうちに……その内に眠る蛮神を目覚めさせ、魅入られたのでしょう。			おそらく、あの塔を完成させるべく、ダラガブへの交信を試行錯誤するうちに……その内に眠る蛮神を目覚めさせ、魅入られたのでしょう。しかし、制御を司るクリスタルタワーは、当時まだ地中。ダラガブへの交信を試行錯誤するうちに……その内に眠る蛮神を目覚めさせ、魅入られたのでしょう。			真実と決断							
……そして、数千年の時を越えて、蛮神「バハムート」の新たなテンパードが誕生したのね。			……そして、数千年の時を越えて、蛮神「バハムート」の新たなテンパードが誕生したのね。			真実と決断							
戦いに敗れ、その命はエーテルへと散ったけれど、「バハムート」に吸収され、エーテル界には還れなかった。ネール……哀れな存在よ。			戦いに敗れ、その命はエーテルへと散ったけれど、「バハムート」に吸収され、エーテル界には還れなかった。ネール……哀れな存在よ。			真実と決断							
蛮神「バハムート」のテンパード……。それが、奴らだけだったのならいいのだけれど……。			蛮神「バハムート」のテンパード……。それが、奴らだけだったのならいいのだけれど……。			真実と決断							
ネールが言った「愛し子らを抱くゆりかご」という言葉……狂言と捨て置くには、妙にひっかかるの。			ネールが言った「愛し子らを抱くゆりかご」という言葉……狂言と捨て置くには、妙にひっかかるの。			真実と決断							
もし、ほかにもテンパードがいるのならば、「拘束艦」を止めるのと同時に、そいつらの排除も必要になるでしょうね。			もし、ほかにもテンパードがいるのならば、「拘束艦」を止めるのと同時に、そいつらの排除も必要になるでしょうね。			真実と決断							
アリゼー様……。ルイゾワ様にも引導を渡すと……そうおっしゃるのですね。しかし……本当によろしいのですか？			アリゼー様……。ルイゾワ様にも引導を渡すと……そうおっしゃるのですね。しかし……本当によろしいのですか？			真実と決断							
……何度も言わせないで。蛮神「バハムート」と、それに関するすべてを断つこと……それだけが、お祖父様を救うのよ。			……何度も言わせないで。蛮神「バハムート」と、それに関するすべてを断つこと……それだけが、お祖父様を救うのよ。			真実と決断							
テンパードの件も含め、しばらくこちらで調査を進めるわ。次の作戦が立案されるまで、あなたは休息をとっていて。			テンパードの件も含め、しばらくこちらで調査を進めるわ。次の作戦が立案されるまで、あなたは休息をとっていて。			真実と決断							
まだ気の抜ける状況じゃないけれど……おつかれさま、Surname。			まだ気の抜ける状況じゃないけれど……おつかれさま、Surname。			真実と決断							
……そうですか。あれから5年、もう逝ってしまわれたと知っていて尚、こんなにも……悲しいものなのですね……。			……そうですか。あれから5年、もう逝ってしまわれたと知っていて尚、こんなにも……悲しいものなのですね……。			真実と決断							
我が師ルイゾワ……。真理とは、真実とは……いったい何なのでしょう……。			我が師ルイゾワ……。真理とは、真実とは……いったい何なのでしょう……。			真実と決断							
これまで、それに至ることこそ、私たちシャーレアンの務めと信じてきました……。			これまで、それに至ることこそ、私たちシャーレアンの務めと信じてきました……。			真実と決断							
……しかし、その真実が悲しみと絶望を呼び、他者を傷つけるものであっても……それでも、明かさねばならないのでしょうか……。			……しかし、その真実が悲しみと絶望を呼び、他者を傷つけるものであっても……それでも、明かさねばならないのでしょうか……。			真実と決断							
……それが君の「決断」だとでも言うのかい、アリゼー。			……それが君の「決断」だとでも言うのかい、アリゼー。			真実と決断							
ならば、次は「鍵」を使うことになるだろう。Surnameでも、暁の血盟でもない……私たちが持っている「真実の鍵」をね。			ならば、次は「鍵」を使うことになるだろう。Surnameでも、暁の血盟でもない……私たちが持っている「真実の鍵」をね。			真実と決断							
鍵は、扉を閉めるためにもあるんだ。……蛮神「バハムート」は、閉じられるべき過去なのさ。			鍵は、扉を閉めるためにもあるんだ。……蛮神「バハムート」は、閉じられるべき過去なのさ。			真実と決断							
本クエストを受注する前に、「大迷宮バハムート：侵攻編」初回攻略時に、再生されたカットシーンを確認することができます。			本クエストを受注する前に、「大迷宮バハムート：侵攻編」初回攻略時に、再生されたカットシーンを確認することができます。			真実と決断							
カットシーンを再生しますか？			カットシーンを再生しますか？			真実と決断							
砂の家のウリエンジェは、大迷宮バハムートの調査について告げたいことがあるようだ。			砂の家のウリエンジェは、大迷宮バハムートの調査について告げたいことがあるようだ。			ふたつの欠片							
前回までの冒険録：第七霊災を引き起こした蛮神「バハムート」が、いまだカルテノー平原の地下深くで顕現していることを突き止めた、冒険者とアリゼー。蛮神「バハムート」の復活を阻止するには、その修復を行っているアラグ帝国の機構「拘束艦」をすべて停止させなければならない。拘束艦を目指して進む冒険者たちの前に、蛮神「バハムート」の信者と化した、ガレマール帝国第VII軍団長「ネール」が立ちはだかった。熾烈な戦いの末、ついにネールを破った冒険者たち。ネールは、エオルゼア侵略のために「メテオ計劃」を進める中で、蛮神「バハムート」に魅入られたのだと語った。そして、ついに拘束艦へとたどりついた冒険者たちを、アリゼーの祖父、賢者「ルイゾワ」が強襲する。彼もまた、蛮神「バハムート」の信者となっていたのだ。冒険者たちはどうにか地上に帰還するも、悲しい戦いの予感はぬぐえないのだった……。　　　　　　　　　　　　*　*　*ウリエンジェとアリゼーから、残るダラガブの破片を見に行くことを提案された。まずは、東ザナラーンのバーニングウォールにいる「ルヴェユール家の使用人」を訪ねよう。			前回までの冒険録：第七霊災を引き起こした蛮神「バハムート」が、いまだカルテノー平原の地下深くで顕現していることを突き止めた、冒険者とアリゼー。蛮神「バハムート」の復活を阻止するには、その修復を行っているアラグ帝国の機構「拘束艦」をすべて停止させなければならない。拘束艦を目指して進む冒険者たちの前に、蛮神「バハムート」の信者と化した、ガレマール帝国第VII軍団長「ネール」が立ちはだかった。熾烈な戦いの末、ついにネールを破った冒険者たち。ネールは、エオルゼア侵略のために「メテオ計劃」を進める中で、蛮神「バハムート」に魅入られたのだと語った。そして、ついに拘束艦へとたどりついた冒険者たちを、アリゼーの祖父、賢者「ルイゾワ」が強襲する。彼もまた、蛮神「バハムート」の信者となっていたのだ。冒険者たちはどうにか地上に帰還するも、悲しい戦いの予感はぬぐえないのだった……。　　　　　　　　　　　　*　*　*ウリエンジェとアリゼーから、残るダラガブの破片を見に行くことを提案された。まずは、東ザナラーンのバーニングウォールにいる「ルヴェユール家の使用人」を訪ねよう。			ふたつの欠片							
ルヴェユール家の使用人を訪ねたが、破片内部への突入口は見つかっていないようだ。次は、モードゥナの唄う裂谷にいる「ルヴェユール家の使用人」を探して救助しよう。			ルヴェユール家の使用人を訪ねたが、破片内部への突入口は見つかっていないようだ。次は、モードゥナの唄う裂谷にいる「ルヴェユール家の使用人」を探して救助しよう。			ふたつの欠片							
ルヴェユール家の使用人を救助した。やはり調査の成果はなかったが、代わりにウリエンジェから朗報がもたらされた。北ザナラーンの青燐精製所にいる「ウリエンジェ」と話そう。			ルヴェユール家の使用人を救助した。やはり調査の成果はなかったが、代わりにウリエンジェから朗報がもたらされた。北ザナラーンの青燐精製所にいる「ウリエンジェ」と話そう。			ふたつの欠片							
ウリエンジェと話し、拘束艦への転送について聞いた。北ザナラーンのダラガブの爪付近にいる「アリゼー」と話そう。			ウリエンジェと話し、拘束艦への転送について聞いた。北ザナラーンのダラガブの爪付近にいる「アリゼー」と話そう。			ふたつの欠片							
アリゼーと話していたところ、アルフィノがやってきた。彼も今回の調査に同行するらしい。拘束艦への転送を任されている、青燐精製所の「アーケンラッド闘軍曹」と話そう。			アリゼーと話していたところ、アルフィノがやってきた。彼も今回の調査に同行するらしい。拘束艦への転送を任されている、青燐精製所の「アーケンラッド闘軍曹」と話そう。			ふたつの欠片							
アーケンラッド闘軍曹と話した。今回は、拘束艦の内部へ直接転送されるため、相当の危険を覚悟しておくよう忠告された。残る2つの拘束艦を停止させ、蛮神「バハムート」の復活を阻止するため、仲間とともに大迷宮に挑もう！※コンテンツファインダーから攻略に参加できます。			アーケンラッド闘軍曹と話した。今回は、拘束艦の内部へ直接転送されるため、相当の危険を覚悟しておくよう忠告された。残る2つの拘束艦を停止させ、蛮神「バハムート」の復活を阻止するため、仲間とともに大迷宮に挑もう！※コンテンツファインダーから攻略に参加できます。			ふたつの欠片							
バーニングウォールのルヴェユール家の使用人と話す			バーニングウォールのルヴェユール家の使用人と話す			ふたつの欠片							
唄う裂谷のルヴェユール家の使用人を救助する			唄う裂谷のルヴェユール家の使用人を救助する			ふたつの欠片							
青燐精製所のウリエンジェと話す			青燐精製所のウリエンジェと話す			ふたつの欠片							
アリゼーと話す			アリゼーと話す			ふたつの欠片							
アーケンラッド闘軍曹と話す			アーケンラッド闘軍曹と話す			ふたつの欠片							
未だ秘めたる謎の多き、第七霊災……。真実を求め進むほどに、苦難と悲哀に苛まれん……。			未だ秘めたる謎の多き、第七霊災……。真実を求め進むほどに、苦難と悲哀に苛まれん……。			ふたつの欠片							
……それでも、アリゼー様は進み続けるおつもりです。この険しき道に、あなたという「剣」の与えられんことを……。			……それでも、アリゼー様は進み続けるおつもりです。この険しき道に、あなたという「剣」の与えられんことを……。			ふたつの欠片							
……あら、あなたも来ていたのね。			……あら、あなたも来ていたのね。			ふたつの欠片							
これは、アリゼー様……。此度はどうしてこちらへ……？			これは、アリゼー様……。此度はどうしてこちらへ……？			ふたつの欠片							
次の「拘束艦」に突入するための準備が難航していてね……。たまには、あなたの意見を直接聞こうと思ったのよ。			次の「拘束艦」に突入するための準備が難航していてね……。たまには、あなたの意見を直接聞こうと思ったのよ。			ふたつの欠片							
Surnameもいてくれるなら、ちょうどいいわ。……本題に入る前に、今の状況を確認しましょう。			Surnameもいてくれるなら、ちょうどいいわ。……本題に入る前に、今の状況を確認しましょう。			ふたつの欠片							
知ってのとおり、私たちの倒すべき敵は「バハムート」……第七霊災の折、月の衛星「ダラガブ」より出でて、地上を焼き尽くした蛮神よ。			知ってのとおり、私たちの倒すべき敵は「バハムート」……第七霊災の折、月の衛星「ダラガブ」より出でて、地上を焼き尽くした蛮神よ。			ふたつの欠片							
奴は、カルテノー平原の地中深くで、まだ顕現し続けているわ。今は深手を負って修復中だけれど、いずれ完全な姿となれば、地上に出てくるかもしれない。			奴は、カルテノー平原の地中深くで、まだ顕現し続けているわ。今は深手を負って修復中だけれど、いずれ完全な姿となれば、地上に出てくるかもしれない。			ふたつの欠片							
そうなってしまう前に、私たちは、「バハムート」を修復している古代アラグ文明の機構……「拘束艦」を、すべて停止させなければならないの。			そうなってしまう前に、私たちは、「バハムート」を修復している古代アラグ文明の機構……「拘束艦」を、すべて停止させなければならないの。			ふたつの欠片							
「バハムート」の復活を阻止するには、もうひとつ……蛮神に祈りを捧げる者、すなわち信者の排除が必要です……。			「バハムート」の復活を阻止するには、もうひとつ……蛮神に祈りを捧げる者、すなわち信者の排除が必要です……。			ふたつの欠片							
彼の蛮神はすでに、第七霊災で散ったはずの、ガレマール帝国第VII軍団長「ネール」を己が信者として取り込んでいました……。			彼の蛮神はすでに、第七霊災で散ったはずの、ガレマール帝国第VII軍団長「ネール」を己が信者として取り込んでいました……。			ふたつの欠片							
ネールはあなたが討ちましたが……その言葉からは、さらなる信者の存在が予見されています。			ネールはあなたが討ちましたが……その言葉からは、さらなる信者の存在が予見されています。			ふたつの欠片							
……すくなくとも、テンパードがもうひとりいるのは確実よ。そう……賢者「ルイゾワ」……私のお祖父様がね……。			……すくなくとも、テンパードがもうひとりいるのは確実よ。そう……賢者「ルイゾワ」……私のお祖父様がね……。			ふたつの欠片							
アリゼー様……。我が師ルイゾワは、第七霊災の到来を防がんと、命を懸けて「バハムート」と戦われた……。			アリゼー様……。我が師ルイゾワは、第七霊災の到来を防がんと、命を懸けて「バハムート」と戦われた……。			ふたつの欠片							
信者となって現れしは、昔日を映す幻影にも等しく……囚われの魂が語るは、真を歪めし……虚実の言葉……。			信者となって現れしは、昔日を映す幻影にも等しく……囚われの魂が語るは、真を歪めし……虚実の言葉……。			ふたつの欠片							
……わかっているわ。相手が何であれ、私は絶対に歩みを止めたりしない。			……わかっているわ。相手が何であれ、私は絶対に歩みを止めたりしない。			ふたつの欠片							
お祖父様に代わって、エオルゼアを救済することこそが、私にできる、唯一の弔いなのだから……！			お祖父様に代わって、エオルゼアを救済することこそが、私にできる、唯一の弔いなのだから……！			ふたつの欠片							
だけど、実際の調査は、手詰まりになっていてね……。残り2つの拘束艦に繋がっていると思われる、「ダラガブの破片」への突入口が見つからないのよ。			だけど、実際の調査は、手詰まりになっていてね……。残り2つの拘束艦に繋がっていると思われる、「ダラガブの破片」への突入口が見つからないのよ。			ふたつの欠片							
一度……Forenameさんとともに……ダラガブの破片を、訪ねてみては如何でしょうか……。			一度……Forenameさんとともに……ダラガブの破片を、訪ねてみては如何でしょうか……。			ふたつの欠片							
たとえ道が開かずとも、いずれは挑む艱難……。目前にすることで、得られるものもあるかと……。私はここに残り……異なる解の来訪を待ちましょう……。			たとえ道が開かずとも、いずれは挑む艱難……。目前にすることで、得られるものもあるかと……。私はここに残り……異なる解の来訪を待ちましょう……。			ふたつの欠片							
異なる解……？……まあいいわ、私も現地にはしばらく行ってなかったしね。			異なる解……？……まあいいわ、私も現地にはしばらく行ってなかったしね。			ふたつの欠片							
それじゃあ、同行をお願いできるかしら？目的となるダラガブの破片は、東ザナラーンとモードゥナにあるの。			それじゃあ、同行をお願いできるかしら？目的となるダラガブの破片は、東ザナラーンとモードゥナにあるの。			ふたつの欠片							
まずは、東ザナラーン……「バーニングウォール」の破片に行ってみましょう。私の派遣した調査員がいるはずだから、訪ねてみて。			まずは、東ザナラーン……「バーニングウォール」の破片に行ってみましょう。私の派遣した調査員がいるはずだから、訪ねてみて。			ふたつの欠片							
あなたは、もしや……お嬢様に協力してくださっている、Surname殿ではありませんか？			あなたは、もしや……お嬢様に協力してくださっている、Surname殿ではありませんか？			ふたつの欠片							
ダラガブの破片の調査は進んだかしら。内部への突入口は見つかりそう？			ダラガブの破片の調査は進んだかしら。内部への突入口は見つかりそう？			ふたつの欠片							
お嬢様……申し訳ございません。全力で調査にあたっているものの、内部への道は、まだ……。			お嬢様……申し訳ございません。全力で調査にあたっているものの、内部への道は、まだ……。			ふたつの欠片							
ダラガブの破片は、ここからでも十分見える距離にあります。しかし、この地の特性が、調査を困難にしているのです。			ダラガブの破片は、ここからでも十分見える距離にあります。しかし、この地の特性が、調査を困難にしているのです。			ふたつの欠片							
この一帯には、おそらく大規模な地脈がある……。そのため、ダラガブの破片が突き刺さった際に、特に多量のエーテルが噴出したのでしょう。			この一帯には、おそらく大規模な地脈がある……。そのため、ダラガブの破片が突き刺さった際に、特に多量のエーテルが噴出したのでしょう。			ふたつの欠片							
噴き出たエーテルは「偏属性クリスタル」となり、破片の周辺に複雑な地形を作り上げました。……結果、破片への到達が、大変困難になっているのです。			噴き出たエーテルは「偏属性クリスタル」となり、破片の周辺に複雑な地形を作り上げました。……結果、破片への到達が、大変困難になっているのです。			ふたつの欠片							
どうにか接近できる箇所から探ってはいるものの……内部への突入口を見つけるには至っておりません。			どうにか接近できる箇所から探ってはいるものの……内部への突入口を見つけるには至っておりません。			ふたつの欠片							
そう……もどかしいけれど、仕方ないわね……。一刻も早く突入口を見つけられるよう、調査を続けてちょうだい。			そう……もどかしいけれど、仕方ないわね……。一刻も早く突入口を見つけられるよう、調査を続けてちょうだい。			ふたつの欠片							
……ここから破片を眺めていても、収穫はなさそうね。このまま、もうひとつの破片を見に行きましょう。モードゥナの「唄う裂谷」にあるはずだわ。			……ここから破片を眺めていても、収穫はなさそうね。このまま、もうひとつの破片を見に行きましょう。モードゥナの「唄う裂谷」にあるはずだわ。			ふたつの欠片							
僭越ながら、お嬢様……。実は、彼の地を担当している調査員との定時連絡が、先刻から途絶えているのです。			僭越ながら、お嬢様……。実は、彼の地を担当している調査員との定時連絡が、先刻から途絶えているのです。			ふたつの欠片							
「唄う裂谷」は、オーガが跋扈する危険な地。もしかすると、調査中に何かあったのかもしれません……。			「唄う裂谷」は、オーガが跋扈する危険な地。もしかすると、調査中に何かあったのかもしれません……。			ふたつの欠片							
なんですって！？だとしたら、なおさら急いで行くべきだわ……！			なんですって！？だとしたら、なおさら急いで行くべきだわ……！			ふたつの欠片							
Surname、力を貸してちょうだい。モードゥナの「唄う裂谷」で、調査員を探しましょう。			Surname、力を貸してちょうだい。モードゥナの「唄う裂谷」で、調査員を探しましょう。			ふたつの欠片							
「唄う裂谷」は、オーガが跋扈する危険な地。もしかすると、調査中に何かあったのかもしれません……。どうか、仲間とお嬢様を、よろしくおねがいします。			「唄う裂谷」は、オーガが跋扈する危険な地。もしかすると、調査中に何かあったのかもしれません……。どうか、仲間とお嬢様を、よろしくおねがいします。			ふたつの欠片							
ありがとうございます……！オーガに襲われて、こんな場所で動けなくなってしまい……。冒険者さんが来てくださって、助かりました。			ありがとうございます……！オーガに襲われて、こんな場所で動けなくなってしまい……。冒険者さんが来てくださって、助かりました。			ふたつの欠片							
危険な調査を任せてしまって、すまないわね。……それで、破片の内部へは突入できそうかしら？			危険な調査を任せてしまって、すまないわね。……それで、破片の内部へは突入できそうかしら？			ふたつの欠片							
どひゃぁ！　お、お嬢様……！わたくしめが不甲斐ないばかりに、こんな場所までご足労を！？も、もも、申し訳ございません！			どひゃぁ！　お、お嬢様……！わたくしめが不甲斐ないばかりに、こんな場所までご足労を！？も、もも、申し訳ございません！			ふたつの欠片							
わたくしが調査しているダラガブの破片は、この先にあるのですが……。			わたくしが調査しているダラガブの破片は、この先にあるのですが……。			ふたつの欠片							
ご覧のとおり、破片は鋭く大地に突き刺さっているものの、地上に露出しているのは、外郭のごく一部だけ……。突入できるような場所がないのでございます。			ご覧のとおり、破片は鋭く大地に突き刺さっているものの、地上に露出しているのは、外郭のごく一部だけ……。突入できるような場所がないのでございます。			ふたつの欠片							
破片のたもとを掘ってみるという手もありますが、このクリスタルの大地を、何ヤルム掘ればいいやら……。帝国製の掘削機があったとしても、途方もない作業です。			破片のたもとを掘ってみるという手もありますが、このクリスタルの大地を、何ヤルム掘ればいいやら……。帝国製の掘削機があったとしても、途方もない作業です。			ふたつの欠片							
……調査員として結論を出すのであれば、ここからの突入は、ほぼ不可能と言えるでしょう。			……調査員として結論を出すのであれば、ここからの突入は、ほぼ不可能と言えるでしょう。			ふたつの欠片							
参ったわね……。こうしている間にも、蛮神「バハムート」の修復は進んでる。ぐずぐずしている時間はないというのに……。			参ったわね……。こうしている間にも、蛮神「バハムート」の修復は進んでる。ぐずぐずしている時間はないというのに……。			ふたつの欠片							
ウリエンジェです……聞こえますか……？「暁」のリンクシェルで失礼します……。			ウリエンジェです……聞こえますか……？「暁」のリンクシェルで失礼します……。			ふたつの欠片							
待望せし、異なる解がもたらされました……。残る拘束艦へ、突入できるかもしれません……。			待望せし、異なる解がもたらされました……。残る拘束艦へ、突入できるかもしれません……。			ふたつの欠片							
詳しくは、直接ご説明いたしましょう……。アリゼー様をつれて……北ザナラーンの「青燐精製所」へお越しください……。			詳しくは、直接ご説明いたしましょう……。アリゼー様をつれて……北ザナラーンの「青燐精製所」へお越しください……。			ふたつの欠片							
拘束艦への突入方法が見つかった……！？いったい、どういうことなの？			拘束艦への突入方法が見つかった……！？いったい、どういうことなの？			ふたつの欠片							
……とにかく、「青燐精製所」で合流すればいいのね。Surname、急いで行ってみましょう！			……とにかく、「青燐精製所」で合流すればいいのね。Surname、急いで行ってみましょう！			ふたつの欠片							
