カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
……もともと、俺は無理矢理に徴兵された属州人だ。命と引き替えにしてまで、帝国に立てる義理はない。すべてを話そう。			……もともと、俺は無理矢理に徴兵された属州人だ。命と引き替えにしてまで、帝国に立てる義理はない。すべてを話そう。			悪逆無道							
……20年前、帝国軍は捕虜にした現地民たちを、お前たちと出会った、あのビターミルに住まわせた。ある兵器の開発実験のために……。			……20年前、帝国軍は捕虜にした現地民たちを、お前たちと出会った、あのビターミルに住まわせた。ある兵器の開発実験のために……。			悪逆無道							
当時帝国が開発していたのは、建造物を傷つけることなく、生物だけを死滅させることのできる猛毒の化学兵器……。通称「黒薔薇」だ。			当時帝国が開発していたのは、建造物を傷つけることなく、生物だけを死滅させることのできる猛毒の化学兵器……。通称「黒薔薇」だ。			悪逆無道							
……なんて愚かな。			……なんて愚かな。			悪逆無道							
実戦投入されれば、前線の兵士たちを消耗することなく、エオルゼアを制圧することができる……。			実戦投入されれば、前線の兵士たちを消耗することなく、エオルゼアを制圧することができる……。			悪逆無道							
そう考えた軍医師たちは、あの村を実験場に選び、被検体として捕虜たちを強制的に移住させたんだ。			そう考えた軍医師たちは、あの村を実験場に選び、被検体として捕虜たちを強制的に移住させたんだ。			悪逆無道							
実験は成功し、集められた捕虜たちはひとり残らず死に絶えた。「黒薔薇」の開発は完了し、あとは実戦投入を待つばかり……。			実験は成功し、集められた捕虜たちはひとり残らず死に絶えた。「黒薔薇」の開発は完了し、あとは実戦投入を待つばかり……。			悪逆無道							
そんなとき、鶴の一声で「黒薔薇」計画は中止となる。声をあげたのは、当時、アラミゴ準州の総督を務めていた、帝国軍第XIV軍団長、ガイウス・ヴァン・バエサル閣下だ。			そんなとき、鶴の一声で「黒薔薇」計画は中止となる。声をあげたのは、当時、アラミゴ準州の総督を務めていた、帝国軍第XIV軍団長、ガイウス・ヴァン・バエサル閣下だ。			悪逆無道							
ガイウス閣下は、エオルゼア人の虐殺を許さなかった。制圧作戦が完了した暁には、彼らはガレマール帝国の民となる……未来の自国民を無差別に殺すなど、仁義に反していると言ってな。			ガイウス閣下は、エオルゼア人の虐殺を許さなかった。制圧作戦が完了した暁には、彼らはガレマール帝国の民となる……未来の自国民を無差別に殺すなど、仁義に反していると言ってな。			悪逆無道							
その後、「黒薔薇」に関する物品は、すべて破棄されるはずだった。開発計画を主導した軍医師長が、完成していたサンプルを、持ち逃げしなければな……。			その後、「黒薔薇」に関する物品は、すべて破棄されるはずだった。開発計画を主導した軍医師長が、完成していたサンプルを、持ち逃げしなければな……。			悪逆無道							
件の軍医師長は、ほどなく追っ手に捕らえられたが、すでにサンプルをどこかに隠した後のことだった。様々な方法で口を割ろうと試みたが、未だに在処はわかっていない。			件の軍医師長は、ほどなく追っ手に捕らえられたが、すでにサンプルをどこかに隠した後のことだった。様々な方法で口を割ろうと試みたが、未だに在処はわかっていない。			悪逆無道							
捕らえたとき、軍医師長はすべての記憶を失っていたんだ。非道な実験を繰り返す内に、自我が崩壊していたのかもしれない。			捕らえたとき、軍医師長はすべての記憶を失っていたんだ。非道な実験を繰り返す内に、自我が崩壊していたのかもしれない。			悪逆無道							
……まさか、その人は……。			……まさか、その人は……。			悪逆無道							
ああ、そうだ。その人物こそ、お前たちが保護したという男……帝国軍第XIV軍団の軍医師長「グリエルメ」だ。			ああ、そうだ。その人物こそ、お前たちが保護したという男……帝国軍第XIV軍団の軍医師長「グリエルメ」だ。			悪逆無道							
さあ、「体格のいい帝国兵」から話を聞いてみましょう。何か情報が得られたらよいのですが……。			さあ、「体格のいい帝国兵」から話を聞いてみましょう。何か情報が得られたらよいのですが……。			悪逆無道							
……ビターミルで保護したみすぼらしい男が、かつて帝国で軍医師長を務めた人物だったとは……。			……ビターミルで保護したみすぼらしい男が、かつて帝国で軍医師長を務めた人物だったとは……。			悪逆無道							
有意義な証言を、ありがとうございます。ひとまず聞き取りはここまでにして、治療を再開してください。			有意義な証言を、ありがとうございます。ひとまず聞き取りはここまでにして、治療を再開してください。			悪逆無道							
……体格のいい帝国兵の話が本当なら、行方不明の捕虜たちは、化学兵器「黒薔薇」の犠牲になって亡くなったと……。何か、裏付ける証拠があればいいのですが。			……体格のいい帝国兵の話が本当なら、行方不明の捕虜たちは、化学兵器「黒薔薇」の犠牲になって亡くなったと……。何か、裏付ける証拠があればいいのですが。			悪逆無道							
いや、自軍の汚点を隠すために、証拠隠滅が行われていたとしても、村ひとつを対象にした実験の痕跡を消すことは、容易ではないはず。			いや、自軍の汚点を隠すために、証拠隠滅が行われていたとしても、村ひとつを対象にした実験の痕跡を消すことは、容易ではないはず。			悪逆無道							
地表は偽装工作されているかもしれませんが、その下には当時の状況を示す証拠が残っているかもしれません。「ビターミル」に行ってみましょう。			地表は偽装工作されているかもしれませんが、その下には当時の状況を示す証拠が残っているかもしれません。「ビターミル」に行ってみましょう。			悪逆無道							
俺の任務は、幽閉したグリエルメの監視と、ビターミルで行われた実験の痕跡を消すことだった。だが、あれだけの人間が死んだ跡を完全に消すことなど、不可能だ。			俺の任務は、幽閉したグリエルメの監視と、ビターミルで行われた実験の痕跡を消すことだった。だが、あれだけの人間が死んだ跡を完全に消すことなど、不可能だ。			悪逆無道							
それでは、手分けして周辺の「汚染された土壌」を、掘り起こしてみましょう。必ず、何かが残されているはずです……。			それでは、手分けして周辺の「汚染された土壌」を、掘り起こしてみましょう。必ず、何かが残されているはずです……。			悪逆無道							
ここには何も埋まっていないようだ。			ここには何も埋まっていないようだ。			悪逆無道							
地面を掘り進めると、金属製の容器が埋まっていた。……無闇に触れるのはやめたほうがよさそうだ。「タラ・モルコー少牙士」に報告しよう。			地面を掘り進めると、金属製の容器が埋まっていた。……無闇に触れるのはやめたほうがよさそうだ。「タラ・モルコー少牙士」に報告しよう。			悪逆無道							
あの帝国兵を疑うわけではありませんが、捕虜たちが惨たらしく殺されたなんて、信じたくありません。いっそ、何も見つからない方が……。			あの帝国兵を疑うわけではありませんが、捕虜たちが惨たらしく殺されたなんて、信じたくありません。いっそ、何も見つからない方が……。			悪逆無道							
おや、Forenameさん。何か見つけたんですか？			おや、Forenameさん。何か見つけたんですか？			悪逆無道							
なんと、金属製の容器を見つけたですって！それはもしかして、件の「黒薔薇」のサンプルでしょうか。			なんと、金属製の容器を見つけたですって！それはもしかして、件の「黒薔薇」のサンプルでしょうか。			悪逆無道							
ということは、あの帝国兵の話は本当だったんですね。……嘘ならどんなによかったか。			ということは、あの帝国兵の話は本当だったんですね。……嘘ならどんなによかったか。			悪逆無道							
……ううん、今は感傷に浸るより、「黒薔薇」をなんとかしないと。下手に触れると何が起こるかわかりません。まずはカストルム・オリエンスの「スウェスリク大牙将」に報告を。			……ううん、今は感傷に浸るより、「黒薔薇」をなんとかしないと。下手に触れると何が起こるかわかりません。まずはカストルム・オリエンスの「スウェスリク大牙将」に報告を。			悪逆無道							
スウェスリク大牙将、ご報告があります。			スウェスリク大牙将、ご報告があります。			悪逆無道							
我々が保護した男の正体がわかりました。帝国軍第XIV軍団所属の軍医師長で、名はグリエルメ。毒を用いた殺戮兵器「黒薔薇」を開発していた人物だったようです。			我々が保護した男の正体がわかりました。帝国軍第XIV軍団所属の軍医師長で、名はグリエルメ。毒を用いた殺戮兵器「黒薔薇」を開発していた人物だったようです。			悪逆無道							
ビターミルで追加調査を行った結果、「黒薔薇」のサンプルらしき、金属製の容器を発見しました。至急、回収のための部隊を派遣してください。			ビターミルで追加調査を行った結果、「黒薔薇」のサンプルらしき、金属製の容器を発見しました。至急、回収のための部隊を派遣してください。			悪逆無道							
ビターミルの地中に帝国の殺戮兵器が埋まっていることが判明した。急いで回収部隊を向かわせろ。			ビターミルの地中に帝国の殺戮兵器が埋まっていることが判明した。急いで回収部隊を向かわせろ。			悪逆無道							
それから……私たちが探していた消息不明の捕虜たちですが、「黒薔薇」の実証実験の犠牲になって、すでに……。			それから……私たちが探していた消息不明の捕虜たちですが、「黒薔薇」の実証実験の犠牲になって、すでに……。			悪逆無道							
あんな物があったら、いつまたそれを利用する者が現れるか……回収後は、必ず破棄してください。			あんな物があったら、いつまたそれを利用する者が現れるか……回収後は、必ず破棄してください。			悪逆無道							
わかった。必ず破棄させよう。			わかった。必ず破棄させよう。			悪逆無道							
軍医師長の処遇については、上の判断に任せることになるが、殺戮兵器の開発過程で、捕虜の虐殺を行うような人物だ。おそらく、重い処罰が下ることになるだろう。			軍医師長の処遇については、上の判断に任せることになるが、殺戮兵器の開発過程で、捕虜の虐殺を行うような人物だ。おそらく、重い処罰が下ることになるだろう。			悪逆無道							
……自分が誰だかわからなくなったとしても、犯した罪が消えるわけではないんですね……。			……自分が誰だかわからなくなったとしても、犯した罪が消えるわけではないんですね……。			悪逆無道							
何はともあれ、タラ・モルコー少牙士、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。今回の任務、ご苦労だった。心身共に疲弊していることだろう、十分な休息をとるように。			何はともあれ、タラ・モルコー少牙士、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。今回の任務、ご苦労だった。心身共に疲弊していることだろう、十分な休息をとるように。			悪逆無道							
さて、グリダニアに戻り、事件の報告書を作成しなければ……。帝国と同じ過ちを犯さないための、自戒となるよう。それが、双蛇党戦史課に所属する私の使命ですから。			さて、グリダニアに戻り、事件の報告書を作成しなければ……。帝国と同じ過ちを犯さないための、自戒となるよう。それが、双蛇党戦史課に所属する私の使命ですから。			悪逆無道							
Forenameさん、いろいろと助けていただき、ありがとうございました。さすがは「仮面殺し」の英雄……とても頼もしかったです。			Forenameさん、いろいろと助けていただき、ありがとうございました。さすがは「仮面殺し」の英雄……とても頼もしかったです。			悪逆無道							
それでは、失礼します。いつか、あなたの英雄譚を書き記す日を楽しみにしています。			それでは、失礼します。いつか、あなたの英雄譚を書き記す日を楽しみにしています。			悪逆無道							
ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
メ・ラツ・ヌンは、過去に起こった魔物の暴走について、カリヤナ派のアナンタ族が絡んでいるという。ギラバニア辺境地帯の「イーストエンド混交林」で、カリヤナ派のアナンタ族を探そう。			メ・ラツ・ヌンは、過去に起こった魔物の暴走について、カリヤナ派のアナンタ族が絡んでいるという。ギラバニア辺境地帯の「イーストエンド混交林」で、カリヤナ派のアナンタ族を探そう。			大精霊が宿る木							
タラ・モルコー少牙士が、カリヤナ派のアナンタ族に襲われていた。「タラ・モルコー少牙士」を救助しよう。			タラ・モルコー少牙士が、カリヤナ派のアナンタ族に襲われていた。「タラ・モルコー少牙士」を救助しよう。			大精霊が宿る木							
カリヤナ派のアナンタ族に襲われている、タラ・モルコー少牙士を救助した。タラ・モルコー少牙士は、賢者の木が淀んだ原因を調査しにきていたようだ。イーストエンド混交林の「賢者の木」を調べよう。			カリヤナ派のアナンタ族に襲われている、タラ・モルコー少牙士を救助した。タラ・モルコー少牙士は、賢者の木が淀んだ原因を調査しにきていたようだ。イーストエンド混交林の「賢者の木」を調べよう。			大精霊が宿る木							
賢者の木になる実には、魔物を暴走させる効果があるらしい。原因は、木の根元に埋められていた毒性化学兵器「黒薔薇」の煙を、木が吸い上げていたからだという。メ・ゼト・ティアは、捕らえたカリヤナ派のアナンタ族を連れて、ピーリングストーンズへ、タラ・モルコー少牙士は、「黒薔薇」の貯蔵容器回収を依頼するため、カストルム・オリエンスへと向かった。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			賢者の木になる実には、魔物を暴走させる効果があるらしい。原因は、木の根元に埋められていた毒性化学兵器「黒薔薇」の煙を、木が吸い上げていたからだという。メ・ゼト・ティアは、捕らえたカリヤナ派のアナンタ族を連れて、ピーリングストーンズへ、タラ・モルコー少牙士は、「黒薔薇」の貯蔵容器回収を依頼するため、カストルム・オリエンスへと向かった。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			大精霊が宿る木							
メ・ラツ・ヌンによると、ウィルラ派のアナンタ族とは、これまで友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかったという。それだけに、カリヤナ派のアナンタ族が事件の黒幕だったことに驚いたようだ。さらに、メ・ラツ・ヌンは、メ・ゼト・ティアがピーリングストーンズの「ティア」らしくなってきたことに言及し、冒険者が紡いだ絆が、メ族の未来を築いていくことを信じていると締めくくった。			メ・ラツ・ヌンによると、ウィルラ派のアナンタ族とは、これまで友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかったという。それだけに、カリヤナ派のアナンタ族が事件の黒幕だったことに驚いたようだ。さらに、メ・ラツ・ヌンは、メ・ゼト・ティアがピーリングストーンズの「ティア」らしくなってきたことに言及し、冒険者が紡いだ絆が、メ族の未来を築いていくことを信じていると締めくくった。			大精霊が宿る木							
カリヤナ派のアナンタ族を探す			カリヤナ派のアナンタ族を探す			大精霊が宿る木							
タラ・モルコー少牙士を救助			タラ・モルコー少牙士を救助			大精霊が宿る木							
賢者の木を調べる			賢者の木を調べる			大精霊が宿る木							
メ・ラツ・ヌンと話す			メ・ラツ・ヌンと話す			大精霊が宿る木							
ときに客人よ……。冒険者としてのお前に、仕事を依頼することはできようか？			ときに客人よ……。冒険者としてのお前に、仕事を依頼することはできようか？			大精霊が宿る木							
メ・ゼトの父親が命を墜とすことになった、魔物の暴走についてだが、少しばかり嫌な噂を耳にしてな……。なんと、カリヤナ派のアナンタ族が絡んでいたというのだ。			メ・ゼトの父親が命を墜とすことになった、魔物の暴走についてだが、少しばかり嫌な噂を耳にしてな……。なんと、カリヤナ派のアナンタ族が絡んでいたというのだ。			大精霊が宿る木							
カリヤナ派と言えば、内向的な一派だけに信じがたいが、同じアナンタ族から伝え聞いた話となれば、無視できない。			カリヤナ派と言えば、内向的な一派だけに信じがたいが、同じアナンタ族から伝え聞いた話となれば、無視できない。			大精霊が宿る木							
そこで、勇敢な冒険者であるお前に、噂の真偽を調査してもらいたいのだ。			そこで、勇敢な冒険者であるお前に、噂の真偽を調査してもらいたいのだ。			大精霊が宿る木							
実は時を同じくして、カリヤナ派が不可解な動きを見せている。滅多に縄張りを出ない連中が、ベロジナ川を渡り、西のイーストエンド混交林に向かったのだ。			実は時を同じくして、カリヤナ派が不可解な動きを見せている。滅多に縄張りを出ない連中が、ベロジナ川を渡り、西のイーストエンド混交林に向かったのだ。			大精霊が宿る木							
どうにも胸騒ぎがする……。すまないが、「イーストエンド混交林」に向かい、カリヤナ派のアナンタ族の動向を探ってくれ！			どうにも胸騒ぎがする……。すまないが、「イーストエンド混交林」に向かい、カリヤナ派のアナンタ族の動向を探ってくれ！			大精霊が宿る木							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			大精霊が宿る木							
奴ら……「イーストエンド混交林」で、いったい何をするつもりだ。			奴ら……「イーストエンド混交林」で、いったい何をするつもりだ。			大精霊が宿る木							
Forenameさん、ありがとうございます。……なんだか、以前にもこういうことがあったような……それはさておき。			Forenameさん、ありがとうございます。……なんだか、以前にもこういうことがあったような……それはさておき。			大精霊が宿る木							
あれから私は、この地の郷土史について調査していました。その過程で、かつてこの大樹が「大精霊が宿る木」として、地元の住民に祀られていたことを知ったんです。			あれから私は、この地の郷土史について調査していました。その過程で、かつてこの大樹が「大精霊が宿る木」として、地元の住民に祀られていたことを知ったんです。			大精霊が宿る木							
ですが、それは帝国軍が来る前までの話……。現在はこのとおり、禍々しく淀んでしまっています。			ですが、それは帝国軍が来る前までの話……。現在はこのとおり、禍々しく淀んでしまっています。			大精霊が宿る木							
そこで、淀みの原因を探ろうと来てみたら、アナンタ族から襲撃を受けたというわけです。ところで、Forenameさんは、なぜここに？			そこで、淀みの原因を探ろうと来てみたら、アナンタ族から襲撃を受けたというわけです。ところで、Forenameさんは、なぜここに？			大精霊が宿る木							
アナンタ族が、魔物を暴走させた疑惑があるですって？うーん、その事件と、彼女たちの動向が結びつくかは謎ですが、とにもかくにも、賢者の木を調べてみましょう。			アナンタ族が、魔物を暴走させた疑惑があるですって？うーん、その事件と、彼女たちの動向が結びつくかは謎ですが、とにもかくにも、賢者の木を調べてみましょう。			大精霊が宿る木							
カリヤナ派のアナンタ族が、なぜこんなところまで、やって来ていたのか……動機に繋がる何かが、見つかるかもしれませんよ。			カリヤナ派のアナンタ族が、なぜこんなところまで、やって来ていたのか……動機に繋がる何かが、見つかるかもしれませんよ。			大精霊が宿る木							
木の幹から、鼻をつくような刺激臭が漂ってくる……。ほかの場所も調べてみよう。			木の幹から、鼻をつくような刺激臭が漂ってくる……。ほかの場所も調べてみよう。			大精霊が宿る木							
木の根元から、微かに煙のようなものが吹き出している……。			木の根元から、微かに煙のようなものが吹き出している……。			大精霊が宿る木							
枝葉の先に、毒々しい色の実をつけている。とても食べる気にはなれない……。ほかの場所も調べてみよう。			枝葉の先に、毒々しい色の実をつけている。とても食べる気にはなれない……。ほかの場所も調べてみよう。			大精霊が宿る木							
何かあったんですか？			何かあったんですか？			大精霊が宿る木							
これは……例の化学兵器「黒薔薇」の貯蔵容器でしょうか？廃村ビターミルのほかにも隠されていたとは……。			これは……例の化学兵器「黒薔薇」の貯蔵容器でしょうか？廃村ビターミルのほかにも隠されていたとは……。			大精霊が宿る木							
アナンタ族が隠したのでしょうか。彼女たちは、これを使って何をするつもりだったんでしょう。			アナンタ族が隠したのでしょうか。彼女たちは、これを使って何をするつもりだったんでしょう。			大精霊が宿る木							
(-聞き覚えのある声-)師匠～！			(-聞き覚えのある声-)師匠～！			大精霊が宿る木							
ご無事ですか……！って、そんな意外そうな顔をしないでください。オレだって、成長しているんですよ！			ご無事ですか……！って、そんな意外そうな顔をしないでください。オレだって、成長しているんですよ！			大精霊が宿る木							
それより聞いてください！実は、ちょっと耳に入れておきたいことがあって、メ・ラツ・ヌンに話を聞いて、追いかけて来たんですよ！			それより聞いてください！実は、ちょっと耳に入れておきたいことがあって、メ・ラツ・ヌンに話を聞いて、追いかけて来たんですよ！			大精霊が宿る木							
あれから、親父の最期を看取った、ウィルラ派のアナンタ族を探して、礼をしに行ったんです。そうしたら、妙なことを言い出すじゃないですか！			あれから、親父の最期を看取った、ウィルラ派のアナンタ族を探して、礼をしに行ったんです。そうしたら、妙なことを言い出すじゃないですか！			大精霊が宿る木							
カリヤナ派が、魔物を惑わす不思議な木の実を使って、メ族の縄張りを奪おうとしたのだ……ってね。そう、オレの親父が命がけで止めた魔物の暴走のことです。			カリヤナ派が、魔物を惑わす不思議な木の実を使って、メ族の縄張りを奪おうとしたのだ……ってね。そう、オレの親父が命がけで止めた魔物の暴走のことです。			大精霊が宿る木							
魔物を惑わす木の実……ですか。さきほど、Forenameさんが、見つけてくれた実がもしかして……。			魔物を惑わす木の実……ですか。さきほど、Forenameさんが、見つけてくれた実がもしかして……。			大精霊が宿る木							
根元に隠されていた「黒薔薇」の成分を吸った大樹が変異を遂げ、奇妙な副作用を持つ実をつけたのかもしれませんよ。仮説に過ぎませんが……。			根元に隠されていた「黒薔薇」の成分を吸った大樹が変異を遂げ、奇妙な副作用を持つ実をつけたのかもしれませんよ。仮説に過ぎませんが……。			大精霊が宿る木							
ここにカリヤナ派がいたってことは、帝国軍が去り、川を渡りやすくなったのをいいことに、実を採りに来たんだ。再び魔物を暴走させ、メ族の里を襲わせるために……！			ここにカリヤナ派がいたってことは、帝国軍が去り、川を渡りやすくなったのをいいことに、実を採りに来たんだ。再び魔物を暴走させ、メ族の里を襲わせるために……！			大精霊が宿る木							
自らの手を汚さずに、魔物をけしかけて集落を奪おうというのが、いかにも戦いを嫌う、カリヤナ派のアナンタ族らしいやり口だ。そうしてメ族を追い出せば、奴らは縄張りを広げられる！			自らの手を汚さずに、魔物をけしかけて集落を奪おうというのが、いかにも戦いを嫌う、カリヤナ派のアナンタ族らしいやり口だ。そうしてメ族を追い出せば、奴らは縄張りを広げられる！			大精霊が宿る木							
師匠たちのおかげで、奴らの思惑は未然に打ち砕かれたようですが。			師匠たちのおかげで、奴らの思惑は未然に打ち砕かれたようですが。			大精霊が宿る木							
さて……こいつらは親父の仇……この場で殺してやりたいが、今のオレはメ族の一員。ピーリングストーンズへ連れ帰り、「ヌン」の判断を仰ぐ。			さて……こいつらは親父の仇……この場で殺してやりたいが、今のオレはメ族の一員。ピーリングストーンズへ連れ帰り、「ヌン」の判断を仰ぐ。			大精霊が宿る木							
Forename師匠が繋いでくれた絆を、復讐で断ち切るわけにはいきません。			Forename師匠が繋いでくれた絆を、復讐で断ち切るわけにはいきません。			大精霊が宿る木							
私は、スウェスリク大牙将にお願いして、「黒薔薇」の貯蔵容器を回収してもらわなければ。			私は、スウェスリク大牙将にお願いして、「黒薔薇」の貯蔵容器を回収してもらわなければ。			大精霊が宿る木							
「仮面殺し」の英雄……いえ、Forenameさん。今回も助けていただいて、ありがとうございました。			「仮面殺し」の英雄……いえ、Forenameさん。今回も助けていただいて、ありがとうございました。			大精霊が宿る木							
それでは、失礼します。またお会いできる日を楽しみにしていますよ。			それでは、失礼します。またお会いできる日を楽しみにしていますよ。			大精霊が宿る木							
この匂い……以前にもどこかで……？			この匂い……以前にもどこかで……？			大精霊が宿る木							
冒険者の客人よ、帰ったか。では、聞かせてもらおう、お前の見てきたことを。			冒険者の客人よ、帰ったか。では、聞かせてもらおう、お前の見てきたことを。			大精霊が宿る木							
やはり、噂は本当だったか。これまで、ウィルラ派とは友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかった。			やはり、噂は本当だったか。これまで、ウィルラ派とは友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかった。			大精霊が宿る木							
それだけに油断していたが、よもや一連の事件の黒幕だったとは……。			それだけに油断していたが、よもや一連の事件の黒幕だったとは……。			大精霊が宿る木							
捕らえたカリヤナ派から、たっぷりと話を聞き、メ族の「ヌン」として、処遇を検討するとしよう……。			捕らえたカリヤナ派から、たっぷりと話を聞き、メ族の「ヌン」として、処遇を検討するとしよう……。			大精霊が宿る木							
それにしても、あのメ・ゼトが私の判断を仰ごうとするとは……ヤツも「ティア」らしくなってきたではないか。			それにしても、あのメ・ゼトが私の判断を仰ごうとするとは……ヤツも「ティア」らしくなってきたではないか。			大精霊が宿る木							
すべてはお前のおかげだ。お前の清廉なる義勇に、心より感謝している。この絆が、メ族の未来を築いてくれるものと信じているぞ。			すべてはお前のおかげだ。お前の清廉なる義勇に、心より感謝している。この絆が、メ族の未来を築いてくれるものと信じているぞ。			大精霊が宿る木							
パイクフォールズのメ・ゼト・ティアは、元気を取り戻したようだ。			パイクフォールズのメ・ゼト・ティアは、元気を取り戻したようだ。			剣に誓う							
メ・ゼト・ティアは、体力を取り戻したことで、再びメ・ラツ・ヌンに決闘を申し込むという。ギラバニア辺境地帯のピーリングストーンズにいる「メ・ラツ・ヌン」と話そう。			メ・ゼト・ティアは、体力を取り戻したことで、再びメ・ラツ・ヌンに決闘を申し込むという。ギラバニア辺境地帯のピーリングストーンズにいる「メ・ラツ・ヌン」と話そう。			剣に誓う							
メ・ラツ・ヌンは、メ・ゼト・ティアとの決闘に応える気でいるようだ。決闘の舞台に指定された、ピーリングストーンズ南東の指定地点で待機しよう。			メ・ラツ・ヌンは、メ・ゼト・ティアとの決闘に応える気でいるようだ。決闘の舞台に指定された、ピーリングストーンズ南東の指定地点で待機しよう。			剣に誓う							
メ・ゼト・ティアの父、メ・アト・ヌンは、息子を捨てて逃げたわけではなく、一族のために戦って命を落としたという。ピーリングストーンズ南東の谷間で「メ・ゼト・ティア」と話そう。			メ・ゼト・ティアの父、メ・アト・ヌンは、息子を捨てて逃げたわけではなく、一族のために戦って命を落としたという。ピーリングストーンズ南東の谷間で「メ・ゼト・ティア」と話そう。			剣に誓う							
メ・ゼト・ティアは、かつて父が守ろうとしたものを守れる男になると決意する。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			メ・ゼト・ティアは、かつて父が守ろうとしたものを守れる男になると決意する。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			剣に誓う							
メ・ラツ・ヌンは、メ・ゼト・ティアが自由人として集落で暮らすことを許した。偉大な「ヌン」である父を目指し、日々研鑽に励むことを誓ったメ・ゼト・ティアは、そのときがきたら、師匠である冒険者に、再び手合わせしてほしいと頼むのだった。			メ・ラツ・ヌンは、メ・ゼト・ティアが自由人として集落で暮らすことを許した。偉大な「ヌン」である父を目指し、日々研鑽に励むことを誓ったメ・ゼト・ティアは、そのときがきたら、師匠である冒険者に、再び手合わせしてほしいと頼むのだった。			剣に誓う							
メ・ラツ・ヌンと話す			メ・ラツ・ヌンと話す			剣に誓う							
指定地点で待機			指定地点で待機			剣に誓う							
メ・ゼト・ティアと話す			メ・ゼト・ティアと話す			剣に誓う							
メ・ラツ・ヌンと話す			メ・ラツ・ヌンと話す			剣に誓う							
よし……だいぶ回復しました。なんだか、腹の周りが見たことのない色になってますけど、たぶん大丈夫です！			よし……だいぶ回復しました。なんだか、腹の周りが見たことのない色になってますけど、たぶん大丈夫です！			剣に誓う							
オレはこれから、再び「ヌン」に決闘を挑みます。師匠には、立会人をお願いできますか？			オレはこれから、再び「ヌン」に決闘を挑みます。師匠には、立会人をお願いできますか？			剣に誓う							
ありがとうございます……師匠には、感謝してもしきれません。			ありがとうございます……師匠には、感謝してもしきれません。			剣に誓う							
では、行きましょう！ピーリングストーンズの「メ・ラツ・ヌン」の下へ！			では、行きましょう！ピーリングストーンズの「メ・ラツ・ヌン」の下へ！			剣に誓う							
再び、私の前に立ったということは、「ヌン」の座を懸けた決闘を所望する、ということでいいのだな？			再び、私の前に立ったということは、「ヌン」の座を懸けた決闘を所望する、ということでいいのだな？			剣に誓う							
ああ。今度こそお前を倒し、オレが「ヌン」になる！			ああ。今度こそお前を倒し、オレが「ヌン」になる！			剣に誓う							
いいだろう……。決闘は、ここより南東の谷間で行う。			いいだろう……。決闘は、ここより南東の谷間で行う。			剣に誓う							
なんだよ、ここでやるんじゃないのか？仲間の前で無様な負け姿を見せたくないってか！			なんだよ、ここでやるんじゃないのか？仲間の前で無様な負け姿を見せたくないってか！			剣に誓う							
まあいいさ、南東の谷間だな？師匠、行きましょう！			まあいいさ、南東の谷間だな？師匠、行きましょう！			剣に誓う							
逃げずに来たのは褒めてやろう。だが、今日でお前の「ヌン」の座は……			逃げずに来たのは褒めてやろう。だが、今日でお前の「ヌン」の座は……			剣に誓う							
メ・ゼト・ティアよ。決闘の前に、少し話したいことがある。			メ・ゼト・ティアよ。決闘の前に、少し話したいことがある。			剣に誓う							
話だと？			話だと？			剣に誓う							
これは、ウィルラ派のアナンタ族から聞いた話だ。			これは、ウィルラ派のアナンタ族から聞いた話だ。			剣に誓う							
彼女たちは20年前、とある子連れの男と出会ったそうだ。			彼女たちは20年前、とある子連れの男と出会ったそうだ。			剣に誓う							
男は、かつてメ族の「ヌン」であったが、縄張りの縮小をキッカケに、その座を退き集落を離れた。以降は、集落の外より、一族を見守り続けていたという。			男は、かつてメ族の「ヌン」であったが、縄張りの縮小をキッカケに、その座を退き集落を離れた。以降は、集落の外より、一族を見守り続けていたという。			剣に誓う							
だが、あるとき、この涸れ谷の一角で異常事態が起こった。谷間に棲む魔物たちが、異様な興奮状態に陥り、暴走を始めたのだ……。			だが、あるとき、この涸れ谷の一角で異常事態が起こった。谷間に棲む魔物たちが、異様な興奮状態に陥り、暴走を始めたのだ……。			剣に誓う							
魔物たちは、何かに操られるように、ある場所を目指した。メ族たちが住む集落、「ピーリングストーンズ」だ。			魔物たちは、何かに操られるように、ある場所を目指した。メ族たちが住む集落、「ピーリングストーンズ」だ。			剣に誓う							
