リサーチA4のジャミングウェイは、考えごとをしているようだ。			リサーチA4のジャミングウェイは、考えごとをしているようだ。			希望と夢をカートに詰めて							
アチャラさんのヒッポカートが、大変なことになっています！あれは、サベネア島のおまじないで使う色粉でしょうか？			アチャラさんのヒッポカートが、大変なことになっています！あれは、サベネア島のおまじないで使う色粉でしょうか？			宇宙の果てで最高のレースを！							
虹色粉が好きなのは、トルナさんのヒッポだよねぇ？対抗して投げちゃったのかなっ？			虹色粉が好きなのは、トルナさんのヒッポだよねぇ？対抗して投げちゃったのかなっ？			宇宙の果てで最高のレースを！							
このハプニングで、トルナさんのヒッポカートが急加速です！			このハプニングで、トルナさんのヒッポカートが急加速です！			宇宙の果てで最高のレースを！							
アチャラさんとForenameさんを抜いて、2位に躍り出ました！			アチャラさんとForenameさんを抜いて、2位に躍り出ました！			宇宙の果てで最高のレースを！							
このレースで優勝するためには、1位のラーラーと2位のヒッポカートを追い越す必要がある……。			このレースで優勝するためには、1位のラーラーと2位のヒッポカートを追い越す必要がある……。			宇宙の果てで最高のレースを！							
このムーンホッパーは、オレっちが改良しておいたから、いつもの「ホップステップ！」は特別仕様だし、「ブーストシステム」もついてる！			このムーンホッパーは、オレっちが改良しておいたから、いつもの「ホップステップ！」は特別仕様だし、「ブーストシステム」もついてる！			宇宙の果てで最高のレースを！							
ただ、どっちもそれなりにエネルギーを食うから、使いどころはちゃんと見極めてくれよな！			ただ、どっちもそれなりにエネルギーを食うから、使いどころはちゃんと見極めてくれよな！			宇宙の果てで最高のレースを！							
どうする？			どうする？			宇宙の果てで最高のレースを！							
とにかくブースト全開で、トルナもラーラーも抜き去る			とにかくブースト全開で、トルナもラーラーも抜き去る			宇宙の果てで最高のレースを！							
ブーストでトルナを抜き、ホップステップでラーラーの気を引く			ブーストでトルナを抜き、ホップステップでラーラーの気を引く			宇宙の果てで最高のレースを！							
ホップステップでヒッポの気を引き、ブーストでラーラーを抜く			ホップステップでヒッポの気を引き、ブーストでラーラーを抜く			宇宙の果てで最高のレースを！							
ブースト全開では、とてもではないが最後まで、エネルギーが保たないだろう。			ブースト全開では、とてもではないが最後まで、エネルギーが保たないだろう。			宇宙の果てで最高のレースを！							
ブーストを使えば、トルナのヒッポカートは抜けるだろう。だが、ラーラーはニビラーンが変身したものであり、レースに集中している彼の気を引けない可能性が高い……。			ブーストを使えば、トルナのヒッポカートは抜けるだろう。だが、ラーラーはニビラーンが変身したものであり、レースに集中している彼の気を引けない可能性が高い……。			宇宙の果てで最高のレースを！							
おおぉ～、ヒッポが止まったよ！ぼくの作ったゴキゲンな曲に、聞き惚れちゃったのかなっ？			おおぉ～、ヒッポが止まったよ！ぼくの作ったゴキゲンな曲に、聞き惚れちゃったのかなっ？			宇宙の果てで最高のレースを！							
ここで仕掛けたムーンホッパーが、2位に浮上！トルナさんが「ずるいぞ、助言役ー！」と叫んでいます！			ここで仕掛けたムーンホッパーが、2位に浮上！トルナさんが「ずるいぞ、助言役ー！」と叫んでいます！			宇宙の果てで最高のレースを！							
ムーンホッパーが一気に加速していきます！ゴールまで残り僅か……ラーラーに追いつけるでしょうか！？			ムーンホッパーが一気に加速していきます！ゴールまで残り僅か……ラーラーに追いつけるでしょうか！？			宇宙の果てで最高のレースを！							
N-7000によるゴールの判定がでました！			N-7000によるゴールの判定がでました！			宇宙の果てで最高のレースを！							
僅差で、ムーンホッパーが優勝です！Forenameさん、おめでとうございます！			僅差で、ムーンホッパーが優勝です！Forenameさん、おめでとうございます！			宇宙の果てで最高のレースを！							
理解ができない……。			理解ができない……。			宇宙の果てで最高のレースを！							
当個体は適切な形態をとり、最適なコースを走行した。だというのに、なぜ負けたのか理解ができない。			当個体は適切な形態をとり、最適なコースを走行した。だというのに、なぜ負けたのか理解ができない。			宇宙の果てで最高のレースを！							
ああ……凪いだはずの「心」が波立っている。このような「悔しい」という感情を持ったのは久しいことだ。			ああ……凪いだはずの「心」が波立っている。このような「悔しい」という感情を持ったのは久しいことだ。			宇宙の果てで最高のレースを！							
絶対に勝てると思っていようが負けることはあるし、強いヤツと競り合って、ギリギリのところで勝てることもある。			絶対に勝てると思っていようが負けることはあるし、強いヤツと競り合って、ギリギリのところで勝てることもある。			宇宙の果てで最高のレースを！							
最後まで勝敗がわからねぇからこそ、ワクワクする……。どうだ、レースって最高におもしろいだろ！			最後まで勝敗がわからねぇからこそ、ワクワクする……。どうだ、レースって最高におもしろいだろ！			宇宙の果てで最高のレースを！							
悔しいってことは、次は勝ちたいってことでしょ？			悔しいってことは、次は勝ちたいってことでしょ？			宇宙の果てで最高のレースを！							
ニビラーンさん、「レースに勝ちたい」っていう夢が見つかってよかったねぇ！			ニビラーンさん、「レースに勝ちたい」っていう夢が見つかってよかったねぇ！			宇宙の果てで最高のレースを！							
当個体は、いつかまたレースで勝負をしたいと感じている。次は、勝ちたい……。			当個体は、いつかまたレースで勝負をしたいと感じている。次は、勝ちたい……。			宇宙の果てで最高のレースを！							
何と言う？			何と言う？			宇宙の果てで最高のレースを！							
ぜひ、またやろう！			ぜひ、またやろう！			宇宙の果てで最高のレースを！							
今度は負けちゃうかもしれないなぁ……			今度は負けちゃうかもしれないなぁ……			宇宙の果てで最高のレースを！							
いかにしてレースで勝利を収めるか、ここの客人たちと、カフェで意見を交換する価値がありそうだ。			いかにしてレースで勝利を収めるか、ここの客人たちと、カフェで意見を交換する価値がありそうだ。			宇宙の果てで最高のレースを！							
ガガガ……当機は、本レースの実施により、宙域内のデュナミスへ好影響が及んだものと評価します。			ガガガ……当機は、本レースの実施により、宙域内のデュナミスへ好影響が及んだものと評価します。			宇宙の果てで最高のレースを！							
そして、「夢」とはすなわち「未来への希望」……。希望を語らうカフェにしたいというジャミングウェイの理想に、また一歩近づいたと言えるでしょう。			そして、「夢」とはすなわち「未来への希望」……。希望を語らうカフェにしたいというジャミングウェイの理想に、また一歩近づいたと言えるでしょう。			宇宙の果てで最高のレースを！							
ガガガ……同盟者の優勝を称賛します。次回のレースに向けて自己進化機能を持つオメガクラスを生産し、検証を重ねて最速を追求したいと思います。			ガガガ……同盟者の優勝を称賛します。次回のレースに向けて自己進化機能を持つオメガクラスを生産し、検証を重ねて最速を追求したいと思います。			宇宙の果てで最高のレースを！							
いやぁ、ウチの助言役は容赦がねぇな！けど、おまえとレースができて、最高に楽しかったぜ。			いやぁ、ウチの助言役は容赦がねぇな！けど、おまえとレースができて、最高に楽しかったぜ。			宇宙の果てで最高のレースを！							
虹色粉、やっぱりダメ……悔しい！オデのヒッポ、何が好きか、調べる……。			虹色粉、やっぱりダメ……悔しい！オデのヒッポ、何が好きか、調べる……。			宇宙の果てで最高のレースを！							
とっても素敵なレースになって、よかったですねぇ～！			とっても素敵なレースになって、よかったですねぇ～！			宇宙の果てで最高のレースを！							
この混沌としたレースを制するとは、さすがForenameさんだ。			この混沌としたレースを制するとは、さすがForenameさんだ。			宇宙の果てで最高のレースを！							
オレっちの改良とお前さんの采配で、宇宙一をつかみ取れたな！ナーッハッハッハ！！			オレっちの改良とお前さんの采配で、宇宙一をつかみ取れたな！ナーッハッハッハ！！			宇宙の果てで最高のレースを！							
Forename、おめでとう！ほんと、何でも器用にこなすから尊敬しちゃうなぁ！			Forename、おめでとう！ほんと、何でも器用にこなすから尊敬しちゃうなぁ！			宇宙の果てで最高のレースを！							
Forename殿、おつかれさまデス！レポリットの乗り物で優勝してくれるなんて、オイラ、感動しちゃいました！			Forename殿、おつかれさまデス！レポリットの乗り物で優勝してくれるなんて、オイラ、感動しちゃいました！			宇宙の果てで最高のレースを！							
それに、アナタが勝ってくれたおかげで、ニビラーンにとっても価値のあるレースになったみたいデスね！N-7000からレース後の様子を教えてもらって、ホッとしました。			それに、アナタが勝ってくれたおかげで、ニビラーンにとっても価値のあるレースになったみたいデスね！N-7000からレース後の様子を教えてもらって、ホッとしました。			宇宙の果てで最高のレースを！							
さて……まだレースの余韻に浸っているところデスけど、片付けも終わったことだし、そろそろお開きにしないと……。			さて……まだレースの余韻に浸っているところデスけど、片付けも終わったことだし、そろそろお開きにしないと……。			宇宙の果てで最高のレースを！							
おつかれさん。最初はどうなることかと思ったけど、アタイもこのレースを存分に楽しませてもらったぜ！			おつかれさん。最初はどうなることかと思ったけど、アタイもこのレースを存分に楽しませてもらったぜ！			宇宙の果てで最高のレースを！							
もうちっとゆっくりしたいところだけどよ、舎弟たちに仕事を任せっぱなしってわけにもいかねぇからな。ぼちぼち、サベネア島に引き上げようと思ってる。			もうちっとゆっくりしたいところだけどよ、舎弟たちに仕事を任せっぱなしってわけにもいかねぇからな。ぼちぼち、サベネア島に引き上げようと思ってる。			宇宙の果てで最高のレースを！							
ぼくたちも、ラジオの仮設ブースを解体しおわったから、そろそろドリーミング・ワークショップに戻るねぇ～！			ぼくたちも、ラジオの仮設ブースを解体しおわったから、そろそろドリーミング・ワークショップに戻るねぇ～！			宇宙の果てで最高のレースを！							
楽しくて賑やかなレースになったぶん、なんだか寂しいデスね。			楽しくて賑やかなレースになったぶん、なんだか寂しいデスね。			宇宙の果てで最高のレースを！							
ガガガ……ジャミングウェイに同意。ですが、解散する前にやるべきことを忘れているのでは？			ガガガ……ジャミングウェイに同意。ですが、解散する前にやるべきことを忘れているのでは？			宇宙の果てで最高のレースを！							
やるべきこと……？			やるべきこと……？			宇宙の果てで最高のレースを！							
あーっ！そうでした、そうでした！			あーっ！そうでした、そうでした！			宇宙の果てで最高のレースを！							
トーキングウェイ、インベンティングウェイ！ちょっとこれを一緒に持って、そーっと運んで……。			トーキングウェイ、インベンティングウェイ！ちょっとこれを一緒に持って、そーっと運んで……。			宇宙の果てで最高のレースを！							
優勝者であるForename殿に、こちらのトロフィーを進呈しようと思っていたんデス！			優勝者であるForename殿に、こちらのトロフィーを進呈しようと思っていたんデス！			宇宙の果てで最高のレースを！							
「ドリーミング・ワークショップ」と「ヒッポライダーズ」、そしてカフェ「ラストレムナント」のイメージをもとに、最高のデザインに仕上げてみました！			「ドリーミング・ワークショップ」と「ヒッポライダーズ」、そしてカフェ「ラストレムナント」のイメージをもとに、最高のデザインに仕上げてみました！			宇宙の果てで最高のレースを！							
あ、ぼくたちからはカフェとヒッポライダーズに、これを渡そうと思っていたんだぁ～！			あ、ぼくたちからはカフェとヒッポライダーズに、これを渡そうと思っていたんだぁ～！			宇宙の果てで最高のレースを！							
トーキングウェイ、インベンティングウェイ、こっちも手伝ってくれる～？			トーキングウェイ、インベンティングウェイ、こっちも手伝ってくれる～？			宇宙の果てで最高のレースを！							
リスナーさんの話だと、ヒッポライダーズの拠点にも、ご飯が食べられるところがあるんだよねぇ～？			リスナーさんの話だと、ヒッポライダーズの拠点にも、ご飯が食べられるところがあるんだよねぇ～？			宇宙の果てで最高のレースを！							
そのサベネア島のお店と、ここのカフェに受信機を置いて、ご飯を食べながらラジオを聞いてもらえたら、嬉しいなぁ～！			そのサベネア島のお店と、ここのカフェに受信機を置いて、ご飯を食べながらラジオを聞いてもらえたら、嬉しいなぁ～！			宇宙の果てで最高のレースを！							
アタイが知ってるのとは見た目が違うけど、こいつでも例のラジオを聞けるんだな。ありがとよ、ウチの連中や客と一緒に聞いてみるぜ！			アタイが知ってるのとは見た目が違うけど、こいつでも例のラジオを聞けるんだな。ありがとよ、ウチの連中や客と一緒に聞いてみるぜ！			宇宙の果てで最高のレースを！							
自前で用意しようかと思っていたところだったので、受信機をもらえてちょうどよかったデス！			自前で用意しようかと思っていたところだったので、受信機をもらえてちょうどよかったデス！			宇宙の果てで最高のレースを！							
ガガガ……受信機の設置により、カフェ体験の満足度向上に期待できると評価します。			ガガガ……受信機の設置により、カフェ体験の満足度向上に期待できると評価します。			宇宙の果てで最高のレースを！							
楽しいレースができたのも、素敵な受信機をもらえたのも、Forename殿のおかげデス！			楽しいレースができたのも、素敵な受信機をもらえたのも、Forename殿のおかげデス！			宇宙の果てで最高のレースを！							
オイラたちが交流できるように協力してくれて、本当にありがとうございます！			オイラたちが交流できるように協力してくれて、本当にありがとうございます！			宇宙の果てで最高のレースを！							
ちょっとしんみりしちゃいましたけど、なんと言っても、カフェ「ラストレムナント」は永遠営業！			ちょっとしんみりしちゃいましたけど、なんと言っても、カフェ「ラストレムナント」は永遠営業！			宇宙の果てで最高のレースを！							
今回かぎりと言わず、またみんなでレースをやったり、楽しいイベントをしたりしましょうね！			今回かぎりと言わず、またみんなでレースをやったり、楽しいイベントをしたりしましょうね！			宇宙の果てで最高のレースを！							
「アルカソーダラ族」「オミクロン族」「レポリット族」……すべての種族との友好関係が「盟友」になりました！			「アルカソーダラ族」「オミクロン族」「レポリット族」……すべての種族との友好関係が「盟友」になりました！			宇宙の果てで最高のレースを！							
冒険者の活躍により、サベネア島と星外宙域の主要3種族は、これからも固く深い絆によって共存していくことでしょう！「友好部族デイリークエスト」、大変おつかれさまでした！			冒険者の活躍により、サベネア島と星外宙域の主要3種族は、これからも固く深い絆によって共存していくことでしょう！「友好部族デイリークエスト」、大変おつかれさまでした！			宇宙の果てで最高のレースを！							
