ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			獣医師ベスリク							
僕がここのアマロたちの代弁者となって、もっともっと、ヒトとアマロがいい関係を築けるように、頑張っていくからね！			僕がここのアマロたちの代弁者となって、もっともっと、ヒトとアマロがいい関係を築けるように、頑張っていくからね！			古傷を癒して							
ベスリク、お前も吹っ切れたみたいじゃないか。今度はちゃんと、守れたんだな。			ベスリク、お前も吹っ切れたみたいじゃないか。今度はちゃんと、守れたんだな。			古傷を癒して							
……ええ、みなさんのおかげです。もしかして、試練の乗り手に私を指名したのも……。			……ええ、みなさんのおかげです。もしかして、試練の乗り手に私を指名したのも……。			古傷を癒して							
フッ、なんのことだかわからんな？			フッ、なんのことだかわからんな？			古傷を癒して							
それに今回の一件で、薬餌に込めた作り手の想いは、アマロにしっかり伝わるのだと、理解できました。			それに今回の一件で、薬餌に込めた作り手の想いは、アマロにしっかり伝わるのだと、理解できました。			古傷を癒して							
栄養や薬効といった知識も大切ですが、相手をいたわる気持ちこそが、やがて信頼へと繋がり、確固たる絆となって結ばれるのですね。			栄養や薬効といった知識も大切ですが、相手をいたわる気持ちこそが、やがて信頼へと繋がり、確固たる絆となって結ばれるのですね。			古傷を癒して							
キュルル！おっかない思いもしたけど、ヒトってやっぱりいいな！			キュルル！おっかない思いもしたけど、ヒトってやっぱりいいな！			古傷を癒して							
Forename、本当にありがとう！僕これからも頑張るから、絶対に会いに来て！待ってるからね！			Forename、本当にありがとう！僕これからも頑張るから、絶対に会いに来て！待ってるからね！			古傷を癒して							
それから……僕の命を助けてくれてありがとう。おじさんを背に乗せたとき、すごく安心したんだ。僕に勇気をくれたのは、おじさんなんだ……。			それから……僕の命を助けてくれてありがとう。おじさんを背に乗せたとき、すごく安心したんだ。僕に勇気をくれたのは、おじさんなんだ……。			古傷を癒して							
今度は、おじさんが作った草団子も、食べてみたいな！			今度は、おじさんが作った草団子も、食べてみたいな！			古傷を癒して							
…………！			…………！			古傷を癒して							
ええ……それでは、みんなに気に入ってもらえるよう、練習しなくてはいけませんね。			ええ……それでは、みんなに気に入ってもらえるよう、練習しなくてはいけませんね。			古傷を癒して							
さあ、「ミーン工芸館」に戻りましょう！			さあ、「ミーン工芸館」に戻りましょう！			古傷を癒して							
やったぜ、相棒……。			やったぜ、相棒……。			古傷を癒して							
僕はこれから、クリスタリウムのアマロとして、大好きな仲間たちと一緒に暮らすんだ！Forenameも絶対会いに来てね！			僕はこれから、クリスタリウムのアマロとして、大好きな仲間たちと一緒に暮らすんだ！Forenameも絶対会いに来てね！			古傷を癒して							
スキップは責任を持って、我々厩務員が世話をしよう。仲間が増えることは喜ばしいことだ。			スキップは責任を持って、我々厩務員が世話をしよう。仲間が増えることは喜ばしいことだ。			古傷を癒して							
Forenameさん、本当に何から何まで、ありがとうございました。			Forenameさん、本当に何から何まで、ありがとうございました。			古傷を癒して							
あなたがいなければ、苦しんでいるスキップを前にして私は何もできず……自分の力不足を、人手が足りないせいにしていたかもしれません。			あなたがいなければ、苦しんでいるスキップを前にして私は何もできず……自分の力不足を、人手が足りないせいにしていたかもしれません。			古傷を癒して							
ですが、もう迷ったりしません。しっかりとこの手で技術を習得し、どんな手段を使ってでも、あの子たちを守り抜いてみせます。			ですが、もう迷ったりしません。しっかりとこの手で技術を習得し、どんな手段を使ってでも、あの子たちを守り抜いてみせます。			古傷を癒して							
また、牧場の様子を覗きにきてください。スキップも喜びますからね！			また、牧場の様子を覗きにきてください。スキップも喜びますからね！			古傷を癒して							
食薬科の貢献ランクが上昇しました！ベスリクはあなたの事を、「アマロの心を救う者」と感じているようです！			食薬科の貢献ランクが上昇しました！ベスリクはあなたの事を、「アマロの心を救う者」と感じているようです！			古傷を癒して							
また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			古傷を癒して							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			古傷を癒して							
メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			古傷を癒して							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			古傷を癒して							
「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			古傷を癒して							
