エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
(-戦のバクージャジャ-)悪いことは言わねェ、今すぐ家に帰んな。ここには、オマエらが求める宝なんざ存在しねェよ。			(-戦のバクージャジャ-)悪いことは言わねェ、今すぐ家に帰んな。ここには、オマエらが求める宝なんざ存在しねェよ。			ジュノへ							
この街は、サレージャという悪党が創り上げた虚像……ゆえに、どんな仕掛けが残されているかわからない。君の安全のためにも、すぐに立ち去るべきだ。			この街は、サレージャという悪党が創り上げた虚像……ゆえに、どんな仕掛けが残されているかわからない。君の安全のためにも、すぐに立ち去るべきだ。			ジュノへ							
へへ……。			へへ……。			ジュノへ							
空間に開いた裂け目に飛び込んでみたら、なんだこの街……？いったいどうなってんだ……。			空間に開いた裂け目に飛び込んでみたら、なんだこの街……？いったいどうなってんだ……。			ジュノへ							
ここはアブねぇから出ていけだと？ハッ、ジョーダンじゃねぇぜ。			ここはアブねぇから出ていけだと？ハッ、ジョーダンじゃねぇぜ。			ジュノへ							
さっき、トナワータ族の男が、珍しい石を手に入れたって叫んでたのを見たぜ。きっと、ほかにもカネになるもんが転がってるはずだ。			さっき、トナワータ族の男が、珍しい石を手に入れたって叫んでたのを見たぜ。きっと、ほかにもカネになるもんが転がってるはずだ。			ジュノへ							
このような文明、トラル大陸では見たことがない……。			このような文明、トラル大陸では見たことがない……。			ジュノへ							
ふむ、やはりここは危険な場所のようですね。ならば、調査はここまでにしておきましょう。			ふむ、やはりここは危険な場所のようですね。ならば、調査はここまでにしておきましょう。			ジュノへ							
それにしても残念だ。せっかく見つけた物珍しい石材を、盗賊風の男に奪われてしまいましてね。			それにしても残念だ。せっかく見つけた物珍しい石材を、盗賊風の男に奪われてしまいましてね。			ジュノへ							
奴が南の方へと向かったのを見ましたが、価値のわからない物を、戦ってまで取り戻す気にはなれません。			奴が南の方へと向かったのを見ましたが、価値のわからない物を、戦ってまで取り戻す気にはなれません。			ジュノへ							
それでは、私はこれで。君もどうか、お気をつけください。			それでは、私はこれで。君もどうか、お気をつけください。			ジュノへ							
へっ、何度言ったって無駄だぜ。おれはこのわけのわからねぇ街で、ひと山当ててやるんだ！			へっ、何度言ったって無駄だぜ。おれはこのわけのわからねぇ街で、ひと山当ててやるんだ！			ジュノへ							
お前も金目のモン探しに来たのか？俺は珍しい石を手に入れてな。へへ、見せてやるよ。			お前も金目のモン探しに来たのか？俺は珍しい石を手に入れてな。へへ、見せてやるよ。			ジュノへ							
(-戦のバクージャジャ-)何人かは追い払えたが、宝に目が眩んだ連中は話を聞こうともしねェぜ。			(-戦のバクージャジャ-)何人かは追い払えたが、宝に目が眩んだ連中は話を聞こうともしねェぜ。			ジュノへ							
(-戦のバクージャジャ-)おい、そいつはエレクトロープじゃねェか。			(-戦のバクージャジャ-)おい、そいつはエレクトロープじゃねェか。			ジュノへ							
(-戦のバクージャジャ-)オマエが発見者か。あいにく、そいつを持ち帰らせるわけにはいかねェ。「エコーズの残滓」っていう力が残ってるかもしれねェからな。			(-戦のバクージャジャ-)オマエが発見者か。あいにく、そいつを持ち帰らせるわけにはいかねェ。「エコーズの残滓」っていう力が残ってるかもしれねェからな。			ジュノへ							
お、お前にそんな権利があるのか！？トライヨラの統治下に、こんな街があるなんて聞いたことがない！なら、これは最初に見つけた俺の物のはずだ！			お、お前にそんな権利があるのか！？トライヨラの統治下に、こんな街があるなんて聞いたことがない！なら、これは最初に見つけた俺の物のはずだ！			ジュノへ							
(-戦のバクージャジャ-)オマエのために言ってやってるんだがな……大人しく従わないなら、ぶん殴って奪うしかねェか……？			(-戦のバクージャジャ-)オマエのために言ってやってるんだがな……大人しく従わないなら、ぶん殴って奪うしかねェか……？			ジュノへ							
(-魔のバクージャジャ-)あ、兄者……！そんなことしたら、オイラたちを取り立ててくれた、武王様に顔向けが……。			(-魔のバクージャジャ-)あ、兄者……！そんなことしたら、オイラたちを取り立ててくれた、武王様に顔向けが……。			ジュノへ							
(-戦のバクージャジャ-)チッ……ウクラマトにはデケェ借りがあるからな……。			(-戦のバクージャジャ-)チッ……ウクラマトにはデケェ借りがあるからな……。			ジュノへ							
(-戦のバクージャジャ-)よし、それならこうしようぜ。その石ころはオレサマが買い取ってやる。カネがほしいなら、悪くない話だろォ？			(-戦のバクージャジャ-)よし、それならこうしようぜ。その石ころはオレサマが買い取ってやる。カネがほしいなら、悪くない話だろォ？			ジュノへ							
こちらとしても、わざわざ売る手間が省けるのは大歓迎だ。だが、せっかく見つけた珍しい石なんだ、安く譲るつもりはねぇからな！			こちらとしても、わざわざ売る手間が省けるのは大歓迎だ。だが、せっかく見つけた珍しい石なんだ、安く譲るつもりはねぇからな！			ジュノへ							
今のお話、聞こえましたよ。			今のお話、聞こえましたよ。			ジュノへ							
希少な石をかけた取引だとか……ぜひ、私たちも混ぜていただけますか？そちらの双頭よりも、高く買ってあげましょう。			希少な石をかけた取引だとか……ぜひ、私たちも混ぜていただけますか？そちらの双頭よりも、高く買ってあげましょう。			ジュノへ							
(-戦のバクージャジャ-)せっかく話がまとまりかけてたってのに……どうする、弟よ。			(-戦のバクージャジャ-)せっかく話がまとまりかけてたってのに……どうする、弟よ。			ジュノへ							
(-魔のバクージャジャ-)そうだねェ、兄者……。ひとりひとりに事情を説明して交渉するにも、時間がかかるだろうし……。			(-魔のバクージャジャ-)そうだねェ、兄者……。ひとりひとりに事情を説明して交渉するにも、時間がかかるだろうし……。			ジュノへ							
そうか……ここは競売所だったな……。			そうか……ここは競売所だったな……。			ジュノへ							
ならば、こんなのはどうだろう。それぞれが石の買取価格を提示していき、最終的にもっとも高い額を示した者が購入できる、というのは。			ならば、こんなのはどうだろう。それぞれが石の買取価格を提示していき、最終的にもっとも高い額を示した者が購入できる、というのは。			ジュノへ							
競り、ということですか。わかりやすくていいですね。			競り、ということですか。わかりやすくていいですね。			ジュノへ							
これなら、個人に買い叩かれる心配もなくなるし、君にとっても良い話だと思うが。			これなら、個人に買い叩かれる心配もなくなるし、君にとっても良い話だと思うが。			ジュノへ							
ああ、願ってもねぇ。どうせなら、「ペル」じゃなく「ギル」で払ってくれよ。俺の夢は、金持ちになって外つ国で暮らすことだからな！			ああ、願ってもねぇ。どうせなら、「ペル」じゃなく「ギル」で払ってくれよ。俺の夢は、金持ちになって外つ国で暮らすことだからな！			ジュノへ							
(-戦のバクージャジャ-)競りだか何だか知らねェが、とっとと終わらせるぞ！			(-戦のバクージャジャ-)競りだか何だか知らねェが、とっとと終わらせるぞ！			ジュノへ							
今の話、競売所を見て思いついたんだろうな。アルシャールの奴、やるじゃねぇか！			今の話、競売所を見て思いついたんだろうな。アルシャールの奴、やるじゃねぇか！			ジュノへ							
何とか話がまとまってよかったよ。競売方式なら、少しは力になれるはずだ。			何とか話がまとまってよかったよ。競売方式なら、少しは力になれるはずだ。			ジュノへ							
最近、仕事がうまくいったおかげで、手持ちには余裕があるんです。			最近、仕事がうまくいったおかげで、手持ちには余裕があるんです。			ジュノへ							
希少な石……いくらかかっても手に入れたい！			希少な石……いくらかかっても手に入れたい！			ジュノへ							
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			ジュノへ							
イベントを開始しますか？			イベントを開始しますか？			ジュノへ							
それでは、エレクトロープを掛けた競売を始めよう。購入希望者は、買取価格を提示してくれ。			それでは、エレクトロープを掛けた競売を始めよう。購入希望者は、買取価格を提示してくれ。			ジュノへ							
(-戦のバクージャジャ-)商売のことはよくわからねェから、買取価格はオマエが決めろ。カネは、オレサマが傭兵時代に稼いだへそくりから出す。……だいたい100万ギルくらいだな。			(-戦のバクージャジャ-)商売のことはよくわからねェから、買取価格はオマエが決めろ。カネは、オレサマが傭兵時代に稼いだへそくりから出す。……だいたい100万ギルくらいだな。			ジュノへ							
トナワータ族の盗賊を選択すると、競売が開始されます。なお、購入希望者たちを選んで話を聞くことで、彼らが提示する購入価格のヒントを得ることができます。			トナワータ族の盗賊を選択すると、競売が開始されます。なお、購入希望者たちを選んで話を聞くことで、彼らが提示する購入価格のヒントを得ることができます。			ジュノへ							
(-戦のバクージャジャ-)予算の100万ギルは、オレサマの全財産だ。使わないで済むなら、それに越したことはねェ。できるだけ安く競り落としてくれよ。			(-戦のバクージャジャ-)予算の100万ギルは、オレサマの全財産だ。使わないで済むなら、それに越したことはねェ。できるだけ安く競り落としてくれよ。			ジュノへ							
くそぉ、俺も手持ちがあれば参加できたのにな……面白そうだぜ……。			くそぉ、俺も手持ちがあれば参加できたのにな……面白そうだぜ……。			ジュノへ							
いきなり大金を提示して落札すれば話は早い。だが不要な出費を抑えるなら、競合相手よりも、ほんの僅かに上の価格を提示するべきだな。			いきなり大金を提示して落札すれば話は早い。だが不要な出費を抑えるなら、競合相手よりも、ほんの僅かに上の価格を提示するべきだな。			ジュノへ							
先日見つけた宝が、外つ国の商人に150万ギルで売れましてね。探検に必要な装備を一新しても、まだ半分程度は残っていますよ。			先日見つけた宝が、外つ国の商人に150万ギルで売れましてね。探検に必要な装備を一新しても、まだ半分程度は残っていますよ。			ジュノへ							
私は、何としてもあの石を手に入れてみせる。駆け引きなんてしてる余裕はないわ。			私は、何としてもあの石を手に入れてみせる。駆け引きなんてしてる余裕はないわ。			ジュノへ							
それで、いくらでこの石を買ってくれるってんだ？			それで、いくらでこの石を買ってくれるってんだ？			ジュノへ							
競売を始めますか？			競売を始めますか？			ジュノへ							
これよりエレクトロープの競売を開始します。複数回にわたって金額を提示することで、最小限の金額での落札を目指しましょう！			これよりエレクトロープの競売を開始します。複数回にわたって金額を提示することで、最小限の金額での落札を目指しましょう！			ジュノへ							
(-戦のバクージャジャ-)さァ、Forename！まずはいくら払うか、決めてくれや！			(-戦のバクージャジャ-)さァ、Forename！まずはいくら払うか、決めてくれや！			ジュノへ							
いくら提示する？			いくら提示する？			ジュノへ							
10万ギル			10万ギル			ジュノへ							
50万ギル			50万ギル			ジュノへ							
100万ギル			100万ギル			ジュノへ							
おや、その程度ですか？では僕は、「40万ギル」を提示させていただきます。			おや、その程度ですか？では僕は、「40万ギル」を提示させていただきます。			ジュノへ							
あなたはそれが限界でしょうね。では私は、「56万ギル」を提示するわ！			あなたはそれが限界でしょうね。では私は、「56万ギル」を提示するわ！			ジュノへ							
(-戦のバクージャジャ-)おいおい、いきなり40万ギルかよ！できれば予算の半分は残しておきたかったが、仕方ねェ。次の購入価格を提示してくれ！			(-戦のバクージャジャ-)おいおい、いきなり40万ギルかよ！できれば予算の半分は残しておきたかったが、仕方ねェ。次の購入価格を提示してくれ！			ジュノへ							
いくら提示する？（現在の価格：40万ギル）			いくら提示する？（現在の価格：40万ギル）			ジュノへ							
50万ギル			50万ギル			ジュノへ							
60万ギル			60万ギル			ジュノへ							
100万ギル			100万ギル			ジュノへ							
あなたはそれが限界でしょうね。では私は、「56万ギル」提示するわ！			あなたはそれが限界でしょうね。では私は、「56万ギル」提示するわ！			ジュノへ							
そ、そんな……。私の予算を上回ってくるだなんて……これ以上は出せない……！			そ、そんな……。私の予算を上回ってくるだなんて……これ以上は出せない……！			ジュノへ							
彼女はここまでのようですね。しかし、僕はまだ終わりませんよ。次は「70万ギル」を提示させていただきましょう。			彼女はここまでのようですね。しかし、僕はまだ終わりませんよ。次は「70万ギル」を提示させていただきましょう。			ジュノへ							
(-戦のバクージャジャ-)50万を上回ってきやがったが、ずいぶん半端な額じゃねェか。コイツの意味するところは、つまり……。			(-戦のバクージャジャ-)50万を上回ってきやがったが、ずいぶん半端な額じゃねェか。コイツの意味するところは、つまり……。			ジュノへ							
いくら提示する？（現在の価格：56万ギル）			いくら提示する？（現在の価格：56万ギル）			ジュノへ							
60万ギル			60万ギル			ジュノへ							
70万ギル			70万ギル			ジュノへ							
100万ギル			100万ギル			ジュノへ							
そ、そんな……。私の予算を上回ってくるだなんて……これ以上は出せない……！			そ、そんな……。私の予算を上回ってくるだなんて……これ以上は出せない……！			ジュノへ							
彼女はここまでのようですね。しかし、僕はまだ終わりませんよ。次は「70万ギル」を提示させていただきましょう。			彼女はここまでのようですね。しかし、僕はまだ終わりませんよ。次は「70万ギル」を提示させていただきましょう。			ジュノへ							
そ、そんな……。私の予算を上回ってくるだなんて……これ以上は出せない……！			そ、そんな……。私の予算を上回ってくるだなんて……これ以上は出せない……！			ジュノへ							
くっ、厳しいですね……なら「72万ギル」でどうでしょうか！？			くっ、厳しいですね……なら「72万ギル」でどうでしょうか！？			ジュノへ							
(-戦のバクージャジャ-)ゲッグッグッグッ、ひとり脱落したぜェ！残るひとりも、それほど余裕があるようには見えねェぞ！			(-戦のバクージャジャ-)ゲッグッグッグッ、ひとり脱落したぜェ！残るひとりも、それほど余裕があるようには見えねェぞ！			ジュノへ							
いくら提示する？（現在の価格：70万ギル）			いくら提示する？（現在の価格：70万ギル）			ジュノへ							
71万ギル			71万ギル			ジュノへ							
80万ギル			80万ギル			ジュノへ							
100万ギル			100万ギル			ジュノへ							
こ、このままでは……しかし、ここまできて引けません。な、「72万ギル」っ！			こ、このままでは……しかし、ここまできて引けません。な、「72万ギル」っ！			ジュノへ							
(-魔のバクージャジャ-)向こうも価格を刻んできたよォ！どうやら予算の限界が近いみたいだねェ！			(-魔のバクージャジャ-)向こうも価格を刻んできたよォ！どうやら予算の限界が近いみたいだねェ！			ジュノへ							
いくら提示する？（現在の価格：72万ギル）			いくら提示する？（現在の価格：72万ギル）			ジュノへ							
73万ギル			73万ギル			ジュノへ							
80万ギル			80万ギル			ジュノへ							
100万ギル			100万ギル			ジュノへ							
(-戦のバクージャジャ-)狙いどおり、相手の予算の少し上を突いて落札だ！冒険者をやめても、商人で食っていけるんじゃねェか？			(-戦のバクージャジャ-)狙いどおり、相手の予算の少し上を突いて落札だ！冒険者をやめても、商人で食っていけるんじゃねェか？			ジュノへ							
(-戦のバクージャジャ-)20万ギルも余力を残しての落札とはなァ！なかなかやるじゃねェか！			(-戦のバクージャジャ-)20万ギルも余力を残しての落札とはなァ！なかなかやるじゃねェか！			ジュノへ							
(-戦のバクージャジャ-)落札したにはしたけどよォ……オレサマの懐が、スッカスカになっちまったんだが……？			(-戦のバクージャジャ-)落札したにはしたけどよォ……オレサマの懐が、スッカスカになっちまったんだが……？			ジュノへ							
(-魔のバクージャジャ-)次の給料日まで、具なしタコス生活だね、兄者……。			(-魔のバクージャジャ-)次の給料日まで、具なしタコス生活だね、兄者……。			ジュノへ							
よし、カネも受け取ったし、この石はお前らのもんだ。俺はとっととずらかるぜ。			よし、カネも受け取ったし、この石はお前らのもんだ。俺はとっととずらかるぜ。			ジュノへ							
俺がやってたらきっと失敗してただろうな。取引となると熱くなっちまう方だから、おまえみたいに冷静に進められなかったぜ。			俺がやってたらきっと失敗してただろうな。取引となると熱くなっちまう方だから、おまえみたいに冷静に進められなかったぜ。			ジュノへ							
(-戦のバクージャジャ-)予想よりも高額になっちまったが、仕方ねェ。いざとなりゃ、リスキーモブでもぶっ倒して稼げばいいしな。			(-戦のバクージャジャ-)予想よりも高額になっちまったが、仕方ねェ。いざとなりゃ、リスキーモブでもぶっ倒して稼げばいいしな。			ジュノへ							
無事に競り落とせてよかった。手に入れたエレクトロープのこと、少し調べてみよう。			無事に競り落とせてよかった。手に入れたエレクトロープのこと、少し調べてみよう。			ジュノへ							
くっ……！この魔力、以前にも感じたことがある……！			くっ……！この魔力、以前にも感じたことがある……！			ジュノへ							
………………「闇の王」。			………………「闇の王」。			ジュノへ							
体を突き刺すような激しい憎悪がこめられた魔力……間違いない。このエレクトロープは、闇の王の「エコーズの残滓」を、形作っていた核だ……。			体を突き刺すような激しい憎悪がこめられた魔力……間違いない。このエレクトロープは、闇の王の「エコーズの残滓」を、形作っていた核だ……。			ジュノへ							
闇の王とは、ヴァナ・ディールを恐怖に陥れた闇の血族の首魁……私は、奴の討伐を目的とした一団に参加し、打ち倒した。			闇の王とは、ヴァナ・ディールを恐怖に陥れた闇の血族の首魁……私は、奴の討伐を目的とした一団に参加し、打ち倒した。			ジュノへ							
おまえが闇の王を倒したって、そりゃ本当か？			おまえが闇の王を倒したって、そりゃ本当か？			ジュノへ							
ってことは、「あいつ」が闇の王と戦ってるときに、アルシャールもその場にいたってことか……？それらしい話は聞いたことねぇけどな……。			ってことは、「あいつ」が闇の王と戦ってるときに、アルシャールもその場にいたってことか……？それらしい話は聞いたことねぇけどな……。			ジュノへ							
(-戦のバクージャジャ-)とにかく、このエレクトロープはオレサマが預かっておくぜ。トライヨラに戻って、勇連隊に報告しなくちゃならねェからよ。			(-戦のバクージャジャ-)とにかく、このエレクトロープはオレサマが預かっておくぜ。トライヨラに戻って、勇連隊に報告しなくちゃならねェからよ。			ジュノへ							
少々よろしいでしょうか。先ほど、闇の王について話していませんでしたか？			少々よろしいでしょうか。先ほど、闇の王について話していませんでしたか？			ジュノへ							
闇の王のことでしたら、私もよく知っております。ジュノがこうなる前は、酒場にいる吟遊詩人から、ヴァナ・ディールのつわものに関する逸話を、よく聞いたもので。			闇の王のことでしたら、私もよく知っております。ジュノがこうなる前は、酒場にいる吟遊詩人から、ヴァナ・ディールのつわものに関する逸話を、よく聞いたもので。			ジュノへ							
私は噴水の近くにいますので、もし興味があるなら聞きにきてください。			私は噴水の近くにいますので、もし興味があるなら聞きにきてください。			ジュノへ							
(-魔のバクージャジャ-)Forenameは、闇の王のほかにも、サレージャが創った「エコーズの残滓」と戦ったでしょ？それらがどんな存在だったのか、今の人と話せばわかるかもねェ。			(-魔のバクージャジャ-)Forenameは、闇の王のほかにも、サレージャが創った「エコーズの残滓」と戦ったでしょ？それらがどんな存在だったのか、今の人と話せばわかるかもねェ。			ジュノへ							
(-魔のバクージャジャ-)さァて、この街に入り込んだ連中への警告はひととおり済んだ。これ以上言っても聞かない奴は、もう放っておくしかないねェ。さらなる野次馬が増えないよう、警備は増やしておくけどさァ。			(-魔のバクージャジャ-)さァて、この街に入り込んだ連中への警告はひととおり済んだ。これ以上言っても聞かない奴は、もう放っておくしかないねェ。さらなる野次馬が増えないよう、警備は増やしておくけどさァ。			ジュノへ							
(-戦のバクージャジャ-)それじゃ、またトライヨラまで付き合ってもらうぜ。勇連隊への報告がてら、オマエラに紹介しておきたい奴がいてな。「ブライトプルーム・ポスト」まで来てくれや。			(-戦のバクージャジャ-)それじゃ、またトライヨラまで付き合ってもらうぜ。勇連隊への報告がてら、オマエラに紹介しておきたい奴がいてな。「ブライトプルーム・ポスト」まで来てくれや。			ジュノへ							
(-戦のバクージャジャ-)戻ってきたか。例の紹介したい奴が来るまで、嬢ちゃんと話して待ってな。			(-戦のバクージャジャ-)戻ってきたか。例の紹介したい奴が来るまで、嬢ちゃんと話して待ってな。			ジュノへ							
ここが、バクージャジャが所属する勇連隊の屯所か。皆、闘志の宿った良い瞳をしている。			ここが、バクージャジャが所属する勇連隊の屯所か。皆、闘志の宿った良い瞳をしている。			ジュノへ							
さぁてと、トライヨラに戻ってきたはいいけど、進展があるまで、どうすっかなぁ。ユーレンタイの手伝いでもするか？			さぁてと、トライヨラに戻ってきたはいいけど、進展があるまで、どうすっかなぁ。ユーレンタイの手伝いでもするか？			ジュノへ							
(-魔のバクージャジャ-)だったら、「エコーズの残滓」の出現に備えて、トライヨラの近くを見て回るっていうのはどう？いざというときに、迷子になったら困るでしょ？			(-魔のバクージャジャ-)だったら、「エコーズの残滓」の出現に備えて、トライヨラの近くを見て回るっていうのはどう？いざというときに、迷子になったら困るでしょ？			ジュノへ							
この大陸を冒険しろってことだな！そりゃいいぜ！			この大陸を冒険しろってことだな！そりゃいいぜ！			ジュノへ							
アルシャール、おまえも付き合えよ。ヴァナ・ディールの冒険者、なんだろ？			アルシャール、おまえも付き合えよ。ヴァナ・ディールの冒険者、なんだろ？			ジュノへ							
そうだな……悪くない提案だ。			そうだな……悪くない提案だ。			ジュノへ							
(-戦のバクージャジャ-)そうは言っても、トラル大陸にゃ危険な場所も多い。あまり浮かれすぎねェように気をつけろよ。			(-戦のバクージャジャ-)そうは言っても、トラル大陸にゃ危険な場所も多い。あまり浮かれすぎねェように気をつけろよ。			ジュノへ							
へへへ、わかってるって！			へへへ、わかってるって！			ジュノへ							
ヴァナ・ディールでも、何度も危機に見舞われた。だけどさ、冒険者や大勢の仲間で力を合わせて、乗り越えることができたんだ。			ヴァナ・ディールでも、何度も危機に見舞われた。だけどさ、冒険者や大勢の仲間で力を合わせて、乗り越えることができたんだ。			ジュノへ							
今回だってきっと上手くいくさ！ふたつの世界に生きる俺たちが、手を取り合えばな！			今回だってきっと上手くいくさ！ふたつの世界に生きる俺たちが、手を取り合えばな！			ジュノへ							
共通の目的を前にして、出会ったばかりの者たちが手を組んで戦う、か……。なんだか、ひどく懐かしい気がするよ。			共通の目的を前にして、出会ったばかりの者たちが手を組んで戦う、か……。なんだか、ひどく懐かしい気がするよ。			ジュノへ							
(-戦のバクージャジャ-)こいつらを見てたら、急に胸が熱くなってきやがった。風邪でも引いたかァ？			(-戦のバクージャジャ-)こいつらを見てたら、急に胸が熱くなってきやがった。風邪でも引いたかァ？			ジュノへ							
(-魔のバクージャジャ-)だけど、不思議と悪くない気分だねェ。			(-魔のバクージャジャ-)だけど、不思議と悪くない気分だねェ。			ジュノへ							
(-戦のバクージャジャ-)ともかく……			(-戦のバクージャジャ-)ともかく……			ジュノへ							
(-戦のバクージャジャ-)サレージャの動きがわかり次第、伝令役のこいつから連絡させる。そのときになったら、頼んだぞ。			(-戦のバクージャジャ-)サレージャの動きがわかり次第、伝令役のこいつから連絡させる。そのときになったら、頼んだぞ。			ジュノへ							
一方  次元の狭間――			一方  次元の狭間――			ジュノへ							
(-理の残滓-)ゲッグッグッグッ……サレージャ、よ。人間どもを、始末する、策は、仕上がった、か？			(-理の残滓-)ゲッグッグッグッ……サレージャ、よ。人間どもを、始末する、策は、仕上がった、か？			ジュノへ							
グルージャジャ様、準備は滞りなく進めております。あなた様が真の王とならせられる日は、もう間もなくでございます。			グルージャジャ様、準備は滞りなく進めております。あなた様が真の王とならせられる日は、もう間もなくでございます。			ジュノへ							
ホッホッホ……あちらの世界のグルージャジャ様からは、知性というものが感じられませんな。その方が御しやすいと言えましょうがね。			ホッホッホ……あちらの世界のグルージャジャ様からは、知性というものが感じられませんな。その方が御しやすいと言えましょうがね。			ジュノへ							
ともかく、いち早く最強の王を完成させるためにも、次なる「エコーズの残滓」の選定を始めるとしましょう。			ともかく、いち早く最強の王を完成させるためにも、次なる「エコーズの残滓」の選定を始めるとしましょう。			ジュノへ							
いやはや、ヴァナ・ディールの歴史は興味深い。人に絶望し闇の王となった者の顛末などは、とても悲劇的で楽しませていただきましたが……。			いやはや、ヴァナ・ディールの歴史は興味深い。人に絶望し闇の王となった者の顛末などは、とても悲劇的で楽しませていただきましたが……。			ジュノへ							
次の舞台に上がる演者は、彼の世界で栄華を築いた「古代人」の王族……そのような芝居も、面白そうではありませんか。			次の舞台に上がる演者は、彼の世界で栄華を築いた「古代人」の王族……そのような芝居も、面白そうではありませんか。			ジュノへ							
ブライトプルーム・ポストの伝令役の勇連隊士は、冒険者に話があるようだ。			ブライトプルーム・ポストの伝令役の勇連隊士は、冒険者に話があるようだ。			一万年の夢の残響							
前回までの冒険録：サレージャが垣間見たという異なる世界、「ヴァナ・ディール」。マムージャ族の幻影の秘術で異界の記憶を実体化させ、エレクトロープと組み合わせることで存在を永続させる、「エコーズの残滓」をサレージャは編み出していた。サレージャは、残滓の中から冒険者を打ち倒すほどの最強の存在を選定することで、トライヨラの真なる王を立てようと画策する。冒険者は、トラル勇連隊にしてヤクテル樹海の警備隊長であるバクージャジャ、ヴァナ・ディールの記憶から創られたという少女プリッシュ、冒険者アルシャールたちと協力し、サレージャの計画阻止を目指すのだった。　　　　　　　　　　　　*　*　*伝令役の勇連隊士から、「エコーズの残滓」出現の報を聞いた。マムークのエーテライト付近にいる「トラージャ」と話そう。			前回までの冒険録：サレージャが垣間見たという異なる世界、「ヴァナ・ディール」。マムージャ族の幻影の秘術で異界の記憶を実体化させ、エレクトロープと組み合わせることで存在を永続させる、「エコーズの残滓」をサレージャは編み出していた。サレージャは、残滓の中から冒険者を打ち倒すほどの最強の存在を選定することで、トライヨラの真なる王を立てようと画策する。冒険者は、トラル勇連隊にしてヤクテル樹海の警備隊長であるバクージャジャ、ヴァナ・ディールの記憶から創られたという少女プリッシュ、冒険者アルシャールたちと協力し、サレージャの計画阻止を目指すのだった。　　　　　　　　　　　　*　*　*伝令役の勇連隊士から、「エコーズの残滓」出現の報を聞いた。マムークのエーテライト付近にいる「トラージャ」と話そう。			一万年の夢の残響							
トラージャと話し、ゴクドラーク岩窟付近へとやってきた。ゴクドラーク岩窟の北で「バクージャジャ」を探そう。			トラージャと話し、ゴクドラーク岩窟付近へとやってきた。ゴクドラーク岩窟の北で「バクージャジャ」を探そう。			一万年の夢の残響							
バクージャジャと話した。ジュノ下層の「指定地点」で、サレージャを待とう。ジュノ下層へは、ヤクテル樹海のゴクドラーク岩窟付近から向かえるようだ。			バクージャジャと話した。ジュノ下層の「指定地点」で、サレージャを待とう。ジュノ下層へは、ヤクテル樹海のゴクドラーク岩窟付近から向かえるようだ。			一万年の夢の残響							
サレージャたちが現れ、次なる戦いへと招かれた。「サンドリア：ザ・セカンドウォーク」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			サレージャたちが現れ、次なる戦いへと招かれた。「サンドリア：ザ・セカンドウォーク」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			一万年の夢の残響							
サンドリア：ザ・セカンドウォークを攻略した。ジュノ下層の「プリッシュ」と話そう。			サンドリア：ザ・セカンドウォークを攻略した。ジュノ下層の「プリッシュ」と話そう。			一万年の夢の残響							
今回現れた「エコーズの残滓」たちをすべて撃退したが、サレージャはいまだ、計画を諦めてはいないようだった。ジュノ下層の「アルシャール」と話そう。			今回現れた「エコーズの残滓」たちをすべて撃退したが、サレージャはいまだ、計画を諦めてはいないようだった。ジュノ下層の「アルシャール」と話そう。			一万年の夢の残響							
アルシャールと話した。ヴァナ・ディールの記憶を悪用するサレージャを打倒するため、各々決意を固める。しかし、プリッシュはどこか動揺を残しているようだった。			アルシャールと話した。ヴァナ・ディールの記憶を悪用するサレージャを打倒するため、各々決意を固める。しかし、プリッシュはどこか動揺を残しているようだった。			一万年の夢の残響							
マムークのトラージャと話す			マムークのトラージャと話す			一万年の夢の残響							
ゴクドラーク岩窟北でバクージャジャを探す			ゴクドラーク岩窟北でバクージャジャを探す			一万年の夢の残響							
ジュノ下層の指定地点で待機			ジュノ下層の指定地点で待機			一万年の夢の残響							
サンドリア：ザ・セカンドウォークを攻略			サンドリア：ザ・セカンドウォークを攻略			一万年の夢の残響							
プリッシュと話す			プリッシュと話す			一万年の夢の残響							
アルシャールと話す			アルシャールと話す			一万年の夢の残響							
お待ちしておりました、Forename殿。さっそくですが、本題に入らせてください。			お待ちしておりました、Forename殿。さっそくですが、本題に入らせてください。			一万年の夢の残響							
先ほど、ヤクテル樹海を警備中の隊士より連絡があったのです。異界の街、ジュノへと繋がるゴクドラーク岩窟付近で、見たことがない獣人に襲撃された、と……。			先ほど、ヤクテル樹海を警備中の隊士より連絡があったのです。異界の街、ジュノへと繋がるゴクドラーク岩窟付近で、見たことがない獣人に襲撃された、と……。			一万年の夢の残響							
これを受けて警備隊長のバクージャジャ殿は、例の「エコーズの残滓」が現れたのだと推測。現地に急行しました。			これを受けて警備隊長のバクージャジャ殿は、例の「エコーズの残滓」が現れたのだと推測。現地に急行しました。			一万年の夢の残響							
