スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
ジョイと話して現れた魔物を討伐			ジョイと話して現れた魔物を討伐			新兵器の欠片							
ロスティンスタルと話す			ロスティンスタルと話す			新兵器の欠片							
ロスティンスタルに報告			ロスティンスタルに報告			新兵器の欠片							
レインキャッチャー樹林のステファニヴィアンにXLI式魔導ジャイロを渡す			レインキャッチャー樹林のステファニヴィアンにXLI式魔導ジャイロを渡す			新兵器の欠片							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			新兵器の欠片							
ずいぶん、「銃」の扱いに慣れてきたようだね。銃のよさは、何と言っても、敵に近づく必要がないところさ。当然、空を自在に舞うドラゴン族に対しても有効だよ。			ずいぶん、「銃」の扱いに慣れてきたようだね。銃のよさは、何と言っても、敵に近づく必要がないところさ。当然、空を自在に舞うドラゴン族に対しても有効だよ。			新兵器の欠片							
ところが、古くさい伝統に縛られたイシュガルドでは、剣と槍を掲げる「騎士」こそが、花形だと考える者が多い。……って、噂をすれば典型的な騎士様のおでましだぁ。			ところが、古くさい伝統に縛られたイシュガルドでは、剣と槍を掲げる「騎士」こそが、花形だと考える者が多い。……って、噂をすれば典型的な騎士様のおでましだぁ。			新兵器の欠片							
(-典型的な騎士-)ああ……サビ臭い、暑い、息苦しいのう。何より耐えがたいのは、その小汚い格好だ、我が息子よ。鉄クズいじりなんぞに、うつつを抜かしおって、嘆かわしい！			(-典型的な騎士-)ああ……サビ臭い、暑い、息苦しいのう。何より耐えがたいのは、その小汚い格好だ、我が息子よ。鉄クズいじりなんぞに、うつつを抜かしおって、嘆かわしい！			新兵器の欠片							
父上、嫌味を言いに来たのか？そんなに嫌なら、わざわざ来なくていいんだぞ？			父上、嫌味を言いに来たのか？そんなに嫌なら、わざわざ来なくていいんだぞ？			新兵器の欠片							
放っておくわけにもいくまい？仮にも、このボランドゥアンこそが、「スカイスチール機工房」の長なのだからな。			放っておくわけにもいくまい？仮にも、このボランドゥアンこそが、「スカイスチール機工房」の長なのだからな。			新兵器の欠片							
よくいうよ、なぁにが「長なのだからな」だ。月に一度、工房に顔を出せばいい方で、管理運営は、執事のフロムローに丸投げじゃないか。			よくいうよ、なぁにが「長なのだからな」だ。月に一度、工房に顔を出せばいい方で、管理運営は、執事のフロムローに丸投げじゃないか。			新兵器の欠片							
仕方あるまい……。鉄クズいじりは、平民の役目とはいえ、それを監督する貴族が必要なことも、確かなのだからな。			仕方あるまい……。鉄クズいじりは、平民の役目とはいえ、それを監督する貴族が必要なことも、確かなのだからな。			新兵器の欠片							
我がアインハルト家は、四大名家に名を連ねながら、相次いだ不幸で兵力は損耗し、その地位は揺らいでいる。ゆえに、かような地味な役割も、実直に果たさねばならん。			我がアインハルト家は、四大名家に名を連ねながら、相次いだ不幸で兵力は損耗し、その地位は揺らいでいる。ゆえに、かような地味な役割も、実直に果たさねばならん。			新兵器の欠片							
だが、不本意な状況にいつまでも甘んじるつもりはない。かつての栄光を取り戻すためにも、お前には槍の腕を磨き、立派な騎士として、武功をあげてもらわねば。			だが、不本意な状況にいつまでも甘んじるつもりはない。かつての栄光を取り戻すためにも、お前には槍の腕を磨き、立派な騎士として、武功をあげてもらわねば。			新兵器の欠片							
父上、技術も人の心も日々変わっている。近い将来、必ず「機工士」が重用される日が来る！古い考えに固執していると、時代に乗り遅れるよ。			父上、技術も人の心も日々変わっている。近い将来、必ず「機工士」が重用される日が来る！古い考えに固執していると、時代に乗り遅れるよ。			新兵器の欠片							
……お前の夢物語は、聞き飽きた。反論は、まともな成果をあげてからにしてもらおう。			……お前の夢物語は、聞き飽きた。反論は、まともな成果をあげてからにしてもらおう。			新兵器の欠片							
近く、教皇庁主催の模擬戦が行われる。今から、槍の腕に磨きをかけて、アインハルト家の武を世に示すのだ！			近く、教皇庁主催の模擬戦が行われる。今から、槍の腕に磨きをかけて、アインハルト家の武を世に示すのだ！			新兵器の欠片							
……悪い、見苦しいところを見せてしまったね。だが、今はまだ、父上の考えが皇都の主流なんだ。でも、そんな石頭は「銃」で撃ちぬいていこう！			……悪い、見苦しいところを見せてしまったね。だが、今はまだ、父上の考えが皇都の主流なんだ。でも、そんな石頭は「銃」で撃ちぬいていこう！			新兵器の欠片							
ちょうど、石頭たちがあっと驚く新兵器をひらめいたんだ。試作用の材料を集めに、指南役とジョイで、東ラノシアのレインキャッチャー樹林に行くから、君も行こうよ。			ちょうど、石頭たちがあっと驚く新兵器をひらめいたんだ。試作用の材料を集めに、指南役とジョイで、東ラノシアのレインキャッチャー樹林に行くから、君も行こうよ。			新兵器の欠片							
どうせ、皇都で射撃練習しても煙たがられるだけだし。ラノシアの太陽の下で、指南役から指導を受けつつ、銃を好きなだけブッ放そう！			どうせ、皇都で射撃練習しても煙たがられるだけだし。ラノシアの太陽の下で、指南役から指導を受けつつ、銃を好きなだけブッ放そう！			新兵器の欠片							
ラノシアの太陽の下で、指南役から指導を受けつつ、銃を好きなだけブッ放そう！			ラノシアの太陽の下で、指南役から指導を受けつつ、銃を好きなだけブッ放そう！			新兵器の欠片							
なんだ、お前まで、こんなところに引っ張り出されたか。ステファニヴィアンが帝国兵器の部材が必要というから、墜落した残骸を教えたのが、運の尽き……。			なんだ、お前まで、こんなところに引っ張り出されたか。ステファニヴィアンが帝国兵器の部材が必要というから、墜落した残骸を教えたのが、運の尽き……。			新兵器の欠片							
だいたい、この魔導アーマーが墜落したのは5年も前の話だ。今さら、利用できる部材が手に入るとも思えんがな。			だいたい、この魔導アーマーが墜落したのは5年も前の話だ。今さら、利用できる部材が手に入るとも思えんがな。			新兵器の欠片							
……とはいえ、せっかく来たんだ。ふたりの話でも聞きながら、護衛してやってくれ。魔物でも現れたら、そん時は鍛錬の成果を見せてもらおう。			……とはいえ、せっかく来たんだ。ふたりの話でも聞きながら、護衛してやってくれ。魔物でも現れたら、そん時は鍛錬の成果を見せてもらおう。			新兵器の欠片							
ふたりの話でも聞きながら、護衛してやってくれ。魔物でも現れたら、そん時は鍛錬の成果を見せてもらおう。			ふたりの話でも聞きながら、護衛してやってくれ。魔物でも現れたら、そん時は鍛錬の成果を見せてもらおう。			新兵器の欠片							
目当ての部材は、なかなか見つからないね……。……はっ、魔物だ、倒してくれ！			目当ての部材は、なかなか見つからないね……。……はっ、魔物だ、倒してくれ！			新兵器の欠片							
見事な銃さばきだったよ。君のためにも、部材探しに精を出すよ。			見事な銃さばきだったよ。君のためにも、部材探しに精を出すよ。			新兵器の欠片							
私にまで、ねぎらいのお言葉をくださるなんて……。			私にまで、ねぎらいのお言葉をくださるなんて……。			新兵器の欠片							
腕を上げられましたね。ジョイも、射撃の鍛練ができるように、急いで部材を見つけ出します……。			腕を上げられましたね。ジョイも、射撃の鍛練ができるように、急いで部材を見つけ出します……。			新兵器の欠片							
順調に腕を上げているようだな……むっ！？おい、デカいのがこっちに向かってきてるぞ！ちょうどいい、コイツも倒してみろ！！			順調に腕を上げているようだな……むっ！？おい、デカいのがこっちに向かってきてるぞ！ちょうどいい、コイツも倒してみろ！！			新兵器の欠片							
うむ、見事だった。そろそろ、さらに高度な技も使いこなせそうじゃないか。……ところで、魔物から何か手に入れたようだな？			うむ、見事だった。そろそろ、さらに高度な技も使いこなせそうじゃないか。……ところで、魔物から何か手に入れたようだな？			新兵器の欠片							
魔物の腹の中からでてきたのか……？……機械の部品のようにも見えるな。ステファニヴィアンに見せてみたらどうだ？			魔物の腹の中からでてきたのか……？……機械の部品のようにも見えるな。ステファニヴィアンに見せてみたらどうだ？			新兵器の欠片							
魔物の腹の中からでてきたのか……？……機械の部品のようにも見えるな。ステファニヴィアンに見せてみたらどうだ？			魔物の腹の中からでてきたのか……？……機械の部品のようにも見えるな。ステファニヴィアンに見せてみたらどうだ？			新兵器の欠片							
まいったな、はるばる来たのに成果ゼロとは……。まあ、君の銃の鍛練ができたことで、よしとするか。……おや、君は何かを見つけたのかい？			まいったな、はるばる来たのに成果ゼロとは……。まあ、君の銃の鍛練ができたことで、よしとするか。……おや、君は何かを見つけたのかい？			新兵器の欠片							
君が倒した魔物の胃袋からでてきたって……？			君が倒した魔物の胃袋からでてきたって……？			新兵器の欠片							
……こ、これは「XLI式魔導ジャイロ」じゃないか！探していたのは、まさしくコレだよ！			……こ、これは「XLI式魔導ジャイロ」じゃないか！探していたのは、まさしくコレだよ！			新兵器の欠片							
ぼっちゃま、おめでとうございます！			ぼっちゃま、おめでとうございます！			新兵器の欠片							
やっぱりForenameは、工房の救世主だ！ありがとよ！			やっぱりForenameは、工房の救世主だ！ありがとよ！			新兵器の欠片							
魔物の腹の中から、お宝を探り当てるとは、大した強運の持ち主じゃないか……。			魔物の腹の中から、お宝を探り当てるとは、大した強運の持ち主じゃないか……。			新兵器の欠片							
何より、あれだけの大物を、銃で仕留めるとはさすがだ。Forenameの今後の成長が楽しみだな。			何より、あれだけの大物を、銃で仕留めるとはさすがだ。Forenameの今後の成長が楽しみだな。			新兵器の欠片							
Forenameのおかげで、新兵器の試作の目処がついたぞ！さあ、急いで工房へ帰ろう！			Forenameのおかげで、新兵器の試作の目処がついたぞ！さあ、急いで工房へ帰ろう！			新兵器の欠片							
今回は、本当に助かったよ。おかげで、温めていた新兵器を試作できそうだ！もっとも完成までには、今しばらく時間が必要だけどね。			今回は、本当に助かったよ。おかげで、温めていた新兵器を試作できそうだ！もっとも完成までには、今しばらく時間が必要だけどね。			新兵器の欠片							
そうそう、指南役から君に、応用的な銃術について伝えるよう頼まれているよ。試作品の完成を待つ間、ぜひ試してみてくれ。			そうそう、指南役から君に、応用的な銃術について伝えるよう頼まれているよ。試作品の完成を待つ間、ぜひ試してみてくれ。			新兵器の欠片							
スカイスチール機工房のステファニヴィアンは、冒険者に話したいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に話したいことがあるようだ。			挽回！ 敗者の真実							
スカイスチール機工房と、ステファニヴィアンに内乱予備罪の嫌疑がかかり、工房封鎖の危機に見舞われた。スカイスチール機工房の「ステファニヴィアン」と話そう。			スカイスチール機工房と、ステファニヴィアンに内乱予備罪の嫌疑がかかり、工房封鎖の危機に見舞われた。スカイスチール機工房の「ステファニヴィアン」と話そう。			挽回！ 敗者の真実							
ステファニヴィアンと話した。イシュガルドの下層で忘れられた騎士亭にいる「セレスト」と話そう。			ステファニヴィアンと話した。イシュガルドの下層で忘れられた騎士亭にいる「セレスト」と話そう。			挽回！ 敗者の真実							
セレストと話した。スカイスチール機工房の「ステファニヴィアン」と話そう。			セレストと話した。スカイスチール機工房の「ステファニヴィアン」と話そう。			挽回！ 敗者の真実							
ステファニヴィアンと話した。高地ドラヴァニアのテイルフェザーにいる「ステファニヴィアン」と話そう。			ステファニヴィアンと話した。高地ドラヴァニアのテイルフェザーにいる「ステファニヴィアン」と話そう。			挽回！ 敗者の真実							
ステファニヴィアンと話した。テイルフェザーの北にいる「怪しげな男」と話そう。			ステファニヴィアンと話した。テイルフェザーの北にいる「怪しげな男」と話そう。			挽回！ 敗者の真実							
怪しげな男と話したところ、襲ってきたので、これを討伐した。テイルフェザーの北にいる「フレードゥー」を救助しよう。			怪しげな男と話したところ、襲ってきたので、これを討伐した。テイルフェザーの北にいる「フレードゥー」を救助しよう。			挽回！ 敗者の真実							
フレードゥーを救助した。スカイスチール機工房の「ステファニヴィアン」と話そう。			フレードゥーを救助した。スカイスチール機工房の「ステファニヴィアン」と話そう。			挽回！ 敗者の真実							
ステファニヴィアンと話した。ゼーメル家の悪事を立証することができた。工房の嫌疑が正式に晴れるまで、新たな銃術の腕を磨いておこう。※機工士のレベルが58以上になると、スカイスチール機工房のステファニヴィアンから次の機工士クエストを受注することができます。			ステファニヴィアンと話した。ゼーメル家の悪事を立証することができた。工房の嫌疑が正式に晴れるまで、新たな銃術の腕を磨いておこう。※機工士のレベルが58以上になると、スカイスチール機工房のステファニヴィアンから次の機工士クエストを受注することができます。			挽回！ 敗者の真実							
ステファニヴィアンと話す			ステファニヴィアンと話す			挽回！ 敗者の真実							
忘れられた騎士亭でセレストと話す			忘れられた騎士亭でセレストと話す			挽回！ 敗者の真実							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			挽回！ 敗者の真実							
テイルフェザーのステファニヴィアンと話す			テイルフェザーのステファニヴィアンと話す			挽回！ 敗者の真実							
怪しげな男と話す			怪しげな男と話す			挽回！ 敗者の真実							
フレードゥーを救助する			フレードゥーを救助する			挽回！ 敗者の真実							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			挽回！ 敗者の真実							
よく来てくれた、Forename。新しい銃術も、使いこなせているようだね。			よく来てくれた、Forename。新しい銃術も、使いこなせているようだね。			挽回！ 敗者の真実							
(-厳めしい声-)ステファニヴィアン卿は、おられるか！？貴殿が管轄する「スカイスチール機工房」に、内乱予備罪の嫌疑ありと告発が成された！			(-厳めしい声-)ステファニヴィアン卿は、おられるか！？貴殿が管轄する「スカイスチール機工房」に、内乱予備罪の嫌疑ありと告発が成された！			挽回！ 敗者の真実							
内乱予備罪だって！？待ってくれ……まったく身に覚えがないんだが？			内乱予備罪だって！？待ってくれ……まったく身に覚えがないんだが？			挽回！ 敗者の真実							
この工房に出入りする平民に武器を支給し、雲霧街で発砲騒ぎを起こさせたという告発があったのだ。			この工房に出入りする平民に武器を支給し、雲霧街で発砲騒ぎを起こさせたという告発があったのだ。			挽回！ 敗者の真実							
ああ……ジョイの父上を連れ戻しに行った時か……。			ああ……ジョイの父上を連れ戻しに行った時か……。			挽回！ 敗者の真実							
これにより、しばしの間、工房を監視下に置くこととする。期間中に疑いを晴らせぬようなら、工房の閉鎖……および、関係者の投獄もあり得ると心得よ！			これにより、しばしの間、工房を監視下に置くこととする。期間中に疑いを晴らせぬようなら、工房の閉鎖……および、関係者の投獄もあり得ると心得よ！			挽回！ 敗者の真実							
くっ、やられた……。俺たちがジョイの父上を助け出すことすらも、テダルグランシュの想定内だったということか！？			くっ、やられた……。俺たちがジョイの父上を助け出すことすらも、テダルグランシュの想定内だったということか！？			挽回！ 敗者の真実							
なるほど、その手で来たか……。しかし、お上に目を付けられたとあっちゃ、お先は真っ暗だな。このまま行けば、工房の閉鎖も時間の問題だろうよ。			なるほど、その手で来たか……。しかし、お上に目を付けられたとあっちゃ、お先は真っ暗だな。このまま行けば、工房の閉鎖も時間の問題だろうよ。			挽回！ 敗者の真実							
そんなことさせない、対策を考える……！			そんなことさせない、対策を考える……！			挽回！ 敗者の真実							
お上に目を付けられたとあっちゃ、お先は真っ暗だな。このまま行けば、工房の閉鎖も時間の問題だろうよ。			お上に目を付けられたとあっちゃ、お先は真っ暗だな。このまま行けば、工房の閉鎖も時間の問題だろうよ。			挽回！ 敗者の真実							
お言葉ですが……雲霧街での発砲は、監禁された父を助け出すためのもの……。それを理由に内乱予備罪だなんて、濡れ衣もいいところです！			お言葉ですが……雲霧街での発砲は、監禁された父を助け出すためのもの……。それを理由に内乱予備罪だなんて、濡れ衣もいいところです！			挽回！ 敗者の真実							
あの気取った貴族め、ここまで仕掛けていたとは……。			あの気取った貴族め、ここまで仕掛けていたとは……。			挽回！ 敗者の真実							
いつの時代も、「やっていないことの証明」は難しい……。むしろ、テダルグランシュ側の罪の証拠を提出して、告発し返す方が上策だな。			いつの時代も、「やっていないことの証明」は難しい……。むしろ、テダルグランシュ側の罪の証拠を提出して、告発し返す方が上策だな。			挽回！ 敗者の真実							
敵は狡猾だから、難しいだろう……。おっと、指南役の契約を逸脱するから、俺は手伝わないぞ。			敵は狡猾だから、難しいだろう……。おっと、指南役の契約を逸脱するから、俺は手伝わないぞ。			挽回！ 敗者の真実							
その契約も、そろそろ終わる。工房がどうなろうと、俺は次の場所に行くだけだ。			その契約も、そろそろ終わる。工房がどうなろうと、俺は次の場所に行くだけだ。			挽回！ 敗者の真実							
指南役は、相変わらずつれないですねぇ……。あっしは、誘拐騒ぎとゼーメル家の繋がりを探ってみやす。忘れられた騎士亭にいるんで、手伝いをよこしてください。			指南役は、相変わらずつれないですねぇ……。あっしは、誘拐騒ぎとゼーメル家の繋がりを探ってみやす。忘れられた騎士亭にいるんで、手伝いをよこしてください。			挽回！ 敗者の真実							
工房がなくなってしまっては、困ります！ジョイも聞き込みに行ってみます！			工房がなくなってしまっては、困ります！ジョイも聞き込みに行ってみます！			挽回！ 敗者の真実							
ジョイも、自発的に動いてくれるようになって頼もしいよ。俺は工房に残って、監視の目を引きつけておこう。すまないが、君はセレストを手伝ってくれ。			ジョイも、自発的に動いてくれるようになって頼もしいよ。俺は工房に残って、監視の目を引きつけておこう。すまないが、君はセレストを手伝ってくれ。			挽回！ 敗者の真実							
いつの時代も、「やっていないことの証明」は難しい……。むしろ、テダルグランシュ側の罪の証拠を提出して、告発し返す方が上策だな。			いつの時代も、「やっていないことの証明」は難しい……。むしろ、テダルグランシュ側の罪の証拠を提出して、告発し返す方が上策だな。			挽回！ 敗者の真実							
わざわざ出向いてもらって、すみやせん。監視されてる工房じゃ、こっちの動きが敵に筒抜け……。ここなら平民が多いし、何かと動きやすいんでさぁ。			わざわざ出向いてもらって、すみやせん。監視されてる工房じゃ、こっちの動きが敵に筒抜け……。ここなら平民が多いし、何かと動きやすいんでさぁ。			挽回！ 敗者の真実							
ジョイの父を監禁していた男を覚えてやすか？フレードゥーという名なんですが、工房に入って以来、熱心に銃術を学んでいたものの、数日前から姿を消してます……。			ジョイの父を監禁していた男を覚えてやすか？フレードゥーという名なんですが、工房に入って以来、熱心に銃術を学んでいたものの、数日前から姿を消してます……。			挽回！ 敗者の真実							
ヤツの棲家を訪れたところ、賊に襲われた形跡がありやした。手がかりは、不自然に落ちていたチョコボの羽根だけ……。			ヤツの棲家を訪れたところ、賊に襲われた形跡がありやした。手がかりは、不自然に落ちていたチョコボの羽根だけ……。			挽回！ 敗者の真実							
あっしの見立てじゃ、この羽根は野生のチョコボのものです。足が付くことを嫌い、都市外の荒くれ者を雇って、フレードゥーを襲わせた可能性がありやす。			あっしの見立てじゃ、この羽根は野生のチョコボのものです。足が付くことを嫌い、都市外の荒くれ者を雇って、フレードゥーを襲わせた可能性がありやす。			挽回！ 敗者の真実							
……すると、賊はテイルフェザーから来た連中かもしれやせん。工房長に話して、調査を進めてみてください。あっしは、都市内での調査を続けます。			……すると、賊はテイルフェザーから来た連中かもしれやせん。工房長に話して、調査を進めてみてください。あっしは、都市内での調査を続けます。			挽回！ 敗者の真実							
……なるほど、事情はわかった。フレードゥーに金を掴ませたヤツを辿れば、ゼーメル家の関与を証明できるかもしれないな。			……なるほど、事情はわかった。フレードゥーに金を掴ませたヤツを辿れば、ゼーメル家の関与を証明できるかもしれないな。			挽回！ 敗者の真実							
では、俺たちも、さっそく調べに行くとするか。高地ドラヴァニアの「テイルフェザー」で落ち合おう。			では、俺たちも、さっそく調べに行くとするか。高地ドラヴァニアの「テイルフェザー」で落ち合おう。			挽回！ 敗者の真実							
高地ドラヴァニアの「テイルフェザー」で落ち合おう。			高地ドラヴァニアの「テイルフェザー」で落ち合おう。			挽回！ 敗者の真実							
来たか、Forename……。さっそく猟師たちに話を聞いてみたんだが、どうやら、フレードゥーらしき男を連れた一団がいるらしい。			来たか、Forename……。さっそく猟師たちに話を聞いてみたんだが、どうやら、フレードゥーらしき男を連れた一団がいるらしい。			挽回！ 敗者の真実							
俺たちは、南の方を探してみる。君は、北の方を調べてくれるか？怪しい者がいたら、声をかけてみるんだ。			俺たちは、南の方を探してみる。君は、北の方を調べてくれるか？怪しい者がいたら、声をかけてみるんだ。			挽回！ 敗者の真実							
ちっ……貴様、見たな！？野郎ども、こいつをやっちまえ！			ちっ……貴様、見たな！？野郎ども、こいつをやっちまえ！			挽回！ 敗者の真実							
なぜ、あなたがここに……！？			なぜ、あなたがここに……！？			挽回！ 敗者の真実							
ああ……助かりました……。一度ならず二度までも、ありがとうございます。			ああ……助かりました……。一度ならず二度までも、ありがとうございます。			挽回！ 敗者の真実							
フレードゥー、無事だったか？行方知れずになったと聞いて、驚いたぞ。……いったい、何があったんだ？			フレードゥー、無事だったか？行方知れずになったと聞いて、驚いたぞ。……いったい、何があったんだ？			挽回！ 敗者の真実							
工房長……すみません！ねぐらに戻ったところを、連中に襲われまして……脅されて、神殿騎士様の前で偽証しちまいました……。			工房長……すみません！ねぐらに戻ったところを、連中に襲われまして……脅されて、神殿騎士様の前で偽証しちまいました……。			挽回！ 敗者の真実							
告発に協力するよう強要されたんだな？脅されたのなら仕方ない、証言を訂正してくれればいいさ。それよりも、ゼーメル家との繋がりを示す証拠はないか？			告発に協力するよう強要されたんだな？脅されたのなら仕方ない、証言を訂正してくれればいいさ。それよりも、ゼーメル家との繋がりを示す証拠はないか？			挽回！ 敗者の真実							
これは「ゼーメル家の印章」か……。フレードゥーを襲った連中が持っていたとなると、これを使って皇都に出入りしていれば、有力な証拠になる。			これは「ゼーメル家の印章」か……。フレードゥーを襲った連中が持っていたとなると、これを使って皇都に出入りしていれば、有力な証拠になる。			挽回！ 敗者の真実							
工房長、本当にすみません……。脅されていたとはいえ、俺は恩を仇で返しちまいました……。……もう工房には戻れねぇ。			工房長、本当にすみません……。脅されていたとはいえ、俺は恩を仇で返しちまいました……。……もう工房には戻れねぇ。			挽回！ 敗者の真実							
フレードゥー、気にするな。俺としては、工房に戻ってきてくれた方が、数倍助かるよ。			フレードゥー、気にするな。俺としては、工房に戻ってきてくれた方が、数倍助かるよ。			挽回！ 敗者の真実							
貴族のような財や権力を持たずとも、「機工士」としての技術を学ぶことで、自立できる……。俺は、工房をそんな場所にしていきたいのだ。			貴族のような財や権力を持たずとも、「機工士」としての技術を学ぶことで、自立できる……。俺は、工房をそんな場所にしていきたいのだ。			挽回！ 敗者の真実							
「機工士」の銃は、竜だけじゃなくて、自由を縛る枷をも撃ち抜けるんですよ。ジョイにできたんですから、フレードゥーさんもできます！			「機工士」の銃は、竜だけじゃなくて、自由を縛る枷をも撃ち抜けるんですよ。ジョイにできたんですから、フレードゥーさんもできます！			挽回！ 敗者の真実							
いっしょに、『竜を討つ槍となり、皇都を護る盾となる』……そんな「機工士」を目指しましょう……！			いっしょに、『竜を討つ槍となり、皇都を護る盾となる』……そんな「機工士」を目指しましょう……！			挽回！ 敗者の真実							
うう……みんな、ありがてぇ……。今度こそ、がんばり抜いてみせます……！			うう……みんな、ありがてぇ……。今度こそ、がんばり抜いてみせます……！			挽回！ 敗者の真実							
間違えるのは、仕方ない。その経験を糧に、うまくいくまで、何度でもやり直せばいい。さあ、工房へ帰ろう！			間違えるのは、仕方ない。その経験を糧に、うまくいくまで、何度でもやり直せばいい。さあ、工房へ帰ろう！			挽回！ 敗者の真実							
Forename……。今回も協力してくれて、ありがとう。集まった証拠は、まとめて神殿騎士団に提出しておいたよ。			Forename……。今回も協力してくれて、ありがとう。集まった証拠は、まとめて神殿騎士団に提出しておいたよ。			挽回！ 敗者の真実							
フレードゥーも証言を訂正してくれたおかげで、神殿騎士団に、テダルグランシュの悪事も立証できた。			フレードゥーも証言を訂正してくれたおかげで、神殿騎士団に、テダルグランシュの悪事も立証できた。			挽回！ 敗者の真実							
俺たちの嫌疑を取り下げる手続きも始まったようだから、嫌疑は、いずれ完全に晴れるだろう。			俺たちの嫌疑を取り下げる手続きも始まったようだから、嫌疑は、いずれ完全に晴れるだろう。			挽回！ 敗者の真実							
それまでは、さらなる鍛練に励むようにって、指南役から、君への伝言を頼まれたよ。			それまでは、さらなる鍛練に励むようにって、指南役から、君への伝言を頼まれたよ。			挽回！ 敗者の真実							
雲霧街のヒルダは、機工房からの連絡を伝えたいようだ。			雲霧街のヒルダは、機工房からの連絡を伝えたいようだ。			我は銃士、友は騎士							
ヒルダによると、宝剣フルンティングの検査結果が出たらしい。スカイスチール機工房の「ステファニヴィアン」と話そう。			ヒルダによると、宝剣フルンティングの検査結果が出たらしい。スカイスチール機工房の「ステファニヴィアン」と話そう。			我は銃士、友は騎士							
ステファニヴィアンと話した。宝剣フルンティングの柄に小型の爆弾が仕掛けられており、それを叙任式のさなかに爆発させることで、銃士隊を追い込み、平民を牽制するのが、敵の目的だと考えた一同。そこで、敵の逆手を取り、一網打尽にする作戦をミュースカダンは提案した。雲霧街の「ヒルダ」と話そう。			ステファニヴィアンと話した。宝剣フルンティングの柄に小型の爆弾が仕掛けられており、それを叙任式のさなかに爆発させることで、銃士隊を追い込み、平民を牽制するのが、敵の目的だと考えた一同。そこで、敵の逆手を取り、一網打尽にする作戦をミュースカダンは提案した。雲霧街の「ヒルダ」と話そう。			我は銃士、友は騎士							
ヒルダと話した。ミュースカダンの作戦どおり、事件の黒幕であった元異端審問官のメリジ男爵夫人とその仲間たちを確保することができた。イシュガルド下層へ向かおう。			ヒルダと話した。ミュースカダンの作戦どおり、事件の黒幕であった元異端審問官のメリジ男爵夫人とその仲間たちを確保することができた。イシュガルド下層へ向かおう。			我は銃士、友は騎士							
今回の事件をとおして、ヒルダとミュースカダンの確執が解けたようだ。また、彼女たちが姉弟であったこともわかった。雲霧街の「ヒルダ」と話そう。			今回の事件をとおして、ヒルダとミュースカダンの確執が解けたようだ。また、彼女たちが姉弟であったこともわかった。雲霧街の「ヒルダ」と話そう。			我は銃士、友は騎士							
ヒルダと話した。事件を解決した銃士隊の実力を認め、指南は終わったとロスティンスタルは去っていった。銃士隊は、イシュガルドを守る力のひとつとして、これからも活躍し続けていくだろう。※以下の条件を満たすと、スカイスチール機工房のステファニヴィアンから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			ヒルダと話した。事件を解決した銃士隊の実力を認め、指南は終わったとロスティンスタルは去っていった。銃士隊は、イシュガルドを守る力のひとつとして、これからも活躍し続けていくだろう。※以下の条件を満たすと、スカイスチール機工房のステファニヴィアンから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			我は銃士、友は騎士							
ステファニヴィアンと話す			ステファニヴィアンと話す			我は銃士、友は騎士							
ヒルダと話す			ヒルダと話す			我は銃士、友は騎士							
神殿騎士と異端審問官を倒せ			神殿騎士と異端審問官を倒せ			我は銃士、友は騎士							
メリジ男爵夫人を倒せ			メリジ男爵夫人を倒せ			我は銃士、友は騎士							
やれやれ、気がついたら事件の捜査にどっぷりだ。最初は指南だけのつもりだったんだが……。これは報酬に色をつけてもらわんとな。			やれやれ、気がついたら事件の捜査にどっぷりだ。最初は指南だけのつもりだったんだが……。これは報酬に色をつけてもらわんとな。			我は銃士、友は騎士							
おう、ちょうどいいときに来てくれたな。ついさっき、機工房から連絡が来たよ。宝剣の検査結果が出たってさ。			おう、ちょうどいいときに来てくれたな。ついさっき、機工房から連絡が来たよ。宝剣の検査結果が出たってさ。			我は銃士、友は騎士							
関係者全員で結果を聞くんで、アンタもスカイスチール機工房へ向かってくれ。			関係者全員で結果を聞くんで、アンタもスカイスチール機工房へ向かってくれ。			我は銃士、友は騎士							
……叙任式まで、もう時間がねえ。へへっ、やってやるぜ！			……叙任式まで、もう時間がねえ。へへっ、やってやるぜ！			我は銃士、友は騎士							
検査結果がどうであれ、俺たち銃士隊は、やるべきことをやるだけだ。			検査結果がどうであれ、俺たち銃士隊は、やるべきことをやるだけだ。			我は銃士、友は騎士							
宝剣の検査結果を聞くから、スカイスチール機工房へ向かってくれ。			宝剣の検査結果を聞くから、スカイスチール機工房へ向かってくれ。			我は銃士、友は騎士							
