双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			仮宿を訪ねて							
(-チョコヴォイス-)さぁ、目指すは「ゆりかごの大樹」！先に行ってますから、ついて来てくださいねっ！待っていてください、御子ちゃま！　クエーーーッ！！			(-チョコヴォイス-)さぁ、目指すは「ゆりかごの大樹」！先に行ってますから、ついて来てくださいねっ！待っていてください、御子ちゃま！　クエーーーッ！！			奇跡の目撃者							
ぶ、ぶっちっち……。ヘッポコ学者どのは、ヘマふむにちがいないでぶっち。一緒についていってあげてほちいでぶっち。			ぶ、ぶっちっち……。ヘッポコ学者どのは、ヘマふむにちがいないでぶっち。一緒についていってあげてほちいでぶっち。			奇跡の目撃者							
チョコボが一匹歩きしてたら、魔物に狙われると思うので、「ゆりかごの大樹」の付近まで護衛をお願いします！もし、はぐれてしまったら、ここに戻りますね！			チョコボが一匹歩きしてたら、魔物に狙われると思うので、「ゆりかごの大樹」の付近まで護衛をお願いします！もし、はぐれてしまったら、ここに戻りますね！			奇跡の目撃者							
出発ですクエーーッ！			出発ですクエーーッ！			奇跡の目撃者							
い、一時退散ですクエッ			い、一時退散ですクエッ			奇跡の目撃者							
チョコヴォイスとはぐれてしまいました。護衛開始地点に戻ったチョコヴォイスに話しかけてもう一度、この場所まで護衛してください。			チョコヴォイスとはぐれてしまいました。護衛開始地点に戻ったチョコヴォイスに話しかけてもう一度、この場所まで護衛してください。			奇跡の目撃者							
チョコヴォイスがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			チョコヴォイスがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			奇跡の目撃者							
(-チョコヴォイス-)とうちゃクエッ！ふぅ、長い道のりでしたね……「御子ちゃまのゆりかご」はすぐそこです、クエッ！			(-チョコヴォイス-)とうちゃクエッ！ふぅ、長い道のりでしたね……「御子ちゃまのゆりかご」はすぐそこです、クエッ！			奇跡の目撃者							
目的地に到達しました。チョコヴォイスの護衛を終了することができます。			目的地に到達しました。チョコヴォイスの護衛を終了することができます。			奇跡の目撃者							
パーティを組んで護衛をしている場合、このまま終了すると、目的地に触れていないパーティメンバーの護衛は失敗となります。			パーティを組んで護衛をしている場合、このまま終了すると、目的地に触れていないパーティメンバーの護衛は失敗となります。			奇跡の目撃者							
パーティメンバーの状況を確認したうえで、チョコヴォイスの護衛を終了してください。			パーティメンバーの状況を確認したうえで、チョコヴォイスの護衛を終了してください。			奇跡の目撃者							
チョコヴォイスの護衛を終了しますか？			チョコヴォイスの護衛を終了しますか？			奇跡の目撃者							
はい			はい			奇跡の目撃者							
いいえ			いいえ			奇跡の目撃者							
(カット)			(カット)			奇跡の目撃者							
ふはははは……やはりきたでふっち。オマエたちも懲りないでふっち。いい加減、あきらめるでふっち！			ふはははは……やはりきたでふっち。オマエたちも懲りないでふっち。いい加減、あきらめるでふっち！			奇跡の目撃者							
……見るでふっち！			……見るでふっち！			奇跡の目撃者							
間もなく、御子ちゃまは誕生するでふっち！我々シルフ族の、新たな時代の到来でふっち！			間もなく、御子ちゃまは誕生するでふっち！我々シルフ族の、新たな時代の到来でふっち！			奇跡の目撃者							
もう「テイコク」なんか恐くないでふっち！オレちゃまたちに盾つくヤツは、まとめて森の肥やしにしてやるでふっち！			もう「テイコク」なんか恐くないでふっち！オレちゃまたちに盾つくヤツは、まとめて森の肥やしにしてやるでふっち！			奇跡の目撃者							
……ん？　こんなとこに可愛いチョコボでふっち？			……ん？　こんなとこに可愛いチョコボでふっち？			奇跡の目撃者							
(-チョコヴォイス-)ク、クエーッ！			(-チョコヴォイス-)ク、クエーッ！			奇跡の目撃者							
……まぁ、いいでふっち。まずはオマエを血祭りにあげるのが先でふっち！御子ちゃまには、指一本触れさせないでふっち！			……まぁ、いいでふっち。まずはオマエを血祭りにあげるのが先でふっち！御子ちゃまには、指一本触れさせないでふっち！			奇跡の目撃者							
ふぁーっはっはっはっはぁでふーっち！！			ふぁーっはっはっはっはぁでふーっち！！			奇跡の目撃者							
(-ディルシオの手下-)オ、オヤビンっ！　大変でふっち！チョコボが……チョコボじゃないでふっちー！			(-ディルシオの手下-)オ、オヤビンっ！　大変でふっち！チョコボが……チョコボじゃないでふっちー！			奇跡の目撃者							
ふ、ふっちっちーっ！？貴様っ！　ただのチョコボじゃないでふっち！？			ふ、ふっちっちーっ！？貴様っ！　ただのチョコボじゃないでふっち！？			奇跡の目撃者							
じゃじゃーん、なんと驚くなかれ！　ボクでした！ふふふふ、見事な変装だったろう？クエーッ！			じゃじゃーん、なんと驚くなかれ！　ボクでした！ふふふふ、見事な変装だったろう？クエーッ！			奇跡の目撃者							
冒険者さん、後を追ってきてください！ボクは「ゆりかご」を持って逃げます！この体力の続く限り……！			冒険者さん、後を追ってきてください！ボクは「ゆりかご」を持って逃げます！この体力の続く限り……！			奇跡の目撃者							
くっ……おのれ……まんまと騙されたでふっち！待つでふっちー！			くっ……おのれ……まんまと騙されたでふっち！待つでふっちー！			奇跡の目撃者							
くっ、はぁはぁはぁはぁ……。ダメだ……もう足が……動かない……。			くっ、はぁはぁはぁはぁ……。ダメだ……もう足が……動かない……。			奇跡の目撃者							
ごめんなさい……冒険者さん……ボクはやはり皆の言うとおり、ヘッポコな男です……。でも最後の最後で……少しは役に立てた……かな……？			ごめんなさい……冒険者さん……ボクはやはり皆の言うとおり、ヘッポコな男です……。でも最後の最後で……少しは役に立てた……かな……？			奇跡の目撃者							
御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			奇跡の目撃者							
（カット）			（カット）			奇跡の目撃者							
清らかな空気により疲れが癒され、運搬状態の効果時間が延長された！			清らかな空気により疲れが癒され、運搬状態の効果時間が延長された！			奇跡の目撃者							
指定された運搬状態でなければ効果はありません。開始地点に戻ると、再び運搬状態になります。			指定された運搬状態でなければ効果はありません。開始地点に戻ると、再び運搬状態になります。			奇跡の目撃者							
「御子ちゃまのゆりかご」の運搬では、道中の「ゲッコウソウ」に触れることで、運搬の効果時間を延長できます。			「御子ちゃまのゆりかご」の運搬では、道中の「ゲッコウソウ」に触れることで、運搬の効果時間を延長できます。			奇跡の目撃者							
よかった……間に合った。はぁ、なんとか無事に帰ってきましたよ。何度も死ぬかと思いました……。			よかった……間に合った。はぁ、なんとか無事に帰ってきましたよ。何度も死ぬかと思いました……。			奇跡の目撃者							
冒険者さん、本当にありがとうございました。今回の件で、ボクは自分の無力さを心底、思い知りました。			冒険者さん、本当にありがとうございました。今回の件で、ボクは自分の無力さを心底、思い知りました。			奇跡の目撃者							
机上で空論を並べただけでは、決して博物学者は務まらない。現地に赴き、観て、聴いて、そして知る。真実は書架ではなく、もっと広い世界にあるんだ……。			机上で空論を並べただけでは、決して博物学者は務まらない。現地に赴き、観て、聴いて、そして知る。真実は書架ではなく、もっと広い世界にあるんだ……。			奇跡の目撃者							
さぁ、共にこの目に焼きつけましょう。千代に一度の、シルフ族の奇跡の瞬間を……！			さぁ、共にこの目に焼きつけましょう。千代に一度の、シルフ族の奇跡の瞬間を……！			奇跡の目撃者							
お……おおお……！ついに、御子ちゃまの誕生でぶっち……！			お……おおお……！ついに、御子ちゃまの誕生でぶっち……！			奇跡の目撃者							
(-伝説の御子-)……あたぴを呼ぶのは……誰でふっち……？			(-伝説の御子-)……あたぴを呼ぶのは……誰でふっち……？			奇跡の目撃者							
……ワチシは仮宿の長、フリクシオでぶっち。御子ちゃま。お前さんを、この仮宿の家族に迎えたいと思うでぶっち。			……ワチシは仮宿の長、フリクシオでぶっち。御子ちゃま。お前さんを、この仮宿の家族に迎えたいと思うでぶっち。			奇跡の目撃者							
さぁ、共に手を取り合い、平和なシルフ族の世界を創るでぶっち！			さぁ、共に手を取り合い、平和なシルフ族の世界を創るでぶっち！			奇跡の目撃者							
(-伝説の御子-)……それが、アナタたちの願いなら……あたぴは……その願いを……叶えるために、生まれたでふっち……。			(-伝説の御子-)……それが、アナタたちの願いなら……あたぴは……その願いを……叶えるために、生まれたでふっち……。			奇跡の目撃者							
よろぴくでぶっち。			よろぴくでぶっち。			奇跡の目撃者							
(-伝説の御子-)こちらこそ……よろぴくでふっち……。			(-伝説の御子-)こちらこそ……よろぴくでふっち……。			奇跡の目撃者							
やぁ、おかえり。先ほど、ヴォイス氏からの手紙を受け取ってね。君のシルフ領での大活躍、聞き及んでいるよ。			やぁ、おかえり。先ほど、ヴォイス氏からの手紙を受け取ってね。君のシルフ領での大活躍、聞き及んでいるよ。			奇跡の目撃者							
「伝説の御子」も無事、仮宿のシルフ族に保護されたようだし、シルフ領のシルフ族も、しばらく鳴りを潜めるだろう。			「伝説の御子」も無事、仮宿のシルフ族に保護されたようだし、シルフ領のシルフ族も、しばらく鳴りを潜めるだろう。			奇跡の目撃者							
「双蛇党」を代表して、君に謝意を伝えよう。ありがとう、Forename。しばしの間、グリダニアで冒険の疲れを癒してくれたまえ。			「双蛇党」を代表して、君に謝意を伝えよう。ありがとう、Forename。しばしの間、グリダニアで冒険の疲れを癒してくれたまえ。			奇跡の目撃者							
敵の気配を感じた！！			敵の気配を感じた！！			奇跡の目撃者							
さぁ、行きましょう！目指すは「ゆりかごの大樹」！待っていてください、御子ちゃま！　クエーーーッ！！			さぁ、行きましょう！目指すは「ゆりかごの大樹」！待っていてください、御子ちゃま！　クエーーーッ！！			奇跡の目撃者							
御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			奇跡の目撃者							
冒険者さん、今回の件では本当にお世話になりました。双蛇党のボルセルさんには、ボクの方から報告しておきます。			冒険者さん、今回の件では本当にお世話になりました。双蛇党のボルセルさんには、ボクの方から報告しておきます。			奇跡の目撃者							
ボクはもう少し、このシルフの仮宿に留まり、彼らの生態について研究を続けようと思います。……そして、もう少し彼らと仲良くなれるよう、努力します！			ボクはもう少し、このシルフの仮宿に留まり、彼らの生態について研究を続けようと思います。……そして、もう少し彼らと仲良くなれるよう、努力します！			奇跡の目撃者							
冒険者さん……頼むでぶっち。シルフ族の未来は、お前さんの肩にかかってるのでぶっち！			冒険者さん……頼むでぶっち。シルフ族の未来は、お前さんの肩にかかってるのでぶっち！			奇跡の目撃者							
「御子ちゃま」は、ワチシら仮宿のシルフ族が育て親になり、立派な指導者にするでぶっち！			「御子ちゃま」は、ワチシら仮宿のシルフ族が育て親になり、立派な指導者にするでぶっち！			奇跡の目撃者							
御子ちゃまがオトナになるころには、きっと、シルフ族はみんな仲良くなって、この森も今より、ずっと住みやすくなるでぶっち！			御子ちゃまがオトナになるころには、きっと、シルフ族はみんな仲良くなって、この森も今より、ずっと住みやすくなるでぶっち！			奇跡の目撃者							
ク、クエッ！？あ、ありましたよ……！あそこにあるのが、伝説の御子の「ゆりかご」ですっ！			ク、クエッ！？あ、ありましたよ……！あそこにあるのが、伝説の御子の「ゆりかご」ですっ！			奇跡の目撃者							
待つでふっち！御子ちゃまを返すでふっち！			待つでふっち！御子ちゃまを返すでふっち！			奇跡の目撃者							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			奇跡の目撃者							
「シルフ族：仮宿のシルフ」との友好関係が「信頼」になりました。冒険者の活躍は、シルフ族の間でも広く語られるでしょう！			「シルフ族：仮宿のシルフ」との友好関係が「信頼」になりました。冒険者の活躍は、シルフ族の間でも広く語られるでしょう！			奇跡の目撃者							
また、「シルフ族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「シルフ族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			奇跡の目撃者							
