シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
あの、なぜテントーワ殿はこんなにも深い眠りに？報告で聞いていたほかの被害者たちは、もっと短期間で目が覚めていたそうですが……。			あの、なぜテントーワ殿はこんなにも深い眠りに？報告で聞いていたほかの被害者たちは、もっと短期間で目が覚めていたそうですが……。			夢に見た光景							
それは……ごめん、ワタシにもわからない。			それは……ごめん、ワタシにもわからない。			夢に見た光景							
でもね、前例がないわけじゃない。うちの部族でも、これまでに何度か、眠り子が眠りから覚めなくなることがあったらしいの。			でもね、前例がないわけじゃない。うちの部族でも、これまでに何度か、眠り子が眠りから覚めなくなることがあったらしいの。			夢に見た光景							
そのまま目覚めなければ、衰弱して死んじゃうだけ。だから、なんとかして目を覚まさせるために、ある薬を飲ませたって聞いたことがある。			そのまま目覚めなければ、衰弱して死んじゃうだけ。だから、なんとかして目を覚まさせるために、ある薬を飲ませたって聞いたことがある。			夢に見た光景							
それは、どんな薬なのです？			それは、どんな薬なのです？			夢に見た光景							
深い眠りに落ちた身体に、優しい太陽の光で快適な目覚めを促す秘薬……春陽の雫。それを飲ませれば、きっと無事に目を覚ますと思う！			深い眠りに落ちた身体に、優しい太陽の光で快適な目覚めを促す秘薬……春陽の雫。それを飲ませれば、きっと無事に目を覚ますと思う！			夢に見た光景							
素材のいくつかはワタシが持ってるけど、新鮮さが大事なものは、今から集めてこなくちゃダメ。			素材のいくつかはワタシが持ってるけど、新鮮さが大事なものは、今から集めてこなくちゃダメ。			夢に見た光景							
ひとつは、こっちでの名前は知らないけど、雲よりも高い場所に咲く、黄色い花。			ひとつは、こっちでの名前は知らないけど、雲よりも高い場所に咲く、黄色い花。			夢に見た光景							
太陽の光を直接浴び続けたその花は、身体を浄化しつつ、目覚めを促す効果があるとか。			太陽の光を直接浴び続けたその花は、身体を浄化しつつ、目覚めを促す効果があるとか。			夢に見た光景							
ドラヴァニア雲海に、ダンデライオンという花が咲いています。エオルゼアの最高峰の頂きと同等の標高にある場所ですから、その条件に適うでしょう。			ドラヴァニア雲海に、ダンデライオンという花が咲いています。エオルゼアの最高峰の頂きと同等の標高にある場所ですから、その条件に適うでしょう。			夢に見た光景							
それから……モルボルって魔物の、とびっきり濃密な唾液！強い刺激臭で、深い眠りから目覚める効果があるって。			それから……モルボルって魔物の、とびっきり濃密な唾液！強い刺激臭で、深い眠りから目覚める効果があるって。			夢に見た光景							
モルボルなら低地ドラヴァニアにおりますが、好戦的で凶暴なものほど唾液も熟成されているはず。そういう個体を探して討伐すれば、手に入りそうですね。			モルボルなら低地ドラヴァニアにおりますが、好戦的で凶暴なものほど唾液も熟成されているはず。そういう個体を探して討伐すれば、手に入りそうですね。			夢に見た光景							
しかし、そうですか、アレの唾液を薬に……。			しかし、そうですか、アレの唾液を薬に……。			夢に見た光景							
そのふたつさえ揃えば、春陽の雫が作れるよ！キミなら、両方とも手に入れられないかな？			そのふたつさえ揃えば、春陽の雫が作れるよ！キミなら、両方とも手に入れられないかな？			夢に見た光景							
ありがとう！じゃあ、モルボルは後にした方がいいから、先に「燦々と輝くダンデライオン」の方からお願い！			ありがとう！じゃあ、モルボルは後にした方がいいから、先に「燦々と輝くダンデライオン」の方からお願い！			夢に見た光景							
眠ってる人をじっと見てるだけで、こんなにも不安になるなんて知らなかった。……早く声が聴きたいよ。			眠ってる人をじっと見てるだけで、こんなにも不安になるなんて知らなかった。……早く声が聴きたいよ。			夢に見た光景							
テントーワ殿の身を案じ、単身海を渡ってきたローデニケ殿。その想いの強さがあってこそ、「眠り子」たる重責に耐えられたのでしょうね。			テントーワ殿の身を案じ、単身海を渡ってきたローデニケ殿。その想いの強さがあってこそ、「眠り子」たる重責に耐えられたのでしょうね。			夢に見た光景							
「燦々と輝くダンデライオン」は十分集まった。次は低地ドラヴァニアへ向かい、「熟成されたモルボルの唾液」を手に入れよう。			「燦々と輝くダンデライオン」は十分集まった。次は低地ドラヴァニアへ向かい、「熟成されたモルボルの唾液」を手に入れよう。			夢に見た光景							
おお、秘薬の素材が集まったのですね？ならば、ローデニケ殿にお渡しください。			おお、秘薬の素材が集まったのですね？ならば、ローデニケ殿にお渡しください。			夢に見た光景							
こっちの準備は完了！「燦々と輝くダンデライオン」と、「熟成されたモルボルの唾液」は集まった？			こっちの準備は完了！「燦々と輝くダンデライオン」と、「熟成されたモルボルの唾液」は集まった？			夢に見た光景							
ありがとう、これで必要な素材が揃ったね。それじゃ、さっそく春陽の雫を作って飲ませよう！			ありがとう、これで必要な素材が揃ったね。それじゃ、さっそく春陽の雫を作って飲ませよう！			夢に見た光景							
これでよし……。あとは目覚めるのを待つだけ！			これでよし……。あとは目覚めるのを待つだけ！			夢に見た光景							
あれ、ここは……？			あれ、ここは……？			夢に見た光景							
この、ねぼすけ！			この、ねぼすけ！			夢に見た光景							
……やっと起きた。			……やっと起きた。			夢に見た光景							
ローデニケ！？オマエ、どうして……			ローデニケ！？オマエ、どうして……			夢に見た光景							
そっか……オレ、祭器で眠らされちゃって。その間にローデニケがこっちに来たんだな。			そっか……オレ、祭器で眠らされちゃって。その間にローデニケがこっちに来たんだな。			夢に見た光景							
クソッ、せっかくレオフィーヌを見つけたのに。肝心なときに役に立たなくて、何が「眠らずの勇士」だよ！			クソッ、せっかくレオフィーヌを見つけたのに。肝心なときに役に立たなくて、何が「眠らずの勇士」だよ！			夢に見た光景							
テントーワが気にすることじゃないよ。祭器を盗まれちゃったのも、元はと言えば、ワタシのせいだから……。			テントーワが気にすることじゃないよ。祭器を盗まれちゃったのも、元はと言えば、ワタシのせいだから……。			夢に見た光景							
違う、アレはオマエのせいなんかじゃ……！			違う、アレはオマエのせいなんかじゃ……！			夢に見た光景							
レオフィーヌは、トラル大陸を旅する学者と名乗り、うちの祭器を見たいと言って里にやってきたの。それで、里のオキテをいろいろ教えちゃったんだけど……。			レオフィーヌは、トラル大陸を旅する学者と名乗り、うちの祭器を見たいと言って里にやってきたの。それで、里のオキテをいろいろ教えちゃったんだけど……。			夢に見た光景							
祭器は「眠らずの勇士」が常に持ってると知ると、彼女は「眠り子」を利用することを思いついた。……つまり、ワタシを人質にした。			祭器は「眠らずの勇士」が常に持ってると知ると、彼女は「眠り子」を利用することを思いついた。……つまり、ワタシを人質にした。			夢に見た光景							
アイツは眠ってるローデニケの首に刃を当てて……だからオレは、祭器を渡すよりほかに仕方なかった。			アイツは眠ってるローデニケの首に刃を当てて……だからオレは、祭器を渡すよりほかに仕方なかった。			夢に見た光景							
部族全体の未来よりも、ローデニケひとりの命を優先するなんてさ。勇士としては……失格だ。			部族全体の未来よりも、ローデニケひとりの命を優先するなんてさ。勇士としては……失格だ。			夢に見た光景							
何と言う？			何と言う？			夢に見た光景							
祭器を取り返せば帳消しだ			祭器を取り返せば帳消しだ			夢に見た光景							
ひとりを護らずして、部族の未来はない			ひとりを護らずして、部族の未来はない			夢に見た光景							
ああ、オレだって諦めたわけじゃない。やられた分は、やり返す！			ああ、オレだって諦めたわけじゃない。やられた分は、やり返す！			夢に見た光景							
ワタシもいるから、3人でがんばろう！			ワタシもいるから、3人でがんばろう！			夢に見た光景							
そう言ってもらえると、ちょっとだけ安心できるな。オレも、ローデニケがいない未来なんて、考えられないし。			そう言ってもらえると、ちょっとだけ安心できるな。オレも、ローデニケがいない未来なんて、考えられないし。			夢に見た光景							
祭器がなくたって、テントーワは勇士だよ。これからのこと、一緒に考えていこう！			祭器がなくたって、テントーワは勇士だよ。これからのこと、一緒に考えていこう！			夢に見た光景							
へへ、おかげで元気が出た。			へへ、おかげで元気が出た。			夢に見た光景							
そうだ、オマエに大事なことを言うの忘れてた。オレが寝ちゃった後、皆を護ってくれてありがとな！			そうだ、オマエに大事なことを言うの忘れてた。オレが寝ちゃった後、皆を護ってくれてありがとな！			夢に見た光景							
オマエがいれば、安心して祭器に挑める。次こそレオフィーヌを倒すぞ！			オマエがいれば、安心して祭器に挑める。次こそレオフィーヌを倒すぞ！			夢に見た光景							
ローデニケ殿の秘薬は、効果があったようですね。ともに歩くテントーワ殿の目が、以前よりも英気に満ちているように見えましたよ。			ローデニケ殿の秘薬は、効果があったようですね。ともに歩くテントーワ殿の目が、以前よりも英気に満ちているように見えましたよ。			夢に見た光景							
薬を実際に調合するのは初めてだったけど、ちゃんとうまくいってよかった！			薬を実際に調合するのは初めてだったけど、ちゃんとうまくいってよかった！			夢に見た光景							
あのさ……。眠ってる間、夢を見てたんだ。			あのさ……。眠ってる間、夢を見てたんだ。			夢に見た光景							
オレとローデニケがまだ子どもの頃。何も特別なことはなかったんだけど、気兼ねなく、朝から晩までふたりで過ごしてて……。			オレとローデニケがまだ子どもの頃。何も特別なことはなかったんだけど、気兼ねなく、朝から晩までふたりで過ごしてて……。			夢に見た光景							
夢って眠らないと見られないから、なんていうか、とても久しぶりで、懐かしかった。			夢って眠らないと見られないから、なんていうか、とても久しぶりで、懐かしかった。			夢に見た光景							
だから、もっと見ていたくて、このまま覚めないでくれなんて思いもした。でも、現実ってやつはそう甘くない。			だから、もっと見ていたくて、このまま覚めないでくれなんて思いもした。でも、現実ってやつはそう甘くない。			夢に見た光景							
すぐに、目が覚めて……そしたらローデニケがいた。			すぐに、目が覚めて……そしたらローデニケがいた。			夢に見た光景							
レオフィーヌから祭器を取り戻したらさ。オマエは、また前みたいに眠ってばかりになるのかな？			レオフィーヌから祭器を取り戻したらさ。オマエは、また前みたいに眠ってばかりになるのかな？			夢に見た光景							
きっと、そうだね。それが「眠り子」の役目だから……。			きっと、そうだね。それが「眠り子」の役目だから……。			夢に見た光景							
だよな～。そのために、はるばるイシュガルドまで来たんだし。			だよな～。そのために、はるばるイシュガルドまで来たんだし。			夢に見た光景							
……でも、オレは嫌だな。			……でも、オレは嫌だな。			夢に見た光景							
えっ？			えっ？			夢に見た光景							
眠ってばかりいること、ローデニケも納得してるはずだなんて、思い込もうとしてたけどさ……そんなわけあるかよ、つらいに決まってるじゃないか。			眠ってばかりいること、ローデニケも納得してるはずだなんて、思い込もうとしてたけどさ……そんなわけあるかよ、つらいに決まってるじゃないか。			夢に見た光景							
オレが取り戻すべきなのは、祭器が盗まれる前の暮らしじゃなくて……オマエとずっと一緒にいられた、あの頃の方だったんだ。			オレが取り戻すべきなのは、祭器が盗まれる前の暮らしじゃなくて……オマエとずっと一緒にいられた、あの頃の方だったんだ。			夢に見た光景							
だから、これからは探してみたい。オレとオマエの、別の未来を。			だから、これからは探してみたい。オレとオマエの、別の未来を。			夢に見た光景							
ただ、それもまだ先の話。今は、レオフィーヌを倒して、祭器を取り戻すことを最優先に考えないとな！			ただ、それもまだ先の話。今は、レオフィーヌを倒して、祭器を取り戻すことを最優先に考えないとな！			夢に見た光景							
実は、目覚めてからずっと気になってることがあるんだ。			実は、目覚めてからずっと気になってることがあるんだ。			夢に見た光景							
オレの身体なんだけどさ……眠ってただけにしちゃ、妙にダルいんだ。			オレの身体なんだけどさ……眠ってただけにしちゃ、妙にダルいんだ。			夢に見た光景							
なんていうか、生命力を吸い取られたような感じで、手に全然力が入らなくて……。			なんていうか、生命力を吸い取られたような感じで、手に全然力が入らなくて……。			夢に見た光景							
何と言う？			何と言う？			夢に見た光景							
祭器は生命力を吸ってしまう……？			祭器は生命力を吸ってしまう……？			夢に見た光景							
レオフィーヌの身体は、力がみなぎっていたようだった			レオフィーヌの身体は、力がみなぎっていたようだった			夢に見た光景							
まさか……祭器には、オレたちが知らない力があったのか！？			まさか……祭器には、オレたちが知らない力があったのか！？			夢に見た光景							
というより、ワタシたちが勘違いしてたのかも。本当は相手の生命力を吸う能力だとしたら……。			というより、ワタシたちが勘違いしてたのかも。本当は相手の生命力を吸う能力だとしたら……。			夢に見た光景							
生命力を吸われた側は意識を失って眠り、吸った側は、元気になって眠りを必要としなくなる。……そういうことか。			生命力を吸われた側は意識を失って眠り、吸った側は、元気になって眠りを必要としなくなる。……そういうことか。			夢に見た光景							
少しずつ必要な分の生命力しか吸わないかぎりは、やがて目覚める浅い眠りになる。けれど全力で吸えば、相手の命に関わるような深い眠りに……！			少しずつ必要な分の生命力しか吸わないかぎりは、やがて目覚める浅い眠りになる。けれど全力で吸えば、相手の命に関わるような深い眠りに……！			夢に見た光景							
レオフィーヌもこのことに気がついてたら……ますます面倒なことになりそうだ。祭器を使われる前に、仕留める方法を考えなきゃ……！			レオフィーヌもこのことに気がついてたら……ますます面倒なことになりそうだ。祭器を使われる前に、仕留める方法を考えなきゃ……！			夢に見た光景							
悔しいけど、今のオレは本調子じゃない。失った力を取り戻すために、修行をするのが最優先だ。			悔しいけど、今のオレは本調子じゃない。失った力を取り戻すために、修行をするのが最優先だ。			夢に見た光景							
だから、少しだけ時間がほしい。その間オマエも腕を磨いておいてくれよな！			だから、少しだけ時間がほしい。その間オマエも腕を磨いておいてくれよな！			夢に見た光景							
聖バルロアイアン広場のテントーワは、まだ調子が万全ではないようだ。			聖バルロアイアン広場のテントーワは、まだ調子が万全ではないようだ。			人間の限界							
レオフィーヌと同じ部隊だった神殿騎士たちから話を聞くことになった。イシュガルドの聖バルロアイアン広場の「テントーワ」と話そう。			レオフィーヌと同じ部隊だった神殿騎士たちから話を聞くことになった。イシュガルドの聖バルロアイアン広場の「テントーワ」と話そう。			人間の限界							
テントーワを連れてイシュガルド下層の神殿騎士たちと話し、レオフィーヌに関する情報を集めよう。※同行状態が解除された場合、再度「テントーワ」に話しかけることで同行を再開できます。			テントーワを連れてイシュガルド下層の神殿騎士たちと話し、レオフィーヌに関する情報を集めよう。※同行状態が解除された場合、再度「テントーワ」に話しかけることで同行を再開できます。			人間の限界							
神殿騎士たちから、レオフィーヌに関する話を聞いた。テントーワを連れてイシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			神殿騎士たちから、レオフィーヌに関する話を聞いた。テントーワを連れてイシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			人間の限界							
アンドゥルーと話した。レオフィーヌを誘い出すための計画を、神殿騎士団内部で検討してもらうことになった。聖バルロアイアン広場の「テントーワ」と話そう。			アンドゥルーと話した。レオフィーヌを誘い出すための計画を、神殿騎士団内部で検討してもらうことになった。聖バルロアイアン広場の「テントーワ」と話そう。			人間の限界							
テントーワと話した。神殿騎士団の決定について、アンドゥルーから連絡が来るのを待とう。※いずれかのTANKジョブのレベルが100以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			テントーワと話した。神殿騎士団の決定について、アンドゥルーから連絡が来るのを待とう。※いずれかのTANKジョブのレベルが100以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			人間の限界							
テントーワと話して同行させる			テントーワと話して同行させる			人間の限界							
テントーワを連れて神殿騎士たちと話す			テントーワを連れて神殿騎士たちと話す			人間の限界							
テントーワを連れてアンドゥルーと話す			テントーワを連れてアンドゥルーと話す			人間の限界							
テントーワと話す			テントーワと話す			人間の限界							
ここしばらく、レオフィーヌの動きが静かなのが気になりますね。口にしていた「本番」とやらに備えて、ふたたび眠気が貯まるのを待っているとか……？			ここしばらく、レオフィーヌの動きが静かなのが気になりますね。口にしていた「本番」とやらに備えて、ふたたび眠気が貯まるのを待っているとか……？			人間の限界							
ほかにも春陽の雫を作っておければいいんだけど、ワタシが持ってきた材料は、もうなくなっちゃったから……。祭器を使われる前に、こっちから仕掛けて倒すしかないね。			ほかにも春陽の雫を作っておければいいんだけど、ワタシが持ってきた材料は、もうなくなっちゃったから……。祭器を使われる前に、こっちから仕掛けて倒すしかないね。			人間の限界							
ああ、Forename。オレの力は、少しずつだけど戻ってきてるぞ。			ああ、Forename。オレの力は、少しずつだけど戻ってきてるぞ。			人間の限界							
でも、元どおりじゃ足りない。前よりも強くなって、今度こそレオフィーヌを捕まえてやる。			でも、元どおりじゃ足りない。前よりも強くなって、今度こそレオフィーヌを捕まえてやる。			人間の限界							
ねえねえ、「自由の扉」っていう連中は、世界中でいろんな国を相手に戦いを仕掛けてるんでしょ？			ねえねえ、「自由の扉」っていう連中は、世界中でいろんな国を相手に戦いを仕掛けてるんでしょ？			人間の限界							
それなのに、レオフィーヌはどうして、イシュガルドの中でも、神殿騎士団だけを狙ってるの？			それなのに、レオフィーヌはどうして、イシュガルドの中でも、神殿騎士団だけを狙ってるの？			人間の限界							
それは、アイツが元神殿騎士だから、彼らの行動を読めるんじゃないかって話だったよな。			それは、アイツが元神殿騎士だから、彼らの行動を読めるんじゃないかって話だったよな。			人間の限界							
だったら、こっちもレオフィーヌのことを知るべきじゃない？彼女の行動を読めるようになれば、後手に回ることもなくなるはず。			だったら、こっちもレオフィーヌのことを知るべきじゃない？彼女の行動を読めるようになれば、後手に回ることもなくなるはず。			人間の限界							
って言われても、どうしたらいいんだ？フィルマルベルに聞くのか？			って言われても、どうしたらいいんだ？フィルマルベルに聞くのか？			人間の限界							
彼にはもう聞いたよ。そしたら、レオフィーヌのことは、同じ隊にいた人の方が詳しいって言ってた。			彼にはもう聞いたよ。そしたら、レオフィーヌのことは、同じ隊にいた人の方が詳しいって言ってた。			人間の限界							
何人かは交代で街の警備をしてるらしくて、その場所を教えてくれたんだ。			何人かは交代で街の警備をしてるらしくて、その場所を教えてくれたんだ。			人間の限界							
へ～、やるじゃないか、ローデニケ！			へ～、やるじゃないか、ローデニケ！			人間の限界							
こんなに長く起きてることなんてなかったから。何かしてないと、眠くなっちゃいそうで。			こんなに長く起きてることなんてなかったから。何かしてないと、眠くなっちゃいそうで。			人間の限界							
それじゃ、あとはこっちに任せてちょっと休んでくれよ。オレが寝てる間、オマエにも迷惑かけちゃったからな。			それじゃ、あとはこっちに任せてちょっと休んでくれよ。オレが寝てる間、オマエにも迷惑かけちゃったからな。			人間の限界							
そうは言っても……テントーワだってイシュガルドのこと、よく知らないでしょ？話を聞いても、ピンと来ないんじゃ……。			そうは言っても……テントーワだってイシュガルドのこと、よく知らないでしょ？話を聞いても、ピンと来ないんじゃ……。			人間の限界							
そうだ、Forename。キミも一緒に話を聞いてきてくれないかな？			そうだ、Forename。キミも一緒に話を聞いてきてくれないかな？			人間の限界							
ありがとう！それじゃ、話を聞かせてくれそうな人の場所を教えておくね。			ありがとう！それじゃ、話を聞かせてくれそうな人の場所を教えておくね。			人間の限界							
神殿騎士レオフィーヌの悪評は皆が知るところでしたが、個人としての側面は、あまり知られていません。同じ隊で任務に就いていた者であれば、あるいは……。			神殿騎士レオフィーヌの悪評は皆が知るところでしたが、個人としての側面は、あまり知られていません。同じ隊で任務に就いていた者であれば、あるいは……。			人間の限界							
同じ神殿騎士団の中でも、皆が皆、顔見知りってわけでもないんだね。ここには本当にたくさんの人がいるんだなぁ。			同じ神殿騎士団の中でも、皆が皆、顔見知りってわけでもないんだね。ここには本当にたくさんの人がいるんだなぁ。			人間の限界							
レオフィーヌと同じ部隊だった騎士たちか……あんなヤツと一緒に働くなんて想像もできないや。			レオフィーヌと同じ部隊だった騎士たちか……あんなヤツと一緒に働くなんて想像もできないや。			人間の限界							
けど、そういうことも知っておけば、アイツの考えが読めて、先回りができるかも。早速、過去を知る神殿騎士たちに話を聞きにいこう！			けど、そういうことも知っておけば、アイツの考えが読めて、先回りができるかも。早速、過去を知る神殿騎士たちに話を聞きにいこう！			人間の限界							
何をする？			何をする？			人間の限界							
話す			話す			人間の限界							
同行状態を解除する			同行状態を解除する			人間の限界							
キャンセル			キャンセル			人間の限界							
神殿騎士って、この街全部を護るのが役目なんだろ？さすがにこの広さをひとりじゃ無理だよな～。			神殿騎士って、この街全部を護るのが役目なんだろ？さすがにこの広さをひとりじゃ無理だよな～。			人間の限界							
信頼できる仲間だけで固められるならともかく、現実には、レオフィーヌみたいなヤツが必ず紛れこむ。			信頼できる仲間だけで固められるならともかく、現実には、レオフィーヌみたいなヤツが必ず紛れこむ。			人間の限界							
うちの部族みたいに、サカ・トラルの端で、ひっそりと過ごすのが安全だって言いたかったけれど……どうするのが一番なんだろう？			うちの部族みたいに、サカ・トラルの端で、ひっそりと過ごすのが安全だって言いたかったけれど……どうするのが一番なんだろう？			人間の限界							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			人間の限界							
えっ、どこか別のところに行くのか？まぁいいけど、オレだけだと話わかんないかもしれないし……さっきのところに戻ってオマエを待ってるよ。			えっ、どこか別のところに行くのか？まぁいいけど、オレだけだと話わかんないかもしれないし……さっきのところに戻ってオマエを待ってるよ。			人間の限界							
もういいのか？それじゃ、一緒に行こうぜ！			もういいのか？それじゃ、一緒に行こうぜ！			人間の限界							
「聖レネットの像」について話す			「聖レネットの像」について話す			人間の限界							
イシュガルドの人たちは、戦いの神様を信仰してるんだろ？それなのに、ただの人間の石像も祀ってるって、不思議な気がするんだよなー。			イシュガルドの人たちは、戦いの神様を信仰してるんだろ？それなのに、ただの人間の石像も祀ってるって、不思議な気がするんだよなー。			人間の限界							
うちの部族じゃ、死んだ人間の霊が迷い出ないよう、絵を描いたり像を造ったりして、集落に飾ることはしない。唯一の例外が、イッカクの祭器だ。			うちの部族じゃ、死んだ人間の霊が迷い出ないよう、絵を描いたり像を造ったりして、集落に飾ることはしない。唯一の例外が、イッカクの祭器だ。			人間の限界							
これまでにも偉大な「眠らずの勇士」はたくさんいたけど、それは全部祭器のおかげ。			これまでにも偉大な「眠らずの勇士」はたくさんいたけど、それは全部祭器のおかげ。			人間の限界							
だから、イッカクへの感謝を表すためにも、ほかの誰の姿も残すべきじゃない。部族が未来に続いてるなら、それだけで十分だよ。			だから、イッカクへの感謝を表すためにも、ほかの誰の姿も残すべきじゃない。部族が未来に続いてるなら、それだけで十分だよ。			人間の限界							
これは英雄殿。私に何か御用でしょうか？			これは英雄殿。私に何か御用でしょうか？			人間の限界							
む、私に何か？警備任務中につき、用がないのであれば、私語は控えさせていただく。			む、私に何か？警備任務中につき、用がないのであれば、私語は控えさせていただく。			人間の限界							
こちらは異状ありません！引き続き警戒にあたります。			こちらは異状ありません！引き続き警戒にあたります。			人間の限界							
このクエストを進行させるには、テントーワが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、テントーワが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			人間の限界							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			人間の限界							
これは英雄殿。私に何か御用でしょうか？			これは英雄殿。私に何か御用でしょうか？			人間の限界							
レオフィーヌですか……。意外かもしれませんが、彼女は貴族の家柄の生まれで、自分のように平民出身の騎士とはまるで異なる経歴の持ち主。			レオフィーヌですか……。意外かもしれませんが、彼女は貴族の家柄の生まれで、自分のように平民出身の騎士とはまるで異なる経歴の持ち主。			人間の限界							
ですが、常々、自分を縛りつけるイシュガルドの伝統や、貴族の責任にまつわる因習を疎んじる発言をしていました。彼女が自由を愛するのは、そういう事情があってのこと。			ですが、常々、自分を縛りつけるイシュガルドの伝統や、貴族の責任にまつわる因習を疎んじる発言をしていました。彼女が自由を愛するのは、そういう事情があってのこと。			人間の限界							
素行の悪さから不名誉除隊となり、爵位も剥奪されましたが、それはむしろ彼女の望むところだったのでしょう。			素行の悪さから不名誉除隊となり、爵位も剥奪されましたが、それはむしろ彼女の望むところだったのでしょう。			人間の限界							
従うのがイヤなら、出てけばいいだけだからな。			従うのがイヤなら、出てけばいいだけだからな。			人間の限界							
現在は反国家活動に従事しているそうですね。彼女のような身勝手な人間を束ねているリーダーとは、いったいどんな人物なのか……？			現在は反国家活動に従事しているそうですね。彼女のような身勝手な人間を束ねているリーダーとは、いったいどんな人物なのか……？			人間の限界							
誰も彼もが勝手に振る舞えば、必ず他者の自由を侵害します。そうならぬよう規律で各人の権利を保障しているというのに、なぜ極端な思想に傾倒するのか……理解に苦しみます。			誰も彼もが勝手に振る舞えば、必ず他者の自由を侵害します。そうならぬよう規律で各人の権利を保障しているというのに、なぜ極端な思想に傾倒するのか……理解に苦しみます。			人間の限界							
他者に眠気を移すことは、不自由を強いているに等しい。己がもっとも忌み嫌うことを率先してやっているあたり、自分さえよければいいのだ、という下劣さが透けて見えますね。			他者に眠気を移すことは、不自由を強いているに等しい。己がもっとも忌み嫌うことを率先してやっているあたり、自分さえよければいいのだ、という下劣さが透けて見えますね。			人間の限界							
む、私に何か？警備任務中につき、用がないのであれば、私語は控えたいのだが……。			む、私に何か？警備任務中につき、用がないのであれば、私語は控えたいのだが……。			人間の限界							
ふむ……レオフィーヌが放逐されたきっかけが、ある任務中の失態にあったことは知っているか？			ふむ……レオフィーヌが放逐されたきっかけが、ある任務中の失態にあったことは知っているか？			人間の限界							
彼奴の短剣の技量や騎乗術は皆が一目置くところ。しかし素行が悪く、夜も休まずに賭け事に興じていたせいか、あるとき、護衛任務中に居眠りをしおったのだ。			彼奴の短剣の技量や騎乗術は皆が一目置くところ。しかし素行が悪く、夜も休まずに賭け事に興じていたせいか、あるとき、護衛任務中に居眠りをしおったのだ。			人間の限界							
その隙にドラゴン族の襲撃を受け、護るべき民が犠牲に……。許しがたき利敵行為として断罪され、爵位剥奪、除隊となった。			その隙にドラゴン族の襲撃を受け、護るべき民が犠牲に……。許しがたき利敵行為として断罪され、爵位剥奪、除隊となった。			人間の限界							
それって……今起きてる事件と、まるっきり同じじゃないか！			それって……今起きてる事件と、まるっきり同じじゃないか！			人間の限界							
そういう経緯から、おそらく彼奴は睡眠というものを、ある種の喪失や恐怖の象徴だと考えているのだろう。だから我らに押しつけようとしているのだ。			そういう経緯から、おそらく彼奴は睡眠というものを、ある種の喪失や恐怖の象徴だと考えているのだろう。だから我らに押しつけようとしているのだ。			人間の限界							
同時に、睡眠を克服し、自由に操れるようになった自分を、全能者か何かだと思っているのではないか。私はそう思う。			同時に、睡眠を克服し、自由に操れるようになった自分を、全能者か何かだと思っているのではないか。私はそう思う。			人間の限界							
護り手であれば、休養の重要性が理解できるはず。それなのに、夜通し遊ぶために睡眠を拒絶するとは……まったく、馬鹿げている。			護り手であれば、休養の重要性が理解できるはず。それなのに、夜通し遊ぶために睡眠を拒絶するとは……まったく、馬鹿げている。			人間の限界							
こちらは異状ありません！……が、何か御用でしょうか？			こちらは異状ありません！……が、何か御用でしょうか？			人間の限界							
……レオフィーヌについては、悪名だけが知られていますが、なかなかの策士であったのも事実。戦果をあげるためならば、地道な下準備も厭わぬ性格でした。			……レオフィーヌについては、悪名だけが知られていますが、なかなかの策士であったのも事実。戦果をあげるためならば、地道な下準備も厭わぬ性格でした。			人間の限界							
アイツは、コッカテンプクってやつのために、具体的に何をしようとしているんだ？			アイツは、コッカテンプクってやつのために、具体的に何をしようとしているんだ？			人間の限界							
連中の規模を考えると、全面攻撃を仕掛けてくるとは思えません。おそらく、国家の威信を揺らがせることで、連鎖的に混乱を巻き起こすようなやり方ではないかと。			連中の規模を考えると、全面攻撃を仕掛けてくるとは思えません。おそらく、国家の威信を揺らがせることで、連鎖的に混乱を巻き起こすようなやり方ではないかと。			人間の限界							
たとえば……近く我々が予定している、バヌバヌ族の氏族「大らかなズンド」に対する表敬訪問。それが狙われる危険性が指摘されています。			たとえば……近く我々が予定している、バヌバヌ族の氏族「大らかなズンド」に対する表敬訪問。それが狙われる危険性が指摘されています。			人間の限界							
ファルコンネストでの記念式典のように、反対勢力に利用され、争いの火種となった例もありますので……本部のアンドゥルー卿が、開催の是非を慎重に検討中です。			ファルコンネストでの記念式典のように、反対勢力に利用され、争いの火種となった例もありますので……本部のアンドゥルー卿が、開催の是非を慎重に検討中です。			人間の限界							
ズンド族への表敬訪問については、神殿騎士団本部にいる、アンドゥルー卿が取り仕切っています。詳しくはあの方にお尋ねください。			ズンド族への表敬訪問については、神殿騎士団本部にいる、アンドゥルー卿が取り仕切っています。詳しくはあの方にお尋ねください。			人間の限界							
