キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
オク・ブンド・ヴァナのズンド族の間諜は、冒険者に用があるようだ。			オク・ブンド・ヴァナのズンド族の間諜は、冒険者に用があるようだ。			間諜の言葉							
ズンド族の間諜から、部下の情報を長老へ伝えるよう頼まれた。オク・ブンド・ヴァナで、3人の「隠れ潜むズンド族」を探そう。			ズンド族の間諜から、部下の情報を長老へ伝えるよう頼まれた。オク・ブンド・ヴァナで、3人の「隠れ潜むズンド族」を探そう。			間諜の言葉							
隠れ潜むズンド族から話を聞いた。アバラシア雲海のオク・ズンドにいる「ソヌバヌ」と話そう。			隠れ潜むズンド族から話を聞いた。アバラシア雲海のオク・ズンドにいる「ソヌバヌ」と話そう。			間諜の言葉							
情報をソヌバヌに伝えた。人が捕虜になっているという穏やかではない状況だが、ソヌバヌから今は自分に預けてほしいと頼まれた。			情報をソヌバヌに伝えた。人が捕虜になっているという穏やかではない状況だが、ソヌバヌから今は自分に預けてほしいと頼まれた。			間諜の言葉							
隠れ潜むズンド族を探す			隠れ潜むズンド族を探す			間諜の言葉							
ソヌバヌに報告			ソヌバヌに報告			間諜の言葉							
なんと、なんと、ヒトがいる！？こんなところで、旅のおヒトに会えるとは、恵まれし機会。			なんと、なんと、ヒトがいる！？こんなところで、旅のおヒトに会えるとは、恵まれし機会。			間諜の言葉							
実は、ブンドの情報を探っているのだが、知りうることを、一刻も早く「オク・ズンド」の長老に伝えたい。どうか、どうか、頼まれてくれないか？			実は、ブンドの情報を探っているのだが、知りうることを、一刻も早く「オク・ズンド」の長老に伝えたい。どうか、どうか、頼まれてくれないか？			間諜の言葉							
ここの、ここの、付近に俺の部下が3人潜んでいる。雲間に流れる煙のように簡単には見つからないが、情報を聞き、長老「ソヌバヌ」に報告してほしい。			ここの、ここの、付近に俺の部下が3人潜んでいる。雲間に流れる煙のように簡単には見つからないが、情報を聞き、長老「ソヌバヌ」に報告してほしい。			間諜の言葉							
ここの、ここの、付近に俺の部下が3人潜んでいる。雲間に流れる煙のように簡単には見つからないが、情報を聞き、長老「ソヌバヌ」に報告してほしい。			ここの、ここの、付近に俺の部下が3人潜んでいる。雲間に流れる煙のように簡単には見つからないが、情報を聞き、長老「ソヌバヌ」に報告してほしい。			間諜の言葉							
お頭からの依頼とは、なるほど、なるほど、了解した。すごい、すごい、情報だ。ブンドはヒトを捕虜にしている。			お頭からの依頼とは、なるほど、なるほど、了解した。すごい、すごい、情報だ。ブンドはヒトを捕虜にしている。			間諜の言葉							
ヒトがお頭の使いとなるなど、実に驚いた。どこかに、どこかに、捕虜がいるらしい。しっかり、しっかり、伝えてくれよ。			ヒトがお頭の使いとなるなど、実に驚いた。どこかに、どこかに、捕虜がいるらしい。しっかり、しっかり、伝えてくれよ。			間諜の言葉							
お頭の言葉であるなら、話をしよう。ズンドが裏切らないか、見張っているブンドがいる。とても、とても、重要な情報だから気をつけろ。			お頭の言葉であるなら、話をしよう。ズンドが裏切らないか、見張っているブンドがいる。とても、とても、重要な情報だから気をつけろ。			間諜の言葉							
部下から情報を聞いたなら、一刻も早く「オク・ズンド」の長老……「ソヌバヌ」に伝えてほしい。			部下から情報を聞いたなら、一刻も早く「オク・ズンド」の長老……「ソヌバヌ」に伝えてほしい。			間諜の言葉							
お頭からの依頼とは、なるほど、なるほど、了解した。すごい、すごい、情報だ。ブンドはヒトを捕虜にしている。			お頭からの依頼とは、なるほど、なるほど、了解した。すごい、すごい、情報だ。ブンドはヒトを捕虜にしている。			間諜の言葉							
ヒトがお頭の使いとなるなど、実に驚いた。どこかに、どこかに、捕虜がいるらしい。しっかり、しっかり、伝えてくれよ。			ヒトがお頭の使いとなるなど、実に驚いた。どこかに、どこかに、捕虜がいるらしい。しっかり、しっかり、伝えてくれよ。			間諜の言葉							
お頭の言葉であるなら、話をしよう。ズンドが裏切らないか、見張っているブンドがいる。とても、とても、重要な情報だから気をつけろ。			お頭の言葉であるなら、話をしよう。ズンドが裏切らないか、見張っているブンドがいる。とても、とても、重要な情報だから気をつけろ。			間諜の言葉							
……なるほど、なるほど、状況は理解いたしました。ヒトの勇者よ、感謝いたします。持ち帰りし情報は、我らの今後をも左右しかねないもの。			……なるほど、なるほど、状況は理解いたしました。ヒトの勇者よ、感謝いたします。持ち帰りし情報は、我らの今後をも左右しかねないもの。			間諜の言葉							
嵐の前の穏やかな時間よりも猶予はないが、今は、今は、このソヌバヌに預けていただきたい。……しかし、黒き鎧の者どもを調べに行った者はまだ帰らぬか。			嵐の前の穏やかな時間よりも猶予はないが、今は、今は、このソヌバヌに預けていただきたい。……しかし、黒き鎧の者どもを調べに行った者はまだ帰らぬか。			間諜の言葉							
オク・ズンドのガヌバリは、とても怒っているようだ。			オク・ズンドのガヌバリは、とても怒っているようだ。			娘っ子を守れ							
ガヌバリからちょっかいをかけてくるブンド族を妨害するため、サヌワ・ブンドを倒すよう頼まれた。アバラシア雲海のオク・ブンド・ヴァナにいる「サヌワ・ブンド」を3体討伐しよう。			ガヌバリからちょっかいをかけてくるブンド族を妨害するため、サヌワ・ブンドを倒すよう頼まれた。アバラシア雲海のオク・ブンド・ヴァナにいる「サヌワ・ブンド」を3体討伐しよう。			娘っ子を守れ							
サヌワ・ブンドを討伐した。オク・ズンドの「ガヌバリ」に報告しよう。			サヌワ・ブンドを討伐した。オク・ズンドの「ガヌバリ」に報告しよう。			娘っ子を守れ							
ガヌバリに報告をした。雲海の移動に困っているブンド族を見て、怒りは治まったようだ。			ガヌバリに報告をした。雲海の移動に困っているブンド族を見て、怒りは治まったようだ。			娘っ子を守れ							
サヌワ・ブンドを討伐			サヌワ・ブンドを討伐			娘っ子を守れ							
ガヌバリに報告			ガヌバリに報告			娘っ子を守れ							
まったく、まったく、けしからんよ！ブンド族には困ったものよ！ズンド族の娘っ子がかわいそうよ！			まったく、まったく、けしからんよ！ブンド族には困ったものよ！ズンド族の娘っ子がかわいそうよ！			娘っ子を守れ							
旅のおヒトの手を貸してほしいよ。いたずらするブンド族を、懲らしめてやりたいのよ！でも、でも、直接攻撃してもダメなのよ。			旅のおヒトの手を貸してほしいよ。いたずらするブンド族を、懲らしめてやりたいのよ！でも、でも、直接攻撃してもダメなのよ。			娘っ子を守れ							
ブンド族の「サヌワ・ブンド」を3体ボコボコにするのよ！雲間を抜ける迅雷のような仕事をお願いよ。			ブンド族の「サヌワ・ブンド」を3体ボコボコにするのよ！雲間を抜ける迅雷のような仕事をお願いよ。			娘っ子を守れ							
ブンド族の「サヌワ・ブンド」を3体ボコボコにするのよ！雲間を抜ける迅雷のような仕事をお願いよ。			ブンド族の「サヌワ・ブンド」を3体ボコボコにするのよ！雲間を抜ける迅雷のような仕事をお願いよ。			娘っ子を守れ							
ありがとう、旅のおヒト！とっても、とっても、ブンド族慌ててたよ！暗雲が晴れたようにすっきりしたよ。			ありがとう、旅のおヒト！とっても、とっても、ブンド族慌ててたよ！暗雲が晴れたようにすっきりしたよ。			娘っ子を守れ							
これで、これで、しばらく悪さはできないはずよ。丸々太ってかわいらしい、ズンド族の娘っ子も安心よ。全部、全部、旅のおヒトのおかげよ。			これで、これで、しばらく悪さはできないはずよ。丸々太ってかわいらしい、ズンド族の娘っ子も安心よ。全部、全部、旅のおヒトのおかげよ。			娘っ子を守れ							
オク・ズンドのヒヌバリは、冒険者へ危険な頼みがあるようだ。			オク・ズンドのヒヌバリは、冒険者へ危険な頼みがあるようだ。			貢ぐ、奪う、蓄える							
ヒヌバリから、ズンド族の貢ぎ物を奪ってくるよう頼まれた。アバラシア雲海のオク・ブンド・ヴァナにある「ズンド族の貢ぎ物」を3個入手しよう。			ヒヌバリから、ズンド族の貢ぎ物を奪ってくるよう頼まれた。アバラシア雲海のオク・ブンド・ヴァナにある「ズンド族の貢ぎ物」を3個入手しよう。			貢ぐ、奪う、蓄える							
ズンド族の貢ぎ物を3個奪った。オク・ズンドの「ヒヌバリ」に「ズンド族の貢ぎ物」を渡そう。			ズンド族の貢ぎ物を3個奪った。オク・ズンドの「ヒヌバリ」に「ズンド族の貢ぎ物」を渡そう。			貢ぐ、奪う、蓄える							
ヒヌバリにズンド族の貢ぎ物を渡した。ズンド族はブンド族に貢物をすることで安全を買っているそうだ。しかし、その安全もブンド族の気分次第なので、貢物を奪い返し、蓄えておきたいというのが依頼の理由だった。			ヒヌバリにズンド族の貢ぎ物を渡した。ズンド族はブンド族に貢物をすることで安全を買っているそうだ。しかし、その安全もブンド族の気分次第なので、貢物を奪い返し、蓄えておきたいというのが依頼の理由だった。			貢ぐ、奪う、蓄える							
ズンド族の貢ぎ物を入手			ズンド族の貢ぎ物を入手			貢ぐ、奪う、蓄える							
ヒヌバリにズンド族の貢ぎ物を渡す			ヒヌバリにズンド族の貢ぎ物を渡す			貢ぐ、奪う、蓄える							
絶対に、絶対に、このままじゃいけないわ。雷雲を通り抜けるほどの愚かなことだけど、旅のおヒト、お願いがあるの。			絶対に、絶対に、このままじゃいけないわ。雷雲を通り抜けるほどの愚かなことだけど、旅のおヒト、お願いがあるの。			貢ぐ、奪う、蓄える							
「オク・ブンド・ヴァナ」に保管されている、「ズンド族の貢ぎ物」を奪ってきてほしい。とても、とても、全部は無理だけど、3つだけでも。			「オク・ブンド・ヴァナ」に保管されている、「ズンド族の貢ぎ物」を奪ってきてほしい。とても、とても、全部は無理だけど、3つだけでも。			貢ぐ、奪う、蓄える							
すごく、すごく、危ないことだとわかってる。ただ……このままじゃ、ズンド族は滅びてしまうわ。			すごく、すごく、危ないことだとわかってる。ただ……このままじゃ、ズンド族は滅びてしまうわ。			貢ぐ、奪う、蓄える							
「オク・ブンド・ヴァナ」に保管されている、「ズンド族の貢ぎ物」を奪ってきてほしい。とても、とても、全部は無理だけど、3つだけでも。			「オク・ブンド・ヴァナ」に保管されている、「ズンド族の貢ぎ物」を奪ってきてほしい。とても、とても、全部は無理だけど、3つだけでも。			貢ぐ、奪う、蓄える							
「オク・ブンド・ヴァナ」に保管されている、「ズンド族の貢ぎ物」を奪ってきてほしい。とても、とても、全部は無理だけど、3つだけでも。			「オク・ブンド・ヴァナ」に保管されている、「ズンド族の貢ぎ物」を奪ってきてほしい。とても、とても、全部は無理だけど、3つだけでも。			貢ぐ、奪う、蓄える							
本当に、本当に、取ってきてくれたのね。これで、これで、当面物資には困らないわ。ありがとう、ありがとう。			本当に、本当に、取ってきてくれたのね。これで、これで、当面物資には困らないわ。ありがとう、ありがとう。			貢ぐ、奪う、蓄える							
もともと、これはズンド族からの貢物。毎回、毎回、ブンド族から安全を買っているのよ。			もともと、これはズンド族からの貢物。毎回、毎回、ブンド族から安全を買っているのよ。			貢ぐ、奪う、蓄える							
それも、それも、ブンド族の気分次第。約束を破ることだって考えられるわ。だったら取り返して、蓄えておきたいの。			それも、それも、ブンド族の気分次第。約束を破ることだって考えられるわ。だったら取り返して、蓄えておきたいの。			貢ぐ、奪う、蓄える							
旅のおヒト、本当にありがとう。大地がくれる恵みのような感謝をしてるわ。			旅のおヒト、本当にありがとう。大地がくれる恵みのような感謝をしてるわ。			貢ぐ、奪う、蓄える							
オク・ズンドのアヌバヌは、怒りを露わにしている。			オク・ズンドのアヌバヌは、怒りを露わにしている。			父祖を称えよ							
アヌバヌからブンド・トーテムを破壊するよう頼まれた。アバラシア雲海のクロムレックにいる「ブンド・トーテム」を4体討伐しよう。			アヌバヌからブンド・トーテムを破壊するよう頼まれた。アバラシア雲海のクロムレックにいる「ブンド・トーテム」を4体討伐しよう。			父祖を称えよ							
ブンド・トーテムを4体討伐した。オク・ズンドの「アヌバヌ」に報告しよう。			ブンド・トーテムを4体討伐した。オク・ズンドの「アヌバヌ」に報告しよう。			父祖を称えよ							
アヌバヌに報告した。彼は、偉大な先祖の霊を称えるためのトーテム像を、戦いに使用したことが許せなかったようだ。			アヌバヌに報告した。彼は、偉大な先祖の霊を称えるためのトーテム像を、戦いに使用したことが許せなかったようだ。			父祖を称えよ							
ブンド・トーテムを討伐			ブンド・トーテムを討伐			父祖を称えよ							
アヌバヌに報告			アヌバヌに報告			父祖を称えよ							
……不浄な、不浄な、気配だ！ああ、まったくなんと愚かな行為なのだ！お主、手を貸してくれぬだろうか？			……不浄な、不浄な、気配だ！ああ、まったくなんと愚かな行為なのだ！お主、手を貸してくれぬだろうか？			父祖を称えよ							
場所は、場所は、「クロムレック」。哀れな「ブンド・トーテム」を4つ、破壊してほしい。よろしく、よろしく、頼む。			場所は、場所は、「クロムレック」。哀れな「ブンド・トーテム」を4つ、破壊してほしい。よろしく、よろしく、頼む。			父祖を称えよ							
場所は、場所は、「クロムレック」。哀れな「ブンド・トーテム」を4つ、破壊してほしい。よろしく、よろしく、頼む。			場所は、場所は、「クロムレック」。哀れな「ブンド・トーテム」を4つ、破壊してほしい。よろしく、よろしく、頼む。			父祖を称えよ							
……不浄な、不浄な、気配は消え去った。哀れなトーテム像を破壊してくれたか。感謝する、ヒトよ。			……不浄な、不浄な、気配は消え去った。哀れなトーテム像を破壊してくれたか。感謝する、ヒトよ。			父祖を称えよ							
偉大な、偉大な、先祖を称えるトーテム像を、まじないをかけて、戦に用いるなどしてはならんこと！雨雲を消し飛ばすに値するほど愚かな行為だ！			偉大な、偉大な、先祖を称えるトーテム像を、まじないをかけて、戦に用いるなどしてはならんこと！雨雲を消し飛ばすに値するほど愚かな行為だ！			父祖を称えよ							
どうか、どうか、ヒトよ。お主も、先祖をないがしろにする行為は慎んでほしい。			どうか、どうか、ヒトよ。お主も、先祖をないがしろにする行為は慎んでほしい。			父祖を称えよ							
オク・ブンド・ヴァナの囚われのズンド族は、冒険者に助けを求めている。			オク・ブンド・ヴァナの囚われのズンド族は、冒険者に助けを求めている。			帝国の枷							
囚われのズンド族は、帝国兵から枷の鍵を奪い、自分を解放してほしいようだ。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」を討伐しよう。			囚われのズンド族は、帝国兵から枷の鍵を奪い、自分を解放してほしいようだ。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」を討伐しよう。			帝国の枷							
討伐した帝国兵は枷の鍵を持っていなかった。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを討伐して、「枷の鍵」を入手しよう。			討伐した帝国兵は枷の鍵を持っていなかった。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを討伐して、「枷の鍵」を入手しよう。			帝国の枷							
枷の鍵を入手した。オク・ブンド・ヴァナの「囚われのズンド族」に「枷の鍵」を使おう。			枷の鍵を入手した。オク・ブンド・ヴァナの「囚われのズンド族」に「枷の鍵」を使おう。			帝国の枷							
囚われのズンド族を解放した。彼は、オク・ズンドへ帰っていった。アバラシア雲海のオク・ズンド入口付近にいる「救出されたズンド族」と話そう。			囚われのズンド族を解放した。彼は、オク・ズンドへ帰っていった。アバラシア雲海のオク・ズンド入口付近にいる「救出されたズンド族」と話そう。			帝国の枷							
救出されたズンド族と話した。彼は助けだしてくれた冒険者に、とても感謝したようだ。			救出されたズンド族と話した。彼は助けだしてくれた冒険者に、とても感謝したようだ。			帝国の枷							
帝国兵からまれに得られる枷の鍵を入手			帝国兵からまれに得られる枷の鍵を入手			帝国の枷							
囚われのズンド族に枷の鍵を使う			囚われのズンド族に枷の鍵を使う			帝国の枷							
オク・ズンド入口付近の救出されたズンド族と話す			オク・ズンド入口付近の救出されたズンド族と話す			帝国の枷							
旅のおヒト！？ようやく、ようやく、話の伝わりそうなヒトと会えた。どうか、どうか、助けてもらいたい。			旅のおヒト！？ようやく、ようやく、話の伝わりそうなヒトと会えた。どうか、どうか、助けてもらいたい。			帝国の枷							
黒い鎧のヒトの誰かが、「枷の鍵」を持っているのだよ。なんとか、なんとか、探し出して、どうか、どうか、助けてほしい！			黒い鎧のヒトの誰かが、「枷の鍵」を持っているのだよ。なんとか、なんとか、探し出して、どうか、どうか、助けてほしい！			帝国の枷							
黒い鎧のヒトの誰かが、「枷の鍵」を持っているのだよ。なんとか、なんとか、探し出して、どうか、どうか、助けてほしい！			黒い鎧のヒトの誰かが、「枷の鍵」を持っているのだよ。なんとか、なんとか、探し出して、どうか、どうか、助けてほしい！			帝国の枷							
枷の鍵を見つけてくれたのか！？とても、とても、助かった！吹き返す風のごとく、先に「オク・ズンド」に戻っているよ。			枷の鍵を見つけてくれたのか！？とても、とても、助かった！吹き返す風のごとく、先に「オク・ズンド」に戻っているよ。			帝国の枷							
これは、これは、助けてくれた旅のおヒト！さきほどは、とてもありがとう。大地がくれる恵みのごとく、感謝するよ！			これは、これは、助けてくれた旅のおヒト！さきほどは、とてもありがとう。大地がくれる恵みのごとく、感謝するよ！			帝国の枷							
……そうだ、そうだ、長老へ帰還の報告をしたら、旅のおヒトに、話があるみたいだったよ。気が向いたら声をかけてほしい。			……そうだ、そうだ、長老へ帰還の報告をしたら、旅のおヒトに、話があるみたいだったよ。気が向いたら声をかけてほしい。			帝国の枷							
オク・ズンドのソヌバヌは、冒険者を待っていたようだ。			オク・ズンドのソヌバヌは、冒険者を待っていたようだ。			カゴの中のヒト							
ソヌバヌからブンド族に人が3人捕まっていることを聞いた。アバラシア雲海で「囚われの薔薇騎兵」を探そう。			ソヌバヌからブンド族に人が3人捕まっていることを聞いた。アバラシア雲海で「囚われの薔薇騎兵」を探そう。			カゴの中のヒト							
囚われの薔薇騎兵を発見した。このことを、ラニエットに伝えなければ。ローズハウスの「ラニエット」と話そう。			囚われの薔薇騎兵を発見した。このことを、ラニエットに伝えなければ。ローズハウスの「ラニエット」と話そう。			カゴの中のヒト							
ラニエットに囚われの薔薇騎兵のことを伝えた。彼女は、直ちに救出部隊を送るつもりのようだ。			ラニエットに囚われの薔薇騎兵のことを伝えた。彼女は、直ちに救出部隊を送るつもりのようだ。			カゴの中のヒト							
囚われの薔薇騎兵を探す			囚われの薔薇騎兵を探す			カゴの中のヒト							
ラニエットと話す			ラニエットと話す			カゴの中のヒト							
これは、これは、ヒトの勇者……。あなたが伝えてくださったブンドの捕虜について、我らズンドの間諜が、より詳しい情報を伝えてきました。			これは、これは、ヒトの勇者……。あなたが伝えてくださったブンドの捕虜について、我らズンドの間諜が、より詳しい情報を伝えてきました。			カゴの中のヒト							
ブンドは、吊るしたカゴに、大地に根を張る草木のごとく、3人のヒトの捕虜を閉じ込めているとのこと。どうか捕虜を見つけ、然るべき方へ伝えていただきたい。			ブンドは、吊るしたカゴに、大地に根を張る草木のごとく、3人のヒトの捕虜を閉じ込めているとのこと。どうか捕虜を見つけ、然るべき方へ伝えていただきたい。			カゴの中のヒト							
我らズンドは、ブンドに表立ち逆らうわけにはいきません。しかし、しかし、見過ごすには酷というもの。ヒトの勇者よ、よろしくお願いします。			我らズンドは、ブンドに表立ち逆らうわけにはいきません。しかし、しかし、見過ごすには酷というもの。ヒトの勇者よ、よろしくお願いします。			カゴの中のヒト							
……そうだ、そうだ、長老へ帰還の報告をしたら、旅のおヒトに、話があるみたいだったよ。気が向いたら声をかけてほしい。			……そうだ、そうだ、長老へ帰還の報告をしたら、旅のおヒトに、話があるみたいだったよ。気が向いたら声をかけてほしい。			カゴの中のヒト							
ブンドは、吊るしたカゴに、大地に根を張る草木のごとく、3人のヒトの捕虜を閉じ込めているとのこと。どうか捕虜を見つけ、然るべき方へ伝えていただきたい。			ブンドは、吊るしたカゴに、大地に根を張る草木のごとく、3人のヒトの捕虜を閉じ込めているとのこと。どうか捕虜を見つけ、然るべき方へ伝えていただきたい。			カゴの中のヒト							
冒険者か！？　こんな醜態みせたくはなかったが、面目ない。ラニエット様に無事を伝えてくれ。……決して無理はしないようにともな。			冒険者か！？　こんな醜態みせたくはなかったが、面目ない。ラニエット様に無事を伝えてくれ。……決して無理はしないようにともな。			カゴの中のヒト							
無理をするな、ひとりでどうにかなるものでもないぞ。……大丈夫、すぐに殺されたりはしないだろう。			無理をするな、ひとりでどうにかなるものでもないぞ。……大丈夫、すぐに殺されたりはしないだろう。			カゴの中のヒト							
た、助けですか！？え……？　すぐには助けられない？では、ラニエット様に伝えてください、そうすればきっと……！			た、助けですか！？え……？　すぐには助けられない？では、ラニエット様に伝えてください、そうすればきっと……！			カゴの中のヒト							
ラニエット様に無事を伝えてくれ。……決して無理はしないようにともな。			ラニエット様に無事を伝えてくれ。……決して無理はしないようにともな。			カゴの中のヒト							
私の無事をラニエット様に伝えてほしい。すまないが、よろしく頼む。			私の無事をラニエット様に伝えてほしい。すまないが、よろしく頼む。			カゴの中のヒト							
ラニエット様に伝えてくれれば……きっと！よろしくお願いします！			ラニエット様に伝えてくれれば……きっと！よろしくお願いします！			カゴの中のヒト							
……なんと、捕虜が！？まさか仲間がブンド族に捕まっていようとは……。よし、ただちに救出部隊を送り込むとしよう。			……なんと、捕虜が！？まさか仲間がブンド族に捕まっていようとは……。よし、ただちに救出部隊を送り込むとしよう。			カゴの中のヒト							
ここはドラゴン族との戦いから外された者が寄せられる地だった。しかし、バヌバヌ族との抗争が激化することで、そうも言っていられなくなったようだな……。			ここはドラゴン族との戦いから外された者が寄せられる地だった。しかし、バヌバヌ族との抗争が激化することで、そうも言っていられなくなったようだな……。			カゴの中のヒト							
ズンドの族長、ソヌバヌ殿には感謝せねば……。そしてSurname殿……。あなたにも、いずれゆっくりと礼をしよう！			ズンドの族長、ソヌバヌ殿には感謝せねば……。そしてSurname殿……。あなたにも、いずれゆっくりと礼をしよう！			カゴの中のヒト							
ブルーウィンドウのクプリ・クキは、はぐれた仲間を探してほしいようだ。			ブルーウィンドウのクプリ・クキは、はぐれた仲間を探してほしいようだ。			ふわふわしたお願い							
クプリ・クキは、仲間たちと付近の浮島ではぐれたようだ。まずはアバラシア雲海のガントレット諸島で、はぐれた「ふわふわモーグリ」を探して話しかけよう。			クプリ・クキは、仲間たちと付近の浮島ではぐれたようだ。まずはアバラシア雲海のガントレット諸島で、はぐれた「ふわふわモーグリ」を探して話しかけよう。			ふわふわしたお願い							
ふわふわモーグリを見つけた。アバラシア雲海のブルーウィンドウで待つ「クプリ・クキ」に報告しよう。			ふわふわモーグリを見つけた。アバラシア雲海のブルーウィンドウで待つ「クプリ・クキ」に報告しよう。			ふわふわしたお願い							
クプリ・クキは、仲間との再会を喜んでいた。だがもうひとり、迷子のモーグリを探さなければならない。引き続き、クプリ・クキに協力しよう。			クプリ・クキは、仲間との再会を喜んでいた。だがもうひとり、迷子のモーグリを探さなければならない。引き続き、クプリ・クキに協力しよう。			ふわふわしたお願い							
ガントレット諸島のふわふわモーグリを探す			ガントレット諸島のふわふわモーグリを探す			ふわふわしたお願い							
クプリ・クキに報告			クプリ・クキに報告			ふわふわしたお願い							
お空のモーグリたちと会えそうで、よかったクポ～！……って、喜んでる場合じゃなかったクポ！！一緒に来た仲間たちと、はぐれちゃったクポ！			お空のモーグリたちと会えそうで、よかったクポ～！……って、喜んでる場合じゃなかったクポ！！一緒に来た仲間たちと、はぐれちゃったクポ！			ふわふわしたお願い							
モグたち、3人組で旅してきたクポ。だから、あとふたり、この雲海のどこかにいるはずクポ……。近くの浮島あたりで、はぐれたと思うクポ。			モグたち、3人組で旅してきたクポ。だから、あとふたり、この雲海のどこかにいるはずクポ……。近くの浮島あたりで、はぐれたと思うクポ。			ふわふわしたお願い							
襲われたりしてたら、大変クポ……。まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			襲われたりしてたら、大変クポ……。まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			ふわふわしたお願い							
まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			まずは「ふわふわモーグリ」を、探してほしいクポ！モグはもう迷わないように、ここでいい子にしてるクポ～。			ふわふわしたお願い							
……クプリ・クキに言われてモグを探しにきたクポ！？鳥みたいなのに襲われて、逃げてたクポ！た、助かったクポ～！			……クプリ・クキに言われてモグを探しにきたクポ！？鳥みたいなのに襲われて、逃げてたクポ！た、助かったクポ～！			ふわふわしたお願い							
クプリ・クキは西にいるクポ？じゃあ、モグは先に行ってるクポ！			クプリ・クキは西にいるクポ？じゃあ、モグは先に行ってるクポ！			ふわふわしたお願い							
おかげさまで、合流できたクポ～！ありがとうクポ！！			おかげさまで、合流できたクポ～！ありがとうクポ！！			ふわふわしたお願い							
感動の再会なのクポ、良かったクポ～！もう会えないんじゃないかと本気で思ったクポ……。			感動の再会なのクポ、良かったクポ～！もう会えないんじゃないかと本気で思ったクポ……。			ふわふわしたお願い							
さあ、もうひとりも探さなきゃクポ！			さあ、もうひとりも探さなきゃクポ！			ふわふわしたお願い							
ブルーウィンドウのクプリ・クキは、再びはぐれた仲間を探したがっている。			ブルーウィンドウのクプリ・クキは、再びはぐれた仲間を探したがっている。			散らばった実							
クプリ・クキたちは、もうひとりのはぐれた仲間を探しにいった。アバラシア雲海のガントレット諸島で、「クプリ・クキ」と合流しよう。			クプリ・クキたちは、もうひとりのはぐれた仲間を探しにいった。アバラシア雲海のガントレット諸島で、「クプリ・クキ」と合流しよう。			散らばった実							
クプリ・クキと合流したが、彼らは持ってきたおみやげを、周囲に落としてしまったようだ。オク・ブンド・ヴァナの島を探索し、散乱している「クポの実」を4つ集めよう。			クプリ・クキと合流したが、彼らは持ってきたおみやげを、周囲に落としてしまったようだ。オク・ブンド・ヴァナの島を探索し、散乱している「クポの実」を4つ集めよう。			散らばった実							
クポの実を集めた。オク・ブンド・ヴァナにいる「クプリ・クキ」に、「クポの実」を渡そう。			クポの実を集めた。オク・ブンド・ヴァナにいる「クプリ・クキ」に、「クポの実」を渡そう。			散らばった実							
クプリ・クキにクポの実を渡した。改めて、はぐれた仲間を探す彼らに協力しよう。			クプリ・クキにクポの実を渡した。改めて、はぐれた仲間を探す彼らに協力しよう。			散らばった実							
オク・ズンド東でクプリ・クキと合流			オク・ズンド東でクプリ・クキと合流			散らばった実							
クポの実を入手			クポの実を入手			散らばった実							
クプリ・クキにクポの実を渡す			クプリ・クキにクポの実を渡す			散らばった実							
クポポ～！合流できて嬉しいクポ！			クポポ～！合流できて嬉しいクポ！			散らばった実							
残る迷子は、あとひとりクポ。きっと不安なはずクポ……早く見つけてあげるクポ！			残る迷子は、あとひとりクポ。きっと不安なはずクポ……早く見つけてあげるクポ！			散らばった実							
クプリ・クキの話では、大きな怪鳥に襲われて、はるか東に逃げたらしいクポ！			クプリ・クキの話では、大きな怪鳥に襲われて、はるか東に逃げたらしいクポ！			散らばった実							
さっそく行ってみるクポ！今度はみんなで行くクポ！			さっそく行ってみるクポ！今度はみんなで行くクポ！			散らばった実							
ここにはいないみたいクポ……。仲間は、どこにいったクポ～？			ここにはいないみたいクポ……。仲間は、どこにいったクポ～？			散らばった実							
うーん、このあたりにはいないクポ……？			うーん、このあたりにはいないクポ……？			散らばった実							
……むむっ、これは……大変クポ！おみやげに持ってきた「クポの実」を落としたクポ……。拾って集めるクポ！			……むむっ、これは……大変クポ！おみやげに持ってきた「クポの実」を落としたクポ……。拾って集めるクポ！			散らばった実							
