満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			ケテンラム、最後の冒険							
ううむ、わしは知っている……はずなんじゃが、封印が効いているのか語ることができん。			ううむ、わしは知っている……はずなんじゃが、封印が効いているのか語ることができん。			三日月島に棲む魔物							
これ以上は、Forenameが、より多く島の事物を見て回るしかないということか。もの知りなんだか、もの知らずなんだか……。			これ以上は、Forenameが、より多く島の事物を見て回るしかないということか。もの知りなんだか、もの知らずなんだか……。			三日月島に棲む魔物							
ええい、この大男を見返すためにも、Forenameよ、全力で探査を進めるぞい！			ええい、この大男を見返すためにも、Forenameよ、全力で探査を進めるぞい！			三日月島に棲む魔物							
次は、「場所」に関して調べてみてはどうじゃ？遠目に見て、蜃気楼の町以外にも、いくつか建造物があるのは間違いなさそうじゃからな。			次は、「場所」に関して調べてみてはどうじゃ？遠目に見て、蜃気楼の町以外にも、いくつか建造物があるのは間違いなさそうじゃからな。			三日月島に棲む魔物							
ここから南の方に、遺跡のようなものが見える。建物の外観的特徴を観察できる場所まで行って調べることで、わしの知識の封印を解くのじゃ！			ここから南の方に、遺跡のようなものが見える。建物の外観的特徴を観察できる場所まで行って調べることで、わしの知識の封印を解くのじゃ！			三日月島に棲む魔物							
次のクエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			次のクエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			三日月島に棲む魔物							
探査隊のベースキャンプのアーカイブは、遺跡の様子を知りたがっている。			探査隊のベースキャンプのアーカイブは、遺跡の様子を知りたがっている。			島内に佇む古城							
魔力を帯びた城塞の石材を入手			魔力を帯びた城塞の石材を入手			島内に佇む古城							
アーカイブに魔力を帯びた城塞の石材を渡す			アーカイブに魔力を帯びた城塞の石材を渡す			島内に佇む古城							
南の方に、建物が見えるな……。島の謎を解き明かすとっかかりとして、その遺跡の正体を知るところから始めよう。			南の方に、建物が見えるな……。島の謎を解き明かすとっかかりとして、その遺跡の正体を知るところから始めよう。			島内に佇む古城							
ここから南の方に、遺跡のようなものが見える。建物の外観的特徴を観察できる場所まで行って調べることで、わしの知識の封印を解くのじゃ！			ここから南の方に、遺跡のようなものが見える。建物の外観的特徴を観察できる場所まで行って調べることで、わしの知識の封印を解くのじゃ！			島内に佇む古城							
本クエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			本クエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			島内に佇む古城							
おお、どうじゃった？南に見えた遺跡の様子を聞かせてくれ！			おお、どうじゃった？南に見えた遺跡の様子を聞かせてくれ！			島内に佇む古城							
ほっほっほ……知識の封印が解かれたようだぞい！おぬしが見てきたのは、まさしくアムダプール様式の城塞じゃな！			ほっほっほ……知識の封印が解かれたようだぞい！おぬしが見てきたのは、まさしくアムダプール様式の城塞じゃな！			島内に佇む古城							
かの魔法都市は、癒やしと浄化の力たる白魔法を編み出したことで有名じゃが、そうした研究が、城塞の奥地で行われておったのう。			かの魔法都市は、癒やしと浄化の力たる白魔法を編み出したことで有名じゃが、そうした研究が、城塞の奥地で行われておったのう。			島内に佇む古城							
アムダプールといえば、現在の黒衣森で栄えた文明だろう。蒼茫洋のど真ん中まで進出していただなんて、聞いたことがないぞ。			アムダプールといえば、現在の黒衣森で栄えた文明だろう。蒼茫洋のど真ん中まで進出していただなんて、聞いたことがないぞ。			島内に佇む古城							
何と言う？			何と言う？			島内に佇む古城							
建てるのに、かなりの人手が必要だったはずだ			建てるのに、かなりの人手が必要だったはずだ			島内に佇む古城							
建材はどこから調達したのだろうか？			建材はどこから調達したのだろうか？			島内に佇む古城							
石像を魔法で操り、戦力や労働力を担う使い魔と為す……それがアムダプールという都市国家の特徴じゃ。同じように、使い魔に建設させた可能性は高いじゃろう。			石像を魔法で操り、戦力や労働力を担う使い魔と為す……それがアムダプールという都市国家の特徴じゃ。同じように、使い魔に建設させた可能性は高いじゃろう。			島内に佇む古城							
それは、いい着眼点だぞい。大量の石材を船で持ち込むのが現実的ではない以上、島内のどこかに石切り場があると考えるのが自然じゃな。			それは、いい着眼点だぞい。大量の石材を船で持ち込むのが現実的ではない以上、島内のどこかに石切り場があると考えるのが自然じゃな。			島内に佇む古城							
まだなにか知っておる気がするのじゃが……いまだ封印によって、語ることのできぬ知識があるようじゃ。			まだなにか知っておる気がするのじゃが……いまだ封印によって、語ることのできぬ知識があるようじゃ。			島内に佇む古城							
すまんが、もう一度円蓋の城塞に行って、「魔力を帯びた石材」を採集してきてもらえんか？			すまんが、もう一度円蓋の城塞に行って、「魔力を帯びた石材」を採集してきてもらえんか？			島内に佇む古城							
城塞の奥地に、石像を操る儀式の場があったかもしれん。そのあたりに用いられた建材ならばふさわしかろう。			城塞の奥地に、石像を操る儀式の場があったかもしれん。そのあたりに用いられた建材ならばふさわしかろう。			島内に佇む古城							
俺がエオルゼアにいたころは、アムダプール文明の遺跡は発見されていなくてな。第七霊災を機に、相次いで見つかったと聞いているが……。			俺がエオルゼアにいたころは、アムダプール文明の遺跡は発見されていなくてな。第七霊災を機に、相次いで見つかったと聞いているが……。			島内に佇む古城							
すまんが、もう一度円蓋の城塞に行って、「魔力を帯びた石材」を採集してきてもらえんか？それを調べれば、さらなる事実が浮かび上がるかもしれんぞい。			すまんが、もう一度円蓋の城塞に行って、「魔力を帯びた石材」を採集してきてもらえんか？それを調べれば、さらなる事実が浮かび上がるかもしれんぞい。			島内に佇む古城							
すまんが、もう一度円蓋の城塞に行って、「魔力を帯びた石材」を採集してきてもらえんか？それを調べれば、さらなる事実が浮かび上がるかもしれんぞい。			すまんが、もう一度円蓋の城塞に行って、「魔力を帯びた石材」を採集してきてもらえんか？それを調べれば、さらなる事実が浮かび上がるかもしれんぞい。			島内に佇む古城							
おお、これは見事なものじゃ。知識の封印が解かれていくのを感じるぞい……			おお、これは見事なものじゃ。知識の封印が解かれていくのを感じるぞい……			島内に佇む古城							
結論からいえば、この建物を築いたのは、アムダプールの民ではない！			結論からいえば、この建物を築いたのは、アムダプールの民ではない！			島内に佇む古城							
何と言う？			何と言う？			島内に佇む古城							
やはり石像型の使い魔が造った？			やはり石像型の使い魔が造った？			島内に佇む古城							
アイリスの主が造った？			アイリスの主が造った？			島内に佇む古城							
半分だけ正解だぞい。この石材に残る魔力は、アイリスと同じもの……つまり、奴の主が石像型使い魔に命じて建築させたのじゃ！			半分だけ正解だぞい。この石材に残る魔力は、アイリスと同じもの……つまり、奴の主が石像型使い魔に命じて建築させたのじゃ！			島内に佇む古城							
そのとおり、大正解だぞい。この石材に残る魔力は、アイリスと同じもの……つまり、奴の主が石像型使い魔に命じて建築させたのじゃ！			そのとおり、大正解だぞい。この石材に残る魔力は、アイリスと同じもの……つまり、奴の主が石像型使い魔に命じて建築させたのじゃ！			島内に佇む古城							
アイリスは、ニーム文明の使い魔のはず。その主が、アムダプール文明に由来する、石像型の使い魔も使役できた……そういうことか？			アイリスは、ニーム文明の使い魔のはず。その主が、アムダプール文明に由来する、石像型の使い魔も使役できた……そういうことか？			島内に佇む古城							
もの知りじいさんたる、わしに匹敵する存在のようじゃの。じゃが、これ以上の知識となると……いまだ開示できぬらしい。			もの知りじいさんたる、わしに匹敵する存在のようじゃの。じゃが、これ以上の知識となると……いまだ開示できぬらしい。			島内に佇む古城							
島内を探査し、ほかにも遺跡を見つけたら、その建物の外観的特徴をしっかりと観察してきてくれ。異なる文明の遺跡を3種ほどな！			島内を探査し、ほかにも遺跡を見つけたら、その建物の外観的特徴をしっかりと観察してきてくれ。異なる文明の遺跡を3種ほどな！			島内に佇む古城							
次のクエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			次のクエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			島内に佇む古城							
探査隊のベースキャンプのアーカイブは、複数の異なる文明の遺跡について知りたがっている。			探査隊のベースキャンプのアーカイブは、複数の異なる文明の遺跡について知りたがっている。			見えない共通項							
魔力を帯びた聖域跡の石材を入手			魔力を帯びた聖域跡の石材を入手			見えない共通項							
魔力を帯びた水晶洞窟の石材を入手			魔力を帯びた水晶洞窟の石材を入手			見えない共通項							
魔力を帯びた廃都の石材を入手			魔力を帯びた廃都の石材を入手			見えない共通項							
アーカイブに魔力を帯びた石材を渡す			アーカイブに魔力を帯びた石材を渡す			見えない共通項							
島内の建物すべてが、アムダプール様式ではなさそうだ。ほかにも遺跡を見つけたら、その外観をよく観察してみてくれ。			島内の建物すべてが、アムダプール様式ではなさそうだ。ほかにも遺跡を見つけたら、その外観をよく観察してみてくれ。			見えない共通項							
島内を探査し、ほかにも遺跡を見つけたら、その建物の外観的特徴をしっかりと観察してくるのじゃ。異なる文明の遺跡を3種ほどな！			島内を探査し、ほかにも遺跡を見つけたら、その建物の外観的特徴をしっかりと観察してくるのじゃ。異なる文明の遺跡を3種ほどな！			見えない共通項							
本クエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			本クエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			見えない共通項							
いくつもの遺跡を見つけてきたようじゃな。どんな建物があったのか、詳しく聞かせてくれ。			いくつもの遺跡を見つけてきたようじゃな。どんな建物があったのか、詳しく聞かせてくれ。			見えない共通項							
ふーむ、実に興味深い……海岸沿いに佇む逆円錐の意匠が特徴的な建物といえば、わしの故郷、海洋都市ニームの様式に相違あるまい。			ふーむ、実に興味深い……海岸沿いに佇む逆円錐の意匠が特徴的な建物といえば、わしの故郷、海洋都市ニームの様式に相違あるまい。			見えない共通項							
妖異に占拠されたピラミッドは、黒魔法を編み出したことで知られる魔法都市マハ。そして岩窟の中に築かれた建物は、石造都市スカラのもの。			妖異に占拠されたピラミッドは、黒魔法を編み出したことで知られる魔法都市マハ。そして岩窟の中に築かれた建物は、石造都市スカラのもの。			見えない共通項							
これらは、いずれも第五星暦に栄華を誇った、いわゆる「魔道十二都市」に名を連ねる国々じゃ。			これらは、いずれも第五星暦に栄華を誇った、いわゆる「魔道十二都市」に名を連ねる国々じゃ。			見えない共通項							
当時、エーテルが豊かな島が新たに発見されるや否や、各国の人間が押し寄せ、領有権を主張するために建物を築いた……なんて仮説はどうだ？			当時、エーテルが豊かな島が新たに発見されるや否や、各国の人間が押し寄せ、領有権を主張するために建物を築いた……なんて仮説はどうだ？			見えない共通項							
それなら、真っ先に島で寝てたわしも、先住権を主張したいぞい！			それなら、真っ先に島で寝てたわしも、先住権を主張したいぞい！			見えない共通項							
……という冗談はさておき、アムダプールの遺跡と同様に、アイリスの主が使い魔に命じて造らせた可能性の方が高そうじゃ。			……という冗談はさておき、アムダプールの遺跡と同様に、アイリスの主が使い魔に命じて造らせた可能性の方が高そうじゃ。			見えない共通項							
そんなわけで、次はそれぞれの文明の遺跡の奥を探検し、魔力の痕跡が確認できるものを見つけて持ち帰ってきてくれ。			そんなわけで、次はそれぞれの文明の遺跡の奥を探検し、魔力の痕跡が確認できるものを見つけて持ち帰ってきてくれ。			見えない共通項							
島内にあるのは第五星暦の文明の遺跡ばかりだと判明したが、肝心の「なぜ」は不明なまま……。各遺跡をもう少し詳しく調べてみるんだ。			島内にあるのは第五星暦の文明の遺跡ばかりだと判明したが、肝心の「なぜ」は不明なまま……。各遺跡をもう少し詳しく調べてみるんだ。			見えない共通項							
なぜ異なる様式の建物が、ひとつの島に造られたのか。知っているはずのその理由を、今は口にできぬのじゃが、おぬしが魔力の痕跡を見つければ、話せる気がするぞい。			なぜ異なる様式の建物が、ひとつの島に造られたのか。知っているはずのその理由を、今は口にできぬのじゃが、おぬしが魔力の痕跡を見つければ、話せる気がするぞい。			見えない共通項							
なぜ異なる様式の建物が、ひとつの島に造られたのか。知っているはずのその理由を、今は口にできぬのじゃが、おぬしが魔力の痕跡を見つければ、話せる気がするぞい。			なぜ異なる様式の建物が、ひとつの島に造られたのか。知っているはずのその理由を、今は口にできぬのじゃが、おぬしが魔力の痕跡を見つければ、話せる気がするぞい。			見えない共通項							
うむうむ、毎度仕事が手堅いのう。これなら間違いなさそうじゃが……			うむうむ、毎度仕事が手堅いのう。これなら間違いなさそうじゃが……			見えない共通項							
おお……やはり……！知識の封印が解かれたようじゃ！			おお……やはり……！知識の封印が解かれたようじゃ！			見えない共通項							
おぬしが見てきた遺跡はすべて、あるひとりの人物によって、築かれたもの。			おぬしが見てきた遺跡はすべて、あるひとりの人物によって、築かれたもの。			見えない共通項							
異なる文明の様式を用いたのも、理由があってのことじゃが……おぬしは実際に訪れてみて、どう感じた？			異なる文明の様式を用いたのも、理由があってのことじゃが……おぬしは実際に訪れてみて、どう感じた？			見えない共通項							
何と言う？			何と言う？			見えない共通項							
まるで島全体が博物館のようだ			まるで島全体が博物館のようだ			見えない共通項							
当時の文明を学んでいる気分だ			当時の文明を学んでいる気分だ			見えない共通項							
なるほど、それが目的だった可能性もあるな。つまり、この島は第五星暦の文明を後世に伝えるものとして、当時の建物を保存している場所なのかもしれん。			なるほど、それが目的だった可能性もあるな。つまり、この島は第五星暦の文明を後世に伝えるものとして、当時の建物を保存している場所なのかもしれん。			見えない共通項							
当時の環境を模倣することで、訪れた者に第五星暦を体験学習してもらう……そんな目的のために建てられたのかもしれんな。			当時の環境を模倣することで、訪れた者に第五星暦を体験学習してもらう……そんな目的のために建てられたのかもしれんな。			見えない共通項							
だが、なぜ絶海の孤島でそんなことをする必要があった？どう考えても、大陸でやった方が効率的だし、人々が訪れるのも容易だろう。			だが、なぜ絶海の孤島でそんなことをする必要があった？どう考えても、大陸でやった方が効率的だし、人々が訪れるのも容易だろう。			見えない共通項							
それは、訪れてほしくなかったからじゃよ。なぜならば…………			それは、訪れてほしくなかったからじゃよ。なぜならば…………			見えない共通項							
また知識の封印か？やれやれ、回りくどいもの知りじいさんだ……。			また知識の封印か？やれやれ、回りくどいもの知りじいさんだ……。			見えない共通項							
すまんが、Forenameよ、さらに探査を続け、未知の遺跡を見てきてくれ。さすればわしの封印も解かれるはずだぞい！			すまんが、Forenameよ、さらに探査を続け、未知の遺跡を見てきてくれ。さすればわしの封印も解かれるはずだぞい！			見えない共通項							
次のクエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			次のクエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			見えない共通項							
探査隊のベースキャンプのアーカイブは、未知の文明の遺跡がないか知りたがっている。			探査隊のベースキャンプのアーカイブは、未知の文明の遺跡がないか知りたがっている。			断絶した文明							
クリティカルエンカウント「封印大妖「クロイスターデーモン」」を攻略アーカイブに大妖異の契約書を渡す			クリティカルエンカウント「封印大妖「クロイスターデーモン」」を攻略アーカイブに大妖異の契約書を渡す			断絶した文明							
これまで見たのは、アムダプール、ニーム、マハ、スカラの遺跡だったな。それ以外の様式で造られた遺跡を探してみるんだ。			これまで見たのは、アムダプール、ニーム、マハ、スカラの遺跡だったな。それ以外の様式で造られた遺跡を探してみるんだ。			断絶した文明							
すまんが、Forenameよ、さらに探査を続け、未知の遺跡を見てきてくれ。さすればわしの封印も解かれるはずだぞい！			すまんが、Forenameよ、さらに探査を続け、未知の遺跡を見てきてくれ。さすればわしの封印も解かれるはずだぞい！			断絶した文明							
本クエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			本クエストを進行するためには、「三日月島探査記録帳」の特定の項目を、開放している必要があります。			断絶した文明							
なんと、未知の様式の建物を見つけたというのか？詳しく教えてほしいぞい！			なんと、未知の様式の建物を見つけたというのか？詳しく教えてほしいぞい！			断絶した文明							
無数の階段が折り重なるようにして築かれた楼閣……？おぉ、知識の封印が解かれたのを感じるぞい！			無数の階段が折り重なるようにして築かれた楼閣……？おぉ、知識の封印が解かれたのを感じるぞい！			断絶した文明							
おぬしが見てきたのは、自治都市カルナックの様式で築かれた殿堂じゃ。			おぬしが見てきたのは、自治都市カルナックの様式で築かれた殿堂じゃ。			断絶した文明							
武器に魔法を込めて戦う、魔法剣士たちが武断政治を敷いた国でのう。ターバンを巻いた彼らの勇壮ぶりときたら……！			武器に魔法を込めて戦う、魔法剣士たちが武断政治を敷いた国でのう。ターバンを巻いた彼らの勇壮ぶりときたら……！			断絶した文明							
少なくとも俺は、カルナックなんて聞いたことがないぞ。そいつも第五星暦に栄えた都市国家のひとつなのか？			少なくとも俺は、カルナックなんて聞いたことがないぞ。そいつも第五星暦に栄えた都市国家のひとつなのか？			断絶した文明							
そのとおり。魔道十二都市に名を連ねるほどの国でありながら、後世に伝わらずに断絶するとは、悲しいのう。			そのとおり。魔道十二都市に名を連ねるほどの国でありながら、後世に伝わらずに断絶するとは、悲しいのう。			断絶した文明							
何と言う？			何と言う？			断絶した文明							
なぜ断絶した？			なぜ断絶した？			断絶した文明							
滅んでいるという点では、ほかの文明も変わらない			滅んでいるという点では、ほかの文明も変わらない			断絶した文明							
わしが眠りについておった1500年の間に、いかにして忘れ去られたのやら……。さすがに、わしには知りえぬところだぞい。			わしが眠りについておった1500年の間に、いかにして忘れ去られたのやら……。さすがに、わしには知りえぬところだぞい。			断絶した文明							
我が故郷ニームも、わしが眠っておる間に滅んだそうじゃが……それを認めるのは、辛いことだぞい。			我が故郷ニームも、わしが眠っておる間に滅んだそうじゃが……それを認めるのは、辛いことだぞい。			断絶した文明							
恐ろしくて黙っていたが、この際、おぬしらに聞いておこう。……第五星暦に栄えた国々は、なぜ滅び去ったんじゃ？			恐ろしくて黙っていたが、この際、おぬしらに聞いておこう。……第五星暦に栄えた国々は、なぜ滅び去ったんじゃ？			断絶した文明							
……魔大戦だ。			……魔大戦だ。			断絶した文明							
その名のとおり魔法を乱用した戦争が起こり、多くの人が死に、環境エーテルのバランスも乱れた。そして大洪水が巻き起こり、国々を崩壊させたと言われている。			その名のとおり魔法を乱用した戦争が起こり、多くの人が死に、環境エーテルのバランスも乱れた。そして大洪水が巻き起こり、国々を崩壊させたと言われている。			断絶した文明							
嗚呼、やはり……。魔法の発展は各国の力を高めたが、互いに覇を競うことで、対立を深刻化させてもおったのだ。			嗚呼、やはり……。魔法の発展は各国の力を高めたが、互いに覇を競うことで、対立を深刻化させてもおったのだ。			断絶した文明							
環境エーテルを用いる大規模魔法の行使についても、当時から、危ぶむ声も出ていたんじゃ。それなのに……大戦を止めることができなんだか……。			環境エーテルを用いる大規模魔法の行使についても、当時から、危ぶむ声も出ていたんじゃ。それなのに……大戦を止めることができなんだか……。			断絶した文明							
エオルゼアに、カルナックの痕跡が残っていなかったのは、魔大戦の戦災か、その後の第六霊災の洪水の影響だろう。しかし、この島にだけは遺っていた。			エオルゼアに、カルナックの痕跡が残っていなかったのは、魔大戦の戦災か、その後の第六霊災の洪水の影響だろう。しかし、この島にだけは遺っていた。			断絶した文明							
そう、島の主である「あの男」が、世界崩壊を予見して、各国の文明を保存しようとしたんじゃ。ひとりの住人もいない模造都市を築くことで……。			そう、島の主である「あの男」が、世界崩壊を予見して、各国の文明を保存しようとしたんじゃ。ひとりの住人もいない模造都市を築くことで……。			断絶した文明							
「あの男」だと？そいつはいったい誰なんだ？			「あの男」だと？そいつはいったい誰なんだ？			断絶した文明							
それは……すまんが、これ以上は知識の封印が効いておるらしい。おぬしが島の主に近しいものを手にすれば、あるいは……。			それは……すまんが、これ以上は知識の封印が効いておるらしい。おぬしが島の主に近しいものを手にすれば、あるいは……。			断絶した文明							
そうじゃ、ここは大妖異を当たってみてはどうかの？マハでは妖異召喚を行う際、術者の血で記した、契約書が作られることがあっての。			そうじゃ、ここは大妖異を当たってみてはどうかの？マハでは妖異召喚を行う際、術者の血で記した、契約書が作られることがあっての。			断絶した文明							
危険な相手には違いないが、「大妖異の契約書」ほど島の主を知れる品はない。討伐に成功した暁には、注意深く探してみてくれ。			危険な相手には違いないが、「大妖異の契約書」ほど島の主を知れる品はない。討伐に成功した暁には、注意深く探してみてくれ。			断絶した文明							
「大妖異の契約書」は、特定のクリティカルエンカウントを攻略することで獲得できます。			「大妖異の契約書」は、特定のクリティカルエンカウントを攻略することで獲得できます。			断絶した文明							
クリティカルエンカウントの参加方法について、あらためて確認したくなったら、「探査隊の案内係」に話しかけましょう。			クリティカルエンカウントの参加方法について、あらためて確認したくなったら、「探査隊の案内係」に話しかけましょう。			断絶した文明							
大妖異ともなれば、討伐するのもひと苦労だろう。ソウルシャードから得た古の戦闘技術も磨き上げて、十分に準備を行ってから挑むんだ。			大妖異ともなれば、討伐するのもひと苦労だろう。ソウルシャードから得た古の戦闘技術も磨き上げて、十分に準備を行ってから挑むんだ。			断絶した文明							
「大妖異の契約書」ほど島の主を知れる品はない。討伐に成功した暁には、注意深く探してみてくれ。			「大妖異の契約書」ほど島の主を知れる品はない。討伐に成功した暁には、注意深く探してみてくれ。			断絶した文明							
おお、これぞまさしく「大妖異の契約書」……！島の主の血によって記された、この書を知ったことで、知識の封印も綻びてきたようだぞい！			おお、これぞまさしく「大妖異の契約書」……！島の主の血によって記された、この書を知ったことで、知識の封印も綻びてきたようだぞい！			断絶した文明							
わしは知っておる、知っておったのじゃ。大妖異を召喚した島の主の狙いを……！			わしは知っておる、知っておったのじゃ。大妖異を召喚した島の主の狙いを……！			断絶した文明							
あの男は「あるもの」が盗まれることがないよう、妖異たちを番人として呼び寄せたのだ！			あの男は「あるもの」が盗まれることがないよう、妖異たちを番人として呼び寄せたのだ！			断絶した文明							
宝の番人というわけだな。もしや、この島を覆う結界も同じ理由なのか？			宝の番人というわけだな。もしや、この島を覆う結界も同じ理由なのか？			断絶した文明							
蜃気楼の島影を見せて、船の接近を拒みつつ、万一辿り着いてしまった場合は、決して外海に逃さない。そうまでして護りたい「あるもの」とは、いったい……？			蜃気楼の島影を見せて、船の接近を拒みつつ、万一辿り着いてしまった場合は、決して外海に逃さない。そうまでして護りたい「あるもの」とは、いったい……？			断絶した文明							
それはヒトが……			それはヒトが……			断絶した文明							
(-？？？？-)ヒトが生み出した叡智の結晶……。それは、世界を滅びに導く禁断の知識でもある……。			(-？？？？-)ヒトが生み出した叡智の結晶……。それは、世界を滅びに導く禁断の知識でもある……。			断絶した文明							
ゆえに保存はすれど、フォークタワーに封印せん……。			ゆえに保存はすれど、フォークタワーに封印せん……。			断絶した文明							
こりゃ、いきなり現れて、わしの言うべきことを横取りするでない！			こりゃ、いきなり現れて、わしの言うべきことを横取りするでない！			断絶した文明							
この島には、第五星暦の優れた文明が保存されている。しかしそれは、魔大戦を引き起こした「負の遺産」でもあった。			この島には、第五星暦の優れた文明が保存されている。しかしそれは、魔大戦を引き起こした「負の遺産」でもあった。			断絶した文明							
歴史の闇に消えてしまわぬよう保存はしたが、同時に、決して開けてはいけないものとして封印をした。……そんなところか。			歴史の闇に消えてしまわぬよう保存はしたが、同時に、決して開けてはいけないものとして封印をした。……そんなところか。			断絶した文明							
知識は、それ単体では役に立たない……。扱う術を知りて、はじめて知恵とならん……。			知識は、それ単体では役に立たない……。扱う術を知りて、はじめて知恵とならん……。			断絶した文明							
すべてを知っていても、口にできねば意味はないし、魔法の術式を知っていても、扱えねば役には立たない……。知識を封じられた、わしへの嫌味のようじゃな。			すべてを知っていても、口にできねば意味はないし、魔法の術式を知っていても、扱えねば役には立たない……。知識を封じられた、わしへの嫌味のようじゃな。			断絶した文明							
おぬしはどうじゃ？塔に封印されておるという知識が欲しいか？			おぬしはどうじゃ？塔に封印されておるという知識が欲しいか？			断絶した文明							
何と言う？			何と言う？			断絶した文明							
使いはしないが、知っておく必要はありそうだ			使いはしないが、知っておく必要はありそうだ			断絶した文明							
誰かの手に渡らないようにはしたい			誰かの手に渡らないようにはしたい			断絶した文明							
……なるほどのう。			……なるほどのう。			断絶した文明							
そのフォークタワーとやらの中に、俺たちが探している島の主もいるんだろうか？			そのフォークタワーとやらの中に、俺たちが探している島の主もいるんだろうか？			断絶した文明							
おそらく……しかし、この島に塔はふたつあってな。南側にあるのが力の塔、北側にあるのが魔の塔じゃ。			おそらく……しかし、この島に塔はふたつあってな。南側にあるのが力の塔、北側にあるのが魔の塔じゃ。			断絶した文明							
この島全体に結界を張れるほどの魔法の使い手なら、魔の塔にいると考えるべきだぞい。			この島全体に結界を張れるほどの魔法の使い手なら、魔の塔にいると考えるべきだぞい。			断絶した文明							
塔に関する知識も封印が解かれたのか……？			塔に関する知識も封印が解かれたのか……？			断絶した文明							
うむ、はじめから知っておったのじゃがな！わしはすべてを知っておる、もの知りじいさんだぞい！			うむ、はじめから知っておったのじゃがな！わしはすべてを知っておる、もの知りじいさんだぞい！			断絶した文明							
しかし、島の北側に向かおうにも、現時点では、まだルートが見つかっていない。			しかし、島の北側に向かおうにも、現時点では、まだルートが見つかっていない。			断絶した文明							
拠点維持を担当する面々を残して、俺たちは蜃気楼の町に戻ろう。今後の方針について話したいから、お前も、良いタイミングで戻ってきてくれ。			拠点維持を担当する面々を残して、俺たちは蜃気楼の町に戻ろう。今後の方針について話したいから、お前も、良いタイミングで戻ってきてくれ。			断絶した文明							
(-オファンゲイムの声-)なに、それは本当か！？			(-オファンゲイムの声-)なに、それは本当か！？			断絶した文明							
ちょうど今、新しい報告が入ってな。			ちょうど今、新しい報告が入ってな。			断絶した文明							
あんたは、一帯が時折不思議な天候になることに気づいてたかい？そのときだけ、西に「塔」のような建物が見えてね、仲間が入る方法を見つけたと言うんだが……どうかしたか？			あんたは、一帯が時折不思議な天候になることに気づいてたかい？そのときだけ、西に「塔」のような建物が見えてね、仲間が入る方法を見つけたと言うんだが……どうかしたか？			断絶した文明							
禁断の知識が眠る「フォークタワー」だって……？報告にあったのが、まさにその「力の塔」かもしれないな。			禁断の知識が眠る「フォークタワー」だって……？報告にあったのが、まさにその「力の塔」かもしれないな。			断絶した文明							
なんでも、塔が見えているときだけ、南部丘陵の中央部の東屋に怪しげな魔法陣が出現してるらしい。それに乗ると、塔の中に転送されるというわけさ。			なんでも、塔が見えているときだけ、南部丘陵の中央部の東屋に怪しげな魔法陣が出現してるらしい。それに乗ると、塔の中に転送されるというわけさ。			断絶した文明							
異様な雰囲気を感じて、連中は回れ右をしてきたんだが、あんたなら、そこに何があるのか、確かめられるかもな。			異様な雰囲気を感じて、連中は回れ右をしてきたんだが、あんたなら、そこに何があるのか、確かめられるかもな。			断絶した文明							
報告は以上だ。すまないが、蜃気楼の町に戻ったら、今の話を「ケテンラム」の旦那に共有しておいてくれ。			報告は以上だ。すまないが、蜃気楼の町に戻ったら、今の話を「ケテンラム」の旦那に共有しておいてくれ。			断絶した文明							
蜃気楼の町のケテンラムは、今後の方針について話したいようだ。			蜃気楼の町のケテンラムは、今後の方針について話したいようだ。			蜃気楼、いまだ消えず							
ケテンラムと話した。探査の経過を報告するため、トライヨラの満ちた玄関にいる「探査隊の連絡員」と話そう。			ケテンラムと話した。探査の経過を報告するため、トライヨラの満ちた玄関にいる「探査隊の連絡員」と話そう。			蜃気楼、いまだ消えず							
「死の三角海域」を覆う魔法の結界を解くには、島の主を見つけなくてはならない。彼がいるであろう島の北部を探査する準備が整うまで、今しばらく時間がかかるようだ。鍛錬を続けながら、連絡を待とう。			「死の三角海域」を覆う魔法の結界を解くには、島の主を見つけなくてはならない。彼がいるであろう島の北部を探査する準備が整うまで、今しばらく時間がかかるようだ。鍛錬を続けながら、連絡を待とう。			蜃気楼、いまだ消えず							
トライヨラの探査隊の連絡員と話す			トライヨラの探査隊の連絡員と話す			蜃気楼、いまだ消えず							
おぬしが謎に近づくほどに、わしに科せられた知識の封印も解かれてゆく。なんとも不思議な関係じゃのう。			おぬしが謎に近づくほどに、わしに科せられた知識の封印も解かれてゆく。なんとも不思議な関係じゃのう。			蜃気楼、いまだ消えず							
