双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
双剣士……シーフを結成させたのは、俺たち海賊だった！だが、今じゃすっかり、提督の犬じゃないかいね……！			双剣士……シーフを結成させたのは、俺たち海賊だった！だが、今じゃすっかり、提督の犬じゃないかいね……！			果てに消えた星							
メルウィブ提督と手を組み、海賊をつぶしにかかる……。双剣士なんざ、裏切り者のクソどもだ！チクショウ……お前らさえいなければ……ッ！			メルウィブ提督と手を組み、海賊をつぶしにかかる……。双剣士なんざ、裏切り者のクソどもだ！チクショウ……お前らさえいなければ……ッ！			果てに消えた星							
まあ、恨みたくもなるだろうよ。でもな、失敗を俺たちのせいにするのは、お門違いだぜ。			まあ、恨みたくもなるだろうよ。でもな、失敗を俺たちのせいにするのは、お門違いだぜ。			果てに消えた星							
「掟」を破ると決めたなら、俺たちに追われる覚悟も決めておけ。……じゃ、「青の星」はもらってくからな。			「掟」を破ると決めたなら、俺たちに追われる覚悟も決めておけ。……じゃ、「青の星」はもらってくからな。			果てに消えた星							
……次こそは、わたくしが「秘宝」をいただきますわよ。			……次こそは、わたくしが「秘宝」をいただきますわよ。			果てに消えた星							
降りるつもりがないなら、気をつけな。この一件……とんでもない大物が、裏で手を引いてるぜ。			降りるつもりがないなら、気をつけな。この一件……とんでもない大物が、裏で手を引いてるぜ。			果てに消えた星							
大物が背後で手を引いている……いったい、どういうことですの……？			大物が背後で手を引いている……いったい、どういうことですの……？			果てに消えた星							
……いえ、助言は結構ですわ。尋問でも何でもして、答えを見つけてみせますもの。次は負けませんわよ、双剣士！			……いえ、助言は結構ですわ。尋問でも何でもして、答えを見つけてみせますもの。次は負けませんわよ、双剣士！			果てに消えた星							
クソ……クソォ……！今に見てろ、海賊はおとなしく消えたりしない！			クソ……クソォ……！今に見てろ、海賊はおとなしく消えたりしない！			果てに消えた星							
ああ、Forenameか……お前もおつかれ。まずは1つ目、「青の星」の奪還完了だ！			ああ、Forenameか……お前もおつかれ。まずは1つ目、「青の星」の奪還完了だ！			果てに消えた星							
船上での戦いはどうだった？双剣士の技は、敵を素早く倒すことに特化してる。だが、無闇に双剣を振り回せばいいってわけじゃねぇ。			船上での戦いはどうだった？双剣士の技は、敵を素早く倒すことに特化してる。だが、無闇に双剣を振り回せばいいってわけじゃねぇ。			果てに消えた星							
特に、仲間と組んで戦うようなときは、状況をよく観察しろ。ときには敵から身を引いたり、支援を受けたりして、仲間全員で攻撃を続けていくことを意識するんだ。			特に、仲間と組んで戦うようなときは、状況をよく観察しろ。ときには敵から身を引いたり、支援を受けたりして、仲間全員で攻撃を続けていくことを意識するんだ。			果てに消えた星							
……お前には、もっと強くなってもらわねぇとな。残りの「秘宝」の奪還は、おそらく相当難しい。			……お前には、もっと強くなってもらわねぇとな。残りの「秘宝」の奪還は、おそらく相当難しい。			果てに消えた星							
なんといっても、裏で手引きしてるのが「処刑人」ときた。心当たりのある名だが……まずは裏を取らせてくれ。今回ばかりは、予想が外れるといいんだがな……。			なんといっても、裏で手引きしてるのが「処刑人」ときた。心当たりのある名だが……まずは裏を取らせてくれ。今回ばかりは、予想が外れるといいんだがな……。			果てに消えた星							
闘犬一家の海賊たちを倒せ！			闘犬一家の海賊たちを倒せ！			果てに消えた星							
よし、かくれて潜入できたな……。連中は、まだ俺たちに気付いてないみたいだ。			よし、かくれて潜入できたな……。連中は、まだ俺たちに気付いてないみたいだ。			果てに消えた星							
俺は船首の方から不意打ちをかける。お前たちは、船尾の2人を倒してから合流してくれ。			俺は船首の方から不意打ちをかける。お前たちは、船尾の2人を倒してから合流してくれ。			果てに消えた星							
くそっ……負けるわけには……いかねぇのに……！			くそっ……負けるわけには……いかねぇのに……！			果てに消えた星							
行くよ、Forename……ついてきて……！			行くよ、Forename……ついてきて……！			果てに消えた星							
どうして……力が入らない……ッ…………。			どうして……力が入らない……ッ…………。			果てに消えた星							
な、なんだお前ら！？　いったいどこから！？			な、なんだお前ら！？　いったいどこから！？			果てに消えた星							
双剣士……よくぞ嗅ぎつけてきたね……！だが、ここで海の藻屑になれッ！			双剣士……よくぞ嗅ぎつけてきたね……！だが、ここで海の藻屑になれッ！			果てに消えた星							
くっ、しぶとい奴らだ……！こうなったら、持久戦で削り取る！			くっ、しぶとい奴らだ……！こうなったら、持久戦で削り取る！			果てに消えた星							
おい、船倉の檻を開けるね！「アイツ」を連れてくるんだ！			おい、船倉の檻を開けるね！「アイツ」を連れてくるんだ！			果てに消えた星							
双剣士のジャックは、「クフサド商船団」の残党を追うつもりのようだ。			双剣士のジャックは、「クフサド商船団」の残党を追うつもりのようだ。			金に換わる命							
ジャックは、「クフサド商船団」の残党が潜んでいる場所について推理した。西ラノシアの「ドードーの営巣地」で、「クフサド商船団」の痕跡を探そう。			ジャックは、「クフサド商船団」の残党が潜んでいる場所について推理した。西ラノシアの「ドードーの営巣地」で、「クフサド商船団」の痕跡を探そう。			金に換わる命							
ドードー営巣地で、捕らえられた貧民たちを発見した。「クフサド商船団」の陰謀は打ち砕くことができたようだ。ドードー営巣地にいる貧民たちを介抱しよう。			ドードー営巣地で、捕らえられた貧民たちを発見した。「クフサド商船団」の陰謀は打ち砕くことができたようだ。ドードー営巣地にいる貧民たちを介抱しよう。			金に換わる命							
貧民たちを介抱していたところ、イエロージャケットのミリララがやってきた。彼女は双剣士ギルドを嫌っている様子で、勝負をしかけてきた。リムサ・ロミンサの双剣士ギルドに戻り、「ジャック」と話そう。			貧民たちを介抱していたところ、イエロージャケットのミリララがやってきた。彼女は双剣士ギルドを嫌っている様子で、勝負をしかけてきた。リムサ・ロミンサの双剣士ギルドに戻り、「ジャック」と話そう。			金に換わる命							
ジャックと話した。「秘宝」の略奪に掟破りがあった以上、見過ごすことはできないというジャック。ミリララとの勝負に勝つためにも、ジャックから教わった「ぶんどる」などを活用し、腕を磨いていこう。※双剣士のレベルが20以上になると、ジャックから次の双剣士クエストを受注することができます。			ジャックと話した。「秘宝」の略奪に掟破りがあった以上、見過ごすことはできないというジャック。ミリララとの勝負に勝つためにも、ジャックから教わった「ぶんどる」などを活用し、腕を磨いていこう。※双剣士のレベルが20以上になると、ジャックから次の双剣士クエストを受注することができます。			金に換わる命							
ドードーの営巣地でクフサド商船団の痕跡を探す			ドードーの営巣地でクフサド商船団の痕跡を探す			金に換わる命							
双剣士ギルドのジャックと話す			双剣士ギルドのジャックと話す			金に換わる命							
「クフサド商船団」の残党は、どこにいやがるんだ……？西ラノシアに潜んでるのは間違いねぇだろうが……。			「クフサド商船団」の残党は、どこにいやがるんだ……？西ラノシアに潜んでるのは間違いねぇだろうが……。			金に換わる命							
ここエールポートから西は、大半がサハギン族の勢力圏だ。立ち入れば命がねぇことくらい、連中もわかってるだろう。			ここエールポートから西は、大半がサハギン族の勢力圏だ。立ち入れば命がねぇことくらい、連中もわかってるだろう。			金に換わる命							
だとすれば東側……警備の手薄な「ドードー営巣地」のあたりなら、拐った貧民を連れて潜んでられるか……。			だとすれば東側……警備の手薄な「ドードー営巣地」のあたりなら、拐った貧民を連れて潜んでられるか……。			金に換わる命							
よし、「ドードー営巣地」で「クフサド商船団」の痕跡を探す。俺は双剣士ギルドと黒渦団に連絡を入れてくるから、お前は先に行っててくれ。			よし、「ドードー営巣地」で「クフサド商船団」の痕跡を探す。俺は双剣士ギルドと黒渦団に連絡を入れてくるから、お前は先に行っててくれ。			金に換わる命							
「ドードー営巣地」で「クフサド商船団」の痕跡を探す。俺は双剣士ギルドと黒渦団に連絡を入れてくるから、お前は先に行っててくれ。			「ドードー営巣地」で「クフサド商船団」の痕跡を探す。俺は双剣士ギルドと黒渦団に連絡を入れてくるから、お前は先に行っててくれ。			金に換わる命							
あ、ありがとうございます……！私たち、「クフサド商船団」という海賊に拐われて、ここに捕まっていたんです。			あ、ありがとうございます……！私たち、「クフサド商船団」という海賊に拐われて、ここに捕まっていたんです。			金に換わる命							
やっぱり、このあたりに潜んでやがったか……。でかしたな、Forename！……だが、奴らの姿がないのは、どういうことだ？			やっぱり、このあたりに潜んでやがったか……。でかしたな、Forename！……だが、奴らの姿がないのは、どういうことだ？			金に換わる命							
海賊たちは、エールポートの偵察に行くと言っていました。仲間がそこに集まっているはずなのに、どうも様子がおかしいとかで……。			海賊たちは、エールポートの偵察に行くと言っていました。仲間がそこに集まっているはずなのに、どうも様子がおかしいとかで……。			金に換わる命							
私たちは、場合によっては荷物になるからと、この場所に拘束されていたのです。さあ、彼らが戻る前に、急いで逃げましょう……！			私たちは、場合によっては荷物になるからと、この場所に拘束されていたのです。さあ、彼らが戻る前に、急いで逃げましょう……！			金に換わる命							
(-？？？？-)我ら「クフサド商船団」の大切な商品を、勝手に逃がされては困りますね。			(-？？？？-)我ら「クフサド商船団」の大切な商品を、勝手に逃がされては困りますね。			金に換わる命							
驚きましたよ……。慌ただしい気配を感じてエールポートに向かったら、一夜にして、仲間が壊滅させられたそうじゃないですか。			驚きましたよ……。慌ただしい気配を感じてエールポートに向かったら、一夜にして、仲間が壊滅させられたそうじゃないですか。			金に換わる命							
……やったのは、キミたちですか？我々の「交易」が、よほど気に食わなかったようですね。			……やったのは、キミたちですか？我々の「交易」が、よほど気に食わなかったようですね。			金に換わる命							
ああ、掟破りの胸クソ悪い海賊なら始末したぜ。「デスマーチャント号」も、無事では港に戻らねぇ。……お前らは、もう終わりだよ。			ああ、掟破りの胸クソ悪い海賊なら始末したぜ。「デスマーチャント号」も、無事では港に戻らねぇ。……お前らは、もう終わりだよ。			金に換わる命							
アハハハハハハハ！そうですねぇ、「クフサド商船団」は終わりかもしれません。			アハハハハハハハ！そうですねぇ、「クフサド商船団」は終わりかもしれません。			金に換わる命							
でも、その奴隷どもを売れば、金が手に入る！金さえあれば、我々は、いくらでも再起可能なんですよ！			でも、その奴隷どもを売れば、金が手に入る！金さえあれば、我々は、いくらでも再起可能なんですよ！			金に換わる命							
貧しく、生きることさえままならないキミたちが、輝く貨幣の山になるんです。むしろ、光栄に思ってもらわないとねぇッ！			貧しく、生きることさえままならないキミたちが、輝く貨幣の山になるんです。むしろ、光栄に思ってもらわないとねぇッ！			金に換わる命							
……大丈夫だ、心配すんな。ここは危なくなるから、少し離れてな……。			……大丈夫だ、心配すんな。ここは危なくなるから、少し離れてな……。			金に換わる命							
悪いが、掟破りには容赦しないぜ。俺も大概ろくでなしだが、「掟」の番人だってことだけは譲れねぇんだ。			悪いが、掟破りには容赦しないぜ。俺も大概ろくでなしだが、「掟」の番人だってことだけは譲れねぇんだ。			金に換わる命							
裏社会の闇に、助けを求める声まで呑まれたときの絶望は、嫌ってほど知ってるからな……！「掟」に従い、お前らを倒して、拐われた連中を奪還する！			裏社会の闇に、助けを求める声まで呑まれたときの絶望は、嫌ってほど知ってるからな……！「掟」に従い、お前らを倒して、拐われた連中を奪還する！			金に換わる命							
助けてくださって、ありがとうございました。本当に……何とお礼を言ったらいいか……。			助けてくださって、ありがとうございました。本当に……何とお礼を言ったらいいか……。			金に換わる命							
ぼくね、信じてたんだよっ！正義の味方がきて、絶対助けてくれるって！			ぼくね、信じてたんだよっ！正義の味方がきて、絶対助けてくれるって！			金に換わる命							
お兄ちゃんたち、すごく強くて、かっこよかった。ねえ、ぼくも正義の味方になれる？あいつらみたいな悪者を、やっつけるんだ！			お兄ちゃんたち、すごく強くて、かっこよかった。ねえ、ぼくも正義の味方になれる？あいつらみたいな悪者を、やっつけるんだ！			金に換わる命							
あのなぁ、坊主……。俺たちは、そんなろくなもんじゃねぇよ。			あのなぁ、坊主……。俺たちは、そんなろくなもんじゃねぇよ。			金に換わる命							
いいか、よく聞け。俺たちはな……裏社会に生きる、怖い怖い「掟」の番人だ！			いいか、よく聞け。俺たちはな……裏社会に生きる、怖い怖い「掟」の番人だ！			金に換わる命							
「掟」の番人ってのは、お前が家の手伝いをサボっても、ダチとケンカをしても怒らねぇ……。			「掟」の番人ってのは、お前が家の手伝いをサボっても、ダチとケンカをしても怒らねぇ……。			金に換わる命							
だが、一緒に生きる仲間を裏切るような真似をしたら、水平線まで追っかけてでも、ブッ飛ばすからな……！			だが、一緒に生きる仲間を裏切るような真似をしたら、水平線まで追っかけてでも、ブッ飛ばすからな……！			金に換わる命							
それが嫌なら、せいぜい腐らず生きろよ、坊主。			それが嫌なら、せいぜい腐らず生きろよ、坊主。			金に換わる命							
あぁ！？　なに笑ってんだお前ら！			あぁ！？　なに笑ってんだお前ら！			金に換わる命							
(-イエロージャケット警備兵-)「クフサド商船団」に拐われた方々ですわね？			(-イエロージャケット警備兵-)「クフサド商船団」に拐われた方々ですわね？			金に換わる命							
わたくし、イエロージャケット陸士長の「ミリララ」と申します。黒渦団から連絡を受け、みなさんを保護しに参りました。			わたくし、イエロージャケット陸士長の「ミリララ」と申します。黒渦団から連絡を受け、みなさんを保護しに参りました。			金に換わる命							
大丈夫だ。こいつらなら、お前を安全に帰してくれる。……行きな、はぐれるんじゃねぇぞ。			大丈夫だ。こいつらなら、お前を安全に帰してくれる。……行きな、はぐれるんじゃねぇぞ。			金に換わる命							
まだ何かあるのかよ。それとも、新しい仕事の依頼か？			まだ何かあるのかよ。それとも、新しい仕事の依頼か？			金に換わる命							
依頼？……わたくしが？…………貴方がたに？			依頼？……わたくしが？…………貴方がたに？			金に換わる命							
ありえませんわ！わたくし、双剣士が大っっっっっっ嫌いですの！！			ありえませんわ！わたくし、双剣士が大っっっっっっ嫌いですの！！			金に換わる命							
先のエールポートでの一件も、腹立たしいったらないですわ！重罪人を闇討ちで片づけるなんて、あまりに前時代的っ！			先のエールポートでの一件も、腹立たしいったらないですわ！重罪人を闇討ちで片づけるなんて、あまりに前時代的っ！			金に換わる命							
双剣士のような海賊の残滓と手を組んでいるから、リムサ・ロミンサの海賊離れは進みませんのよ！			双剣士のような海賊の残滓と手を組んでいるから、リムサ・ロミンサの海賊離れは進みませんのよ！			金に換わる命							
そもそも、その装備は何ですの？短剣は、知性ある市民によって、オレンジの皮むきにでも使われればいいのです！			そもそも、その装備は何ですの？短剣は、知性ある市民によって、オレンジの皮むきにでも使われればいいのです！			金に換わる命							
それを振り回そうなんて、まるで卑しい海賊のままですわ！海賊に癒着しない都市を目指すリムサ・ロミンサに、貴方がたの存在は不適切というもの……。			それを振り回そうなんて、まるで卑しい海賊のままですわ！海賊に癒着しない都市を目指すリムサ・ロミンサに、貴方がたの存在は不適切というもの……。			金に換わる命							
国から「強く、正しい」力をあたえられたイエロージャケットこそ、民を守護すべき存在なのですわっ！			国から「強く、正しい」力をあたえられたイエロージャケットこそ、民を守護すべき存在なのですわっ！			金に換わる命							
ジャック……。この人、何しにきたの……？			ジャック……。この人、何しにきたの……？			金に換わる命							
……聞き流しとけ。装備を自慢したいだけの、派手女だ。			……聞き流しとけ。装備を自慢したいだけの、派手女だ。			金に換わる命							
ち、ちがいますわよっ！わたくしは、真の海賊撲滅のために、双剣士ギルドに宣戦布告をしにきたのですわ！			ち、ちがいますわよっ！わたくしは、真の海賊撲滅のために、双剣士ギルドに宣戦布告をしにきたのですわ！			金に換わる命							
……いいですこと？本日未明、リムサ・ロミンサに向かっていた黒渦団の輸送船が、海賊に襲撃される事件が起きましたの。			……いいですこと？本日未明、リムサ・ロミンサに向かっていた黒渦団の輸送船が、海賊に襲撃される事件が起きましたの。			金に換わる命							
積み荷の多くが奪われましたが、特に深刻なのが、途方もない価値を誇る3つの「秘宝」が奪われたこと……。			積み荷の多くが奪われましたが、特に深刻なのが、途方もない価値を誇る3つの「秘宝」が奪われたこと……。			金に換わる命							
襲撃後、海賊たちは姿をくらまし、奪われた「秘宝」の行方も知れないのですわ……。			襲撃後、海賊たちは姿をくらまし、奪われた「秘宝」の行方も知れないのですわ……。			金に換わる命							
……それで？			……それで？			金に換わる命							
奪われた3つの「秘宝」……その奪還をかけて、わたくしと勝負なさい！			奪われた3つの「秘宝」……その奪還をかけて、わたくしと勝負なさい！			金に換わる命							
こちらの方が多くの「秘宝」を奪還したら、わたくしは、双剣士ギルドの廃止を提案しますわ。結果がともなえば、提督も無視はできないはずです。			こちらの方が多くの「秘宝」を奪還したら、わたくしは、双剣士ギルドの廃止を提案しますわ。結果がともなえば、提督も無視はできないはずです。			金に換わる命							
勝手にやってろ。そんな面倒な勝負、受ける理由もねぇよ。			勝手にやってろ。そんな面倒な勝負、受ける理由もねぇよ。			金に換わる命							
あら、そうですの？この事件は、いわばリムサ・ロミンサの民からの略奪。……貴方がたの守る「掟」に反しているのではなくて？			あら、そうですの？この事件は、いわばリムサ・ロミンサの民からの略奪。……貴方がたの守る「掟」に反しているのではなくて？			金に換わる命							
事はすでに、貴方がたの領分にあるのですわ。それでも、役目を放棄して逃げるのかしら……？			事はすでに、貴方がたの領分にあるのですわ。それでも、役目を放棄して逃げるのかしら……？			金に換わる命							
チッ……。言ってくれるじゃねぇか、派手女。あとで吠え面かいても知らねぇぞ。			チッ……。言ってくれるじゃねぇか、派手女。あとで吠え面かいても知らねぇぞ。			金に換わる命							
その言葉、そっくりお返ししますわ。わたくしは、あらゆる海賊の名残を廃し、必ずや、リムサ・ロミンサから海賊どもを退けてみせる……！			その言葉、そっくりお返ししますわ。わたくしは、あらゆる海賊の名残を廃し、必ずや、リムサ・ロミンサから海賊どもを退けてみせる……！			金に換わる命							
……どうするんですか、アニキ。			……どうするんですか、アニキ。			金に換わる命							
どうもこうもねぇよ……。とにかく一度、ギルドに帰んぞ。			どうもこうもねぇよ……。とにかく一度、ギルドに帰んぞ。			金に換わる命							
ったく……何なんだよ、あの派手女は。海賊にまつわるすべてが嫌い、って感じだったな……。			ったく……何なんだよ、あの派手女は。海賊にまつわるすべてが嫌い、って感じだったな……。			金に換わる命							
口車に乗せられたようで癪だが、「掟」が破られたんなら、双剣士ギルドが出ないわけにはいかねぇ。奪われた3つの「秘宝」、必ず取り戻すぞ！			口車に乗せられたようで癪だが、「掟」が破られたんなら、双剣士ギルドが出ないわけにはいかねぇ。奪われた3つの「秘宝」、必ず取り戻すぞ！			金に換わる命							
……そのためにも、お前には腕を上げてもらいたい。今回の仕事で活躍したってこともあるし、新しい技を教えておくぜ。			……そのためにも、お前には腕を上げてもらいたい。今回の仕事で活躍したってこともあるし、新しい技を教えておくぜ。			金に換わる命							
ずばり「ぶんどる」技術だ。敵をよく観察して攻撃を繰り出すことで、倒した後に、普段よりも収穫を得られる可能性がでてくるのさ。			ずばり「ぶんどる」技術だ。敵をよく観察して攻撃を繰り出すことで、倒した後に、普段よりも収穫を得られる可能性がでてくるのさ。			金に換わる命							
腕を磨きながら収穫を得られれば、一石二鳥だろ？俺たちが情報を集めてる間にそれを使い慣らして、勝負の勝ちも、ぶんどりにいこうぜ！			腕を磨きながら収穫を得られれば、一石二鳥だろ？俺たちが情報を集めてる間にそれを使い慣らして、勝負の勝ちも、ぶんどりにいこうぜ！			金に換わる命							
クフサド商船団の海賊たちを倒せ！			クフサド商船団の海賊たちを倒せ！			金に換わる命							
お断りだ！　全員まとめて、ブッ飛ばす！			お断りだ！　全員まとめて、ブッ飛ばす！			金に換わる命							
チッ、助っ人のおでましか……！			チッ、助っ人のおでましか……！			金に換わる命							
このドードー、足は遅いが、よく鍛えられてやがる！			このドードー、足は遅いが、よく鍛えられてやがる！			金に換わる命							
Forename、ドードーから距離をとって「投刃」を使え！近づかれないように戦うんだ！			Forename、ドードーから距離をとって「投刃」を使え！近づかれないように戦うんだ！			金に換わる命							
またドードー！？　どんだけ飼い慣らしてんだよ！			またドードー！？　どんだけ飼い慣らしてんだよ！			金に換わる命							
焦らず、冷静に対処していけ！……チャンスは必ず来る！			焦らず、冷静に対処していけ！……チャンスは必ず来る！			金に換わる命							
ハッ、懲りずに来やがって……！どれだけ束になろうが、俺たちは負けねぇよ！			ハッ、懲りずに来やがって……！どれだけ束になろうが、俺たちは負けねぇよ！			金に換わる命							
くっ……逃げろ、Forename……。あいつらを連れて……お前だけでも…………！			くっ……逃げろ、Forename……。あいつらを連れて……お前だけでも…………！			金に換わる命							
あったりまえだろ！ギルドマスターと期待の新人、最強のコンビだぜ！			あったりまえだろ！ギルドマスターと期待の新人、最強のコンビだぜ！			金に換わる命							
お前ら、遅ぇよ！……さあ、一気にいくぜぇッ！			お前ら、遅ぇよ！……さあ、一気にいくぜぇッ！			金に換わる命							
活きがいい人たちですねぇ！キミたちも、商品に加えるとしましょう！			活きがいい人たちですねぇ！キミたちも、商品に加えるとしましょう！			金に換わる命							
さすが、ジャックとForename……。出る幕はなかったみたい……。			さすが、ジャックとForename……。出る幕はなかったみたい……。			金に換わる命							
私たちが来たからには、絶対に負けない……！			私たちが来たからには、絶対に負けない……！			金に換わる命							
お待たせしました、助っ人登場ですよ！			お待たせしました、助っ人登場ですよ！			金に換わる命							
……って、あれ？もしかして、オレたち遅すぎました？			……って、あれ？もしかして、オレたち遅すぎました？			金に換わる命							
双剣士ギルドのジャックは、冒険者にさらなる仕事を任せたいようだ。			双剣士ギルドのジャックは、冒険者にさらなる仕事を任せたいようだ。			黙した悲鳴							
ジャックの判断により、「クフサド商船団」に拐われた人々を救い出すことになった。双剣士ギルドの「ジャック」に指示を仰ごう。			ジャックの判断により、「クフサド商船団」に拐われた人々を救い出すことになった。双剣士ギルドの「ジャック」に指示を仰ごう。			黙した悲鳴							
ジャックから指示を受けた。目撃証言を追って、低地ラノシアのモラビー造船廠にいる「スヮルセィント」から話を聞こう。			ジャックから指示を受けた。目撃証言を追って、低地ラノシアのモラビー造船廠にいる「スヮルセィント」から話を聞こう。			黙した悲鳴							
スヮルセィントから、「クフサド商船団」らしき一団の情報を聞いた。低地ラノシアのソルトストランドにある「指定地点」で待機しよう。			スヮルセィントから、「クフサド商船団」らしき一団の情報を聞いた。低地ラノシアのソルトストランドにある「指定地点」で待機しよう。			黙した悲鳴							
ソルトストランドで待機していたところ、「クフサド商船団」の海賊が現れ、拐った人々をエールポートへと連れていった。西ラノシアのエールポートで「ジャック」と合流しよう。			ソルトストランドで待機していたところ、「クフサド商船団」の海賊が現れ、拐った人々をエールポートへと連れていった。西ラノシアのエールポートで「ジャック」と合流しよう。			黙した悲鳴							
ジャックは、標的がエールポートで宿をとっていることを突き止めていた。エールポートの「ジャック」と再び話し、拐われた人々を解放しよう。			ジャックは、標的がエールポートで宿をとっていることを突き止めていた。エールポートの「ジャック」と再び話し、拐われた人々を解放しよう。			黙した悲鳴							
「クフサド商船団」の海賊を倒し、拐われた人々を解放した。エールポートの「ジャック」と話そう。			「クフサド商船団」の海賊を倒し、拐われた人々を解放した。エールポートの「ジャック」と話そう。			黙した悲鳴							
ジャックと話していたところ、ほかにもまだ拐われた人がいるかもしれないとの情報がもたらされた。新しく習得した「投刃」などを活用し、今度こそ「クフサド商船団」の陰謀を打ち砕こう。			ジャックと話していたところ、ほかにもまだ拐われた人がいるかもしれないとの情報がもたらされた。新しく習得した「投刃」などを活用し、今度こそ「クフサド商船団」の陰謀を打ち砕こう。			黙した悲鳴							
ジャックと話す			ジャックと話す			黙した悲鳴							
モラビー造船廠のスヮルセィントと話す			モラビー造船廠のスヮルセィントと話す			黙した悲鳴							
指定地点で待機			指定地点で待機			黙した悲鳴							
エールポートのジャックと話す			エールポートのジャックと話す			黙した悲鳴							
エールポートのジャックと話し、拐われた人々を解放			エールポートのジャックと話し、拐われた人々を解放			黙した悲鳴							
エールポートのジャックと話す			エールポートのジャックと話す			黙した悲鳴							
待ってたぜ、Forename。ちょっとやっかいな仕事が入りそうなんでな……。			待ってたぜ、Forename。ちょっとやっかいな仕事が入りそうなんでな……。			黙した悲鳴							
依頼人を呼ぶから、お前も話を聞いてくれ。今回は、ペリム・ハウリムとヴァ・ケビにも声をかけてある。そろって作戦会議といこうぜ。			依頼人を呼ぶから、お前も話を聞いてくれ。今回は、ペリム・ハウリムとヴァ・ケビにも声をかけてある。そろって作戦会議といこうぜ。			黙した悲鳴							
ジャック……。依頼人を連れてきた。			ジャック……。依頼人を連れてきた。			黙した悲鳴							
ご覧のとおり、今回の依頼は黒渦団からだ。しかも、ちょっとしたヤボ用ってわけじゃねぇ。……提督からの密命だとよ。			ご覧のとおり、今回の依頼は黒渦団からだ。しかも、ちょっとしたヤボ用ってわけじゃねぇ。……提督からの密命だとよ。			黙した悲鳴							
事の発端は、先日……我々のキャンプに、貧しい身なりの男性が、助けを求めて逃げこんできたことだった。			事の発端は、先日……我々のキャンプに、貧しい身なりの男性が、助けを求めて逃げこんできたことだった。			黙した悲鳴							
その男性は、いわゆる「奴隷」として使役されていたらしい。もともと住んでいた村が海賊に襲われ、ほかの住民とともに拐われて、富豪に売られたのだという。			その男性は、いわゆる「奴隷」として使役されていたらしい。もともと住んでいた村が海賊に襲われ、ほかの住民とともに拐われて、富豪に売られたのだという。			黙した悲鳴							
実際に視察をしたところ、彼の村はほとんど壊滅していたよ。小さく貧しい村で、常駐の警備兵もいなかったため、事が明るみになっていなかったのだ……。			実際に視察をしたところ、彼の村はほとんど壊滅していたよ。小さく貧しい村で、常駐の警備兵もいなかったため、事が明るみになっていなかったのだ……。			黙した悲鳴							
海賊による奴隷売買……酷い話ですね……。それに、犯人の海賊は、複数の「掟」を破っている……。			海賊による奴隷売買……酷い話ですね……。それに、犯人の海賊は、複数の「掟」を破っている……。			黙した悲鳴							
「貧しき者からは、特に奪うべからず」と、「奴隷は売買するべからず」……。いずれも、特に禁忌とされる掟破りです。			「貧しき者からは、特に奪うべからず」と、「奴隷は売買するべからず」……。いずれも、特に禁忌とされる掟破りです。			黙した悲鳴							
ああ、そのとおりだ。海賊の作った「掟」は、力なき同胞への手出しを何より禁じる。			ああ、そのとおりだ。海賊の作った「掟」は、力なき同胞への手出しを何より禁じる。			黙した悲鳴							
そもそも、最初にここいらで海賊をはじめたのは、圧政に耐えかねて新天地を求めた、北洋諸島の民だからな。貧者から奪ったり、自由を奪ったりは、昔からご法度なんだよ。			そもそも、最初にここいらで海賊をはじめたのは、圧政に耐えかねて新天地を求めた、北洋諸島の民だからな。貧者から奪ったり、自由を奪ったりは、昔からご法度なんだよ。			黙した悲鳴							
……で、犯人の目星はついてるんだろうな？			……で、犯人の目星はついてるんだろうな？			黙した悲鳴							
ああ、逃げ込んできた男性の証言から、特定がすんでいる。犯人は「クフサド商船団」……交易という名の略奪を行う、「私掠免許」持ちの海賊団だよ。			ああ、逃げ込んできた男性の証言から、特定がすんでいる。犯人は「クフサド商船団」……交易という名の略奪を行う、「私掠免許」持ちの海賊団だよ。			黙した悲鳴							
奴らは、私掠船での活動を隠れ蓑にして、下劣な奴隷売買に手を染めていたというわけだ。ほかでも民が拐われ、奴隷として売られている可能性は高い。			奴らは、私掠船での活動を隠れ蓑にして、下劣な奴隷売買に手を染めていたというわけだ。ほかでも民が拐われ、奴隷として売られている可能性は高い。			黙した悲鳴							
なんとゆゆしき事態だ……！提督も早急な解決を望まれているが、すでに売られた者を探し出すだけでも手一杯だ。			なんとゆゆしき事態だ……！提督も早急な解決を望まれているが、すでに売られた者を探し出すだけでも手一杯だ。			黙した悲鳴							
かといって、安易に兵を割くわけにもいかん……。いたずらに事を大きくすれば、民の不安をあおるだけだ。			かといって、安易に兵を割くわけにもいかん……。いたずらに事を大きくすれば、民の不安をあおるだけだ。			黙した悲鳴							
そこで、双剣士ギルドへ依頼をしたい……。「クフサド商船団」を極秘裏に始末し、これから売られようとしている民を救出してくれ！			そこで、双剣士ギルドへ依頼をしたい……。「クフサド商船団」を極秘裏に始末し、これから売られようとしている民を救出してくれ！			黙した悲鳴							
いいぜ……その依頼、引き受けた。掟破りに制裁を下し、不当に奪われたものを奪還するのは、俺たちの役目だからな。			いいぜ……その依頼、引き受けた。掟破りに制裁を下し、不当に奪われたものを奪還するのは、俺たちの役目だからな。			黙した悲鳴							
