魔導船の設計技師は、知神の港で休憩をしているようだ。			魔導船の設計技師は、知神の港で休憩をしているようだ。			心を持たぬ者は思考する							
それでは、第二の疑問を追求しにいきましょう。			それでは、第二の疑問を追求しにいきましょう。			グッバイ・＊＊＊							
終末に関する報告書で、ほかにワタシが解せなかったのは、ガレマルドにおける派遣団と帝国民のやりとりです。			終末に関する報告書で、ほかにワタシが解せなかったのは、ガレマルドにおける派遣団と帝国民のやりとりです。			グッバイ・＊＊＊							
派遣団には、帝国民を救援する意思があった。加えて、両者にはテロフォロイという共通の敵もいました。……それなのに何故、早急に手を組めなかったのか。			派遣団には、帝国民を救援する意思があった。加えて、両者にはテロフォロイという共通の敵もいました。……それなのに何故、早急に手を組めなかったのか。			グッバイ・＊＊＊							
本件の調査も、引き続き現地で行いたいと思います。さあ、ワタシたちを抱え、キャンプ・ブロークングラスに向かってください。			本件の調査も、引き続き現地で行いたいと思います。さあ、ワタシたちを抱え、キャンプ・ブロークングラスに向かってください。			グッバイ・＊＊＊							
クククククエエエエエ……。			クククククエエエエエ……。			グッバイ・＊＊＊							
到着ですね。ガレマルド……この星においては寒冷地とされていますが、全球凍結した星と比べれば、危険性は低いかと。			到着ですね。ガレマルド……この星においては寒冷地とされていますが、全球凍結した星と比べれば、危険性は低いかと。			グッバイ・＊＊＊							
事実、このボディでも活動に支障はなさそうです。先ほどから微振動しているアルファよりも、耐冷性能において優秀であることが証明されてしまいました。			事実、このボディでも活動に支障はなさそうです。先ほどから微振動しているアルファよりも、耐冷性能において優秀であることが証明されてしまいました。			グッバイ・＊＊＊							
……さて、このキャンプには、イルサバード派遣団の残存勢力と、保護された帝国民、どちらも滞在しているそうですね。			……さて、このキャンプには、イルサバード派遣団の残存勢力と、保護された帝国民、どちらも滞在しているそうですね。			グッバイ・＊＊＊							
まずはそれぞれに類するヒトに声をかけ、互いについての認識を確認したいと思います。ガガ……行きましょう。			まずはそれぞれに類するヒトに声をかけ、互いについての認識を確認したいと思います。ガガ……行きましょう。			グッバイ・＊＊＊							
何をする？			何をする？			グッバイ・＊＊＊							
話す			話す			グッバイ・＊＊＊							
同行状態を解除する			同行状態を解除する			グッバイ・＊＊＊							
キャンセル			キャンセル			グッバイ・＊＊＊							
派遣団に所属する者と、保護された帝国民、双方に認識を聞いてみましょう。			派遣団に所属する者と、保護された帝国民、双方に認識を聞いてみましょう。			グッバイ・＊＊＊							
聴取に際しては、心拍数がやや上昇する程度に、走行することをオススメします。アルファとアナタの凍結を防止するためです。			聴取に際しては、心拍数がやや上昇する程度に、走行することをオススメします。アルファとアナタの凍結を防止するためです。			グッバイ・＊＊＊							
ク……クエ……クシュン！			ク……クエ……クシュン！			グッバイ・＊＊＊							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			グッバイ・＊＊＊							
ガガ……耐冷温度の限界に達しましたか？手早くあたためてきてください、キャンプの中央で待機しています。			ガガ……耐冷温度の限界に達しましたか？手早くあたためてきてください、キャンプの中央で待機しています。			グッバイ・＊＊＊							
ク、クエ……。			ク、クエ……。			グッバイ・＊＊＊							
アルファは震えながら、キャンプ・ブロークングラスの中央へ駆けていった。			アルファは震えながら、キャンプ・ブロークングラスの中央へ駆けていった。			グッバイ・＊＊＊							
ガガ……行動可能な状態になりましたか？では、再度出撃です。			ガガ……行動可能な状態になりましたか？では、再度出撃です。			グッバイ・＊＊＊							
ククククククエー……！			ククククククエー……！			グッバイ・＊＊＊							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			グッバイ・＊＊＊							
お前は……！			お前は……！			グッバイ・＊＊＊							
オメガとアルファを連れずに話を聞いても仕方ない。ふたりを同行させてこよう。			オメガとアルファを連れずに話を聞いても仕方ない。ふたりを同行させてこよう。			グッバイ・＊＊＊							
お前は……！「臣の褒賞」へ押しかけてきた奴じゃないか！			お前は……！「臣の褒賞」へ押しかけてきた奴じゃないか！			グッバイ・＊＊＊							
お、俺を笑いにきたのか！？リキニアたちを失ってまで、お前たちを拒んだ……なのにこうして保護されている、俺を……ッ！			お、俺を笑いにきたのか！？リキニアたちを失ってまで、お前たちを拒んだ……なのにこうして保護されている、俺を……ッ！			グッバイ・＊＊＊							
ハッ……いいさ、好きに笑えよ……。同胞たちだって、俺を蔑んでるに違いないんだ。			ハッ……いいさ、好きに笑えよ……。同胞たちだって、俺を蔑んでるに違いないんだ。			グッバイ・＊＊＊							
恥さらし、ガレアンの汚点……。まるで家畜だ……餌のために誇りを売った…………。			恥さらし、ガレアンの汚点……。まるで家畜だ……餌のために誇りを売った…………。			グッバイ・＊＊＊							
けどな、俺は誓って、魂まで派遣団に売っちゃいない！まだこの土地に残ってるのが証拠だ。移送の話だって、すべて断ったッ！			けどな、俺は誓って、魂まで派遣団に売っちゃいない！まだこの土地に残ってるのが証拠だ。移送の話だって、すべて断ったッ！			グッバイ・＊＊＊							
ガガ……つまりアナタは、派遣団と協力関係を構築することに対し、否定的なのですね。			ガガ……つまりアナタは、派遣団と協力関係を構築することに対し、否定的なのですね。			グッバイ・＊＊＊							
それは、どういった根拠に基づく判断でしょうか？報告書によれば、当地における帝国民の自給自足は、現状、非常に困難です。			それは、どういった根拠に基づく判断でしょうか？報告書によれば、当地における帝国民の自給自足は、現状、非常に困難です。			グッバイ・＊＊＊							
だというのに救援を拒むのは、ワタシの知らない打開策を有しているからですか？もしくは、投降不可の命令を受けているのでしょうか？			だというのに救援を拒むのは、ワタシの知らない打開策を有しているからですか？もしくは、投降不可の命令を受けているのでしょうか？			グッバイ・＊＊＊							
魔導兵器の模型……？誰が操ってるか知らんが、馬鹿にしやがって！			魔導兵器の模型……？誰が操ってるか知らんが、馬鹿にしやがって！			グッバイ・＊＊＊							
打開策も命令もない、ああ何もないさ！それでも俺は、ガレアン人として正しい姿勢を……祖国のための……真っ当な……			打開策も命令もない、ああ何もないさ！それでも俺は、ガレアン人として正しい姿勢を……祖国のための……真っ当な……			グッバイ・＊＊＊							
…………クソッ。			…………クソッ。			グッバイ・＊＊＊							
……Forename。またしても予想外の応対です。一度、あちらでアナタと確認をさせてください。			……Forename。またしても予想外の応対です。一度、あちらでアナタと確認をさせてください。			グッバイ・＊＊＊							
そう、打開策も命令もない……。頭じゃわかってるんだ……俺だって……。			そう、打開策も命令もない……。頭じゃわかってるんだ……俺だって……。			グッバイ・＊＊＊							
ん……Forename殿か。ガレマルドの近況を、確認しにきてくれたのか？			ん……Forename殿か。ガレマルドの近況を、確認しにきてくれたのか？			グッバイ・＊＊＊							
ん……Forename殿か。ガレマルドの近況を、確認しにきてくれたのか？			ん……Forename殿か。ガレマルドの近況を、確認しにきてくれたのか？			グッバイ・＊＊＊							
そうだな、大方針はともかく、現場はぼちぼち進んでる。ユルスたちが取りなしてくれた甲斐もあって、保護した帝国民と、格段に話しやすくなった。			そうだな、大方針はともかく、現場はぼちぼち進んでる。ユルスたちが取りなしてくれた甲斐もあって、保護した帝国民と、格段に話しやすくなった。			グッバイ・＊＊＊							
もちろん、反発や不信感が完全に消えたわけじゃない……。俺たちが魔法で心を操ってるんだと考えてる奴もいる。アニマっていう前例を知ってるから、余計にな。			もちろん、反発や不信感が完全に消えたわけじゃない……。俺たちが魔法で心を操ってるんだと考えてる奴もいる。アニマっていう前例を知ってるから、余計にな。			グッバイ・＊＊＊							
それを加味しても……上出来だと、俺は思ってるよ。こんなに大勢と、まともに話せるようになるなんてな……。			それを加味しても……上出来だと、俺は思ってるよ。こんなに大勢と、まともに話せるようになるなんてな……。			グッバイ・＊＊＊							
疑問……そのような中途半端な成果で、進捗状況は良好だと判断してもよいのでしょうか？			疑問……そのような中途半端な成果で、進捗状況は良好だと判断してもよいのでしょうか？			グッバイ・＊＊＊							
帝国民に万全なケアを効率よく提供したいなら、彼らを自己の組織に吸収し、管理すべきです。理想と現状が、まだ乖離しています。			帝国民に万全なケアを効率よく提供したいなら、彼らを自己の組織に吸収し、管理すべきです。理想と現状が、まだ乖離しています。			グッバイ・＊＊＊							
……いや、いいんだ。俺は、国境をなくしたいわけじゃない。			……いや、いいんだ。俺は、国境をなくしたいわけじゃない。			グッバイ・＊＊＊							
お互い、向こう側に違う暮らしがあることを認めて、健全につきあっていければいいと思ってる。			お互い、向こう側に違う暮らしがあることを認めて、健全につきあっていければいいと思ってる。			グッバイ・＊＊＊							
だから、派遣団の活動も、今くらいの進め方で十分なんだ。ひとりでも多くの命を助けられれば……とは考えてるがな。			だから、派遣団の活動も、今くらいの進め方で十分なんだ。ひとりでも多くの命を助けられれば……とは考えてるがな。			グッバイ・＊＊＊							
俺はアラミゴから来たが、つい最近まで「帝国兵」だった。そこで信頼できるガレアンの上官に出会えたが、属州民を人として扱わない奴の方が多かったのは事実だ。			俺はアラミゴから来たが、つい最近まで「帝国兵」だった。そこで信頼できるガレアンの上官に出会えたが、属州民を人として扱わない奴の方が多かったのは事実だ。			グッバイ・＊＊＊							
同時に、アラミゴ人だって、俺たちを見下してたよ。それを知ってるからこそ、派遣団の設立には驚かされたんだ。……参加してよかったと思ってる、心からな。			同時に、アラミゴ人だって、俺たちを見下してたよ。それを知ってるからこそ、派遣団の設立には驚かされたんだ。……参加してよかったと思ってる、心からな。			グッバイ・＊＊＊							
保護された帝国民と、派遣団の一員……両者への聴取結果について、あちらで話をさせてください。			保護された帝国民と、派遣団の一員……両者への聴取結果について、あちらで話をさせてください。			グッバイ・＊＊＊							
クエ……？クエエ、クエクエ……？			クエ……？クエエ、クエクエ……？			グッバイ・＊＊＊							
ガガ……アルファが、はぐれているようです。			ガガ……アルファが、はぐれているようです。			グッバイ・＊＊＊							
アルファを放っておくわけにはいかない。同行させてこよう。			アルファを放っておくわけにはいかない。同行させてこよう。			グッバイ・＊＊＊							
記録……検証……構築……。			記録……検証……構築……。			グッバイ・＊＊＊							
先ほどのふたりの発言を、ラザハンでの経験を踏まえ、ワタシなりに解釈してみました。			先ほどのふたりの発言を、ラザハンでの経験を踏まえ、ワタシなりに解釈してみました。			グッバイ・＊＊＊							
彼らの論述も、やはり合理的ではありません。オミクロンに聞かせれば、もれなく全員が、ワタシと同じ指摘をするでしょう。			彼らの論述も、やはり合理的ではありません。オミクロンに聞かせれば、もれなく全員が、ワタシと同じ指摘をするでしょう。			グッバイ・＊＊＊							
ですが……まさにそういった点……ワタシたちにとっての「自明の理」と、差が生じていること……			ですが……まさにそういった点……ワタシたちにとっての「自明の理」と、差が生じていること……			グッバイ・＊＊＊							
それを根拠とし、派遣団と帝国民の奇妙な関係もまた、心によって形成されているのではないかと推測します。……いかがですか？			それを根拠とし、派遣団と帝国民の奇妙な関係もまた、心によって形成されているのではないかと推測します。……いかがですか？			グッバイ・＊＊＊							
ガガガ……。どんな能力にも、メリットとデメリットがあるものですが……			ガガガ……。どんな能力にも、メリットとデメリットがあるものですが……			グッバイ・＊＊＊							
心を有することのデメリットは、極めて特殊ですね。思考回路に作用し、認知を過度に複雑化させているように思います。			心を有することのデメリットは、極めて特殊ですね。思考回路に作用し、認知を過度に複雑化させているように思います。			グッバイ・＊＊＊							
……だとしても、心について学ぶことの意義は失われません。引き続き、調査を続けていきましょう。			……だとしても、心について学ぶことの意義は失われません。引き続き、調査を続けていきましょう。			グッバイ・＊＊＊							
質問……次の作戦を立案するにあたり、教えてください。先の帝国民が言及していた「リキニア」とは？			質問……次の作戦を立案するにあたり、教えてください。先の帝国民が言及していた「リキニア」とは？			グッバイ・＊＊＊							
なるほど。異民族への知識が不足していたために正しい判断ができず、不用意な撤退を行い、自滅した個体ですね。			なるほど。異民族への知識が不足していたために正しい判断ができず、不用意な撤退を行い、自滅した個体ですね。			グッバイ・＊＊＊							
ええ、ワタシが異星侵攻の先陣を切っていたころにも、敵勢力がそうやって壊滅したことがありました。自ら危険地帯へと撤退し、次から次へと爆発四散したのです。			ええ、ワタシが異星侵攻の先陣を切っていたころにも、敵勢力がそうやって壊滅したことがありました。自ら危険地帯へと撤退し、次から次へと爆発四散したのです。			グッバイ・＊＊＊							
……それはそれとして、埋葬については経験がありません。ヒトのそうした行為を不可解に思っていましたが、何かしらの心が作用しているのだろうと、今ならわかります。			……それはそれとして、埋葬については経験がありません。ヒトのそうした行為を不可解に思っていましたが、何かしらの心が作用しているのだろうと、今ならわかります。			グッバイ・＊＊＊							
要望……リキニアたちの墓を訪ねてみましょう。学習できることが……ガ……ガガガガガガガガガ……			要望……リキニアたちの墓を訪ねてみましょう。学習できることが……ガ……ガガガガガガガガガ……			グッバイ・＊＊＊							
えねるぎ……低下……。冷気デ……ばってりノ……ぱふぉーまんすガ……！？			えねるぎ……低下……。冷気デ……ばってりノ……ぱふぉーまんすガ……！？			グッバイ・＊＊＊							
ビープビープビープ……！処置ヲ要求……ぼでぃコスッテ……摩擦熱……ヨロ…………			ビープビープビープ……！処置ヲ要求……ぼでぃコスッテ……摩擦熱……ヨロ…………			グッバイ・＊＊＊							
クエエ！？クエ、クエエエクエッ！			クエエ！？クエ、クエエエクエッ！			グッバイ・＊＊＊							
……ガ……ガガガ……。パフォーマンス改善……エネルギー供給、正常です……。			……ガ……ガガガ……。パフォーマンス改善……エネルギー供給、正常です……。			グッバイ・＊＊＊							
徹底抗議……このボディの設計者は、頭脳がバグだらけだったようですね。			徹底抗議……このボディの設計者は、頭脳がバグだらけだったようですね。			グッバイ・＊＊＊							
帰投後、耐冷および耐熱性の向上と、温度センサーの搭載を要求します。戦闘力は上がりませんが、生活力は上がるでしょう。			帰投後、耐冷および耐熱性の向上と、温度センサーの搭載を要求します。戦闘力は上がりませんが、生活力は上がるでしょう。			グッバイ・＊＊＊							
では改めて、「臣の褒賞」へ出撃したいと思います。目的地の方向は？			では改めて、「臣の褒賞」へ出撃したいと思います。目的地の方向は？			グッバイ・＊＊＊							
ガガ……了解、移動を開始します。			ガガ……了解、移動を開始します。			グッバイ・＊＊＊							
……アルファ、ワタシから離れないように。密着し、できれば羽で包むことを推奨します。背中に乗せても構いません。			……アルファ、ワタシから離れないように。密着し、できれば羽で包むことを推奨します。背中に乗せても構いません。			グッバイ・＊＊＊							
クエ、ククエ……？			クエ、ククエ……？			グッバイ・＊＊＊							
…………。			…………。			グッバイ・＊＊＊							
ガガ……雪への埋没が危ぶまれましたが、無事到着です。ここが目的地で間違いありませんね。			ガガ……雪への埋没が危ぶまれましたが、無事到着です。ここが目的地で間違いありませんね。			グッバイ・＊＊＊							
しかし…………			しかし…………			グッバイ・＊＊＊							
先客……墓と推定される構造物の前に、誰かいるようです。			先客……墓と推定される構造物の前に、誰かいるようです。			グッバイ・＊＊＊							
(-第I軍団の軍団兵-)あれ……？あんた、Forenameだよな？			(-第I軍団の軍団兵-)あれ……？あんた、Forenameだよな？			グッバイ・＊＊＊							
(-第I軍団の軍団兵-)ああ悪い、自己紹介はしたことなかったか……。			(-第I軍団の軍団兵-)ああ悪い、自己紹介はしたことなかったか……。			グッバイ・＊＊＊							
俺は、帝国軍第I軍団所属のマニウス。ユルスの同期で友人だ。			俺は、帝国軍第I軍団所属のマニウス。ユルスの同期で友人だ。			グッバイ・＊＊＊							
あんたとは、テルティウム駅で何度か会ってるんだよ。青燐水を集めてきてくれたときと……クイントゥス様が亡くなった直後だったかな。			あんたとは、テルティウム駅で何度か会ってるんだよ。青燐水を集めてきてくれたときと……クイントゥス様が亡くなった直後だったかな。			グッバイ・＊＊＊							
個体名マニウス。アナタは、ここで何をしていたのですか？			個体名マニウス。アナタは、ここで何をしていたのですか？			グッバイ・＊＊＊							
魔導兵器……いや、通信端末か？変わった形してるなぁ。			魔導兵器……いや、通信端末か？変わった形してるなぁ。			グッバイ・＊＊＊							
特段、報告するようなことはしてないさ。近所に住んでた姉妹が、ここに埋葬されてるって話を聞いた。だからなんとなく、様子を見にきたんだ。			特段、報告するようなことはしてないさ。近所に住んでた姉妹が、ここに埋葬されてるって話を聞いた。だからなんとなく、様子を見にきたんだ。			グッバイ・＊＊＊							
……アルフィノとアリゼーから事情は聞いてる。謝罪もされたよ、「謝って済むとは思ってない」って、自分たちで言ってたけどさ。			……アルフィノとアリゼーから事情は聞いてる。謝罪もされたよ、「謝って済むとは思ってない」って、自分たちで言ってたけどさ。			グッバイ・＊＊＊							
俺たち帝国軍人に、それを責める資格なんてあるものか。利用されてるのも知らずに内戦を始めて、数えきれないくらい、同胞の命を奪ったんだからな……。			俺たち帝国軍人に、それを責める資格なんてあるものか。利用されてるのも知らずに内戦を始めて、数えきれないくらい、同胞の命を奪ったんだからな……。			グッバイ・＊＊＊							
異議……帝国軍に過失があったことと、派遣団が損失を出したことは、別の事象です。			異議……帝国軍に過失があったことと、派遣団が損失を出したことは、別の事象です。			グッバイ・＊＊＊							
つまり、アナタがリキニアたちの死でダメージを負ったなら、そのことに対して派遣団の責任を問うことができる。賠償を要求するも、開戦に持ち込むも自由です。			つまり、アナタがリキニアたちの死でダメージを負ったなら、そのことに対して派遣団の責任を問うことができる。賠償を要求するも、開戦に持ち込むも自由です。			グッバイ・＊＊＊							
それでもアナタが、Forenameたちと敵対しないなら……理由は、2通り想定できます。			それでもアナタが、Forenameたちと敵対しないなら……理由は、2通り想定できます。			グッバイ・＊＊＊							
ひとつ、残存戦力の差から、派遣団と敵対する行為に利がないと判断していた場合。			ひとつ、残存戦力の差から、派遣団と敵対する行為に利がないと判断していた場合。			グッバイ・＊＊＊							
ふたつ、何かしらの……心が作用している場合です。			ふたつ、何かしらの……心が作用している場合です。			グッバイ・＊＊＊							
答えなさい。アナタは、どちらなのですか？			答えなさい。アナタは、どちらなのですか？			グッバイ・＊＊＊							
まいったな……そう言われると……確かに……。			まいったな……そう言われると……確かに……。			グッバイ・＊＊＊							
……あんまり格好いい答えになりそうもない。ユルスたちには、黙っておいてもらえるか？			……あんまり格好いい答えになりそうもない。ユルスたちには、黙っておいてもらえるか？			グッバイ・＊＊＊							
戦力差ってのも無意識に考えてたかもしれないけどさ、リキニアたちのことについて追及しようと思わないのは、多分、気持ちの問題だ。			戦力差ってのも無意識に考えてたかもしれないけどさ、リキニアたちのことについて追及しようと思わないのは、多分、気持ちの問題だ。			グッバイ・＊＊＊							
正直、これからを生きていくのに精一杯で、過ぎたことにしがみついてる余裕がないんだよ。			正直、これからを生きていくのに精一杯で、過ぎたことにしがみついてる余裕がないんだよ。			グッバイ・＊＊＊							
ほかの死んだ同胞のことも……クイントゥス様のことでさえ、さ。			ほかの死んだ同胞のことも……クイントゥス様のことでさえ、さ。			グッバイ・＊＊＊							
あの方の死については、仲間内でもいろいろ言われてるよ。			あの方の死については、仲間内でもいろいろ言われてるよ。			グッバイ・＊＊＊							
最後まで戦うべきだった……。俺たちを置き去りにして逃げたんだ……とか。			最後まで戦うべきだった……。俺たちを置き去りにして逃げたんだ……とか。			グッバイ・＊＊＊							
死によってすべての責任を被り、俺たちに道を残してくださったんだ……とかな。			死によってすべての責任を被り、俺たちに道を残してくださったんだ……とかな。			グッバイ・＊＊＊							
正しいところはわからない……きっともう永遠に……。だから俺は、「生きたくば生きよ」って言葉だけ、素直にもらっておしまいにした。			正しいところはわからない……きっともう永遠に……。だから俺は、「生きたくば生きよ」って言葉だけ、素直にもらっておしまいにした。			グッバイ・＊＊＊							
いなくなった人について考えたり、泣いたり怒ったりするよりも、今後の飯や仕事を心配する方に、エネルギーを使ってるんだ。			いなくなった人について考えたり、泣いたり怒ったりするよりも、今後の飯や仕事を心配する方に、エネルギーを使ってるんだ。			グッバイ・＊＊＊							
明るい展望があるわけじゃないけどさ、まだ残ってる仲間がいるし、生きて、幸せになってほしい友人もいる。			明るい展望があるわけじゃないけどさ、まだ残ってる仲間がいるし、生きて、幸せになってほしい友人もいる。			グッバイ・＊＊＊							
そのために派遣団や他国の力を借りるべきなら、借りればいい。代償があっても、それはそれだ。			そのために派遣団や他国の力を借りるべきなら、借りればいい。代償があっても、それはそれだ。			グッバイ・＊＊＊							
誰かと一緒にやってくために、多少目をつぶるべきところや、対価を払う必要が出てくるのは、同族同士だってあることだろ？			誰かと一緒にやってくために、多少目をつぶるべきところや、対価を払う必要が出てくるのは、同族同士だってあることだろ？			グッバイ・＊＊＊							
……アルフィノやアリゼーとも、いい友人になれればって思ってるよ。あんなに親身になってくれてるんだからさ。			……アルフィノやアリゼーとも、いい友人になれればって思ってるよ。あんなに親身になってくれてるんだからさ。			グッバイ・＊＊＊							
つまり、アナタの中には、派遣団と協力してでも生きていたいという想いが、先に存在していた。			つまり、アナタの中には、派遣団と協力してでも生きていたいという想いが、先に存在していた。			グッバイ・＊＊＊							
それを正当化するために、「自分たちも犠牲を出したのだから、彼らを責められない」という理屈を後づけしたのですね。			それを正当化するために、「自分たちも犠牲を出したのだから、彼らを責められない」という理屈を後づけしたのですね。			グッバイ・＊＊＊							
……かもな。心の方が、頭よりずっと素早くて、複雑で、素直みたいだ。			……かもな。心の方が、頭よりずっと素早くて、複雑で、素直みたいだ。			グッバイ・＊＊＊							
っと、そろそろ戻る時間だ。害獣相手の見張りに、焚き出し、物資の回収や運搬……帝国軍人は、意外とまだやることが多いんだよ。			っと、そろそろ戻る時間だ。害獣相手の見張りに、焚き出し、物資の回収や運搬……帝国軍人は、意外とまだやることが多いんだよ。			グッバイ・＊＊＊							
じゃあ、また。……リキニアたちのこと気にしてくれて、ありがとな。			じゃあ、また。……リキニアたちのこと気にしてくれて、ありがとな。			グッバイ・＊＊＊							
ガガ……当地での聴取を経て、予想外の結論に行き着いてしまいました。			ガガ……当地での聴取を経て、予想外の結論に行き着いてしまいました。			グッバイ・＊＊＊							
ワタシは、ヒトが心を自在に操れるものと思っていた。ですが、その実、持て余しているのでは？			ワタシは、ヒトが心を自在に操れるものと思っていた。ですが、その実、持て余しているのでは？			グッバイ・＊＊＊							
それの作用によって思考が煩雑になり、自分のことさえ把握、制御ができなくなっているのですから……明らかに、スペックに対して不適切な機能です。			それの作用によって思考が煩雑になり、自分のことさえ把握、制御ができなくなっているのですから……明らかに、スペックに対して不適切な機能です。			グッバイ・＊＊＊							
おかげで、ヒトと話すほどに、疑問と混乱が生じています。ワタシはちゃんと、真相にたどりつけるのでしょうか……。			おかげで、ヒトと話すほどに、疑問と混乱が生じています。ワタシはちゃんと、真相にたどりつけるのでしょうか……。			グッバイ・＊＊＊							
クエ……クエ、クエエ……。			クエ……クエ、クエエ……。			グッバイ・＊＊＊							
ガガ……先行きはどうあれ、派遣団と帝国民の関係が最適化されないのは、複雑怪奇な心の影響だと理解しました。			ガガ……先行きはどうあれ、派遣団と帝国民の関係が最適化されないのは、複雑怪奇な心の影響だと理解しました。			グッバイ・＊＊＊							
であれば、次……最後の疑問点についての調査に移行しましょう。			であれば、次……最後の疑問点についての調査に移行しましょう。			グッバイ・＊＊＊							
知りたいのは、古代人と記されていたヒトについて。終末に関する重大な要素だったことは把握していますが、あの報告書だけでは、全容が掴めませんでした。			知りたいのは、古代人と記されていたヒトについて。終末に関する重大な要素だったことは把握していますが、あの報告書だけでは、全容が掴めませんでした。			グッバイ・＊＊＊							
より詳細なデータを得るため、彼らが創造し、その知識を一部引き継ぐという、「レポリット」の拠点を訪ねましょう。			より詳細なデータを得るため、彼らが創造し、その知識を一部引き継ぐという、「レポリット」の拠点を訪ねましょう。			グッバイ・＊＊＊							
さあ……ワタシのバッテリーが凍結する前に、テレポをするのです、Forename！			さあ……ワタシのバッテリーが凍結する前に、テレポをするのです、Forename！			グッバイ・＊＊＊							
クエーッ！　クエックエッ！			クエーッ！　クエックエッ！			グッバイ・＊＊＊							
ガガ……ここが報告書にあった、レポリットの拠点……ベストウェイ・バローですね。			ガガ……ここが報告書にあった、レポリットの拠点……ベストウェイ・バローですね。			グッバイ・＊＊＊							
ワタシは、この場所で用いられている技術を検分したい。それによって把握できる古代人の情報もあるでしょう。			ワタシは、この場所で用いられている技術を検分したい。それによって把握できる古代人の情報もあるでしょう。			グッバイ・＊＊＊							
ただ、今のボディには、かつてほど高性能な観測機能が備わっていません。技術の詳細を知るには、ある程度の解説が必要…………			ただ、今のボディには、かつてほど高性能な観測機能が備わっていません。技術の詳細を知るには、ある程度の解説が必要…………			グッバイ・＊＊＊							
あれ……？あそこにいるのは、もしや……			あれ……？あそこにいるのは、もしや……			グッバイ・＊＊＊							
わあああ、本物だあぁ！会いたかったです、Forenameさんーッ！			わあああ、本物だあぁ！会いたかったです、Forenameさんーッ！			グッバイ・＊＊＊							
って、な、な、ななななな……！？			って、な、な、ななななな……！？			グッバイ・＊＊＊							
なんだか別のふかふかを連れていらっしゃるー！？！？			なんだか別のふかふかを連れていらっしゃるー！？！？			グッバイ・＊＊＊							
はうァッ……！私たちは、もう用済み……！？月とともに、お役御免ということでしょうかァッ……！			はうァッ……！私たちは、もう用済み……！？月とともに、お役御免ということでしょうかァッ……！			グッバイ・＊＊＊							
そうですよね、こんなトンチキ巣穴(バロー)しか創れない使い魔、連れ歩いたって恥ずかしいだけと申しますか、なんならパイにした方がまだ役に立つという……！			そうですよね、こんなトンチキ巣穴(バロー)しか創れない使い魔、連れ歩いたって恥ずかしいだけと申しますか、なんならパイにした方がまだ役に立つという……！			グッバイ・＊＊＊							
……えっ、愛想を尽かされたわけじゃない？古代人について知るために、私たちの技術を見にきたと？			……えっ、愛想を尽かされたわけじゃない？古代人について知るために、私たちの技術を見にきたと？			グッバイ・＊＊＊							
なぁんだ、そうだったんですか～！危うく、最近クッキングウェイが創ったオーブンに、パイ生地を着て飛び込んじゃうところでしたよ！			なぁんだ、そうだったんですか～！危うく、最近クッキングウェイが創ったオーブンに、パイ生地を着て飛び込んじゃうところでしたよ！			グッバイ・＊＊＊							
であれば、私にドーンとお任せください！環境構築の一端を担う者として、ズバッと解説いたしましょう！			であれば、私にドーンとお任せください！環境構築の一端を担う者として、ズバッと解説いたしましょう！			グッバイ・＊＊＊							
ガガ……交渉成立。では、ワタシはこのレポリットとともに、拠点内をひとまわりしてきます。			ガガ……交渉成立。では、ワタシはこのレポリットとともに、拠点内をひとまわりしてきます。			グッバイ・＊＊＊							
アナタは待機していて構いません。いかなるボディであれ、ワタシは自律型兵器オメガ……単独での任務も難なくこなしますので、ガガ。			アナタは待機していて構いません。いかなるボディであれ、ワタシは自律型兵器オメガ……単独での任務も難なくこなしますので、ガガ。			グッバイ・＊＊＊							
お待たせしました。			お待たせしました。			グッバイ・＊＊＊							
何と言う？			何と言う？			グッバイ・＊＊＊							
見学は無事に終わった？			見学は無事に終わった？			グッバイ・＊＊＊							
……グローウィングウェイは？			……グローウィングウェイは？			グッバイ・＊＊＊							
肯定……レポリットの技術力は、おおよそ把握できました。			肯定……レポリットの技術力は、おおよそ把握できました。			グッバイ・＊＊＊							
あの説明役の個体が、ワタシからの質問に対し、確認の時間を要することもありましたが……効率よく調査できたと言っていいでしょう。			あの説明役の個体が、ワタシからの質問に対し、確認の時間を要することもありましたが……効率よく調査できたと言っていいでしょう。			グッバイ・＊＊＊							
あの個体は、役目を果たしました。ワタシがレポリットの技術力をおおよそ理解したため、帰っていったのです。			あの個体は、役目を果たしました。ワタシがレポリットの技術力をおおよそ理解したため、帰っていったのです。			グッバイ・＊＊＊							
引き留める行為は、不要と判断しました。こちらの質問が50を超えたあたりから、彼の処理速度は、明らかに低下していましたので。			引き留める行為は、不要と判断しました。こちらの質問が50を超えたあたりから、彼の処理速度は、明らかに低下していましたので。			グッバイ・＊＊＊							
結論……あれらの知識や技術ですら断片にすぎないとすれば、古代人は、最低でもレベルIVに相当する、高度な文明を持っていたはずです。			結論……あれらの知識や技術ですら断片にすぎないとすれば、古代人は、最低でもレベルIVに相当する、高度な文明を持っていたはずです。			グッバイ・＊＊＊							
……だからこそ、ワタシは彼らをもっと知りたい。			……だからこそ、ワタシは彼らをもっと知りたい。			グッバイ・＊＊＊							
