選者殿のヒナゲシは、協力者を探しているようだ。			選者殿のヒナゲシは、協力者を探しているようだ。			甘い文化体験							
よかったぁ……このあたりなら、そのうち教授も来るんじゃないかと思ってました。			よかったぁ……このあたりなら、そのうち教授も来るんじゃないかと思ってました。			ヒナゲシ君から							
そうか……たしかにクガネ城を見学する予定だったから……。さすがヒナゲシ君、私の行動パターンは把握済みというわけだ。			そうか……たしかにクガネ城を見学する予定だったから……。さすがヒナゲシ君、私の行動パターンは把握済みというわけだ。			ヒナゲシ君から							
それにしても、いったいどこではぐれてしまったんだろう？			それにしても、いったいどこではぐれてしまったんだろう？			ヒナゲシ君から							
第一波止場に向かう途中、小金通りの横を通りがかった時、呼び込みの店員に話しかけられてしまって……。その応対をしていたら、教授たちとはぐれちゃったんです……。			第一波止場に向かう途中、小金通りの横を通りがかった時、呼び込みの店員に話しかけられてしまって……。その応対をしていたら、教授たちとはぐれちゃったんです……。			ヒナゲシ君から							
観光気分じゃ困ると、叱られたばかりだったのに……。			観光気分じゃ困ると、叱られたばかりだったのに……。			ヒナゲシ君から							
いや、ぼくの方こそ、寂しい想いをさせてすまない。研究のことを考えるあまり、まわりが見えていなかったよ。			いや、ぼくの方こそ、寂しい想いをさせてすまない。研究のことを考えるあまり、まわりが見えていなかったよ。			ヒナゲシ君から							
実は……ぼくもきみを探している間、見ず知らずの街で、ひとりきりで駆け回り、とても不安だったんだ。このままひとり、帰れなくなったらどうしよう、と。			実は……ぼくもきみを探している間、見ず知らずの街で、ひとりきりで駆け回り、とても不安だったんだ。このままひとり、帰れなくなったらどうしよう、と。			ヒナゲシ君から							
だから、こうしてヒナゲシ君の顔を見たとき、どれだけ安心したことか。きっときみは、ぼく以上に心細かったに違いない。			だから、こうしてヒナゲシ君の顔を見たとき、どれだけ安心したことか。きっときみは、ぼく以上に心細かったに違いない。			ヒナゲシ君から							
はい～、とっても寂しかったです～～！！			はい～、とっても寂しかったです～～！！			ヒナゲシ君から							
こんなとき、何かできることは……。			こんなとき、何かできることは……。			ヒナゲシ君から							
そうだ！			そうだ！			ヒナゲシ君から							
本当にすまないが、理由は後で説明するので、「かんざし素材」というものを、手に入れられないだろうか？			本当にすまないが、理由は後で説明するので、「かんざし素材」というものを、手に入れられないだろうか？			ヒナゲシ君から							
「紅玉海」というところで採れると聞いているんだが、それを使って、彼女を元気づけたいんだ。			「紅玉海」というところで採れると聞いているんだが、それを使って、彼女を元気づけたいんだ。			ヒナゲシ君から							
ありがとう！ヒナゲシ君をこのままひとりで置いてはおけないので、ぼくはここで待ってるよ。			ありがとう！ヒナゲシ君をこのままひとりで置いてはおけないので、ぼくはここで待ってるよ。			ヒナゲシ君から							
「かんざし素材」は、紅玉海の獄之蓋で採集することができます。			「かんざし素材」は、紅玉海の獄之蓋で採集することができます。			ヒナゲシ君から							
「かんざし素材」は、紅玉海のオノコロ島付近で採集することができます。			「かんざし素材」は、紅玉海のオノコロ島付近で採集することができます。			ヒナゲシ君から							
滞在時間も限られているのに……。ご迷惑をおかけしてしまい、すみませんでした……。ひっく……。			滞在時間も限られているのに……。ご迷惑をおかけしてしまい、すみませんでした……。ひっく……。			ヒナゲシ君から							
「紅玉海」は、美しい天然資源の宝庫だと聞く。そこなら「かんざし素材」も採れるはずだ。			「紅玉海」は、美しい天然資源の宝庫だと聞く。そこなら「かんざし素材」も採れるはずだ。			ヒナゲシ君から							
これは……なんと美しい！			これは……なんと美しい！			ヒナゲシ君から							
さっそく職人さんのところへ行ってくるよ。あなたはここで、ヒナゲシ君と待っていてくれ！			さっそく職人さんのところへ行ってくるよ。あなたはここで、ヒナゲシ君と待っていてくれ！			ヒナゲシ君から							
ぐすっ、教授のお邪魔ばかりしてしまって……私は助手失格です……。			ぐすっ、教授のお邪魔ばかりしてしまって……私は助手失格です……。			ヒナゲシ君から							
待たせてしまってすまない。ヒナゲシ君に、これを渡したくて、ね。			待たせてしまってすまない。ヒナゲシ君に、これを渡したくて、ね。			ヒナゲシ君から							
これは……お花のかんざし？このお花って、もしかして……！？			これは……お花のかんざし？このお花って、もしかして……！？			ヒナゲシ君から							
そう、この国では、「ヒナゲシ」と呼ばれている花だよ。せっかく現地に来たのに、なんの素材も採集しないだなんて、ぼくらの研究らしくないだろう？			そう、この国では、「ヒナゲシ」と呼ばれている花だよ。せっかく現地に来たのに、なんの素材も採集しないだなんて、ぼくらの研究らしくないだろう？			ヒナゲシ君から							
だから、お土産の代わりに、それを。			だから、お土産の代わりに、それを。			ヒナゲシ君から							
あ、あ、あ……。			あ、あ、あ……。			ヒナゲシ君から							
ありがとうございますー！！私、一生大事にします～！			ありがとうございますー！！私、一生大事にします～！			ヒナゲシ君から							
不思議だ……ヒナゲシ君といるときは、たとえ異郷のど真ん中でも、まるで我が家にいるかのようだ。この安心感はいったい……？			不思議だ……ヒナゲシ君といるときは、たとえ異郷のど真ん中でも、まるで我が家にいるかのようだ。この安心感はいったい……？			ヒナゲシ君から							
いけない、のんびりはしていられないぞ！急いで街を見て回らなくては。次は楽座街を見てから、「望海楼」に行こう！			いけない、のんびりはしていられないぞ！急いで街を見て回らなくては。次は楽座街を見てから、「望海楼」に行こう！			ヒナゲシ君から							
おっと危ない、忘れるところだった！その前に、ウミネコ茶屋にも寄って、お茶とお団子を、食べていかないとね。			おっと危ない、忘れるところだった！その前に、ウミネコ茶屋にも寄って、お茶とお団子を、食べていかないとね。			ヒナゲシ君から							
教授……ありがとうございますー！！			教授……ありがとうございますー！！			ヒナゲシ君から							
温泉につかりながら、他国の方とおしゃべりしちゃいました。クガネならではの文化を体験した気がします～！			温泉につかりながら、他国の方とおしゃべりしちゃいました。クガネならではの文化を体験した気がします～！			ヒナゲシ君から							
いやぁ、いい湯だった……！望海楼という名前のとおり、素晴らしい眺めだったね。			いやぁ、いい湯だった……！望海楼という名前のとおり、素晴らしい眺めだったね。			ヒナゲシ君から							
海の向こうには、侍の国ドマや、ぼくの一族のルーツ、アジムステップがあるのか……。			海の向こうには、侍の国ドマや、ぼくの一族のルーツ、アジムステップがあるのか……。			ヒナゲシ君から							
そちらもいつか行ってみたいな。旅をしながら生きる民族……どんな生活なんだろう？			そちらもいつか行ってみたいな。旅をしながら生きる民族……どんな生活なんだろう？			ヒナゲシ君から							
世界には、まだまだ知らないことがたくさんですね。いつかきっと行きましょう！			世界には、まだまだ知らないことがたくさんですね。いつかきっと行きましょう！			ヒナゲシ君から							
ああ……！			ああ……！			ヒナゲシ君から							
さぁ、そろそろ帰りの時間だ。名残惜しいが、シャーレアンに戻ろう。			さぁ、そろそろ帰りの時間だ。名残惜しいが、シャーレアンに戻ろう。			ヒナゲシ君から							
あなたは、ぼくらが戻るころを見計らって、「選者殿」に顔を出してほしい。そこで今回のお礼をしよう。			あなたは、ぼくらが戻るころを見計らって、「選者殿」に顔を出してほしい。そこで今回のお礼をしよう。			ヒナゲシ君から							
今回の研究旅行は、とても大きな収穫があったように感じる。あの異国の地で感じた安心感の正体……それがわかれば、研究にも大きな進展がありそうな……そんな気がするんだ。			今回の研究旅行は、とても大きな収穫があったように感じる。あの異国の地で感じた安心感の正体……それがわかれば、研究にも大きな進展がありそうな……そんな気がするんだ。			ヒナゲシ君から							
やっぱりここが落ち着きますね～！世界中に良い文化がありますけど、旅してばかりでも、きっと疲れちゃいます。			やっぱりここが落ち着きますね～！世界中に良い文化がありますけど、旅してばかりでも、きっと疲れちゃいます。			ヒナゲシ君から							
人には、帰ってくる場所が必要なんですね。冒険者さんにも、そういう場所があるんですか？			人には、帰ってくる場所が必要なんですね。冒険者さんにも、そういう場所があるんですか？			ヒナゲシ君から							
それでは、私たちは今回の出張の報告書を作成します。次の研究内容が決まったらまたお報せしますね！			それでは、私たちは今回の出張の報告書を作成します。次の研究内容が決まったらまたお報せしますね！			ヒナゲシ君から							
「採掘師／園芸師」のいずれかがレベル88以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			「採掘師／園芸師」のいずれかがレベル88以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			ヒナゲシ君から							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「エウロスの冷笑」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「エウロスの冷笑」を完了する必要があります。			ヒナゲシ君から							
選者殿のヒナゲシは、研究旅行を振り返っているようだ。			選者殿のヒナゲシは、研究旅行を振り返っているようだ。			大切な時間について							
ヒナゲシから研究対象の採集を依頼された。「古代文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「古代文化の必需品」は、採掘師の場合はエルピスの牙の園付近で、園芸師の場合はエルピスのアナグノリシス天測園付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			ヒナゲシから研究対象の採集を依頼された。「古代文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「古代文化の必需品」は、採掘師の場合はエルピスの牙の園付近で、園芸師の場合はエルピスのアナグノリシス天測園付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			大切な時間について							
ヒナゲシに「古代文化の必需品」を納品した。タンギンはヒナゲシの言葉からなにかを考えついたようだ。彼の結論を聞く準備ができたら、改めてヒナゲシに声をかけよう。			ヒナゲシに「古代文化の必需品」を納品した。タンギンはヒナゲシの言葉からなにかを考えついたようだ。彼の結論を聞く準備ができたら、改めてヒナゲシに声をかけよう。			大切な時間について							
牙の園付近で採集した古代文化の必需品をヒナゲシに納品アナグノリシス天測園付近で採集した古代文化の必需品をヒナゲシに納品採掘師または園芸師になり古代文化の必需品をヒナゲシに納品			牙の園付近で採集した古代文化の必需品をヒナゲシに納品アナグノリシス天測園付近で採集した古代文化の必需品をヒナゲシに納品採掘師または園芸師になり古代文化の必需品をヒナゲシに納品			大切な時間について							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「エウロスの冷笑」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「エウロスの冷笑」を完了する必要があります。			大切な時間について							
そういえば、クガネからの帰り道、教授が、次に再現する文化について閃いたと言ってました。いったいどの文化なんですかね～？			そういえば、クガネからの帰り道、教授が、次に再現する文化について閃いたと言ってました。いったいどの文化なんですかね～？			大切な時間について							
教授、冒険者さんも来てくれていることですし、次に再現する文化について、教えてくださいよ～！			教授、冒険者さんも来てくれていることですし、次に再現する文化について、教えてくださいよ～！			大切な時間について							
うん、それでは、まずは文化の選定方針から……。			うん、それでは、まずは文化の選定方針から……。			大切な時間について							
これまで、各地の文化を調べてきたが、比較すべきは異なる場所の文化だけとは限らない。次は、異なる「時代」についても検証すべきだと思う。			これまで、各地の文化を調べてきたが、比較すべきは異なる場所の文化だけとは限らない。次は、異なる「時代」についても検証すべきだと思う。			大切な時間について							
ふむふむ、未来の研究はできないから、過去ですよねぇ。過去の優れた文化というと……やっぱりアラグ帝国でしょうか？			ふむふむ、未来の研究はできないから、過去ですよねぇ。過去の優れた文化というと……やっぱりアラグ帝国でしょうか？			大切な時間について							
そのとおり……と言いたいところだが、さらに古い時代には、アラグよりも発達した、超古代文明があったという、にわかには信じがたい説もあるんだ。			そのとおり……と言いたいところだが、さらに古い時代には、アラグよりも発達した、超古代文明があったという、にわかには信じがたい説もあるんだ。			大切な時間について							
もし本当にそんな文明が存在したのなら、ぜひとも再現してみたいものだが……。			もし本当にそんな文明が存在したのなら、ぜひとも再現してみたいものだが……。			大切な時間について							
何と言う？			何と言う？			大切な時間について							
古代世界なら詳しい			古代世界なら詳しい			大切な時間について							
エルピスの文化は素晴らしい			エルピスの文化は素晴らしい			大切な時間について							
ほう、興味深い……！ぜひ、その件を詳しく説明してくれないか！？			ほう、興味深い……！ぜひ、その件を詳しく説明してくれないか！？			大切な時間について							
創造魔法実験場、エルピス……！？ほ、本当にそんな古代文明があったんですか～！？			創造魔法実験場、エルピス……！？ほ、本当にそんな古代文明があったんですか～！？			大切な時間について							
とても信じがたいが……月にすら行けるあなたが言うのなら信じよう。			とても信じがたいが……月にすら行けるあなたが言うのなら信じよう。			大切な時間について							
もし、その当時の素材が手に入るようなら、調達してきてはもらえないだろうか？ぼくの方でも、通説に従い、揃えられる素材を揃えておこう。			もし、その当時の素材が手に入るようなら、調達してきてはもらえないだろうか？ぼくの方でも、通説に従い、揃えられる素材を揃えておこう。			大切な時間について							
こ、これは文化学の根底を覆す、大発見になるかも……。「エルピス」で、古代世界の文化再現に役立ちそうな品、「古代文化の必需品」の調達をお願いします～！			こ、これは文化学の根底を覆す、大発見になるかも……。「エルピス」で、古代世界の文化再現に役立ちそうな品、「古代文化の必需品」の調達をお願いします～！			大切な時間について							
「古代文化の必需品」は、エルピスの牙の園付近で採集することができます。			「古代文化の必需品」は、エルピスの牙の園付近で採集することができます。			大切な時間について							
「古代文化の必需品」は、エルピスのアナグノリシス天測園付近で採集することができます。			「古代文化の必需品」は、エルピスのアナグノリシス天測園付近で採集することができます。			大切な時間について							
「存在していなかった」ことを証明するのは難しい。それよりも、「存在していたとしたら？」、という観点で研究を進める方が、建設的だね。			「存在していなかった」ことを証明するのは難しい。それよりも、「存在していたとしたら？」、という観点で研究を進める方が、建設的だね。			大切な時間について							
超古代文明と同じ暮らしをするということは、文明的には退化していることになるんでしょうか？それとも進化？　難しい問題ですね～！			超古代文明と同じ暮らしをするということは、文明的には退化していることになるんでしょうか？それとも進化？　難しい問題ですね～！			大切な時間について							
ありがとうございます！これが古代世界に存在していたものなんですね……。しかし、いったいどこでこれを？			ありがとうございます！これが古代世界に存在していたものなんですね……。しかし、いったいどこでこれを？			大切な時間について							
わ～、こんな素材、見たことないです！品質が良すぎて、古代のものに見えないですけど……かなり精度の高い再現ができそうです！			わ～、こんな素材、見たことないです！品質が良すぎて、古代のものに見えないですけど……かなり精度の高い再現ができそうです！			大切な時間について							
……それにしても、この鉱石、信じられないほど高いエーテルを含有していますね。当時の人は、これをどんな技術で加工していたんでしょう？			……それにしても、この鉱石、信じられないほど高いエーテルを含有していますね。当時の人は、これをどんな技術で加工していたんでしょう？			大切な時間について							
……それにしても、この繊維作物、現代の品種とは、比べ物にならないほど大きいですね。当時の人は、これをどんな技術で加工していたんでしょう？			……それにしても、この繊維作物、現代の品種とは、比べ物にならないほど大きいですね。当時の人は、これをどんな技術で加工していたんでしょう？			大切な時間について							
納品した素材を用いて、文化の再現が行われた！			納品した素材を用いて、文化の再現が行われた！			大切な時間について							
ワレワレハ、コダイジンダ……。			ワレワレハ、コダイジンダ……。			大切な時間について							
へ！？教授、今なんて……？			へ！？教授、今なんて……？			大切な時間について							
ごめんごめん。なんとなくこんな言語を使っていたんじゃないかと思ってね。			ごめんごめん。なんとなくこんな言語を使っていたんじゃないかと思ってね。			大切な時間について							
さておき、まるで神話の世界に迷い込んだかのようだね！あなたの証言を基に再現してみたが、ある種の調和を感じるよ。余計なものが一切ない、究極の機能美とでも言おうか……。			さておき、まるで神話の世界に迷い込んだかのようだね！あなたの証言を基に再現してみたが、ある種の調和を感じるよ。余計なものが一切ない、究極の機能美とでも言おうか……。			大切な時間について							
でも、こんなに裾が長いと、動き辛くないですか？			でも、こんなに裾が長いと、動き辛くないですか？			大切な時間について							
魔法が発達した結果、現代ほど力仕事は求められず、結果的に筋力が十分に発達していなかった可能性もあるだろう。ペンすら持てない……なんてことはないと思うがね。			魔法が発達した結果、現代ほど力仕事は求められず、結果的に筋力が十分に発達していなかった可能性もあるだろう。ペンすら持てない……なんてことはないと思うがね。			大切な時間について							
この仮面は、どういう役割があったんでしょう？シャイだったんですかね～？			この仮面は、どういう役割があったんでしょう？シャイだったんですかね～？			大切な時間について							
個人を外見ではなく、魂やエーテルで見分けていた……。あるいは、個を主張する必要がないほどに、すべての人々が満ち足りた暮らしを送っていたのかもしれないね。			個人を外見ではなく、魂やエーテルで見分けていた……。あるいは、個を主張する必要がないほどに、すべての人々が満ち足りた暮らしを送っていたのかもしれないね。			大切な時間について							
これほど高度な文明が一瞬で消滅してしまったとは……。終末とはそれほどまでに恐ろしいものなのか？やはり、永遠に続く文化的な営みは、存在し得ないのか……。			これほど高度な文明が一瞬で消滅してしまったとは……。終末とはそれほどまでに恐ろしいものなのか？やはり、永遠に続く文化的な営みは、存在し得ないのか……。			大切な時間について							
いや～、でもやっぱり、楽しいですね～！こんな生活が、いつまでも続けば良いのに……。			いや～、でもやっぱり、楽しいですね～！こんな生活が、いつまでも続けば良いのに……。			大切な時間について							
おや、これまで体験してきた中では、古代世界の生活様式が一番優れているというのが、ヒナゲシ君の見解かい？			おや、これまで体験してきた中では、古代世界の生活様式が一番優れているというのが、ヒナゲシ君の見解かい？			大切な時間について							
いえいえ、そうじゃなくて……。			いえいえ、そうじゃなくて……。			大切な時間について							
ああでもない、こうでもない、明日はこうしてみようって、教授と研究している日々が続いてほしいってことです。			ああでもない、こうでもない、明日はこうしてみようって、教授と研究している日々が続いてほしいってことです。			大切な時間について							
どの文化だって、長い単位で見て、初めて傾向が見えるだけで、どこか1日を切り取ってみたら、きっと何気ない日常ばかりですよ。			どの文化だって、長い単位で見て、初めて傾向が見えるだけで、どこか1日を切り取ってみたら、きっと何気ない日常ばかりですよ。			大切な時間について							
古代の人々だって、散歩をして、会話を楽しんで、料理をして、何かを創って……そんな日々の営みを続けてたんじゃないですか？			古代の人々だって、散歩をして、会話を楽しんで、料理をして、何かを創って……そんな日々の営みを続けてたんじゃないですか？			大切な時間について							
だから私たちも、毎日平和で穏やかな暮らしを、続けていけばいいだけなんじゃないか、って思うんです！			だから私たちも、毎日平和で穏やかな暮らしを、続けていけばいいだけなんじゃないか、って思うんです！			大切な時間について							
ヒナゲシ君……。			ヒナゲシ君……。			大切な時間について							
ああ、その通りだ！本当にきみには、気づかされることばかりだ。			ああ、その通りだ！本当にきみには、気づかされることばかりだ。			大切な時間について							
え～、私なにかすごいこと言いました～？			え～、私なにかすごいこと言いました～？			大切な時間について							
文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の促進者」と感じているようです！			文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の促進者」と感じているようです！			大切な時間について							
魔法大学取引のストーリークエストが発行されました！「採掘師／園芸師」のいずれかがレベル90以上になると、選者殿の「ヒナゲシ」から受注可能です。			魔法大学取引のストーリークエストが発行されました！「採掘師／園芸師」のいずれかがレベル90以上になると、選者殿の「ヒナゲシ」から受注可能です。			大切な時間について							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			大切な時間について							
選者殿のヒナゲシは、この生活に満足しているようだ。			選者殿のヒナゲシは、この生活に満足しているようだ。			今宵、魔法大学で							
文化学部の研究は、ここで終了となった。しかしタンキンは、ヒナゲシに伝えたい想いがあるという。「誓いの素材」を選者殿にいる「タンキン」に納品しよう。「誓いの素材」はラヴィリンソスのミディアルサーキット付近で採集できる。			文化学部の研究は、ここで終了となった。しかしタンキンは、ヒナゲシに伝えたい想いがあるという。「誓いの素材」を選者殿にいる「タンキン」に納品しよう。「誓いの素材」はラヴィリンソスのミディアルサーキット付近で採集できる。			今宵、魔法大学で							
タンキンに「誓いの素材」を納品した。タンキンが製作を行っている間、オールド・シャーレアンのサリャク像の「ヒナゲシ」に、「タンキンの手紙」を渡そう。			タンキンに「誓いの素材」を納品した。タンキンが製作を行っている間、オールド・シャーレアンのサリャク像の「ヒナゲシ」に、「タンキンの手紙」を渡そう。			今宵、魔法大学で							
ヒナゲシにタンキンの手紙を渡した。オールド・シャーレアンの選者殿の「タンキン」と話そう。			ヒナゲシにタンキンの手紙を渡した。オールド・シャーレアンの選者殿の「タンキン」と話そう。			今宵、魔法大学で							
タンキンとヒナゲシが導き出した、理想の生活の始まりを見届けた。選者殿の「ヒナゲシ」と話そう。			タンキンとヒナゲシが導き出した、理想の生活の始まりを見届けた。選者殿の「ヒナゲシ」と話そう。			今宵、魔法大学で							
文化学部の研究は、ひとつの結論を導き出し、ヒナゲシの恋も実った。これからもふたりは、騒がしく、穏やかな毎日を送っていく。そして、そんな日々が、やがて新たな文化を生み出していくのだろう。			文化学部の研究は、ひとつの結論を導き出し、ヒナゲシの恋も実った。これからもふたりは、騒がしく、穏やかな毎日を送っていく。そして、そんな日々が、やがて新たな文化を生み出していくのだろう。			今宵、魔法大学で							
ロウアー・アクリンソス付近の岩場で誓いの素材を砕岩選者殿のタンキンに誓いの素材を納品メリオール実験農場付近の草刈場で誓いの素材を草刈採掘師または園芸師になり誓いの素材を採集採掘師または園芸師になり選者殿のタンキンに誓いの素材を納品			ロウアー・アクリンソス付近の岩場で誓いの素材を砕岩選者殿のタンキンに誓いの素材を納品メリオール実験農場付近の草刈場で誓いの素材を草刈採掘師または園芸師になり誓いの素材を採集採掘師または園芸師になり選者殿のタンキンに誓いの素材を納品			今宵、魔法大学で							
ヒナゲシにタンキンの手紙を渡す			ヒナゲシにタンキンの手紙を渡す			今宵、魔法大学で							
タンキンと話す			タンキンと話す			今宵、魔法大学で							
ヒナゲシと話す			ヒナゲシと話す			今宵、魔法大学で							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」を完了する必要があります。			今宵、魔法大学で							
研究のデータもかなり揃ってきましたけど、次はどんな文化を再現するんですかね～？			研究のデータもかなり揃ってきましたけど、次はどんな文化を再現するんですかね～？			今宵、魔法大学で							
……今後について、ふたりに大事な話がある。			……今後について、ふたりに大事な話がある。			今宵、魔法大学で							
現時刻をもって、本研究の終了を宣言する！			現時刻をもって、本研究の終了を宣言する！			今宵、魔法大学で							
あの、どうして急に……！？			あの、どうして急に……！？			今宵、魔法大学で							
ずっと内緒にしてきたけど、元々この研究を始めた背景には、星が終末を迎え、人類が星外へと脱出するという、哲学者議会の計画があった。			ずっと内緒にしてきたけど、元々この研究を始めた背景には、星が終末を迎え、人類が星外へと脱出するという、哲学者議会の計画があった。			今宵、魔法大学で							
生き残った人類が受け継ぐべき文化とは、なんだろう？どうすれば、文化を廃れさせず、存続できるだろう？……それを模索するのが、この研究の目的だったんだ。			生き残った人類が受け継ぐべき文化とは、なんだろう？どうすれば、文化を廃れさせず、存続できるだろう？……それを模索するのが、この研究の目的だったんだ。			今宵、魔法大学で							
研究を通じて模索していた最良の生活って、星外に脱出する人類のためのものだったんですか～！？			研究を通じて模索していた最良の生活って、星外に脱出する人類のためのものだったんですか～！？			今宵、魔法大学で							
しかし、文化は生活の営みとして継承され、発展していくものだ。いかに「知識」を「情報」として持ち出そうとしても、途絶えてしまえば、ただの「記録」になってしまう。			しかし、文化は生活の営みとして継承され、発展していくものだ。いかに「知識」を「情報」として持ち出そうとしても、途絶えてしまえば、ただの「記録」になってしまう。			今宵、魔法大学で							
そこで、ラヴィリンソスで行われている研究とは別に、ぼくらに可能な範囲で、未来の人類に残すにふさわしい文化を、選別しようとしていたんだけど……。			そこで、ラヴィリンソスで行われている研究とは別に、ぼくらに可能な範囲で、未来の人類に残すにふさわしい文化を、選別しようとしていたんだけど……。			今宵、魔法大学で							
前回の再現で、ぼくなりの「解答」が得られた。よって、これ以上の再現は不要。あとはその成果を、論文にまとめようと思う。			前回の再現で、ぼくなりの「解答」が得られた。よって、これ以上の再現は不要。あとはその成果を、論文にまとめようと思う。			今宵、魔法大学で							
これまで、数々の文化の再現、そして体験に協力してくれて、本当にありがとう。			これまで、数々の文化の再現、そして体験に協力してくれて、本当にありがとう。			今宵、魔法大学で							
そうですかぁ……。教授と異文化体験するの楽しかったから、少し残念です～。			そうですかぁ……。教授と異文化体験するの楽しかったから、少し残念です～。			今宵、魔法大学で							
ゴ、ゴホン……！ところで、きみは、なにか今後の計画はあるのかな……？			ゴ、ゴホン……！ところで、きみは、なにか今後の計画はあるのかな……？			今宵、魔法大学で							
う～ん、何も考えてませんでした。ずっと研究ばかりで疲れもありますし、実家に帰ろうかなぁ。両親にも、長いこと顔見せてないし……。			う～ん、何も考えてませんでした。ずっと研究ばかりで疲れもありますし、実家に帰ろうかなぁ。両親にも、長いこと顔見せてないし……。			今宵、魔法大学で							
そういえば、新たな研究パートナーとして、いい人を見つけたから紹介したいとか言ってたっけ。海でも見ながら考えてきますー！			そういえば、新たな研究パートナーとして、いい人を見つけたから紹介したいとか言ってたっけ。海でも見ながら考えてきますー！			今宵、魔法大学で							
新たな、研究パートナー……！？			新たな、研究パートナー……！？			今宵、魔法大学で							
……ずっと一緒に研究できるものと思っていたのに、まさか研究室を去るだなんて……。ああ、どうしたらいいんだ……！			……ずっと一緒に研究できるものと思っていたのに、まさか研究室を去るだなんて……。ああ、どうしたらいいんだ……！			今宵、魔法大学で							
あ、いや……その、実はね。次の研究に関するアイディアが閃いてしまって。それで、「とある儀式」を再現してみたいなぁ……と。			あ、いや……その、実はね。次の研究に関するアイディアが閃いてしまって。それで、「とある儀式」を再現してみたいなぁ……と。			今宵、魔法大学で							
ああ、いや……そうじゃない。もっとはっきり言わなくては。			ああ、いや……そうじゃない。もっとはっきり言わなくては。			今宵、魔法大学で							
ぼくは、今回の研究を通じて、ヒナゲシ君との間に、深い絆が結ばれていくのを感じたんだ。			ぼくは、今回の研究を通じて、ヒナゲシ君との間に、深い絆が結ばれていくのを感じたんだ。			今宵、魔法大学で							
もちろん、ぼくが一方的にそう感じているだけで、思い過ごしかもしれない……。			もちろん、ぼくが一方的にそう感じているだけで、思い過ごしかもしれない……。			今宵、魔法大学で							
だからぼくは、彼女にぼくの感じた絆を伝えるために、「エターナルバンド」を申し込む！			だからぼくは、彼女にぼくの感じた絆を伝えるために、「エターナルバンド」を申し込む！			今宵、魔法大学で							
何と言う？			何と言う？			今宵、魔法大学で							
よく言った！			よく言った！			今宵、魔法大学で							
思い過ごしなんかじゃない			思い過ごしなんかじゃない			今宵、魔法大学で							
そんなに感激されるとは思わなかったな……。ぼくがこんなことを言うのは変かい？			そんなに感激されるとは思わなかったな……。ぼくがこんなことを言うのは変かい？			今宵、魔法大学で							
ありがとう、そうだといいけどね。少し勇気が出たよ。			ありがとう、そうだといいけどね。少し勇気が出たよ。			今宵、魔法大学で							
とにかく、彼女の気持ちを確かめるためにも、用意しておきたいものがあるんだ。			とにかく、彼女の気持ちを確かめるためにも、用意しておきたいものがあるんだ。			今宵、魔法大学で							
これは、人類の将来とかそんな壮大なものではなくて、ぼく個人の、とてもちっぽけなお願いになるんだけど……あなたに協力をお願いできないだろうか？			これは、人類の将来とかそんな壮大なものではなくて、ぼく個人の、とてもちっぽけなお願いになるんだけど……あなたに協力をお願いできないだろうか？			今宵、魔法大学で							
ありがとう！ぼくは彼女に捧げるためのエターナルリングを作りたいんだ！			ありがとう！ぼくは彼女に捧げるためのエターナルリングを作りたいんだ！			今宵、魔法大学で							
そこで、リング作りにふさわしい「誓いの素材」を、「ラヴィリンソス」で収集してきてほしい！ふたりで、最初に研究を行った思い出の場所なんだ。			そこで、リング作りにふさわしい「誓いの素材」を、「ラヴィリンソス」で収集してきてほしい！ふたりで、最初に研究を行った思い出の場所なんだ。			今宵、魔法大学で							
ぼくは他の素材も揃えつつ、心の準備をしておくよ……！			ぼくは他の素材も揃えつつ、心の準備をしておくよ……！			今宵、魔法大学で							
「誓いの素材」は、ラヴィリンソスのロウアー・アクリンソス付近で、採集することができます。			「誓いの素材」は、ラヴィリンソスのロウアー・アクリンソス付近で、採集することができます。			今宵、魔法大学で							
「誓いの素材」は、ラヴィリンソスのメリオール実験農場付近で、採集することができます。			「誓いの素材」は、ラヴィリンソスのメリオール実験農場付近で、採集することができます。			今宵、魔法大学で							
