ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			神子の使いと忘れられた島							
といっても、ウルダハの本家本元じゃなくて、クガネの商館をたばねるハンコックさんからね！お手紙を預かってるから、確認してもらえる～？			といっても、ウルダハの本家本元じゃなくて、クガネの商館をたばねるハンコックさんからね！お手紙を預かってるから、確認してもらえる～？			紫洲六根山珍道中							
(-ハンコックからの手紙-)平素よりお世話になっております。東アルデナード商会のハンコックでございます。			(-ハンコックからの手紙-)平素よりお世話になっております。東アルデナード商会のハンコックでございます。			紫洲六根山珍道中							
(-ハンコックからの手紙-)ご多忙のところ、突然のお誘いとなりますが、この度、貴方を「ひんがしの国の霊山散策」に招待したく、ご連絡差し上げました。			(-ハンコックからの手紙-)ご多忙のところ、突然のお誘いとなりますが、この度、貴方を「ひんがしの国の霊山散策」に招待したく、ご連絡差し上げました。			紫洲六根山珍道中							
(-ハンコックからの手紙-)ひんがしの国は鎖国中ではございますが、領主である大名のご厚意で、特別に入山許可をいただけました。			(-ハンコックからの手紙-)ひんがしの国は鎖国中ではございますが、領主である大名のご厚意で、特別に入山許可をいただけました。			紫洲六根山珍道中							
(-ハンコックからの手紙-)もとをたどれば、先のエクスアダマント回収の折、先方の大名と取引をおこなったご縁があってのこと。ほかでもない、貴方にご一緒いただけたら嬉しく思います。			(-ハンコックからの手紙-)もとをたどれば、先のエクスアダマント回収の折、先方の大名と取引をおこなったご縁があってのこと。ほかでもない、貴方にご一緒いただけたら嬉しく思います。			紫洲六根山珍道中							
(-ハンコックからの手紙-)詳しいことは席を設けてご説明いたしますので、クガネの「望海楼」までお越しいただけますと幸いです。Forename様のご来訪を、お待ち申し上げております。			(-ハンコックからの手紙-)詳しいことは席を設けてご説明いたしますので、クガネの「望海楼」までお越しいただけますと幸いです。Forename様のご来訪を、お待ち申し上げております。			紫洲六根山珍道中							
何と言う？			何と言う？			紫洲六根山珍道中							
ひんがしの国にある霊山へ連れていってくれるらしい			ひんがしの国にある霊山へ連れていってくれるらしい			紫洲六根山珍道中							
手紙の文面だと胡散臭さがない！			手紙の文面だと胡散臭さがない！			紫洲六根山珍道中							
ええ～っ、羨ましい！鎖国中のひんがしの国にツテがあるだなんて、さすがは天下の東アルデナード商会って感じね～！			ええ～っ、羨ましい！鎖国中のひんがしの国にツテがあるだなんて、さすがは天下の東アルデナード商会って感じね～！			紫洲六根山珍道中							
ああ、話し言葉と書き言葉で印象が違う人っているわよね～！だけど、それにしたって……。			ああ、話し言葉と書き言葉で印象が違う人っているわよね～！だけど、それにしたって……。			紫洲六根山珍道中							
開口一番がそれって、Forenameさんってば、酷い言いよう！			開口一番がそれって、Forenameさんってば、酷い言いよう！			紫洲六根山珍道中							
それで、ハンコックさんとの待ち合わせ場所は、手紙にちゃんと書いてあった？			それで、ハンコックさんとの待ち合わせ場所は、手紙にちゃんと書いてあった？			紫洲六根山珍道中							
それなら、あちらへの連絡は私から入れておくから、さっそくクガネの「望海楼」に向かってみてね！			それなら、あちらへの連絡は私から入れておくから、さっそくクガネの「望海楼」に向かってみてね！			紫洲六根山珍道中							
ここからだと、か～なり長距離の移動になるけど……東方まで、いってらっしゃ～い！			ここからだと、か～なり長距離の移動になるけど……東方まで、いってらっしゃ～い！			紫洲六根山珍道中							
オォ～、Forenameさん！遠路はるばるお越しいただき、まことにありがとうございマ～ス！			オォ～、Forenameさん！遠路はるばるお越しいただき、まことにありがとうございマ～ス！			紫洲六根山珍道中							
オォ～、Forenameさん！先日の大繁盛商店絡みの一件に引き続き、クガネまでのご足労、まことにありがとうございマ～ス！			オォ～、Forenameさん！先日の大繁盛商店絡みの一件に引き続き、クガネまでのご足労、まことにありがとうございマ～ス！			紫洲六根山珍道中							
おや、もしやこの装いが気になっておられるのデ？山歩きのために仕立てたものでして、今は着心地を試しているところなのデ～ス！			おや、もしやこの装いが気になっておられるのデ？山歩きのために仕立てたものでして、今は着心地を試しているところなのデ～ス！			紫洲六根山珍道中							
まあ、私のことはさておき……。目的地のご説明をするにあたって、霊山関係者であるお二方にも同席をお願いしておきマシタ。			まあ、私のことはさておき……。目的地のご説明をするにあたって、霊山関係者であるお二方にも同席をお願いしておきマシタ。			紫洲六根山珍道中							
なかに落ち着いて話せるいい部屋を用意しましたから、続きはそちらでいたしましょう！			なかに落ち着いて話せるいい部屋を用意しましたから、続きはそちらでいたしましょう！			紫洲六根山珍道中							
腰を落ち着けたところで、まずはご挨拶を……。私の名はツバキ、連れの陰陽師はトキモリと申します。			腰を落ち着けたところで、まずはご挨拶を……。私の名はツバキ、連れの陰陽師はトキモリと申します。			紫洲六根山珍道中							
お二方の目的地である「六根山(ろっこんせん)」を領地に抱える、大名「ウズミビ」の名代として参りました。何卒、よろしくお願い申し上げます。			お二方の目的地である「六根山(ろっこんせん)」を領地に抱える、大名「ウズミビ」の名代として参りました。何卒、よろしくお願い申し上げます。			紫洲六根山珍道中							
今回、入山の許可が得られたのは先方の「ご厚意」と、くわえて、私の「東方の名品収集」という趣味の賜物でしてネ。			今回、入山の許可が得られたのは先方の「ご厚意」と、くわえて、私の「東方の名品収集」という趣味の賜物でしてネ。			紫洲六根山珍道中							
そのあたりの経緯も含めて、私のほうから、順を追ってご説明いたしマス！			そのあたりの経緯も含めて、私のほうから、順を追ってご説明いたしマス！			紫洲六根山珍道中							
さてさて、目的地についてお話しするにあたって、まずはここ「ひんがしの国」周辺の地理を、振り返っておきましょう。			さてさて、目的地についてお話しするにあたって、まずはここ「ひんがしの国」周辺の地理を、振り返っておきましょう。			紫洲六根山珍道中							
ひんがしの国は、複数の島々からなる国土が特徴的デスが、その最西端にあたるのが「シシュウ」と呼ばれる島になりマス。ここ、クガネが置かれている場所デスネ。			ひんがしの国は、複数の島々からなる国土が特徴的デスが、その最西端にあたるのが「シシュウ」と呼ばれる島になりマス。ここ、クガネが置かれている場所デスネ。			紫洲六根山珍道中							
では、肝心の目的地「六根山」はどこかといいますと……			では、肝心の目的地「六根山」はどこかといいますと……			紫洲六根山珍道中							
シシュウ北部のこちらデス！			シシュウ北部のこちらデス！			紫洲六根山珍道中							
古くより霊山として信仰の対象となってきた、その幽玄なる山奥には、僧たちの修業の場がございマス。名は「聖浄院(しょうじょういん)」……。			古くより霊山として信仰の対象となってきた、その幽玄なる山奥には、僧たちの修業の場がございマス。名は「聖浄院(しょうじょういん)」……。			紫洲六根山珍道中							
しかし、そんな寺院があろうことか、魑魅魍魎であふれかえっているそうで……。領主であるウズミビ様は、大層困っておいでデシタ。			しかし、そんな寺院があろうことか、魑魅魍魎であふれかえっているそうで……。領主であるウズミビ様は、大層困っておいでデシタ。			紫洲六根山珍道中							
ただ、その原因については目星がついているとのこと。聖浄院に持ち込まれた「いわくつきの品」が怪異となり、此度の騒動を引き起こしたのだとか……。			ただ、その原因については目星がついているとのこと。聖浄院に持ち込まれた「いわくつきの品」が怪異となり、此度の騒動を引き起こしたのだとか……。			紫洲六根山珍道中							
東方では、道具や武具が長き時を経て霊性を獲得する、「付喪神(つくもがみ)」という存在が知られていましてネ。今回の一件も、そうした物が原因ではないかというわけデス。			東方では、道具や武具が長き時を経て霊性を獲得する、「付喪神(つくもがみ)」という存在が知られていましてネ。今回の一件も、そうした物が原因ではないかというわけデス。			紫洲六根山珍道中							
私、それを聞いて、ウズミビ様に取引を持ち掛けてみマシタ。			私、それを聞いて、ウズミビ様に取引を持ち掛けてみマシタ。			紫洲六根山珍道中							
お山に蔓延る怪異の討伐を引き受けるかわりに、その「いわくつきの品」を収集させていただきたい……とネ。			お山に蔓延る怪異の討伐を引き受けるかわりに、その「いわくつきの品」を収集させていただきたい……とネ。			紫洲六根山珍道中							
さあ、もうおわかりデスよね、Forenameさん。ひんがしの国での物見遊山の機会を提供するかわりに、名品収集に向かう私の護衛と、怪異の討伐をお願いしマ～ス！			さあ、もうおわかりデスよね、Forenameさん。ひんがしの国での物見遊山の機会を提供するかわりに、名品収集に向かう私の護衛と、怪異の討伐をお願いしマ～ス！			紫洲六根山珍道中							
何と言う？			何と言う？			紫洲六根山珍道中							
ひんがしの国で冒険できるなら、お安い御用！			ひんがしの国で冒険できるなら、お安い御用！			紫洲六根山珍道中							
「いわくつきの品」を集めるのは危険では？			「いわくつきの品」を集めるのは危険では？			紫洲六根山珍道中							
あっはっは！気持ちのいいお返事デスネ！			あっはっは！気持ちのいいお返事デスネ！			紫洲六根山珍道中							
怪異を倒せば、元となった品物からは霊性が消えて、ただの名品に戻るはず……。			怪異を倒せば、元となった品物からは霊性が消えて、ただの名品に戻るはず……。			紫洲六根山珍道中							
Forenameさんは、そのあたりは気にせず、ひんがしの国での冒険を楽しめばいいのデ～ス。			Forenameさんは、そのあたりは気にせず、ひんがしの国での冒険を楽しめばいいのデ～ス。			紫洲六根山珍道中							
さて、ツバキさん。そろそろ、私と同じく「収集家の彼」の詳細を伺っても？			さて、ツバキさん。そろそろ、私と同じく「収集家の彼」の詳細を伺っても？			紫洲六根山珍道中							
聖浄院を取り仕切る僧侶、ゴウライのことですね。此度の事態の元凶である、いわくつきの品を集めた張本人となります。			聖浄院を取り仕切る僧侶、ゴウライのことですね。此度の事態の元凶である、いわくつきの品を集めた張本人となります。			紫洲六根山珍道中							
かの者は、元より骨董趣味を嗜んでいたようで……「力の宿る品こそ、神として祀るべきだ」と主張して、付喪神が宿るとされる品を片端から買い集めていたとか。			かの者は、元より骨董趣味を嗜んでいたようで……「力の宿る品こそ、神として祀るべきだ」と主張して、付喪神が宿るとされる品を片端から買い集めていたとか。			紫洲六根山珍道中							
そうこうするうちに、六根山では奇妙な現象が起こり始め、ついには怪異が現れたと、僧たちが逃げ出してきたのです。			そうこうするうちに、六根山では奇妙な現象が起こり始め、ついには怪異が現れたと、僧たちが逃げ出してきたのです。			紫洲六根山珍道中							
むろん我らは怪異の討伐に、手練れを送り込みました。ですが、その大半が入山したまま戻らぬとあっては、六根山の封鎖を命じるよりなく……。			むろん我らは怪異の討伐に、手練れを送り込みました。ですが、その大半が入山したまま戻らぬとあっては、六根山の封鎖を命じるよりなく……。			紫洲六根山珍道中							
こちらのトキモリは、数少ない生還者のひとり。内部の様子を知る貴重な証言者です。			こちらのトキモリは、数少ない生還者のひとり。内部の様子を知る貴重な証言者です。			紫洲六根山珍道中							
問題の品を手放すよう、ゴウライ師の説得に向かったのだが、奴は問答無用で我々に襲いかかってきてな。とても正気とは思えなんだ。			問題の品を手放すよう、ゴウライ師の説得に向かったのだが、奴は問答無用で我々に襲いかかってきてな。とても正気とは思えなんだ。			紫洲六根山珍道中							
六根山は、今のところ我が結界によって封じているが、その内にある者は、いずれも怪異と化したと考えてよい。何者かに遭遇したとて情け無用、ということだ。			六根山は、今のところ我が結界によって封じているが、その内にある者は、いずれも怪異と化したと考えてよい。何者かに遭遇したとて情け無用、ということだ。			紫洲六根山珍道中							
六根山への移動は大隼を使います。望海泉近くに待機させていますので、準備ができましたら、そちらまでお越しください。			六根山への移動は大隼を使います。望海泉近くに待機させていますので、準備ができましたら、そちらまでお越しください。			紫洲六根山珍道中							
ただ、大隼は怪異のことを本能的に恐れております……。乗っていけるのは麓までで、山中は徒歩になること、ご了承いただけると幸いです。			ただ、大隼は怪異のことを本能的に恐れております……。乗っていけるのは麓までで、山中は徒歩になること、ご了承いただけると幸いです。			紫洲六根山珍道中							
では、お話もひと区切りついたことデスし、出発前の腹ごしらえとまいりましょう！			では、お話もひと区切りついたことデスし、出発前の腹ごしらえとまいりましょう！			紫洲六根山珍道中							
世話をかけるが、よろしく頼む。			世話をかけるが、よろしく頼む。			紫洲六根山珍道中							
あなたがお客人か。自慢の大隼で、現地まで安全にお送りいたしましょう。			あなたがお客人か。自慢の大隼で、現地まで安全にお送りいたしましょう。			紫洲六根山珍道中							
Forename殿、お越しいただきありがとうございます。			Forename殿、お越しいただきありがとうございます。			紫洲六根山珍道中							
ハンコック殿は、あなたの準備が整うまで、ウルダハ商館でお仕事をなさっているそうです。出発の際には、私がお呼びしてまいります。			ハンコック殿は、あなたの準備が整うまで、ウルダハ商館でお仕事をなさっているそうです。出発の際には、私がお呼びしてまいります。			紫洲六根山珍道中							
さて、消耗品の補充や、装備のお手入れなどはお済みでしょうか？人里離れたお山ですから、くれぐれも身支度を怠らぬよう……。			さて、消耗品の補充や、装備のお手入れなどはお済みでしょうか？人里離れたお山ですから、くれぐれも身支度を怠らぬよう……。			紫洲六根山珍道中							
現地では結界の維持と監視のため、トキモリの弟子たちが待機しております。入山の際には、彼らを頼って結界の内部へお進みください。			現地では結界の維持と監視のため、トキモリの弟子たちが待機しております。入山の際には、彼らを頼って結界の内部へお進みください。			紫洲六根山珍道中							
あなたのご準備がよろしければ、「シシュウの大隼使い」にお声がけいただければと思います。			あなたのご準備がよろしければ、「シシュウの大隼使い」にお声がけいただければと思います。			紫洲六根山珍道中							
あなたのご準備がよろしければ、「シシュウの大隼使い」にお声がけいただければと思います。			あなたのご準備がよろしければ、「シシュウの大隼使い」にお声がけいただければと思います。			紫洲六根山珍道中							
怪異どもを征して、無事に戻ったか。大したものよ。			怪異どもを征して、無事に戻ったか。大したものよ。			紫洲六根山珍道中							
おつかれさまでございます、Forename殿。			おつかれさまでございます、Forename殿。			紫洲六根山珍道中							
ハンコック殿は、ゆっくりと飛んでこられているご様子……。お戻りになられるまで、しばし待つといたしましょう。			ハンコック殿は、ゆっくりと飛んでこられているご様子……。お戻りになられるまで、しばし待つといたしましょう。			紫洲六根山珍道中							
フゥ～、お待たせいたしマシタ。無事に「お土産」を持ち帰ることができて、ひと安心デ～ス！			フゥ～、お待たせいたしマシタ。無事に「お土産」を持ち帰ることができて、ひと安心デ～ス！			紫洲六根山珍道中							
ハンコック殿も、おつかれさまでございます。お怪我もないようで、何よりです。			ハンコック殿も、おつかれさまでございます。お怪我もないようで、何よりです。			紫洲六根山珍道中							
アッハッハ、なにしろ、護衛がForenameさんデスからネ！おかげさまで、このとおりピンピンしておりマス。			アッハッハ、なにしろ、護衛がForenameさんデスからネ！おかげさまで、このとおりピンピンしておりマス。			紫洲六根山珍道中							
なかなか危険な場所ではありましたが、六根山散策は、思っていた以上に楽しめマシタ。			なかなか危険な場所ではありましたが、六根山散策は、思っていた以上に楽しめマシタ。			紫洲六根山珍道中							
鬱蒼と生い茂る森に聳え立つ層塔は、見ごたえ抜群でしたネ！あれほど高層の建築物を木材で組み上げるとは、やはり、ひんがしの国の文化は素晴らしい！			鬱蒼と生い茂る森に聳え立つ層塔は、見ごたえ抜群でしたネ！あれほど高層の建築物を木材で組み上げるとは、やはり、ひんがしの国の文化は素晴らしい！			紫洲六根山珍道中							
樹木が少ないウルダハでは発展しようのない文化デスが、グリダニアとは、どこか通ずるものがあるように感じましたネ。			樹木が少ないウルダハでは発展しようのない文化デスが、グリダニアとは、どこか通ずるものがあるように感じましたネ。			紫洲六根山珍道中							
聖浄院にはたいへん興味があったもので、実際に足を運ぶことができて良かったデ～ス！見事な彫像の数々も、この目でしっかりと拝見できマシタ！			聖浄院にはたいへん興味があったもので、実際に足を運ぶことができて良かったデ～ス！見事な彫像の数々も、この目でしっかりと拝見できマシタ！			紫洲六根山珍道中							
あとは、ゴウライ師がご無事であれば、同好の士としてお話しできたのでしょうに……。そこはまあ、少しばかり残念ではありマス。			あとは、ゴウライ師がご無事であれば、同好の士としてお話しできたのでしょうに……。そこはまあ、少しばかり残念ではありマス。			紫洲六根山珍道中							
ずいぶんと険しい山道……いえ、獣道と言うべきでしょうか。山歩きに慣れていない身としては苦労の連続でしたが、あの美しい紅葉は見事なものデシタ！			ずいぶんと険しい山道……いえ、獣道と言うべきでしょうか。山歩きに慣れていない身としては苦労の連続でしたが、あの美しい紅葉は見事なものデシタ！			紫洲六根山珍道中							
それに、怪異を封じた岩が、あんな場所に安置されていようとは！ほかにはほとんど人工物がなかったので、予想外でした！			それに、怪異を封じた岩が、あんな場所に安置されていようとは！ほかにはほとんど人工物がなかったので、予想外でした！			紫洲六根山珍道中							
美しい湖に趣ある社とは、最高の景観でしたが、まさかものの一瞬で、戦場と化すとは思いませんでしたヨ。			美しい湖に趣ある社とは、最高の景観でしたが、まさかものの一瞬で、戦場と化すとは思いませんでしたヨ。			紫洲六根山珍道中							
私、Forenameさんの付喪神討伐を、特等席で拝見させていただいたわけデスが……いやはや、さすがのお点前デシタ！			私、Forenameさんの付喪神討伐を、特等席で拝見させていただいたわけデスが……いやはや、さすがのお点前デシタ！			紫洲六根山珍道中							
そんな激闘の末に回収した、あの「大煙管」……。あのような厳かな場所で保管されていたくらいデスから、此度の騒動に、大きく影響を及ぼしていた品なのでしょうネ。			そんな激闘の末に回収した、あの「大煙管」……。あのような厳かな場所で保管されていたくらいデスから、此度の騒動に、大きく影響を及ぼしていた品なのでしょうネ。			紫洲六根山珍道中							
なんにせよ、このとおり骨董品も持ち帰れたことデスし、これにて一件落着……			なんにせよ、このとおり骨董品も持ち帰れたことデスし、これにて一件落着……			紫洲六根山珍道中							
と、言いたいところではありますが、今回通らなかった道も、気になってしまいマ～ス！			と、言いたいところではありますが、今回通らなかった道も、気になってしまいマ～ス！			紫洲六根山珍道中							
六根山は広いデスから、ほかの場所でも、いわくつきの品がひと騒動起こしているかもしれませんし……。依然、興味が尽きませんネェ。			六根山は広いデスから、ほかの場所でも、いわくつきの品がひと騒動起こしているかもしれませんし……。依然、興味が尽きませんネェ。			紫洲六根山珍道中							
たしかに、持ち込まれた骨董品はかなりの数ですから、また別の怪異が現れていても、おかしくありません。			たしかに、持ち込まれた骨董品はかなりの数ですから、また別の怪異が現れていても、おかしくありません。			紫洲六根山珍道中							
そういうわけなので、Forenameさん。アナタの楽しい冒険と、私の素晴らしい骨董品収集、そしてお山の安全のために、また散策にまいりましょう！			そういうわけなので、Forenameさん。アナタの楽しい冒険と、私の素晴らしい骨董品収集、そしてお山の安全のために、また散策にまいりましょう！			紫洲六根山珍道中							
さて、次のお約束もしたところで……今回は楽しいひとときをありがとうございマシタ！			さて、次のお約束もしたところで……今回は楽しいひとときをありがとうございマシタ！			紫洲六根山珍道中							
仕事もありますので、六根山散策の続きはまた追々。アナタへの連絡にご協力くださった「シャロー・ムアー」さんに、よろしくお伝えくだサ～イ！			仕事もありますので、六根山散策の続きはまた追々。アナタへの連絡にご協力くださった「シャロー・ムアー」さんに、よろしくお伝えくだサ～イ！			紫洲六根山珍道中							
Forename殿とご連絡がとれたのは、「シャロー・ムアー」殿という方のおかげでしたか。私からの感謝の意も、お伝えいただけたら幸いです。			Forename殿とご連絡がとれたのは、「シャロー・ムアー」殿という方のおかげでしたか。私からの感謝の意も、お伝えいただけたら幸いです。			紫洲六根山珍道中							
Forenameさん、おかえり～っ！ハンコックさんの依頼は、無事に終わった？			Forenameさん、おかえり～っ！ハンコックさんの依頼は、無事に終わった？			紫洲六根山珍道中							
うわぁ、何だかいろいろ大変だったみたいね。でも、ひんがしの国の山だなんて、職業柄、植生とか気になっちゃうなぁ～……。			うわぁ、何だかいろいろ大変だったみたいね。でも、ひんがしの国の山だなんて、職業柄、植生とか気になっちゃうなぁ～……。			紫洲六根山珍道中							
なんて、それはともかく！オスモンくんが、あなたのお土産話を待ちわびてるから、よかったら、いろいろ聞かせてあげてね！			なんて、それはともかく！オスモンくんが、あなたのお土産話を待ちわびてるから、よかったら、いろいろ聞かせてあげてね！			紫洲六根山珍道中							
ひんがしの国でのお仕事、おつかれさまでした～！			ひんがしの国でのお仕事、おつかれさまでした～！			紫洲六根山珍道中							
メインコマンドの「コンテンツ情報」項目にある、「特殊ダンジョン探索」内に、「六根山 探索記」が追加されました。			メインコマンドの「コンテンツ情報」項目にある、「特殊ダンジョン探索」内に、「六根山 探索記」が追加されました。			紫洲六根山珍道中							
ヴァリアントダンジョン「六根山」コンプリート時、踏破したルートに応じて、探索記の項目が追加されていきます。			ヴァリアントダンジョン「六根山」コンプリート時、踏破したルートに応じて、探索記の項目が追加されていきます。			紫洲六根山珍道中							
イェドリマンのカリカは、冒険者をじっと見つめている。			イェドリマンのカリカは、冒険者をじっと見つめている。			焼けた道を行く君へ							
指定地点で待機			指定地点で待機			焼けた道を行く君へ							
カリカと話す			カリカと話す			焼けた道を行く君へ							
Forename、聞いてください！マトシャ様が祭祀場で釣られた魚の正体がわかりましたよ。			Forename、聞いてください！マトシャ様が祭祀場で釣られた魚の正体がわかりましたよ。			焼けた道を行く君へ							
それもこれも、島の文化についてマトシャ様へお伝えした、吾輩の功績に違いありません、ふふん！			それもこれも、島の文化についてマトシャ様へお伝えした、吾輩の功績に違いありません、ふふん！			焼けた道を行く君へ							
あとは、古い文献から魚の記録を見つけたパサスーンのことも、今回ばかりは評価しておきましょう。			あとは、古い文献から魚の記録を見つけたパサスーンのことも、今回ばかりは評価しておきましょう。			焼けた道を行く君へ							
え、幻聴じゃないよね？カリカ、僕のこと褒めてくれた？			え、幻聴じゃないよね？カリカ、僕のこと褒めてくれた？			焼けた道を行く君へ							
……ごほん！それでですね、マトシャ様は魚の効能を知るや否や、ニッダーナ様ではなく、別の方へお渡ししたいと仰ったのです。			……ごほん！それでですね、マトシャ様は魚の効能を知るや否や、ニッダーナ様ではなく、別の方へお渡ししたいと仰ったのです。			焼けた道を行く君へ							
渡しに行く際には、貴方もご一緒にとのことでした。そういうわけですので、しばしお付き合いいただきますよ！			渡しに行く際には、貴方もご一緒にとのことでした。そういうわけですので、しばしお付き合いいただきますよ！			焼けた道を行く君へ							
吾輩はマトシャ様に声をかけてまいりますので、貴方は「パーラカの里」でお待ちください！			吾輩はマトシャ様に声をかけてまいりますので、貴方は「パーラカの里」でお待ちください！			焼けた道を行く君へ							
吾輩とて、薄情な無礼者ではないのです！これだけ手厚く世話を焼かれては、褒めるぐらいしますとも。			吾輩とて、薄情な無礼者ではないのです！これだけ手厚く世話を焼かれては、褒めるぐらいしますとも。			焼けた道を行く君へ							
まあ、パサスーンのことは置いておくといたしましょう。吾輩はマトシャ様に声をかけてまいりますので、貴方は「パーラカの里」でお待ちください！			まあ、パサスーンのことは置いておくといたしましょう。吾輩はマトシャ様に声をかけてまいりますので、貴方は「パーラカの里」でお待ちください！			焼けた道を行く君へ							
ふふ、カリカのツレないところもかわいいけど、働きを褒めてもらえたのは素直に嬉しいね。			ふふ、カリカのツレないところもかわいいけど、働きを褒めてもらえたのは素直に嬉しいね。			焼けた道を行く君へ							
Forename、お待たせ～！			Forename、お待たせ～！			焼けた道を行く君へ							
このヒトたち、島でのことを逆恨みしているのか、オラの荷物をひったくろうとしてきて……。巡回中の星戦士さんたちがいて、助かっただす。			このヒトたち、島でのことを逆恨みしているのか、オラの荷物をひったくろうとしてきて……。巡回中の星戦士さんたちがいて、助かっただす。			焼けた道を行く君へ							
ぬわぁ～～っ！			ぬわぁ～～っ！			焼けた道を行く君へ							
いってええ！			いってええ！			焼けた道を行く君へ							
あーっ！お前、あのでけぇ像と戦ってたヤツじゃねーか！			あーっ！お前、あのでけぇ像と戦ってたヤツじゃねーか！			焼けた道を行く君へ							
お前らが帰ったあとに宝玉をいただこうとしたら、あいつ、また動き出しやがったんだぜ！？ったくよぉ、ちゃんと倒しておけよな！			お前らが帰ったあとに宝玉をいただこうとしたら、あいつ、また動き出しやがったんだぜ！？ったくよぉ、ちゃんと倒しておけよな！			焼けた道を行く君へ							
そのくせ、クアちゃんのことはしっかり倒しちゃってさぁ～！せっかく、ワスビルムくんが島の霊獣を使役する術を、ちょ～がんばって調べたのに……！			そのくせ、クアちゃんのことはしっかり倒しちゃってさぁ～！せっかく、ワスビルムくんが島の霊獣を使役する術を、ちょ～がんばって調べたのに……！			焼けた道を行く君へ							
あの、ええと、クアクアをけしかけてすみませんでした……。大樹の廃屋にあった、算術やらの研究資料の中に、巴術による使役術も記載されてたので、つい好奇心が……。			あの、ええと、クアクアをけしかけてすみませんでした……。大樹の廃屋にあった、算術やらの研究資料の中に、巴術による使役術も記載されてたので、つい好奇心が……。			焼けた道を行く君へ							
喚くな、喚くな！お前たちは都市内まで連行だ、行くぞ！			喚くな、喚くな！お前たちは都市内まで連行だ、行くぞ！			焼けた道を行く君へ							
まったくもって、けしからん連中です！神子像は、彼らの邪な気配を感じ取って、宝玉を守るために暴れ出したのかもしれませんね！			まったくもって、けしからん連中です！神子像は、彼らの邪な気配を感じ取って、宝玉を守るために暴れ出したのかもしれませんね！			焼けた道を行く君へ							
何と言う？			何と言う？			焼けた道を行く君へ							
結局、あの神子像って何だったの？			結局、あの神子像って何だったの？			焼けた道を行く君へ							
結局、あの宝玉って何だったの？			結局、あの宝玉って何だったの？			焼けた道を行く君へ							
うーん、それは「神子の使い」たる吾輩も、まったく知らぬことなのです。			うーん、それは「神子の使い」たる吾輩も、まったく知らぬことなのです。			焼けた道を行く君へ							
神子像や宝玉をつくった人々は、数千年前に、海が凍り付くほどの大寒波が襲った際、輝ける世界へと旅立った、と伝えられております。			神子像や宝玉をつくった人々は、数千年前に、海が凍り付くほどの大寒波が襲った際、輝ける世界へと旅立った、と伝えられております。			焼けた道を行く君へ							
後に島へと渡ってきた人々は、冷害で荒廃した土地の中で、唯一、緑が芽吹く場所を発見。そこに遺されていた神子像を見つけました！			後に島へと渡ってきた人々は、冷害で荒廃した土地の中で、唯一、緑が芽吹く場所を発見。そこに遺されていた神子像を見つけました！			焼けた道を行く君へ							
自然を育む力を持つ、不思議な神子像……。いつしか人々は、その作り手を「忘れられた人々」と呼び、敬うようになったのです！			自然を育む力を持つ、不思議な神子像……。いつしか人々は、その作り手を「忘れられた人々」と呼び、敬うようになったのです！			焼けた道を行く君へ							
以後、数千年、島民たちは、神子像の加護の下、「アロアロ島」で暮らし続けました。海底火山の噴火によって、移住を余儀なくされるまで……。			以後、数千年、島民たちは、神子像の加護の下、「アロアロ島」で暮らし続けました。海底火山の噴火によって、移住を余儀なくされるまで……。			焼けた道を行く君へ							
カリカって、実はすごく長生きだったりするだすか？話を聞いてると、途方もなく昔から島にいるみたいだけど……。			カリカって、実はすごく長生きだったりするだすか？話を聞いてると、途方もなく昔から島にいるみたいだけど……。			焼けた道を行く君へ							
長生きなほうだとは思います！吾輩が生まれたころは、あの島にも多くの人々がいて、得意の「算術」で神子像の神秘を解き明かそうとしていました。			長生きなほうだとは思います！吾輩が生まれたころは、あの島にも多くの人々がいて、得意の「算術」で神子像の神秘を解き明かそうとしていました。			焼けた道を行く君へ							
祭祀場の枝の上で生まれた吾輩が、人語を発したところ、彼らは大層驚いたものです！「神子の使い」と呼ばれたのも、それゆえのことでした。			祭祀場の枝の上で生まれた吾輩が、人語を発したところ、彼らは大層驚いたものです！「神子の使い」と呼ばれたのも、それゆえのことでした。			焼けた道を行く君へ							
思うに、宝玉の力が吾輩にも影響を及ぼしたのでしょう……まあ、吾輩のことはこのあたりにして、マトシャ様、お届け物の話をどうぞお進めください！			思うに、宝玉の力が吾輩にも影響を及ぼしたのでしょう……まあ、吾輩のことはこのあたりにして、マトシャ様、お届け物の話をどうぞお進めください！			焼けた道を行く君へ							
カリカの話だと、祭祀場の水場で釣れた魚を赤子に食べさせて、成長を祈願する習慣があったらしくて……。でも、ただの縁起物なのかどうかは、わからなかっただす。			カリカの話だと、祭祀場の水場で釣れた魚を赤子に食べさせて、成長を祈願する習慣があったらしくて……。でも、ただの縁起物なのかどうかは、わからなかっただす。			焼けた道を行く君へ							
そこでパサスーンに魚を詳しく調べてもらったら、本当に病への抵抗力を高めてくれる薬効が、この古代魚にあることがわかっただす！			そこでパサスーンに魚を詳しく調べてもらったら、本当に病への抵抗力を高めてくれる薬効が、この古代魚にあることがわかっただす！			焼けた道を行く君へ							
