ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ジュース店、立ち退きの危機							
だから　シェーロジャのためにとてとてウマウマ　ジュースを作ろう！ゴクゴク飲んで　ジュース作り　前向きに～！			だから　シェーロジャのためにとてとてウマウマ　ジュースを作ろう！ゴクゴク飲んで　ジュース作り　前向きに～！			理想の飲料作り							
ありがと　ありがとモブ～！ちょうどいい物　交渉ついでに　ペルペル族から買っていた～。それはそれは　「ヨカ・ククルポッド」！			ありがと　ありがとモブ～！ちょうどいい物　交渉ついでに　ペルペル族から買っていた～。それはそれは　「ヨカ・ククルポッド」！			理想の飲料作り							
いつもは　ビーンの部分で作る　みんな大好きチョコレートでもでも今日は使わない　ビーンを包む果肉(パルプ)を絞っておいしいジュース　作るモブ～！			いつもは　ビーンの部分で作る　みんな大好きチョコレートでもでも今日は使わない　ビーンを包む果肉(パルプ)を絞っておいしいジュース　作るモブ～！			理想の飲料作り							
つまりは　「ククルパルプジュース」！シェーロジャのために　どうかよろしくできたら直接　届けてあげて～			つまりは　「ククルパルプジュース」！シェーロジャのために　どうかよろしくできたら直接　届けてあげて～			理想の飲料作り							
材料たりなきゃ　モブに言うふたりで一緒に　がんばろう～！！			材料たりなきゃ　モブに言うふたりで一緒に　がんばろう～！！			理想の飲料作り							
ヨカ・ククルポッドで　「ククルパルプジュース」作るモブ～！シェーロジャ　きっと　落ち着くはず～！			ヨカ・ククルポッドで　「ククルパルプジュース」作るモブ～！シェーロジャ　きっと　落ち着くはず～！			理想の飲料作り							
「ククルパルプジュース」　できたモブ？さっそく　シェーロジャ　飲ますモブ～！			「ククルパルプジュース」　できたモブ？さっそく　シェーロジャ　飲ますモブ～！			理想の飲料作り							
「ヨカ・ククルポッド」　なくした～？まだまだあるモブ　任せたぞ～			「ヨカ・ククルポッド」　なくした～？まだまだあるモブ　任せたぞ～			理想の飲料作り							
あら……？なんだか甘い香りが……。			あら……？なんだか甘い香りが……。			理想の飲料作り							
これは……作ってくれたの？気を遣わせてしまったのね、ごめんなさい。さっそくいただいてみるわ。			これは……作ってくれたの？気を遣わせてしまったのね、ごめんなさい。さっそくいただいてみるわ。			理想の飲料作り							
なんだか、優しい甘酸っぱさね。程よい粘りのある喉ごしが、気持ちを和らげてくれる……。			なんだか、優しい甘酸っぱさね。程よい粘りのある喉ごしが、気持ちを和らげてくれる……。			理想の飲料作り							
フゴォ……フゴォ……シェーロジャ　ジュース　飲んだモブ？			フゴォ……フゴォ……シェーロジャ　ジュース　飲んだモブ？			理想の飲料作り							
ええ、美味しかったわ、ありがとう。Forenameと一緒に用意してくれたようだけど、材料はいったい……？			ええ、美味しかったわ、ありがとう。Forenameと一緒に用意してくれたようだけど、材料はいったい……？			理想の飲料作り							
ククルビーン　包む果肉～Forename　パルプ使って　ジュース作った～			ククルビーン　包む果肉～Forename　パルプ使って　ジュース作った～			理想の飲料作り							
こんなジュース、恥ずかしいけど知らなかったわ。本当に美味しかったし、トライヨラでもっと流通して良さそうだけど……。			こんなジュース、恥ずかしいけど知らなかったわ。本当に美味しかったし、トライヨラでもっと流通して良さそうだけど……。			理想の飲料作り							
高く売れるの　ククルビーン～ヨカ・ククルポッド　丸ごと運ぶと　とてとてヘビー……種だけ取って　ほか捨てる～			高く売れるの　ククルビーン～ヨカ・ククルポッド　丸ごと運ぶと　とてとてヘビー……種だけ取って　ほか捨てる～			理想の飲料作り							
捨てる……そうだったの。まぁ、チョコレートはトライヨラでも人気があるし、効率的に運ぶのは当然ね。			捨てる……そうだったの。まぁ、チョコレートはトライヨラでも人気があるし、効率的に運ぶのは当然ね。			理想の飲料作り							
だけど　今後は持ち帰る～誰かがいらない　誰かはほしい……飲み物も　仕事も　同じこと～			だけど　今後は持ち帰る～誰かがいらない　誰かはほしい……飲み物も　仕事も　同じこと～			理想の飲料作り							
呪術医なれない　ジュース屋やれる～シェーロジャ同じ　ジュースと同じ！ブネワ族働くのに　魔法を使わなくたっていい！			呪術医なれない　ジュース屋やれる～シェーロジャ同じ　ジュースと同じ！ブネワ族働くのに　魔法を使わなくたっていい！			理想の飲料作り							
何と言う？			何と言う？			理想の飲料作り							
今までのお客さんの笑顔を思い出して			今までのお客さんの笑顔を思い出して			理想の飲料作り							
手伝った分、店は繁盛させてもらわないと			手伝った分、店は繁盛させてもらわないと			理想の飲料作り							
ふたりの言うとおりね……。私はずっと、この手では人を癒やせないという、夢を諦めた過去を引きずってきてしまった……。			ふたりの言うとおりね……。私はずっと、この手では人を癒やせないという、夢を諦めた過去を引きずってきてしまった……。			理想の飲料作り							
マムージャ族も、モブリン族も、ハヌハヌ族も、私の……私たちのジュースで健康になって、喜んでくれた。それは確かなことだものね。			マムージャ族も、モブリン族も、ハヌハヌ族も、私の……私たちのジュースで健康になって、喜んでくれた。それは確かなことだものね。			理想の飲料作り							
魔力がないブネワ族だってこと、ずっと恥ずかしかった。この気持ちを簡単には捨てられない……。			魔力がないブネワ族だってこと、ずっと恥ずかしかった。この気持ちを簡単には捨てられない……。			理想の飲料作り							
だけど、励まして期待してくれるふたりに応えたい。どうかこれからも、私に力を貸してくれる？			だけど、励まして期待してくれるふたりに応えたい。どうかこれからも、私に力を貸してくれる？			理想の飲料作り							
ありがとう、ふたりとも……。私のすべきことを示してくれて。			ありがとう、ふたりとも……。私のすべきことを示してくれて。			理想の飲料作り							
私のせいで、随分と話が逸れてしまってごめんなさい。ペルペル族のことも、一連のことでヒントを掴めたから、トライヨラへ戻るとしましょう。			私のせいで、随分と話が逸れてしまってごめんなさい。ペルペル族のことも、一連のことでヒントを掴めたから、トライヨラへ戻るとしましょう。			理想の飲料作り							
フゴォ……フゴォ……シェーロジャ　なんとか　元気になった～モブたちふたりの　励まし効いた？			フゴォ……フゴォ……シェーロジャ　なんとか　元気になった～モブたちふたりの　励まし効いた？			理想の飲料作り							
戻ってきたわね。遠出したうえ、私のことで手を煩わせてしまってごめんなさい。			戻ってきたわね。遠出したうえ、私のことで手を煩わせてしまってごめんなさい。			理想の飲料作り							
あのお酒好きなペルペル族を見て、彼らの飲み物でも解消できない問題があると知ったわ。少し確かめたいことがあるから、時間をちょうだい。			あのお酒好きなペルペル族を見て、彼らの飲み物でも解消できない問題があると知ったわ。少し確かめたいことがあるから、時間をちょうだい。			理想の飲料作り							
Forenameの手が必要になったら、また協力をお願いさせてもらうわね。			Forenameの手が必要になったら、また協力をお願いさせてもらうわね。			理想の飲料作り							
私は「ジュースクラフト・シェーロジャ」の店主。今は迷いを振り切って、お客さんのために尽くすわ！			私は「ジュースクラフト・シェーロジャ」の店主。今は迷いを振り切って、お客さんのために尽くすわ！			理想の飲料作り							
「錬金術師／調理師」のいずれかがレベル98以上になると、ワチュメキメキ万貨街の「シェーロジャ」から、次のクエストが受注可能です。			「錬金術師／調理師」のいずれかがレベル98以上になると、ワチュメキメキ万貨街の「シェーロジャ」から、次のクエストが受注可能です。			理想の飲料作り							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			理想の飲料作り							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			理想の飲料作り							
ワチュメキメキ万貨街のシェーロジャは、新しいジュースを思いついたようだ。			ワチュメキメキ万貨街のシェーロジャは、新しいジュースを思いついたようだ。			酔い覚ましのジュースクラフト！							
シェーロジャからジュースの試作を依頼された。「ドランカートゥナジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			シェーロジャからジュースの試作を依頼された。「ドランカートゥナジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			酔い覚ましのジュースクラフト！							
シェーロジャに「ドランカートゥナジュース」を納品した。試飲会の開催を待つ間、さらに腕を磨いておこう。			シェーロジャに「ドランカートゥナジュース」を納品した。試飲会の開催を待つ間、さらに腕を磨いておこう。			酔い覚ましのジュースクラフト！							
シェーロジャにドランカートゥナジュースを納品			シェーロジャにドランカートゥナジュースを納品			酔い覚ましのジュースクラフト！							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			酔い覚ましのジュースクラフト！							
フゴォ……フゴォ……シェーロジャ　なんとか　元気になった～モブたちふたりの　励まし効いた？			フゴォ……フゴォ……シェーロジャ　なんとか　元気になった～モブたちふたりの　励まし効いた？			酔い覚ましのジュースクラフト！							
ああ、Forename。いいところに来てくれたわね。			ああ、Forename。いいところに来てくれたわね。			酔い覚ましのジュースクラフト！							
ちょうど、新しいジュースの構想がまとまったところなの。話を聞いてもらえるかしら？			ちょうど、新しいジュースの構想がまとまったところなの。話を聞いてもらえるかしら？			酔い覚ましのジュースクラフト！							
オルコ・パチャにお酒好きなペルペル族がいたでしょう？ほら、泥酔するほどメスカルを飲んでいた人よ。			オルコ・パチャにお酒好きなペルペル族がいたでしょう？ほら、泥酔するほどメスカルを飲んでいた人よ。			酔い覚ましのジュースクラフト！							
トライヨラでも、旅商が酒盛りに加わっているのをよく見るし、お酒が好きな人が多い部族みたいね。中には彼のように飲みすぎる人もいるんじゃないかと思ったの。			トライヨラでも、旅商が酒盛りに加わっているのをよく見るし、お酒が好きな人が多い部族みたいね。中には彼のように飲みすぎる人もいるんじゃないかと思ったの。			酔い覚ましのジュースクラフト！							
飲みすぎた直後は水でいいけれど、二日酔いもあるかもしれない。その助けになれるジュースは、きっと喜ばれると思うのよ！			飲みすぎた直後は水でいいけれど、二日酔いもあるかもしれない。その助けになれるジュースは、きっと喜ばれると思うのよ！			酔い覚ましのジュースクラフト！							
頭のイタタに　おいしいジュース　ペルペルきっと　喜ぶはず～でもでも　どんな材料　使えばいいモブ？			頭のイタタに　おいしいジュース　ペルペルきっと　喜ぶはず～でもでも　どんな材料　使えばいいモブ？			酔い覚ましのジュースクラフト！							
二日酔いの解消には、水分が重要なんだけど、さらに効果のある栄養素がないものか考えていてね……。			二日酔いの解消には、水分が重要なんだけど、さらに効果のある栄養素がないものか考えていてね……。			酔い覚ましのジュースクラフト！							
シャーローニ荒野には、ノパルテンダーという魔物がいて、身体の先にトゥナという果実を生らせているの。			シャーローニ荒野には、ノパルテンダーという魔物がいて、身体の先にトゥナという果実を生らせているの。			酔い覚ましのジュースクラフト！							
Forenameも、行ったことがあるでしょう？継承の儀を終え、協力者一行はシャーローニ荒野へ向かったと、トライヨラでは密かに話題になっていたから。			Forenameも、行ったことがあるでしょう？継承の儀を終え、協力者一行はシャーローニ荒野へ向かったと、トライヨラでは密かに話題になっていたから。			酔い覚ましのジュースクラフト！							
だというのに、また手伝いに戻ってきてくれて……ジュース作りを楽しんでくれてるなら、私も嬉しいわ。			だというのに、また手伝いに戻ってきてくれて……ジュース作りを楽しんでくれてるなら、私も嬉しいわ。			酔い覚ましのジュースクラフト！							
って、話が逸れてしまってごめんなさい。それでね、サカ・トラル出身者から、ノパルテンダーのトゥナについて詳しい話を聞いたの。			って、話が逸れてしまってごめんなさい。それでね、サカ・トラル出身者から、ノパルテンダーのトゥナについて詳しい話を聞いたの。			酔い覚ましのジュースクラフト！							
そうすると、酒宴のあとにトゥナを食べる風習を持つ部族も、聞いたことがあると言っていてね。これは、二日酔い対策で自然に生まれた風習に違いないわ。			そうすると、酒宴のあとにトゥナを食べる風習を持つ部族も、聞いたことがあると言っていてね。これは、二日酔い対策で自然に生まれた風習に違いないわ。			酔い覚ましのジュースクラフト！							
つまりトゥナを使ったジュースを作れば、二日酔いのペルペル族に喜ばれるはずよ！			つまりトゥナを使ったジュースを作れば、二日酔いのペルペル族に喜ばれるはずよ！			酔い覚ましのジュースクラフト！							
フゴォ……フゴォ……！それならいけそ～　とてとてウマそ～！フラフラ解消　サボテンジュース～！			フゴォ……フゴォ……！それならいけそ～　とてとてウマそ～！フラフラ解消　サボテンジュース～！			酔い覚ましのジュースクラフト！							
Forename、貴方の力を見込んで、ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			Forename、貴方の力を見込んで、ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			酔い覚ましのジュースクラフト！							
相変わらず頼もしい……！私も店主として販売の方をがんばるから、新商品の開発はどうかお願いね！			相変わらず頼もしい……！私も店主として販売の方をがんばるから、新商品の開発はどうかお願いね！			酔い覚ましのジュースクラフト！							
フゴォ……フゴォ……とてつよ頭痛　解消できたら　きっと喜ぶ～ペルペル以外も　きっと喜ぶ～			フゴォ……フゴォ……とてつよ頭痛　解消できたら　きっと喜ぶ～ペルペル以外も　きっと喜ぶ～			酔い覚ましのジュースクラフト！							
ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			酔い覚ましのジュースクラフト！							
ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。			ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。			酔い覚ましのジュースクラフト！							
これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！			これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！			酔い覚ましのジュースクラフト！							
ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ。			ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ。			酔い覚ましのジュースクラフト！							
これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ！			これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ！			酔い覚ましのジュースクラフト！							
ペルペル族向けに作ったらしいね、美味しいジュースを。じゃあさっそくいただくね！			ペルペル族向けに作ったらしいね、美味しいジュースを。じゃあさっそくいただくね！			酔い覚ましのジュースクラフト！							
ういうい～～～！強烈な甘さ、飲み応えのある喉ごし！これはたまらないね！			ういうい～～～！強烈な甘さ、飲み応えのある喉ごし！これはたまらないね！			酔い覚ましのジュースクラフト！							
ああ、よかった……！二日酔いに効き目があるこのジュースは、Forenameと一緒に作ったんですよ。			ああ、よかった……！二日酔いに効き目があるこのジュースは、Forenameと一緒に作ったんですよ。			酔い覚ましのジュースクラフト！							
さすが、協力を申し出てくれた職人ってだけあるね。私にこんな還元があるとは、思ってなかったけど。			さすが、協力を申し出てくれた職人ってだけあるね。私にこんな還元があるとは、思ってなかったけど。			酔い覚ましのジュースクラフト！							
私も、万貨街を通じて知り合った友人と飲みに行くことが多い。だけど調子に乗って飲みすぎると、翌日フラフラになってしまうこともあって……。			私も、万貨街を通じて知り合った友人と飲みに行くことが多い。だけど調子に乗って飲みすぎると、翌日フラフラになってしまうこともあって……。			酔い覚ましのジュースクラフト！							
お酒は弱いけど大好きだというペルペル族は少なくない。そんな私たちの気持ちに寄り添って、嬉しいジュースを作ってくれたということだね。			お酒は弱いけど大好きだというペルペル族は少なくない。そんな私たちの気持ちに寄り添って、嬉しいジュースを作ってくれたということだね。			酔い覚ましのジュースクラフト！							
お酒を飲むのが楽しくなりそうだよ、これからもっと！ありがとう！			お酒を飲むのが楽しくなりそうだよ、これからもっと！ありがとう！			酔い覚ましのジュースクラフト！							
何と言う？			何と言う？			酔い覚ましのジュースクラフト！							
飲みすぎには注意してね			飲みすぎには注意してね			酔い覚ましのジュースクラフト！							
限界を超えよう！			限界を超えよう！			酔い覚ましのジュースクラフト！							
お酒なら誘って！！			お酒なら誘って！！			酔い覚ましのジュースクラフト！							
もちろんわきまえてるよ、お酒は適量でと。だけど、もしも限度を超えてしまっても、このジュースがあれば安心だ。			もちろんわきまえてるよ、お酒は適量でと。だけど、もしも限度を超えてしまっても、このジュースがあれば安心だ。			酔い覚ましのジュースクラフト！							
おや、ずいぶんお好きだったんだね、きみも。ういうい、機会があれば誘わせてもらうとしよう。			おや、ずいぶんお好きだったんだね、きみも。ういうい、機会があれば誘わせてもらうとしよう。			酔い覚ましのジュースクラフト！							
賃料が遅れはじめて、どうなるかと思っていたけど……。「ジュースクラフト・シェーロジャ」を、招いて良かったよ、万貨街に。			賃料が遅れはじめて、どうなるかと思っていたけど……。「ジュースクラフト・シェーロジャ」を、招いて良かったよ、万貨街に。			酔い覚ましのジュースクラフト！							
た、滞納のことは申し訳なかったです……。だけど、ここまでの新作ジュースの評判は良好で、経営状況はかなり良くなっています。			た、滞納のことは申し訳なかったです……。だけど、ここまでの新作ジュースの評判は良好で、経営状況はかなり良くなっています。			酔い覚ましのジュースクラフト！							
Forenameのおかげで、品数も増え、より多くの方に喜んでもらう準備ができました。そこで、試飲会をやってみるのはどうかと考えているんです。			Forenameのおかげで、品数も増え、より多くの方に喜んでもらう準備ができました。そこで、試飲会をやってみるのはどうかと考えているんです。			酔い覚ましのジュースクラフト！							
そうすれば、滞納どころかこの万貨街の来客にも、多少は貢献できると思いますので……ど、どうかお力を貸してもらえないでしょうか……！			そうすれば、滞納どころかこの万貨街の来客にも、多少は貢献できると思いますので……ど、どうかお力を貸してもらえないでしょうか……！			酔い覚ましのジュースクラフト！							
本音を言いなよ。楽しませたくてしょうがないんじゃないか？自分のジュースで、お客さんを。			本音を言いなよ。楽しませたくてしょうがないんじゃないか？自分のジュースで、お客さんを。			酔い覚ましのジュースクラフト！							
ええ、そのとおりです……！大勢のお客さんにジュースを楽しんでほしい！私たちが作った、この自信の一杯を！			ええ、そのとおりです……！大勢のお客さんにジュースを楽しんでほしい！私たちが作った、この自信の一杯を！			酔い覚ましのジュースクラフト！							
ういうい！わかった、確保しておくよ、良い場所を。			ういうい！わかった、確保しておくよ、良い場所を。			酔い覚ましのジュースクラフト！							
試飲会　やるなら　採ってくる～！果物　材料　山盛りで～～！！			試飲会　やるなら　採ってくる～！果物　材料　山盛りで～～！！			酔い覚ましのジュースクラフト！							
さあ、忙しくなるわ……！しばらくは私の方で、試飲会の準備を進めておくから、また折を見て訪ねてちょうだいね！			さあ、忙しくなるわ……！しばらくは私の方で、試飲会の準備を進めておくから、また折を見て訪ねてちょうだいね！			酔い覚ましのジュースクラフト！							
ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「秘密を話せる配合職人」と感じているようです！			ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「秘密を話せる配合職人」と感じているようです！			酔い覚ましのジュースクラフト！							
また、万貨街取引のストーリークエストが発行されました！「錬金術師／調理師」のいずれかが、レベル100以上になると「シェーロジャ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「錬金術師／調理師」のいずれかが、レベル100以上になると「シェーロジャ」から受注可能です。			酔い覚ましのジュースクラフト！							
なお、次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「護る者、壊す者」を完了する必要があります。			なお、次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「護る者、壊す者」を完了する必要があります。			酔い覚ましのジュースクラフト！							
ワチュメキメキ万貨街のシェーロジャは、試飲会の準備を進めているようだ。			ワチュメキメキ万貨街のシェーロジャは、試飲会の準備を進めているようだ。			ブネワ族の青い夢							
シェーロジャと話した。試飲会には「ブネワ・ソーダ」がどうしても必要だと言う。「トラル・ハーブアンドスパイス」をもとに、「ブネワ・ソーダ」を製作し、ワチュメキメキ万貨街にいる「シェーロジャ」に納品しよう。※「トラル・ハーブアンドスパイス」を失った場合は、材料の入った木箱を調べましょう。材料を入手し、再挑戦が可能になります。			シェーロジャと話した。試飲会には「ブネワ・ソーダ」がどうしても必要だと言う。「トラル・ハーブアンドスパイス」をもとに、「ブネワ・ソーダ」を製作し、ワチュメキメキ万貨街にいる「シェーロジャ」に納品しよう。※「トラル・ハーブアンドスパイス」を失った場合は、材料の入った木箱を調べましょう。材料を入手し、再挑戦が可能になります。			ブネワ族の青い夢							
シェーロジャに「ブネワ・ソーダ」を渡した。試飲会は成功を収め、「ブネワ・ソーダ」でシェーロジャたちと祝杯を挙げた。ワチュメキメキ万貨街へと戻った「シェーロジャ」から話を聞こう。			シェーロジャに「ブネワ・ソーダ」を渡した。試飲会は成功を収め、「ブネワ・ソーダ」でシェーロジャたちと祝杯を挙げた。ワチュメキメキ万貨街へと戻った「シェーロジャ」から話を聞こう。			ブネワ族の青い夢							
シェーロジャと話した。冒険者の協力によって店の経営状況は回復し、今後はシェーロジャとハレナルク、ふたりが協力して店を運営していくようだ。彼女たちは今後も、トライヨラの人々の健康を支えていくに違いない。			シェーロジャと話した。冒険者の協力によって店の経営状況は回復し、今後はシェーロジャとハレナルク、ふたりが協力して店を運営していくようだ。彼女たちは今後も、トライヨラの人々の健康を支えていくに違いない。			ブネワ族の青い夢							
製作手帳 万貨街取引：ブネワ・ソーダを製作シェーロジャにブネワ・ソーダを渡す			製作手帳 万貨街取引：ブネワ・ソーダを製作シェーロジャにブネワ・ソーダを渡す			ブネワ族の青い夢							
シェーロジャと話す			シェーロジャと話す			ブネワ族の青い夢							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「護る者、壊す者」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「護る者、壊す者」を完了する必要があります。			ブネワ族の青い夢							
Forename、来てくれたのね。試飲会の日取りが決まって、このところ準備で忙しいわ。			Forename、来てくれたのね。試飲会の日取りが決まって、このところ準備で忙しいわ。			ブネワ族の青い夢							
ローペリさんが借りてくれた会場は、なんとシャバーブチェ！うちなんか遠く及ばない競合店だって思ってたのに……快諾してもらえるなんて、夢みたいだわ！			ローペリさんが借りてくれた会場は、なんとシャバーブチェ！うちなんか遠く及ばない競合店だって思ってたのに……快諾してもらえるなんて、夢みたいだわ！			ブネワ族の青い夢							
あそこは景観もいいし、みんな楽しんでくれるはずね。店のためにも、お客さんたちのためにも、頑張らないと！			あそこは景観もいいし、みんな楽しんでくれるはずね。店のためにも、お客さんたちのためにも、頑張らないと！			ブネワ族の青い夢							
準備はおおむね順調に進んでいるけれど、ちょっとした問題もあってね。			準備はおおむね順調に進んでいるけれど、ちょっとした問題もあってね。			ブネワ族の青い夢							
試飲会に必要な新しいジュースを試作したいのだけど、ほかの作業に手を取られて、うまく進んでいないの。			試飲会に必要な新しいジュースを試作したいのだけど、ほかの作業に手を取られて、うまく進んでいないの。			ブネワ族の青い夢							
貴方の仕事ぶりを見てきて、私も健康に役立つジュースを作ろうと思ったのよ。香草やスパイスをソーダ水で割った、美味しいジュースをね。			貴方の仕事ぶりを見てきて、私も健康に役立つジュースを作ろうと思ったのよ。香草やスパイスをソーダ水で割った、美味しいジュースをね。			ブネワ族の青い夢							
その名も「ブネワ・ソーダ」！ただ、このままだと完成するかどうか……。			その名も「ブネワ・ソーダ」！ただ、このままだと完成するかどうか……。			ブネワ族の青い夢							
どうしても、試飲会に間に合わせたいの。Forename……貴方に、仕上げの作業をお願いできないかしら？			どうしても、試飲会に間に合わせたいの。Forename……貴方に、仕上げの作業をお願いできないかしら？			ブネワ族の青い夢							
ありがとう……！もちろんその間に私も、予定どおりに試飲会が開けるように、準備しておくわ。			ありがとう……！もちろんその間に私も、予定どおりに試飲会が開けるように、準備しておくわ。			ブネワ族の青い夢							
材料はこの、「トラル・ハーブアンドスパイス」よ。足りなくなったら、すぐ補充できるように、カウンターへ在庫分を出しておくわね。			材料はこの、「トラル・ハーブアンドスパイス」よ。足りなくなったら、すぐ補充できるように、カウンターへ在庫分を出しておくわね。			ブネワ族の青い夢							
この試飲会が成功すれば、うちは今後もやっていけると思う。手間ばかりかけて悪いけれど……どうかよろしくお願いね！			この試飲会が成功すれば、うちは今後もやっていけると思う。手間ばかりかけて悪いけれど……どうかよろしくお願いね！			ブネワ族の青い夢							
材料は十分持っているんじゃないかしら？手間をかけて悪いけれど、どうかよろしくお願いね！			材料は十分持っているんじゃないかしら？手間をかけて悪いけれど、どうかよろしくお願いね！			ブネワ族の青い夢							
その、今持っている飲み物は……！？私に見せてもらえる？			その、今持っている飲み物は……！？私に見せてもらえる？			ブネワ族の青い夢							
材料をなくしてしまったのね。さあ、遠慮せず持っていってちょうだい！			材料をなくしてしまったのね。さあ、遠慮せず持っていってちょうだい！			ブネワ族の青い夢							
「ブネワ・ソーダ」は、できたかしら？			「ブネワ・ソーダ」は、できたかしら？			ブネワ族の青い夢							
ああ、完成させてくれたのね！しかも樽になみなみと……大変だったでしょう！			ああ、完成させてくれたのね！しかも樽になみなみと……大変だったでしょう！			ブネワ族の青い夢							
ありがとう、とても助かったわ。これなら、飲んでくれる人も喜ぶはずよ……ふふっ。			ありがとう、とても助かったわ。これなら、飲んでくれる人も喜ぶはずよ……ふふっ。			ブネワ族の青い夢							
さあ、こちらの準備も整ったわ。ハレナルクもそろそろ戻ってくるでしょうし、時間が来たら、試飲会の開催よ。			さあ、こちらの準備も整ったわ。ハレナルクもそろそろ戻ってくるでしょうし、時間が来たら、試飲会の開催よ。			ブネワ族の青い夢							
みなさま、お待たせいたしました。これより「ジュースクラフト・シェーロジャ」主催の、試飲会を開催させていただきます。			みなさま、お待たせいたしました。これより「ジュースクラフト・シェーロジャ」主催の、試飲会を開催させていただきます。			ブネワ族の青い夢							
今日に限り、身体によく効くジュースが飲み放題！存分にお楽しみいただき、よければご家族やご友人に、当店のことを広めていただければ幸いです！			今日に限り、身体によく効くジュースが飲み放題！存分にお楽しみいただき、よければご家族やご友人に、当店のことを広めていただければ幸いです！			ブネワ族の青い夢							
なんと、なんと、素晴らしき味わい！嘴の中いっぱいに豊かな潤いを感じる……！これは、最近元気のない同族の仲間にも伝えねば。			なんと、なんと、素晴らしき味わい！嘴の中いっぱいに豊かな潤いを感じる……！これは、最近元気のない同族の仲間にも伝えねば。			ブネワ族の青い夢							
こっちのは、効果がある飲み物なんだってね、二日酔いに。商売仲間でお酒を飲んだあと、みんなで飲むのもいいね。しかも、甘くてとっても飲みやすい！			こっちのは、効果がある飲み物なんだってね、二日酔いに。商売仲間でお酒を飲んだあと、みんなで飲むのもいいね。しかも、甘くてとっても飲みやすい！			ブネワ族の青い夢							
オレが飲んだのは、チェリモヤのジュースだったのか。最近どうも鱗がかゆいのも、これを飲めば治るかも……ちくしょー、通うしかなさそうだなぁ、オイ！			オレが飲んだのは、チェリモヤのジュースだったのか。最近どうも鱗がかゆいのも、これを飲めば治るかも……ちくしょー、通うしかなさそうだなぁ、オイ！			ブネワ族の青い夢							
フゴォ……フゴォ……みんな絶賛　よかったよかった！また来てくれて　お店は儲かる　立ち退き回避～！			フゴォ……フゴォ……みんな絶賛　よかったよかった！また来てくれて　お店は儲かる　立ち退き回避～！			ブネワ族の青い夢							
ええ、今日は喜ばしい日ね。これでお店はしばらく大丈夫そうだし、私たちもジュースで、お祝いをしましょう。			ええ、今日は喜ばしい日ね。これでお店はしばらく大丈夫そうだし、私たちもジュースで、お祝いをしましょう。			ブネワ族の青い夢							
