槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
Forename……来てくれたか！			Forename……来てくれたか！			竜騎士の旅立ち							
父上に手紙が届いたのだな？わざわざ、このような辺境の地へ呼び出してすまない。だが、頼りにできるのは君だけでね……。			父上に手紙が届いたのだな？わざわざ、このような辺境の地へ呼び出してすまない。だが、頼りにできるのは君だけでね……。			竜騎士の旅立ち							
といっても、私の身に起きていることではない。竜の血の影響についても、新たにできた友人のおかげで、徐々にではあるが、克服しつつあるのだ。			といっても、私の身に起きていることではない。竜の血の影響についても、新たにできた友人のおかげで、徐々にではあるが、克服しつつあるのだ。			竜騎士の旅立ち							
その友人を紹介しよう……。オーン・カイ、来てくれ！			その友人を紹介しよう……。オーン・カイ、来てくれ！			竜騎士の旅立ち							
は、はじめまして……。うわぁ、本当にヒトの英雄だ！父ちゃんが言ってたとおり、竜みたいなヒトだなぁ！			は、はじめまして……。うわぁ、本当にヒトの英雄だ！父ちゃんが言ってたとおり、竜みたいなヒトだなぁ！			竜騎士の旅立ち							
このとおり、オーン・カイはドラゴン族だ。私が竜の血の影響で、発作を起こして苦しんでいたときに、助けてくれてな……それ以来、親しくさせてもらっている。			このとおり、オーン・カイはドラゴン族だ。私が竜の血の影響で、発作を起こして苦しんでいたときに、助けてくれてな……それ以来、親しくさせてもらっている。			竜騎士の旅立ち							
力を借りたい件というのは、彼に関わることでね……。オーン・カイ、Forenameに相談してみろ。			力を借りたい件というのは、彼に関わることでね……。オーン・カイ、Forenameに相談してみろ。			竜騎士の旅立ち							
う、うん……僕が生まれるより、ずっと昔……。竜とヒトが仲良しだった頃のことなんだけど……僕の父ちゃんには、「番(つが)い」の竜がいたんだ。			う、うん……僕が生まれるより、ずっと昔……。竜とヒトが仲良しだった頃のことなんだけど……僕の父ちゃんには、「番(つが)い」の竜がいたんだ。			竜騎士の旅立ち							
でも、竜詩戦争が始まって、ふたりは別れたんだって……。僕も父ちゃんも、フレースヴェルグ様の眷属なんだけどさ、番いさんは、ニーズヘッグの眷属だったんだ。			でも、竜詩戦争が始まって、ふたりは別れたんだって……。僕も父ちゃんも、フレースヴェルグ様の眷属なんだけどさ、番いさんは、ニーズヘッグの眷属だったんだ。			竜騎士の旅立ち							
ニーズヘッグは、ヒトを殺せって自分の眷属に命じたんだけど、父ちゃんの番いさんは、仲がよかったヒトたちと、どうしても戦いたくなかった……。			ニーズヘッグは、ヒトを殺せって自分の眷属に命じたんだけど、父ちゃんの番いさんは、仲がよかったヒトたちと、どうしても戦いたくなかった……。			竜騎士の旅立ち							
だから、父ちゃんは、番いさんを東の空に逃がしたんだ。ふたりは別れたくなかったけど、戦いから離れるためには、そうするしかなかったんだって……。			だから、父ちゃんは、番いさんを東の空に逃がしたんだ。ふたりは別れたくなかったけど、戦いから離れるためには、そうするしかなかったんだって……。			竜騎士の旅立ち							
でも、Forenameのおかげで、竜詩戦争は、もう終わったんでしょ？だったら、それを伝えれば、きっと番いさんは戻ってくれるはず！			でも、Forenameのおかげで、竜詩戦争は、もう終わったんでしょ？だったら、それを伝えれば、きっと番いさんは戻ってくれるはず！			竜騎士の旅立ち							
つまり、オーン・カイの願いというのは、千年の昔にドラヴァニアから去ったドラゴン族を見つけ出し、竜詩戦争が終結したことを伝え、帰還を促すことなのだ。			つまり、オーン・カイの願いというのは、千年の昔にドラヴァニアから去ったドラゴン族を見つけ出し、竜詩戦争が終結したことを伝え、帰還を促すことなのだ。			竜騎士の旅立ち							
私自身が力になってやりたいところだが、竜の血の影響が残る状況では、足手まといになりかねない。			私自身が力になってやりたいところだが、竜の血の影響が残る状況では、足手まといになりかねない。			竜騎士の旅立ち							
そこで、世界を股にかける冒険者たる、君の力を借りたいのだ。むろん君自身の冒険の合間で構わない……。どうか……どうか頼む！			そこで、世界を股にかける冒険者たる、君の力を借りたいのだ。むろん君自身の冒険の合間で構わない……。どうか……どうか頼む！			竜騎士の旅立ち							
あ、ありがとう！僕もいっしょに探すから、よろしくね！			あ、ありがとう！僕もいっしょに探すから、よろしくね！			竜騎士の旅立ち							
感謝する、Forename。ただし、何の手がかりもなく消えたドラゴン族を探すというのは、いかに熟練の冒険者であっても、難しいだろう。			感謝する、Forename。ただし、何の手がかりもなく消えたドラゴン族を探すというのは、いかに熟練の冒険者であっても、難しいだろう。			竜騎士の旅立ち							
まずは、ドラヴァニアより東の地域に伝わる、竜にまつわる伝承を調べていくのが確実だと思う。「アルベリク」に相談し、情報を掴んだら、また来てくれ。			まずは、ドラヴァニアより東の地域に伝わる、竜にまつわる伝承を調べていくのが確実だと思う。「アルベリク」に相談し、情報を掴んだら、また来てくれ。			竜騎士の旅立ち							
まずは、ドラヴァニアより東の地域に伝わる、竜にまつわる伝承を調べていくのが確実だと思う。「アルベリク」に相談し、情報を掴んだら、また来てくれ。			まずは、ドラヴァニアより東の地域に伝わる、竜にまつわる伝承を調べていくのが確実だと思う。「アルベリク」に相談し、情報を掴んだら、また来てくれ。			竜騎士の旅立ち							
Forenameのことは、父ちゃんから聞いたことがあるんだ。すごい強くて、竜みたいなヒトだってさ！			Forenameのことは、父ちゃんから聞いたことがあるんだ。すごい強くて、竜みたいなヒトだってさ！			竜騎士の旅立ち							
おぉ、戻ったか！ウスティエヌには会えたのか？			おぉ、戻ったか！ウスティエヌには会えたのか？			竜騎士の旅立ち							
なるほど……事情はわかった。確かに強大なドラゴン族が現れたとなれば、その土地に伝承として残り、語り継がれている可能性は高い。			なるほど……事情はわかった。確かに強大なドラゴン族が現れたとなれば、その土地に伝承として残り、語り継がれている可能性は高い。			竜騎士の旅立ち							
私が神殿騎士団付きの司祭に問い合わせて、ドラヴァニアより東の地域における竜の伝承を調べておこう。			私が神殿騎士団付きの司祭に問い合わせて、ドラヴァニアより東の地域における竜の伝承を調べておこう。			竜騎士の旅立ち							
しかし、かつて竜狩りに心血を注いだ女竜騎士が、ドラゴン族の子の力になりたいと願うとはな……。時代は変わったよ、もちろん良い方向にな。			しかし、かつて竜狩りに心血を注いだ女竜騎士が、ドラゴン族の子の力になりたいと願うとはな……。時代は変わったよ、もちろん良い方向にな。			竜騎士の旅立ち							
では、少しばかり時間をくれ。折を見て、また来てくれれば調査結果を伝えよう。			では、少しばかり時間をくれ。折を見て、また来てくれれば調査結果を伝えよう。			竜騎士の旅立ち							
「竜騎士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、アドネール占星台のアルベリクから受注可能です。			「竜騎士」の新たなジョブクエストが開始されました。次のクエストは「レベル63」以上で、アドネール占星台のアルベリクから受注可能です。			竜騎士の旅立ち							
今後の「竜騎士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「竜騎士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			竜騎士の旅立ち							
アドネール占星台のアルベリクは、ウスティエヌの身を案じているようだ。			アドネール占星台のアルベリクは、ウスティエヌの身を案じているようだ。			対峙する竜騎士							
アルベリクから依頼を受けて、ウスティエヌの稽古をつけることになった。クルザス西部高地のハルドラス像付近にいる「ウスティエヌ」と話そう。			アルベリクから依頼を受けて、ウスティエヌの稽古をつけることになった。クルザス西部高地のハルドラス像付近にいる「ウスティエヌ」と話そう。			対峙する竜騎士							
倒れていたウスティエヌを襲う敵を倒した。ハルドラス像付近にいる「ウスティエヌ」を救助しよう。			倒れていたウスティエヌを襲う敵を倒した。ハルドラス像付近にいる「ウスティエヌ」を救助しよう。			対峙する竜騎士							
ウスティエヌを救助したところ、彼女に手本を見せてほしいと依頼された。クルザス西部高地のブラックアイアン・ブリッジ西方の「指定地点」であたりを見渡し、現れた竜の眷属を討伐しよう。			ウスティエヌを救助したところ、彼女に手本を見せてほしいと依頼された。クルザス西部高地のブラックアイアン・ブリッジ西方の「指定地点」であたりを見渡し、現れた竜の眷属を討伐しよう。			対峙する竜騎士							
現れた竜の眷属を討伐し、ウスティエヌに手本を見せた。ブラックアイアン・ブリッジ西方の「ウスティエヌ」と話そう。			現れた竜の眷属を討伐し、ウスティエヌに手本を見せた。ブラックアイアン・ブリッジ西方の「ウスティエヌ」と話そう。			対峙する竜騎士							
ウスティエヌと話した。竜騎士としての戦い方を説明するために、自分自身を見つめなおしたところ、新たな技を見出した。ウスティエヌにも説明してあげよう。			ウスティエヌと話した。竜騎士としての戦い方を説明するために、自分自身を見つめなおしたところ、新たな技を見出した。ウスティエヌにも説明してあげよう。			対峙する竜騎士							
ハルドラス像付近のウスティエヌと合流			ハルドラス像付近のウスティエヌと合流			対峙する竜騎士							
ウスティエヌを救助する			ウスティエヌを救助する			対峙する竜騎士							
指定地点で見渡して現れた竜の眷属を討伐			指定地点で見渡して現れた竜の眷属を討伐			対峙する竜騎士							
ウスティエヌと話す			ウスティエヌと話す			対峙する竜騎士							
Forename、心身の準備が整ったようだな？師となり教えることで、竜騎士としての新たな一面を垣間見ることもできよう。			Forename、心身の準備が整ったようだな？師となり教えることで、竜騎士としての新たな一面を垣間見ることもできよう。			対峙する竜騎士							
とはいえ、焦らず取り組むことだ。彼女も一角の騎士なればこそ、プライドもあろう。長年、染みついた戦い方を変えるのは難しいだろうからな。			とはいえ、焦らず取り組むことだ。彼女も一角の騎士なればこそ、プライドもあろう。長年、染みついた戦い方を変えるのは難しいだろうからな。			対峙する竜騎士							
さあ早速、「ウスティエヌ」に稽古をつけてやってくれ。彼女なら、クルザス西部高地の「ハルドラス像」付近にて、鍛錬がてらに竜の眷属を狩っているはずだ。			さあ早速、「ウスティエヌ」に稽古をつけてやってくれ。彼女なら、クルザス西部高地の「ハルドラス像」付近にて、鍛錬がてらに竜の眷属を狩っているはずだ。			対峙する竜騎士							
彼女は根を詰めすぎる性分ゆえ、無理をしないかと、いささか心配だ……。よろしく頼んだぞ。			彼女は根を詰めすぎる性分ゆえ、無理をしないかと、いささか心配だ……。よろしく頼んだぞ。			対峙する竜騎士							
さあ早速、ウスティエヌに稽古をつけてやってくれ。			さあ早速、ウスティエヌに稽古をつけてやってくれ。			対峙する竜騎士							
ここで己の技を磨いていたが……数が多い……くっ、まだ敵が来る！			ここで己の技を磨いていたが……数が多い……くっ、まだ敵が来る！			対峙する竜騎士							
ありがとう……見苦しいところを見せてしまったな。先日見た、君の槍さばきの再現を試みたのだが……見よう見まねでは真髄に迫れず、少々しくじってしまった。			ありがとう……見苦しいところを見せてしまったな。先日見た、君の槍さばきの再現を試みたのだが……見よう見まねでは真髄に迫れず、少々しくじってしまった。			対峙する竜騎士							
……確かに、私が磨いてきた技だけを使えば、この程度の眷属に後れを取ることなどないが、それではダメだ。君の戦い方を会得し、より強くならねば……。			……確かに、私が磨いてきた技だけを使えば、この程度の眷属に後れを取ることなどないが、それではダメだ。君の戦い方を会得し、より強くならねば……。			対峙する竜騎士							
厳しい戦いが続く中、「竜騎士団」も、ひとり、またひとりと人材を失い、損耗してきている。……ゆえに私が強くなり、犠牲を減らさねばならんのだ！			厳しい戦いが続く中、「竜騎士団」も、ひとり、またひとりと人材を失い、損耗してきている。……ゆえに私が強くなり、犠牲を減らさねばならんのだ！			対峙する竜騎士							
Forename……どうか今一度、君が戦う姿を見せてもらえぬだろうか？その槍さばきの真髄を、何としても掴みたいのだ……！			Forename……どうか今一度、君が戦う姿を見せてもらえぬだろうか？その槍さばきの真髄を、何としても掴みたいのだ……！			対峙する竜騎士							
……ありがとう、恩に着るぞ。ブラックアイアン・ブリッジの西方でも、敵が目撃されている。そこで、ドラゴン族を待ち受け、討ち取ってみせてほしい。			……ありがとう、恩に着るぞ。ブラックアイアン・ブリッジの西方でも、敵が目撃されている。そこで、ドラゴン族を待ち受け、討ち取ってみせてほしい。			対峙する竜騎士							
この辺りで周囲を見渡していれば、我らの気配を感じ取り、竜の眷属が現れるだろう……。			この辺りで周囲を見渡していれば、我らの気配を感じ取り、竜の眷属が現れるだろう……。			対峙する竜騎士							
ううむ……扱う技は、私のそれと変わらないようだ。だが、君の力は眷属どもを圧倒し、易々とねじ伏せた。その強さの本質を、掴めそうで掴めない……。			ううむ……扱う技は、私のそれと変わらないようだ。だが、君の力は眷属どもを圧倒し、易々とねじ伏せた。その強さの本質を、掴めそうで掴めない……。			対峙する竜騎士							
私と君との戦い方で決定的に違うものとは、いったい……？何か思い当たることはないだろうか？どんな些細なことでもいいから、教えてほしい！			私と君との戦い方で決定的に違うものとは、いったい……？何か思い当たることはないだろうか？どんな些細なことでもいいから、教えてほしい！			対峙する竜騎士							
そんな……私との差は思い当たらないだって……？			そんな……私との差は思い当たらないだって……？			対峙する竜騎士							
……指導のために、己の戦い方を見つめ直すことで、君は新たな技の切っ掛けを掴んだというのか！？なら、私と君との違いはどこに……。			……指導のために、己の戦い方を見つめ直すことで、君は新たな技の切っ掛けを掴んだというのか！？なら、私と君との違いはどこに……。			対峙する竜騎士							
アドネール占星台のアルベリクは、緊張を隠せないようだ。			アドネール占星台のアルベリクは、緊張を隠せないようだ。			槍に誓う使命							
血竜「グラウリー」の飛来が予測されたという。そこにウスティエヌが現れる可能性が高い。彼女を連れ戻すため、クルザス西部高地の聖フィネア連隊の露営地にいる「アルベリク」と合流しよう。			血竜「グラウリー」の飛来が予測されたという。そこにウスティエヌが現れる可能性が高い。彼女を連れ戻すため、クルザス西部高地の聖フィネア連隊の露営地にいる「アルベリク」と合流しよう。			槍に誓う使命							
アルベリクと合流した。ウスティエヌも、血竜「グラウリー」を目指しているようだ。クルザス西部高地の臥竜島付近で「戦いの痕跡」を調べ、ウスティエヌの行方を探ろう。			アルベリクと合流した。ウスティエヌも、血竜「グラウリー」を目指しているようだ。クルザス西部高地の臥竜島付近で「戦いの痕跡」を調べ、ウスティエヌの行方を探ろう。			槍に誓う使命							
ウスティエヌは、北へ向かったようだ。臥竜島付近で「戦いの痕跡」を調べ、ウスティエヌの行方を探ろう。			ウスティエヌは、北へ向かったようだ。臥竜島付近で「戦いの痕跡」を調べ、ウスティエヌの行方を探ろう。			槍に誓う使命							
ウスティエヌは、さらに西へ向かっているようだ。戦いの痕跡をたどり、臥竜島付近で「ウスティエヌ」の行方を探ろう。			ウスティエヌは、さらに西へ向かっているようだ。戦いの痕跡をたどり、臥竜島付近で「ウスティエヌ」の行方を探ろう。			槍に誓う使命							
ウスティエヌを発見し、彼女とともに血竜「グラウリー」を討伐した。臥竜島付近にいる「ウスティエヌ」と話そう。			ウスティエヌを発見し、彼女とともに血竜「グラウリー」を討伐した。臥竜島付近にいる「ウスティエヌ」と話そう。			槍に誓う使命							
ウスティエヌは、イシュガルドへの帰還を固辞して旅立った。しかし、それは単なる逃走ではなく、イシュガルドへ帰還するための修行の旅だという。この決断を下したのは、冒険者が親身になって励まし続けた結果だろう。竜の血の誘惑を克服して、さらに成長したウスティエヌとの再会を期待しながら、竜騎士の腕を磨き続けよう。※以下の条件を満たすと、アドネール占星台のアルベリクから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			ウスティエヌは、イシュガルドへの帰還を固辞して旅立った。しかし、それは単なる逃走ではなく、イシュガルドへ帰還するための修行の旅だという。この決断を下したのは、冒険者が親身になって励まし続けた結果だろう。竜の血の誘惑を克服して、さらに成長したウスティエヌとの再会を期待しながら、竜騎士の腕を磨き続けよう。※以下の条件を満たすと、アドネール占星台のアルベリクから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			槍に誓う使命							
聖フィネア連隊の露営地でアルベリクと話す			聖フィネア連隊の露営地でアルベリクと話す			槍に誓う使命							
戦いの痕跡を調べる			戦いの痕跡を調べる			槍に誓う使命							
さらに戦いの痕跡を調べる			さらに戦いの痕跡を調べる			槍に誓う使命							
ウスティエヌを探す			ウスティエヌを探す			槍に誓う使命							
ウスティエヌと話す			ウスティエヌと話す			槍に誓う使命							
さらに腕に磨きをかけたようだな。Forenameよ、いよいよ決戦の時だぞ！占星台が、血竜「グラウリー」の動きを掴んだのだ！			さらに腕に磨きをかけたようだな。Forenameよ、いよいよ決戦の時だぞ！占星台が、血竜「グラウリー」の動きを掴んだのだ！			槍に誓う使命							
おそらく、ウスティエヌもヤツの動きを察しているだろう。飛来予想地点であるクルザス西部高地の臥竜島に赴き、彼女を支援して、血竜を討伐するのだ！			おそらく、ウスティエヌもヤツの動きを察しているだろう。飛来予想地点であるクルザス西部高地の臥竜島に赴き、彼女を支援して、血竜を討伐するのだ！			槍に誓う使命							
私は、神殿騎士団に手を回し、「竜騎士団」の出陣を止める。今の彼女を、戦友たちに目撃させるわけにはいかんからな。……なに、「蒼の竜騎士」が出陣したとなれば説得はできよう。			私は、神殿騎士団に手を回し、「竜騎士団」の出陣を止める。今の彼女を、戦友たちに目撃させるわけにはいかんからな。……なに、「蒼の竜騎士」が出陣したとなれば説得はできよう。			槍に誓う使命							
ゆえに我ら以外の支援は期待できない。君とウスティエヌの力だけが頼りだ……。			ゆえに我ら以外の支援は期待できない。君とウスティエヌの力だけが頼りだ……。			槍に誓う使命							
それでは、準備を整えたら出発してくれ。飛来予測地点に近い、「聖フィネア連隊の露営地」付近で落ち合おう。			それでは、準備を整えたら出発してくれ。飛来予測地点に近い、「聖フィネア連隊の露営地」付近で落ち合おう。			槍に誓う使命							
ウスティエヌと協力して血竜「グラウリー」を討伐し、今度こそ彼女を連れ戻そう。			ウスティエヌと協力して血竜「グラウリー」を討伐し、今度こそ彼女を連れ戻そう。			槍に誓う使命							
アルベリクに無理を言い、連れてきてもらいました。負傷で引退したとはいえ、これでも元竜騎士……。娘のためならば、槍を取る覚悟です。			アルベリクに無理を言い、連れてきてもらいました。負傷で引退したとはいえ、これでも元竜騎士……。娘のためならば、槍を取る覚悟です。			槍に誓う使命							
聖フィネア連隊の連中にも話を聞いてみたが、どうやら「竜騎士らしき女」を見かけた者がいるらしい。竜の眷属と戦いつつ、臥竜島の方角へ向かったそうだ。			聖フィネア連隊の連中にも話を聞いてみたが、どうやら「竜騎士らしき女」を見かけた者がいるらしい。竜の眷属と戦いつつ、臥竜島の方角へ向かったそうだ。			槍に誓う使命							
頭領である「マテオニアン」を倒したとはいえ、竜化した異端者どもが、まだ残っていたのだろう。			頭領である「マテオニアン」を倒したとはいえ、竜化した異端者どもが、まだ残っていたのだろう。			槍に誓う使命							
事情は、アルベリク卿から聞いております。私は何としても、娘を連れ戻す覚悟です……。どうか、どうか哀れな娘に力を貸してやってください。			事情は、アルベリク卿から聞いております。私は何としても、娘を連れ戻す覚悟です……。どうか、どうか哀れな娘に力を貸してやってください。			槍に誓う使命							
「戦いの痕跡」を辿れば、ウスティエヌに追いつくことができよう。まずは、彼女との合流を急いでくれ。			「戦いの痕跡」を辿れば、ウスティエヌに追いつくことができよう。まずは、彼女との合流を急いでくれ。			槍に誓う使命							
よろしくお願いいたします。我々も、娘を追います。			よろしくお願いいたします。我々も、娘を追います。			槍に誓う使命							
激しい戦闘が起きた直後のようだ。女性らしき足跡が、北へと向かっている……。			激しい戦闘が起きた直後のようだ。女性らしき足跡が、北へと向かっている……。			槍に誓う使命							
さらに激しい戦闘が起きた直後のようだ。女性らしき足跡が、西へと向かっている……。			さらに激しい戦闘が起きた直後のようだ。女性らしき足跡が、西へと向かっている……。			槍に誓う使命							
Forename、来てくれたのか……。ヤツこそが、その血により多数の異端者を竜へと変えた、諸悪の根源……血竜「グラウリー」だ！			Forename、来てくれたのか……。ヤツこそが、その血により多数の異端者を竜へと変えた、諸悪の根源……血竜「グラウリー」だ！			槍に誓う使命							
……加勢してくれるというのだな。「蒼の竜騎士」とともに、宿敵と対峙できるとは、これほど光栄で心強いことはない！			……加勢してくれるというのだな。「蒼の竜騎士」とともに、宿敵と対峙できるとは、これほど光栄で心強いことはない！			槍に誓う使命							
竜の血を求める疼きは、日増しに強まっている……。だが、竜に魅入られてなるものか……！血竜に蹂躙された者たちの苦痛を思い、耐えてみせる……！！			竜の血を求める疼きは、日増しに強まっている……。だが、竜に魅入られてなるものか……！血竜に蹂躙された者たちの苦痛を思い、耐えてみせる……！！			槍に誓う使命							
父に命拾われて竜騎士となり、父祖の槍を受け取りながらも、果たせずに来た、血竜討伐の大任……。			父に命拾われて竜騎士となり、父祖の槍を受け取りながらも、果たせずに来た、血竜討伐の大任……。			槍に誓う使命							
今こそ、成し遂げる！我が父祖の飛槍「ペレグリン」に誓って！			今こそ、成し遂げる！我が父祖の飛槍「ペレグリン」に誓って！			槍に誓う使命							
血竜「グラウリー」を倒せ！			血竜「グラウリー」を倒せ！			槍に誓う使命							
無念……私としたことが……。			無念……私としたことが……。			槍に誓う使命							
血竜「グラウリー」！　我が父祖の槍に誓って、お前を狩り殺す！			血竜「グラウリー」！　我が父祖の槍に誓って、お前を狩り殺す！			槍に誓う使命							
ついに……我が任をまっとうした……！			ついに……我が任をまっとうした……！			槍に誓う使命							
気をつけろ、空からくるぞ！			気をつけろ、空からくるぞ！			槍に誓う使命							
くそっ、やはり手ごわい……！			くそっ、やはり手ごわい……！			槍に誓う使命							
ヤツを追い詰めている……！　この勢いで、必ずやお前を倒す！			ヤツを追い詰めている……！　この勢いで、必ずやお前を倒す！			槍に誓う使命							
やった……やったんだ……。竜の血の誘惑を乗り越え、我が任をまっとうした……。ありがとう、Forename。			やった……やったんだ……。竜の血の誘惑を乗り越え、我が任をまっとうした……。ありがとう、Forename。			槍に誓う使命							
竜の力に魅入られることなく、さらなる力を手に入れる……君のような存在に、私も……ならねばっ！			竜の力に魅入られることなく、さらなる力を手に入れる……君のような存在に、私も……ならねばっ！			槍に誓う使命							
まずは、この苦しみを……ねじ伏せる……。竜の血など、この身からも、この世からも消し去ってやる！			まずは、この苦しみを……ねじ伏せる……。竜の血など、この身からも、この世からも消し去ってやる！			槍に誓う使命							
(-？？？？-)それでこそ、我が家の娘……！無事でなによりだ！			(-？？？？-)それでこそ、我が家の娘……！無事でなによりだ！			槍に誓う使命							
父上！？なぜ、このような危険な場所に！？			父上！？なぜ、このような危険な場所に！？			槍に誓う使命							
お前を迎えに来たのだ。またお前が、姿をくらましてしまわぬようにな。			お前を迎えに来たのだ。またお前が、姿をくらましてしまわぬようにな。			槍に誓う使命							
……屋敷には戻れません。私は……憎き「竜の血」を飲まされ竜と化した……。私をかくまえば、父上にまで異端の嫌疑が及んでしまいます！			……屋敷には戻れません。私は……憎き「竜の血」を飲まされ竜と化した……。私をかくまえば、父上にまで異端の嫌疑が及んでしまいます！			槍に誓う使命							
心配ない。お前の竜化は、ここにいる者だけの秘密だ。			心配ない。お前の竜化は、ここにいる者だけの秘密だ。			槍に誓う使命							
隠しとおせるはずがない……。いまだに私の中で、「竜の血」を呑みたいという、邪な欲望が渦巻いているというのに……！			隠しとおせるはずがない……。いまだに私の中で、「竜の血」を呑みたいという、邪な欲望が渦巻いているというのに……！			槍に誓う使命							
「蒼の竜騎士」をめざし、力を追い求めた私が、「竜の血」によって、望んだ力を得るとはっ……！			「蒼の竜騎士」をめざし、力を追い求めた私が、「竜の血」によって、望んだ力を得るとはっ……！			槍に誓う使命							
竜め……またしても、前途ある若者を奪い去るのか……。			竜め……またしても、前途ある若者を奪い去るのか……。			槍に誓う使命							
いいや、お前の帰る場所は、我が家のみ。竜の血を消し去る……先ほどのお前の決意は偽りか！？			いいや、お前の帰る場所は、我が家のみ。竜の血を消し去る……先ほどのお前の決意は偽りか！？			槍に誓う使命							
……いえ、必ずや血の誘惑を克服してみせます！その日まで、この身に宿った力を竜討伐に捧げる所存……！しかし、必ずや、この槍とともに父上の下へ帰参します。			……いえ、必ずや血の誘惑を克服してみせます！その日まで、この身に宿った力を竜討伐に捧げる所存……！しかし、必ずや、この槍とともに父上の下へ帰参します。			槍に誓う使命							
我が父祖の槍に誓って……！			我が父祖の槍に誓って……！			槍に誓う使命							
「竜騎士」の物語が、ひとつの区切りを迎えました！次の「竜騎士」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「竜騎士」の物語が、ひとつの区切りを迎えました！次の「竜騎士」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			槍に誓う使命							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			槍に誓う使命							
条件を満たし、アドネール占星台の「アルベリク」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、アドネール占星台の「アルベリク」に話しかけ、新たなジョブクエストを開始しましょう！			槍に誓う使命							
アドネール占星台のアルベリクは、調査結果を伝えたいようだ。			アドネール占星台のアルベリクは、調査結果を伝えたいようだ。			眠れる猛竜							
アルベリクからギラバニアに伝わる「眠れる猛竜」の情報を聞き、手がかりのメモを受け取った。高地ドラヴァニアのメアズオウス遺跡にいる「ウスティエヌ」に「手がかりのメモ」を見せよう。			アルベリクからギラバニアに伝わる「眠れる猛竜」の情報を聞き、手がかりのメモを受け取った。高地ドラヴァニアのメアズオウス遺跡にいる「ウスティエヌ」に「手がかりのメモ」を見せよう。			眠れる猛竜							
ウスティエヌに手がかりのメモを渡した。ギラバニア辺境地帯のスキズム開山堂に向かい、「指定地点」で笛を吹いて、オーン・カイを呼ぼう。			ウスティエヌに手がかりのメモを渡した。ギラバニア辺境地帯のスキズム開山堂に向かい、「指定地点」で笛を吹いて、オーン・カイを呼ぼう。			眠れる猛竜							
指定地点でオーン・カイを呼んだところ、子竜は先にスキズム開山堂に入って助けを求めてきた。スキズム開山堂で、立ちはだかる敵を討伐しよう。			指定地点でオーン・カイを呼んだところ、子竜は先にスキズム開山堂に入って助けを求めてきた。スキズム開山堂で、立ちはだかる敵を討伐しよう。			眠れる猛竜							
立ちはだかる敵を倒した。スキズム開山堂の「オーン・カイ」と話そう。			立ちはだかる敵を倒した。スキズム開山堂の「オーン・カイ」と話そう。			眠れる猛竜							
オーン・カイと話したところ、同じく「眠れる猛竜」の調査に訪れていたエリック博士が現れ、講義を聴くことになった。どうやら「眠れる猛竜」とは300年前のモンク僧のことらしい。アドネール占星台の「アルベリク」と話そう。			オーン・カイと話したところ、同じく「眠れる猛竜」の調査に訪れていたエリック博士が現れ、講義を聴くことになった。どうやら「眠れる猛竜」とは300年前のモンク僧のことらしい。アドネール占星台の「アルベリク」と話そう。			眠れる猛竜							
アルベリクと話した。誤情報を詫びつつ、彼は次なる情報として「東方地域」の伝承を提示した。アルベリクが、オーン・カイを東方に送る手段を考えてくれるという。妙案が思いつくのを待とう。※竜騎士のレベルが65以上になると、アドネール占星台のアルベリクから次の竜騎士クエストを受注することができます。			アルベリクと話した。誤情報を詫びつつ、彼は次なる情報として「東方地域」の伝承を提示した。アルベリクが、オーン・カイを東方に送る手段を考えてくれるという。妙案が思いつくのを待とう。※竜騎士のレベルが65以上になると、アドネール占星台のアルベリクから次の竜騎士クエストを受注することができます。			眠れる猛竜							
メアズオウス遺跡のウスティエヌに手がかりのメモを見せる			メアズオウス遺跡のウスティエヌに手がかりのメモを見せる			眠れる猛竜							
スキズム開山堂の指定地点で笛を吹く			スキズム開山堂の指定地点で笛を吹く			眠れる猛竜							
立ちはだかる敵を討伐			立ちはだかる敵を討伐			眠れる猛竜							
オーン・カイと話す			オーン・カイと話す			眠れる猛竜							
アドネール占星台のアルベリクと話す			アドネール占星台のアルベリクと話す			眠れる猛竜							
まずは、ドラヴァニアより東の地域に伝わる、竜にまつわる伝承を調べていくのが確実だと思う。「アルベリク」に相談し、情報を掴んだら、また来てくれ。			まずは、ドラヴァニアより東の地域に伝わる、竜にまつわる伝承を調べていくのが確実だと思う。「アルベリク」に相談し、情報を掴んだら、また来てくれ。			眠れる猛竜							
