蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼に包まれし武具							
上弦鉱石を入手ファントムペンアンブレー・ソードとファントムペンアンブレー・カイトシールドファントムペンアンブレー・ナックルファントムペンアンブレー・バルディッシュファントムペンアンブレー・スピアファントムペンアンブレー・ハープボウファントムペンアンブレー・クルークファントムペンアンブレー・スタッフファントムペンアンブレー・インデックスファントムペンアンブレー・コーデックスファントムペンアンブレー・クリーバーファントムペンアンブレー・アークウィバスファントムペンアンブレー・ディバイダーファントムペンアンブレー・スターグローブファントムペンアンブレー・ブレードファントムペンアンブレー・レイピアファントムペンアンブレー・バヨネットファントムペンアンブレー・テルプナファントムペンアンブレー・ウォーサイズファントムペンアンブレー・ペンデュラムファントムペンアンブレー・ツインファングファントムペンアンブレー・フラットブラシを装備から外して、所持しドドックリに上弦鉱石を渡す			上弦鉱石を入手ファントムペンアンブレー・ソードとファントムペンアンブレー・カイトシールドファントムペンアンブレー・ナックルファントムペンアンブレー・バルディッシュファントムペンアンブレー・スピアファントムペンアンブレー・ハープボウファントムペンアンブレー・クルークファントムペンアンブレー・スタッフファントムペンアンブレー・インデックスファントムペンアンブレー・コーデックスファントムペンアンブレー・クリーバーファントムペンアンブレー・アークウィバスファントムペンアンブレー・ディバイダーファントムペンアンブレー・スターグローブファントムペンアンブレー・ブレードファントムペンアンブレー・レイピアファントムペンアンブレー・バヨネットファントムペンアンブレー・テルプナファントムペンアンブレー・ウォーサイズファントムペンアンブレー・ペンデュラムファントムペンアンブレー・ツインファングファントムペンアンブレー・フラットブラシを装備から外して、所持しドドックリに上弦鉱石を渡す			ファントムウェポンの強化							
これまでさんざん武器を鍛えてきたが、オレ様自身を強化するなんてのは稀な経験だ。今なら、ファントムウェポンをさらに強化できそうだぜ！			これまでさんざん武器を鍛えてきたが、オレ様自身を強化するなんてのは稀な経験だ。今なら、ファントムウェポンをさらに強化できそうだぜ！			ファントムウェポンの強化							
「[???]」および、「[???]」を未所持または、未装備の場合、『ファントムウェポンの強化』を受注できません。			「[???]」および、「[???]」を未所持または、未装備の場合、『ファントムウェポンの強化』を受注できません。			ファントムウェポンの強化							
「[???]」を所持、または装備していないと、『ファントムウェポンの強化』を受注できません。			「[???]」を所持、または装備していないと、『ファントムウェポンの強化』を受注できません。			ファントムウェポンの強化							
さて、これで作業環境は整った。次はいよいよファントムウェポンの強化だ。			さて、これで作業環境は整った。次はいよいよファントムウェポンの強化だ。			ファントムウェポンの強化							
クエスト『ファントムウェポンの強化』にて入手できる武器は、現在のジョブ「[Job]」の武器となります。『ファントムウェポンの強化』を「[Job]」で受けますか？			クエスト『ファントムウェポンの強化』にて入手できる武器は、現在のジョブ「[Job]」の武器となります。『ファントムウェポンの強化』を「[Job]」で受けますか？			ファントムウェポンの強化							
[Job]の武器を強化しますか？			[Job]の武器を強化しますか？			ファントムウェポンの強化							
もう少し考える			もう少し考える			ファントムウェポンの強化							
[Job]の武器を強化する			[Job]の武器を強化する			ファントムウェポンの強化							
強化したい武器に応じたジョブとなり、再度、リディルセイルに声をかけてください。			強化したい武器に応じたジョブとなり、再度、リディルセイルに声をかけてください。			ファントムウェポンの強化							
傍目にもわかるほど、ゲロルトの力が増しているのを感じるぜ。あんたも大変だったろう、お疲れさん。			傍目にもわかるほど、ゲロルトの力が増しているのを感じるぜ。あんたも大変だったろう、お疲れさん。			ファントムウェポンの強化							
強化に必要な「上弦鉱石」も、探査隊によって十分な量が採れたようだ。武器ひとつ鍛えるだけなら、3個もあればいいだろう。			強化に必要な「上弦鉱石」も、探査隊によって十分な量が採れたようだ。武器ひとつ鍛えるだけなら、3個もあればいいだろう。			ファントムウェポンの強化							
例によってロウェナ商会のアーミナから手に入れ、それをドドックリに渡してくれ。			例によってロウェナ商会のアーミナから手に入れ、それをドドックリに渡してくれ。			ファントムウェポンの強化							
採掘したそばから接収とは、相変わらず、がめつい連中だぜ……。だが安心しな、鍛え上げた武器はテメェのもンだ。			採掘したそばから接収とは、相変わらず、がめつい連中だぜ……。だが安心しな、鍛え上げた武器はテメェのもンだ。			ファントムウェポンの強化							
「上弦鉱石」が3個揃ったら、ドドックリに渡してくれ。今のゲロルトはやる気に満ちちゃいるが、下処理は面倒くさがってやらないだろうからな。			「上弦鉱石」が3個揃ったら、ドドックリに渡してくれ。今のゲロルトはやる気に満ちちゃいるが、下処理は面倒くさがってやらないだろうからな。			ファントムウェポンの強化							
「上弦鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			「上弦鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			ファントムウェポンの強化							
「上弦鉱石」が集まったんですか？では、「ファントムウェポン」を装備から外してください。			「上弦鉱石」が集まったんですか？では、「ファントムウェポン」を装備から外してください。			ファントムウェポンの強化							
「上弦鉱石」を納品すると、所持している「ファントムウェポン」と交換で、強化された新たな武器を入手できます。			「上弦鉱石」を納品すると、所持している「ファントムウェポン」と交換で、強化された新たな武器を入手できます。			ファントムウェポンの強化							
ただし、装着されているマテリアは消失し、戻ってきませんのでご注意ください。			ただし、装着されているマテリアは消失し、戻ってきませんのでご注意ください。			ファントムウェポンの強化							
やあ、お待ちしておりましたよ。「上弦鉱石」は集まりましたか？			やあ、お待ちしておりましたよ。「上弦鉱石」は集まりましたか？			ファントムウェポンの強化							
……なるほど、これが「上弦鉱石」ですか。ではさっそく事前準備を済ませて、強化されたゲロルトの腕前を披露してもらいましょう！			……なるほど、これが「上弦鉱石」ですか。ではさっそく事前準備を済ませて、強化されたゲロルトの腕前を披露してもらいましょう！			ファントムウェポンの強化							
魔道球に溜められた力が、オレ様の身体に漲るのを感じる……。今ならやれるぜ、さらなる武具の強化が！			魔道球に溜められた力が、オレ様の身体に漲るのを感じる……。今ならやれるぜ、さらなる武具の強化が！			ファントムウェポンの強化							
おりゃあああああああああ！			おりゃあああああああああ！			ファントムウェポンの強化							
よし、濃密な4属性のエーテルが、蜃気楼によって幻惑されることなく完璧に調和してやがる……。			よし、濃密な4属性のエーテルが、蜃気楼によって幻惑されることなく完璧に調和してやがる……。			ファントムウェポンの強化							
これが、属性圧縮鍛造法によって強化されたファントムウェポン！「[???]」だ！			これが、属性圧縮鍛造法によって強化されたファントムウェポン！「[???]」だ！			ファントムウェポンの強化							
これが、属性圧縮鍛造法によって強化されたファントムウェポン！「[???]」と……「[???]」が完成したぜ！			これが、属性圧縮鍛造法によって強化されたファントムウェポン！「[???]」と……「[???]」が完成したぜ！			ファントムウェポンの強化							
この魔道球の効果はすげぇな。作業を終えた今もまだ、身体中でエーテルが漲ってるぜ。			この魔道球の効果はすげぇな。作業を終えた今もまだ、身体中でエーテルが漲ってるぜ。			ファントムウェポンの強化							
ほう、おぬしら、やり遂げおったか！どうじゃ、古の知識にも習うところが多かろう？			ほう、おぬしら、やり遂げおったか！どうじゃ、古の知識にも習うところが多かろう？			ファントムウェポンの強化							
火で高まったエーテルが風によって場を巡り、体内に取り込まれ、水により急速に冷ますことで放出され、土の中で浄化していく。			火で高まったエーテルが風によって場を巡り、体内に取り込まれ、水により急速に冷ますことで放出され、土の中で浄化していく。			ファントムウェポンの強化							
その繰り返しによって、職人の体内エーテルが整うという理屈だぞい！			その繰り返しによって、職人の体内エーテルが整うという理屈だぞい！			ファントムウェポンの強化							
説明だけ聞くと、なんだか蒸し風呂みたいだな……。			説明だけ聞くと、なんだか蒸し風呂みたいだな……。			ファントムウェポンの強化							
まったく、恐れ入ったぜ……。金のためじゃなく、純粋に職人として高みを目指すことで、こンなにも充実した気分を味わえるとは思わなかった。			まったく、恐れ入ったぜ……。金のためじゃなく、純粋に職人として高みを目指すことで、こンなにも充実した気分を味わえるとは思わなかった。			ファントムウェポンの強化							
ロウェナへの借金返済なンて、どうでもよくなってきた。この調子で、ほかの技術も次々修得していきてぇもンだ！			ロウェナへの借金返済なンて、どうでもよくなってきた。この調子で、ほかの技術も次々修得していきてぇもンだ！			ファントムウェポンの強化							
……というか、ぼんやり見えてると言っていた、お前のアイディアってのは、いったいなんだったんだ？			……というか、ぼんやり見えてると言っていた、お前のアイディアってのは、いったいなんだったんだ？			ファントムウェポンの強化							
こまけぇこと言ってンじゃねえよ。結果うまくいったンだから、なンでもいいじゃねえか！			こまけぇこと言ってンじゃねえよ。結果うまくいったンだから、なンでもいいじゃねえか！			ファントムウェポンの強化							
……おっと、そうじゃ。おぬしに話しておきたいことがあったぞい。			……おっと、そうじゃ。おぬしに話しておきたいことがあったぞい。			ファントムウェポンの強化							
例の、石棺の中にあった包丁のことじゃよ。アレについてな、ようやく思い出したんじゃが……やっぱり武器じゃなかったか？			例の、石棺の中にあった包丁のことじゃよ。アレについてな、ようやく思い出したんじゃが……やっぱり武器じゃなかったか？			ファントムウェポンの強化							
何と言う？			何と言う？			ファントムウェポンの強化							
包丁は武器じゃない！			包丁は武器じゃない！			ファントムウェポンの強化							
実は、武器なんだ……			実は、武器なんだ……			ファントムウェポンの強化							
本当か？おぬし、なんかムキになって否定しとらんか？			本当か？おぬし、なんかムキになって否定しとらんか？			ファントムウェポンの強化							
やはりな！なんじゃ、おぬし知っておったんじゃないか。			やはりな！なんじゃ、おぬし知っておったんじゃないか。			ファントムウェポンの強化							
実は、わが祖国ニームの調理師に伝わる戦闘術のひとつに、包丁を用いた刺突技があったんじゃよ！だからあの包丁を鍛えても何の問題もないはずだぞい！			実は、わが祖国ニームの調理師に伝わる戦闘術のひとつに、包丁を用いた刺突技があったんじゃよ！だからあの包丁を鍛えても何の問題もないはずだぞい！			ファントムウェポンの強化							
どんな国だよ！？			どんな国だよ！？			ファントムウェポンの強化							
ニームについて、そんな新事実は知りたくありませんでしたよ。学会に報告しても信じてはもらえないでしょうね……。			ニームについて、そんな新事実は知りたくありませんでしたよ。学会に報告しても信じてはもらえないでしょうね……。			ファントムウェポンの強化							
とにかく、包丁は調理にだけ使うものだ。その用途ならともかく、武器として強化するのは禁止！			とにかく、包丁は調理にだけ使うものだ。その用途ならともかく、武器として強化するのは禁止！			ファントムウェポンの強化							
……調理か。それなら、ちょうどいい使い道があるぜ！			……調理か。それなら、ちょうどいい使い道があるぜ！			ファントムウェポンの強化							
持ち込まれた食糧が乾きものばかりで飽きてたンだ。イカの刺身でもあれば酒の肴にちょうどいい。			持ち込まれた食糧が乾きものばかりで飽きてたンだ。イカの刺身でもあれば酒の肴にちょうどいい。			ファントムウェポンの強化							
っつーわけで、海域に出没する大型海洋生物でも捌けるような、すげぇ包丁に仕立ててやるぜ！			っつーわけで、海域に出没する大型海洋生物でも捌けるような、すげぇ包丁に仕立ててやるぜ！			ファントムウェポンの強化							
おお、娯楽が少ない島ゆえ、釣りをするのは悪くないぞい。それなら、おぬしに包丁研ぎを頼むあいだ、わしも釣りをしてみるか！			おお、娯楽が少ない島ゆえ、釣りをするのは悪くないぞい。それなら、おぬしに包丁研ぎを頼むあいだ、わしも釣りをしてみるか！			ファントムウェポンの強化							
この環境でどんな大物が釣れるか、好奇心が湧いてくるのう！			この環境でどんな大物が釣れるか、好奇心が湧いてくるのう！			ファントムウェポンの強化							
よっしゃ、それじゃ包丁を研ぎつつ……次の技術に関して、石板の内容をのんびり学ンでみるとするか！			よっしゃ、それじゃ包丁を研ぎつつ……次の技術に関して、石板の内容をのんびり学ンでみるとするか！			ファントムウェポンの強化							
これ以降、蜃気楼の町の「ドドックリ」から、「上弦鉱石」と引き換えに、異なるジョブの「ファントムウェポン」を強化できます。			これ以降、蜃気楼の町の「ドドックリ」から、「上弦鉱石」と引き換えに、異なるジョブの「ファントムウェポン」を強化できます。			ファントムウェポンの強化							
また、「ファントムウェポン」のレプリカを、蜃気楼の町にいる、「探査隊の資材加工係」から購入できるようになりました。			また、「ファントムウェポン」のレプリカを、蜃気楼の町にいる、「探査隊の資材加工係」から購入できるようになりました。			ファントムウェポンの強化							
