バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
これにより「マーチ・オブ・アルコンズ」は、第3段階を迎えた！			これにより「マーチ・オブ・アルコンズ」は、第3段階を迎えた！			カストルム・メリディアヌムの死闘							
すでに、カヌ・エ殿の率いる「双蛇党」の別働隊が、「カストルム・セントリ」南方の線路を封鎖するため、進軍を開始した！			すでに、カヌ・エ殿の率いる「双蛇党」の別働隊が、「カストルム・セントリ」南方の線路を封鎖するため、進軍を開始した！			カストルム・メリディアヌムの死闘							
我々「同盟軍本隊」は、目前にそびえ立つ、帝国要塞「カストルム・メリディアヌム」に突入。			我々「同盟軍本隊」は、目前にそびえ立つ、帝国要塞「カストルム・メリディアヌム」に突入。			カストルム・メリディアヌムの死闘							
敵将ガイウス配下の、帝国第XIV軍団の主力部隊を叩き、この要塞を孤立させる！			敵将ガイウス配下の、帝国第XIV軍団の主力部隊を叩き、この要塞を孤立させる！			カストルム・メリディアヌムの死闘							
「暁の血盟」盟主、ミンフィリアです。			「暁の血盟」盟主、ミンフィリアです。			カストルム・メリディアヌムの死闘							
国家、組織、種族、言葉……それに主義や思想。このエオルゼアには、さまざまな「壁」があります。			国家、組織、種族、言葉……それに主義や思想。このエオルゼアには、さまざまな「壁」があります。			カストルム・メリディアヌムの死闘							
しかし、この「壁」とは、わたしたちが自我を持っている証でもあるのです。だから「壁」を完全に取り除くことはできない……。			しかし、この「壁」とは、わたしたちが自我を持っている証でもあるのです。だから「壁」を完全に取り除くことはできない……。			カストルム・メリディアヌムの死闘							
でも「壁」は、取り除くものではありません！みんなの気持ちをひとつにすることで、乗り超えるものなのです！			でも「壁」は、取り除くものではありません！みんなの気持ちをひとつにすることで、乗り超えるものなのです！			カストルム・メリディアヌムの死闘							
そう、まさに、エオルゼアを救済するためにこの場に集った、みなさんのように！			そう、まさに、エオルゼアを救済するためにこの場に集った、みなさんのように！			カストルム・メリディアヌムの死闘							
ここに居るSurnameは、これまで幾多の「壁」を超えてきた！自らの行動で壁を超え、我々に道を示してきた！			ここに居るSurnameは、これまで幾多の「壁」を超えてきた！自らの行動で壁を超え、我々に道を示してきた！			カストルム・メリディアヌムの死闘							
次は、我々が道を造る番だ！無事にSurnameを、アルテマウェポンのもとに送り出すために！			次は、我々が道を造る番だ！無事にSurnameを、アルテマウェポンのもとに送り出すために！			カストルム・メリディアヌムの死闘							
「カストルム・メリディアヌム」を孤立させれば、そのまま、作戦は最終段階へと進む。			「カストルム・メリディアヌム」を孤立させれば、そのまま、作戦は最終段階へと進む。			カストルム・メリディアヌムの死闘							
なんとしても、冒険者をアルテマウェポンのもとへ届ける！各隊、全力で「冒険者選抜部隊」の道を切り開け！……総員、進軍準備ッ！			なんとしても、冒険者をアルテマウェポンのもとへ届ける！各隊、全力で「冒険者選抜部隊」の道を切り開け！……総員、進軍準備ッ！			カストルム・メリディアヌムの死闘							
ガーロンド・アイアンワークスは、各隊の情報伝達を行う。別々に行動することになるが、俺たちの心は、常にお前と共に居るつもりだ。			ガーロンド・アイアンワークスは、各隊の情報伝達を行う。別々に行動することになるが、俺たちの心は、常にお前と共に居るつもりだ。			カストルム・メリディアヌムの死闘							
あなたの帰還を待っています……。生きて帰ってきてね……。			あなたの帰還を待っています……。生きて帰ってきてね……。			カストルム・メリディアヌムの死闘							
この大地を、ガレマール帝国の……。ガイウスの好きにさせるな！エオルゼアの未来は、我々で守る！			この大地を、ガレマール帝国の……。ガイウスの好きにさせるな！エオルゼアの未来は、我々で守る！			カストルム・メリディアヌムの死闘							
全軍、突撃ッ！！クリスタルの導きあれッ！			全軍、突撃ッ！！クリスタルの導きあれッ！			カストルム・メリディアヌムの死闘							
(-エオルゼア同盟軍の将兵-)クリスタルの導きあれッ！			(-エオルゼア同盟軍の将兵-)クリスタルの導きあれッ！			カストルム・メリディアヌムの死闘							
行け、Surname！「暁」の火と、君の光で！このエオルゼアを照らすために！			行け、Surname！「暁」の火と、君の光で！このエオルゼアを照らすために！			カストルム・メリディアヌムの死闘							
この大地を、ガレマール帝国の……。ガイウスの好きにさせるな！エオルゼアの未来は、我々で守る！			この大地を、ガレマール帝国の……。ガイウスの好きにさせるな！エオルゼアの未来は、我々で守る！			カストルム・メリディアヌムの死闘							
おいおい……。相変わらず「魔導アーマー」に容赦がないな。			おいおい……。相変わらず「魔導アーマー」に容赦がないな。			カストルム・メリディアヌムの死闘							
お前が前線に出ているというのに、引っ込んでいるのが我慢できなくてな。			お前が前線に出ているというのに、引っ込んでいるのが我慢できなくてな。			カストルム・メリディアヌムの死闘							
あっちはビッグスとウェッジに任せて、助けに来てやったぜ！			あっちはビッグスとウェッジに任せて、助けに来てやったぜ！			カストルム・メリディアヌムの死闘							
……ウェッジのやつは、ぼやいていたけどな。			……ウェッジのやつは、ぼやいていたけどな。			カストルム・メリディアヌムの死闘							
この規模の要塞だ。魔導アーマーの1機や2機、転がってると思ったんだが……。			この規模の要塞だ。魔導アーマーの1機や2機、転がってると思ったんだが……。			カストルム・メリディアヌムの死闘							
……ふむ、大したことはないようだ。これならすぐに修理できるだろう。			……ふむ、大したことはないようだ。これならすぐに修理できるだろう。			カストルム・メリディアヌムの死闘							
帝国軍の通信を傍受していたんだが、俺たちの標的「アルテマウェポン」の位置がわかった。			帝国軍の通信を傍受していたんだが、俺たちの標的「アルテマウェポン」の位置がわかった。			カストルム・メリディアヌムの死闘							
この「カストルム・メリディアヌム」の最深部に、特殊兵装の整備施設、通称「工房」がある。……アルテマウェポンはそこだ。			この「カストルム・メリディアヌム」の最深部に、特殊兵装の整備施設、通称「工房」がある。……アルテマウェポンはそこだ。			カストルム・メリディアヌムの死闘							
しかし、「工房」がある区画は、「高出力魔導フィールド」で囲まれていてな……。潜入するには、まずフィールドを解除する必要がある。			しかし、「工房」がある区画は、「高出力魔導フィールド」で囲まれていてな……。潜入するには、まずフィールドを解除する必要がある。			カストルム・メリディアヌムの死闘							
「高出力魔導フィールド」は、全部で3層。この近くの区画に「フィールド発生装置」があるはずだ。まずは、そいつを止めに行く。			「高出力魔導フィールド」は、全部で3層。この近くの区画に「フィールド発生装置」があるはずだ。まずは、そいつを止めに行く。			カストルム・メリディアヌムの死闘							
見ろ、あそこに廃棄物の放棄口がある。あれは、この下の「廃棄物処分場」に繋がっている。			見ろ、あそこに廃棄物の放棄口がある。あれは、この下の「廃棄物処分場」に繋がっている。			カストルム・メリディアヌムの死闘							
おそらくその先に、「フィールド発生装置」へ燃料の「青燐水」を送る設備があるはずだ。			おそらくその先に、「フィールド発生装置」へ燃料の「青燐水」を送る設備があるはずだ。			カストルム・メリディアヌムの死闘							
燃料の供給を阻止できれば、魔導フィールドの1層を解除できるだろう。			燃料の供給を阻止できれば、魔導フィールドの1層を解除できるだろう。			カストルム・メリディアヌムの死闘							
お前は放棄口を使い、先に「青燐水汲上場」へ向かってくれ。俺はこいつを修理したら、すぐに駆けつける！			お前は放棄口を使い、先に「青燐水汲上場」へ向かってくれ。俺はこいつを修理したら、すぐに駆けつける！			カストルム・メリディアヌムの死闘							
よう、Forename！奇遇だな！			よう、Forename！奇遇だな！			カストルム・メリディアヌムの死闘							
急いでお前に追いつこうと思ってな！ようやく追いついたぜ。			急いでお前に追いつこうと思ってな！ようやく追いついたぜ。			カストルム・メリディアヌムの死闘							
フィールド発生装置への燃料供給は、上手く止められたようじゃないか。残る「高出力魔導フィールド」は、あと2層だ。			フィールド発生装置への燃料供給は、上手く止められたようじゃないか。残る「高出力魔導フィールド」は、あと2層だ。			カストルム・メリディアヌムの死闘							
さすがに派手にやりすぎたか……。			さすがに派手にやりすぎたか……。			カストルム・メリディアヌムの死闘							
このまま進むぞッ！要塞内に残った帝国兵が集結する前に、残りの「フィールド発生装置」を止めるんだ！			このまま進むぞッ！要塞内に残った帝国兵が集結する前に、残りの「フィールド発生装置」を止めるんだ！			カストルム・メリディアヌムの死闘							
よし、いい返事だ。お前は先導してくれ！俺はこの「魔導アーマー」で、後ろから援護する！			よし、いい返事だ。お前は先導してくれ！俺はこの「魔導アーマー」で、後ろから援護する！			カストルム・メリディアヌムの死闘							
ヒャッハー！！シド・ガーロンドが、ぶっ放すぜ！			ヒャッハー！！シド・ガーロンドが、ぶっ放すぜ！			カストルム・メリディアヌムの死闘							
Forename！やったかッ！			Forename！やったかッ！			カストルム・メリディアヌムの死闘							
Forename、下がってろ。この魔導アーマーの青燐機関を臨界稼働させて、最大出力で砲撃する。			Forename、下がってろ。この魔導アーマーの青燐機関を臨界稼働させて、最大出力で砲撃する。			カストルム・メリディアヌムの死闘							
とびっきりのヤツを、ぶっ放すぜ！こいつを喰らいなッ！			とびっきりのヤツを、ぶっ放すぜ！こいつを喰らいなッ！			カストルム・メリディアヌムの死闘							
……さすがに、どこか焼き切れちまったか。臨界稼働に耐えられる設計じゃないようだな。これじゃ、もうぶっ放せないぜ……。			……さすがに、どこか焼き切れちまったか。臨界稼働に耐えられる設計じゃないようだな。これじゃ、もうぶっ放せないぜ……。			カストルム・メリディアヌムの死闘							
「高出力魔導フィールド」は、もう1層あるってのに、さて、どうしたものか。			「高出力魔導フィールド」は、もう1層あるってのに、さて、どうしたものか。			カストルム・メリディアヌムの死闘							
誰かと思えば……。裏切り者の、シド坊ちゃんじゃない。……それに、あの冒険者か……。			誰かと思えば……。裏切り者の、シド坊ちゃんじゃない。……それに、あの冒険者か……。			カストルム・メリディアヌムの死闘							
俺は、何か武器を調達してくる。お前は先に進んでくれ。最後の「フィールド発生装置」の前で会おう！			俺は、何か武器を調達してくる。お前は先に進んでくれ。最後の「フィールド発生装置」の前で会おう！			カストルム・メリディアヌムの死闘							
俺だ、シドだ。大丈夫か！？			俺だ、シドだ。大丈夫か！？			カストルム・メリディアヌムの死闘							
こちらからも飛空艇が見えている。そいつは高速魔導駆逐艇だ！このままだとヤバイぜ！			こちらからも飛空艇が見えている。そいつは高速魔導駆逐艇だ！このままだとヤバイぜ！			カストルム・メリディアヌムの死闘							
その辺りに「対空砲」はないか！？そいつを使え！魔導駆逐艇を狙って、撃墜してやるんだ！			その辺りに「対空砲」はないか！？そいつを使え！魔導駆逐艇を狙って、撃墜してやるんだ！			カストルム・メリディアヌムの死闘							
俺も今そっちへ向かっている！なんとか踏ん張ってくれ！			俺も今そっちへ向かっている！なんとか踏ん張ってくれ！			カストルム・メリディアヌムの死闘							
ええい、バカどもめ！死ぬなら被害を最小限にして死ね！			ええい、バカどもめ！死ぬなら被害を最小限にして死ね！			カストルム・メリディアヌムの死闘							
ガイウス閣下の寵愛を捨て、祖国ガレマールを捨てた、裏切り者のシド坊ちゃんは居ないか……。……消してやろうと思ったのに残念ね。			ガイウス閣下の寵愛を捨て、祖国ガレマールを捨てた、裏切り者のシド坊ちゃんは居ないか……。……消してやろうと思ったのに残念ね。			カストルム・メリディアヌムの死闘							
Forename Surname。ずっと会いたかったわ。			Forename Surname。ずっと会いたかったわ。			カストルム・メリディアヌムの死闘							
私はあなたを知っていたけど、面と向かって会うのは初めてですものねぇ。			私はあなたを知っていたけど、面と向かって会うのは初めてですものねぇ。			カストルム・メリディアヌムの死闘							
私と少し、遊んでみない？あなたの力がどれほどのものなのか……興味があるわ！			私と少し、遊んでみない？あなたの力がどれほどのものなのか……興味があるわ！			カストルム・メリディアヌムの死闘							
ガイウス閣下は、あなたの「超える力」にご執心だった。だから、いったいどんな雄健な者かと思っていたら……。			ガイウス閣下は、あなたの「超える力」にご執心だった。だから、いったいどんな雄健な者かと思っていたら……。			カストルム・メリディアヌムの死闘							
案外、普通の冒険者なのねぇ。			案外、普通の冒険者なのねぇ。			カストルム・メリディアヌムの死闘							
わからないものだわ……。こんな普通の冒険者が、エオルゼアで英雄扱いされているだなんて。			わからないものだわ……。こんな普通の冒険者が、エオルゼアで英雄扱いされているだなんて。			カストルム・メリディアヌムの死闘							
でも、あなたのために、私たちが多くの犧牲を出したことは事実よ……。リットアティンを殺ったのも、あなたなんでしょう？			でも、あなたのために、私たちが多くの犧牲を出したことは事実よ……。リットアティンを殺ったのも、あなたなんでしょう？			カストルム・メリディアヌムの死闘							
……たかが、ひとりの冒険者のために、私たちは……アタシは、いろいろなものを失っていく……。			……たかが、ひとりの冒険者のために、私たちは……アタシは、いろいろなものを失っていく……。			カストルム・メリディアヌムの死闘							
……何が英雄か……。……何が「超える力」かッ！			……何が英雄か……。……何が「超える力」かッ！			カストルム・メリディアヌムの死闘							
貴様は、アタシから全てを奪っていく！部下も、仲間も、そしてガイウス様の心も！			貴様は、アタシから全てを奪っていく！部下も、仲間も、そしてガイウス様の心も！			カストルム・メリディアヌムの死闘							
もう何も奪わせない……！			もう何も奪わせない……！			カストルム・メリディアヌムの死闘							
ガイウス様の夢も、ガイウス様の心も、ガイウス様の体も、ガイウス様の唇も！全部、全部ッ！　アタシのモノだッ！			ガイウス様の夢も、ガイウス様の心も、ガイウス様の体も、ガイウス様の唇も！全部、全部ッ！　アタシのモノだッ！			カストルム・メリディアヌムの死闘							
アタシは二度と失わない！ガイウス様に拾っていただくまでの、何も持たない抜け殻のアタシには、二度と戻らない！			アタシは二度と失わない！ガイウス様に拾っていただくまでの、何も持たない抜け殻のアタシには、二度と戻らない！			カストルム・メリディアヌムの死闘							
アタシの名は、リウィア・サス・ユニウス！貴様だけは、この手で切り刻むッ！			アタシの名は、リウィア・サス・ユニウス！貴様だけは、この手で切り刻むッ！			カストルム・メリディアヌムの死闘							
そんな……このアタシが……。……いやだ……奪われたくない……。失い……たくない……。			そんな……このアタシが……。……いやだ……奪われたくない……。失い……たくない……。			カストルム・メリディアヌムの死闘							
……そうか……これが、あの娘の……。ミンフィリアの……感じていた……想いなのね。……大切な……モノが……消えて逝く……。			……そうか……これが、あの娘の……。ミンフィリアの……感じていた……想いなのね。……大切な……モノが……消えて逝く……。			カストルム・メリディアヌムの死闘							
ガイウス様ァァァァッ！！			ガイウス様ァァァァッ！！			カストルム・メリディアヌムの死闘							
第XIV軍団分遣隊長、リウィア・サス・ユニウス……。……ガイウスからの愛を求めて散ったか。			第XIV軍団分遣隊長、リウィア・サス・ユニウス……。……ガイウスからの愛を求めて散ったか。			カストルム・メリディアヌムの死闘							
Forename。無事だったようだな、よかったぜ。			Forename。無事だったようだな、よかったぜ。			カストルム・メリディアヌムの死闘							
お前が敵を引き付けてくれたおかげで、「フィールド発生装置」をブチ壊すことができた。これで「高出力魔導フィールド」が消えたな！			お前が敵を引き付けてくれたおかげで、「フィールド発生装置」をブチ壊すことができた。これで「高出力魔導フィールド」が消えたな！			カストルム・メリディアヌムの死闘							
アルテマウェポンが眠る「工房」への道は開けた。……ただし、どうやら地上からは侵入が難しいようだ。			アルテマウェポンが眠る「工房」への道は開けた。……ただし、どうやら地上からは侵入が難しいようだ。			カストルム・メリディアヌムの死闘							
一度退いて「青燐精製所」の臨時指揮所に戻るぞ。そこに「エンタープライズ」が停めてある。そいつで、空から突入するんだ。			一度退いて「青燐精製所」の臨時指揮所に戻るぞ。そこに「エンタープライズ」が停めてある。そいつで、空から突入するんだ。			カストルム・メリディアヌムの死闘							
最後の戦いだ、気合を入れていくぜ！準備ができ次第、出発だ！			最後の戦いだ、気合を入れていくぜ！準備ができ次第、出発だ！			カストルム・メリディアヌムの死闘							
さすがは、Surnameだ。よくやってくれた！これで「マーチ・オブ・アルコンズ」の第3段階は成功だ！			さすがは、Surnameだ。よくやってくれた！これで「マーチ・オブ・アルコンズ」の第3段階は成功だ！			カストルム・メリディアヌムの死闘							
「フィールド発生装置」を失ったメリディアヌムは裸も同然。それに、敵将「リウィア」を討ったとなれば、我輩たち「同盟軍本隊」の士気も上がろう！			「フィールド発生装置」を失ったメリディアヌムは裸も同然。それに、敵将「リウィア」を討ったとなれば、我輩たち「同盟軍本隊」の士気も上がろう！			カストルム・メリディアヌムの死闘							
いよいよ、最後の戦いだ。気合を入れて行くぞ！			いよいよ、最後の戦いだ。気合を入れて行くぞ！			カストルム・メリディアヌムの死闘							
もはや迷うことはない。仲間と共に、力を尽くして前へと進むんだ。君の進む先こそが、エオルゼアの未来になる！			もはや迷うことはない。仲間と共に、力を尽くして前へと進むんだ。君の進む先こそが、エオルゼアの未来になる！			カストルム・メリディアヌムの死闘							
みんなが力をあわせて、あなたの道を拓いてくれる。信じて進んで……そして、必ず勝利を……！			みんなが力をあわせて、あなたの道を拓いてくれる。信じて進んで……そして、必ず勝利を……！			カストルム・メリディアヌムの死闘							
本クエストを進行するためには、レジスタンスランクが「[#1]」以上、所持戦果が「[#2]」以上である必要があります。			本クエストを進行するためには、レジスタンスランクが「[#1]」以上、所持戦果が「[#2]」以上である必要があります。			シーサイド・ランデヴー							
なお、現在のレジスタンスランクは「[#1]」、所持戦果は「[#2]」です。			なお、現在のレジスタンスランクは「[#1]」、所持戦果は「[#2]」です。			シーサイド・ランデヴー							
本クエストを進行するためには、現在のクラス・ジョブが、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、ファイター、もしくはソーサラーである必要があります。			シーサイド・ランデヴー							
お願いしやすよ～、新作を持って帰るまで敷居をまたがせないって、親父にきつ～くきつ～く言われちまったんですから～。			お願いしやすよ～、新作を持って帰るまで敷居をまたがせないって、親父にきつ～くきつ～く言われちまったんですから～。			シーサイド・ランデヴー							
と言われてもねぇ。先日、書き終えた戯曲はジェノミスに渡してしまったしねぇ。			と言われてもねぇ。先日、書き終えた戯曲はジェノミスに渡してしまったしねぇ。			シーサイド・ランデヴー							
着手金だってお渡ししたンですから、せめて、さわりだけでも書き上げてくださいやせんかね？			着手金だってお渡ししたンですから、せめて、さわりだけでも書き上げてくださいやせんかね？			シーサイド・ランデヴー							
着手金？？……って、おいおい、宴席で酒を飲んだだけじゃないか？あれが着手金だっていうのかな？			着手金？？……って、おいおい、宴席で酒を飲んだだけじゃないか？あれが着手金だっていうのかな？			シーサイド・ランデヴー							
モチのロンですぜ！タダほど怖いものはないって、昔から言うじゃござりやせんか～！			モチのロンですぜ！タダほど怖いものはないって、昔から言うじゃござりやせんか～！			シーサイド・ランデヴー							
派手に遊んでいたのは、若旦那、あんたと、あんたの御新造さんじゃないか！まったくひどい話だよ！			派手に遊んでいたのは、若旦那、あんたと、あんたの御新造さんじゃないか！まったくひどい話だよ！			シーサイド・ランデヴー							
……おや、こちらの勇ましいお方は？			……おや、こちらの勇ましいお方は？			シーサイド・ランデヴー							
な、な、なーーーんと！貴方様が、あのご高名なエオルゼアの英雄様！ドマ・アラミゴの解放者殿ですか、こいつぁたまげた！！			な、な、なーーーんと！貴方様が、あのご高名なエオルゼアの英雄様！ドマ・アラミゴの解放者殿ですか、こいつぁたまげた！！			シーサイド・ランデヴー							
というわけで、何か……こう、皆をワクワクさせるような冒険譚はないものかな？ヒントだけでももらえると、私も創作意欲が湧くのだがねぇ。			というわけで、何か……こう、皆をワクワクさせるような冒険譚はないものかな？ヒントだけでももらえると、私も創作意欲が湧くのだがねぇ。			シーサイド・ランデヴー							
ほほう……地下に埋もれた古代ボズヤの王宮で………テンパード化された新生グンヒルドの剣たちと……真の力を解放した闘神セイブ・ザ・クイーンが…………。			ほほう……地下に埋もれた古代ボズヤの王宮で………テンパード化された新生グンヒルドの剣たちと……真の力を解放した闘神セイブ・ザ・クイーンが…………。			シーサイド・ランデヴー							
お！　劇作家の旦那！なにか思いつきやしたか！そういう眼をしてますぜ！！			お！　劇作家の旦那！なにか思いつきやしたか！そういう眼をしてますぜ！！			シーサイド・ランデヴー							
フラッシュアイデアだが、ネタが浮かんだよ。古代ボズヤの王宮……いや、大聖堂かな？最後の女王グンヒルドの末裔が立ち塞がり……。			フラッシュアイデアだが、ネタが浮かんだよ。古代ボズヤの王宮……いや、大聖堂かな？最後の女王グンヒルドの末裔が立ち塞がり……。			シーサイド・ランデヴー							
『汝は知るまいぞ、我が父祖の、我が祖先の怨みを。　木樽に染み込んだ葡萄酒の染みが如く、　大地に流された我が一族の血肉はこの時も脈打つ！』			『汝は知るまいぞ、我が父祖の、我が祖先の怨みを。　木樽に染み込んだ葡萄酒の染みが如く、　大地に流された我が一族の血肉はこの時も脈打つ！』			シーサイド・ランデヴー							
『さすれば、今こそ、この聖剣の御力を解放し、　我が身と引き換えに闘神を喚び降ろそうぞ。　汝はその奇跡をしかと心に刻み、ただ拝跪するのみ』			『さすれば、今こそ、この聖剣の御力を解放し、　我が身と引き換えに闘神を喚び降ろそうぞ。　汝はその奇跡をしかと心に刻み、ただ拝跪するのみ』			シーサイド・ランデヴー							
う～ん、まだまだ推敲が足りないねぇ。やはりその場にいないと真実から離れるというものだ。キミが経験し感じたモノにほど遠い気がするよ……。			う～ん、まだまだ推敲が足りないねぇ。やはりその場にいないと真実から離れるというものだ。キミが経験し感じたモノにほど遠い気がするよ……。			シーサイド・ランデヴー							
悪いがもう少し詳しく聞かせてもらえるかな。擬音ばかりでも構わないから、状況を克明に描写してくれると助かるよ……。			悪いがもう少し詳しく聞かせてもらえるかな。擬音ばかりでも構わないから、状況を克明に描写してくれると助かるよ……。			シーサイド・ランデヴー							
「グンヒルド・ディルーブラム零式」は、24～48人で、古代ボズヤの地下遺跡を攻略する、高難易度コンテンツです。			「グンヒルド・ディルーブラム零式」は、24～48人で、古代ボズヤの地下遺跡を攻略する、高難易度コンテンツです。			シーサイド・ランデヴー							
コンテンツに突入するためには、事前に24～48人のアライアンスを組んでいる必要があります。			コンテンツに突入するためには、事前に24～48人のアライアンスを組んでいる必要があります。			シーサイド・ランデヴー							
パーティ募集の「特殊フィールド探索」から、「グンヒルド・ディルーブラム零式」を選択することで、最大48人のアライアンスメンバーを募集することができます。			パーティ募集の「特殊フィールド探索」から、「グンヒルド・ディルーブラム零式」を選択することで、最大48人のアライアンスメンバーを募集することができます。			シーサイド・ランデヴー							
24～48人のアライアンスを組んだ状態で、アライアンスリーダーが、ガンゴッシュの「無地鼓座の若旦那」に話しかけることで、突入が可能です。			24～48人のアライアンスを組んだ状態で、アライアンスリーダーが、ガンゴッシュの「無地鼓座の若旦那」に話しかけることで、突入が可能です。			シーサイド・ランデヴー							
コンテンツの内部では、デバフステータス「蘇生制限」が付与され、一部の蘇生効果を受け付けない状態になります。			コンテンツの内部では、デバフステータス「蘇生制限」が付与され、一部の蘇生効果を受け付けない状態になります。			シーサイド・ランデヴー							
なお、リミットブレイクや、特定のロストアクションによる蘇生効果は、「蘇生制限」状態でも通常どおり効果を発揮します。			なお、リミットブレイクや、特定のロストアクションによる蘇生効果は、「蘇生制限」状態でも通常どおり効果を発揮します。			シーサイド・ランデヴー							
蘇生が制限された状態で、高難易度のボスや仕掛けに挑むことは、多くの困難と犠牲をともなうことでしょう。腕に自信がある方は、入念に準備を整え挑戦してみましょう！			蘇生が制限された状態で、高難易度のボスや仕掛けに挑むことは、多くの困難と犠牲をともなうことでしょう。腕に自信がある方は、入念に準備を整え挑戦してみましょう！			シーサイド・ランデヴー							
その他、コンテンツの詳細については、「無地鼓座の若旦那」から聞くことができます。突入前に必ず確認して、攻略の準備を進めましょう。			その他、コンテンツの詳細については、「無地鼓座の若旦那」から聞くことができます。突入前に必ず確認して、攻略の準備を進めましょう。			シーサイド・ランデヴー							
レヴナンツトールのスラフボーンは、冒険者に伝えたいことがあるようだ。			レヴナンツトールのスラフボーンは、冒険者に伝えたいことがあるようだ。			冒険者ギルドからの依頼							
*本クエストは調整されました。一度破棄し、レヴナンツトールの「スラフボーン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、レヴナンツトールの「スラフボーン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			冒険者ギルドからの依頼							
ギルドオーダー「汚染源モルボルを討て！」を無事、攻略することができた。レヴナンツトールにいる「スラフボーン」に報告しよう。			ギルドオーダー「汚染源モルボルを討て！」を無事、攻略することができた。レヴナンツトールにいる「スラフボーン」に報告しよう。			冒険者ギルドからの依頼							
スラフボーンに無事、報告することができた。冒険者の働きによって、スラフボーンの心配事は解決したようだ。今後とも、スラフボーンらとともにレヴナンツトールを盛りあげていこう。			スラフボーンに無事、報告することができた。冒険者の働きによって、スラフボーンの心配事は解決したようだ。今後とも、スラフボーンらとともにレヴナンツトールを盛りあげていこう。			冒険者ギルドからの依頼							
*本クエストは調整されました。一度破棄し、レヴナンツトールのスラフボーンから再受注してください			*本クエストは調整されました。一度破棄し、レヴナンツトールのスラフボーンから再受注してください			冒険者ギルドからの依頼							
お前か、良い知らせがあるぞ。冒険者ギルド本部が、お前の活躍に感謝の言葉を送ってきた。なんでも、ギルドの依頼を受ける冒険者が増えているそうだ。			お前か、良い知らせがあるぞ。冒険者ギルド本部が、お前の活躍に感謝の言葉を送ってきた。なんでも、ギルドの依頼を受ける冒険者が増えているそうだ。			冒険者ギルドからの依頼							
さて、もののついでだ。もうひと仕事、頼んでもいいだろうか。			さて、もののついでだ。もうひと仕事、頼んでもいいだろうか。			冒険者ギルドからの依頼							
仕事の内容は、先に同じくギルドオーダーだ。「汚染源モルボルを討て！」という依頼が出ているはず。これを達成してきてほしいのだ。			仕事の内容は、先に同じくギルドオーダーだ。「汚染源モルボルを討て！」という依頼が出ているはず。これを達成してきてほしいのだ。			冒険者ギルドからの依頼							
地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			冒険者ギルドからの依頼							
仕事の内容は、先に同じくギルドオーダーだ。「汚染源モルボルを討て！」という依頼が出ているはず。これを達成してきてほしいのだ。			仕事の内容は、先に同じくギルドオーダーだ。「汚染源モルボルを討て！」という依頼が出ているはず。これを達成してきてほしいのだ。			冒険者ギルドからの依頼							
地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			冒険者ギルドからの依頼							
戻ったか、冒険者。無事に達成できたようだな、感謝するぞ。			戻ったか、冒険者。無事に達成できたようだな、感謝するぞ。			冒険者ギルドからの依頼							
英雄であるお前が、地道な仕事も真摯にこなす様、思いのほか、胸に迫った者が多かったらしい。……そう、お前に続く者が次々に出ておるのだ！			英雄であるお前が、地道な仕事も真摯にこなす様、思いのほか、胸に迫った者が多かったらしい。……そう、お前に続く者が次々に出ておるのだ！			冒険者ギルドからの依頼							
これで、心配事もなくなったというもの。我らこの地に集う者、万全の体制にて「暁」を迎えよう。これからもよろしく頼むぞ、Surname！			これで、心配事もなくなったというもの。我らこの地に集う者、万全の体制にて「暁」を迎えよう。これからもよろしく頼むぞ、Surname！			冒険者ギルドからの依頼							
レヴナンツトールのスラフボーンは、冒険者に伝えたいことがあるようだ。			レヴナンツトールのスラフボーンは、冒険者に伝えたいことがあるようだ。			冒険者ギルドからの依頼							
