小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
ゲゲルジュと話した。ダルマスカワインを持ってくれば、「スド・ビアンニャ」を譲ってもらえるらしい。ワインポートの「シャマニ・ローマニ」と話そう。			ゲゲルジュと話した。ダルマスカワインを持ってくれば、「スド・ビアンニャ」を譲ってもらえるらしい。ワインポートの「シャマニ・ローマニ」と話そう。			薔薇とワイン							
シャマニ・ローマニと話した。国外に脱出したダルマスカ人なら、ダルマスカワインを持っているかもしれない。東ラノシアの切られた革紐亭で「ドレスト」と話そう。			シャマニ・ローマニと話した。国外に脱出したダルマスカ人なら、ダルマスカワインを持っているかもしれない。東ラノシアの切られた革紐亭で「ドレスト」と話そう。			薔薇とワイン							
ドレストと話した。彼は、耳鳴りに苦しんでいるようだ。切られた革紐亭の「ドレスト」にエモート「なだめる」をしよう。			ドレストと話した。彼は、耳鳴りに苦しんでいるようだ。切られた革紐亭の「ドレスト」にエモート「なだめる」をしよう。			薔薇とワイン							
ドレストにエモート「なだめる」をしたが、今度は落ち込んでしまったようだ。切られた革紐亭の「ドレスト」にエモート「なぐさめる」をしよう。			ドレストにエモート「なだめる」をしたが、今度は落ち込んでしまったようだ。切られた革紐亭の「ドレスト」にエモート「なぐさめる」をしよう。			薔薇とワイン							
ドレストにエモート「なぐさめる」をした。ワインボトルは棄ててしまったようだ。切られた革紐亭の裏手で「ダルマスカワインの空き瓶」を探そう。			ドレストにエモート「なぐさめる」をした。ワインボトルは棄ててしまったようだ。切られた革紐亭の裏手で「ダルマスカワインの空き瓶」を探そう。			薔薇とワイン							
ダルマスカワインの空き瓶を発見した。ワインポートの「シャマニ・ローマニ」に「ダルマスカワインの空き瓶」を渡そう。			ダルマスカワインの空き瓶を発見した。ワインポートの「シャマニ・ローマニ」に「ダルマスカワインの空き瓶」を渡そう。			薔薇とワイン							
シャマニ・ローマニにダルマスカワインの空き瓶を渡した。そこに、突如ハンコックが現れ、ボトルの中身を詰め替え去っていった。コスタ・デル・ソルの「ゲゲルジュ」に「ダルマスカワイン」を渡そう。			シャマニ・ローマニにダルマスカワインの空き瓶を渡した。そこに、突如ハンコックが現れ、ボトルの中身を詰め替え去っていった。コスタ・デル・ソルの「ゲゲルジュ」に「ダルマスカワイン」を渡そう。			薔薇とワイン							
ゲゲルジュにダルマスカワインを渡した。大喜びのゲゲルジュは、約束通り「スド・ビアンニャ」を1本譲ってくれた。劇場艇プリマビスタの大道具部屋に戻り、「異邦の劇作家」に「薔薇があしらわれたワイン」を渡そう。			ゲゲルジュにダルマスカワインを渡した。大喜びのゲゲルジュは、約束通り「スド・ビアンニャ」を1本譲ってくれた。劇場艇プリマビスタの大道具部屋に戻り、「異邦の劇作家」に「薔薇があしらわれたワイン」を渡そう。			薔薇とワイン							
異邦の劇作家に薔薇があしらわれたワインを渡した。ワインは、妻である妖艶な劇団員と出会った日を祝うためのものだったようだ。大道具部屋の「異邦の劇作家」と話そう。			異邦の劇作家に薔薇があしらわれたワインを渡した。ワインは、妻である妖艶な劇団員と出会った日を祝うためのものだったようだ。大道具部屋の「異邦の劇作家」と話そう。			薔薇とワイン							
異邦の劇作家から改めて感謝の言葉を伝えられた。			異邦の劇作家から改めて感謝の言葉を伝えられた。			薔薇とワイン							
ワインポートのシャマニ・ローマニと話す			ワインポートのシャマニ・ローマニと話す			薔薇とワイン							
ビルギレントと話す			ビルギレントと話す			薔薇とワイン							
ゲゲルジュと話す			ゲゲルジュと話す			薔薇とワイン							
シャマニ・ローマニと話す			シャマニ・ローマニと話す			薔薇とワイン							
ドレストと話す			ドレストと話す			薔薇とワイン							
ドレストにエモート「なだめる」をする			ドレストにエモート「なだめる」をする			薔薇とワイン							
ドレストにエモート「なぐさめる」をする			ドレストにエモート「なぐさめる」をする			薔薇とワイン							
ダルマスカワインの空き瓶を探す			ダルマスカワインの空き瓶を探す			薔薇とワイン							
シャマニ・ローマニにダルマスカワインの空き瓶を渡す			シャマニ・ローマニにダルマスカワインの空き瓶を渡す			薔薇とワイン							
ゲゲルジュにダルマスカワインを渡す			ゲゲルジュにダルマスカワインを渡す			薔薇とワイン							
大道具部屋にいる異邦の劇作家に薔薇があしらわれたワインを渡す			大道具部屋にいる異邦の劇作家に薔薇があしらわれたワインを渡す			薔薇とワイン							
異邦の劇作家と話す			異邦の劇作家と話す			薔薇とワイン							
リドルアナ大灯台とはいったいどんな所なんでしょう？……って、貴女貴方に聞いても仕方ありませんよね。			リドルアナ大灯台とはいったいどんな所なんでしょう？……って、貴女貴方に聞いても仕方ありませんよね。			薔薇とワイン							
やぁ、解放者くん、お暇かな？			やぁ、解放者くん、お暇かな？			薔薇とワイン							
私はこう見えてもワインが大好きでね。クガネで手に入るワインはひととおり飲んだのだが、エオルゼアにはさらに素晴らしいワインがあるという。			私はこう見えてもワインが大好きでね。クガネで手に入るワインはひととおり飲んだのだが、エオルゼアにはさらに素晴らしいワインがあるという。			薔薇とワイン							
聞けばきみは「おつかいのエキスパート」だとか。ひとつ、私の口に合うワインを1本調達してくれないかね。テーマは、そう……「薔薇」だ！　頼んだよ！			聞けばきみは「おつかいのエキスパート」だとか。ひとつ、私の口に合うワインを1本調達してくれないかね。テーマは、そう……「薔薇」だ！　頼んだよ！			薔薇とワイン							
風の便りで聞いたが、エオルゼアには盲目の天才醸造家がいるとか。名はたしか……シャマニ・ローマニだったかな。その人物に手助けを頼むのもいいかもしれんね。			風の便りで聞いたが、エオルゼアには盲目の天才醸造家がいるとか。名はたしか……シャマニ・ローマニだったかな。その人物に手助けを頼むのもいいかもしれんね。			薔薇とワイン							
風の便りで聞いたが、エオルゼアには盲目の天才醸造家がいるとか。名はたしか……シャマニ・ローマニだったかな。その人物に手助けを頼むのもいいかもしれんね。			風の便りで聞いたが、エオルゼアには盲目の天才醸造家がいるとか。名はたしか……シャマニ・ローマニだったかな。その人物に手助けを頼むのもいいかもしれんね。			薔薇とワイン							
おや、興味深い香りを纏っていますね。この香りは……この地ではない、そう、遠く……遙か遠くの……東方の香りでしょうか……東方からご帰還されたのですね。			おや、興味深い香りを纏っていますね。この香りは……この地ではない、そう、遠く……遙か遠くの……東方の香りでしょうか……東方からご帰還されたのですね。			薔薇とワイン							
薔薇の香りは、ほぼすべてのワインが持っているので、おそらく香りではなくもっと側面的な何かではないでしょうか。薔薇というと一般的には異性へのプレゼントですよね。			薔薇の香りは、ほぼすべてのワインが持っているので、おそらく香りではなくもっと側面的な何かではないでしょうか。薔薇というと一般的には異性へのプレゼントですよね。			薔薇とワイン							
そういえば、花をあしらったおしゃれなボトルがあるって、聞いたことありますよ。ビルギレントさんならご存じかも。			そういえば、花をあしらったおしゃれなボトルがあるって、聞いたことありますよ。ビルギレントさんならご存じかも。			薔薇とワイン							
花をあしらったおしゃれなボトルですか？ビルギレントさんならご存じかもしれませんね。			花をあしらったおしゃれなボトルですか？ビルギレントさんならご存じかもしれませんね。			薔薇とワイン							
花柄をあしらったボトルですって？瓶に直接、装飾を施すといえばこの地の高級ブランド、「スド・ビアンニャ」社のビンテージワインシリーズね。			花柄をあしらったボトルですって？瓶に直接、装飾を施すといえばこの地の高級ブランド、「スド・ビアンニャ」社のビンテージワインシリーズね。			薔薇とワイン							
あなたのような冒険者風情が飲んだところで、その味を理解できるものでしょうか、いや、できるはずもない！私にはそう断言できますとも。			あなたのような冒険者風情が飲んだところで、その味を理解できるものでしょうか、いや、できるはずもない！私にはそう断言できますとも。			薔薇とワイン							
え？　そのボトルが欲しい？？笑止千万、庶民が簡単に買える値段のわけないでしょう！仕事の邪魔ですよ、さっさと出て行きなさい！			え？　そのボトルが欲しい？？笑止千万、庶民が簡単に買える値段のわけないでしょう！仕事の邪魔ですよ、さっさと出て行きなさい！			薔薇とワイン							
「スド・ビアンニャ」のボトルって、案外、しつこいですね！何度、言われてもお譲りすることはできないったらできませんよ！そんなに欲しければ、他の人をあたったらいかがです？			「スド・ビアンニャ」のボトルって、案外、しつこいですね！何度、言われてもお譲りすることはできないったらできませんよ！そんなに欲しければ、他の人をあたったらいかがです？			薔薇とワイン							
他の人は誰かって？それはそれなりのお金……資産をお持ちの方でないとね。たとえば……そうゲゲルジュさんのようなお方？			他の人は誰かって？それはそれなりのお金……資産をお持ちの方でないとね。たとえば……そうゲゲルジュさんのようなお方？			薔薇とワイン							
「スド・ビアンニャ」のボトルって、案外、しつこいですね！何度、言われてもお譲りすることはできないったらできませんよ！そんなに欲しければ、他の人をあたったらいかがです？			「スド・ビアンニャ」のボトルって、案外、しつこいですね！何度、言われてもお譲りすることはできないったらできませんよ！そんなに欲しければ、他の人をあたったらいかがです？			薔薇とワイン							
他の人は誰かって？それはそれなりのお金……資産をお持ちの方でないとね。たとえば……そうゲゲルジュさんのようなお方？			他の人は誰かって？それはそれなりのお金……資産をお持ちの方でないとね。たとえば……そうゲゲルジュさんのようなお方？			薔薇とワイン							
「スド・ビアンニャ」？冒険者殿、いつからワイン通になったのじゃ？自慢ではないが、もちろん持っておるぞ。			「スド・ビアンニャ」？冒険者殿、いつからワイン通になったのじゃ？自慢ではないが、もちろん持っておるぞ。			薔薇とワイン							
譲ってほしい？　バカを申すな。それ1本でミスト・ヴィレッジのLハウスを1軒、楽々買える値段なのじゃぞ～。			譲ってほしい？　バカを申すな。それ1本でミスト・ヴィレッジのLハウスを1軒、楽々買える値段なのじゃぞ～。			薔薇とワイン							
まぁ、それに匹敵するほど価値のある別のワインを持ってくるなら、コレクションの中から1本ぐらい譲ってもよいかの～。そうじゃのぉ、幻のダルマスカワインはどうじゃ？			まぁ、それに匹敵するほど価値のある別のワインを持ってくるなら、コレクションの中から1本ぐらい譲ってもよいかの～。そうじゃのぉ、幻のダルマスカワインはどうじゃ？			薔薇とワイン							
冒険者殿はダルマスカワインをご存じない？ふぉっふぉっふぉっ……これは失礼。ワインポートで勉強し直すのがよいのではないかの～。			冒険者殿はダルマスカワインをご存じない？ふぉっふぉっふぉっ……これは失礼。ワインポートで勉強し直すのがよいのではないかの～。			薔薇とワイン							
冒険者殿はダルマスカワインをご存じない？ふぉっふぉっふぉっ……これは失礼。ワインポートで勉強し直すのがよいのではないかの～。			冒険者殿はダルマスカワインをご存じない？ふぉっふぉっふぉっ……これは失礼。ワインポートで勉強し直すのがよいのではないかの～。			薔薇とワイン							
ダルマスカワインですって？それはまた無理難題をふっかけられましたね……。			ダルマスカワインですって？それはまた無理難題をふっかけられましたね……。			薔薇とワイン							
ダルマスカワインを生産していたワイナリーはほぼすべて、帝国軍との戦渦に巻き込まれて焼失したと聞いています。			ダルマスカワインを生産していたワイナリーはほぼすべて、帝国軍との戦渦に巻き込まれて焼失したと聞いています。			薔薇とワイン							
現在、流通しているものがあるとすれば、戦乱以前に出荷されたものだけですので、少なくともこの30年、市場には出回っていませんよ。			現在、流通しているものがあるとすれば、戦乱以前に出荷されたものだけですので、少なくともこの30年、市場には出回っていませんよ。			薔薇とワイン							
コレクターは絶対に手放さないでしょうね。あとは国外に脱出したダルマスカ人がひょっとしたら……。			コレクターは絶対に手放さないでしょうね。あとは国外に脱出したダルマスカ人がひょっとしたら……。			薔薇とワイン							
ダルマスカ人といえばドレストさんが脱走兵でしたね。彼に聞いてみるのはいかがでしょう？			ダルマスカ人といえばドレストさんが脱走兵でしたね。彼に聞いてみるのはいかがでしょう？			薔薇とワイン							
……うう……羽虫だ……羽虫の音が聞こえる……。すぐ近くだ…………耳の中で…………耳の奥から……羽虫が…………悲鳴が…………あ……ああ……。			……うう……羽虫だ……羽虫の音が聞こえる……。すぐ近くだ…………耳の中で…………耳の奥から……羽虫が…………悲鳴が…………あ……ああ……。			薔薇とワイン							
やめろ、やめてくれ…………オレは何もできなかった…………皆が目の前で…………羽虫が……羽虫が……うあぁぁぁ、止めてくれ…………。			やめろ、やめてくれ…………オレは何もできなかった…………皆が目の前で…………羽虫が……羽虫が……うあぁぁぁ、止めてくれ…………。			薔薇とワイン							
耳鳴りに苦しんでいるようだ……。エモート「なだめる」をしてあげよう。			耳鳴りに苦しんでいるようだ……。エモート「なだめる」をしてあげよう。			薔薇とワイン							
あんたはたしか……そうだ以前も羽虫を追い払ってくれた……。え……ダルマスカワイン？　オレの故郷のワインのことか……？う……うう……故郷へ帰りたい、帰りたいよ……。			あんたはたしか……そうだ以前も羽虫を追い払ってくれた……。え……ダルマスカワイン？　オレの故郷のワインのことか……？う……うう……故郷へ帰りたい、帰りたいよ……。			薔薇とワイン							
もう、こんなところは嫌だ……嫌なんだ……。皆が待つ故郷へ……ダルマスカへ戻りたい…………。			もう、こんなところは嫌だ……嫌なんだ……。皆が待つ故郷へ……ダルマスカへ戻りたい…………。			薔薇とワイン							
故郷を思い出し、落ち込んでしまったようだ……。エモート「なぐさめる」をしてあげよう。			故郷を思い出し、落ち込んでしまったようだ……。エモート「なぐさめる」をしてあげよう。			薔薇とワイン							
脱出するときに……何本か……持ってきたな、そういえば……。そんなモン……とっくの昔に……飲み干しちまったぜ……。ボトル？　ボトルなら裏に……棄てたっけかな……。			脱出するときに……何本か……持ってきたな、そういえば……。そんなモン……とっくの昔に……飲み干しちまったぜ……。ボトル？　ボトルなら裏に……棄てたっけかな……。			薔薇とワイン							
脱出するときに……何本か……持ってきたな、そういえば……。そんなモン……とっくの昔に……飲み干しちまったぜ……。ボトル？　ボトルなら裏に……棄てたっけかな……。			脱出するときに……何本か……持ってきたな、そういえば……。そんなモン……とっくの昔に……飲み干しちまったぜ……。ボトル？　ボトルなら裏に……棄てたっけかな……。			薔薇とワイン							
「ダルマスカワインの空き瓶」を発見した……。シャマニ・ローマニに確認してもらおう。			「ダルマスカワインの空き瓶」を発見した……。シャマニ・ローマニに確認してもらおう。			薔薇とワイン							
何か手がかりを見つけることはできましたか？			何か手がかりを見つけることはできましたか？			薔薇とワイン							
見てください。ワインは一滴も残っていませんが、幸いなことにコルク栓がされたままとなっています。			見てください。ワインは一滴も残っていませんが、幸いなことにコルク栓がされたままとなっています。			薔薇とワイン							
飲み干した後にわざわざコルク栓を戻したのか、それとも、少し残ったワインを保管するために栓をしたものの、蒸発してしまったのか……ただそのおかげで……。			飲み干した後にわざわざコルク栓を戻したのか、それとも、少し残ったワインを保管するために栓をしたものの、蒸発してしまったのか……ただそのおかげで……。			薔薇とワイン							
おお……おお……この香り……わずかなカカオとシナモン、そして……ローズマリー、なんと芳醇な……万華鏡のような艶やかさを感じる……。			おお……おお……この香り……わずかなカカオとシナモン、そして……ローズマリー、なんと芳醇な……万華鏡のような艶やかさを感じる……。			薔薇とワイン							
間違いない、これはダルマスカワイン名産地として名高い、レアモンデの高級赤ワイン「ウァーレンス」！！かつて一度だけ味わったことがあります！			間違いない、これはダルマスカワイン名産地として名高い、レアモンデの高級赤ワイン「ウァーレンス」！！かつて一度だけ味わったことがあります！			薔薇とワイン							
……とはいえ、この空のボトルだけでは駄目ですよね。ゲゲルジュさんの宿題をクリアすることにはならないし。			……とはいえ、この空のボトルだけでは駄目ですよね。ゲゲルジュさんの宿題をクリアすることにはならないし。			薔薇とワイン							
それにしてもこのボトルから漂う香りは素晴らしいですよ。彼の地のワインを詰めたら、少しはダルマスカ風味になったりしませんかね……な～んて、あはははは。			それにしてもこのボトルから漂う香りは素晴らしいですよ。彼の地のワインを詰めたら、少しはダルマスカ風味になったりしませんかね……な～んて、あはははは。			薔薇とワイン							
良いアイデアではございませんか！			良いアイデアではございませんか！			薔薇とワイン							
ゲゲルジュ氏は大の美食家デスが、実のところ、舌が鋭いわけではございません。			ゲゲルジュ氏は大の美食家デスが、実のところ、舌が鋭いわけではございません。			薔薇とワイン							
それに氏のことデスから、手に入れたダルマスカワインを、すぐに呑んだりすることはないはず。友人知人に自慢するだけのことでございましょう。			それに氏のことデスから、手に入れたダルマスカワインを、すぐに呑んだりすることはないはず。友人知人に自慢するだけのことでございましょう。			薔薇とワイン							
エオルゼアワインの買い付けに訪れたのデスが、東方で生産されたワインをこの地でも販売しようと、何本か持ってきたのでございます。			エオルゼアワインの買い付けに訪れたのデスが、東方で生産されたワインをこの地でも販売しようと、何本か持ってきたのでございます。			薔薇とワイン							
どうせ詰め替えるなら東方のワインの方が、幻のダルマスカワインにより近いのではございませんか？			どうせ詰め替えるなら東方のワインの方が、幻のダルマスカワインにより近いのではございませんか？			薔薇とワイン							
な、何を言ってるんですか！そんな詐欺みたいなこと……い、いや、詐欺そのものですよ！生産者のひとりとして断じて認めることはできませんよ！！			な、何を言ってるんですか！そんな詐欺みたいなこと……い、いや、詐欺そのものですよ！生産者のひとりとして断じて認めることはできませんよ！！			薔薇とワイン							
そんな堅いことをおっしゃいマスナ。ゲゲルジュ氏とて商売という名目で悪どいことをしてきたはず。欺き欺かれることはビジネスの常でございマスヨ。			そんな堅いことをおっしゃいマスナ。ゲゲルジュ氏とて商売という名目で悪どいことをしてきたはず。欺き欺かれることはビジネスの常でございマスヨ。			薔薇とワイン							
さぁ、そうと決まればちゃっちゃと詰め替えちゃいましょう！			さぁ、そうと決まればちゃっちゃと詰め替えちゃいましょう！			薔薇とワイン							
ちょ、ちょっと、待ってくださいよ！			ちょ、ちょっと、待ってくださいよ！			薔薇とワイン							
さぁ、ドウゾ。この香り、ラベルや瓶の劣化具合、どこをとっても紛うかたなきダルマスカワインでございます！			さぁ、ドウゾ。この香り、ラベルや瓶の劣化具合、どこをとっても紛うかたなきダルマスカワインでございます！			薔薇とワイン							
それではエオルゼアワインの買い付けに戻るとしましょうか。ごきげんよう、Forenameさん！			それではエオルゼアワインの買い付けに戻るとしましょうか。ごきげんよう、Forenameさん！			薔薇とワイン							
私としてはお勧めしかねますが、そのボトルをゲゲルジュ氏へ持って行くかどうかは、どうかご自身で判断なさってください。			私としてはお勧めしかねますが、そのボトルをゲゲルジュ氏へ持って行くかどうかは、どうかご自身で判断なさってください。			薔薇とワイン							
なんとまぁ、幻のダルマスカワインを発見したですと！？どれどれ、お貸しくだされ！			なんとまぁ、幻のダルマスカワインを発見したですと！？どれどれ、お貸しくだされ！			薔薇とワイン							
おお……おお……この香り……わずかな…………と……………そして……なんと芳醇な……贅沢な……すご～い香りがするぞ！			おお……おお……この香り……わずかな…………と……………そして……なんと芳醇な……贅沢な……すご～い香りがするぞ！			薔薇とワイン							
間違いない！これこそ30年前に失われたとされる幻のダルマスカワインじゃ！！でかした、冒険者殿よ！！			間違いない！これこそ30年前に失われたとされる幻のダルマスカワインじゃ！！でかした、冒険者殿よ！！			薔薇とワイン							
よろしい、約束は約束じゃ！冒険者殿に「スド・ビアンニャ」を1本お分け進ぜよう！ほれ、カワイコちゃんたち、持ってきなさ～～い！			よろしい、約束は約束じゃ！冒険者殿に「スド・ビアンニャ」を1本お分け進ぜよう！ほれ、カワイコちゃんたち、持ってきなさ～～い！			薔薇とワイン							
どれでも好きなものを1本、持って行くがよろしい！			どれでも好きなものを1本、持って行くがよろしい！			薔薇とワイン							
他にも何か御用かな、冒険者殿？用がないのであれば、お帰りくだされ。わしは早速このワインをオークションに……いや、愛でようかの～。			他にも何か御用かな、冒険者殿？用がないのであれば、お帰りくだされ。わしは早速このワインをオークションに……いや、愛でようかの～。			薔薇とワイン							
やぁ、解放者くん、おかえり。さて、薔薇をテーマにしたワインを手に入れることはできたかな？			やぁ、解放者くん、おかえり。さて、薔薇をテーマにしたワインを手に入れることはできたかな？			薔薇とワイン							
素晴らしい、見事だ！テーマを消化しただけでなく、サプライズを上乗せするとは。「おつかいのエキスパート」の異名は伊達じゃないね！			素晴らしい、見事だ！テーマを消化しただけでなく、サプライズを上乗せするとは。「おつかいのエキスパート」の異名は伊達じゃないね！			薔薇とワイン							
妻は薔薇とワインをこよなく愛する女性でね。今日は彼女と出会った記念日なんだよ。また、ふたりでワインを飲みたかったなぁ………。			妻は薔薇とワインをこよなく愛する女性でね。今日は彼女と出会った記念日なんだよ。また、ふたりでワインを飲みたかったなぁ………。			薔薇とワイン							
な～んてね、ジョークだよ、ジョーク！お約束ですよ、お約束！			な～んてね、ジョークだよ、ジョーク！お約束ですよ、お約束！			薔薇とワイン							
さぁ、ハニー、こっちへおいで。今日はふたりが出会ってから12回目の記念日だよ！			さぁ、ハニー、こっちへおいで。今日はふたりが出会ってから12回目の記念日だよ！			薔薇とワイン							
あ～ら、ダーリン、なんて素敵なワインなの！さっそく頂戴しようかしら。でも肝心のアレがないわ！			あ～ら、ダーリン、なんて素敵なワインなの！さっそく頂戴しようかしら。でも肝心のアレがないわ！			薔薇とワイン							
わかってるさ、アレだね、アレ。もう準備はできてるんだ、チョット待ってね～！			わかってるさ、アレだね、アレ。もう準備はできてるんだ、チョット待ってね～！			薔薇とワイン							
さぁ、どうぞ、きみの好物の「ベーコンエピ」！ワインに実に合うツマミだねぇ！			さぁ、どうぞ、きみの好物の「ベーコンエピ」！ワインに実に合うツマミだねぇ！			薔薇とワイン							
ウチ、最高だっちゃ！			ウチ、最高だっちゃ！			薔薇とワイン							
きみのおかげで実に有意義なひとときを過ごすことができたよ。感謝しよう、解放者くん。			きみのおかげで実に有意義なひとときを過ごすことができたよ。感謝しよう、解放者くん。			薔薇とワイン							
クガネ・ランディングのモンブランは、取引の件をみなに報告したいようだ。			クガネ・ランディングのモンブランは、取引の件をみなに報告したいようだ。			ゴルモア大密林の古代遺跡							
モンブランは、劇場艇に戻っていった。大道具部屋の「ラムザ・レクセンテール」と話そう。			モンブランは、劇場艇に戻っていった。大道具部屋の「ラムザ・レクセンテール」と話そう。			ゴルモア大密林の古代遺跡							
ハンコックから、援助の件について連絡がきた。大道具部屋の「リナ・ミュリラー」と話そう。			ハンコックから、援助の件について連絡がきた。大道具部屋の「リナ・ミュリラー」と話そう。			ゴルモア大密林の古代遺跡							
リナは、さっそくウルダハ商館へ向かいたいようだ。クガネ・ランディングの「ブワジ」と話そう。			リナは、さっそくウルダハ商館へ向かいたいようだ。クガネ・ランディングの「ブワジ」と話そう。			ゴルモア大密林の古代遺跡							
ブワジと話した。クガネのウルダハ商館付近で「リナ・ミュリラー」と話そう。			ブワジと話した。クガネのウルダハ商館付近で「リナ・ミュリラー」と話そう。			ゴルモア大密林の古代遺跡							
フランは、申し出が断られることを予想していたようだった。劇場艇プリマビスタの大道具部屋に戻り、ジェノミス・レクセンテールに結果を報告しよう。			フランは、申し出が断られることを予想していたようだった。劇場艇プリマビスタの大道具部屋に戻り、ジェノミス・レクセンテールに結果を報告しよう。			ゴルモア大密林の古代遺跡							
アルマが聖石オティスに支配され、何処かへと連れ去られていってしまった。フランからもたらされた情報をもとに、一刻もはやくゴルモア大密林へと向かわねばならない。大道具部屋の「ラムザ・レクセンテール」と話そう。			アルマが聖石オティスに支配され、何処かへと連れ去られていってしまった。フランからもたらされた情報をもとに、一刻もはやくゴルモア大密林へと向かわねばならない。大道具部屋の「ラムザ・レクセンテール」と話そう。			ゴルモア大密林の古代遺跡							
ミコトが設計した魔道具により、アルマを救い出すことには成功したものの、今度はラムザが連れ去られてしまった。大道具部屋の「ジェノミス・レクセンテール」と話そう。			ミコトが設計した魔道具により、アルマを救い出すことには成功したものの、今度はラムザが連れ去られてしまった。大道具部屋の「ジェノミス・レクセンテール」と話そう。			ゴルモア大密林の古代遺跡							
ジェノミスも、ショックを隠せないようだ。ラムザを救い出す手立てを考えねばならない。			ジェノミスも、ショックを隠せないようだ。ラムザを救い出す手立てを考えねばならない。			ゴルモア大密林の古代遺跡							
大道具部屋のラムザと話す			大道具部屋のラムザと話す			ゴルモア大密林の古代遺跡							
リナ・ミュリラーと話す			リナ・ミュリラーと話す			ゴルモア大密林の古代遺跡							
クガネ・ランディングのブワジと話す			クガネ・ランディングのブワジと話す			ゴルモア大密林の古代遺跡							
ウルダハ商館付近のリナ・ミュリラーと話す			ウルダハ商館付近のリナ・ミュリラーと話す			ゴルモア大密林の古代遺跡							
大道具部屋に向かう			大道具部屋に向かう			ゴルモア大密林の古代遺跡							
ラムザ・レクセンテールと話す			ラムザ・レクセンテールと話す			ゴルモア大密林の古代遺跡							
ジェノミス・レクセンテールと話す			ジェノミス・レクセンテールと話す			ゴルモア大密林の古代遺跡							
姐さん、きっついお方だが、気を悪くしないでクレ！レジスタンスを立て直そうと必死なのサ……。マァ、とにかくオレたちはここで待ってるヨ。			姐さん、きっついお方だが、気を悪くしないでクレ！レジスタンスを立て直そうと必死なのサ……。マァ、とにかくオレたちはここで待ってるヨ。			ゴルモア大密林の古代遺跡							
オレたちゃ、バッガモナン兄貴のこと……もう気にしてないからサ……アンタももう忘れてクレヨ……。兄貴は心の闇に飲み込まれちマッタが、その想いはオレが……。			オレたちゃ、バッガモナン兄貴のこと……もう気にしてないからサ……アンタももう忘れてクレヨ……。兄貴は心の闇に飲み込まれちマッタが、その想いはオレが……。			ゴルモア大密林の古代遺跡							
姐さん、ああ見えても案外優しいお方なんだヨ。仲間思いだし、気配りもうまい……。もちろん、戦士としての腕は一流だけどネ。			姐さん、ああ見えても案外優しいお方なんだヨ。仲間思いだし、気配りもうまい……。もちろん、戦士としての腕は一流だけどネ。			ゴルモア大密林の古代遺跡							
とりあえず、一旦、劇場艇へ戻って報告するクポ～～！			とりあえず、一旦、劇場艇へ戻って報告するクポ～～！			ゴルモア大密林の古代遺跡							
なるほど……。ですが、その申し出はボクらでは如何ともし難く……。			なるほど……。ですが、その申し出はボクらでは如何ともし難く……。			ゴルモア大密林の古代遺跡							
ゴルモア大密林に暮らすヴィエラは「森の民」と呼ばれており、旧ダルマスカ王国の支配下であってもその法から除外された、いわば独自の自治権を有した者たちだという。			ゴルモア大密林に暮らすヴィエラは「森の民」と呼ばれており、旧ダルマスカ王国の支配下であってもその法から除外された、いわば独自の自治権を有した者たちだという。			ゴルモア大密林の古代遺跡							
ジャングルに点在する集落ごとに定められた厳格な掟を守り、大半のヴィエラは森から出ることなく一生を終えるとか。			ジャングルに点在する集落ごとに定められた厳格な掟を守り、大半のヴィエラは森から出ることなく一生を終えるとか。			ゴルモア大密林の古代遺跡							
集落、すなわち部族ごとに掟の細部は異なるがその根幹は一緒。「外界との接触を断つ」「森の護人(もりびと)として生きる」、このふたつのルールをどの部族も守っているというわけだ。			集落、すなわち部族ごとに掟の細部は異なるがその根幹は一緒。「外界との接触を断つ」「森の護人(もりびと)として生きる」、このふたつのルールをどの部族も守っているというわけだ。			ゴルモア大密林の古代遺跡							
もっとも、そうした掟に縛られることなく、集落を捨て、王国民として暮らすヴィエラもこの百年でかなり増えたと聞く。フランと名乗る女性もそうした者のひとりだろうね。			もっとも、そうした掟に縛られることなく、集落を捨て、王国民として暮らすヴィエラもこの百年でかなり増えたと聞く。フランと名乗る女性もそうした者のひとりだろうね。			ゴルモア大密林の古代遺跡							
フランさんは「オーボンヌ修道院」がどの遺跡なのか、知っているみたいクポ！なにがなんでもフランさんの協力を得たいクポ！！			フランさんは「オーボンヌ修道院」がどの遺跡なのか、知っているみたいクポ！なにがなんでもフランさんの協力を得たいクポ！！			ゴルモア大密林の古代遺跡							
いずれにしても、難しいミッションね。ま、冒険者さんは腕力だけじゃなくて、人徳もあるから、きっとうまくいきますよ！　ね！			いずれにしても、難しいミッションね。ま、冒険者さんは腕力だけじゃなくて、人徳もあるから、きっとうまくいきますよ！　ね！			ゴルモア大密林の古代遺跡							
(-ハンコック-)最終結論ではありませんが、ご依頼の件に対する一定の回答を用意致しまシタ！			(-ハンコック-)最終結論ではありませんが、ご依頼の件に対する一定の回答を用意致しまシタ！			ゴルモア大密林の古代遺跡							
(-ハンコック-)お手数デスが、クガネのウルダハ商館へおいでください！皆さん、至急、こちらへ向かってくれるとのことデス！			(-ハンコック-)お手数デスが、クガネのウルダハ商館へおいでください！皆さん、至急、こちらへ向かってくれるとのことデス！			ゴルモア大密林の古代遺跡							
