ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			アポサカリーの調達役							
言いたいことはいろいろとありますが……せっかく採ってきてくださったんです、商品は商品として、ありがたく頂戴しましょう。			言いたいことはいろいろとありますが……せっかく採ってきてくださったんです、商品は商品として、ありがたく頂戴しましょう。			大きな巡りと、小さな人と							
おやまあ……。ウヴロから渡された分も相当なものでしたが、こちらもまた、珍しい品ですねぇ。			おやまあ……。ウヴロから渡された分も相当なものでしたが、こちらもまた、珍しい品ですねぇ。			大きな巡りと、小さな人と							
あなたたちだから調達できたようなもので、普通はおいそれと採ってこられるものじゃありませんよ。まったく……。			あなたたちだから調達できたようなもので、普通はおいそれと採ってこられるものじゃありませんよ。まったく……。			大きな巡りと、小さな人と							
いいですか、ウヴロ。ワポタも言っていたと思いますが、シャトナ族の子どもは、自立するまで母親と暮らします。			いいですか、ウヴロ。ワポタも言っていたと思いますが、シャトナ族の子どもは、自立するまで母親と暮らします。			大きな巡りと、小さな人と							
必然、生きるのに必要な知識や技術は母から習うことになる。あなたのところのような、男性同士の師弟関係や上下関係はないんです。			必然、生きるのに必要な知識や技術は母から習うことになる。あなたのところのような、男性同士の師弟関係や上下関係はないんです。			大きな巡りと、小さな人と							
敬意を払ってもらえるのはありがたいですが、今さらですし、面倒なので、これまでどおりにしてください。			敬意を払ってもらえるのはありがたいですが、今さらですし、面倒なので、これまでどおりにしてください。			大きな巡りと、小さな人と							
しかし……それでは…………			しかし……それでは…………			大きな巡りと、小さな人と							
…………承知した。			…………承知した。			大きな巡りと、小さな人と							
なら、これでこの話はおしまいです。商いに戻るとしましょうか。			なら、これでこの話はおしまいです。商いに戻るとしましょうか。			大きな巡りと、小さな人と							
いや……態度を改める必要がなかったとしても、お前の過去について詮索してしまったことには違いない。			いや……態度を改める必要がなかったとしても、お前の過去について詮索してしまったことには違いない。			大きな巡りと、小さな人と							
無神経な真似をして、すまなかった。			無神経な真似をして、すまなかった。			大きな巡りと、小さな人と							
別に……隠していたわけでもありませんしねぇ……。			別に……隠していたわけでもありませんしねぇ……。			大きな巡りと、小さな人と							
50年前、確かに私は家族を喪い、旅をやめた。			50年前、確かに私は家族を喪い、旅をやめた。			大きな巡りと、小さな人と							
シャトナ族にとって、死は穢れたものじゃない……大きな巡り、自然の一環です。どこかで受け入れて、新たな家族を探しに行くべきだった。			シャトナ族にとって、死は穢れたものじゃない……大きな巡り、自然の一環です。どこかで受け入れて、新たな家族を探しに行くべきだった。			大きな巡りと、小さな人と							
それでも……私は……家族がなぜ死んだのかもわからないまま、はいそうですかと過去にはできなかったんですよ。			それでも……私は……家族がなぜ死んだのかもわからないまま、はいそうですかと過去にはできなかったんですよ。			大きな巡りと、小さな人と							
本当に原因がわからないのか……？集落がひとつ壊滅したほどの、大事件なのに……。			本当に原因がわからないのか……？集落がひとつ壊滅したほどの、大事件なのに……。			大きな巡りと、小さな人と							
集落といっても、住居は片手で数えられるほど。最寄りの村に行くにも山をふたつ越えるような、辺境の地でしたから……。			集落といっても、住居は片手で数えられるほど。最寄りの村に行くにも山をふたつ越えるような、辺境の地でしたから……。			大きな巡りと、小さな人と							
そこで何が起きたのか、目撃した者はいなかった。大地まで抉れるほどの破壊ぶりは、およそ賊の仕業と思えず、トラルヴィドラールが出たんじゃないかと言われました。			そこで何が起きたのか、目撃した者はいなかった。大地まで抉れるほどの破壊ぶりは、およそ賊の仕業と思えず、トラルヴィドラールが出たんじゃないかと言われました。			大きな巡りと、小さな人と							
ですが、私は最寄りの村で聞いたんです。			ですが、私は最寄りの村で聞いたんです。			大きな巡りと、小さな人と							
事が発覚する数日前に、昼間でもはっきりわかるほど眩い、一条の光が空を流れていったと。			事が発覚する数日前に、昼間でもはっきりわかるほど眩い、一条の光が空を流れていったと。			大きな巡りと、小さな人と							
それは山間に消え、直後、地が震える音がした。山も樹々もざわめき、風に乗って粉塵がやってきた……と。			それは山間に消え、直後、地が震える音がした。山も樹々もざわめき、風に乗って粉塵がやってきた……と。			大きな巡りと、小さな人と							
何と言う？			何と言う？			大きな巡りと、小さな人と							
……もしかして、隕石？			……もしかして、隕石？			大きな巡りと、小さな人と							
星を降らせる魔法があるが……			星を降らせる魔法があるが……			大きな巡りと、小さな人と							
はい、私もそう考えています。集落を破壊したのは……落下した隕石かもしれない、と。			はい、私もそう考えています。集落を破壊したのは……落下した隕石かもしれない、と。			大きな巡りと、小さな人と							
そういった可能性についても調べはしました。ですが宮廷賢士や、外つ国帰りの傭兵でも、魔法ではそれほどの被害を及ぼせないだろうと見立てたんです。			そういった可能性についても調べはしました。ですが宮廷賢士や、外つ国帰りの傭兵でも、魔法ではそれほどの被害を及ぼせないだろうと見立てたんです。			大きな巡りと、小さな人と							
だから、私は考えました。集落を破壊したのは……落下した隕石かもしれない、と。			だから、私は考えました。集落を破壊したのは……落下した隕石かもしれない、と。			大きな巡りと、小さな人と							
とはいえ、それもまた憶測にすぎません。			とはいえ、それもまた憶測にすぎません。			大きな巡りと、小さな人と							
断定できるだけの証拠が、あるようで、ないんです。			断定できるだけの証拠が、あるようで、ないんです。			大きな巡りと、小さな人と							
……少しお待ちを。			……少しお待ちを。			大きな巡りと、小さな人と							
これは……？			これは……？			大きな巡りと、小さな人と							
集落があった場所に落ちていたものです。点々と……まるで花弁をまき散らすように……。			集落があった場所に落ちていたものです。点々と……まるで花弁をまき散らすように……。			大きな巡りと、小さな人と							
だから私は、「蒼碧の花弁」と呼んでいます。			だから私は、「蒼碧の花弁」と呼んでいます。			大きな巡りと、小さな人と							
長年この商いを続けてきた結果、これがどういうものなのか、ある程度は推測ができている……。			長年この商いを続けてきた結果、これがどういうものなのか、ある程度は推測ができている……。			大きな巡りと、小さな人と							
集落が本当に隕石によって破壊されたのだとすれば、この「花弁」の存在こそが、証拠となるはずなんです。			集落が本当に隕石によって破壊されたのだとすれば、この「花弁」の存在こそが、証拠となるはずなんです。			大きな巡りと、小さな人と							
……と考えているものの、これが推測どおりの物質なのか、いまだに裏付けが取れていません。			……と考えているものの、これが推測どおりの物質なのか、いまだに裏付けが取れていません。			大きな巡りと、小さな人と							
なんでもいいから答えがほしいと思って、こじつけようとしているだけかもしれませんねぇ。			なんでもいいから答えがほしいと思って、こじつけようとしているだけかもしれませんねぇ。			大きな巡りと、小さな人と							
本当に……救いがたい…………。			本当に……救いがたい…………。			大きな巡りと、小さな人と							
「園芸師／採掘師」のいずれかがレベル98以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			「園芸師／採掘師」のいずれかがレベル98以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			大きな巡りと、小さな人と							
ワチュメキメキ万貨街のシューニェは、どこか困惑した様子だ。			ワチュメキメキ万貨街のシューニェは、どこか困惑した様子だ。			積み重なる時間							
ウヴロに押し負けたシューニェから、地層の採集を依頼された。「深地層の断片」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「深地層の断片」は、採掘師の場合ヤクテル樹海のイクブラーシャ付近で、園芸師の場合ヤクテル樹海のイヨンアソの家々付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			ウヴロに押し負けたシューニェから、地層の採集を依頼された。「深地層の断片」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「深地層の断片」は、採掘師の場合ヤクテル樹海のイクブラーシャ付近で、園芸師の場合ヤクテル樹海のイヨンアソの家々付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			積み重なる時間							
シューニェに深地層の断片を渡した。そこから「花弁」と似た色味の粒が見つかったものの、小さすぎて同じものだと断定するには至らなかった。ウヴロと冒険者に背中を押されたシューニェは、ほかに手がないか考えてみるそうだ。改めて話を聞きにこよう。			シューニェに深地層の断片を渡した。そこから「花弁」と似た色味の粒が見つかったものの、小さすぎて同じものだと断定するには至らなかった。ウヴロと冒険者に背中を押されたシューニェは、ほかに手がないか考えてみるそうだ。改めて話を聞きにこよう。			積み重なる時間							
イクブラーシャ付近で採集した深地層の断片をシューニェに納品イヨンアソの家々付近で採集した深地層の断片をシューニェに納品採掘師または園芸師になり深地層の断片をシューニェに納品			イクブラーシャ付近で採集した深地層の断片をシューニェに納品イヨンアソの家々付近で採集した深地層の断片をシューニェに納品採掘師または園芸師になり深地層の断片をシューニェに納品			積み重なる時間							
……俺は従業員として、やるべき仕事をこなす。今はただ、それだけだ。			……俺は従業員として、やるべき仕事をこなす。今はただ、それだけだ。			積み重なる時間							
いらっしゃい、Forename。いつも気にかけてくださって、ありがとうございます。			いらっしゃい、Forename。いつも気にかけてくださって、ありがとうございます。			積み重なる時間							
……前回の、ワポタとの一件について覚えていますか？あれから、ウヴロの様子がちょっとおかしくて。			……前回の、ワポタとの一件について覚えていますか？あれから、ウヴロの様子がちょっとおかしくて。			積み重なる時間							
気にする必要はないと言ったはずなんですが、私の過去を聞いてしまったことへの詫びのつもりなのか、すさまじい勢いで働いてるんですよ。			気にする必要はないと言ったはずなんですが、私の過去を聞いてしまったことへの詫びのつもりなのか、すさまじい勢いで働いてるんですよ。			積み重なる時間							
おかげで、あなたに頼む仕事がないんですよねぇ。			おかげで、あなたに頼む仕事がないんですよねぇ。			積み重なる時間							
だったら、今日は例の……「蒼碧の花弁」について、一緒に調べてみないか？			だったら、今日は例の……「蒼碧の花弁」について、一緒に調べてみないか？			積み重なる時間							
……もしやあなた、Forenameが来たらそう誘うつもりで、仕事を前倒しに？			……もしやあなた、Forenameが来たらそう誘うつもりで、仕事を前倒しに？			積み重なる時間							
まあ、その意図がなかったわけじゃない。少しばかり思いついたことがあってな。			まあ、その意図がなかったわけじゃない。少しばかり思いついたことがあってな。			積み重なる時間							
集落の跡地に落ちていたという、あの「花弁」……。			集落の跡地に落ちていたという、あの「花弁」……。			積み重なる時間							
シューニェはそれを、隕石が落ちた証拠だと考えているものの、断定まではできずにいる。			シューニェはそれを、隕石が落ちた証拠だと考えているものの、断定まではできずにいる。			積み重なる時間							
……正直なところ、俺には「花弁」と隕石がどう結びつくのか想像もつかない。だから、論理的に仮説を裏付けてやるようなことはできない。			……正直なところ、俺には「花弁」と隕石がどう結びつくのか想像もつかない。だから、論理的に仮説を裏付けてやるようなことはできない。			積み重なる時間							
だが、過去に隕石が落ちたとわかっている土地で、「蒼碧の花弁」と同じものを見つけたら？			だが、過去に隕石が落ちたとわかっている土地で、「蒼碧の花弁」と同じものを見つけたら？			積み重なる時間							
両者に関係があるということを、示せるんじゃないか？			両者に関係があるということを、示せるんじゃないか？			積み重なる時間							
……見つけられるとは思えませんよ。			……見つけられるとは思えませんよ。			積み重なる時間							
私だって、これまで幾度となく、仕入れついでに「花弁」に似た品の情報を募ってきました。			私だって、これまで幾度となく、仕入れついでに「花弁」に似た品の情報を募ってきました。			積み重なる時間							
でも、成果はなかった。最初からそんなものは存在しないのかもしれないし、あったとて、宝石以上に見つけにくいものなんでしょう。			でも、成果はなかった。最初からそんなものは存在しないのかもしれないし、あったとて、宝石以上に見つけにくいものなんでしょう。			積み重なる時間							
だとしたら、なおさら今、探してみるべきだな。			だとしたら、なおさら今、探してみるべきだな。			積み重なる時間							
なぜなら、Forenameと俺がいる。この店の調達役の力量は、お前もよく知っているはずだ。			なぜなら、Forenameと俺がいる。この店の調達役の力量は、お前もよく知っているはずだ。			積み重なる時間							
何と言う？			何と言う？			積み重なる時間							
諦めるにはまだ早い！			諦めるにはまだ早い！			積み重なる時間							
自分も真実を知りたい			自分も真実を知りたい			積み重なる時間							
やるだけやってみよう……			やるだけやってみよう……			積み重なる時間							
あなたまで……。			あなたまで……。			積み重なる時間							
……わかりました。では一度だけ、協力をお願いします。			……わかりました。では一度だけ、協力をお願いします。			積み重なる時間							
トラル大陸には、過去に隕石が落ちたとされる場所がいくつかあります。			トラル大陸には、過去に隕石が落ちたとされる場所がいくつかあります。			積み重なる時間							
学術的な裏付けが取れているもののうち、最大の跡地とされるのが、セシュドロース・クレーターです。			学術的な裏付けが取れているもののうち、最大の跡地とされるのが、セシュドロース・クレーターです。			積み重なる時間							
とはいえ、跡地がそのまま残っているわけではありません。その上に土が積もり、森が茂って、今はヤクテル樹海と呼ばれています。			とはいえ、跡地がそのまま残っているわけではありません。その上に土が積もり、森が茂って、今はヤクテル樹海と呼ばれています。			積み重なる時間							
あなたのように高い技術を持った職人ならば、隕石衝突直後の地層を探り出し、採集できるかもしれない。			あなたのように高い技術を持った職人ならば、隕石衝突直後の地層を探り出し、採集できるかもしれない。			積み重なる時間							
そこに「蒼碧の花弁」と同じものが含まれていたら……私の持つ知識と合わせて、断言できると思います。「花弁」は、隕石によって発生したものだと。			そこに「蒼碧の花弁」と同じものが含まれていたら……私の持つ知識と合わせて、断言できると思います。「花弁」は、隕石によって発生したものだと。			積み重なる時間							
ならば、お互いにヤクテル樹海に向かって、それと思しき「深地層の断片」を採集してこよう。			ならば、お互いにヤクテル樹海に向かって、それと思しき「深地層の断片」を採集してこよう。			積み重なる時間							
付き合わせて申し訳ありませんが……頼りにしています。ヤクテル樹海に向かって、隕石衝突直後のものと推定される、「深地層の断片」をいくらか採ってきてください。			付き合わせて申し訳ありませんが……頼りにしています。ヤクテル樹海に向かって、隕石衝突直後のものと推定される、「深地層の断片」をいくらか採ってきてください。			積み重なる時間							
これは……！古い地層を採集してこられたんですね……！			これは……！古い地層を採集してこられたんですね……！			積み重なる時間							
ありがとうございます。ウヴロが持ち帰ってくる分と合わせて、詳しく調べてみましょう。			ありがとうございます。ウヴロが持ち帰ってくる分と合わせて、詳しく調べてみましょう。			積み重なる時間							
すごい……明らかに樹海表層の土とは異なる、岩状に固まった、古い地層だ……。それをこんなにも綺麗な形で採ってくるなんて……。			すごい……明らかに樹海表層の土とは異なる、岩状に固まった、古い地層だ……。それをこんなにも綺麗な形で採ってくるなんて……。			積み重なる時間							
感謝します、Forename。ウヴロが持ち帰ってくる分と合わせて、詳しく調べてみましょう。			感謝します、Forename。ウヴロが持ち帰ってくる分と合わせて、詳しく調べてみましょう。			積み重なる時間							
どうだった……？			どうだった……？			積み重なる時間							
持ってきてもらった地層の断片の中に、ごく小さな蒼碧の粒子を見つけることができました。			持ってきてもらった地層の断片の中に、ごく小さな蒼碧の粒子を見つけることができました。			積み重なる時間							
光をあてた際の色味は、あの「花弁」と似ている気がします。			光をあてた際の色味は、あの「花弁」と似ている気がします。			積み重なる時間							
ですが、あまりに小さすぎる。私の調べられる範囲では、あれらの粒子と「花弁」が同じものか判断がつきません。			ですが、あまりに小さすぎる。私の調べられる範囲では、あれらの粒子と「花弁」が同じものか判断がつきません。			積み重なる時間							
そうか……。			そうか……。			積み重なる時間							
だが、可能性があるものを見つけられたというのは朗報だ。			だが、可能性があるものを見つけられたというのは朗報だ。			積み重なる時間							
この作業を繰り返していれば、いずれ大きな塊だって出てくるかもしれない。			この作業を繰り返していれば、いずれ大きな塊だって出てくるかもしれない。			積み重なる時間							
前にも言ったとおり、体力には自信があるぞ。また行って、何度でも、古い地層を採集してこよう。			前にも言ったとおり、体力には自信があるぞ。また行って、何度でも、古い地層を採集してこよう。			積み重なる時間							
ウヴロ……あなたは…………。			ウヴロ……あなたは…………。			積み重なる時間							
あなたは、どうしてそこまで熱心になれるんですか……？これは私個人の問題であって、シャトナ族を知るために必要なことじゃないでしょう。			あなたは、どうしてそこまで熱心になれるんですか……？これは私個人の問題であって、シャトナ族を知るために必要なことじゃないでしょう。			積み重なる時間							
……そうだな。里のためになる働きかと問われれば、頷き難い。			……そうだな。里のためになる働きかと問われれば、頷き難い。			積み重なる時間							
ただ、ワポタが家族について愛おしげに語る姿や、お前が今も悲しんでいるのを見て、思った。			ただ、ワポタが家族について愛おしげに語る姿や、お前が今も悲しんでいるのを見て、思った。			積み重なる時間							
家族を大事に想う心に、シャトナ族もヴィエラ族もない。			家族を大事に想う心に、シャトナ族もヴィエラ族もない。			積み重なる時間							
もしも急に里のみんなを喪ったとしたら、俺は何としてでも、その原因を知ろうとするだろう。突き止められなければ、己の無力を呪うに違いない……。			もしも急に里のみんなを喪ったとしたら、俺は何としてでも、その原因を知ろうとするだろう。突き止められなければ、己の無力を呪うに違いない……。			積み重なる時間							
お前だって、きっとそうだった。			お前だって、きっとそうだった。			積み重なる時間							
だから、苦しい記憶しかなくても「花弁」を持ち続けている。それが隕石と関係していると考えたのは、この店を長年やってきたからだと言っていた。			だから、苦しい記憶しかなくても「花弁」を持ち続けている。それが隕石と関係していると考えたのは、この店を長年やってきたからだと言っていた。			積み重なる時間							
裏を返せば……答えを探すために店を始めたのではないかと思ってな。			裏を返せば……答えを探すために店を始めたのではないかと思ってな。			積み重なる時間							
だとすれば、従業員としてこれほどやりがいのある仕事もない。……そうだろう、店主？			だとすれば、従業員としてこれほどやりがいのある仕事もない。……そうだろう、店主？			積み重なる時間							
あなた、自分の旅については向こう見ずなのに、私のことはよく見ているんですねぇ……素寒貧さん？			あなた、自分の旅については向こう見ずなのに、私のことはよく見ているんですねぇ……素寒貧さん？			積み重なる時間							
とりあえず、ヤクテル樹海の古い地層を、片っ端から掘り返して持ってくるのはやめてください。間違いなく怒られます。			とりあえず、ヤクテル樹海の古い地層を、片っ端から掘り返して持ってくるのはやめてください。間違いなく怒られます。			積み重なる時間							
もう少し、何か手がないか……私も考えてみますから。			もう少し、何か手がないか……私も考えてみますから。			積み重なる時間							
Forenameも、そのときが来たら、また手を貸してもらえますか？			Forenameも、そのときが来たら、また手を貸してもらえますか？			積み重なる時間							
ありがとうございます、本当に……。かくなる上はしっかり稼いで、お礼を用意しておかないといけませんねぇ。			ありがとうございます、本当に……。かくなる上はしっかり稼いで、お礼を用意しておかないといけませんねぇ。			積み重なる時間							
シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「冬の炉火のような職人」と感じているようです！			シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「冬の炉火のような職人」と感じているようです！			積み重なる時間							
また、万貨街取引のストーリークエストが発行されました！「園芸師／採掘師」のいずれかが、レベル100以上になると「シューニェ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「園芸師／採掘師」のいずれかが、レベル100以上になると「シューニェ」から受注可能です。			積み重なる時間							
ワチュメキメキ万貨街のシューニェは、冒険者の来訪を待ち望んでいたようだ。			ワチュメキメキ万貨街のシューニェは、冒険者の来訪を待ち望んでいたようだ。			息吹は尚も絶えずして							
シューニェから、マムークで「花弁」について聞き込みをするよう頼まれた。ヤクテル樹海のマムーク付近にいる「ウヴロ」と話し、同行させよう。			シューニェから、マムークで「花弁」について聞き込みをするよう頼まれた。ヤクテル樹海のマムーク付近にいる「ウヴロ」と話し、同行させよう。			息吹は尚も絶えずして							
ウヴロを連れて聞き込みを始めることになった。ウヴロを同行させた状態で、マムークの住民たちから話を聞こう。※同行状態が解除された場合、再度「ウヴロ」に話しかけることで同行を再開できます。			ウヴロを連れて聞き込みを始めることになった。ウヴロを同行させた状態で、マムークの住民たちから話を聞こう。※同行状態が解除された場合、再度「ウヴロ」に話しかけることで同行を再開できます。			息吹は尚も絶えずして							
質問の仕方を変えて、聞き込みを続けることになった。ウヴロを同行させた状態で、マムークの住民たちから再度話を聞こう。			質問の仕方を変えて、聞き込みを続けることになった。ウヴロを同行させた状態で、マムークの住民たちから再度話を聞こう。			息吹は尚も絶えずして							
聞き込みの結果、ひとりの人物の名が挙がった。ウヴロを同行させた状態で、ヤクテル樹海のゴルマジーカ蜜園で「ゴサージャ」を探そう。			聞き込みの結果、ひとりの人物の名が挙がった。ウヴロを同行させた状態で、ヤクテル樹海のゴルマジーカ蜜園で「ゴサージャ」を探そう。			息吹は尚も絶えずして							
ゴサージャから、彼の祖父が「花弁」に似たものを見つけた場所を聞いた。ヤクテル樹海のイクラシュ・ゾユ付近にいる「ウヴロ」と話そう。			ゴサージャから、彼の祖父が「花弁」に似たものを見つけた場所を聞いた。ヤクテル樹海のイクラシュ・ゾユ付近にいる「ウヴロ」と話そう。			息吹は尚も絶えずして							
ウヴロから水底の探索を任された。「蒼碧に輝く欠片」を採集し、イクラシュ・ゾユ付近の「ウヴロ」へ納品しよう。「蒼碧に輝く欠片」は、採掘師の場合でも、園芸師の場合でも、イクラシュ・ゾユで採集できる。			ウヴロから水底の探索を任された。「蒼碧に輝く欠片」を採集し、イクラシュ・ゾユ付近の「ウヴロ」へ納品しよう。「蒼碧に輝く欠片」は、採掘師の場合でも、園芸師の場合でも、イクラシュ・ゾユで採集できる。			息吹は尚も絶えずして							
蒼碧に輝く欠片をウヴロに渡した。彼の見たところによると、これはシューニェの持っていた「花弁」にそっくりだという。ワチュメキメキ万貨街の「シューニェ」に「蒼碧の花弁」を渡そう。			蒼碧に輝く欠片をウヴロに渡した。彼の見たところによると、これはシューニェの持っていた「花弁」にそっくりだという。ワチュメキメキ万貨街の「シューニェ」に「蒼碧の花弁」を渡そう。			息吹は尚も絶えずして							
シューニェに蒼碧の花弁を渡した。それによって、かの結晶がいかなるものであるか、そして50年前の事件の真相を、ついに確信をもって語るシューニェ。多少なり、気持ちの整理がついたようだ。改めて、ワチュメキメキ万貨街の「シューニェ」と話そう。			シューニェに蒼碧の花弁を渡した。それによって、かの結晶がいかなるものであるか、そして50年前の事件の真相を、ついに確信をもって語るシューニェ。多少なり、気持ちの整理がついたようだ。改めて、ワチュメキメキ万貨街の「シューニェ」と話そう。			息吹は尚も絶えずして							
シューニェからお礼を言われた。彼は再び旅に出る気になったようだが、しばらくはまだ、従業員ウヴロとともにアポサカリーを切り盛りしていくらしい。旅人たちはいつか、大いなる自然に臨み、その息吹を感じることだろう。			シューニェからお礼を言われた。彼は再び旅に出る気になったようだが、しばらくはまだ、従業員ウヴロとともにアポサカリーを切り盛りしていくらしい。旅人たちはいつか、大いなる自然に臨み、その息吹を感じることだろう。			息吹は尚も絶えずして							
マムーク付近のウヴロと話して同行させる			マムーク付近のウヴロと話して同行させる			息吹は尚も絶えずして							
ウヴロを連れて住民から情報を集める			ウヴロを連れて住民から情報を集める			息吹は尚も絶えずして							
ウヴロを連れて再度住民から情報を集める			ウヴロを連れて再度住民から情報を集める			息吹は尚も絶えずして							
ウヴロを連れてゴルマジーカ蜜園でゴサージャを探す			ウヴロを連れてゴルマジーカ蜜園でゴサージャを探す			息吹は尚も絶えずして							
ウヴロと話す			ウヴロと話す			息吹は尚も絶えずして							
イクラシュ・ゾユで蒼碧に輝く欠片を採集イクラシュ・ゾユのウヴロに蒼碧に輝く欠片を納品採掘師または園芸師になり蒼碧に輝く欠片を採集採掘師または園芸師になりイクラシュ・ゾユのウヴロに蒼碧に輝く欠片を納品			イクラシュ・ゾユで蒼碧に輝く欠片を採集イクラシュ・ゾユのウヴロに蒼碧に輝く欠片を納品採掘師または園芸師になり蒼碧に輝く欠片を採集採掘師または園芸師になりイクラシュ・ゾユのウヴロに蒼碧に輝く欠片を納品			息吹は尚も絶えずして							
ワチュメキメキ万貨街のシューニェに蒼碧の花弁を渡す			ワチュメキメキ万貨街のシューニェに蒼碧の花弁を渡す			息吹は尚も絶えずして							
シューニェと話す			シューニェと話す			息吹は尚も絶えずして							
俺も、ちゃんと給金はもらっているぞ。家賃として少しシューニェに返した方がいいかとも思ったが、いらないと断られてしまった……。			俺も、ちゃんと給金はもらっているぞ。家賃として少しシューニェに返した方がいいかとも思ったが、いらないと断られてしまった……。			息吹は尚も絶えずして							
代わりに掃除と洗濯、そのほか家事諸々をやっている。おかげで毎朝きちんと決まった時刻に店が開くようになったと、常連客にも褒められた次第だ。			代わりに掃除と洗濯、そのほか家事諸々をやっている。おかげで毎朝きちんと決まった時刻に店が開くようになったと、常連客にも褒められた次第だ。			息吹は尚も絶えずして							
ああ、ちょうどいいところに。あなたに相談したいことがあったんです。			ああ、ちょうどいいところに。あなたに相談したいことがあったんです。			息吹は尚も絶えずして							
ウヴロも、少しいいですか？			ウヴロも、少しいいですか？			息吹は尚も絶えずして							
まずは改めてお礼を……前回は、ヤクテル樹海まで地層の採集に行ってくださって、本当にありがとうございました。			まずは改めてお礼を……前回は、ヤクテル樹海まで地層の採集に行ってくださって、本当にありがとうございました。			息吹は尚も絶えずして							
だが、「蒼碧の花弁」と同じものは見つけられなかった。何か手を考えると言っていたが……思いついたのか？			だが、「蒼碧の花弁」と同じものは見つけられなかった。何か手を考えると言っていたが……思いついたのか？			息吹は尚も絶えずして							
手というか、思い出したことというか……あまり期待されてしまうと困ってしまうのですが……。			手というか、思い出したことというか……あまり期待されてしまうと困ってしまうのですが……。			息吹は尚も絶えずして							
以前お話ししたとおり、私は商品の仕入れとともに、「花弁」に関係しそうな情報を集めてきました。			以前お話ししたとおり、私は商品の仕入れとともに、「花弁」に関係しそうな情報を集めてきました。			息吹は尚も絶えずして							
ヤクテル樹海方面については、イクブラーシャ出身の卸売商を通じて、物や情報をやり取りしていたんです。			ヤクテル樹海方面については、イクブラーシャ出身の卸売商を通じて、物や情報をやり取りしていたんです。			息吹は尚も絶えずして							
結果は空振りだったわけですが……今振り返ると、そのやり取りだけでは、不十分だったかもしれないと思いまして。			結果は空振りだったわけですが……今振り返ると、そのやり取りだけでは、不十分だったかもしれないと思いまして。			息吹は尚も絶えずして							
何と言う？			何と言う？			息吹は尚も絶えずして							
卸売商が頼りなかった……？			卸売商が頼りなかった……？			息吹は尚も絶えずして							
マムーク側の情報が入りにくそうだ			マムーク側の情報が入りにくそうだ			息吹は尚も絶えずして							
いえいえ、そんなことはありませんでしたよ。非常に目が利く、シュバラール族の御仁でした。			いえいえ、そんなことはありませんでしたよ。非常に目が利く、シュバラール族の御仁でした。			息吹は尚も絶えずして							
ただ、シュバラール族であるがゆえに、マムーク側のことは掴みきれていなかったのかもしれません。			ただ、シュバラール族であるがゆえに、マムーク側のことは掴みきれていなかったのかもしれません。			息吹は尚も絶えずして							
さすがですね。私もまさにそれに気づいたんです。			さすがですね。私もまさにそれに気づいたんです。			息吹は尚も絶えずして							
卸売商は、シュバラール族の御仁だった。だからこそ、マムーク側のことは、掴みきれていなかったのかもしれない……。			卸売商は、シュバラール族の御仁だった。だからこそ、マムーク側のことは、掴みきれていなかったのかもしれない……。			息吹は尚も絶えずして							
和平を結んでいるとはいえど、両者は戦争をしていた間柄。そうでなくとも、マムークに暮らすマムージャ族は、排他的なことで有名ですからねぇ。			和平を結んでいるとはいえど、両者は戦争をしていた間柄。そうでなくとも、マムークに暮らすマムージャ族は、排他的なことで有名ですからねぇ。			息吹は尚も絶えずして							
もっとも、最近は風向きも変わってきたと聞きますし、どうにかしてマムークでも情報が募れればいいんですが……。			もっとも、最近は風向きも変わってきたと聞きますし、どうにかしてマムークでも情報が募れればいいんですが……。			息吹は尚も絶えずして							
継承の儀のときに訪問した……？			継承の儀のときに訪問した……？			息吹は尚も絶えずして							
そうか……そうですよね……。すっかり身近な存在になっていたので、あなたがそういう立場の人だと、失念しちゃってました。			そうか……そうですよね……。すっかり身近な存在になっていたので、あなたがそういう立場の人だと、失念しちゃってました。			息吹は尚も絶えずして							
……Forename、どうかお願いします。マムークに向かって、「花弁」と似たものを見たことがないか、聞いてみてはもらえませんか？			……Forename、どうかお願いします。マムークに向かって、「花弁」と似たものを見たことがないか、聞いてみてはもらえませんか？			息吹は尚も絶えずして							
今回ばかりは、シューニェも同行したらどうだ？店番なら、俺が引き受けよう。			今回ばかりは、シューニェも同行したらどうだ？店番なら、俺が引き受けよう。			息吹は尚も絶えずして							
おやまあ……。前回、この店の調達役を頼れと言ったのは、どこのどちら様でしたかねぇ？			おやまあ……。前回、この店の調達役を頼れと言ったのは、どこのどちら様でしたかねぇ？			息吹は尚も絶えずして							
