メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			王の家族							
ほかにも駆けつけた仲間がいたはずなんですが……ロビーの方で戦闘があったみたいで……無事でしょうか……。			ほかにも駆けつけた仲間がいたはずなんですが……ロビーの方で戦闘があったみたいで……無事でしょうか……。			闇夜の誘い							
っ……もしかして、住民を庇って倒れていたのって……。			っ……もしかして、住民を庇って倒れていたのって……。			闇夜の誘い							
9-14居住殻のワヤッケは、仲間を心配しているようだ。			9-14居住殻のワヤッケは、仲間を心配しているようだ。			未来の選択肢							
クルルと話す			クルルと話す			未来の選択肢							
指定地点で見渡す			指定地点で見渡す			未来の選択肢							
指定地点で再度見渡す			指定地点で再度見渡す			未来の選択肢							
指定地点でさらに見渡す			指定地点でさらに見渡す			未来の選択肢							
スフェーンと話す			スフェーンと話す			未来の選択肢							
だめ、こういうときこそ落ち着かないと……。			だめ、こういうときこそ落ち着かないと……。			未来の選択肢							
お母さんは、僕が動けないときも、ずっとそばにいてくれて、呼びかけてくれたんだ。だから僕も、そうする……！			お母さんは、僕が動けないときも、ずっとそばにいてくれて、呼びかけてくれたんだ。だから僕も、そうする……！			未来の選択肢							
この方は、私が看ているわ。あなたたちは、とにかくイサドラさんたちを……！			この方は、私が看ているわ。あなたたちは、とにかくイサドラさんたちを……！			未来の選択肢							
いったいどうして……こんなことに……！			いったいどうして……こんなことに……！			未来の選択肢							
あの……ロビーの方で、人が倒れていたんですか……？			あの……ロビーの方で、人が倒れていたんですか……？			未来の選択肢							
オブリビオンの仲間かもしれません。すぐ安否を確かめに…………。			オブリビオンの仲間かもしれません。すぐ安否を確かめに…………。			未来の選択肢							
待って、まだ万全じゃないんだから、安静にしてないと……！ワヤッケはここでミロス君と一緒に、イサドラの容態を見ていてくれるかな？			待って、まだ万全じゃないんだから、安静にしてないと……！ワヤッケはここでミロス君と一緒に、イサドラの容態を見ていてくれるかな？			未来の選択肢							
ロビーの方は、私たちが様子を見てくるから……。			ロビーの方は、私たちが様子を見てくるから……。			未来の選択肢							
すみません……お願いします……。どうか、みなさんもお気をつけて……。			すみません……お願いします……。どうか、みなさんもお気をつけて……。			未来の選択肢							
あの方は……もう……。			あの方は……もう……。			未来の選択肢							
イサドラさんたち、障壁の外へ移住する手続きが終わって、転居する直前だったんです……。目が覚めたら、ほかの方々と一緒に保護してもらわないと……。			イサドラさんたち、障壁の外へ移住する手続きが終わって、転居する直前だったんです……。目が覚めたら、ほかの方々と一緒に保護してもらわないと……。			未来の選択肢							
……よかった、イサドラさんは一命を取り留めたのね。ありがとう、ふたりとも。			……よかった、イサドラさんは一命を取り留めたのね。ありがとう、ふたりとも。			未来の選択肢							
こちらも住人の方の手当が終わったところよ。			こちらも住人の方の手当が終わったところよ。			未来の選択肢							
でも、オブリビオンから犠牲が出てしまった……。			でも、オブリビオンから犠牲が出てしまった……。			未来の選択肢							
やっぱり、彼はオブリビオンの……。体を張って、護ってくれたんだね……。			やっぱり、彼はオブリビオンの……。体を張って、護ってくれたんだね……。			未来の選択肢							
本当に……本当に申し訳ない……。なぜこんなことになったのか、私にもさっぱりで……！			本当に……本当に申し訳ない……。なぜこんなことになったのか、私にもさっぱりで……！			未来の選択肢							
機械兵は、ついさっきまで普段どおりだったんだ。なのに、急におかしくなりやがった……！			機械兵は、ついさっきまで普段どおりだったんだ。なのに、急におかしくなりやがった……！			未来の選択肢							
やっぱり、カリュクスの命令……よね……。			やっぱり、カリュクスの命令……よね……。			未来の選択肢							
みなさん無事ですか！？ワヤッケから連絡を受けて……			みなさん無事ですか！？ワヤッケから連絡を受けて……			未来の選択肢							
ごめんなさい……。私たちが駆けつけたときにはもう……。			ごめんなさい……。私たちが駆けつけたときにはもう……。			未来の選択肢							
……ジオードさんも心配だ。居住殻の安全を確保したら、すぐに探そう。			……ジオードさんも心配だ。居住殻の安全を確保したら、すぐに探そう。			未来の選択肢							
どういうこと……？ジオードに何かあったの！？			どういうこと……？ジオードに何かあったの！？			未来の選択肢							
実は、少し前からジオードさんと連絡が途絶えたきりなんです。			実は、少し前からジオードさんと連絡が途絶えたきりなんです。			未来の選択肢							
ただ、居住殻一帯はいまだ機械兵の制御権が戻っていないので、住民の安否確認を最優先にしなければと思い……。			ただ、居住殻一帯はいまだ機械兵の制御権が戻っていないので、住民の安否確認を最優先にしなければと思い……。			未来の選択肢							
それなら、私たちでジオードを探そう。			それなら、私たちでジオードを探そう。			未来の選択肢							
そうね、オブリビオンはレギュレーター未着用者が多い……さっきの推測が正しければ、彼ら自身が標的とされてしまう可能性もあるわ。			そうね、オブリビオンはレギュレーター未着用者が多い……さっきの推測が正しければ、彼ら自身が標的とされてしまう可能性もあるわ。			未来の選択肢							
あなたたちには、引き続き住民の安否確認をお願いしたいけれど……できるだけ機械兵に見つからないように注意して。			あなたたちには、引き続き住民の安否確認をお願いしたいけれど……できるだけ機械兵に見つからないように注意して。			未来の選択肢							
助かります……。では、この通信機を持って行ってください。			助かります……。では、この通信機を持って行ってください。			未来の選択肢							
我々が付近の仲間と連絡を取り合うときに使っているもので、カリュクスに傍受されないよう、改良してあります。			我々が付近の仲間と連絡を取り合うときに使っているもので、カリュクスに傍受されないよう、改良してあります。			未来の選択肢							
ワヤッケも同じものを持っているので、ジオードさんに呼び掛け続けるよう伝えておきます。			ワヤッケも同じものを持っているので、ジオードさんに呼び掛け続けるよう伝えておきます。			未来の選択肢							
どうか、お気をつけて……！			どうか、お気をつけて……！			未来の選択肢							
ジオードさんは、近くを見てくると言っていたわ。この建物の周辺から、探してみましょう！			ジオードさんは、近くを見てくると言っていたわ。この建物の周辺から、探してみましょう！			未来の選択肢							
ジオードさんの捜索、どうかよろしくお願いします。あの人のことですから、きっとうまく切り抜けながら、住人を助けているんだと思うのですが……。			ジオードさんの捜索、どうかよろしくお願いします。あの人のことですから、きっとうまく切り抜けながら、住人を助けているんだと思うのですが……。			未来の選択肢							
そちらの住民の方と、仲間の遺体のことも、あとは我々が……。ひとりでも犠牲者を抑えられるよう、最善を尽くします……。			そちらの住民の方と、仲間の遺体のことも、あとは我々が……。ひとりでも犠牲者を抑えられるよう、最善を尽くします……。			未来の選択肢							
先ほどのミララ族の女性に、あとでお礼を伝えてください。動転した私に付き添ってくれて、本当に助かったと。			先ほどのミララ族の女性に、あとでお礼を伝えてください。動転した私に付き添ってくれて、本当に助かったと。			未来の選択肢							
まずは居住殻を中心に探しましょう！			まずは居住殻を中心に探しましょう！			未来の選択肢							
ジオード、無事でいて……！			ジオード、無事でいて……！			未来の選択肢							
ジオードの姿は見当たらない……。もう少し東側を探してみよう。			ジオードの姿は見当たらない……。もう少し東側を探してみよう。			未来の選択肢							
ジオードの姿は見当たらない……。通信機からワヤッケの声が聞こえてくる。			ジオードの姿は見当たらない……。通信機からワヤッケの声が聞こえてくる。			未来の選択肢							
(-ワヤッケ-)ジオード、応答してください……！			(-ワヤッケ-)ジオード、応答してください……！			未来の選択肢							
……応答はないようだ。さらに東側を探してみよう。			……応答はないようだ。さらに東側を探してみよう。			未来の選択肢							
ジオードの姿は見当たらない。居住殻の中だろうか……先ほどとは別の棟を探してみよう。			ジオードの姿は見当たらない。居住殻の中だろうか……先ほどとは別の棟を探してみよう。			未来の選択肢							
ごめんなさい……言葉が出なくて……。			ごめんなさい……言葉が出なくて……。			未来の選択肢							
本当に……この塵が…………。			本当に……この塵が…………。			未来の選択肢							
塵と、ケージを置いていって……それでジオードを返したつもりなの……？			塵と、ケージを置いていって……それでジオードを返したつもりなの……？			未来の選択肢							
カリュクス……キミは……キミの計画は、おかしいよ……ッ！			カリュクス……キミは……キミの計画は、おかしいよ……ッ！			未来の選択肢							
ジオード……。			ジオード……。			未来の選択肢							
……それでも。永久人になった5000人が、そのあと幸せに暮らし続けたなら、すべて、必要な犠牲だったと言われるんだわ。			……それでも。永久人になった5000人が、そのあと幸せに暮らし続けたなら、すべて、必要な犠牲だったと言われるんだわ。			未来の選択肢							
あるいは、鏡像世界からエーテルを奪って、より多くの人が永久人となったなら。それもまた、尊い犠牲と呼ばれるのかしらね……。			あるいは、鏡像世界からエーテルを奪って、より多くの人が永久人となったなら。それもまた、尊い犠牲と呼ばれるのかしらね……。			未来の選択肢							
そんなの……ッ！！			そんなの……ッ！！			未来の選択肢							
私だって嫌よ……！			私だって嫌よ……！			未来の選択肢							
……嫌に、決まっているわ。			……嫌に、決まっているわ。			未来の選択肢							
だって私たちは……これが尊い犠牲なんかじゃなくて、ジオードさんなんだって……知っているもの……。			だって私たちは……これが尊い犠牲なんかじゃなくて、ジオードさんなんだって……知っているもの……。			未来の選択肢							
止めなくちゃ……。カリュクスの居場所を、早く、突き止めて……。			止めなくちゃ……。カリュクスの居場所を、早く、突き止めて……。			未来の選択肢							
……Forename、お願い。キミの持つ「鍵」を、絶対に渡さないで。			……Forename、お願い。キミの持つ「鍵」を、絶対に渡さないで。			未来の選択肢							
カリュクスの計画を、進ませたりしない……。アレクサンドリアの中で、終わらせるんだ……！			カリュクスの計画を、進ませたりしない……。アレクサンドリアの中で、終わらせるんだ……！			未来の選択肢							
レジデンシャルセクターのスフェーンは、悲しみを堪えているようだ。			レジデンシャルセクターのスフェーンは、悲しみを堪えているようだ。			君と僕の記憶							
ワヤッケと話す			ワヤッケと話す			君と僕の記憶							
シェールと話す			シェールと話す			君と僕の記憶							
シェールと再度話す			シェールと再度話す			君と僕の記憶							
シェールとさらに話す			シェールとさらに話す			君と僕の記憶							
空の坑道を進み、魔物が現れたら討伐			空の坑道を進み、魔物が現れたら討伐			君と僕の記憶							
シェールと話す			シェールと話す			君と僕の記憶							
シェールと再度話す			シェールと再度話す			君と僕の記憶							
ジオードさんの銃は、私が持ち帰るわ……。あなたはケージの方を……オブリビオンの、みんなに……。			ジオードさんの銃は、私が持ち帰るわ……。あなたはケージの方を……オブリビオンの、みんなに……。			君と僕の記憶							
……帰ろう、バックルームに。まずはシェールたちに、ちゃんと伝えなきゃ。			……帰ろう、バックルームに。まずはシェールたちに、ちゃんと伝えなきゃ。			君と僕の記憶							
そうね……。ワヤッケさんには私から声をかけておくわ。			そうね……。ワヤッケさんには私から声をかけておくわ。			君と僕の記憶							
…………。			…………。			君と僕の記憶							
多分カリュクスが消えたのと同じタイミングで、居住殻の機械兵の制御権は、戻ってきてるよ……。ごめん……本当にごめんね……。			多分カリュクスが消えたのと同じタイミングで、居住殻の機械兵の制御権は、戻ってきてるよ……。ごめん……本当にごめんね……。			君と僕の記憶							
ほかの階層を見回ってきたが、ごく小規模な暴走が、突発的に起きているのを確認した。細々とエーテルの回収をしていたんだろう……。			ほかの階層を見回ってきたが、ごく小規模な暴走が、突発的に起きているのを確認した。細々とエーテルの回収をしていたんだろう……。			君と僕の記憶							
わかっているとは思うけど、ひとりで何とかしようなんて考えないことね。……私たちがいるんだから。			わかっているとは思うけど、ひとりで何とかしようなんて考えないことね。……私たちがいるんだから。			君と僕の記憶							
……ウクラマトたちには連絡しておいた。すぐに会合を切り上げて対応するそうだ。			……ウクラマトたちには連絡しておいた。すぐに会合を切り上げて対応するそうだ。			君と僕の記憶							
……ジオードの銃が帰ってきたんだけどよ、弾は空っぽで、銃身も焼き付いていたんだ。あいつは戦ったんだな、最期の瞬間まで。			……ジオードの銃が帰ってきたんだけどよ、弾は空っぽで、銃身も焼き付いていたんだ。あいつは戦ったんだな、最期の瞬間まで。			君と僕の記憶							
居住殻で住民の安否確認にあたっていた残りのメンバーは、ご遺体をつれて帰還できたって……。みんなそれぞれ、頑張ってくれたんだね……。			居住殻で住民の安否確認にあたっていた残りのメンバーは、ご遺体をつれて帰還できたって……。みんなそれぞれ、頑張ってくれたんだね……。			君と僕の記憶							
こう立て続けに仲間を喪って……さすがに参ってしまいますね……。			こう立て続けに仲間を喪って……さすがに参ってしまいますね……。			君と僕の記憶							
ジオードは、ノスタルジアと私にとって、本当に……兄のような存在だったんです……。			ジオードは、ノスタルジアと私にとって、本当に……兄のような存在だったんです……。			君と僕の記憶							
でも、シェールさんの方が付き合いが長いから、もっとつらいと思います……。ずっと一緒にいたカフキワさんだって、今はもう……。			でも、シェールさんの方が付き合いが長いから、もっとつらいと思います……。ずっと一緒にいたカフキワさんだって、今はもう……。			君と僕の記憶							
あの、よければシェールさんに声をかけてあげてくれませんか？私たちだと、逆に気を遣ってしまうでしょうから……。			あの、よければシェールさんに声をかけてあげてくれませんか？私たちだと、逆に気を遣ってしまうでしょうから……。			君と僕の記憶							
……イサドラさんとミロス君は保護しています。それだけは……どうかご安心ください。			……イサドラさんとミロス君は保護しています。それだけは……どうかご安心ください。			君と僕の記憶							
……ああ、すみません。ボーっとしてしまいました。			……ああ、すみません。ボーっとしてしまいました。			君と僕の記憶							
早くカリュクスを追跡しないといけないのに。頭が真っ白になっちゃって……情けないですよね。			早くカリュクスを追跡しないといけないのに。頭が真っ白になっちゃって……情けないですよね。			君と僕の記憶							
何と言う？			何と言う？			君と僕の記憶							
なにかできることはないか？			なにかできることはないか？			君と僕の記憶							
受け止める時間が必要だ			受け止める時間が必要だ			君と僕の記憶							
……ふっ、あなたもおせっかいですね。でも、ありがとうございます。			……ふっ、あなたもおせっかいですね。でも、ありがとうございます。			君と僕の記憶							
……そうですね。今のままじゃ作業に支障がでてしまいそうです。			……そうですね。今のままじゃ作業に支障がでてしまいそうです。			君と僕の記憶							
悲しいときは吐き出すのが一番だって、カフキワさんもよく言ってたっけ。			悲しいときは吐き出すのが一番だって、カフキワさんもよく言ってたっけ。			君と僕の記憶							
気持ちの整理ってことで……今から空の坑道のアジトまで、ジオードを弔いに行ってこようと思います。			気持ちの整理ってことで……今から空の坑道のアジトまで、ジオードを弔いに行ってこようと思います。			君と僕の記憶							
……よければあなたも一緒にどうですか？思い出話につきあってほしくて。			……よければあなたも一緒にどうですか？思い出話につきあってほしくて。			君と僕の記憶							
よかった……。じゃあ、キープの外に向かいましょう。			よかった……。じゃあ、キープの外に向かいましょう。			君と僕の記憶							
歩くにはちょっと遠いんで、エアスピナーで行きましょう。あなたの分も用意しておきました。			歩くにはちょっと遠いんで、エアスピナーで行きましょう。あなたの分も用意しておきました。			君と僕の記憶							
通信機器を外してネットワークから隔離してますから、たとえカリュクスでも、簡単には制御を乗っ取れないはずです。出発してよければ、お声がけください。			通信機器を外してネットワークから隔離してますから、たとえカリュクスでも、簡単には制御を乗っ取れないはずです。出発してよければ、お声がけください。			君と僕の記憶							
行きましょうか。送雷塔の近くを飛びますから、僕についてきてくださいね。			行きましょうか。送雷塔の近くを飛びますから、僕についてきてくださいね。			君と僕の記憶							
エアスピナーに乗って移動しますか？			エアスピナーに乗って移動しますか？			君と僕の記憶							
このエアスピナー、ゲノルトが整備してるんですよ。だから性能は申し分ないかと。			このエアスピナー、ゲノルトが整備してるんですよ。だから性能は申し分ないかと。			君と僕の記憶							
昔から、気が滅入ったときなんかは、こうやって外を走ることにしてるんです。			昔から、気が滅入ったときなんかは、こうやって外を走ることにしてるんです。			君と僕の記憶							
たまにジオードと競争することもありましたね。			たまにジオードと競争することもありましたね。			君と僕の記憶							
……意外ですか？あいつはまあ、悪友みたいなものですから。			……意外ですか？あいつはまあ、悪友みたいなものですから。			君と僕の記憶							
いつかドームの外も走ってみたいって、よく言ってましたよ。			いつかドームの外も走ってみたいって、よく言ってましたよ。			君と僕の記憶							
……さて、もう着きますよ。足元に気をつけて降りてくださいね。			……さて、もう着きますよ。足元に気をつけて降りてくださいね。			君と僕の記憶							
ふう……ちょっとだけ冷静になれたかな。			ふう……ちょっとだけ冷静になれたかな。			君と僕の記憶							
オブリビオンの連中以外と走るのは、Forenameさんが初めてなんですよ。			オブリビオンの連中以外と走るのは、Forenameさんが初めてなんですよ。			君と僕の記憶							
まあ……僕が憶えている限りの話ですけどね。レギュレーターを外す前の記憶は信用できませんから。			まあ……僕が憶えている限りの話ですけどね。レギュレーターを外す前の記憶は信用できませんから。			君と僕の記憶							
さて、アジトに向かいましょう。今日は魔物が入り込んでないといいんですが……。			さて、アジトに向かいましょう。今日は魔物が入り込んでないといいんですが……。			君と僕の記憶							
ちっ、こんなところにまで外の魔物が……。			ちっ、こんなところにまで外の魔物が……。			君と僕の記憶							
すみません、助かりました……。			すみません、助かりました……。			君と僕の記憶							
いつもなら避けて進めるんですが、たまにこうして、奥まで魔物が入り込んでることがあって……。			いつもなら避けて進めるんですが、たまにこうして、奥まで魔物が入り込んでることがあって……。			君と僕の記憶							
……それにしても、本当に強いですね。間近であなたが戦うのを見たのは初めてだったんで、つい見惚れちゃいましたよ。			……それにしても、本当に強いですね。間近であなたが戦うのを見たのは初めてだったんで、つい見惚れちゃいましたよ。			君と僕の記憶							
それくらい強ければ……なんて、どうも思考が駄目ですね。今のうちに、アジトに入ってしまいましょう。			それくらい強ければ……なんて、どうも思考が駄目ですね。今のうちに、アジトに入ってしまいましょう。			君と僕の記憶							
本当にありがとうございました。あなたのおかげで、彼の死と向き合うことができた……。			本当にありがとうございました。あなたのおかげで、彼の死と向き合うことができた……。			君と僕の記憶							
それと、今まで気づいてなかったけど、僕は自分で思うよりも、仲間が好きだったみたいです。			それと、今まで気づいてなかったけど、僕は自分で思うよりも、仲間が好きだったみたいです。			君と僕の記憶							
だからこそ、悔しい…………。			だからこそ、悔しい…………。			君と僕の記憶							
さて、時間をいただいてしまった分、僕も全力で頑張りますよ。「鍵」は渡さないし、カリュクスにも落とし前をつけさせる。			さて、時間をいただいてしまった分、僕も全力で頑張りますよ。「鍵」は渡さないし、カリュクスにも落とし前をつけさせる。			君と僕の記憶							
これからもよろしくお願いしますね。……僕たちの、大切な仲間として。			これからもよろしくお願いしますね。……僕たちの、大切な仲間として。			君と僕の記憶							
空の坑道のアジトのシェールは、気持ちを切り替えたようだ。			空の坑道のアジトのシェールは、気持ちを切り替えたようだ。			心を這うもの							
アウトスカーツのスフェーンと話す			アウトスカーツのスフェーンと話す			心を這うもの							
アウトスカーツの住民と話す			アウトスカーツの住民と話す			心を這うもの							
スフェーンと話す			スフェーンと話す			心を這うもの							
スフェーンと再度話す			スフェーンと再度話す			心を這うもの							
……よし。引き続きカリュクスの潜伏場所を調査します。			……よし。引き続きカリュクスの潜伏場所を調査します。			心を這うもの							
実のところ、場所を割り出す方法までは、ある程度イメージができてるんです。やってみないと、有効かどうかはわかりませんが……。			実のところ、場所を割り出す方法までは、ある程度イメージができてるんです。やってみないと、有効かどうかはわかりませんが……。			心を這うもの							
バックルームに戻ったら、しばらくクルルさんの力を借りさせてください。			バックルームに戻ったら、しばらくクルルさんの力を借りさせてください。			心を這うもの							
彼女のご両親こそ、プリザベーションから離反し、オブリビオンを創設した、最初の抵抗者。そこから繋がる糸がきっとまだあるはずです。			彼女のご両親こそ、プリザベーションから離反し、オブリビオンを創設した、最初の抵抗者。そこから繋がる糸がきっとまだあるはずです。			心を這うもの							
そちらは、このあとどうしますか？			そちらは、このあとどうしますか？			心を這うもの							
(-スフェーン-)Forename、聞こえる……？突然連絡しちゃって、ごめんなさい。			(-スフェーン-)Forename、聞こえる……？突然連絡しちゃって、ごめんなさい。			心を這うもの							
(-スフェーン-)何かできることはないかと思って、キープの外を見回りにきたんだけど……なんだか雰囲気がおかしい気がするの。			(-スフェーン-)何かできることはないかと思って、キープの外を見回りにきたんだけど……なんだか雰囲気がおかしい気がするの。			心を這うもの							
(-スフェーン-)だからキミにも見てもらいたくて……シェールとの用事が終わったあとでいいから、アウトスカーツに寄ってもらえないかな？			(-スフェーン-)だからキミにも見てもらいたくて……シェールとの用事が終わったあとでいいから、アウトスカーツに寄ってもらえないかな？			心を這うもの							
ふふっ、引っ張りだこのようですね。僕は仲間に声をかけてから戻りますので、気にせず用を済ませてきてください。			ふふっ、引っ張りだこのようですね。僕は仲間に声をかけてから戻りますので、気にせず用を済ませてきてください。			心を這うもの							
記憶がある限り、心の傷が完全に癒えることはないでしょうね。だけど、これでいいんです……。			記憶がある限り、心の傷が完全に癒えることはないでしょうね。だけど、これでいいんです……。			心を這うもの							
この傷は、僕が彼らと生きた証。痛みは、僕が生きてる証ですから。			この傷は、僕が彼らと生きた証。痛みは、僕が生きてる証ですから。			心を這うもの							
……Forename！来てくれてありがとう。			……Forename！来てくれてありがとう。			心を這うもの							
ごめんね、気になることがあって、まずはキミに相談したかったんだ。			ごめんね、気になることがあって、まずはキミに相談したかったんだ。			心を這うもの							
もしかしたら、私の思い過ごしかもしれないんだけど、町のみんなの怯え方が、少し異様というか……。とにかく様子がおかしい気がして。			もしかしたら、私の思い過ごしかもしれないんだけど、町のみんなの怯え方が、少し異様というか……。とにかく様子がおかしい気がして。			心を這うもの							
私はまだアウトスカーツの人たちのことをよく知らないけど、交流があるキミなら、気づけることがあるかもしれない。			私はまだアウトスカーツの人たちのことをよく知らないけど、交流があるキミなら、気づけることがあるかもしれない。			心を這うもの							
だから、町の人の様子を見てみてくれないかな？気のせいなら、それでいいんだけど……。			だから、町の人の様子を見てみてくれないかな？気のせいなら、それでいいんだけど……。			心を這うもの							
暴れてるとか、苦しんでるとか、そういう目に見えた異常ではないんだけど……とにかく一度、たしかめてみて……！			暴れてるとか、苦しんでるとか、そういう目に見えた異常ではないんだけど……とにかく一度、たしかめてみて……！			心を這うもの							
これで大丈夫、これで……。			これで大丈夫、これで……。			心を這うもの							
どうしよう、このままじゃ……。			どうしよう、このままじゃ……。			心を這うもの							
な、なんだよ……？黒いレギュレータ－なら譲らないぞ？			な、なんだよ……？黒いレギュレータ－なら譲らないぞ？			心を這うもの							
おや、あなたはたしかスフェーン様のお客人の……。様子を見にきてくださったんですね。			おや、あなたはたしかスフェーン様のお客人の……。様子を見にきてくださったんですね。			心を這うもの							
ここもソリューション・ナインと同じです。暴走事件のおかげで大混乱ですよ。			ここもソリューション・ナインと同じです。暴走事件のおかげで大混乱ですよ。			心を這うもの							
いつエレクトロープ機器が暴走して死ぬかわからない。だからこそ、登録さえすれば永久人になれるという、黒いレギュレーターを求める人が急増していましてね。			いつエレクトロープ機器が暴走して死ぬかわからない。だからこそ、登録さえすれば永久人になれるという、黒いレギュレーターを求める人が急増していましてね。			心を這うもの							
幸いにも私は黒いレギュレーターを所持していましたから、ついに利用者登録を済ませましたよ。これで死を……避けられる、はず…………。			幸いにも私は黒いレギュレーターを所持していましたから、ついに利用者登録を済ませましたよ。これで死を……避けられる、はず…………。			心を這うもの							
ああ、祈りを捧げなければ。打ち勝つため……死……終わりなき闇に…………。			ああ、祈りを捧げなければ。打ち勝つため……死……終わりなき闇に…………。			心を這うもの							
祈りを捧げなければ……。			祈りを捧げなければ……。			心を這うもの							
あの、黒いレギュレーターを持っていませんか！？すでに配布は終了したそうですけど、実は、まだ予備が残っているって噂があるんですよ……！			あの、黒いレギュレーターを持っていませんか！？すでに配布は終了したそうですけど、実は、まだ予備が残っているって噂があるんですよ……！			心を這うもの							
ガバメントが所有しているのでしょうか……？それともスフェーン様が！？			ガバメントが所有しているのでしょうか……？それともスフェーン様が！？			心を這うもの							
私、もとは駆除人をしていたのですが、そのときは死が怖い、なんて思ったこともなかったのに、今になって真実を知ったら、怖くて、怖くて本当に、怖くてどうしようも、なくって……！			私、もとは駆除人をしていたのですが、そのときは死が怖い、なんて思ったこともなかったのに、今になって真実を知ったら、怖くて、怖くて本当に、怖くてどうしようも、なくって……！			心を這うもの							
ああ……早く超越しないと…………。			ああ……早く超越しないと…………。			心を這うもの							
死を超越しないと、私はお終いなんだ……。			死を超越しないと、私はお終いなんだ……。			心を這うもの							
オイオイオイ……！？あんた、レギュレーターを着けてないじゃないか！終わりだよ終わり、可哀想に！			オイオイオイ……！？あんた、レギュレーターを着けてないじゃないか！終わりだよ終わり、可哀想に！			心を這うもの							
……まあ、あんたの自由だけどさ。俺は運よく黒いレギュレーターが手に入ったから、さっき利用者登録まで済ませたぜ。			……まあ、あんたの自由だけどさ。俺は運よく黒いレギュレーターが手に入ったから、さっき利用者登録まで済ませたぜ。			心を這うもの							
そしたら、目の前に数字が表示されてさ……。登録者数を示してるみたいなんだけど、今は4168人だってよ。			そしたら、目の前に数字が表示されてさ……。登録者数を示してるみたいなんだけど、今は4168人だってよ。			心を這うもの							
上限はたしか5000人だったよな？暴走事故を機に、一気に登録が進んでるみたいだから、到達するのも時間の問題かもな。			上限はたしか5000人だったよな？暴走事故を機に、一気に登録が進んでるみたいだから、到達するのも時間の問題かもな。			心を這うもの							
ま、俺にはもう、何の心配もありゃしない！進化を受け入れられない連中は放っておいて、永久人として幸せに暮らすんだ……！			ま、俺にはもう、何の心配もありゃしない！進化を受け入れられない連中は放っておいて、永久人として幸せに暮らすんだ……！			心を這うもの							
あんたも、黒いレギュレーターを手に入れられるといいな！			あんたも、黒いレギュレーターを手に入れられるといいな！			心を這うもの							
おかえりなさい。……町の人たちの様子、どう思った？			おかえりなさい。……町の人たちの様子、どう思った？			心を這うもの							
何と言う？			何と言う？			心を這うもの							
前よりも切迫した様子だ			前よりも切迫した様子だ			心を這うもの							
恐怖が膨れ上がってる			恐怖が膨れ上がってる			心を這うもの							
やっぱり、そうだよね……。			やっぱり、そうだよね……。			心を這うもの							
不安定な状況が続いている中で、永久人になれる枠は刻一刻と減っていく。みんなの心は、焦りと恐怖で埋め尽くされていく……。			不安定な状況が続いている中で、永久人になれる枠は刻一刻と減っていく。みんなの心は、焦りと恐怖で埋め尽くされていく……。			心を這うもの							
このままカウントが進んでいったら、いったい、どうなってしまうの……？			このままカウントが進んでいったら、いったい、どうなってしまうの……？			心を這うもの							
(-アリゼー-)Forename、ちょっといい？今動けそうなら、至急レゾリューションに来てほしいの。			(-アリゼー-)Forename、ちょっといい？今動けそうなら、至急レゾリューションに来てほしいの。			心を這うもの							
(-アリゼー-)……嫌なものを見つけたのよ。ラマチとアルフィノも一緒にいるわ。			(-アリゼー-)……嫌なものを見つけたのよ。ラマチとアルフィノも一緒にいるわ。			心を這うもの							
わかった、とにかくレゾリューションに向かおう。私もついていくよ！			わかった、とにかくレゾリューションに向かおう。私もついていくよ！			心を這うもの							
遅くなっちまって悪い。いない間に起きたこと、クルルから全部聞いたぜ……。			遅くなっちまって悪い。いない間に起きたこと、クルルから全部聞いたぜ……。			心を這うもの							
暴走事件に加えて、あんな映像まで用意しているとは、ずいぶんと手の込んだ人集めだね。5000人の賛同者を集めるにしては、やりすぎにも思える……。			暴走事件に加えて、あんな映像まで用意しているとは、ずいぶんと手の込んだ人集めだね。5000人の賛同者を集めるにしては、やりすぎにも思える……。			心を這うもの							
収拾がつかなくなりそうだったから、ラマチに要望をぶつけていた人たちには、一旦解散してもらったわ。			収拾がつかなくなりそうだったから、ラマチに要望をぶつけていた人たちには、一旦解散してもらったわ。			心を這うもの							
……今回はそれで収まったからよかったものの、かなり限界が近そうな雰囲気ね。一刻も早く、カリュクスの尻尾を掴まないと。			……今回はそれで収まったからよかったものの、かなり限界が近そうな雰囲気ね。一刻も早く、カリュクスの尻尾を掴まないと。			心を這うもの							
申し訳ございません……あの映像を流しているサイネージは、しばらく前から操作を一切受け付けなくなっています。我々も、どうしたものやら……。			申し訳ございません……あの映像を流しているサイネージは、しばらく前から操作を一切受け付けなくなっています。我々も、どうしたものやら……。			心を這うもの							
……カリュクスがこの国の基幹システムに入り込める以上、やろうと思えば、障壁の外へ兵器を送ることだってできる。			……カリュクスがこの国の基幹システムに入り込める以上、やろうと思えば、障壁の外へ兵器を送ることだってできる。			心を這うもの							
死の恐怖とどう向き合うかっていう問題を抜きにしても、外へ逃げることは、完全な解決策じゃないんだ……。			死の恐怖とどう向き合うかっていう問題を抜きにしても、外へ逃げることは、完全な解決策じゃないんだ……。			心を這うもの							
