ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			娘はどこへ							
よく来たな！ソーニーから話を聞いて、来てくれたんだろう？詳しい話は、聖モシャーヌ植物園の前でさせてくれ！			よく来たな！ソーニーから話を聞いて、来てくれたんだろう？詳しい話は、聖モシャーヌ植物園の前でさせてくれ！			草木汚染 聖モシャーヌ植物園							
魔物退治の件、ぜひともお願いしたい。聖モシャーヌ植物園でその武勇を見せてくれ！			魔物退治の件、ぜひともお願いしたい。聖モシャーヌ植物園でその武勇を見せてくれ！			草木汚染 聖モシャーヌ植物園							
助かったぜ！あいかわらず、とんでもなく強いんだな。おかげで不思議な泥のサンプルも入手することができたぜ。			助かったぜ！あいかわらず、とんでもなく強いんだな。おかげで不思議な泥のサンプルも入手することができたぜ。			草木汚染 聖モシャーヌ植物園							
今、エドギスとミッドナイト・デューが、泥の解析を終えてこちらに向かっているところだ。すまないが、ちょっと待っててくれ。			今、エドギスとミッドナイト・デューが、泥の解析を終えてこちらに向かっているところだ。すまないが、ちょっと待っててくれ。			草木汚染 聖モシャーヌ植物園							
待たせたな。			待たせたな。			草木汚染 聖モシャーヌ植物園							
冒険者さん、本当にありがとうございました。菜園だけじゃなく、泥の調査まで手伝ってもらっちゃって……。おかげさまで、ダメダメなウチでも、いろいろわかりました！			冒険者さん、本当にありがとうございました。菜園だけじゃなく、泥の調査まで手伝ってもらっちゃって……。おかげさまで、ダメダメなウチでも、いろいろわかりました！			草木汚染 聖モシャーヌ植物園							
冒険者さん、今回はありがとうございました。イディルシャイアの筆頭園芸師の名前に恥じないよう、きっちり調べて、泥の秘密を解き明かしましたよ！			冒険者さん、今回はありがとうございました。イディルシャイアの筆頭園芸師の名前に恥じないよう、きっちり調べて、泥の秘密を解き明かしましたよ！			草木汚染 聖モシャーヌ植物園							
魔物退治を引き受けてくださった冒険者さんですね？今回は、ご協力ありがとうございました。おかげで泥の秘密がわかりましたよ。			魔物退治を引き受けてくださった冒険者さんですね？今回は、ご協力ありがとうございました。おかげで泥の秘密がわかりましたよ。			草木汚染 聖モシャーヌ植物園							
かつて植物園では、枯れ葉や刈り取った草などを短期間のうちに、堆肥に変えるための菌苗が研究されていました。どうやらこの泥こそがその菌床のようなのです。			かつて植物園では、枯れ葉や刈り取った草などを短期間のうちに、堆肥に変えるための菌苗が研究されていました。どうやらこの泥こそがその菌床のようなのです。			草木汚染 聖モシャーヌ植物園							
しかし、この菌には思わぬ副作用もありました。残された研究資料によると、この菌が草木綱の魔物に付着すると、爆発的な活力を与え、時に暴走させてしまうそうです！			しかし、この菌には思わぬ副作用もありました。残された研究資料によると、この菌が草木綱の魔物に付着すると、爆発的な活力を与え、時に暴走させてしまうそうです！			草木汚染 聖モシャーヌ植物園							
しかし、シャーレアンの研究資料によると、この菌が草木綱の魔物に付着すると、爆発的な活力を与え、時に暴走させてしまうらしいのです！			しかし、シャーレアンの研究資料によると、この菌が草木綱の魔物に付着すると、爆発的な活力を与え、時に暴走させてしまうらしいのです！			草木汚染 聖モシャーヌ植物園							
薬も過ぎれば毒になるって訳だな。			薬も過ぎれば毒になるって訳だな。			草木汚染 聖モシャーヌ植物園							
ただ上手く使えば、土の痩せた低地ドラヴァニアの、農業を発展させることは間違いありません。この泥は、洗って取り除くこともできるようですしね。			ただ上手く使えば、土の痩せた低地ドラヴァニアの、農業を発展させることは間違いありません。この泥は、洗って取り除くこともできるようですしね。			草木汚染 聖モシャーヌ植物園							
何と答える？			何と答える？			草木汚染 聖モシャーヌ植物園							
きれいなことはいいことだ			きれいなことはいいことだ			草木汚染 聖モシャーヌ植物園							
まだ暴走してるように見えるけど……			まだ暴走してるように見えるけど……			草木汚染 聖モシャーヌ植物園							
ま、まだ元気いっぱいなようだが……。襲ってくる気配はないし、まあ、いいのか……な？			ま、まだ元気いっぱいなようだが……。襲ってくる気配はないし、まあ、いいのか……な？			草木汚染 聖モシャーヌ植物園							
ともかく、冒険者のおかげでまたイディルシャイアに、新たな希望がもたらされたってわけだ。			ともかく、冒険者のおかげでまたイディルシャイアに、新たな希望がもたらされたってわけだ。			草木汚染 聖モシャーヌ植物園							
ありがとな！			ありがとな！			草木汚染 聖モシャーヌ植物園							
見事、魔物を退治してくれたようだな。ぜひ聖モシャーヌ植物園の前で調査の結果を聞いてくれ！！			見事、魔物を退治してくれたようだな。ぜひ聖モシャーヌ植物園の前で調査の結果を聞いてくれ！！			草木汚染 聖モシャーヌ植物園							
ラールガーズリーチのウィチャードは、冒険者に頼みたいことがあるようだ。			ラールガーズリーチのウィチャードは、冒険者に頼みたいことがあるようだ。			復興の担い手							
ウィチャードと話した。どうやら彼は、グンドバルドの甥だそうで、アラミゴが解放された今、連絡を取りたいのだそうだ。リトルアラミゴの「グンドバルド」に、「グンドバルド宛の手紙」を渡そう。			ウィチャードと話した。どうやら彼は、グンドバルドの甥だそうで、アラミゴが解放された今、連絡を取りたいのだそうだ。リトルアラミゴの「グンドバルド」に、「グンドバルド宛の手紙」を渡そう。			復興の担い手							
グンドバルドに、グンドバルド宛の手紙を渡した。手紙には、アラミゴで共に暮らそうとの旨が書いてあったようだが、リトルアラミゴにいる者を見捨てられないため、この申し出を断るというグンドバルド。逆に彼から、アラミゴへの帰還志願者たちの面倒を見てくれないか、ウィチャードに、尋ねてほしいと頼まれた。ラールガーズリーチの「ウィチャード」に報告しよう。			グンドバルドに、グンドバルド宛の手紙を渡した。手紙には、アラミゴで共に暮らそうとの旨が書いてあったようだが、リトルアラミゴにいる者を見捨てられないため、この申し出を断るというグンドバルド。逆に彼から、アラミゴへの帰還志願者たちの面倒を見てくれないか、ウィチャードに、尋ねてほしいと頼まれた。ラールガーズリーチの「ウィチャード」に報告しよう。			復興の担い手							
ウィチャードに報告した。移住希望者の面倒を快く引き受けてくれた。リトルアラミゴの「グンドバルド」に報告しよう。			ウィチャードに報告した。移住希望者の面倒を快く引き受けてくれた。リトルアラミゴの「グンドバルド」に報告しよう。			復興の担い手							
グンドバルドに報告した。帰還志願者の第一陣について、移送の手伝いを引き受けてくれるなら声をかけてほしいと語るグンドバルドなのであった。			グンドバルドに報告した。帰還志願者の第一陣について、移送の手伝いを引き受けてくれるなら声をかけてほしいと語るグンドバルドなのであった。			復興の担い手							
リトルアラミゴのグンドバルドにグンドバルド宛の手紙を渡す			リトルアラミゴのグンドバルドにグンドバルド宛の手紙を渡す			復興の担い手							
ラールガーズリーチのウィチャードに報告			ラールガーズリーチのウィチャードに報告			復興の担い手							
リトルアラミゴのグンドバルドに報告			リトルアラミゴのグンドバルドに報告			復興の担い手							
もしや、あなたは外から来た冒険者では？ザナラーンにある、リトルアラミゴという場所を知っていたら、少し頼みたいことがあるのですが、ご存知でしょうか？			もしや、あなたは外から来た冒険者では？ザナラーンにある、リトルアラミゴという場所を知っていたら、少し頼みたいことがあるのですが、ご存知でしょうか？			復興の担い手							
行かれたことがあるとは、それなら話が早い！そこに私の叔父にあたるグンドバルドという人物が、いるはずなのですが……。			行かれたことがあるとは、それなら話が早い！そこに私の叔父にあたるグンドバルドという人物が、いるはずなのですが……。			復興の担い手							
アラミゴが解放された今こそ、どうにかして、連絡を取りたいと考えているのです。ただ、戦後処理に人手が必要な今、私自身はここを離れられず……。			アラミゴが解放された今こそ、どうにかして、連絡を取りたいと考えているのです。ただ、戦後処理に人手が必要な今、私自身はここを離れられず……。			復興の担い手							
そこで、手紙に用件をしたためたので、これを「グンドバルド」叔父さんに届けていただきたいのです。			そこで、手紙に用件をしたためたので、これを「グンドバルド」叔父さんに届けていただきたいのです。			復興の担い手							
これからアラミゴは、復興に向けて、長い道のりを歩むことになるでしょう。そこで、共にアラミゴで暮らせたら、と思っていましてね。			これからアラミゴは、復興に向けて、長い道のりを歩むことになるでしょう。そこで、共にアラミゴで暮らせたら、と思っていましてね。			復興の担い手							
小間使いのようなことをさせてしまって、心苦しいのですが、よろしくお願いいたします。			小間使いのようなことをさせてしまって、心苦しいのですが、よろしくお願いいたします。			復興の担い手							
お渡しした手紙を、「グンドバルド」叔父さんに届けていただけますか？よろしくお願いいたしますね。			お渡しした手紙を、「グンドバルド」叔父さんに届けていただけますか？よろしくお願いいたしますね。			復興の担い手							
冒険者よ……いや、アラミゴを救った「解放者」よ！私に何か用か？			冒険者よ……いや、アラミゴを救った「解放者」よ！私に何か用か？			復興の担い手							
おぉ、我が甥、ウィチャードからの手紙とは驚いた！懐かしいな、どれどれ……。			おぉ、我が甥、ウィチャードからの手紙とは驚いた！懐かしいな、どれどれ……。			復興の担い手							
……なるほど、アラミゴで共に暮らさないか、とな。あいつも嬉しいことを言ってくれるではないか。			……なるほど、アラミゴで共に暮らさないか、とな。あいつも嬉しいことを言ってくれるではないか。			復興の担い手							
……大変喜ばしい申し出ではあるが、断ろうと思う。			……大変喜ばしい申し出ではあるが、断ろうと思う。			復興の担い手							
アラミゴが帝国の支配下となってから、あまりに長い月日が経った。			アラミゴが帝国の支配下となってから、あまりに長い月日が経った。			復興の担い手							
ザナラーンに流れ着いたときには、子どもだったにも関わらず、今や親となった者もいる。故郷と言いつつ、そのアラミゴを知らない世代もいるのだ。			ザナラーンに流れ着いたときには、子どもだったにも関わらず、今や親となった者もいる。故郷と言いつつ、そのアラミゴを知らない世代もいるのだ。			復興の担い手							
また、年老いた者のなかには、望みつつも故郷への長旅に耐えられない者もいよう。			また、年老いた者のなかには、望みつつも故郷への長旅に耐えられない者もいよう。			復興の担い手							
それぞれの事情はどうあれ、この地で骨を埋める覚悟を決めた者がいる以上、リトルアラミゴの長として、彼らを見捨てることはできん。			それぞれの事情はどうあれ、この地で骨を埋める覚悟を決めた者がいる以上、リトルアラミゴの長として、彼らを見捨てることはできん。			復興の担い手							
……だが、若い世代の者たちには、アラミゴでの暮らしを望むものも少なからずいるだろう。私は、彼らこそが復興の担い手となると信じてもいる。			……だが、若い世代の者たちには、アラミゴでの暮らしを望むものも少なからずいるだろう。私は、彼らこそが復興の担い手となると信じてもいる。			復興の担い手							
そこで、帰還志願者たちの面倒を見てもらえないか、「ウィチャード」に尋ねてくれないだろうか？			そこで、帰還志願者たちの面倒を見てもらえないか、「ウィチャード」に尋ねてくれないだろうか？			復興の担い手							
手数をかけるが、お前がラールガーズリーチに赴いている間、私は、志願者を募り、帰還への準備を進めておこう。どうか、よろしく頼む。			手数をかけるが、お前がラールガーズリーチに赴いている間、私は、志願者を募り、帰還への準備を進めておこう。どうか、よろしく頼む。			復興の担い手							
帰還志願者たちの面倒を見てもらえないか、「ウィチャード」に尋ねてくれないだろうか？			帰還志願者たちの面倒を見てもらえないか、「ウィチャード」に尋ねてくれないだろうか？			復興の担い手							
なるほど、そうですか……。共に暮らせないのは残念ですが、叔父さんの考えも、尊重したいところです。			なるほど、そうですか……。共に暮らせないのは残念ですが、叔父さんの考えも、尊重したいところです。			復興の担い手							
……わかりました！アラミゴに移住を希望される方々の面倒は、私が責任を持って、見るといたしましょう！			……わかりました！アラミゴに移住を希望される方々の面倒は、私が責任を持って、見るといたしましょう！			復興の担い手							
となると、さっそくいろいろと動かねばなりません！受け入れ先の調整などをする必要もあるでしょうから！			となると、さっそくいろいろと動かねばなりません！受け入れ先の調整などをする必要もあるでしょうから！			復興の担い手							
あなたは「グンドバルド」叔父さんに、受け入れ準備を、私が進めておくと伝えていただけますか？よろしく頼みますね！			あなたは「グンドバルド」叔父さんに、受け入れ準備を、私が進めておくと伝えていただけますか？よろしく頼みますね！			復興の担い手							
「グンドバルド」叔父さんに、受け入れ準備を、私が進めておくと伝えていただけますか？よろしく頼みますね！			「グンドバルド」叔父さんに、受け入れ準備を、私が進めておくと伝えていただけますか？よろしく頼みますね！			復興の担い手							
ふむ……私の提案を受け入れてくれたか。それは何よりだ。			ふむ……私の提案を受け入れてくれたか。それは何よりだ。			復興の担い手							
こちらは、帰還を望む者を集め終わったところだ。まだ数名、アラミゴ行きを迷っている者もいるが、急かして決めさせるのも酷というもの。			こちらは、帰還を望む者を集め終わったところだ。まだ数名、アラミゴ行きを迷っている者もいるが、急かして決めさせるのも酷というもの。			復興の担い手							
ひとまず、すでに決意を固めた者たちを、第一陣として、アラミゴへと送り出すことにした。			ひとまず、すでに決意を固めた者たちを、第一陣として、アラミゴへと送り出すことにした。			復興の担い手							
そこで相談なのだが、彼ら帰還志願者の第一陣について、アラミゴまでの移送を、手伝ってはもらえないだろうか？もし引き受けてくれるなら、声をかけてくれ。			そこで相談なのだが、彼ら帰還志願者の第一陣について、アラミゴまでの移送を、手伝ってはもらえないだろうか？もし引き受けてくれるなら、声をかけてくれ。			復興の担い手							
ラールガーズリーチのフィリオットは、冒険者のことを探しているようだ。			ラールガーズリーチのフィリオットは、冒険者のことを探しているようだ。			暴走戦艦 フラクタル・コンティニアム							
フィリオットと話した。フラクタル・コンティニアムで計測された膨大なエネルギー反応の調査を手伝ってほしいようだ。アジス・ラーの第VI転送リングのアラグの転送装置前で「フィリオット」と合流しよう。			フィリオットと話した。フラクタル・コンティニアムで計測された膨大なエネルギー反応の調査を手伝ってほしいようだ。アジス・ラーの第VI転送リングのアラグの転送装置前で「フィリオット」と合流しよう。			暴走戦艦 フラクタル・コンティニアム							
フィリオットと合流した。エンタープライズ級飛空艇に乗って、フラクタル・コンティニアムに潜入することになった。「暴走戦艦 フラクタル・コンティニアム(Hard)」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			フィリオットと合流した。エンタープライズ級飛空艇に乗って、フラクタル・コンティニアムに潜入することになった。「暴走戦艦 フラクタル・コンティニアム(Hard)」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			暴走戦艦 フラクタル・コンティニアム							
フラクタル・コンティニアムで暴走する古代兵器を破壊した。第VI転送リングのアラグの転送装置付近にいる「フィリオット」と話そう。			フラクタル・コンティニアムで暴走する古代兵器を破壊した。第VI転送リングのアラグの転送装置付近にいる「フィリオット」と話そう。			暴走戦艦 フラクタル・コンティニアム							
フィリオットと話した。古代兵器の暴走を引き起こしたイクサル族と話すため、北部森林に向かった「フィリオット」と合流しよう。			フィリオットと話した。古代兵器の暴走を引き起こしたイクサル族と話すため、北部森林に向かった「フィリオット」と合流しよう。			暴走戦艦 フラクタル・コンティニアム							
フィリオットと合流した。古代兵器の暴走を引き起こしたケズル・イツカンは、イクサル族に古くから伝わる幻の浮遊大陸「アヤトラン」を探して、フラクタル・コンティニアムに辿り着いたようだ。しかし、フラクタル・コンティニアムに展示されていた「イクサリオン」を発見したことで、イクサル族がアラグ帝国に創られた合成獣であることを知る。真実を知って意気消沈するケズル・イツカンに、師のセズル・トトロックは、たとえ創られた存在であろうとも、楽園を求めて空を飛ぼうとする熱い魂だけは、創られたものではないと説く。それを聞いたケズル・イツカンは、これからも自身にとってのアヤトランを求めて、気球造りに励むことを誓う。エカトル実験場付近の「フィリオット」と話そう。			フィリオットと合流した。古代兵器の暴走を引き起こしたケズル・イツカンは、イクサル族に古くから伝わる幻の浮遊大陸「アヤトラン」を探して、フラクタル・コンティニアムに辿り着いたようだ。しかし、フラクタル・コンティニアムに展示されていた「イクサリオン」を発見したことで、イクサル族がアラグ帝国に創られた合成獣であることを知る。真実を知って意気消沈するケズル・イツカンに、師のセズル・トトロックは、たとえ創られた存在であろうとも、楽園を求めて空を飛ぼうとする熱い魂だけは、創られたものではないと説く。それを聞いたケズル・イツカンは、これからも自身にとってのアヤトランを求めて、気球造りに励むことを誓う。エカトル実験場付近の「フィリオット」と話そう。			暴走戦艦 フラクタル・コンティニアム							
フィリオットと話した。貧民出身であることに劣等感を抱いていたフィリオットは、イクサル族の出生の真実を知ってもなお、夢を追い続けるセズル・トトロックたちを見て、誰にでも夢を追いかける資格があると気づいたようだ。迷いを捨てたフィリオットは、シドのような立派な機工師を目指して再出発を誓う。			フィリオットと話した。貧民出身であることに劣等感を抱いていたフィリオットは、イクサル族の出生の真実を知ってもなお、夢を追い続けるセズル・トトロックたちを見て、誰にでも夢を追いかける資格があると気づいたようだ。迷いを捨てたフィリオットは、シドのような立派な機工師を目指して再出発を誓う。			暴走戦艦 フラクタル・コンティニアム							
アラグの転送装置前でフィリオットと合流			アラグの転送装置前でフィリオットと合流			暴走戦艦 フラクタル・コンティニアム							
「暴走戦艦 フラクタル・コンティニアム(Hard)」を攻略			「暴走戦艦 フラクタル・コンティニアム(Hard)」を攻略			暴走戦艦 フラクタル・コンティニアム							
アラグの転送装置付近にいるフィリオットと話す			アラグの転送装置付近にいるフィリオットと話す			暴走戦艦 フラクタル・コンティニアム							
北部森林でフィリオットと合流			北部森林でフィリオットと合流			暴走戦艦 フラクタル・コンティニアム							
フィリオットと話す			フィリオットと話す			暴走戦艦 フラクタル・コンティニアム							
あなたは、Surnameさんですね？			あなたは、Surnameさんですね？			暴走戦艦 フラクタル・コンティニアム							
ボクの名は、フィリオット……「ガーロンド・アイアンワークス」に入社したばかりの新人です。以後、お見知りおきを……。			ボクの名は、フィリオット……「ガーロンド・アイアンワークス」に入社したばかりの新人です。以後、お見知りおきを……。			暴走戦艦 フラクタル・コンティニアム							
早速ですが、あなたにお尋ねしたいことがあります。以前、ウェッジ先輩に頼まれて、アラグ文明の博物戦艦、フラクタル・コンティニアムへ行ったことがありますよね？			早速ですが、あなたにお尋ねしたいことがあります。以前、ウェッジ先輩に頼まれて、アラグ文明の博物戦艦、フラクタル・コンティニアムへ行ったことがありますよね？			暴走戦艦 フラクタル・コンティニアム							
実は、最近になってあの施設から、膨大なエネルギー反応が観測されました。			実は、最近になってあの施設から、膨大なエネルギー反応が観測されました。			暴走戦艦 フラクタル・コンティニアム							
原因としては、施設内に放置されていた、アラグ文明の古代兵器の暴走などが考えられますが……詳細は、内部に侵入して調べなければわかりません。			原因としては、施設内に放置されていた、アラグ文明の古代兵器の暴走などが考えられますが……詳細は、内部に侵入して調べなければわかりません。			暴走戦艦 フラクタル・コンティニアム							
Surnameさん、お願いです。ボクとともに、再びフラクタル・コンティニアムへ潜入し、調査に協力していただけませんか？			Surnameさん、お願いです。ボクとともに、再びフラクタル・コンティニアムへ潜入し、調査に協力していただけませんか？			暴走戦艦 フラクタル・コンティニアム							
ありがとうございます！それでは、アジス・ラー南部の第VI転送リングにある、「アラグの転送装置」前で、お待ちしています！			ありがとうございます！それでは、アジス・ラー南部の第VI転送リングにある、「アラグの転送装置」前で、お待ちしています！			暴走戦艦 フラクタル・コンティニアム							
もう一度、転送装置の動作確認をしておくか……。			もう一度、転送装置の動作確認をしておくか……。			暴走戦艦 フラクタル・コンティニアム							
やっぱり、博物戦艦への転送機能が制限されている……。「侵入者排除のための防衛システム起動中により」って……ぼくたち以外にも、博物戦艦に忍びこんだ者がいるのか？			やっぱり、博物戦艦への転送機能が制限されている……。「侵入者排除のための防衛システム起動中により」って……ぼくたち以外にも、博物戦艦に忍びこんだ者がいるのか？			暴走戦艦 フラクタル・コンティニアム							
こうなると、飛空艇で乗りこむしかないけど、最新鋭の「エンタープライズ級」飛空艇での突入作戦……このボクにできるのか…………うぅ、緊張する…………。			こうなると、飛空艇で乗りこむしかないけど、最新鋭の「エンタープライズ級」飛空艇での突入作戦……このボクにできるのか…………うぅ、緊張する…………。			暴走戦艦 フラクタル・コンティニアム							
ハッ、Surnameさん！？き、気づかずに、失礼いたしました！			ハッ、Surnameさん！？き、気づかずに、失礼いたしました！			暴走戦艦 フラクタル・コンティニアム							
今回の任務、イシュガルドの貧民出身であるボクが、初めて任された重要任務なんです……。失敗するわけにはいかないと思うと、緊張してしまって……。			今回の任務、イシュガルドの貧民出身であるボクが、初めて任された重要任務なんです……。失敗するわけにはいかないと思うと、緊張してしまって……。			暴走戦艦 フラクタル・コンティニアム							
でも、Surnameさんがいてくれるんだ。大丈夫ですよね！			でも、Surnameさんがいてくれるんだ。大丈夫ですよね！			暴走戦艦 フラクタル・コンティニアム							
なんと答える？			なんと答える？			暴走戦艦 フラクタル・コンティニアム							
任せろ			任せろ			暴走戦艦 フラクタル・コンティニアム							
不安になってきた			不安になってきた			暴走戦艦 フラクタル・コンティニアム							
ありがとうございます！緊張もほぐれてきました。			ありがとうございます！緊張もほぐれてきました。			暴走戦艦 フラクタル・コンティニアム							
またまたぁ、そんな冗談を言って！ボクの緊張をほぐしてくれているんですね？			またまたぁ、そんな冗談を言って！ボクの緊張をほぐしてくれているんですね？			暴走戦艦 フラクタル・コンティニアム							
さて、現在、博物戦艦への転送装置は機能が制限されています。先にぼくたち以外の誰かが侵入したことにより、侵入者排除のための防衛システムが起動しているようです。			さて、現在、博物戦艦への転送装置は機能が制限されています。先にぼくたち以外の誰かが侵入したことにより、侵入者排除のための防衛システムが起動しているようです。			暴走戦艦 フラクタル・コンティニアム							
ですが、「エンタープライズ級」飛空艇を使えば、異常なエネルギー反応が観測された区画に、ひとっ飛びです。準備ができたら、さっそく潜入調査を開始しましょう！			ですが、「エンタープライズ級」飛空艇を使えば、異常なエネルギー反応が観測された区画に、ひとっ飛びです。準備ができたら、さっそく潜入調査を開始しましょう！			暴走戦艦 フラクタル・コンティニアム							
「エンタープライズ級」飛空艇なら、異常なエネルギー反応が観測された区画に、ひとっ飛びです。準備ができたら、さっそく潜入調査を開始しましょう！			「エンタープライズ級」飛空艇なら、異常なエネルギー反応が観測された区画に、ひとっ飛びです。準備ができたら、さっそく潜入調査を開始しましょう！			暴走戦艦 フラクタル・コンティニアム							
なんとか無事に戻って来られましたね……。			なんとか無事に戻って来られましたね……。			暴走戦艦 フラクタル・コンティニアム							
やはり、ボクが観測した膨大な量のエネルギー反応は、古代兵器の暴走が原因でしたね。			やはり、ボクが観測した膨大な量のエネルギー反応は、古代兵器の暴走が原因でしたね。			暴走戦艦 フラクタル・コンティニアム							
まさか、あの「アルテマウェポン」の試作機までもが、この博物戦艦に収容されていただなんて……予想だにしていませんでした。			まさか、あの「アルテマウェポン」の試作機までもが、この博物戦艦に収容されていただなんて……予想だにしていませんでした。			暴走戦艦 フラクタル・コンティニアム							
あちらで意気消沈しているイクサル族が、古代兵器の暴走を引き起こした張本人のようですが……いくら問いただしても、何も話したがらないのです。			あちらで意気消沈しているイクサル族が、古代兵器の暴走を引き起こした張本人のようですが……いくら問いただしても、何も話したがらないのです。			暴走戦艦 フラクタル・コンティニアム							
ぼくたちと彼以外に侵入した者がいなければ、防衛システムが解除され、転送装置が使えるはずですが……。			ぼくたちと彼以外に侵入した者がいなければ、防衛システムが解除され、転送装置が使えるはずですが……。			暴走戦艦 フラクタル・コンティニアム							
……やはり。今は制限が解除されているようです。			……やはり。今は制限が解除されているようです。			暴走戦艦 フラクタル・コンティニアム							
それにしても、どうやってアジス・ラーまで来たのでしょう……。彼らの気球では、この高度まで飛ぶことは不可能ですし……。			それにしても、どうやってアジス・ラーまで来たのでしょう……。彼らの気球では、この高度まで飛ぶことは不可能ですし……。			暴走戦艦 フラクタル・コンティニアム							
……いえ、そういえば、噂に聞いたことがあります。黒衣森の北部にて、「エカトル空力団」と名乗るイクサル族が、新型気球の開発実験をしていると……。			……いえ、そういえば、噂に聞いたことがあります。黒衣森の北部にて、「エカトル空力団」と名乗るイクサル族が、新型気球の開発実験をしていると……。			暴走戦艦 フラクタル・コンティニアム							
再び忍び込まれ、兵器の暴走を引き起こされては厄介です。アラグの遺物の危険性について、説明しに行くべきでしょうね。では、「北部森林」で合流しましょう！			再び忍び込まれ、兵器の暴走を引き起こされては厄介です。アラグの遺物の危険性について、説明しに行くべきでしょうね。では、「北部森林」で合流しましょう！			暴走戦艦 フラクタル・コンティニアム							
Surnameさん、お待ちしていました。さあ、行きましょう。			Surnameさん、お待ちしていました。さあ、行きましょう。			暴走戦艦 フラクタル・コンティニアム							
やっぱり例のイクサル族は、空力団の一員だったようです。名は「ケズル・イツカン」……あちらで叱られてる彼ですよ。			やっぱり例のイクサル族は、空力団の一員だったようです。名は「ケズル・イツカン」……あちらで叱られてる彼ですよ。			暴走戦艦 フラクタル・コンティニアム							
オラァッァ！　ケズルッゥ！！勝手に「デズル・クワラン号」を持ち出しやがってッェ！！破門されても文句言えねえぞッォ！！			オラァッァ！　ケズルッゥ！！勝手に「デズル・クワラン号」を持ち出しやがってッェ！！破門されても文句言えねえぞッォ！！			暴走戦艦 フラクタル・コンティニアム							
オラァッァ！　ケズルッゥ！！勝手に試作型の気球を持ち出しやがってッェ！！破門されても文句言えねえぞッォ！！			オラァッァ！　ケズルッゥ！！勝手に試作型の気球を持ち出しやがってッェ！！破門されても文句言えねえぞッォ！！			暴走戦艦 フラクタル・コンティニアム							
……チッ、まぁいいッィ。んなことよりもよッォ……アヤトランを見つけたってのはッァ、マジなのかッァ……？			……チッ、まぁいいッィ。んなことよりもよッォ……アヤトランを見つけたってのはッァ、マジなのかッァ……？			暴走戦艦 フラクタル・コンティニアム							
……………………。			……………………。			暴走戦艦 フラクタル・コンティニアム							
なんとか言わねぇかッァ！？　オオンッ！？			なんとか言わねぇかッァ！？　オオンッ！？			暴走戦艦 フラクタル・コンティニアム							
アヤトランとは……遠い昔にイクサル族が暮らしていたという、幻の浮遊大陸のことですね。そうか、彼らはそこへ帰ることを夢見て、気球の開発を……。			アヤトランとは……遠い昔にイクサル族が暮らしていたという、幻の浮遊大陸のことですね。そうか、彼らはそこへ帰ることを夢見て、気球の開発を……。			暴走戦艦 フラクタル・コンティニアム							
失礼、ケズル・イツカンさんに用があるのですが。			失礼、ケズル・イツカンさんに用があるのですが。			暴走戦艦 フラクタル・コンティニアム							
なんだッァ？　テメエッェ……。			なんだッァ？　テメエッェ……。			暴走戦艦 フラクタル・コンティニアム							
オイオイオイオイオイッィ！？姐ちゃん兄ちゃんじゃねぇかッァ！何かオレに頼みたいことでもあんのか、コンチクショッォー！			オイオイオイオイオイッィ！？姐ちゃん兄ちゃんじゃねぇかッァ！何かオレに頼みたいことでもあんのか、コンチクショッォー！			暴走戦艦 フラクタル・コンティニアム							
オウ、姐ちゃん兄ちゃんじゃねぇかッァ！オレに何か用でもあんのかよッォ！？			オウ、姐ちゃん兄ちゃんじゃねぇかッァ！オレに何か用でもあんのかよッォ！？			暴走戦艦 フラクタル・コンティニアム							
オウッゥ！？ヒトが、わざわざこんな辺鄙なところまでッェ、いったい何の用だっつー話よッォ！？			オウッゥ！？ヒトが、わざわざこんな辺鄙なところまでッェ、いったい何の用だっつー話よッォ！？			暴走戦艦 フラクタル・コンティニアム							
そのヒトらとは、古代アラグ文明が造った博物戦艦ッ……フラクタル・コンティニアムの中で会ったんスよッォ……。			そのヒトらとは、古代アラグ文明が造った博物戦艦ッ……フラクタル・コンティニアムの中で会ったんスよッォ……。			暴走戦艦 フラクタル・コンティニアム							
アアンッ……？なんでまた、そんなところにッィ……？			アアンッ……？なんでまた、そんなところにッィ……？			暴走戦艦 フラクタル・コンティニアム							
その施設内で、オレ……見ちまったんスよッォ……。ズラっと並んだ容器に、獣と獣をごちゃ混ぜにして創った、趣味の悪い合成獣が、ズラリと並んでて……			その施設内で、オレ……見ちまったんスよッォ……。ズラっと並んだ容器に、獣と獣をごちゃ混ぜにして創った、趣味の悪い合成獣が、ズラリと並んでて……			暴走戦艦 フラクタル・コンティニアム							
そこに……そこに、いたんだッァ……！オレたちイクサル族と、よく似た姿を持つ、「イクサリオン」って化け物があッァ……！！			そこに……そこに、いたんだッァ……！オレたちイクサル族と、よく似た姿を持つ、「イクサリオン」って化け物があッァ……！！			暴走戦艦 フラクタル・コンティニアム							
イクサリオンは、アラグ帝国の空挺師団用に開発されたらしいスッゥ。だから、特定の個体の命令には、絶対服従に造られてるってッェ……。			イクサリオンは、アラグ帝国の空挺師団用に開発されたらしいスッゥ。だから、特定の個体の命令には、絶対服従に造られてるってッェ……。			暴走戦艦 フラクタル・コンティニアム							
