漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			釣り道楽、雲海を目指す							
「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			釣り道楽、雲海を目指す							
くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			釣り道楽、雲海を目指す							
この魚は、食べる前に内臓を綺麗に取らないと、猛毒にやられるくぽ。モグが食べたときは……思い出すだけで、むかついてきたくぽ～！			この魚は、食べる前に内臓を綺麗に取らないと、猛毒にやられるくぽ。モグが食べたときは……思い出すだけで、むかついてきたくぽ～！			釣り道楽、雲海を目指す							
おまえが釣ってくれて、モグも気分がスッとしたくぽ！その腕前を見込んで、とっておきの話を聞かせてやるくぽ。モグも試したことのない、世にも不思議な釣りの話くぽ……。			おまえが釣ってくれて、モグも気分がスッとしたくぽ！その腕前を見込んで、とっておきの話を聞かせてやるくぽ。モグも試したことのない、世にも不思議な釣りの話くぽ……。			釣り道楽、雲海を目指す							
世界のどこかには、はるか古の時代に、キカイの力でお空に浮かべられた大陸があるらしいくぽ……。そこには、奇妙なお魚が棲む「魔泉」があるというくぽ！			世界のどこかには、はるか古の時代に、キカイの力でお空に浮かべられた大陸があるらしいくぽ……。そこには、奇妙なお魚が棲む「魔泉」があるというくぽ！			釣り道楽、雲海を目指す							
伝説では、「バイオレットワーム」を釣り餌に使うと、釣りができると言われているくぽ。……けれど、今となっては真相は定かではないくぽ！			伝説では、「バイオレットワーム」を釣り餌に使うと、釣りができると言われているくぽ。……けれど、今となっては真相は定かではないくぽ！			釣り道楽、雲海を目指す							
こんな遠い空の上まで来れたおまえなら、「魔泉釣り」さえ、やってのけちゃうかもしれないくぽ！期待してるくぽよ～！			こんな遠い空の上まで来れたおまえなら、「魔泉釣り」さえ、やってのけちゃうかもしれないくぽ！期待してるくぽよ～！			釣り道楽、雲海を目指す							
くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			釣り道楽、雲海を目指す							
オレの方でもいろいろと調べちゃいるが、皇都付近の雲海では、まったく目撃情報なしだ。やはり、もっと奥地の雲海まで行かないと駄目なのか……？			オレの方でもいろいろと調べちゃいるが、皇都付近の雲海では、まったく目撃情報なしだ。やはり、もっと奥地の雲海まで行かないと駄目なのか……？			釣り道楽、雲海を目指す							
すげえよ、Forename……。お前さん、幻の魚をひとりで釣り上げたのか！ありがとよ、これでジッチャンを助けてやれるぜ！			すげえよ、Forename……。お前さん、幻の魚をひとりで釣り上げたのか！ありがとよ、これでジッチャンを助けてやれるぜ！			釣り道楽、雲海を目指す							
ジッチャン！　こいつをさばいて調理しな！……そんで、領主代理の料理にだけ、バルーンパファーの毒を死なない程度に残しておけ！			ジッチャン！　こいつをさばいて調理しな！……そんで、領主代理の料理にだけ、バルーンパファーの毒を死なない程度に残しておけ！			釣り道楽、雲海を目指す							
安心しろ……。料理だけ出して、関係者はトンズラしてきな！全員、オレがかくまってやらあ！			安心しろ……。料理だけ出して、関係者はトンズラしてきな！全員、オレがかくまってやらあ！			釣り道楽、雲海を目指す							
……おおお、その頼もしきお言葉。やはり、あなたが家督を継ぐべきです……！跡目の座を退いてしまわれたのが、口惜しくてなりませぬぞ。			……おおお、その頼もしきお言葉。やはり、あなたが家督を継ぐべきです……！跡目の座を退いてしまわれたのが、口惜しくてなりませぬぞ。			釣り道楽、雲海を目指す							
あーあ、ジッチャン、しゃべっちゃダメだって……！			あーあ、ジッチャン、しゃべっちゃダメだって……！			釣り道楽、雲海を目指す							
Forename、いまさら隠してても仕方ねえ。……その領主代理ってのは、オレの弟なんだ。			Forename、いまさら隠してても仕方ねえ。……その領主代理ってのは、オレの弟なんだ。			釣り道楽、雲海を目指す							
あいつは、ずっと領主になりたがってたからな。跡目争いでこじれるよりは良いかと、身を引いたんだが……領民を苦しめてるとあっちゃ、話は別だ。			あいつは、ずっと領主になりたがってたからな。跡目争いでこじれるよりは良いかと、身を引いたんだが……領民を苦しめてるとあっちゃ、話は別だ。			釣り道楽、雲海を目指す							
ジッチャン、俺は覚悟を決めたぜ。だからよ、もう心配するのはやめとけ……。さ、あのうつけ者の腹を苦しめてやんな！			ジッチャン、俺は覚悟を決めたぜ。だからよ、もう心配するのはやめとけ……。さ、あのうつけ者の腹を苦しめてやんな！			釣り道楽、雲海を目指す							
……領民はみな、あなたのご帰還をお待ちしています。もう少しだけ耐え忍ぶよう、伝えておきましょう。			……領民はみな、あなたのご帰還をお待ちしています。もう少しだけ耐え忍ぶよう、伝えておきましょう。			釣り道楽、雲海を目指す							
さて、堅苦しい話はここまでだ。バルーンパファーを釣ったときの話を聞かせてくれ！			さて、堅苦しい話はここまでだ。バルーンパファーを釣ったときの話を聞かせてくれ！			釣り道楽、雲海を目指す							
……へえ！釣り上げた礼に、もっと変わった場所での釣りを教わったって？お前さんのことだから、挑戦するつもりなんだろうな。			……へえ！釣り上げた礼に、もっと変わった場所での釣りを教わったって？お前さんのことだから、挑戦するつもりなんだろうな。			釣り道楽、雲海を目指す							
「バイオレットワーム」なら、いくつかあるから持ってきな。釣り餌に使えそうなモノは、片っ端から集めるのが趣味でね。さすがに「魔泉」の場所はお手上げだ……自力で調べてくれよ？			「バイオレットワーム」なら、いくつかあるから持ってきな。釣り餌に使えそうなモノは、片っ端から集めるのが趣味でね。さすがに「魔泉」の場所はお手上げだ……自力で調べてくれよ？			釣り道楽、雲海を目指す							
漁師として、未知の領域を開拓し、「魔泉釣り」が開放されました！			漁師として、未知の領域を開拓し、「魔泉釣り」が開放されました！			釣り道楽、雲海を目指す							
忘れられた騎士亭のアンソールムは、冒険者に頼み事があるようだ。			忘れられた騎士亭のアンソールムは、冒険者に頼み事があるようだ。			釣り道楽、猟師を救え							
アンソールムの代理として、レイナへの協力を頼まれた。高地ドラヴァニアのテイルフェザーにいる「レイナ」と話そう。			アンソールムの代理として、レイナへの協力を頼まれた。高地ドラヴァニアのテイルフェザーにいる「レイナ」と話そう。			釣り道楽、猟師を救え							
レイナと話した。心ない猟師が川に獰猛な肉食魚を放流してしまったらしい。肉食魚を釣り上げ、猟師たちの手本となるよう頼まれた。ウィロームリバーの北にいる「テイルフェザーの猟師」と話そう。			レイナと話した。心ない猟師が川に獰猛な肉食魚を放流してしまったらしい。肉食魚を釣り上げ、猟師たちの手本となるよう頼まれた。ウィロームリバーの北にいる「テイルフェザーの猟師」と話そう。			釣り道楽、猟師を救え							
テイルフェザーの猟師によると、肉食魚ジャウーは、滝つぼ近辺に潜んでいるらしい。「ジャウー」を3匹釣り上げ、テイルフェザーの「レイナ」に納品しよう。ジャウーは、悲嘆の飛泉の釣り場で釣ることができる。			テイルフェザーの猟師によると、肉食魚ジャウーは、滝つぼ近辺に潜んでいるらしい。「ジャウー」を3匹釣り上げ、テイルフェザーの「レイナ」に納品しよう。ジャウーは、悲嘆の飛泉の釣り場で釣ることができる。			釣り道楽、猟師を救え							
冒険者の腕前は、チョコボ猟師たちの良い手本になったらしい。チョコボ猟師のステンから、溶岩での釣法を教わった。釣り餌について、忘れられた騎士亭の「アンソールム」に尋ねよう。			冒険者の腕前は、チョコボ猟師たちの良い手本になったらしい。チョコボ猟師のステンから、溶岩での釣法を教わった。釣り餌について、忘れられた騎士亭の「アンソールム」に尋ねよう。			釣り道楽、猟師を救え							
アンソールムから、溶岩での釣法「溶岩釣り」に使えそうな餌をもらえた。高地ドラヴァニアのドラゴン族が住む地域には、溶岩釣りができそうな場所があるらしい。※漁師のレベルが58以上になると、忘れられた騎士亭のアンソールムから次の漁師クエストを受注することができます。			アンソールムから、溶岩での釣法「溶岩釣り」に使えそうな餌をもらえた。高地ドラヴァニアのドラゴン族が住む地域には、溶岩釣りができそうな場所があるらしい。※漁師のレベルが58以上になると、忘れられた騎士亭のアンソールムから次の漁師クエストを受注することができます。			釣り道楽、猟師を救え							
テイルフェザーのレイナと話す			テイルフェザーのレイナと話す			釣り道楽、猟師を救え							
テイルフェザーの猟師と話す			テイルフェザーの猟師と話す			釣り道楽、猟師を救え							
悲嘆の飛泉でジャウーを釣るレイナにジャウーを納品			悲嘆の飛泉でジャウーを釣るレイナにジャウーを納品			釣り道楽、猟師を救え							
イシュガルドのアンソールムと話す			イシュガルドのアンソールムと話す			釣り道楽、猟師を救え							
よう、Forename。出会い頭に悪いが、ちょいと頼まれちゃあくれねえか……？			よう、Forename。出会い頭に悪いが、ちょいと頼まれちゃあくれねえか……？			釣り道楽、猟師を救え							
この間、釣り対決をした「レイナ」を覚えてるか？あの姉ちゃんから連絡が来てよ、なんでも、釣り道楽たちの力を借りたいとか……。			この間、釣り対決をした「レイナ」を覚えてるか？あの姉ちゃんから連絡が来てよ、なんでも、釣り道楽たちの力を借りたいとか……。			釣り道楽、猟師を救え							
レイナはこの時期、チョコボ猟師をやってるらしくてな。どうやら、猟師たちの集落で何か問題が起きたらしい。			レイナはこの時期、チョコボ猟師をやってるらしくてな。どうやら、猟師たちの集落で何か問題が起きたらしい。			釣り道楽、猟師を救え							
オレも行きたいんだが、ちょいと野暮用があってな……。すまんが、代わりに話を聞きに行っちゃあくれねえか？			オレも行きたいんだが、ちょいと野暮用があってな……。すまんが、代わりに話を聞きに行っちゃあくれねえか？			釣り道楽、猟師を救え							
猟師たちが根城にしてんのは、高地ドラヴァニアの「テイルフェザー」ってとこだ。「レイナ」に、よろしく伝えといてくれ。			猟師たちが根城にしてんのは、高地ドラヴァニアの「テイルフェザー」ってとこだ。「レイナ」に、よろしく伝えといてくれ。			釣り道楽、猟師を救え							
猟師たちが根城にしてんのは、高地ドラヴァニアの「テイルフェザー」ってとこだ。「レイナ」に、よろしく伝えといてくれ。			猟師たちが根城にしてんのは、高地ドラヴァニアの「テイルフェザー」ってとこだ。「レイナ」に、よろしく伝えといてくれ。			釣り道楽、猟師を救え							
………………………………うむ。			………………………………うむ。			釣り道楽、猟師を救え							
やぁ、来てくれたんだね、助かるよ！……あれ、アンソールムはいないのかい？			やぁ、来てくれたんだね、助かるよ！……あれ、アンソールムはいないのかい？			釣り道楽、猟師を救え							
……ありゃ、あの野郎、来れないのか。まあ、いいさ、あんたがいてくれりゃあ百人力だよ。ちょっと、その釣りの腕を貸してほしいんだ……。			……ありゃ、あの野郎、来れないのか。まあ、いいさ、あんたがいてくれりゃあ百人力だよ。ちょっと、その釣りの腕を貸してほしいんだ……。			釣り道楽、猟師を救え							
あたしは、狩猟の時期が近づくと、ここに来て働いてるのさ。危険な仕事だけど、実入りも多いからね。			あたしは、狩猟の時期が近づくと、ここに来て働いてるのさ。危険な仕事だけど、実入りも多いからね。			釣り道楽、猟師を救え							
ここでは、川魚を食料の足しにしてるんだけど……。その川に、獰猛な肉食魚が繁殖しちまって困ってるんだ。……このままじゃ、川の魚が食いつくされちまう。			ここでは、川魚を食料の足しにしてるんだけど……。その川に、獰猛な肉食魚が繁殖しちまって困ってるんだ。……このままじゃ、川の魚が食いつくされちまう。			釣り道楽、猟師を救え							
集落総出で、釣り上げて駆除しようとしてるんだが、賢い奴らしく、竿にかかりゃしない……。			集落総出で、釣り上げて駆除しようとしてるんだが、賢い奴らしく、竿にかかりゃしない……。			釣り道楽、猟師を救え							
そこで、あんたにお願いがあるんだ。実際に肉食魚を釣ってみせて、ここの猟師たちに、手本を見せてやってくれないかい？			そこで、あんたにお願いがあるんだ。実際に肉食魚を釣ってみせて、ここの猟師たちに、手本を見せてやってくれないかい？			釣り道楽、猟師を救え							
これは、日々の飯にありつくため、集落あげての大作戦さ！魚は元気の源だろう？食えなくなったら大変さね、なぁ、ステン爺さん！			これは、日々の飯にありつくため、集落あげての大作戦さ！魚は元気の源だろう？食えなくなったら大変さね、なぁ、ステン爺さん！			釣り道楽、猟師を救え							
………………………………うむ。			………………………………うむ。			釣り道楽、猟師を救え							
じ、爺さん、大丈夫かな……？きっと、これでも応援してくれてるんだ……。テイルフェザーの食糧事情のためにも、協力しとくれよ！			じ、爺さん、大丈夫かな……？きっと、これでも応援してくれてるんだ……。テイルフェザーの食糧事情のためにも、協力しとくれよ！			釣り道楽、猟師を救え							
まずは、「テイルフェザーの猟師」に状況を聞いてみておくれ。「ウィロームリバー」を北に進んだ先で、頭を抱えてるはずさ。			まずは、「テイルフェザーの猟師」に状況を聞いてみておくれ。「ウィロームリバー」を北に進んだ先で、頭を抱えてるはずさ。			釣り道楽、猟師を救え							
まずは、「テイルフェザーの猟師」に状況を聞いてみておくれ。「ウィロームリバー」を北に進んだ先で、頭を抱えてるはずさ。			まずは、「テイルフェザーの猟師」に状況を聞いてみておくれ。「ウィロームリバー」を北に進んだ先で、頭を抱えてるはずさ。			釣り道楽、猟師を救え							
君は……レイナの言ってた「超凄腕の天才漁師」か……。……協力に感謝する。			君は……レイナの言ってた「超凄腕の天才漁師」か……。……協力に感謝する。			釣り道楽、猟師を救え							
繁殖しているのは、獰猛な肉食魚「ジャウー」だ。どうやら、俺たちが集落を離れていた期間に、心ない猟師どもが川に放流したようなのだ。			繁殖しているのは、獰猛な肉食魚「ジャウー」だ。どうやら、俺たちが集落を離れていた期間に、心ない猟師どもが川に放流したようなのだ。			釣り道楽、猟師を救え							
そのバカどもの言い分としては、チョコボが、川を渡って逃げるのを阻止するためらしいが…………実際チョコボには、まったく効果がなくてね。			そのバカどもの言い分としては、チョコボが、川を渡って逃げるのを阻止するためらしいが…………実際チョコボには、まったく効果がなくてね。			釣り道楽、猟師を救え							
結果として残ったのは、在来魚を食い散らかす、厄介な肉食魚だけってわけさ……。			結果として残ったのは、在来魚を食い散らかす、厄介な肉食魚だけってわけさ……。			釣り道楽、猟師を救え							
俺たちも、いろいろと試して、奴らが川沿いよりも、この「悲嘆の飛泉」の滝つぼ近辺に、大量に潜んでるってとこまではわかった……。			俺たちも、いろいろと試して、奴らが川沿いよりも、この「悲嘆の飛泉」の滝つぼ近辺に、大量に潜んでるってとこまではわかった……。			釣り道楽、猟師を救え							
この辺りで「ジャウー」を3匹ほど釣り上げて、俺たちの手本となってほしい……。釣り上げた分は、「レイナ」に渡してくれ。			この辺りで「ジャウー」を3匹ほど釣り上げて、俺たちの手本となってほしい……。釣り上げた分は、「レイナ」に渡してくれ。			釣り道楽、猟師を救え							
この辺りで「ジャウー」を3匹ほど釣り上げて、俺たちの手本となってほしい……。釣り上げた分は、「レイナ」に渡してくれ。			この辺りで「ジャウー」を3匹ほど釣り上げて、俺たちの手本となってほしい……。釣り上げた分は、「レイナ」に渡してくれ。			釣り道楽、猟師を救え							
首尾は、どんな塩梅だい……？「ジャウー」は、なかなか手ごわいだろう。			首尾は、どんな塩梅だい……？「ジャウー」は、なかなか手ごわいだろう。			釣り道楽、猟師を救え							
お見事だね！いやあ、助かったよ！			お見事だね！いやあ、助かったよ！			釣り道楽、猟師を救え							
あんたの腕前を見ていたテイルフェザーの猟師たちも、参考になるところが沢山あったってさ！後は、あたしたちだけでも、何とかやっていけそうだ。			あんたの腕前を見ていたテイルフェザーの猟師たちも、参考になるところが沢山あったってさ！後は、あたしたちだけでも、何とかやっていけそうだ。			釣り道楽、猟師を救え							
ジャウーを釣りまくって、渓流の環境を元通りにしてみせるよ！			ジャウーを釣りまくって、渓流の環境を元通りにしてみせるよ！			釣り道楽、猟師を救え							
素晴らしい腕前を見せてくれたお礼に、お返しをしたいんだけど、どうしようかねえ……。ステン爺さんなら、いろいろと珍しい話を知ってるんだけど……。			素晴らしい腕前を見せてくれたお礼に、お返しをしたいんだけど、どうしようかねえ……。ステン爺さんなら、いろいろと珍しい話を知ってるんだけど……。			釣り道楽、猟師を救え							
…………………………うむ。			…………………………うむ。			釣り道楽、猟師を救え							
…………ワシが、ガキの時分に聞いた話じゃ。			…………ワシが、ガキの時分に聞いた話じゃ。			釣り道楽、猟師を救え							
ワシの、ひいひいひい爺さんがな、旅商人から聞いたという、東方の釣法がある……。			ワシの、ひいひいひい爺さんがな、旅商人から聞いたという、東方の釣法がある……。			釣り道楽、猟師を救え							
東方には、珍妙にも溶岩の中に住む魚がおるそうじゃ。幾多の釣り人が「マグマワーム」を餌に、溶岩めがけて、鋼の釣り糸を垂らしておるという……。			東方には、珍妙にも溶岩の中に住む魚がおるそうじゃ。幾多の釣り人が「マグマワーム」を餌に、溶岩めがけて、鋼の釣り糸を垂らしておるという……。			釣り道楽、猟師を救え							
魚の引きに負けて足を滑らせれば、命すら落としかねん……。だが、死の危険に打ち勝ち、この珍魚を釣り上げた者は、炎の漁師と呼ばれて褒め称えられる……らしいのう。			魚の引きに負けて足を滑らせれば、命すら落としかねん……。だが、死の危険に打ち勝ち、この珍魚を釣り上げた者は、炎の漁師と呼ばれて褒め称えられる……らしいのう。			釣り道楽、猟師を救え							
溶岩に住む魚とは面白いじゃないか！そんな魚がいるんなら、あたしもお目にかかりたいもんだ！			溶岩に住む魚とは面白いじゃないか！そんな魚がいるんなら、あたしもお目にかかりたいもんだ！			釣り道楽、猟師を救え							
そのマグマワームって餌、あたしは知らないけど……。「アンソールム」なら、各地を旅しているというし、ひょっとして、何か知ってるんじゃないかい？			そのマグマワームって餌、あたしは知らないけど……。「アンソールム」なら、各地を旅しているというし、ひょっとして、何か知ってるんじゃないかい？			釣り道楽、猟師を救え							
そのマグマワームって餌、あたしは知らないけど……。「アンソールム」なら、各地を旅しているというし、ひょっとして、何か知ってるんじゃないかい？			そのマグマワームって餌、あたしは知らないけど……。「アンソールム」なら、各地を旅しているというし、ひょっとして、何か知ってるんじゃないかい？			釣り道楽、猟師を救え							
君の腕前、しかと見せてもらったよ……！			君の腕前、しかと見せてもらったよ……！			釣り道楽、猟師を救え							
おお、レイナの頼み事には応えられたみたいだな！……ん、オレに聞きたいことがあるってか？			おお、レイナの頼み事には応えられたみたいだな！……ん、オレに聞きたいことがあるってか？			釣り道楽、猟師を救え							
マグマワームだって……？そういや、この前、酒場で出会った園芸師と採掘師から、そんな名前の奇妙な虫をもらったことがあったな……。			マグマワームだって……？そういや、この前、酒場で出会った園芸師と採掘師から、そんな名前の奇妙な虫をもらったことがあったな……。			釣り道楽、猟師を救え							
釣り餌になるかと思ったが、まったく使えなくてなぁ。「溶岩釣り」を試したいってんなら、お前さんに譲っちゃるよ。代理で仕事をさせちまったし、礼代わりに受け取ってくれ！			釣り餌になるかと思ったが、まったく使えなくてなぁ。「溶岩釣り」を試したいってんなら、お前さんに譲っちゃるよ。代理で仕事をさせちまったし、礼代わりに受け取ってくれ！			釣り道楽、猟師を救え							
この辺りで溶岩がある場所っていうと、高地ドラヴァニアのドラゴン族が住む地域だな……。試すのは構わんが、命あっての物種……無理はすんなよ？			この辺りで溶岩がある場所っていうと、高地ドラヴァニアのドラゴン族が住む地域だな……。試すのは構わんが、命あっての物種……無理はすんなよ？			釣り道楽、猟師を救え							
漁師として、未知の領域を開拓し、「溶岩釣り」が開放されました！			漁師として、未知の領域を開拓し、「溶岩釣り」が開放されました！			釣り道楽、猟師を救え							
漁師ギルドのシシプは、冒険者にブルゲール商会の仕事を任せたいようだ。			漁師ギルドのシシプは、冒険者にブルゲール商会の仕事を任せたいようだ。			飛魚乗雲							
シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シベル」と話そう。			シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シベル」と話そう。			飛魚乗雲							
シベルと話した。クルザス中央高地の「ホワイトブリム前哨地」にいるフィルミナンと話そう。			シベルと話した。クルザス中央高地の「ホワイトブリム前哨地」にいるフィルミナンと話そう。			飛魚乗雲							
フィルミナンと話した。リムサ・ロミンサの漁師ギルドにいる「シシプ」に「スプリットクラウド」を5匹納品しよう。「スプリットクラウド」はクルザス中央高地にあるイシュガルド大雲海の釣り場で、「ホバーワーム」を釣り餌にして釣ることができる。			フィルミナンと話した。リムサ・ロミンサの漁師ギルドにいる「シシプ」に「スプリットクラウド」を5匹納品しよう。「スプリットクラウド」はクルザス中央高地にあるイシュガルド大雲海の釣り場で、「ホバーワーム」を釣り餌にして釣ることができる。			飛魚乗雲							
シシプにスプリットクラウドを納品した。彼女は自分も知らなかった未知の魚に、いたく感心していた。どんな魚を注文されても釣ることができるよう、さらに漁師の修行を積もう。※漁師のレベルが50以上になると、シシプから次の漁師クエストを受注することができます。			シシプにスプリットクラウドを納品した。彼女は自分も知らなかった未知の魚に、いたく感心していた。どんな魚を注文されても釣ることができるよう、さらに漁師の修行を積もう。※漁師のレベルが50以上になると、シシプから次の漁師クエストを受注することができます。			飛魚乗雲							
シベルと話す			シベルと話す			飛魚乗雲							
ホワイトブリム前哨地のフィルミナンと話す			ホワイトブリム前哨地のフィルミナンと話す			飛魚乗雲							
漁師ギルドのシシプにスプリットクラウドを納品			漁師ギルドのシシプにスプリットクラウドを納品			飛魚乗雲							
最近、あなたの評判がすごいわ。ブルゲール商会のシベルさんから、噂が広がってるみたい。			最近、あなたの評判がすごいわ。ブルゲール商会のシベルさんから、噂が広がってるみたい。			飛魚乗雲							
「スナナマズ」と「雨乞魚」、珍魚を立て続けに釣ってきたのだもの。漁師たちが騒ぐのもムリないわ。			「スナナマズ」と「雨乞魚」、珍魚を立て続けに釣ってきたのだもの。漁師たちが騒ぐのもムリないわ。			飛魚乗雲							
もう名実ともに漁師ギルドの顔ね、あなたは。あなたの釣った魚がほしいって言って、わざわざギルドをたずねる人までいるんだから。			もう名実ともに漁師ギルドの顔ね、あなたは。あなたの釣った魚がほしいって言って、わざわざギルドをたずねる人までいるんだから。			飛魚乗雲							
ただその分、これから先も期待を裏切れないわよ？あなたならって見込んだ仕事は増えてくるだろうし。			ただその分、これから先も期待を裏切れないわよ？あなたならって見込んだ仕事は増えてくるだろうし。			飛魚乗雲							
今日だってまた、シベルさんが依頼を持ってきてるわ。力を貸してあげてくれない？			今日だってまた、シベルさんが依頼を持ってきてるわ。力を貸してあげてくれない？			飛魚乗雲							
おかげさまで、「雨乞魚」が目玉商品として注目を集め、前回のウルダハとの交易は、大成功でした！			おかげさまで、「雨乞魚」が目玉商品として注目を集め、前回のウルダハとの交易は、大成功でした！			飛魚乗雲							
それで……また、あなたを見込んで、お願いがあるんです。砂漠で魚を釣り上げた「冒険漁師」に！			それで……また、あなたを見込んで、お願いがあるんです。砂漠で魚を釣り上げた「冒険漁師」に！			飛魚乗雲							
クルザス中央高地の「イシュガルド」を望む雲海に、「スプリットクラウド」なる魚がいるそうです。この魚を、5匹仕入れてください！			クルザス中央高地の「イシュガルド」を望む雲海に、「スプリットクラウド」なる魚がいるそうです。この魚を、5匹仕入れてください！			飛魚乗雲							
雲海に棲む魚など、私としても半信半疑ではあります。しかし、我らの重要な顧客、「百鬼夜行」の頭領であるカルヴァラン氏が、是が非でもと求められていまして……。			雲海に棲む魚など、私としても半信半疑ではあります。しかし、我らの重要な顧客、「百鬼夜行」の頭領であるカルヴァラン氏が、是が非でもと求められていまして……。			飛魚乗雲							
幸いなことに、わずかですが我が商会は、武器輸出を通じて、イシュガルドに伝手があります。「フィルミナン」という人物を訪ねてください。			幸いなことに、わずかですが我が商会は、武器輸出を通じて、イシュガルドに伝手があります。「フィルミナン」という人物を訪ねてください。			飛魚乗雲							
彼がいるクルザス中央高地「ホワイトブリム前哨地」では、若い騎兵たちが、よく雲海釣りをしているそうです。同じ騎兵である彼ならば、詳しく知るやもしれません。			彼がいるクルザス中央高地「ホワイトブリム前哨地」では、若い騎兵たちが、よく雲海釣りをしているそうです。同じ騎兵である彼ならば、詳しく知るやもしれません。			飛魚乗雲							
首尾よく釣ることができたなら、シシプさんに「スプリットクラウド」を渡してください。報酬は、彼女へすでに渡してありますから。			首尾よく釣ることができたなら、シシプさんに「スプリットクラウド」を渡してください。報酬は、彼女へすでに渡してありますから。			飛魚乗雲							
リムサ・ロミンサから、「スプリットクラウド」を求めて、わざわざここに？随分と遠くから、おいでになったのですね。			リムサ・ロミンサから、「スプリットクラウド」を求めて、わざわざここに？随分と遠くから、おいでになったのですね。			飛魚乗雲							
確かに、このホワイトブリム前哨地近くの「イシュガルド大雲海」の釣り場には、空飛ぶ魚、「スプリットクラウド」が棲んでいます。			確かに、このホワイトブリム前哨地近くの「イシュガルド大雲海」の釣り場には、空飛ぶ魚、「スプリットクラウド」が棲んでいます。			飛魚乗雲							
僕ら見習い騎兵は、糧秣を節約するため、「雲海釣り」も日課ですから、釣り方も心得ておりますが、その僕たちとて、簡単に釣れるわけではないのです。			僕ら見習い騎兵は、糧秣を節約するため、「雲海釣り」も日課ですから、釣り方も心得ておりますが、その僕たちとて、簡単に釣れるわけではないのです。			飛魚乗雲							
ましてや、よそから来られた方に、軽々と釣れるかどうか。あなたは見るからにスゴ腕の漁師のようですが……それでも、「雲海釣り」は海と勝手が違うと思いますよ？			ましてや、よそから来られた方に、軽々と釣れるかどうか。あなたは見るからにスゴ腕の漁師のようですが……それでも、「雲海釣り」は海と勝手が違うと思いますよ？			飛魚乗雲							
雲海の魚は、身体にガス袋を持ってましてね。その浮力と、崖底から吹き上がる上昇気流に乗って、天敵から逃れるために、雲の中に身を潜めるんです。			雲海の魚は、身体にガス袋を持ってましてね。その浮力と、崖底から吹き上がる上昇気流に乗って、天敵から逃れるために、雲の中に身を潜めるんです。			飛魚乗雲							
エサとして好むのは、浮行性の蠕虫「ホバーワーム」。僕から教えられることは、これですべてです。あなたが、釣運に恵まれることをお祈りしますよ……。			エサとして好むのは、浮行性の蠕虫「ホバーワーム」。僕から教えられることは、これですべてです。あなたが、釣運に恵まれることをお祈りしますよ……。			飛魚乗雲							
「スプリットクラウド」を5匹、注文されたそうね。でも、空飛ぶお魚さんだなんて、本当にいるの？ともかく頑張ってちょうだいね。			「スプリットクラウド」を5匹、注文されたそうね。でも、空飛ぶお魚さんだなんて、本当にいるの？ともかく頑張ってちょうだいね。			飛魚乗雲							
これが「スプリットクラウド」……！空飛ぶお魚さんって、本当にいたのね。			これが「スプリットクラウド」……！空飛ぶお魚さんって、本当にいたのね。			飛魚乗雲							
ほほう……さすが、なかなかの大物を釣ってきたのう。こやつ、お腹の中にガスを溜めて飛ぶところは、この辺りにもいる浮クラゲに似てるぢやろ？			ほほう……さすが、なかなかの大物を釣ってきたのう。こやつ、お腹の中にガスを溜めて飛ぶところは、この辺りにもいる浮クラゲに似てるぢやろ？			飛魚乗雲							
確かに……って、親分！気が向いたときだけ、しゃしゃり出てくるんだからっ！			確かに……って、親分！気が向いたときだけ、しゃしゃり出てくるんだからっ！			飛魚乗雲							
空を飛ぶ魚ぢやから、イシュガルドでは、立身出世の願かけで食べるんぢやよ。すり身のボール入りスープは、体も心もホカホカぢや。			空を飛ぶ魚ぢやから、イシュガルドでは、立身出世の願かけで食べるんぢやよ。すり身のボール入りスープは、体も心もホカホカぢや。			飛魚乗雲							
