アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
ウロリスどもを倒したから、石切場を再建したいだって？話を聞く気にもならないよ……。			ウロリスどもを倒したから、石切場を再建したいだって？話を聞く気にもならないよ……。			石より硬い障害							
あんたになら、ウロリスも簡単に倒せるかもしれんが、戦う術を知らない俺たちには、無理な相談ってものさ。もう、村には腕自慢の若者も残ってないしね。			あんたになら、ウロリスも簡単に倒せるかもしれんが、戦う術を知らない俺たちには、無理な相談ってものさ。もう、村には腕自慢の若者も残ってないしね。			石より硬い障害							
石切場を再建する話なんて、聞く気にもならないよ……。あんたになら、ウロリスも簡単に倒せるかもしれんが、戦う術を知らない俺たちには、無理な相談ってものさ。			石切場を再建する話なんて、聞く気にもならないよ……。あんたになら、ウロリスも簡単に倒せるかもしれんが、戦う術を知らない俺たちには、無理な相談ってものさ。			石より硬い障害							
石切場の再建について話があるだと？あそこの安全を確保した証拠も見せてくれるって？悪いが、興味はないな……。			石切場の再建について話があるだと？あそこの安全を確保した証拠も見せてくれるって？悪いが、興味はないな……。			石より硬い障害							
先細った採石業にしがみついても、未来は見えないよ。石材の需要なんて、今や、ほとんどないんだからな。売れ残りの石材を、金にする算段でも立てたほうがマシさ。			先細った採石業にしがみついても、未来は見えないよ。石材の需要なんて、今や、ほとんどないんだからな。売れ残りの石材を、金にする算段でも立てたほうがマシさ。			石より硬い障害							
悪いが、興味はないな……。先細った採石業にしがみついても、未来は見えないよ。売れ残りの石材を、金にする算段でも立てたほうがマシさ。			悪いが、興味はないな……。先細った採石業にしがみついても、未来は見えないよ。売れ残りの石材を、金にする算段でも立てたほうがマシさ。			石より硬い障害							
採石再開の説明をするですって？もしや、うちの爺様……セイヤーから頼まれたのですか？			採石再開の説明をするですって？もしや、うちの爺様……セイヤーから頼まれたのですか？			石より硬い障害							
爺様ったら、またそんな夢物語を……。うちの爺様が、ご迷惑をおかけしました。貴方のお名前は？			爺様ったら、またそんな夢物語を……。うちの爺様が、ご迷惑をおかけしました。貴方のお名前は？			石より硬い障害							
Forenameさん、爺様に付き合ってくださり、ありがとうございます。これ以上、人様に迷惑をかけないよう、孫の私から言っておきます。			Forenameさん、爺様に付き合ってくださり、ありがとうございます。これ以上、人様に迷惑をかけないよう、孫の私から言っておきます。			石より硬い障害							
爺様もいい歳なんだから、大人しく隠居していてほしいものです……。人様に迷惑をかけないよう、言い聞かせておきますね。			爺様もいい歳なんだから、大人しく隠居していてほしいものです……。人様に迷惑をかけないよう、言い聞かせておきますね。			石より硬い障害							
おお、皆に呼びかけてくれたか、ありがとう。カッカッカッ、あの核を見て、驚く皆の様子が目に浮かぶわい。			おお、皆に呼びかけてくれたか、ありがとう。カッカッカッ、あの核を見て、驚く皆の様子が目に浮かぶわい。			石より硬い障害							
爺様、残念ながら、ここには誰も来ないわよ。大人しく家に帰りましょう。			爺様、残念ながら、ここには誰も来ないわよ。大人しく家に帰りましょう。			石より硬い障害							
なんだって！？さては、お前が村人とグルになって、わしの邪魔をしようというのか……！？			なんだって！？さては、お前が村人とグルになって、わしの邪魔をしようというのか……！？			石より硬い障害							
そんなわけないでしょ？本当は、爺様だって気付いてるはずよ？売る当てもない石を切り出しても、意味がないってことに……。			そんなわけないでしょ？本当は、爺様だって気付いてるはずよ？売る当てもない石を切り出しても、意味がないってことに……。			石より硬い障害							
爺様、そろそろ現実から目をそらすのをやめて。老体に鞭打って、徒労を重ねる爺様が、痛々しくて見ていられないわ……。			爺様、そろそろ現実から目をそらすのをやめて。老体に鞭打って、徒労を重ねる爺様が、痛々しくて見ていられないわ……。			石より硬い障害							
と、徒労とは何事だ！？未来を信じているからこそ、今日働くのではないか！			と、徒労とは何事だ！？未来を信じているからこそ、今日働くのではないか！			石より硬い障害							
だが、このまま互いに意見をぶつけ合っても、結論は出まい。ここは、第三者に、意見を求めてみよう。			だが、このまま互いに意見をぶつけ合っても、結論は出まい。ここは、第三者に、意見を求めてみよう。			石より硬い障害							
Forenameよ、お主は、わしの考え……採石業に未来はあると信じるか？			Forenameよ、お主は、わしの考え……採石業に未来はあると信じるか？			石より硬い障害							
セイヤーを信じるか？			セイヤーを信じるか？			石より硬い障害							
信じる			信じる			石より硬い障害							
信じられない			信じられない			石より硬い障害							
…………			…………			石より硬い障害							
さすがは、ワークラタを救った者じゃ！諦めずに行動することこそが、未来を拓くと、知っておるのだな！			さすがは、ワークラタを救った者じゃ！諦めずに行動することこそが、未来を拓くと、知っておるのだな！			石より硬い障害							
Forenameさんの優しさに甘えないで！可哀想な爺様のことを、気遣って言ってくれているだけよ。			Forenameさんの優しさに甘えないで！可哀想な爺様のことを、気遣って言ってくれているだけよ。			石より硬い障害							
なんと、ワークラタを救った者とは思えぬ態度！しょせんは外の者……アラガーナの石切職人の魂など、理解できぬということか……。			なんと、ワークラタを救った者とは思えぬ態度！しょせんは外の者……アラガーナの石切職人の魂など、理解できぬということか……。			石より硬い障害							
爺様が村のために声をあげてくれているのは、わかってるわ。でも、採石業に未来がない現実は、受け入れなきゃ。			爺様が村のために声をあげてくれているのは、わかってるわ。でも、採石業に未来がない現実は、受け入れなきゃ。			石より硬い障害							
フン、人に頼ろうとしたわしが愚かだった……。希望を持たぬ者に、言葉を重ねたところで届かぬのも道理……。やはり、わし自身が手本を示すしかないな！			フン、人に頼ろうとしたわしが愚かだった……。希望を持たぬ者に、言葉を重ねたところで届かぬのも道理……。やはり、わし自身が手本を示すしかないな！			石より硬い障害							
まったく、頑固なんだから……。見てのとおり、身内の私には遠慮もないので、いつも、終いにはこうして大ゲンカになってしまいます。			まったく、頑固なんだから……。見てのとおり、身内の私には遠慮もないので、いつも、終いにはこうして大ゲンカになってしまいます。			石より硬い障害							
爺様はへそを曲げると、しばらく私と話そうともしません。それでも心配ですので、申し訳ないですが、爺様を追って、もう少し、付き合ってあげてくださいませんか？			爺様はへそを曲げると、しばらく私と話そうともしません。それでも心配ですので、申し訳ないですが、爺様を追って、もう少し、付き合ってあげてくださいませんか？			石より硬い障害							
なにが「現実を受け入れろ」じゃ！どいつも、知った風なことをぬかしおって！			なにが「現実を受け入れろ」じゃ！どいつも、知った風なことをぬかしおって！			石より硬い障害							
なんだ、お主、まだわしの話を聞こうというのか？だったら、存分にアラガーナの黄金時代の話をしてやろう！			なんだ、お主、まだわしの話を聞こうというのか？だったら、存分にアラガーナの黄金時代の話をしてやろう！			石より硬い障害							
……あの頃は、いくら働いても足りないほどに忙しかったもんだ。だが、石を切りだすほどに、家族も村も潤っていったから、やりがいがあるというものだった。			……あの頃は、いくら働いても足りないほどに忙しかったもんだ。だが、石を切りだすほどに、家族も村も潤っていったから、やりがいがあるというものだった。			石より硬い障害							
だから、石切場を寝床にして、寝ても覚めても働いた。どんなに辛くとも、ノミと槌で音頭を取って「石切歌」を歌えば、不思議と力が湧いてきてなぁ……。			だから、石切場を寝床にして、寝ても覚めても働いた。どんなに辛くとも、ノミと槌で音頭を取って「石切歌」を歌えば、不思議と力が湧いてきてなぁ……。			石より硬い障害							
懐かしいもんじゃ……あの歌を歌うと……。んんっ……石切歌……！？			懐かしいもんじゃ……あの歌を歌うと……。んんっ……石切歌……！？			石より硬い障害							
そうか、石切歌だ！これで、村人の冷え切った心にも火を点けられるに違いない！カッカッカッ、お主、わしの名案を聞くがいい！			そうか、石切歌だ！これで、村人の冷え切った心にも火を点けられるに違いない！カッカッカッ、お主、わしの名案を聞くがいい！			石より硬い障害							
アラガーナのスィートラヴは、石切歌の二番を教えてくれるようだ。			アラガーナのスィートラヴは、石切歌の二番を教えてくれるようだ。			語り継がれた石							
スィートラヴから石切歌の二番を聞きだしたセイヤーから、真の目的地で採石をするため、護衛を依頼された。ギラバニア山岳地帯の涙隠しの丘にいる「セイヤー」と話そう。			スィートラヴから石切歌の二番を聞きだしたセイヤーから、真の目的地で採石をするため、護衛を依頼された。ギラバニア山岳地帯の涙隠しの丘にいる「セイヤー」と話そう。			語り継がれた石							
セイヤーと話した。真の目的地の安全を確保するため、涙隠しの丘の「指定地点」で見渡して、死霊が現れたら討伐しよう。			セイヤーと話した。真の目的地の安全を確保するため、涙隠しの丘の「指定地点」で見渡して、死霊が現れたら討伐しよう。			語り継がれた石							
採石地点の安全を確保した。涙隠しの丘の「セイヤー」に報告しよう。			採石地点の安全を確保した。涙隠しの丘の「セイヤー」に報告しよう。			語り継がれた石							
セイヤーに報告し、彼は採石を始めるという。アラガーナの「スィートラヴ」に報告しよう。			セイヤーに報告し、彼は採石を始めるという。アラガーナの「スィートラヴ」に報告しよう。			語り継がれた石							
アラガーナのスィートラヴに報告した。セイヤーは宝石の原石を発見し、村人の協力を取り付けることができた。今後も、セイヤーの不屈の決意が村人たちを勇気づけ、アラガーナも活気を取り戻していくだろう。			アラガーナのスィートラヴに報告した。セイヤーは宝石の原石を発見し、村人の協力を取り付けることができた。今後も、セイヤーの不屈の決意が村人たちを勇気づけ、アラガーナも活気を取り戻していくだろう。			語り継がれた石							
セイヤーと話す			セイヤーと話す			語り継がれた石							
指定地点で見渡し、死霊が現れたら討伐			指定地点で見渡し、死霊が現れたら討伐			語り継がれた石							
涙隠しの丘のセイヤーに報告			涙隠しの丘のセイヤーに報告			語り継がれた石							
スィートラヴに報告			スィートラヴに報告			語り継がれた石							
二番のことなど、すっかり忘れていた……。そこに、新たな発見があるかもしれん！いったい、どんな内容なのだ……？			二番のことなど、すっかり忘れていた……。そこに、新たな発見があるかもしれん！いったい、どんな内容なのだ……？			語り継がれた石							
石切歌の二番は、あまり歌われないって父さんは言ってたわ。でも、父さんは二番のほうが好きで、子守唄でも、しっかりと歌ってくれていたの。			石切歌の二番は、あまり歌われないって父さんは言ってたわ。でも、父さんは二番のほうが好きで、子守唄でも、しっかりと歌ってくれていたの。			語り継がれた石							
石切の作業中は、一番ばかりを繰り返すもんだから、そっちだけが、頭に染みついていたようだ。			石切の作業中は、一番ばかりを繰り返すもんだから、そっちだけが、頭に染みついていたようだ。			語り継がれた石							
爺様が、忘れてしまうのも無理ないわ。二番も、前半の歌詞は一番とまったく同じで、違っているのは、後半だけだもの。			爺様が、忘れてしまうのも無理ないわ。二番も、前半の歌詞は一番とまったく同じで、違っているのは、後半だけだもの。			語り継がれた石							
「斑目、境目、石売るな　あの子に捧ぐ、小石を拾え」が、「現世、境目、石売りな　先人守る、小石を売りな」と変わるのよ。			「斑目、境目、石売るな　あの子に捧ぐ、小石を拾え」が、「現世、境目、石売りな　先人守る、小石を売りな」と変わるのよ。			語り継がれた石							
つまり、売るべき小石の在処は、現世(うつしよ)とあの世の境目で、先人に護られているというわけか……。			つまり、売るべき小石の在処は、現世(うつしよ)とあの世の境目で、先人に護られているというわけか……。			語り継がれた石							
子どもの頃は、気付かなかったけれど、現世との境目だなんて、少し不気味な歌詞ね……。			子どもの頃は、気付かなかったけれど、現世との境目だなんて、少し不気味な歌詞ね……。			語り継がれた石							
ふむ、確かに「先人」という歌詞も、死者を連想させるな……。もしや、「涙隠しの丘」を示しているということか？			ふむ、確かに「先人」という歌詞も、死者を連想させるな……。もしや、「涙隠しの丘」を示しているということか？			語り継がれた石							
「涙隠しの丘」と言えば、昔は村のお墓だった場所よね？今では、すっかり訪れる人もいなくなってしまったけど……。			「涙隠しの丘」と言えば、昔は村のお墓だった場所よね？今では、すっかり訪れる人もいなくなってしまったけど……。			語り継がれた石							
神々への信仰を否定する帝国がやってきて以来、御霊を鎮める儀式が禁じられてしまったからな。そのせいで、あの丘には死霊が出没するとも聞く……。			神々への信仰を否定する帝国がやってきて以来、御霊を鎮める儀式が禁じられてしまったからな。そのせいで、あの丘には死霊が出没するとも聞く……。			語り継がれた石							
今すぐにでも、現地で「売るべき小石」の有無を、探してみたいもんだが、それにはある程度の時間が必要だ。			今すぐにでも、現地で「売るべき小石」の有無を、探してみたいもんだが、それにはある程度の時間が必要だ。			語り継がれた石							
Forename、度々、頼ってしまい申し訳ないが、共に涙隠しの丘に来てくれないか？			Forename、度々、頼ってしまい申し訳ないが、共に涙隠しの丘に来てくれないか？			語り継がれた石							
感謝する。この希望を、必ずや掘り出してみせるぞ！			感謝する。この希望を、必ずや掘り出してみせるぞ！			語り継がれた石							
涙隠しの丘は、長らく御霊を鎮める儀式が行われず、死霊が出没するようになったと、聞いています。爺様を、どうぞよろしくお願いします。			涙隠しの丘は、長らく御霊を鎮める儀式が行われず、死霊が出没するようになったと、聞いています。爺様を、どうぞよろしくお願いします。			語り継がれた石							
よし、Forenameよ。この先が、石切歌に歌われていた「涙隠しの丘」だ。すまぬが、危険がないか確認してくれんかの？			よし、Forenameよ。この先が、石切歌に歌われていた「涙隠しの丘」だ。すまぬが、危険がないか確認してくれんかの？			語り継がれた石							
辺りを見渡して、死霊がおったら鎮めてくれい。安全が確保されたら、「売るべき小石」を見つけてみる。石切職人の意地にかけてな！			辺りを見渡して、死霊がおったら鎮めてくれい。安全が確保されたら、「売るべき小石」を見つけてみる。石切職人の意地にかけてな！			語り継がれた石							
この先で、辺りを見渡して、死霊がおったら鎮めてくれい。安全が確保されたら、「売るべき小石」を見つけてみる。石切職人の意地にかけてな！			この先で、辺りを見渡して、死霊がおったら鎮めてくれい。安全が確保されたら、「売るべき小石」を見つけてみる。石切職人の意地にかけてな！			語り継がれた石							
このあたりには、死霊はいないようだ。			このあたりには、死霊はいないようだ。			語り継がれた石							
無事だったか。確かに、さっきまでの不気味な気配が消えたようだ。			無事だったか。確かに、さっきまでの不気味な気配が消えたようだ。			語り継がれた石							
これなら、後はわし独りでも問題なく試掘できそうだ。お主は、一足先にアラガーナに戻り、スィートラヴに状況を知らせて、安心させてやってくれ。			これなら、後はわし独りでも問題なく試掘できそうだ。お主は、一足先にアラガーナに戻り、スィートラヴに状況を知らせて、安心させてやってくれ。			語り継がれた石							
お主のおかげで、後はわし独りでも問題なく試掘できそうだ。お主は、一足先にアラガーナに戻り、スィートラヴに状況を知らせて、安心させてやってくれ。			お主のおかげで、後はわし独りでも問題なく試掘できそうだ。お主は、一足先にアラガーナに戻り、スィートラヴに状況を知らせて、安心させてやってくれ。			語り継がれた石							
Forenameさん、お帰りなさい！あの……爺様は……？			Forenameさん、お帰りなさい！あの……爺様は……？			語り継がれた石							
Forenameさんが、爺様ひとりで作業ができるよう、安全を確保してくださったのですね。			Forenameさんが、爺様ひとりで作業ができるよう、安全を確保してくださったのですね。			語り継がれた石							
ありがとうございます。はあ……でも、戻るまでは落ち着きませんね。爺様は、年甲斐もなく無茶をしがちだから……。			ありがとうございます。はあ……でも、戻るまでは落ち着きませんね。爺様は、年甲斐もなく無茶をしがちだから……。			語り継がれた石							
(-セイヤーの声-)お前は、ちと心配し過ぎるぞ。わしを、老人扱いするなと何度言わせる。			(-セイヤーの声-)お前は、ちと心配し過ぎるぞ。わしを、老人扱いするなと何度言わせる。			語り継がれた石							
軽く試掘しただけで、輝く宝石の原石が見つかったぞ。帝国の支配が終わった今、ウルダハとの交易も始まる。彫金師たちが、高値で買ってくれるだろう。			軽く試掘しただけで、輝く宝石の原石が見つかったぞ。帝国の支配が終わった今、ウルダハとの交易も始まる。彫金師たちが、高値で買ってくれるだろう。			語り継がれた石							
軽く試掘しただけで、ひと目でわかる原石が見つかったぞ。帝国の支配が終われば、ウルダハとの交易も始まる。彫金師たちが、高値で買ってくれることだろう。			軽く試掘しただけで、ひと目でわかる原石が見つかったぞ。帝国の支配が終われば、ウルダハとの交易も始まる。彫金師たちが、高値で買ってくれることだろう。			語り継がれた石							
墓地の周囲で、採掘しようなどという者はいない。それを見越した先人が、いつか採石業が廃れたときに備え、鉱脈を残しておこうと、あの丘を慰霊の場としたのだろう。			墓地の周囲で、採掘しようなどという者はいない。それを見越した先人が、いつか採石業が廃れたときに備え、鉱脈を残しておこうと、あの丘を慰霊の場としたのだろう。			語り継がれた石							
そして、この事実を後世に伝えるため、石切歌の一節に、大切な秘密を込めたのだ……。まさに、先人が護りし宝だな……。			そして、この事実を後世に伝えるため、石切歌の一節に、大切な秘密を込めたのだ……。まさに、先人が護りし宝だな……。			語り継がれた石							
まあ、本当に綺麗……。この輝きは、アラガーナの未来を照らす希望ね。早速、皆にも、知らせてあげましょう！			まあ、本当に綺麗……。この輝きは、アラガーナの未来を照らす希望ね。早速、皆にも、知らせてあげましょう！			語り継がれた石							
うむ、ひと目で高値が付くとわかる原石だ……。これならば、村に残された者たちだけで採掘を行っても、相当な収入が期待できるだろう。			うむ、ひと目で高値が付くとわかる原石だ……。これならば、村に残された者たちだけで採掘を行っても、相当な収入が期待できるだろう。			語り継がれた石							
まさか、こんなお宝があったとはな……。セイヤーの爺さん、話を聞かず邪険に扱ってすまなかった！			まさか、こんなお宝があったとはな……。セイヤーの爺さん、話を聞かず邪険に扱ってすまなかった！			語り継がれた石							
爺様が、希望を探し続けてくれたからこその大発見ね。コツコツとノミをふるって、困難という硬い石をも砕く……これぞ、石切職人といったところかしら！			爺様が、希望を探し続けてくれたからこその大発見ね。コツコツとノミをふるって、困難という硬い石をも砕く……これぞ、石切職人といったところかしら！			語り継がれた石							
不幸に慣れすぎて、我慢するのが当然だと思ってたが、これからは、爺さんの分まで俺たちが頑張るよ。			不幸に慣れすぎて、我慢するのが当然だと思ってたが、これからは、爺さんの分まで俺たちが頑張るよ。			語り継がれた石							
いやいや、わしの方こそ、お主たちの気持ちを考えず、怒りをぶつけてしまった……。じゃが、これからは皆で、また協力して働き続けるぞい！			いやいや、わしの方こそ、お主たちの気持ちを考えず、怒りをぶつけてしまった……。じゃが、これからは皆で、また協力して働き続けるぞい！			語り継がれた石							
歳なんだから、引退してほしいところだけど……爺様は、動き回っていた方が元気なのかもしれないわね。			歳なんだから、引退してほしいところだけど……爺様は、動き回っていた方が元気なのかもしれないわね。			語り継がれた石							
うむ、ようやく気付いたか。信じてノミを振えば、道を阻む石は必ずや砕けるのだ。			うむ、ようやく気付いたか。信じてノミを振えば、道を阻む石は必ずや砕けるのだ。			語り継がれた石							
さあ、皆の衆、採石を始めるとするかの！もちろん、石切歌を歌いながらな！！			さあ、皆の衆、採石を始めるとするかの！もちろん、石切歌を歌いながらな！！			語り継がれた石							
Forenameよ、お主がいなければ、ここまでこれなかった。本当に感謝している。			Forenameよ、お主がいなければ、ここまでこれなかった。本当に感謝している。			語り継がれた石							
これからは、お主の助けがなくとも、皆と助け合って、やっていけるだろう。お主の幸運を、ノミを振いつつ祈っているぞ！			これからは、お主の助けがなくとも、皆と助け合って、やっていけるだろう。お主の幸運を、ノミを振いつつ祈っているぞ！			語り継がれた石							
アラガーナのラガンフリッドは、冒険者に頼みたいことがあるようだ。			アラガーナのラガンフリッドは、冒険者に頼みたいことがあるようだ。			石切場を取り戻せ							
ラガンフリッドから、元石切職人の村人に会うよう依頼された。アラガーナの「セイヤー」と話そう。			ラガンフリッドから、元石切職人の村人に会うよう依頼された。アラガーナの「セイヤー」と話そう。			石切場を取り戻せ							
セイヤーと話した。彼は、石切場を取り戻そうと呼び掛けているが、協力者がいないようだ。アラガーナの「セイヤー」と再度話そう。			セイヤーと話した。彼は、石切場を取り戻そうと呼び掛けているが、協力者がいないようだ。アラガーナの「セイヤー」と再度話そう。			石切場を取り戻せ							
セイヤーと再度話した。石切場を取り戻したことを証明するため、ギラバニア山岳地帯のスリーピングストーンズ採石場で「マーブル・ウロリス」から「ウロリスの心核」を2つ入手しよう。			セイヤーと再度話した。石切場を取り戻したことを証明するため、ギラバニア山岳地帯のスリーピングストーンズ採石場で「マーブル・ウロリス」から「ウロリスの心核」を2つ入手しよう。			石切場を取り戻せ							
ウロリスの心核を入手した。アラガーナの「セイヤー」に、「ウロリスの心核」を渡そう。			ウロリスの心核を入手した。アラガーナの「セイヤー」に、「ウロリスの心核」を渡そう。			石切場を取り戻せ							
セイヤーにウロリスの心核を渡した。これで、村人たちの意欲を掻き立てることができるだろうか……？			セイヤーにウロリスの心核を渡した。これで、村人たちの意欲を掻き立てることができるだろうか……？			石切場を取り戻せ							
セイヤーと話す			セイヤーと話す			石切場を取り戻せ							
セイヤーと再度話す			セイヤーと再度話す			石切場を取り戻せ							
マーブル・ウロリスからウロリスの心核を入手			マーブル・ウロリスからウロリスの心核を入手			石切場を取り戻せ							
セイヤーにウロリスの心核を渡す			セイヤーにウロリスの心核を渡す			石切場を取り戻せ							
誰かと思えば、お前か……。まだこの村を見捨てずに、救いの手を差し伸べてくれると？ならば、紹介したい男がいる。			誰かと思えば、お前か……。まだこの村を見捨てずに、救いの手を差し伸べてくれると？ならば、紹介したい男がいる。			石切場を取り戻せ							
その者の名は「セイヤー」。かつて、アラガーナの繁栄を支えた石切職人のひとりだ。			その者の名は「セイヤー」。かつて、アラガーナの繁栄を支えた石切職人のひとりだ。			石切場を取り戻せ							
採石業が下火になった今なお、この村を蘇らせようと、諦めずに独り奮闘しているのだが、老齢ゆえに心配でな……。よければ、声を掛けて話し相手にでもなってやってほしい。			採石業が下火になった今なお、この村を蘇らせようと、諦めずに独り奮闘しているのだが、老齢ゆえに心配でな……。よければ、声を掛けて話し相手にでもなってやってほしい。			石切場を取り戻せ							
多くのことを諦めてきた者たちが暮らすアラガーナでは、独り奮闘を続ける「セイヤー」は、浮いた存在になりつつある。もしよければ、声を掛けて話し相手にでもなってやってほしい。			多くのことを諦めてきた者たちが暮らすアラガーナでは、独り奮闘を続ける「セイヤー」は、浮いた存在になりつつある。もしよければ、声を掛けて話し相手にでもなってやってほしい。			石切場を取り戻せ							
なんだ、なんだ……？セイヤーの爺さんが、また騒ぎ始めたぞ……。			なんだ、なんだ……？セイヤーの爺さんが、また騒ぎ始めたぞ……。			石切場を取り戻せ							
おお、よく来てくれた！もっと村の者を集めているから、しばし待っておれ。			おお、よく来てくれた！もっと村の者を集めているから、しばし待っておれ。			石切場を取り戻せ							
なんだ、なんだ……？セイヤーの爺さんが、また騒ぎ始めたぞ……。			なんだ、なんだ……？セイヤーの爺さんが、また騒ぎ始めたぞ……。			石切場を取り戻せ							
よし、集まったようだな……。皆の者、よく聞け！いつまで、この貧しさに甘んじるつもりだ！			よし、集まったようだな……。皆の者、よく聞け！いつまで、この貧しさに甘んじるつもりだ！			石切場を取り戻せ							
若い衆は知らんだろうが、この村は、かつて採石で、そりゃあ栄えていた！あの頃のように石切場で働けば、暮らし向きも必ず上向く！			若い衆は知らんだろうが、この村は、かつて採石で、そりゃあ栄えていた！あの頃のように石切場で働けば、暮らし向きも必ず上向く！			石切場を取り戻せ							
やれやれ、また始まった……。爺さん、いいかげん現実を見ろよ。			やれやれ、また始まった……。爺さん、いいかげん現実を見ろよ。			石切場を取り戻せ							
もう、ここの石材が高値で売れる時代じゃないんだ。汗水垂らして働いたって、肝心の石が売れなきゃ意味がない。無駄な努力をするくらいなら、釣りでもして飯を探すさ。			もう、ここの石材が高値で売れる時代じゃないんだ。汗水垂らして働いたって、肝心の石が売れなきゃ意味がない。無駄な努力をするくらいなら、釣りでもして飯を探すさ。			石切場を取り戻せ							
皆の者、諦めるな、諦めたらそこで終わりだ。ノミをふるい続けてこそ、石は砕ける……人生も同じだ。			皆の者、諦めるな、諦めたらそこで終わりだ。ノミをふるい続けてこそ、石は砕ける……人生も同じだ。			石切場を取り戻せ							
(-苛立っている娘の声-)爺様、もう勘弁して……！			(-苛立っている娘の声-)爺様、もう勘弁して……！			石切場を取り戻せ							
(-苛立っている娘-)この村の生活に満足してる人なんていないわ。でも、どうにもならないんだから、皆を追い詰めないで。			(-苛立っている娘-)この村の生活に満足してる人なんていないわ。でも、どうにもならないんだから、皆を追い詰めないで。			石切場を取り戻せ							
スィートラヴ……。アラガーナを支えた石切職人の孫ともあろうお前が、そんな弱気だから、ほかの者たちも諦めてしまうのだ……。			スィートラヴ……。アラガーナを支えた石切職人の孫ともあろうお前が、そんな弱気だから、ほかの者たちも諦めてしまうのだ……。			石切場を取り戻せ							
昔、切り出した石の残りと、壊れた建物から取る石材だけで、事足りる程度の需要しかないのよ……。			昔、切り出した石の残りと、壊れた建物から取る石材だけで、事足りる程度の需要しかないのよ……。			石切場を取り戻せ							
魔物に襲われる危険を冒してまで、石切場に行くことはないわ。生きてるだけでも、ありがたいと思わなきゃ。さあ爺様、お家に帰りましょう……。			魔物に襲われる危険を冒してまで、石切場に行くことはないわ。生きてるだけでも、ありがたいと思わなきゃ。さあ爺様、お家に帰りましょう……。			石切場を取り戻せ							
ぐぬぬぬぬ、試しもせずに、諦めるとは……。最善を尽くさなければ、人生に納得などできなかろうに……。			ぐぬぬぬぬ、試しもせずに、諦めるとは……。最善を尽くさなければ、人生に納得などできなかろうに……。			石切場を取り戻せ							
いかにも、わしは石切職人のセイヤーだ。そうか、ラガンフリッドから、わしの話を……。先ほどは必死で、お主が外の者だとは気付かなんだ。			いかにも、わしは石切職人のセイヤーだ。そうか、ラガンフリッドから、わしの話を……。先ほどは必死で、お主が外の者だとは気付かなんだ。			石切場を取り戻せ							
Forenameといったな？なるほど、お主がワークラタを救ったという者だったか。ふむ、お主の目は諦めで曇ってはおらんようじゃな……。			Forenameといったな？なるほど、お主がワークラタを救ったという者だったか。ふむ、お主の目は諦めで曇ってはおらんようじゃな……。			石切場を取り戻せ							
ならば、話し相手になってもらうとするかの……。わしの考えが、間違っておらんことがわかるだろう。			ならば、話し相手になってもらうとするかの……。わしの考えが、間違っておらんことがわかるだろう。			石切場を取り戻せ							
この村は、石切場として発展してな。この地で切り出された石は、美しさと丈夫さで知られ、かのアラミゴ王宮にも用いられるほど、名高かったもんだ。			この村は、石切場として発展してな。この地で切り出された石は、美しさと丈夫さで知られ、かのアラミゴ王宮にも用いられるほど、名高かったもんだ。			石切場を取り戻せ							
だが、帝国の侵略で、状況はがらりと変わった……。石造りのアラミゴ建築は野蛮とされ、冷たく無粋な金属を用いた、帝国様式こそが「文明的」と、もてはやされたのだ！			だが、帝国の侵略で、状況はがらりと変わった……。石造りのアラミゴ建築は野蛮とされ、冷たく無粋な金属を用いた、帝国様式こそが「文明的」と、もてはやされたのだ！			石切場を取り戻せ							
さらに帝国軍による徴兵と、それに抗う解放運動がトドメを刺した。若者は村から姿を消し、維持もままならなくなった石切場は、今や魔物どもがはびこり、近づくこともかなわん。			さらに帝国軍による徴兵と、それに抗う解放運動がトドメを刺した。若者は村から姿を消し、維持もままならなくなった石切場は、今や魔物どもがはびこり、近づくこともかなわん。			石切場を取り戻せ							
村人たちは日々を生き延びるだけで精いっぱい。だが、あの石切場さえ取り戻せれば……。仕事を持ち、生きがいがあれば、村人の生きる力も湧こう……。			村人たちは日々を生き延びるだけで精いっぱい。だが、あの石切場さえ取り戻せれば……。仕事を持ち、生きがいがあれば、村人の生きる力も湧こう……。			石切場を取り戻せ							
ワークラタを救ったという、その腕っ節を見込んで頼みがある。			ワークラタを救ったという、その腕っ節を見込んで頼みがある。			石切場を取り戻せ							
村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれんか？			村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれんか？			石切場を取り戻せ							
奴らを始末した証を村人たちに見せれば、誇りを取り戻し、石切場の再建に力を貸してくれるはずだ！			奴らを始末した証を村人たちに見せれば、誇りを取り戻し、石切場の再建に力を貸してくれるはずだ！			石切場を取り戻せ							
村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれ。			村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれ。			石切場を取り戻せ							
