シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			凄腕の狩人							
「戦場の諜報活動で学んだことはひとつ、　人は普段は建前で隠しているが、本性はみんな獣ということ。　このドマだって同じ、俺がそれを証明してやるよ」……とね。			「戦場の諜報活動で学んだことはひとつ、　人は普段は建前で隠しているが、本性はみんな獣ということ。　このドマだって同じ、俺がそれを証明してやるよ」……とね。			ふたりの偽者							
悪い冗談だと思っていましたが、サミダレは嘘を吹聴して人を争わせる事件を起こし、ドマから逃亡したのです。			悪い冗談だと思っていましたが、サミダレは嘘を吹聴して人を争わせる事件を起こし、ドマから逃亡したのです。			ふたりの偽者							
のちに彼の家屋を調べたところ、「自由の扉」という組織の書簡が発見されました。保管していたものを持ってきたので、読ませていただきますね。			のちに彼の家屋を調べたところ、「自由の扉」という組織の書簡が発見されました。保管していたものを持ってきたので、読ませていただきますね。			ふたりの偽者							
『拝啓サミダレ様、先日は悪の秘密組織「自由の扉」、　第一回幹部選考会にご参加いただきありがとうございます』			『拝啓サミダレ様、先日は悪の秘密組織「自由の扉」、　第一回幹部選考会にご参加いただきありがとうございます』			ふたりの偽者							
『厳正な審査の結果、あなた様は合格となりました。　つきましては、皆で顔合わせをしたく、　是非とも同封の乗船券で、トライヨラまでお越しください』			『厳正な審査の結果、あなた様は合格となりました。　つきましては、皆で顔合わせをしたく、　是非とも同封の乗船券で、トライヨラまでお越しください』			ふたりの偽者							
「自由の扉」は各地の情勢に目を光らせ、サミダレのように、己の欲望に忠実な人材を集めていたのかな。			「自由の扉」は各地の情勢に目を光らせ、サミダレのように、己の欲望に忠実な人材を集めていたのかな。			ふたりの偽者							
そうして、トラル大陸へと渡って、アタシの集落にある擬態の力が込められた祭器を盗んだ。歪んだ目的を果たすために……。			そうして、トラル大陸へと渡って、アタシの集落にある擬態の力が込められた祭器を盗んだ。歪んだ目的を果たすために……。			ふたりの偽者							
おそらく、そういうことになるのでしょうね。彼が、その祭器という品の存在を知ったのも、「自由の扉」なる組織からである可能性が高い……。			おそらく、そういうことになるのでしょうね。彼が、その祭器という品の存在を知ったのも、「自由の扉」なる組織からである可能性が高い……。			ふたりの偽者							
今回、サミダレはForename殿に化けて、ドマとアジムステップで戦争を起こそうとしていたようです。			今回、サミダレはForename殿に化けて、ドマとアジムステップで戦争を起こそうとしていたようです。			ふたりの偽者							
内乱の誘発は、諜報員としての得意技……。貴方のおかげで大事には至りませんでしたが、姿や声を完全に擬態する能力は大きな脅威です。			内乱の誘発は、諜報員としての得意技……。貴方のおかげで大事には至りませんでしたが、姿や声を完全に擬態する能力は大きな脅威です。			ふたりの偽者							
今後、ヤツが対象についてより慎重に下調べを進めたうえで、擬態するようになったらどうなることか……。どうか、くれぐれもお気をつけください。			今後、ヤツが対象についてより慎重に下調べを進めたうえで、擬態するようになったらどうなることか……。どうか、くれぐれもお気をつけください。			ふたりの偽者							
このまま、やみくもに周囲を探したところで、鳥や獣に擬態したサミダレを見つけることはできないだろう。			このまま、やみくもに周囲を探したところで、鳥や獣に擬態したサミダレを見つけることはできないだろう。			ふたりの偽者							
ひとまずクガネに戻ろう。アタシの過去についても、あっちに着いたら詳しく話すよ。			ひとまずクガネに戻ろう。アタシの過去についても、あっちに着いたら詳しく話すよ。			ふたりの偽者							
今回も、手伝ってくれたこと感謝しているよ。アタシのせいで取り逃がしてしまったけど……祭器を強奪した者の名がわかったのは収穫だったね。			今回も、手伝ってくれたこと感謝しているよ。アタシのせいで取り逃がしてしまったけど……祭器を強奪した者の名がわかったのは収穫だったね。			ふたりの偽者							
それから……今まで騙していてすまなかった。アタシは集落イチの凄腕の狩人、イットカじゃないんだ。			それから……今まで騙していてすまなかった。アタシは集落イチの凄腕の狩人、イットカじゃないんだ。			ふたりの偽者							
(-クイーキ-)本当の名は「クイーキ」。イットカと同じ集落の出身だし、一応は狩人のつもりだけど、弓の腕は知ってのとおり、落ちこぼれさ。			(-クイーキ-)本当の名は「クイーキ」。イットカと同じ集落の出身だし、一応は狩人のつもりだけど、弓の腕は知ってのとおり、落ちこぼれさ。			ふたりの偽者							
(-クイーキ-)なにより、祭器を盗まれたのも、元はといえば、アタシが勝手に持ち出したせいなんだ。			(-クイーキ-)なにより、祭器を盗まれたのも、元はといえば、アタシが勝手に持ち出したせいなんだ。			ふたりの偽者							
(-クイーキ-)本来、祭器は集落の最奥にある聖所に安置され、それに触るのを許されているのは、イットカだけ……。			(-クイーキ-)本来、祭器は集落の最奥にある聖所に安置され、それに触るのを許されているのは、イットカだけ……。			ふたりの偽者							
(-クイーキ-)アタシたちの故郷は獲物が豊富な反面、凶暴な猛獣も多くてさ。集落に害をなす存在を追い払うときにのみ、祭器を使うことを許されてるんだ。			(-クイーキ-)アタシたちの故郷は獲物が豊富な反面、凶暴な猛獣も多くてさ。集落に害をなす存在を追い払うときにのみ、祭器を使うことを許されてるんだ。			ふたりの偽者							
(-クイーキ-)だけど、そんな大切な物を、アタシは自分のために使ってしまった……。			(-クイーキ-)だけど、そんな大切な物を、アタシは自分のために使ってしまった……。			ふたりの偽者							
(-クイーキ-)狩りが下手で、ろくな獲物を捕れなかったアタシは、炊事や洗濯、道具の手入れといった仕事にまわされていた。			(-クイーキ-)狩りが下手で、ろくな獲物を捕れなかったアタシは、炊事や洗濯、道具の手入れといった仕事にまわされていた。			ふたりの偽者							
(-クイーキ-)一度でも大物を仕留めてみせれば、狩人として認めてもらえるんじゃないかと思って……祭器の力でイットカに擬態したんだ。			(-クイーキ-)一度でも大物を仕留めてみせれば、狩人として認めてもらえるんじゃないかと思って……祭器の力でイットカに擬態したんだ。			ふたりの偽者							
(-クイーキ-)アゲハの祭器は、姿だけじゃなく能力まで再現する。集落イチの狩人と同じ弓の腕前を手に入れたアタシは、そりゃあ、見事な獲物を射抜いたよ。			(-クイーキ-)アゲハの祭器は、姿だけじゃなく能力まで再現する。集落イチの狩人と同じ弓の腕前を手に入れたアタシは、そりゃあ、見事な獲物を射抜いたよ。			ふたりの偽者							
(-クイーキ-)だけど、その帰り道にあの男と……サミダレと出会ったんだ。			(-クイーキ-)だけど、その帰り道にあの男と……サミダレと出会ったんだ。			ふたりの偽者							
(-クイーキ-)やつは、森の獣道で倒れていた。疑うことを知らなかったアタシは介抱しようと駆け寄って……無様にも昏倒させられ、祭器を盗まれたってわけ。			(-クイーキ-)やつは、森の獣道で倒れていた。疑うことを知らなかったアタシは介抱しようと駆け寄って……無様にも昏倒させられ、祭器を盗まれたってわけ。			ふたりの偽者							
(-クイーキ-)集落の長は心の広い人でね、洗いざらい話したら許してくれた。でも、アタシは自分を許すことができず、黙って故郷を飛び出して、犯人を追ってクガネを目指したんだ。			(-クイーキ-)集落の長は心の広い人でね、洗いざらい話したら許してくれた。でも、アタシは自分を許すことができず、黙って故郷を飛び出して、犯人を追ってクガネを目指したんだ。			ふたりの偽者							
(-クイーキ-)それから、クガネの街をあてどなく歩き回って数日後、故郷から正式に派遣されてきたイットカと出会ってね……。			(-クイーキ-)それから、クガネの街をあてどなく歩き回って数日後、故郷から正式に派遣されてきたイットカと出会ってね……。			ふたりの偽者							
(-クイーキ-)彼女はアタシの姿を見て驚いていたけど……思いの丈を伝えると、一緒に祭器を奪還しようって、優しく言ってくれたんだ。			(-クイーキ-)彼女はアタシの姿を見て驚いていたけど……思いの丈を伝えると、一緒に祭器を奪還しようって、優しく言ってくれたんだ。			ふたりの偽者							
(-クイーキ-)だけど……彼女は擬態したサミダレに……殺されてしまった。			(-クイーキ-)だけど……彼女は擬態したサミダレに……殺されてしまった。			ふたりの偽者							
(-クイーキ-)そんなときに、キミが現れたのさ。頼りになる協力者がいれば、イットカの仇を討てるかも……そう考えて、思わず彼女のフリをしてしまったんだよ。			(-クイーキ-)そんなときに、キミが現れたのさ。頼りになる協力者がいれば、イットカの仇を討てるかも……そう考えて、思わず彼女のフリをしてしまったんだよ。			ふたりの偽者							
(-クイーキ-)サミダレの言うとおりアタシは偽者だ。でも、祭器を取り戻したいという想いだけは、誰にも負けない！			(-クイーキ-)サミダレの言うとおりアタシは偽者だ。でも、祭器を取り戻したいという想いだけは、誰にも負けない！			ふたりの偽者							
(-クイーキ-)Forename、騙していたこと、本当にゴメンなさい！でも、どうかこれからも協力してほしい……！			(-クイーキ-)Forename、騙していたこと、本当にゴメンなさい！でも、どうかこれからも協力してほしい……！			ふたりの偽者							
何と言う？			何と言う？			ふたりの偽者							
素直に話してくれたので協力しよう			素直に話してくれたので協力しよう			ふたりの偽者							
そんなことだろうと思ってたから大丈夫			そんなことだろうと思ってたから大丈夫			ふたりの偽者							
報酬がもらえれば何でもいい			報酬がもらえれば何でもいい			ふたりの偽者							
(-クイーキ-)ありがとう！キミとなら必ず祭器を奪還できるはずだ……！			(-クイーキ-)ありがとう！キミとなら必ず祭器を奪還できるはずだ……！			ふたりの偽者							
(-クイーキ-)アタシは「争いごと」について情報を集めておくから、しばらくしたら、また訪ねてきてほしい。どうか頼んだよ！			(-クイーキ-)アタシは「争いごと」について情報を集めておくから、しばらくしたら、また訪ねてきてほしい。どうか頼んだよ！			ふたりの偽者							
赤誠組屯所付近のクイーキは、どこか不安そうにしている。			赤誠組屯所付近のクイーキは、どこか不安そうにしている。			謀るサミダレ							
クイーキと話したところ、中年の烈士が現れた。サミダレの潜伏先を掴んだというので、冒険者が討伐に向かうことになった。紅玉海の獄之蓋にある「探索地点」で見渡し、敵が現れたら討伐しよう。			クイーキと話したところ、中年の烈士が現れた。サミダレの潜伏先を掴んだというので、冒険者が討伐に向かうことになった。紅玉海の獄之蓋にある「探索地点」で見渡し、敵が現れたら討伐しよう。			謀るサミダレ							
探索地点で見渡したが、特に怪しい人影はなかった。先を進んで、獄之蓋の「探索地点」で見渡し、敵が現れたら討伐しよう。			探索地点で見渡したが、特に怪しい人影はなかった。先を進んで、獄之蓋の「探索地点」で見渡し、敵が現れたら討伐しよう。			謀るサミダレ							
探索地点で見渡したところ、紅甲羅が現れて襲ってきたので撃退した。さらに先を進んで、獄之蓋の「探索地点」で見渡し、敵が現れたら討伐しよう。			探索地点で見渡したところ、紅甲羅が現れて襲ってきたので撃退した。さらに先を進んで、獄之蓋の「探索地点」で見渡し、敵が現れたら討伐しよう。			謀るサミダレ							
探索地点で見渡したが、サミダレはいないようだ。クイーキが到着したが、それはサミダレが擬態していたもので、冒険者の騙し討ちを謀るのだった。間一髪で本物のクイーキが現れ、冒険者の危機は回避される。サミダレは去っていき、クイーキはイットカが殺されたときも、同じ状況だったと語り、冒険者を救えたことに安堵するのだった。赤誠組屯所付近に戻り「クイーキ」と話そう。			探索地点で見渡したが、サミダレはいないようだ。クイーキが到着したが、それはサミダレが擬態していたもので、冒険者の騙し討ちを謀るのだった。間一髪で本物のクイーキが現れ、冒険者の危機は回避される。サミダレは去っていき、クイーキはイットカが殺されたときも、同じ状況だったと語り、冒険者を救えたことに安堵するのだった。赤誠組屯所付近に戻り「クイーキ」と話そう。			謀るサミダレ							
クイーキと話した。彼女は、お互い擬態に騙されないように注意しようと語るのだった。折を見て、またクイーキに声をかけよう。※いずれかの近接物理DPSジョブのレベルが98以上になると、赤誠組屯所付近のクイーキから次の近接物理DPSロールクエストを受注することができます。			クイーキと話した。彼女は、お互い擬態に騙されないように注意しようと語るのだった。折を見て、またクイーキに声をかけよう。※いずれかの近接物理DPSジョブのレベルが98以上になると、赤誠組屯所付近のクイーキから次の近接物理DPSロールクエストを受注することができます。			謀るサミダレ							
獄之蓋の探索地点で見渡し、敵が現れたら討伐			獄之蓋の探索地点で見渡し、敵が現れたら討伐			謀るサミダレ							
探索地点で再度見渡し、敵が現れたら討伐			探索地点で再度見渡し、敵が現れたら討伐			謀るサミダレ							
探索地点でさらに見渡し、敵が現れたら討伐			探索地点でさらに見渡し、敵が現れたら討伐			謀るサミダレ							
クガネのクイーキと話す			クガネのクイーキと話す			謀るサミダレ							
来てくれたんだね、Forename！ああ、よかった……。			来てくれたんだね、Forename！ああ、よかった……。			謀るサミダレ							
もしかしたら、騙されていたことを知って、二度と協力してくれないんじゃないかと、不安になってたよ。			もしかしたら、騙されていたことを知って、二度と協力してくれないんじゃないかと、不安になってたよ。			謀るサミダレ							
アタシだけだと、とてもじゃないけど、この異国の地で祭器を奪還するのは難しいからね。キミが頼りなんだ。			アタシだけだと、とてもじゃないけど、この異国の地で祭器を奪還するのは難しいからね。キミが頼りなんだ。			謀るサミダレ							
情けない話だけど、ひとりでクガネにたどり着いたときも、ナマズみたいなヤツに騙されそうになったんだよ。			情けない話だけど、ひとりでクガネにたどり着いたときも、ナマズみたいなヤツに騙されそうになったんだよ。			謀るサミダレ							
滞在費を用立てるために、首飾りを売ろうと右往左往していたら、ソイツが現れて適正価格で買い取ってやると声をかけてきてさ。キラキラした硬貨を差し出してきたんだ。			滞在費を用立てるために、首飾りを売ろうと右往左往していたら、ソイツが現れて適正価格で買い取ってやると声をかけてきてさ。キラキラした硬貨を差し出してきたんだ。			謀るサミダレ							
その申し出を受けようとしたところで、イットカが現れてね。聡い彼女は、ナマズが差し出したのがニセ金だと見抜いて、寸前で止めてくれたのさ。			その申し出を受けようとしたところで、イットカが現れてね。聡い彼女は、ナマズが差し出したのがニセ金だと見抜いて、寸前で止めてくれたのさ。			謀るサミダレ							
さらに彼女は、自分の首飾りをよろず屋で売り払うと、その金を使って下宿先を用意してくれてね。以降、何から何までイットカが率先して引っ張ってくれたんだ。			さらに彼女は、自分の首飾りをよろず屋で売り払うと、その金を使って下宿先を用意してくれてね。以降、何から何までイットカが率先して引っ張ってくれたんだ。			謀るサミダレ							
つまりは、アタシはひとりじゃ何もできない落ちこぼれってこと。気持ちだけが前のめりで、空回りしちゃってさ……キミが来てくれて本当にありがたいよ。			つまりは、アタシはひとりじゃ何もできない落ちこぼれってこと。気持ちだけが前のめりで、空回りしちゃってさ……キミが来てくれて本当にありがたいよ。			謀るサミダレ							
いつぞやはどうも。貴方がたに急ぎ伝えたいことがあり、馳せ参じました。			いつぞやはどうも。貴方がたに急ぎ伝えたいことがあり、馳せ参じました。			謀るサミダレ							
キミは、烈士庵にいた人だね。こんなところまで来るなんて、何があったんだい？			キミは、烈士庵にいた人だね。こんなところまで来るなんて、何があったんだい？			謀るサミダレ							
ヤツに……サミダレに接触することに成功したのです。旧知の仲であることを利用し、仲間になりたいと呼びかけ、潜伏先を聞き出すことができました。			ヤツに……サミダレに接触することに成功したのです。旧知の仲であることを利用し、仲間になりたいと呼びかけ、潜伏先を聞き出すことができました。			謀るサミダレ							
ほ、本当かい？アイツはどこにいるの……？			ほ、本当かい？アイツはどこにいるの……？			謀るサミダレ							
サミダレは紅玉海の「獄之蓋」に潜んでいるようです。とはいえ、強大な魔物にも擬態できるとなると、我らだけでは仕留めきれない可能性もあるでしょう。			サミダレは紅玉海の「獄之蓋」に潜んでいるようです。とはいえ、強大な魔物にも擬態できるとなると、我らだけでは仕留めきれない可能性もあるでしょう。			謀るサミダレ							
そこで、ドマにおいても名の知られた、Forename殿の助力をお願いに来たのです。どうか、サミダレの討伐を……！			そこで、ドマにおいても名の知られた、Forename殿の助力をお願いに来たのです。どうか、サミダレの討伐を……！			謀るサミダレ							
これは先手を取れる、またとない好機だね！さっそくヤツの潜伏先に向かおう！			これは先手を取れる、またとない好機だね！さっそくヤツの潜伏先に向かおう！			謀るサミダレ							
お待ちを……！失礼ながら、我らの腕前では足手まといになりかねない。私と一緒に舟で待機し、吉報を待ちましょうぞ。			お待ちを……！失礼ながら、我らの腕前では足手まといになりかねない。私と一緒に舟で待機し、吉報を待ちましょうぞ。			謀るサミダレ							
そ、そうか……。たしかにForenameひとりの方が、何かと動きやすいかもしれない。			そ、そうか……。たしかにForenameひとりの方が、何かと動きやすいかもしれない。			謀るサミダレ							
すまないが、キミひとりで「獄之蓋」に向かってくれるかい？アタシたちは舟で向かうからさ……！			すまないが、キミひとりで「獄之蓋」に向かってくれるかい？アタシたちは舟で向かうからさ……！			謀るサミダレ							
特に怪しい人影はないようだ。この先を探そう……。			特に怪しい人影はないようだ。この先を探そう……。			謀るサミダレ							
特に怪しい人影はないようだが……何やら不穏な気配を感じる。			特に怪しい人影はないようだが……何やら不穏な気配を感じる。			謀るサミダレ							
どうやら、ここにはサミダレはいないようだ。ひとまず、合流してくるクイーキたちを待とう。			どうやら、ここにはサミダレはいないようだ。ひとまず、合流してくるクイーキたちを待とう。			謀るサミダレ							
(-クイーキの声-)おーい、大丈夫か！？			(-クイーキの声-)おーい、大丈夫か！？			謀るサミダレ							
戦いの音が止んだから、駆けつけたんだが……サミダレは倒せたのか！？			戦いの音が止んだから、駆けつけたんだが……サミダレは倒せたのか！？			謀るサミダレ							
何と言う？			何と言う？			謀るサミダレ							
急にコウジン族に襲われた			急にコウジン族に襲われた			謀るサミダレ							
襲われたがサミダレではなかったようだ			襲われたがサミダレではなかったようだ			謀るサミダレ							
なんだって？もしかして、これは罠か……？			なんだって？もしかして、これは罠か……？			謀るサミダレ							
あれはッ！？			あれはッ！？			謀るサミダレ							
よ、よかった、間に合った……。			よ、よかった、間に合った……。			謀るサミダレ							
紅甲羅の長老に擬態してお前を襲うよう命令し、戦いの最中で、仲間の姿に擬態して近づき背後から殺す……。			紅甲羅の長老に擬態してお前を襲うよう命令し、戦いの最中で、仲間の姿に擬態して近づき背後から殺す……。			謀るサミダレ							
厄介者を確実に片付けるため、入念に計画したのだが、まさか失敗するとはな。どうやら……お前の戦力と、仲間の執念を見誤っていたようだ。			厄介者を確実に片付けるため、入念に計画したのだが、まさか失敗するとはな。どうやら……お前の戦力と、仲間の執念を見誤っていたようだ。			謀るサミダレ							
俺の実力だけではもちろんのこと、半端な魔物に化けたくらいじゃ、お前には敵わないだろう。もう一度、出直させてもらうよ……。			俺の実力だけではもちろんのこと、半端な魔物に化けたくらいじゃ、お前には敵わないだろう。もう一度、出直させてもらうよ……。			謀るサミダレ							
ゴメンよ、なんとか息は整った……。			ゴメンよ、なんとか息は整った……。			謀るサミダレ							
情報をくれたドマの烈士は、サミダレだったんだ。沖に出たところで舟から突き落とされ、必死でここまで泳いできたから、さすがに疲れ果ててしまったよ。			情報をくれたドマの烈士は、サミダレだったんだ。沖に出たところで舟から突き落とされ、必死でここまで泳いできたから、さすがに疲れ果ててしまったよ。			謀るサミダレ							
アタシはバカだ……。イットカを殺されたときも、擬態したアイツに騙され足止めされ、やっと彼女のもとにたどり着いたときには、もう……。			アタシはバカだ……。イットカを殺されたときも、擬態したアイツに騙され足止めされ、やっと彼女のもとにたどり着いたときには、もう……。			謀るサミダレ							
凄腕の狩人であるイットカを、どうやって殺したのか、ずっと疑問に思っていたけど……ようやくわかったよ。			凄腕の狩人であるイットカを、どうやって殺したのか、ずっと疑問に思っていたけど……ようやくわかったよ。			謀るサミダレ							
きっと、アタシに化けて騙し討ちしたんだ……。			きっと、アタシに化けて騙し討ちしたんだ……。			謀るサミダレ							
今回は間に合って本当によかった。キミまで失いたくないからね……。			今回は間に合って本当によかった。キミまで失いたくないからね……。			謀るサミダレ							
さあ、クガネに戻ろう。ここにいたら、また何をけしかけられるかわからない。			さあ、クガネに戻ろう。ここにいたら、また何をけしかけられるかわからない。			謀るサミダレ							
キミのもとへ駆けつけたとき、いまにもサミダレに刺されそうになっていて焦ったよ。			キミのもとへ駆けつけたとき、いまにもサミダレに刺されそうになっていて焦ったよ。			謀るサミダレ							
気が付いたら体当たりしていたけど、それで正解だった。弓で狙ったところで、また外してしまうだろうからね。			気が付いたら体当たりしていたけど、それで正解だった。弓で狙ったところで、また外してしまうだろうからね。			謀るサミダレ							
とにかく、キミが無事で本当によかった。二度と擬態に騙されないように、これからはお互い気をつけよう。			とにかく、キミが無事で本当によかった。二度と擬態に騙されないように、これからはお互い気をつけよう。			謀るサミダレ							
アタシは引き続き、奇妙な「争いごと」が起きてないか、また情報を集めておくことにする。折を見て声をかけてくれ。			アタシは引き続き、奇妙な「争いごと」が起きてないか、また情報を集めておくことにする。折を見て声をかけてくれ。			謀るサミダレ							
赤誠組屯所付近のクイーキは、何やら警戒している様子だ。			赤誠組屯所付近のクイーキは、何やら警戒している様子だ。			クイーキの覚醒							
クイーキと話した。擬態を解く秘薬が使えなくなってしまったので、新たに作るため素材を探すことになった。クガネの小金通りにいる「素材屋 シラカシ」と話そう。			クイーキと話した。擬態を解く秘薬が使えなくなってしまったので、新たに作るため素材を探すことになった。クガネの小金通りにいる「素材屋 シラカシ」と話そう。			クイーキの覚醒							
素材屋 シラカシと話した。秘薬の素材は手に入らなかったが、クイーキが目が悪かったことが判明し、戦力となるため眼鏡を手に入れたいという。眼鏡を用立ててもらうため、小金通りにいる「ヤマブキ」と話そう。			素材屋 シラカシと話した。秘薬の素材は手に入らなかったが、クイーキが目が悪かったことが判明し、戦力となるため眼鏡を手に入れたいという。眼鏡を用立ててもらうため、小金通りにいる「ヤマブキ」と話そう。			クイーキの覚醒							
ヤマブキと話した。眼鏡の材料が不足しているというので、クイーキと分担して調達することになった。紅玉海の沖之岩にある「指定地点」に「煌めく砂利」を撒こう。			ヤマブキと話した。眼鏡の材料が不足しているというので、クイーキと分担して調達することになった。紅玉海の沖之岩にある「指定地点」に「煌めく砂利」を撒こう。			クイーキの覚醒							
指定地点に煌めく砂利を撒いた。沖之岩にある「指定地点」で待機して、現れた「オキノ・イワムシ」を討伐し、「黄金石英」を入手しよう。			指定地点に煌めく砂利を撒いた。沖之岩にある「指定地点」で待機して、現れた「オキノ・イワムシ」を討伐し、「黄金石英」を入手しよう。			クイーキの覚醒							
オキノ・イワムシを討伐し、黄金石英を入手した。小金通りにいる「ヤマブキ」に「黄金石英」を渡そう。			オキノ・イワムシを討伐し、黄金石英を入手した。小金通りにいる「ヤマブキ」に「黄金石英」を渡そう。			クイーキの覚醒							
ヤマブキに黄金石英を渡した。クイーキは素材を調達するため、紅甲羅の討伐をするはめになり、大変な目に遭ったようだ。眼鏡は完成し、視力が矯正されたクイーキは、矢の試射ですべての的に命中させ、弱点を克服するのだった。赤誠組屯所付近に戻り「クイーキ」と話そう。			ヤマブキに黄金石英を渡した。クイーキは素材を調達するため、紅甲羅の討伐をするはめになり、大変な目に遭ったようだ。眼鏡は完成し、視力が矯正されたクイーキは、矢の試射ですべての的に命中させ、弱点を克服するのだった。赤誠組屯所付近に戻り「クイーキ」と話そう。			クイーキの覚醒							
クイーキと話した。彼女は見違えるように自信を持てたようだ。最後の戦いに備えて腕を磨き、またクイーキのもとを訪れよう。※いずれかの近接物理DPSジョブのレベルが100以上になると、赤誠組屯所付近のクイーキから次の近接物理DPSロールクエストを受注することができます。			クイーキと話した。彼女は見違えるように自信を持てたようだ。最後の戦いに備えて腕を磨き、またクイーキのもとを訪れよう。※いずれかの近接物理DPSジョブのレベルが100以上になると、赤誠組屯所付近のクイーキから次の近接物理DPSロールクエストを受注することができます。			クイーキの覚醒							
素材屋 シラカシと話す			素材屋 シラカシと話す			クイーキの覚醒							
ヤマブキと話す			ヤマブキと話す			クイーキの覚醒							
指定地点に煌めく砂利を撒く			指定地点に煌めく砂利を撒く			クイーキの覚醒							
指定地点で待機しオキノ・イワムシから黄金石英を入手			指定地点で待機しオキノ・イワムシから黄金石英を入手			クイーキの覚醒							
クガネのヤマブキに黄金石英を渡す			クガネのヤマブキに黄金石英を渡す			クイーキの覚醒							
クイーキと話す			クイーキと話す			クイーキの覚醒							
やあ、Forename！			やあ、Forename！			クイーキの覚醒							
いやいや、ちょっと待てよ……			いやいや、ちょっと待てよ……			クイーキの覚醒							
本物ならば、次の質問に答えてみて。アタシが、集落から持ち出した祭器を使って、イットカに擬態したとき、狩りで仕留めた獲物は何だ……？			本物ならば、次の質問に答えてみて。アタシが、集落から持ち出した祭器を使って、イットカに擬態したとき、狩りで仕留めた獲物は何だ……？			クイーキの覚醒							
何と言う？			何と言う？			クイーキの覚醒							
わからない			わからない			クイーキの覚醒							
それは聞いてないはず			それは聞いてないはず			クイーキの覚醒							
よかった、本物のForenameだね！正解はイノシシだけど、これはキミに話してないし、知っているのは、狩りの帰り道で出くわしたサミダレだけさ。			よかった、本物のForenameだね！正解はイノシシだけど、これはキミに話してないし、知っているのは、狩りの帰り道で出くわしたサミダレだけさ。			クイーキの覚醒							
ひっかけるような真似をして悪かった。この質問の方が、アイツを見破るには確実だと思ったのさ。			ひっかけるような真似をして悪かった。この質問の方が、アイツを見破るには確実だと思ったのさ。			クイーキの覚醒							
さて、せっかく来てくれたんだけど、今のところ「争いごと」に関する新たな情報はないんだ。			さて、せっかく来てくれたんだけど、今のところ「争いごと」に関する新たな情報はないんだ。			クイーキの覚醒							
擬態能力を持った扇動者の噂が各地で広まり、警戒が強まっているから、サミダレも動きにくいのかもしれない。被害が出ていないのはいいけど、手がかりもないってわけだ。			擬態能力を持った扇動者の噂が各地で広まり、警戒が強まっているから、サミダレも動きにくいのかもしれない。被害が出ていないのはいいけど、手がかりもないってわけだ。			クイーキの覚醒							
そしてもうひとつ、困ったことがある。実は以前、アイツに海へと突き落とされたときに、擬態を解く秘薬が海水に濡れて、使えなくなってしまったんだ。			そしてもうひとつ、困ったことがある。実は以前、アイツに海へと突き落とされたときに、擬態を解く秘薬が海水に濡れて、使えなくなってしまったんだ。			クイーキの覚醒							
わざわざ危険を冒してアタシに近づき小舟に乗せたのも、こちらの切り札を、取り除くためだったんだろう。			わざわざ危険を冒してアタシに近づき小舟に乗せたのも、こちらの切り札を、取り除くためだったんだろう。			クイーキの覚醒							
あれがないと、サミダレが擬態していても、正体を暴くことができない。			あれがないと、サミダレが擬態していても、正体を暴くことができない。			クイーキの覚醒							
だから、秘薬を作るため素材を集めたいんだ。小金通りにある素材屋に行こうと思ってたところなんで、キミも一緒に来てくれ。			だから、秘薬を作るため素材を集めたいんだ。小金通りにある素材屋に行こうと思ってたところなんで、キミも一緒に来てくれ。			クイーキの覚醒							
そんな素材は聞いたこともないねぇ。どこで採れるものだい？			そんな素材は聞いたこともないねぇ。どこで採れるものだい？			クイーキの覚醒							
はるか西方の海を越えた先にある、トラル大陸の森で採れる植物の種なんだけど……			はるか西方の海を越えた先にある、トラル大陸の森で採れる植物の種なんだけど……			クイーキの覚醒							
西の海を越えた大陸だって……！？悪いけど、そんな遠くのものが、クガネにまで入ってくるなんてまずないよ。			西の海を越えた大陸だって……！？悪いけど、そんな遠くのものが、クガネにまで入ってくるなんてまずないよ。			クイーキの覚醒							
予想はしていたけど、やっぱりか。その種は決まった時期にしか採れないものだから、これから、トラル大陸まで採集に行っても手に入らないだろう。			予想はしていたけど、やっぱりか。その種は決まった時期にしか採れないものだから、これから、トラル大陸まで採集に行っても手に入らないだろう。			クイーキの覚醒							
秘薬を作るのは諦めるしかなさそうだ。もう、サミダレが擬態していても暴けない……本当にゴメンよ。			秘薬を作るのは諦めるしかなさそうだ。もう、サミダレが擬態していても暴けない……本当にゴメンよ。			クイーキの覚醒							
(-？？？？-)やあ、腰痛の薬をもらえるかい？			(-？？？？-)やあ、腰痛の薬をもらえるかい？			クイーキの覚醒							
ちょっと爺さん、ここは素材屋だよ。いつもの眼鏡はどうしたんだい？			ちょっと爺さん、ここは素材屋だよ。いつもの眼鏡はどうしたんだい？			クイーキの覚醒							
おっと、いけない、いけない……			おっと、いけない、いけない……			クイーキの覚醒							
よし、これでよく見えるぞ。ははは、たしかに素材屋のシラカシだ……薬屋は隣だったね。			よし、これでよく見えるぞ。ははは、たしかに素材屋のシラカシだ……薬屋は隣だったね。			クイーキの覚醒							
ちょ、ちょっとまってくれ！その目につけるガラスって、目がよく見えるようになるのか！？			ちょ、ちょっとまってくれ！その目につけるガラスって、目がよく見えるようになるのか！？			クイーキの覚醒							
