宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
ナシュ、思ったんですけど～、もしかしたら、ギギさん……旅行中のゴッドベルト様たちを探しているのかも～。			ナシュ、思ったんですけど～、もしかしたら、ギギさん……旅行中のゴッドベルト様たちを探しているのかも～。			端緒を掴め							
ハ……ハッハッハ！さすがは我が助手、ナシュ！よくそれに気がつきましたな、正にそのとおりですぞ！			ハ……ハッハッハ！さすがは我が助手、ナシュ！よくそれに気がつきましたな、正にそのとおりですぞ！			端緒を掴め							
ちょっと待ってください、それは、いったい何のためにですか？			ちょっと待ってください、それは、いったい何のためにですか？			端緒を掴め							
決まっているでしょう、この度、孫となったことを祖父母に挨拶しに行ったのです！我が息子ながら、実に礼儀正しく紳士的ですなぁ……。			決まっているでしょう、この度、孫となったことを祖父母に挨拶しに行ったのです！我が息子ながら、実に礼儀正しく紳士的ですなぁ……。			端緒を掴め							
もう付き合ってられません、早く行きましょう。足跡を辿って行けば、わかることです。			もう付き合ってられません、早く行きましょう。足跡を辿って行けば、わかることです。			端緒を掴め							
お茶目な足跡が、北へと続いている……。			お茶目な足跡が、北へと続いている……。			端緒を掴め							
ギギが雪にまみれて倒れている。どうやら、雪玉が当たったようだ……。			ギギが雪にまみれて倒れている。どうやら、雪玉が当たったようだ……。			端緒を掴め							
う、うーん……あ、あなたは……冒険者さん？助けてくれて、どうもありがとう。			う、うーん……あ、あなたは……冒険者さん？助けてくれて、どうもありがとう。			端緒を掴め							
ハッハッハ、ギギは我が両親と雪合戦がしたかったのですか！大体、私の推理どおりでしたな！ともかく、無事でよかった。			ハッハッハ、ギギは我が両親と雪合戦がしたかったのですか！大体、私の推理どおりでしたな！ともかく、無事でよかった。			端緒を掴め							
ぶ、無事なもんですか！流れ弾が当たって倒れていたようですよ……野生の獣たちも犠牲になっているじゃありませんか……。			ぶ、無事なもんですか！流れ弾が当たって倒れていたようですよ……野生の獣たちも犠牲になっているじゃありませんか……。			端緒を掴め							
キール殿、我が愛息子はそんなにヤワじゃありませんぞ。なにせ、私より深く地面に埋まっていたくらいですからな、これしきのこと、なんともありません。			キール殿、我が愛息子はそんなにヤワじゃありませんぞ。なにせ、私より深く地面に埋まっていたくらいですからな、これしきのこと、なんともありません。			端緒を掴め							
まったく……話にならない。最早、異端とかそういう問題じゃない……あ、あなた方は、みんなして……どうかしている！			まったく……話にならない。最早、異端とかそういう問題じゃない……あ、あなた方は、みんなして……どうかしている！			端緒を掴め							
ホーウ、みなさんお揃いのようで……ママとの雪合戦に夢中で、気が付きませんでしたぞ。せっかくですから、みなさんもご一緒に、ひと勝負どうですか？			ホーウ、みなさんお揃いのようで……ママとの雪合戦に夢中で、気が付きませんでしたぞ。せっかくですから、みなさんもご一緒に、ひと勝負どうですか？			端緒を掴め							
ゴッドベルトさん！			ゴッドベルトさん！			端緒を掴め							
あなたの手で、ボクを……ボクを本当の人間にしてください！			あなたの手で、ボクを……ボクを本当の人間にしてください！			端緒を掴め							
覚悟はできているのかい？……本当に、いいんだろうね？			覚悟はできているのかい？……本当に、いいんだろうね？			端緒を掴め							
は、はい……やってください！			は、はい……やってください！			端緒を掴め							
では、参りますぞ！			では、参りますぞ！			端緒を掴め							
どうもありがとうございます！これで、ボクも人間になれたんですね。			どうもありがとうございます！これで、ボクも人間になれたんですね。			端緒を掴め							
ホッホッホウ、仕上げはここからですぞ！ゴールドスミス、イノベーーーーーーーションッ！！			ホッホッホウ、仕上げはここからですぞ！ゴールドスミス、イノベーーーーーーーションッ！！			端緒を掴め							
父上、見てください！本当の人間になったボクの姿を！			父上、見てください！本当の人間になったボクの姿を！			端緒を掴め							
やりましたな、ギギ！			やりましたな、ギギ！			端緒を掴め							
父上ー！			父上ー！			端緒を掴め							
ギギー！			ギギー！			端緒を掴め							
うむ、完璧ですな！			うむ、完璧ですな！			端緒を掴め							
ち、父上っ！いったい誰がこんなヒドいことを！？			ち、父上っ！いったい誰がこんなヒドいことを！？			端緒を掴め							
元に戻ったぞ！また、あの不思議な力なのか？			元に戻ったぞ！また、あの不思議な力なのか？			端緒を掴め							
ギ、ギギは……その姿が似合ってますぞ。やはり……ありのままの姿が一番。			ギ、ギギは……その姿が似合ってますぞ。やはり……ありのままの姿が一番。			端緒を掴め							
そのままでも、じゅうぶん可愛いですよ～！			そのままでも、じゅうぶん可愛いですよ～！			端緒を掴め							
こんな魔法人形のままでも……父上は、ボクを息子にしてくれるの？			こんな魔法人形のままでも……父上は、ボクを息子にしてくれるの？			端緒を掴め							
なるほど……ギギはそんなことで悩んでいたのですね……。			なるほど……ギギはそんなことで悩んでいたのですね……。			端緒を掴め							
もちろんですとも！ギギがたとえなんであれ、私の息子であることに、変わりはありませんぞ！			もちろんですとも！ギギがたとえなんであれ、私の息子であることに、変わりはありませんぞ！			端緒を掴め							
父上、母上、喜んでください。このギギは、私の養子となったのです。私、ヒルディブランドは、父親になったのですよ！			父上、母上、喜んでください。このギギは、私の養子となったのです。私、ヒルディブランドは、父親になったのですよ！			端緒を掴め							
な、なんと！私に孫ができたということか！で、でかしたぞ、我が愛息子よ！			な、なんと！私に孫ができたということか！で、でかしたぞ、我が愛息子よ！			端緒を掴め							
おじいちゃん、おじいちゃん！			おじいちゃん、おじいちゃん！			端緒を掴め							
ハッハッハ、私がおじいちゃんということは、ママはおばあちゃんということか。			ハッハッハ、私がおじいちゃんということは、ママはおばあちゃんということか。			端緒を掴め							
そうそう、ジュリアンおばあちゃん。			そうそう、ジュリアンおばあちゃん。			端緒を掴め							
だれが……ババアですって……？			だれが……ババアですって……？			端緒を掴め							
勝手に養子をとるだなんて、あの子を自由にさせ過ぎたわ。もう、放っておくわけにはいかないわね……私の可愛い……ヒルディちゃん。			勝手に養子をとるだなんて、あの子を自由にさせ過ぎたわ。もう、放っておくわけにはいかないわね……私の可愛い……ヒルディちゃん。			端緒を掴め							
……魔女だ、魔女に違いない。い、異端に決まってるけど……関わりたくない。おお、戦神ハルオーネよ、どうか我を救いたまえ！			……魔女だ、魔女に違いない。い、異端に決まってるけど……関わりたくない。おお、戦神ハルオーネよ、どうか我を救いたまえ！			端緒を掴め							
はぁ……だんだん、わかってきました、というかマヒしました。マンダヴィル家に常識は通用しないのですね……。僕も、いちいち驚かないようにします……。			はぁ……だんだん、わかってきました、というかマヒしました。マンダヴィル家に常識は通用しないのですね……。僕も、いちいち驚かないようにします……。			端緒を掴め							
ギギさんの悩みも解決したことですし、とりあえず皇都へ戻って、いったん落ち着きましょう。			ギギさんの悩みも解決したことですし、とりあえず皇都へ戻って、いったん落ち着きましょう。			端緒を掴め							
……いま、僕、ギギさんって言いました？それも、悩みが解決したって……魔法人形の悩みなんて、僕には関係ないのに。			……いま、僕、ギギさんって言いました？それも、悩みが解決したって……魔法人形の悩みなんて、僕には関係ないのに。			端緒を掴め							
あぁ、もう、なんてこった……。あの事件屋たちといっしょにいるうちに、僕もどうかしてしまったようです。			あぁ、もう、なんてこった……。あの事件屋たちといっしょにいるうちに、僕もどうかしてしまったようです。			端緒を掴め							
異端審問局に寄って、今回の件を報告してきました。魔法人形がフォルタン家の客人の養子になったと伝えたら、案の定、こっぴどく叱られましたよ。			異端審問局に寄って、今回の件を報告してきました。魔法人形がフォルタン家の客人の養子になったと伝えたら、案の定、こっぴどく叱られましたよ。			端緒を掴め							
何としても異端の証拠を掴めと命じられましたが……どうしたらいいものか、今のところ皆目見当がつきません。			何としても異端の証拠を掴めと命じられましたが……どうしたらいいものか、今のところ皆目見当がつきません。			端緒を掴め							
そのギギさんは、記憶を取り戻すことを諦めたようです。今は、事件屋たちに加わってこの皇都で、新たな事件を探し回っていますよ。			そのギギさんは、記憶を取り戻すことを諦めたようです。今は、事件屋たちに加わってこの皇都で、新たな事件を探し回っていますよ。			端緒を掴め							
それにしても……壺を元通りにした、あの不思議な力が気になります。改造された自身の身体も、あの力で元に戻したようでした。			それにしても……壺を元通りにした、あの不思議な力が気になります。改造された自身の身体も、あの力で元に戻したようでした。			端緒を掴め							
何かを元に戻す魔法なんて、聞いたこともなければ、本にも載ってません、正に奇跡としか言いようがない……。ともかく、今回も手伝っていただいて、ありがとうございました。			何かを元に戻す魔法なんて、聞いたこともなければ、本にも載ってません、正に奇跡としか言いようがない……。ともかく、今回も手伝っていただいて、ありがとうございました。			端緒を掴め							
エーテライト・プラザのキールは、冒険者を待ちわびていたようだ。			エーテライト・プラザのキールは、冒険者を待ちわびていたようだ。			のっぴきならない事態							
前回までの冒険録：事件屋ヒルディブランドは、蒼天騎士団詐欺を捜査することになった。犯人である壮年騎士団はもうろくした老人だったが、彼らの本当の狙いはギギだった。ギギはシャーレアンの大魔導士「クワン」によって作られ「時魔法」を封じた魔法人形だった。だが、クワンをその能力で若返らせることができなかったため、捨てられたという。壮年騎士団の目的はギギの能力で若返ること。ギギは記憶を取り戻し、死んだクワンを生き返らせることができるかもという言葉に惹かれて、壮年騎士団のもとへ行ってしまうのだった。　　　　　　　　　　　　*　*　*キールは、時魔法について調べるため禁書を読んでいたせいで、異端審問官の職を失ってしまった。だが、彼はそれでも事件を追いたいようだ。キールから、ヒルディブランドたちと大魔導士クワンの家を調査したいというので、その同行を頼まれた。イディルシャイアへ向かった「キール」と合流しよう。			前回までの冒険録：事件屋ヒルディブランドは、蒼天騎士団詐欺を捜査することになった。犯人である壮年騎士団はもうろくした老人だったが、彼らの本当の狙いはギギだった。ギギはシャーレアンの大魔導士「クワン」によって作られ「時魔法」を封じた魔法人形だった。だが、クワンをその能力で若返らせることができなかったため、捨てられたという。壮年騎士団の目的はギギの能力で若返ること。ギギは記憶を取り戻し、死んだクワンを生き返らせることができるかもという言葉に惹かれて、壮年騎士団のもとへ行ってしまうのだった。　　　　　　　　　　　　*　*　*キールは、時魔法について調べるため禁書を読んでいたせいで、異端審問官の職を失ってしまった。だが、彼はそれでも事件を追いたいようだ。キールから、ヒルディブランドたちと大魔導士クワンの家を調査したいというので、その同行を頼まれた。イディルシャイアへ向かった「キール」と合流しよう。			のっぴきならない事態							
キールと合流した。ヒルディブランドは、壮年騎士団が高地ドラヴァニアに向かったという情報を掴み、ひとりで行ってしまったようだ。キールは、ひとりで大魔道士クワンの家を調査することにした。ナシュ・マカラッカから、ヒルディブランドに追いつくため、壮年騎士団を探すことを頼まれた。高地ドラヴァニアのテイルフェザー付近へ向かった「ナシュ・マカラッカ」と合流しよう。			キールと合流した。ヒルディブランドは、壮年騎士団が高地ドラヴァニアに向かったという情報を掴み、ひとりで行ってしまったようだ。キールは、ひとりで大魔道士クワンの家を調査することにした。ナシュ・マカラッカから、ヒルディブランドに追いつくため、壮年騎士団を探すことを頼まれた。高地ドラヴァニアのテイルフェザー付近へ向かった「ナシュ・マカラッカ」と合流しよう。			のっぴきならない事態							
ナシュ・マカラッカと合流した。まずは、テイルフェザーで、壮年騎士団の情報を集めよう。			ナシュ・マカラッカと合流した。まずは、テイルフェザーで、壮年騎士団の情報を集めよう。			のっぴきならない事態							
情報を集めたところ、壮年騎士団は不浄の三塔へ向かったようだ。テイルフェザーの「ナシュ・マカラッカ」に報告しよう。			情報を集めたところ、壮年騎士団は不浄の三塔へ向かったようだ。テイルフェザーの「ナシュ・マカラッカ」に報告しよう。			のっぴきならない事態							
ナシュ・マカラッカに報告した。どうやら、ヒルディブランドも不浄の三塔へ向かったようだ。高地ドラヴァニアの不浄の三塔付近で「壮年騎士団」を探そう。			ナシュ・マカラッカに報告した。どうやら、ヒルディブランドも不浄の三塔へ向かったようだ。高地ドラヴァニアの不浄の三塔付近で「壮年騎士団」を探そう。			のっぴきならない事態							
壮年騎士団を探したところ、地面に突き刺さっている、オルランドらしき人物を見つけた。ナシュ・マカラッカから、オルランドらしき人物を引っこ抜くよう頼まれた。不浄の三塔付近の「オルランド？」を引っこ抜こう。			壮年騎士団を探したところ、地面に突き刺さっている、オルランドらしき人物を見つけた。ナシュ・マカラッカから、オルランドらしき人物を引っこ抜くよう頼まれた。不浄の三塔付近の「オルランド？」を引っこ抜こう。			のっぴきならない事態							
オルランド？を引っこ抜いたところ、その人物はヒルディブランドだった。変装して壮年騎士団に近づいたが、彼らはすでに若返っていて、バレてしまったという。そこへ、道中で出会ったという、ゴッドベルトとキールが現れる。ゴッドベルトは、ギギの危機を知り壮年騎士団を追ってきたようだ。そして、キールが、大魔道士クワンの家で見つけた「クワンの手記」によると、ギギは能力を使いすぎると、魔力を失い、ただの人形になってしまうという。そして、ヒルディブランドによると、若返った壮年騎士団の目的は、聖竜フレースヴェルグの討伐だというが……。			オルランド？を引っこ抜いたところ、その人物はヒルディブランドだった。変装して壮年騎士団に近づいたが、彼らはすでに若返っていて、バレてしまったという。そこへ、道中で出会ったという、ゴッドベルトとキールが現れる。ゴッドベルトは、ギギの危機を知り壮年騎士団を追ってきたようだ。そして、キールが、大魔道士クワンの家で見つけた「クワンの手記」によると、ギギは能力を使いすぎると、魔力を失い、ただの人形になってしまうという。そして、ヒルディブランドによると、若返った壮年騎士団の目的は、聖竜フレースヴェルグの討伐だというが……。			のっぴきならない事態							
イディルシャイアのキールと話す			イディルシャイアのキールと話す			のっぴきならない事態							
テイルフェザー付近のナシュ・マカラッカと話す			テイルフェザー付近のナシュ・マカラッカと話す			のっぴきならない事態							
テイルフェザーで情報を集める			テイルフェザーで情報を集める			のっぴきならない事態							
ナシュ・マカラッカに報告			ナシュ・マカラッカに報告			のっぴきならない事態							
不浄の三塔付近で壮年騎士団を探す			不浄の三塔付近で壮年騎士団を探す			のっぴきならない事態							
オルランド？を引っこ抜く			オルランド？を引っこ抜く			のっぴきならない事態							
お待ちしてました、Forenameさん。あれから、異端審問局の証拠品保管庫に忍び込んで、時魔法について調べてみたら、いろいろと発見がありました……。			お待ちしてました、Forenameさん。あれから、異端審問局の証拠品保管庫に忍び込んで、時魔法について調べてみたら、いろいろと発見がありました……。			のっぴきならない事態							
今に伝わるイシュガルド正教の「聖典」には、繁栄を極めたものの、驕り高ぶり自滅の道を歩んだという、罪深き巨大国家「アラグ帝国」についての記述があるんです。			今に伝わるイシュガルド正教の「聖典」には、繁栄を極めたものの、驕り高ぶり自滅の道を歩んだという、罪深き巨大国家「アラグ帝国」についての記述があるんです。			のっぴきならない事態							
ところが、その悪しき帝国を称える記述から、異端認定された「外典」を、証拠品保管庫で見つけたんですよ。			ところが、その悪しき帝国を称える記述から、異端認定された「外典」を、証拠品保管庫で見つけたんですよ。			のっぴきならない事態							
その外典によると、かつて時を操る「時魔法」というものがあり、アラグの魔導士は、物の時を止めたり遡らせたりできたとか……。			その外典によると、かつて時を操る「時魔法」というものがあり、アラグの魔導士は、物の時を止めたり遡らせたりできたとか……。			のっぴきならない事態							
仮定の話ですが、もしギギさんが時魔法を操れるのならば、理論上は「老いた者を若返らせる」ことも可能になります。以前に、割れた壺を元通りにしたようにね……。			仮定の話ですが、もしギギさんが時魔法を操れるのならば、理論上は「老いた者を若返らせる」ことも可能になります。以前に、割れた壺を元通りにしたようにね……。			のっぴきならない事態							
ただ、「割れた壺」は戻せたとしても、「水が入った壺」を割った場合は……？修復された壺の中に入っていた水は、どうなるのでしょう？			ただ、「割れた壺」は戻せたとしても、「水が入った壺」を割った場合は……？修復された壺の中に入っていた水は、どうなるのでしょう？			のっぴきならない事態							
壺が水で満たされた状態に戻るのか？それとも、水は地面に流れたままなのか……わかりません。			壺が水で満たされた状態に戻るのか？それとも、水は地面に流れたままなのか……わかりません。			のっぴきならない事態							
これは「人」にも言えます。死んでしまった人の時を遡らせて、肉体を元通りにしても、「魂」まで戻ってくるかどうかなんて、わかりませんよね。			これは「人」にも言えます。死んでしまった人の時を遡らせて、肉体を元通りにしても、「魂」まで戻ってくるかどうかなんて、わかりませんよね。			のっぴきならない事態							
壮年騎士団は、人を生き返らせることも可能かもと言っていました。しかし、イシュガルド正教の教えでは、死んだ者の「魂」は、天へと召され決して戻ってはこないんです。			壮年騎士団は、人を生き返らせることも可能かもと言っていました。しかし、イシュガルド正教の教えでは、死んだ者の「魂」は、天へと召され決して戻ってはこないんです。			のっぴきならない事態							
そして、証拠品保管庫にあった、シャーレアン由来の書物によると、大魔導士クワンは、古代魔法の研究で有名な人物だったそうです。ギギさんに時魔法を封じていても、不思議はありません。			そして、証拠品保管庫にあった、シャーレアン由来の書物によると、大魔導士クワンは、古代魔法の研究で有名な人物だったそうです。ギギさんに時魔法を封じていても、不思議はありません。			のっぴきならない事態							
さらに、低地ドラヴァニアにあったという、クワンの家を特定できる記述まで見つけました。そこへ行けば、ギギさんについて詳しくわかるかもしれない……。			さらに、低地ドラヴァニアにあったという、クワンの家を特定できる記述まで見つけました。そこへ行けば、ギギさんについて詳しくわかるかもしれない……。			のっぴきならない事態							
僕は事件屋さんたちを呼んで、クワンの家へ調査に向かいます。どうか、また同行してもらえませんか？			僕は事件屋さんたちを呼んで、クワンの家へ調査に向かいます。どうか、また同行してもらえませんか？			のっぴきならない事態							
ありがとうございます！それでは、さっそく……			ありがとうございます！それでは、さっそく……			のっぴきならない事態							
(-？？？？-)み、み、見たぞ……この異端者めェ！			(-？？？？-)み、み、見たぞ……この異端者めェ！			のっぴきならない事態							
な、なにを言ってるんだ……？僕が異端者だって？			な、なにを言ってるんだ……？僕が異端者だって？			のっぴきならない事態							
そ、そうだ、僕は見たんだ。キール、キミが証拠品保管庫に忍び込んで、こっそりと……禁書を読み漁っているところをね！			そ、そうだ、僕は見たんだ。キール、キミが証拠品保管庫に忍び込んで、こっそりと……禁書を読み漁っているところをね！			のっぴきならない事態							
あ、あれは……捜査のためにやったことだ！			あ、あれは……捜査のためにやったことだ！			のっぴきならない事態							
う、嘘だ……！許可もなく禁書を読むだなんて、それだけで異端認定だー！さあ、今すぐ局まで来てもらうぞー！			う、嘘だ……！許可もなく禁書を読むだなんて、それだけで異端認定だー！さあ、今すぐ局まで来てもらうぞー！			のっぴきならない事態							
あぁ、もう、うざったい……			あぁ、もう、うざったい……			のっぴきならない事態							
なにが異端だーッ！異端審問局を存続させたいからって、無理矢理、異端者に仕立て上げようとしているだけじゃないかー！			なにが異端だーッ！異端審問局を存続させたいからって、無理矢理、異端者に仕立て上げようとしているだけじゃないかー！			のっぴきならない事態							
僕はもう、そんなドブネズミみたいな仕事にはうんざりなんだ！大体、今はそれどころじゃないんだよーッ！！			僕はもう、そんなドブネズミみたいな仕事にはうんざりなんだ！大体、今はそれどころじゃないんだよーッ！！			のっぴきならない事態							
て、抵抗するんだな、それならば……上司に言いつけてやる！			て、抵抗するんだな、それならば……上司に言いつけてやる！			のっぴきならない事態							
な、なんてことだ、思わず本音が出てしまった……。白状すると、僕はもうギギさんが異端かどうかなんて、どうでもいいんです。			な、なんてことだ、思わず本音が出てしまった……。白状すると、僕はもうギギさんが異端かどうかなんて、どうでもいいんです。			のっぴきならない事態							
事件屋さんたちと一緒に捜査をしているうちに、ただ真実を解明し、事件を解決したくなっている自分に気づいたんですよ。きっと、どうかしてしまったんですね……。			事件屋さんたちと一緒に捜査をしているうちに、ただ真実を解明し、事件を解決したくなっている自分に気づいたんですよ。きっと、どうかしてしまったんですね……。			のっぴきならない事態							
はあ……これで僕はもう異端審問官ではいられなくなりました。それどころか、異端者として追われることになってしまった。			はあ……これで僕はもう異端審問官ではいられなくなりました。それどころか、異端者として追われることになってしまった。			のっぴきならない事態							
こうしちゃいられない、早くここを離れて、イディルシャイアの、事件屋さんたちのもとへ向かいましょう！			こうしちゃいられない、早くここを離れて、イディルシャイアの、事件屋さんたちのもとへ向かいましょう！			のっぴきならない事態							
ヒルディブランド様、ひとりで行っちゃいました～。			ヒルディブランド様、ひとりで行っちゃいました～。			のっぴきならない事態							
まったく、ヒルディちゃんときたら……。			まったく、ヒルディちゃんときたら……。			のっぴきならない事態							
どうやら、事件屋さんがひとりで、壮年騎士団からギギさんを取り返そうと、行ってしまったようです。			どうやら、事件屋さんがひとりで、壮年騎士団からギギさんを取り返そうと、行ってしまったようです。			のっぴきならない事態							
ヒルディブランド様は、壮年騎士団が竜の討伐を叫んで、高地ドラヴァニアへ向かったという情報を掴んだんです。			ヒルディブランド様は、壮年騎士団が竜の討伐を叫んで、高地ドラヴァニアへ向かったという情報を掴んだんです。			のっぴきならない事態							
そして、今回は事件屋じゃなくて、父親としての責務だからって、ナシュを置いて、ひとりで行っちゃったんですよ～。			そして、今回は事件屋じゃなくて、父親としての責務だからって、ナシュを置いて、ひとりで行っちゃったんですよ～。			のっぴきならない事態							
あの子ったら、私がちょっと目を離した隙に行っちゃったのよ。ヒルディちゃんなりに、ギギちゃんを奪われたことの、責任を感じてのことだろうけど……。			あの子ったら、私がちょっと目を離した隙に行っちゃったのよ。ヒルディちゃんなりに、ギギちゃんを奪われたことの、責任を感じてのことだろうけど……。			のっぴきならない事態							
やっぱり、ヒルディブランド様が心配です。冒険者さん、いっしょに高地ドラヴァニアへ行ってくれませんか～？			やっぱり、ヒルディブランド様が心配です。冒険者さん、いっしょに高地ドラヴァニアへ行ってくれませんか～？			のっぴきならない事態							
間違って聖竜の眷属を討伐なんてされたら、せっかくの融和への道が台無しになってしまう……。これは、壮年騎士団の凶行も早く止めなければなりませんね。			間違って聖竜の眷属を討伐なんてされたら、せっかくの融和への道が台無しになってしまう……。これは、壮年騎士団の凶行も早く止めなければなりませんね。			のっぴきならない事態							
では、Forenameさんは、ナシュさんたちと、高地ドラヴァニアへ向かってください。クワンの家の調査は、僕だけでやってみることにします。			では、Forenameさんは、ナシュさんたちと、高地ドラヴァニアへ向かってください。クワンの家の調査は、僕だけでやってみることにします。			のっぴきならない事態							
なあに、これぐらいのことはひとりでやってみせますよ。事件屋さんたちと行動したことで、僕も少しは、たくましくなりましたからね。			なあに、これぐらいのことはひとりでやってみせますよ。事件屋さんたちと行動したことで、僕も少しは、たくましくなりましたからね。			のっぴきならない事態							
ふーん、あのもやしっ子も、少しはマシになったじゃない……。			ふーん、あのもやしっ子も、少しはマシになったじゃない……。			のっぴきならない事態							
じゃあ、まずは高地ドラヴァニアの集落へ行って、壮年騎士団の目撃情報を集めてみましょう。彼らを探せば、きっとヒルディブランド様にも辿りつきます～。			じゃあ、まずは高地ドラヴァニアの集落へ行って、壮年騎士団の目撃情報を集めてみましょう。彼らを探せば、きっとヒルディブランド様にも辿りつきます～。			のっぴきならない事態							
この辺りは、チョコボだらけね。ヒルディちゃんが子供の頃、足腰を鍛えるために、よくチョコボを乗せて、荒野を走らせたものだわ……。			この辺りは、チョコボだらけね。ヒルディちゃんが子供の頃、足腰を鍛えるために、よくチョコボを乗せて、荒野を走らせたものだわ……。			のっぴきならない事態							
さっそく、ここで壮年騎士団の目撃情報を集めましょう。何かわかったら、ナシュに報告してくださいね～。			さっそく、ここで壮年騎士団の目撃情報を集めましょう。何かわかったら、ナシュに報告してくださいね～。			のっぴきならない事態							
可愛いララフェル族の女の子を連れた騎士団なんですが、どこかで見かけたことはありませんか～？			可愛いララフェル族の女の子を連れた騎士団なんですが、どこかで見かけたことはありませんか～？			のっぴきならない事態							
可愛いハイランダー族の男の子なんだけど、どこかで見てないかしら？			可愛いハイランダー族の男の子なんだけど、どこかで見てないかしら？			のっぴきならない事態							
魔法人形を連れた騎士団？それなら、ちょっと前にここに来てたよ。今更、竜の討伐をしてやるだなんて叫んでたっけ。			魔法人形を連れた騎士団？それなら、ちょっと前にここに来てたよ。今更、竜の討伐をしてやるだなんて叫んでたっけ。			のっぴきならない事態							
魔法人形と一緒にいた奴らなら、この集落に寄ってったよ。本気かどうか知らんが、竜の親玉を倒してやるとか、物騒なことを言ってたな。			魔法人形と一緒にいた奴らなら、この集落に寄ってったよ。本気かどうか知らんが、竜の親玉を倒してやるとか、物騒なことを言ってたな。			のっぴきならない事態							
ああ、3人組の騎士団か。そいつらに、不浄の三塔の場所を聞かれたんだ。何をする気かわからないが、随分と意気込んで向かってったよ。			ああ、3人組の騎士団か。そいつらに、不浄の三塔の場所を聞かれたんだ。何をする気かわからないが、随分と意気込んで向かってったよ。			のっぴきならない事態							
魔法人形を連れた騎士団なら、ちょっと前にここに来てたよ。今更、竜の討伐をしてやるだなんて意気込んでたっけ。			魔法人形を連れた騎士団なら、ちょっと前にここに来てたよ。今更、竜の討伐をしてやるだなんて意気込んでたっけ。			のっぴきならない事態							
魔法人形と一緒にいた奴らなら、本気かどうか知らんが、竜の親玉を倒してやるとか、物騒なことを言ってたな。			魔法人形と一緒にいた奴らなら、本気かどうか知らんが、竜の親玉を倒してやるとか、物騒なことを言ってたな。			のっぴきならない事態							
3人組の騎士団に、不浄の三塔の場所を聞かれたんだ。何をする気かわからないが、随分と意気込んで向かってったよ。			3人組の騎士団に、不浄の三塔の場所を聞かれたんだ。何をする気かわからないが、随分と意気込んで向かってったよ。			のっぴきならない事態							
ありがとうございます～。壮年騎士団は、不浄の三塔ってところへ向かったんですね～。			ありがとうございます～。壮年騎士団は、不浄の三塔ってところへ向かったんですね～。			のっぴきならない事態							
どうやら、息子もついさっきここで情報収集して、その不浄の三塔へ向かったみたいよ。			どうやら、息子もついさっきここで情報収集して、その不浄の三塔へ向かったみたいよ。			のっぴきならない事態							
それじゃあ、不浄の三塔で壮年騎士団を探しましょう。きっと、そこにヒルディブランド様もいます～。			それじゃあ、不浄の三塔で壮年騎士団を探しましょう。きっと、そこにヒルディブランド様もいます～。			のっぴきならない事態							
壮年騎士団、見つけました～。			壮年騎士団、見つけました～。			のっぴきならない事態							
これは……ヒルディちゃんがやっつけたってことかしら？			これは……ヒルディちゃんがやっつけたってことかしら？			のっぴきならない事態							
壮年騎士団のオルランドらしき人物が、地面に突き刺さっている……。			壮年騎士団のオルランドらしき人物が、地面に突き刺さっている……。			のっぴきならない事態							
壮年騎士団、見つけました～。きっと、ヒルディブランド様がやっつけたんですね～！			壮年騎士団、見つけました～。きっと、ヒルディブランド様がやっつけたんですね～！			のっぴきならない事態							
なかなかやるじゃない。でも、肝心の息子と、ほかの騎士たちはどこへ行ったのかしら？			なかなかやるじゃない。でも、肝心の息子と、ほかの騎士たちはどこへ行ったのかしら？			のっぴきならない事態							
引っこ抜いて、聞いてみましょう。でも、ナシュの力じゃ抜けなさそうです～。			引っこ抜いて、聞いてみましょう。でも、ナシュの力じゃ抜けなさそうです～。			のっぴきならない事態							
冒険者さん、壮年騎士を引っこ抜いてくれませんか～？			冒険者さん、壮年騎士を引っこ抜いてくれませんか～？			のっぴきならない事態							
冒険者さん、壮年騎士を引っこ抜いてください～。			冒険者さん、壮年騎士を引っこ抜いてください～。			のっぴきならない事態							
それにしても、ヒルディちゃんがここまでやるかしら……？この人、また自分で突っ込んだんじゃないの？			それにしても、ヒルディちゃんがここまでやるかしら……？この人、また自分で突っ込んだんじゃないの？			のっぴきならない事態							
な、なんと……！壮年騎士じゃなくて、ヒルディブランド様だったんですね～！			な、なんと……！壮年騎士じゃなくて、ヒルディブランド様だったんですね～！			のっぴきならない事態							
あーあ、やられたのは、ヒルディちゃんの方だったってことね……。			あーあ、やられたのは、ヒルディちゃんの方だったってことね……。			のっぴきならない事態							
(-？？？？-)ホーウ、我が息子は相変わらずわんぱくのようですな！			(-？？？？-)ホーウ、我が息子は相変わらずわんぱくのようですな！			のっぴきならない事態							
わわっ、ゴッドベルト様とキールさんじゃないですか～！どうして、いっしょにいるんですか～？			わわっ、ゴッドベルト様とキールさんじゃないですか～！どうして、いっしょにいるんですか～？			のっぴきならない事態							
皆さんと合流したくて、高地ドラヴァニアに来たんですが……。そもそも、どこへ行けばいいのかと途方に暮れていたときに、ゴッドベルトさんとばったり出会ったんです。			皆さんと合流したくて、高地ドラヴァニアに来たんですが……。そもそも、どこへ行けばいいのかと途方に暮れていたときに、ゴッドベルトさんとばったり出会ったんです。			のっぴきならない事態							
