流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			帝都の獣							
やはり、偽神獣の正体は、ネルウァであると考えてよさそうだな……。			やはり、偽神獣の正体は、ネルウァであると考えてよさそうだな……。			ガレアンの本質							
偽神獣が、バブイルの塔に居座っているという点も、その疑いを強めているように思える……。			偽神獣が、バブイルの塔に居座っているという点も、その疑いを強めているように思える……。			ガレアンの本質							
あの塔は、魔導城の成れの果て……ネルウァ様が求めた、ガレマール帝国の中枢にして、皇帝の座所なのだから……。			あの塔は、魔導城の成れの果て……ネルウァ様が求めた、ガレマール帝国の中枢にして、皇帝の座所なのだから……。			ガレアンの本質							
だが、帝国は滅びたのだ。不憫なネルウァ様を、もう楽にしてやってくれ……。			だが、帝国は滅びたのだ。不憫なネルウァ様を、もう楽にしてやってくれ……。			ガレアンの本質							
話してくれて感謝する。獣に転じた者は、討伐してやることが唯一の救いだ。必ず彼を安らかに眠らせると誓おう。			話してくれて感謝する。獣に転じた者は、討伐してやることが唯一の救いだ。必ず彼を安らかに眠らせると誓おう。			ガレアンの本質							
…………。			…………。			ガレアンの本質							
取り込み中のところ悪いな。カヌ・エさんが到着して、こちらも動き出したもんでな。お邪魔させてもらったぜ。			取り込み中のところ悪いな。カヌ・エさんが到着して、こちらも動き出したもんでな。お邪魔させてもらったぜ。			ガレアンの本質							
Forename、フルシュノ様……どうぞ、よろしくお願いします。			Forename、フルシュノ様……どうぞ、よろしくお願いします。			ガレアンの本質							
偽神獣の障壁ですが、すでに目星がついております。あれはエーテルを用いた、魔法障壁と考えてよいでしょう。			偽神獣の障壁ですが、すでに目星がついております。あれはエーテルを用いた、魔法障壁と考えてよいでしょう。			ガレアンの本質							
お言葉だが、それは魔法の心得がある者ならば、誰もが真っ先に考えつき、即座に否定する仮説でしょう。			お言葉だが、それは魔法の心得がある者ならば、誰もが真っ先に考えつき、即座に否定する仮説でしょう。			ガレアンの本質							
終末の獣とは、エーテルが腐り落ちた存在であり、エーテルによって行使される魔法は、理論上は使えないはず。ゆえに想いが動かす力、デュナミスを利用しているのでは？			終末の獣とは、エーテルが腐り落ちた存在であり、エーテルによって行使される魔法は、理論上は使えないはず。ゆえに想いが動かす力、デュナミスを利用しているのでは？			ガレアンの本質							
ええ、おっしゃるとおりです。しかし、私はガレマルドに降り立ったときから感じています。莫大なエーテルが大地を流れ、あの塔に集まっていると……。			ええ、おっしゃるとおりです。しかし、私はガレマルドに降り立ったときから感じています。莫大なエーテルが大地を流れ、あの塔に集まっていると……。			ガレアンの本質							
バブイルの塔は、世界各地の「終末の塔」から、月に至る道を拓くため、エーテルを集めていました。			バブイルの塔は、世界各地の「終末の塔」から、月に至る道を拓くため、エーテルを集めていました。			ガレアンの本質							
その機能を利用していれば、エーテルを持たない存在が、魔法障壁を展開することも可能ではないでしょうか？			その機能を利用していれば、エーテルを持たない存在が、魔法障壁を展開することも可能ではないでしょうか？			ガレアンの本質							
とはいえ、これはあくまで仮説。これより地脈の調査に赴きたいと考えているのですが、ご協力を、お願いできないでしょうか？			とはいえ、これはあくまで仮説。これより地脈の調査に赴きたいと考えているのですが、ご協力を、お願いできないでしょうか？			ガレアンの本質							
私も、私も連れていってくれないか？負傷により戦うことはできないが、それでもここにいる誰よりも、ガレマルドの地理には詳しいつもりだ……！			私も、私も連れていってくれないか？負傷により戦うことはできないが、それでもここにいる誰よりも、ガレマルドの地理には詳しいつもりだ……！			ガレアンの本質							
もちろん、私は構いませんが……。			もちろん、私は構いませんが……。			ガレアンの本質							
みなさんと共に行動するということであれば、問題はないように思います。			みなさんと共に行動するということであれば、問題はないように思います。			ガレアンの本質							
それでは、もっとも太い地脈が流れる場所、「ウルバニッシマ区」のあたりに向かうことにしましょう。			それでは、もっとも太い地脈が流れる場所、「ウルバニッシマ区」のあたりに向かうことにしましょう。			ガレアンの本質							
まさか、魔法障壁とは……魔法が不得手なガレアン人だからと、最初に可能性を否定していた。固定観念に囚われ、柔軟な発想に欠けていたということか……。			まさか、魔法障壁とは……魔法が不得手なガレアン人だからと、最初に可能性を否定していた。固定観念に囚われ、柔軟な発想に欠けていたということか……。			ガレアンの本質							
この気配、まさか……。いや何でもない、こっちの話だ。			この気配、まさか……。いや何でもない、こっちの話だ。			ガレアンの本質							
装束の下に、羊毛で作られた襦袢を着てきたのだが、さすがに冷えてきたな……。			装束の下に、羊毛で作られた襦袢を着てきたのだが、さすがに冷えてきたな……。			ガレアンの本質							
ラウバーン隊長から、直に到着すると連絡があった。しかし、あいつ……この寒さの中、どんな格好で現れるんだ？ちょっとした見ものだな……。			ラウバーン隊長から、直に到着すると連絡があった。しかし、あいつ……この寒さの中、どんな格好で現れるんだ？ちょっとした見ものだな……。			ガレアンの本質							
もし、本当に偽神獣の正体がネルウァ様なら、私は護るべき人を、護れなかったことになる……。だとしたら、せめて……。			もし、本当に偽神獣の正体がネルウァ様なら、私は護るべき人を、護れなかったことになる……。だとしたら、せめて……。			ガレアンの本質							
思ったとおりでした。エーテルが地脈を通って塔へと流れています。			思ったとおりでした。エーテルが地脈を通って塔へと流れています。			ガレアンの本質							
かつてテロフォロイは、世界各地に「終末の塔」を出現させ、それぞれの地域からエーテルを集め、バブイルの塔へ送っていました。			かつてテロフォロイは、世界各地に「終末の塔」を出現させ、それぞれの地域からエーテルを集め、バブイルの塔へ送っていました。			ガレアンの本質							
しかし、「終末の塔」は消滅した。したがって、バブイルの塔に流れ込んでいた、エーテルの奔流も止まったはずなのですが……			しかし、「終末の塔」は消滅した。したがって、バブイルの塔に流れ込んでいた、エーテルの奔流も止まったはずなのですが……			ガレアンの本質							
おい、いい加減姿を現したらどうだ……。バブイルの塔にいたヤツだろ？悪いが、俺の眼からは逃れられないぜ。			おい、いい加減姿を現したらどうだ……。バブイルの塔にいたヤツだろ？悪いが、俺の眼からは逃れられないぜ。			ガレアンの本質							
ほう……。なかなか冴えてるじゃないか。			ほう……。なかなか冴えてるじゃないか。			ガレアンの本質							
お前は……たしかネロと言ったな。なぜ、このような場所に……！			お前は……たしかネロと言ったな。なぜ、このような場所に……！			ガレアンの本質							
オイオイオイ、ここはオレにとっても祖国なンだぜ？里帰りしてたって、不思議はないだろうが。			オイオイオイ、ここはオレにとっても祖国なンだぜ？里帰りしてたって、不思議はないだろうが。			ガレアンの本質							
ふざけたことを……。よからぬことを企んでいるのなら、シドに連絡をして……			ふざけたことを……。よからぬことを企んでいるのなら、シドに連絡をして……			ガレアンの本質							
どうして、奴の名前が出てくるンだよ！いいか、オレ様は、あの凡庸なボンボンと違って、この星に留まっていられるほど、小さな才能じゃないンでね。			どうして、奴の名前が出てくるンだよ！いいか、オレ様は、あの凡庸なボンボンと違って、この星に留まっていられるほど、小さな才能じゃないンでね。			ガレアンの本質							
それで、バブイルの塔に入り込んでいたってわけか。だが、その様子だと、お前も偽神獣に阻まれて、月には行けなかったようだな？			それで、バブイルの塔に入り込んでいたってわけか。だが、その様子だと、お前も偽神獣に阻まれて、月には行けなかったようだな？			ガレアンの本質							
お前らが、あの化け物を倒してくれりゃ、話は早かったンだがな……。			お前らが、あの化け物を倒してくれりゃ、話は早かったンだがな……。			ガレアンの本質							
月に渡れなくなって、どうしたものかと思ってたら、偽神獣対策に乗り出したと知って、様子見してたンだよ。			月に渡れなくなって、どうしたものかと思ってたら、偽神獣対策に乗り出したと知って、様子見してたンだよ。			ガレアンの本質							
なるほど、あの魔導技術の天才、シド会長を上回るほどの才能ともなれば、すでに、なにか情報をお持ちなのではありませんか？			なるほど、あの魔導技術の天才、シド会長を上回るほどの才能ともなれば、すでに、なにか情報をお持ちなのではありませんか？			ガレアンの本質							
クックックッ……わかっているじゃないか。このネロ様が、助け舟を出してやろう。			クックックッ……わかっているじゃないか。このネロ様が、助け舟を出してやろう。			ガレアンの本質							
バブイルの塔のシステムに侵入して調べたンだが、塔の端末のひとつが、まだ起動しているらしくてな……。			バブイルの塔のシステムに侵入して調べたンだが、塔の端末のひとつが、まだ起動しているらしくてな……。			ガレアンの本質							
「終末の塔」が……！？ですが、すべての塔は消滅したはず……！			「終末の塔」が……！？ですが、すべての塔は消滅したはず……！			ガレアンの本質							
お前らは、塔の核になっていたヴァリスの遺物を、すべて回収した気になっていたらしいが、残ってたンだよ。ファブリカ区の北あたりにな……。			お前らは、塔の核になっていたヴァリスの遺物を、すべて回収した気になっていたらしいが、残ってたンだよ。ファブリカ区の北あたりにな……。			ガレアンの本質							
ファブリカ区は魔導城……バブイルの塔を挟んで北側に位置するガレマルドの工業区だ。			ファブリカ区は魔導城……バブイルの塔を挟んで北側に位置するガレマルドの工業区だ。			ガレアンの本質							
元々、エブラーナ氷原は、人が住むのに適した土地じゃない。寒さはもちろん、お前らが大好きなエーテルが薄く、生物にとって過酷な環境だからだ。			元々、エブラーナ氷原は、人が住むのに適した土地じゃない。寒さはもちろん、お前らが大好きなエーテルが薄く、生物にとって過酷な環境だからだ。			ガレアンの本質							
だからこそ、「終末の塔」がそうであったように、地脈の結節点として、ヴァリス帝の遺物を利用していたのですね？			だからこそ、「終末の塔」がそうであったように、地脈の結節点として、ヴァリス帝の遺物を利用していたのですね？			ガレアンの本質							
そのとおり。塔のシステムを、ほじくり返してわかったことだが、そこに仕込まれた遺物は陛下の……皇帝の「心臓」だったらしい。			そのとおり。塔のシステムを、ほじくり返してわかったことだが、そこに仕込まれた遺物は陛下の……皇帝の「心臓」だったらしい。			ガレアンの本質							
すべての血を集め、巡らせるそれを使うことで、エーテルを集める仕掛けを使っていたようだな。			すべての血を集め、巡らせるそれを使うことで、エーテルを集める仕掛けを使っていたようだな。			ガレアンの本質							
他人が造った仕掛けを使って、エーテルを吸い上げて守りを固めるなんざ、いかにも小心者のネルウァらしいぜ……。			他人が造った仕掛けを使って、エーテルを吸い上げて守りを固めるなんざ、いかにも小心者のネルウァらしいぜ……。			ガレアンの本質							
おっと、つい口が滑っちまった……ちょっとした軽口だ、そうカッカするなよ。			おっと、つい口が滑っちまった……ちょっとした軽口だ、そうカッカするなよ。			ガレアンの本質							
それが事実なら、ただでさえ希薄な、ガレマルドの環境エーテルは吸いつくされてしまいます。やがて、この土地は復興など叶わぬ、永久焦土と化しましょう。			それが事実なら、ただでさえ希薄な、ガレマルドの環境エーテルは吸いつくされてしまいます。やがて、この土地は復興など叶わぬ、永久焦土と化しましょう。			ガレアンの本質							
ただちに、ヴァリス帝の心臓を回収して、エーテル吸収を止めねばなりません。さすれば、障壁もなくなり偽神獣を掃うことも叶うはず。			ただちに、ヴァリス帝の心臓を回収して、エーテル吸収を止めねばなりません。さすれば、障壁もなくなり偽神獣を掃うことも叶うはず。			ガレアンの本質							
それを、我らにやらせようというのだな……？			それを、我らにやらせようというのだな……？			ガレアンの本質							
ご明察だ。お前らのことだから、そのうち答えに辿り着くだろうと、しばらく黙って見ていたンだが、そうもいかない事情が出てきてな。			ご明察だ。お前らのことだから、そのうち答えに辿り着くだろうと、しばらく黙って見ていたンだが、そうもいかない事情が出てきてな。			ガレアンの本質							
あの塔は、アニマを「核」とするために設計されている。偽神獣が無理やりその「核」になったことで、塔に大きな負荷がかかっているンだ。			あの塔は、アニマを「核」とするために設計されている。偽神獣が無理やりその「核」になったことで、塔に大きな負荷がかかっているンだ。			ガレアンの本質							
オレ様が計算したところ、限界は近いらしい。ほどなく偽神獣もろともバブイルの塔は大爆発……。周辺の地脈は破壊され、復興どころじゃなくなるだろうよ。			オレ様が計算したところ、限界は近いらしい。ほどなく偽神獣もろともバブイルの塔は大爆発……。周辺の地脈は破壊され、復興どころじゃなくなるだろうよ。			ガレアンの本質							
もちろん、塔がなくなれば月への門も閉ざされる。そうなったら、いかにオレ様でもお手上げだ。			もちろん、塔がなくなれば月への門も閉ざされる。そうなったら、いかにオレ様でもお手上げだ。			ガレアンの本質							
ならば、ますますことを急がねばなりませんね。			ならば、ますますことを急がねばなりませんね。			ガレアンの本質							
だが、大まかな区画がわかったとしても、手のひらに収まるほどの心臓を、どうやって見つけ出す？			だが、大まかな区画がわかったとしても、手のひらに収まるほどの心臓を、どうやって見つけ出す？			ガレアンの本質							
心当たりがある……。			心当たりがある……。			ガレアンの本質							
精神を汚染され、強制的に働かされていたころの記憶が、おぼろげに残っているんだ……。			精神を汚染され、強制的に働かされていたころの記憶が、おぼろげに残っているんだ……。			ガレアンの本質							
私は、マグナ・グラキエスに派遣される前、ファブリカ区の一角で、建築作業を命じられていた。			私は、マグナ・グラキエスに派遣される前、ファブリカ区の一角で、建築作業を命じられていた。			ガレアンの本質							
あの奇妙な施設が、そうに違いない。場所も覚えているので、私が案内しよう。			あの奇妙な施設が、そうに違いない。場所も覚えているので、私が案内しよう。			ガレアンの本質							
どうやらアタリのようだな。だが、偽神獣が獣に身を守らせていたのと同様に、防備を固められているかもしれンぞ？			どうやらアタリのようだな。だが、偽神獣が獣に身を守らせていたのと同様に、防備を固められているかもしれンぞ？			ガレアンの本質							
ここは、二手に分かれた方が早そうだな。俺たちは、ウェルギリアと共にヴァリスの心臓を回収する。そうすればエーテルの供給は断たれ、魔法障壁は消えるはずだ。			ここは、二手に分かれた方が早そうだな。俺たちは、ウェルギリアと共にヴァリスの心臓を回収する。そうすればエーテルの供給は断たれ、魔法障壁は消えるはずだ。			ガレアンの本質							
それと同時に主力部隊がバブイルの塔へ……。障壁さえ消えちまえば、偽神獣なんざアンタと盟主らで充分だろう？			それと同時に主力部隊がバブイルの塔へ……。障壁さえ消えちまえば、偽神獣なんざアンタと盟主らで充分だろう？			ガレアンの本質							
何と言う？			何と言う？			ガレアンの本質							
こちらは任せてくれ			こちらは任せてくれ			ガレアンの本質							
そちらを頼んだぞ			そちらを頼んだぞ			ガレアンの本質							
私だ……何かあったのか？			私だ……何かあったのか？			ガレアンの本質							
……なんだって！？わかった、すぐに連れ戻そう。			……なんだって！？わかった、すぐに連れ戻そう。			ガレアンの本質							
派遣団からの緊急連絡だ。キャンプ・ブロークングラスにいた若い帰還者たちが、バブイルの塔の方へ向かったそうだ。			派遣団からの緊急連絡だ。キャンプ・ブロークングラスにいた若い帰還者たちが、バブイルの塔の方へ向かったそうだ。			ガレアンの本質							
帰還者たちの中でも、特に愛国心が強い者たちだったようでな。皇族ネルウァが潜伏しているのだと誤解して、暴挙に出たらしい。			帰還者たちの中でも、特に愛国心が強い者たちだったようでな。皇族ネルウァが潜伏しているのだと誤解して、暴挙に出たらしい。			ガレアンの本質							
まだこの辺りにいるはずだ。急ぎ彼らを探し出して、連れ戻しにいこう。			まだこの辺りにいるはずだ。急ぎ彼らを探し出して、連れ戻しにいこう。			ガレアンの本質							
そういう面倒に関わるのが嫌で、しばらく黙って見ていたンだ。そんな奴らは、ほっておけばいいンだよ。			そういう面倒に関わるのが嫌で、しばらく黙って見ていたンだ。そんな奴らは、ほっておけばいいンだよ。			ガレアンの本質							
助けられる人が目の前にいるときに、我が身を案じて助けぬというのは怠惰というもの。今の私を支える言葉だ。			助けられる人が目の前にいるときに、我が身を案じて助けぬというのは怠惰というもの。今の私を支える言葉だ。			ガレアンの本質							
Forename、すまないが君も一緒に来てくれ。			Forename、すまないが君も一緒に来てくれ。			ガレアンの本質							
私は偽神獣討伐に向かう主力部隊を編成するため、キャンプ・ブロークングラスに戻っておきます。急ぎ、準備を進めましょう。			私は偽神獣討伐に向かう主力部隊を編成するため、キャンプ・ブロークングラスに戻っておきます。急ぎ、準備を進めましょう。			ガレアンの本質							
さて、オレはこの辺で一服しとくか……。			さて、オレはこの辺で一服しとくか……。			ガレアンの本質							
同行の申し出を受けてくれて、助かった。このような事態になろうとは想定しておらず、武器を持ってきていないのだ。			同行の申し出を受けてくれて、助かった。このような事態になろうとは想定しておらず、武器を持ってきていないのだ。			ガレアンの本質							
もしも、魔物や魔導兵器に襲われたときは、すまないが排除を頼みたい。			もしも、魔物や魔導兵器に襲われたときは、すまないが排除を頼みたい。			ガレアンの本質							
では、若者たちを探すとしよう。こちらから、バブイルの塔の方角を捜索するのだ。			では、若者たちを探すとしよう。こちらから、バブイルの塔の方角を捜索するのだ。			ガレアンの本質							
この辺りには、若者たちの姿はないようだな……。先に進んで探してみよう。			この辺りには、若者たちの姿はないようだな……。先に進んで探してみよう。			ガレアンの本質							
何をする？			何をする？			ガレアンの本質							
話す			話す			ガレアンの本質							
同行状態を解除する			同行状態を解除する			ガレアンの本質							
キャンセル			キャンセル			ガレアンの本質							
若者たちを死なせるわけにはいかない。塔に入って獣に襲われる前に、何としても探し出そう。			若者たちを死なせるわけにはいかない。塔に入って獣に襲われる前に、何としても探し出そう。			ガレアンの本質							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			ガレアンの本質							
用があるのならば手早く済ませてくれ。私は「ウルバニッシマ区」の先ほどの場所で待っていよう。			用があるのならば手早く済ませてくれ。私は「ウルバニッシマ区」の先ほどの場所で待っていよう。			ガレアンの本質							
用は済んだようだな。では、急ぎ若者たちを探そう。			用は済んだようだな。では、急ぎ若者たちを探そう。			ガレアンの本質							
このクエストを進行させるには、フルシュノが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、フルシュノが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			ガレアンの本質							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			ガレアンの本質							
やあ、Forename。ガレマルドの偽神獣対策に協力してくれているそうだね。			やあ、Forename。ガレマルドの偽神獣対策に協力してくれているそうだね。			ガレアンの本質							
私たちも、さらなる獣化の被害が広まらぬよう、ここで最善を尽くしているところだ。あの悲劇は、もう二度と見たくはないからね……。			私たちも、さらなる獣化の被害が広まらぬよう、ここで最善を尽くしているところだ。あの悲劇は、もう二度と見たくはないからね……。			ガレアンの本質							
お父様、この駅にいる人々のことは我々にお任せください。いまのところ、獣化する者は出ておりません。			お父様、この駅にいる人々のことは我々にお任せください。いまのところ、獣化する者は出ておりません。			ガレアンの本質							
ああ、引き続き頼む。偽神獣に関しては、Forename殿らと共に、対策に動いている……どうか、しばし堪えてくれ。			ああ、引き続き頼む。偽神獣に関しては、Forename殿らと共に、対策に動いている……どうか、しばし堪えてくれ。			ガレアンの本質							
せっかく生き延びた人たちを、獣なんかにさせるもんですか！誰かが絶望に堕ちそうになったら、別の誰かが希望を繋ぐ……そうやって、この状況を打破してみせるわ！			せっかく生き延びた人たちを、獣なんかにさせるもんですか！誰かが絶望に堕ちそうになったら、別の誰かが希望を繋ぐ……そうやって、この状況を打破してみせるわ！			ガレアンの本質							
頼もしいな、アリゼー。その意気で、どうかここにいる人々のことを頼む。			頼もしいな、アリゼー。その意気で、どうかここにいる人々のことを頼む。			ガレアンの本質							
お父様もどうか気をつけて。ふたりとも、あんまり無理はしないでね……。			お父様もどうか気をつけて。ふたりとも、あんまり無理はしないでね……。			ガレアンの本質							
(-若者の声-)た、助けてくれーーー！			(-若者の声-)た、助けてくれーーー！			ガレアンの本質							
悲鳴のもとへ急ごう……！			悲鳴のもとへ急ごう……！			ガレアンの本質							
と、塔の方からバケモノが……！			と、塔の方からバケモノが……！			ガレアンの本質							
すまない、獣を倒してくれ！			すまない、獣を倒してくれ！			ガレアンの本質							
獣を倒してくれて感謝する。彼は無事だろうか……？			獣を倒してくれて感謝する。彼は無事だろうか……？			ガレアンの本質							
た、助かったよ。あんたは、俺たちに話を聞きにきた奴だな……。			た、助かったよ。あんたは、俺たちに話を聞きにきた奴だな……。			ガレアンの本質							
魔導城に、ネルウァ様がいると聞いたんだが……中からバケモノが飛び出して襲ってきやがった。いったい、どうなってるんだ……？			魔導城に、ネルウァ様がいると聞いたんだが……中からバケモノが飛び出して襲ってきやがった。いったい、どうなってるんだ……？			ガレアンの本質							
ネルウァ様がバケモノに……？			ネルウァ様がバケモノに……？			ガレアンの本質							
なんてこった……。やっぱり俺たちには、もう居場所は残されてないんだな。			なんてこった……。やっぱり俺たちには、もう居場所は残されてないんだな。			ガレアンの本質							
そんなことはない。君のような若者こそ、新たな国家の建設に加わればいい。むろん、我がシャーレアンへの移住という選択肢もある。			そんなことはない。君のような若者こそ、新たな国家の建設に加わればいい。むろん、我がシャーレアンへの移住という選択肢もある。			ガレアンの本質							
そう簡単に割り切れるものかよ。新たな国家とやらは、俺が愛した帝国とは別物だ。それに他国で生きるくらいなら、野垂れ死にを選ぶね……。			そう簡単に割り切れるものかよ。新たな国家とやらは、俺が愛した帝国とは別物だ。それに他国で生きるくらいなら、野垂れ死にを選ぶね……。			ガレアンの本質							
失われた故郷を夢に見ながら自ら死を選ぶというのか？			失われた故郷を夢に見ながら自ら死を選ぶというのか？			ガレアンの本質							
それだけの覚悟があるならば、古き国家の枠組みなど飛び越え、新天地を目指すべきだ。			それだけの覚悟があるならば、古き国家の枠組みなど飛び越え、新天地を目指すべきだ。			ガレアンの本質							
新天地だと……？どこにそんなものがあるというんだ？			新天地だと……？どこにそんなものがあるというんだ？			ガレアンの本質							
……月にある。			……月にある。			ガレアンの本質							
我々は、月をいかなる国家にも属さぬ、人類の叡智の集積地とする計画を立てているのだ。その理念に賛同してもらえるなら、共にきてほしい。			我々は、月をいかなる国家にも属さぬ、人類の叡智の集積地とする計画を立てているのだ。その理念に賛同してもらえるなら、共にきてほしい。			ガレアンの本質							
ガレアン人は誰よりも魔導技術に、機械操作に長けている。進んだ知識を持つ月の民、レポリットたちとも、きっと対等に渡り合えるだろう。			ガレアン人は誰よりも魔導技術に、機械操作に長けている。進んだ知識を持つ月の民、レポリットたちとも、きっと対等に渡り合えるだろう。			ガレアンの本質							
ハッ、何を言っている？いまさら、そんなところへ……			ハッ、何を言っている？いまさら、そんなところへ……			ガレアンの本質							
(-ネロの声-)いいじゃないか……。			(-ネロの声-)いいじゃないか……。			ガレアンの本質							
いいか、よく聞けよ。帝国を強国へと発展させてきたガレアン人の本質は、現状や過去に甘んじることなく、進歩を続けることにある。			いいか、よく聞けよ。帝国を強国へと発展させてきたガレアン人の本質は、現状や過去に甘んじることなく、進歩を続けることにある。			ガレアンの本質							
オレは、そのとおりに生きてきた。ときに負け、辛酸を舐めたことだってあったが、それでも、どこにいようと、オレは高みを目指してきた。			オレは、そのとおりに生きてきた。ときに負け、辛酸を舐めたことだってあったが、それでも、どこにいようと、オレは高みを目指してきた。			ガレアンの本質							
祖国がガレキの山に変わろうが、オレの技術は変わらねぇ。むしろ、さらなる高みを目指して、まだ見ぬ知識が眠る月に、行ってみたくてウズウズしてるンだ……。			祖国がガレキの山に変わろうが、オレの技術は変わらねぇ。むしろ、さらなる高みを目指して、まだ見ぬ知識が眠る月に、行ってみたくてウズウズしてるンだ……。			ガレアンの本質							
聞けば、終末の獣ってのは、絶望した奴がなるらしい。だとしたら、なぜお前たちは人のままでいるンだ？			聞けば、終末の獣ってのは、絶望した奴がなるらしい。だとしたら、なぜお前たちは人のままでいるンだ？			ガレアンの本質							
帝国は滅びた。だが、お前たちは終わってないし、終わってるとも思ってないンだよ。これからは好きに生き、好きに高みを目指せばいいってこった。			帝国は滅びた。だが、お前たちは終わってないし、終わってるとも思ってないンだよ。これからは好きに生き、好きに高みを目指せばいいってこった。			ガレアンの本質							
……ま、オレはお前たちが野垂れ死のうが、絶望しようが、知ったこっちゃないがな。			……ま、オレはお前たちが野垂れ死のうが、絶望しようが、知ったこっちゃないがな。			ガレアンの本質							
わかった……。腐ったまま野垂れ死にするくらいなら、やってやる。月だろうと、どこだろうと行って、高みってやつを見てやるよ。			わかった……。腐ったまま野垂れ死にするくらいなら、やってやる。月だろうと、どこだろうと行って、高みってやつを見てやるよ。			ガレアンの本質							
たしかに、俺も学生だった頃は、新技術に夢中になって、魔導展に出品する作品を作ってたっけ……。つねに高みを目指す、か……。			たしかに、俺も学生だった頃は、新技術に夢中になって、魔導展に出品する作品を作ってたっけ……。つねに高みを目指す、か……。			ガレアンの本質							
では、そのためにも我々は、偽神獣を倒さねばならないな……。			では、そのためにも我々は、偽神獣を倒さねばならないな……。			ガレアンの本質							
皇族を敬愛していた気持ちは、今も変わりない。だが、ネルウァ様が、そんなバケモノになってしまったのなら……どうか安らかに眠らせてやってくれ。			皇族を敬愛していた気持ちは、今も変わりない。だが、ネルウァ様が、そんなバケモノになってしまったのなら……どうか安らかに眠らせてやってくれ。			ガレアンの本質							
迷惑かけてすまなかった、俺たちはキャンプに戻るよ。			迷惑かけてすまなかった、俺たちはキャンプに戻るよ。			ガレアンの本質							
感謝する、君のおかげで説得することができた。しかし、面倒事に関わるのは嫌だったのでは……？			感謝する、君のおかげで説得することができた。しかし、面倒事に関わるのは嫌だったのでは……？			ガレアンの本質							
……オレは皇族なんて、よくわからん他人のために、振り回される奴が大嫌いなンでね。文句のひとつでも、言ってやりたかっただけだ。			……オレは皇族なんて、よくわからん他人のために、振り回される奴が大嫌いなンでね。文句のひとつでも、言ってやりたかっただけだ。			ガレアンの本質							
それに、いくつもの国がつるんで月に進出しようっていうのに、ガレアン人がひとりもいないってのは気に食わない。			それに、いくつもの国がつるんで月に進出しようっていうのに、ガレアン人がひとりもいないってのは気に食わない。			ガレアンの本質							
いざとなれば、あいつらから月の情報も仕入れられるしな……。			いざとなれば、あいつらから月の情報も仕入れられるしな……。			ガレアンの本質							
ウルバニッシマ区のフルシュノは、拠点に戻りたいようだ。			ウルバニッシマ区のフルシュノは、拠点に戻りたいようだ。			ネルウァの帝国							
フルシュノと拠点に戻ることになった。ガレマルドのキャンプ・ブロークングラスの「フルシュノ」と話そう。			フルシュノと拠点に戻ることになった。ガレマルドのキャンプ・ブロークングラスの「フルシュノ」と話そう。			ネルウァの帝国							
フルシュノと話し、ラウバーンとヒエンが到着し、ヴァリスの心臓を回収したという報も入った。偽神獣討伐に臨むことになり、ネロとフルシュノも参戦するという。ガレマルドのガレアン・ドモルム区にいる「フルシュノ」と話そう。			フルシュノと話し、ラウバーンとヒエンが到着し、ヴァリスの心臓を回収したという報も入った。偽神獣討伐に臨むことになり、ネロとフルシュノも参戦するという。ガレマルドのガレアン・ドモルム区にいる「フルシュノ」と話そう。			ネルウァの帝国							
フルシュノと話し、偽神獣を討伐するため、フルシュノとネロ、そして盟主たちと共にバブイルの塔に乗り込んだ。			フルシュノと話し、偽神獣を討伐するため、フルシュノとネロ、そして盟主たちと共にバブイルの塔に乗り込んだ。			ネルウァの帝国							
バブイルの塔の上階で、偽神獣ネルウァ・イェー・ガルヴァスを倒した。フルシュノと盟主たちは世界の調和を保っていくため、各国が協力することを誓うのだった。キャンプ・ブロークングラスの「フルシュノ」と話そう。			バブイルの塔の上階で、偽神獣ネルウァ・イェー・ガルヴァスを倒した。フルシュノと盟主たちは世界の調和を保っていくため、各国が協力することを誓うのだった。キャンプ・ブロークングラスの「フルシュノ」と話そう。			ネルウァの帝国							
フルシュノと話して、愛国者の若者たちとリヴィングウェイが現れた。彼らと共にフルシュノは月へと向かっていった。ガレマルドの偽神獣討伐が完了したことを、ラザハンの流星の間にいる「シーラバート」に報告しよう。			フルシュノと話して、愛国者の若者たちとリヴィングウェイが現れた。彼らと共にフルシュノは月へと向かっていった。ガレマルドの偽神獣討伐が完了したことを、ラザハンの流星の間にいる「シーラバート」に報告しよう。			ネルウァの帝国							
シーラバートに報告した。これで、すべての偽神獣が討伐され、星を襲った終末は、やっと終わりを迎えたようだ。			シーラバートに報告した。これで、すべての偽神獣が討伐され、星を襲った終末は、やっと終わりを迎えたようだ。			ネルウァの帝国							
フルシュノと話す			フルシュノと話す			ネルウァの帝国							
フルシュノと再度話す			フルシュノと再度話す			ネルウァの帝国							
フルシュノとさらに話す			フルシュノとさらに話す			ネルウァの帝国							
ラザハンのシーラバートと話す			ラザハンのシーラバートと話す			ネルウァの帝国							
