特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
あいつらのいない日々を、俺なりに歩いていかないと。……けど、やっぱり別れってやつは、さみしいもんだわなぁ。			あいつらのいない日々を、俺なりに歩いていかないと。……けど、やっぱり別れってやつは、さみしいもんだわなぁ。			イェザーンの助言							
特殊ルール： レベルアジャストパーラカの里のシュウーラは、行きたい場所があるようだ。			特殊ルール： レベルアジャストパーラカの里のシュウーラは、行きたい場所があるようだ。			パサリーンの資格、シュウーラの罪							
※本クエストには「 レベルアジャスト」が、　設定されています。シュウーラと話した。守護者としての仕事に同行することとなった。サベネア島のプルシャ寺院で、「シュウーラ」と話そう。			※本クエストには「 レベルアジャスト」が、　設定されています。シュウーラと話した。守護者としての仕事に同行することとなった。サベネア島のプルシャ寺院で、「シュウーラ」と話そう。			パサリーンの資格、シュウーラの罪							
シュウーラと話した。プルシャ寺院の「シュウーラ」と再度話そう。			シュウーラと話した。プルシャ寺院の「シュウーラ」と再度話そう。			パサリーンの資格、シュウーラの罪							
シュウーラと再度話した。プルシャ寺院で「遺跡の損傷」を調べよう。			シュウーラと再度話した。プルシャ寺院で「遺跡の損傷」を調べよう。			パサリーンの資格、シュウーラの罪							
遺跡の損傷を調べた。プルシャ寺院の「シュウーラ」に報告しよう。			遺跡の損傷を調べた。プルシャ寺院の「シュウーラ」に報告しよう。			パサリーンの資格、シュウーラの罪							
シュウーラに報告した。パーラカの里へ戻り、「パサリーン」と話そう。			シュウーラに報告した。パーラカの里へ戻り、「パサリーン」と話そう。			パサリーンの資格、シュウーラの罪							
パサリーンと話した。彼女はシュウーラの謝罪を受け取るも、いまだ苦しんでいるようだ。パサリーンが立ち直るには、あともう少し、手助けが必要だろう。			パサリーンと話した。彼女はシュウーラの謝罪を受け取るも、いまだ苦しんでいるようだ。パサリーンが立ち直るには、あともう少し、手助けが必要だろう。			パサリーンの資格、シュウーラの罪							
シュウーラと話す			シュウーラと話す			パサリーンの資格、シュウーラの罪							
シュウーラと再度話す			シュウーラと再度話す			パサリーンの資格、シュウーラの罪							
遺跡の損傷を調べる			遺跡の損傷を調べる			パサリーンの資格、シュウーラの罪							
シュウーラに報告			シュウーラに報告			パサリーンの資格、シュウーラの罪							
パサリーンと話す			パサリーンと話す			パサリーンの資格、シュウーラの罪							
パサリーンが言ってた「資格」の話……まさかそんな事情があったとはね。			パサリーンが言ってた「資格」の話……まさかそんな事情があったとはね。			パサリーンの資格、シュウーラの罪							
話を聞いてくれるのね、ありがとう。実は、遠出したい場所があるから、同行してもらいたくて……。			話を聞いてくれるのね、ありがとう。実は、遠出したい場所があるから、同行してもらいたくて……。			パサリーンの資格、シュウーラの罪							
守護者として護っている、寺院の状態を確認しておきたいの。あなたが配ったチャイと同じで、私も日常の仕事に触れられたら、少しは心を落ち着けて、パサリーンに謝罪できると思ってね。			守護者として護っている、寺院の状態を確認しておきたいの。あなたが配ったチャイと同じで、私も日常の仕事に触れられたら、少しは心を落ち着けて、パサリーンに謝罪できると思ってね。			パサリーンの資格、シュウーラの罪							
これまで、森に逃げたヒトの保護を優先して動いていたけど、幸い、星戦士団も来てくれている今なら行けるかなと……。			これまで、森に逃げたヒトの保護を優先して動いていたけど、幸い、星戦士団も来てくれている今なら行けるかなと……。			パサリーンの資格、シュウーラの罪							
悪い、俺からも頼むわ。こんな状況だからこそ、里の中の揉め事は減らしておきたい。ちょっとだけ、付き合ってやってもらえんかね。			悪い、俺からも頼むわ。こんな状況だからこそ、里の中の揉め事は減らしておきたい。ちょっとだけ、付き合ってやってもらえんかね。			パサリーンの資格、シュウーラの罪							
助かるよ。俺が同行しちゃあ、足手まといだろうし、ここに残って、赤ん坊たちに予防薬を飲ませたりしとくわ。			助かるよ。俺が同行しちゃあ、足手まといだろうし、ここに残って、赤ん坊たちに予防薬を飲ませたりしとくわ。			パサリーンの資格、シュウーラの罪							
俺ってば、ガタイの割に運動音痴でな。この筋肉が役立つのは、薬研で薬を挽くときくらいのもんよ。			俺ってば、ガタイの割に運動音痴でな。この筋肉が役立つのは、薬研で薬を挽くときくらいのもんよ。			パサリーンの資格、シュウーラの罪							
ふたりとも、ありがとう。目的地は、パーラカの里南東にある「プルシャ寺院」よ。少し遠いから、すぐ出発しましょう。			ふたりとも、ありがとう。目的地は、パーラカの里南東にある「プルシャ寺院」よ。少し遠いから、すぐ出発しましょう。			パサリーンの資格、シュウーラの罪							
お前さんが強いのはわかっちゃいるが、まあなんだ、気をつけてな。			お前さんが強いのはわかっちゃいるが、まあなんだ、気をつけてな。			パサリーンの資格、シュウーラの罪							
付き合ってくれて、ありがとう。このあたり、昔はもっと寺院が多かったの。中には、ヴァナスパティ樹海へ移設された寺院もあってね。			付き合ってくれて、ありがとう。このあたり、昔はもっと寺院が多かったの。中には、ヴァナスパティ樹海へ移設された寺院もあってね。			パサリーンの資格、シュウーラの罪							
そのひとつにおわした神獣様は、こんな葬送の訓えを与えてくださったの。			そのひとつにおわした神獣様は、こんな葬送の訓えを与えてくださったの。			パサリーンの資格、シュウーラの罪							
『生とは死へと向かうものであり、　死とは生へと向かうものである』			『生とは死へと向かうものであり、　死とは生へと向かうものである』			パサリーンの資格、シュウーラの罪							
『死して新たな生へと旅立つ者を、　悲嘆で引き留めてはならない』			『死して新たな生へと旅立つ者を、　悲嘆で引き留めてはならない』			パサリーンの資格、シュウーラの罪							
『辛苦に苛まれてなお、　歩み続ければこそ、再び道は交わるだろう』			『辛苦に苛まれてなお、　歩み続ければこそ、再び道は交わるだろう』			パサリーンの資格、シュウーラの罪							
昔から、姉さんを道しるべに歩いてきた私は今、迷子も同然。歩き続けなければと思うほどに、歩む足が重くなって、本当に情けないわ……。			昔から、姉さんを道しるべに歩いてきた私は今、迷子も同然。歩き続けなければと思うほどに、歩む足が重くなって、本当に情けないわ……。			パサリーンの資格、シュウーラの罪							
何と言う？			何と言う？			パサリーンの資格、シュウーラの罪							
前に進もうという気持ちが大事			前に進もうという気持ちが大事			パサリーンの資格、シュウーラの罪							
いっそ、立ち止まってみるという手もある			いっそ、立ち止まってみるという手もある			パサリーンの資格、シュウーラの罪							
イェザーンもそうだけど、あなたも優しいのね。私もふたりみたいに、パサリーンへ接していれば……。			イェザーンもそうだけど、あなたも優しいのね。私もふたりみたいに、パサリーンへ接していれば……。			パサリーンの資格、シュウーラの罪							
…………。このあたりは荒れた様子もないし、反対側も確認しましょう。			…………。このあたりは荒れた様子もないし、反対側も確認しましょう。			パサリーンの資格、シュウーラの罪							
ここ、荒れているわ。調べるのを手伝ってもらえる？			ここ、荒れているわ。調べるのを手伝ってもらえる？			パサリーンの資格、シュウーラの罪							
手分けして「遺跡の損傷」を確認しましょう。私は引き続き、このあたりを見てみるから、あなたも気になるところがあったら、調べてみて。			手分けして「遺跡の損傷」を確認しましょう。私は引き続き、このあたりを見てみるから、あなたも気になるところがあったら、調べてみて。			パサリーンの資格、シュウーラの罪							
私は引き続き、このあたりを見てみるから、あなたも気になるところがあったら、調べてみて。			私は引き続き、このあたりを見てみるから、あなたも気になるところがあったら、調べてみて。			パサリーンの資格、シュウーラの罪							
石材に、ひびが入っている。補修が必要そうだ。			石材に、ひびが入っている。補修が必要そうだ。			パサリーンの資格、シュウーラの罪							
石材の一部が砕けて、細かい破片が散っている。交換したほうが安全だろう。			石材の一部が砕けて、細かい破片が散っている。交換したほうが安全だろう。			パサリーンの資格、シュウーラの罪							
土台部分が不安定になっている。隙間を埋めれば、改善しそうだ。			土台部分が不安定になっている。隙間を埋めれば、改善しそうだ。			パサリーンの資格、シュウーラの罪							
確認、ありがとう。あなたが確認したところは、どうだった？			確認、ありがとう。あなたが確認したところは、どうだった？			パサリーンの資格、シュウーラの罪							
……なるほど、このあたりで戦闘があったのかもしれない。このあたりの神殿には、時折、参拝に訪れる人もいるの。崩れたら大変だし、はやめに対処しないと。			……なるほど、このあたりで戦闘があったのかもしれない。このあたりの神殿には、時折、参拝に訪れる人もいるの。崩れたら大変だし、はやめに対処しないと。			パサリーンの資格、シュウーラの罪							
あなたのおかげで、この仕事ができてよかった。自分の日常に触れることで、気持ちの整理ができたわ。			あなたのおかげで、この仕事ができてよかった。自分の日常に触れることで、気持ちの整理ができたわ。			パサリーンの資格、シュウーラの罪							
街道や神殿を見回り、安全を確保する守護者としての毎日……隣には、いつも誰よりも心強い姉さんがいてくれたけど、これからは、もっと自立して生きていかなきゃ。			街道や神殿を見回り、安全を確保する守護者としての毎日……隣には、いつも誰よりも心強い姉さんがいてくれたけど、これからは、もっと自立して生きていかなきゃ。			パサリーンの資格、シュウーラの罪							
……顔もあわせたくないって思われているかもしれないけど、パーラカの里へ戻ったら、「パサリーン」に謝る。あなたにも、見届けてもらえると嬉しいわ。			……顔もあわせたくないって思われているかもしれないけど、パーラカの里へ戻ったら、「パサリーン」に謝る。あなたにも、見届けてもらえると嬉しいわ。			パサリーンの資格、シュウーラの罪							
戻ったか。シュウーラのヤツ、ようやく腹括ったか？			戻ったか。シュウーラのヤツ、ようやく腹括ったか？			パサリーンの資格、シュウーラの罪							
緊張する……。でも、ちゃんと謝らないとね。			緊張する……。でも、ちゃんと謝らないとね。			パサリーンの資格、シュウーラの罪							
あら、Forenameさん。それに、シュウーラも……。			あら、Forenameさん。それに、シュウーラも……。			パサリーンの資格、シュウーラの罪							
おつかれさん。こっちは、パサリーンの赤ん坊に予防薬を飲ませてたとこ。……その様子だと、ようやく踏ん切りがついたか。			おつかれさん。こっちは、パサリーンの赤ん坊に予防薬を飲ませてたとこ。……その様子だと、ようやく踏ん切りがついたか。			パサリーンの資格、シュウーラの罪							
私、パサリーンに、謝りたくて……ごめんなさい！姉さんが亡くなって動転していたとはいえ、私、あなたに酷いことを……！			私、パサリーンに、謝りたくて……ごめんなさい！姉さんが亡くなって動転していたとはいえ、私、あなたに酷いことを……！			パサリーンの資格、シュウーラの罪							
私がしっかりしていれば、ダザールが絶望したり、姉さんがひとりで戦うことはなかった！それなのに、私は自分の責任を棚に上げて、八つ当たりを……！			私がしっかりしていれば、ダザールが絶望したり、姉さんがひとりで戦うことはなかった！それなのに、私は自分の責任を棚に上げて、八つ当たりを……！			パサリーンの資格、シュウーラの罪							
ああ、シュウーラ……何もできなかったと悔いているのは同じよ。不安がるダザールを支えられなかったのは、私の罪だわ。			ああ、シュウーラ……何もできなかったと悔いているのは同じよ。不安がるダザールを支えられなかったのは、私の罪だわ。			パサリーンの資格、シュウーラの罪							
何と言う？			何と言う？			パサリーンの資格、シュウーラの罪							
あの混乱のなかでは、誰もが被害者だった			あの混乱のなかでは、誰もが被害者だった			パサリーンの資格、シュウーラの罪							
終末の被害は、誰のせいでもない			終末の被害は、誰のせいでもない			パサリーンの資格、シュウーラの罪							
私も、そんな風に思っても、許されるのかしら……。			私も、そんな風に思っても、許されるのかしら……。			パサリーンの資格、シュウーラの罪							
私、シュウーラとまたお話しできるのは、とても嬉しいのよ。でも、もうしばらく考える時間をちょうだい……。			私、シュウーラとまたお話しできるのは、とても嬉しいのよ。でも、もうしばらく考える時間をちょうだい……。			パサリーンの資格、シュウーラの罪							
謝罪は、受け取ってもらえたみたいだけど、まだパサリーンは、迷っているのかな……。			謝罪は、受け取ってもらえたみたいだけど、まだパサリーンは、迷っているのかな……。			パサリーンの資格、シュウーラの罪							
特殊ルール： レベルアジャストパーラカの里のイェザーンは、冒険者の手を借りたいようだ。			特殊ルール： レベルアジャストパーラカの里のイェザーンは、冒険者の手を借りたいようだ。			ソーマ草を摘む者は							
※本クエストには「 レベルアジャスト」が、　設定されています。イェザーンと話した。薬草を採集したいという彼に、同行することとなった。サベネア島のパーラカの里北東で、「草むら」を調べよう。			※本クエストには「 レベルアジャスト」が、　設定されています。イェザーンと話した。薬草を採集したいという彼に、同行することとなった。サベネア島のパーラカの里北東で、「草むら」を調べよう。			ソーマ草を摘む者は							
ソーマ草を見つけた。パーラカの里北東の「イェザーン」と話そう。			ソーマ草を見つけた。パーラカの里北東の「イェザーン」と話そう。			ソーマ草を摘む者は							
イェザーンと話した。パーラカの里へ戻り、「イェザーン」と再度話そう。			イェザーンと話した。パーラカの里へ戻り、「イェザーン」と再度話そう。			ソーマ草を摘む者は							
イェザーンと再度話した。パーラカの里の「シュウーラ」と話そう。			イェザーンと再度話した。パーラカの里の「シュウーラ」と話そう。			ソーマ草を摘む者は							
シュウーラと話した。パーラカの里の「イェザーン」と話そう。			シュウーラと話した。パーラカの里の「イェザーン」と話そう。			ソーマ草を摘む者は							
イェザーンと話した。終末の獣を巡る混乱によって、シュウーラたちは心に深い傷を負っている。彼女たちのためにできることがないか、一緒に考えてあげよう。			イェザーンと話した。終末の獣を巡る混乱によって、シュウーラたちは心に深い傷を負っている。彼女たちのためにできることがないか、一緒に考えてあげよう。			ソーマ草を摘む者は							
草むらを調べ、敵が出現したら討伐			草むらを調べ、敵が出現したら討伐			ソーマ草を摘む者は							
イェザーンと話す			イェザーンと話す			ソーマ草を摘む者は							
パーラカの里のイェザーンと話す			パーラカの里のイェザーンと話す			ソーマ草を摘む者は							
シュウーラと話す			シュウーラと話す			ソーマ草を摘む者は							
イェザーンと話す			イェザーンと話す			ソーマ草を摘む者は							
ごめんなさいね……。			ごめんなさいね……。			ソーマ草を摘む者は							
んじゃ、さっそくなんだけども、薬草を採集しに、里の外までつきあってほしい。赤ん坊が患いやすい病があってね、予防薬を作りたいんだわ。			んじゃ、さっそくなんだけども、薬草を採集しに、里の外までつきあってほしい。赤ん坊が患いやすい病があってね、予防薬を作りたいんだわ。			ソーマ草を摘む者は							
思ってたよりも怪我人が多かったもんだから、遺烈郷から持ち込んだ薬草も残りが少ないんよ。面倒かけちまうけど、頼める？			思ってたよりも怪我人が多かったもんだから、遺烈郷から持ち込んだ薬草も残りが少ないんよ。面倒かけちまうけど、頼める？			ソーマ草を摘む者は							
恩に着るわ。ほしいのは「ソーマ草」、草むらの根本に生える薄紅色の薬草だ。パーラカの里の北東に群生してるから、そこで手分けして探そう。			恩に着るわ。ほしいのは「ソーマ草」、草むらの根本に生える薄紅色の薬草だ。パーラカの里の北東に群生してるから、そこで手分けして探そう。			ソーマ草を摘む者は							
このあたりに生えてたような……。			このあたりに生えてたような……。			ソーマ草を摘む者は							
すでに誰かが採集したのか、薬草のものらしき茎しか残っていなかった。			すでに誰かが採集したのか、薬草のものらしき茎しか残っていなかった。			ソーマ草を摘む者は							
草むらから、野生の魔物が飛び出してきたって？なんだか、どっかで聞いた話だが……無事でなによりだ。			草むらから、野生の魔物が飛び出してきたって？なんだか、どっかで聞いた話だが……無事でなによりだ。			ソーマ草を摘む者は							
で、ソーマ草は見つかったか？			で、ソーマ草は見つかったか？			ソーマ草を摘む者は							
おお、助かるわ。こっちは、さっぱり見つからなくてよ。そっちも採集された痕跡とか、残ってたか？			おお、助かるわ。こっちは、さっぱり見つからなくてよ。そっちも採集された痕跡とか、残ってたか？			ソーマ草を摘む者は							
なるほど……。まあここ、里の住人なら知ってる群生地だしなぁ。			なるほど……。まあここ、里の住人なら知ってる群生地だしなぁ。			ソーマ草を摘む者は							
足りなくなったら、採集した住民を探すかね。これ以上は見つからないだろうし、パーラカの里へ引き揚げようや。			足りなくなったら、採集した住民を探すかね。これ以上は見つからないだろうし、パーラカの里へ引き揚げようや。			ソーマ草を摘む者は							
あれだけ渡せば、足りるかな……。			あれだけ渡せば、足りるかな……。			ソーマ草を摘む者は							
聞いて驚け、戻ってみりゃあ大量の薬草が届いてんの。しかも、俺らが探していたソーマ草も入っててな。			聞いて驚け、戻ってみりゃあ大量の薬草が届いてんの。しかも、俺らが探していたソーマ草も入っててな。			ソーマ草を摘む者は							
受け取った錬金術師の仲間が言うには、アルカソーダラ族の守護者が届けてくれたんだと。たぶん、シュウーラだな。			受け取った錬金術師の仲間が言うには、アルカソーダラ族の守護者が届けてくれたんだと。たぶん、シュウーラだな。			ソーマ草を摘む者は							
そういや、パサリーンと話してたとき、こっちの様子を窺がってたな、あいつ……。			そういや、パサリーンと話してたとき、こっちの様子を窺がってたな、あいつ……。			ソーマ草を摘む者は							
あー、戻って早々、立て続けに悪い。薬草の礼がてら、シュウーラと話してみてほしいんだわ。あいつ、パサリーンの事情のこととか、何か知ってんのかも。			あー、戻って早々、立て続けに悪い。薬草の礼がてら、シュウーラと話してみてほしいんだわ。あいつ、パサリーンの事情のこととか、何か知ってんのかも。			ソーマ草を摘む者は							
材料はそろったし、俺は予防薬の調合にとりかかっとく。今の時間なら「シュウーラ」も里にいるはずだから、頼むわ。			材料はそろったし、俺は予防薬の調合にとりかかっとく。今の時間なら「シュウーラ」も里にいるはずだから、頼むわ。			ソーマ草を摘む者は							
今の時間なら「シュウーラ」も里にいるはずだから、頼むわ。			今の時間なら「シュウーラ」も里にいるはずだから、頼むわ。			ソーマ草を摘む者は							
あ、あなたは……いや、その……何か用？			あ、あなたは……いや、その……何か用？			ソーマ草を摘む者は							
ああ、薬草の件……魔物を狩るついでだったから、気にしないで。			ああ、薬草の件……魔物を狩るついでだったから、気にしないで。			ソーマ草を摘む者は							
あの薬草を使った薬、赤ん坊でも飲めるって聞いたから。ほら、里には赤ん坊がいるし、必要だろうと思ったの。			あの薬草を使った薬、赤ん坊でも飲めるって聞いたから。ほら、里には赤ん坊がいるし、必要だろうと思ったの。			ソーマ草を摘む者は							
何と言う？			何と言う？			ソーマ草を摘む者は							
パサリーンの事情、知ってる？			パサリーンの事情、知ってる？			ソーマ草を摘む者は							
どうしてさっき、遠くから見ていた？			どうしてさっき、遠くから見ていた？			ソーマ草を摘む者は							
そ、それは……			そ、それは……			ソーマ草を摘む者は							
…………。私、パサリーンの悩みを知っているの。だから、彼女のことが気がかりで……。			…………。私、パサリーンの悩みを知っているの。だから、彼女のことが気がかりで……。			ソーマ草を摘む者は							
あなた、その話を聞きにきたんでしょ。薬草の件といい、イェザーンにでも頼まれた？			あなた、その話を聞きにきたんでしょ。薬草の件といい、イェザーンにでも頼まれた？			ソーマ草を摘む者は							
……なら、「イェザーン」のところで待っていて。彼も含めて、話したほうがよさそうだし。話すべきことを整理したら、すぐに向かうわ。			……なら、「イェザーン」のところで待っていて。彼も含めて、話したほうがよさそうだし。話すべきことを整理したら、すぐに向かうわ。			ソーマ草を摘む者は							
「イェザーン」のところで待っていて。			「イェザーン」のところで待っていて。			ソーマ草を摘む者は							
よう、おかえり。こっちは調合が終わったところだが、シュウーラとは……			よう、おかえり。こっちは調合が終わったところだが、シュウーラとは……			ソーマ草を摘む者は							
本人登場ときたか。……で、わざわざ来てくれたってことは、俺を交えて話したいことがあるってとこかね。			本人登場ときたか。……で、わざわざ来てくれたってことは、俺を交えて話したいことがあるってとこかね。			ソーマ草を摘む者は							
さっきは盗み聞きなんかして、悪かったわ。私、パサリーンの悩みに関係しているから、気になっていて……。			さっきは盗み聞きなんかして、悪かったわ。私、パサリーンの悩みに関係しているから、気になっていて……。			ソーマ草を摘む者は							
それで、パサリーンのことを聞きたいんでしょ？他人にペラペラと話すようなことじゃないけど、彼女の力になってくれるなら、話すわ。			それで、パサリーンのことを聞きたいんでしょ？他人にペラペラと話すようなことじゃないけど、彼女の力になってくれるなら、話すわ。			ソーマ草を摘む者は							
約束する。だから聞かせてくれや。			約束する。だから聞かせてくれや。			ソーマ草を摘む者は							
彼女の旦那さんだった、守護者のダザールが死んだの。			彼女の旦那さんだった、守護者のダザールが死んだの。			ソーマ草を摘む者は							
あの混乱のさなか、森へ逃げ込んだときに獣へ転じてね。私の姉さん……同じく守護者のチャーパと戦って、ふたりは相打ちになったわ。			あの混乱のさなか、森へ逃げ込んだときに獣へ転じてね。私の姉さん……同じく守護者のチャーパと戦って、ふたりは相打ちになったわ。			ソーマ草を摘む者は							
獣の正体を知って、私は戦うことを躊躇した。動けていたら、姉さんをひとりで戦わせずにすんだのに！姉さんが死んだのは、私の責任なの……それなのに……！			獣の正体を知って、私は戦うことを躊躇した。動けていたら、姉さんをひとりで戦わせずにすんだのに！姉さんが死んだのは、私の責任なの……それなのに……！			ソーマ草を摘む者は							
気が動転していた私は、パサリーンに酷く当たってしまった！「ダザールが姉さんを殺した、どうしてくれるんだ」って。私のせいで、彼女はふたりの死に負い目を感じているの。			気が動転していた私は、パサリーンに酷く当たってしまった！「ダザールが姉さんを殺した、どうしてくれるんだ」って。私のせいで、彼女はふたりの死に負い目を感じているの。			ソーマ草を摘む者は							
命が失われる様を、見ていることしかできなかったのもあって、彼女は今、自分に他人の命を預かる資格はないと……。それで、赤ん坊の件を断ったんだと思う。			命が失われる様を、見ていることしかできなかったのもあって、彼女は今、自分に他人の命を預かる資格はないと……。それで、赤ん坊の件を断ったんだと思う。			ソーマ草を摘む者は							
本当なら、戦う術のなかった彼女が責められるのはおかしい。だから、ちゃんと謝らなきゃって思っているんだけど、また余計なことを言ってしまわないか怖くて、私はまだ……。			本当なら、戦う術のなかった彼女が責められるのはおかしい。だから、ちゃんと謝らなきゃって思っているんだけど、また余計なことを言ってしまわないか怖くて、私はまだ……。			ソーマ草を摘む者は							
お前さんもつらいだろうけどよ、あえてキツいこと言うぞ。自分の目が曇っていたって気づけたんだったら、回りくどいことしてないで、とっとと正せ。			お前さんもつらいだろうけどよ、あえてキツいこと言うぞ。自分の目が曇っていたって気づけたんだったら、回りくどいことしてないで、とっとと正せ。			ソーマ草を摘む者は							
真面目で正義感の強いチャーパなら、そう言うんじゃないの？妹のお前さんなら、そんくらいわかるっしょ。こういう話は不得手なんだから、俺に言わせんなっつの。			真面目で正義感の強いチャーパなら、そう言うんじゃないの？妹のお前さんなら、そんくらいわかるっしょ。こういう話は不得手なんだから、俺に言わせんなっつの。			ソーマ草を摘む者は							
…………そう、ね。私、ちゃんとパサリーンに謝らなきゃ……。			…………そう、ね。私、ちゃんとパサリーンに謝らなきゃ……。			ソーマ草を摘む者は							
ねえ、あなたの名前、Forenameよね。申しわけないんだけど、少し時間をもらえない……？どうかお願い……。			ねえ、あなたの名前、Forenameよね。申しわけないんだけど、少し時間をもらえない……？どうかお願い……。			ソーマ草を摘む者は							
特殊ルール： レベルアジャストパーラカの里のイェザーンは、悩んでいるようだ。			特殊ルール： レベルアジャストパーラカの里のイェザーンは、悩んでいるようだ。			錬金術師と赤ん坊							
※本クエストには「 レベルアジャスト」が、　設定されています。イェザーンと話した。彼は、自分以外に赤ん坊の親代わりになれる住民がいるか、情報を集めたいようだ。サベネア島のパーラカの里で、住民に聞き込みをしよう。			※本クエストには「 レベルアジャスト」が、　設定されています。イェザーンと話した。彼は、自分以外に赤ん坊の親代わりになれる住民がいるか、情報を集めたいようだ。サベネア島のパーラカの里で、住民に聞き込みをしよう。			錬金術師と赤ん坊							
住民に聞き込みをした。パーラカの里の「イェザーン」に報告しよう。			住民に聞き込みをした。パーラカの里の「イェザーン」に報告しよう。			錬金術師と赤ん坊							
イェザーンに報告した。パーラカの里の「パサリーン」と話そう。			イェザーンに報告した。パーラカの里の「パサリーン」と話そう。			錬金術師と赤ん坊							
パサリーンと話した。パーラカの里の「イェザーン」と話そう。			パサリーンと話した。パーラカの里の「イェザーン」と話そう。			錬金術師と赤ん坊							
イェザーンと話した。彼は、パサリーンの物言いが気になっているようだ。彼女や赤ん坊を気にかけるイェザーンに、もう少し協力してあげよう。			イェザーンと話した。彼は、パサリーンの物言いが気になっているようだ。彼女や赤ん坊を気にかけるイェザーンに、もう少し協力してあげよう。			錬金術師と赤ん坊							
住民に聞き込みをする			住民に聞き込みをする			錬金術師と赤ん坊							
イェザーンに報告			イェザーンに報告			錬金術師と赤ん坊							
パサリーンと話す			パサリーンと話す			錬金術師と赤ん坊							
イェザーンと話す			イェザーンと話す			錬金術師と赤ん坊							
はー……どうすっかねぇ。			はー……どうすっかねぇ。			錬金術師と赤ん坊							
あれ、もしかしてお前さん、メヴァンたちの赤ん坊を救ったForenameかい？			あれ、もしかしてお前さん、メヴァンたちの赤ん坊を救ったForenameかい？			錬金術師と赤ん坊							
やっぱりか。俺はイェザーン、遺烈郷の錬金術師だ。ほかの連中と協力して、赤ん坊の手当をしている。			やっぱりか。俺はイェザーン、遺烈郷の錬金術師だ。ほかの連中と協力して、赤ん坊の手当をしている。			錬金術師と赤ん坊							
あの子の両親……ケラシャフとメヴァンは、幼馴染でよ。あいつらの子を救ってくれて、感謝してる。			あの子の両親……ケラシャフとメヴァンは、幼馴染でよ。あいつらの子を救ってくれて、感謝してる。			錬金術師と赤ん坊							
あの子の具合もよくなってきたから、休憩がてら、外に出てきたところでよ。ちっと、考え事もあってなぁ……。			あの子の具合もよくなってきたから、休憩がてら、外に出てきたところでよ。ちっと、考え事もあってなぁ……。			錬金術師と赤ん坊							
……あの子、順当にいけばここで育てられるんだろうけど、俺が引き取って、遺烈郷で育てようかって考えてんの。他でもない、幼馴染夫婦の子どもを放っておけなくてよ。			……あの子、順当にいけばここで育てられるんだろうけど、俺が引き取って、遺烈郷で育てようかって考えてんの。他でもない、幼馴染夫婦の子どもを放っておけなくてよ。			錬金術師と赤ん坊							
ただ、俺は結婚もしていないし、研究一筋で、自分の面倒すら適当に済ませてきた男だ。親代わりが務まるのか、我ながら疑問なんだわ。			ただ、俺は結婚もしていないし、研究一筋で、自分の面倒すら適当に済ませてきた男だ。親代わりが務まるのか、我ながら疑問なんだわ。			錬金術師と赤ん坊							
俺が意固地になって、赤ん坊を振り回すのは本意じゃないし、他に適任がいるなら任せる、って選択も考えてはいる。なもんで、お前さんに頼みたいことがあってね……			俺が意固地になって、赤ん坊を振り回すのは本意じゃないし、他に適任がいるなら任せる、って選択も考えてはいる。なもんで、お前さんに頼みたいことがあってね……			錬金術師と赤ん坊							
親代わりの適任者が他にいるか、情報を集めてほしいんよ。出身はここだが、遺烈郷での暮らしが長いもんだから、最近の事情には疎いんだわ。			親代わりの適任者が他にいるか、情報を集めてほしいんよ。出身はここだが、遺烈郷での暮らしが長いもんだから、最近の事情には疎いんだわ。			錬金術師と赤ん坊							
直接聞くと、俺に気を遣って答えるヤツもいそうだし？急ぎで調合しないといけない薬もあるから、お前さんに頼めると助かる。			直接聞くと、俺に気を遣って答えるヤツもいそうだし？急ぎで調合しないといけない薬もあるから、お前さんに頼めると助かる。			錬金術師と赤ん坊							
急な頼みなのに、あんがとよ。パーラカの里の南にある家屋で作業してるから、里の連中から話を聞けたら、教えてくれ。			急な頼みなのに、あんがとよ。パーラカの里の南にある家屋で作業してるから、里の連中から話を聞けたら、教えてくれ。			錬金術師と赤ん坊							
里の連中から話を聞けたら、教えてくれ。			里の連中から話を聞けたら、教えてくれ。			錬金術師と赤ん坊							
よしよし、いい子ね……。			よしよし、いい子ね……。			錬金術師と赤ん坊							
イェザーン以外で、赤ん坊の親代わりになれそうな人？思い当たらないというか、適任は彼だろう。約束は守るし、義理堅い男だ。			イェザーン以外で、赤ん坊の親代わりになれそうな人？思い当たらないというか、適任は彼だろう。約束は守るし、義理堅い男だ。			錬金術師と赤ん坊							
少々、研究に傾倒しすぎるきらいはあるけどね……。そのぶん、錬金術師としての腕に間違いはない。病を患いやすい赤ん坊には、必要な人材だよ。			少々、研究に傾倒しすぎるきらいはあるけどね……。そのぶん、錬金術師としての腕に間違いはない。病を患いやすい赤ん坊には、必要な人材だよ。			錬金術師と赤ん坊							
赤ん坊の親代わりねぇ……ああ、パサリーンならどうかしら？彼女も子どもが生まれたばかりで、乳母になれると思うの。			赤ん坊の親代わりねぇ……ああ、パサリーンならどうかしら？彼女も子どもが生まれたばかりで、乳母になれると思うの。			錬金術師と赤ん坊							
