蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
ニャー！　ニャー！			ニャー！　ニャー！			あつまれ、ゲイラキャット							
い、いっぱいいるうううう…………。			い、いっぱいいるうううう…………。			あつまれ、ゲイラキャット							
な、なんなんですか、いきなり押しかけてきて……！ゲイラキャットちゃんたちが、怯えちゃうじゃないですか……！			な、なんなんですか、いきなり押しかけてきて……！ゲイラキャットちゃんたちが、怯えちゃうじゃないですか……！			あつまれ、ゲイラキャット							
ニャッハッハッ！　なるほどな！貴殿がこの猫たちの主というわけか！			ニャッハッハッ！　なるほどな！貴殿がこの猫たちの主というわけか！			あつまれ、ゲイラキャット							
いや、主というわけでは……。ただ異国から単身出稼ぎにきた寂しさを紛らわすため、餌をあげるうちに懐かれただけで……！			いや、主というわけでは……。ただ異国から単身出稼ぎにきた寂しさを紛らわすため、餌をあげるうちに懐かれただけで……！			あつまれ、ゲイラキャット							
こ、困りますよ、勝手に野良ゲイラキャットに餌づけして……。この街で繁殖しちゃったら、大変じゃないですか……！こんななりでも、魔物なんですよ？			こ、困りますよ、勝手に野良ゲイラキャットに餌づけして……。この街で繁殖しちゃったら、大変じゃないですか……！こんななりでも、魔物なんですよ？			あつまれ、ゲイラキャット							
でも餌づけのおかげか、性格はとても穏やかなんですよ。抱きあげて、顔をうずめても怒らないし、ぜんぜん悪いこともしません！			でも餌づけのおかげか、性格はとても穏やかなんですよ。抱きあげて、顔をうずめても怒らないし、ぜんぜん悪いこともしません！			あつまれ、ゲイラキャット							
顔をうずめても怒らないとは、なんと寛容な猫なのだ……！顔をうずめてみると、どのような心地だ？			顔をうずめても怒らないとは、なんと寛容な猫なのだ……！顔をうずめてみると、どのような心地だ？			あつまれ、ゲイラキャット							
そうですね、体温はポカポカとあたたかくて、毛並みはなめらか、かつ、やわらかく、最高級の別珍のような手触りで……。			そうですね、体温はポカポカとあたたかくて、毛並みはなめらか、かつ、やわらかく、最高級の別珍のような手触りで……。			あつまれ、ゲイラキャット							
そして匂いをかぐと、干したシーツや焼き立てのパンのような、清潔感のあるいい匂いがします！			そして匂いをかぐと、干したシーツや焼き立てのパンのような、清潔感のあるいい匂いがします！			あつまれ、ゲイラキャット							
それは……最高だな……！			それは……最高だな……！			あつまれ、ゲイラキャット							
何と言う？			何と言う？			あつまれ、ゲイラキャット							
最高だ、猫は吸うもの……！			最高だ、猫は吸うもの……！			あつまれ、ゲイラキャット							
何を言っているか、よくわからない			何を言っているか、よくわからない			あつまれ、ゲイラキャット							
(-猫を愛でる者たち-)同志ッ！！			(-猫を愛でる者たち-)同志ッ！！			あつまれ、ゲイラキャット							
名も無き者たちの広場の職員さんたちの協力も得て、この子たちの引き取り手を探してもらっていますから……どうか、追い払ったりしないでください！			名も無き者たちの広場の職員さんたちの協力も得て、この子たちの引き取り手を探してもらっていますから……どうか、追い払ったりしないでください！			あつまれ、ゲイラキャット							
危険がなく、大繁殖のおそれもないなら、まぁ、大丈夫かな……。			危険がなく、大繁殖のおそれもないなら、まぁ、大丈夫かな……。			あつまれ、ゲイラキャット							
それに、英雄殿がこの街にいらっしゃるなら、きっと心配いりません、よね？			それに、英雄殿がこの街にいらっしゃるなら、きっと心配いりません、よね？			あつまれ、ゲイラキャット							
ニャーン！！			ニャーン！！			あつまれ、ゲイラキャット							
おや、お主はワシについてくるか？確かに、この街には信頼できる同志がいるとわかったしな！では、猫の可愛さを広める旅にでよう！　ニャーッハッハッ！			おや、お主はワシについてくるか？確かに、この街には信頼できる同志がいるとわかったしな！では、猫の可愛さを広める旅にでよう！　ニャーッハッハッ！			あつまれ、ゲイラキャット							
フェザーフォール商業区のフィレスティオは、目の前の施設を見上げている。			フェザーフォール商業区のフィレスティオは、目の前の施設を見上げている。			冒険者たちの拠り所							
冒険者と話す			冒険者と話す			冒険者たちの拠り所							
フィレスティオと話す			フィレスティオと話す			冒険者たちの拠り所							
おや、英雄様ではありませんか！ちょうどよかった、貴方は冒険者でもありますよね？冒険者の方にお尋ねしたいことがあったんです。			おや、英雄様ではありませんか！ちょうどよかった、貴方は冒険者でもありますよね？冒険者の方にお尋ねしたいことがあったんです。			冒険者たちの拠り所							
おっと、ご挨拶もせずに失礼いたしました。フランセル総監のもとで移住手続きなどを担当しております、フィレスティオと申します。			おっと、ご挨拶もせずに失礼いたしました。フランセル総監のもとで移住手続きなどを担当しております、フィレスティオと申します。			冒険者たちの拠り所							
昨今の蒼天街は復興事業が順調なおかげで、諸外国からの冒険者や、住み込みの労働者が増えております。ホアフロスト官舎のおかげで、住居は問題ないのですが……			昨今の蒼天街は復興事業が順調なおかげで、諸外国からの冒険者や、住み込みの労働者が増えております。ホアフロスト官舎のおかげで、住居は問題ないのですが……			冒険者たちの拠り所							
「冒険者ギルド」のような役割を果たす施設はないのかと、一部の方々から、問い合わせがございましてね。この建物を交流の場に利用できないかと、検討が始まったのです。			「冒険者ギルド」のような役割を果たす施設はないのかと、一部の方々から、問い合わせがございましてね。この建物を交流の場に利用できないかと、検討が始まったのです。			冒険者たちの拠り所							
しかし、皇都では冒険者の立ち入りを制限していましたから、「冒険者ギルド」の役割を、十分に把握できておらず……こうして、途方に暮れておりました。			しかし、皇都では冒険者の立ち入りを制限していましたから、「冒険者ギルド」の役割を、十分に把握できておらず……こうして、途方に暮れておりました。			冒険者たちの拠り所							
英雄様、冒険者ギルドというのは、いったい、なにをするところなのでしょうか？必要な機能などがあれば、教えていただきたいのです。			英雄様、冒険者ギルドというのは、いったい、なにをするところなのでしょうか？必要な機能などがあれば、教えていただきたいのです。			冒険者たちの拠り所							
何と言う？			何と言う？			冒険者たちの拠り所							
冒険者同士が支援できるようにする			冒険者同士が支援できるようにする			冒険者たちの拠り所							
市民からの依頼を迅速に冒険者へ斡旋する			市民からの依頼を迅速に冒険者へ斡旋する			冒険者たちの拠り所							
酒場であることが多い			酒場であることが多い			冒険者たちの拠り所							
なるほど、諸外国にはメンターという、新人を支援する熟練冒険者がいると聞いたことがあります。相互扶助のシステム、確かにいいですね。			なるほど、諸外国にはメンターという、新人を支援する熟練冒険者がいると聞いたことがあります。相互扶助のシステム、確かにいいですね。			冒険者たちの拠り所							
なるほど、それが冒険者ギルドの基本的な役割なのですね。住人の依頼をこちらでとりまとめれば、トラブルを防ぎつつ、冒険者さんたちへ円滑に依頼をお願いできそうです。			なるほど、それが冒険者ギルドの基本的な役割なのですね。住人の依頼をこちらでとりまとめれば、トラブルを防ぎつつ、冒険者さんたちへ円滑に依頼をお願いできそうです。			冒険者たちの拠り所							
なるほど、一種の憩いの場として、快適な環境を構築する必要がありそうですね。そうして、人が集えば情報交換などの交流も増えそうです。			なるほど、一種の憩いの場として、快適な環境を構築する必要がありそうですね。そうして、人が集えば情報交換などの交流も増えそうです。			冒険者たちの拠り所							
ありがとうございます。貴方のご意見、ぜひ参考にさせていただきますね。			ありがとうございます。貴方のご意見、ぜひ参考にさせていただきますね。			冒険者たちの拠り所							
それで、よければ……蒼天街にいる冒険者さんたちにも、交流施設の立ち上げに、協力してくれないか、声かけを願えませんか？			それで、よければ……蒼天街にいる冒険者さんたちにも、交流施設の立ち上げに、協力してくれないか、声かけを願えませんか？			冒険者たちの拠り所							
ああ、よかった……！冒険者同士の方が気も合うでしょうし、貴方からの誘いなら、きっと皆さん乗ってくれるはずです！			ああ、よかった……！冒険者同士の方が気も合うでしょうし、貴方からの誘いなら、きっと皆さん乗ってくれるはずです！			冒険者たちの拠り所							
お手数ですが、蒼天街にいる冒険者さんたちにも、交流施設の立ち上げに、協力してくれないか、声かけを願えませんか？			お手数ですが、蒼天街にいる冒険者さんたちにも、交流施設の立ち上げに、協力してくれないか、声かけを願えませんか？			冒険者たちの拠り所							
あら、Forenameさんじゃないか！今日はどうしたんだい？			あら、Forenameさんじゃないか！今日はどうしたんだい？			冒険者たちの拠り所							
ほう、フェザーフォール商業区に冒険者の交流施設を……。たしかに蒼天街にも、ずいぶん冒険者が増えたものね。			ほう、フェザーフォール商業区に冒険者の交流施設を……。たしかに蒼天街にも、ずいぶん冒険者が増えたものね。			冒険者たちの拠り所							
自分たちで住人に声をかけて仕事をもらってたんだけど……依頼を取りまとめる施設ができるなら、ありがたいよ。みんなで行ってみるとしようか。			自分たちで住人に声をかけて仕事をもらってたんだけど……依頼を取りまとめる施設ができるなら、ありがたいよ。みんなで行ってみるとしようか。			冒険者たちの拠り所							
ん？　自分に話？なんだね？			ん？　自分に話？なんだね？			冒険者たちの拠り所							
自分は、ウルダハから出稼ぎにきているんだ。交流施設ができるなら、他の冒険者たちとも情報交換ができるな。ありがたい、さっそく話を聞きにいこう。			自分は、ウルダハから出稼ぎにきているんだ。交流施設ができるなら、他の冒険者たちとも情報交換ができるな。ありがたい、さっそく話を聞きにいこう。			冒険者たちの拠り所							
スカイスチール機工房分館にご用ですか？すみませんが自分は下っ端なんで、別の方に……			スカイスチール機工房分館にご用ですか？すみませんが自分は下っ端なんで、別の方に……			冒険者たちの拠り所							
なんと、蒼天街に交流施設ができるんですか！自分は機工技術に惚れ込んで、海都から弟子入りしにきたんで、たまーに故郷の海が懐かしくなるんですよね。			なんと、蒼天街に交流施設ができるんですか！自分は機工技術に惚れ込んで、海都から弟子入りしにきたんで、たまーに故郷の海が懐かしくなるんですよね。			冒険者たちの拠り所							
その交流施設でちょっと休憩させてもらったり、同郷の仲間の話を聞けたりしたらいいな……！ありがとうございます、行ってみます！			その交流施設でちょっと休憩させてもらったり、同郷の仲間の話を聞けたりしたらいいな……！ありがとうございます、行ってみます！			冒険者たちの拠り所							
英雄様、ありがとうございます。さっそく冒険者さんたちがいらっしゃいました！			英雄様、ありがとうございます。さっそく冒険者さんたちがいらっしゃいました！			冒険者たちの拠り所							
冒険者の皆さんがこの街で快適に過ごし、円滑に依頼の遂行ができるように、尽力いたします。			冒険者の皆さんがこの街で快適に過ごし、円滑に依頼の遂行ができるように、尽力いたします。			冒険者たちの拠り所							
貴方ほどの方に斡旋する依頼は、なかなかないとは思いますが、もしものときには、ご協力をお願いいたしますね。			貴方ほどの方に斡旋する依頼は、なかなかないとは思いますが、もしものときには、ご協力をお願いいたしますね。			冒険者たちの拠り所							
ニューネスト居住区の気ぜわしい住人は、怪訝な表情を浮かべている。			ニューネスト居住区の気ぜわしい住人は、怪訝な表情を浮かべている。			ロランベリー・フィールドの怪しい影							
怪しい男たちを探す			怪しい男たちを探す			ロランベリー・フィールドの怪しい影							
いかつい男と話す			いかつい男と話す			ロランベリー・フィールドの怪しい影							
気ぜわしい住人に報告			気ぜわしい住人に報告			ロランベリー・フィールドの怪しい影							
ねぇねぇねぇ！　英雄様！ちょっと聞いてくださいよ！			ねぇねぇねぇ！　英雄様！ちょっと聞いてくださいよ！			ロランベリー・フィールドの怪しい影							
蒼天街の居住区ができて、満足のいく衣食住が保障されたり、孤児院が建ったり……もう本当に、あなた様のおかげなんですけれども！			蒼天街の居住区ができて、満足のいく衣食住が保障されたり、孤児院が建ったり……もう本当に、あなた様のおかげなんですけれども！			ロランベリー・フィールドの怪しい影							
その「ロランベリー・フィールド」って孤児院の近くや街中で、なんだか怪しい男たちがうろついているのを、最近よく見かけるの！			その「ロランベリー・フィールド」って孤児院の近くや街中で、なんだか怪しい男たちがうろついているのを、最近よく見かけるの！			ロランベリー・フィールドの怪しい影							
子どもたちに何かあったら大変だわ！ねぇ、「ニューネスト居住区」内で人相の悪い男たちを探して、様子を見てきてくださらない！？			子どもたちに何かあったら大変だわ！ねぇ、「ニューネスト居住区」内で人相の悪い男たちを探して、様子を見てきてくださらない！？			ロランベリー・フィールドの怪しい影							
最近ロランベリー・フィールドって孤児院の近くで、人相の悪い男たちがうろついているのを、よく見かけるの！お願い！　様子を見てきてくださらない？			最近ロランベリー・フィールドって孤児院の近くで、人相の悪い男たちがうろついているのを、よく見かけるの！お願い！　様子を見てきてくださらない？			ロランベリー・フィールドの怪しい影							
うわっ……！　あんたは……！なんでこんなところにいるんだ……！？			うわっ……！　あんたは……！なんでこんなところにいるんだ……！？			ロランベリー・フィールドの怪しい影							
お、俺は、先を急ぐんで失礼するぜ！こいつを「ロランベリー・フィールド」へ、連れていかなきゃいけないんでな！			お、俺は、先を急ぐんで失礼するぜ！こいつを「ロランベリー・フィールド」へ、連れていかなきゃいけないんでな！			ロランベリー・フィールドの怪しい影							
あれと、それと、これさえあれば……「ロランベリー・フィールド」の子どもたちはイチコロだな。グフフフフ…………。			あれと、それと、これさえあれば……「ロランベリー・フィールド」の子どもたちはイチコロだな。グフフフフ…………。			ロランベリー・フィールドの怪しい影							
…………はっ！な、なんだあんたは……！			…………はっ！な、なんだあんたは……！			ロランベリー・フィールドの怪しい影							
無愛想な男が、遊んでいる子どもたちを睨みつけているように見える……。			無愛想な男が、遊んでいる子どもたちを睨みつけているように見える……。			ロランベリー・フィールドの怪しい影							
……………………！！			……………………！！			ロランベリー・フィールドの怪しい影							
視線に気づいた無愛想な男は、慌てた様子で、「ロランベリー・フィールド」方面へ立ち去っていった……。			視線に気づいた無愛想な男は、慌てた様子で、「ロランベリー・フィールド」方面へ立ち去っていった……。			ロランベリー・フィールドの怪しい影							
あんたは、さっきの……。			あんたは、さっきの……。			ロランベリー・フィールドの怪しい影							
…………！			…………！			ロランベリー・フィールドの怪しい影							
あ、あんた、なんでまた……！？			あ、あんた、なんでまた……！？			ロランベリー・フィールドの怪しい影							
ちょ、ちょっと忙しいんで、いまお客さんを相手してるヒマはねぇんだ！			ちょ、ちょっと忙しいんで、いまお客さんを相手してるヒマはねぇんだ！			ロランベリー・フィールドの怪しい影							
何と言う？			何と言う？			ロランベリー・フィールドの怪しい影							
待たせてもらおう			待たせてもらおう			ロランベリー・フィールドの怪しい影							
話を聞くまで帰らない			話を聞くまで帰らない			ロランベリー・フィールドの怪しい影							
じゃ、じゃあ、ちょっとそこで待っていてくれ！			じゃ、じゃあ、ちょっとそこで待っていてくれ！			ロランベリー・フィールドの怪しい影							
(-？？？？-)ラスクイン兄ちゃん！　ペエネル兄ちゃん！ゴントランドワ兄ちゃん！みんな手を洗ってきたよー！			(-？？？？-)ラスクイン兄ちゃん！　ペエネル兄ちゃん！ゴントランドワ兄ちゃん！みんな手を洗ってきたよー！			ロランベリー・フィールドの怪しい影							
(-ゴントランドワ-)おー、じゃあ煮えるまでちょっと待ってなー。			(-ゴントランドワ-)おー、じゃあ煮えるまでちょっと待ってなー。			ロランベリー・フィールドの怪しい影							
(-ペエネル-)鍋に近づくと……危ないから……ちょっと離れているんだぞ…………。			(-ペエネル-)鍋に近づくと……危ないから……ちょっと離れているんだぞ…………。			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)すまないな。子どもたちを迎えにいったり、飯を作ってやったりしなきゃいけないから、急いでて……。			(-ラスクイン-)すまないな。子どもたちを迎えにいったり、飯を作ってやったりしなきゃいけないから、急いでて……。			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)それで、なにか用があったんじゃないのか？			(-ラスクイン-)それで、なにか用があったんじゃないのか？			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)ああ、なるほど……。そりゃ、俺たちみたいなやつが孤児院で働いてるなんて、普通の人には信じられないよな。			(-ラスクイン-)ああ、なるほど……。そりゃ、俺たちみたいなやつが孤児院で働いてるなんて、普通の人には信じられないよな。			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)俺たちはみんな、元神殿騎士で……ニーズヘッグの眷属たちが雲廊に攻めてきたときも、実は、あんたと同じ戦場にいたんだ。			(-ラスクイン-)俺たちはみんな、元神殿騎士で……ニーズヘッグの眷属たちが雲廊に攻めてきたときも、実は、あんたと同じ戦場にいたんだ。			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)あの戦いの負傷が原因で、騎士は廃業しちまったが、あんたのおかげで命は救われた。いつか礼を言えればと思っていたんだが……ありがとうよ。			(-ラスクイン-)あの戦いの負傷が原因で、騎士は廃業しちまったが、あんたのおかげで命は救われた。いつか礼を言えればと思っていたんだが……ありがとうよ。			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)それでいまは、傷兵の就労支援として孤児の世話を任されてる。俺たちもはじめは、自分らが子どもの世話なんて、なにかの間違いかと思ったんだが……			(-ラスクイン-)それでいまは、傷兵の就労支援として孤児の世話を任されてる。俺たちもはじめは、自分らが子どもの世話なんて、なにかの間違いかと思ったんだが……			ロランベリー・フィールドの怪しい影							
(-孤児院の少年-)お兄さんたち優しくて、みんな大好きだよ！おうちの中を、いつもあったかくしておいてくれるし、たくさん遊んでくれるし、ごはんも美味しいもん！			(-孤児院の少年-)お兄さんたち優しくて、みんな大好きだよ！おうちの中を、いつもあったかくしておいてくれるし、たくさん遊んでくれるし、ごはんも美味しいもん！			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)ありがたいことに、気に入ってもらえてるみたいだ。			(-ラスクイン-)ありがたいことに、気に入ってもらえてるみたいだ。			ロランベリー・フィールドの怪しい影							
(-ラスクイン-)よかったら、心配していたっていう人に、大丈夫だと伝えといてくれないか？			(-ラスクイン-)よかったら、心配していたっていう人に、大丈夫だと伝えといてくれないか？			ロランベリー・フィールドの怪しい影							
(-孤児院の少年-)英雄さま、もう行っちゃうの？また遊びにきてね！			(-孤児院の少年-)英雄さま、もう行っちゃうの？また遊びにきてね！			ロランベリー・フィールドの怪しい影							
わぁ！　英雄様！孤児院の様子は見てきてくれました？どうでした？			わぁ！　英雄様！孤児院の様子は見てきてくれました？どうでした？			ロランベリー・フィールドの怪しい影							
あらあら、まぁまぁ！孤児院の職員さん方だったの！勘違いしちゃって、悪いことしたわねぇ。			あらあら、まぁまぁ！孤児院の職員さん方だったの！勘違いしちゃって、悪いことしたわねぇ。			ロランベリー・フィールドの怪しい影							
お詫びに、なにかお菓子でも持っていかなくっちゃ！英雄様、ありがとうねぇ！			お詫びに、なにかお菓子でも持っていかなくっちゃ！英雄様、ありがとうねぇ！			ロランベリー・フィールドの怪しい影							
ロランベリー・フィールドのペーラキルは、目を輝かせている。			ロランベリー・フィールドのペーラキルは、目を輝かせている。			ロランベリー・フィールドの年長組							
神殿騎士団リーヴ前のジュルシエザンと話す			神殿騎士団リーヴ前のジュルシエザンと話す			ロランベリー・フィールドの年長組							
十字鍬通りのアカードと話す			十字鍬通りのアカードと話す			ロランベリー・フィールドの年長組							
ジュルシエザンに不要な端材を渡す			ジュルシエザンに不要な端材を渡す			ロランベリー・フィールドの年長組							
わぁ……！本物の、英雄のお姉ちゃんお兄ちゃんだ……！ねぇねぇ、ラスクインお兄ちゃんたちとお話ししてたよね？			わぁ……！本物の、英雄のお姉ちゃんお兄ちゃんだ……！ねぇねぇ、ラスクインお兄ちゃんたちとお話ししてたよね？			ロランベリー・フィールドの年長組							
僕たち、ロランベリー・フィールドの年長組なんだ。お兄ちゃんたちのお仕事が、少しでも楽になるように、助けてあげたいって相談してたんだけど……			僕たち、ロランベリー・フィールドの年長組なんだ。お兄ちゃんたちのお仕事が、少しでも楽になるように、助けてあげたいって相談してたんだけど……			ロランベリー・フィールドの年長組							
お姉ちゃんお兄ちゃんは、どうしたらいいと思う？			お姉ちゃんお兄ちゃんは、どうしたらいいと思う？			ロランベリー・フィールドの年長組							
そんなの聞くまでもないよ！戦いの依頼を受けてがっぽり稼ぐのが、いちばんに決まってるだろ！			そんなの聞くまでもないよ！戦いの依頼を受けてがっぽり稼ぐのが、いちばんに決まってるだろ！			ロランベリー・フィールドの年長組							
いいえ、そんな危険なことしたら、お兄ちゃんたちが心配するでしょう？この街の中で、子守りとか安全な仕事を探した方がいいわ。			いいえ、そんな危険なことしたら、お兄ちゃんたちが心配するでしょう？この街の中で、子守りとか安全な仕事を探した方がいいわ。			ロランベリー・フィールドの年長組							
まったく、リセルはいつも俺の言うことに反対するよな！いいよもう、俺はひとりでも、「神殿騎士団リーヴ」を受けにいってやるから！			まったく、リセルはいつも俺の言うことに反対するよな！いいよもう、俺はひとりでも、「神殿騎士団リーヴ」を受けにいってやるから！			ロランベリー・フィールドの年長組							
ど、どうしよう……！お姉ちゃんお兄ちゃん、一緒に追いかけて！			ど、どうしよう……！お姉ちゃんお兄ちゃん、一緒に追いかけて！			ロランベリー・フィールドの年長組							
あれ、姉ちゃん兄ちゃん。なんだよ、ついてきたのか？心配いらないよ、見てて！			あれ、姉ちゃん兄ちゃん。なんだよ、ついてきたのか？心配いらないよ、見てて！			ロランベリー・フィールドの年長組							
すいませーん。報酬のがっつりある、討伐の依頼はありませんかー？			すいませーん。報酬のがっつりある、討伐の依頼はありませんかー？			ロランベリー・フィールドの年長組							
申し訳ございません。あなた方のような年端もいかぬ子どもたちには、討伐依頼は危険がすぎるかと。			申し訳ございません。あなた方のような年端もいかぬ子どもたちには、討伐依頼は危険がすぎるかと。			ロランベリー・フィールドの年長組							
神殿騎士団リーヴは、総長殿の発案による新たな試み……。傭兵稼業は、熟練の狩人や冒険者の協力を依頼するものですので。			神殿騎士団リーヴは、総長殿の発案による新たな試み……。傭兵稼業は、熟練の狩人や冒険者の協力を依頼するものですので。			ロランベリー・フィールドの年長組							
ほらね、言ったでしょう？			ほらね、言ったでしょう？			ロランベリー・フィールドの年長組							
でも、俺たちだって、孤児院の兄ちゃんたちの助けになりたいだろ！？どうすりゃいいんだよ……。			でも、俺たちだって、孤児院の兄ちゃんたちの助けになりたいだろ！？どうすりゃいいんだよ……。			ロランベリー・フィールドの年長組							
ふむ……。では代わりに、製作稼業の任務をお願いしましょうかね。			ふむ……。では代わりに、製作稼業の任務をお願いしましょうかね。			ロランベリー・フィールドの年長組							
製作、かぎょう……？			製作、かぎょう……？			ロランベリー・フィールドの年長組							
ええ、物資の不足している地域から、製作の依頼があまた入ってきておりまして。			ええ、物資の不足している地域から、製作の依頼があまた入ってきておりまして。			ロランベリー・フィールドの年長組							
聖フィネア連隊からの「薪とロープ」の製作依頼なら、あなたたちに発行することができそうです。金銭の報酬に加え、新鮮な獣肉も提供してくれるそうですよ。			聖フィネア連隊からの「薪とロープ」の製作依頼なら、あなたたちに発行することができそうです。金銭の報酬に加え、新鮮な獣肉も提供してくれるそうですよ。			ロランベリー・フィールドの年長組							
(-子どもたち-)肉だーーーー！！			(-子どもたち-)肉だーーーー！！			ロランベリー・フィールドの年長組							
お金と肉がもらえたら、きっと兄ちゃんたちも喜ぶな！さっそく、麦わらを譲ってもらいにいこうぜ！ロープの材料になるような、丈夫なやつ！			お金と肉がもらえたら、きっと兄ちゃんたちも喜ぶな！さっそく、麦わらを譲ってもらいにいこうぜ！ロープの材料になるような、丈夫なやつ！			ロランベリー・フィールドの年長組							
なぁ、姉ちゃん兄ちゃん。十字鍬通りあたりに「アカード」さんがいたら、不要な端材をもらってきてくれないか？			なぁ、姉ちゃん兄ちゃん。十字鍬通りあたりに「アカード」さんがいたら、不要な端材をもらってきてくれないか？			ロランベリー・フィールドの年長組							
蒼天街で、資材を安く売ってくれる人なんだ。でも、俺たち子どもには「遊ぶためのものじゃない」って、譲ってくれないからさ。			蒼天街で、資材を安く売ってくれる人なんだ。でも、俺たち子どもには「遊ぶためのものじゃない」って、譲ってくれないからさ。			ロランベリー・フィールドの年長組							
じゃあ、「不要な端材」が手に入ったら、「ロランベリー・フィールド」に集合な！			じゃあ、「不要な端材」が手に入ったら、「ロランベリー・フィールド」に集合な！			ロランベリー・フィールドの年長組							
おや、あんたまさか、Forenameかい？こりゃまた、すごい人がいるもんだね。			おや、あんたまさか、Forenameかい？こりゃまた、すごい人がいるもんだね。			ロランベリー・フィールドの年長組							
俺は、復興で出た端材や余った石材、金属片なんかを引き取って、生活用品なんかを作る職人たちに、格安で売り歩いてんだ。もしかしてあんたも、入り用なものがあるのかい？			俺は、復興で出た端材や余った石材、金属片なんかを引き取って、生活用品なんかを作る職人たちに、格安で売り歩いてんだ。もしかしてあんたも、入り用なものがあるのかい？			ロランベリー・フィールドの年長組							
そういうことなら、この材木の切れ端を持っていってくれ。もちろん金はいらねぇ。			そういうことなら、この材木の切れ端を持っていってくれ。もちろん金はいらねぇ。			ロランベリー・フィールドの年長組							
まさか孤児院の子どもらが、製作稼業で運営を助けようなんて……泣ける話じゃねぇかっ！あんたに倣って、これからは俺も援助させてもらうぜ。			まさか孤児院の子どもらが、製作稼業で運営を助けようなんて……泣ける話じゃねぇかっ！あんたに倣って、これからは俺も援助させてもらうぜ。			ロランベリー・フィールドの年長組							
「ロランベリー・フィールド」の子どもらが、製作稼業で運営を助けようなんて……泣ける話じゃねぇかっ！あんたに倣って、これからは俺も援助させてもらうぜ。			「ロランベリー・フィールド」の子どもらが、製作稼業で運営を助けようなんて……泣ける話じゃねぇかっ！あんたに倣って、これからは俺も援助させてもらうぜ。			ロランベリー・フィールドの年長組							
あ、お姉ちゃんお兄ちゃん、おかえりなさい……！			あ、お姉ちゃんお兄ちゃん、おかえりなさい……！			ロランベリー・フィールドの年長組							
どう？端材は手に入った？			どう？端材は手に入った？			ロランベリー・フィールドの年長組							
姉ちゃん兄ちゃん！端材はあったかー？			姉ちゃん兄ちゃん！端材はあったかー？			ロランベリー・フィールドの年長組							
ありがとー！じゃあ、さっそく薪とロープを作っちゃおうぜ！			ありがとー！じゃあ、さっそく薪とロープを作っちゃおうぜ！			ロランベリー・フィールドの年長組							
姉ちゃん兄ちゃん！ちょっとそっち持ってて！			姉ちゃん兄ちゃん！ちょっとそっち持ってて！			ロランベリー・フィールドの年長組							
違うわよ、ロープはこうやってひねったほうが……			違うわよ、ロープはこうやってひねったほうが……			ロランベリー・フィールドの年長組							
(-子どもたち-)できたーーーー！			(-子どもたち-)できたーーーー！			ロランベリー・フィールドの年長組							
(-？？？？-)おいおい、神殿騎士団に頼んだ依頼の品……受け取りの場所がここだと言われたんだが、まさかお前たちが作ったのか？			(-？？？？-)おいおい、神殿騎士団に頼んだ依頼の品……受け取りの場所がここだと言われたんだが、まさかお前たちが作ったのか？			ロランベリー・フィールドの年長組							
は、はい……！			は、はい……！			ロランベリー・フィールドの年長組							
極寒の西部高地で使う薪とロープ、品質に問題はねぇんだろうな？俺は子どもだろうと容赦しねぇぞ。命がかかってるんだからな。			極寒の西部高地で使う薪とロープ、品質に問題はねぇんだろうな？俺は子どもだろうと容赦しねぇぞ。命がかかってるんだからな。			ロランベリー・フィールドの年長組							
おいおい、あんたが作業を見守ってたのか！まぁ、それだけ自信があるなら大丈夫か。			おいおい、あんたが作業を見守ってたのか！まぁ、それだけ自信があるなら大丈夫か。			ロランベリー・フィールドの年長組							
じゃあ、報酬の金とヤクの肉だ。品質が良かったら、またお前たちに依頼してやるよ。			じゃあ、報酬の金とヤクの肉だ。品質が良かったら、またお前たちに依頼してやるよ。			ロランベリー・フィールドの年長組							
わーい！この肉、さっそく兄ちゃんたちに渡して、今日のシチューに入れてもらおうぜ！			わーい！この肉、さっそく兄ちゃんたちに渡して、今日のシチューに入れてもらおうぜ！			ロランベリー・フィールドの年長組							
それより、燻して保存したほうがいいわ。長く食べられたほうがいいじゃない。			それより、燻して保存したほうがいいわ。長く食べられたほうがいいじゃない。			ロランベリー・フィールドの年長組							
い、いっぱいあるから、半分ずつシチューと燻製にしよ……！			い、いっぱいあるから、半分ずつシチューと燻製にしよ……！			ロランベリー・フィールドの年長組							
英雄のお姉ちゃんお兄ちゃん！お仕事って、達成感があって楽しいねぇ……！お手伝いしてくれて、ありがとう！			英雄のお姉ちゃんお兄ちゃん！お仕事って、達成感があって楽しいねぇ……！お手伝いしてくれて、ありがとう！			ロランベリー・フィールドの年長組							
雲霧街にいる機工房の技師は、腕利きの職人を探しているようだ。			雲霧街にいる機工房の技師は、腕利きの職人を探しているようだ。			工房に眠っていた古道具							
