忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
うん……いってみる……！Forename、どうぞ、よろしくおねがいします。			うん……いってみる……！Forename、どうぞ、よろしくおねがいします。			あと二度、奇跡の結末							
まったく……。ガキにまで気を使わせるとは、我ながら情けない……。			まったく……。ガキにまで気を使わせるとは、我ながら情けない……。			あと二度、奇跡の結末							
だが、もとより、Forenameのソウルクリスタルに、エーテルを返すための人助けだ。お前さえついていれば、道を違えずに目的が果たせよう。			だが、もとより、Forenameのソウルクリスタルに、エーテルを返すための人助けだ。お前さえついていれば、道を違えずに目的が果たせよう。			あと二度、奇跡の結末							
俺は、様子を見つつ、一旦イシュガルドに戻る。ギラバニアでやるべきことが終わったら、皇都で再合流するとしよう。			俺は、様子を見つつ、一旦イシュガルドに戻る。ギラバニアでやるべきことが終わったら、皇都で再合流するとしよう。			あと二度、奇跡の結末							
おかげさまで、それなりには動ける。のちほど、皇都で合流するとしよう。			おかげさまで、それなりには動ける。のちほど、皇都で合流するとしよう。			あと二度、奇跡の結末							
Forenameがついていてくれれば、ミストはきっと平気だと思う……。気をつけて行ってきてね。			Forenameがついていてくれれば、ミストはきっと平気だと思う……。気をつけて行ってきてね。			あと二度、奇跡の結末							
ここが、カストルム・オリエンス……！みんな、てきぱき、おしごとしてるね……。			ここが、カストルム・オリエンス……！みんな、てきぱき、おしごとしてるね……。			あと二度、奇跡の結末							
……戦いの準備なのかな……こわいな……。それに、みんな、ぎらぎらしていて、かなしそうなひと、いない……。			……戦いの準備なのかな……こわいな……。それに、みんな、ぎらぎらしていて、かなしそうなひと、いない……。			あと二度、奇跡の結末							
基地から、すこし、はなれたほうが、いい……？しずかな場所……戦場跡のほう、さがしてみよう……？			基地から、すこし、はなれたほうが、いい……？しずかな場所……戦場跡のほう、さがしてみよう……？			あと二度、奇跡の結末							
ハァ……ハァ……誰か、そこにいるのか？もう、目がかすんで……。			ハァ……ハァ……誰か、そこにいるのか？もう、目がかすんで……。			あと二度、奇跡の結末							
あんたは……Forenameさんじゃないか……！？ハハ……こんな奇跡が、ある、とは……！			あんたは……Forenameさんじゃないか……！？ハハ……こんな奇跡が、ある、とは……！			あと二度、奇跡の結末							
たいへん……このひと、とてもよわってる……！Forenameの、ともだち……？			たいへん……このひと、とてもよわってる……！Forenameの、ともだち……？			あと二度、奇跡の結末							
よく、見えねぇが……可愛い声の、お連れさんだ……。残念……俺は、友達なんて大層なものじゃない……。			よく、見えねぇが……可愛い声の、お連れさんだ……。残念……俺は、友達なんて大層なものじゃない……。			あと二度、奇跡の結末							
Forenameさんは以前……クォーリーミルで、メッフリッド隊長のもとにいた俺に、薬をとどけてくださったんだ……。			Forenameさんは以前……クォーリーミルで、メッフリッド隊長のもとにいた俺に、薬をとどけてくださったんだ……。			あと二度、奇跡の結末							
その薬は、俺を……弱っていた仲間たちを救った……。みんな感動して、救われた命で大義をなそう、って……アラミゴ解放の先鋒だった、鉄仮面卿の部隊に志願したのさ。			その薬は、俺を……弱っていた仲間たちを救った……。みんな感動して、救われた命で大義をなそう、って……アラミゴ解放の先鋒だった、鉄仮面卿の部隊に志願したのさ。			あと二度、奇跡の結末							
結果は…………ご存知でしょう？仲間たちは、みんな……長城の戦いで、死にました……。			結果は…………ご存知でしょう？仲間たちは、みんな……長城の戦いで、死にました……。			あと二度、奇跡の結末							
俺は、一命を、取り留めたんですが……鉄仮面卿の一味なんぞ、今さら戻れる場所はありません……。			俺は、一命を、取り留めたんですが……鉄仮面卿の一味なんぞ、今さら戻れる場所はありません……。			あと二度、奇跡の結末							
こうして片隅でひっそり生きていたものの、ついに天罰が下ったらしい……。どこからか、病をもらっちまって……もう終いです……。			こうして片隅でひっそり生きていたものの、ついに天罰が下ったらしい……。どこからか、病をもらっちまって……もう終いです……。			あと二度、奇跡の結末							
だ、だめ……死んでしまうのは、だめ……！			だ、だめ……死んでしまうのは、だめ……！			あと二度、奇跡の結末							
Forename、ぼく、このひとをはげましたい。元気になって、生きてほしいの……。「ちから」を、つかわせて……！			Forename、ぼく、このひとをはげましたい。元気になって、生きてほしいの……。「ちから」を、つかわせて……！			あと二度、奇跡の結末							
お願い……元気を、だして……。今、会いたいひとは、いませんか……？			お願い……元気を、だして……。今、会いたいひとは、いませんか……？			あと二度、奇跡の結末							
……いるさ……いるとも……。仲間たちみんなに会いたいが……中でも親しかったフーダルトには、とくに会いたいねぇ。			……いるさ……いるとも……。仲間たちみんなに会いたいが……中でも親しかったフーダルトには、とくに会いたいねぇ。			あと二度、奇跡の結末							
Forenameさんも、ご存じでしょう……。あいつは、鉄仮面卿の影武者をしていたときに、あんたに会ったと……喜んでいましたから……。			Forenameさんも、ご存じでしょう……。あいつは、鉄仮面卿の影武者をしていたときに、あんたに会ったと……喜んでいましたから……。			あと二度、奇跡の結末							
……といっても、例にもれず、あの戦いで死んだんだ。ありがとうなぁ……優しいお連れさん……こんな俺を……はげまそうと……してくれて……。			……といっても、例にもれず、あの戦いで死んだんだ。ありがとうなぁ……優しいお連れさん……こんな俺を……はげまそうと……してくれて……。			あと二度、奇跡の結末							
……彼らの厚意に応えるためにも、生きるんだ、ガリエン。			……彼らの厚意に応えるためにも、生きるんだ、ガリエン。			あと二度、奇跡の結末							
うそ、だろ……。フーダルト……お前が、いるのか…………？			うそ、だろ……。フーダルト……お前が、いるのか…………？			あと二度、奇跡の結末							
ああ…………。幻でも、あの世からの迎えでも、なんでもいい……。フーダルト……フーダルト……お前に頼みがあるんだ……。			ああ…………。幻でも、あの世からの迎えでも、なんでもいい……。フーダルト……フーダルト……お前に頼みがあるんだ……。			あと二度、奇跡の結末							
ラールガーズリーチに帰って……死んだ仲間のために、祈りを捧げてやって、くれ……。俺ぁもう、行けないが……それだけが、気がかりだったんだ。			ラールガーズリーチに帰って……死んだ仲間のために、祈りを捧げてやって、くれ……。俺ぁもう、行けないが……それだけが、気がかりだったんだ。			あと二度、奇跡の結末							
……わかった。お前の分まで、祈ってこよう。			……わかった。お前の分まで、祈ってこよう。			あと二度、奇跡の結末							
外で、話をさせていただいても……？			外で、話をさせていただいても……？			あと二度、奇跡の結末							
いのり、ささげてきたら……ガリエンは、元気に、なる……？			いのり、ささげてきたら……ガリエンは、元気に、なる……？			あと二度、奇跡の結末							
あんたも……行ってくれるんですか……？ありがとう……これで、俺も……やっと………………。			あんたも……行ってくれるんですか……？ありがとう……これで、俺も……やっと………………。			あと二度、奇跡の結末							
……まさか、こんな形で、あなたと再会することになるとは。私たちの戦いを見届けてほしいと言ったのに、あのような形で終わり……本来ならば、会わせる顔もない。			……まさか、こんな形で、あなたと再会することになるとは。私たちの戦いを見届けてほしいと言ったのに、あのような形で終わり……本来ならば、会わせる顔もない。			あと二度、奇跡の結末							
あなたとしても、鉄仮面の残党に手を貸すなど不本意でしょう。ですが……どうか助力をお願いできないでしょうか。			あなたとしても、鉄仮面の残党に手を貸すなど不本意でしょう。ですが……どうか助力をお願いできないでしょうか。			あと二度、奇跡の結末							
私は、ガリエンの望みをかなえてやりたい。しかし、このような丸腰では、野獣ひしめく荒野を抜けて、ラールガーズリーチに行くことなどできますまい……！			私は、ガリエンの望みをかなえてやりたい。しかし、このような丸腰では、野獣ひしめく荒野を抜けて、ラールガーズリーチに行くことなどできますまい……！			あと二度、奇跡の結末							
ぼくからも、おねがい。ガリエン、安心したら、きっと生きられる……。その大剣で、フーダルト、護ってあげて……！			ぼくからも、おねがい。ガリエン、安心したら、きっと生きられる……。その大剣で、フーダルト、護ってあげて……！			あと二度、奇跡の結末							
ありがとう……本当にありがとうございます……。では、ラールガーズリーチへ向かいます。ガリエンの意識があるうちに……！			ありがとう……本当にありがとうございます……。では、ラールガーズリーチへ向かいます。ガリエンの意識があるうちに……！			あと二度、奇跡の結末							
ありがとうございます……。やはり、あなたがいてくださってよかった。あの日も今も、本当にお強い方だ。			ありがとうございます……。やはり、あなたがいてくださってよかった。あの日も今も、本当にお強い方だ。			あと二度、奇跡の結末							
バエサルの長城で、私たちは、攻め入ってくるあなたを見た。かつての恩人が懸命に戦う姿に、若干の迷いを覚えました。そしてそれは……間もなく後悔へと変わることとなる。			バエサルの長城で、私たちは、攻め入ってくるあなたを見た。かつての恩人が懸命に戦う姿に、若干の迷いを覚えました。そしてそれは……間もなく後悔へと変わることとなる。			あと二度、奇跡の結末							
あなたほどの強さがあれば、正しきを選べたのでしょうか。救っていただいた命を燃やし、本当の意味で、故郷と同胞を救うことができたノ、デショ、ウ、カ……。			あなたほどの強さがあれば、正しきを選べたのでしょうか。救っていただいた命を燃やし、本当の意味で、故郷と同胞を救うことができたノ、デショ、ウ、カ……。			あと二度、奇跡の結末							
ふらふら、してる、よ……？だいじょうぶ……？			ふらふら、してる、よ……？だいじょうぶ……？			あと二度、奇跡の結末							
失敬……問題ありません。ですが、残念ながら話をしている時間はないようだ。ラールガーズリーチへ急ぎましょう。			失敬……問題ありません。ですが、残念ながら話をしている時間はないようだ。ラールガーズリーチへ急ぎましょう。			あと二度、奇跡の結末							
フーダルト、が……！			フーダルト、が……！			あと二度、奇跡の結末							
ワタ、シ……ワタシ……ワタシ、ハ……そう……キョてンに、戻らなければ……。			ワタ、シ……ワタシ……ワタシ、ハ……そう……キョてンに、戻らなければ……。			あと二度、奇跡の結末							
やっぱり、フーダルトのようす、おかしい……！距離はまだ、へいきなはず、なのに……。			やっぱり、フーダルトのようす、おかしい……！距離はまだ、へいきなはず、なのに……。			あと二度、奇跡の結末							
……私は所詮、ガリエンの想いの一部。彼が見ている、夢のようなもの。			……私は所詮、ガリエンの想いの一部。彼が見ている、夢のようなもの。			あと二度、奇跡の結末							
ただの眠りについているなら、夢は在りつづけましょう。しかし、彼は生死の狭間で浮き沈みしている。そのまま死の底に沈めば、私も姿を保てまい……。			ただの眠りについているなら、夢は在りつづけましょう。しかし、彼は生死の狭間で浮き沈みしている。そのまま死の底に沈めば、私も姿を保てまい……。			あと二度、奇跡の結末							
やはり、急がねばなりません。私は大丈夫です……行きましょう。			やはり、急がねばなりません。私は大丈夫です……行きましょう。			あと二度、奇跡の結末							
どうしよう……！ぼくの「ちから」じゃ、想いは、おぎなえない……！			どうしよう……！ぼくの「ちから」じゃ、想いは、おぎなえない……！			あと二度、奇跡の結末							
…………マナイ……スマナイ……ミンナ……。生キ、テ……故郷……コキョウ……もうイ、チ…………。			…………マナイ……スマナイ……ミンナ……。生キ、テ……故郷……コキョウ……もうイ、チ…………。			あと二度、奇跡の結末							
しっかり、して……！フーダルト……ガリエン……！			しっかり、して……！フーダルト……ガリエン……！			あと二度、奇跡の結末							
ハァ……ハァ……だいじょうぶ、デ、す。私たちに与えられた、この奇跡を、こんなところで無駄にするわけには、いきません……。			ハァ……ハァ……だいじょうぶ、デ、す。私たちに与えられた、この奇跡を、こんなところで無駄にするわけには、いきません……。			あと二度、奇跡の結末							
鉄仮面のもとに集った私たちは、確かに道を誤った……。けれど皆、故郷を想う、いい連中だったんです。			鉄仮面のもとに集った私たちは、確かに道を誤った……。けれど皆、故郷を想う、いい連中だったんです。			あと二度、奇跡の結末							
だから……歴史には、悪と記されても……報われず、誰に救われることがナくトモ……ワタシタチだけ、ハ……彼らのために、祈りたい……。			だから……歴史には、悪と記されても……報われず、誰に救われることがナくトモ……ワタシタチだけ、ハ……彼らのために、祈りたい……。			あと二度、奇跡の結末							
……こうして世界の片隅で朽ちかけたとき、私たちは幾度も、あなたという暗影の中の光を見たんだ。			……こうして世界の片隅で朽ちかけたとき、私たちは幾度も、あなたという暗影の中の光を見たんだ。			あと二度、奇跡の結末							
どうかあと少しだけ……チカラを……カシテくダ、サ、イ…………。			どうかあと少しだけ……チカラを……カシテくダ、サ、イ…………。			あと二度、奇跡の結末							
黒い靄が、渦巻いている……。			黒い靄が、渦巻いている……。			あと二度、奇跡の結末							
Forename…………。フーダルトが、とつぜんほどけて……想いがとだえたんだ……だから……ガリエンも、もう……。			Forename…………。フーダルトが、とつぜんほどけて……想いがとだえたんだ……だから……ガリエンも、もう……。			あと二度、奇跡の結末							
フーダルト、きせきって、いってたのに……。だったら、死ななくても、よかった……まにあって、みんな元気で幸せになっても、よかった……！			フーダルト、きせきって、いってたのに……。だったら、死ななくても、よかった……まにあって、みんな元気で幸せになっても、よかった……！			あと二度、奇跡の結末							
こんなの、ちがうよ……。きっと、ぼくがまた、失敗しただけ……。もどったら、ガリエンは生きてて……それで……。			こんなの、ちがうよ……。きっと、ぼくがまた、失敗しただけ……。もどったら、ガリエンは生きてて……それで……。			あと二度、奇跡の結末							
それ、で…………。			それ、で…………。			あと二度、奇跡の結末							
ごめん……ごめんね……。これを、あなたに、戻してあげて。本当に……ごめんなさい……。			ごめん……ごめんね……。これを、あなたに、戻してあげて。本当に……ごめんなさい……。			あと二度、奇跡の結末							
「ソウルイーター」で、これを、あなたに戻してあげて……。			「ソウルイーター」で、これを、あなたに戻してあげて……。			あと二度、奇跡の結末							
すでに息を引き取っている……。ガリエンのためにも、今なすべきことをしよう。			すでに息を引き取っている……。ガリエンのためにも、今なすべきことをしよう。			あと二度、奇跡の結末							
ソウルイーターで、暗黒の靄を吸収した……。暗黒騎士のソウルクリスタルに、エーテルが戻っていく……。			ソウルイーターで、暗黒の靄を吸収した……。暗黒騎士のソウルクリスタルに、エーテルが戻っていく……。			あと二度、奇跡の結末							
……Forename。ぼくたちだけでも、いのり、ささげよう。このさきだよね……。			……Forename。ぼくたちだけでも、いのり、ささげよう。このさきだよね……。			あと二度、奇跡の結末							
ここに「黙祷」をささげれば、いい、よね……？			ここに「黙祷」をささげれば、いい、よね……？			あと二度、奇跡の結末							
壊神「ラールガー」の石碑だ。			壊神「ラールガー」の石碑だ。			あと二度、奇跡の結末							
……これで、フーダルトとガリエンは、むくわれたのかな。			……これで、フーダルトとガリエンは、むくわれたのかな。			あと二度、奇跡の結末							
わからない、よね。死んでしまったら、そこでおわり。無になったものを、だれも、かたれない……。			わからない、よね。死んでしまったら、そこでおわり。無になったものを、だれも、かたれない……。			あと二度、奇跡の結末							
……ぼくね、だいすきな「みんな」といて、彼らのかなしみも、おそれも、知ってるはずだったの。			……ぼくね、だいすきな「みんな」といて、彼らのかなしみも、おそれも、知ってるはずだったの。			あと二度、奇跡の結末							
だけど、ぜんぜん、たりなかった。喪失は、ときどきあなたたちを襲うんじゃなく、いつだって、すぐとなりに、あるんだね……。			だけど、ぜんぜん、たりなかった。喪失は、ときどきあなたたちを襲うんじゃなく、いつだって、すぐとなりに、あるんだね……。			あと二度、奇跡の結末							
Forenameは、世界がそんなだって、知ってた……？			Forenameは、世界がそんなだって、知ってた……？			あと二度、奇跡の結末							
何と答える？			何と答える？			あと二度、奇跡の結末							
だから、この大剣をとった			だから、この大剣をとった			あと二度、奇跡の結末							
それは仕方のないことだ			それは仕方のないことだ			あと二度、奇跡の結末							
たいせつなものを護るための、大剣……。そうだね、あなたたちは、そういうもの……だけど……。			たいせつなものを護るための、大剣……。そうだね、あなたたちは、そういうもの……だけど……。			あと二度、奇跡の結末							
……そっか。あなたも、たくさん、なくしてきたものね。			……そっか。あなたも、たくさん、なくしてきたものね。			あと二度、奇跡の結末							
すくわれないなぁ……いつまでも…………。			すくわれないなぁ……いつまでも…………。			あと二度、奇跡の結末							
ぼくが、たった数回の人助けをすることにだって、意味なんか、なかったかもしれない、ね……。			ぼくが、たった数回の人助けをすることにだって、意味なんか、なかったかもしれない、ね……。			あと二度、奇跡の結末							
……あのね、あと1回は、本当にさいごなの。			……あのね、あと1回は、本当にさいごなの。			あと二度、奇跡の結末							
ぼくは、あなたから、エーテルを借りた……。それはすこしだけ嘘で、ぼくにはさいしょから、あなたに借りたエーテルしかないの。			ぼくは、あなたから、エーテルを借りた……。それはすこしだけ嘘で、ぼくにはさいしょから、あなたに借りたエーテルしかないの。			あと二度、奇跡の結末							
だから、さいごの1回は、ぼくとひきかえ。それでも、やっぱり、無意味だろうけれど……。			だから、さいごの1回は、ぼくとひきかえ。それでも、やっぱり、無意味だろうけれど……。			あと二度、奇跡の結末							
ぼくに、もっとたくさんの、エーテル……つよい「ちから」があったなら、うまく、できたのかな……。			ぼくに、もっとたくさんの、エーテル……つよい「ちから」があったなら、うまく、できたのかな……。			あと二度、奇跡の結末							
……かえろう、Forename。シドゥルグたち、皇都でまってるって、いってた。きっと、心配、してるよ。			……かえろう、Forename。シドゥルグたち、皇都でまってるって、いってた。きっと、心配、してるよ。			あと二度、奇跡の結末							
おかえりなさい……？			おかえりなさい……？			あと二度、奇跡の結末							
ああ、戻ったか……。どうだ、そちらの状況は？			ああ、戻ったか……。どうだ、そちらの状況は？			あと二度、奇跡の結末							
……ふむ、今回の人助けの顛末はともかく、ミストにエーテルがないというのは解せんな。本人が戻ってきたら、詳しく聞く必要があるか……。			……ふむ、今回の人助けの顛末はともかく、ミストにエーテルがないというのは解せんな。本人が戻ってきたら、詳しく聞く必要があるか……。			あと二度、奇跡の結末							
ミストは先に戻ったはず……？いや、少なくともここには来ていないが……。			ミストは先に戻ったはず……？いや、少なくともここには来ていないが……。			あと二度、奇跡の結末							
チッ、今さらエーテルの持ち逃げでもなかろうに……！どこで道草を食っているのか知らんが、厄介ごとを連れずに戻ってくることを願うしかないか……。			チッ、今さらエーテルの持ち逃げでもなかろうに……！どこで道草を食っているのか知らんが、厄介ごとを連れずに戻ってくることを願うしかないか……。			あと二度、奇跡の結末							
雲霧街のフレイは、冒険者の訪れを待っているようだ。			雲霧街のフレイは、冒険者の訪れを待っているようだ。			悲鳴に導かれ							
フレイから、彼のソウルクリスタルに触れた際に聞こえた悲鳴の真相を知るため、「暗黒」の力を得る儀式をしようと提案された。南ザナラーンのリトルアラミゴで「フレイ」と合流しよう。			フレイから、彼のソウルクリスタルに触れた際に聞こえた悲鳴の真相を知るため、「暗黒」の力を得る儀式をしようと提案された。南ザナラーンのリトルアラミゴで「フレイ」と合流しよう。			悲鳴に導かれ							
フレイと合流した。儀式の前に、強敵を倒して、暗黒騎士としての実力を見せる必要がありそうだ。リトルアラミゴの「グンドバルド」と話そう。			フレイと合流した。儀式の前に、強敵を倒して、暗黒騎士としての実力を見せる必要がありそうだ。リトルアラミゴの「グンドバルド」と話そう。			悲鳴に導かれ							
グンドバルドから、クラッグバイト・ペイストの情報を得た。南ザナラーンのレッドラビリンスにいる「フレイ」と話そう。			グンドバルドから、クラッグバイト・ペイストの情報を得た。南ザナラーンのレッドラビリンスにいる「フレイ」と話そう。			悲鳴に導かれ							
フレイと話し、クラッグバイト・ペイストを倒すことになった。レッドラビリンスの「指定地点」に「ゴートの胸肉」を置こう。			フレイと話し、クラッグバイト・ペイストを倒すことになった。レッドラビリンスの「指定地点」に「ゴートの胸肉」を置こう。			悲鳴に導かれ							
ゴートの胸肉を置いた。レッドラビリンスの「指定地点」で待機し、現れた「クラッグバイト・ペイスト」を討伐しよう。			ゴートの胸肉を置いた。レッドラビリンスの「指定地点」で待機し、現れた「クラッグバイト・ペイスト」を討伐しよう。			悲鳴に導かれ							
クラッグバイト・ペイストを討伐した。レッドラビリンスの「フレイ」と話そう。			クラッグバイト・ペイストを討伐した。レッドラビリンスの「フレイ」と話そう。			悲鳴に導かれ							
フレイと話し、場所を移して儀式を行うことになった。リトルアラミゴ南の「フレイ」と話そう。			フレイと話し、場所を移して儀式を行うことになった。リトルアラミゴ南の「フレイ」と話そう。			悲鳴に導かれ							
フレイと、さらなる「暗黒」の力を得るための儀式をすることになった。リトルアラミゴ南の「フレイ」に交感しよう。			フレイと、さらなる「暗黒」の力を得るための儀式をすることになった。リトルアラミゴ南の「フレイ」に交感しよう。			悲鳴に導かれ							
フレイに交感したところ、胸を焼くような思いとともに、誰かの声が聞こえた。「暗黒」の力を高めると、冒険者の救うべき誰かの声が聞こえるようだ。再び儀式に臨めるよう、暗黒騎士としての腕を磨いていこう。※暗黒騎士のレベルが40以上になると、雲霧街のフレイから次の暗黒騎士クエストを受注することができます。			フレイに交感したところ、胸を焼くような思いとともに、誰かの声が聞こえた。「暗黒」の力を高めると、冒険者の救うべき誰かの声が聞こえるようだ。再び儀式に臨めるよう、暗黒騎士としての腕を磨いていこう。※暗黒騎士のレベルが40以上になると、雲霧街のフレイから次の暗黒騎士クエストを受注することができます。			悲鳴に導かれ							
リトルアラミゴでフレイと合流			リトルアラミゴでフレイと合流			悲鳴に導かれ							
グンドバルドと話す			グンドバルドと話す			悲鳴に導かれ							
レッドラビリンスのフレイと話す			レッドラビリンスのフレイと話す			悲鳴に導かれ							
指定地点にゴートの胸肉を置く			指定地点にゴートの胸肉を置く			悲鳴に導かれ							
指定地点で待機してクラッグバイト・ペイストを討伐			指定地点で待機してクラッグバイト・ペイストを討伐			悲鳴に導かれ							
フレイと話す			フレイと話す			悲鳴に導かれ							
リトルアラミゴ南のフレイと話す			リトルアラミゴ南のフレイと話す			悲鳴に導かれ							
フレイに交感する			フレイに交感する			悲鳴に導かれ							
また会えましたね、Forename。それでは、「暗黒騎士」について、僕の記憶にあるかぎりのことを伝授しましょう。			また会えましたね、Forename。それでは、「暗黒騎士」について、僕の記憶にあるかぎりのことを伝授しましょう。			悲鳴に導かれ							
……と、その前に。前回は、娘さんの騒動に終始してしまいましたが、何か気になることが残っていませんでしたか？			……と、その前に。前回は、娘さんの騒動に終始してしまいましたが、何か気になることが残っていませんでしたか？			悲鳴に導かれ							
前回、残った謎は……？			前回、残った謎は……？			悲鳴に導かれ							
最初に聞こえた「声」のこと			最初に聞こえた「声」のこと			悲鳴に導かれ							
フレイの罪状			フレイの罪状			悲鳴に導かれ							
おばあちゃん、元気かな？			おばあちゃん、元気かな？			悲鳴に導かれ							
ええ、そのとおりです。君が、初めて僕のソウルクリスタルに触れたとき……誰かの苦しみの「声」が聞こえたそうですね。			ええ、そのとおりです。君が、初めて僕のソウルクリスタルに触れたとき……誰かの苦しみの「声」が聞こえたそうですね。			悲鳴に導かれ							
それが何だったのか、引っかかっていたのですが……もしかしたら、世界のどこかにいる、「君が護るべき誰か」の声なのかもしれない。			それが何だったのか、引っかかっていたのですが……もしかしたら、世界のどこかにいる、「君が護るべき誰か」の声なのかもしれない。			悲鳴に導かれ							
歴代の「暗黒騎士」の、弱き者を護らんとする信念が、君とその「誰か」を結びつけたということです。……それを看過するようでは、「暗黒騎士」失格だ。			歴代の「暗黒騎士」の、弱き者を護らんとする信念が、君とその「誰か」を結びつけたということです。……それを看過するようでは、「暗黒騎士」失格だ。			悲鳴に導かれ							
一人前の「暗黒騎士」となるために「声」の真意を確かめましょう。君が、より強い「暗黒」の力を得ることができれば、また、声が聞こえるかもしれません。			一人前の「暗黒騎士」となるために「声」の真意を確かめましょう。君が、より強い「暗黒」の力を得ることができれば、また、声が聞こえるかもしれません。			悲鳴に導かれ							
強い「暗黒」の力を得るには、特別な儀式が必要です。儀式の場所は選びませんが……先日の件もありますし、皇都では邪魔が入るかもしれない。			強い「暗黒」の力を得るには、特別な儀式が必要です。儀式の場所は選びませんが……先日の件もありますし、皇都では邪魔が入るかもしれない。			悲鳴に導かれ							
少し、遠出をするとしましょうか。南ザナラーンの「リトルアラミゴ」でお待ちしています。			少し、遠出をするとしましょうか。南ザナラーンの「リトルアラミゴ」でお待ちしています。			悲鳴に導かれ							
あれ……言いませんでしたっけ、無実の罪だって。えっ？　もっと詳しく？う、ううん……思い出すので、ちょっと待ってくださいね。			あれ……言いませんでしたっけ、無実の罪だって。えっ？　もっと詳しく？う、ううん……思い出すので、ちょっと待ってくださいね。			悲鳴に導かれ							
……そうそう、罪なき女の子が神殿騎士に追われていたので、保護したところ、偽の罪状をでっちあげられたんです。まったく、お人よしはこれだから……。			……そうそう、罪なき女の子が神殿騎士に追われていたので、保護したところ、偽の罪状をでっちあげられたんです。まったく、お人よしはこれだから……。			悲鳴に導かれ							
それよりも、君自身のことで、気になることが残っていませんでしたか？			それよりも、君自身のことで、気になることが残っていませんでしたか？			悲鳴に導かれ							
…………えっ？ああ、えっと……そうですね……。あの娘さんがついているなら、大丈夫だと思いますよ。			…………えっ？ああ、えっと……そうですね……。あの娘さんがついているなら、大丈夫だと思いますよ。			悲鳴に導かれ							
そ、それよりも、もっと謎があるでしょう！もう、君って人は……！			そ、それよりも、もっと謎があるでしょう！もう、君って人は……！			悲鳴に導かれ							
ああ、合流できてよかった。さっそく、さらなる「暗黒」の力を手に入れるための、儀式について説明します。			ああ、合流できてよかった。さっそく、さらなる「暗黒」の力を手に入れるための、儀式について説明します。			悲鳴に導かれ							
この儀式そのものは、僕の力さえあれば、すぐにでも行える。ですが、「暗黒」の力を得るということは、より強い負の感情を呼び起こすことと同義です。			この儀式そのものは、僕の力さえあれば、すぐにでも行える。ですが、「暗黒」の力を得るということは、より強い負の感情を呼び起こすことと同義です。			悲鳴に導かれ							
そのため、力不足の者が儀式に臨めば、湧き上がる感情が抑えきれず、逆流した力に殺される……。			そのため、力不足の者が儀式に臨めば、湧き上がる感情が抑えきれず、逆流した力に殺される……。			悲鳴に導かれ							
そうならないためにも、儀式の前に、君の「暗黒騎士」としての実力を見させてもらうことが必須です。			そうならないためにも、儀式の前に、君の「暗黒騎士」としての実力を見させてもらうことが必須です。			悲鳴に導かれ							
実力を見るには、強敵との実戦が一番なのですが……。うってつけの相手がいないか、この集落の顔役にでも聞いてみましょうか。			実力を見るには、強敵との実戦が一番なのですが……。うってつけの相手がいないか、この集落の顔役にでも聞いてみましょうか。			悲鳴に導かれ							
実力を見るには、強敵との実戦が一番なのですが……。うってつけの相手がいないか、この集落の顔役にでも聞いてみましょうか。			実力を見るには、強敵との実戦が一番なのですが……。うってつけの相手がいないか、この集落の顔役にでも聞いてみましょうか。			悲鳴に導かれ							
おお、冒険者か……。もてなしの用意はないが、お前の再来を歓迎しよう。今日は、いったい何用だ？			おお、冒険者か……。もてなしの用意はないが、お前の再来を歓迎しよう。今日は、いったい何用だ？			悲鳴に導かれ							
……なるほど。武術の腕を見るために、強敵を求めていると。			……なるほど。武術の腕を見るために、強敵を求めていると。			悲鳴に導かれ							
ひとつ、心当たりがある。近ごろ、ここより南のレッドラビリンスに、獰猛な「クラッグバイト・ペイスト」が現れるのだ。			ひとつ、心当たりがある。近ごろ、ここより南のレッドラビリンスに、獰猛な「クラッグバイト・ペイスト」が現れるのだ。			悲鳴に導かれ							
奴の一撃は鋭く、この物騒な土地で生きてきた同胞でさえ、もう何人も傷を負わされている有様だ。			奴の一撃は鋭く、この物騒な土地で生きてきた同胞でさえ、もう何人も傷を負わされている有様だ。			悲鳴に導かれ							
それは、うってつけの相手ですね。強力な攻撃をしのいで戦うのは、「暗黒騎士」の戦いの骨子。……そいつとは、どうやったら出会えますか。			それは、うってつけの相手ですね。強力な攻撃をしのいで戦うのは、「暗黒騎士」の戦いの骨子。……そいつとは、どうやったら出会えますか。			悲鳴に導かれ							
奴は、ミノタウロスマルムに向かう商隊が運んでいた、「ゴートの胸肉」の匂いに引き寄せられてきたらしい。おびき寄せるために、同じ肉をやろう。			奴は、ミノタウロスマルムに向かう商隊が運んでいた、「ゴートの胸肉」の匂いに引き寄せられてきたらしい。おびき寄せるために、同じ肉をやろう。			悲鳴に導かれ							
ここは貧しい土地ではあるが、以前、お前がかけてくれた恩に、少しでも報いたい。			ここは貧しい土地ではあるが、以前、お前がかけてくれた恩に、少しでも報いたい。			悲鳴に導かれ							
それに、嬉しくもあるのだ。お前が、気の置けない友を連れて、再び我らを頼ってきてくれるとは……。			それに、嬉しくもあるのだ。お前が、気の置けない友を連れて、再び我らを頼ってきてくれるとは……。			悲鳴に導かれ							
ふむ……。この者とは、まだ出会ったばかりだと？			ふむ……。この者とは、まだ出会ったばかりだと？			悲鳴に導かれ							
