フォルタン家の執事は、ぼんやりとしている。			フォルタン家の執事は、ぼんやりとしている。			追憶行							
(-ナナモ-)……それからな、詫びというわけではないが、お主たち「暁」にも、活動資金を援助しようと考えておる。すまないが、お主から「暁」の金庫番に渡りをつけてくれんか？			(-ナナモ-)……それからな、詫びというわけではないが、お主たち「暁」にも、活動資金を援助しようと考えておる。すまないが、お主から「暁」の金庫番に渡りをつけてくれんか？			旅の果て							
ナナモから活動資金を受け取るべき？			ナナモから活動資金を受け取るべき？			旅の果て							
ありがたく頂戴する			ありがたく頂戴する			旅の果て							
丁重に断る			丁重に断る			旅の果て							
(-ナナモ-)うむ……金で解決するつもりかと思われそうだが、金でできることも多いのだと、妾はロロリトから学んだ。お主から聞いた、タタルという者に送金するよう手配しておこう。			(-ナナモ-)うむ……金で解決するつもりかと思われそうだが、金でできることも多いのだと、妾はロロリトから学んだ。お主から聞いた、タタルという者に送金するよう手配しておこう。			旅の果て							
(-ナナモ-)そうか……何とはなしに、断られるだろうとは思っていたが……。金で解決するような申し出をしたこと、許してもらいたい。余った資金は、レヴナンツトール開拓団に送っておこう。			(-ナナモ-)そうか……何とはなしに、断られるだろうとは思っていたが……。金で解決するような申し出をしたこと、許してもらいたい。余った資金は、レヴナンツトール開拓団に送っておこう。			旅の果て							
(-ナナモ-)…………さて、妾もお主に負けぬよう、全力を尽くさないとな。千年戦争を続けてきたイシュガルドが変革できたのだ。妾も慎重に考えながら、ウルダハを変えていこう。			(-ナナモ-)…………さて、妾もお主に負けぬよう、全力を尽くさないとな。千年戦争を続けてきたイシュガルドが変革できたのだ。妾も慎重に考えながら、ウルダハを変えていこう。			旅の果て							
(-パパシャンの声-)お嬢様～リリラお嬢様～！むぅ、近衛騎士殿……貴公はそちらの廊下を……私は向こうを探しましょうぞ！			(-パパシャンの声-)お嬢様～リリラお嬢様～！むぅ、近衛騎士殿……貴公はそちらの廊下を……私は向こうを探しましょうぞ！			旅の果て							
(-ナナモ-)くっ……パパシャンが探しているようじゃ。民の生活を知るには、自分の目で見るのがいちばんと言うのに。ここで捕まっては意味がない……！			(-ナナモ-)くっ……パパシャンが探しているようじゃ。民の生活を知るには、自分の目で見るのがいちばんと言うのに。ここで捕まっては意味がない……！			旅の果て							
(-ナナモ-)Forename、すまぬが妾を探している「銀冑団の近衛騎士」がいたら、適当に話しかけて足止めをしてくれ！　さらばじゃ！			(-ナナモ-)Forename、すまぬが妾を探している「銀冑団の近衛騎士」がいたら、適当に話しかけて足止めをしてくれ！　さらばじゃ！			旅の果て							
すまない、妙齢のララフェル族の女性を見かけなかったかな？気品漂うお嬢様なのだが……。			すまない、妙齢のララフェル族の女性を見かけなかったかな？気品漂うお嬢様なのだが……。			旅の果て							
見ていない、と……。では逆方向に向かったというのか……ええい、まずい、まずいことになったぞ……。			見ていない、と……。では逆方向に向かったというのか……ええい、まずい、まずいことになったぞ……。			旅の果て							
ロイヤル・プロムナードの銀冑団の近衛騎士は、うろたえているようだ。			ロイヤル・プロムナードの銀冑団の近衛騎士は、うろたえているようだ。			目に浮かびしは							
銀冑団の近衛騎士の足止めをした。追憶の旅を続けよう。次は、モードゥナのレヴナンツトールにいる「アリアヌ」と話そう。			銀冑団の近衛騎士の足止めをした。追憶の旅を続けよう。次は、モードゥナのレヴナンツトールにいる「アリアヌ」と話そう。			目に浮かびしは							
アリアヌと話した。彼女は、ウルダハの戦勝祝賀会のときに冒険者に会えなかった事情を話し、謝るのだった。今後もしっかり「暁」の一員として働くことで、借りを返すという。次は、イシュガルドのスカイスチール機工房にある「指定地点」で思いを馳せよう。			アリアヌと話した。彼女は、ウルダハの戦勝祝賀会のときに冒険者に会えなかった事情を話し、謝るのだった。今後もしっかり「暁」の一員として働くことで、借りを返すという。次は、イシュガルドのスカイスチール機工房にある「指定地点」で思いを馳せよう。			目に浮かびしは							
スカイスチール機工房で思いを馳せていたところ、ビッグスとウェッジがやってきた。冒険者とエスティニアンに託されたマナカッターは、想定の働きをしたことで量産化が進み、ふたりはその件で技術指導に当たっているという。次は、ドラヴァニア雲海のモンステリエにある「指定地点」で思いを馳せよう。			スカイスチール機工房で思いを馳せていたところ、ビッグスとウェッジがやってきた。冒険者とエスティニアンに託されたマナカッターは、想定の働きをしたことで量産化が進み、ふたりはその件で技術指導に当たっているという。次は、ドラヴァニア雲海のモンステリエにある「指定地点」で思いを馳せよう。			目に浮かびしは							
モンステリエで思いを馳せた。冒険者はドラゴンズエアリーを眺めながら、エスティニアンとの共闘、そして聖竜との再謁見で知った衝撃的な真実について思い出した。次は、イシュガルドの雲霧街にいる「ヒルダ」と話そう。			モンステリエで思いを馳せた。冒険者はドラゴンズエアリーを眺めながら、エスティニアンとの共闘、そして聖竜との再謁見で知った衝撃的な真実について思い出した。次は、イシュガルドの雲霧街にいる「ヒルダ」と話そう。			目に浮かびしは							
ヒルダたちと話した。彼女たちは、ようやく手に入れた融和の時代と、変革したイシュガルドを、自警団として護り続けていくと意気込んでいた。次は、アバラシア雲海のオク・ズンドにいる「ロヌバヌ」と話そう。			ヒルダたちと話した。彼女たちは、ようやく手に入れた融和の時代と、変革したイシュガルドを、自警団として護り続けていくと意気込んでいた。次は、アバラシア雲海のオク・ズンドにいる「ロヌバヌ」と話そう。			目に浮かびしは							
ロヌバヌと話した。冒険者のおかげで、村は平穏を取り戻したという。次は、グリダニアのアプカル滝にいる「ヤ・ミトラ」と話そう。			ロヌバヌと話した。冒険者のおかげで、村は平穏を取り戻したという。次は、グリダニアのアプカル滝にいる「ヤ・ミトラ」と話そう。			目に浮かびしは							
ヤ・ミトラと話した。彼女によると、姉であるヤ・シュトラは、地脈を彷徨った代償として身体に負の影響が出ているらしい。日常生活に支障はないが、無理をしているようなら止めるように頼まれた。次は、イディルシャイアの「スローフィクス」と話そう。			ヤ・ミトラと話した。彼女によると、姉であるヤ・シュトラは、地脈を彷徨った代償として身体に負の影響が出ているらしい。日常生活に支障はないが、無理をしているようなら止めるように頼まれた。次は、イディルシャイアの「スローフィクス」と話そう。			目に浮かびしは							
スローフィクスと話した。彼は、何かと心配事が多いようだが、冒険者の顔を見ることで落ち着いたらしい。冒険者たちがイディルシャイアに来たことで、大助かりだったという。この先も、追憶の旅を続けよう。			スローフィクスと話した。彼は、何かと心配事が多いようだが、冒険者の顔を見ることで落ち着いたらしい。冒険者たちがイディルシャイアに来たことで、大助かりだったという。この先も、追憶の旅を続けよう。			目に浮かびしは							
レヴナンツトールのアリアヌと話す			レヴナンツトールのアリアヌと話す			目に浮かびしは							
イシュガルドの指定地点で思いを馳せる			イシュガルドの指定地点で思いを馳せる			目に浮かびしは							
モンステリエの指定地点で思いを馳せる			モンステリエの指定地点で思いを馳せる			目に浮かびしは							
イシュガルドのヒルダと話す			イシュガルドのヒルダと話す			目に浮かびしは							
オク・ズンドのロヌバヌと話す			オク・ズンドのロヌバヌと話す			目に浮かびしは							
グリダニアのヤ・ミトラと話す			グリダニアのヤ・ミトラと話す			目に浮かびしは							
イディルシャイアのスローフィクスと話す			イディルシャイアのスローフィクスと話す			目に浮かびしは							
ま、まだ何か用が……むっ……むむむ！？貴方はもしや、Surname殿ではありませんか？			ま、まだ何か用が……むっ……むむむ！？貴方はもしや、Surname殿ではありませんか？			目に浮かびしは							
こ、これは失礼いたしました。実は、緊急事態が発生しておりまして、……そうだ、ここは英雄殿のお力を借りれば！			こ、これは失礼いたしました。実は、緊急事態が発生しておりまして、……そうだ、ここは英雄殿のお力を借りれば！			目に浮かびしは							
い、いや……ダメだ、ダメだ。陛下が行方不明などと国外の者に知れたら……ハッ、今のは他言無用に願いますぞ……それでは失礼！			い、いや……ダメだ、ダメだ。陛下が行方不明などと国外の者に知れたら……ハッ、今のは他言無用に願いますぞ……それでは失礼！			目に浮かびしは							
ナナモの願いを聞き届け、近衛騎士の足止めをした。さらに記憶を辿るために、次はモードゥナのレヴナンツトールにいるアリアヌを訪ねよう。			ナナモの願いを聞き届け、近衛騎士の足止めをした。さらに記憶を辿るために、次はモードゥナのレヴナンツトールにいるアリアヌを訪ねよう。			目に浮かびしは							
Forenameさん、そろそろ来るころだと思っていたわ。ヒギリさんから、例の旅の話を聞いて待っていたのよ。			Forenameさん、そろそろ来るころだと思っていたわ。ヒギリさんから、例の旅の話を聞いて待っていたのよ。			目に浮かびしは							
ねぇ……ウルダハで戦勝祝賀会があったあの日……モモディさんに頼んで、あなたと会おうとしたのを覚えてる？			ねぇ……ウルダハで戦勝祝賀会があったあの日……モモディさんに頼んで、あなたと会おうとしたのを覚えてる？			目に浮かびしは							
行方不明だったウィルレッドのことを、相談しようと思ってね。当時、私は隊内に帝国の内通者がいるんじゃないかって、疑っていて……それで信頼できるあなたを頼ったの。			行方不明だったウィルレッドのことを、相談しようと思ってね。当時、私は隊内に帝国の内通者がいるんじゃないかって、疑っていて……それで信頼できるあなたを頼ったの。			目に浮かびしは							
考えに考え抜いた末に、思いついたのが、冒険者ギルドのモモディさんに、伝言を託すことだった。でも、その現場を、あのモミアゲ野郎に見られていたのね……。			考えに考え抜いた末に、思いついたのが、冒険者ギルドのモモディさんに、伝言を託すことだった。でも、その現場を、あのモミアゲ野郎に見られていたのね……。			目に浮かびしは							
直後に、私たち第四分隊に緊急招集がかけられ、あなたとの待ち合わせ場所に、向かうことができなくなった。もちろん、招集先に待っていたのは、イルベルド派の連中よ。			直後に、私たち第四分隊に緊急招集がかけられ、あなたとの待ち合わせ場所に、向かうことができなくなった。もちろん、招集先に待っていたのは、イルベルド派の連中よ。			目に浮かびしは							
後は、同じく拘束されていたリオルや、エフェミ、エルグムスたちと「石の家」で監禁生活よ。			後は、同じく拘束されていたリオルや、エフェミ、エルグムスたちと「石の家」で監禁生活よ。			目に浮かびしは							
警備をしていたユユハセたち第三分隊が、ラウバーン局長の移送に伴って、出ていった後、残った少数の警備兵を、ブチのめして脱出してやったけどね……。			警備をしていたユユハセたち第三分隊が、ラウバーン局長の移送に伴って、出ていった後、残った少数の警備兵を、ブチのめして脱出してやったけどね……。			目に浮かびしは							
ともかく、あのときは私が油断していたせいで、あなたに迷惑をかけてしまった……それを謝りたかったの。			ともかく、あのときは私が油断していたせいで、あなたに迷惑をかけてしまった……それを謝りたかったの。			目に浮かびしは							
ただ、ごめんなさいと言って、許しを請うつもりはないわ。しっかり「暁」の一員として働くことで、借りを返すつもり。だから見ていて……私の働きぶりをね！			ただ、ごめんなさいと言って、許しを請うつもりはないわ。しっかり「暁」の一員として働くことで、借りを返すつもり。だから見ていて……私の働きぶりをね！			目に浮かびしは							
アリアヌとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はイシュガルド下層の「スカイスチール機工房」を訪ねよう。			アリアヌとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はイシュガルド下層の「スカイスチール機工房」を訪ねよう。			目に浮かびしは							
あれ！？Surnameッス？こんなところで、どうしたッス？			あれ！？Surnameッス？こんなところで、どうしたッス？			目に浮かびしは							
なるほどな……この機工房にいたということは、竜の巣に乗り込もうってときのことを、思い出してたんだな？それで、どうなんだ……マナカッターの調子の方は。			なるほどな……この機工房にいたということは、竜の巣に乗り込もうってときのことを、思い出してたんだな？それで、どうなんだ……マナカッターの調子の方は。			目に浮かびしは							
ハハッ、その様子だと快調に飛んでいるようだな。作り手としては、これ以上の嬉しい報告はない。			ハハッ、その様子だと快調に飛んでいるようだな。作り手としては、これ以上の嬉しい報告はない。			目に浮かびしは							
当たり前ッス！マナカッターは、オイラたちの自信作！そう簡単にへこたれる機体じゃないッス！			当たり前ッス！マナカッターは、オイラたちの自信作！そう簡単にへこたれる機体じゃないッス！			目に浮かびしは							
お前と蒼の竜騎士に託したマナカッターが、想定の働きをしてくれたことで、量産化も進んでいてな。ここ「スカイスチール機工房」でも、ライセンス生産してるんだ。			お前と蒼の竜騎士に託したマナカッターが、想定の働きをしてくれたことで、量産化も進んでいてな。ここ「スカイスチール機工房」でも、ライセンス生産してるんだ。			目に浮かびしは							
今日、オレたちがここに来たのも、その件で、技術指導に当たるためでな。			今日、オレたちがここに来たのも、その件で、技術指導に当たるためでな。			目に浮かびしは							
一部が冒険者や空賊の手にも渡って、今じゃ、結構な数のマナカッターが飛んでいるらしいッス！生みの親としては、感慨深いッス！			一部が冒険者や空賊の手にも渡って、今じゃ、結構な数のマナカッターが飛んでいるらしいッス！生みの親としては、感慨深いッス！			目に浮かびしは							
だが、思い出に浸ってばかりではいられないぞ、ウェッジ！イシュガルドの技師たちが、指導を待ってるんだからな！ガッツリ仕事をしないと、ジェシーにどやされるぞ！			だが、思い出に浸ってばかりではいられないぞ、ウェッジ！イシュガルドの技師たちが、指導を待ってるんだからな！ガッツリ仕事をしないと、ジェシーにどやされるぞ！			目に浮かびしは							
相変わらず、楽しい職場ッス……。			相変わらず、楽しい職場ッス……。			目に浮かびしは							
それじゃあな、Surname。オレたちは仕事に行ってくる。また会おうぜ！			それじゃあな、Surname。オレたちは仕事に行ってくる。また会おうぜ！			目に浮かびしは							
ビッグスとウェッジとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はドラヴァニア雲海の「モンステリエ」を訪ねよう。			ビッグスとウェッジとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はドラヴァニア雲海の「モンステリエ」を訪ねよう。			目に浮かびしは							
邪竜ニーズヘッグの巣、「ドラゴンズエアリー」がよく見える。エスティニアンとの共闘、そして、聖竜との再謁見で知った、衝撃的な真実について思い出した……。			邪竜ニーズヘッグの巣、「ドラゴンズエアリー」がよく見える。エスティニアンとの共闘、そして、聖竜との再謁見で知った、衝撃的な真実について思い出した……。			目に浮かびしは							
さらに記憶を辿るために、次はイシュガルド下層の「ヒルダ」を訪れよう。			さらに記憶を辿るために、次はイシュガルド下層の「ヒルダ」を訪れよう。			目に浮かびしは							
よぉ、Forename……。ジブリオンの旦那から、話は聞いているよ。おセンチな旅をしているようじゃないか。			よぉ、Forename……。ジブリオンの旦那から、話は聞いているよ。おセンチな旅をしているようじゃないか。			目に浮かびしは							
まぁ、気持ちもわからんじゃないよ。ここ最近、雲霧街だけでもいろんなことがあったが、あんたが経験した事は、その比じゃないだろうからね……。			まぁ、気持ちもわからんじゃないよ。ここ最近、雲霧街だけでもいろんなことがあったが、あんたが経験した事は、その比じゃないだろうからね……。			目に浮かびしは							
でもよぉ、姐さん。俺は、まさかこんな事になるなんて思わなかったぜ。エーテライトで因縁つけた相手が、英雄になるなんてよ！			でもよぉ、姐さん。俺は、まさかこんな事になるなんて思わなかったぜ。エーテライトで因縁つけた相手が、英雄になるなんてよ！			目に浮かびしは							
ったく、シム！お前は、そんな事をしてたのかい？			ったく、シム！お前は、そんな事をしてたのかい？			目に浮かびしは							
ヘヘ……覚えてないかもしれないが、あのときはすまなかった。アルフィノ坊ちゃんのことを、貴族のボンボンだと勘違いしてよ。今さらだけど、詫びを入れさせてくれな？			ヘヘ……覚えてないかもしれないが、あのときはすまなかった。アルフィノ坊ちゃんのことを、貴族のボンボンだと勘違いしてよ。今さらだけど、詫びを入れさせてくれな？			目に浮かびしは							
本当に今さらだよ、まったく……。それにしても、あんたと一緒に薄汚い蒼天騎士と戦ったり、教皇庁に殴り込みをかけたことが、もう何年も前の事に思えるよ。			本当に今さらだよ、まったく……。それにしても、あんたと一緒に薄汚い蒼天騎士と戦ったり、教皇庁に殴り込みをかけたことが、もう何年も前の事に思えるよ。			目に浮かびしは							
それだけ、激動だったということ……。俺たち平民にとっては、天地がひっくり返ったような気分だ。			それだけ、激動だったということ……。俺たち平民にとっては、天地がひっくり返ったような気分だ。			目に浮かびしは							
そうだ……そして、この戦いの陰で多くの犠牲があった。だからこそ、ようやく手にいれた融和の時代を、絶対に手放しちゃならないんだ……。			そうだ……そして、この戦いの陰で多くの犠牲があった。だからこそ、ようやく手にいれた融和の時代を、絶対に手放しちゃならないんだ……。			目に浮かびしは							
シム、ウデスタン……気を引き締めていくよ！アタシたち平民が、自分たち自身の手で変革した皇都を護り続けていくんだ！			シム、ウデスタン……気を引き締めていくよ！アタシたち平民が、自分たち自身の手で変革した皇都を護り続けていくんだ！			目に浮かびしは							
(-シムとウデスタン-)応ッ！			(-シムとウデスタン-)応ッ！			目に浮かびしは							
ヒルダたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアバラシア雲海の「ロヌバヌ」を訪ねよう。			ヒルダたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアバラシア雲海の「ロヌバヌ」を訪ねよう。			目に浮かびしは							
心残りがあるとすれば、あの戦いのときに、気味の悪い蒼天騎士のドタマをブチ抜けなかったことさ。自警団を率いる者として、銃の腕前も上げないとね。			心残りがあるとすれば、あの戦いのときに、気味の悪い蒼天騎士のドタマをブチ抜けなかったことさ。自警団を率いる者として、銃の腕前も上げないとね。			目に浮かびしは							
いやぁ、酒を飲んで気が大きくなっててよ、貴族のボンボンだと思って、因縁つけちまったんだ。酒は飲んでも飲まれるな……ってな！　ウハハハハ！			いやぁ、酒を飲んで気が大きくなっててよ、貴族のボンボンだと思って、因縁つけちまったんだ。酒は飲んでも飲まれるな……ってな！　ウハハハハ！			目に浮かびしは							
皇都のことは、姐さんと俺たち「自警団」に任せてくれ。			皇都のことは、姐さんと俺たち「自警団」に任せてくれ。			目に浮かびしは							
おうや、おうや、これはヒトの勇者さま！元気にしていたようで、安心しただよ。			おうや、おうや、これはヒトの勇者さま！元気にしていたようで、安心しただよ。			目に浮かびしは							
勇者さまのお陰で、冷酷なるブンドも静かになったね。大らかなズンドは、新たな隣人、鮮やかなグンドといっしょに、平穏に暮らしているだよ！			勇者さまのお陰で、冷酷なるブンドも静かになったね。大らかなズンドは、新たな隣人、鮮やかなグンドといっしょに、平穏に暮らしているだよ！			目に浮かびしは							
勇者さまのお陰で、雲神さまが浮島を食べることもなくなり、オイラも安心して寝られるようになっただよ！			勇者さまのお陰で、雲神さまが浮島を食べることもなくなり、オイラも安心して寝られるようになっただよ！			目に浮かびしは							
黒い鎧を着た、悪いヒトの軍勢も、あれから、すっかり姿を見せていないね！追い払ってくれたヒトの勇者さまに、感謝するだよ！			黒い鎧を着た、悪いヒトの軍勢も、あれから、すっかり姿を見せていないね！追い払ってくれたヒトの勇者さまに、感謝するだよ！			目に浮かびしは							
雲海に来たら、いつでもズンドの村に立ち寄るといいね！春風に揺れる草花のように、一族を挙げて歓迎するだよ！			雲海に来たら、いつでもズンドの村に立ち寄るといいね！春風に揺れる草花のように、一族を挙げて歓迎するだよ！			目に浮かびしは							
ロヌバヌとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はグリダニア旧市街の「ヤ・ミトラ」を訪ねよう。			ロヌバヌとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はグリダニア旧市街の「ヤ・ミトラ」を訪ねよう。			目に浮かびしは							
ところで、採れたてのワモーラの幼虫、食べてくか？外はプリプリ、中はネットリ、とても、とても、美味しいね！いらないならオイラが全部、荒れ狂う竜巻のように食べるだよ。			ところで、採れたてのワモーラの幼虫、食べてくか？外はプリプリ、中はネットリ、とても、とても、美味しいね！いらないならオイラが全部、荒れ狂う竜巻のように食べるだよ。			目に浮かびしは							
あら、Forename。今日はどうしたの？			あら、Forename。今日はどうしたの？			目に浮かびしは							
そういうことだったの……。姉を助け出したのは、少し前の出来事だというのに、日々の仕事に追われるうちに、遠い過去に思えてしまうわね。			そういうことだったの……。姉を助け出したのは、少し前の出来事だというのに、日々の仕事に追われるうちに、遠い過去に思えてしまうわね。			目に浮かびしは							
でもね、あれから、変わったこともあるのよ？行方不明になるという出来事があったからかしら、姉と連絡を取り合う機会が増えたの。			でもね、あれから、変わったこともあるのよ？行方不明になるという出来事があったからかしら、姉と連絡を取り合う機会が増えたの。			目に浮かびしは							
もっぱら話すのは、私の専門である古代アラグ文明のことや、蛮神やアシエンなどについての、お堅い内容ばかりだけどね。まったく姉の知識欲には、驚かされるわ。			もっぱら話すのは、私の専門である古代アラグ文明のことや、蛮神やアシエンなどについての、お堅い内容ばかりだけどね。まったく姉の知識欲には、驚かされるわ。			目に浮かびしは							
でもね、頑張る姉の様子を知って、心配になることもあるの。姉の……シュトラの身体には負の影響が出ているはず……。地脈を彷徨った代償としてね。			でもね、頑張る姉の様子を知って、心配になることもあるの。姉の……シュトラの身体には負の影響が出ているはず……。地脈を彷徨った代償としてね。			目に浮かびしは							
もちろん、日常生活に支障はないわ。本人も、無用な気遣いをさせまいと、それを隠している……。			もちろん、日常生活に支障はないわ。本人も、無用な気遣いをさせまいと、それを隠している……。			目に浮かびしは							
だけど、抜き差しならない戦いとなれば、話は別よ。もし姉が無理をしているようなら、止めてちょうだいね……。シュトラは、あなたを強く信頼しているみたいだから。			だけど、抜き差しならない戦いとなれば、話は別よ。もし姉が無理をしているようなら、止めてちょうだいね……。シュトラは、あなたを強く信頼しているみたいだから。			目に浮かびしは							
ありがとう……。私も、私の専門知識を活かして、「暁」を支援するわ。だからお互い頑張りましょう……改めて、よろしくね！			ありがとう……。私も、私の専門知識を活かして、「暁」を支援するわ。だからお互い頑張りましょう……改めて、よろしくね！			目に浮かびしは							
ヤ・ミトラとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はイディルシャイアの「スローフィクス」を訪ねよう。			ヤ・ミトラとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はイディルシャイアの「スローフィクス」を訪ねよう。			目に浮かびしは							
これでも、古代アラグ文明の調査研究が、私の専門だからね。有用な情報をつかんだときには、「暁の血盟」に報せるわ。タタルさんたちにも、よろしく伝えておいてね。			これでも、古代アラグ文明の調査研究が、私の専門だからね。有用な情報をつかんだときには、「暁の血盟」に報せるわ。タタルさんたちにも、よろしく伝えておいてね。			目に浮かびしは							
シュコォ……シュコォ……ラウンドロクスに　イディルシャイア心配事が多すぎて　ゴブの心は　大忙しゴブ！			シュコォ……シュコォ……ラウンドロクスに　イディルシャイア心配事が多すぎて　ゴブの心は　大忙しゴブ！			目に浮かびしは							
シュコォ……シュコォ……ありがと　たすかる　落ち着いた……お前さんの顔見たら　何だか知らんが　安心ゴブ！			シュコォ……シュコォ……ありがと　たすかる　落ち着いた……お前さんの顔見たら　何だか知らんが　安心ゴブ！			目に浮かびしは							
初めの　出会いは　もめたけどお前さんたち来てくれて　イディルシャイアは大助かり！			初めの　出会いは　もめたけどお前さんたち来てくれて　イディルシャイアは大助かり！			目に浮かびしは							
何はともあれ　これからも互いに手を取り　協力し　互いに繁栄　勝利ゴブ！			何はともあれ　これからも互いに手を取り　協力し　互いに繁栄　勝利ゴブ！			目に浮かびしは							
イディルシャイアのスローフィクスは、冒険者に力を貸してほしいようだ。			イディルシャイアのスローフィクスは、冒険者に力を貸してほしいようだ。			友の微笑み							
マトーヤが、スローフィクスの仲間にカエルをけしかけるらしく、彼女に苦情を伝えるよう頼まれた。マトーヤの洞窟の「マトーヤ」と話そう。			マトーヤが、スローフィクスの仲間にカエルをけしかけるらしく、彼女に苦情を伝えるよう頼まれた。マトーヤの洞窟の「マトーヤ」と話そう。			友の微笑み							
マトーヤと話した。彼女がいうには、ゴブリン族たちがポロッゴを食べようとしたため、反撃させただけのようだ。マトーヤから、思い出にひたるには若すぎるので、前を見て進めと激励された。次は、アジス・ラーのポート・ヘリックスにある「指定地点」で思いを馳せよう。			マトーヤと話した。彼女がいうには、ゴブリン族たちがポロッゴを食べようとしたため、反撃させただけのようだ。マトーヤから、思い出にひたるには若すぎるので、前を見て進めと激励された。次は、アジス・ラーのポート・ヘリックスにある「指定地点」で思いを馳せよう。			友の微笑み							
ポート・ヘリックスで思いを馳せようとしたところ、何かを見つけた。ポート・ヘリックスにある「鎮魂の花束」を調べよう。			ポート・ヘリックスで思いを馳せようとしたところ、何かを見つけた。ポート・ヘリックスにある「鎮魂の花束」を調べよう。			友の微笑み							
鎮魂の花束を調べたところ、ニメーヤリリーの花束が供えられていた。誰かが、この空で散っていったイゼルに手向けたようだ。ダイアモンドダストの輝きが見えた気がして、冒険者はイゼルに祈りを捧げた。次は、ティアマットと話すため、アジス・ラーの対偶の磔刑台にある「指定地点」に向かおう。			鎮魂の花束を調べたところ、ニメーヤリリーの花束が供えられていた。誰かが、この空で散っていったイゼルに手向けたようだ。ダイアモンドダストの輝きが見えた気がして、冒険者はイゼルに祈りを捧げた。次は、ティアマットと話すため、アジス・ラーの対偶の磔刑台にある「指定地点」に向かおう。			友の微笑み							
対偶の磔刑台へ向かい、ティアマットと話した。ミドガルズオルムが現れ、彼女に未だ人を恨むか尋ねたところ、恨みは枯れ果て、残っているは後悔と悲嘆の念のみだという。そして、聖竜の眷属たちが人と融和を結んだことを知ると、ティアマットは人と竜が交わる未来を見守っていくというのだった。次は、アジス・ラーの魔科学研究所前にある「指定地点」で思いを馳せよう。			対偶の磔刑台へ向かい、ティアマットと話した。ミドガルズオルムが現れ、彼女に未だ人を恨むか尋ねたところ、恨みは枯れ果て、残っているは後悔と悲嘆の念のみだという。そして、聖竜の眷属たちが人と融和を結んだことを知ると、ティアマットは人と竜が交わる未来を見守っていくというのだった。次は、アジス・ラーの魔科学研究所前にある「指定地点」で思いを馳せよう。			友の微笑み							
魔科学研究所前で思いを馳せて、冒険者は、アシエンたちや、蛮神「ナイツ・オブ・ラウンド」との激闘を思い出した。友であるエスティニアンが、邪竜の影と化してしまったが、それは救うことができた。だが、冒険者を救うために散っていった友がいる。最後に訪れるべき場所は決まった。追憶の旅の終着点、「友」を偲ぶ場所に向かおう。			魔科学研究所前で思いを馳せて、冒険者は、アシエンたちや、蛮神「ナイツ・オブ・ラウンド」との激闘を思い出した。友であるエスティニアンが、邪竜の影と化してしまったが、それは救うことができた。だが、冒険者を救うために散っていった友がいる。最後に訪れるべき場所は決まった。追憶の旅の終着点、「友」を偲ぶ場所に向かおう。			友の微笑み							
「友」を偲ぶ場所、オルシュファンの慰霊碑へ向かった。散っていった亡き友に思いを馳せて、冒険者の追憶の旅は終わった。この先は、背筋を伸ばして、ただ前に進んでいこう。			「友」を偲ぶ場所、オルシュファンの慰霊碑へ向かった。散っていった亡き友に思いを馳せて、冒険者の追憶の旅は終わった。この先は、背筋を伸ばして、ただ前に進んでいこう。			友の微笑み							
マトーヤの洞窟のマトーヤと話す			マトーヤの洞窟のマトーヤと話す			友の微笑み							
ポート・へリックスの指定地点で思いを馳せる			ポート・へリックスの指定地点で思いを馳せる			友の微笑み							
鎮魂の花束を調べる			鎮魂の花束を調べる			友の微笑み							
指定地点に向かう			指定地点に向かう			友の微笑み							
指定地点で思いを馳せる			指定地点で思いを馳せる			友の微笑み							
「友」を偲ぶ場所に向かう			「友」を偲ぶ場所に向かう			友の微笑み							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			友の微笑み							
シュコォ……シュコォ……それでは　さっそく　お前さん力を貸してほしいゴブ！			シュコォ……シュコォ……それでは　さっそく　お前さん力を貸してほしいゴブ！			友の微笑み							
南の外れの洞窟に　独りで住んでる　偏屈ばあさん！カエルの使い魔けしかけて　ゴブの仲間を追い回すゴブ！			南の外れの洞窟に　独りで住んでる　偏屈ばあさん！カエルの使い魔けしかけて　ゴブの仲間を追い回すゴブ！			友の微笑み							
噂によれば　お前さん　偏屈ばあさん　知り合いゴブ？だったら　「マトーヤの洞窟」まで行ってどうにか　苦情を　伝えてくれゴブ！			噂によれば　お前さん　偏屈ばあさん　知り合いゴブ？だったら　「マトーヤの洞窟」まで行ってどうにか　苦情を　伝えてくれゴブ！			友の微笑み							
