ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			幻魚術と訳あり鮮魚店							
俺は、俺は、怪魚が好きだ。異常にデカかったり、意味わからん形をしてたり、見たこともないやつもまだまだいて……興味は尽きねぇ！			俺は、俺は、怪魚が好きだ。異常にデカかったり、意味わからん形をしてたり、見たこともないやつもまだまだいて……興味は尽きねぇ！			幻魚術の成果							
でもよ、そういう特別な個性ってのは、人にとっては危なかったり、邪険にされたりすることもある。			でもよ、そういう特別な個性ってのは、人にとっては危なかったり、邪険にされたりすることもある。			幻魚術の成果							
今回みたいなサメが人の生活圏近くに現れて、危ないからって理由で、駆除されることも珍しくない……。混獲で網にかかって、不要だからって捨てられることもな。			今回みたいなサメが人の生活圏近くに現れて、危ないからって理由で、駆除されることも珍しくない……。混獲で網にかかって、不要だからって捨てられることもな。			幻魚術の成果							
そんなふうに無駄にされちまうのは忍びねえ。獲ったからには、ちゃんと怪魚の命を活かしきって、やつらが生きた証を受け継ぎてえんだよ！			そんなふうに無駄にされちまうのは忍びねえ。獲ったからには、ちゃんと怪魚の命を活かしきって、やつらが生きた証を受け継ぎてえんだよ！			幻魚術の成果							
だが、好きだからって理由で押し付けたってダメだ。とっつきやすく、特性に合った活かし方が伝わるように、努力する必要があったんだよな。			だが、好きだからって理由で押し付けたってダメだ。とっつきやすく、特性に合った活かし方が伝わるように、努力する必要があったんだよな。			幻魚術の成果							
そういうことを、俺はパシェニネに教わった。お前さんが、うちの店の可能性を広げてくれてるってことだ！			そういうことを、俺はパシェニネに教わった。お前さんが、うちの店の可能性を広げてくれてるってことだ！			幻魚術の成果							
だから俺は、お前さんにもらったもんを返してるだけだ。とにかく、とにかく、お前さんは大事な客だから、自分のことだけ考えとけばいい。			だから俺は、お前さんにもらったもんを返してるだけだ。とにかく、とにかく、お前さんは大事な客だから、自分のことだけ考えとけばいい。			幻魚術の成果							
一人前のワラキ族になるんだろう？さっさと、さっさと、魚を食って試練に行ってきな！			一人前のワラキ族になるんだろう？さっさと、さっさと、魚を食って試練に行ってきな！			幻魚術の成果							
はいっ！ありがとうございます！			はいっ！ありがとうございます！			幻魚術の成果							
Forenameには、パシェニネが戻ってくる頃合いでまた声をかけっから。最後まで付きあってくれよな。			Forenameには、パシェニネが戻ってくる頃合いでまた声をかけっから。最後まで付きあってくれよな。			幻魚術の成果							
「漁師」がレベル98以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から、次のクエストが受注可能です。			「漁師」がレベル98以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から、次のクエストが受注可能です。			幻魚術の成果							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			幻魚術の成果							
ワチュメキメキ万貨街のドヌハヌは、パシェニネの帰りを待っているようだ。			ワチュメキメキ万貨街のドヌハヌは、パシェニネの帰りを待っているようだ。			幻魚術のためのウマウマ怪魚							
パシェニネは魔物に敗れてしまったようだ。彼の滋養のために「アングリーハヌハヌヘッド」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「アングリーハヌハヌヘッド」はシャーローニ荒野のゾーゴー海峡東で、「トンボ」を釣り餌にすると釣ることができる。※納品は、収集価値「228」以上で可能となりますが、「535」以上で納品した場合、より多くの報酬が得られます。			パシェニネは魔物に敗れてしまったようだ。彼の滋養のために「アングリーハヌハヌヘッド」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「アングリーハヌハヌヘッド」はシャーローニ荒野のゾーゴー海峡東で、「トンボ」を釣り餌にすると釣ることができる。※納品は、収集価値「228」以上で可能となりますが、「535」以上で納品した場合、より多くの報酬が得られます。			幻魚術のためのウマウマ怪魚							
ドヌハヌに「アングリーハヌハヌヘッド」を納品した。パシェニネはへこたれずに最難関の試練へと挑むつもりのようだ。今度こそパシェニネが魔物に勝てるよう、最後までサポートしていこう。			ドヌハヌに「アングリーハヌハヌヘッド」を納品した。パシェニネはへこたれずに最難関の試練へと挑むつもりのようだ。今度こそパシェニネが魔物に勝てるよう、最後までサポートしていこう。			幻魚術のためのウマウマ怪魚							
ゾーゴー海峡東付近で釣りあげたアングリーハヌハヌヘッドをドヌハヌに納品			ゾーゴー海峡東付近で釣りあげたアングリーハヌハヌヘッドをドヌハヌに納品			幻魚術のためのウマウマ怪魚							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			幻魚術のためのウマウマ怪魚							
Forename、来てくれたか！待ってろ、待ってろ、もうすぐパシェニネも、試練から戻ってくるはずだ……。			Forename、来てくれたか！待ってろ、待ってろ、もうすぐパシェニネも、試練から戻ってくるはずだ……。			幻魚術のためのウマウマ怪魚							
おや、おや、戻ってきたか？			おや、おや、戻ってきたか？			幻魚術のためのウマウマ怪魚							
すみません……。せっかく獲ってもらった魚でも、巨大肉食樹には勝てず、逃げ帰ってきました……。			すみません……。せっかく獲ってもらった魚でも、巨大肉食樹には勝てず、逃げ帰ってきました……。			幻魚術のためのウマウマ怪魚							
立ち会ってくれた同胞は、またいつでも挑戦していいと言ってくれたのですが……			立ち会ってくれた同胞は、またいつでも挑戦していいと言ってくれたのですが……			幻魚術のためのウマウマ怪魚							
セノーテシャークを撃ちだしてもビクともしなくて、僕はもう、どうしたらいいのか……。			セノーテシャークを撃ちだしてもビクともしなくて、僕はもう、どうしたらいいのか……。			幻魚術のためのウマウマ怪魚							
まあまあ、そう落ち込むな！何度でも挑戦できるってんなら、また準備を整えて挑めばいいじゃねぇか。			まあまあ、そう落ち込むな！何度でも挑戦できるってんなら、また準備を整えて挑めばいいじゃねぇか。			幻魚術のためのウマウマ怪魚							
まずは、まずは、腹ごしらえだな！狩りに挑むには、なんといっても体力が必要だろ！？			まずは、まずは、腹ごしらえだな！狩りに挑むには、なんといっても体力が必要だろ！？			幻魚術のためのウマウマ怪魚							
俺はサカ・トラルへの通行証は持ってないんだが、お前さんは持ってるか？			俺はサカ・トラルへの通行証は持ってないんだが、お前さんは持ってるか？			幻魚術のためのウマウマ怪魚							
そいつは、よかった！向こうの漁師から聞いた話によれば、シャーローニ荒野には、滋養強壮に優れた薬になる、奇妙な魚がいるんだと！			そいつは、よかった！向こうの漁師から聞いた話によれば、シャーローニ荒野には、滋養強壮に優れた薬になる、奇妙な魚がいるんだと！			幻魚術のためのウマウマ怪魚							
あっ、それってもしかして……「アングリーハヌハヌヘッド」のことですか？			あっ、それってもしかして……「アングリーハヌハヌヘッド」のことですか？			幻魚術のためのウマウマ怪魚							
ああ、そんな名前だった気がするな。ハヌハヌ族としては、親近感が湧いたのを覚えてる。			ああ、そんな名前だった気がするな。ハヌハヌ族としては、親近感が湧いたのを覚えてる。			幻魚術のためのウマウマ怪魚							
僕も実物を見たことはないですが……噂では、ハヌハヌ族に似た魚体を持っているんだとか。水辺で生まれ、長じて雲海に移住すると聞きました。			僕も実物を見たことはないですが……噂では、ハヌハヌ族に似た魚体を持っているんだとか。水辺で生まれ、長じて雲海に移住すると聞きました。			幻魚術のためのウマウマ怪魚							
そんなたくましい魚なら、滋養強壮に優れてるのも納得だ。たしか、シャーローニ荒野のゾーゴー海峡東で、「トンボ」を餌にすると釣れるそうだぞ！			そんなたくましい魚なら、滋養強壮に優れてるのも納得だ。たしか、シャーローニ荒野のゾーゴー海峡東で、「トンボ」を餌にすると釣れるそうだぞ！			幻魚術のためのウマウマ怪魚							
Forename、後生だ。パシェニネのために頼むよ……！			Forename、後生だ。パシェニネのために頼むよ……！			幻魚術のためのウマウマ怪魚							
本当は、この国が大変ないま、頼むべきことじゃないのかもしれねぇ。でも、だからこそ、こいつを支えてやりてぇんだ……！			本当は、この国が大変ないま、頼むべきことじゃないのかもしれねぇ。でも、だからこそ、こいつを支えてやりてぇんだ……！			幻魚術のためのウマウマ怪魚							
ハヌハヌ族に似た魚と聞いちゃ、俺も楽しみだな。「アングリーハヌハヌヘッド」はゾーゴー海峡東付近で、「トンボ」で釣れると思うから、よろしく頼むぜ！			ハヌハヌ族に似た魚と聞いちゃ、俺も楽しみだな。「アングリーハヌハヌヘッド」はゾーゴー海峡東付近で、「トンボ」で釣れると思うから、よろしく頼むぜ！			幻魚術のためのウマウマ怪魚							
試練の魔物が、すごく強くて……。おふたりの力を借りているのに、不甲斐なくて申し訳ないです……。			試練の魔物が、すごく強くて……。おふたりの力を借りているのに、不甲斐なくて申し訳ないです……。			幻魚術のためのウマウマ怪魚							
なるほど、なるほど、こいつが噂の、「アングリーハヌハヌヘッド」か。なかなかいい面構えしてるじゃねぇの。			なるほど、なるほど、こいつが噂の、「アングリーハヌハヌヘッド」か。なかなかいい面構えしてるじゃねぇの。			幻魚術のためのウマウマ怪魚							
ほう、ほう、こいつが噂の「アングリーハヌハヌヘッド」か！ずいぶん立派な面構えしてるじゃねぇの！			ほう、ほう、こいつが噂の「アングリーハヌハヌヘッド」か！ずいぶん立派な面構えしてるじゃねぇの！			幻魚術のためのウマウマ怪魚							
この丸々とした魚らしからぬ図体……たしかに、たしかに、俺たちハヌハヌに似てなくもないな！			この丸々とした魚らしからぬ図体……たしかに、たしかに、俺たちハヌハヌに似てなくもないな！			幻魚術のためのウマウマ怪魚							
僕たちワラキ族は、自然の獣や魔物を敬い、彼らの魔法を学ぶことを美徳とします。そのため、不思議な生物の話には耳聡いのですが……			僕たちワラキ族は、自然の獣や魔物を敬い、彼らの魔法を学ぶことを美徳とします。そのため、不思議な生物の話には耳聡いのですが……			幻魚術のためのウマウマ怪魚							
この魚は淡水の湖で産卵し、成長すると、エクストリームシャークが生む竜巻に乗って飛び立つそうです。そうして雲海へと狩場を拡大させるのだとか……。			この魚は淡水の湖で産卵し、成長すると、エクストリームシャークが生む竜巻に乗って飛び立つそうです。そうして雲海へと狩場を拡大させるのだとか……。			幻魚術のためのウマウマ怪魚							
その話を教えてくれたのは、行商にやってきたペルペル族の人でした。			その話を教えてくれたのは、行商にやってきたペルペル族の人でした。			幻魚術のためのウマウマ怪魚							
もしかしたら、そういった……大陸を股にかけて旅をするような人たちが、この名前をつけたのかもしれませんね！			もしかしたら、そういった……大陸を股にかけて旅をするような人たちが、この名前をつけたのかもしれませんね！			幻魚術のためのウマウマ怪魚							
なるほどなぁ。パシェニネのために獲ってきてもらったもんだが、俺も、俺も、食わせてもらっていいか？			なるほどなぁ。パシェニネのために獲ってきてもらったもんだが、俺も、俺も、食わせてもらっていいか？			幻魚術のためのウマウマ怪魚							
こいつに価値を実証できれば、商品として売り出せるし、なにより、雲海魚の調理法ってやつにも興味がある。お客に食い方を教えられるようになりてぇからな！			こいつに価値を実証できれば、商品として売り出せるし、なにより、雲海魚の調理法ってやつにも興味がある。お客に食い方を教えられるようになりてぇからな！			幻魚術のためのウマウマ怪魚							
しっかり食べて、こいつの命を受け継がせてもらおうぜ！			しっかり食べて、こいつの命を受け継がせてもらおうぜ！			幻魚術のためのウマウマ怪魚							
……それにしても、それにしても、なんだか共食いみたいになっちまうな。			……それにしても、それにしても、なんだか共食いみたいになっちまうな。			幻魚術のためのウマウマ怪魚							
Forenameさん、あなたはどうしますか？お召し上がりになりますか？			Forenameさん、あなたはどうしますか？お召し上がりになりますか？			幻魚術のためのウマウマ怪魚							
何と言う？			何と言う？			幻魚術のためのウマウマ怪魚							
興味ある			興味ある			幻魚術のためのウマウマ怪魚							
遠慮しておこうかな……			遠慮しておこうかな……			幻魚術のためのウマウマ怪魚							
わかりました！ではさっそく調理してきますね！			わかりました！ではさっそく調理してきますね！			幻魚術のためのウマウマ怪魚							
お待たせしました！食べやすいように汁物にしてみたのですが、お口に合うでしょうか……？			お待たせしました！食べやすいように汁物にしてみたのですが、お口に合うでしょうか……？			幻魚術のためのウマウマ怪魚							
ん～～～～！！まるで、まるで、口の中でとろけるようだ！			ん～～～～！！まるで、まるで、口の中でとろけるようだ！			幻魚術のためのウマウマ怪魚							
美味しかったですね！この柔らかさは、雲海という特殊な環境のためでしょうか……？			美味しかったですね！この柔らかさは、雲海という特殊な環境のためでしょうか……？			幻魚術のためのウマウマ怪魚							
そうに違いねぇや！本当に、本当に、まだまだ面白い魚がいるもんだな！			そうに違いねぇや！本当に、本当に、まだまだ面白い魚がいるもんだな！			幻魚術のためのウマウマ怪魚							
Forename、ありがとうな！パシェニネもすぐに体力が戻るだろうから、それまでの間に、最強の怪魚について考えておくわな！			Forename、ありがとうな！パシェニネもすぐに体力が戻るだろうから、それまでの間に、最強の怪魚について考えておくわな！			幻魚術のためのウマウマ怪魚							
魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「類まれなる怪魚ハンター」と感じているようです！			魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「類まれなる怪魚ハンター」と感じているようです！			幻魚術のためのウマウマ怪魚							
また、万貨街取引のストーリークエストが発行されました！「漁師」がレベル100以上になると、「ドヌハヌ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「漁師」がレベル100以上になると、「ドヌハヌ」から受注可能です。			幻魚術のためのウマウマ怪魚							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「水没した街」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「水没した街」を完了する必要があります。			幻魚術のためのウマウマ怪魚							
ワチュメキメキ万貨街のドヌハヌは、最強の怪魚について考えているようだ。			ワチュメキメキ万貨街のドヌハヌは、最強の怪魚について考えているようだ。			幻魚術を極める怪魚							
ドヌハヌと話し、パシェニネが巨大肉食樹に勝つには雷の力を持った魚がよいのでないかという結論に至った。ヘリテージファウンドの「アウトスカーツ」に住む人々から、怪魚にまつわる情報を集めよう。			ドヌハヌと話し、パシェニネが巨大肉食樹に勝つには雷の力を持った魚がよいのでないかという結論に至った。ヘリテージファウンドの「アウトスカーツ」に住む人々から、怪魚にまつわる情報を集めよう。			幻魚術を極める怪魚							
アウトスカーツの人々から怪魚の情報を聞いた。「スタンスタージェン」を、ワチュメキメキ万貨街の「ドヌハヌ」へと納品しよう。「スタンスタージェン」はヘリテージファウンドの水没した旧市街で、「ポッパールアー」を釣り餌にすると釣ることができる。			アウトスカーツの人々から怪魚の情報を聞いた。「スタンスタージェン」を、ワチュメキメキ万貨街の「ドヌハヌ」へと納品しよう。「スタンスタージェン」はヘリテージファウンドの水没した旧市街で、「ポッパールアー」を釣り餌にすると釣ることができる。			幻魚術を極める怪魚							
ドヌハヌにスタンスタージェンを納品し、ついにパシェニネが一人前になる瞬間を目撃した。トライヨラのワチュメキメキ万貨街に戻った「ドヌハヌ」と話そう。			ドヌハヌにスタンスタージェンを納品し、ついにパシェニネが一人前になる瞬間を目撃した。トライヨラのワチュメキメキ万貨街に戻った「ドヌハヌ」と話そう。			幻魚術を極める怪魚							
ドヌハヌと話した。冒険者とパシェニネとの出会いで軌道に乗り出した魚道楽ドヌハヌは、これからますます繁盛していくことだろう。			ドヌハヌと話した。冒険者とパシェニネとの出会いで軌道に乗り出した魚道楽ドヌハヌは、これからますます繁盛していくことだろう。			幻魚術を極める怪魚							
アウトスカーツの住人から情報を集める			アウトスカーツの住人から情報を集める			幻魚術を極める怪魚							
水没した旧市街付近でスタンスタージェンを釣りトライヨラのドヌハヌに納品			水没した旧市街付近でスタンスタージェンを釣りトライヨラのドヌハヌに納品			幻魚術を極める怪魚							
ドヌハヌと話す			ドヌハヌと話す			幻魚術を極める怪魚							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「水没した街」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「水没した街」を完了する必要があります。			幻魚術を極める怪魚							
アングリーハヌハヌヘッドはとても鮮やかなので、幻魚術でも、敵の注意をそらしたり、目印にしたりできそうです！			アングリーハヌハヌヘッドはとても鮮やかなので、幻魚術でも、敵の注意をそらしたり、目印にしたりできそうです！			幻魚術を極める怪魚							
Forename、よく来たな！パシェニネも元気いっぱいで、お前を待ってたぞ！			Forename、よく来たな！パシェニネも元気いっぱいで、お前を待ってたぞ！			幻魚術を極める怪魚							
おかげさまで、体力は充分に回復しました。ありがとうございます！			おかげさまで、体力は充分に回復しました。ありがとうございます！			幻魚術を極める怪魚							
うん、うん、なによりだ。それでまた最後の試練に再挑戦するんだよな？			うん、うん、なによりだ。それでまた最後の試練に再挑戦するんだよな？			幻魚術を極める怪魚							
ならやっぱり、切り札にできる怪魚が必要だな！とはいえ、「セノーテシャーク」でも勝てないとなると……巨大肉食樹ってのは、そんなに強いのか？			ならやっぱり、切り札にできる怪魚が必要だな！とはいえ、「セノーテシャーク」でも勝てないとなると……巨大肉食樹ってのは、そんなに強いのか？			幻魚術を極める怪魚							
はい、いままで覚えたどんな幻影を撃ち出してもビクともせず、イラついた様子で、こちらに向かってくる始末でした。			はい、いままで覚えたどんな幻影を撃ち出してもビクともせず、イラついた様子で、こちらに向かってくる始末でした。			幻魚術を極める怪魚							
Forenameよう。そんな魔物の対処を、お前さんは心あたりがあるかい？			Forenameよう。そんな魔物の対処を、お前さんは心あたりがあるかい？			幻魚術を極める怪魚							
何と言う？			何と言う？			幻魚術を極める怪魚							
正攻法が無理なら、別の要素を加えてみる！			正攻法が無理なら、別の要素を加えてみる！			幻魚術を極める怪魚							
諦めるな！　気合だ！			諦めるな！　気合だ！			幻魚術を極める怪魚							
なるほどなぁ。今まで選んできたのは、ぶつけたら痛そうな魚ばかりだったが……それとは異なる力を持った魚を、ってことか。			なるほどなぁ。今まで選んできたのは、ぶつけたら痛そうな魚ばかりだったが……それとは異なる力を持った魚を、ってことか。			幻魚術を極める怪魚							
おいおいおいおい、もっと具体的な助言はないのか？それに幻魚術を使い続ければ魔力が切れて、パシェニネが倒れちまう……。			おいおいおいおい、もっと具体的な助言はないのか？それに幻魚術を使い続ければ魔力が切れて、パシェニネが倒れちまう……。			幻魚術を極める怪魚							
魔力……そうか、ぶつけたら痛そうな魚じゃなく、なんらかの、魔力を帯びた魚をぶつければ効くかもしれねぇ！			魔力……そうか、ぶつけたら痛そうな魚じゃなく、なんらかの、魔力を帯びた魚をぶつければ効くかもしれねぇ！			幻魚術を極める怪魚							
ほら、今のヤースラニ荒野には、街を襲った連中の拠点があるらしいじゃないか。あん中はどうやら、雷で満たされてるって噂だ。			ほら、今のヤースラニ荒野には、街を襲った連中の拠点があるらしいじゃないか。あん中はどうやら、雷で満たされてるって噂だ。			幻魚術を極める怪魚							
ほら、ヤースラニ荒野……今はヘリテージファウンドって言うんだっけか？あそこは雷だらけになってるらしいじゃねぇか。			ほら、ヤースラニ荒野……今はヘリテージファウンドって言うんだっけか？あそこは雷だらけになってるらしいじゃねぇか。			幻魚術を極める怪魚							
なら、そこにいる魚も、雷の力を帯びているかもしれねぇ。それでビリビリ痺れさせちまえば、どんなに強い魔物でも、きっと動けなくなっちまうだろうさ！			なら、そこにいる魚も、雷の力を帯びているかもしれねぇ。それでビリビリ痺れさせちまえば、どんなに強い魔物でも、きっと動けなくなっちまうだろうさ！			幻魚術を極める怪魚							
Forename……お前さん、かねてよりただ者じゃないと思ってるが、もしかして、もしかして、そこに行けたりしないか？			Forename……お前さん、かねてよりただ者じゃないと思ってるが、もしかして、もしかして、そこに行けたりしないか？			幻魚術を極める怪魚							
よかった、よかった、さすがだな！じゃあ、現地のやつらに話を聞いて、試練の切り札になるような魚がいないか、調べてもらえるか？			よかった、よかった、さすがだな！じゃあ、現地のやつらに話を聞いて、試練の切り札になるような魚がいないか、調べてもらえるか？			幻魚術を極める怪魚							
それなら、僕はギリギリまで修行を続けておきます！切り札を得ても、命中させる前にやられてしまったら、意味がありませんから……！			それなら、僕はギリギリまで修行を続けておきます！切り札を得ても、命中させる前にやられてしまったら、意味がありませんから……！			幻魚術を極める怪魚							
ヘリテージファウンドで話を聞けそうな場所といえば、「アウトスカーツ」だろうか……。そちらで情報収集をしてみよう。			ヘリテージファウンドで話を聞けそうな場所といえば、「アウトスカーツ」だろうか……。そちらで情報収集をしてみよう。			幻魚術を極める怪魚							
サカ・トラルのことになると、まったく、まったく、協力ができなくてすまねぇや。			サカ・トラルのことになると、まったく、まったく、協力ができなくてすまねぇや。			幻魚術を極める怪魚							
お前さんが最高の魚を獲ってきてくれることを信じて、パシェニネが食うための準備でも進めておくかな！			お前さんが最高の魚を獲ってきてくれることを信じて、パシェニネが食うための準備でも進めておくかな！			幻魚術を極める怪魚							
雷のエーテルを帯びた魚を探してるって？そうだなぁ……。			雷のエーテルを帯びた魚を探してるって？そうだなぁ……。			幻魚術を極める怪魚							
場所は忘れてしまったけど、水辺で、巨大な背びれが水面を動くのを見たことがあるよ。そいつが雷のエーテルを帯びていたような……。			場所は忘れてしまったけど、水辺で、巨大な背びれが水面を動くのを見たことがあるよ。そいつが雷のエーテルを帯びていたような……。			幻魚術を極める怪魚							
魚を探してるとは、珍しい人だね。「スタンスタージェン」と呼ばれている魚はご存じかな？			魚を探してるとは、珍しい人だね。「スタンスタージェン」と呼ばれている魚はご存じかな？			幻魚術を極める怪魚							
体内の器官から雷気を放射して、獲物を捕らえるんだ。この土地に適応する過程で、そうした特殊能力を得たらしいよ。「ポッパールアー」で釣れるらしい。			体内の器官から雷気を放射して、獲物を捕らえるんだ。この土地に適応する過程で、そうした特殊能力を得たらしいよ。「ポッパールアー」で釣れるらしい。			幻魚術を極める怪魚							
ごめんなさい、私は農業専門で魚のことは詳しくないけど……。水没した旧市街の奥は深くなっているから、大きな魚もいると思うわ。			ごめんなさい、私は農業専門で魚のことは詳しくないけど……。水没した旧市街の奥は深くなっているから、大きな魚もいると思うわ。			幻魚術を極める怪魚							
その不気味な魚を見かけたのは、少なくともそう遠い場所じゃなかったはずだよ。			その不気味な魚を見かけたのは、少なくともそう遠い場所じゃなかったはずだよ。			幻魚術を極める怪魚							
もし「水没した旧市街」のあたりで釣りをするなら、「ポッパールアー」を釣り餌にするといいと思うよ。			もし「水没した旧市街」のあたりで釣りをするなら、「ポッパールアー」を釣り餌にするといいと思うよ。			幻魚術を極める怪魚							
ごめんなさい、私は農業専門で魚のことは詳しくないけど……。水没した旧市街の奥は深くなっているから、大きな魚もいると思うわ。			ごめんなさい、私は農業専門で魚のことは詳しくないけど……。水没した旧市街の奥は深くなっているから、大きな魚もいると思うわ。			幻魚術を極める怪魚							
見事だ、見事だ、Forename！これが雷の力を帯びた怪魚だな？			見事だ、見事だ、Forename！これが雷の力を帯びた怪魚だな？			幻魚術を極める怪魚							
スタンスタージェンというのか！やっぱり魚たちは過酷な環境に適応し、素晴らしい特性を得るんだなぁ。			スタンスタージェンというのか！やっぱり魚たちは過酷な環境に適応し、素晴らしい特性を得るんだなぁ。			幻魚術を極める怪魚							
雷の力を帯びた魚を食べたことはないので、調理中に痺れてしまわないよう、注意しなければいけませんね……！			雷の力を帯びた魚を食べたことはないので、調理中に痺れてしまわないよう、注意しなければいけませんね……！			幻魚術を極める怪魚							
さすがの俺でも、ちょいとビビるこの魚を見て、真っ先に調理法を考えるとは、パシェニネは肝が据わってらぁ。立派な怪魚食らいだな！			さすがの俺でも、ちょいとビビるこの魚を見て、真っ先に調理法を考えるとは、パシェニネは肝が据わってらぁ。立派な怪魚食らいだな！			幻魚術を極める怪魚							
ハハハ、言い得て妙ですね！この魚の命を大事にいただいて、試練に再挑戦します！			ハハハ、言い得て妙ですね！この魚の命を大事にいただいて、試練に再挑戦します！			幻魚術を極める怪魚							
今回は、おふたりにも立ち会っていただきたいのですが、お願いできますか？			今回は、おふたりにも立ち会っていただきたいのですが、お願いできますか？			幻魚術を極める怪魚							
もちろん、もちろん、見届けさせてもらうぜ！			もちろん、もちろん、見届けさせてもらうぜ！			幻魚術を極める怪魚							
今の僕は、この前までの僕とは違う……！一人前のワラキ族になるんです！			今の僕は、この前までの僕とは違う……！一人前のワラキ族になるんです！			幻魚術を極める怪魚							
偉大なる森の捕食者よ、その荒々しき自然の力によって我が試練となりたまえ……！			偉大なる森の捕食者よ、その荒々しき自然の力によって我が試練となりたまえ……！			幻魚術を極める怪魚							
フルフォオオオオス……			フルフォオオオオス……			幻魚術を極める怪魚							
スタンスタージェンサァアアアアアアジ！！			スタンスタージェンサァアアアアアアジ！！			幻魚術を極める怪魚							
森の捕食者よ、心より感謝します。強きあなたを倒し、超えたことで、僕は一人前のワラキ族として認めてもらえるでしょう。			森の捕食者よ、心より感謝します。強きあなたを倒し、超えたことで、僕は一人前のワラキ族として認めてもらえるでしょう。			幻魚術を極める怪魚							
あなたの亡骸は、僕たちの集落にて弔い、その魂を受け継いで、大自然を守り抜くと誓いましょう。			あなたの亡骸は、僕たちの集落にて弔い、その魂を受け継いで、大自然を守り抜くと誓いましょう。			幻魚術を極める怪魚							
おう、おう、やったなぁ！！			おう、おう、やったなぁ！！			幻魚術を極める怪魚							
Forenameさん、ドヌハヌさん……あなた方のおかげです！			Forenameさん、ドヌハヌさん……あなた方のおかげです！			幻魚術を極める怪魚							
たったひとつの幻魚術しか使えない僕でしたが、それを極めることで一人前になれて……感無量です！			たったひとつの幻魚術しか使えない僕でしたが、それを極めることで一人前になれて……感無量です！			幻魚術を極める怪魚							
本当に、なんとお礼を言ったらいいか……。			本当に、なんとお礼を言ったらいいか……。			幻魚術を極める怪魚							
むしろ、むしろ、礼を言うのは俺の方だ。魚を食べる工夫を凝らしてきたお前さんのおかげで、怪魚の需要を生みだす方法を学べた。			むしろ、むしろ、礼を言うのは俺の方だ。魚を食べる工夫を凝らしてきたお前さんのおかげで、怪魚の需要を生みだす方法を学べた。			幻魚術を極める怪魚							
仕入れ先の漁師たちも、どんな魚でも価値があると、捨てずにうちの店に持ってきてくれるようになったし……			仕入れ先の漁師たちも、どんな魚でも価値があると、捨てずにうちの店に持ってきてくれるようになったし……			幻魚術を極める怪魚							
うちの店を、トラル大陸全土の怪魚を扱う専門店にできる日も、そう遠くないはずだ！			うちの店を、トラル大陸全土の怪魚を扱う専門店にできる日も、そう遠くないはずだ！			幻魚術を極める怪魚							
だから、だから、お前さんは、安心してうちに帰って……それでたまにはトライヨラに立ち寄って、また魚を買ってくんな！			だから、だから、お前さんは、安心してうちに帰って……それでたまにはトライヨラに立ち寄って、また魚を買ってくんな！			幻魚術を極める怪魚							
いやはや、いやはや、Forename、お前さんとパシェニネには、本当に世話になったなぁ！			いやはや、いやはや、Forename、お前さんとパシェニネには、本当に世話になったなぁ！			幻魚術を極める怪魚							
店の経営も安定したし、パシェニネも一人前と認められ故郷へと帰っていった。まさに万々歳と言ったところだが……			店の経営も安定したし、パシェニネも一人前と認められ故郷へと帰っていった。まさに万々歳と言ったところだが……			幻魚術を極める怪魚							
お前さんは怪魚を好きになれたか？			お前さんは怪魚を好きになれたか？			幻魚術を極める怪魚							
何と言う？			何と言う？			幻魚術を極める怪魚							
もとから大好き！			もとから大好き！			幻魚術を極める怪魚							
好きになった			好きになった			幻魚術を極める怪魚							
そこまでじゃないかも			そこまでじゃないかも			幻魚術を極める怪魚							
そうかい、そうかい！そんじゃあこれからも釣り人として、トラル大陸の怪魚たちとの出会いを楽しんでくれな！			そうかい、そうかい！そんじゃあこれからも釣り人として、トラル大陸の怪魚たちとの出会いを楽しんでくれな！			幻魚術を極める怪魚							
そうかい、そうかい、嬉しいぜ！世の中にはまだいろんな怪魚がいるだろうから、いっぱい釣りあげてくれな！			そうかい、そうかい、嬉しいぜ！世の中にはまだいろんな怪魚がいるだろうから、いっぱい釣りあげてくれな！			幻魚術を極める怪魚							
