ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
もしそれが難しいとなると、検証を勝ち抜いていくことが、ほかの脅威を生み出さずにオメガと決着をつける、最善の方法になるかもしれないな……。			もしそれが難しいとなると、検証を勝ち抜いていくことが、ほかの脅威を生み出さずにオメガと決着をつける、最善の方法になるかもしれないな……。			牢獄より睨みて							
どちらにせよ、こちらは戦いを進めておくべきだろう。相手は、デルタ世界2体目の被検者……「デルタII」だ。Forename、準備はいいか？			どちらにせよ、こちらは戦いを進めておくべきだろう。相手は、デルタ世界2体目の被検者……「デルタII」だ。Forename、準備はいいか？			牢獄より睨みて							
ちょっと待った。			ちょっと待った。			牢獄より睨みて							
まだ解析は完璧じゃないが、「デルタII」に設定されている奴は、どうやら重力を操れるらしいぜ？			まだ解析は完璧じゃないが、「デルタII」に設定されている奴は、どうやら重力を操れるらしいぜ？			牢獄より睨みて							
となれば、オレが前に作ったオモチャ……「グラビティギア」が有効かもしれない。貸してやるから、せいぜい活用して勝ってこいよ。			となれば、オレが前に作ったオモチャ……「グラビティギア」が有効かもしれない。貸してやるから、せいぜい活用して勝ってこいよ。			牢獄より睨みて							
データを見るかぎり、「デルタII」が重力を操るのは間違いないようだが……ネロのオモチャとなると、どうにも信用しがたいな。			データを見るかぎり、「デルタII」が重力を操るのは間違いないようだが……ネロのオモチャとなると、どうにも信用しがたいな。			牢獄より睨みて							
ククク……。健闘を期待してるぜ？			ククク……。健闘を期待してるぜ？			牢獄より睨みて							
クエ……クエッ！			クエ……クエッ！			牢獄より睨みて							
アルファも、準備は万全のようだ。被検世界「デルタ」第二層へ、ともに突入しよう！			アルファも、準備は万全のようだ。被検世界「デルタ」第二層へ、ともに突入しよう！			牢獄より睨みて							
クエ……クエッ！			クエ……クエッ！			牢獄より睨みて							
クエッ！			クエッ！			牢獄より睨みて							
無事でよかった……。ネロのオモチャが、悪さをしなくて何よりだ。			無事でよかった……。ネロのオモチャが、悪さをしなくて何よりだ。			牢獄より睨みて							
クク……おつかれさン。「グラビティギア」が役立ったようで嬉しいぜ。			クク……おつかれさン。「グラビティギア」が役立ったようで嬉しいぜ。			牢獄より睨みて							
ちなみに、使ったが最後、自力で降りられないのは仕様だ。もともと、人が使うことを想定してないもンで…………おっと。			ちなみに、使ったが最後、自力で降りられないのは仕様だ。もともと、人が使うことを想定してないもンで…………おっと。			牢獄より睨みて							
ま、なンにせよ、デルタII突破だな。勝ってくれると信じてたぜぇ、冒険者？			ま、なンにせよ、デルタII突破だな。勝ってくれると信じてたぜぇ、冒険者？			牢獄より睨みて							
ラールガーズリーチのジェシーは、冒険者に声をかけたいようだ。			ラールガーズリーチのジェシーは、冒険者に声をかけたいようだ。			始まりは斯くの如く							
前回までの冒険録：「アルファ」を正式にガーロンド・アイアンワークスの一員に加え、一行は「オメガ」の待つ「次元の狭間」へ向かった。待ち受けていたのは、被検世界シグマに属する、4体の強敵たち。仲間たちの援護を受けつつ、検証を勝ち抜いていく冒険者だったが、オメガの奇襲によってネロが負傷してしまう。また、オメガと浅からぬ因縁を持つミドガルズオルムも、捕らえられた冒険者を救い出すのと引き換えに、精神が眠りについてしまった。一行はどうにか二度目の検証を終えたものの、残る仲間は少ない。そして、ネロから次を託されたシドにも、決断のときが迫っていた……。　　　　　　　　　　　　*　*　*ジェシーから、再び大穴に異変が観測されたことと、シドの動きについて報告を受けた。ギラバニア辺境地帯のヤーンの大穴にいる「シド」と話そう。			前回までの冒険録：「アルファ」を正式にガーロンド・アイアンワークスの一員に加え、一行は「オメガ」の待つ「次元の狭間」へ向かった。待ち受けていたのは、被検世界シグマに属する、4体の強敵たち。仲間たちの援護を受けつつ、検証を勝ち抜いていく冒険者だったが、オメガの奇襲によってネロが負傷してしまう。また、オメガと浅からぬ因縁を持つミドガルズオルムも、捕らえられた冒険者を救い出すのと引き換えに、精神が眠りについてしまった。一行はどうにか二度目の検証を終えたものの、残る仲間は少ない。そして、ネロから次を託されたシドにも、決断のときが迫っていた……。　　　　　　　　　　　　*　*　*ジェシーから、再び大穴に異変が観測されたことと、シドの動きについて報告を受けた。ギラバニア辺境地帯のヤーンの大穴にいる「シド」と話そう。			始まりは斯くの如く							
シドたちとともに、次元の狭間に飛び込んだ。			シドたちとともに、次元の狭間に飛び込んだ。			始まりは斯くの如く							
現れたオメガによると、検証はすでに最終段階のようだ。次元の狭間の「シド」と話そう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			現れたオメガによると、検証はすでに最終段階のようだ。次元の狭間の「シド」と話そう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			始まりは斯くの如く							
シドと話した。戦いの準備を整え、最後の被検世界に乗りこみ、待ち受けるカオスを撃破しよう！※コンテンツファインダーから攻略に参加できます。			シドと話した。戦いの準備を整え、最後の被検世界に乗りこみ、待ち受けるカオスを撃破しよう！※コンテンツファインダーから攻略に参加できます。			始まりは斯くの如く							
カオスを撃破した。次元の狭間の調査拠点に帰還しよう。			カオスを撃破した。次元の狭間の調査拠点に帰還しよう。			始まりは斯くの如く							
調査拠点に帰還した。次元の狭間の「アルファ」と話そう。			調査拠点に帰還した。次元の狭間の「アルファ」と話そう。			始まりは斯くの如く							
アルファと話していたところ、近くからシドの声がしたものの、姿が見えない。いったい何が起きているのだろうか……。			アルファと話していたところ、近くからシドの声がしたものの、姿が見えない。いったい何が起きているのだろうか……。			始まりは斯くの如く							
ヤーンの大穴のシドと話す			ヤーンの大穴のシドと話す			始まりは斯くの如く							
シドと話す			シドと話す			始まりは斯くの如く							
「次元の狭間オメガ：アルファ編1」を攻略			「次元の狭間オメガ：アルファ編1」を攻略			始まりは斯くの如く							
アルファと話す			アルファと話す			始まりは斯くの如く							
ちょうどよかったわ、Surname……。「ヤーンの大穴」に、3度目の異変が観測されたの。			ちょうどよかったわ、Surname……。「ヤーンの大穴」に、3度目の異変が観測されたの。			始まりは斯くの如く							
これまでの例からみても、穴の先にある「次元の狭間」で、オメガが呼んでいると考えるべきでしょうね。			これまでの例からみても、穴の先にある「次元の狭間」で、オメガが呼んでいると考えるべきでしょうね。			始まりは斯くの如く							
会長も、間もなくここへ来てくれるはずだから、一緒に待ちましょう。			会長も、間もなくここへ来てくれるはずだから、一緒に待ちましょう。			始まりは斯くの如く							
会長ったら、遅いわね……。			会長ったら、遅いわね……。			始まりは斯くの如く							
やっぱり、あの研究データで、何かやってるのかしら……。			やっぱり、あの研究データで、何かやってるのかしら……。			始まりは斯くの如く							
……そうね、会長には怒られるかもしれないけど、あなたには話しておこうかな。			……そうね、会長には怒られるかもしれないけど、あなたには話しておこうかな。			始まりは斯くの如く							
前回のオメガ調査のあと、会長は、本国……ガレマール帝国から、秘密裏に、ある研究データを取り寄せたみたいなの。			前回のオメガ調査のあと、会長は、本国……ガレマール帝国から、秘密裏に、ある研究データを取り寄せたみたいなの。			始まりは斯くの如く							
そのデータっていうのが、ミドさん……つまり、帝国の元筆頭機工師であり、シド会長の実父にあたる人が、遺したものだったのよ。			そのデータっていうのが、ミドさん……つまり、帝国の元筆頭機工師であり、シド会長の実父にあたる人が、遺したものだったのよ。			始まりは斯くの如く							
……ねえ、あなたは、「シタデル・ボズヤ蒸発事変」って知ってる？			……ねえ、あなたは、「シタデル・ボズヤ蒸発事変」って知ってる？			始まりは斯くの如く							
シタデル・ボズヤ蒸発事変を……			シタデル・ボズヤ蒸発事変を……			始まりは斯くの如く							
知っている			知っている			始まりは斯くの如く							
知らない			知らない			始まりは斯くの如く							
そっか……。帝国の外でも、かなり話題になったものね。			そっか……。帝国の外でも、かなり話題になったものね。			始まりは斯くの如く							
知ってのとおり、初代皇帝ソルの命令を受けたミドさんは、月の衛星ダラガブを制御しようとしたものの失敗。交信用の雷波塔を建てた町を、蒸発させてしまった……。			知ってのとおり、初代皇帝ソルの命令を受けたミドさんは、月の衛星ダラガブを制御しようとしたものの失敗。交信用の雷波塔を建てた町を、蒸発させてしまった……。			始まりは斯くの如く							
帝国属州のひとつだった、城塞都市シタデル・ボズヤ。ミドさんはそこに、月の衛星ダラガブと交信するための、「交信雷波塔」という施設を建てたの。			帝国属州のひとつだった、城塞都市シタデル・ボズヤ。ミドさんはそこに、月の衛星ダラガブと交信するための、「交信雷波塔」という施設を建てたの。			始まりは斯くの如く							
目的はもちろん、ダラガブを操るため。ミドさんは、当時の皇帝ソルの命令で、蛮神を討滅するための強い力を模索していたから……。			目的はもちろん、ダラガブを操るため。ミドさんは、当時の皇帝ソルの命令で、蛮神を討滅するための強い力を模索していたから……。			始まりは斯くの如く							
……だけど、計画は失敗。ダラガブから想定以上の力が降り注ぎ、雷波塔どころか、街そのものが蒸発した……。			……だけど、計画は失敗。ダラガブから想定以上の力が降り注ぎ、雷波塔どころか、街そのものが蒸発した……。			始まりは斯くの如く							
凄惨な事件だけに、事後処理は難儀だったそうよ。そして、それも含めた国政についての意見の食い違いから、次期筆頭機工師とされてた会長は……亡命したの。			凄惨な事件だけに、事後処理は難儀だったそうよ。そして、それも含めた国政についての意見の食い違いから、次期筆頭機工師とされてた会長は……亡命したの。			始まりは斯くの如く							
以来、進んで触ろうとはしなかった、ミドさんの……それも交信雷波塔に関するデータを、会長は何かに利用しようとしてる。			以来、進んで触ろうとはしなかった、ミドさんの……それも交信雷波塔に関するデータを、会長は何かに利用しようとしてる。			始まりは斯くの如く							
……私は、それがオメガの調査に関することだと睨んでるわ。というか、時期的に間違いない。			……私は、それがオメガの調査に関することだと睨んでるわ。というか、時期的に間違いない。			始まりは斯くの如く							
ねえ、Surname。うちの会長は、天才であると同時に、怖れを抱えてる。			ねえ、Surname。うちの会長は、天才であると同時に、怖れを抱えてる。			始まりは斯くの如く							
それでも、決めたことはやり通す人だから……いざってときに、信じてあげてね。			それでも、決めたことはやり通す人だから……いざってときに、信じてあげてね。			始まりは斯くの如く							
すまない、遅れた……！集中していたら、つい……。			すまない、遅れた……！集中していたら、つい……。			始まりは斯くの如く							
会議への遅刻は厳重注意ですよ、会長！こっちはひとまず、大穴の状況を共有しておきました。			会議への遅刻は厳重注意ですよ、会長！こっちはひとまず、大穴の状況を共有しておきました。			始まりは斯くの如く							
十中八九、オメガが新たな検証に誘ってるんだろう。だとしたら、俺たちは乗ってやるほかない！			十中八九、オメガが新たな検証に誘ってるんだろう。だとしたら、俺たちは乗ってやるほかない！			始まりは斯くの如く							
でも、ビッグスとウェッジは、まだ本調子じゃない。ネロだって、安静にするよう治療師から言われてるわ。			でも、ビッグスとウェッジは、まだ本調子じゃない。ネロだって、安静にするよう治療師から言われてるわ。			始まりは斯くの如く							
ミドガルズオルムはどうだ？……やはり、精神は眠ったままか？			ミドガルズオルムはどうだ？……やはり、精神は眠ったままか？			始まりは斯くの如く							
会長とSurname、それにアルファだけなんて……さすがに不安ですよ。やっぱり、今回は私も同行しましょうか？			会長とSurname、それにアルファだけなんて……さすがに不安ですよ。やっぱり、今回は私も同行しましょうか？			始まりは斯くの如く							
……いや、ジェシーにはほかに頼みたいことがある。工房に、造りかけの「ある装置」を残してきたから、至急それを完成させてほしい。			……いや、ジェシーにはほかに頼みたいことがある。工房に、造りかけの「ある装置」を残してきたから、至急それを完成させてほしい。			始まりは斯くの如く							
設計と、心臓部の制作はおわってるんだ。お前なら、迷うこともないだろう。			設計と、心臓部の制作はおわってるんだ。お前なら、迷うこともないだろう。			始まりは斯くの如く							
会長、その装置って…………			会長、その装置って…………			始まりは斯くの如く							
……いえ、そういうことなら了解です。バッチリカッチリ仕上げておくから、みんな、どうか無事で！			……いえ、そういうことなら了解です。バッチリカッチリ仕上げておくから、みんな、どうか無事で！			始まりは斯くの如く							
よし、「ヤーンの大穴」へ向かおう！オメガの検証を進めて、本体を止めてやるんだ！			よし、「ヤーンの大穴」へ向かおう！オメガの検証を進めて、本体を止めてやるんだ！			始まりは斯くの如く							
こっちは、うまくやっておくわ。必ず勝って、無事で帰ってくるのよ、名誉顧問Surname！			こっちは、うまくやっておくわ。必ず勝って、無事で帰ってくるのよ、名誉顧問Surname！			始まりは斯くの如く							
クエッ……！			クエッ……！			始まりは斯くの如く							
さて……行けるか、Forename。準備のほどは？			さて……行けるか、Forename。準備のほどは？			始まりは斯くの如く							
何と言う？			何と言う？			始まりは斯くの如く							
大丈夫だ、今度こそ決着をつけよう			大丈夫だ、今度こそ決着をつけよう			始まりは斯くの如く							
ここから先は、自分だけでいい			ここから先は、自分だけでいい			始まりは斯くの如く							
……そうだな。世界の情勢を見ても、ここで立ち止まるわけにはいかない。進もう……どうあっても。			……そうだな。世界の情勢を見ても、ここで立ち止まるわけにはいかない。進もう……どうあっても。			始まりは斯くの如く							
まあ、そう言ってくれるな。俺にも、策がないわけじゃないんだ……保険だと思って、最後まで同行させてくれ。			まあ、そう言ってくれるな。俺にも、策がないわけじゃないんだ……保険だと思って、最後まで同行させてくれ。			始まりは斯くの如く							
アルファも、準備はいいな？			アルファも、準備はいいな？			始まりは斯くの如く							
クエクエ、クエッ！			クエクエ、クエッ！			始まりは斯くの如く							
いい返事だ。それじゃあ……大穴の中に降りるぞ！			いい返事だ。それじゃあ……大穴の中に降りるぞ！			始まりは斯くの如く							
被検世界が減ったな……。いよいよ、検証も終盤なのかもしれない。			被検世界が減ったな……。いよいよ、検証も終盤なのかもしれない。			始まりは斯くの如く							
歓迎……歓迎……アナタがたの来訪を、待望していました。			歓迎……歓迎……アナタがたの来訪を、待望していました。			始まりは斯くの如く							
そして、先ほどの発言を肯定します。検証は今、最終段階に至りました。			そして、先ほどの発言を肯定します。検証は今、最終段階に至りました。			始まりは斯くの如く							
ワタシの生み出した、89体の疑似生命は殺し合い、勝ち上がったプサイグループの4体に、さらに戦闘を行わせました。			ワタシの生み出した、89体の疑似生命は殺し合い、勝ち上がったプサイグループの4体に、さらに戦闘を行わせました。			始まりは斯くの如く							
結果……生き残った、最強の1体。それが、今回のアナタがたの相手となります。			結果……生き残った、最強の1体。それが、今回のアナタがたの相手となります。			始まりは斯くの如く							
つまり、最終戦ということか……。それに勝てば、お前との直接対決が叶うんだな？			つまり、最終戦ということか……。それに勝てば、お前との直接対決が叶うんだな？			始まりは斯くの如く							
肯定……それは、ワタシの目的とも一致しています。ワタシは、アナタがたのような「弱き勝者」を解析し、その特性を自己に取り入れたい。			肯定……それは、ワタシの目的とも一致しています。ワタシは、アナタがたのような「弱き勝者」を解析し、その特性を自己に取り入れたい。			始まりは斯くの如く							
検証の中で解明ができればよいのですが、最終的には、直接戦闘を行うことが、もっとも効率的な理解の手段であると考えます。			検証の中で解明ができればよいのですが、最終的には、直接戦闘を行うことが、もっとも効率的な理解の手段であると考えます。			始まりは斯くの如く							
省略……もはや、事前の戦闘力計測は不要です。迅速に、最後の検証を開始しましょう！			省略……もはや、事前の戦闘力計測は不要です。迅速に、最後の検証を開始しましょう！			始まりは斯くの如く							
…………ただし。			…………ただし。			始まりは斯くの如く							
アルファI……つまりアルファは、すでに役目を終えました。これ以上の同行は不要です。			アルファI……つまりアルファは、すでに役目を終えました。これ以上の同行は不要です。			始まりは斯くの如く							
……どういうことだ？			……どういうことだ？			始まりは斯くの如く							
ここから先の進行は、ワタシが直接管理します。アルファを介した干渉権の付与も、不要です。			ここから先の進行は、ワタシが直接管理します。アルファを介した干渉権の付与も、不要です。			始まりは斯くの如く							
それでも、アルファは俺たちの仲間だ。本人に同行する意思があるなら、置いていったりするものか。			それでも、アルファは俺たちの仲間だ。本人に同行する意思があるなら、置いていったりするものか。			始まりは斯くの如く							
仲間…………。			仲間…………。			始まりは斯くの如く							
互助関係にある存在をそう呼ぶのであれば、権利の付与が不要になった時点で、役立たずのアルファは、仲間と呼べません。			互助関係にある存在をそう呼ぶのであれば、権利の付与が不要になった時点で、役立たずのアルファは、仲間と呼べません。			始まりは斯くの如く							
前提……そもそもアルファは、ワタシがアナタがたを招き入れるために放った存在。言葉で表すならば「罠」や「餌」の方が適切です。			前提……そもそもアルファは、ワタシがアナタがたを招き入れるために放った存在。言葉で表すならば「罠」や「餌」の方が適切です。			始まりは斯くの如く							
アルファに真偽を問うのは無意味です。その個体には、アナタがたと出会う直前からしか記憶がない。			アルファに真偽を問うのは無意味です。その個体には、アナタがたと出会う直前からしか記憶がない。			始まりは斯くの如く							
アルファは、ワタシがここで最初に造った個体……最初にして唯一の、「弱き勝者」の再現体でした。			アルファは、ワタシがここで最初に造った個体……最初にして唯一の、「弱き勝者」の再現体でした。			始まりは斯くの如く							
もとになった存在は、平凡な生命体でありながら、ワタシに近しい強敵を打倒していた……。			もとになった存在は、平凡な生命体でありながら、ワタシに近しい強敵を打倒していた……。			始まりは斯くの如く							
よって、それを再現して戦闘を行わせることで、弱者が強者に勝つという、矛盾の要因を特定しようとしました。ですが…………			よって、それを再現して戦闘を行わせることで、弱者が強者に勝つという、矛盾の要因を特定しようとしました。ですが…………			始まりは斯くの如く							
何度……何度……何度戦わせても。それは、測定した戦闘力以上の結果を出さなかった。			何度……何度……何度戦わせても。それは、測定した戦闘力以上の結果を出さなかった。			始まりは斯くの如く							
失策……失敗……失格です。ワタシは、可及的すみやかに、手段を改める必要がありました。			失策……失敗……失格です。ワタシは、可及的すみやかに、手段を改める必要がありました。			始まりは斯くの如く							
そこで、この空間に再現するのを強者の方にして、弱き者……ヒトを招き入れ、戦わせることにしたのです。			そこで、この空間に再現するのを強者の方にして、弱き者……ヒトを招き入れ、戦わせることにしたのです。			始まりは斯くの如く							
アルファには記憶の除去をほどこし、ワタシへの帰巣本能を植えつけて、あえて外へと放り出しました。			アルファには記憶の除去をほどこし、ワタシへの帰巣本能を植えつけて、あえて外へと放り出しました。			始まりは斯くの如く							
弱き者は、群れたがるのでしょう？ゆえに、アルファはターゲットを連れ帰ってくると考え……その役目は、十分に果たされたのです。			弱き者は、群れたがるのでしょう？ゆえに、アルファはターゲットを連れ帰ってくると考え……その役目は、十分に果たされたのです。			始まりは斯くの如く							
……オメガ。お前の生成機能は、本来、他の生命を造るためのものじゃない……違うか？			……オメガ。お前の生成機能は、本来、他の生命を造るためのものじゃない……違うか？			始まりは斯くの如く							
…………？何故それを問うのか理解しかねますが……。			…………？何故それを問うのか理解しかねますが……。			始まりは斯くの如く							
肯定……ワタシの生成機能は、自己の強化や、兵装の拡充をするために存在するものです。今回のような使い方は確かに異例ですが……問題はありません。			肯定……ワタシの生成機能は、自己の強化や、兵装の拡充をするために存在するものです。今回のような使い方は確かに異例ですが……問題はありません。			始まりは斯くの如く							
どうだろうな。技術者としては、用途を守らない使い方は勧められない。			どうだろうな。技術者としては、用途を守らない使い方は勧められない。			始まりは斯くの如く							
お前は最初から、何ひとつ……被検世界の中の強者たちですら、正しく再現できてないんだろうよ。			お前は最初から、何ひとつ……被検世界の中の強者たちですら、正しく再現できてないんだろうよ。			始まりは斯くの如く							
彼らが偉大なる強敵たりえたのも、弱き者がそれに打ち勝って英雄になったのも、互いの信念あってこそだ。			彼らが偉大なる強敵たりえたのも、弱き者がそれに打ち勝って英雄になったのも、互いの信念あってこそだ。			始まりは斯くの如く							
……わからないか？だとしたら、俺たちは絶対に負けない。数値上で、どれほど勝る敵を用意されたとしても！			……わからないか？だとしたら、俺たちは絶対に負けない。数値上で、どれほど勝る敵を用意されたとしても！			始まりは斯くの如く							
行こう、Forename。もちろん、アルファもだ。			行こう、Forename。もちろん、アルファもだ。			始まりは斯くの如く							
クエ……。			クエ……。			始まりは斯くの如く							
「次元の狭間」での戦い、おつかれさまです！大穴の中に降りますか？			「次元の狭間」での戦い、おつかれさまです！大穴の中に降りますか？			始まりは斯くの如く							
「次元の狭間」に移動しますか？			「次元の狭間」に移動しますか？			始まりは斯くの如く							
次元の狭間に行こう！			次元の狭間に行こう！			始まりは斯くの如く							
調査拠点の設営、完了だ。これでいつでも、最後の被検世界に突入できる。			調査拠点の設営、完了だ。これでいつでも、最後の被検世界に突入できる。			始まりは斯くの如く							
そして……戦う相手については、オメガ自身から、ご丁寧に基本情報が送られてきてる。			そして……戦う相手については、オメガ自身から、ご丁寧に基本情報が送られてきてる。			始まりは斯くの如く							
名前を「カオス」という。神話とも史実とも知れない古い時代に起きた戦いで、最初の英雄に倒された、悪の名だ。			名前を「カオス」という。神話とも史実とも知れない古い時代に起きた戦いで、最初の英雄に倒された、悪の名だ。			始まりは斯くの如く							
……もっとも、それは俺の知っている範囲での話であって、これが被検世界シグマで戦ったような異世界の存在なら、在り方も違うのかもしれないが。			……もっとも、それは俺の知っている範囲での話であって、これが被検世界シグマで戦ったような異世界の存在なら、在り方も違うのかもしれないが。			始まりは斯くの如く							
確かなのは、カオスが検証を勝ち上がってきた猛者であること。厳しい戦いにはなるだろうが……オメガに至る、最後の関門だ！			確かなのは、カオスが検証を勝ち上がってきた猛者であること。厳しい戦いにはなるだろうが……オメガに至る、最後の関門だ！			始まりは斯くの如く							
アルファは、俺と一緒に、ここからForenameの補佐だ。……頼めるな？			アルファは、俺と一緒に、ここからForenameの補佐だ。……頼めるな？			始まりは斯くの如く							
……オメガに言われたことを気にしてるのか？お前が、俺たちを巻き込んだとでも？			……オメガに言われたことを気にしてるのか？お前が、俺たちを巻き込んだとでも？			始まりは斯くの如く							
そんなわけがあるか。オメガ起動に立ち会った以上、これは最初から俺たちが……人が立ち向かうべき問題だ。			そんなわけがあるか。オメガ起動に立ち会った以上、これは最初から俺たちが……人が立ち向かうべき問題だ。			始まりは斯くの如く							
クエ…………。			クエ…………。			始まりは斯くの如く							
ところで、アルファ。前回ケトルに水を湧かせた、あの不思議なカードは、まだあるか？			ところで、アルファ。前回ケトルに水を湧かせた、あの不思議なカードは、まだあるか？			始まりは斯くの如く							
俺は……部下がいないと水も補充できない、思慮不足なおぼっちゃんらしいからな……。お前が力を貸してくれると、とても助かる。			俺は……部下がいないと水も補充できない、思慮不足なおぼっちゃんらしいからな……。お前が力を貸してくれると、とても助かる。			始まりは斯くの如く							
…………クエ！			…………クエ！			始まりは斯くの如く							
ミドガルズオルムがいないと、直接話を聞いてやれないのが、もどかしいな……。			ミドガルズオルムがいないと、直接話を聞いてやれないのが、もどかしいな……。			始まりは斯くの如く							
アルファにとって励みになるのは、何よりお前の勝利だろう。今回は、この場所からになるが……見せてやろうぜ。			アルファにとって励みになるのは、何よりお前の勝利だろう。今回は、この場所からになるが……見せてやろうぜ。			始まりは斯くの如く							
ネロがいたら、「カオス」をどう評したことか……。あいつの専門は、古代技術の研究だからな。必然的に、歴史や神話への造詣が深いんだ。			ネロがいたら、「カオス」をどう評したことか……。あいつの専門は、古代技術の研究だからな。必然的に、歴史や神話への造詣が深いんだ。			始まりは斯くの如く							
クエ……クエ！			クエ……クエ！			始まりは斯くの如く							
(-オメガ-)ガガガ……。戦闘終了、勝者はアルファチームです。			(-オメガ-)ガガガ……。戦闘終了、勝者はアルファチームです。			始まりは斯くの如く							
(-オメガ-)これで全検証が完了……。アナタがたが最強であると、証明されました。			(-オメガ-)これで全検証が完了……。アナタがたが最強であると、証明されました。			始まりは斯くの如く							
(-オメガ-)……しかし、ワタシはいまだ理解できずにいる。アナタがたが、なぜ予測を上回る結果を出すことができるのか。			(-オメガ-)……しかし、ワタシはいまだ理解できずにいる。アナタがたが、なぜ予測を上回る結果を出すことができるのか。			始まりは斯くの如く							
(-オメガ-)もしや、本当に……シドという個体の言うとおり、ワタシの計測や再現は、根本的に間違っている……？			(-オメガ-)もしや、本当に……シドという個体の言うとおり、ワタシの計測や再現は、根本的に間違っている……？			始まりは斯くの如く							
(-オメガ-)アナタ……ヒト……生命には……ワタシにない、ワタシの知らない、何らかの…………。			(-オメガ-)アナタ……ヒト……生命には……ワタシにない、ワタシの知らない、何らかの…………。			始まりは斯くの如く							
(-オメガ-)エラー……思考がループに陥っています。解消には、さらなる情報が必要です。			(-オメガ-)エラー……思考がループに陥っています。解消には、さらなる情報が必要です。			始まりは斯くの如く							
(-オメガ-)アナタがたが、ワタシの知る理論で解明できないならば、ワタシが想定していなかった方向からも、検証しておくべきでしょう。			(-オメガ-)アナタがたが、ワタシの知る理論で解明できないならば、ワタシが想定していなかった方向からも、検証しておくべきでしょう。			始まりは斯くの如く							
(-オメガ-)未知には、未完を。Forename Surnameを、エクストラステージに進行させます。			(-オメガ-)未知には、未完を。Forename Surnameを、エクストラステージに進行させます。			始まりは斯くの如く							
(-オメガ-)ガガガ……。その被検世界に、ワタシの記録を再現しました。			(-オメガ-)ガガガ……。その被検世界に、ワタシの記録を再現しました。			始まりは斯くの如く							
(-オメガ-)かつて、遠い星で起きた戦争……戦線に投入されたワタシは、そこで最強の敵に遭遇しました。			(-オメガ-)かつて、遠い星で起きた戦争……戦線に投入されたワタシは、そこで最強の敵に遭遇しました。			始まりは斯くの如く							
(-オメガ-)結果……ワタシは、それを倒しきれなかった。そのため、完全に再現するほどのデータを得ていないのです。			(-オメガ-)結果……ワタシは、それを倒しきれなかった。そのため、完全に再現するほどのデータを得ていないのです。			始まりは斯くの如く							
(-オメガ-)不完全な再現体など、検証には不適切……。よって、アナタがそれに敗北したとしても、ワタシは予定どおり、アナタと戦いましょう。			(-オメガ-)不完全な再現体など、検証には不適切……。よって、アナタがそれに敗北したとしても、ワタシは予定どおり、アナタと戦いましょう。			始まりは斯くの如く							
(-オメガ-)ただし、アナタが生き残れればです。ワタシの記録にあるそれは、死のない敗北を許しはしない……。			(-オメガ-)ただし、アナタが生き残れればです。ワタシの記録にあるそれは、死のない敗北を許しはしない……。			始まりは斯くの如く							
(-オメガ-)個体名、ミドガルズオルム。我らが星と敵対する、「竜の星」の赤きたてがみ。			(-オメガ-)個体名、ミドガルズオルム。我らが星と敵対する、「竜の星」の赤きたてがみ。			始まりは斯くの如く							
(-オメガ-)アナタが知るような残骸ではなく、ヒトが生み出した、劣化コピーでもない。唯一の正しき龍が、アナタの相手です。			(-オメガ-)アナタが知るような残骸ではなく、ヒトが生み出した、劣化コピーでもない。唯一の正しき龍が、アナタの相手です。			始まりは斯くの如く							
(-シド-)待て、オメガッ！			(-シド-)待て、オメガッ！			始まりは斯くの如く							
(-シド-)Forenameは、連戦になる！一度こちらに戻して、態勢を立て直させろ！			(-シド-)Forenameは、連戦になる！一度こちらに戻して、態勢を立て直させろ！			始まりは斯くの如く							
(-シド-)最善を尽くせない戦いなど、お前が観測したいものではないだろう！？			(-シド-)最善を尽くせない戦いなど、お前が観測したいものではないだろう！？			始まりは斯くの如く							
(-オメガ-)……ガガガ。承諾……その提案を受け入れましょう。			(-オメガ-)……ガガガ。承諾……その提案を受け入れましょう。			始まりは斯くの如く							
(-オメガ-)Forename Surnameは、ロビーへ一時帰還。戦闘準備を整え、被検世界へ再突入しなさい。			(-オメガ-)Forename Surnameは、ロビーへ一時帰還。戦闘準備を整え、被検世界へ再突入しなさい。			始まりは斯くの如く							
クエッ！クエクエ、クエ、クエッ！！			クエッ！クエクエ、クエ、クエッ！！			始まりは斯くの如く							
アルファは、あせっている様子だ。シドがいないようだが、何かあったのだろうか……？			アルファは、あせっている様子だ。シドがいないようだが、何かあったのだろうか……？			始まりは斯くの如く							
(-シドらしき声-)Forename、こっちだ。姿は見えないだろうが、俺はアルファの隣にいる。			(-シドらしき声-)Forename、こっちだ。姿は見えないだろうが、俺はアルファの隣にいる。			始まりは斯くの如く							
次元の狭間のシドは、相談したいことがあるようだ。			次元の狭間のシドは、相談したいことがあるようだ。			鳴き叫べ！							
