調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			元冒険者の調理師							
ロウェナ記念会館のラルフは、冒険者に一生のお願いがあるようだ。			ロウェナ記念会館のラルフは、冒険者に一生のお願いがあるようだ。			本場のレシピ							
ラルフは、寿司に挑戦してみたいという。冒険者はひんがしの国へ寿司のイロハを学びにいくことになった。クガネの望海楼にいる「カラク」と話そう。			ラルフは、寿司に挑戦してみたいという。冒険者はひんがしの国へ寿司のイロハを学びにいくことになった。クガネの望海楼にいる「カラク」と話そう。			本場のレシピ							
カラクと話した。寿司職人のシャモジは紅玉海へ漁に出ているという。紅玉海のベッコウ島付近の海中で「シャモジらしき者」を探そう。			カラクと話した。寿司職人のシャモジは紅玉海へ漁に出ているという。紅玉海のベッコウ島付近の海中で「シャモジらしき者」を探そう。			本場のレシピ							
シャモジらしき者を見つけた。彼はコウジン族で、取りつく島もなく去っていった。望海楼の「シャモジ」と話そう。			シャモジらしき者を見つけた。彼はコウジン族で、取りつく島もなく去っていった。望海楼の「シャモジ」と話そう。			本場のレシピ							
シャモジと話したところ、デルモンが現れて彼を説得してくれた。冒険者はシャモジから寿司のイロハを教わった。ロウェナ記念会館へ戻り「ラルフ」と話そう。			シャモジと話したところ、デルモンが現れて彼を説得してくれた。冒険者はシャモジから寿司のイロハを教わった。ロウェナ記念会館へ戻り「ラルフ」と話そう。			本場のレシピ							
ラルフと話した。彼に寿司のイロハを教え、寿司を作るよう頼まれた。ラルフからもらった「寿司の材料」をもとに「握り寿司」を製作し、ロウェナ記念会館の「ラルフ」に納品しよう。※「寿司の材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			ラルフと話した。彼に寿司のイロハを教え、寿司を作るよう頼まれた。ラルフからもらった「寿司の材料」をもとに「握り寿司」を製作し、ロウェナ記念会館の「ラルフ」に納品しよう。※「寿司の材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			本場のレシピ							
握り寿司をラルフに納品した。ウンザンたちをカフェテラスに招待しているという。ロウェナ記念会館のカフェテラスにいる「ラルフ」と話そう。			握り寿司をラルフに納品した。ウンザンたちをカフェテラスに招待しているという。ロウェナ記念会館のカフェテラスにいる「ラルフ」と話そう。			本場のレシピ							
ラルフと話した。ウンザンはラルフの寿司を嫌いではないという。だが、アンズとの結婚を認めないのは、調理師として半端者だからではなく、ラルフがアラミゴ出身のハイランダー族だからなのだと告げられた。ラルフは冒険者に戻ると言って去っていった。ロウェナ記念会館のカフェテラスに取り残された「アンズ」と話そう。			ラルフと話した。ウンザンはラルフの寿司を嫌いではないという。だが、アンズとの結婚を認めないのは、調理師として半端者だからではなく、ラルフがアラミゴ出身のハイランダー族だからなのだと告げられた。ラルフは冒険者に戻ると言って去っていった。ロウェナ記念会館のカフェテラスに取り残された「アンズ」と話そう。			本場のレシピ							
アンズと話した。彼女によると、ラルフには何か考えがあるという。ロウェナ記念会館の「ラルフ」と話そう。			アンズと話した。彼女によると、ラルフには何か考えがあるという。ロウェナ記念会館の「ラルフ」と話そう。			本場のレシピ							
ラルフと話したところ、彼は調理師を辞めて冒険者に戻っていた。だが、アンズとの結婚を諦めたわけではないようだ。新たなる東方料理に挑むため、修行を積もう。※調理師のレベルが70以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			ラルフと話したところ、彼は調理師を辞めて冒険者に戻っていた。だが、アンズとの結婚を諦めたわけではないようだ。新たなる東方料理に挑むため、修行を積もう。※調理師のレベルが70以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			本場のレシピ							
クガネのカラクと話す			クガネのカラクと話す			本場のレシピ							
紅玉海のシャモジらしき者を探す			紅玉海のシャモジらしき者を探す			本場のレシピ							
クガネのシャモジと話す			クガネのシャモジと話す			本場のレシピ							
レヴナンツトールのラルフに報告			レヴナンツトールのラルフに報告			本場のレシピ							
製作手帳 クラスクエスト：握り寿司を製作ラルフに握り寿司を納品			製作手帳 クラスクエスト：握り寿司を製作ラルフに握り寿司を納品			本場のレシピ							
ラルフと話す			ラルフと話す			本場のレシピ							
アンズと話す			アンズと話す			本場のレシピ							
ラルフと話す			ラルフと話す			本場のレシピ							
Forenameさん、来てくれたんだな。あれから、うどんの麺を何度も打ち直して、なんとか、ウンザンさんに指摘された、コシってやつを出せた。			Forenameさん、来てくれたんだな。あれから、うどんの麺を何度も打ち直して、なんとか、ウンザンさんに指摘された、コシってやつを出せた。			本場のレシピ							
つゆも、アンタが作ったものを参考に、試行錯誤を繰り返して、やっとのことで、店でうどんを売り出すことができたよ。			つゆも、アンタが作ったものを参考に、試行錯誤を繰り返して、やっとのことで、店でうどんを売り出すことができたよ。			本場のレシピ							
苦労の甲斐あってか、うどんはドマの民だけに留まらず、好奇心旺盛な冒険者たちにも、人気が出ているんだ……！			苦労の甲斐あってか、うどんはドマの民だけに留まらず、好奇心旺盛な冒険者たちにも、人気が出ているんだ……！			本場のレシピ							
そして、次に挑戦したい東方料理なんだが、ドマの民がみんな大好きだという、「寿司」に挑戦してみたい。なんでも、米に生魚をのせたもので、東方では最高のご馳走らしい。			そして、次に挑戦したい東方料理なんだが、ドマの民がみんな大好きだという、「寿司」に挑戦してみたい。なんでも、米に生魚をのせたもので、東方では最高のご馳走らしい。			本場のレシピ							
俺には想像もつかないんで、アンズに聞いてみたところ。寿司の発祥の地、ひんがしの国の寿司職人から、そのイロハを学ばないと、作ることは難しいというんだ。			俺には想像もつかないんで、アンズに聞いてみたところ。寿司の発祥の地、ひんがしの国の寿司職人から、そのイロハを学ばないと、作ることは難しいというんだ。			本場のレシピ							
しかし、俺は店を離れて遠くまで行くことはできない。アンタに、一生のお願いをさせてくれ……。			しかし、俺は店を離れて遠くまで行くことはできない。アンタに、一生のお願いをさせてくれ……。			本場のレシピ							
どうか、俺の代わりにクガネへ赴いて、寿司職人から、寿司のイロハを学んできてくれないか？			どうか、俺の代わりにクガネへ赴いて、寿司職人から、寿司のイロハを学んできてくれないか？			本場のレシピ							
寿司のイロハを学びにいく？			寿司のイロハを学びにいく？			本場のレシピ							
ありがとう、恩に着るよ！アンタには世話になりっ放しだな……。			ありがとう、恩に着るよ！アンタには世話になりっ放しだな……。			本場のレシピ							
そうか……。さすがに出過ぎた頼みだったか……。			そうか……。さすがに出過ぎた頼みだったか……。			本場のレシピ							
な、なあ……どうしてもダメか？頼むよ、アンタしか頼れる人はいないんだ……。			な、なあ……どうしてもダメか？頼むよ、アンタしか頼れる人はいないんだ……。			本場のレシピ							
ありがとう、恩に着るよ！アンタにはもう頭が上がらないな……。			ありがとう、恩に着るよ！アンタにはもう頭が上がらないな……。			本場のレシピ							
アンズによると、クガネという港町にある、宿屋「望海楼」の寿司職人こそ、超一流の腕を持っているそうだ。			アンズによると、クガネという港町にある、宿屋「望海楼」の寿司職人こそ、超一流の腕を持っているそうだ。			本場のレシピ							
向こうに着いたら、まずは、その「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			向こうに着いたら、まずは、その「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			本場のレシピ							
クガネに着いたら、まずは、宿屋「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			クガネに着いたら、まずは、宿屋「望海楼」の主人を訪ねてみてほしい。俺は、アンタが戻るまでに、最高の素材を揃えておくよ。			本場のレシピ							
おいでませ！火傷によし、切り傷によし、皮膚の病によし！海を望む温泉が自慢の宿、「望海楼」へようこそ！			おいでませ！火傷によし、切り傷によし、皮膚の病によし！海を望む温泉が自慢の宿、「望海楼」へようこそ！			本場のレシピ							
ふむ、うちの寿司職人にご用があると……。こちらは湯が自慢の温泉宿ですが、料理も最高のものを、お出ししていますからね。			ふむ、うちの寿司職人にご用があると……。こちらは湯が自慢の温泉宿ですが、料理も最高のものを、お出ししていますからね。			本場のレシピ							
特に寿司は、遠方からもお客様が食べにいらっしゃるほどです。ただ、寿司職人の「シャモジ」は只今、自ら素材を獲りに、漁に出ている最中でございます。			特に寿司は、遠方からもお客様が食べにいらっしゃるほどです。ただ、寿司職人の「シャモジ」は只今、自ら素材を獲りに、漁に出ている最中でございます。			本場のレシピ							
おそらく、しばらくは戻らないものかと……。どうしても、いますぐ用があるというならば、紅玉海で漁をしているので、探してみてはいかがでしょうか？			おそらく、しばらくは戻らないものかと……。どうしても、いますぐ用があるというならば、紅玉海で漁をしているので、探してみてはいかがでしょうか？			本場のレシピ							
「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			本場のレシピ							
「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			「シャモジ」は、ベッコウ島付近の海で漁をしてます。個性的な者なので、すぐに見つかると思いますよ。もっとも、海に潜ることができればの話ですがね……フフフ。			本場のレシピ							
なんだテメェはぁ～？亀が漁をしている最中に話しかけるなんて、ふてぇ野郎だなぁ～。			なんだテメェはぁ～？亀が漁をしている最中に話しかけるなんて、ふてぇ野郎だなぁ～。			本場のレシピ							
ああ、そうだ、俺がシャモジだぁ～。寿司を握らせたら、右に出る亀はいねぇ、泣く子亀も黙る、超一流の寿司職人だよぉ～！			ああ、そうだ、俺がシャモジだぁ～。寿司を握らせたら、右に出る亀はいねぇ、泣く子亀も黙る、超一流の寿司職人だよぉ～！			本場のレシピ							
コウジン族だからって、ナメんじゃねぇぞぉ～。それにしても、こんな海の底まで何の用できたってんだぁ～？			コウジン族だからって、ナメんじゃねぇぞぉ～。それにしても、こんな海の底まで何の用できたってんだぁ～？			本場のレシピ							
寿司のイロハを教えてくれだとぉ～？てやんでぃ、どこのエイの骨だかわからねぇ奴に、そんなもん簡単に教えられるかってんだぁ～！			寿司のイロハを教えてくれだとぉ～？てやんでぃ、どこのエイの骨だかわからねぇ奴に、そんなもん簡単に教えられるかってんだぁ～！			本場のレシピ							
今日は、漁もイマイチだし、俺はもう「望海楼」に戻るぜぇ～！いいか、もう俺の前に顔を出すなよぉ～！			今日は、漁もイマイチだし、俺はもう「望海楼」に戻るぜぇ～！いいか、もう俺の前に顔を出すなよぉ～！			本場のレシピ							
まさか、本当に海に潜って探してくるとは……お見それしました。シャモジはコウジン族ですが、その大きな手からは、想像もつかないくらい、繊細な寿司を握るんですよ。			まさか、本当に海に潜って探してくるとは……お見それしました。シャモジはコウジン族ですが、その大きな手からは、想像もつかないくらい、繊細な寿司を握るんですよ。			本場のレシピ							
あ、テメェ、また来やがったなぁ～！だから、寿司のイロハなんざ、簡単に教えられねぇってんだよぉ～！			あ、テメェ、また来やがったなぁ～！だから、寿司のイロハなんざ、簡単に教えられねぇってんだよぉ～！			本場のレシピ							
(-？？？？-)Forenameさん、こんなところで再会できるとは……。あああ、あなたの顔を見るだけで、口の中に、あのシュニッツェルの味が思い出されます。			(-？？？？-)Forenameさん、こんなところで再会できるとは……。あああ、あなたの顔を見るだけで、口の中に、あのシュニッツェルの味が思い出されます。			本場のレシピ							
寿司を食べに来たのですが、寿司職人が不在ということで、帰ろうとしていたところ、あなたを見かけましてね。それも、寿司のイロハを学びにきたようで……。			寿司を食べに来たのですが、寿司職人が不在ということで、帰ろうとしていたところ、あなたを見かけましてね。それも、寿司のイロハを学びにきたようで……。			本場のレシピ							
デ、デルモンさん、いらしていたんですねぇ～。すいやせん、今すぐ寿司を用意しやす！			デ、デルモンさん、いらしていたんですねぇ～。すいやせん、今すぐ寿司を用意しやす！			本場のレシピ							
いえ、それよりも、こちらの調理師に、寿司のイロハを教えてやってくださいませんか？デルモン・ドールで満点を取った方です、その腕は私が保証します。			いえ、それよりも、こちらの調理師に、寿司のイロハを教えてやってくださいませんか？デルモン・ドールで満点を取った方です、その腕は私が保証します。			本場のレシピ							
あ、あのデルモン・ドールで満点を取ったですとぉ～！？10点満点は、デルモンさんの伝説を超えうるということ……。			あ、あのデルモン・ドールで満点を取ったですとぉ～！？10点満点は、デルモンさんの伝説を超えうるということ……。			本場のレシピ							
しょうがねぇ～。デルモンさんのお墨付きってんなら、教えてやるよぉ～！			しょうがねぇ～。デルモンさんのお墨付きってんなら、教えてやるよぉ～！			本場のレシピ							
それはよかった……では、私はこれにて失礼します。東方文化を取り込んだ、Forenameさんの料理。いつか、食べられることを楽しみにしていますよ。			それはよかった……では、私はこれにて失礼します。東方文化を取り込んだ、Forenameさんの料理。いつか、食べられることを楽しみにしていますよ。			本場のレシピ							
さあ、厨房でみっちり、寿司のイロハってやつを、叩き込んでやらぁ～！			さあ、厨房でみっちり、寿司のイロハってやつを、叩き込んでやらぁ～！			本場のレシピ							
さすがは、デルモンさんお墨付きの料理人だ。あっという間に、イロハを覚えやがったなぁ～。			さすがは、デルモンさんお墨付きの料理人だ。あっという間に、イロハを覚えやがったなぁ～。			本場のレシピ							
あと10年も修行すれば、相当な寿司職人になれるはずだが、もう帰っちまうなんて、惜しいもんだねぇ～。せいぜい、エオルゼアで寿司を広めてくれ……あばよぉ～！			あと10年も修行すれば、相当な寿司職人になれるはずだが、もう帰っちまうなんて、惜しいもんだねぇ～。せいぜい、エオルゼアで寿司を広めてくれ……あばよぉ～！			本場のレシピ							
どうやら、寿司のイロハを学べたようですね。お疲れのようでしたら、ぜひとも温泉に浸かって、身体を休めていってください。			どうやら、寿司のイロハを学べたようですね。お疲れのようでしたら、ぜひとも温泉に浸かって、身体を休めていってください。			本場のレシピ							
ラルフさんと、寿司の素材を揃えておきました。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			ラルフさんと、寿司の素材を揃えておきました。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			本場のレシピ							
Forenameさん、お帰りなさい！寿司のイロハを、学んできてくれたようだな。こっちも、新鮮な魚介と、厳選した新米を揃えておいたぞ。			Forenameさん、お帰りなさい！寿司のイロハを、学んできてくれたようだな。こっちも、新鮮な魚介と、厳選した新米を揃えておいたぞ。			本場のレシピ							
長旅で疲れているところを申し訳ないが、さっそく、その本場仕込みの寿司のイロハを、俺にも教えてくれ！			長旅で疲れているところを申し訳ないが、さっそく、その本場仕込みの寿司のイロハを、俺にも教えてくれ！			本場のレシピ							
なるほど、寿司とは、ただ米に生魚をのせたものじゃなく、すべての素材の持ち味を、最大限に引き出したものなんだな。東方料理ってのは、単純なようで奥が深いもんだ……。			なるほど、寿司とは、ただ米に生魚をのせたものじゃなく、すべての素材の持ち味を、最大限に引き出したものなんだな。東方料理ってのは、単純なようで奥が深いもんだ……。			本場のレシピ							
よし、さっそく寿司を作って、ドマの民に振舞おう。ここは是非とも、ウンザンさんとアンズに食べてもらいたい。			よし、さっそく寿司を作って、ドマの民に振舞おう。ここは是非とも、ウンザンさんとアンズに食べてもらいたい。			本場のレシピ							
お義父さんはドマの料理人。その確かな舌で評価してもらえば、きっと間違いはないはず。だが、いきなり俺ひとりで、二人前も作るのは難しそうだ……。			お義父さんはドマの料理人。その確かな舌で評価してもらえば、きっと間違いはないはず。だが、いきなり俺ひとりで、二人前も作るのは難しそうだ……。			本場のレシピ							
すまないが、アンタにも、この最高の寿司の材料を渡すんで、「握り寿司」を一人前作ってもらいたい。			すまないが、アンタにも、この最高の寿司の材料を渡すんで、「握り寿司」を一人前作ってもらいたい。			本場のレシピ							
材料が足りなくなったら、いつもどおり、「ポピン」から受け取ってくれ。お互い、渾身の寿司を作ろうぜ！			材料が足りなくなったら、いつもどおり、「ポピン」から受け取ってくれ。お互い、渾身の寿司を作ろうぜ！			本場のレシピ							
寿司の材料が足りなくなったら、いつでもお伝えください。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			寿司の材料が足りなくなったら、いつでもお伝えください。漁師から直接仕入れた新鮮な魚介と、園芸師に厳選して採集してもらった新米ですよ。			本場のレシピ							
見事な「握り寿司」が完成したみたいですね。初めて見ましたが、見た目もとても美しい。どうやら、「ラルフ」さんもできたみたいですよ。			見事な「握り寿司」が完成したみたいですね。初めて見ましたが、見た目もとても美しい。どうやら、「ラルフ」さんもできたみたいですよ。			本場のレシピ							
「握り寿司」は完成したか？イロハを教わったとはいえ、なかなかに難しいもんだな……。			「握り寿司」は完成したか？イロハを教わったとはいえ、なかなかに難しいもんだな……。			本場のレシピ							
ありがとう！　こっちもなんとか、完成させたぞ。さあ、ウンザンさんたちを招待するから、「カフェテラス」の席へ向かおう。			ありがとう！　こっちもなんとか、完成させたぞ。さあ、ウンザンさんたちを招待するから、「カフェテラス」の席へ向かおう。			本場のレシピ							
寿司は初めて見ましたが、見た目もとても美しいですね。ウンザンさんたちも、きっと喜んでくれるはずです。さあ、カフェテラスで「ラルフ」さんが待ってますよ。			寿司は初めて見ましたが、見た目もとても美しいですね。ウンザンさんたちも、きっと喜んでくれるはずです。さあ、カフェテラスで「ラルフ」さんが待ってますよ。			本場のレシピ							
もうすぐ、ウンザンさんとアンズが来るはずだ。渾身の寿司、気に入ってくれるといいんだがな……。			もうすぐ、ウンザンさんとアンズが来るはずだ。渾身の寿司、気に入ってくれるといいんだがな……。			本場のレシピ							
まったく、懲りもせずに……。それも、エオルゼアの者が握った寿司なんぞ……			まったく、懲りもせずに……。それも、エオルゼアの者が握った寿司なんぞ……			本場のレシピ							
美味しそうじゃないですか。お父様、せっかくだから、いただきましょう。			美味しそうじゃないですか。お父様、せっかくだから、いただきましょう。			本場のレシピ							
Forenameさんの握った寿司は、素晴らしい。さすがに本場の一流職人と比べれば、素材の面で一歩劣るが、エオルゼアでこの味を再現するとは、見事と言わざるをえん……。			Forenameさんの握った寿司は、素晴らしい。さすがに本場の一流職人と比べれば、素材の面で一歩劣るが、エオルゼアでこの味を再現するとは、見事と言わざるをえん……。			本場のレシピ							
だが、ラルフの握った寿司は、まるでダメだ……。いかにも、見よう見まねで作った代物で、客に出せる水準ではない。			だが、ラルフの握った寿司は、まるでダメだ……。いかにも、見よう見まねで作った代物で、客に出せる水準ではない。			本場のレシピ							
しかし、それは当然のこと……。天才でもなければ、寿司とはイロハを学んだところで、すぐに握れるような、生半可なものではないのだ。			しかし、それは当然のこと……。天才でもなければ、寿司とはイロハを学んだところで、すぐに握れるような、生半可なものではないのだ。			本場のレシピ							
Forenameさんのような、天才を目指す必要はない。お前の寿司はまるで、おにぎりのように素朴だが、心がこもっていて……私は嫌いではないぞ。			Forenameさんのような、天才を目指す必要はない。お前の寿司はまるで、おにぎりのように素朴だが、心がこもっていて……私は嫌いではないぞ。			本場のレシピ							
そ、それは……俺を認めてくれるってことですか？じゃあ、アンズとの結婚も……。			そ、それは……俺を認めてくれるってことですか？じゃあ、アンズとの結婚も……。			本場のレシピ							
認めん……！勘違いしているようだが、私が娘との結婚を許さなかったのは、お前が冒険者だったからでも、調理師として半端だからでもない。			認めん……！勘違いしているようだが、私が娘との結婚を許さなかったのは、お前が冒険者だったからでも、調理師として半端だからでもない。			本場のレシピ							
本当の理由は……お前が、アラミゴ出身のハイランダー族だからだ。			本当の理由は……お前が、アラミゴ出身のハイランダー族だからだ。			本場のレシピ							
私の一族は先祖代々、ヤンサ人の血を繋いできた。ゆえに、我が一人娘にも、その血統の者と結婚してもらう。これは、お前の落ち度ではなく、仕方のないことなのだ。			私の一族は先祖代々、ヤンサ人の血を繋いできた。ゆえに、我が一人娘にも、その血統の者と結婚してもらう。これは、お前の落ち度ではなく、仕方のないことなのだ。			本場のレシピ							
東方料理は、ほかの文化圏から隔離され、純粋さを守れたからこそ、独自の発展をして今に至る。私の一族もそうありたいのだよ……どうか、わかってくれ。			東方料理は、ほかの文化圏から隔離され、純粋さを守れたからこそ、独自の発展をして今に至る。私の一族もそうありたいのだよ……どうか、わかってくれ。			本場のレシピ							
お父様、それは酷いわ！もう、結婚を認めてくれなくて結構！いっそ……私のことを勘当してください！			お父様、それは酷いわ！もう、結婚を認めてくれなくて結構！いっそ……私のことを勘当してください！			本場のレシピ							
……わかりました。俺は……冒険者に戻ります。			……わかりました。俺は……冒険者に戻ります。			本場のレシピ							
ラルフ……そ、そんな……。			ラルフ……そ、そんな……。			本場のレシピ							
アンズ……あの男とはそもそも、縁がなかったということだ。さて、私は先に帰るぞ……。			アンズ……あの男とはそもそも、縁がなかったということだ。さて、私は先に帰るぞ……。			本場のレシピ							
ラルフはなぜあんな言葉を……？彼は、簡単に諦める人じゃなかったはず……。			ラルフはなぜあんな言葉を……？彼は、簡単に諦める人じゃなかったはず……。			本場のレシピ							
私はラルフを信じています。きっと何か考えがあったに違いありません。			私はラルフを信じています。きっと何か考えがあったに違いありません。			本場のレシピ							
どうか、これからもあの人の力になってあげてくれませんか？彼は調理場の方へ向かったようです。			どうか、これからもあの人の力になってあげてくれませんか？彼は調理場の方へ向かったようです。			本場のレシピ							
どうか、これからもラルフの力になってあげてくれませんか？彼は調理場の方へ向かったようです。			どうか、これからもラルフの力になってあげてくれませんか？彼は調理場の方へ向かったようです。			本場のレシピ							
またも無様なところを見せてしまって、すまなかった。見てのとおり、俺は店を辞めて冒険者に戻ることにしたが、アンズとの結婚を諦めたわけじゃないぜ……。			またも無様なところを見せてしまって、すまなかった。見てのとおり、俺は店を辞めて冒険者に戻ることにしたが、アンズとの結婚を諦めたわけじゃないぜ……。			本場のレシピ							
ウンザンさんの言う、東方料理がほかの文化圏から、隔離されて発展したということが、どうも引っかかるんだ。			ウンザンさんの言う、東方料理がほかの文化圏から、隔離されて発展したということが、どうも引っかかるんだ。			本場のレシピ							
そのことについて、しばらく考えてみることにするよ。もしかしたら、お義父さんの考えを変えれるかもしれない……。そのときは、また協力してもらえたら助かる。			そのことについて、しばらく考えてみることにするよ。もしかしたら、お義父さんの考えを変えれるかもしれない……。そのときは、また協力してもらえたら助かる。			本場のレシピ							
調理師ギルドのリングサスは、冒険者にラティシャの話を聞いてほしいようだ。			調理師ギルドのリングサスは、冒険者にラティシャの話を聞いてほしいようだ。			可憐なレシピ							
リングサスから依頼を受けた。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」と話そう。			リングサスから依頼を受けた。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」と話そう。			可憐なレシピ							
ラティシャと話した。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」に「ブラッドカーラントタルト」「ペストリーフィッシュ」「カモミールティー」を1皿ずつ納品しよう。			ラティシャと話した。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」に「ブラッドカーラントタルト」「ペストリーフィッシュ」「カモミールティー」を1皿ずつ納品しよう。			可憐なレシピ							
ラティシャに「ブラッドカーラントタルト」「ペストリーフィッシュ」「カモミールティー」を納品した。実は、今回の依頼は調理外交官の審査だった。今回の料理によって、ラティシャは、メルウィブ提督へ冒険者を自信を持って紹介できると確信したようだ。彼女の期待を裏切らぬよう、さらに調理師としての腕を磨き上げよう。※調理師のレベルが45以上になると、リングサスから次の調理師クエストを受注することができます。			ラティシャに「ブラッドカーラントタルト」「ペストリーフィッシュ」「カモミールティー」を納品した。実は、今回の依頼は調理外交官の審査だった。今回の料理によって、ラティシャは、メルウィブ提督へ冒険者を自信を持って紹介できると確信したようだ。彼女の期待を裏切らぬよう、さらに調理師としての腕を磨き上げよう。※調理師のレベルが45以上になると、リングサスから次の調理師クエストを受注することができます。			可憐なレシピ							
ラティシャと話す			ラティシャと話す			可憐なレシピ							
ラティシャに依頼品を納品			ラティシャに依頼品を納品			可憐なレシピ							
おう、Forename、ちょっといいか？ラティシャから、お前さんに頼みごとがあるらしい。ハッハ、大人気だなForename。			おう、Forename、ちょっといいか？ラティシャから、お前さんに頼みごとがあるらしい。ハッハ、大人気だなForename。			可憐なレシピ							
あいつが頼りにするのも、わかるってもんだぜ。なにせ、腕前でお前さんの上をいくのは、俺ぐらいだからな、ワッハッハ！			あいつが頼りにするのも、わかるってもんだぜ。なにせ、腕前でお前さんの上をいくのは、俺ぐらいだからな、ワッハッハ！			可憐なレシピ							
……ま、色々と頼りにされて大変だろうが、苦労がさらに腕を磨くって思って、観念しな。さあ、さっさと「ラティシャ」の話を聞いてやんな。			……ま、色々と頼りにされて大変だろうが、苦労がさらに腕を磨くって思って、観念しな。さあ、さっさと「ラティシャ」の話を聞いてやんな。			可憐なレシピ							
お待ちしてました。まずは、約束してください。今からご説明する依頼が、口外厳禁ということを。			お待ちしてました。まずは、約束してください。今からご説明する依頼が、口外厳禁ということを。			可憐なレシピ							
リムサ・ロミンサの政治の中枢アドミラルブリッジにて、近々、メルウィブ提督がお茶会を催されます。			リムサ・ロミンサの政治の中枢アドミラルブリッジにて、近々、メルウィブ提督がお茶会を催されます。			可憐なレシピ							
その会で出す献立を検討するための試作です。「ブラッドカーラントタルト」と「ペストリーフィッシュ」、それに「カモミールティー」を、1皿ずつお願いします。			その会で出す献立を検討するための試作です。「ブラッドカーラントタルト」と「ペストリーフィッシュ」、それに「カモミールティー」を、1皿ずつお願いします。			可憐なレシピ							
提督は、船乗りですから、お茶よりもお酒をお好みです。なのに、あえてお茶会を開催するということは……酒を飲めない国賓級のおもてなし、ということでしょう。			提督は、船乗りですから、お茶よりもお酒をお好みです。なのに、あえてお茶会を開催するということは……酒を飲めない国賓級のおもてなし、ということでしょう。			可憐なレシピ							
食される方の情報が少ないのは、不利ですが……あなたならば、必ず乗り越えてくれると信じています。心して、挑んでくださいね。			食される方の情報が少ないのは、不利ですが……あなたならば、必ず乗り越えてくれると信じています。心して、挑んでくださいね。			可憐なレシピ							
お茶会の支度は、順調でしょうか？「ブラッドカーラントタルト」と「ペストリーフィッシュ」、それに「カモミールティー」を1皿ずつお願いしますね。			お茶会の支度は、順調でしょうか？「ブラッドカーラントタルト」と「ペストリーフィッシュ」、それに「カモミールティー」を1皿ずつお願いしますね。			可憐なレシピ							
まあ、すでに、いい香りにつつまれています。これだけで、顔がほころんでしまいますね。では、さっそく試食させていただきます！			まあ、すでに、いい香りにつつまれています。これだけで、顔がほころんでしまいますね。では、さっそく試食させていただきます！			可憐なレシピ							
大変おいしゅうございました……舌はもちろん、目にも。まず、カモミールティーの可憐な香りと色……まるで、テーブルが花畑になったかのようです。			大変おいしゅうございました……舌はもちろん、目にも。まず、カモミールティーの可憐な香りと色……まるで、テーブルが花畑になったかのようです。			可憐なレシピ							
そして、ブラッドカーラントタルトとペストリーフィッシュの工芸品のごとき美しさ……食べるのがためらわれるほどです。			そして、ブラッドカーラントタルトとペストリーフィッシュの工芸品のごとき美しさ……食べるのがためらわれるほどです。			可憐なレシピ							
それを乗り越え……ひとたび口へ運べば、深い甘みと、さわやかな酸味が、至福の境地へわが身をいざなう……これは、もはや味わえる芸術品です！			それを乗り越え……ひとたび口へ運べば、深い甘みと、さわやかな酸味が、至福の境地へわが身をいざなう……これは、もはや味わえる芸術品です！			可憐なレシピ							
菓子類は、繊細な作業の連続であるだけでなく、芸術的センスも問われる、まさに難関の分野。これほどの腕なら、自信を持って提督に推薦できます。			菓子類は、繊細な作業の連続であるだけでなく、芸術的センスも問われる、まさに難関の分野。これほどの腕なら、自信を持って提督に推薦できます。			可憐なレシピ							
近々、国賓を招いた重要な会議が連続するそうで、最高の料理で歓待し、交渉を有利に進めたいとのこと。これを担う調理人の審査が今回の依頼の目的でした。			近々、国賓を招いた重要な会議が連続するそうで、最高の料理で歓待し、交渉を有利に進めたいとのこと。これを担う調理人の審査が今回の依頼の目的でした。			可憐なレシピ							
