トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
すべては、誰よりもみんなに愛されたくてやってたこと。だからね……死んじゃったら意味ないでしょ？			すべては、誰よりもみんなに愛されたくてやってたこと。だからね……死んじゃったら意味ないでしょ？			魂を蝕む病							
また別の方法を探すよ、ほかにやれることを全力でやるだけ。ねぇ、アタシを誰だと思ってるの……？			また別の方法を探すよ、ほかにやれることを全力でやるだけ。ねぇ、アタシを誰だと思ってるの……？			魂を蝕む病							
トップアイドル、ハニー・Ｂ・ラブリーだよ☆			トップアイドル、ハニー・Ｂ・ラブリーだよ☆			魂を蝕む病							
それじゃあ、アタシは配信番組があるから、もう帰るね。黒ネコちゃんも、妹ちゃんも、挑戦者ちゃんも、大事なコト教えてくれて、ありがと～☆			それじゃあ、アタシは配信番組があるから、もう帰るね。黒ネコちゃんも、妹ちゃんも、挑戦者ちゃんも、大事なコト教えてくれて、ありがと～☆			魂を蝕む病							
さ、さすが、Ｂセンパイ……かっこいいわ。			さ、さすが、Ｂセンパイ……かっこいいわ。			魂を蝕む病							
あと、現時点で伝えられるのは、アンタが倒したライトヘビー級の元王者、ブルートボンバーだ。			あと、現時点で伝えられるのは、アンタが倒したライトヘビー級の元王者、ブルートボンバーだ。			魂を蝕む病							
あいつとはあまり仲良くないけど、同じ階級の仲間だからね。どうせ、呼んでも来ないだろうから、自宅のある、居住殻まで向かおう。			あいつとはあまり仲良くないけど、同じ階級の仲間だからね。どうせ、呼んでも来ないだろうから、自宅のある、居住殻まで向かおう。			魂を蝕む病							
私は外出するとき、いつも携帯型の端末を持ち歩いているんです。これを使えば、ジムじゃなくても魂蝕症の検診もできますよ。			私は外出するとき、いつも携帯型の端末を持ち歩いているんです。これを使えば、ジムじゃなくても魂蝕症の検診もできますよ。			魂を蝕む病							
さて、ブルートボンバーの部屋にお邪魔しよう。大人しく話を聞いてくれるといいんだけど……。			さて、ブルートボンバーの部屋にお邪魔しよう。大人しく話を聞いてくれるといいんだけど……。			魂を蝕む病							
かわいいでちゅね～！			かわいいでちゅね～！			魂を蝕む病							
(-爽やかなヘイザ・アロ族-)なんだよ～、キミばっかりズルいぞ～。			(-爽やかなヘイザ・アロ族-)なんだよ～、キミばっかりズルいぞ～。			魂を蝕む病							
へっ、この子たちは俺のもんだ、お前はさっさと彼女のもとに帰んな。			へっ、この子たちは俺のもんだ、お前はさっさと彼女のもとに帰んな。			魂を蝕む病							
(-爽やかなヘイザ・アロ族-)……傷口を抉るなよ。彼女には捨てられたって、話しただろ。			(-爽やかなヘイザ・アロ族-)……傷口を抉るなよ。彼女には捨てられたって、話しただろ。			魂を蝕む病							
(-爽やかなヘイザ・アロ族-)さあ、こっちにおいで～。			(-爽やかなヘイザ・アロ族-)さあ、こっちにおいで～。			魂を蝕む病							
え、えっと、一緒にいるのは姉さんの……じゃなくて、クルーザー級の王者だよ。			え、えっと、一緒にいるのは姉さんの……じゃなくて、クルーザー級の王者だよ。			魂を蝕む病							
困ったな、対戦前の闘士に聞かれるのはマズい……。			困ったな、対戦前の闘士に聞かれるのはマズい……。			魂を蝕む病							
な、なんだテメェらは？ぶっ飛ばされに来たのかっ！？			な、なんだテメェらは？ぶっ飛ばされに来たのかっ！？			魂を蝕む病							
(-爽やかなヘイザ・アロ族-)キミは生身の挑戦者、Forenameだね？			(-爽やかなヘイザ・アロ族-)キミは生身の挑戦者、Forenameだね？			魂を蝕む病							
初めまして、クルーザー級の現王者「ハウリングブレード」です。試合で闘えることを楽しみにしてるよ、どうぞよろしくね！			初めまして、クルーザー級の現王者「ハウリングブレード」です。試合で闘えることを楽しみにしてるよ、どうぞよろしくね！			魂を蝕む病							
何と言う？			何と言う？			魂を蝕む病							
よろしく			よろしく			魂を蝕む病							
リングに沈めてやるぜ！			リングに沈めてやるぜ！			魂を蝕む病							
…………			…………			魂を蝕む病							
キミ、悪役闘士(ヒール)だっけ？威勢があっていいね。			キミ、悪役闘士(ヒール)だっけ？威勢があっていいね。			魂を蝕む病							
ああ、ボクも普段はレギュレーターを着けていないんだ。そういう主義を持った両親に育てられたもんでね。			ああ、ボクも普段はレギュレーターを着けていないんだ。そういう主義を持った両親に育てられたもんでね。			魂を蝕む病							
ヤーナたちも同じだったらしいけど、ユトロープの勧めで着け始めたんだっけ。			ヤーナたちも同じだったらしいけど、ユトロープの勧めで着け始めたんだっけ。			魂を蝕む病							
もっとも、アルカディアの試合のときには、魔物の魂を注入するために使うから……そこは生身の挑戦者のキミとは違うね。			もっとも、アルカディアの試合のときには、魔物の魂を注入するために使うから……そこは生身の挑戦者のキミとは違うね。			魂を蝕む病							
と、ところで、ふたりは仲良かったんだね。			と、ところで、ふたりは仲良かったんだね。			魂を蝕む病							
善玉闘士(ベビーフェイス)のボクと、根っからの悪役闘士(ヒール)である彼が親友だなんて驚いたかい？実は幼馴染同士の腐れ縁ってやつでね。			善玉闘士(ベビーフェイス)のボクと、根っからの悪役闘士(ヒール)である彼が親友だなんて驚いたかい？実は幼馴染同士の腐れ縁ってやつでね。			魂を蝕む病							
ふたりとも斡旋された仕事にも馴染めなくて、つるんで馬鹿なこともやったもんさ。でも、そんなボクたちをオーナーが拾ってくれたんだ。			ふたりとも斡旋された仕事にも馴染めなくて、つるんで馬鹿なこともやったもんさ。でも、そんなボクたちをオーナーが拾ってくれたんだ。			魂を蝕む病							
闘士は過酷な仕事だけど、まさに天職だった。彼なんか人とまともに喋れないくらいシャイだったのに、ブルートボンバーになってから、生まれ変わったみたいに……			闘士は過酷な仕事だけど、まさに天職だった。彼なんか人とまともに喋れないくらいシャイだったのに、ブルートボンバーになってから、生まれ変わったみたいに……			魂を蝕む病							
う、うるせえ！余計なこと言うなっ……！			う、うるせえ！余計なこと言うなっ……！			魂を蝕む病							
思えば、ボクらの人生はアルカディアがすべてだ。オーナーに感謝しないとね。			思えば、ボクらの人生はアルカディアがすべてだ。オーナーに感謝しないとね。			魂を蝕む病							
……まあな。			……まあな。			魂を蝕む病							
さて、ボクはネコちゃんに会いに寄っただけだから、そろそろ帰るよ。			さて、ボクはネコちゃんに会いに寄っただけだから、そろそろ帰るよ。			魂を蝕む病							
それじゃまたね、Forename。			それじゃまたね、Forename。			魂を蝕む病							
……で、テメェらは何しに来たんだ？			……で、テメェらは何しに来たんだ？			魂を蝕む病							
実は……大事な話があるんだ。			実は……大事な話があるんだ。			魂を蝕む病							
嘘だ！オーナーはそんなことしねぇ！！			嘘だ！オーナーはそんなことしねぇ！！			魂を蝕む病							
いま、ブルートボンバーさんの検査結果が出ました。残念ながら……すでに魂蝕症を発症しているようです。			いま、ブルートボンバーさんの検査結果が出ました。残念ながら……すでに魂蝕症を発症しているようです。			魂を蝕む病							
デタラメを言うなっ！！			デタラメを言うなっ！！			魂を蝕む病							
うぐっ……			うぐっ……			魂を蝕む病							
魂が蝕まれることで肉体との感覚がズレて、激しいめまいを感じてしまう、魂蝕症の初期症状です。そのまま放置すれば、やがて肉体も弱り始めて最後には……。			魂が蝕まれることで肉体との感覚がズレて、激しいめまいを感じてしまう、魂蝕症の初期症状です。そのまま放置すれば、やがて肉体も弱り始めて最後には……。			魂を蝕む病							
いま私たちで魂蝕症の治療法を探ってるんだ。アンタがアルカディアに並々ならぬ想いがあるのはわかる、私だってそうだったからさ……。			いま私たちで魂蝕症の治療法を探ってるんだ。アンタがアルカディアに並々ならぬ想いがあるのはわかる、私だってそうだったからさ……。			魂を蝕む病							
でも、すでに発症してしまったなら、なおさら病の進行を止めるため、闘士は引退した方がいいと思うんだ……。			でも、すでに発症してしまったなら、なおさら病の進行を止めるため、闘士は引退した方がいいと思うんだ……。			魂を蝕む病							
うるせぇ、くだらねぇホラ話をしやがって！とっとと出ていきやがれッ！			うるせぇ、くだらねぇホラ話をしやがって！とっとと出ていきやがれッ！			魂を蝕む病							
少なくとも忠告はできたんだ。これからどうするかは……自分で決めてもらうしかない。ジムに戻ろう。			少なくとも忠告はできたんだ。これからどうするかは……自分で決めてもらうしかない。ジムに戻ろう。			魂を蝕む病							
ブルートボンバーさんに、魂蝕症の発症を伝えるのはつらかったです……。			ブルートボンバーさんに、魂蝕症の発症を伝えるのはつらかったです……。			魂を蝕む病							
ユト姉に加え、ブルートボンバーまで発症しているなんて……。魂蝕症の治療法を早く見つけないと。			ユト姉に加え、ブルートボンバーまで発症しているなんて……。魂蝕症の治療法を早く見つけないと。			魂を蝕む病							
以前、ユト姉は並外れて濃い魂を注入するのが、唯一の治療法だと言ってました。だから、彼女はあなたの魂を狙っていた。			以前、ユト姉は並外れて濃い魂を注入するのが、唯一の治療法だと言ってました。だから、彼女はあなたの魂を狙っていた。			魂を蝕む病							
たしかに、オリジェニクスの研究データにも、仮説段階だが濃い魂による補強が有効だろうと記されてました。でも、私たちが求めるのは、ほかの方法です。			たしかに、オリジェニクスの研究データにも、仮説段階だが濃い魂による補強が有効だろうと記されてました。でも、私たちが求めるのは、ほかの方法です。			魂を蝕む病							
膨大なデータを隅々まで読み込んでいって、それを探ってみようと思います！			膨大なデータを隅々まで読み込んでいって、それを探ってみようと思います！			魂を蝕む病							
あのユト姉が見つけられなかった治療法……簡単じゃないけど、どうにかしないとね。			あのユト姉が見つけられなかった治療法……簡単じゃないけど、どうにかしないとね。			魂を蝕む病							
でもさ、私が知ってる姉さんなら、自分の命惜しさに誰かの命を狙ったりしないと思うんだ。まだ何かを隠してる、そんな気がしてならないんだよ……。			でもさ、私が知ってる姉さんなら、自分の命惜しさに誰かの命を狙ったりしないと思うんだ。まだ何かを隠してる、そんな気がしてならないんだよ……。			魂を蝕む病							
うん……うん……わかった。			うん……うん……わかった。			魂を蝕む病							
メテムからの連絡……そろそろクルーザー級の試合を始めるから、「アルカディア・ソサエティの控室」に来いってさ。			メテムからの連絡……そろそろクルーザー級の試合を始めるから、「アルカディア・ソサエティの控室」に来いってさ。			魂を蝕む病							
Forenameさん、次の試合も、がんばってください！そして、くれぐれもお気をつけて……。			Forenameさん、次の試合も、がんばってください！そして、くれぐれもお気をつけて……。			魂を蝕む病							
魂蝕症の治療法はこちらに任せて、Forenameさんは、試合に専念してください！			魂蝕症の治療法はこちらに任せて、Forenameさんは、試合に専念してください！			魂を蝕む病							
お待ちしておりました、Forename様。アルカディア・ソサエティの控室までご案内いたしましょう。			お待ちしておりました、Forename様。アルカディア・ソサエティの控室までご案内いたしましょう。			魂を蝕む病							
「アルカディア・ソサエティの控室」へ移動しますか？			「アルカディア・ソサエティの控室」へ移動しますか？			魂を蝕む病							
(-騒々しいシャトナ族-)ライトヘビー級王者、ウェーイ！！			(-騒々しいシャトナ族-)ライトヘビー級王者、ウェーイ！！			魂を蝕む病							
(-ふてぶてしいミララ族-)スカスカの部屋はつまらないでちゅ。あたちのアートを描き足ちておきまちた。			(-ふてぶてしいミララ族-)スカスカの部屋はつまらないでちゅ。あたちのアートを描き足ちておきまちた。			魂を蝕む病							
(-ふてぶてしいミララ族-)あなたの闘い方は、なかなかおもちろい。よいインチュピレーチョンをもらえちょう。			(-ふてぶてしいミララ族-)あなたの闘い方は、なかなかおもちろい。よいインチュピレーチョンをもらえちょう。			魂を蝕む病							
(-騒々しいシャトナ族-)それじゃあ、楽しいパーティーにしようぜ！ウェーイ！！			(-騒々しいシャトナ族-)それじゃあ、楽しいパーティーにしようぜ！ウェーイ！！			魂を蝕む病							
お察しのとおり、彼らがキミと戦うクルーザー級の闘士たちだよ。すでに王者とは、図らずも挨拶を済ませたそうだがね……。			お察しのとおり、彼らがキミと戦うクルーザー級の闘士たちだよ。すでに王者とは、図らずも挨拶を済ませたそうだがね……。			魂を蝕む病							
とにかく、こんな状況であっても、娯楽で市民の不安を和らげることも我々の役目だ。			とにかく、こんな状況であっても、娯楽で市民の不安を和らげることも我々の役目だ。			魂を蝕む病							
それでは、今回もアメージングな闘いで、アルカディアを大いに盛り上げてくれることを期待してるよ！			それでは、今回もアメージングな闘いで、アルカディアを大いに盛り上げてくれることを期待してるよ！			魂を蝕む病							
クルーザー級の闘士たちも個性的だろう？ただし、派手なのは見てくれだけじゃない。			クルーザー級の闘士たちも個性的だろう？ただし、派手なのは見てくれだけじゃない。			魂を蝕む病							
彼らが注入する魔物の魂はライトヘビー級の闘士よりも、「魂のグレード」が高いから、攻撃も派手で激しくなるんだ。がっつり気合入れていこう！			彼らが注入する魔物の魂はライトヘビー級の闘士よりも、「魂のグレード」が高いから、攻撃も派手で激しくなるんだ。がっつり気合入れていこう！			魂を蝕む病							
アルカディア・ソサエティの控室にいるヤーナは、冒険者が気合を入れるのを待っているようだ。			アルカディア・ソサエティの控室にいるヤーナは、冒険者が気合を入れるのを待っているようだ。			パーティー野郎							
ヤーナから初戦の相手の紹介を受けた。パーティー野郎「ダンシング・グリーン」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			ヤーナから初戦の相手の紹介を受けた。パーティー野郎「ダンシング・グリーン」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			パーティー野郎							
ダンシング・グリーンに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			ダンシング・グリーンに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			パーティー野郎							
ヤーナから勝利を祝福された。次の試合に向けて準備ができたら、またヤーナに声をかけよう。			ヤーナから勝利を祝福された。次の試合に向けて準備ができたら、またヤーナに声をかけよう。			パーティー野郎							
「至天の座アルカディア：クルーザー級1」を攻略			「至天の座アルカディア：クルーザー級1」を攻略			パーティー野郎							
ヤーナと話す			ヤーナと話す			パーティー野郎							
よし、気合は十分みたいだね。外から来たゲームチェンジャー、生身の挑戦者、Forenameの再始動だ！			よし、気合は十分みたいだね。外から来たゲームチェンジャー、生身の挑戦者、Forenameの再始動だ！			パーティー野郎							
それじゃあ、さっそく闘士を紹介しよう。モニターを見て。			それじゃあ、さっそく闘士を紹介しよう。モニターを見て。			パーティー野郎							
クルーザー級、初戦の相手は、パーティー野郎「ダンシング・グリーン」！			クルーザー級、初戦の相手は、パーティー野郎「ダンシング・グリーン」！			パーティー野郎							
夜な夜な歓楽街を渡り歩く遊び人でさ。コイツときたら、アルカディアで闘うことさえ、楽しいパーティーだと思ってるんだとか……。			夜な夜な歓楽街を渡り歩く遊び人でさ。コイツときたら、アルカディアで闘うことさえ、楽しいパーティーだと思ってるんだとか……。			パーティー野郎							
トードの魂によって得た驚異的な身体能力を活かし、ダンスをしながら闘うスタイルでね。闘技場に流れる音楽に「ノれるかどうか」も勝敗のカギになるよ。			トードの魂によって得た驚異的な身体能力を活かし、ダンスをしながら闘うスタイルでね。闘技場に流れる音楽に「ノれるかどうか」も勝敗のカギになるよ。			パーティー野郎							
郷に入っては郷に従え。コイツと闘うなら、パーティーとして楽しんだ方が、案外、うまくいくかもしれないね。			郷に入っては郷に従え。コイツと闘うなら、パーティーとして楽しんだ方が、案外、うまくいくかもしれないね。			パーティー野郎							
さあ、このチャラいパーティー野郎をぶっ飛ばして、クルーザー級の初戦を突破しよう！			さあ、このチャラいパーティー野郎をぶっ飛ばして、クルーザー級の初戦を突破しよう！			パーティー野郎							
ちなみに、リングは煌びやかなダンスフロアになってて、観客たちまでノリノリなんだ。そんな中で、アンタこそ主役になってくれ！			ちなみに、リングは煌びやかなダンスフロアになってて、観客たちまでノリノリなんだ。そんな中で、アンタこそ主役になってくれ！			パーティー野郎							
クルーザー級の初戦突破、おめでとう！新たな階級でも、アンタは十分通用するって証明できたね。			クルーザー級の初戦突破、おめでとう！新たな階級でも、アンタは十分通用するって証明できたね。			パーティー野郎							
アルカディア・ソサエティの控室にいるヤーナは、次の相手を紹介したいようだ。			アルカディア・ソサエティの控室にいるヤーナは、次の相手を紹介したいようだ。			リングはアトリエ							
ヤーナから2人目の相手の紹介を受けた。リングはアトリエ「シュガーライオット」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			ヤーナから2人目の相手の紹介を受けた。リングはアトリエ「シュガーライオット」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			リングはアトリエ							
シュガーライオットに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			シュガーライオットに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			リングはアトリエ							
ヤーナは、ダンシング・グリーンとシュガーライオットに魂蝕症のことを伝え、ふたりは引退を決意するのだった。			ヤーナは、ダンシング・グリーンとシュガーライオットに魂蝕症のことを伝え、ふたりは引退を決意するのだった。			リングはアトリエ							
「至天の座アルカディア：クルーザー級2」を攻略			「至天の座アルカディア：クルーザー級2」を攻略			リングはアトリエ							
ヤーナと話す			ヤーナと話す			リングはアトリエ							
さあ、このまま勝ち抜いていこう！生身の挑戦者の快進撃は始まったばかりだ。			さあ、このまま勝ち抜いていこう！生身の挑戦者の快進撃は始まったばかりだ。			リングはアトリエ							
次の闘士を紹介するから、モニターを見て。			次の闘士を紹介するから、モニターを見て。			リングはアトリエ							
クルーザー級、2人目の相手は、リングはアトリエ「シュガーライオット」！			クルーザー級、2人目の相手は、リングはアトリエ「シュガーライオット」！			リングはアトリエ							
元はグラフィティ・アーティストってやつでね。ソリューション・ナインの街中にある落書きは、大抵は彼女の手によるものか、そのスタイルを模倣したものさ。			元はグラフィティ・アーティストってやつでね。ソリューション・ナインの街中にある落書きは、大抵は彼女の手によるものか、そのスタイルを模倣したものさ。			リングはアトリエ							
プリンの魂を注入することで特殊な塗料を生成して、スプレーガンで描いたアートを具現化させてくるんだ。その力で、リングの環境まで変えてしまうんだよ。			プリンの魂を注入することで特殊な塗料を生成して、スプレーガンで描いたアートを具現化させてくるんだ。その力で、リングの環境まで変えてしまうんだよ。			リングはアトリエ							
彼女にとって、リングはアトリエで、闘いは芸術表現ってわけ。独特な言動も含めて、呑まれたら一巻の終わり……。何がきても、冷静な判断を心掛けてくれ！			彼女にとって、リングはアトリエで、闘いは芸術表現ってわけ。独特な言動も含めて、呑まれたら一巻の終わり……。何がきても、冷静な判断を心掛けてくれ！			リングはアトリエ							
さあ、この勢いでシュガーライオットを倒して、クルーザー級王者への階段を駆け上がろう！			さあ、この勢いでシュガーライオットを倒して、クルーザー級王者への階段を駆け上がろう！			リングはアトリエ							
そうそう、遠隔観戦してる観客まで、シュガーライオットによって徹底してデザインされてるんだ。余裕があったら外周を見てごらん。			そうそう、遠隔観戦してる観客まで、シュガーライオットによって徹底してデザインされてるんだ。余裕があったら外周を見てごらん。			リングはアトリエ							
さすがだね！アンタならやってくれると信じてたよ！			さすがだね！アンタならやってくれると信じてたよ！			リングはアトリエ							
次は、いよいよクルーザー級王者が相手だけど……しばらく時間もあるし、その前にやっておきたいことがある。			次は、いよいよクルーザー級王者が相手だけど……しばらく時間もあるし、その前にやっておきたいことがある。			リングはアトリエ							
試合が終わった、ダンシング・グリーンとシュガーライオットに、魂蝕症のことを伝え、発症してないか調べてあげたいんだ。彼らにだって、何も知らずに死んでほしくないからね。			試合が終わった、ダンシング・グリーンとシュガーライオットに、魂蝕症のことを伝え、発症してないか調べてあげたいんだ。彼らにだって、何も知らずに死んでほしくないからね。			リングはアトリエ							
この控室に盗聴器の類がないかは、あらかじめ確認済みさ。ネユニの端末を借りてきたから、私が検診をするよ。			この控室に盗聴器の類がないかは、あらかじめ確認済みさ。ネユニの端末を借りてきたから、私が検診をするよ。			リングはアトリエ							
そろそろ、来てくれるはずなんだけど……			そろそろ、来てくれるはずなんだけど……			リングはアトリエ							
ウェーイ！もしかして打ち上げのパーティーでも始めるのかい？			ウェーイ！もしかして打ち上げのパーティーでも始めるのかい？			リングはアトリエ							
あなたとの闘いで得たインチュピレーチョンを、はやくアートに昇華ちたいのに……なんの用なのかちら？			あなたとの闘いで得たインチュピレーチョンを、はやくアートに昇華ちたいのに……なんの用なのかちら？			リングはアトリエ							
検診の結果、幸いふたりとも発症してなかったけど……かなり危うい数値が出ちゃってる。つまり、魂蝕症を防ぐには闘士を続けるべきじゃないってこと。			検診の結果、幸いふたりとも発症してなかったけど……かなり危うい数値が出ちゃってる。つまり、魂蝕症を防ぐには闘士を続けるべきじゃないってこと。			リングはアトリエ							
俄然、気分がサガっちまったな……。			俄然、気分がサガっちまったな……。			リングはアトリエ							
にわかには信じられまちぇんが、あなたもハニー・Ｂも引退ちゅると聞きまちた。嘘を言っているわけでもなさそうでちゅ。			にわかには信じられまちぇんが、あなたもハニー・Ｂも引退ちゅると聞きまちた。嘘を言っているわけでもなさそうでちゅ。			リングはアトリエ							
突然、引退しろだなんて受け入れがたいと思う。でもさ、どうか命の大切さをよく考えて決断してほしい。			突然、引退しろだなんて受け入れがたいと思う。でもさ、どうか命の大切さをよく考えて決断してほしい。			リングはアトリエ							
決めた、オレは引退するぜ。ここだけの話、ダンシング・グリーンでいるのはキツかったんだ。			決めた、オレは引退するぜ。ここだけの話、ダンシング・グリーンでいるのはキツかったんだ。			リングはアトリエ							
パーティー野郎っていうイメージを保つために、無理してまで、歓楽街を遊び歩かなきゃならなくてさ……。休日もダンスの練習でヘトヘトだったんだ。			パーティー野郎っていうイメージを保つために、無理してまで、歓楽街を遊び歩かなきゃならなくてさ……。休日もダンスの練習でヘトヘトだったんだ。			リングはアトリエ							
なかなか言い出せなかったから、いい機会だったぜ。ダンスはもともと好きだったんだが……それはほかでもできるからな。			なかなか言い出せなかったから、いい機会だったぜ。ダンスはもともと好きだったんだが……それはほかでもできるからな。			リングはアトリエ							
私、ずっとダンシング・グリーンは、本当にパーティーで遊び明かすのが好きだって思ってた。結構、大変だったんだね……。			私、ずっとダンシング・グリーンは、本当にパーティーで遊び明かすのが好きだって思ってた。結構、大変だったんだね……。			リングはアトリエ							
アルカディアは、あたちの大事なアトリエでちゅ。だから、失うのはとても残念……。			アルカディアは、あたちの大事なアトリエでちゅ。だから、失うのはとても残念……。			リングはアトリエ							
でも、もとはといえば、あたちの原点はチュトリート。もちかちたら、初心に返ってアートを見ちゅめ直せっていう、啓示かもちれまちぇん。			でも、もとはといえば、あたちの原点はチュトリート。もちかちたら、初心に返ってアートを見ちゅめ直せっていう、啓示かもちれまちぇん。			リングはアトリエ							
あたちにとって壁というキャンバチュさえあれば、街中、どこでもアトリエでちゅから！			あたちにとって壁というキャンバチュさえあれば、街中、どこでもアトリエでちゅから！			リングはアトリエ							
それによ、魂を使わず真っ向勝負してくるアンタを見てたらさ……素の自分ってヤツも、イイもんだなって思えたからな！			それによ、魂を使わず真っ向勝負してくるアンタを見てたらさ……素の自分ってヤツも、イイもんだなって思えたからな！			リングはアトリエ							
ふたりとも、真剣に考えてくれてありがとう！			ふたりとも、真剣に考えてくれてありがとう！			リングはアトリエ							
まだまだ、死にたくありまちぇんからね。忠告ちてくれて助かりまちた。			まだまだ、死にたくありまちぇんからね。忠告ちてくれて助かりまちた。			リングはアトリエ							
ここで長く話し込んでると怪しまれそうだな。どのタイミングでソサエティに意志を伝えるかは、日を改めて相談しようぜ。			ここで長く話し込んでると怪しまれそうだな。どのタイミングでソサエティに意志を伝えるかは、日を改めて相談しようぜ。			リングはアトリエ							
アンタとの闘いで影響を受けたのはもちろんだけど……あのふたりも、Ｂセンパイと同じで、ここ以外に活躍の場を持ってるのが救いになったね。			アンタとの闘いで影響を受けたのはもちろんだけど……あのふたりも、Ｂセンパイと同じで、ここ以外に活躍の場を持ってるのが救いになったね。			リングはアトリエ							
それに比べて……ブルートボンバーやハウリングブレードは、アルカディアがすべてだって言ってた。			それに比べて……ブルートボンバーやハウリングブレードは、アルカディアがすべてだって言ってた。			リングはアトリエ							
彼らは簡単に引退しないだろう。その気持ちも痛いほどわかるけれどさ……。			彼らは簡単に引退しないだろう。その気持ちも痛いほどわかるけれどさ……。			リングはアトリエ							
アルカディア・ソサエティの控室にいるヤーナは、考え込んでいる様子だ。			アルカディア・ソサエティの控室にいるヤーナは、考え込んでいる様子だ。			反則王のリベンジ							
次の試合までジムで備えることになった。ソリューション・ナインのジム・トライテール前にいる「ヤーナ」と話そう。			次の試合までジムで備えることになった。ソリューション・ナインのジム・トライテール前にいる「ヤーナ」と話そう。			反則王のリベンジ							
ジムに戻ったところ、急遽、ブルートボンバーとの場外戦が行われることになった。ソリューション・ナインのアルカディア・ソサエティ前にいる「アルカディアの運転手」と話そう。			ジムに戻ったところ、急遽、ブルートボンバーとの場外戦が行われることになった。ソリューション・ナインのアルカディア・ソサエティ前にいる「アルカディアの運転手」と話そう。			反則王のリベンジ							
アルカディアの運転手に、第八層建設区域まで送ってもらった。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの運転手」と話せば再度向かえるようだ。			アルカディアの運転手に、第八層建設区域まで送ってもらった。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの運転手」と話せば再度向かえるようだ。			反則王のリベンジ							
ブルートボンバーは複数の魔物の魂を注入し、ブルートアボミネーターとなった。反則王のリベンジ「ブルートアボミネーター」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			ブルートボンバーは複数の魔物の魂を注入し、ブルートアボミネーターとなった。反則王のリベンジ「ブルートアボミネーター」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			反則王のリベンジ							
ブルートアボミネーターに勝利した。第八層建設区域でヤーナを待とう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの運転手」と話せば再度向かえるようだ。			ブルートアボミネーターに勝利した。第八層建設区域でヤーナを待とう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの運転手」と話せば再度向かえるようだ。			反則王のリベンジ							
ブルートボンバーは魂蝕症が悪化し、人に戻ることなく死んでしまった。そこに、クルーザー級王者のハウリングブレードが現れ、自分も魂蝕症を発症しているが、死ぬ覚悟で闘士を続けると語った。ジム・トライテールに戻り、「ヤーナ」と話そう。			ブルートボンバーは魂蝕症が悪化し、人に戻ることなく死んでしまった。そこに、クルーザー級王者のハウリングブレードが現れ、自分も魂蝕症を発症しているが、死ぬ覚悟で闘士を続けると語った。ジム・トライテールに戻り、「ヤーナ」と話そう。			反則王のリベンジ							
ジム・トライテールに戻ったところ、ネユニの姿が消えていた……。			ジム・トライテールに戻ったところ、ネユニの姿が消えていた……。			反則王のリベンジ							
ジム・トライテール前のヤーナと話す			ジム・トライテール前のヤーナと話す			反則王のリベンジ							
アルカディアの運転手と話す			アルカディアの運転手と話す			反則王のリベンジ							
「至天の座アルカディア：クルーザー級3」を攻略			「至天の座アルカディア：クルーザー級3」を攻略			反則王のリベンジ							
ヤーナと話す			ヤーナと話す			反則王のリベンジ							
……何にせよ、今は試合に勝つことが最優先だ。一度、ジムに戻って備えるとしようか。			……何にせよ、今は試合に勝つことが最優先だ。一度、ジムに戻って備えるとしようか。			反則王のリベンジ							
さあ、入ろうか。ふたりの闘士が引退を決意してくれたこと、きっとネユニも喜んでくれるだろう。			さあ、入ろうか。ふたりの闘士が引退を決意してくれたこと、きっとネユニも喜んでくれるだろう。			反則王のリベンジ							
たいへん、たいへん！			たいへん、たいへん！			反則王のリベンジ							
とにかく、これを見て……！			とにかく、これを見て……！			反則王のリベンジ							
この店にある強力な魔物の魂を、ありったけよこしやがれっ！			この店にある強力な魔物の魂を、ありったけよこしやがれっ！			反則王のリベンジ							
