ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			事件屋の行方							
ナシュ・マカラッカと話し、窃盗犯のアイクロプスを追った。ハルディボイルドとヒルディブランドの活躍で、窃盗犯のアイクロプスは観念して、事件の裏に研究者の男がいることが判明した。レクリエーションゾーンに戻り、「ヒルディブランド」と話そう。			ナシュ・マカラッカと話し、窃盗犯のアイクロプスを追った。ハルディボイルドとヒルディブランドの活躍で、窃盗犯のアイクロプスは観念して、事件の裏に研究者の男がいることが判明した。レクリエーションゾーンに戻り、「ヒルディブランド」と話そう。			はなたれた魔物							
引き続き「魔物化犯罪者脱走事件」を追っていくことになった。ハルディボイルドが次なるデータを復元した頃合いに、また彼のもとに戻ってこよう。			引き続き「魔物化犯罪者脱走事件」を追っていくことになった。ハルディボイルドが次なるデータを復元した頃合いに、また彼のもとに戻ってこよう。			はなたれた魔物							
ソリューション・ナインのハルディボイルドと話す			ソリューション・ナインのハルディボイルドと話す			はなたれた魔物							
エレクトロープ採石場にいる採石場の職員と話す			エレクトロープ採石場にいる採石場の職員と話す			はなたれた魔物							
ヒルディブランドと話す			ヒルディブランドと話す			はなたれた魔物							
窃盗犯のアイクロプスを探す			窃盗犯のアイクロプスを探す			はなたれた魔物							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			はなたれた魔物							
ソリューション・ナインのヒルディブランドと話す			ソリューション・ナインのヒルディブランドと話す			はなたれた魔物							
事件屋ヒルディブランド、完全復活ですぞ……！			事件屋ヒルディブランド、完全復活ですぞ……！			はなたれた魔物							
ヒルディブランド様、ナシュが用意した、いつものお洋服に着替えました～！			ヒルディブランド様、ナシュが用意した、いつものお洋服に着替えました～！			はなたれた魔物							
もう一度、ユウェヤーワータへ向かうのでしたら、ホバーカーゴを出しましょう。			もう一度、ユウェヤーワータへ向かうのでしたら、ホバーカーゴを出しましょう。			はなたれた魔物							
「ユウェヤーワータ」へ移動しますか？			「ユウェヤーワータ」へ移動しますか？			はなたれた魔物							
それじゃあ、俺が嗅ぎつけた新たな事件について、順を追って話すとしよう。			それじゃあ、俺が嗅ぎつけた新たな事件について、順を追って話すとしよう。			はなたれた魔物							
この施設を調べたアンタは、ここで人の魂を魔物に移す研究が行われていたと言っていたな。だが、成果を挙げられずに閉鎖に追い込まれたと……。			この施設を調べたアンタは、ここで人の魂を魔物に移す研究が行われていたと言っていたな。だが、成果を挙げられずに閉鎖に追い込まれたと……。			はなたれた魔物							
おそらく、その後に何らかの事故が発生して、職員たちは生ける屍と化しちまった。			おそらく、その後に何らかの事故が発生して、職員たちは生ける屍と化しちまった。			はなたれた魔物							
ところが、俺が先程見つけた手記によると、生き残りの研究者もいて、施設閉鎖後も独自に動いていたらしい。			ところが、俺が先程見つけた手記によると、生き残りの研究者もいて、施設閉鎖後も独自に動いていたらしい。			はなたれた魔物							
手記の書き手によると、トラルヴィドラールとかいう制御不可能な怪物に見切りをつけ、より手懐けやすい魔物に、人の魂を入れる実験を続けたそうだ。			手記の書き手によると、トラルヴィドラールとかいう制御不可能な怪物に見切りをつけ、より手懐けやすい魔物に、人の魂を入れる実験を続けたそうだ。			はなたれた魔物							
なんと……自分の魂を、魔物の身体に移したのですか！？			なんと……自分の魂を、魔物の身体に移したのですか！？			はなたれた魔物							
いや、そこまでは狂っちゃいないさ。罪を犯して収監されていた犯罪者たちに目をつけたんだ。			いや、そこまでは狂っちゃいないさ。罪を犯して収監されていた犯罪者たちに目をつけたんだ。			はなたれた魔物							
偽の「更生プログラム」をでっち上げて、犯罪者を移送させて、その魂を抜いて実験に使ったのさ。			偽の「更生プログラム」をでっち上げて、犯罪者を移送させて、その魂を抜いて実験に使ったのさ。			はなたれた魔物							
そんな～。魂を移された魔物たちはどうなったんですか～？			そんな～。魂を移された魔物たちはどうなったんですか～？			はなたれた魔物							
俺も気になって、手記に書かれていた収容室を見にいったが……残念ながら、もぬけの殻だった。			俺も気になって、手記に書かれていた収容室を見にいったが……残念ながら、もぬけの殻だった。			はなたれた魔物							
しかも檻の解錠記録には、つい最近の日付が記録されていた。つまり…………			しかも檻の解錠記録には、つい最近の日付が記録されていた。つまり…………			はなたれた魔物							
「魔物化犯罪者脱走事件」発生ですな！危険な彼らを一刻も早く探し出し、捕まえなければなりません！			「魔物化犯罪者脱走事件」発生ですな！危険な彼らを一刻も早く探し出し、捕まえなければなりません！			はなたれた魔物							
まあ、現時点では可能性があるというだけだがな。とはいえ危険に気づいた以上、探偵として見過ごせない。			まあ、現時点では可能性があるというだけだがな。とはいえ危険に気づいた以上、探偵として見過ごせない。			はなたれた魔物							
俺はくだんの収容室を調べたときに、手記の書き手のものらしい記録媒体(ストレージ)を見つけている。物理的に破損していたが、うまくやればデータを復元できそうだ。			俺はくだんの収容室を調べたときに、手記の書き手のものらしい記録媒体(ストレージ)を見つけている。物理的に破損していたが、うまくやればデータを復元できそうだ。			はなたれた魔物							
さあ、ソリューション・ナインに戻るぞ。レクリエーションゾーンにある俺の自宅で、復元できるか試してみるとしよう。			さあ、ソリューション・ナインに戻るぞ。レクリエーションゾーンにある俺の自宅で、復元できるか試してみるとしよう。			はなたれた魔物							
イリュージョン・シャインとは、何とも大きな街ですな！			イリュージョン・シャインとは、何とも大きな街ですな！			はなたれた魔物							
下にまで街があります～。			下にまで街があります～。			はなたれた魔物							
それじゃあ、家でデータの復元をしてみよう。部屋が散らかってるもんでな、悪いがここで待っててくれ。			それじゃあ、家でデータの復元をしてみよう。部屋が散らかってるもんでな、悪いがここで待っててくれ。			はなたれた魔物							
やれやれ、ストレージの破損が予想以上にひどかったぜ。すべてのデータを復元するには、かなり時間が掛かりそうだ。			やれやれ、ストレージの破損が予想以上にひどかったぜ。すべてのデータを復元するには、かなり時間が掛かりそうだ。			はなたれた魔物							
だが、部分的に読めたところに実験体の情報があってな。「アイクロプス」種の魔物に、ある連続窃盗犯の魂が移植されたとのことだ。			だが、部分的に読めたところに実験体の情報があってな。「アイクロプス」種の魔物に、ある連続窃盗犯の魂が移植されたとのことだ。			はなたれた魔物							
そいつは物欲を満たすために盗むわけじゃなく、被害者が困る顔を見ては悦に浸る、イカレ野郎らしくてな。魔物になったからと言って、その性根が治るとも思えん。			そいつは物欲を満たすために盗むわけじゃなく、被害者が困る顔を見ては悦に浸る、イカレ野郎らしくてな。魔物になったからと言って、その性根が治るとも思えん。			はなたれた魔物							
なるほど、だとしたら……			なるほど、だとしたら……			はなたれた魔物							
キャッチしましたぞ！窃盗犯はきっと街中の宝飾品店を狙うはず……！			キャッチしましたぞ！窃盗犯はきっと街中の宝飾品店を狙うはず……！			はなたれた魔物							
フン、ちゃんちゃらおかしいぜ。思ったとおり、事件屋ヒルディブランドってのは、まだまだ青二才の半熟野郎だな。			フン、ちゃんちゃらおかしいぜ。思ったとおり、事件屋ヒルディブランドってのは、まだまだ青二才の半熟野郎だな。			はなたれた魔物							
窃盗犯は、アイクロプスというデカい魔物になってるんだぞ。街中に現れたらすでに騒ぎになってるはずだ。			窃盗犯は、アイクロプスというデカい魔物になってるんだぞ。街中に現れたらすでに騒ぎになってるはずだ。			はなたれた魔物							
何か盗むとしたら、キープの外で獲物を探すはずだ。さらに人を困らせるのが目的なら……			何か盗むとしたら、キープの外で獲物を探すはずだ。さらに人を困らせるのが目的なら……			はなたれた魔物							
採石場にあるエレクトロープ……あれはアレクサンドリアの要だから、盗まれたら皆が困る。さっそく、エレクトロープ採石場に向かおう。			採石場にあるエレクトロープ……あれはアレクサンドリアの要だから、盗まれたら皆が困る。さっそく、エレクトロープ採石場に向かおう。			はなたれた魔物							
この職員に聞いてみるとしよう。			この職員に聞いてみるとしよう。			はなたれた魔物							
それにしても、ずいぶんと天気が悪いですな。ウルダハのようにからっと晴れてほしいですぞ。			それにしても、ずいぶんと天気が悪いですな。ウルダハのようにからっと晴れてほしいですぞ。			はなたれた魔物							
どこかで、ビリビリいってます～。			どこかで、ビリビリいってます～。			はなたれた魔物							
ここは採石場だけど、何か用かな？			ここは採石場だけど、何か用かな？			はなたれた魔物							
窃盗の被害に遭っていないかって？よくわかったな、出荷前のエレクトロープ原石が、ごっそり盗まれる事件が多発しているんだ。			窃盗の被害に遭っていないかって？よくわかったな、出荷前のエレクトロープ原石が、ごっそり盗まれる事件が多発しているんだ。			はなたれた魔物							
不思議なのは、監視が一切気づかないってことさ。あんなに重い原石を運ぶには、ホバーカーゴが必須だから、近づいてきたら必ず気づくはずなのに……。			不思議なのは、監視が一切気づかないってことさ。あんなに重い原石を運ぶには、ホバーカーゴが必須だから、近づいてきたら必ず気づくはずなのに……。			はなたれた魔物							
ビンゴだな。アイクロプスの力なら、きっと軽々運べることだろう。			ビンゴだな。アイクロプスの力なら、きっと軽々運べることだろう。			はなたれた魔物							
君たち、犯人に目星があるようだね？もし、捕まえることができるなら、協力させてもらうよ。			君たち、犯人に目星があるようだね？もし、捕まえることができるなら、協力させてもらうよ。			はなたれた魔物							
それは助かる……だったら、ここはおとり捜査といこう。人目のつかない場所にエレクトロープを置いて、窃盗犯を待ち伏せするのさ。			それは助かる……だったら、ここはおとり捜査といこう。人目のつかない場所にエレクトロープを置いて、窃盗犯を待ち伏せするのさ。			はなたれた魔物							
よしきた、エレクトロープはこちらで運ぼう！			よしきた、エレクトロープはこちらで運ぼう！			はなたれた魔物							
エレクトロープの準備はできたよ。それじゃあ、どうか犯人を捕まえてくれ。			エレクトロープの準備はできたよ。それじゃあ、どうか犯人を捕まえてくれ。			はなたれた魔物							
まあ……くれぐれも、気をつけてね。			まあ……くれぐれも、気をつけてね。			はなたれた魔物							
よし、張り込み開始といくか。			よし、張り込み開始といくか。			はなたれた魔物							
お、しめしめ……			お、しめしめ……			はなたれた魔物							
待てよ……何でこんなところに積んであるんだ……？			待てよ……何でこんなところに積んであるんだ……？			はなたれた魔物							
ゲッ、ヤバい……！			ゲッ、ヤバい……！			はなたれた魔物							
窃盗犯に間違いない、追うぞ！			窃盗犯に間違いない、追うぞ！			はなたれた魔物							
チッ、逃げ足の速い奴だ……。			チッ、逃げ足の速い奴だ……。			はなたれた魔物							
アイクロプスさん、いっぱいです～。			アイクロプスさん、いっぱいです～。			はなたれた魔物							
窃盗犯を見失ってしまいましたぞ！			窃盗犯を見失ってしまいましたぞ！			はなたれた魔物							
厄介なことに、アイクロプスがわんさかいる場所に逃げ込みやがった。			厄介なことに、アイクロプスがわんさかいる場所に逃げ込みやがった。			はなたれた魔物							
ストレージの情報によると、奴は腕っぷしが弱く、戦いを避けたがるタイプだったらしい。手分けして、近づいても襲ってこないアイクロプスを探そう。			ストレージの情報によると、奴は腕っぷしが弱く、戦いを避けたがるタイプだったらしい。手分けして、近づいても襲ってこないアイクロプスを探そう。			はなたれた魔物							
ただ、あのデカブツをひとりで捕まえるのは困難だろう。見つけ次第、お互い報せ合って追いつめるぞ！			ただ、あのデカブツをひとりで捕まえるのは困難だろう。見つけ次第、お互い報せ合って追いつめるぞ！			はなたれた魔物							
ゲッ……ボ、ボク悪いアイクロプスじゃないよ。			ゲッ……ボ、ボク悪いアイクロプスじゃないよ。			はなたれた魔物							
何と言う？			何と言う？			はなたれた魔物							
アイクロプスは喋らない			アイクロプスは喋らない			はなたれた魔物							
盗みは悪いことだ			盗みは悪いことだ			はなたれた魔物							
ヒ、ヒェ～～～～～～ッ！			ヒ、ヒェ～～～～～～ッ！			はなたれた魔物							
悲鳴を上げてたアイクロプスさんを、ヒルディブランド様と、ハルディボイルドさんが、追いかけていきました～！			悲鳴を上げてたアイクロプスさんを、ヒルディブランド様と、ハルディボイルドさんが、追いかけていきました～！			はなたれた魔物							
ナシュたちも、一緒に追いましょう～！			ナシュたちも、一緒に追いましょう～！			はなたれた魔物							
ち、ちくしょう……！			ち、ちくしょう……！			はなたれた魔物							
追いつめましたぞ！もう逃げられま……			追いつめましたぞ！もう逃げられま……			はなたれた魔物							
ウギャギャギャギャギャギャ！			ウギャギャギャギャギャギャ！			はなたれた魔物							
イテェェェェェ！泥棒猫に全身ひっかかれたみたいにイテェェェ！！			イテェェェェェ！泥棒猫に全身ひっかかれたみたいにイテェェェ！！			はなたれた魔物							
さあ、吐いてもらおうか。盗んだエレクトロープ原石はどこだ？そして、お前を解放したのは何者だ……？			さあ、吐いてもらおうか。盗んだエレクトロープ原石はどこだ？そして、お前を解放したのは何者だ……？			はなたれた魔物							
い、言うもんか……			い、言うもんか……			はなたれた魔物							
それなら仕方がない。次は目にチリソースが入ったときの苦痛を味わえ。			それなら仕方がない。次は目にチリソースが入ったときの苦痛を味わえ。			はなたれた魔物							
ヒィッ！			ヒィッ！			はなたれた魔物							
まあまあ、ハルディボイルド殿。ここは紳士的にいきましょう。			まあまあ、ハルディボイルド殿。ここは紳士的にいきましょう。			はなたれた魔物							
邪魔だ！悪党に容赦すると、思わぬ悲劇を味わうことになるぞ！			邪魔だ！悪党に容赦すると、思わぬ悲劇を味わうことになるぞ！			はなたれた魔物							
隙ありっ！			隙ありっ！			はなたれた魔物							
わぁ～、高いです～。			わぁ～、高いです～。			はなたれた魔物							
さあ、銃を捨てな！こいつがどうなってもいいのか！			さあ、銃を捨てな！こいつがどうなってもいいのか！			はなたれた魔物							
お前も、武器を捨てるんだ！			お前も、武器を捨てるんだ！			はなたれた魔物							
ウゲッ、気持ちわるゥ！			ウゲッ、気持ちわるゥ！			はなたれた魔物							
アギャギャギャ！目がッ、目がァァァァアアアア～～～ッ！！！			アギャギャギャ！目がッ、目がァァァァアアアア～～～ッ！！！			はなたれた魔物							
もう終いだ。コイツのドデカい一発で、おネンネしな。			もう終いだ。コイツのドデカい一発で、おネンネしな。			はなたれた魔物							
ギャアアアアアアアアアアアアア！			ギャアアアアアアアアアアアアア！			はなたれた魔物							
アアアアア……アレ？痛くない。			アアアアア……アレ？痛くない。			はなたれた魔物							
ジジジジケンヤひるでィィィぶらららんドドドォォォォォ！ぼうりょくはははんたいいいですゾゾゾゾゾゾゾゾ！！			ジジジジケンヤひるでィィィぶらららんドドドォォォォォ！ぼうりょくはははんたいいいですゾゾゾゾゾゾゾゾ！！			はなたれた魔物							
ヒルディブランド様、ギラギラです～！			ヒルディブランド様、ギラギラです～！			はなたれた魔物							
なんて奴だ……ゴンフォテリウムも気絶するほどの威力なんだぞ……。			なんて奴だ……ゴンフォテリウムも気絶するほどの威力なんだぞ……。			はなたれた魔物							
くっ……この輝きは……俺には強すぎるッ！！			くっ……この輝きは……俺には強すぎるッ！！			はなたれた魔物							
ふぅむ……。この痛み、コブランを素足で踏んづけたときのようですぞ。			ふぅむ……。この痛み、コブランを素足で踏んづけたときのようですぞ。			はなたれた魔物							
窃盗犯殿。どうか、話してもらえませんか？			窃盗犯殿。どうか、話してもらえませんか？			はなたれた魔物							
あんた、眩しかったぜ……降参だ、洗いざらい話してやるよ。			あんた、眩しかったぜ……降参だ、洗いざらい話してやるよ。			はなたれた魔物							
やれやれ、とんだ半熟野郎だ……。			やれやれ、とんだ半熟野郎だ……。			はなたれた魔物							
まず、エレクトロープだが、俺たちを解放した研究者の男に命令されて盗んだんだ。だから、ぜんぶその男に渡しちまった。			まず、エレクトロープだが、俺たちを解放した研究者の男に命令されて盗んだんだ。だから、ぜんぶその男に渡しちまった。			はなたれた魔物							
なんだって？お前の盗癖によるものじゃなかったってことか……その研究者の名は？			なんだって？お前の盗癖によるものじゃなかったってことか……その研究者の名は？			はなたれた魔物							
それが、俺には名前も知らされてないし、ただ俺たちを魔物の身体にした奴だってことしかわからない。これは誓って本当だぞ！			それが、俺には名前も知らされてないし、ただ俺たちを魔物の身体にした奴だってことしかわからない。これは誓って本当だぞ！			はなたれた魔物							
研究者の男は、めっぽう強そうな魔物を従えていたんで、とても逆らうことができなかったんだ。			研究者の男は、めっぽう強そうな魔物を従えていたんで、とても逆らうことができなかったんだ。			はなたれた魔物							
そいつの居場所もわからないのか……？			そいつの居場所もわからないのか……？			はなたれた魔物							
ああ、盗んだエレクトロープを渡すため、この辺りで落ち合うはずだったんだが……異変に気づいて、とうに逃げ出したんだろうな。			ああ、盗んだエレクトロープを渡すため、この辺りで落ち合うはずだったんだが……異変に気づいて、とうに逃げ出したんだろうな。			はなたれた魔物							
俺が知ってることは、これですべてさ……。			俺が知ってることは、これですべてさ……。			はなたれた魔物							
どうやら嘘じゃなさそうだ。この事件、きな臭くなってきたぜ……。			どうやら嘘じゃなさそうだ。この事件、きな臭くなってきたぜ……。			はなたれた魔物							
実験台にされ利用されていたとしても、罪は罪だ。お前を機械兵に引き渡すとしよう。			実験台にされ利用されていたとしても、罪は罪だ。お前を機械兵に引き渡すとしよう。			はなたれた魔物							
安心しろ……魔物のように扱うな、とは伝えておく。			安心しろ……魔物のように扱うな、とは伝えておく。			はなたれた魔物							
アンタたちは、ソリューション・ナインの家の前で待っててくれ。			アンタたちは、ソリューション・ナインの家の前で待っててくれ。			はなたれた魔物							
ヒルディブランド様、さすがでした～。			ヒルディブランド様、さすがでした～。			はなたれた魔物							
私の華麗な捜査に、きっとハルディボイルド殿も、感服したことでしょうな。			私の華麗な捜査に、きっとハルディボイルド殿も、感服したことでしょうな。			はなたれた魔物							
(-？？？？-)何を寝言ほざいてる……。			(-？？？？-)何を寝言ほざいてる……。			はなたれた魔物							
窃盗犯のアイクロプスを機械兵に引き渡し、一応、事件のことも伝えておいたぞ。			窃盗犯のアイクロプスを機械兵に引き渡し、一応、事件のことも伝えておいたぞ。			はなたれた魔物							
ほかの魔物となった犯罪者たちも、くだんの研究者の男に従っている可能性が高い。男の目的はわからんが、よからぬことを企んでいるに違いない。			ほかの魔物となった犯罪者たちも、くだんの研究者の男に従っている可能性が高い。男の目的はわからんが、よからぬことを企んでいるに違いない。			はなたれた魔物							
そして、奴らは脱獄囚でもある。できるだけ遠くに離れようと、機械兵の管轄外である、障壁の外に出ているかもしれない。			そして、奴らは脱獄囚でもある。できるだけ遠くに離れようと、機械兵の管轄外である、障壁の外に出ているかもしれない。			はなたれた魔物							
俺にとっても、そこは未知の世界だ。外を知るアンタに、これからも協力してもらいたい。			俺にとっても、そこは未知の世界だ。外を知るアンタに、これからも協力してもらいたい。			はなたれた魔物							
もちろんですとも！このヒルディブランドにお任せください！			もちろんですとも！このヒルディブランドにお任せください！			はなたれた魔物							
なぜ、俺がこの事件に躍起になってるのか話しておこう。かつて、アレクサンドリアであらゆる犯罪に手を染め、犯罪王と呼ばれていた奴がいてな。			なぜ、俺がこの事件に躍起になってるのか話しておこう。かつて、アレクサンドリアであらゆる犯罪に手を染め、犯罪王と呼ばれていた奴がいてな。			はなたれた魔物							
そいつは俺が捕まえて、牢屋にぶち込んでやったんだ。だが、更生プログラムとやらで、どこかに移送され、それっきり音沙汰がない……。			そいつは俺が捕まえて、牢屋にぶち込んでやったんだ。だが、更生プログラムとやらで、どこかに移送され、それっきり音沙汰がない……。			はなたれた魔物							
そう、あの施設で魔物にされたに違いない。奴とはちょっとした因縁があってな、もし、逃げ出して自由の身となってるなら……			そう、あの施設で魔物にされたに違いない。奴とはちょっとした因縁があってな、もし、逃げ出して自由の身となってるなら……			はなたれた魔物							
必ず俺が、この手で捕まえてやりたいんだ。			必ず俺が、この手で捕まえてやりたいんだ。			はなたれた魔物							
ハルディボイルド殿のアツい想いをキャーーーッチ！！			ハルディボイルド殿のアツい想いをキャーーーッチ！！			はなたれた魔物							
事件屋ヒルディブランドが、事件解決に向けて、華麗にエスコートしてみせましょう！ハーッハッハッハ！！			事件屋ヒルディブランドが、事件解決に向けて、華麗にエスコートしてみせましょう！ハーッハッハッハ！！			はなたれた魔物							
奴には何も頼んじゃいないってのに、まったく、騒がしい半熟野郎だぜ……。			奴には何も頼んじゃいないってのに、まったく、騒がしい半熟野郎だぜ……。			はなたれた魔物							
ともかく、俺は引き続きデータの復元に取り組む。またしばらくしたら、ここまで来てくれ。			ともかく、俺は引き続きデータの復元に取り組む。またしばらくしたら、ここまで来てくれ。			はなたれた魔物							
一方  ヘリテージファウンド  某所――			一方  ヘリテージファウンド  某所――			はなたれた魔物							
こそこそと嗅ぎまわるネズミを、アイクロプスの腕力で片付けてもらえれば好都合だったが……あっさり降参するとは、臆病者め。			こそこそと嗅ぎまわるネズミを、アイクロプスの腕力で片付けてもらえれば好都合だったが……あっさり降参するとは、臆病者め。			はなたれた魔物							
まあいい、エレクトロープはもう十分だろうからな。計画を進めるとしよう。			まあいい、エレクトロープはもう十分だろうからな。計画を進めるとしよう。			はなたれた魔物							
それにしても、犯罪者も使いようによっては役に立つ。魔物の力があれば尚更な……。			それにしても、犯罪者も使いようによっては役に立つ。魔物の力があれば尚更な……。			はなたれた魔物							
固ゆで卵を作るときに重要なことはひとつ……ゆで時間を守ることだ			固ゆで卵を作るときに重要なことはひとつ……ゆで時間を守ることだ			はなたれた魔物							
きっかり、12分だぞ早すぎたら半熟だし、遅すぎたら黒ずんじまう			きっかり、12分だぞ早すぎたら半熟だし、遅すぎたら黒ずんじまう			はなたれた魔物							
今日は時間がないからなこっちに完成品を用意してある			今日は時間がないからなこっちに完成品を用意してある			はなたれた魔物							
ナシュの卵型お薬の作り方は企業秘密ですよ～！真似しないでくださいね～！			ナシュの卵型お薬の作り方は企業秘密ですよ～！真似しないでくださいね～！			はなたれた魔物							
それでは、事件屋ヒルディブランド黄金編！次回もお楽しみに～！			それでは、事件屋ヒルディブランド黄金編！次回もお楽しみに～！			はなたれた魔物							
