採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
ハイムリックにチタン鉱を10個納品した。良質な鉱脈が発見され、傭兵団の任務に大いに貢献できたようだ。忘れられた騎士亭の「ハイムリック」に報告しよう。			ハイムリックにチタン鉱を10個納品した。良質な鉱脈が発見され、傭兵団の任務に大いに貢献できたようだ。忘れられた騎士亭の「ハイムリック」に報告しよう。			再会、そして誓い							
ハイムリックは、ひなチョコに期待しているのと同時に、心配もしているようだ。次の任務まで、さらに採掘師としての技術を磨いておこう。※採掘師のレベルが58以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			ハイムリックは、ひなチョコに期待しているのと同時に、心配もしているようだ。次の任務まで、さらに採掘師としての技術を磨いておこう。※採掘師のレベルが58以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			再会、そして誓い							
採掘師ギルドのアダルベルタにチタン鉱サンプルを見せる			採掘師ギルドのアダルベルタにチタン鉱サンプルを見せる			再会、そして誓い							
イシュガルドのハイムリックにチタン鉱サンプルを渡す			イシュガルドのハイムリックにチタン鉱サンプルを渡す			再会、そして誓い							
チョコボの森でハイムリックと合流			チョコボの森でハイムリックと合流			再会、そして誓い							
チタン鉱を採掘チョコボの森のハイムリックにチタン鉱を納品			チタン鉱を採掘チョコボの森のハイムリックにチタン鉱を納品			再会、そして誓い							
イシュガルドのハイムリックと話す			イシュガルドのハイムリックと話す			再会、そして誓い							
よう、先生！前回の初任務では、世話になったな！今度はまた、別の件で相談があるんだ。			よう、先生！前回の初任務では、世話になったな！今度はまた、別の件で相談があるんだ。			再会、そして誓い							
実は、フォルタン家の騎兵団が、今度の遠征で、神殿騎士団と共同戦線を張ることになった。しかも、旦那お抱えの騎兵団が、先鋒を任されるらしい。			実は、フォルタン家の騎兵団が、今度の遠征で、神殿騎士団と共同戦線を張ることになった。しかも、旦那お抱えの騎兵団が、先鋒を任されるらしい。			再会、そして誓い							
急ぎ、えり抜きの精鋭が使う武具が必要になってな。とはいえ、大物のドラゴン族の鱗をも貫く穂先、鋭利な爪から身を守る鎧となると……並の金属は使えねえ。			急ぎ、えり抜きの精鋭が使う武具が必要になってな。とはいえ、大物のドラゴン族の鱗をも貫く穂先、鋭利な爪から身を守る鎧となると……並の金属は使えねえ。			再会、そして誓い							
鍛冶師の話じゃ、「チタン鉱」という貴重な鉱石なら、そういった武具を打つことができるようだ。そこで、そいつが採れる有力な鉱脈のありかを知りたくてな。			鍛冶師の話じゃ、「チタン鉱」という貴重な鉱石なら、そういった武具を打つことができるようだ。そこで、そいつが採れる有力な鉱脈のありかを知りたくてな。			再会、そして誓い							
もし、先生にもわかんなきゃ、先生の所属するギルドのほうで、情報収集をお願いしたい！参考までに、鉱石のサンプルを預けとくぜ！			もし、先生にもわかんなきゃ、先生の所属するギルドのほうで、情報収集をお願いしたい！参考までに、鉱石のサンプルを預けとくぜ！			再会、そして誓い							
鍛冶師の話じゃ、「チタン鉱」という貴重な鉱石なら、そういった武具を打つことができるようだ。そこで、そいつが採れる有力な鉱脈のありかを知りたくてな。			鍛冶師の話じゃ、「チタン鉱」という貴重な鉱石なら、そういった武具を打つことができるようだ。そこで、そいつが採れる有力な鉱脈のありかを知りたくてな。			再会、そして誓い							
もし、先生にもわかんなきゃ、先生の所属するギルドのほうで、情報収集をお願いしたい！参考までに、鉱石のサンプルを預けとくぜ！			もし、先生にもわかんなきゃ、先生の所属するギルドのほうで、情報収集をお願いしたい！参考までに、鉱石のサンプルを預けとくぜ！			再会、そして誓い							
ひさしぶりだな！新天地でのお前の活躍、眩しいかぎりだ。			ひさしぶりだな！新天地でのお前の活躍、眩しいかぎりだ。			再会、そして誓い							
何だか、しばらくぶりな気がするね！イシュガルドでの仕事の調子はどう？			何だか、しばらくぶりな気がするね！イシュガルドでの仕事の調子はどう？			再会、そして誓い							
この「チタン鉱サンプル」と同じものを採掘したい……？なんだ、異国での手柄話でもしにきたのかと思ったら、仕事の話だったのね。			この「チタン鉱サンプル」と同じものを採掘したい……？なんだ、異国での手柄話でもしにきたのかと思ったら、仕事の話だったのね。			再会、そして誓い							
それを、俺にも見せてくれないか？ちょっと、気になることがある……。			それを、俺にも見せてくれないか？ちょっと、気になることがある……。			再会、そして誓い							
仕事の鬼が、もうひとりいたわね！あいさつもそこそこに、鉱石サンプルの話だなんて。……ほら！			仕事の鬼が、もうひとりいたわね！あいさつもそこそこに、鉱石サンプルの話だなんて。……ほら！			再会、そして誓い							
これが、チタン鉱か……。イシュガルド周辺で、これと同じものを採掘できる場所を、知らないかっていうんだな？			これが、チタン鉱か……。イシュガルド周辺で、これと同じものを採掘できる場所を、知らないかっていうんだな？			再会、そして誓い							
……駆け出しのころ、同じ鉱石を見たことがある。毎年、高地ドラヴァニアに出稼ぎに行ってる猟師が、珍しい石を拾ったって、親父のトコに持ち込んだんだ。			……駆け出しのころ、同じ鉱石を見たことがある。毎年、高地ドラヴァニアに出稼ぎに行ってる猟師が、珍しい石を拾ったって、親父のトコに持ち込んだんだ。			再会、そして誓い							
親父も初めて見た石だったらしいが、おそらく、チタン鉱だろうって見立てだった。このサンプルは、俺の記憶にあるその鉱石と、瓜ふたつ……。			親父も初めて見た石だったらしいが、おそらく、チタン鉱だろうって見立てだった。このサンプルは、俺の記憶にあるその鉱石と、瓜ふたつ……。			再会、そして誓い							
その話は、傾聴に値すると思うよ！昔の話とはいえ、ワイド・ガリーとディープ・キャニオンが、同じ見立てをしてるんだから！			その話は、傾聴に値すると思うよ！昔の話とはいえ、ワイド・ガリーとディープ・キャニオンが、同じ見立てをしてるんだから！			再会、そして誓い							
サンプルと瓜ふたつだというのなら、純度も相当なもの。「高地ドラヴァニア」に良質な鉱脈がある可能性は充分にあるわ！			サンプルと瓜ふたつだというのなら、純度も相当なもの。「高地ドラヴァニア」に良質な鉱脈がある可能性は充分にあるわ！			再会、そして誓い							
チタン鉱は、非常に稀少な鉱石。確たる情報とは言えないが、掘ってみる価値はあるはずだ。今の話で、お前への借りが少しでも返せるといいんだが……。			チタン鉱は、非常に稀少な鉱石。確たる情報とは言えないが、掘ってみる価値はあるはずだ。今の話で、お前への借りが少しでも返せるといいんだが……。			再会、そして誓い							
サンプルと瓜ふたつだというのなら、純度も相当なもの。「高地ドラヴァニア」に良質な鉱脈がある可能性は充分にあるわ！			サンプルと瓜ふたつだというのなら、純度も相当なもの。「高地ドラヴァニア」に良質な鉱脈がある可能性は充分にあるわ！			再会、そして誓い							
チタン鉱は、非常に稀少な鉱石。確たる情報とは言えないが、掘ってみる価値はあるはずだ。今の話で、お前への借りが少しでも返せるといいんだが……。			チタン鉱は、非常に稀少な鉱石。確たる情報とは言えないが、掘ってみる価値はあるはずだ。今の話で、お前への借りが少しでも返せるといいんだが……。			再会、そして誓い							
おお、先生。どうだ……何か情報はあったか？			おお、先生。どうだ……何か情報はあったか？			再会、そして誓い							
……高地ドラヴァニアで、同じ鉱石を拾った猟師がいるって？猟師の行動範囲ってことは、ドラゴン族の本拠じゃないな……。彼らが縄張りにしている、「チョコボの森」での話だろう。			……高地ドラヴァニアで、同じ鉱石を拾った猟師がいるって？猟師の行動範囲ってことは、ドラゴン族の本拠じゃないな……。彼らが縄張りにしている、「チョコボの森」での話だろう。			再会、そして誓い							
そもそもが、めったに掘れねえ貴重な鉱石だ。確実な情報を頼りに行動している時間もない。ここはいっちょ、賭けてみるとするか！			そもそもが、めったに掘れねえ貴重な鉱石だ。確実な情報を頼りに行動している時間もない。ここはいっちょ、賭けてみるとするか！			再会、そして誓い							
さっそくだが、我が隊に召集をかけるぞ。先生も例のごとく、現地集合だ。高地ドラヴァニアの「チョコボの森」で落ち合うとしようぜ。			さっそくだが、我が隊に召集をかけるぞ。先生も例のごとく、現地集合だ。高地ドラヴァニアの「チョコボの森」で落ち合うとしようぜ。			再会、そして誓い							
さっそくだが、我が隊に召集をかけるぞ。先生も例のごとく、現地集合だ。高地ドラヴァニアの「チョコボの森」で落ち合うとしようぜ。			さっそくだが、我が隊に召集をかけるぞ。先生も例のごとく、現地集合だ。高地ドラヴァニアの「チョコボの森」で落ち合うとしようぜ。			再会、そして誓い							
待ちかねたっすよ、先生！			待ちかねたっすよ、先生！			再会、そして誓い							
……おう。			……おう。			再会、そして誓い							
先生、よく来てくれたな！すぐに任務開始といこう。			先生、よく来てくれたな！すぐに任務開始といこう。			再会、そして誓い							
隊長、警備の班分けの再考を提案します！先の案だと、土地勘のない隊員だけの班ができるっすよ！			隊長、警備の班分けの再考を提案します！先の案だと、土地勘のない隊員だけの班ができるっすよ！			再会、そして誓い							
生意気言ってんじゃねえ！……と思ったが、たしかにそのとおりだ。剛力、班を替われ。			生意気言ってんじゃねえ！……と思ったが、たしかにそのとおりだ。剛力、班を替われ。			再会、そして誓い							
先生はこの周辺で、「チタン鉱」を採掘してくれ！10個も見つかれば上等だ。その時点で、この任務は完了とする！			先生はこの周辺で、「チタン鉱」を採掘してくれ！10個も見つかれば上等だ。その時点で、この任務は完了とする！			再会、そして誓い							
ひなチョコは残って、オレの指揮を補佐してもらう。それでは、任務開始！			ひなチョコは残って、オレの指揮を補佐してもらう。それでは、任務開始！			再会、そして誓い							
隊長の指揮っぷりを、間近で吸収するつもりです。こう見えても真剣なんすよ。だって、バカやると「ヘナチョコ」って呼ばれるんすから！			隊長の指揮っぷりを、間近で吸収するつもりです。こう見えても真剣なんすよ。だって、バカやると「ヘナチョコ」って呼ばれるんすから！			再会、そして誓い							
魔物の活動が活発だな……。			魔物の活動が活発だな……。			再会、そして誓い							
「チタン鉱」は、10個も見つかれば上等だ。どうだ、先生……確保できそうか？			「チタン鉱」は、10個も見つかれば上等だ。どうだ、先生……確保できそうか？			再会、そして誓い							
先生、よくやってくれた！「チタン鉱」が手に入った上に、有望な鉱脈があることもわかった。			先生、よくやってくれた！「チタン鉱」が手に入った上に、有望な鉱脈があることもわかった。			再会、そして誓い							
どうやら今回は、怪我人が出ないうちに任務を終えることができそうだな。フォルタン家の旦那にも、鼻高々で報告ができるぞ！			どうやら今回は、怪我人が出ないうちに任務を終えることができそうだな。フォルタン家の旦那にも、鼻高々で報告ができるぞ！			再会、そして誓い							
隊長、剛力さんがまだ戻ってないっす！進路確保のため、魔物を片づけてくるって、ひとりで……。			隊長、剛力さんがまだ戻ってないっす！進路確保のため、魔物を片づけてくるって、ひとりで……。			再会、そして誓い							
剛力には、特別に単独行動を許している。魔物に後れを取ることはまずないし、従軍経験も豊富。あいつが単独行動が必要と判断したなら、根拠あってのことだ。			剛力には、特別に単独行動を許している。魔物に後れを取ることはまずないし、従軍経験も豊富。あいつが単独行動が必要と判断したなら、根拠あってのことだ。			再会、そして誓い							
だったらオレだって、少しは腕に覚えが……！			だったらオレだって、少しは腕に覚えが……！			再会、そして誓い							
ダメだ、お前にゃ10年早い！ひとりで状況を判断できるほどの経験は、お前にはない！			ダメだ、お前にゃ10年早い！ひとりで状況を判断できるほどの経験は、お前にはない！			再会、そして誓い							
むぅ……納得いかないっす……。			むぅ……納得いかないっす……。			再会、そして誓い							
待たせたな。近くに魔物が群れていたから、片づけてきた。しばらくは、ここに寄りつかないだろう。			待たせたな。近くに魔物が群れていたから、片づけてきた。しばらくは、ここに寄りつかないだろう。			再会、そして誓い							
よくやったぞ、剛力。これにて任務は完了とする、帰途を急ぐぞ。先生、また後ほどな！			よくやったぞ、剛力。これにて任務は完了とする、帰途を急ぐぞ。先生、また後ほどな！			再会、そして誓い							
今回は、人脈を活かしての情報収集から、現場での採掘まで、世話になりっぱなしだったな！フォルタン家の旦那も、オレたちの働きにいたく満足してくれた。			今回は、人脈を活かしての情報収集から、現場での採掘まで、世話になりっぱなしだったな！フォルタン家の旦那も、オレたちの働きにいたく満足してくれた。			再会、そして誓い							
先生が来てくれて、ウチは最高の隊になったよ。数こそ少ないが、各人が自分の役割を完全に果たしている。ひなチョコのように、将来有望な若者もいる。			先生が来てくれて、ウチは最高の隊になったよ。数こそ少ないが、各人が自分の役割を完全に果たしている。ひなチョコのように、将来有望な若者もいる。			再会、そして誓い							
ただ、若さってのは怖い面もある。手柄をあげようと焦って、それが命取りになったヤツを、過去に何人も見てきた……。			ただ、若さってのは怖い面もある。手柄をあげようと焦って、それが命取りになったヤツを、過去に何人も見てきた……。			再会、そして誓い							
ま、心配ばかりしても仕方ねえ。先生、次の任務でもまた、よろしく頼むぞ！			ま、心配ばかりしても仕方ねえ。先生、次の任務でもまた、よろしく頼むぞ！			再会、そして誓い							
採掘師として、心・技ともに新たなる高みに到達し、「山師の眼力」を修得しました！			採掘師として、心・技ともに新たなる高みに到達し、「山師の眼力」を修得しました！			再会、そして誓い							
採掘師ギルドのアダルベルタは冒険者に頼み事があるようだ。			採掘師ギルドのアダルベルタは冒険者に頼み事があるようだ。			琥珀色の後悔							
アダルベルタから依頼を受けた。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			アダルベルタから依頼を受けた。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			琥珀色の後悔							
ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「ワイド・ガリー」に「青金鉱」を20個納品しよう。「青金鉱」は高地ラノシアのキャンプ・ブロンズレイク南にある採掘場で採掘できる。			ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「ワイド・ガリー」に「青金鉱」を20個納品しよう。「青金鉱」は高地ラノシアのキャンプ・ブロンズレイク南にある採掘場で採掘できる。			琥珀色の後悔							
ワイド・ガリーに青金鉱を納品した。納品された青金鉱を見て、ワイド・ガリーはこの鉱石のように自分にしかできない仕事がしたい、とこぼしていた。彼は望む自分になることはできるだろうか……。己もまた、自分だけの仕事を為せるよう、採掘師として修業を積もう。※採掘師のレベルが50以上になると、アダルベルタから次の採掘師クエストを受注することができます。			ワイド・ガリーに青金鉱を納品した。納品された青金鉱を見て、ワイド・ガリーはこの鉱石のように自分にしかできない仕事がしたい、とこぼしていた。彼は望む自分になることはできるだろうか……。己もまた、自分だけの仕事を為せるよう、採掘師として修業を積もう。※採掘師のレベルが50以上になると、アダルベルタから次の採掘師クエストを受注することができます。			琥珀色の後悔							
ワイド・ガリーと話す			ワイド・ガリーと話す			琥珀色の後悔							
ワイド・ガリーに青金鉱を納品			ワイド・ガリーに青金鉱を納品			琥珀色の後悔							
このあいだは、お疲れさま。ワイド・ガリーの件で、少し話を聞いてほしいの。			このあいだは、お疲れさま。ワイド・ガリーの件で、少し話を聞いてほしいの。			琥珀色の後悔							
彼、とりあえず仕事には復帰したのだけれど……自分の許容量以上に、依頼を引き受けて何かに焦ってるようにしか見えないの。			彼、とりあえず仕事には復帰したのだけれど……自分の許容量以上に、依頼を引き受けて何かに焦ってるようにしか見えないの。			琥珀色の後悔							
キミとの勝負に負けたせいかとも思ったけど、どうもそれだけじゃ、説明つかない雰囲気なのよ。			キミとの勝負に負けたせいかとも思ったけど、どうもそれだけじゃ、説明つかない雰囲気なのよ。			琥珀色の後悔							
事情を聞こうにも、あたしの立場じゃ話がこじれるだけ。孤立してる人だし……彼と一番親しいのって実は、好敵手であるキミぐらいなのよ。			事情を聞こうにも、あたしの立場じゃ話がこじれるだけ。孤立してる人だし……彼と一番親しいのって実は、好敵手であるキミぐらいなのよ。			琥珀色の後悔							
お願い、「ワイド・ガリー」に探りを入れてきて。困っているのなら、ギルドとして支えないと。彼もまた、大事なギルドの一員なんだから。			お願い、「ワイド・ガリー」に探りを入れてきて。困っているのなら、ギルドとして支えないと。彼もまた、大事なギルドの一員なんだから。			琥珀色の後悔							
どうせ、アダルベルタの差し金で来たんだろう？ちょうどいい、俺もお前に話があった。			どうせ、アダルベルタの差し金で来たんだろう？ちょうどいい、俺もお前に話があった。			琥珀色の後悔							
……身内の恥をさらすことになるが、アマジナ鉱山社の帳簿に不正があった。			……身内の恥をさらすことになるが、アマジナ鉱山社の帳簿に不正があった。			琥珀色の後悔							
帳簿が一部操作されていてな……ほかの採掘師の功績が、俺の名前に書き換わっていたんだ。			帳簿が一部操作されていてな……ほかの採掘師の功績が、俺の名前に書き換わっていたんだ。			琥珀色の後悔							
犯人は……親父だよ。俺の評判だけが上がり続けるもんでおかしいと思って調べたら、このザマさ。			犯人は……親父だよ。俺の評判だけが上がり続けるもんでおかしいと思って調べたら、このザマさ。			琥珀色の後悔							
笑える話だろ？ギルドマスターを蹴落とすために名を上げたはずが、その実、中身はスカスカの虚飾でしかなかったなんて。			笑える話だろ？ギルドマスターを蹴落とすために名を上げたはずが、その実、中身はスカスカの虚飾でしかなかったなんて。			琥珀色の後悔							
俺にだって意地がある、不正を正すため、無茶に依頼を積み上げて……しくじった。俺の実力では、依頼を達成できない。			俺にだって意地がある、不正を正すため、無茶に依頼を積み上げて……しくじった。俺の実力では、依頼を達成できない。			琥珀色の後悔							
俺は今までの不正を正すどころか、さらなる悪評を積み重ねるってわけだ……。			俺は今までの不正を正すどころか、さらなる悪評を積み重ねるってわけだ……。			琥珀色の後悔							
だが、そんなことはどうでもいい。依頼主に、迷惑だけはかけたくないんだ。……恥を忍んで、お前に頼む。			だが、そんなことはどうでもいい。依頼主に、迷惑だけはかけたくないんだ。……恥を忍んで、お前に頼む。			琥珀色の後悔							
「青金鉱」ってぇ鉱石がある。こいつを、高地ラノシア「キャンプ・ブロンズレイク」の南にある採掘場で20個、採掘してきてくれ。……頼む。			「青金鉱」ってぇ鉱石がある。こいつを、高地ラノシア「キャンプ・ブロンズレイク」の南にある採掘場で20個、採掘してきてくれ。……頼む。			琥珀色の後悔							
……ああ、しくじりそうな依頼は、「青金鉱」20個だ。高地ラノシア「キャンプ・ブロンズレイク」の南にある採掘場で採掘してきてくれ。			……ああ、しくじりそうな依頼は、「青金鉱」20個だ。高地ラノシア「キャンプ・ブロンズレイク」の南にある採掘場で採掘してきてくれ。			琥珀色の後悔							
すまない……助かった。これで依頼主に「青金鉱」を届けることができる。お前の懐の広さに救われたわけだ、ありがとう。			すまない……助かった。これで依頼主に「青金鉱」を届けることができる。お前の懐の広さに救われたわけだ、ありがとう。			琥珀色の後悔							
……やけに素直だと思ったか？だが、自分の評価が紛い物だと知らされた今、かつてのように傲慢には、なれんさ。			……やけに素直だと思ったか？だが、自分の評価が紛い物だと知らされた今、かつてのように傲慢には、なれんさ。			琥珀色の後悔							
今の俺は、まさにこの「青金鉱」のようだ。金と銀の入り交じる、この鉱石のように、決して純粋な黄金ではない。			今の俺は、まさにこの「青金鉱」のようだ。金と銀の入り交じる、この鉱石のように、決して純粋な黄金ではない。			琥珀色の後悔							
いや……この「青金鉱」以下だ。こいつをエレクトラムへと精錬すれば、やや白味を帯びた気品あふれる輝きを放つ……。			いや……この「青金鉱」以下だ。こいつをエレクトラムへと精錬すれば、やや白味を帯びた気品あふれる輝きを放つ……。			琥珀色の後悔							
その独特の輝きは、エレクトラム特有の味であり、こいつでなければ創れない芸術品を生み出す。			その独特の輝きは、エレクトラム特有の味であり、こいつでなければ創れない芸術品を生み出す。			琥珀色の後悔							
だが、俺はどうだ！？エレクトラムどころか、真鍮のようなものだ。			だが、俺はどうだ！？エレクトラムどころか、真鍮のようなものだ。			琥珀色の後悔							
見た目こそ黄金のように輝いてみえるが、虚偽で磨かれたに過ぎず、真鍮同様に大した値打ちはない！			見た目こそ黄金のように輝いてみえるが、虚偽で磨かれたに過ぎず、真鍮同様に大した値打ちはない！			琥珀色の後悔							
せめて……この「青金鉱」のように自分にしかできないことを……やりたいものだ……。			せめて……この「青金鉱」のように自分にしかできないことを……やりたいものだ……。			琥珀色の後悔							
……ともかく、今日は助かった。この借りは必ず返すぞ、Forename。俺にしかできないことで、必ず借りを返す。			……ともかく、今日は助かった。この借りは必ず返すぞ、Forename。俺にしかできないことで、必ず借りを返す。			琥珀色の後悔							
イディルシャイアのノノワトは、なにやら悩んでいるようだ。			イディルシャイアのノノワトは、なにやら悩んでいるようだ。			最技研が生まれ変わる日							
ノノワトと話した。何やら困っている様子の彼から、滞納した資材代の代わりとして、ロウェナに力を貸すよう頼まれた。イディルシャイアのロウェナ総合文化会館にいる「ロウェナ」と話そう。			ノノワトと話した。何やら困っている様子の彼から、滞納した資材代の代わりとして、ロウェナに力を貸すよう頼まれた。イディルシャイアのロウェナ総合文化会館にいる「ロウェナ」と話そう。			最技研が生まれ変わる日							
ロウェナと話した。滞納金代わりとして、鉱石の採掘を依頼された。ロウェナ総合文化会館の「ロウェナ」に「蛇紋石」を20個納品しよう。「蛇紋石」はヤンサの不見転岩場にある採掘場で採掘できる。			ロウェナと話した。滞納金代わりとして、鉱石の採掘を依頼された。ロウェナ総合文化会館の「ロウェナ」に「蛇紋石」を20個納品しよう。「蛇紋石」はヤンサの不見転岩場にある採掘場で採掘できる。			最技研が生まれ変わる日							
ロウェナに蛇紋石を納品して、最技研向け資材を受けとった。さらに、彼女からスティックキクスの姿を見ていないとの話を聞いた。エーテライト・プラザの「ノノワト」に「最技研向け資材」を渡そう。			ロウェナに蛇紋石を納品して、最技研向け資材を受けとった。さらに、彼女からスティックキクスの姿を見ていないとの話を聞いた。エーテライト・プラザの「ノノワト」に「最技研向け資材」を渡そう。			最技研が生まれ変わる日							
ノノワトに最技研向け資材を渡した。彼は、スティックキクスは失踪したことを明かし、冒険者に何か知らないかと尋ねてきた。冒険者が答えると、ノノワトはスローフィクスが何か知っているかもしれないと思ったようだ。イディルシャイアの「スローフィクス」と話そう。			ノノワトに最技研向け資材を渡した。彼は、スティックキクスは失踪したことを明かし、冒険者に何か知らないかと尋ねてきた。冒険者が答えると、ノノワトはスローフィクスが何か知っているかもしれないと思ったようだ。イディルシャイアの「スローフィクス」と話そう。			最技研が生まれ変わる日							
スローフィクスと話した。スティックキクスの行き先はわからなかったが、彼の過去について聞くことができた。スティックキクス工房の「ノノワト」と話そう。			スローフィクスと話した。スティックキクスの行き先はわからなかったが、彼の過去について聞くことができた。スティックキクス工房の「ノノワト」と話そう。			最技研が生まれ変わる日							
ノノワトと話した。彼は最技研の研究員たちに、スティックキクスのことを話した。それにより、最技研はいままでの自分たちを反省し、協力してスチームローラーの開発に取りくむことを誓った。エーテライト・プラザの「ノノワト」と話そう。			ノノワトと話した。彼は最技研の研究員たちに、スティックキクスのことを話した。それにより、最技研はいままでの自分たちを反省し、協力してスチームローラーの開発に取りくむことを誓った。エーテライト・プラザの「ノノワト」と話そう。			最技研が生まれ変わる日							
ノノワトと話した。最後となる依頼まで、さらに採掘師としての技術を磨いておこう。※採掘師のレベルが70以上になると、イディルシャイアのノノワトから次の採掘師クエストを受注することができます。			ノノワトと話した。最後となる依頼まで、さらに採掘師としての技術を磨いておこう。※採掘師のレベルが70以上になると、イディルシャイアのノノワトから次の採掘師クエストを受注することができます。			最技研が生まれ変わる日							
ロウェナ総合文化会館のロウェナと話す			ロウェナ総合文化会館のロウェナと話す			最技研が生まれ変わる日							
不見転岩場で蛇紋石を採掘ロウェナ総合文化会館のロウェナに蛇紋石を納品			不見転岩場で蛇紋石を採掘ロウェナ総合文化会館のロウェナに蛇紋石を納品			最技研が生まれ変わる日							
ノノワトに最技研向け資材を渡す			ノノワトに最技研向け資材を渡す			最技研が生まれ変わる日							
スローフィクスと話す			スローフィクスと話す			最技研が生まれ変わる日							
スティックキクス工房のノノワトと話す			スティックキクス工房のノノワトと話す			最技研が生まれ変わる日							
エーテライト・プラザのノノワトと話す			エーテライト・プラザのノノワトと話す			最技研が生まれ変わる日							
……はあ、いったいどちらへ……はっ！？			……はあ、いったいどちらへ……はっ！？			最技研が生まれ変わる日							
あ、いや、その……少し、そう少し問題が起きてまして……。えっと……そう、ロウェナさん！ロウェナさんへの資材代の支払いを忘れちゃって……。			あ、いや、その……少し、そう少し問題が起きてまして……。えっと……そう、ロウェナさん！ロウェナさんへの資材代の支払いを忘れちゃって……。			最技研が生まれ変わる日							
ちょっと忙しくて、確認を忘れた僕のミスです……。そのせいで、滞納金代わりに力を貸さなければ、発注した資材を納品しないと脅されて……。			ちょっと忙しくて、確認を忘れた僕のミスです……。そのせいで、滞納金代わりに力を貸さなければ、発注した資材を納品しないと脅されて……。			最技研が生まれ変わる日							
どこで聞きつけたのか、最近、最技研に出入りしている、腕利きの採掘師を派遣しろだなんて言ってきたんです！この件に採掘師さんは、無関係なのに……！			どこで聞きつけたのか、最近、最技研に出入りしている、腕利きの採掘師を派遣しろだなんて言ってきたんです！この件に採掘師さんは、無関係なのに……！			最技研が生まれ変わる日							
ですが、資材がなければ開発は進みません！恥を忍んでお願いします……どうか……どうか、「ロウェナ」さんから話を聞いて、力を貸してあげてください！			ですが、資材がなければ開発は進みません！恥を忍んでお願いします……どうか……どうか、「ロウェナ」さんから話を聞いて、力を貸してあげてください！			最技研が生まれ変わる日							
本当に申し訳ないんですけど、「ロウェナ」さんから話を聞いて、力を貸してあげてください！			本当に申し訳ないんですけど、「ロウェナ」さんから話を聞いて、力を貸してあげてください！			最技研が生まれ変わる日							
いったいなぜ……我らに一言もなく……。			いったいなぜ……我らに一言もなく……。			最技研が生まれ変わる日							
うーん……困ったねえ……。彼がいないと……。			うーん……困ったねえ……。彼がいないと……。			最技研が生まれ変わる日							
なんだかねえ……手紙ひとつ残さずって……。解せないよ、まったく……。			なんだかねえ……手紙ひとつ残さずって……。解せないよ、まったく……。			最技研が生まれ変わる日							
シュコォ……シュコォ……いったい　何が　悪かった……ゴブには　さっぱり　わからない！			シュコォ……シュコォ……いったい　何が　悪かった……ゴブには　さっぱり　わからない！			最技研が生まれ変わる日							
…………驚いたわ。腕利きの採掘師が最技研に出入りしてるって聞いたから、派遣するよう求めてみれば、その正体が英雄様とはねぇ。			…………驚いたわ。腕利きの採掘師が最技研に出入りしてるって聞いたから、派遣するよう求めてみれば、その正体が英雄様とはねぇ。			最技研が生まれ変わる日							
ツルハシ担ぐのが趣味なの？　それとも貧しいの？あっ、やっぱり、答えなくてもいいわ……。いちいち他人の事情にかまってたら、商売にならないし。			ツルハシ担ぐのが趣味なの？　それとも貧しいの？あっ、やっぱり、答えなくてもいいわ……。いちいち他人の事情にかまってたら、商売にならないし。			最技研が生まれ変わる日							
とにかく、あんたは採掘の腕を活かして、「蛇紋石」を持って来なさい。それで取引成立、後腐れなし！			とにかく、あんたは採掘の腕を活かして、「蛇紋石」を持って来なさい。それで取引成立、後腐れなし！			最技研が生まれ変わる日							
ちなみに、この原石はね、東方のヤンサ地方でしか、掘ることができないそうよ。だからこそ、エオルゼアでは好事家に高値で売れるってわけ。			ちなみに、この原石はね、東方のヤンサ地方でしか、掘ることができないそうよ。だからこそ、エオルゼアでは好事家に高値で売れるってわけ。			最技研が生まれ変わる日							
そうね……20個も納品してくれれば、滞納金をチャラにしてあげるから、せいぜい急いでちょうだい。			そうね……20個も納品してくれれば、滞納金をチャラにしてあげるから、せいぜい急いでちょうだい。			最技研が生まれ変わる日							
はあ……どうしよう……このままじゃ……。			はあ……どうしよう……このままじゃ……。			最技研が生まれ変わる日							
ヤンサの不見転岩場で採掘できる、「蛇紋石」を20個、納品してちょうだい。……言っとくけど、まけないわよ。			ヤンサの不見転岩場で採掘できる、「蛇紋石」を20個、納品してちょうだい。……言っとくけど、まけないわよ。			最技研が生まれ変わる日							
……見事なものね、ウチの専属採掘師として雇いたいくらいだわ。それはともかく、約束どおり「最技研向け資材」を渡してあげる。あんたから「ノノワト」に渡しておいてちょうだい。			……見事なものね、ウチの専属採掘師として雇いたいくらいだわ。それはともかく、約束どおり「最技研向け資材」を渡してあげる。あんたから「ノノワト」に渡しておいてちょうだい。			最技研が生まれ変わる日							
