アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
……よう、コカトゥー空賊団を探してるそうじゃねえか。俺たちと取引がしたいんだって？			……よう、コカトゥー空賊団を探してるそうじゃねえか。俺たちと取引がしたいんだって？			蒼天の空に繋がれ、大繁盛の輪！							
まんまとおびき出されてくれたなあ。これでもう、正体を隠しておく必要もない……。			まんまとおびき出されてくれたなあ。これでもう、正体を隠しておく必要もない……。			蒼天の空に繋がれ、大繁盛の輪！							
そ、その物言いに、ニヤケ面！まさか、レッドビルの……乱鴉のレオファードか！？			そ、その物言いに、ニヤケ面！まさか、レッドビルの……乱鴉のレオファードか！？			蒼天の空に繋がれ、大繁盛の輪！							
ご名答……観念して、奪った品物を返してもらおうか。もちろん俺たちのパーツも、な。			ご名答……観念して、奪った品物を返してもらおうか。もちろん俺たちのパーツも、な。			蒼天の空に繋がれ、大繁盛の輪！							
へ、へへっ！　お前の思い通りにはさせねえよ！！こんなこともあろうかと、空を牛耳る大手の「空賊」と同盟を結んでおいたのさ！			へ、へへっ！　お前の思い通りにはさせねえよ！！こんなこともあろうかと、空を牛耳る大手の「空賊」と同盟を結んでおいたのさ！			蒼天の空に繋がれ、大繁盛の輪！							
(-？？？？-)ダン・スカーでの一件以来か……。新参の空賊だけが相手と思ってたんだろうけど、そうは問屋が卸さないよ、レオファード！			(-？？？？-)ダン・スカーでの一件以来か……。新参の空賊だけが相手と思ってたんだろうけど、そうは問屋が卸さないよ、レオファード！			蒼天の空に繋がれ、大繁盛の輪！							
大鷲連合のラドリア……。空賊まがいの連中の用心棒にまで落ちぶれたか。どうせ目当ては俺だろうが……ご苦労なこった。			大鷲連合のラドリア……。空賊まがいの連中の用心棒にまで落ちぶれたか。どうせ目当ては俺だろうが……ご苦労なこった。			蒼天の空に繋がれ、大繁盛の輪！							
マハの一件で、さらにアンタに惚れ込んじまってねえ……。「レッドビル奪取計画」をいくつも立てていたところに、ちょうどいい提案が飛び込んできたってわけさ。			マハの一件で、さらにアンタに惚れ込んじまってねえ……。「レッドビル奪取計画」をいくつも立てていたところに、ちょうどいい提案が飛び込んできたってわけさ。			蒼天の空に繋がれ、大繁盛の輪！							
飛空艇を造るのに必要なパーツを隠されてるんだろう？アタイの配下に加わるっていうんなら、そのパーツだけはアンタに融通するよう、手配してやるよ？			飛空艇を造るのに必要なパーツを隠されてるんだろう？アタイの配下に加わるっていうんなら、そのパーツだけはアンタに融通するよう、手配してやるよ？			蒼天の空に繋がれ、大繁盛の輪！							
……飛空艇の完成は、俺の悲願だ。あのパーツは絶対に逃すわけにはいかねえ。			……飛空艇の完成は、俺の悲願だ。あのパーツは絶対に逃すわけにはいかねえ。			蒼天の空に繋がれ、大繁盛の輪！							
だが、返答の前にひとつ聞かせろ。お前たち、まさかあのパーツを、風属性の影響が強い場所に隠したりしてねえだろうな？			だが、返答の前にひとつ聞かせろ。お前たち、まさかあのパーツを、風属性の影響が強い場所に隠したりしてねえだろうな？			蒼天の空に繋がれ、大繁盛の輪！							
あれには、風属性の偏属性クリスタルが使われてるんだ。繊細な調整をしてるんで、ウィンドスプライトがいるような場所に、隠そうもんなら、一発でオシャカになっちまう。			あれには、風属性の偏属性クリスタルが使われてるんだ。繊細な調整をしてるんで、ウィンドスプライトがいるような場所に、隠そうもんなら、一発でオシャカになっちまう。			蒼天の空に繋がれ、大繁盛の輪！							
い、いや……そんなこと知らなかったんで、ほかの品物と一緒に、プロヴェナンス島の岩陰に……。			い、いや……そんなこと知らなかったんで、ほかの品物と一緒に、プロヴェナンス島の岩陰に……。			蒼天の空に繋がれ、大繁盛の輪！							
ウタタ、飛空艇は動かせるな！？今すぐプロヴェナンス島に飛べ、そこに強奪された品がある！			ウタタ、飛空艇は動かせるな！？今すぐプロヴェナンス島に飛べ、そこに強奪された品がある！			蒼天の空に繋がれ、大繁盛の輪！							
レオファード……！　まさか今のはハッタリかい！			レオファード……！　まさか今のはハッタリかい！			蒼天の空に繋がれ、大繁盛の輪！							
当たり前だろう？飛空艇のパーツが、風属性に弱くてどうする。			当たり前だろう？飛空艇のパーツが、風属性に弱くてどうする。			蒼天の空に繋がれ、大繁盛の輪！							
クッ……だが、パーツがどうなろうとも、アンタの身柄さえ、押さえちまえばそれまでだ！力ずくで、ふんじばってでも連れ帰らせてもらうよ！			クッ……だが、パーツがどうなろうとも、アンタの身柄さえ、押さえちまえばそれまでだ！力ずくで、ふんじばってでも連れ帰らせてもらうよ！			蒼天の空に繋がれ、大繁盛の輪！							
何と言う？			何と言う？			蒼天の空に繋がれ、大繁盛の輪！							
あっちがその気なら、実力勝負といこう！			あっちがその気なら、実力勝負といこう！			蒼天の空に繋がれ、大繁盛の輪！							
そろそろ自分の出番？			そろそろ自分の出番？			蒼天の空に繋がれ、大繁盛の輪！							
ア、アンタは、Forename！			ア、アンタは、Forename！			蒼天の空に繋がれ、大繁盛の輪！							
Forenameだって……！？そんな大物が、レッドビルの一味だってのかよ！			Forenameだって……！？そんな大物が、レッドビルの一味だってのかよ！			蒼天の空に繋がれ、大繁盛の輪！							
ハッ、お前の名も、売れに売れてるようじゃないか。空賊としての名なら、負けねえと思ってるんだがな。			ハッ、お前の名も、売れに売れてるようじゃないか。空賊としての名なら、負けねえと思ってるんだがな。			蒼天の空に繋がれ、大繁盛の輪！							
さあて、そんな訳で……お前らが力ずくを望むのなら、俺たちで相手になるぜ。			さあて、そんな訳で……お前らが力ずくを望むのなら、俺たちで相手になるぜ。			蒼天の空に繋がれ、大繁盛の輪！							
レオファードだけならともかく、Forenameまでいちゃ勝ち目はねえ……。			レオファードだけならともかく、Forenameまでいちゃ勝ち目はねえ……。			蒼天の空に繋がれ、大繁盛の輪！							
こうなりゃ、逃げの一手だ。野郎ども……ずらかるぞ……！			こうなりゃ、逃げの一手だ。野郎ども……ずらかるぞ……！			蒼天の空に繋がれ、大繁盛の輪！							
す、すみませんでした～～！！！			す、すみませんでした～～！！！			蒼天の空に繋がれ、大繁盛の輪！							
あんな雑魚ども、追う価値もねえ。どうせ、エマネランからの報せを受けた薔薇騎兵団が、退路を塞いで、連中を捕縛するはずさ。			あんな雑魚ども、追う価値もねえ。どうせ、エマネランからの報せを受けた薔薇騎兵団が、退路を塞いで、連中を捕縛するはずさ。			蒼天の空に繋がれ、大繁盛の輪！							
……さて、ラドリアよ。遊び半分で連中の話に乗ったんだろうが、こんなことで、俺の運命を変えられると、本気で思っちゃいないだろうな？			……さて、ラドリアよ。遊び半分で連中の話に乗ったんだろうが、こんなことで、俺の運命を変えられると、本気で思っちゃいないだろうな？			蒼天の空に繋がれ、大繁盛の輪！							
それに、あいつらは飛空艇のパーツ以外にも、見過ごせないものを盗んでいてね。連中に手を貸すというなら……捨て置くわけにはいかん。			それに、あいつらは飛空艇のパーツ以外にも、見過ごせないものを盗んでいてね。連中に手を貸すというなら……捨て置くわけにはいかん。			蒼天の空に繋がれ、大繁盛の輪！							
今なら、コカトゥー空賊団単独の犯行ってことで流すが、まだ続ける気なら、大鷲連合とも本気でことを構えさせてもらう。さあ、どうする？			今なら、コカトゥー空賊団単独の犯行ってことで流すが、まだ続ける気なら、大鷲連合とも本気でことを構えさせてもらう。さあ、どうする？			蒼天の空に繋がれ、大繁盛の輪！							
……組む相手を間違えたようだねえ。最悪でも、活きのいい連中を配下に引き込めると踏んだんだが、あんな弱腰な奴らに、空賊を名乗る資格はない。			……組む相手を間違えたようだねえ。最悪でも、活きのいい連中を配下に引き込めると踏んだんだが、あんな弱腰な奴らに、空賊を名乗る資格はない。			蒼天の空に繋がれ、大繁盛の輪！							
今回は、アンタたちの顔を拝めたことで満足しておくさ。レッドビル奪取計画は、まだまだ控えているからね。それまで、首を洗って待っていな……！			今回は、アンタたちの顔を拝めたことで満足しておくさ。レッドビル奪取計画は、まだまだ控えているからね。それまで、首を洗って待っていな……！			蒼天の空に繋がれ、大繁盛の輪！							
悪事は割に合わぬと、あやつらも身に染みたであろう。			悪事は割に合わぬと、あやつらも身に染みたであろう。			蒼天の空に繋がれ、大繁盛の輪！							
いつでも駆けつけられるよう、陰で潜んでいたけど、ヒヤヒヤしたわ……！あの物言いだと、大鷲連合はまた現れるでしょうね。			いつでも駆けつけられるよう、陰で潜んでいたけど、ヒヤヒヤしたわ……！あの物言いだと、大鷲連合はまた現れるでしょうね。			蒼天の空に繋がれ、大繁盛の輪！							
ふう……やはり、いつもの格好が一番だな。お前がいてくれたおかげで、ことを荒立てずに済んだぜ。			ふう……やはり、いつもの格好が一番だな。お前がいてくれたおかげで、ことを荒立てずに済んだぜ。			蒼天の空に繋がれ、大繁盛の輪！							
俺たちは一応、薔薇騎兵団の様子をうかがってから戻る。パロック繋留基地の、俺の部屋で待っていてくれ。			俺たちは一応、薔薇騎兵団の様子をうかがってから戻る。パロック繋留基地の、俺の部屋で待っていてくれ。			蒼天の空に繋がれ、大繁盛の輪！							
俺たちは一応、薔薇騎兵団の様子をうかがってから戻る。パロック繋留基地の、俺の部屋で待っていてくれ。			俺たちは一応、薔薇騎兵団の様子をうかがってから戻る。パロック繋留基地の、俺の部屋で待っていてくれ。			蒼天の空に繋がれ、大繁盛の輪！							
ウタタも、無事に強奪された品を回収できたそうだ。飛空艇完成に向けて、パーツの組み込みを始めている。			ウタタも、無事に強奪された品を回収できたそうだ。飛空艇完成に向けて、パーツの組み込みを始めている。			蒼天の空に繋がれ、大繁盛の輪！							
予想どおり、コカトゥー空賊団は薔薇騎兵団に捕縛されたみたい。損害賠償のため、アインハルト家が管轄している、ディアデム諸島での強制労働が決定されたんだとか……。			予想どおり、コカトゥー空賊団は薔薇騎兵団に捕縛されたみたい。損害賠償のため、アインハルト家が管轄している、ディアデム諸島での強制労働が決定されたんだとか……。			蒼天の空に繋がれ、大繁盛の輪！							
……ところで、レオファードよ。強奪された品のうち、アインハルト家の物はともかく、所有者がわからぬ、ほかの物品はどうするつもりだ？			……ところで、レオファードよ。強奪された品のうち、アインハルト家の物はともかく、所有者がわからぬ、ほかの物品はどうするつもりだ？			蒼天の空に繋がれ、大繁盛の輪！							
懐に入れたら、あいつらと同じになっちまう。人脈を頼って本来の持ち主を探すさ。そのための算段もすでにつけてある……。			懐に入れたら、あいつらと同じになっちまう。人脈を頼って本来の持ち主を探すさ。そのための算段もすでにつけてある……。			蒼天の空に繋がれ、大繁盛の輪！							
(-？？？？-)おや、Forenameさんではないでっすか！！本当に、ここにいらっしゃるとは！			(-？？？？-)おや、Forenameさんではないでっすか！！本当に、ここにいらっしゃるとは！			蒼天の空に繋がれ、大繁盛の輪！							
その驚きも、ごもっとも……。私も、まだ状況を完全には飲み込めていないのでっすから。			その驚きも、ごもっとも……。私も、まだ状況を完全には飲み込めていないのでっすから。			蒼天の空に繋がれ、大繁盛の輪！							
イディルシャイアでロウェナ商会との取引を終え、帰り支度をしていたら、レオファードさんが現れまっして。突然、頼みごとをされたのでっす！			イディルシャイアでロウェナ商会との取引を終え、帰り支度をしていたら、レオファードさんが現れまっして。突然、頼みごとをされたのでっす！			蒼天の空に繋がれ、大繁盛の輪！							
エマネランから、大繁盛商店の店主殿が、商談のためにイディルシャイアにいるらしいと聞いてな。現地に着いてすぐ、人探しの依頼をしておいたのさ。			エマネランから、大繁盛商店の店主殿が、商談のためにイディルシャイアにいるらしいと聞いてな。現地に着いてすぐ、人探しの依頼をしておいたのさ。			蒼天の空に繋がれ、大繁盛の輪！							
ええ、探してらっしゃった「肖像画家」……ドゥルメールさんを、たしかにお連れしまっした！			ええ、探してらっしゃった「肖像画家」……ドゥルメールさんを、たしかにお連れしまっした！			蒼天の空に繋がれ、大繁盛の輪！							
肖像画家……そういえば、奪われた品の中に、いくつか肖像画があったのを見かけたな。			肖像画家……そういえば、奪われた品の中に、いくつか肖像画があったのを見かけたな。			蒼天の空に繋がれ、大繁盛の輪！							
ああ、そうですか……。輸送艇が襲われたと聞き諦めかけていたのですが、無事に戻ってきて、本当によかった……！			ああ、そうですか……。輸送艇が襲われたと聞き諦めかけていたのですが、無事に戻ってきて、本当によかった……！			蒼天の空に繋がれ、大繁盛の輪！							
なるほど、コカトゥー空賊団の被害を受けた御方であったか。しかし、わざわざアジトまで招くとは、レオファードも、ずいぶんと珍しいことをする……。			なるほど、コカトゥー空賊団の被害を受けた御方であったか。しかし、わざわざアジトまで招くとは、レオファードも、ずいぶんと珍しいことをする……。			蒼天の空に繋がれ、大繁盛の輪！							
おそらく、ほかになにか伝えたいことがあるのでしょう。レオファードと私は旧知の仲……彼が飾っているあの絵も、私が描いたものですから。			おそらく、ほかになにか伝えたいことがあるのでしょう。レオファードと私は旧知の仲……彼が飾っているあの絵も、私が描いたものですから。			蒼天の空に繋がれ、大繁盛の輪！							
我が娘、レミーユの肖像画……。まだ、飾ってくれているのだね。			我が娘、レミーユの肖像画……。まだ、飾ってくれているのだね。			蒼天の空に繋がれ、大繁盛の輪！							
む、むむむ、娘！？			む、むむむ、娘！？			蒼天の空に繋がれ、大繁盛の輪！							
ええ、孤児だったレオファードを世話した義母レミーユ。ドゥルメールさんは、彼女の父親なの……。			ええ、孤児だったレオファードを世話した義母レミーユ。ドゥルメールさんは、彼女の父親なの……。			蒼天の空に繋がれ、大繁盛の輪！							
息子に当主の座を譲ったあと、肖像画家に転身してね。あのレミーユの肖像画も、レオファードの頼みで彼が手掛けた作品よ。			息子に当主の座を譲ったあと、肖像画家に転身してね。あのレミーユの肖像画も、レオファードの頼みで彼が手掛けた作品よ。			蒼天の空に繋がれ、大繁盛の輪！							
自身が興味をいだいた相手しか描かないという、放浪の肖像画家、ドゥルメール……。その義理の孫が空賊だったとは驚きでっす。			自身が興味をいだいた相手しか描かないという、放浪の肖像画家、ドゥルメール……。その義理の孫が空賊だったとは驚きでっす。			蒼天の空に繋がれ、大繁盛の輪！							
そんな相手を、この短時間で見つけるお前も流石だぜ。おかげで、直接、報告ができる。			そんな相手を、この短時間で見つけるお前も流石だぜ。おかげで、直接、報告ができる。			蒼天の空に繋がれ、大繁盛の輪！							
ジジイ、俺たちはいま新しい飛空艇を造っている。そいつにも名付けるぞ……「レミーユ号」とな。			ジジイ、俺たちはいま新しい飛空艇を造っている。そいつにも名付けるぞ……「レミーユ号」とな。			蒼天の空に繋がれ、大繁盛の輪！							
このアジトに肖像画を飾ったときも、そして、先代「レミーユ号」の命名を行ったときも……娘に関わる物事に関しては、必ず同じように報告してくれたね。			このアジトに肖像画を飾ったときも、そして、先代「レミーユ号」の命名を行ったときも……娘に関わる物事に関しては、必ず同じように報告してくれたね。			蒼天の空に繋がれ、大繁盛の輪！							
君にとっては、筋を通す上での大切な宣言というわけだ。ならば私は、君にこの言葉を贈ろう……。			君にとっては、筋を通す上での大切な宣言というわけだ。ならば私は、君にこの言葉を贈ろう……。			蒼天の空に繋がれ、大繁盛の輪！							
「この空で、誰よりも自由な人間になりなさい」それが……レミーユが君に託した願いだったろう？			「この空で、誰よりも自由な人間になりなさい」それが……レミーユが君に託した願いだったろう？			蒼天の空に繋がれ、大繁盛の輪！							
Forename……策を弄してまで来てもらったのは、大切な仲間であるお前にも、立ち会ってほしかったからだ。			Forename……策を弄してまで来てもらったのは、大切な仲間であるお前にも、立ち会ってほしかったからだ。			蒼天の空に繋がれ、大繁盛の輪！							
新生「レミーユ号」命名の瞬間にな……。			新生「レミーユ号」命名の瞬間にな……。			蒼天の空に繋がれ、大繁盛の輪！							
さあ、つづけて初飛行と洒落込もうじゃねえか！新生レミーユ号の試験航行を兼ねて、Forenameたちの見送りに出るぞ！			さあ、つづけて初飛行と洒落込もうじゃねえか！新生レミーユ号の試験航行を兼ねて、Forenameたちの見送りに出るぞ！			蒼天の空に繋がれ、大繁盛の輪！							
よし、スカイスチール機工房製のパーツの調子も上々……。こいつとなら、空の果てまでも飛んでいけそうだ。			よし、スカイスチール機工房製のパーツの調子も上々……。こいつとなら、空の果てまでも飛んでいけそうだ。			蒼天の空に繋がれ、大繁盛の輪！							
……エマネラン坊やから聞いたぜ。お前は、この空とは違う、別の世界すら冒険の舞台にしているそうじゃねえか。			……エマネラン坊やから聞いたぜ。お前は、この空とは違う、別の世界すら冒険の舞台にしているそうじゃねえか。			蒼天の空に繋がれ、大繁盛の輪！							
まったく、羨ましいやら、誇らしいやら……。			まったく、羨ましいやら、誇らしいやら……。			蒼天の空に繋がれ、大繁盛の輪！							
お前にしかできない、至極の冒険ってやつだ。すみずみまで、味わい尽くしてこいや。			お前にしかできない、至極の冒険ってやつだ。すみずみまで、味わい尽くしてこいや。			蒼天の空に繋がれ、大繁盛の輪！							
ただし、この世界に飽きたなんて言ったらタダじゃおかねえぞ？この空を駆け回ってる俺ですら、雲海の先に何が待つか、知らねえことのほうが多いんだ。			ただし、この世界に飽きたなんて言ったらタダじゃおかねえぞ？この空を駆け回ってる俺ですら、雲海の先に何が待つか、知らねえことのほうが多いんだ。			蒼天の空に繋がれ、大繁盛の輪！							
近いうちにお前を、また引っ張り出してやるよ。とっておきの冒険と危険を「報酬」にな……！			近いうちにお前を、また引っ張り出してやるよ。とっておきの冒険と危険を「報酬」にな……！			蒼天の空に繋がれ、大繁盛の輪！							
さあ、しばしの別れとなるが……別れの時間こそ、またの再会を祝うための糧と……			さあ、しばしの別れとなるが……別れの時間こそ、またの再会を祝うための糧と……			蒼天の空に繋がれ、大繁盛の輪！							
勝手に仕切るんじゃねえよ、ネコジジイ。そんなこと、ここにいる全員が理解してるってもんだ。			勝手に仕切るんじゃねえよ、ネコジジイ。そんなこと、ここにいる全員が理解してるってもんだ。			蒼天の空に繋がれ、大繁盛の輪！							
独りきりの時間が長かったから……。実はケット・シーこそ、誰よりも別れが寂しいのよね。			独りきりの時間が長かったから……。実はケット・シーこそ、誰よりも別れが寂しいのよね。			蒼天の空に繋がれ、大繁盛の輪！							
しばらくは、この空から不届き者も消えるだろう。それでも空賊に困らされることがあれば、俺たちを呼びな。すぐに駆けつけてやるよ。			しばらくは、この空から不届き者も消えるだろう。それでも空賊に困らされることがあれば、俺たちを呼びな。すぐに駆けつけてやるよ。			蒼天の空に繋がれ、大繁盛の輪！							
はいでっす！空賊の襲来に悩まず空輸を行えるとなれば、物流の面で、これほどありがたいことはありません！			はいでっす！空賊の襲来に悩まず空輸を行えるとなれば、物流の面で、これほどありがたいことはありません！			蒼天の空に繋がれ、大繁盛の輪！							
お前も、お前の冒険を……。さっき伝えた言葉は、決して忘れるんじゃねえぞ。			お前も、お前の冒険を……。さっき伝えた言葉は、決して忘れるんじゃねえぞ。			蒼天の空に繋がれ、大繁盛の輪！							
私は、次の取引がありますので皇都へと戻りまっす。ドゥルメールさんも、是非このまま、ボナンザ号にご同乗くださいまっせ！			私は、次の取引がありますので皇都へと戻りまっす。ドゥルメールさんも、是非このまま、ボナンザ号にご同乗くださいまっせ！			蒼天の空に繋がれ、大繁盛の輪！							
では、貴方も皇都までご一緒いただき、これまでの冒険譚をお聞かせいただけませんか？			では、貴方も皇都までご一緒いただき、これまでの冒険譚をお聞かせいただけませんか？			蒼天の空に繋がれ、大繁盛の輪！							
私は肖像画家を生業としておりますが、どうせ描くのなら、それに足る魅力ある人物を対象にしたい。貴方なら、相応しい人物と多く巡り合っていると思うのです。			私は肖像画家を生業としておりますが、どうせ描くのなら、それに足る魅力ある人物を対象にしたい。貴方なら、相応しい人物と多く巡り合っていると思うのです。			蒼天の空に繋がれ、大繁盛の輪！							
ありがとうございます。せっかくなら、レオファードたちとの冒険譚も、お聞かせいただきたいところですね。			ありがとうございます。せっかくなら、レオファードたちとの冒険譚も、お聞かせいただきたいところですね。			蒼天の空に繋がれ、大繁盛の輪！							
……これは、レオファードさんが？Forenameさん宛てのようですが、なにか、心当たりはありまっすか？			……これは、レオファードさんが？Forenameさん宛てのようですが、なにか、心当たりはありまっすか？			蒼天の空に繋がれ、大繁盛の輪！							
何と言う？			何と言う？			蒼天の空に繋がれ、大繁盛の輪！							
約束していた報酬だ			約束していた報酬だ			蒼天の空に繋がれ、大繁盛の輪！							
タタルが、彼らとの繋がりを得た証だよ			タタルが、彼らとの繋がりを得た証だよ			蒼天の空に繋がれ、大繁盛の輪！							
なるほど！そういえば、ドゥルメールさんを探すよう要求されたとき、「報酬については、すでに話をつけてある」と仰っていまっした。			なるほど！そういえば、ドゥルメールさんを探すよう要求されたとき、「報酬については、すでに話をつけてある」と仰っていまっした。			蒼天の空に繋がれ、大繁盛の輪！							
……？そういえば、ドゥルメールさんを探すよう要求されたとき、「報酬については、すでに話をつけてある」と聞きまっしたが……。			……？そういえば、ドゥルメールさんを探すよう要求されたとき、「報酬については、すでに話をつけてある」と聞きまっしたが……。			蒼天の空に繋がれ、大繁盛の輪！							
詳細はわかりませんが、流石でっすね！親しき仲でも、きっちり報酬を用意してくださるとは……。			詳細はわかりませんが、流石でっすね！親しき仲でも、きっちり報酬を用意してくださるとは……。			蒼天の空に繋がれ、大繁盛の輪！							
どうにも空賊と聞くと身構えてしまいますが、レッドビルの皆さんのように、気持ちのいい方々もいるのでっすね！			どうにも空賊と聞くと身構えてしまいますが、レッドビルの皆さんのように、気持ちのいい方々もいるのでっすね！			蒼天の空に繋がれ、大繁盛の輪！							
タタルさんは、ずいぶんと精力的な方ですね。イシュガルドに着くやいなや、もう次の取引先へと向かわれてしまった。			タタルさんは、ずいぶんと精力的な方ですね。イシュガルドに着くやいなや、もう次の取引先へと向かわれてしまった。			蒼天の空に繋がれ、大繁盛の輪！							
貴方も、道すがらお話をありがとうございます。こうも想像力を掻き立てられる冒険譚を聞くのは初めてだ。			貴方も、道すがらお話をありがとうございます。こうも想像力を掻き立てられる冒険譚を聞くのは初めてだ。			蒼天の空に繋がれ、大繁盛の輪！							
冒険の中で、貴方が出会った人々……。そのイメージを形にするべく、私はしばし皇都に留まり、創作活動に勤しもうと思います。			冒険の中で、貴方が出会った人々……。そのイメージを形にするべく、私はしばし皇都に留まり、創作活動に勤しもうと思います。			蒼天の空に繋がれ、大繁盛の輪！							
お礼に、よろしければ描いた肖像画をお渡ししますよ。材料費だけいただければ、それで結構ですとも……。創作のとき以外は、ここにいると思いますので。			お礼に、よろしければ描いた肖像画をお渡ししますよ。材料費だけいただければ、それで結構ですとも……。創作のとき以外は、ここにいると思いますので。			蒼天の空に繋がれ、大繁盛の輪！							
まだ筆を持ってもいませんので、お渡しは少々お待ちを……。大繁盛商店に、配達完了のご報告などはよろしいのですか？			まだ筆を持ってもいませんので、お渡しは少々お待ちを……。大繁盛商店に、配達完了のご報告などはよろしいのですか？			蒼天の空に繋がれ、大繁盛の輪！							
おかえりなさいませ！タタルさんから連絡がありましたが、空賊のアジトにまで足を運んでくださったそうですね。			おかえりなさいませ！タタルさんから連絡がありましたが、空賊のアジトにまで足を運んでくださったそうですね。			蒼天の空に繋がれ、大繁盛の輪！							
レオファードさんから、ネックレスの部品にこれを……？			レオファードさんから、ネックレスの部品にこれを……？			蒼天の空に繋がれ、大繁盛の輪！							
箱の中身は、どうやら「革紐」のようですね。それも、ずいぶんと古い……。			箱の中身は、どうやら「革紐」のようですね。それも、ずいぶんと古い……。			蒼天の空に繋がれ、大繁盛の輪！							
私もまだまだ勉強中ですが、この意匠は……おそらく、かつて存在した魔法国家マハのものだと思います。			私もまだまだ勉強中ですが、この意匠は……おそらく、かつて存在した魔法国家マハのものだと思います。			蒼天の空に繋がれ、大繁盛の輪！							
魔力を込めながら編むことによって、決して切れぬというほどの丈夫さを持っているとか……。ネックレスの素材として、これ以上の品はありません！			魔力を込めながら編むことによって、決して切れぬというほどの丈夫さを持っているとか……。ネックレスの素材として、これ以上の品はありません！			蒼天の空に繋がれ、大繁盛の輪！							
タタルさんも、彼らと知り合えたことを喜んでました。空輸の相談はもちろん、危険と隣り合わせの空賊に、今後、私たちの商品がきっとお役に立てるはずだと。			タタルさんも、彼らと知り合えたことを喜んでました。空輸の相談はもちろん、危険と隣り合わせの空賊に、今後、私たちの商品がきっとお役に立てるはずだと。			蒼天の空に繋がれ、大繁盛の輪！							
薔薇騎兵団からも注文が届いてますし、商品の売り込みも、ネックレス仕立て直し計画も、どちらも大成功ですね！			薔薇騎兵団からも注文が届いてますし、商品の売り込みも、ネックレス仕立て直し計画も、どちらも大成功ですね！			蒼天の空に繋がれ、大繁盛の輪！							
これもForenameさんのおかげです！引き続き、顧客になってくださりそうな方を探してますので、よければまた、ご協力をお願いいたしますね！			これもForenameさんのおかげです！引き続き、顧客になってくださりそうな方を探してますので、よければまた、ご協力をお願いいたしますね！			蒼天の空に繋がれ、大繁盛の輪！							
イシュガルドの上層に、肖像画ショップが開放されました。以後、ドゥルメールから肖像画を購入することができます。			イシュガルドの上層に、肖像画ショップが開放されました。以後、ドゥルメールから肖像画を購入することができます。			蒼天の空に繋がれ、大繁盛の輪！							
アゴラのメジナは、冒険者に相談したいことがあるようだ。			アゴラのメジナは、冒険者に相談したいことがあるようだ。			暁月の未来に繋がれ、大繁盛の輪！							
メジナは研究者向けの装束を作りたいと考えているようだ。オールド・シャーレアンのシャーレアン魔法大学にいる「メジナ」と話そう。			メジナは研究者向けの装束を作りたいと考えているようだ。オールド・シャーレアンのシャーレアン魔法大学にいる「メジナ」と話そう。			暁月の未来に繋がれ、大繁盛の輪！							
魔法大学の研究者たちは、それぞれ必要としている装備がまるで違うらしい。気落ちするメジナを見たハズダーダは、そろそろパーラカの里に帰るべきだと考えているようだ。アゴラの「ハズダーダ」と話そう。			魔法大学の研究者たちは、それぞれ必要としている装備がまるで違うらしい。気落ちするメジナを見たハズダーダは、そろそろパーラカの里に帰るべきだと考えているようだ。アゴラの「ハズダーダ」と話そう。			暁月の未来に繋がれ、大繁盛の輪！							
ハズダーダたちの話を聞いたタタルは、次の試供品の届け先をパーラカの里に決めた。オールド・シャーレアンの知神の港にいる「ハズダーダ」と話そう。			ハズダーダたちの話を聞いたタタルは、次の試供品の届け先をパーラカの里に決めた。オールド・シャーレアンの知神の港にいる「ハズダーダ」と話そう。			暁月の未来に繋がれ、大繁盛の輪！							
ハズダーダと話した。ラザハン・ランディングにいる「メジナ」と話そう。			ハズダーダと話した。ラザハン・ランディングにいる「メジナ」と話そう。			暁月の未来に繋がれ、大繁盛の輪！							
メジナと話した。サベネア島のパーラカの里付近の「指定地点」で待機し、メジナたちを待とう。			メジナと話した。サベネア島のパーラカの里付近の「指定地点」で待機し、メジナたちを待とう。			暁月の未来に繋がれ、大繁盛の輪！							
パーラカの里に戻ってきたハズダーダとメジナは、里長のイェルヴェットから現状について聞いた。終末の騒動を経て、平穏な暮らしへと戻りつつあるようだが、今後の里の在り方に悩んでいるという。何かできることがないか、ハズダーダたちといっしょに考えてみよう。			パーラカの里に戻ってきたハズダーダとメジナは、里長のイェルヴェットから現状について聞いた。終末の騒動を経て、平穏な暮らしへと戻りつつあるようだが、今後の里の在り方に悩んでいるという。何かできることがないか、ハズダーダたちといっしょに考えてみよう。			暁月の未来に繋がれ、大繁盛の輪！							
メジナと話す			メジナと話す			暁月の未来に繋がれ、大繁盛の輪！							
ハズダーダと話す			ハズダーダと話す			暁月の未来に繋がれ、大繁盛の輪！							
ハズダーダと再度話す			ハズダーダと再度話す			暁月の未来に繋がれ、大繁盛の輪！							
ラザハン・ランディングのメジナと話す			ラザハン・ランディングのメジナと話す			暁月の未来に繋がれ、大繁盛の輪！							
パーラカの里付近の指定地点で待機する			パーラカの里付近の指定地点で待機する			暁月の未来に繋がれ、大繁盛の輪！							
本クエストを進行するためには、「メインクエスト：新たなる冒険編」の、「光明の起点」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：新たなる冒険編」の、「光明の起点」を完了する必要があります。			暁月の未来に繋がれ、大繁盛の輪！							
