リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
なんと答える？			なんと答える？			頼れる人気者！							
任せておけ！			任せておけ！			頼れる人気者！							
ウル＝ゾンの力も必要だ			ウル＝ゾンの力も必要だ			頼れる人気者！							
関係ないね			関係ないね			頼れる人気者！							
待って、私も一緒に行くわ！怖いけど、郷の仲間を守れてこそ真の人気者だもの……！			待って、私も一緒に行くわ！怖いけど、郷の仲間を守れてこそ真の人気者だもの……！			頼れる人気者！							
えっ、私なんて、大した力も……。……ううん、そうじゃないわよね。郷の仲間を守れてこそ、真の人気者だもの……！			えっ、私なんて、大した力も……。……ううん、そうじゃないわよね。郷の仲間を守れてこそ、真の人気者だもの……！			頼れる人気者！							
そ、そんな言い方ヒドイ！なら、私がひとりで助けに行くわ！			そ、そんな言い方ヒドイ！なら、私がひとりで助けに行くわ！			頼れる人気者！							
……ハッ、さては、今の言葉は本心じゃないわね？仲間を救うために動けてこそ、真の人気者になれると、そう、私に教えてくれたのね！			……ハッ、さては、今の言葉は本心じゃないわね？仲間を救うために動けてこそ、真の人気者になれると、そう、私に教えてくれたのね！			頼れる人気者！							
(-焦った様子のピクシー族-)そ、それもそうかも知れないけど……ウル＝ゾンひとりで向かうのは無茶だよ～！ふたりで一緒に行ったらいいんじゃないかなっ？			(-焦った様子のピクシー族-)そ、それもそうかも知れないけど……ウル＝ゾンひとりで向かうのは無茶だよ～！ふたりで一緒に行ったらいいんじゃないかなっ？			頼れる人気者！							
よし……！　ここは私たちに任せておきなさい！アナタたちは、村で待機していて！			よし……！　ここは私たちに任せておきなさい！アナタたちは、村で待機していて！			頼れる人気者！							
それじゃ、ハガン＝ニイを助けにいきましょう！手鏡の湖の手前ね……北西の方角に向かうわよ！			それじゃ、ハガン＝ニイを助けにいきましょう！手鏡の湖の手前ね……北西の方角に向かうわよ！			頼れる人気者！							
ハガン＝ニイが追いかけられていたのは、この辺りね。もう、この周辺にはいないかしら……。試しに、呼びかけてみましょう。			ハガン＝ニイが追いかけられていたのは、この辺りね。もう、この周辺にはいないかしら……。試しに、呼びかけてみましょう。			頼れる人気者！							
ハガン＝ニイ～～！！！何処に行っちゃったの～～！！！			ハガン＝ニイ～～！！！何処に行っちゃったの～～！！！			頼れる人気者！							
うーん、返事はないわね。こうなったら、徹底的に捜索を……って、あら……？			うーん、返事はないわね。こうなったら、徹底的に捜索を……って、あら……？			頼れる人気者！							
…………！！いま、かすかだけど悲鳴が聞こえたわ！北西の方よ！			…………！！いま、かすかだけど悲鳴が聞こえたわ！北西の方よ！			頼れる人気者！							
う～ん……キュウ……。			う～ん……キュウ……。			頼れる人気者！							
大変、怪我してる……！逃げ切れなくなって、魔物にやられちゃったのね。			大変、怪我してる……！逃げ切れなくなって、魔物にやられちゃったのね。			頼れる人気者！							
私、簡単な癒しの術なら使えるわ。ハガン＝ニイを……郷の仲間を癒してみせる！			私、簡単な癒しの術なら使えるわ。ハガン＝ニイを……郷の仲間を癒してみせる！			頼れる人気者！							
おっ……おおおお！すごい！　すごいよ、ウル＝ゾン！キミのおかげで、すっかり全快だよ！			おっ……おおおお！すごい！　すごいよ、ウル＝ゾン！キミのおかげで、すっかり全快だよ！			頼れる人気者！							
いやあ、ありがとう！花だと思って近づいたら、ヤツの頭だったのさ！ウル＝ゾンのおかげで、助かったよ。			いやあ、ありがとう！花だと思って近づいたら、ヤツの頭だったのさ！ウル＝ゾンのおかげで、助かったよ。			頼れる人気者！							
私は、必死に癒しの術を使っただけ。旅人さんがいなかったら、アナタを助け出せなかったわ。			私は、必死に癒しの術を使っただけ。旅人さんがいなかったら、アナタを助け出せなかったわ。			頼れる人気者！							
じゃあ、ふたり両方にありがとうだね！この恩は絶対に忘れないからさっ！			じゃあ、ふたり両方にありがとうだね！この恩は絶対に忘れないからさっ！			頼れる人気者！							
お礼を言われるって、とても嬉しくてむず痒いものね！さあ、私たちもリダ・ラーンに戻りましょう！			お礼を言われるって、とても嬉しくてむず痒いものね！さあ、私たちもリダ・ラーンに戻りましょう！			頼れる人気者！							
仲間を助けに、郷を飛び出すなんて……人気者になりたい一心とはいえ、ひとりじゃ無理だったわ！アナタが勇気をくれたおかげよ。			仲間を助けに、郷を飛び出すなんて……人気者になりたい一心とはいえ、ひとりじゃ無理だったわ！アナタが勇気をくれたおかげよ。			頼れる人気者！							
不安だったし、とても怖かったけど、ハガン＝ニイを助けられて、本当に良かった！それじゃ、また人気者になるために……。			不安だったし、とても怖かったけど、ハガン＝ニイを助けられて、本当に良かった！それじゃ、また人気者になるために……。			頼れる人気者！							
…………って、あら？			…………って、あら？			頼れる人気者！							
(-ハガン＝ニイ-)ウル＝ゾンに助けてもらったこと、みんなに伝えたんだ！そしたら、癒しの術をかけてほしいってコや、魔物がいる場所から花を取ってきてほしいってコが殺到してさ！			(-ハガン＝ニイ-)ウル＝ゾンに助けてもらったこと、みんなに伝えたんだ！そしたら、癒しの術をかけてほしいってコや、魔物がいる場所から花を取ってきてほしいってコが殺到してさ！			頼れる人気者！							
(-ハガン＝ニイ-)だから、こうして連れてきたんだ！それにキミ、みんなに花を配ってあげるんだって？はやく花がほしいってコも、たくさんキミを待ってるよ！			(-ハガン＝ニイ-)だから、こうして連れてきたんだ！それにキミ、みんなに花を配ってあげるんだって？はやく花がほしいってコも、たくさんキミを待ってるよ！			頼れる人気者！							
えっ、えっと……！植物の調達に、癒しの術に、花束……わ、わかったわ！　順番にやってあげるから待っててと伝えて！			えっ、えっと……！植物の調達に、癒しの術に、花束……わ、わかったわ！　順番にやってあげるから待っててと伝えて！			頼れる人気者！							
(-ハガン＝ニイ-)わかったよ！みんな、キミにお願いしたい事があるみたいだからさ。がんばってね～！			(-ハガン＝ニイ-)わかったよ！みんな、キミにお願いしたい事があるみたいだからさ。がんばってね～！			頼れる人気者！							
今のが、人気者になるということなのね！みんなが私を必要として……素晴らしい気分だわ！			今のが、人気者になるということなのね！みんなが私を必要として……素晴らしい気分だわ！			頼れる人気者！							
でも、どうしましょう……。お願いされるのが嬉しくって、全部引き受けちゃったけど、最後までこなすのに、どのくらいかかるのかしら……！			でも、どうしましょう……。お願いされるのが嬉しくって、全部引き受けちゃったけど、最後までこなすのに、どのくらいかかるのかしら……！			頼れる人気者！							
……そういえば、旅人さんも、私だけじゃなく、いろんなヒトに頼りにされてるのよね？			……そういえば、旅人さんも、私だけじゃなく、いろんなヒトに頼りにされてるのよね？			頼れる人気者！							
もしかして、みんなの人気者になって頼りにされるのって……かなり、大変なのかしら？			もしかして、みんなの人気者になって頼りにされるのって……かなり、大変なのかしら？			頼れる人気者！							
うわあ、人気者も大変なのね！でも、自分で望んだことだもの……私、がんばるわね！			うわあ、人気者も大変なのね！でも、自分で望んだことだもの……私、がんばるわね！			頼れる人気者！							
特殊ルール： レベルアジャストヴォレクドルフのザントマンは、トナティウに仲間と生きるための決まりごとを教えているようだ。			特殊ルール： レベルアジャストヴォレクドルフのザントマンは、トナティウに仲間と生きるための決まりごとを教えているようだ。			新たな人気者？							
※本クエストには「 レベルアジャスト」が、　設定されています。トナティウがピクシー族との連絡役を務めるための仲介を頼まれた。ヴォレクドルフの「トナティウ」と話そう。			※本クエストには「 レベルアジャスト」が、　設定されています。トナティウがピクシー族との連絡役を務めるための仲介を頼まれた。ヴォレクドルフの「トナティウ」と話そう。			新たな人気者？							
トナティウも、冒険者の協力を頼もしく感じているようだ。イル・メグのリダ・ラーン付近で「ウル＝ゾン」と話そう。			トナティウも、冒険者の協力を頼もしく感じているようだ。イル・メグのリダ・ラーン付近で「ウル＝ゾン」と話そう。			新たな人気者？							
ウル＝ゾンはトナティウを人気者にするんだと張り切って飛んでいった。リダ・ラーンの「ウル＝ゾン」と再度話そう。			ウル＝ゾンはトナティウを人気者にするんだと張り切って飛んでいった。リダ・ラーンの「ウル＝ゾン」と再度話そう。			新たな人気者？							
ウル＝ゾンの提案で「宝物集め」をすることになった。惑わしの術をかけてもらい、透明になって宝物を探せばいいらしい。リダ・ラーンの「ウル＝ゾン」ともう一度話そう。			ウル＝ゾンの提案で「宝物集め」をすることになった。惑わしの術をかけてもらい、透明になって宝物を探せばいいらしい。リダ・ラーンの「ウル＝ゾン」ともう一度話そう。			新たな人気者？							
ウル＝ゾンに惑わしの術をかけてもらった。ティム・グースで、ピクシー族に見つからないよう「ピクシー族の宝物」を集めよう。※透明状態は、一定時間が過ぎると効果を失います。「ウル＝ゾン」に話すことで、透明状態の効果時間を延長できます。			ウル＝ゾンに惑わしの術をかけてもらった。ティム・グースで、ピクシー族に見つからないよう「ピクシー族の宝物」を集めよう。※透明状態は、一定時間が過ぎると効果を失います。「ウル＝ゾン」に話すことで、透明状態の効果時間を延長できます。			新たな人気者？							
ピクシー族の宝物を集めきった。リダ・ラーンの「ウル＝ゾン」に「ピクシー族の宝物」を渡そう。			ピクシー族の宝物を集めきった。リダ・ラーンの「ウル＝ゾン」に「ピクシー族の宝物」を渡そう。			新たな人気者？							
「宝物集め」には勝利したが、トナティウがいなくなってしまったらしい。ティム・グースで「トナティウ」を探そう。			「宝物集め」には勝利したが、トナティウがいなくなってしまったらしい。ティム・グースで「トナティウ」を探そう。			新たな人気者？							
意地悪そうなピクシーとトナティウを襲う魔物を討伐した。ティム・グースで「トナティウ」と話そう。			意地悪そうなピクシーとトナティウを襲う魔物を討伐した。ティム・グースで「トナティウ」と話そう。			新たな人気者？							
魔物に襲われていたピクシーを守ろうとしたことで、トナティウはピクシー族に受け入れてもらえそうだ。イル・メグのヴォレクドルフに戻り、「ザントマン」に報告しよう。			魔物に襲われていたピクシーを守ろうとしたことで、トナティウはピクシー族に受け入れてもらえそうだ。イル・メグのヴォレクドルフに戻り、「ザントマン」に報告しよう。			新たな人気者？							
ザントマンは、トナティウが多くの友達を得て、人気を争うライバルまで現れたことが喜ばしいという。若き彼らの成長や心情の変化を、ザントマンは眩しそうに聞くのだった。			ザントマンは、トナティウが多くの友達を得て、人気を争うライバルまで現れたことが喜ばしいという。若き彼らの成長や心情の変化を、ザントマンは眩しそうに聞くのだった。			新たな人気者？							
トナティウと話す			トナティウと話す			新たな人気者？							
ウル＝ゾンと話す			ウル＝ゾンと話す			新たな人気者？							
ウル＝ゾンと再度話す			ウル＝ゾンと再度話す			新たな人気者？							
ウル＝ゾンともう一度話す			ウル＝ゾンともう一度話す			新たな人気者？							
ピクシー族の宝物を集める			ピクシー族の宝物を集める			新たな人気者？							
ウル＝ゾンにピクシー族の宝物を渡す			ウル＝ゾンにピクシー族の宝物を渡す			新たな人気者？							
トナティウを探す			トナティウを探す			新たな人気者？							
トナティウと話す			トナティウと話す			新たな人気者？							
ザントマンに報告			ザントマンに報告			新たな人気者？							
ふわ……んむ……やあ、わしが眠る前によく来てくれた。新参アマロのトナティウには、集落の仲間たちと生きるため、基本的な約束事を教えておるところだよ。			ふわ……んむ……やあ、わしが眠る前によく来てくれた。新参アマロのトナティウには、集落の仲間たちと生きるため、基本的な約束事を教えておるところだよ。			新たな人気者？							
それと、ヴォレクドルフのアマロとして、互いに協力しあって暮らすため、ひとつ仕事を…………おお、それでひとつ思い出したことがあるぞ。			それと、ヴォレクドルフのアマロとして、互いに協力しあって暮らすため、ひとつ仕事を…………おお、それでひとつ思い出したことがあるぞ。			新たな人気者？							
たしか、お主、リダ・ラーンのピクシー族と交流があるとか。急な頼みですまんが、トナティウの仕事はじめを、手助けしてはくれんかね？			たしか、お主、リダ・ラーンのピクシー族と交流があるとか。急な頼みですまんが、トナティウの仕事はじめを、手助けしてはくれんかね？			新たな人気者？							
実は、トナティウには、ひとつ仕事として、ピクシー族との連絡役を任せようと思っていたのだよ。この役職は入れ替わりが激しく、しばらく不在だったのでな。			実は、トナティウには、ひとつ仕事として、ピクシー族との連絡役を任せようと思っていたのだよ。この役職は入れ替わりが激しく、しばらく不在だったのでな。			新たな人気者？							
なにせ、ピクシー族は享楽的でいたずら好き。穏やかな暮らしを望むアマロとは対照的な存在でのう。並大抵のアマロでは、いたずらに辟易し音を上げてしまうのだ。			なにせ、ピクシー族は享楽的でいたずら好き。穏やかな暮らしを望むアマロとは対照的な存在でのう。並大抵のアマロでは、いたずらに辟易し音を上げてしまうのだ。			新たな人気者？							
その点、トナティウは、ン・モゥ族の要求をこなすとき、お主とともにピクシー族を出し抜いてみせたとか。ならば、彼らのあしらい方もわかるのではと思ってな。			その点、トナティウは、ン・モゥ族の要求をこなすとき、お主とともにピクシー族を出し抜いてみせたとか。ならば、彼らのあしらい方もわかるのではと思ってな。			新たな人気者？							
しかし、お主と協力して成し遂げたことを、いきなり、ひとりで任されるというのも難しかろう。そこで最初だけでも、お主の力を借りられればと思ったのだ……。			しかし、お主と協力して成し遂げたことを、いきなり、ひとりで任されるというのも難しかろう。そこで最初だけでも、お主の力を借りられればと思ったのだ……。			新たな人気者？							
何と答える？			何と答える？			新たな人気者？							
貸しがあるピクシー族がいる			貸しがあるピクシー族がいる			新たな人気者？							
協力してくれそうな人気者のピクシー族がいる			協力してくれそうな人気者のピクシー族がいる			新たな人気者？							
おお、それは好都合！その伝手を活かすことができれば、トナティウだけで赴くより、何かと都合がよかろう。			おお、それは好都合！その伝手を活かすことができれば、トナティウだけで赴くより、何かと都合がよかろう。			新たな人気者？							
トナティウは、ヴォレクドルフにいるはず。あやつに、仕事の件と合わせて伝えてやっておくれ。			トナティウは、ヴォレクドルフにいるはず。あやつに、仕事の件と合わせて伝えてやっておくれ。			新たな人気者？							
トナティウに知り合いのピクシー族を紹介してやってくれ。リダ・ラーンの者たちが耳を傾けるような、影響力の強いピクシー族だと頼もしいのう。			トナティウに知り合いのピクシー族を紹介してやってくれ。リダ・ラーンの者たちが耳を傾けるような、影響力の強いピクシー族だと頼もしいのう。			新たな人気者？							
あっ、お姉さんお兄さん！……えっ、ザントマンから伝言があるって？			あっ、お姉さんお兄さん！……えっ、ザントマンから伝言があるって？			新たな人気者？							
なるほどねえ……そういえば、集落に馴染むため、ひとつ仕事を任せるつもりだって言ってたなあ。			なるほどねえ……そういえば、集落に馴染むため、ひとつ仕事を任せるつもりだって言ってたなあ。			新たな人気者？							
でも、お姉さんお兄さんが一緒なら心強いや。それじゃ、さっそくリダ・ラーンに行って、その「ウル＝ゾン」ってピクシー族を紹介してくれるかい？			でも、お姉さんお兄さんが一緒なら心強いや。それじゃ、さっそくリダ・ラーンに行って、その「ウル＝ゾン」ってピクシー族を紹介してくれるかい？			新たな人気者？							
う～、緊張するよ。また遊びに付き合わされたりするのかな……。			う～、緊張するよ。また遊びに付き合わされたりするのかな……。			新たな人気者？							
あら、Forenameじゃないの！嬉しい、さては人気者の私に会いたくなったのね！！でも、そこで縮こまっているアマロは何なのかしら！？			あら、Forenameじゃないの！嬉しい、さては人気者の私に会いたくなったのね！！でも、そこで縮こまっているアマロは何なのかしら！？			新たな人気者？							
……ふぅん、そういうことなら任せておいて！私を人気者にしてくれたアナタのお願いだもの。その子を、私の次の次の次……くらいの人気者にしてあげる！			……ふぅん、そういうことなら任せておいて！私を人気者にしてくれたアナタのお願いだもの。その子を、私の次の次の次……くらいの人気者にしてあげる！			新たな人気者？							
いや、ボクは人気者になりたいわけじゃ……ただ普通に連絡役ができれば、それでいいんだけど。			いや、ボクは人気者になりたいわけじゃ……ただ普通に連絡役ができれば、それでいいんだけど。			新たな人気者？							
遠慮しないで！　大丈夫、方法はとっても簡単だから。アナタが、私たちと対等に遊べる相手だとわからせればいいの！普通にこなしたい……なんて態度じゃ逆効果！			遠慮しないで！　大丈夫、方法はとっても簡単だから。アナタが、私たちと対等に遊べる相手だとわからせればいいの！普通にこなしたい……なんて態度じゃ逆効果！			新たな人気者？							
つまり……遊びでピクシー族に勝ってみせればいいのよ！さあ、村のみんなにアナタたちを紹介するから、ついて来て！			つまり……遊びでピクシー族に勝ってみせればいいのよ！さあ、村のみんなにアナタたちを紹介するから、ついて来て！			新たな人気者？							
やっぱり、こうなるんだね……。でも、いろいろ教えてくれるのは、ありがたいよ。それじゃ、行こうか。			やっぱり、こうなるんだね……。でも、いろいろ教えてくれるのは、ありがたいよ。それじゃ、行こうか。			新たな人気者？							
この間も思ったけど、ピクシー族ってみんなソックリだよね。よくお互い見分けがつくなあ……。			この間も思ったけど、ピクシー族ってみんなソックリだよね。よくお互い見分けがつくなあ……。			新たな人気者？							
……さあ、みんな理解できたわね？トナティウは、私たちとお友達になりたがっているの！			……さあ、みんな理解できたわね？トナティウは、私たちとお友達になりたがっているの！			新たな人気者？							
(-意地悪そうなピクシー-)つまり……今までのアマロみたいに、オモチャにすればいいの？			(-意地悪そうなピクシー-)つまり……今までのアマロみたいに、オモチャにすればいいの？			新たな人気者？							
もう！　そういう意地悪はなし！トナティウなら、私たちと対等のお友達になれると思うの。公平なルールで遊べば、アナタなんてすぐに負けちゃうわよ？			もう！　そういう意地悪はなし！トナティウなら、私たちと対等のお友達になれると思うの。公平なルールで遊べば、アナタなんてすぐに負けちゃうわよ？			新たな人気者？							
(-意地悪そうなピクシー-)まったく、私たちに勝てるアマロなんているわけないわ！そんなに言うなら、試してみましょう！			(-意地悪そうなピクシー-)まったく、私たちに勝てるアマロなんているわけないわ！そんなに言うなら、試してみましょう！			新たな人気者？							
そうこなくっちゃ！トナティウとForenameが遊びで勝ったら、みんな、お友達として受け入れてあげてね？			そうこなくっちゃ！トナティウとForenameが遊びで勝ったら、みんな、お友達として受け入れてあげてね？			新たな人気者？							
あら、当然アナタも参加するのよ。トナティウひとりでピクシー族みんなを相手にするんじゃ、あまりにも不公平じゃない！			あら、当然アナタも参加するのよ。トナティウひとりでピクシー族みんなを相手にするんじゃ、あまりにも不公平じゃない！			新たな人気者？							
遊びは……「宝物集め」！ピクシー族が見張る宝物を、惑わしの術で透明になって探すの！見つからないように全部集めれば、アナタたちの勝ちよ。			遊びは……「宝物集め」！ピクシー族が見張る宝物を、惑わしの術で透明になって探すの！見つからないように全部集めれば、アナタたちの勝ちよ。			新たな人気者？							
(-意地悪そうなピクシー-)ふん、私たちが負けるものですか。そうね……それじゃ、私たちが育てているお花がいいわ。それを「宝物」として草原に置いてくるわね！			(-意地悪そうなピクシー-)ふん、私たちが負けるものですか。そうね……それじゃ、私たちが育てているお花がいいわ。それを「宝物」として草原に置いてくるわね！			新たな人気者？							
さあ、準備ができたら私が透明にしてあげるわ。あんまり長くは姿を隠していられないから、術が解けそうになったら、一度戻ってらっしゃい！			さあ、準備ができたら私が透明にしてあげるわ。あんまり長くは姿を隠していられないから、術が解けそうになったら、一度戻ってらっしゃい！			新たな人気者？							
これに勝てば、ピクシー族に認めてもらえるんだね。よーし……！　ウル＝ゾン、ボクを透明にして！			これに勝てば、ピクシー族に認めてもらえるんだね。よーし……！　ウル＝ゾン、ボクを透明にして！			新たな人気者？							
ありがとう！　さっそく探しに行ってくるね！			ありがとう！　さっそく探しに行ってくるね！			新たな人気者？							
さあ、惑わしの術でアナタも透明にしてあげる。ティム・グースに置かれた「ピクシー族の宝物」を集めてね！普通に近づいても、ピクシー族に見つかっちゃうから気をつけて！			さあ、惑わしの術でアナタも透明にしてあげる。ティム・グースに置かれた「ピクシー族の宝物」を集めてね！普通に近づいても、ピクシー族に見つかっちゃうから気をつけて！			新たな人気者？							
透明になって、ティム・グースに置かれた「ピクシー族の宝物」を集めるの！普通に近づいても、ピクシー族に見つかっちゃうからね？			透明になって、ティム・グースに置かれた「ピクシー族の宝物」を集めるの！普通に近づいても、ピクシー族に見つかっちゃうからね？			新たな人気者？							
(-見張り役のピクシー-)あれ、「宝物」がない！　そんな、いつの間に～！？			(-見張り役のピクシー-)あれ、「宝物」がない！　そんな、いつの間に～！？			新たな人気者？							
(-見張り役のピクシー-)まあ、悔しい！！　「宝物」がなくなってるわ～！			(-見張り役のピクシー-)まあ、悔しい！！　「宝物」がなくなってるわ～！			新たな人気者？							
(-見張り役のピクシー-)残念、見えてるよ～！　出直してこ～い！			(-見張り役のピクシー-)残念、見えてるよ～！　出直してこ～い！			新たな人気者？							
(-見張り役のピクシー-)うふふ、透明になってないわよ……！間抜けさん、見ぃつけた！			(-見張り役のピクシー-)うふふ、透明になってないわよ……！間抜けさん、見ぃつけた！			新たな人気者？							
透明状態でなければ効果はありません。もう一度「ウル＝ゾン」に話しかけ、透明状態にしてもらいましょう。			透明状態でなければ効果はありません。もう一度「ウル＝ゾン」に話しかけ、透明状態にしてもらいましょう。			新たな人気者？							
ここから、アナタの雄姿を見守っていたわ！集めた「ピクシー族の宝物」を渡してちょうだい！			ここから、アナタの雄姿を見守っていたわ！集めた「ピクシー族の宝物」を渡してちょうだい！			新たな人気者？							
うん、宝物はここにある……さすが！　「宝物集め」は、アナタたちの勝ちね！			うん、宝物はここにある……さすが！　「宝物集め」は、アナタたちの勝ちね！			新たな人気者？							
……って、あら？宝物を全部アナタが集めたのなら……トナティウはどこ？惑わしの術も、とっくに解けているはずだけど。			……って、あら？宝物を全部アナタが集めたのなら……トナティウはどこ？惑わしの術も、とっくに解けているはずだけど。			新たな人気者？							
宝物を探して、遠くに行っちゃったのかしら。仕方ないわね……周囲を探してみましょうか。			宝物を探して、遠くに行っちゃったのかしら。仕方ないわね……周囲を探してみましょうか。			新たな人気者？							
トナティウのための「宝物集め」遊びだったのに、結局、アナタの大活躍で終わっちゃったわね。まったく、どこに行っちゃったのかしら！			トナティウのための「宝物集め」遊びだったのに、結局、アナタの大活躍で終わっちゃったわね。まったく、どこに行っちゃったのかしら！			新たな人気者？							
お姉さんお兄さん、来てくれてありがとう。この子の匂いを追いかけてたら、魔物に襲われていたんだ。ボクひとりじゃ助けられなかったよ。			お姉さんお兄さん、来てくれてありがとう。この子の匂いを追いかけてたら、魔物に襲われていたんだ。ボクひとりじゃ助けられなかったよ。			新たな人気者？							
まあ、戦っている音が聞こえて来てみたら……宝物も隠さずに、こんなところで何しているのよ！			まあ、戦っている音が聞こえて来てみたら……宝物も隠さずに、こんなところで何しているのよ！			新たな人気者？							
(-意地悪そうなピクシー-)私……アマロが困っている姿を見てやろうと、透明のままでは辿り着けない遠くに宝物を隠そうと思ったの。そしたら、魔物に見つかっちゃって……。			(-意地悪そうなピクシー-)私……アマロが困っている姿を見てやろうと、透明のままでは辿り着けない遠くに宝物を隠そうと思ったの。そしたら、魔物に見つかっちゃって……。			新たな人気者？							
まあ！　私、意地悪はなしって言ったわよね！？今すぐ、ふたりにお礼を言いなさい！でないと、二度と遊んであげないんだから！			まあ！　私、意地悪はなしって言ったわよね！？今すぐ、ふたりにお礼を言いなさい！でないと、二度と遊んであげないんだから！			新たな人気者？							
(-意地悪そうなピクシー-)ごめんなさい！それに、意地悪して勝とうとした私を助けてくれて……ありがとう……。			(-意地悪そうなピクシー-)ごめんなさい！それに、意地悪して勝とうとした私を助けてくれて……ありがとう……。			新たな人気者？							
ううん、無事で良かったよ！……でも、宝物を自分で見つけられなかったし、友達としては受け入れてもらえない、かな……。			ううん、無事で良かったよ！……でも、宝物を自分で見つけられなかったし、友達としては受け入れてもらえない、かな……。			新たな人気者？							
(-意地悪そうなピクシー-)そんなことない！　私を助けようとしたせいだもの！それに何より、大きな体でトナティウが走ってきたとき、とっても格好良かったのよ？			(-意地悪そうなピクシー-)そんなことない！　私を助けようとしたせいだもの！それに何より、大きな体でトナティウが走ってきたとき、とっても格好良かったのよ？			新たな人気者？							
(-意地悪そうなピクシー-)遊びの勝敗なんて関係ないわ！リダ・ラーンのみんなには私が説明してあげる。だから……どうか、友達になって背中に乗せてちょうだい！			(-意地悪そうなピクシー-)遊びの勝敗なんて関係ないわ！リダ・ラーンのみんなには私が説明してあげる。だから……どうか、友達になって背中に乗せてちょうだい！			新たな人気者？							
いいの……！？もともと、ボクの方からお願いしに来たんだし、受け入れてくれるなら、とっても嬉しいよ！			いいの……！？もともと、ボクの方からお願いしに来たんだし、受け入れてくれるなら、とっても嬉しいよ！			新たな人気者？							
(-意地悪そうなピクシー-)本当に？　良かったあ……。じゃあ、さっそく村のみんなのところへ行きましょう！もっともっと、いっぱい遊んでほしいの！			(-意地悪そうなピクシー-)本当に？　良かったあ……。じゃあ、さっそく村のみんなのところへ行きましょう！もっともっと、いっぱい遊んでほしいの！			新たな人気者？							
わあ……なんだか、うまくいきそうだよ！これで、ボクも連絡役が務まりそうだし……友達も一気にたくさん増えちゃいそう！			わあ……なんだか、うまくいきそうだよ！これで、ボクも連絡役が務まりそうだし……友達も一気にたくさん増えちゃいそう！			新たな人気者？							
お姉さんお兄さんとウル＝ゾンのおかげだね！ふたりとも、ありがとう！！			お姉さんお兄さんとウル＝ゾンのおかげだね！ふたりとも、ありがとう！！			新たな人気者？							
よかった……けど、最後の大活躍は予想外だったわ。あの様子だと、私以上に人気がでちゃうかも。			よかった……けど、最後の大活躍は予想外だったわ。あの様子だと、私以上に人気がでちゃうかも。			新たな人気者？							
こうしちゃいられない……。村一番の人気者の座は譲らないんだから！私も急いで村に戻らないと！			こうしちゃいられない……。村一番の人気者の座は譲らないんだから！私も急いで村に戻らないと！			新たな人気者？							
アナタは、「ヴォレクドルフ」のアマロに報告してあげたら？トナティウは、ばっちりピクシー族のお友達になれたわよって！			アナタは、「ヴォレクドルフ」のアマロに報告してあげたら？トナティウは、ばっちりピクシー族のお友達になれたわよって！			新たな人気者？							
そうか、トナティウが受け入れられたのは喜ばしいのう。わしもホッとした……今夜からは安心して眠れるよ。			そうか、トナティウが受け入れられたのは喜ばしいのう。わしもホッとした……今夜からは安心して眠れるよ。			新たな人気者？							
それに、トナティウは、ピクシー族と友達になれたことを喜んでいたんだね？孤独を好んでいたあやつが……めでたい変化を遂げたものだ。			それに、トナティウは、ピクシー族と友達になれたことを喜んでいたんだね？孤独を好んでいたあやつが……めでたい変化を遂げたものだ。			新たな人気者？							
しかも、たくさんの友を得たどころか、人気を争うライバルまでできたとは！いやいや、若さとはひたむきで……素晴らしいものよ！			しかも、たくさんの友を得たどころか、人気を争うライバルまでできたとは！いやいや、若さとはひたむきで……素晴らしいものよ！			新たな人気者？							
特殊ルール： レベルアジャストプラ・エンニ茸窟のギュフ＝ダエンは、厄介な隣人に困っているようだ。			特殊ルール： レベルアジャストプラ・エンニ茸窟のギュフ＝ダエンは、厄介な隣人に困っているようだ。			ロウ！							
リダ・ラーンのユル＝フェオにシビレダケの胞子嚢を渡す			リダ・ラーンのユル＝フェオにシビレダケの胞子嚢を渡す			ロウ！							
種入りの袋を集める			種入りの袋を集める			ロウ！							
プラ・エンニ茸窟のギュフ＝ダエンに種入りの袋を渡す			プラ・エンニ茸窟のギュフ＝ダエンに種入りの袋を渡す			ロウ！							
はぁ……私困っています。なぜかって、悪戯ばかりするピクシーが苦手だからです。何をされるか、わかったものではありません。			はぁ……私困っています。なぜかって、悪戯ばかりするピクシーが苦手だからです。何をされるか、わかったものではありません。			ロウ！							
はぁ……困っている私の代わりに、あなたがピクシーの元にお使いに行ってくれたら嬉しいのですが。もちろん、きっちりきっかり、対価はお支払いしますので。			はぁ……困っている私の代わりに、あなたがピクシーの元にお使いに行ってくれたら嬉しいのですが。もちろん、きっちりきっかり、対価はお支払いしますので。			ロウ！							
依頼は安心安全、この「シビレダケの胞子嚢」を、リダ・ラーンの「ユル＝フェオ」に渡して、注文した花の種を受け取るダケ。			依頼は安心安全、この「シビレダケの胞子嚢」を、リダ・ラーンの「ユル＝フェオ」に渡して、注文した花の種を受け取るダケ。			ロウ！							
あ……そうそうそう。もしも、ピクシーがふざけた悪戯をしようとしたら、魔法の合言葉「ロウ！」と唱えるといいです。			あ……そうそうそう。もしも、ピクシーがふざけた悪戯をしようとしたら、魔法の合言葉「ロウ！」と唱えるといいです。			ロウ！							
