クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			人魚の肉							
拙者たちは、これよりクガネへと戻り、仲間と合流してナザを討つつもりである～。			拙者たちは、これよりクガネへと戻り、仲間と合流してナザを討つつもりである～。			賢者のヒレ							
オイラも、連れて行ってほしいっぺよ！何に代えても、ギョレイを助け出すっぺな！			オイラも、連れて行ってほしいっぺよ！何に代えても、ギョレイを助け出すっぺな！			賢者のヒレ							
待ちたまえ、ギョシン君。Forename君を出し抜くような輩を相手に、職人や文人である俺たちが、無策で挑むのは愚の骨頂と言えよう。			待ちたまえ、ギョシン君。Forename君を出し抜くような輩を相手に、職人や文人である俺たちが、無策で挑むのは愚の骨頂と言えよう。			賢者のヒレ							
Forename君たちには先行してもらい、貴君は秘策を用意してから、クガネに乗り込むのだ。今こそ、兵法書『万戦奇略』で学んだ知略を活かしてみせよう！			Forename君たちには先行してもらい、貴君は秘策を用意してから、クガネに乗り込むのだ。今こそ、兵法書『万戦奇略』で学んだ知略を活かしてみせよう！			賢者のヒレ							
よくわからないけど、それでギョレイを取り戻せるなら、光風院セイゲツのことを、信じてみるっぺよ……。			よくわからないけど、それでギョレイを取り戻せるなら、光風院セイゲツのことを、信じてみるっぺよ……。			賢者のヒレ							
いったい、何をするつもりであろうかぁ～？			いったい、何をするつもりであろうかぁ～？			賢者のヒレ							
おのれ、ナザめぇ～！			おのれ、ナザめぇ～！			賢者のヒレ							
ドーロ・イローのカブトは、急いでクガネへ戻りたいようだ。			ドーロ・イローのカブトは、急いでクガネへ戻りたいようだ。			三種の至宝							
カブトと話した。クガネの望海楼付近の「指定地点」で待機して、ジャ・オルミンと合流しよう。			カブトと話した。クガネの望海楼付近の「指定地点」で待機して、ジャ・オルミンと合流しよう。			三種の至宝							
ジャ・オルミンと合流した。ナザ・ア・ジャーブは、三種の至宝を黒母衣丸へ運び入れたようだ。黒母衣丸付近の「メ・ゼト・ティア」と話そう。			ジャ・オルミンと合流した。ナザ・ア・ジャーブは、三種の至宝を黒母衣丸へ運び入れたようだ。黒母衣丸付近の「メ・ゼト・ティア」と話そう。			三種の至宝							
メ・ゼト・ティアと話した。黒母衣丸へと乗り込み、アルパ、ツクモ、ギョレイを取り戻すことができた。しかし、ナザ・ア・ジャーブを捕縛するには至らず、海へと消えていった。小波止場の「指定地点」で見渡して、今回の黒幕であるカゲヤマを探そう。			メ・ゼト・ティアと話した。黒母衣丸へと乗り込み、アルパ、ツクモ、ギョレイを取り戻すことができた。しかし、ナザ・ア・ジャーブを捕縛するには至らず、海へと消えていった。小波止場の「指定地点」で見渡して、今回の黒幕であるカゲヤマを探そう。			三種の至宝							
逃げるカゲヤマを見つけた。冒険者らに追い詰められたカゲヤマは、往生際悪く抵抗したが、ハンコックが連れてきた赤誠組に捕らえられた。望海楼付近の「アルパ」と話そう。			逃げるカゲヤマを見つけた。冒険者らに追い詰められたカゲヤマは、往生際悪く抵抗したが、ハンコックが連れてきた赤誠組に捕らえられた。望海楼付近の「アルパ」と話そう。			三種の至宝							
アルパと話した。事件は終息し、一行は望海泉の湯に浸かりながら、感謝の言葉を交わす。ナザによって繋がれた奇妙な関係ではあるが、全員が、今後ともこの縁を大切にしていくと誓った。			アルパと話した。事件は終息し、一行は望海泉の湯に浸かりながら、感謝の言葉を交わす。ナザによって繋がれた奇妙な関係ではあるが、全員が、今後ともこの縁を大切にしていくと誓った。			三種の至宝							
望海楼付近の指定地点で待機			望海楼付近の指定地点で待機			三種の至宝							
黒母衣丸付近のメ・ゼト・ティアと話す			黒母衣丸付近のメ・ゼト・ティアと話す			三種の至宝							
指定地点で見渡す			指定地点で見渡す			三種の至宝							
望海楼付近のアルパと話す			望海楼付近のアルパと話す			三種の至宝							
では、急ぎクガネへと戻り、「望海楼」でジャ・オルミン殿と合流するとしよう～。			では、急ぎクガネへと戻り、「望海楼」でジャ・オルミン殿と合流するとしよう～。			三種の至宝							
オイラたちも準備を整えてから、クガネに向かうっぺよ！			オイラたちも準備を整えてから、クガネに向かうっぺよ！			三種の至宝							
待たせたね、ふたりとも。			待たせたね、ふたりとも。			三種の至宝							
オルミン殿、早速、状況についてお聞かせ願いたい～。			オルミン殿、早速、状況についてお聞かせ願いたい～。			三種の至宝							
ああ。通信を終えた後、オレたちは急ぎクガネへと戻り、ナザの先回りをすることに成功したんだ。			ああ。通信を終えた後、オレたちは急ぎクガネへと戻り、ナザの先回りをすることに成功したんだ。			三種の至宝							
小舟に乗ってクガネに入港してきたナザは、大きな樽と麻袋を、労働者に運ばせていたよ。			小舟に乗ってクガネに入港してきたナザは、大きな樽と麻袋を、労働者に運ばせていたよ。			三種の至宝							
まさか、その中にぃ～……？			まさか、その中にぃ～……？			三種の至宝							
おそらく、中身はアルパとギョレイとやらだろうねぇ。樽と麻袋が、第一波止場に停泊している、大きな船に運び入れられるところまで確認している。			おそらく、中身はアルパとギョレイとやらだろうねぇ。樽と麻袋が、第一波止場に停泊している、大きな船に運び入れられるところまで確認している。			三種の至宝							
その船は、ひんがしの国の商船「黒母衣丸」に違いない～。以前、カゲヤマという豪商に買収されたと聞いている～。			その船は、ひんがしの国の商船「黒母衣丸」に違いない～。以前、カゲヤマという豪商に買収されたと聞いている～。			三種の至宝							
そのカゲヤマってのは、どんなヤツなんだい？			そのカゲヤマってのは、どんなヤツなんだい？			三種の至宝							
以前、クガネ城の乗っ取りを目論見、逆賊として捕縛された悪人～。その後、自身も被害者であると言い張りながら、莫大な保釈金を用立てて釈放されたと聞いている～。			以前、クガネ城の乗っ取りを目論見、逆賊として捕縛された悪人～。その後、自身も被害者であると言い張りながら、莫大な保釈金を用立てて釈放されたと聞いている～。			三種の至宝							
詳しくは知らぬが、如何なることも金で解決しようとする噂の大富豪だとかぁ～。			詳しくは知らぬが、如何なることも金で解決しようとする噂の大富豪だとかぁ～。			三種の至宝							
あとは、そうだなぁ～……独り身で、嫁を探すのにも大金を費やすことで有名らしい～。			あとは、そうだなぁ～……独り身で、嫁を探すのにも大金を費やすことで有名らしい～。			三種の至宝							
嫁探し……なるほどねぇ。そのカゲヤマとやらが、ナザの依頼人で、三種の至宝を集めさせている首魁ってわけかい。			嫁探し……なるほどねぇ。そのカゲヤマとやらが、ナザの依頼人で、三種の至宝を集めさせている首魁ってわけかい。			三種の至宝							
(-メ・ゼトの声-)師匠、オレです！将来メ族のヌンとなり、女たちを侍らすであろうメ・ゼトです！			(-メ・ゼトの声-)師匠、オレです！将来メ族のヌンとなり、女たちを侍らすであろうメ・ゼトです！			三種の至宝							
(-メ・ゼトの声-)とにかく、大変なんです！無駄口を叩いている場合じゃないんですよ！			(-メ・ゼトの声-)とにかく、大変なんです！無駄口を叩いている場合じゃないんですよ！			三種の至宝							
(-メ・ゼトの声-)オルミンに言われて黒母衣丸を見張っていたんですけど、アルパとナマズが甲板に運び出されて……このままだと本当に「人魚の肉」にされてしまうかもしれないっす！			(-メ・ゼトの声-)オルミンに言われて黒母衣丸を見張っていたんですけど、アルパとナマズが甲板に運び出されて……このままだと本当に「人魚の肉」にされてしまうかもしれないっす！			三種の至宝							
(-メ・ゼトの声-)とにかく、急いで黒母衣丸の近くまで来てください！			(-メ・ゼトの声-)とにかく、急いで黒母衣丸の近くまで来てください！			三種の至宝							
メ・ゼトからかい？			メ・ゼトからかい？			三種の至宝							
なんとぉ～！？こうしてはいられぬ、急ぎ黒母衣丸に向かい、「メ・ゼト・ティア」殿と合流しよう～！			なんとぉ～！？こうしてはいられぬ、急ぎ黒母衣丸に向かい、「メ・ゼト・ティア」殿と合流しよう～！			三種の至宝							
オルミン殿が到着されるまで、しばし待とう～。			オルミン殿が到着されるまで、しばし待とう～。			三種の至宝							
師匠、お待ちしていました！			師匠、お待ちしていました！			三種の至宝							
アルパは、オレのかけがえのない友達……あんなモテなさそうな野郎の好きにさせてたまるか！オルミンたちが到着したら、すぐに乗り込みましょう！			アルパは、オレのかけがえのない友達……あんなモテなさそうな野郎の好きにさせてたまるか！オルミンたちが到着したら、すぐに乗り込みましょう！			三種の至宝							
人魚の肉……			人魚の肉……			三種の至宝							
賢者のヒレ……			賢者のヒレ……			三種の至宝							
そして、魂宿る宝玉……			そして、魂宿る宝玉……			三種の至宝							
これで姫への求婚の準備は整った。あの白百合のように麗しい姫との酒池肉林を想像すると……グフフフフフ……涎が止まらんわい……。			これで姫への求婚の準備は整った。あの白百合のように麗しい姫との酒池肉林を想像すると……グフフフフフ……涎が止まらんわい……。			三種の至宝							
それが、お前の「熱狂」だと言うなら好きにすればいいさ。ともかくこちらは、残された仕事をこなすだけだ。			それが、お前の「熱狂」だと言うなら好きにすればいいさ。ともかくこちらは、残された仕事をこなすだけだ。			三種の至宝							
さて、肉を捌くとするか……。			さて、肉を捌くとするか……。			三種の至宝							
やらせてたまるか！			やらせてたまるか！			三種の至宝							
遅かったな、待ちくたびれたぞ！さあ、早くこの俺を「熱狂」させてみろ！			遅かったな、待ちくたびれたぞ！さあ、早くこの俺を「熱狂」させてみろ！			三種の至宝							
おい！　大丈夫か、オルミン！			おい！　大丈夫か、オルミン！			三種の至宝							
てめえよくも……！			てめえよくも……！			三種の至宝							
クックック……。誰からでも構わん、かかってこい。			クックック……。誰からでも構わん、かかってこい。			三種の至宝							
……ツクモは返してもらうぞぉ～。			……ツクモは返してもらうぞぉ～。			三種の至宝							
(-？？？？-)見つけたっぺな！			(-？？？？-)見つけたっぺな！			三種の至宝							
うぺぺぺぺぺ……！突撃っぺよぉぉぉぉぉぉぉ！			うぺぺぺぺぺ……！突撃っぺよぉぉぉぉぉぉぉ！			三種の至宝							
ぐあああぁぁぁ！！			ぐあああぁぁぁ！！			三種の至宝							
この笛の音……赤誠組か！？			この笛の音……赤誠組か！？			三種の至宝							
チッ……小賢しいマネを……。だが、邪魔が入っては「熱狂」は望めない……また機会を改めさせてもらうぞ！			チッ……小賢しいマネを……。だが、邪魔が入っては「熱狂」は望めない……また機会を改めさせてもらうぞ！			三種の至宝							
フハハハハ！なかなか面白かったぞ、異国の蛮族ども！いずれまた会おう、さらなる「熱狂」の中でなっ！			フハハハハ！なかなか面白かったぞ、異国の蛮族ども！いずれまた会おう、さらなる「熱狂」の中でなっ！			三種の至宝							
よくもオルミンの顔を蹴りやがって……未来のヌンとして、てめえの所業を許すわけにはいかねえ！			よくもオルミンの顔を蹴りやがって……未来のヌンとして、てめえの所業を許すわけにはいかねえ！			三種の至宝							
てめえもミコッテの男なら！同族の女には優しくしろ！！			てめえもミコッテの男なら！同族の女には優しくしろ！！			三種の至宝							
なにっ！？			なにっ！？			三種の至宝							
くそっ、火薬が抜けていたのか！？			くそっ、火薬が抜けていたのか！？			三種の至宝							
フハハハハハハハハハ！目論見が外れたな！			フハハハハハハハハハ！目論見が外れたな！			三種の至宝							
フハハハハハハハハハ！このナザ・ア・ジャーブ、そう何度も爆破されるほど愚かではない！			フハハハハハハハハハ！このナザ・ア・ジャーブ、そう何度も爆破されるほど愚かではない！			三種の至宝							
さて、あとは諸悪の根源である、カゲヤマを赤誠組に突き出すだけだぁ～。			さて、あとは諸悪の根源である、カゲヤマを赤誠組に突き出すだけだぁ～。			三種の至宝							
って、肝心のカゲヤマの姿が見えねえぞ！あの野郎、どこに逃げやがった！？			って、肝心のカゲヤマの姿が見えねえぞ！あの野郎、どこに逃げやがった！？			三種の至宝							
小金通りの方へ向かったようだぁ～！Forename殿、ともに追いかけようぞぉ～！			小金通りの方へ向かったようだぁ～！Forename殿、ともに追いかけようぞぉ～！			三種の至宝							
任せましたよ、師匠！けが人はオレが運んでおきます！すべてが終わったら、望海楼に戻ってきてください！			任せましたよ、師匠！けが人はオレが運んでおきます！すべてが終わったら、望海楼に戻ってきてください！			三種の至宝							
アルパ殿、先ほどまで敵に捕まっていたのだから、あまり無理はせぬほうがぁ～。			アルパ殿、先ほどまで敵に捕まっていたのだから、あまり無理はせぬほうがぁ～。			三種の至宝							
しゅ～……何のこれしきじゃ！国境警備隊の警備隊長を務める者として、悪を見逃すわけにはいかぬ！			しゅ～……何のこれしきじゃ！国境警備隊の警備隊長を務める者として、悪を見逃すわけにはいかぬ！			三種の至宝							
やや、あれはぁ～！？			やや、あれはぁ～！？			三種の至宝							
げげっ！？ワシを追ってきおったのか！しつこい連中じゃ……ならば！			げげっ！？ワシを追ってきおったのか！しつこい連中じゃ……ならば！			三種の至宝							
ほ～れ、銭じゃ銭じゃ！貧乏人ども、拾えええ～い！			ほ～れ、銭じゃ銭じゃ！貧乏人ども、拾えええ～い！			三種の至宝							
(-興奮した様子の町人-)うおおお、銭だ、銭だぁぁ！			(-興奮した様子の町人-)うおおお、銭だ、銭だぁぁ！			三種の至宝							
道をあけてくれぇ～！早く追わなければ、悪人が逃げてしまうのだぁ～！			道をあけてくれぇ～！早く追わなければ、悪人が逃げてしまうのだぁ～！			三種の至宝							
貧乏人たちが這いつくばっておるわ！実に良い眺めじゃなぁ、がっはっはっは！やはり金の力は偉大よのう！			貧乏人たちが這いつくばっておるわ！実に良い眺めじゃなぁ、がっはっはっは！やはり金の力は偉大よのう！			三種の至宝							
しゅ～……ここはわらわに任せてほしいのじゃ。			しゅ～……ここはわらわに任せてほしいのじゃ。			三種の至宝							
んん～？何をするつもりか知らぬが、無駄なことよ！			んん～？何をするつもりか知らぬが、無駄なことよ！			三種の至宝							
な、な、な……なんじゃとぉ～～～！？			な、な、な……なんじゃとぉ～～～！？			三種の至宝							
(-失望した様子の町人-)ああっ！俺たちの小判が、ゴミに変わっちまった！			(-失望した様子の町人-)ああっ！俺たちの小判が、ゴミに変わっちまった！			三種の至宝							
……なぜ、ナマズのような形なのだぁ～？			……なぜ、ナマズのような形なのだぁ～？			三種の至宝							
しゅ～……先ほどギョシンとやらの御輿についていた飾りが、あまりに可愛くて、つい……のう。			しゅ～……先ほどギョシンとやらの御輿についていた飾りが、あまりに可愛くて、つい……のう。			三種の至宝							
(-失望した様子の町人-)ちぇ、こんなもんいらねえよ。行こうぜ。			(-失望した様子の町人-)ちぇ、こんなもんいらねえよ。行こうぜ。			三種の至宝							
さあ、観念してもらうぞぉ～。			さあ、観念してもらうぞぉ～。			三種の至宝							
おおっと、これ以上の追いかけっこは勘弁デ～ス！さあ、赤誠組のみなさん、悪人が誰かは、一目瞭然のようデスヨ？			おおっと、これ以上の追いかけっこは勘弁デ～ス！さあ、赤誠組のみなさん、悪人が誰かは、一目瞭然のようデスヨ？			三種の至宝							
そ、そんな、馬鹿なぁ～！！姫との婚姻が……ワシの酒池肉林がぁ～！！			そ、そんな、馬鹿なぁ～！！姫との婚姻が……ワシの酒池肉林がぁ～！！			三種の至宝							
どうやら一件落着のようだなぁ～。皆の待つ「望海楼」に向かうとするかぁ～。			どうやら一件落着のようだなぁ～。皆の待つ「望海楼」に向かうとするかぁ～。			三種の至宝							
ずいぶん派手にドンパチやってたみたいだな。			ずいぶん派手にドンパチやってたみたいだな。			三種の至宝							
しゅ～……望海楼の主人が手配してくれた医者によれば、皆、軽傷で済んだようじゃ。			しゅ～……望海楼の主人が手配してくれた医者によれば、皆、軽傷で済んだようじゃ。			三種の至宝							
ときに、ここの温泉は傷にも効くらしいのう。皆で入ろうではないか！			ときに、ここの温泉は傷にも効くらしいのう。皆で入ろうではないか！			三種の至宝							
現在の装備でカットシーンを進行しますか？			現在の装備でカットシーンを進行しますか？			三種の至宝							
しゅ～……わらわたちも湯に浸かるとするのじゃ。			しゅ～……わらわたちも湯に浸かるとするのじゃ。			三種の至宝							
アルパ、ごめん。			アルパ、ごめん。			三種の至宝							
しゅしゅしゅ！？オルミンがわらわに対して謝意を示すなど、天変地異の前触れなのじゃ！			しゅしゅしゅ！？オルミンがわらわに対して謝意を示すなど、天変地異の前触れなのじゃ！			三種の至宝							
オレの仕事は、隊長であるアンタを守ることだ。なのに、みすみす連れ去られちまうなんて……。			オレの仕事は、隊長であるアンタを守ることだ。なのに、みすみす連れ去られちまうなんて……。			三種の至宝							
しゅ～……よいのじゃ、オルミン。おぬしは、わらわを取り戻そうと懸命に動いてくれたではないか。かように頼もしい隊士がいて、わらわは幸せじゃ。			しゅ～……よいのじゃ、オルミン。おぬしは、わらわを取り戻そうと懸命に動いてくれたではないか。かように頼もしい隊士がいて、わらわは幸せじゃ。			三種の至宝							
アルパ……。			アルパ……。			三種の至宝							
しゅ～……皆も、ありがとうなのじゃ。Forename、カブト、ギョシン、それに、メ・ゼト……			しゅ～……皆も、ありがとうなのじゃ。Forename、カブト、ギョシン、それに、メ・ゼト……			三種の至宝							
む？メ・ゼトはどこじゃ？			む？メ・ゼトはどこじゃ？			三種の至宝							
まだ着替えてるんじゃないのかい？			まだ着替えてるんじゃないのかい？			三種の至宝							
うわぁ～～～～～～～～～～！！！			うわぁ～～～～～～～～～～！！！			三種の至宝							
おいおい、オレだよ、未来の偉大なるヌン、メ・ゼトだよ。ヤツが海に消えた後、水面に浮かんでたのを拾っておいたんだ。どうだ、似合ってるか？			おいおい、オレだよ、未来の偉大なるヌン、メ・ゼトだよ。ヤツが海に消えた後、水面に浮かんでたのを拾っておいたんだ。どうだ、似合ってるか？			三種の至宝							
アンタも沈めてやるよ！！！！！！			アンタも沈めてやるよ！！！！！！			三種の至宝							
まったく……。ちょっと見直したと思ったら、これだよ……。			まったく……。ちょっと見直したと思ったら、これだよ……。			三種の至宝							
ときに、なぜギョシン殿は、拙者たちが黒母衣丸にいるとわかったのだぁ～？			ときに、なぜギョシン殿は、拙者たちが黒母衣丸にいるとわかったのだぁ～？			三種の至宝							
そんなの、簡単なことだっぺな。空からだと、姐さん兄さんたちがよく見えたっぺよ！			そんなの、簡単なことだっぺな。空からだと、姐さん兄さんたちがよく見えたっぺよ！			三種の至宝							
なるほど、便利なもんだねぇ。ギョレイも無事で良かったよ。			なるほど、便利なもんだねぇ。ギョレイも無事で良かったよ。			三種の至宝							
皆、助けてくれてありがとうっぺよ。怖い思いもしたけど、こうして仲良く温泉に浸かれるなんて、まさに「百害あって一利なし」だっぺな。			皆、助けてくれてありがとうっぺよ。怖い思いもしたけど、こうして仲良く温泉に浸かれるなんて、まさに「百害あって一利なし」だっぺな。			三種の至宝							
その使い方は間違っているのではぁ～……？			その使い方は間違っているのではぁ～……？			三種の至宝							
そういえば、カブトの兜についてる玉は何だっぺな？			そういえば、カブトの兜についてる玉は何だっぺな？			三種の至宝							
これは、ナザに奪われたツクモの宝玉～。拙者にとって、ツクモは如何なるお宝よりも大切な存在～。			これは、ナザに奪われたツクモの宝玉～。拙者にとって、ツクモは如何なるお宝よりも大切な存在～。			三種の至宝							
無事に取り戻すことができて、皆には何と感謝して良いかわからない～……。口下手は克服したつもりだったのだがぁ～……。			無事に取り戻すことができて、皆には何と感謝して良いかわからない～……。口下手は克服したつもりだったのだがぁ～……。			三種の至宝							
拙者たちは、ナザによって繋がれた奇妙な関係だが、今後とも、皆と結んだ縁を大切にしていきたい～。			拙者たちは、ナザによって繋がれた奇妙な関係だが、今後とも、皆と結んだ縁を大切にしていきたい～。			三種の至宝							
それはステキなことだっぺな！是非ともオイラたちの祭りにも遊びに来てほしいっぺよ！			それはステキなことだっぺな！是非ともオイラたちの祭りにも遊びに来てほしいっぺよ！			三種の至宝							
しゅ～……エオルゼアを訪れる際は、是非アラミゴにも立ち寄ってほしいのじゃ。我ら国境警備隊が、安全安心な旅を提供しよう、なのじゃ。			しゅ～……エオルゼアを訪れる際は、是非アラミゴにも立ち寄ってほしいのじゃ。我ら国境警備隊が、安全安心な旅を提供しよう、なのじゃ。			三種の至宝							
「コウジン族」「アナンタ族」「ナマズオ族」……すべての種族との友好関係が「盟友」になりました！			「コウジン族」「アナンタ族」「ナマズオ族」……すべての種族との友好関係が「盟友」になりました！			三種の至宝							
これにより、各種族の拠点にいる、「シキタヘ」「マドゥラ」「ギョショウ」から、「友好関係：盟友」の商品の購入ができるようになります。			これにより、各種族の拠点にいる、「シキタヘ」「マドゥラ」「ギョショウ」から、「友好関係：盟友」の商品の購入ができるようになります。			三種の至宝							
エモートアクション「心づけ」を覚えた！			エモートアクション「心づけ」を覚えた！			三種の至宝							
冒険者の活躍により、アラミゴと東方の主要4種族は、これからも固く深い絆によって共存していくことでしょう！「友好部族デイリークエスト」、大変おつかれさまでした！			冒険者の活躍により、アラミゴと東方の主要4種族は、これからも固く深い絆によって共存していくことでしょう！「友好部族デイリークエスト」、大変おつかれさまでした！			三種の至宝							
シホウミのもとを訪ねて、ツクモを着け直してもらったぁ～。やはり、これが落ち着く～。			シホウミのもとを訪ねて、ツクモを着け直してもらったぁ～。やはり、これが落ち着く～。			三種の至宝							
