テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
俺は、この腐れ外道を連行するよ。			俺は、この腐れ外道を連行するよ。			猟師の落とし前							
そう、わかった。じゃあ冒険者さん、ルーパルへの報告はお願い！			そう、わかった。じゃあ冒険者さん、ルーパルへの報告はお願い！			猟師の落とし前							
エルヴォワが迷惑をかけたな。			エルヴォワが迷惑をかけたな。			猟師の落とし前							
ヤンターの助けになってくれて、ありがとうな。			ヤンターの助けになってくれて、ありがとうな。			猟師の落とし前							
ありがとう、君のお陰で大事にならずに済んだよ。			ありがとう、君のお陰で大事にならずに済んだよ。			猟師の落とし前							
ボリコワンのやつをどうしたかって？あいつは、もう弓を引くことはできないだろうな。まぁ、なんというか……「落とし前はつけた」ってやつだ。			ボリコワンのやつをどうしたかって？あいつは、もう弓を引くことはできないだろうな。まぁ、なんというか……「落とし前はつけた」ってやつだ。			猟師の落とし前							
ジゾルは落ち込んでいたが、帰ったよ。アイツを待ってるチョコボが、まだほかにいる。いちいち落ち込んでられないはずだ。			ジゾルは落ち込んでいたが、帰ったよ。アイツを待ってるチョコボが、まだほかにいる。いちいち落ち込んでられないはずだ。			猟師の落とし前							
……キレイ事じゃ、腹は満たせねぇ。俺たちは、誰よりもそれを知っている。			……キレイ事じゃ、腹は満たせねぇ。俺たちは、誰よりもそれを知っている。			猟師の落とし前							
まぁ、新人たちも、それをわかったようで嬉しいよ。きっといい猟師になるだろう。			まぁ、新人たちも、それをわかったようで嬉しいよ。きっといい猟師になるだろう。			猟師の落とし前							
さてと……俺はそろそろ、この場からオサラバするぜ。出来のわりぃ「相方」の面倒を、みねぇといけねぇんでな。冒険者にはいろいろ世話かけちまったな、ありがとうよ。			さてと……俺はそろそろ、この場からオサラバするぜ。出来のわりぃ「相方」の面倒を、みねぇといけねぇんでな。冒険者にはいろいろ世話かけちまったな、ありがとうよ。			猟師の落とし前							
怪我も治ったし、俺も行くとしよう。見守ってねえと不安でしょうがねえ奴を、「相方」にしちまったからな。			怪我も治ったし、俺も行くとしよう。見守ってねえと不安でしょうがねえ奴を、「相方」にしちまったからな。			猟師の落とし前							
冒険者さん、改めて礼を言わせてくれ。本当に、ありがとう！			冒険者さん、改めて礼を言わせてくれ。本当に、ありがとう！			猟師の落とし前							
不浄の三塔のグリンカムビは、辛そうな唸りをあげている。			不浄の三塔のグリンカムビは、辛そうな唸りをあげている。			空腹のイライラ							
グリンカムビの話を聞いた。高地ドラヴァニアの悲嘆の飛泉付近で、「ゴールデン・バンダースナッチ」を討伐し、「バンダースナッチの生肉」を3つ入手しよう。			グリンカムビの話を聞いた。高地ドラヴァニアの悲嘆の飛泉付近で、「ゴールデン・バンダースナッチ」を討伐し、「バンダースナッチの生肉」を3つ入手しよう。			空腹のイライラ							
バンダースナッチの生肉を入手した。不浄の三塔の「グリンカムビ」に「バンダースナッチの生肉」を渡そう。			バンダースナッチの生肉を入手した。不浄の三塔の「グリンカムビ」に「バンダースナッチの生肉」を渡そう。			空腹のイライラ							
グリンカムビにバンダースナッチの生肉を渡した。バンダースナッチの生肉を食して空腹を満たすことで、彼女も落ち着きを取り戻すだろう。			グリンカムビにバンダースナッチの生肉を渡した。バンダースナッチの生肉を食して空腹を満たすことで、彼女も落ち着きを取り戻すだろう。			空腹のイライラ							
ゴールデン・バンダースナッチからバンダースナッチの生肉を入手			ゴールデン・バンダースナッチからバンダースナッチの生肉を入手			空腹のイライラ							
グリンカムビにバンダースナッチの生肉を渡す			グリンカムビにバンダースナッチの生肉を渡す			空腹のイライラ							
腹が減った……あぁ、腹が減ってしまってしょうがない！タマゴを温め続けるためには、体力がいるっていうのに……。……悪いけど、新鮮な肉でも取ってきてくれないかい？			腹が減った……あぁ、腹が減ってしまってしょうがない！タマゴを温め続けるためには、体力がいるっていうのに……。……悪いけど、新鮮な肉でも取ってきてくれないかい？			空腹のイライラ							
悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			空腹のイライラ							
悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			空腹のイライラ							
悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			空腹のイライラ							
……いい香りだ、ありがとうね。タマゴを温めるのはヒマでねぇ……時々、苛ついてしまうのさ。空腹も満たされれば、少しは落ち着くはずだよ。			……いい香りだ、ありがとうね。タマゴを温めるのはヒマでねぇ……時々、苛ついてしまうのさ。空腹も満たされれば、少しは落ち着くはずだよ。			空腹のイライラ							
テイルフェザーのマルスシャンは、悔しそうに顔をしかめている。			テイルフェザーのマルスシャンは、悔しそうに顔をしかめている。			横取りは許さない							
マルスシャンは、チョコボを横取りする熊を倒したいようだ。高地ドラヴァニアのチョコボの森で、「指定地点」に「チョコボのモモ肉」を置こう。			マルスシャンは、チョコボを横取りする熊を倒したいようだ。高地ドラヴァニアのチョコボの森で、「指定地点」に「チョコボのモモ肉」を置こう。			横取りは許さない							
指定地点にチョコボのモモ肉を置いた。チョコボの森の「指定地点」で待機し、「ジャイアント・ゴールドベアー」が現れたら討伐しよう。			指定地点にチョコボのモモ肉を置いた。チョコボの森の「指定地点」で待機し、「ジャイアント・ゴールドベアー」が現れたら討伐しよう。			横取りは許さない							
ジャイアント・ゴールドベアーを討伐した。テイルフェザーの「マルスシャン」に報告しよう。			ジャイアント・ゴールドベアーを討伐した。テイルフェザーの「マルスシャン」に報告しよう。			横取りは許さない							
ジャイアント・ゴールドベアーを倒したことをマルスシャンに報告した。これで、今後は捕まえたチョコボを横取りされることもないだろう。			ジャイアント・ゴールドベアーを倒したことをマルスシャンに報告した。これで、今後は捕まえたチョコボを横取りされることもないだろう。			横取りは許さない							
指定地点にチョコボのモモ肉を置く			指定地点にチョコボのモモ肉を置く			横取りは許さない							
指定地点で待機しジャイアント・ゴールドベアーを討伐			指定地点で待機しジャイアント・ゴールドベアーを討伐			横取りは許さない							
マルスシャンに報告			マルスシャンに報告			横取りは許さない							
まったく、面白くない話だ……怒りたくもなるさ。せっかく獲ったチョコボを、横取りされてるんだからな！あの熊を懲らしめてくれるってなら、喜んで依頼するよ。			まったく、面白くない話だ……怒りたくもなるさ。せっかく獲ったチョコボを、横取りされてるんだからな！あの熊を懲らしめてくれるってなら、喜んで依頼するよ。			横取りは許さない							
奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			横取りは許さない							
奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			横取りは許さない							
おお、やってくれたのか！？しかし、あいつを易々倒すとは流石だな。これで今後は横取りされることもないだろう、ありがとな！			おお、やってくれたのか！？しかし、あいつを易々倒すとは流石だな。これで今後は横取りされることもないだろう、ありがとな！			横取りは許さない							
ヴァスの塚のイダテンは、冒険者を期待の眼差しで見ているようだ。			ヴァスの塚のイダテンは、冒険者を期待の眼差しで見ているようだ。			先制攻撃！							
イダテンは、グナースの塚のグナース族が攻めてくるのを知ったようだ。高地ドラヴァニアのグナースの塚で、「ロス・ファイアドローン」、「ロス・スチールドローン」、「ロス・カルティベーター」のいずれかを4体討伐しよう。			イダテンは、グナースの塚のグナース族が攻めてくるのを知ったようだ。高地ドラヴァニアのグナースの塚で、「ロス・ファイアドローン」、「ロス・スチールドローン」、「ロス・カルティベーター」のいずれかを4体討伐しよう。			先制攻撃！							
グナース兵を討伐した。ヴァスの塚の「イダテン」に報告しよう。			グナース兵を討伐した。ヴァスの塚の「イダテン」に報告しよう。			先制攻撃！							
先制攻撃したことを、イダテンに報告した。稀にではあるが、「分かたれし者」にも「意思の囁き」を掴むことができる者がおり、そこから掴んだ機密を利用すれば、不意を打てるようだ。			先制攻撃したことを、イダテンに報告した。稀にではあるが、「分かたれし者」にも「意思の囁き」を掴むことができる者がおり、そこから掴んだ機密を利用すれば、不意を打てるようだ。			先制攻撃！							
グナース兵を討伐			グナース兵を討伐			先制攻撃！							
イダテンに報告			イダテンに報告			先制攻撃！							
シシシ……とんでもない情報を手に入れた。どうやら、「グナースの塚」の奴らが攻めてくるようだ。……まだ準備段階みたいだがな。			シシシ……とんでもない情報を手に入れた。どうやら、「グナースの塚」の奴らが攻めてくるようだ。……まだ準備段階みたいだがな。			先制攻撃！							
狩人よ、先制攻撃して、出鼻を挫いてくれないか。「ロス」と名乗る戦士階級の奴を、4体ほど討ち倒せば、奴らのもくろみも頓挫するだろう。			狩人よ、先制攻撃して、出鼻を挫いてくれないか。「ロス」と名乗る戦士階級の奴を、4体ほど討ち倒せば、奴らのもくろみも頓挫するだろう。			先制攻撃！							
狩人よ、先制攻撃して、出鼻を挫いてくれないか。「ロス」と名乗る戦士階級の奴を、4体ほど討ち倒せば、奴らのもくろみも頓挫するだろう。			狩人よ、先制攻撃して、出鼻を挫いてくれないか。「ロス」と名乗る戦士階級の奴を、4体ほど討ち倒せば、奴らのもくろみも頓挫するだろう。			先制攻撃！							
シシシ……上手くいったみたいだな。先制攻撃されて、奴らも驚いただろう。感謝するぞ、狩人よ。			シシシ……上手くいったみたいだな。先制攻撃されて、奴らも驚いただろう。感謝するぞ、狩人よ。			先制攻撃！							
我ら「分かたれし者」は、精神感応の力が弱く、「繋がりし者たち」と精神が連結されていない……。			我ら「分かたれし者」は、精神感応の力が弱く、「繋がりし者たち」と精神が連結されていない……。			先制攻撃！							
だが、稀にではあるが、奴らの「意思の囁き」を掴む者がいる……。そうして掴んだ機密を利用すれば、不意を打てるのだ！			だが、稀にではあるが、奴らの「意思の囁き」を掴む者がいる……。そうして掴んだ機密を利用すれば、不意を打てるのだ！			先制攻撃！							
ヴァスの塚のストーリーテラーは、体を震わせて怒っているようだ。			ヴァスの塚のストーリーテラーは、体を震わせて怒っているようだ。			繋がりし者たちへの報復							
ストーリーテラーは、同胞のグナース族が襲われたことを怒っており、仕返しをしたいと考えているようだ。高地ドラヴァニアのグナースの塚で、「グナース・ヘイルドローン」、「グナース・アイアンドローン」、「グナース・フォリジャー」を1体ずつ討伐しよう。			ストーリーテラーは、同胞のグナース族が襲われたことを怒っており、仕返しをしたいと考えているようだ。高地ドラヴァニアのグナースの塚で、「グナース・ヘイルドローン」、「グナース・アイアンドローン」、「グナース・フォリジャー」を1体ずつ討伐しよう。			繋がりし者たちへの報復							
指定されたグナース族を討伐した。ヴァスの塚で「ストーリーテラー」に報告しよう。			指定されたグナース族を討伐した。ヴァスの塚で「ストーリーテラー」に報告しよう。			繋がりし者たちへの報復							
ストーリーテラーに報告した。冒険者が倒したのが、ヴァスの塚の若者を襲ったグナース族ではなかったとしても、「繋がりし者たち」の精神は繋がっているため、報復の痛みは伝わったことだろう。			ストーリーテラーに報告した。冒険者が倒したのが、ヴァスの塚の若者を襲ったグナース族ではなかったとしても、「繋がりし者たち」の精神は繋がっているため、報復の痛みは伝わったことだろう。			繋がりし者たちへの報復							
グナース・ヘイルドローンを討伐			グナース・ヘイルドローンを討伐			繋がりし者たちへの報復							
グナース・アイアンドローンを討伐			グナース・アイアンドローンを討伐			繋がりし者たちへの報復							
グナース・フォリジャーを討伐			グナース・フォリジャーを討伐			繋がりし者たちへの報復							
ストーリーテラーに報告			ストーリーテラーに報告			繋がりし者たちへの報復							
シシシシシ……「繋がりし者たち」め、忌々しい。狩りに出ていた「ヴァスの塚」の若者を、襲ってきよったのだ。ヒトの狩人よ、奴らに報復をしてほしい……。			シシシシシ……「繋がりし者たち」め、忌々しい。狩りに出ていた「ヴァスの塚」の若者を、襲ってきよったのだ。ヒトの狩人よ、奴らに報復をしてほしい……。			繋がりし者たちへの報復							
銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			繋がりし者たちへの報復							
銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			銃を使いし者、槍を使いし者……それに、杖を使いし者を、それぞれ倒してくれ。よろしく頼むぞ……シシシシシ。			繋がりし者たちへの報復							
シシシシシ……やってくれたか、狩人よ。「繋がりし者たち」にも痛みが伝わっただろう。報復としては十分だ……。			シシシシシ……やってくれたか、狩人よ。「繋がりし者たち」にも痛みが伝わっただろう。報復としては十分だ……。			繋がりし者たちへの報復							
……狩人が倒したグナース族が、我らに手を出した者であるかどうかなど問題ではない。奴らの精神は、繋ぎ止められておるのだからな……シシシシシ。			……狩人が倒したグナース族が、我らに手を出した者であるかどうかなど問題ではない。奴らの精神は、繋ぎ止められておるのだからな……シシシシシ。			繋がりし者たちへの報復							
ヴァスの塚のナンカイーターは、遠い目で南の方を見ているようだ。			ヴァスの塚のナンカイーターは、遠い目で南の方を見ているようだ。			石の秘密							
ナンカイーターに小さな黄色い石を拾ってくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで「小さな黄色い石」を4つ入手しよう。			ナンカイーターに小さな黄色い石を拾ってくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで「小さな黄色い石」を4つ入手しよう。			石の秘密							
小さな黄色い石を入手した。ヴァスの塚の「ナンカイーター」に「小さな黄色い石」を渡そう。			小さな黄色い石を入手した。ヴァスの塚の「ナンカイーター」に「小さな黄色い石」を渡そう。			石の秘密							
ナンカイーターに小さな黄色い石を渡した。この小さな黄色い石は、グナースが手銃に用いる火薬の材料のひとつだそうだ。			ナンカイーターに小さな黄色い石を渡した。この小さな黄色い石は、グナースが手銃に用いる火薬の材料のひとつだそうだ。			石の秘密							
小さな黄色い石を入手			小さな黄色い石を入手			石の秘密							
ナンカイーターに小さな黄色い石を渡す			ナンカイーターに小さな黄色い石を渡す			石の秘密							
シシシシシ……気前のいい狩人よ、また仕事をするか？ある鉱物を調達してもらいたいのだ。			シシシシシ……気前のいい狩人よ、また仕事をするか？ある鉱物を調達してもらいたいのだ。			石の秘密							
ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			石の秘密							
ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			石の秘密							
ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			ヒトが「不浄の三塔」と呼ぶ場所の南に、「小さな黄色い石」が落ちているはずだ……。それを4個ほど、拾ってきてほしい……シシシシシ。			石の秘密							
シシシシシ……速やかな仕事ぶりだな。そして、相変わらずの気前の良さ……感謝するぞ。			シシシシシ……速やかな仕事ぶりだな。そして、相変わらずの気前の良さ……感謝するぞ。			石の秘密							
この黄色い石に付着している「硫黄」は、我らが手銃に用いる火薬の材料のひとつ……。その他の材料は秘密だ……恥ずかしいからな……。			この黄色い石に付着している「硫黄」は、我らが手銃に用いる火薬の材料のひとつ……。その他の材料は秘密だ……恥ずかしいからな……。			石の秘密							
ヴァスの塚のイダテンは、手銃を手に困っているようだ。			ヴァスの塚のイダテンは、手銃を手に困っているようだ。			火薬の調達							
イダテンに火薬の調達を頼まれた。高地ドラヴァニアの兵站穴で「手銃の火薬袋」を3袋入手しよう。			イダテンに火薬の調達を頼まれた。高地ドラヴァニアの兵站穴で「手銃の火薬袋」を3袋入手しよう。			火薬の調達							
手銃の火薬袋を入手した。ヴァスの塚の「イダテン」に「手銃の火薬袋」を渡そう。			手銃の火薬袋を入手した。ヴァスの塚の「イダテン」に「手銃の火薬袋」を渡そう。			火薬の調達							
イダテンに手銃の火薬袋を渡した。これでしばらくは、火薬不足に悩むこともなさそうだ。			イダテンに手銃の火薬袋を渡した。これでしばらくは、火薬不足に悩むこともなさそうだ。			火薬の調達							
手銃の火薬袋を入手			手銃の火薬袋を入手			火薬の調達							
イダテンに手銃の火薬袋を渡す			イダテンに手銃の火薬袋を渡す			火薬の調達							
シシシシシ……やはり、このままでは足りなくなるか。思いの外、手銃用の火薬の減りが早いようだ。生産を増やしているが、どうにも足りない。			シシシシシ……やはり、このままでは足りなくなるか。思いの外、手銃用の火薬の減りが早いようだ。生産を増やしているが、どうにも足りない。			火薬の調達							
そこで、「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			そこで、「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			火薬の調達							
「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			「グナースの塚」に忍び込み、「手銃の火薬袋」を、3袋ほど手に入れてきてもらいたい。……我らが赴くと、いろいろと問題が生じるゆえな。			火薬の調達							
「手銃の火薬袋」、回収してきてくれたか？			「手銃の火薬袋」、回収してきてくれたか？			火薬の調達							
シシシシシ……無事に調達してきたようだな。これでしばらくは、火薬不足に悩むこともなさそうだ。狩人の働きに感謝だな……シシシシシ。			シシシシシ……無事に調達してきたようだな。これでしばらくは、火薬不足に悩むこともなさそうだ。狩人の働きに感謝だな……シシシシシ。			火薬の調達							
ヴァスの塚のニモツハコビは、慌てているようだ。			ヴァスの塚のニモツハコビは、慌てているようだ。			自慢の特技							
ニモツハコビに、荷車の積荷を回収してくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、「グナース族の荷車」を調べ「荷車の積荷」を入手しよう。			ニモツハコビに、荷車の積荷を回収してくるよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、「グナース族の荷車」を調べ「荷車の積荷」を入手しよう。			自慢の特技							
荷車の積荷を入手した。ヴァスの塚で「ニモツハコビ」に「荷車の積荷」を渡そう。			荷車の積荷を入手した。ヴァスの塚で「ニモツハコビ」に「荷車の積荷」を渡そう。			自慢の特技							
ニモツハコビに荷車の積荷を渡した。誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことが自慢なニモツハコビにとって、荷物を奪われたと知られることは、死活問題だったようだ。			ニモツハコビに荷車の積荷を渡した。誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことが自慢なニモツハコビにとって、荷物を奪われたと知られることは、死活問題だったようだ。			自慢の特技							
グナース族の荷車から荷車の積荷を入手			グナース族の荷車から荷車の積荷を入手			自慢の特技							
ニモツハコビに荷車の積荷を渡す			ニモツハコビに荷車の積荷を渡す			自慢の特技							
シシシシシ……「繋がりし者たち」に襲われた！慌てて逃げ出したもんだから、荷車を置いてきてしまった……。なんとかして、物資を回収しなきゃ……。			シシシシシ……「繋がりし者たち」に襲われた！慌てて逃げ出したもんだから、荷車を置いてきてしまった……。なんとかして、物資を回収しなきゃ……。			自慢の特技							
狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			自慢の特技							
狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			自慢の特技							
シシシシシ…これは俺たちのものだ！			シシシシシ…これは俺たちのものだ！			自慢の特技							
狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			自慢の特技							
シシシシシ……これで間違いない、ありがとう。「ニモツハコビ」である僕の自慢は、誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことなんだ。			シシシシシ……これで間違いない、ありがとう。「ニモツハコビ」である僕の自慢は、誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことなんだ。			自慢の特技							
それなのに荷物を奪われたと皆に知られたら、「ニモツハコビ」どころか「ニモツナクシ」になってしまう！皆と意識が繋がっていなくて本当に良かったよ……シシシシシ。			それなのに荷物を奪われたと皆に知られたら、「ニモツハコビ」どころか「ニモツナクシ」になってしまう！皆と意識が繋がっていなくて本当に良かったよ……シシシシシ。			自慢の特技							
テイルフェザーのマルスシャンは、気抜けしているようだ。			テイルフェザーのマルスシャンは、気抜けしているようだ。			やっかいな相手							
マルスシャンに情報収集を頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、情報を集めよう。			マルスシャンに情報収集を頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、情報を集めよう。			やっかいな相手							
キャンプを回り、情報を集めた。テイルフェザーの「マルスシャン」に報告しよう。			キャンプを回り、情報を集めた。テイルフェザーの「マルスシャン」に報告しよう。			やっかいな相手							
集めた情報をマルスシャンに伝えた。彼は、巨大なだけでなく、人への敵意と賢さを持つグランチョコボを危険視しているようだ。			集めた情報をマルスシャンに伝えた。彼は、巨大なだけでなく、人への敵意と賢さを持つグランチョコボを危険視しているようだ。			やっかいな相手							
テイルフェザー付近のキャンプで情報を集める			テイルフェザー付近のキャンプで情報を集める			やっかいな相手							
マルスシャンに報告			マルスシャンに報告			やっかいな相手							
まったく、手痛くやられちまったぜ……。これが、狙っていたグランチョコボの仕業だっていうんだから、テイルフェザーの猟師としちゃあ、笑えない話さ。			まったく、手痛くやられちまったぜ……。これが、狙っていたグランチョコボの仕業だっていうんだから、テイルフェザーの猟師としちゃあ、笑えない話さ。			やっかいな相手							
……だがな、こっちにも意地ってもんがある。絶対にヤツを捕まえてやるつもりさ……。そこで、お前さんにも手伝ってもらいたいんだ。			……だがな、こっちにも意地ってもんがある。絶対にヤツを捕まえてやるつもりさ……。そこで、お前さんにも手伝ってもらいたいんだ。			やっかいな相手							
近くのキャンプに出張っている「レオニュルフ」と「ゲナレ」、それと「エムベル」から、「グランチョコボ」について、情報を聞いてきてくれないか？			近くのキャンプに出張っている「レオニュルフ」と「ゲナレ」、それと「エムベル」から、「グランチョコボ」について、情報を聞いてきてくれないか？			やっかいな相手							
近くのキャンプに出張っている「レオニュルフ」と「ゲナレ」、それから「エムベル」から、「グランチョコボ」について、情報を聞いてきてくれないか？			近くのキャンプに出張っている「レオニュルフ」と「ゲナレ」、それから「エムベル」から、「グランチョコボ」について、情報を聞いてきてくれないか？			やっかいな相手							
くっ、あのチョコボは普通じゃない……。侮っていると、俺と同じ目にあうぞ。			くっ、あのチョコボは普通じゃない……。侮っていると、俺と同じ目にあうぞ。			やっかいな相手							
グランチョコボか……。仲間が出会ったんだが、体当たりの一撃で伸されちまってね……気性の荒さも一級のようだよ。			グランチョコボか……。仲間が出会ったんだが、体当たりの一撃で伸されちまってね……気性の荒さも一級のようだよ。			やっかいな相手							
この檻を見てください……奴が力任せに壊したんです。例のグランチョコボが、群れの仲間を逃がすため、やったようなんですよ……。			この檻を見てください……奴が力任せに壊したんです。例のグランチョコボが、群れの仲間を逃がすため、やったようなんですよ……。			やっかいな相手							
奴さんは、警戒心こそ強いが、決してヒトを恐れないんだ。いざ対面すると、正面きって襲いかかってきやがる。もう何人もの猟師が、返り討ちにされたよ。			奴さんは、警戒心こそ強いが、決してヒトを恐れないんだ。いざ対面すると、正面きって襲いかかってきやがる。もう何人もの猟師が、返り討ちにされたよ。			やっかいな相手							
グランチョコボか……。仲間が出会ったんだが、体当たりの一撃で伸されちまってね……気性の荒さも一級のようだよ。			グランチョコボか……。仲間が出会ったんだが、体当たりの一撃で伸されちまってね……気性の荒さも一級のようだよ。			やっかいな相手							
この檻を見てください……奴が力任せに壊したんです。例のグランチョコボが、群れの仲間を逃がすため、やったようなんですよ……。			この檻を見てください……奴が力任せに壊したんです。例のグランチョコボが、群れの仲間を逃がすため、やったようなんですよ……。			やっかいな相手							
奴さんは、警戒心こそ強いが、決してヒトを恐れないんだ。いざ対面すると、正面きって襲いかかってきやがる。もう何人もの猟師が、返り討ちにされたよ。			奴さんは、警戒心こそ強いが、決してヒトを恐れないんだ。いざ対面すると、正面きって襲いかかってきやがる。もう何人もの猟師が、返り討ちにされたよ。			やっかいな相手							
くっ、あのチョコボは普通じゃない……。侮っていると、俺と同じ目にあうぞ。			くっ、あのチョコボは普通じゃない……。侮っていると、俺と同じ目にあうぞ。			やっかいな相手							
グランチョコボか……。くそっ、ありゃあ厄介だぜ……。			グランチョコボか……。くそっ、ありゃあ厄介だぜ……。			やっかいな相手							
……なるほどな、想像以上にやっかいな相手のようだ。こっちでも調べてみたが、仕掛けた罠が踏み抜かれて、壊されていたんだ。			……なるほどな、想像以上にやっかいな相手のようだ。こっちでも調べてみたが、仕掛けた罠が踏み抜かれて、壊されていたんだ。			やっかいな相手							
こりゃ、俺たち猟師への怒りと、挑発の意味があるのかもしれん……。強いだけじゃなくて、知恵も回る相手らしいからな。			こりゃ、俺たち猟師への怒りと、挑発の意味があるのかもしれん……。強いだけじゃなくて、知恵も回る相手らしいからな。			やっかいな相手							
不浄の三塔のトー・イスラは、何やら涎を垂らしているようだ。			不浄の三塔のトー・イスラは、何やら涎を垂らしているようだ。			おいしそうなお肉							
トー・イスラの話を聞いた。高地ドラヴァニアのアヴァロニア・フォールンで、「ミアキス」を討伐し「ミアキスの肉」を3個入手しよう。			トー・イスラの話を聞いた。高地ドラヴァニアのアヴァロニア・フォールンで、「ミアキス」を討伐し「ミアキスの肉」を3個入手しよう。			おいしそうなお肉							
ミアキスの肉を入手した。不浄の三塔の「トー・イスラ」に「ミアキスの肉」を渡そう。			ミアキスの肉を入手した。不浄の三塔の「トー・イスラ」に「ミアキスの肉」を渡そう。			おいしそうなお肉							
トー・イスラにミアキスの肉を渡した。お気に召したらしく、早く自分で狩りたいと目を輝かせていた。			トー・イスラにミアキスの肉を渡した。お気に召したらしく、早く自分で狩りたいと目を輝かせていた。			おいしそうなお肉							
ミアキスからミアキスの肉を入手			ミアキスからミアキスの肉を入手			おいしそうなお肉							
トー・イスラにミアキスの肉を渡す			トー・イスラにミアキスの肉を渡す			おいしそうなお肉							
