聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
フランセルのもとに戻ると、マルセロアを受け入れがたいと語る住人たちと遭遇した。気落ちしてしまったマルセロアを、励ますことはできるだろうか。			フランセルのもとに戻ると、マルセロアを受け入れがたいと語る住人たちと遭遇した。気落ちしてしまったマルセロアを、励ますことはできるだろうか。			持たざる者たちの思い							
聖徒門のノアルと話す			聖徒門のノアルと話す			持たざる者たちの思い							
蒼天街のフランセルと話す			蒼天街のフランセルと話す			持たざる者たちの思い							
エル・トゥを探す			エル・トゥを探す			持たざる者たちの思い							
フランセルと話す			フランセルと話す			持たざる者たちの思い							
この子は、移住を決めてくれた母親と一緒にいた子だ。なにがあったのか、早く話を聞いてみよう……！			この子は、移住を決めてくれた母親と一緒にいた子だ。なにがあったのか、早く話を聞いてみよう……！			持たざる者たちの思い							
この子は……？			この子は……？			持たざる者たちの思い							
あのね、あのね、ママが、門のお外へ、つれていかれちゃったの。すっごくこわい顔した「しんもんかん」って人に。			あのね、あのね、ママが、門のお外へ、つれていかれちゃったの。すっごくこわい顔した「しんもんかん」って人に。			持たざる者たちの思い							
ママもわたしも、悪いことなんて、なにもしてないよ？どうしよう、ママがこのまま帰ってこなかったら……！			ママもわたしも、悪いことなんて、なにもしてないよ？どうしよう、ママがこのまま帰ってこなかったら……！			持たざる者たちの思い							
大丈夫だよ、お兄ちゃんとお姉ちゃんお兄ちゃんふたりがついてるからね。ノアル、お母さんのところまで案内してくれるかな？			大丈夫だよ、お兄ちゃんとお姉ちゃんお兄ちゃんふたりがついてるからね。ノアル、お母さんのところまで案内してくれるかな？			持たざる者たちの思い							
Forename、この子の言う門というのは、おそらく「聖徒門」だと思う。キミもついてきて！			Forename、この子の言う門というのは、おそらく「聖徒門」だと思う。キミもついてきて！			持たざる者たちの思い							
あなた様がおられるのなら、坊ちゃんに身の危険が及ぶことはないでしょう。わたくしは、念のため蒼天街に異変がないか調べておきます。			あなた様がおられるのなら、坊ちゃんに身の危険が及ぶことはないでしょう。わたくしは、念のため蒼天街に異変がないか調べておきます。			持たざる者たちの思い							
ノアル、お母さんが連れていかれたのは、この先であっているかい？			ノアル、お母さんが連れていかれたのは、この先であっているかい？			持たざる者たちの思い							
こっちこっち！この先だよ！			こっちこっち！この先だよ！			持たざる者たちの思い							
(-怖いもの知らずの子竜-)だーかーらー！あたくちたちは悪い竜じゃないでち！なんで、中に入れてくれないんでちか！			(-怖いもの知らずの子竜-)だーかーらー！あたくちたちは悪い竜じゃないでち！なんで、中に入れてくれないんでちか！			持たざる者たちの思い							
なぁ、オデーヌ……。俺だ、マルセロアだよ、帰ってきたんだ。街へ入れてくれるように、君からも頼んでくれ……。			なぁ、オデーヌ……。俺だ、マルセロアだよ、帰ってきたんだ。街へ入れてくれるように、君からも頼んでくれ……。			持たざる者たちの思い							
その声……ほ、本当に、あなたなの……？			その声……ほ、本当に、あなたなの……？			持たざる者たちの思い							
いったい、何事だ？			いったい、何事だ？			持たざる者たちの思い							
これはこれは……フランセル卿。どうもこうも、聖徒門をくぐろうとした、不埒な竜共がいましてね……。			これはこれは……フランセル卿。どうもこうも、聖徒門をくぐろうとした、不埒な竜共がいましてね……。			持たざる者たちの思い							
しかも、大型の竜の方は、この女の名前をさかんに口にしていて、面識がある様子。そこで、当人を呼んで面通しをさせていたのですよ。			しかも、大型の竜の方は、この女の名前をさかんに口にしていて、面識がある様子。そこで、当人を呼んで面通しをさせていたのですよ。			持たざる者たちの思い							
この竜が人の変異体であるなら、異端に与していた可能性が高い。なにを思って、のこのこ現れたかは知りませんが、厳正な処分を下さねばなりません。			この竜が人の変異体であるなら、異端に与していた可能性が高い。なにを思って、のこのこ現れたかは知りませんが、厳正な処分を下さねばなりません。			持たざる者たちの思い							
家族であるなら……この母娘ともども、ね。			家族であるなら……この母娘ともども、ね。			持たざる者たちの思い							
アイメリク議長の宣言を聞いていないのか？竜との融和が掲げられたことにより、異端者の行動についても、情状酌量の余地があるとして、一方的な処断は禁じられたはずだ！			アイメリク議長の宣言を聞いていないのか？竜との融和が掲げられたことにより、異端者の行動についても、情状酌量の余地があるとして、一方的な処断は禁じられたはずだ！			持たざる者たちの思い							
だからといって、おいそれと、この者たちを都市内へ入れるわけにはいきません。竜化した異端者には、多くの民を殺されているのですよ?			だからといって、おいそれと、この者たちを都市内へ入れるわけにはいきません。竜化した異端者には、多くの民を殺されているのですよ?			持たざる者たちの思い							
それはもちろん、キミの言うとおりだ。だが、よく調べもせずに断罪すべきではないだろう？			それはもちろん、キミの言うとおりだ。だが、よく調べもせずに断罪すべきではないだろう？			持たざる者たちの思い							
マルセロアといったね。キミは、イシュガルドの民を殺めたことがあるか？正直に答えてくれ。			マルセロアといったね。キミは、イシュガルドの民を殺めたことがあるか？正直に答えてくれ。			持たざる者たちの思い							
いいえ、自分は誰ひとり、殺すどころか、傷つけてさえおりません！戦神ハルオーネに誓って、本当です！			いいえ、自分は誰ひとり、殺すどころか、傷つけてさえおりません！戦神ハルオーネに誓って、本当です！			持たざる者たちの思い							
「氷の巫女」の思想に共鳴し、彼女についていくことを決めたのは、事実です。そして忠誠の証として、竜の血を飲みました。			「氷の巫女」の思想に共鳴し、彼女についていくことを決めたのは、事実です。そして忠誠の証として、竜の血を飲みました。			持たざる者たちの思い							
体質なのか、血との相性なのか、他の者より変異のしるしが強く、長く苦しみ……。動けるようになった時には、もう竜詩戦争は終結していました。			体質なのか、血との相性なのか、他の者より変異のしるしが強く、長く苦しみ……。動けるようになった時には、もう竜詩戦争は終結していました。			持たざる者たちの思い							
急激な変異のせいか人に戻ることもできず、寄る辺もなく……。途方に暮れていたところに、この人懐っこいエル・トゥが、街へ戻ることを勧めてくれたのです。			急激な変異のせいか人に戻ることもできず、寄る辺もなく……。途方に暮れていたところに、この人懐っこいエル・トゥが、街へ戻ることを勧めてくれたのです。			持たざる者たちの思い							
彼の言葉が真実ならば……偽りの歴史が暴かれた今、竜の血を飲んだというだけでは、罪には問えないはずだ。			彼の言葉が真実ならば……偽りの歴史が暴かれた今、竜の血を飲んだというだけでは、罪には問えないはずだ。			持たざる者たちの思い							
正気ですか！？なんの証拠もなく、竜の言葉を信じると！？			正気ですか！？なんの証拠もなく、竜の言葉を信じると！？			持たざる者たちの思い							
何と言う？			何と言う？			持たざる者たちの思い							
罪を犯したという証拠もないはずだ			罪を犯したという証拠もないはずだ			持たざる者たちの思い							
自分も竜の言葉を信じて歩んできた			自分も竜の言葉を信じて歩んできた			持たざる者たちの思い							
彼らについては自分も気を配ろう			彼らについては自分も気を配ろう			持たざる者たちの思い							
彼と小さな竜の身元は、僕が引き受けよう。彼らが問題を起こした場合は、僕が責任を取る。			彼と小さな竜の身元は、僕が引き受けよう。彼らが問題を起こした場合は、僕が責任を取る。			持たざる者たちの思い							
……四大名家に連なるフランセル卿が、そこまでおっしゃるなら、異論はありませんが……。			……四大名家に連なるフランセル卿が、そこまでおっしゃるなら、異論はありませんが……。			持たざる者たちの思い							
ただ、その選択が、ご自身の首を絞めることにならないよう……言動には充分に、注意したほうがよろしいですよ。			ただ、その選択が、ご自身の首を絞めることにならないよう……言動には充分に、注意したほうがよろしいですよ。			持たざる者たちの思い							
ふう……。なんとかこの場は収まったようだね。			ふう……。なんとかこの場は収まったようだね。			持たざる者たちの思い							
フランセル卿、それに英雄様まで……。ご迷惑をおかけしました……。			フランセル卿、それに英雄様まで……。ご迷惑をおかけしました……。			持たざる者たちの思い							
いいんだ、僕には蒼天街の住人を守る義務がある。娘さんやキミが無事で、なによりだよ。			いいんだ、僕には蒼天街の住人を守る義務がある。娘さんやキミが無事で、なによりだよ。			持たざる者たちの思い							
それにしても、竜化して戻れなくなった民と小さな竜か……。身元を引き受けると言っても、どうしたものかな……。			それにしても、竜化して戻れなくなった民と小さな竜か……。身元を引き受けると言っても、どうしたものかな……。			持たざる者たちの思い							
ヒト同士のいざこざは終わりまちた？それなら、あなたたちの街に案内してほしいでち！あたくち、ヒトの街がはやく見てみたくてたまらないの！			ヒト同士のいざこざは終わりまちた？それなら、あなたたちの街に案内してほしいでち！あたくち、ヒトの街がはやく見てみたくてたまらないの！			持たざる者たちの思い							
あ、ああ……そうだね……。今後について相談するためにも、案内しよう。			あ、ああ……そうだね……。今後について相談するためにも、案内しよう。			持たざる者たちの思い							
僕たちの「蒼天街」に……！			僕たちの「蒼天街」に……！			持たざる者たちの思い							
フランセル坊ちゃんから、事情は聞いておりますよ。坊ちゃんのご決断、わたくしは誇りに思います。			フランセル坊ちゃんから、事情は聞いておりますよ。坊ちゃんのご決断、わたくしは誇りに思います。			持たざる者たちの思い							
よし、みんな揃ったようだね。			よし、みんな揃ったようだね。			持たざる者たちの思い							
さて、マルセロア、エル・トゥ。勢いに任せてキミたちを受け入れると言ったが、実際には、問題が山積みだ。			さて、マルセロア、エル・トゥ。勢いに任せてキミたちを受け入れると言ったが、実際には、問題が山積みだ。			持たざる者たちの思い							
特にマルセロア、キミは……異端者であり竜人でもあるキミの受け入れは、家族の問題とするには、少し負担が大きすぎる。			特にマルセロア、キミは……異端者であり竜人でもあるキミの受け入れは、家族の問題とするには、少し負担が大きすぎる。			持たざる者たちの思い							
なにより、肝心なオデーヌの意見を聞いていないしね。			なにより、肝心なオデーヌの意見を聞いていないしね。			持たざる者たちの思い							
いまだから言えることですが……私もかつて、「氷の巫女」の思想に傾倒していました。			いまだから言えることですが……私もかつて、「氷の巫女」の思想に傾倒していました。			持たざる者たちの思い							
けれど、娘のことを思うと、異端者になるわけにはいかなかった……！			けれど、娘のことを思うと、異端者になるわけにはいかなかった……！			持たざる者たちの思い							
それなのに、この人は私たちを置いていったばかりか、こんな、夫かもわからない姿になっていただなんて！			それなのに、この人は私たちを置いていったばかりか、こんな、夫かもわからない姿になっていただなんて！			持たざる者たちの思い							
その上、身勝手に帰ってきて異端審問官に……！フランセル卿と英雄様がいなければ、私たちまで、殺されていたかもしれないのよ！？			その上、身勝手に帰ってきて異端審問官に……！フランセル卿と英雄様がいなければ、私たちまで、殺されていたかもしれないのよ！？			持たざる者たちの思い							
この人の受け入れについて、すぐに答えは出せません。少し頭を冷やす時間をください。			この人の受け入れについて、すぐに答えは出せません。少し頭を冷やす時間をください。			持たざる者たちの思い							
俺、俺は……どうしても、お前たちに会いたくて…………。			俺、俺は……どうしても、お前たちに会いたくて…………。			持たざる者たちの思い							
もーー！　ヒトのおじさんってば！やっとつがいに会えたのに、まだウジウジしてるなんて！湿っぽくて、イヤになっちゃうでち！			もーー！　ヒトのおじさんってば！やっとつがいに会えたのに、まだウジウジしてるなんて！湿っぽくて、イヤになっちゃうでち！			持たざる者たちの思い							
それに、もうガマンできまちぇん！あたくち、いいかげんヒトの街を見て回りたくて、翼のつけねが、ムズムズしてるのでち！			それに、もうガマンできまちぇん！あたくち、いいかげんヒトの街を見て回りたくて、翼のつけねが、ムズムズしてるのでち！			持たざる者たちの思い							
ああ、ちょっと待って……！！			ああ、ちょっと待って……！！			持たざる者たちの思い							
申し訳ないが、あの子を追ってくれるかい？まだ住人たちに、彼らの話をしていないから、竜の襲撃だと勘違いする人がでてきたら大変だ……！			申し訳ないが、あの子を追ってくれるかい？まだ住人たちに、彼らの話をしていないから、竜の襲撃だと勘違いする人がでてきたら大変だ……！			持たざる者たちの思い							
ありがとう！エル・トゥは「ニューネスト居住区」の中へ向かったようだから、どうかよろしくお願いするね。			ありがとう！エル・トゥは「ニューネスト居住区」の中へ向かったようだから、どうかよろしくお願いするね。			持たざる者たちの思い							
僕はマルセロアについているよ。彼をひとりにするのも、危険だからね。			僕はマルセロアについているよ。彼をひとりにするのも、危険だからね。			持たざる者たちの思い							
オデーヌ……ノアル…………。			オデーヌ……ノアル…………。			持たざる者たちの思い							
こんなに立派な家を借りられて……フランセル卿と職人の皆様には、頭が上がりませんわ。			こんなに立派な家を借りられて……フランセル卿と職人の皆様には、頭が上がりませんわ。			持たざる者たちの思い							
でも夫の受け入れに関しては、少し考えさせてください。娘のためにも……。			でも夫の受け入れに関しては、少し考えさせてください。娘のためにも……。			持たざる者たちの思い							
パパ、ドラゴンさんになっちゃったんだ……。			パパ、ドラゴンさんになっちゃったんだ……。			持たざる者たちの思い							
ふんふん、ヒトはおんなじ姿のまま大人になるでちか。じゃあ、お空が飛びたいヒトは、どうしているのかちら。			ふんふん、ヒトはおんなじ姿のまま大人になるでちか。じゃあ、お空が飛びたいヒトは、どうしているのかちら。			持たざる者たちの思い							
…………って、さっきのヒトがなんの用でち？			…………って、さっきのヒトがなんの用でち？			持たざる者たちの思い							
もー！　前も言ったけど、あたくちはヒトを襲ったりしないでち！あたくちは詩竜ラタトスクの眷属にして、グリンブルスティの子！これからの時代の、新しい竜詩を紡ぐ翼なんでちから！			もー！　前も言ったけど、あたくちはヒトを襲ったりしないでち！あたくちは詩竜ラタトスクの眷属にして、グリンブルスティの子！これからの時代の、新しい竜詩を紡ぐ翼なんでちから！			持たざる者たちの思い							
パパは、ドラヴァニア雲海の、バール・レス広場の修復に一役買った翼なのでちよ！あたくちは、そんなパパから新しい時代の竜詩を託されまちたの！			パパは、ドラヴァニア雲海の、バール・レス広場の修復に一役買った翼なのでちよ！あたくちは、そんなパパから新しい時代の竜詩を託されまちたの！			持たざる者たちの思い							
だからヒトの文化を知りたくて旅をしてまちたが、あるとき、怖いヒトの兵士に襲われちゃいまちたの。それを助けてくれたのが、マルセロアおじさんなんでちよ。			だからヒトの文化を知りたくて旅をしてまちたが、あるとき、怖いヒトの兵士に襲われちゃいまちたの。それを助けてくれたのが、マルセロアおじさんなんでちよ。			持たざる者たちの思い							
竜とヒトが仲直りしたって聞いたけど、まだ納得してないヒトもいるんだって、つくづく思いまちた。竜にも、そういう翼がいまちゅけど！			竜とヒトが仲直りしたって聞いたけど、まだ納得してないヒトもいるんだって、つくづく思いまちた。竜にも、そういう翼がいまちゅけど！			持たざる者たちの思い							
まぁ、でも、仕方ありまちぇんね。あたくちもまたヒトに捕まりたくないでちから、いまは「フランセル」のところへ帰ってあげるでちよ。			まぁ、でも、仕方ありまちぇんね。あたくちもまたヒトに捕まりたくないでちから、いまは「フランセル」のところへ帰ってあげるでちよ。			持たざる者たちの思い							
まったく、マルセロアおじさんったら、まだウジウジしてるでちか？			まったく、マルセロアおじさんったら、まだウジウジしてるでちか？			持たざる者たちの思い							
ありがとう、Forename。エル・トゥが帰ってきてくれて、本当によかったよ。			ありがとう、Forename。エル・トゥが帰ってきてくれて、本当によかったよ。			持たざる者たちの思い							
僕も、ここへきた住人へ、マルセロアやエル・トゥの話をしていたんだ。受け入れてくれたかというと、難しいけれど……。			僕も、ここへきた住人へ、マルセロアやエル・トゥの話をしていたんだ。受け入れてくれたかというと、難しいけれど……。			持たざる者たちの思い							
フランセル卿、ちょっと話がしたいんじゃが……。			フランセル卿、ちょっと話がしたいんじゃが……。			持たざる者たちの思い							
Forename、すまない。マルセロアとエル・トゥを連れて、少し離れたところにいてもらっていいかな？			Forename、すまない。マルセロアとエル・トゥを連れて、少し離れたところにいてもらっていいかな？			持たざる者たちの思い							
他の者に噂を聞いてきたんですが、この街にドラゴンがきたっていうのは……本当なんですね……。			他の者に噂を聞いてきたんですが、この街にドラゴンがきたっていうのは……本当なんですね……。			持たざる者たちの思い							
自分は、この戦争で負傷兵となりました。彼が「人」だとわかっていても、姿を見ると身がすくんで……ドラゴンにやられた背中の傷が痛むんです……。			自分は、この戦争で負傷兵となりました。彼が「人」だとわかっていても、姿を見ると身がすくんで……ドラゴンにやられた背中の傷が痛むんです……。			持たざる者たちの思い							
わしは、娘が異端者に殺された。融和と口でいうのは簡単じゃが……どうしても異端者なんぞを受け入れることはできん。			わしは、娘が異端者に殺された。融和と口でいうのは簡単じゃが……どうしても異端者なんぞを受け入れることはできん。			持たざる者たちの思い							
そうだね、僕も兄をドラゴンに殺された……。戦争が終わっても、融和政策に方向転換しても、身近な人を亡くしたり傷ついた気持ちが、癒えることはない。			そうだね、僕も兄をドラゴンに殺された……。戦争が終わっても、融和政策に方向転換しても、身近な人を亡くしたり傷ついた気持ちが、癒えることはない。			持たざる者たちの思い							
すぐに受け入れてほしいとは、僕も思わないよ。けれど、彼も僕らとなにも変わらない、イシュガルドの民だ。だから結論を急がず、少しだけ見守ってはくれないか？			すぐに受け入れてほしいとは、僕も思わないよ。けれど、彼も僕らとなにも変わらない、イシュガルドの民だ。だから結論を急がず、少しだけ見守ってはくれないか？			持たざる者たちの思い							
わかり、ました……。			わかり、ました……。			持たざる者たちの思い							
フランセル卿、すみません……。あなたも、あの人たちも、悲しい思いをしているのに、自分のせいで…………。			フランセル卿、すみません……。あなたも、あの人たちも、悲しい思いをしているのに、自分のせいで…………。			持たざる者たちの思い							
この国で、悲しい思いをしたことがない人なんていないよ。誰しも、胸の中に押し込んだ思いがあるはずだ。そしてそれは、キミも例外ではないだろう？			この国で、悲しい思いをしたことがない人なんていないよ。誰しも、胸の中に押し込んだ思いがあるはずだ。そしてそれは、キミも例外ではないだろう？			持たざる者たちの思い							
だから、よければだけど……キミがどうして異端者になったのか、聞かせてくれないか？あの人たちを説得するきっかけが、つかめるかもしれない。			だから、よければだけど……キミがどうして異端者になったのか、聞かせてくれないか？あの人たちを説得するきっかけが、つかめるかもしれない。			持たざる者たちの思い							
革細工師ギルド前のフランセルは、次の商談へ向かうようだ。			革細工師ギルド前のフランセルは、次の商談へ向かうようだ。			砂都への交易交渉							
フランセルと話し、次の商談に向かうことになった。ウルダハのルビーロード国際市場にいる「フランセル」と話そう。			フランセルと話し、次の商談に向かうことになった。ウルダハのルビーロード国際市場にいる「フランセル」と話そう。			砂都への交易交渉							
フランセルと話し、シャルルマン・ド・デュランデル伯爵を見守ってほしいと頼まれた。エメラルドアベニューの「指定地点」で見渡そう。			フランセルと話し、シャルルマン・ド・デュランデル伯爵を見守ってほしいと頼まれた。エメラルドアベニューの「指定地点」で見渡そう。			砂都への交易交渉							
シャルルマン・ド・デュランデル伯爵の窮地を救ったのは、諸国での対応に慣れているエマネランとオノロワだった。クイックサンドにいる「フランセル」に報告しよう。			シャルルマン・ド・デュランデル伯爵の窮地を救ったのは、諸国での対応に慣れているエマネランとオノロワだった。クイックサンドにいる「フランセル」に報告しよう。			砂都への交易交渉							
フランセルにエマネランが手助けしてくれた旨を伝えた。ウルダハの商談も無事に締結できそうなので、次の商談へも同行することにしよう。			フランセルにエマネランが手助けしてくれた旨を伝えた。ウルダハの商談も無事に締結できそうなので、次の商談へも同行することにしよう。			砂都への交易交渉							
ルビーロード国際市場のフランセルと話す			ルビーロード国際市場のフランセルと話す			砂都への交易交渉							
指定地点で待機			指定地点で待機			砂都への交易交渉							
フランセルと話す			フランセルと話す			砂都への交易交渉							
では、さっそく次の商談に向かいましょうか。先ほどのマイセンタさんとのお話で思い出しましたが、ウルダハは、商神ナルザルを守護神とする交易都市だそうですね！			では、さっそく次の商談に向かいましょうか。先ほどのマイセンタさんとのお話で思い出しましたが、ウルダハは、商神ナルザルを守護神とする交易都市だそうですね！			砂都への交易交渉							
ああ、それにかの国は王政であるという。この国と違い、血を重んじる礼儀をわきまえているはずだ。			ああ、それにかの国は王政であるという。この国と違い、血を重んじる礼儀をわきまえているはずだ。			砂都への交易交渉							
調べたところによると、ルビーロード国際市場という通りに、商店が集まっているようです。			調べたところによると、ルビーロード国際市場という通りに、商店が集まっているようです。			砂都への交易交渉							
飛空艇のランディングのほど近くにあり、利便性も高いようですね。			飛空艇のランディングのほど近くにあり、利便性も高いようですね。			砂都への交易交渉							
ふん、ではさっそく、その「ルビーロード国際市場」とやらに行くぞ。遅れるなよ……！			ふん、ではさっそく、その「ルビーロード国際市場」とやらに行くぞ。遅れるなよ……！			砂都への交易交渉							
あ、暑い……！！なんなのだこの暑さは……！！			あ、暑い……！！なんなのだこの暑さは……！！			砂都への交易交渉							
次の契約こそは……。			次の契約こそは……。			砂都への交易交渉							
なんて賑やかな通りなんだろう！見たことのない商品を扱っている店がいっぱいだ！！			なんて賑やかな通りなんだろう！見たことのない商品を扱っている店がいっぱいだ！！			砂都への交易交渉							
ふん、人が多くて雑然としている上に、年頃の娘たちが、あんなに肌をだして踊っているなんて！まったく、破廉恥極まりない……！			ふん、人が多くて雑然としている上に、年頃の娘たちが、あんなに肌をだして踊っているなんて！まったく、破廉恥極まりない……！			砂都への交易交渉							
だが、情報集めにはもってこいだな。ここらの小さな商店では話にならん。大商会についての情報を、集めようではないか。			だが、情報集めにはもってこいだな。ここらの小さな商店では話にならん。大商会についての情報を、集めようではないか。			砂都への交易交渉							
ああ、それにしても暑い！！私は通りをあたるから、貴殿らは酒場へ行くがよい！手分けをして、さっさと済ませるぞ！			ああ、それにしても暑い！！私は通りをあたるから、貴殿らは酒場へ行くがよい！手分けをして、さっさと済ませるぞ！			砂都への交易交渉							
ああ、勝手に決めて行っちゃった……。			ああ、勝手に決めて行っちゃった……。			砂都への交易交渉							
Forename、申し訳ないんだけど……。デュランデル伯爵のことを見守ってくれないかな？グリダニアの件もあって、ちょっと不安なんだ。			Forename、申し訳ないんだけど……。デュランデル伯爵のことを見守ってくれないかな？グリダニアの件もあって、ちょっと不安なんだ。			砂都への交易交渉							
僕らはずっと皇都で暮らしてきたから……その常識が通じないことも、多くあると思う。それをデュランデル伯爵はちょっと……解しかねてるみたいだ。			僕らはずっと皇都で暮らしてきたから……その常識が通じないことも、多くあると思う。それをデュランデル伯爵はちょっと……解しかねてるみたいだ。			砂都への交易交渉							
僕はクイックサンドで情報収集してみるよ。キミは「エメラルドアベニュー」で、少し離れたところから、伯爵を見守ってくれないかな？			僕はクイックサンドで情報収集してみるよ。キミは「エメラルドアベニュー」で、少し離れたところから、伯爵を見守ってくれないかな？			砂都への交易交渉							
なんか、こう……みんな目がギラギラしている気がするよ……。			なんか、こう……みんな目がギラギラしている気がするよ……。			砂都への交易交渉							
どこかに、ここらの事情を知っていそうな者はいないか……。			どこかに、ここらの事情を知っていそうな者はいないか……。			砂都への交易交渉							
貴様が情報屋だな？イシュガルドと対等に取引の行える、良識のある大商会を知っていたら教えてくれ。			貴様が情報屋だな？イシュガルドと対等に取引の行える、良識のある大商会を知っていたら教えてくれ。			砂都への交易交渉							
もちろん喜んで教えてやるぜ！それで……この情報に、いくら支払えるんだ？			もちろん喜んで教えてやるぜ！それで……この情報に、いくら支払えるんだ？			砂都への交易交渉							
なに、金をとるのか！？			なに、金をとるのか！？			砂都への交易交渉							
…………ははーん。オッサンさては、ここらの者じゃねぇな？ウルダハでもっとも高い値がつくのは「情報」だ。			…………ははーん。オッサンさては、ここらの者じゃねぇな？ウルダハでもっとも高い値がつくのは「情報」だ。			砂都への交易交渉							
信用のたる商会の情報なんて、そりゃあ誰でも知りたいさ。だから俺は、出した金に釣りあった情報をやる。さあ、オッサンはいくら出す？			信用のたる商会の情報なんて、そりゃあ誰でも知りたいさ。だから俺は、出した金に釣りあった情報をやる。さあ、オッサンはいくら出す？			砂都への交易交渉							
(-？？？？-)ここはオレに任せな、相棒。			(-？？？？-)ここはオレに任せな、相棒。			砂都への交易交渉							
やあやあ、情報屋の兄弟！世話になってるな！			やあやあ、情報屋の兄弟！世話になってるな！			砂都への交易交渉							
おっと、エマネランじゃないか！そろそろ皇都の噂話を仕入れたいと思っていたんだよな！それとも、ウルダハ社交界を切り抜ける「情報」をご所望かい？			おっと、エマネランじゃないか！そろそろ皇都の噂話を仕入れたいと思っていたんだよな！それとも、ウルダハ社交界を切り抜ける「情報」をご所望かい？			砂都への交易交渉							
いいや、今日はちょっとな。ただ、情報屋の兄弟が無謀な相手にふっかけようとしてるのは、親切心から、止めてやらないとと思ってさ。			いいや、今日はちょっとな。ただ、情報屋の兄弟が無謀な相手にふっかけようとしてるのは、親切心から、止めてやらないとと思ってさ。			砂都への交易交渉							
このお方は、陰謀と確執渦巻くイシュガルドの貴族社会で、幅をきかせていた名門中の名門貴族のご当主様だ。うかつにふっかけると、あとで痛い目を見ることになるぜ。			このお方は、陰謀と確執渦巻くイシュガルドの貴族社会で、幅をきかせていた名門中の名門貴族のご当主様だ。うかつにふっかけると、あとで痛い目を見ることになるぜ。			砂都への交易交渉							
あっちでは英雄殿も、目を光らせていることだしな。			あっちでは英雄殿も、目を光らせていることだしな。			砂都への交易交渉							
おお、怖い怖い。俺の信条は「危うきに近寄らず」。このあたりで失礼させてもらった方がよさそうだ。			おお、怖い怖い。俺の信条は「危うきに近寄らず」。このあたりで失礼させてもらった方がよさそうだ。			砂都への交易交渉							
おう！今度改めて、個人的に顔を出すよ。またな、情報屋の兄弟！			おう！今度改めて、個人的に顔を出すよ。またな、情報屋の兄弟！			砂都への交易交渉							
いよォ、相棒！デュランデル伯爵に加えて、お前にまで会えるなんて、今日はいったい、どうなってるんだ？			いよォ、相棒！デュランデル伯爵に加えて、お前にまで会えるなんて、今日はいったい、どうなってるんだ？			砂都への交易交渉							
フォルタンのところの次男坊め、さては私の手柄を横取りする気だな？			フォルタンのところの次男坊め、さては私の手柄を横取りする気だな？			砂都への交易交渉							
デュランデル伯爵閣下、自分にはなんのことかわかりませんが……。			デュランデル伯爵閣下、自分にはなんのことかわかりませんが……。			砂都への交易交渉							
この国の情報屋や商人たちは、したたかで、口も頭も回る奴らばかりです。事情に疎いと思われると、すぐにいいカモにされてしまいます。			この国の情報屋や商人たちは、したたかで、口も頭も回る奴らばかりです。事情に疎いと思われると、すぐにいいカモにされてしまいます。			砂都への交易交渉							
…………ふん。			…………ふん。			砂都への交易交渉							
それで、なんで相棒が、伯爵閣下と連れだってウルダハなんかにいるんだ？情報屋から、何を聞き出そうとしていたんだよ？			それで、なんで相棒が、伯爵閣下と連れだってウルダハなんかにいるんだ？情報屋から、何を聞き出そうとしていたんだよ？			砂都への交易交渉							
ほう……蒼天街に出店する商会か……。それなら、最初からオレを頼ってくれたらよかったのに。つれないぜ、相棒！			ほう……蒼天街に出店する商会か……。それなら、最初からオレを頼ってくれたらよかったのに。つれないぜ、相棒！			砂都への交易交渉							
最近、兄貴から「その社交力を活かせ」って言われてな。公務を手伝う傍ら、諸国の社交界に積極的に顔を出して、情報を集めたり根回ししたりと、走りまわってるのさ。			最近、兄貴から「その社交力を活かせ」って言われてな。公務を手伝う傍ら、諸国の社交界に積極的に顔を出して、情報を集めたり根回ししたりと、走りまわってるのさ。			砂都への交易交渉							
ほら、前にも一度、ウルダハ王家主催の舞踏会に行くときに、ばったり出くわしたことがあったろ？			ほら、前にも一度、ウルダハ王家主催の舞踏会に行くときに、ばったり出くわしたことがあったろ？			砂都への交易交渉							
だからイシュガルドへの進出に意欲がありそうな、素性が明らかな商人にも、何人か心当たりがあるってわけ。			だからイシュガルドへの進出に意欲がありそうな、素性が明らかな商人にも、何人か心当たりがあるってわけ。			砂都への交易交渉							
相棒が関わってるってんなら、そいつらに声をかけて、出店するよう頼んどくよ。			相棒が関わってるってんなら、そいつらに声をかけて、出店するよう頼んどくよ。			砂都への交易交渉							
だからさ、フランセルに……オレ様が大活躍したことをラニエットに報告するように、伝えておいてくれよな！			だからさ、フランセルに……オレ様が大活躍したことをラニエットに報告するように、伝えておいてくれよな！			砂都への交易交渉							
エマネラン様が不利な取引に署名しないよう、契約書には僕が、よく目を通しておきます、はい。あとから契約書を持って、蒼天街へお伺いしますね。			エマネラン様が不利な取引に署名しないよう、契約書には僕が、よく目を通しておきます、はい。あとから契約書を持って、蒼天街へお伺いしますね。			砂都への交易交渉							
じゃあ、オレはこれで失礼するぜ！			じゃあ、オレはこれで失礼するぜ！			砂都への交易交渉							
放蕩息子と聞いていたが、少し見ないうちに頼もしくなったようだな……。			放蕩息子と聞いていたが、少し見ないうちに頼もしくなったようだな……。			砂都への交易交渉							
