潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
ほかの国から連れてきた貴重な動物を探して……なんてお願いしたら、どこかに売られてしまったでしょう。もちろん、お客様を悪く言うつもりなんてないんだけど……。			ほかの国から連れてきた貴重な動物を探して……なんてお願いしたら、どこかに売られてしまったでしょう。もちろん、お客様を悪く言うつもりなんてないんだけど……。			姿見の街							
私は、そんな方の相手をしてきたからこそ、あなたが信用できる人だって、一目でわかったわ。			私は、そんな方の相手をしてきたからこそ、あなたが信用できる人だって、一目でわかったわ。			姿見の街							
この町は、人の欲望を写す鏡のようなもの。あなたのような人には、素敵な思い出を残してくれるはずよ。これが報酬ね、今後ともご贔屓に。			この町は、人の欲望を写す鏡のようなもの。あなたのような人には、素敵な思い出を残してくれるはずよ。これが報酬ね、今後ともご贔屓に。			姿見の街							
潮風亭のコウジン族の下働きは、周囲をキョロキョロと見渡している。			潮風亭のコウジン族の下働きは、周囲をキョロキョロと見渡している。			お得意様クレナイ							
碧のタマミズでアウラ・スイの女官と話す			碧のタマミズでアウラ・スイの女官と話す			お得意様クレナイ							
お～や～……その物腰、さては冒険者だろぉ～。君、Forenameって人を知らないかい～？			お～や～……その物腰、さては冒険者だろぉ～。君、Forenameって人を知らないかい～？			お得意様クレナイ							
おお～、君がそうかぁ～！　こいつは運が良かったよぉ～。紫水宮の……えっと「女官」とかいう人に頼まれてぇ～、君を探してたんだぁ～！			おお～、君がそうかぁ～！　こいつは運が良かったよぉ～。紫水宮の……えっと「女官」とかいう人に頼まれてぇ～、君を探してたんだぁ～！			お得意様クレナイ							
僕ら碧甲羅のコウジン族は、アウラ・スイの依頼を受けてぇ～、今、彼らに協力しているんだけどさぁ～。ちょっと困っちゃってるんだよねぇ～。			僕ら碧甲羅のコウジン族は、アウラ・スイの依頼を受けてぇ～、今、彼らに協力しているんだけどさぁ～。ちょっと困っちゃってるんだよねぇ～。			お得意様クレナイ							
それで、その女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			それで、その女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			お得意様クレナイ							
アウラ・スイの女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			アウラ・スイの女官が、君の手を借りたいって言ってるんだぁ～。よければ、「碧のタマミズ」まで来ておくれよぉ～。			お得意様クレナイ							
ん、その身なり……さてはエオルゼア人か！ってことは、アンタがForenameだな？			ん、その身なり……さてはエオルゼア人か！ってことは、アンタがForenameだな？			お得意様クレナイ							
ああ、Forename様……！良かった、あなた様との縁は切れていなかったのですね……。			ああ、Forename様……！良かった、あなた様との縁は切れていなかったのですね……。			お得意様クレナイ							
あら……もしや女官のヒスイが変装した姿かと、お疑いで？こうして女官の衣装に扮しておりますが、私は正真正銘、アウラ・スイを統べる「紅玉姫」のクレナイにございます。			あら……もしや女官のヒスイが変装した姿かと、お疑いで？こうして女官の衣装に扮しておりますが、私は正真正銘、アウラ・スイを統べる「紅玉姫」のクレナイにございます。			お得意様クレナイ							
何と言う？			何と言う？			お得意様クレナイ							
何故、ここに？			何故、ここに？			お得意様クレナイ							
紫水宮を離れていいの？			紫水宮を離れていいの？			お得意様クレナイ							
碧甲羅の手をお借りして、成そうとしていることがあるのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			碧甲羅の手をお借りして、成そうとしていることがあるのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			お得意様クレナイ							
禁を破ってでも、成し遂げたいことができたのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			禁を破ってでも、成し遂げたいことができたのです。それは、スイの民を「外」との交わりへ導くという、私たちの生き方、そのものを変える改革……！			お得意様クレナイ							
きっかけは、あなた様との旅路でした……。里を出て、見聞きした知識や品々に、私は驚かされ、そして有益さを思い知ったのです。			きっかけは、あなた様との旅路でした……。里を出て、見聞きした知識や品々に、私は驚かされ、そして有益さを思い知ったのです。			お得意様クレナイ							
ご存知のとおり、現在スイの里は、陸とは断絶状態。ドマが帝国に占領される前は、多少の交流もあったようですが、今では、碧のタマミズからわずかな必需品を輸入している程度……。			ご存知のとおり、現在スイの里は、陸とは断絶状態。ドマが帝国に占領される前は、多少の交流もあったようですが、今では、碧のタマミズからわずかな必需品を輸入している程度……。			お得意様クレナイ							
しかし、紅玉海から帝国の影が消えた今こそ、閉鎖的だったスイの里を「外」へと開いていくべきと考えたのです。ただ、問題もありまして……。			しかし、紅玉海から帝国の影が消えた今こそ、閉鎖的だったスイの里を「外」へと開いていくべきと考えたのです。ただ、問題もありまして……。			お得意様クレナイ							
紅玉姫といえど、強引にことを進めりゃ反発する奴も出てくる。開国をこばむ保守的層の理解を得るために、姉ちゃん兄ちゃんの協力が必要……って話だろ？			紅玉姫といえど、強引にことを進めりゃ反発する奴も出てくる。開国をこばむ保守的層の理解を得るために、姉ちゃん兄ちゃんの協力が必要……って話だろ？			お得意様クレナイ							
よう、こんな海底でエオルゼア人に会えるとはね。アタシは、サナナ……ロウェナ商会の者だっていやあ、それ以上の自己紹介は不要だよな？			よう、こんな海底でエオルゼア人に会えるとはね。アタシは、サナナ……ロウェナ商会の者だっていやあ、それ以上の自己紹介は不要だよな？			お得意様クレナイ							
ご紹介いたしましょう、彼女はサナナさん。ロウェナ商会なる組織の新人で、東方交易に向かう船が難破し、漂流しているところを、里の民が助け出したのです。			ご紹介いたしましょう、彼女はサナナさん。ロウェナ商会なる組織の新人で、東方交易に向かう船が難破し、漂流しているところを、里の民が助け出したのです。			お得意様クレナイ							
ま、命を救ってくれた礼に、アタシも一肌脱ごうと思ってね！クレナイの、開国という目標に協力させてもらってんのさ。			ま、命を救ってくれた礼に、アタシも一肌脱ごうと思ってね！クレナイの、開国という目標に協力させてもらってんのさ。			お得意様クレナイ							
彼女の意見は、とても新鮮でした。里の暮らしを助ける品を「外」から取り入れて民に届け、その実利から、開国の利点を訴えたらどうか……と。			彼女の意見は、とても新鮮でした。里の暮らしを助ける品を「外」から取り入れて民に届け、その実利から、開国の利点を訴えたらどうか……と。			お得意様クレナイ							
たしかに、理念や道理を説かれるよりも、日々の暮らしに直結した品々を取り入れるほうが、民にとっても、改革の利を実感しやすいでしょう……！			たしかに、理念や道理を説かれるよりも、日々の暮らしに直結した品々を取り入れるほうが、民にとっても、改革の利を実感しやすいでしょう……！			お得意様クレナイ							
幸い、しばらくは大きな儀式もありません。そのため、宮司のシオサイと、ヒスイにわがままを言い、姫の代役をヒスイに託し、活動を開始したのですが……。			幸い、しばらくは大きな儀式もありません。そのため、宮司のシオサイと、ヒスイにわがままを言い、姫の代役をヒスイに託し、活動を開始したのですが……。			お得意様クレナイ							
船が難破したせいで、アタシも手元にいい品がなくてねえ。碧甲羅の協力を得ながら、スイの里に供給する品を、確保しようと奮闘してるものの……芳しくないのが実情さ。			船が難破したせいで、アタシも手元にいい品がなくてねえ。碧甲羅の協力を得ながら、スイの里に供給する品を、確保しようと奮闘してるものの……芳しくないのが実情さ。			お得意様クレナイ							
そこで、広く世界を知るあなた様の力を、ふたたび頼らせていただければと思い、探していたのです。サナナさんいわく、あなた様は腕利きの職人でもあるとか……。			そこで、広く世界を知るあなた様の力を、ふたたび頼らせていただければと思い、探していたのです。サナナさんいわく、あなた様は腕利きの職人でもあるとか……。			お得意様クレナイ							
Forenameの名は、ロウェナ商会じゃお馴染みさ。冒険者としてはもちろん、職人としても凄腕なのはよく知ってる。			Forenameの名は、ロウェナ商会じゃお馴染みさ。冒険者としてはもちろん、職人としても凄腕なのはよく知ってる。			お得意様クレナイ							
難破船から、多少の物資は持ち出せた。報酬がほしけりゃ、アタシがスクリップで支払ってやるから、どうか、クレナイの計画に協力してくれないかい？			難破船から、多少の物資は持ち出せた。報酬がほしけりゃ、アタシがスクリップで支払ってやるから、どうか、クレナイの計画に協力してくれないかい？			お得意様クレナイ							
……なに、そんな警戒しなさんな。ロウェナ商会の者だって、恩義を理由に行動することもあるのさ。			……なに、そんな警戒しなさんな。ロウェナ商会の者だって、恩義を理由に行動することもあるのさ。			お得意様クレナイ							
それに、アンタだって里の様子は見ただろう？自給自足を誇っちゃいるが、実際は限界まで切り詰めてるだけ。この暮らしで、うしなう命も結構なもんだそうだ……。			それに、アンタだって里の様子は見ただろう？自給自足を誇っちゃいるが、実際は限界まで切り詰めてるだけ。この暮らしで、うしなう命も結構なもんだそうだ……。			お得意様クレナイ							
すべてを外の世界と同様にすべきだとは思わないがね。商売……つまり、品物のやり取りを通じて消せる不幸ってのも、世の中にはあるのさ。			すべてを外の世界と同様にすべきだとは思わないがね。商売……つまり、品物のやり取りを通じて消せる不幸ってのも、世の中にはあるのさ。			お得意様クレナイ							
ああ、ありがとうございます……！おふたりのおかげで、まだ希望を捨てずにすみそうです。			ああ、ありがとうございます……！おふたりのおかげで、まだ希望を捨てずにすみそうです。			お得意様クレナイ							
さーて、そうと決まれば、さっそく動き出そうぜ！実際問題、あまり時間も残されていなくてね、そうなんだろ？			さーて、そうと決まれば、さっそく動き出そうぜ！実際問題、あまり時間も残されていなくてね、そうなんだろ？			お得意様クレナイ							
ええ……この季節になると、スイの里では、流行り病が広がって、犠牲者が出ることも少なくないんです。ただ、これといった特効薬が東方地域にはなく……。			ええ……この季節になると、スイの里では、流行り病が広がって、犠牲者が出ることも少なくないんです。ただ、これといった特効薬が東方地域にはなく……。			お得意様クレナイ							
症例を聞いたかぎりじゃ、特定の栄養が足りてないのが問題らしい。ギラバニアに伝わる滋養強壮に優れた薬茶なんかを使えば、病の流行そのものを防げるかもしれないんだ。			症例を聞いたかぎりじゃ、特定の栄養が足りてないのが問題らしい。ギラバニアに伝わる滋養強壮に優れた薬茶なんかを使えば、病の流行そのものを防げるかもしれないんだ。			お得意様クレナイ							
ですから、まずは、その「ギラバニア医薬品」を、調達してきていただけますでしょうか……。これから、どうぞよろしくお願いいたします。			ですから、まずは、その「ギラバニア医薬品」を、調達してきていただけますでしょうか……。これから、どうぞよろしくお願いいたします。			お得意様クレナイ							
異人街の東アルデナード商会の手代は、一騎当千の猛者を求めているようだ。			異人街の東アルデナード商会の手代は、一騎当千の猛者を求めているようだ。			悪党成敗 クガネ城							
クガネの政治の中枢である「クガネ城」が占拠されたらしい。人質を救出するため、赤誠組と連携して賊を討伐してほしいと頼まれた。クガネの楽座街で「赤誠組の隊士」と話そう。			クガネの政治の中枢である「クガネ城」が占拠されたらしい。人質を救出するため、赤誠組と連携して賊を討伐してほしいと頼まれた。クガネの楽座街で「赤誠組の隊士」と話そう。			悪党成敗 クガネ城							
首謀者である代官は、相当腕のたつ「用心棒」を雇ったらしい。地下水路から「クガネ城」に潜入し、敵を打ち倒そう。※コンテンツファインダーから攻略に参加できます。			首謀者である代官は、相当腕のたつ「用心棒」を雇ったらしい。地下水路から「クガネ城」に潜入し、敵を打ち倒そう。※コンテンツファインダーから攻略に参加できます。			悪党成敗 クガネ城							
「悪党成敗 クガネ城」を攻略した。異人街の「東アルデナード商会の手代」に報告しよう。			「悪党成敗 クガネ城」を攻略した。異人街の「東アルデナード商会の手代」に報告しよう。			悪党成敗 クガネ城							
捕らえられていた要人の親族というのは、ロロリトの姪リリジュだった。自身の旅を本にするつもりだというリリジュは、いかなる苦難にも負けない決意とともに、次の目的地へと旅だっていった。			捕らえられていた要人の親族というのは、ロロリトの姪リリジュだった。自身の旅を本にするつもりだというリリジュは、いかなる苦難にも負けない決意とともに、次の目的地へと旅だっていった。			悪党成敗 クガネ城							
赤誠組の隊士と話す			赤誠組の隊士と話す			悪党成敗 クガネ城							
「悪党成敗 クガネ城」を攻略			「悪党成敗 クガネ城」を攻略			悪党成敗 クガネ城							
東アルデナード商会の手代に報告			東アルデナード商会の手代に報告			悪党成敗 クガネ城							
Forename様、お会いできてよかった……！あなた様に依頼したい案件があるのです。			Forename様、お会いできてよかった……！あなた様に依頼したい案件があるのです。			悪党成敗 クガネ城							
それというのも、まだ表沙汰にはなっていないのですが……実は現在、この街の中心にそびえる「クガネ城」が、不逞浪士によって占拠されてしまったのです！			それというのも、まだ表沙汰にはなっていないのですが……実は現在、この街の中心にそびえる「クガネ城」が、不逞浪士によって占拠されてしまったのです！			悪党成敗 クガネ城							
犯人は、異人の入国を快く思わない保守系の過激派。舞の催しに招かれていた賓客と、クガネ奉行を人質に取り、幕府に対して、クガネの閉港を求めているのだとか……。			犯人は、異人の入国を快く思わない保守系の過激派。舞の催しに招かれていた賓客と、クガネ奉行を人質に取り、幕府に対して、クガネの閉港を求めているのだとか……。			悪党成敗 クガネ城							
もちろん、赤誠組も事態の対処に動いていますが……。この港の最高責任者である、クガネ奉行を人質に取られて、彼らも、思うように身動きが取れない様子。			もちろん、赤誠組も事態の対処に動いていますが……。この港の最高責任者である、クガネ奉行を人質に取られて、彼らも、思うように身動きが取れない様子。			悪党成敗 クガネ城							
ここクガネは、幕府が直轄する天領……。クガネ奉行より高位の上役となると、紅洲(コウシュウ)の都、「ブキョウ」の要人たちに伺いを立てねばなりません。			ここクガネは、幕府が直轄する天領……。クガネ奉行より高位の上役となると、紅洲(コウシュウ)の都、「ブキョウ」の要人たちに伺いを立てねばなりません。			悪党成敗 クガネ城							
これに対し、幕府は大々的な突入作戦を拒否……。赤誠組に待機を命じつつ、我が商館に使者を送ってきたのです。			これに対し、幕府は大々的な突入作戦を拒否……。赤誠組に待機を命じつつ、我が商館に使者を送ってきたのです。			悪党成敗 クガネ城							
何故、幕府が私どもに使者をよこしたのかが不思議ですか？……実は、捕らえられた人質の中には、さるウルダハの要人のご親族もいらっしゃるのですよ……！			何故、幕府が私どもに使者をよこしたのかが不思議ですか？……実は、捕らえられた人質の中には、さるウルダハの要人のご親族もいらっしゃるのですよ……！			悪党成敗 クガネ城							
幕府としても、異国の賓客を傷つけたくはありません。私どもへの通達も、こちら側の協力を望んでのこと……。赤誠組からも、連携の要請が届いております。			幕府としても、異国の賓客を傷つけたくはありません。私どもへの通達も、こちら側の協力を望んでのこと……。赤誠組からも、連携の要請が届いております。			悪党成敗 クガネ城							
あと必要なのは、少数での秘密任務を完遂できる猛者……。どうか、「クガネ城」に立てこもった賊を退治して、要人のご親族を救出していただけませんでしょうか。			あと必要なのは、少数での秘密任務を完遂できる猛者……。どうか、「クガネ城」に立てこもった賊を退治して、要人のご親族を救出していただけませんでしょうか。			悪党成敗 クガネ城							
「クガネ城」への潜入経路は、赤誠組が確保しています。楽座街にある地下水路に立つ「赤誠組の隊士」から、人質奪還の手はずをお聞きください。			「クガネ城」への潜入経路は、赤誠組が確保しています。楽座街にある地下水路に立つ「赤誠組の隊士」から、人質奪還の手はずをお聞きください。			悪党成敗 クガネ城							
人質の救出に、どうかご協力をお願いいたします……。楽座街にある地下水路に立つ「赤誠組の隊士」から、人質奪還の手はずをお聞きください。			人質の救出に、どうかご協力をお願いいたします……。楽座街にある地下水路に立つ「赤誠組の隊士」から、人質奪還の手はずをお聞きください。			悪党成敗 クガネ城							
そなたが、ウルダハ商館の依頼を受けた冒険者か。巻き込んでしまってすまんが、どうかよろしく頼む。どうにも、厄介な事態になってしまっていてな……。			そなたが、ウルダハ商館の依頼を受けた冒険者か。巻き込んでしまってすまんが、どうかよろしく頼む。どうにも、厄介な事態になってしまっていてな……。			悪党成敗 クガネ城							
クガネ城を占拠した一派の首魁は、「カゲヤマ」という豪商。こやつ自体は、国内での商いが脅かされるのを嫌うだけの、たわいない小悪党だ。			クガネ城を占拠した一派の首魁は、「カゲヤマ」という豪商。こやつ自体は、国内での商いが脅かされるのを嫌うだけの、たわいない小悪党だ。			悪党成敗 クガネ城							
敵が、カゲヤマとその子飼いだけだったなら、赤誠組のみでも、掃討することは可能であったろう……。			敵が、カゲヤマとその子飼いだけだったなら、赤誠組のみでも、掃討することは可能であったろう……。			悪党成敗 クガネ城							
問題だったのは、カゲヤマの雇った「用心棒」だ。我らが得た情報によると、相当な剛の者のようでな……。要求する報酬も法外なものの、その額に見合う実力者らしい。			問題だったのは、カゲヤマの雇った「用心棒」だ。我らが得た情報によると、相当な剛の者のようでな……。要求する報酬も法外なものの、その額に見合う実力者らしい。			悪党成敗 クガネ城							
この水路を通じて進めば、城内の井戸に出られる。そなたには、カゲヤマと「用心棒」の相手を頼みたい。その間に、我ら赤誠組が人質を救出しよう。			この水路を通じて進めば、城内の井戸に出られる。そなたには、カゲヤマと「用心棒」の相手を頼みたい。その間に、我ら赤誠組が人質を救出しよう。			悪党成敗 クガネ城							
異国のイザコザに巻き込んでしまい、すまない……。人質救出のため、どうか力を貸してくれ……！			異国のイザコザに巻き込んでしまい、すまない……。人質救出のため、どうか力を貸してくれ……！			悪党成敗 クガネ城							
「クガネ城」に立てこもった賊を退治して、どうか、要人のご親族を救出してください……。			「クガネ城」に立てこもった賊を退治して、どうか、要人のご親族を救出してください……。			悪党成敗 クガネ城							
敵が雇った「用心棒」には気をつけろよ……。我らが得た情報によると、相当な剛の者らしい……。			敵が雇った「用心棒」には気をつけろよ……。我らが得た情報によると、相当な剛の者らしい……。			悪党成敗 クガネ城							
赤誠組より、人質救出に成功との報をいただいております。ご協力、誠にありがとうございました！恩賞は充分に用意させていただきましょう。			赤誠組より、人質救出に成功との報をいただいております。ご協力、誠にありがとうございました！恩賞は充分に用意させていただきましょう。			悪党成敗 クガネ城							
事件の首謀者「カゲヤマ」も、赤誠組に捕縛されたそうです。敵が雇った「用心棒」こそ、逃走したようですが……「金の切れ目が縁の切れ目」ということでしょう。			事件の首謀者「カゲヤマ」も、赤誠組に捕縛されたそうです。敵が雇った「用心棒」こそ、逃走したようですが……「金の切れ目が縁の切れ目」ということでしょう。			悪党成敗 クガネ城							
人質のクガネ奉行、ウルダハの要人のご親族も無事に……。…………おや？			人質のクガネ奉行、ウルダハの要人のご親族も無事に……。…………おや？			悪党成敗 クガネ城							
おお、冒険者殿もこちらにおったか！人質とされていた、砂蠍衆ロロリト殿の姪御様……「リリジュ」嬢を、送りとどけにまいった！			おお、冒険者殿もこちらにおったか！人質とされていた、砂蠍衆ロロリト殿の姪御様……「リリジュ」嬢を、送りとどけにまいった！			悪党成敗 クガネ城							
あなたが、私を救出してくださった、冒険者Forename Surname様ですね……。そのお名前、伯父のロロリトからよく聞かされておりました。			あなたが、私を救出してくださった、冒険者Forename Surname様ですね……。そのお名前、伯父のロロリトからよく聞かされておりました。			悪党成敗 クガネ城							
私は、紀行作家を生業としております。クガネを訪れたのも、この地に滞在して見聞きしたものを、旅行記として記すためでした。			私は、紀行作家を生業としております。クガネを訪れたのも、この地に滞在して見聞きしたものを、旅行記として記すためでした。			悪党成敗 クガネ城							
この国の独特な文化や風習について学ぶはずが、まさか、このような事件に巻き込まれてしまうなんて……。危険な任務に挑んでくださり、感謝の念に堪えません。			この国の独特な文化や風習について学ぶはずが、まさか、このような事件に巻き込まれてしまうなんて……。危険な任務に挑んでくださり、感謝の念に堪えません。			悪党成敗 クガネ城							
リリジュ様、今回は運良く救援を要請できましたが、今後も、幸運がつづくと考えるのは危険です。ロロリト様も心配しておられますので、どうか……。			リリジュ様、今回は運良く救援を要請できましたが、今後も、幸運がつづくと考えるのは危険です。ロロリト様も心配しておられますので、どうか……。			悪党成敗 クガネ城							
いいえ、私はまだウルダハへは帰れません……！このまま旅行記を書けば、ひんがしの国に関する記述は、此度の事件に関することのみになってしまう……。			いいえ、私はまだウルダハへは帰れません……！このまま旅行記を書けば、ひんがしの国に関する記述は、此度の事件に関することのみになってしまう……。			悪党成敗 クガネ城							
そのような記述を他国の者が読んだら、ひんがしの国は、野蛮で危険な国だと誤解されてしまいます。でも、それは一部の側面でしかないでしょう？			そのような記述を他国の者が読んだら、ひんがしの国は、野蛮で危険な国だと誤解されてしまいます。でも、それは一部の側面でしかないでしょう？			悪党成敗 クガネ城							
策謀や対立は、どの国にだってありますわ。我が国ウルダハでも、一部権力者の「暴走」により、冒険者様が、被害を被ったこともありましたね……？			策謀や対立は、どの国にだってありますわ。我が国ウルダハでも、一部権力者の「暴走」により、冒険者様が、被害を被ったこともありましたね……？			悪党成敗 クガネ城							
お、仰ることはもっともでございますが……。やはり、女性のひとり旅というのは……。			お、仰ることはもっともでございますが……。やはり、女性のひとり旅というのは……。			悪党成敗 クガネ城							
私の目標は、女性がひとりで気軽に旅ができる世をつくること。その先駆けとなる旅行記をつくるためにも、ひとり旅でなければ、駄目なのですよ。			私の目標は、女性がひとりで気軽に旅ができる世をつくること。その先駆けとなる旅行記をつくるためにも、ひとり旅でなければ、駄目なのですよ。			悪党成敗 クガネ城							
……ロロリトの伯父様が、護衛をつけたがっているのでしょう？でも、そのお願いは聞けません。伯父様には、そうお伝えください。			……ロロリトの伯父様が、護衛をつけたがっているのでしょう？でも、そのお願いは聞けません。伯父様には、そうお伝えください。			悪党成敗 クガネ城							
……では、せめて旅の終わりには、どうか商館へお立ち寄りを。あなた様の、旅の安全を願っているのは、ロロリト様だけではありませんので……。			……では、せめて旅の終わりには、どうか商館へお立ち寄りを。あなた様の、旅の安全を願っているのは、ロロリト様だけではありませんので……。			悪党成敗 クガネ城							
ええ、もちろん……。たくさんのお土産話と一緒に、ここへ戻ってきますわ。			ええ、もちろん……。たくさんのお土産話と一緒に、ここへ戻ってきますわ。			悪党成敗 クガネ城							
あなたのおかげで、旅をつづけることができます。旅を終えたら、此度のあなたとの出会いのことを、きっと、旅行記に書かせていただきますね！			あなたのおかげで、旅をつづけることができます。旅を終えたら、此度のあなたとの出会いのことを、きっと、旅行記に書かせていただきますね！			悪党成敗 クガネ城							
クガネのケイセツは、異国の旅人に頼みたいことがあるようだ。			クガネのケイセツは、異国の旅人に頼みたいことがあるようだ。			一人前の商売人							
異国の客を探し、呉服屋のチラシを渡す			異国の客を探し、呉服屋のチラシを渡す			一人前の商売人							
ケイセツに報告			ケイセツに報告			一人前の商売人							
あ、あの……あなた、異国からいらっしゃった方ですか？それなら、お手伝いしていただきたいことがあるのですが、話だけでも聞いていただけませんか。			あ、あの……あなた、異国からいらっしゃった方ですか？それなら、お手伝いしていただきたいことがあるのですが、話だけでも聞いていただけませんか。			一人前の商売人							
私は、さる商家の奉公人で、名をケイセツと申します。特売の絹を宣伝するため、チラシを配る仕事を任されたのですが、なかなか受け取ってもらえないのです……。			私は、さる商家の奉公人で、名をケイセツと申します。特売の絹を宣伝するため、チラシを配る仕事を任されたのですが、なかなか受け取ってもらえないのです……。			一人前の商売人							
異国からいらした方に、絹を売りたいのに……。でも、同じように外から来たあなたからなら、受け取っていただけるかもしれません！			異国からいらした方に、絹を売りたいのに……。でも、同じように外から来たあなたからなら、受け取っていただけるかもしれません！			一人前の商売人							
「呉服屋のチラシ」を6枚ほど、クガネを訪れている、「異国のお客様」に配っていただけませんか？どうか、お願いいたします。			「呉服屋のチラシ」を6枚ほど、クガネを訪れている、「異国のお客様」に配っていただけませんか？どうか、お願いいたします。			一人前の商売人							
「呉服屋のチラシ」を6枚、クガネを訪れている、「異国のお客様」に配っていただけませんか？どうか、お願いいたします。			「呉服屋のチラシ」を6枚、クガネを訪れている、「異国のお客様」に配っていただけませんか？どうか、お願いいたします。			一人前の商売人							
ん？　俺に何か用か？			ん？　俺に何か用か？			一人前の商売人							
このチラシ、どっかで見たことあるな。ひょっとして、小さな子どもが配ってたやつか。何かの遊びだと思ってたけど……。			このチラシ、どっかで見たことあるな。ひょっとして、小さな子どもが配ってたやつか。何かの遊びだと思ってたけど……。			一人前の商売人							
ここに書いてあるとおりなら、絹の質は良さそうだな。後で店に行って覗いてみるか。アンタ、ありがとよ。			ここに書いてあるとおりなら、絹の質は良さそうだな。後で店に行って覗いてみるか。アンタ、ありがとよ。			一人前の商売人							
あら、何かご用でしょうか？			あら、何かご用でしょうか？			一人前の商売人							
このチラシ……港で子どもが配ってたものでしょ。商品は気になっていたけど、買う気はないわ。			このチラシ……港で子どもが配ってたものでしょ。商品は気になっていたけど、買う気はないわ。			一人前の商売人							
あんな小さな子を働かせるなんて、クガネの人は、どういうつもりなのかしら。			あんな小さな子を働かせるなんて、クガネの人は、どういうつもりなのかしら。			一人前の商売人							
なんだ？　私は今、忙しいんだ。まったく……クガネってやつは、せわしない街だな。			なんだ？　私は今、忙しいんだ。まったく……クガネってやつは、せわしない街だな。			一人前の商売人							
ここじゃ、商人とわかると、ひっきりなしに話しかけられる。相手をするのも面倒だったが……商売となれば話は別だ。見せてもらうよ。			ここじゃ、商人とわかると、ひっきりなしに話しかけられる。相手をするのも面倒だったが……商売となれば話は別だ。見せてもらうよ。			一人前の商売人							
ほう……特売の情報とは、気が利くな。クガネの絹布はよく売れるし、一度店に顔を出してみよう。			ほう……特売の情報とは、気が利くな。クガネの絹布はよく売れるし、一度店に顔を出してみよう。			一人前の商売人							
はいはい、商売のお話でしょうか？			はいはい、商売のお話でしょうか？			一人前の商売人							
絹の特売とは、嬉しいですねぇ。おや……このチラシ、見覚えがありますよ。男の子が配っていたものですよね？			絹の特売とは、嬉しいですねぇ。おや……このチラシ、見覚えがありますよ。男の子が配っていたものですよね？			一人前の商売人							
ひょっとしてあの子、ほんとに仕事してたんですか。クガネでは、あんな小さい子でも、商売人なんですねぇ。いやぁ……感心、感心。			ひょっとしてあの子、ほんとに仕事してたんですか。クガネでは、あんな小さい子でも、商売人なんですねぇ。いやぁ……感心、感心。			一人前の商売人							
なんだ？　市場の調査で忙しいんだが……。			なんだ？　市場の調査で忙しいんだが……。			一人前の商売人							
特売のチラシか。値段は魅力的だが、船に載せる余裕があったかな……。			特売のチラシか。値段は魅力的だが、船に載せる余裕があったかな……。			一人前の商売人							
いや……せっかくだから、妻に反物でも買ってやるか。よい情報を、ありがとう。			いや……せっかくだから、妻に反物でも買ってやるか。よい情報を、ありがとう。			一人前の商売人							
あなた、商人には見えないけど、何かご用？			あなた、商人には見えないけど、何かご用？			一人前の商売人							
これで2枚目だけど、まあいいわ。でもあなた、丁稚の仕事をするようには見えないわね。見た目はまるで、立派な武人だもの。			これで2枚目だけど、まあいいわ。でもあなた、丁稚の仕事をするようには見えないわね。見た目はまるで、立派な武人だもの。			一人前の商売人							
あら、ごめんなさい……これ以上詮索はしないわ。人生、何があるかわからないものね。それでは、ごきげんよう。			あら、ごめんなさい……これ以上詮索はしないわ。人生、何があるかわからないものね。それでは、ごきげんよう。			一人前の商売人							
すべて配っていただけたようですね。しかし……いったい私の何が、悪かったんでしょうか？			すべて配っていただけたようですね。しかし……いったい私の何が、悪かったんでしょうか？			一人前の商売人							
何と答える？			何と答える？			一人前の商売人							
子どもを働かせるのに反対だから			子どもを働かせるのに反対だから			一人前の商売人							
子どもが遊んでいると思われたから			子どもが遊んでいると思われたから			一人前の商売人							
そ、そうだったんですか……。年齢が問題だとは、思いもしませんでした。ひんがしの国では普通ですが、異国では違うのでしょうか……。			そ、そうだったんですか……。年齢が問題だとは、思いもしませんでした。ひんがしの国では普通ですが、異国では違うのでしょうか……。			一人前の商売人							
しかし、私の家は決して裕福ではないので、妹や弟のためにも、仕事をやめるわけにはいきません。まだチラシ配りすら、まともにはできませんが……。			しかし、私の家は決して裕福ではないので、妹や弟のためにも、仕事をやめるわけにはいきません。まだチラシ配りすら、まともにはできませんが……。			一人前の商売人							
ですが、私には店を構えるという夢があります。ゆくゆくは異国の言葉を覚え、ご主人様の技を盗み……。おっと、それよりも、これを受け取ってください。			ですが、私には店を構えるという夢があります。ゆくゆくは異国の言葉を覚え、ご主人様の技を盗み……。おっと、それよりも、これを受け取ってください。			一人前の商売人							
