ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			蛮神の真なる力							
こんなものは、今まで見たこともないね。……へええ、ガルーダからも似たような代物がねぇ。もしかしたら、蛮神の強化と関係あるのかもしれないな。			こんなものは、今まで見たこともないね。……へええ、ガルーダからも似たような代物がねぇ。もしかしたら、蛮神の強化と関係あるのかもしれないな。			極まりし岩神タイタン							
「砂の家」の賢人「ウリエンジェ」殿なら、何かわかるかもしれないよ。……ついでに、よろしくって伝えておいてよね！			「砂の家」の賢人「ウリエンジェ」殿なら、何かわかるかもしれないよ。……ついでに、よろしくって伝えておいてよね！			極まりし岩神タイタン							
そうですか、蛮神「タイタン」もさらなる力を……。……おや、今回も奇妙な品を発見しましたか。どうぞ、お見せください……。			そうですか、蛮神「タイタン」もさらなる力を……。……おや、今回も奇妙な品を発見しましたか。どうぞ、お見せください……。			極まりし岩神タイタン							
コボルド族の祭器としては、前例のない形状……。ですが、先に手に入れた「嵐神の祭器」との類似点も見受けられる……。			コボルド族の祭器としては、前例のない形状……。ですが、先に手に入れた「嵐神の祭器」との類似点も見受けられる……。			極まりし岩神タイタン							
「岩神の祭器」と「嵐神の祭器」……いずれも信奉者の遺骨が用いられているようです。闇の者は、蛮族たちに何を吹き込んだのか……。			「岩神の祭器」と「嵐神の祭器」……いずれも信奉者の遺骨が用いられているようです。闇の者は、蛮族たちに何を吹き込んだのか……。			極まりし岩神タイタン							
そして……気づいていますか？蛮神の強化に関して、もうひとつ符合する点……。……それは、あなたという存在……。			そして……気づいていますか？蛮神の強化に関して、もうひとつ符合する点……。……それは、あなたという存在……。			極まりし岩神タイタン							
あなたが力をつけるにつれ、それに呼応するかのごとく、蛮神も力をつけている印象を受けます……。偶然と見過ごすこともできぬでしょう。			あなたが力をつけるにつれ、それに呼応するかのごとく、蛮神も力をつけている印象を受けます……。偶然と見過ごすこともできぬでしょう。			極まりし岩神タイタン							
急ぎ、隠された真実を解き明かさなければ……。……ですが、そのためには未だ鍵が足りません。ぜひともまた、あなたの力をお貸しください……。			急ぎ、隠された真実を解き明かさなければ……。……ですが、そのためには未だ鍵が足りません。ぜひともまた、あなたの力をお貸しください……。			極まりし岩神タイタン							
ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし焔神イフリート							
蛮神「イフリート」は、いまだ再召喚された兆候がみられないという。ウルダハの不滅隊：作戦本部にいる「スウィフト大闘佐」に警戒を呼びかけよう。			蛮神「イフリート」は、いまだ再召喚された兆候がみられないという。ウルダハの不滅隊：作戦本部にいる「スウィフト大闘佐」に警戒を呼びかけよう。			極まりし焔神イフリート							
蛮神「イフリート」も再召喚されてしまったようだ。再召喚された「イフリート」は「炎帝祭跡」にいるという。蛮神「イフリート」を討伐するために、南ザナラーンのザハラク戦陣奥地にある「ザハラク・エーテライト」に触れよう。			蛮神「イフリート」も再召喚されてしまったようだ。再召喚された「イフリート」は「炎帝祭跡」にいるという。蛮神「イフリート」を討伐するために、南ザナラーンのザハラク戦陣奥地にある「ザハラク・エーテライト」に触れよう。			極まりし焔神イフリート							
ザハラク・エーテライトに触れた。仲間と共に、再召喚された蛮神「イフリート」を倒そう！※コンテンツファインダーから攻略に参加できます。			ザハラク・エーテライトに触れた。仲間と共に、再召喚された蛮神「イフリート」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし焔神イフリート							
再召喚された蛮神「イフリート」を討伐し、焔神の祭器を手に入れた。南ザナラーンに戻ろう。			再召喚された蛮神「イフリート」を討伐し、焔神の祭器を手に入れた。南ザナラーンに戻ろう。			極まりし焔神イフリート							
南ザナラーンに戻った。ウルダハ不滅隊：作戦本部の「スウィフト大闘佐」に焔神の祭器を届け、蛮神「イフリート」討伐が完了した旨を報告しよう。			南ザナラーンに戻った。ウルダハ不滅隊：作戦本部の「スウィフト大闘佐」に焔神の祭器を届け、蛮神「イフリート」討伐が完了した旨を報告しよう。			極まりし焔神イフリート							
スウィフト大闘佐は、さらに強くなった蛮神「イフリート」に対策を講じたいそうだ。その糸口を探るよう、ウリエンジェへの伝言を依頼された。てがかりとなる焔神の祭器を砂の家の「ウリエンジェ」に届けよう。			スウィフト大闘佐は、さらに強くなった蛮神「イフリート」に対策を講じたいそうだ。その糸口を探るよう、ウリエンジェへの伝言を依頼された。てがかりとなる焔神の祭器を砂の家の「ウリエンジェ」に届けよう。			極まりし焔神イフリート							
ウリエンジェに祭器を渡し、蛮神「イフリート」討伐の状況を報告した。蛮神問題の根本解決には時間を要するため、当面は蛮神を繰り返し討伐するしかないという。そのために、ウリエンジェは、冒険者がさらなる力を得る方法を教えたいようだ。			ウリエンジェに祭器を渡し、蛮神「イフリート」討伐の状況を報告した。蛮神問題の根本解決には時間を要するため、当面は蛮神を繰り返し討伐するしかないという。そのために、ウリエンジェは、冒険者がさらなる力を得る方法を教えたいようだ。			極まりし焔神イフリート							
不滅隊：作戦本部のスウィフト大闘佐と話す			不滅隊：作戦本部のスウィフト大闘佐と話す			極まりし焔神イフリート							
南ザナラーンのザハラク・エーテライトに触れる			南ザナラーンのザハラク・エーテライトに触れる			極まりし焔神イフリート							
「極イフリート討滅戦」を攻略			「極イフリート討滅戦」を攻略			極まりし焔神イフリート							
不滅隊：作戦本部のスウィフト大闘佐に焔神の祭器を見せる			不滅隊：作戦本部のスウィフト大闘佐に焔神の祭器を見せる			極まりし焔神イフリート							
砂の家のウリエンジェに焔神の祭器を渡す			砂の家のウリエンジェに焔神の祭器を渡す			極まりし焔神イフリート							
幸いなことに、蛮神「イフリート」が再召喚されたという報告は、まだ受けてはおりません。しかし、アマルジャ族が動き出すのも時間の問題……。			幸いなことに、蛮神「イフリート」が再召喚されたという報告は、まだ受けてはおりません。しかし、アマルジャ族が動き出すのも時間の問題……。			極まりし焔神イフリート							
真実の解明のためには情報が必要……。しかし、それも泰平の世があってこそ。ここは先手を打ち、対策を練るべきでしょう。			真実の解明のためには情報が必要……。しかし、それも泰平の世があってこそ。ここは先手を打ち、対策を練るべきでしょう。			極まりし焔神イフリート							
ウルダハの「不滅隊：作戦本部」にいる「スウィフト大闘佐」に蛮神の再召喚を警戒する旨を伝達願います。……少しでも蛮神からの被害を減らすために。			ウルダハの「不滅隊：作戦本部」にいる「スウィフト大闘佐」に蛮神の再召喚を警戒する旨を伝達願います。……少しでも蛮神からの被害を減らすために。			極まりし焔神イフリート							
[GC Rank]Forenameか「暁」の者か。いいところに来てくれた！			[GC Rank]Forenameか「暁」の者か。いいところに来てくれた！			極まりし焔神イフリート							
実は、アマルジャ族を警戒するため送り出していた、偵察隊からの連絡が途絶していてな……。急ぎ精鋭を送ったが、その増援部隊も消息を絶ったのだ。			実は、アマルジャ族を警戒するため送り出していた、偵察隊からの連絡が途絶していてな……。急ぎ精鋭を送ったが、その増援部隊も消息を絶ったのだ。			極まりし焔神イフリート							
聞けば、グリダニアやリムサ・ロミンサでは、さらに力をつけた蛮神が召喚されたというではないか。我々が確認できていなかっただけで、おそらくこちらでも……。			聞けば、グリダニアやリムサ・ロミンサでは、さらに力をつけた蛮神が召喚されたというではないか。我々が確認できていなかっただけで、おそらくこちらでも……。			極まりし焔神イフリート							
偵察隊からの最後の連絡は、奴らの根拠地、「炎帝祭跡」に潜入するという内容だった……。すでに召喚されていたイフリートに……クソッ！			偵察隊からの最後の連絡は、奴らの根拠地、「炎帝祭跡」に潜入するという内容だった……。すでに召喚されていたイフリートに……クソッ！			極まりし焔神イフリート							
……恥を承知で貴公の力をお借りしたい。「炎帝祭跡」に乗り込み、神降ろしの状況を確認……もし召喚されていた場合は、これを討伐してほしい。			……恥を承知で貴公の力をお借りしたい。「炎帝祭跡」に乗り込み、神降ろしの状況を確認……もし召喚されていた場合は、これを討伐してほしい。			極まりし焔神イフリート							
我ら不滅隊は、犠牲を厭わず蛮神と戦い続けてきた。だが、その犠牲はあまりに多く、テンパード化した者も多い。これ以上の損害が出ぬよう、どうか力を……。			我ら不滅隊は、犠牲を厭わず蛮神と戦い続けてきた。だが、その犠牲はあまりに多く、テンパード化した者も多い。これ以上の損害が出ぬよう、どうか力を……。			極まりし焔神イフリート							
蛮神「イフリート」の召喚が行われる「炎帝祭跡」は、南ザナラーンの「ザハラク戦陣」奥深くにある、「ザハラク・エーテライト」を使えば行けるはず……。			蛮神「イフリート」の召喚が行われる「炎帝祭跡」は、南ザナラーンの「ザハラク戦陣」奥深くにある、「ザハラク・エーテライト」を使えば行けるはず……。			極まりし焔神イフリート							
「暁」には、こちらから連絡を入れておく。不確実な要素が多く、貴公に頼りきる形で申し訳なく思う。……どうか、よろしく頼む。			「暁」には、こちらから連絡を入れておく。不確実な要素が多く、貴公に頼りきる形で申し訳なく思う。……どうか、よろしく頼む。			極まりし焔神イフリート							
(-？？？？-)あそこまで力をつけた焔神を、葬ったというのか……。実に見事……としか言いようがないな、光の使徒よ。			(-？？？？-)あそこまで力をつけた焔神を、葬ったというのか……。実に見事……としか言いようがないな、光の使徒よ。			極まりし焔神イフリート							
(-？？？？-)いい反応だねエ、その意気でせいぜいあがいてヨ。今となっては、その方がボクたちにとって好都合だからネ。			(-？？？？-)いい反応だねエ、その意気でせいぜいあがいてヨ。今となっては、その方がボクたちにとって好都合だからネ。			極まりし焔神イフリート							
貴様が力をつけることの意味を考えるといいだろう。それを考えたことはあるか？……いずれにしても、あの「三神」では、もはや限界だな。			貴様が力をつけることの意味を考えるといいだろう。それを考えたことはあるか？……いずれにしても、あの「三神」では、もはや限界だな。			極まりし焔神イフリート							
相変わらず血気盛んだコト。前にも言っただろ？ボクたちは戦いに来たんじゃないってサ。			相変わらず血気盛んだコト。前にも言っただろ？ボクたちは戦いに来たんじゃないってサ。			極まりし焔神イフリート							
……さて、あの方々に報告に戻るとするヨ。オマエのおかげで、興味深い力を銘記できたからネ。			……さて、あの方々に報告に戻るとするヨ。オマエのおかげで、興味深い力を銘記できたからネ。			極まりし焔神イフリート							
(-アシエンたち-)その力、利用させてもらうとしよう。この星が「真の姿」を取り戻すために……。			(-アシエンたち-)その力、利用させてもらうとしよう。この星が「真の姿」を取り戻すために……。			極まりし焔神イフリート							
(-アシエンたち-)いつまで闇に抗い続けることができるカナ。……フフフ、この先に「覚醒」する神が楽しみだヨ。			(-アシエンたち-)いつまで闇に抗い続けることができるカナ。……フフフ、この先に「覚醒」する神が楽しみだヨ。			極まりし焔神イフリート							
おお、蛮神「イフリート」を討ってくれたか！さすがは英雄、見事だ……さあ、武勇伝を聞かせてくれ。蛮神対策を整えるため、どんな情報も把握しておきたい！			おお、蛮神「イフリート」を討ってくれたか！さすがは英雄、見事だ……さあ、武勇伝を聞かせてくれ。蛮神対策を整えるため、どんな情報も把握しておきたい！			極まりし焔神イフリート							
……これは……何という禍々しい祭器だ。野蛮なアマルジャ族らしいといえば、らしくはあるが……。			……これは……何という禍々しい祭器だ。野蛮なアマルジャ族らしいといえば、らしくはあるが……。			極まりし焔神イフリート							
……なるほど、貴公の報告から察するに、蛮神「イフリート」の急激な凶暴化と、この祭器には、何らかの繋がりがあると予想される。			……なるほど、貴公の報告から察するに、蛮神「イフリート」の急激な凶暴化と、この祭器には、何らかの繋がりがあると予想される。			極まりし焔神イフリート							
「砂の家」にいるウリエンジェ殿に、この「焔神の祭器」を届け、対策の糸口を探るよう依頼してもらいたい。			「砂の家」にいるウリエンジェ殿に、この「焔神の祭器」を届け、対策の糸口を探るよう依頼してもらいたい。			極まりし焔神イフリート							
不滅隊より報告を受けております。蛮神「イフリート」の討伐、ご苦労さまでした。……おや、またしても奇妙な品を入手したのですか？			不滅隊より報告を受けております。蛮神「イフリート」の討伐、ご苦労さまでした。……おや、またしても奇妙な品を入手したのですか？			極まりし焔神イフリート							
……やはり、ほかの祭器と同様に、信徒たるアマルジャ族の骨が用いられています。この品も、蛮神の召喚に用いられた祭器なのでしょう……。			……やはり、ほかの祭器と同様に、信徒たるアマルジャ族の骨が用いられています。この品も、蛮神の召喚に用いられた祭器なのでしょう……。			極まりし焔神イフリート							
……闇の使徒と遭遇したのですか。『混沌の地に　神乱れ立たん』とはよく言ったもの……蛮神の陰には混沌を生む者……アシエンが蠢いていた……。			……闇の使徒と遭遇したのですか。『混沌の地に　神乱れ立たん』とはよく言ったもの……蛮神の陰には混沌を生む者……アシエンが蠢いていた……。			極まりし焔神イフリート							
しかし、アシエンが残した言葉から、蛮神強化のからくりが読み解けるかもしれません……。			しかし、アシエンが残した言葉から、蛮神強化のからくりが読み解けるかもしれません……。			極まりし焔神イフリート							
光の戦士たるあなたが「神狩り」を成すたび、蛮族たちは、より強き神を渇望する……。その狂おしいほどの願いは、やがて生贄を生む……。			光の戦士たるあなたが「神狩り」を成すたび、蛮族たちは、より強き神を渇望する……。その狂おしいほどの願いは、やがて生贄を生む……。			極まりし焔神イフリート							
贄が死ぬ間際に捧げた祈りによって、蛮神は究極の力を宿す。そんな贄の骨で作られたのが、あなたが見つけた祭器……。しかし、この理を解き明かすには、さらなる研究が必要……。			贄が死ぬ間際に捧げた祈りによって、蛮神は究極の力を宿す。そんな贄の骨で作られたのが、あなたが見つけた祭器……。しかし、この理を解き明かすには、さらなる研究が必要……。			極まりし焔神イフリート							
やはり、蛮神問題を根本的に解決するには、戦いの輪廻より脱する術を見出すしかない……。ですが、それには長き時が必要です……。			やはり、蛮神問題を根本的に解決するには、戦いの輪廻より脱する術を見出すしかない……。ですが、それには長き時が必要です……。			極まりし焔神イフリート							
当面は、蛮神に吸収されたエーテルを地に還元するため、蛮神討伐を繰り返すより道はありません……。			当面は、蛮神に吸収されたエーテルを地に還元するため、蛮神討伐を繰り返すより道はありません……。			極まりし焔神イフリート							
力を強める蛮神に対抗できるよう、我々も力をつけねば……。たとえ、それが闇の使徒の狙いだったとしても……。			力を強める蛮神に対抗できるよう、我々も力をつけねば……。たとえ、それが闇の使徒の狙いだったとしても……。			極まりし焔神イフリート							
そのためにも、あなたは強い武具を揃えるべきかもしれません。……秘策があります。準備が整いましたら、今一度、私にお声がけください……。			そのためにも、あなたは強い武具を揃えるべきかもしれません。……秘策があります。準備が整いましたら、今一度、私にお声がけください……。			極まりし焔神イフリート							
ウリエンジェは、冒険者がさらなる力を得る方法を教えたいようだ。			ウリエンジェは、冒険者がさらなる力を得る方法を教えたいようだ。			抗う力をこの手に							
ウリエンジェから、さらなる力をつけるために、ある商人に会うよう指示された。ウリエンジェから託された嵐神の祭器、岩神の祭器、焔神の祭器を、レヴナンツトールの「ロウェナ」に見せよう。			ウリエンジェから、さらなる力をつけるために、ある商人に会うよう指示された。ウリエンジェから託された嵐神の祭器、岩神の祭器、焔神の祭器を、レヴナンツトールの「ロウェナ」に見せよう。			抗う力をこの手に							
ロウェナに3種の蛮神の祭器を見せたところ、高値で売れるので引き取ってくれるという。嵐神の祭器、岩神の祭器、焔神の祭器を「ラレナ」に渡そう。			ロウェナに3種の蛮神の祭器を見せたところ、高値で売れるので引き取ってくれるという。嵐神の祭器、岩神の祭器、焔神の祭器を「ラレナ」に渡そう。			抗う力をこの手に							
ラレナに3種の蛮神の祭器を渡したところ、「ロウェナの手形:祭器」と交換してくれた。これがあれば、ロウェナたちが扱う高性能の装備品と交換できるという。さらに「ロウェナの手形:祭器」が欲しい場合は、「ラレナ」に再び蛮神の祭器を集めると申し出よう。			ラレナに3種の蛮神の祭器を渡したところ、「ロウェナの手形:祭器」と交換してくれた。これがあれば、ロウェナたちが扱う高性能の装備品と交換できるという。さらに「ロウェナの手形:祭器」が欲しい場合は、「ラレナ」に再び蛮神の祭器を集めると申し出よう。			抗う力をこの手に							
レヴナンツトールのロウェナに3つの祭器を見せる			レヴナンツトールのロウェナに3つの祭器を見せる			抗う力をこの手に							
ラレナに3つの祭器を渡す			ラレナに3つの祭器を渡す			抗う力をこの手に							
力を強める蛮神に対抗するための武具を揃えられるよう、レヴナンツトールの商人「ロウェナ」女史に話を通しておきました……。			力を強める蛮神に対抗するための武具を揃えられるよう、レヴナンツトールの商人「ロウェナ」女史に話を通しておきました……。			抗う力をこの手に							
あなたが集めた蛮神にまつわる祭器と引き換えに、特注の武具を回してもらうように……と。			あなたが集めた蛮神にまつわる祭器と引き換えに、特注の武具を回してもらうように……と。			抗う力をこの手に							
背徳とは蜜の味がするもの……。蛮神がらみの品は、一部の好事家たちの心を強く惹き付け、ロウェナ女史のような御仁の商売の種となっているのです……。			背徳とは蜜の味がするもの……。蛮神がらみの品は、一部の好事家たちの心を強く惹き付け、ロウェナ女史のような御仁の商売の種となっているのです……。			抗う力をこの手に							
……ご心配には及びません。この祭器は、蛮神の召喚によって力を失っている様子。必要な調査も、すでに終了しています……。			……ご心配には及びません。この祭器は、蛮神の召喚によって力を失っている様子。必要な調査も、すでに終了しています……。			抗う力をこの手に							
それでは、祭器をあなたにお返しします……。これをレヴナンツトールの商人「ロウェナ」女史に届けるのです……。			それでは、祭器をあなたにお返しします……。これをレヴナンツトールの商人「ロウェナ」女史に届けるのです……。			抗う力をこの手に							
あんたが蛮神がらみの珍品を仕入れたっていう冒険者かい？ウリエンジェから話は聞いているよ！どれ、さっそく祭器とやらをみせてもらおうじゃないか。			あんたが蛮神がらみの珍品を仕入れたっていう冒険者かい？ウリエンジェから話は聞いているよ！どれ、さっそく祭器とやらをみせてもらおうじゃないか。			抗う力をこの手に							
ふーん、これが蛮族どもの骨で作られた祭器ね……こんな悪趣味な代物を持ち込んだのは、あんたが初めてだよ。			ふーん、これが蛮族どもの骨で作られた祭器ね……こんな悪趣味な代物を持ち込んだのは、あんたが初めてだよ。			抗う力をこの手に							
いやいや、これは褒め言葉さ。もちろん喜んで買い取らせてもらうよ！さあ、ウチの仕入担当「ラレナ」に渡しとくれ。			いやいや、これは褒め言葉さ。もちろん喜んで買い取らせてもらうよ！さあ、ウチの仕入担当「ラレナ」に渡しとくれ。			抗う力をこの手に							
クソッ……ロウェナの奴、こんなつまらん仕事を押しつけやがって！……って、アンタ、何の用事だい？			クソッ……ロウェナの奴、こんなつまらん仕事を押しつけやがって！……って、アンタ、何の用事だい？			抗う力をこの手に							
ウゲェ……なんだい、この悪趣味な代物は！？……蛮族どもの祭器だって？これをロウェナが、アタシに渡せって言ったのかい？			ウゲェ……なんだい、この悪趣味な代物は！？……蛮族どもの祭器だって？これをロウェナが、アタシに渡せって言ったのかい？			抗う力をこの手に							
……ったく、こんな品を拾うアンタも！喜び勇んで仕入れるロウェナも！買い取ろうっていう客も！　……まったく理解できんね。			……ったく、こんな品を拾うアンタも！喜び勇んで仕入れるロウェナも！買い取ろうっていう客も！　……まったく理解できんね。			抗う力をこの手に							
まぁ、いいさ。アンタらのおかげで、アタシの懐はあったまってんだからね！で、報酬は何が望みだい？			まぁ、いいさ。アンタらのおかげで、アタシの懐はあったまってんだからね！で、報酬は何が望みだい？			抗う力をこの手に							
……なるほど、うちらが扱う武具がほしいってか。だったら、好みの武具と引き換えできる「ロウェナの手形:祭器」をやるよ。			……なるほど、うちらが扱う武具がほしいってか。だったら、好みの武具と引き換えできる「ロウェナの手形:祭器」をやるよ。			抗う力をこの手に							
もっと手形がほしいってんなら、もう一度、祭器を集めてくるこったね。その気があるなら、アタシにひと声かけな！			もっと手形がほしいってんなら、もう一度、祭器を集めてくるこったね。その気があるなら、アタシにひと声かけな！			抗う力をこの手に							
ウリエンジェは、冒険者に善王モグル・モグXII世に関する依頼をしたいようだ。			ウリエンジェは、冒険者に善王モグル・モグXII世に関する依頼をしたいようだ。			極王モグル・モグXII世							
ウリエンジェによると、モーグリ家臣団によって「善王モグル・モグXII世」が再召喚されてしまったらしい。グリダニアの双蛇党：統合司令部に向かい、「ボルセル大牙佐」に状況を確認しよう。			ウリエンジェによると、モーグリ家臣団によって「善王モグル・モグXII世」が再召喚されてしまったらしい。グリダニアの双蛇党：統合司令部に向かい、「ボルセル大牙佐」に状況を確認しよう。			極王モグル・モグXII世							
ボルセル大牙佐と話した。追い詰められた家臣団が呼んだ「モグル・モグXII世」は、極王として、以前よりも強い力を得ているらしい。東部森林の茨の森で、待機している「クポロ・コップ」と合流しよう。			ボルセル大牙佐と話した。追い詰められた家臣団が呼んだ「モグル・モグXII世」は、極王として、以前よりも強い力を得ているらしい。東部森林の茨の森で、待機している「クポロ・コップ」と合流しよう。			極王モグル・モグXII世							
クポロ・コップと合流し、極王と家臣団へのお仕置きを託された。開かれた結界の中に突入し、「極王モグル・モグXII世」を討伐しよう！※コンテンツファインダーから攻略に参加できます。			クポロ・コップと合流し、極王と家臣団へのお仕置きを託された。開かれた結界の中に突入し、「極王モグル・モグXII世」を討伐しよう！※コンテンツファインダーから攻略に参加できます。			極王モグル・モグXII世							
双蛇党：統合司令部のボルセル大牙佐と話す			双蛇党：統合司令部のボルセル大牙佐と話す			極王モグル・モグXII世							
茨の森のクポロ・コップと話す			茨の森のクポロ・コップと話す			極王モグル・モグXII世							
モーグリ族に語り継がれし、善王モグル・モグXII世……。優しき王の伝承は……されど、破滅への頁をめくる……。			モーグリ族に語り継がれし、善王モグル・モグXII世……。優しき王の伝承は……されど、破滅への頁をめくる……。			極王モグル・モグXII世							
……かの善王が、再召喚されたとの報が入りました。再び、モーグリ家臣団の手によって……。			……かの善王が、再召喚されたとの報が入りました。再び、モーグリ家臣団の手によって……。			極王モグル・モグXII世							
迅速な再召喚……アシエンの介入は必定……。強化された蛮神「イフリート」らと同じく、新たな召喚法を用いた可能性もあります……。			迅速な再召喚……アシエンの介入は必定……。強化された蛮神「イフリート」らと同じく、新たな召喚法を用いた可能性もあります……。			極王モグル・モグXII世							
騒乱の陰には、闇の使徒あり……。これほど急な再召喚となれば、アシエンが関与している可能性は高いと思われます。			騒乱の陰には、闇の使徒あり……。これほど急な再召喚となれば、アシエンが関与している可能性は高いと思われます。			極王モグル・モグXII世							
なれば、今回の討伐にも、あなたの力が必要不可欠……。混沌の闇を打ち払い続けてきた、「神狩る白き剣」たる……あなたの力が。			なれば、今回の討伐にも、あなたの力が必要不可欠……。混沌の闇を打ち払い続けてきた、「神狩る白き剣」たる……あなたの力が。			極王モグル・モグXII世							
再召喚された多くの場合、それは更なる力をつけている……。……すでに、穏健派のモーグリ族と双蛇党が協力し、黒衣森で善王討伐の作戦を進めているそうです。			再召喚された多くの場合、それは更なる力をつけている……。……すでに、穏健派のモーグリ族と双蛇党が協力し、黒衣森で善王討伐の作戦を進めているそうです。			極王モグル・モグXII世							
急ぎ、グリダニアの「双蛇党：統合司令部」へ。そして、「善王モグル・モグXII世」再討伐に、あなたの力をお貸しください……。			急ぎ、グリダニアの「双蛇党：統合司令部」へ。そして、「善王モグル・モグXII世」再討伐に、あなたの力をお貸しください……。			極王モグル・モグXII世							
[GC Rank]Forename、待っていたよ。話は聞いていると思うが、君に「善王モグル・モグXII世」再討伐の協力を頼みたい。			[GC Rank]Forename、待っていたよ。話は聞いていると思うが、君に「善王モグル・モグXII世」再討伐の協力を頼みたい。			極王モグル・モグXII世							
……善王を呼び出した「モーグリ家臣団」については、前回の討伐後、モーグリ族のクポロ・コップ殿が、説得を試みてくれたんだけどね……。			……善王を呼び出した「モーグリ家臣団」については、前回の討伐後、モーグリ族のクポロ・コップ殿が、説得を試みてくれたんだけどね……。			極王モグル・モグXII世							
遺憾なことに、説得は失敗……。逆上した家臣団は、再び善王を呼び寄せたというわけさ。			遺憾なことに、説得は失敗……。逆上した家臣団は、再び善王を呼び寄せたというわけさ。			極王モグル・モグXII世							
しかも、善王が一度討たれたことで、救世主を求める彼らの祈りは、さらに強くなった。……そのせいか、善王は力を増しているというんだ。			しかも、善王が一度討たれたことで、救世主を求める彼らの祈りは、さらに強くなった。……そのせいか、善王は力を増しているというんだ。			極王モグル・モグXII世							
クポロ・コップ殿によれば、再び現れた王は、究極の力を得た「極王」を名乗っているのだとか……。カヌ・エ様も、さすがに今回ばかりは覚悟したようでね。			クポロ・コップ殿によれば、再び現れた王は、究極の力を得た「極王」を名乗っているのだとか……。カヌ・エ様も、さすがに今回ばかりは覚悟したようでね。			極王モグル・モグXII世							
そこで、我々は「極王モグル・モグXII世」の討伐を決断。すでにカヌ・エ様直属の守人により、クポロ・コップ殿を、結界の結び目へ送り届けた。			そこで、我々は「極王モグル・モグXII世」の討伐を決断。すでにカヌ・エ様直属の守人により、クポロ・コップ殿を、結界の結び目へ送り届けた。			極王モグル・モグXII世							
……双蛇党でも、モーグリ族が視える人材は限られていてね。それでも、君の負担を減らせるのならと、カヌ・エ様が計らってくださったのさ。			……双蛇党でも、モーグリ族が視える人材は限られていてね。それでも、君の負担を減らせるのならと、カヌ・エ様が計らってくださったのさ。			極王モグル・モグXII世							
その期待に、どうか応えてほしい。準備ができ次第、東部森林にある茨の森で、「クポロ・コップ」殿と合流してくれ。			その期待に、どうか応えてほしい。準備ができ次第、東部森林にある茨の森で、「クポロ・コップ」殿と合流してくれ。			極王モグル・モグXII世							
「極王モグル・モグXII世」の討伐、頼んだよ。準備ができ次第、東部森林にある茨の森で、「クポロ・コップ」殿と合流してくれ。			「極王モグル・モグXII世」の討伐、頼んだよ。準備ができ次第、東部森林にある茨の森で、「クポロ・コップ」殿と合流してくれ。			極王モグル・モグXII世							
クポポ、Forename！来てくれて、ありがとうクポ～！			クポポ、Forename！来てくれて、ありがとうクポ～！			極王モグル・モグXII世							
……モグ、あれから家臣団をお説教したクポ。でも、連中は王さまの力で邪魔者を粛清すると言い張って、モグの言葉を聞かなかったクポ……。			……モグ、あれから家臣団をお説教したクポ。でも、連中は王さまの力で邪魔者を粛清すると言い張って、モグの言葉を聞かなかったクポ……。			極王モグル・モグXII世							
やっぱり、家臣団も不安なんだクポ。変わってしまった森に……たくさんの争い……怖くて、悲しくて、グルグルしてるクポ……。			やっぱり、家臣団も不安なんだクポ。変わってしまった森に……たくさんの争い……怖くて、悲しくて、グルグルしてるクポ……。			極王モグル・モグXII世							
だけど、王さまが粛清しちゃったら、この森は、もっと悲しいことでいっぱいになるクポ！そんなの絶対だめクポ～！			だけど、王さまが粛清しちゃったら、この森は、もっと悲しいことでいっぱいになるクポ！そんなの絶対だめクポ～！			極王モグル・モグXII世							
もう一度、キミに家臣団と王さまを止めてほしいクポ！そこの結び目から結界に入って、わからずやのみんなに、お仕置きクポ！			もう一度、キミに家臣団と王さまを止めてほしいクポ！そこの結び目から結界に入って、わからずやのみんなに、お仕置きクポ！			極王モグル・モグXII世							
モグは、怯えてる仲間たちと、お話ししてくるクポ。キミがきたから、もう大丈夫だって……話すクポ！			モグは、怯えてる仲間たちと、お話ししてくるクポ。キミがきたから、もう大丈夫だって……話すクポ！			極王モグル・モグXII世							
すでに、クポロ・コップ殿によって、結界は開かれています。恐るべき力を得た「極王モグル・モグXII世」の討伐……どうか、お気をつけて。			すでに、クポロ・コップ殿によって、結界は開かれています。恐るべき力を得た「極王モグル・モグXII世」の討伐……どうか、お気をつけて。			極王モグル・モグXII世							
ラレナは、蛮神の祭器を仕入れたいようだ。			ラレナは、蛮神の祭器を仕入れたいようだ。			極まりし蛮神たち							
ラレナに、蛮神の祭器を仕入れに行くことを告げた。再召喚された次の蛮神を討伐し、3種の祭器を入手しよう。蛮神「ガルーダ」を倒すと嵐神の祭器が、蛮神「タイタン」を倒すと岩神の祭器が、蛮神「イフリート」を倒すと焔神の祭器が入手できるはずだ。※コンテンツファインダーから攻略に参加できます。			ラレナに、蛮神の祭器を仕入れに行くことを告げた。再召喚された次の蛮神を討伐し、3種の祭器を入手しよう。蛮神「ガルーダ」を倒すと嵐神の祭器が、蛮神「タイタン」を倒すと岩神の祭器が、蛮神「イフリート」を倒すと焔神の祭器が入手できるはずだ。※コンテンツファインダーから攻略に参加できます。			極まりし蛮神たち							
