流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
イシュガルドの作戦立案室のアルトアレールは、引き続き偽神獣対策を行っている。			イシュガルドの作戦立案室のアルトアレールは、引き続き偽神獣対策を行っている。			固き決意、終わりなき信仰							
アイメリク、アルトアレールと話した。ナイツ・オブ・ラウンドが呼び降ろされたクローンと、ヴァンドローが同一人物であるかの確証を得るために調査を進めることとなった。アイメリクとともにクルザス中央高地へ向かい、「キャンプ・ドラゴンヘッド」で話題を集めよう。			アイメリク、アルトアレールと話した。ナイツ・オブ・ラウンドが呼び降ろされたクローンと、ヴァンドローが同一人物であるかの確証を得るために調査を進めることとなった。アイメリクとともにクルザス中央高地へ向かい、「キャンプ・ドラゴンヘッド」で話題を集めよう。			固き決意、終わりなき信仰							
キャンプ・ドラゴンヘッドで話題を集めた。付近にいる「アイメリク」へ話題を渡そう。			キャンプ・ドラゴンヘッドで話題を集めた。付近にいる「アイメリク」へ話題を渡そう。			固き決意、終わりなき信仰							
アイメリクに情報を渡し、神意の地付近を探索することとなった。キャンプ・ドラゴンヘッドに常駐している「黒チョコボ」に騎乗して飛空艇を捜索しよう。			アイメリクに情報を渡し、神意の地付近を探索することとなった。キャンプ・ドラゴンヘッドに常駐している「黒チョコボ」に騎乗して飛空艇を捜索しよう。			固き決意、終わりなき信仰							
上空から探索していると、神意の地で偽神獣を発見した。そこで、クローンが保護されてヴァンドローと名乗っていた過去を視た。作戦立案室に戻って、「アルトアレール」にもそのことを話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			上空から探索していると、神意の地で偽神獣を発見した。そこで、クローンが保護されてヴァンドローと名乗っていた過去を視た。作戦立案室に戻って、「アルトアレール」にもそのことを話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			固き決意、終わりなき信仰							
アイメリク、アルトアレールに改めて過去視で視たことを伝えた。冒険者の過去視によって、ナイツ・オブ・ラウンドが呼び降ろされたクローンがヴァンドローであるという確証を得た。イシュガルド正教会の歪みは、想像以上に大きいようだ……。※いずれかの遠隔魔法DPSジョブのレベルが89以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			アイメリク、アルトアレールに改めて過去視で視たことを伝えた。冒険者の過去視によって、ナイツ・オブ・ラウンドが呼び降ろされたクローンがヴァンドローであるという確証を得た。イシュガルド正教会の歪みは、想像以上に大きいようだ……。※いずれかの遠隔魔法DPSジョブのレベルが89以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			固き決意、終わりなき信仰							
キャンプ・ドラゴンヘッドでヴァンドローについての話題を集める			キャンプ・ドラゴンヘッドでヴァンドローについての話題を集める			固き決意、終わりなき信仰							
アイメリクに話題を提示			アイメリクに話題を提示			固き決意、終わりなき信仰							
アイメリクと話す			アイメリクと話す			固き決意、終わりなき信仰							
作戦立案室のアルトアレールと話す			作戦立案室のアルトアレールと話す			固き決意、終わりなき信仰							
Forename殿。よく来てくれた。			Forename殿。よく来てくれた。			固き決意、終わりなき信仰							
やれやれ……ヴァルティノア主教が獣化した影響で教皇庁は大混乱だよ。			やれやれ……ヴァルティノア主教が獣化した影響で教皇庁は大混乱だよ。			固き決意、終わりなき信仰							
彼に同調し、魔大陸で神降ろしを試みた者たちから話を聞くべく、神殿騎士を派遣したが……揃いも揃って獣化してな。いずれも討伐されたものの、情報が途絶えてしまった……。			彼に同調し、魔大陸で神降ろしを試みた者たちから話を聞くべく、神殿騎士を派遣したが……揃いも揃って獣化してな。いずれも討伐されたものの、情報が途絶えてしまった……。			固き決意、終わりなき信仰							
身元不明の入院患者「ヴァンドロー」と、神降ろしに使われたクローンが同一であると、確証を得たかったところですが……。			身元不明の入院患者「ヴァンドロー」と、神降ろしに使われたクローンが同一であると、確証を得たかったところですが……。			固き決意、終わりなき信仰							
ああ、だが仮に同一であるとしても、どのようにして皇都にたどり着いたのか、疑問が残る。			ああ、だが仮に同一であるとしても、どのようにして皇都にたどり着いたのか、疑問が残る。			固き決意、終わりなき信仰							
神降ろしを試みた聖職者たち以外にも協力者がいるとすれば、偽神獣対策の障害となることは必至だろう。			神降ろしを試みた聖職者たち以外にも協力者がいるとすれば、偽神獣対策の障害となることは必至だろう。			固き決意、終わりなき信仰							
それならば、私は魔大陸にて、クローンの行方を追いましょう。			それならば、私は魔大陸にて、クローンの行方を追いましょう。			固き決意、終わりなき信仰							
アイメリク卿の仮定が正しければ魔大陸にはいないはずだが、もし別人であれば、未だに放置されていることになる。その可能性を潰しておきたいのです。			アイメリク卿の仮定が正しければ魔大陸にはいないはずだが、もし別人であれば、未だに放置されていることになる。その可能性を潰しておきたいのです。			固き決意、終わりなき信仰							
ああ、任せた。助かるよ、アルトアレール卿。			ああ、任せた。助かるよ、アルトアレール卿。			固き決意、終わりなき信仰							
では、Forename。我々はふたりで「ヴァンドロー」の足跡を追おう。			では、Forename。我々はふたりで「ヴァンドロー」の足跡を追おう。			固き決意、終わりなき信仰							
クルザス中央高地の「キャンプ・ドラゴンヘッド」。彼が保護されたかの地に、有力な情報があるかもしれない。			クルザス中央高地の「キャンプ・ドラゴンヘッド」。彼が保護されたかの地に、有力な情報があるかもしれない。			固き決意、終わりなき信仰							
こちらも聞き込みは順調だ。それと……少し考えがあってな。その手配をしているところだ。			こちらも聞き込みは順調だ。それと……少し考えがあってな。その手配をしているところだ。			固き決意、終わりなき信仰							
英雄さん、よく来てくれたわね。雪の家には、いまも足を運んでくれている？			英雄さん、よく来てくれたわね。雪の家には、いまも足を運んでくれている？			固き決意、終わりなき信仰							
こちらで救助した怪我人の情報？ああ、訓練帰りに見つけた青年のことかしら！			こちらで救助した怪我人の情報？ああ、訓練帰りに見つけた青年のことかしら！			固き決意、終わりなき信仰							
魔物にでも襲われたのか、ここから北にある、神意の地で倒れているのを発見してね。慌てて連れ帰って、神殿騎士団病院に搬送したのよ。			魔物にでも襲われたのか、ここから北にある、神意の地で倒れているのを発見してね。慌てて連れ帰って、神殿騎士団病院に搬送したのよ。			固き決意、終わりなき信仰							
ヤエルとの会話から、「ヴァンドローが保護された場所」の話題を得た！			ヤエルとの会話から、「ヴァンドローが保護された場所」の話題を得た！			固き決意、終わりなき信仰							
む、こちらで保護された怪我人の話が聞きたい？俺は救助に関与していないが。			む、こちらで保護された怪我人の話が聞きたい？俺は救助に関与していないが。			固き決意、終わりなき信仰							
……そういえば確か同日だったと思うが、今にも落ちそうなくらい、低空飛行する飛空艇を見かけた。しかし、吹雪で見失ってしまったのだ。			……そういえば確か同日だったと思うが、今にも落ちそうなくらい、低空飛行する飛空艇を見かけた。しかし、吹雪で見失ってしまったのだ。			固き決意、終わりなき信仰							
テオバランとの会話から、「低空飛行する飛空艇」の話題を得た！			テオバランとの会話から、「低空飛行する飛空艇」の話題を得た！			固き決意、終わりなき信仰							
冒険者さんじゃないの！今日はどうかしたの？			冒険者さんじゃないの！今日はどうかしたの？			固き決意、終わりなき信仰							
キャンプ・ドラゴンヘッドで保護された怪我人？ああ、それなら私も応急処置を手伝ったわ。吹雪の中なのに薄着で、凍傷になりかけていたの。			キャンプ・ドラゴンヘッドで保護された怪我人？ああ、それなら私も応急処置を手伝ったわ。吹雪の中なのに薄着で、凍傷になりかけていたの。			固き決意、終わりなき信仰							
人はあまりの寒さに、自分の体温を熱いと感じたり、幻覚を見たりして矛盾脱衣を行ってしまう例があるそうよ。彼が薄着だったのも、その一種だと思うんだけどね。			人はあまりの寒さに、自分の体温を熱いと感じたり、幻覚を見たりして矛盾脱衣を行ってしまう例があるそうよ。彼が薄着だったのも、その一種だと思うんだけどね。			固き決意、終わりなき信仰							
ニヌとの会話から、「ヴァンドロー保護時の様子」の話題を得た！			ニヌとの会話から、「ヴァンドロー保護時の様子」の話題を得た！			固き決意、終わりなき信仰							
保護した青年は、神意の地で倒れていたのよ。このキャンプ・ドラゴンヘッドの北方ね。			保護した青年は、神意の地で倒れていたのよ。このキャンプ・ドラゴンヘッドの北方ね。			固き決意、終わりなき信仰							
怪我人については詳しくないが、同日に低空飛行する飛空艇を見かけた。まさかあれが墜落したのか……？			怪我人については詳しくないが、同日に低空飛行する飛空艇を見かけた。まさかあれが墜落したのか……？			固き決意、終わりなき信仰							
保護された怪我人さんの応急処置を手伝ったわ。妙に薄着だったのが、少し気になるけど……。			保護された怪我人さんの応急処置を手伝ったわ。妙に薄着だったのが、少し気になるけど……。			固き決意、終わりなき信仰							
なにか有力な手がかりはあったか？			なにか有力な手がかりはあったか？			固き決意、終わりなき信仰							
なるほど……。吹雪の中で目撃された低空飛行をする飛空艇、その後に発見された、身元不明の薄着の男か……。			なるほど……。吹雪の中で目撃された低空飛行をする飛空艇、その後に発見された、身元不明の薄着の男か……。			固き決意、終わりなき信仰							
ひとまずヴァンドローの身元を洗うためには、その飛空艇が墜落したのか否かを、調べる必要がありそうだ。ちょうど黒チョコボを手配したところでな。			ひとまずヴァンドローの身元を洗うためには、その飛空艇が墜落したのか否かを、調べる必要がありそうだ。ちょうど黒チョコボを手配したところでな。			固き決意、終わりなき信仰							
この黒チョコボで、彼が保護されたという「神意の地」を探索するとしよう。			この黒チョコボで、彼が保護されたという「神意の地」を探索するとしよう。			固き決意、終わりなき信仰							
準備はいいか？では向かうとしよう。			準備はいいか？では向かうとしよう。			固き決意、終わりなき信仰							
黒チョコボに乗って移動しますか？			黒チョコボに乗って移動しますか？			固き決意、終わりなき信仰							
飛空艇らしきものは見当たらないな……。もっと北東へ向かってみよう。			飛空艇らしきものは見当たらないな……。もっと北東へ向かってみよう。			固き決意、終わりなき信仰							
あれは……！もしや偽神獣か……！？			あれは……！もしや偽神獣か……！？			固き決意、終わりなき信仰							
猊下を……お守りせねば……。			猊下を……お守りせねば……。			固き決意、終わりなき信仰							
よかった、ついに目を覚ましたんだね！ずっと長いこと眠っていたんだよ。			よかった、ついに目を覚ましたんだね！ずっと長いこと眠っていたんだよ。			固き決意、終わりなき信仰							
気分はどう？話せる元気がありそうなら、名前か家を聞いていいかな？			気分はどう？話せる元気がありそうなら、名前か家を聞いていいかな？			固き決意、終わりなき信仰							
俺は……。いや、アタ……私……？			俺は……。いや、アタ……私……？			固き決意、終わりなき信仰							
なんなんだ、多くの名が頭に浮かぶ……。ヴェルギーン、ポールクラン、エルムノスト、イニアセル……。			なんなんだ、多くの名が頭に浮かぶ……。ヴェルギーン、ポールクラン、エルムノスト、イニアセル……。			固き決意、終わりなき信仰							
だが同時に「違う、違う」と、頭の中で幾人もの声が鳴り響く……。どの声も否定しない名は、ないのか……？			だが同時に「違う、違う」と、頭の中で幾人もの声が鳴り響く……。どの声も否定しない名は、ないのか……？			固き決意、終わりなき信仰							
お兄さん、大丈夫？			お兄さん、大丈夫？			固き決意、終わりなき信仰							
(-ヴァンドロー-)自分は……ヴァンドロー。			(-ヴァンドロー-)自分は……ヴァンドロー。			固き決意、終わりなき信仰							
そうか、この病院の由来になった人と同じ名前とは、きっと良き縁が君を助けてくれたんだろうね。			そうか、この病院の由来になった人と同じ名前とは、きっと良き縁が君を助けてくれたんだろうね。			固き決意、終わりなき信仰							
ヴァンドローさん、無理しない程度で教えてほしいんだけど、ほかにも覚えていることはあるかな？			ヴァンドローさん、無理しない程度で教えてほしいんだけど、ほかにも覚えていることはあるかな？			固き決意、終わりなき信仰							
(-ヴァンドロー-)俺は誇り高きゼーメルの血筋……違う、正道を歩む聖職者だ。とにかく戦いたい……いや、魔法の研究をしたい。本当は戦いより社交界が好きで、相棒と共にあった……。			(-ヴァンドロー-)俺は誇り高きゼーメルの血筋……違う、正道を歩む聖職者だ。とにかく戦いたい……いや、魔法の研究をしたい。本当は戦いより社交界が好きで、相棒と共にあった……。			固き決意、終わりなき信仰							
(-ヴァンドロー-)……生まれに恵まれず、努力は報われず、血に負けて神殿騎士団総長になれなかった自分を……ほかならぬ猊下が、救ってくださった。			(-ヴァンドロー-)……生まれに恵まれず、努力は報われず、血に負けて神殿騎士団総長になれなかった自分を……ほかならぬ猊下が、救ってくださった。			固き決意、終わりなき信仰							
(-ヴァンドロー-)そのとき俺は誓ったのだ。俺は己の義心を折ってでも、あのお方が正義を貫くための剣になると。			(-ヴァンドロー-)そのとき俺は誓ったのだ。俺は己の義心を折ってでも、あのお方が正義を貫くための剣になると。			固き決意、終わりなき信仰							
(-ヴァンドロー-)……そうだ、猊下をお守りするんだ。俺たちは……俺は、蒼天騎士なのだから。			(-ヴァンドロー-)……そうだ、猊下をお守りするんだ。俺たちは……俺は、蒼天騎士なのだから。			固き決意、終わりなき信仰							
君は見たところ、騎士様のようではないけれど、命を落としかねない経験をして、記憶が混濁しているのかな？蒼天騎士団の人たちは行方不明だし、前教皇は崩御されて……。			君は見たところ、騎士様のようではないけれど、命を落としかねない経験をして、記憶が混濁しているのかな？蒼天騎士団の人たちは行方不明だし、前教皇は崩御されて……。			固き決意、終わりなき信仰							
とにかく、君が起きたことを知らせてくるよ。水や薬もとってくるから、待っててね。			とにかく、君が起きたことを知らせてくるよ。水や薬もとってくるから、待っててね。			固き決意、終わりなき信仰							
(-ヴァンドロー-)教皇が崩御された……？そんな、そんなはずはない。猊下がいらっしゃらないのに、自分が生きているはずはない。			(-ヴァンドロー-)教皇が崩御された……？そんな、そんなはずはない。猊下がいらっしゃらないのに、自分が生きているはずはない。			固き決意、終わりなき信仰							
(-ヴァンドロー-)確かめに、いかねば……。			(-ヴァンドロー-)確かめに、いかねば……。			固き決意、終わりなき信仰							
Forename！！			Forename！！			固き決意、終わりなき信仰							
トルダン……ノ……ナ、ナノモト、ニ……			トルダン……ノ……ナ、ナノモト、ニ……			固き決意、終わりなき信仰							
……またも、なにか視たのか？			……またも、なにか視たのか？			固き決意、終わりなき信仰							
ならば、詳しい話は戻ってから聞こう。「アルトアレール」卿も調査が終わり次第、「作戦立案室」へ戻っているはずだ。			ならば、詳しい話は戻ってから聞こう。「アルトアレール」卿も調査が終わり次第、「作戦立案室」へ戻っているはずだ。			固き決意、終わりなき信仰							
ああ、Forename殿。私もちょうど戻ったところだ。そちらも、調査は完了したのか？			ああ、Forename殿。私もちょうど戻ったところだ。そちらも、調査は完了したのか？			固き決意、終わりなき信仰							
戻っていたか、アルトアレール卿。して、魔大陸にクローンの痕跡はあっただろうか？			戻っていたか、アルトアレール卿。して、魔大陸にクローンの痕跡はあっただろうか？			固き決意、終わりなき信仰							
いいえ、残っていたのは、打ち捨てられた聖剣アスカロンのみでした。そちらは？			いいえ、残っていたのは、打ち捨てられた聖剣アスカロンのみでした。そちらは？			固き決意、終わりなき信仰							
こちらは、ヴァンドローの足跡を辿った先で、墜落した教皇座乗艇「ソレイユ号」を発見した。			こちらは、ヴァンドローの足跡を辿った先で、墜落した教皇座乗艇「ソレイユ号」を発見した。			固き決意、終わりなき信仰							
おそらく魔大陸に放棄されていたそれを使い、皇都に帰還しようとしたのだろうが……			おそらく魔大陸に放棄されていたそれを使い、皇都に帰還しようとしたのだろうが……			固き決意、終わりなき信仰							
なんらかのトラブルで墜落し、クローンは、吹雪の中で遭難して後に保護された、と……。			なんらかのトラブルで墜落し、クローンは、吹雪の中で遭難して後に保護された、と……。			固き決意、終わりなき信仰							
さらに驚くべきは、墜落したソレイユ号の近くには、偽神獣「ファーヴニル」の姿があったことだ。すぐに逃げられてしまったがな……。			さらに驚くべきは、墜落したソレイユ号の近くには、偽神獣「ファーヴニル」の姿があったことだ。すぐに逃げられてしまったがな……。			固き決意、終わりなき信仰							
そこで、彼女彼がファーヴニルの……いや、ヴァンドローの過去を視たらしい。			そこで、彼女彼がファーヴニルの……いや、ヴァンドローの過去を視たらしい。			固き決意、終わりなき信仰							
Forename、話してくれないか？			Forename、話してくれないか？			固き決意、終わりなき信仰							
……繋がりましたな。やはり主教が召喚に利用したクローンがヴァンドローと名乗り、彼が絶望の果てに偽神獣「ファーヴニル」と化した……。			……繋がりましたな。やはり主教が召喚に利用したクローンがヴァンドローと名乗り、彼が絶望の果てに偽神獣「ファーヴニル」と化した……。			固き決意、終わりなき信仰							
それにしても、言動が気になりますな。名を問われた際の混乱した様子はまるで……			それにしても、言動が気になりますな。名を問われた際の混乱した様子はまるで……			固き決意、終わりなき信仰							
以前に「暁」から提供された資料によれば、蛮神は再召喚された折、以前に召喚された際の記憶を、継承しているらしい……。			以前に「暁」から提供された資料によれば、蛮神は再召喚された折、以前に召喚された際の記憶を、継承しているらしい……。			固き決意、終わりなき信仰							
だとすると、依り代となるひとつの肉体に、ナイツ・オブ・ラウンド全員の記憶が継承された可能性がある。			だとすると、依り代となるひとつの肉体に、ナイツ・オブ・ラウンド全員の記憶が継承された可能性がある。			固き決意、終わりなき信仰							
Forenameの姿を見て退避したのは、過去に戦った記憶が影響し、脅威とみなしたのだろう。			Forenameの姿を見て退避したのは、過去に戦った記憶が影響し、脅威とみなしたのだろう。			固き決意、終わりなき信仰							
ヴァンドローを名乗ったのも、それぞれの人格が対立しているがゆえと思えば頷ける。なんともいびつな存在だ。			ヴァンドローを名乗ったのも、それぞれの人格が対立しているがゆえと思えば頷ける。なんともいびつな存在だ。			固き決意、終わりなき信仰							
だが、どれだけいびつであろうと「教皇の守護」という、蒼天騎士団の存在意義は、強固に焼きついていたのだろう。それが果たされぬと知ったら……			だが、どれだけいびつであろうと「教皇の守護」という、蒼天騎士団の存在意義は、強固に焼きついていたのだろう。それが果たされぬと知ったら……			固き決意、終わりなき信仰							
蒼天騎士たちは我らに立ち塞がり、敵対し、友の命を奪った。			蒼天騎士たちは我らに立ち塞がり、敵対し、友の命を奪った。			固き決意、終わりなき信仰							
だが、死した後にまで、このような似姿を創られて絶望の底に突き落とされ、獣と化すことなど、誰が望むというのだ……！？			だが、死した後にまで、このような似姿を創られて絶望の底に突き落とされ、獣と化すことなど、誰が望むというのだ……！？			固き決意、終わりなき信仰							
蒼天騎士だけではない。今を生きる聖職者たちとて同じこと……			蒼天騎士だけではない。今を生きる聖職者たちとて同じこと……			固き決意、終わりなき信仰							
程度の違いはあれど、「イシュガルド正教」は、皇都の民が生きていく上での指針であり、心の拠り所だった。このままでは、さらに多くが絶望に飲まれよう……！			程度の違いはあれど、「イシュガルド正教」は、皇都の民が生きていく上での指針であり、心の拠り所だった。このままでは、さらに多くが絶望に飲まれよう……！			固き決意、終わりなき信仰							
何と言う？			何と言う？			固き決意、終わりなき信仰							
過去を忘れずに、それでも前に進むべき……！			過去を忘れずに、それでも前に進むべき……！			固き決意、終わりなき信仰							
新たな拠り所を探すべきでは？			新たな拠り所を探すべきでは？			固き決意、終わりなき信仰							
ああ、そうだな……。崩れた拠り所にすがり続けるべきではない。痛みを伴ってでも一歩を踏み出さねば、前には進めないのだから。			ああ、そうだな……。崩れた拠り所にすがり続けるべきではない。痛みを伴ってでも一歩を踏み出さねば、前には進めないのだから。			固き決意、終わりなき信仰							
アルトアレール卿。私は次の議会で、「公会議」の開催を提言しようと思う。			アルトアレール卿。私は次の議会で、「公会議」の開催を提言しようと思う。			固き決意、終わりなき信仰							
教義に関する重要事案を審議する「公会議」……。つまり、覆された旧来のイシュガルド正教の教えに替わる、新たな教義を定めるのですな……！？			教義に関する重要事案を審議する「公会議」……。つまり、覆された旧来のイシュガルド正教の教えに替わる、新たな教義を定めるのですな……！？			固き決意、終わりなき信仰							
政教分離を掲げた以上、これまで正教のあり方には不干渉を貫いてきた。			政教分離を掲げた以上、これまで正教のあり方には不干渉を貫いてきた。			固き決意、終わりなき信仰							
だが、貴族院議長としてではなく、ひとりのイシュガルド正教の信徒として、聖職者に呼びかけよう。人々のために、新たな正教のあり方を模索してほしい、と……！			だが、貴族院議長としてではなく、ひとりのイシュガルド正教の信徒として、聖職者に呼びかけよう。人々のために、新たな正教のあり方を模索してほしい、と……！			固き決意、終わりなき信仰							
感謝するよ、Forename。新たな気付きを与えてくれて……。			感謝するよ、Forename。新たな気付きを与えてくれて……。			固き決意、終わりなき信仰							
私はさっそく、クレム助祭など、正教の改革に前向きな聖職者たちに提言してみるつもりだ。君は開催の準備が整うまで、しばし待っていてくれ。			私はさっそく、クレム助祭など、正教の改革に前向きな聖職者たちに提言してみるつもりだ。君は開催の準備が整うまで、しばし待っていてくれ。			固き決意、終わりなき信仰							
偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			固き決意、終わりなき信仰							
「作戦立案室」へ移動しますか？			「作戦立案室」へ移動しますか？			固き決意、終わりなき信仰							
イシュガルドの作戦立案室のアルトアレールは、いささか緊張した面持ちだ。			イシュガルドの作戦立案室のアルトアレールは、いささか緊張した面持ちだ。			戦神よ、我らを導き給え							
アルトアレールと話し、イシュガルド正教を改革する公会議がいよいよ開催されることを教えてもらった。ともに出席するため、イシュガルドの上層のラストヴィジルにいる「アイメリク」に声をかけにいこう。			アルトアレールと話し、イシュガルド正教を改革する公会議がいよいよ開催されることを教えてもらった。ともに出席するため、イシュガルドの上層のラストヴィジルにいる「アイメリク」に声をかけにいこう。			戦神よ、我らを導き給え							
アイメリクは、自分の選んできた道についてひとり想いを巡らせていた。ともに公会議へ向かうため、再度ラストヴィジルの「アイメリク」と話そう。			アイメリクは、自分の選んできた道についてひとり想いを巡らせていた。ともに公会議へ向かうため、再度ラストヴィジルの「アイメリク」と話そう。			戦神よ、我らを導き給え							
アイメリクを同行させた。彼とともにイシュガルドの上層、「フォルタン伯爵邸」前まで向かおう。※同行状態が解除された場合、再度「アイメリク」に話しかけることで同行を再開できます。			アイメリクを同行させた。彼とともにイシュガルドの上層、「フォルタン伯爵邸」前まで向かおう。※同行状態が解除された場合、再度「アイメリク」に話しかけることで同行を再開できます。			戦神よ、我らを導き給え							
アイメリクとともに、フォルタン伯爵邸でかつての日々に想いを馳せた。次はイシュガルドの上層の「建国十二騎士像」へ向かおう。			アイメリクとともに、フォルタン伯爵邸でかつての日々に想いを馳せた。次はイシュガルドの上層の「建国十二騎士像」へ向かおう。			戦神よ、我らを導き給え							
建国十二騎士像の前で、イシュガルドの在り方について想いを馳せた。いよいよ公会議がイシュガルドの上層、イシュガルド教皇庁で開催される。イシュガルド教皇庁前で待っている「クレム」助祭と話そう。			建国十二騎士像の前で、イシュガルドの在り方について想いを馳せた。いよいよ公会議がイシュガルドの上層、イシュガルド教皇庁で開催される。イシュガルド教皇庁前で待っている「クレム」助祭と話そう。			戦神よ、我らを導き給え							
公会議は、古き考えの過ちを正しく後世へ伝え、より古き教えに立ちかえる、という結論をだして無事に幕を閉じた。作戦立案室に戻り、「アイメリク」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			公会議は、古き考えの過ちを正しく後世へ伝え、より古き教えに立ちかえる、という結論をだして無事に幕を閉じた。作戦立案室に戻り、「アイメリク」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			戦神よ、我らを導き給え							
アイメリクたちと話した。イシュガルド正教会は、少しずつ前を向きつつあるようだ。そしていよいよ、偽神獣ファーヴニルの討伐も目前だ。※いずれかの遠隔魔法DPSジョブのレベルが90以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			アイメリクたちと話した。イシュガルド正教会は、少しずつ前を向きつつあるようだ。そしていよいよ、偽神獣ファーヴニルの討伐も目前だ。※いずれかの遠隔魔法DPSジョブのレベルが90以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			戦神よ、我らを導き給え							
ラストヴィジル付近でアイメリクを探す			ラストヴィジル付近でアイメリクを探す			戦神よ、我らを導き給え							
アイメリクと再度話して同行させる			アイメリクと再度話して同行させる			戦神よ、我らを導き給え							
連れているアイメリクとフォルタン伯爵邸前で話す			連れているアイメリクとフォルタン伯爵邸前で話す			戦神よ、我らを導き給え							
連れているアイメリクと建国十二騎士像付近で話す			連れているアイメリクと建国十二騎士像付近で話す			戦神よ、我らを導き給え							
アイメリクを連れてクレムと話す			アイメリクを連れてクレムと話す			戦神よ、我らを導き給え							
作戦立案室のアイメリクと話す			作戦立案室のアイメリクと話す			戦神よ、我らを導き給え							
Forename殿。アイメリク卿が迅速に聖職者へ提言してくれたおかげで、まもなく「公会議」が開催される予定だ。			Forename殿。アイメリク卿が迅速に聖職者へ提言してくれたおかげで、まもなく「公会議」が開催される予定だ。			戦神よ、我らを導き給え							
公会議とは、イシュガルド正教における、教義や経典の内容を審議決定する最高位の会議だ。			公会議とは、イシュガルド正教における、教義や経典の内容を審議決定する最高位の会議だ。			戦神よ、我らを導き給え							
最後に開催されたのは四代前の教皇就任時、およそ80年前。私を含め、いまを生きる皇都の民の多くは、文献でしかそのありようを知らない。			最後に開催されたのは四代前の教皇就任時、およそ80年前。私を含め、いまを生きる皇都の民の多くは、文献でしかそのありようを知らない。			戦神よ、我らを導き給え							
かつては教皇と聖徒評議会で執り行われていた会議だが、評議会の一員だったヴァルティノア主教が獣化したからな。今回はあらゆる身分の意見を募る形になるそうだ。			かつては教皇と聖徒評議会で執り行われていた会議だが、評議会の一員だったヴァルティノア主教が獣化したからな。今回はあらゆる身分の意見を募る形になるそうだ。			戦神よ、我らを導き給え							
ええ、イシュガルド正教の歴史で初めて、すべての聖職者と信徒の声が反映できる公会議が、まもなく開催となります。			ええ、イシュガルド正教の歴史で初めて、すべての聖職者と信徒の声が反映できる公会議が、まもなく開催となります。			戦神よ、我らを導き給え							
皆様、ご出席をお願いいたします。			皆様、ご出席をお願いいたします。			戦神よ、我らを導き給え							
クレム助祭……！辛いお立場であろうに、此度の尽力に感謝する。			クレム助祭……！辛いお立場であろうに、此度の尽力に感謝する。			戦神よ、我らを導き給え							
ええ、聖レマノー大聖堂を担う身として、のべつまくなしに嘆いているわけにはまいりません。わたくしも亡き主教猊下の代理として、公会議に参加いたします。			ええ、聖レマノー大聖堂を担う身として、のべつまくなしに嘆いているわけにはまいりません。わたくしも亡き主教猊下の代理として、公会議に参加いたします。			戦神よ、我らを導き給え							
もうこれ以上、人々が信仰によって傷つくことがないように……我が心を尽くします。			もうこれ以上、人々が信仰によって傷つくことがないように……我が心を尽くします。			戦神よ、我らを導き給え							
して、アイメリク卿は？			して、アイメリク卿は？			戦神よ、我らを導き給え							
公会議前に考えたいことがあると、少し前に出ていかれた。私たちは先に向かおう。			公会議前に考えたいことがあると、少し前に出ていかれた。私たちは先に向かおう。			戦神よ、我らを導き給え							
Forename殿、アイメリク卿は上層の「ラストヴィジル」にいらっしゃるはずだ。声をかけて、ふたりで教皇庁へ向かってくれないか。			Forename殿、アイメリク卿は上層の「ラストヴィジル」にいらっしゃるはずだ。声をかけて、ふたりで教皇庁へ向かってくれないか。			戦神よ、我らを導き給え							
ああ、Forename。もしかして、そろそろ公会議の時間か？			ああ、Forename。もしかして、そろそろ公会議の時間か？			戦神よ、我らを導き給え							
そうか、すまない。呼びにきてくれたんだな。			そうか、すまない。呼びにきてくれたんだな。			戦神よ、我らを導き給え							
…………自分の選んできた道について、そして、その道を選んだことで救われなかった者たちについて、風に当たりながら考えていた。			…………自分の選んできた道について、そして、その道を選んだことで救われなかった者たちについて、風に当たりながら考えていた。			戦神よ、我らを導き給え							
