ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			街の金荒物屋さん							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「心をひとつに」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「心をひとつに」を完了する必要があります。			金荒物屋の新たな挑戦							
辞めた壺匠に戻ろうとしたり……自分の優柔不断な態度でお騒がせして、ごめんなさい！			辞めた壺匠に戻ろうとしたり……自分の優柔不断な態度でお騒がせして、ごめんなさい！			金荒物屋の新たな挑戦							
こだわりゆえ手が遅い私を雇ってもらうことに、引け目があって……。でも、ラルソジさんが自分を求めてくれて嬉しかった……！			こだわりゆえ手が遅い私を雇ってもらうことに、引け目があって……。でも、ラルソジさんが自分を求めてくれて嬉しかった……！			金荒物屋の新たな挑戦							
Forename、来てくれたか。			Forename、来てくれたか。			金荒物屋の新たな挑戦							
俺の求める手際の良さと、パパーニが理想とする品質の両立について……どう分担できるかを話し合ったんだ。			俺の求める手際の良さと、パパーニが理想とする品質の両立について……どう分担できるかを話し合ったんだ。			金荒物屋の新たな挑戦							
その結果、いままでだったら断っていたような、高品質を求められるものも製作できると判断し……注文を受けてみた。			その結果、いままでだったら断っていたような、高品質を求められるものも製作できると判断し……注文を受けてみた。			金荒物屋の新たな挑戦							
ちょうど知人を介して、ブネワ族の宮廷祭司殿が、「瞑想用の香炉」を求めていると聞いてな。ぜひやらせてくれないかと頼んでみたんだ。			ちょうど知人を介して、ブネワ族の宮廷祭司殿が、「瞑想用の香炉」を求めていると聞いてな。ぜひやらせてくれないかと頼んでみたんだ。			金荒物屋の新たな挑戦							
ただの香炉であれば、さほど難しくないけれど、儀式に用いる品となれば、繊細な飾りが欠かせないはず。			ただの香炉であれば、さほど難しくないけれど、儀式に用いる品となれば、繊細な飾りが欠かせないはず。			金荒物屋の新たな挑戦							
そこで、ラルソジさんに原型を作ってもらって、私が装飾と仕上げを担当させてもらおうかと……！			そこで、ラルソジさんに原型を作ってもらって、私が装飾と仕上げを担当させてもらおうかと……！			金荒物屋の新たな挑戦							
とはいえ、まだ分業でのやり方に慣れていないからな……。Forename、あんたにも製作を頼みたい。			とはいえ、まだ分業でのやり方に慣れていないからな……。Forename、あんたにも製作を頼みたい。			金荒物屋の新たな挑戦							
外つ国にも香炉はあるだろう？あんたの分は好きに作ってもらって構わない、その腕を信じてるよ。			外つ国にも香炉はあるだろう？あんたの分は好きに作ってもらって構わない、その腕を信じてるよ。			金荒物屋の新たな挑戦							
ラルソジさんがひとつ作ったら、私が仕上げて、その間にもラルソジさんがまた新しいものに着手して……という流れ作業で進めようかと！			ラルソジさんがひとつ作ったら、私が仕上げて、その間にもラルソジさんがまた新しいものに着手して……という流れ作業で進めようかと！			金荒物屋の新たな挑戦							
祭司殿たちが使う「瞑想用の香炉」を頼む。使いやすく、そして美しく、儀礼にふさわしいものをな。			祭司殿たちが使う「瞑想用の香炉」を頼む。使いやすく、そして美しく、儀礼にふさわしいものをな。			金荒物屋の新たな挑戦							
ありがとう、Forename。普段香炉を扱わない俺でもわかる美しさだ……！			ありがとう、Forename。普段香炉を扱わない俺でもわかる美しさだ……！			金荒物屋の新たな挑戦							
ありがとう、Forename。普段香炉を扱わない俺でもわかる、この出来栄え……！使いやすさと美しさが両立されているな。			ありがとう、Forename。普段香炉を扱わない俺でもわかる、この出来栄え……！使いやすさと美しさが両立されているな。			金荒物屋の新たな挑戦							
やはりあんたの正確な納品には脱帽するよ。素晴らしい品々に感謝する。			やはりあんたの正確な納品には脱帽するよ。素晴らしい品々に感謝する。			金荒物屋の新たな挑戦							
それに、俺たちも作業に専念できた。分業が上手くいって、スムーズに進められたな。			それに、俺たちも作業に専念できた。分業が上手くいって、スムーズに進められたな。			金荒物屋の新たな挑戦							
はいっ！ラルソジさんとふたりでなら、どんなお仕事もできそう！			はいっ！ラルソジさんとふたりでなら、どんなお仕事もできそう！			金荒物屋の新たな挑戦							
それにしても……やはりForenameはすごいな。あれだけの数を、ひとりでこなせてしまうとは。			それにしても……やはりForenameはすごいな。あれだけの数を、ひとりでこなせてしまうとは。			金荒物屋の新たな挑戦							
それだけの研鑽を、外つ国で重ねてきたんだろう。あんたの技術には目を見張るところが多いよ。			それだけの研鑽を、外つ国で重ねてきたんだろう。あんたの技術には目を見張るところが多いよ。			金荒物屋の新たな挑戦							
じゃあ今回の品は責任を持って、俺が発注元へ届けてくる。ふたりはここで待っていてくれ。			じゃあ今回の品は責任を持って、俺が発注元へ届けてくる。ふたりはここで待っていてくれ。			金荒物屋の新たな挑戦							
ふたりとも、聞いてくれ！香炉を注文してくれていた祭司殿が、職人に礼が言いたいと、わざわざお越しになったんだ。			ふたりとも、聞いてくれ！香炉を注文してくれていた祭司殿が、職人に礼が言いたいと、わざわざお越しになったんだ。			金荒物屋の新たな挑戦							
実に素晴らしい品でした。焚いた香がふわりと広がる実用性はもちろん、装飾も繊細で丁寧な仕事ぶりが感じられましたよ。			実に素晴らしい品でした。焚いた香がふわりと広がる実用性はもちろん、装飾も繊細で丁寧な仕事ぶりが感じられましたよ。			金荒物屋の新たな挑戦							
私たちは、瞑想の際に香を焚くのですが、先の襲撃の折に、大半が破壊されてしまいましてね……。ですから、貴方がたの迅速な仕事に助けられました。			私たちは、瞑想の際に香を焚くのですが、先の襲撃の折に、大半が破壊されてしまいましてね……。ですから、貴方がたの迅速な仕事に助けられました。			金荒物屋の新たな挑戦							
ああ、お役に立てたのなら光栄だ。			ああ、お役に立てたのなら光栄だ。			金荒物屋の新たな挑戦							
香炉は私たちが日常的に使うものですが、この品質であれば、王族の方々が使うものも頼みたいほどです。貴店さえよければ……			香炉は私たちが日常的に使うものですが、この品質であれば、王族の方々が使うものも頼みたいほどです。貴店さえよければ……			金荒物屋の新たな挑戦							
王宮に戻って相談を進め、正式な依頼をさせてもらいますが、いかがでしょう？			王宮に戻って相談を進め、正式な依頼をさせてもらいますが、いかがでしょう？			金荒物屋の新たな挑戦							
ああ、願ってもないことだ……！			ああ、願ってもないことだ……！			金荒物屋の新たな挑戦							
ならば、なるべく早く依頼を持ってこられるように尽力します。では、また。			ならば、なるべく早く依頼を持ってこられるように尽力します。では、また。			金荒物屋の新たな挑戦							
王族の方が使う品の依頼って、つまり王宮御用達ってことでは……！？			王族の方が使う品の依頼って、つまり王宮御用達ってことでは……！？			金荒物屋の新たな挑戦							
ああ、祭司殿からの依頼ですら驚いたが、次は王族が使う品の依頼が来るかもしれないのか……！			ああ、祭司殿からの依頼ですら驚いたが、次は王族が使う品の依頼が来るかもしれないのか……！			金荒物屋の新たな挑戦							
Forename……もし本当に依頼が来たら、初めての王宮御用達の仕事になるだろう。			Forename……もし本当に依頼が来たら、初めての王宮御用達の仕事になるだろう。			金荒物屋の新たな挑戦							
俺とパパーニだけで受けるべき仕事だとはわかっているが、店の今後を占う大仕事だから、万全を期したいんだ。どうか、あともう少しだけ支えてくれるとありがたい……！			俺とパパーニだけで受けるべき仕事だとはわかっているが、店の今後を占う大仕事だから、万全を期したいんだ。どうか、あともう少しだけ支えてくれるとありがたい……！			金荒物屋の新たな挑戦							
金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「先達の金荒物職人」と感じているようです！			金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「先達の金荒物職人」と感じているようです！			金荒物屋の新たな挑戦							
また、万貨街取引のストーリークエストが発行されました！「鍛冶師／甲冑師／彫金師」のいずれかが、レベル100以上になると「ラルソジ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「鍛冶師／甲冑師／彫金師」のいずれかが、レベル100以上になると「ラルソジ」から受注可能です。			金荒物屋の新たな挑戦							
ワチュメキメキ万貨街のラルソジは、大きな仕事を前に緊張しているようだ。			ワチュメキメキ万貨街のラルソジは、大きな仕事を前に緊張しているようだ。			王室御用達の金荒物屋							
ラルソジと話し、連王宮から製作依頼について呼び出されていると聞いた。トライヨラの連なる丘へと向かい、「ブネワ族の宮廷祭司」と話そう。			ラルソジと話し、連王宮から製作依頼について呼び出されていると聞いた。トライヨラの連なる丘へと向かい、「ブネワ族の宮廷祭司」と話そう。			王室御用達の金荒物屋							
ブネワ族の宮廷祭司から、新連王が使う二対の金煌の採火器の製作依頼を受けた。ワチュメキメキ万貨街に戻って、「ラルソジ」たちと相談しよう。			ブネワ族の宮廷祭司から、新連王が使う二対の金煌の採火器の製作依頼を受けた。ワチュメキメキ万貨街に戻って、「ラルソジ」たちと相談しよう。			王室御用達の金荒物屋							
金煌の採火器はひとつをラルソジとパパーニが、もうひとつを冒険者が製作することになった。金煌の採火器部材を元に「金煌の採火器」を製作し、ワチュメキメキ万貨街の「ラルソジ」へ納品しよう。※「金煌の採火器部材」を失った場合は、パパーニに話しかけましょう。材料を入手し、再挑戦が可能になります。			金煌の採火器はひとつをラルソジとパパーニが、もうひとつを冒険者が製作することになった。金煌の採火器部材を元に「金煌の採火器」を製作し、ワチュメキメキ万貨街の「ラルソジ」へ納品しよう。※「金煌の採火器部材」を失った場合は、パパーニに話しかけましょう。材料を入手し、再挑戦が可能になります。			王室御用達の金荒物屋							
ラルソジに金煌の採火器を納品し、ヴォロク連王宮の祭司へと渡した。金荒物屋ラルソジが王宮御用達の店となった感慨に浸りながら、ワチュメキメキ万貨街へ戻って「ラルソジ」と話そう。			ラルソジに金煌の採火器を納品し、ヴォロク連王宮の祭司へと渡した。金荒物屋ラルソジが王宮御用達の店となった感慨に浸りながら、ワチュメキメキ万貨街へ戻って「ラルソジ」と話そう。			王室御用達の金荒物屋							
ラルソジと話した。これからはパパーニとともに、金荒物屋を仕事の早さと品質を兼ね備えた店にしていくと意気込んでいた。職人として支え合えるようになったふたりなら、これからもっと店を盛り上げていくことだろう。			ラルソジと話した。これからはパパーニとともに、金荒物屋を仕事の早さと品質を兼ね備えた店にしていくと意気込んでいた。職人として支え合えるようになったふたりなら、これからもっと店を盛り上げていくことだろう。			王室御用達の金荒物屋							
ブネワ族の宮廷祭司と話す			ブネワ族の宮廷祭司と話す			王室御用達の金荒物屋							
ラルソジと話す			ラルソジと話す			王室御用達の金荒物屋							
製作手帳 万貨街取引：金煌の採火器を製作ラルソジに金煌の採火器を納品			製作手帳 万貨街取引：金煌の採火器を製作ラルソジに金煌の採火器を納品			王室御用達の金荒物屋							
ラルソジと話す			ラルソジと話す			王室御用達の金荒物屋							
今までは納期に追われることが怖くて仕方なかったけど……ラルソジさんがものすごい速さで原型を作ってくれるから、安心して仕上げができるんです！			今までは納期に追われることが怖くて仕方なかったけど……ラルソジさんがものすごい速さで原型を作ってくれるから、安心して仕上げができるんです！			王室御用達の金荒物屋							
Forename、パパーニ……！宮廷祭司殿から連絡があったぞ！			Forename、パパーニ……！宮廷祭司殿から連絡があったぞ！			王室御用達の金荒物屋							
王族向けの品を依頼するにあたって、説明のために王宮まで出向いてほしいそうだ。			王族向けの品を依頼するにあたって、説明のために王宮まで出向いてほしいそうだ。			王室御用達の金荒物屋							
俺たちは先に向かおう。Forenameも準備ができ次第、ヴォロク連王宮前の「連なる丘」まで来てくれると助かる。			俺たちは先に向かおう。Forenameも準備ができ次第、ヴォロク連王宮前の「連なる丘」まで来てくれると助かる。			王室御用達の金荒物屋							
この階段の上が連王宮か！今までは仕事ばかりでほとんど縁がなかったが……やはりとんでもなくデカい場所だな。			この階段の上が連王宮か！今までは仕事ばかりでほとんど縁がなかったが……やはりとんでもなくデカい場所だな。			王室御用達の金荒物屋							
王宮にはきっと、素晴らしい意匠の品々があるはず！いいなぁ、ちらっと見て帰りたい……！			王宮にはきっと、素晴らしい意匠の品々があるはず！いいなぁ、ちらっと見て帰りたい……！			王室御用達の金荒物屋							
ああ、「金荒物屋ラルソジ」の皆様。ご足労いただき、感謝します。			ああ、「金荒物屋ラルソジ」の皆様。ご足労いただき、感謝します。			王室御用達の金荒物屋							
この度は、王宮で用いる金属製品を、正式に依頼できる運びとなりましてね。さっそく、具体的な話をしても？			この度は、王宮で用いる金属製品を、正式に依頼できる運びとなりましてね。さっそく、具体的な話をしても？			王室御用達の金荒物屋							
もちろんだ。どんな品を求めておられるか、お聞かせ願いたい。			もちろんだ。どんな品を求めておられるか、お聞かせ願いたい。			王室御用達の金荒物屋							
製作をお願いしたいのは、対の「金煌の採火器」です。			製作をお願いしたいのは、対の「金煌の採火器」です。			王室御用達の金荒物屋							
採火器……？初めて聞く道具だけど、それはどのような品で……？			採火器……？初めて聞く道具だけど、それはどのような品で……？			王室御用達の金荒物屋							
太陽の光を一点に集め、火を熾す道具ですよ。湾曲した鏡とでもいいましょうか……。			太陽の光を一点に集め、火を熾す道具ですよ。湾曲した鏡とでもいいましょうか……。			王室御用達の金荒物屋							
マムージャ族は太陽の光を尊ぶ文化があり、その光から採った火には、魔を祓う力があるとされているのです。王宮内の篝火は、すべて採火器の火を使っているのですよ。			マムージャ族は太陽の光を尊ぶ文化があり、その光から採った火には、魔を祓う力があるとされているのです。王宮内の篝火は、すべて採火器の火を使っているのですよ。			王室御用達の金荒物屋							
なるほど……。ところで、さきほど対と申されたのは、つまり……			なるほど……。ところで、さきほど対と申されたのは、つまり……			王室御用達の金荒物屋							
ええ、ウクラマト様とコーナ様という新たな連王が即位した今、あの方々が儀礼でお使いできるよう、できるだけ早く……新たな「金煌の採火器」をご用意したいのです。			ええ、ウクラマト様とコーナ様という新たな連王が即位した今、あの方々が儀礼でお使いできるよう、できるだけ早く……新たな「金煌の採火器」をご用意したいのです。			王室御用達の金荒物屋							
ですが、採火器というものは、ほんの少しでも歪みがあれば、太陽の光を束ねることはできず火も熾せません。また微かな曇りがあれば、着火に要する時間もかかる……。			ですが、採火器というものは、ほんの少しでも歪みがあれば、太陽の光を束ねることはできず火も熾せません。また微かな曇りがあれば、着火に要する時間もかかる……。			王室御用達の金荒物屋							
つまり構造は単純ながら、高い技術力が求められ、よほど腕のいい職人でないと作れない品、というわけです。			つまり構造は単純ながら、高い技術力が求められ、よほど腕のいい職人でないと作れない品、というわけです。			王室御用達の金荒物屋							
お願い、できますか？			お願い、できますか？			王室御用達の金荒物屋							
職人の魂にかけて、やり遂げてみせよう。			職人の魂にかけて、やり遂げてみせよう。			王室御用達の金荒物屋							
快諾に感謝します。では、以前の技師が作成した図面の写しを、参考として貴方がたにお譲りいたしましょう。			快諾に感謝します。では、以前の技師が作成した図面の写しを、参考として貴方がたにお譲りいたしましょう。			王室御用達の金荒物屋							
ですがこれはあくまでグルージャジャ様の特注品。同じものを作るのではなく、新たな連王にふさわしい品をお願いいたします。			ですがこれはあくまでグルージャジャ様の特注品。同じものを作るのではなく、新たな連王にふさわしい品をお願いいたします。			王室御用達の金荒物屋							
ああ、任せてくれ。			ああ、任せてくれ。			王室御用達の金荒物屋							
じゃあ、俺たちは一度店に戻って、詳しい作業の話をするか。			じゃあ、俺たちは一度店に戻って、詳しい作業の話をするか。			王室御用達の金荒物屋							
前回の香炉も、とても良い出来栄えでした。ウクラマト様のご友人である貴方が協力しているのであれば、今回も素晴らしい品が期待できそうですね。			前回の香炉も、とても良い出来栄えでした。ウクラマト様のご友人である貴方が協力しているのであれば、今回も素晴らしい品が期待できそうですね。			王室御用達の金荒物屋							
太陽の光を集めるのなら、形状を工夫しなければ……。もちろん反射のために鏡面を磨き上げる必要もあるし、台座の強度を気にしたうえで、王宮にふさわしい細工も……。			太陽の光を集めるのなら、形状を工夫しなければ……。もちろん反射のために鏡面を磨き上げる必要もあるし、台座の強度を気にしたうえで、王宮にふさわしい細工も……。			王室御用達の金荒物屋							
祭司殿からもらった図面は、えらく精巧に書き込まれてる。もしかすると、かつてこれを作ったのは壺匠だったのかもな。			祭司殿からもらった図面は、えらく精巧に書き込まれてる。もしかすると、かつてこれを作ったのは壺匠だったのかもな。			王室御用達の金荒物屋							
太陽の向きに合わせて角度を変えられるような土台、極限まで磨きあげる丸みを帯びた鏡面、そして王族が使うにふさわしい意匠、か……。			太陽の向きに合わせて角度を変えられるような土台、極限まで磨きあげる丸みを帯びた鏡面、そして王族が使うにふさわしい意匠、か……。			王室御用達の金荒物屋							
かつてないほど難度の高い金属加工の依頼だ。おそらく、俺とパパーニのふたりで力を合わせても、ひとつ仕上げるので精いっぱいだろう。			かつてないほど難度の高い金属加工の依頼だ。おそらく、俺とパパーニのふたりで力を合わせても、ひとつ仕上げるので精いっぱいだろう。			王室御用達の金荒物屋							
その代わり最高のものを作ってみせるから、Forename、あんたの腕を見込んで、もうひとつの「金煌の採火器」製作を頼みたい。			その代わり最高のものを作ってみせるから、Forename、あんたの腕を見込んで、もうひとつの「金煌の採火器」製作を頼みたい。			王室御用達の金荒物屋							
きっと、ウクラマト様とコーナ様も、あんたが作ったものを喜んでくださると思うんだ。			きっと、ウクラマト様とコーナ様も、あんたが作ったものを喜んでくださると思うんだ。			王室御用達の金荒物屋							
ええ、連王様とお知り合いのあなたに意匠はお任せします！きっと完成は私たちより早いだろうし、仕上げ担当の私が、意匠と品質を、あなたのものに並ぶよう高めてみせる！			ええ、連王様とお知り合いのあなたに意匠はお任せします！きっと完成は私たちより早いだろうし、仕上げ担当の私が、意匠と品質を、あなたのものに並ぶよう高めてみせる！			王室御用達の金荒物屋							
必要そうな素材は、店に戻りがてら、ベイサイド・ベヴィーで仕入れてきました！足りなくなったら、いつでも言って！			必要そうな素材は、店に戻りがてら、ベイサイド・ベヴィーで仕入れてきました！足りなくなったら、いつでも言って！			王室御用達の金荒物屋							
「金煌の採火器部材」なら、十分に用意があります。王宮からの依頼品の製作、一緒にがんばりましょう！			「金煌の採火器部材」なら、十分に用意があります。王宮からの依頼品の製作、一緒にがんばりましょう！			王室御用達の金荒物屋							
わっ、すごい！　もう完成……！？ぜひ「ラルソジ」さんにも見せてあげてください！			わっ、すごい！　もう完成……！？ぜひ「ラルソジ」さんにも見せてあげてください！			王室御用達の金荒物屋							
「金煌の採火器」の製作は一筋縄じゃいかないだろうが……進捗状況はどうだ？			「金煌の採火器」の製作は一筋縄じゃいかないだろうが……進捗状況はどうだ？			王室御用達の金荒物屋							
もうできたのか！製作の早さもさることながら、品質も申し分なさそうだな！			もうできたのか！製作の早さもさることながら、品質も申し分なさそうだな！			王室御用達の金荒物屋							
俺たちの方は、俺の作業がさっき終わって、パパーニに仕上げを託したところだ。			俺たちの方は、俺の作業がさっき終わって、パパーニに仕上げを託したところだ。			王室御用達の金荒物屋							
完成次第、すぐに祭司殿のもとへ持っていくぞ！			完成次第、すぐに祭司殿のもとへ持っていくぞ！			王室御用達の金荒物屋							
お待ちしておりました、「金荒物屋ラルソジ」の皆様。依頼した品は、こちらですね？			お待ちしておりました、「金荒物屋ラルソジ」の皆様。依頼した品は、こちらですね？			王室御用達の金荒物屋							
ああ、Forenameの協力のもと、俺たち三人で対の採火器を製作した。新たな連王様にふさわしい採火器に仕上がったはずだ。			ああ、Forenameの協力のもと、俺たち三人で対の採火器を製作した。新たな連王様にふさわしい採火器に仕上がったはずだ。			王室御用達の金荒物屋							
おお、この曇りなき鏡面たるや……！新連王陛下の祭具にふさわしい、美しい仕上がりですね。			おお、この曇りなき鏡面たるや……！新連王陛下の祭具にふさわしい、美しい仕上がりですね。			王室御用達の金荒物屋							
とはいえ、実用品でもありますから、重要なのはその機能……。			とはいえ、実用品でもありますから、重要なのはその機能……。			王室御用達の金荒物屋							
きちんと太陽の光を集められるか、まずはこの場で、試させていただきましょう。			きちんと太陽の光を集められるか、まずはこの場で、試させていただきましょう。			王室御用達の金荒物屋							
やったぁ……！			やったぁ……！			王室御用達の金荒物屋							
どちらも、こんなにも素早く採火できるとは……！実用面でも素晴らしい逸品ですね！			どちらも、こんなにも素早く採火できるとは……！実用面でも素晴らしい逸品ですね！			王室御用達の金荒物屋							
貴方がたに金煌の採火器を依頼してよかった。新しい連王様も、きっとこの逸品をお喜びになるでしょう。			貴方がたに金煌の採火器を依頼してよかった。新しい連王様も、きっとこの逸品をお喜びになるでしょう。			王室御用達の金荒物屋							
そして、店主殿。「金荒物屋ラルソジ」を、新たな王宮御用達として認定し、今後もお取引を継続させていただいても？			そして、店主殿。「金荒物屋ラルソジ」を、新たな王宮御用達として認定し、今後もお取引を継続させていただいても？			王室御用達の金荒物屋							
俺の店が王宮御用達のひとつとして名を挙げられるのは、職人としてこの上ない誉れだ。謹んでお受けする。			俺の店が王宮御用達のひとつとして名を挙げられるのは、職人としてこの上ない誉れだ。謹んでお受けする。			王室御用達の金荒物屋							
王族にふさわしい高品質な金属製品が必要になったときは、ご一報を……すぐさま駆けつけると、ここに誓おう！			王族にふさわしい高品質な金属製品が必要になったときは、ご一報を……すぐさま駆けつけると、ここに誓おう！			王室御用達の金荒物屋							
こんなにも素晴らしい店がトライヨラにあるとは、頼もしい限りです。			こんなにも素晴らしい店がトライヨラにあるとは、頼もしい限りです。			王室御用達の金荒物屋							
では、報酬や王宮御用達の認定書はあとから店に送りましょう。今回のお働きに、心から感謝します。			では、報酬や王宮御用達の認定書はあとから店に送りましょう。今回のお働きに、心から感謝します。			王室御用達の金荒物屋							
祭司様のお褒めの言葉が、職人冥利に尽きて……！職人を続けててよかったなぁ……！			祭司様のお褒めの言葉が、職人冥利に尽きて……！職人を続けててよかったなぁ……！			王室御用達の金荒物屋							
Forename、ありがとう！あれだけの仕事を完遂できたのは、あんたがいてくれたからだ！			Forename、ありがとう！あれだけの仕事を完遂できたのは、あんたがいてくれたからだ！			王室御用達の金荒物屋							
パパーニが出ていったときも、あんたなしでは追いかけることすらできなかっただろう。			パパーニが出ていったときも、あんたなしでは追いかけることすらできなかっただろう。			王室御用達の金荒物屋							
己の未熟さゆえに、俺は仕事の早さだけを売りにしてきた。そんな俺が構えた店が、ふたりの力を借りて、まさか王宮御用達になれるなんてよ……！			己の未熟さゆえに、俺は仕事の早さだけを売りにしてきた。そんな俺が構えた店が、ふたりの力を借りて、まさか王宮御用達になれるなんてよ……！			王室御用達の金荒物屋							
ううっ……！　感無量だ……！			ううっ……！　感無量だ……！			王室御用達の金荒物屋							
ラルソジさんたら……！			ラルソジさんたら……！			王室御用達の金荒物屋							
私からも、お礼を言わせてほしいです！慣れた環境を離れ、新たな仕事にも馴染めずにいた私が、こうして居場所を見つけられたのは、本当にあなたのおかげ。			私からも、お礼を言わせてほしいです！慣れた環境を離れ、新たな仕事にも馴染めずにいた私が、こうして居場所を見つけられたのは、本当にあなたのおかげ。			王室御用達の金荒物屋							
これからは、自分の長所を活かして、お客さんが本当に必要としていることに向き合いながら、日用品を製作して、届けていきます！			これからは、自分の長所を活かして、お客さんが本当に必要としていることに向き合いながら、日用品を製作して、届けていきます！			王室御用達の金荒物屋							
パパーニの言うとおり、俺たちはやっと、あんたの手を借りずに店をやっていけそうだ。			パパーニの言うとおり、俺たちはやっと、あんたの手を借りずに店をやっていけそうだ。			王室御用達の金荒物屋							
これからはどんな依頼も受け入れられる、仕事の早さと品質を兼ね備えた、金荒物の店としてな！			これからはどんな依頼も受け入れられる、仕事の早さと品質を兼ね備えた、金荒物の店としてな！			王室御用達の金荒物屋							
何と言う？			何と言う？			王室御用達の金荒物屋							
応援してる！			応援してる！			王室御用達の金荒物屋							
これからは職人としてライバルだな			これからは職人としてライバルだな			王室御用達の金荒物屋							
ああ、激励ありがとよ！パパーニとともに、あんたのような職人を目指していくよ。			ああ、激励ありがとよ！パパーニとともに、あんたのような職人を目指していくよ。			王室御用達の金荒物屋							
ああ、鼓舞ありがとよ！あんたに追いつけるよう、パパーニとともに励もう。			ああ、鼓舞ありがとよ！あんたに追いつけるよう、パパーニとともに励もう。			王室御用達の金荒物屋							
ほんっとうに世話になった！これからも「金荒物屋ラルソジ」をよろしくな！			ほんっとうに世話になった！これからも「金荒物屋ラルソジ」をよろしくな！			王室御用達の金荒物屋							
金荒物屋ラルソジのストーリーが完結しました！ラルソジはあなたの事を、「誰よりも尊敬する金荒物職人」と感じているようです！			金荒物屋ラルソジのストーリーが完結しました！ラルソジはあなたの事を、「誰よりも尊敬する金荒物職人」と感じているようです！			王室御用達の金荒物屋							
また、ワチュメキメキ万貨街にはほかにも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ワチュメキメキ万貨街にはほかにも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			王室御用達の金荒物屋							
また、これにて、すべての万貨街取引が完了しました！そんなあなたに、万貨街の顔役である「ローペリ」は、依頼したいことがあるようです。			また、これにて、すべての万貨街取引が完了しました！そんなあなたに、万貨街の顔役である「ローペリ」は、依頼したいことがあるようです。			王室御用達の金荒物屋							
「ワチュメキメキ万貨街」の入口にいる彼から、話を聞いてみましょう。			「ワチュメキメキ万貨街」の入口にいる彼から、話を聞いてみましょう。			王室御用達の金荒物屋							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			王室御用達の金荒物屋							
