潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
け、けど……もしかして。彼が本調子でないなら、私が勝てるんじゃないか？そうしたら、「末弟」なんかじゃなくなる……。			け、けど……もしかして。彼が本調子でないなら、私が勝てるんじゃないか？そうしたら、「末弟」なんかじゃなくなる……。			明けの玉座の料理番							
クズクくんには今までさんざん馬鹿にされてきたし……。これは、太陽神アジムがくれた好機だと、思わないかい？			クズクくんには今までさんざん馬鹿にされてきたし……。これは、太陽神アジムがくれた好機だと、思わないかい？			明けの玉座の料理番							
何と答える？			何と答える？			明けの玉座の料理番							
わからないが、ジェルメは悲しむ			わからないが、ジェルメは悲しむ			明けの玉座の料理番							
好機だと思えない			好機だと思えない			明けの玉座の料理番							
好機だと思う			好機だと思う			明けの玉座の料理番							
……！そうだ、私を支えてくれる、あの子を悲しませられない。この状況で勝っても、誰も納得しないだろうしね。			……！そうだ、私を支えてくれる、あの子を悲しませられない。この状況で勝っても、誰も納得しないだろうしね。			明けの玉座の料理番							
……好機だと思えないだって？そうか、病気のクズクくんに勝利したとしても、相手は……いや、何より自分が納得できやしない。			……好機だと思えないだって？そうか、病気のクズクくんに勝利したとしても、相手は……いや、何より自分が納得できやしない。			明けの玉座の料理番							
……いや、君のその目を見て、思い直したよ。病気のクズクくんに勝ったとしても、自分は何も変わっていない、と言いたいんだろう？			……いや、君のその目を見て、思い直したよ。病気のクズクくんに勝ったとしても、自分は何も変わっていない、と言いたいんだろう？			明けの玉座の料理番							
ごめん、ずる賢い自分が出ちゃったみたいだ。でも、もう心を入れ替える。ジェルメくんのためにも、私ができることをやってみるよ。			ごめん、ずる賢い自分が出ちゃったみたいだ。でも、もう心を入れ替える。ジェルメくんのためにも、私ができることをやってみるよ。			明けの玉座の料理番							
……そうだ、クズクくんのために、熱の毒気を払い、精がつくような料理を差し入れよう！みんなのために料理をつくるのが、私の仕事だから。			……そうだ、クズクくんのために、熱の毒気を払い、精がつくような料理を差し入れよう！みんなのために料理をつくるのが、私の仕事だから。			明けの玉座の料理番							
そうだな……ヤンサから渡ってくる、サークリング・ヒッポウの肉を、薬草と煮込んだスープがいいだろう。けど、みんなが狩ってくるのを待ってる時間はない……。			そうだな……ヤンサから渡ってくる、サークリング・ヒッポウの肉を、薬草と煮込んだスープがいいだろう。けど、みんなが狩ってくるのを待ってる時間はない……。			明けの玉座の料理番							
Surnameさんくん！最後のお願いだ、「サークリング・ヒッポウ」を狩り、「ヒッポウの胸肉」を手に入れてきてくれないか？			Surnameさんくん！最後のお願いだ、「サークリング・ヒッポウ」を狩り、「ヒッポウの胸肉」を手に入れてきてくれないか？			明けの玉座の料理番							
ありがとう！サークリング・ヒッポウは、この「シープの骨」が好物なんだ。東の岩の上に置いて、エサにつられたところを、仕留めてくれ！			ありがとう！サークリング・ヒッポウは、この「シープの骨」が好物なんだ。東の岩の上に置いて、エサにつられたところを、仕留めてくれ！			明けの玉座の料理番							
その間、私はなんとかして、薬草を調達するよ。「ヒッポウの胸肉」が手に入ったら、ここに戻ってきてくれ！			その間、私はなんとかして、薬草を調達するよ。「ヒッポウの胸肉」が手に入ったら、ここに戻ってきてくれ！			明けの玉座の料理番							
東の岩の上に「シープの骨」を置いてしばらくすると、「サークリング・ヒッポウ」がエサにつられて現れるはず。そいつを倒せば、「ヒッポウの胸肉」が手に入るんだ。			東の岩の上に「シープの骨」を置いてしばらくすると、「サークリング・ヒッポウ」がエサにつられて現れるはず。そいつを倒せば、「ヒッポウの胸肉」が手に入るんだ。			明けの玉座の料理番							
「ヒッポウの胸肉」は手に入ったかい？薬草のほうは、どうにか全部そろったよ！			「ヒッポウの胸肉」は手に入ったかい？薬草のほうは、どうにか全部そろったよ！			明けの玉座の料理番							
そう、この肉が欲しかったんだ！Surnameさんくん、ありがとう！さっそく調理に移るよ！			そう、この肉が欲しかったんだ！Surnameさんくん、ありがとう！さっそく調理に移るよ！			明けの玉座の料理番							
あれ、おじさんが料理してるや。次のご飯の時間は、まだだいぶ先なのに、どうしたの？			あれ、おじさんが料理してるや。次のご飯の時間は、まだだいぶ先なのに、どうしたの？			明けの玉座の料理番							
えっ、クズク兄ちゃんのために作ってるの！？で、でも、おじさん、最初に戦う相手、兄ちゃんだよね。それを知ってたから、頼めなかったんだけど……。			えっ、クズク兄ちゃんのために作ってるの！？で、でも、おじさん、最初に戦う相手、兄ちゃんだよね。それを知ってたから、頼めなかったんだけど……。			明けの玉座の料理番							
また「末弟」だなんて、バカにされちゃうのに……おじさんは、優しすぎるんだよ……。			また「末弟」だなんて、バカにされちゃうのに……おじさんは、優しすぎるんだよ……。			明けの玉座の料理番							
「サークリング・ヒッポウの薬草汁」ができたよ。やわらかく煮た胸肉を、8種の薬草と煮詰めたんだ。これを飲めば、じきに熱が引いて、体力も戻るはずさ！			「サークリング・ヒッポウの薬草汁」ができたよ。やわらかく煮た胸肉を、8種の薬草と煮詰めたんだ。これを飲めば、じきに熱が引いて、体力も戻るはずさ！			明けの玉座の料理番							
冷めちゃうといけないからね、さ、早く持っていってあげな。			冷めちゃうといけないからね、さ、早く持っていってあげな。			明けの玉座の料理番							
おじさん……ありがとう！！作ったのはおじさんだって、兄ちゃんにも伝えるから！			おじさん……ありがとう！！作ったのはおじさんだって、兄ちゃんにも伝えるから！			明けの玉座の料理番							
……さて、これでまた、私は「末弟」決定だね。クズクくんは、いつも上位にいるから、最初の一撃で、のされちゃうかもしれないね、ハハハ！			……さて、これでまた、私は「末弟」決定だね。クズクくんは、いつも上位にいるから、最初の一撃で、のされちゃうかもしれないね、ハハハ！			明けの玉座の料理番							
あっ、笑ったけど、これは気持ちをごまかしてないよ。すぐに負けちゃう自分を考えたら、おかしくって。			あっ、笑ったけど、これは気持ちをごまかしてないよ。すぐに負けちゃう自分を考えたら、おかしくって。			明けの玉座の料理番							
しかし、君のおかげで晴れ晴れとした気分だよ。料理だって、いつもよりずっと楽しくできた。			しかし、君のおかげで晴れ晴れとした気分だよ。料理だって、いつもよりずっと楽しくできた。			明けの玉座の料理番							
やっぱり、私には調理が合ってるのかもね。みんなの役に立って、笑顔にできるなんて、弱くてもできる、いい仕事じゃないか。			やっぱり、私には調理が合ってるのかもね。みんなの役に立って、笑顔にできるなんて、弱くてもできる、いい仕事じゃないか。			明けの玉座の料理番							
あの子と、君のおかげで、やっとそれに気づけたみたいだ。本当に、ありがとう。			あの子と、君のおかげで、やっとそれに気づけたみたいだ。本当に、ありがとう。			明けの玉座の料理番							
そうそう、君にも料理を作っておいたんだ、ぜひ食べてくれ。私ができるお礼といったら、これしか思いつかなくてね。特別なものじゃないけど、そのぶん味は折り紙つきさ。			そうそう、君にも料理を作っておいたんだ、ぜひ食べてくれ。私ができるお礼といったら、これしか思いつかなくてね。特別なものじゃないけど、そのぶん味は折り紙つきさ。			明けの玉座の料理番							
さて、私もクズクくんのお見舞いに行ってこようかな！病気の状態を見て、ご飯も変えなきゃいけないしね。それじゃ、また会う日まで！			さて、私もクズクくんのお見舞いに行ってこようかな！病気の状態を見て、ご飯も変えなきゃいけないしね。それじゃ、また会う日まで！			明けの玉座の料理番							
おじさん、料理しているとき、いつもより楽しそうだった。どうしてだろう……？			おじさん、料理しているとき、いつもより楽しそうだった。どうしてだろう……？			明けの玉座の料理番							
明けの玉座のエスゲンは、料理の準備が終わったようだ。			明けの玉座のエスゲンは、料理の準備が終わったようだ。			兄弟闘技と末弟							
エスゲンと話した。料理の準備が終わり、冒険者にやることはないと思われたが、ジェルメという子どもから「今度、兄弟闘技を行なう」との知らせがもたらされた。エスゲンは鍛錬に行ったが、ジェルメから相談に乗ってほしいと頼まれた。明けの玉座の「ジェルメ」と話そう。			エスゲンと話した。料理の準備が終わり、冒険者にやることはないと思われたが、ジェルメという子どもから「今度、兄弟闘技を行なう」との知らせがもたらされた。エスゲンは鍛錬に行ったが、ジェルメから相談に乗ってほしいと頼まれた。明けの玉座の「ジェルメ」と話そう。			兄弟闘技と末弟							
ジェルメと話した。どうやらジェルメは、落ち込むエスゲンを励ましたいようだ。刃の海周辺にいる「エスゲン」に、ジェルメが書いた「エスゲン宛の手紙」を渡そう。			ジェルメと話した。どうやらジェルメは、落ち込むエスゲンを励ましたいようだ。刃の海周辺にいる「エスゲン」に、ジェルメが書いた「エスゲン宛の手紙」を渡そう。			兄弟闘技と末弟							
エスゲンにエスゲン宛の手紙を渡した。励ましと、料理を褒められたことに感動したエスゲンは、ジェルメにお礼を言わねばと明けの玉座に戻っていった。明けの玉座の「ジェルメ」に報告しよう。			エスゲンにエスゲン宛の手紙を渡した。励ましと、料理を褒められたことに感動したエスゲンは、ジェルメにお礼を言わねばと明けの玉座に戻っていった。明けの玉座の「ジェルメ」に報告しよう。			兄弟闘技と末弟							
ジェルメに報告した。すると、ジェルメの兄だというクズクがやってきて、ジェルメへ「エスゲンと仲良くするのはやめろ」と言った。エスゲンは笑って流そうとしたが、ジェルメはその反応が嫌だったようで、走り去ってしまった。明けの玉座の「エスゲン」と話そう。			ジェルメに報告した。すると、ジェルメの兄だというクズクがやってきて、ジェルメへ「エスゲンと仲良くするのはやめろ」と言った。エスゲンは笑って流そうとしたが、ジェルメはその反応が嫌だったようで、走り去ってしまった。明けの玉座の「エスゲン」と話そう。			兄弟闘技と末弟							
エスゲンと話した。ジェルメの気持ちを受けて、エスゲンは、嫌なことがあってもごまかさないと決めたようだ。世話になっているお礼がしたいと言うエスゲンと、もう少し話を続けてみよう。			エスゲンと話した。ジェルメの気持ちを受けて、エスゲンは、嫌なことがあってもごまかさないと決めたようだ。世話になっているお礼がしたいと言うエスゲンと、もう少し話を続けてみよう。			兄弟闘技と末弟							
ジェルメと話す			ジェルメと話す			兄弟闘技と末弟							
エスゲンにエスゲン宛の手紙を渡す			エスゲンにエスゲン宛の手紙を渡す			兄弟闘技と末弟							
ジェルメに報告			ジェルメに報告			兄弟闘技と末弟							
エスゲンと話す			エスゲンと話す			兄弟闘技と末弟							
あ、Surnameさんくん。料理の仕込みはあらかた終わったよ。今日のところは、特に頼むことはないかな。			あ、Surnameさんくん。料理の仕込みはあらかた終わったよ。今日のところは、特に頼むことはないかな。			兄弟闘技と末弟							
あのー、エスゲンおじさん。今度、「兄弟闘技」をやるらしいよ。「終節の合戦」に向けて、みんなの力を確認するんだって。			あのー、エスゲンおじさん。今度、「兄弟闘技」をやるらしいよ。「終節の合戦」に向けて、みんなの力を確認するんだって。			兄弟闘技と末弟							
あのー、エスゲンおじさん。今度、「兄弟闘技」をやるらしいよ。「終節の合戦」の反省で、みんなの力を確認したいんだって。			あのー、エスゲンおじさん。今度、「兄弟闘技」をやるらしいよ。「終節の合戦」の反省で、みんなの力を確認したいんだって。			兄弟闘技と末弟							
えっ、ええっ！？兄弟闘技か……どうせ負けて「末弟」のままなんだろうけど、オロニルの男としては、出ないわけにもいかないし……。			えっ、ええっ！？兄弟闘技か……どうせ負けて「末弟」のままなんだろうけど、オロニルの男としては、出ないわけにもいかないし……。			兄弟闘技と末弟							
何より、全力で戦わないと、太陽神アジムに申し訳が立たない。……ちょっと、外で鍛えてくるよ。			何より、全力で戦わないと、太陽神アジムに申し訳が立たない。……ちょっと、外で鍛えてくるよ。			兄弟闘技と末弟							
あの、お姉さんお兄さんは、おじさんの友達？ちょっと、聞いてほしいことがあるんだけど、いいかな？			あの、お姉さんお兄さんは、おじさんの友達？ちょっと、聞いてほしいことがあるんだけど、いいかな？			兄弟闘技と末弟							
あのね、兄弟闘技っていうのは、兄弟の序列を決める試合なんだ。でも、おじさんは毎回、最下位だから、闘技の前になると、すっごく落ち込んじゃって……。			あのね、兄弟闘技っていうのは、兄弟の序列を決める試合なんだ。でも、おじさんは毎回、最下位だから、闘技の前になると、すっごく落ち込んじゃって……。			兄弟闘技と末弟							
僕、そんなおじさんを励ましたいんだ！おじさんは、僕のような「親なし子」にも、ご飯を作ってくれる、とっても優しい人なんだ！			僕、そんなおじさんを励ましたいんだ！おじさんは、僕のような「親なし子」にも、ご飯を作ってくれる、とっても優しい人なんだ！			兄弟闘技と末弟							
それでね、僕、おじさんを励ます手紙を書いたんだ。お姉さんお兄さん、この「手紙」を届けてくれる？面と向かって渡すのは、ちょっと照れくさいからさ……。			それでね、僕、おじさんを励ます手紙を書いたんだ。お姉さんお兄さん、この「手紙」を届けてくれる？面と向かって渡すのは、ちょっと照れくさいからさ……。			兄弟闘技と末弟							
おじさんが鍛錬するとしたら、明けの玉座の下に行って、そんなに離れてないところだと思うよ。よろしくお願いね！			おじさんが鍛錬するとしたら、明けの玉座の下に行って、そんなに離れてないところだと思うよ。よろしくお願いね！			兄弟闘技と末弟							
あ、ああ、君か……。やっぱりすぐに、息が上がっちゃって、休んでたんだ。それで、何か用かい？			あ、ああ、君か……。やっぱりすぐに、息が上がっちゃって、休んでたんだ。それで、何か用かい？			兄弟闘技と末弟							
えっ、ジェルメくんからの手紙？な、なんだろうな……。			えっ、ジェルメくんからの手紙？な、なんだろうな……。			兄弟闘技と末弟							
(-ジェルメからの手紙-)おじさん、いつもおいしいご飯をありがとう。お父さんとお母さんが死んじゃって、つらかったとき、作ってくれたご飯があっためてくれました。			(-ジェルメからの手紙-)おじさん、いつもおいしいご飯をありがとう。お父さんとお母さんが死んじゃって、つらかったとき、作ってくれたご飯があっためてくれました。			兄弟闘技と末弟							
(-ジェルメからの手紙-)僕は、そんな優しいおじさんが、大好きです。今度の兄弟闘技も、僕は応援しています。がんばってください。			(-ジェルメからの手紙-)僕は、そんな優しいおじさんが、大好きです。今度の兄弟闘技も、僕は応援しています。がんばってください。			兄弟闘技と末弟							
(-ジェルメからの手紙-)おじさんの作ってくれる料理も、大好きです。これからも作ってくれると、嬉しいです。			(-ジェルメからの手紙-)おじさんの作ってくれる料理も、大好きです。これからも作ってくれると、嬉しいです。			兄弟闘技と末弟							
……嬉しいね。料理とはいえ、人から褒められて、求められたのは初めてだ。まあ、末弟から抜け出したら、調理の役目じゃなくなるけど……。			……嬉しいね。料理とはいえ、人から褒められて、求められたのは初めてだ。まあ、末弟から抜け出したら、調理の役目じゃなくなるけど……。			兄弟闘技と末弟							
うん、でも、なんだか元気が出たよ！鍛錬も調理も、気合を入れないとね。でも、まずは「ジェルメ」くんに、お礼を言ってくるよ！			うん、でも、なんだか元気が出たよ！鍛錬も調理も、気合を入れないとね。でも、まずは「ジェルメ」くんに、お礼を言ってくるよ！			兄弟闘技と末弟							
おじさんに、僕の「手紙」を渡してくれる？明けの玉座の下に行って、そんなに離れてないところにいるはずだよ。			おじさんに、僕の「手紙」を渡してくれる？明けの玉座の下に行って、そんなに離れてないところにいるはずだよ。			兄弟闘技と末弟							
お姉さんお兄さん、手紙を渡してくれてありがとう！おじさん、ちょっと元気になったみたい！			お姉さんお兄さん、手紙を渡してくれてありがとう！おじさん、ちょっと元気になったみたい！			兄弟闘技と末弟							
あっ、クズク兄ちゃんだ！おーい！			あっ、クズク兄ちゃんだ！おーい！			兄弟闘技と末弟							
ジェルメか、何してるんだここで？末弟なんかと遊ぶ暇があったら、お前も鍛錬したほうがいいぞ。数年すれば、兄弟闘技に出る年齢になるんだからな。			ジェルメか、何してるんだここで？末弟なんかと遊ぶ暇があったら、お前も鍛錬したほうがいいぞ。数年すれば、兄弟闘技に出る年齢になるんだからな。			兄弟闘技と末弟							
そいつは、ずっと調理をやらされてる末弟だ。弱いやつと付き合っていても、時間の無駄だろ。弓でも槍でもいい、鍛錬をしておくんだ。			そいつは、ずっと調理をやらされてる末弟だ。弱いやつと付き合っていても、時間の無駄だろ。弓でも槍でもいい、鍛錬をしておくんだ。			兄弟闘技と末弟							
い、いやー、言われちゃったね！確かに私は最弱だし、一緒にいても強くなれやしない……クズクくんの言うことを聞いたほうがいいかもね、ハハハ！			い、いやー、言われちゃったね！確かに私は最弱だし、一緒にいても強くなれやしない……クズクくんの言うことを聞いたほうがいいかもね、ハハハ！			兄弟闘技と末弟							
そんなこと、どうでもいい！！僕は、おじさんが好きだから、仲良くしてるんだ！			そんなこと、どうでもいい！！僕は、おじさんが好きだから、仲良くしてるんだ！			兄弟闘技と末弟							
おじさんも、あんなこと言われて、悔しくないの！？身体が丈夫じゃないことは知ってるけど……笑ってごまかすおじさんは、嫌いだ！			おじさんも、あんなこと言われて、悔しくないの！？身体が丈夫じゃないことは知ってるけど……笑ってごまかすおじさんは、嫌いだ！			兄弟闘技と末弟							
あの手紙は、一生の思い出だね。Surnameさんくん、届けてくれてありがとう。			あの手紙は、一生の思い出だね。Surnameさんくん、届けてくれてありがとう。			兄弟闘技と末弟							
ジェルメくんを、怒らせてしまったようだね……。長年、末弟をやってるから、あんな言われ方にも慣れちゃってね。いつもどおり、笑ってやり過ごすつもりだったんだが……。			ジェルメくんを、怒らせてしまったようだね……。長年、末弟をやってるから、あんな言われ方にも慣れちゃってね。いつもどおり、笑ってやり過ごすつもりだったんだが……。			兄弟闘技と末弟							
でも、私のことを考えて、傷ついてくれる人がいるんだなぁ……こう言うと不謹慎かもしれないけど、嬉しいよ。			でも、私のことを考えて、傷ついてくれる人がいるんだなぁ……こう言うと不謹慎かもしれないけど、嬉しいよ。			兄弟闘技と末弟							
けど、認められるくらい強くなるのは無理だ。それは、自分が一番わかってる。ただ……せめて、笑ってごまかすのは、やめないとね。			けど、認められるくらい強くなるのは無理だ。それは、自分が一番わかってる。ただ……せめて、笑ってごまかすのは、やめないとね。			兄弟闘技と末弟							
ああ、ごめんよ……君はなんだか話しやすくて、自分の想いを、ついつい語ってしまうんだよ。ジェルメくんからの激励といい、人に世話になってばかりだ。			ああ、ごめんよ……君はなんだか話しやすくて、自分の想いを、ついつい語ってしまうんだよ。ジェルメくんからの激励といい、人に世話になってばかりだ。			兄弟闘技と末弟							
そうだ、ふたりに何かお礼がしたいな。もちろん、私が兄弟闘技に勝利して、末弟を脱するのが、一番のお礼なんだろうけどね……。			そうだ、ふたりに何かお礼がしたいな。もちろん、私が兄弟闘技に勝利して、末弟を脱するのが、一番のお礼なんだろうけどね……。			兄弟闘技と末弟							
明けの玉座のマグナイは、重大な任務を任せようとしているようだ。			明けの玉座のマグナイは、重大な任務を任せようとしているようだ。			青き宿敵							
オロニル族とブドゥガ族からの仕事をこなすことで、彼らについての理解を深めた。そんな冒険者たちに、マグナイは宿敵ドタール族の偵察を命じた。明けの玉座の「ゴウセツ」と話そう。			オロニル族とブドゥガ族からの仕事をこなすことで、彼らについての理解を深めた。そんな冒険者たちに、マグナイは宿敵ドタール族の偵察を命じた。明けの玉座の「ゴウセツ」と話そう。			青き宿敵							
ゴウセツとともに、ドタール族の偵察に出発することになった。アジムステップの暮れの玉座にある印の上で、エモート「見わたす」をしよう。			ゴウセツとともに、ドタール族の偵察に出発することになった。アジムステップの暮れの玉座にある印の上で、エモート「見わたす」をしよう。			青き宿敵							
砂漠を見わたしていたところ、獣に襲われている人々を発見した。アジムステップのドタール・カー付近で、妨害を退けつつ、「青き衣の男」を救助しよう。			砂漠を見わたしていたところ、獣に襲われている人々を発見した。アジムステップのドタール・カー付近で、妨害を退けつつ、「青き衣の男」を救助しよう。			青き宿敵							
青き衣の男は救助したが、彼の仲間は事切れていた。ドタール・カー付近の「ゴウセツ」と話そう。			青き衣の男は救助したが、彼の仲間は事切れていた。ドタール・カー付近の「ゴウセツ」と話そう。			青き宿敵							
ゴウセツは、仲間の遺体をぞんざいに扱うドタール族の長、サドゥに憤慨しているようだった。サドゥの言動の意味も、偵察を続ければ理解できるようになるのだろうか……。			ゴウセツは、仲間の遺体をぞんざいに扱うドタール族の長、サドゥに憤慨しているようだった。サドゥの言動の意味も、偵察を続ければ理解できるようになるのだろうか……。			青き宿敵							
ゴウセツと話す			ゴウセツと話す			青き宿敵							
暮れの玉座の印の上で「見わたす」をする			暮れの玉座の印の上で「見わたす」をする			青き宿敵							
妨害を退け青き衣の男を救助			妨害を退け青き衣の男を救助			青き宿敵							
ゴウセツと話す			ゴウセツと話す			青き宿敵							
どうにかおわったけど……乳搾りが、あんなに大変な仕事だったなんて。			どうにかおわったけど……乳搾りが、あんなに大変な仕事だったなんて。			青き宿敵							
さぁて、わしら全員の働きが献上されたが、お次はどうなることか。			さぁて、わしら全員の働きが献上されたが、お次はどうなることか。			青き宿敵							
こやつらの使う武具は、ドマの職人が作るものと比べると、かなり荒々しいものでござった。だが、いずれもよく使いこまれておったぞ。			こやつらの使う武具は、ドマの職人が作るものと比べると、かなり荒々しいものでござった。だが、いずれもよく使いこまれておったぞ。			青き宿敵							
お前たちの働き、なかなか悪くはなかった。その身ぐるみを剥ぎ取るよりも、よほど価値ある貢献だ。			お前たちの働き、なかなか悪くはなかった。その身ぐるみを剥ぎ取るよりも、よほど価値ある貢献だ。			青き宿敵							
だが、合戦は刻一刻と近づいている。開戦までに無事モル族のもとへ帰りたければ、もうひとつ大きな働きを捧げろ。			だが、合戦は刻一刻と近づいている。開戦までに無事モル族のもとへ帰りたければ、もうひとつ大きな働きを捧げろ。			青き宿敵							
……余輩らと幾度も勝者の座をかけて争ってきた、宿敵「ドタール族」を偵察するのだ。			……余輩らと幾度も勝者の座をかけて争ってきた、宿敵「ドタール族」を偵察するのだ。			青き宿敵							
この任にあたるのは、お前たちのうち2人……残りの2人は、人質として、ここへ残れ。			この任にあたるのは、お前たちのうち2人……残りの2人は、人質として、ここへ残れ。			青き宿敵							
万一、偵察に向かった者が逃走したり、ドタール族に捕まって戻らなければ、人質の2人を、命尽きるまで余輩らの隷属とする。			万一、偵察に向かった者が逃走したり、ドタール族に捕まって戻らなければ、人質の2人を、命尽きるまで余輩らの隷属とする。			青き宿敵							
成功すれば無事解放、失敗すれば……か。ドタール族について探れるのは助かるけど、責任重大だね。誰が行こうか……。			成功すれば無事解放、失敗すれば……か。ドタール族について探れるのは助かるけど、責任重大だね。誰が行こうか……。			青き宿敵							
いや、待て。人選は、こちらで決める。			いや、待て。人選は、こちらで決める。			青き宿敵							
お前たちは、いずれもバルダム覇道を越えた戦士。実力に大差がないならば、より手元に残したい者を、余輩らが人質として選ぶのが道理だろう……！			お前たちは、いずれもバルダム覇道を越えた戦士。実力に大差がないならば、より手元に残したい者を、余輩らが人質として選ぶのが道理だろう……！			青き宿敵							
当然、まずは余輩から選ぶが……これは、そもそも選択肢がないも同然だ。			当然、まずは余輩から選ぶが……これは、そもそも選択肢がないも同然だ。			青き宿敵							
女よ、残るがいい。お前が余輩のナーマかもしれないなどとは微塵も思わないが、一族以外の男など、輪をかけて不要だからな。			女よ、残るがいい。お前が余輩のナーマかもしれないなどとは微塵も思わないが、一族以外の男など、輪をかけて不要だからな。			青き宿敵							
男の方は、ブドゥガ族の好きにしろ。			男の方は、ブドゥガ族の好きにしろ。			青き宿敵							
ふぅん……ほう……ほほう…………。			ふぅん……ほう……ほほう…………。			青き宿敵							
どうする？			どうする？			青き宿敵							
アピールしておく			アピールしておく			青き宿敵							
拒否しておく			拒否しておく			青き宿敵							
汝、ヒエンッ！！人質として、ここに残ることを命ず！			汝、ヒエンッ！！人質として、ここに残ることを命ず！			青き宿敵							
あっはっは！さては、さきほどの働きぶりが気に入られたか？			あっはっは！さては、さきほどの働きぶりが気に入られたか？			青き宿敵							
できれば、強豪と聞くドタール族を、見ておきたかったのだがなぁ。ゴウセツとForenameが行くなら、十分であろう。			できれば、強豪と聞くドタール族を、見ておきたかったのだがなぁ。ゴウセツとForenameが行くなら、十分であろう。			青き宿敵							
ふたりとも、偵察の任、くれぐれも用心して参れよ。			ふたりとも、偵察の任、くれぐれも用心して参れよ。			青き宿敵							
若こそ、よくよく……ご無事で。いざとなったら、リセとともに逃げるのでござるぞ。			若こそ、よくよく……ご無事で。いざとなったら、リセとともに逃げるのでござるぞ。			青き宿敵							
マグナイ殿。同盟の担い手として、進言いたす。			マグナイ殿。同盟の担い手として、進言いたす。			青き宿敵							
人質のうち、ひとりは男になされよ。さすれば、我々ブドゥガが戦士として鍛え上げ、必ずや同盟に益をもたらそう。			人質のうち、ひとりは男になされよ。さすれば、我々ブドゥガが戦士として鍛え上げ、必ずや同盟に益をもたらそう。			青き宿敵							
具体的には、ヒエンなど、いかがかッ！			具体的には、ヒエンなど、いかがかッ！			青き宿敵							
……まあ、許す。しかし、もう片方は余輩が選ぶぞ。			……まあ、許す。しかし、もう片方は余輩が選ぶぞ。			青き宿敵							
これだけ方々を探しても見つからないのだ……余輩のナーマが、草原の民ではなかったという可能性も、あるのではないか……？			これだけ方々を探しても見つからないのだ……余輩のナーマが、草原の民ではなかったという可能性も、あるのではないか……？			青き宿敵							
な、なにさ……！Forenameに何かしようとしたら、ただじゃおかないんだから……っ！			な、なにさ……！Forenameに何かしようとしたら、ただじゃおかないんだから……っ！			青き宿敵							
……いや、やはりないな。余輩のナーマは、慈愛にあふれ、可憐で控えめ、儚い朝焼けの雲がごとき乙女のはず。			……いや、やはりないな。余輩のナーマは、慈愛にあふれ、可憐で控えめ、儚い朝焼けの雲がごとき乙女のはず。			青き宿敵							
それに引き替え、お前ときたら、呪いの石像すら躊躇なく破壊しそうだぞ。容姿はともかく……余輩の戦士としての勘が、そう告げている。			それに引き替え、お前ときたら、呪いの石像すら躊躇なく破壊しそうだぞ。容姿はともかく……余輩の戦士としての勘が、そう告げている。			青き宿敵							
何と言う？			何と言う？			青き宿敵							
ソンナコトシマセン			ソンナコトシマセン			青き宿敵							
あなたもそうして差し上げようか			あなたもそうして差し上げようか			青き宿敵							
バルダム覇道を易々と越えておいて、どの口が言う……。			バルダム覇道を易々と越えておいて、どの口が言う……。			青き宿敵							
それだ、そういうところだ……。まったく……。			それだ、そういうところだ……。まったく……。			青き宿敵							
とすれば、そちらの女のほうが、まだ御しやすいだろう。一度家畜を世話した者ならば、妹たちも喜ぶ。お前が、人質として残れ。			とすれば、そちらの女のほうが、まだ御しやすいだろう。一度家畜を世話した者ならば、妹たちも喜ぶ。お前が、人質として残れ。			青き宿敵							
となると、偵察に行くのは、Forenameとゴウセツか。わしも強豪と聞くドタール族を、見ておきたかったが……そなたたちになら、任せられよう。			となると、偵察に行くのは、Forenameとゴウセツか。わしも強豪と聞くドタール族を、見ておきたかったが……そなたたちになら、任せられよう。			青き宿敵							
では、あらためて命じる。偵察に向かう者は、ここより南方にあるドタール族の拠点……「ドタール・カー」の現状を調べろ。			では、あらためて命じる。偵察に向かう者は、ここより南方にあるドタール族の拠点……「ドタール・カー」の現状を調べろ。			青き宿敵							
有益な情報を持ちかえれば、全員まとめて解放してやろう。……行け。			有益な情報を持ちかえれば、全員まとめて解放してやろう。……行け。			青き宿敵							
Forename殿……しばしのふたり旅、よろしく頼むでござる。偵察の段取りは、この息苦しい部屋の外で話すとしよう。			Forename殿……しばしのふたり旅、よろしく頼むでござる。偵察の段取りは、この息苦しい部屋の外で話すとしよう。			青き宿敵							
現在の「ドタール・カー」は、ここより南の砂漠にある。必ずや、よい報せを献上しろ。			現在の「ドタール・カー」は、ここより南の砂漠にある。必ずや、よい報せを献上しろ。			青き宿敵							
……なんだ。まさか、人選のことで機嫌を損ねているのか。			……なんだ。まさか、人選のことで機嫌を損ねているのか。			青き宿敵							
愚かな……早く南の「ドタール・カー」へ向かえ。お前の方がそれに適任であると、余輩が選び、許したのだぞ。			愚かな……早く南の「ドタール・カー」へ向かえ。お前の方がそれに適任であると、余輩が選び、許したのだぞ。			青き宿敵							
いざとなったら、ドタール族に襲撃をかけ、そのまま帰らぬ者となってもよい。……よいのだからな。			いざとなったら、ドタール族に襲撃をかけ、そのまま帰らぬ者となってもよい。……よいのだからな。			青き宿敵							
選ばれなかったからといって、気を落とすな。……私は、勇敢なお前を、それほど嫌いではない。			選ばれなかったからといって、気を落とすな。……私は、勇敢なお前を、それほど嫌いではない。			青き宿敵							
