ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			灯りの消えた日							
クァール入りの麻袋を手に入れた。キャンプ・オーバールックの「スウィグレール甲軍曹」に渡そう。			クァール入りの麻袋を手に入れた。キャンプ・オーバールックの「スウィグレール甲軍曹」に渡そう。			甲軍曹のひらめき							
スウィグレール甲軍曹にヤング・クァールを渡した。しかし彼女は、クァールを懐かせる方法をまったく思いつかないようだ……。			スウィグレール甲軍曹にヤング・クァールを渡した。しかし彼女は、クァールを懐かせる方法をまったく思いつかないようだ……。			甲軍曹のひらめき							
ヤング・クァールを弱らせて巨大な麻袋で捕獲			ヤング・クァールを弱らせて巨大な麻袋で捕獲			甲軍曹のひらめき							
スウィグレール甲軍曹にクァール入りの麻袋を渡す			スウィグレール甲軍曹にクァール入りの麻袋を渡す			甲軍曹のひらめき							
故郷の母ちゃんに、これまでずーっと、お前は本当に筋肉バカだねって言われてきたけどよ。閃いちまったんだよ！			故郷の母ちゃんに、これまでずーっと、お前は本当に筋肉バカだねって言われてきたけどよ。閃いちまったんだよ！			甲軍曹のひらめき							
魔獣クァールを飼いならしたら、コボルド族なんて、敵じゃねぇんじゃないかってよ！			魔獣クァールを飼いならしたら、コボルド族なんて、敵じゃねぇんじゃないかってよ！			甲軍曹のひらめき							
「ヤング・クァール」を弱らせて、「巨大な麻袋」で捕まえてくれよ！			「ヤング・クァール」を弱らせて、「巨大な麻袋」で捕まえてくれよ！			甲軍曹のひらめき							
あたしは、力加減とか、まるでわかんねぇからよ。捕まえるのとか苦手なんだよ！			あたしは、力加減とか、まるでわかんねぇからよ。捕まえるのとか苦手なんだよ！			甲軍曹のひらめき							
クァールを弱らせてから、狩猟網を使う×1			クァールを弱らせてから、狩猟網を使う×1			甲軍曹のひらめき							
ちょっと、そこのあんた！クァールは、捕まえてくれたかよ！			ちょっと、そこのあんた！クァールは、捕まえてくれたかよ！			甲軍曹のひらめき							
すげぇよ、マジで「ヤング・クァール」じゃねぇかよ！こいつさえ味方につけば、コボルド族なんて瞬殺じゃねぇかよ！			すげぇよ、マジで「ヤング・クァール」じゃねぇかよ！こいつさえ味方につけば、コボルド族なんて瞬殺じゃねぇかよ！			甲軍曹のひらめき							
……でもこいつ、どうやって懐かせればいいんだよ……。やっぱりあたしって、母ちゃんの言うとおり筋肉バカなのか？			……でもこいつ、どうやって懐かせればいいんだよ……。やっぱりあたしって、母ちゃんの言うとおり筋肉バカなのか？			甲軍曹のひらめき							
キャンプ・オーバールックのブルーエイディン少甲佐は、作戦を練っているようだ。			キャンプ・オーバールックのブルーエイディン少甲佐は、作戦を練っているようだ。			コボルド族の補給を絶て							
ブルーエイディン少甲佐は、コボルド族がゴーレムを作るのを止めたいらしい。まずはニーム浮遊遺跡付近にいる「バサルトゴーレム」から「石兵のソウルストーン」を入手しよう。			ブルーエイディン少甲佐は、コボルド族がゴーレムを作るのを止めたいらしい。まずはニーム浮遊遺跡付近にいる「バサルトゴーレム」から「石兵のソウルストーン」を入手しよう。			コボルド族の補給を絶て							
石兵のソウルストーンを手に入れた。コボルド族をおびき寄せるため、指定地点に石兵のソウルストーンを置こう。			石兵のソウルストーンを手に入れた。コボルド族をおびき寄せるため、指定地点に石兵のソウルストーンを置こう。			コボルド族の補給を絶て							
指定地点で待機して、現れたコボルド族を倒そう。力を強化したコボルド族と戦うには「冷水入りの水瓶」が有効だ。			指定地点で待機して、現れたコボルド族を倒そう。力を強化したコボルド族と戦うには「冷水入りの水瓶」が有効だ。			コボルド族の補給を絶て							
コボルド・アンブレーカブルを倒した。キャンプ・オーバールックの「ブルーエイディン少甲佐」に報告しよう。			コボルド・アンブレーカブルを倒した。キャンプ・オーバールックの「ブルーエイディン少甲佐」に報告しよう。			コボルド族の補給を絶て							
ブルーエイディン少甲佐に報告した。敵の物資補給を阻止できたことで、彼は喜んでいるようだ。			ブルーエイディン少甲佐に報告した。敵の物資補給を阻止できたことで、彼は喜んでいるようだ。			コボルド族の補給を絶て							
バサルトゴーレムから石兵のソウルストーンを入手			バサルトゴーレムから石兵のソウルストーンを入手			コボルド族の補給を絶て							
指定地点に石兵のソウルストーンを使う			指定地点に石兵のソウルストーンを使う			コボルド族の補給を絶て							
指定地点で待機して、冷水入りの水瓶を使ってコボルド・アンブレーカブルを討伐			指定地点で待機して、冷水入りの水瓶を使ってコボルド・アンブレーカブルを討伐			コボルド族の補給を絶て							
ブルーエイディン少甲佐に報告			ブルーエイディン少甲佐に報告			コボルド族の補給を絶て							
オレたちが戦ってるコボルド族ってのは、やっかいなことに、冶金技術と錬金術に長けていてな。ゴーレムを作り出す秘術を会得してやがるんだ。			オレたちが戦ってるコボルド族ってのは、やっかいなことに、冶金技術と錬金術に長けていてな。ゴーレムを作り出す秘術を会得してやがるんだ。			コボルド族の補給を絶て							
奴らは、古代のゴーレムが徘徊してる「ニーム浮遊遺跡」で秘術の材料を集めていやがる。大量に作られちまったら、さすがにやっかいだ。			奴らは、古代のゴーレムが徘徊してる「ニーム浮遊遺跡」で秘術の材料を集めていやがる。大量に作られちまったら、さすがにやっかいだ。			コボルド族の補給を絶て							
……お前、少しは戦えるようだな。オレに協力しろ。ゴーレムが量産される前に、奴らの補給を断つんだ。いいか、作戦はこうだ。			……お前、少しは戦えるようだな。オレに協力しろ。ゴーレムが量産される前に、奴らの補給を断つんだ。いいか、作戦はこうだ。			コボルド族の補給を絶て							
まずは「バサルトゴーレム」から、秘術の材料を奪う。次に、こいつを適当に設置して罠にするんだ。材料集めに来ているコボルド族を発見したらブチのめせ！			まずは「バサルトゴーレム」から、秘術の材料を奪う。次に、こいつを適当に設置して罠にするんだ。材料集めに来ているコボルド族を発見したらブチのめせ！			コボルド族の補給を絶て							
それから「冷水入りの水瓶」を持っていけ。材料回収役のコボルドは、錬金薬で力を強化していやがる。こいつで洗い流してやんな！			それから「冷水入りの水瓶」を持っていけ。材料回収役のコボルドは、錬金薬で力を強化していやがる。こいつで洗い流してやんな！			コボルド族の補給を絶て							
ゴーレムを倒し、石兵のソウルストーンを入手×1			ゴーレムを倒し、石兵のソウルストーンを入手×1			コボルド族の補給を絶て							
指定地点に石兵のソウルストーンを設置			指定地点に石兵のソウルストーンを設置			コボルド族の補給を絶て							
待機地点で待つと、コボルド族がpopするのでアイテム使って倒す×1			待機地点で待つと、コボルド族がpopするのでアイテム使って倒す×1			コボルド族の補給を絶て							
うーっし、よくやった！　作戦成功だぜ！！相手の補給を阻止するのも、有効な戦術だ。これで、後の戦いが少しばかり楽になるってもんだ！			うーっし、よくやった！　作戦成功だぜ！！相手の補給を阻止するのも、有効な戦術だ。これで、後の戦いが少しばかり楽になるってもんだ！			コボルド族の補給を絶て							
敵の気配を感じた！！			敵の気配を感じた！！			コボルド族の補給を絶て							
キャンプ・オーバールックのブルーエイディン少甲佐は、冒険者の力を借りたいようだ。			キャンプ・オーバールックのブルーエイディン少甲佐は、冒険者の力を借りたいようだ。			強行偵察部隊の捜索							
コボルド族の強行偵察部隊が、3匹高台に上がってきたらしい。キャンプ・オーバールック付近の「指定地点」を捜索し、「コボルド・ミッションアリー」「コボルド・パトロールマン」「コボルド・ピットマン」を計3体倒そう。			コボルド族の強行偵察部隊が、3匹高台に上がってきたらしい。キャンプ・オーバールック付近の「指定地点」を捜索し、「コボルド・ミッションアリー」「コボルド・パトロールマン」「コボルド・ピットマン」を計3体倒そう。			強行偵察部隊の捜索							
コボルド・ミッションアリー、コボルド・パトロールマン、コボルド・ピットマンを倒した。キャンプ・オーバールックの「ブルーエイディン少甲佐」に報告しよう。			コボルド・ミッションアリー、コボルド・パトロールマン、コボルド・ピットマンを倒した。キャンプ・オーバールックの「ブルーエイディン少甲佐」に報告しよう。			強行偵察部隊の捜索							
冒険者の力に満足した様子のブルーエイディン少甲佐。彼はコボルド族の強行偵察部隊の動きに、見覚えがあるというが……。			冒険者の力に満足した様子のブルーエイディン少甲佐。彼はコボルド族の強行偵察部隊の動きに、見覚えがあるというが……。			強行偵察部隊の捜索							
指定地点を捜索しコボルド族を討伐			指定地点を捜索しコボルド族を討伐			強行偵察部隊の捜索							
ブルーエイディン少甲佐に報告			ブルーエイディン少甲佐に報告			強行偵察部隊の捜索							
お前、なかなか戦える奴だな！どうだ、もうひと仕事やってみねぇか。コボルド族の強行偵察部隊の捜索を手伝ってくれ。			お前、なかなか戦える奴だな！どうだ、もうひと仕事やってみねぇか。コボルド族の強行偵察部隊の捜索を手伝ってくれ。			強行偵察部隊の捜索							
オレの部下が、コボルド族が3匹ばかり、高台に上がってきたのを目撃したそうだ。お前なら、敵部隊と遭遇しても始末できるだろ？			オレの部下が、コボルド族が3匹ばかり、高台に上がってきたのを目撃したそうだ。お前なら、敵部隊と遭遇しても始末できるだろ？			強行偵察部隊の捜索							
3箇所で捜索、コボルド族が一匹ずつpopするので倒す			3箇所で捜索、コボルド族が一匹ずつpopするので倒す			強行偵察部隊の捜索							
がっはっはっは！　お前の活躍を見させてもらったぜ。やるじゃねぇか、強ぇ奴は皆仲間だ！ウチの部隊に勧誘したいくらいだぜ？			がっはっはっは！　お前の活躍を見させてもらったぜ。やるじゃねぇか、強ぇ奴は皆仲間だ！ウチの部隊に勧誘したいくらいだぜ？			強行偵察部隊の捜索							
……しかし、お前が倒したコボルド族の動き。どこかで見たことがある気がするが……。はて……。			……しかし、お前が倒したコボルド族の動き。どこかで見たことがある気がするが……。はて……。			強行偵察部隊の捜索							
敵の気配を感じた！！			敵の気配を感じた！！			強行偵察部隊の捜索							
キャンプ・オーバールックのブルーエイディン少甲佐は、何か思い出したようだ。			キャンプ・オーバールックのブルーエイディン少甲佐は、何か思い出したようだ。			第129洞穴団							
ブラウギバル上等甲兵に傷を負わせた仇、129オーダー・プリーストが近くにいるかもしれない。129オーダー・プリーストをおびき寄せるため、「コボルド式爆弾」を見つけて「小さな火種」で壊そう。			ブラウギバル上等甲兵に傷を負わせた仇、129オーダー・プリーストが近くにいるかもしれない。129オーダー・プリーストをおびき寄せるため、「コボルド式爆弾」を見つけて「小さな火種」で壊そう。			第129洞穴団							
指定地点で待機し、現れた「129オーダー・プリースト」を倒そう。			指定地点で待機し、現れた「129オーダー・プリースト」を倒そう。			第129洞穴団							
129オーダー・プリーストを倒し、コボルドプリーストの鉄兜を手に入れた。キャンプ・オーバールックの「ブルーエイディン少甲佐」に見せよう。			129オーダー・プリーストを倒し、コボルドプリーストの鉄兜を手に入れた。キャンプ・オーバールックの「ブルーエイディン少甲佐」に見せよう。			第129洞穴団							
129オーダー・プリースト討伐をブルーエイディン少甲佐に報告した。キャンプ・ブロンズレイクの「ブラウギバル上等甲兵」に「コボルドプリーストの鉄兜」を渡そう。			129オーダー・プリースト討伐をブルーエイディン少甲佐に報告した。キャンプ・ブロンズレイクの「ブラウギバル上等甲兵」に「コボルドプリーストの鉄兜」を渡そう。			第129洞穴団							
ブラウギバル上等甲兵にコボルドプリーストの鉄兜を渡した。彼は上官が仇を探してくれたこと、冒険者が仇を倒してくれたことに感動したようだ。			ブラウギバル上等甲兵にコボルドプリーストの鉄兜を渡した。彼は上官が仇を探してくれたこと、冒険者が仇を倒してくれたことに感動したようだ。			第129洞穴団							
コボルド式爆弾を小さな火種で発破			コボルド式爆弾を小さな火種で発破			第129洞穴団							
指定地点で待機し129オーダー・プリーストを討伐			指定地点で待機し129オーダー・プリーストを討伐			第129洞穴団							
ブルーエイディン少甲佐にコボルドプリーストの鉄兜を見せる			ブルーエイディン少甲佐にコボルドプリーストの鉄兜を見せる			第129洞穴団							
キャンプ・ブロンズレイクのブラウギバル上等甲兵にコボルドプリーストの鉄兜を渡す			キャンプ・ブロンズレイクのブラウギバル上等甲兵にコボルドプリーストの鉄兜を渡す			第129洞穴団							
先のコボルド族の強行偵察部隊の動き……どこかで見たことがある気がしたんだが、思い出したぜ。奴ら、「129オーダー・プリースト」の部隊だ。			先のコボルド族の強行偵察部隊の動き……どこかで見たことがある気がしたんだが、思い出したぜ。奴ら、「129オーダー・プリースト」の部隊だ。			第129洞穴団							
129オーダー・プリーストは、コボルド族の第129洞穴団を率いる司祭だ。以前、ここにも侵入されたことがある。			129オーダー・プリーストは、コボルド族の第129洞穴団を率いる司祭だ。以前、ここにも侵入されたことがある。			第129洞穴団							
夜間に、それも雨の日だったこともあって、慣れない新入り……ブラウギバルに怪我をさせちまった。家族の長である、オレの責任だ。			夜間に、それも雨の日だったこともあって、慣れない新入り……ブラウギバルに怪我をさせちまった。家族の長である、オレの責任だ。			第129洞穴団							
幸いブラウギバルは怪我だけですんだがな。あれからオレは、家族に傷を負わせた奴をブチ殺すために、ずっと探していたのさ。			幸いブラウギバルは怪我だけですんだがな。あれからオレは、家族に傷を負わせた奴をブチ殺すために、ずっと探していたのさ。			第129洞穴団							
129オーダー・プリーストが現れたということは、近くに「コボルド式爆弾」があるはずだ。逃走時に爆破して追撃を逃れるのが、奴らのやり方だからな。			129オーダー・プリーストが現れたということは、近くに「コボルド式爆弾」があるはずだ。逃走時に爆破して追撃を逃れるのが、奴らのやり方だからな。			第129洞穴団							
……よし、そいつをいただいて、先に爆破しちまおう。音を聞きつけた奴は、きっと様子を見にくる。その時がブチ殺すチャンスだ！			……よし、そいつをいただいて、先に爆破しちまおう。音を聞きつけた奴は、きっと様子を見にくる。その時がブチ殺すチャンスだ！			第129洞穴団							
……お前は強い、この作戦にのってほしい。この「小さな火種」を渡しておく。「コボルド式爆弾」を爆破する時に使うといいぜ。			……お前は強い、この作戦にのってほしい。この「小さな火種」を渡しておく。「コボルド式爆弾」を爆破する時に使うといいぜ。			第129洞穴団							
奴らは姑息だ。裏をかいて、ここに攻めてくる可能性もある。オレはここに残って警戒を強めておくぜ。			奴らは姑息だ。裏をかいて、ここに攻めてくる可能性もある。オレはここに残って警戒を強めておくぜ。			第129洞穴団							
コボルド族の爆発樽を爆薬で発破×3			コボルド族の爆発樽を爆薬で発破×3			第129洞穴団							
最後の大爆発樽の近の待機地点で待機すると、コボルドNMがpopするので倒す			最後の大爆発樽の近の待機地点で待機すると、コボルドNMがpopするので倒す			第129洞穴団							
どうだ！？129オーダー・プリーストは現れたか！？			どうだ！？129オーダー・プリーストは現れたか！？			第129洞穴団							
……こいつは、奴の兜か！？よくやった、倒してくれたんだな！			……こいつは、奴の兜か！？よくやった、倒してくれたんだな！			第129洞穴団							
その兜を「キャンプ・ブロンズレイク」で療養してる、「ブラウギバル上等甲兵」に渡してやってくれないか。奴は甘ちゃんだからな、きっと涙を流して喜ぶだろうぜ。			その兜を「キャンプ・ブロンズレイク」で療養してる、「ブラウギバル上等甲兵」に渡してやってくれないか。奴は甘ちゃんだからな、きっと涙を流して喜ぶだろうぜ。			第129洞穴団							
命を賭けて戦う奴らは、皆オレの家族だ。今日からお前も家族の一員だ！また、いつでも来いよ！　待ってるからな！			命を賭けて戦う奴らは、皆オレの家族だ。今日からお前も家族の一員だ！また、いつでも来いよ！　待ってるからな！			第129洞穴団							
君は……ああ、この間の冒険者だね。ブルーエイディン隊長は、元気にしてたかい？			君は……ああ、この間の冒険者だね。ブルーエイディン隊長は、元気にしてたかい？			第129洞穴団							
こ、これは、僕がやられた129オーダー・プリーストの！？そっか、隊長、僕なんかのために……探し続けてくれたんだ……ぐすっ。			こ、これは、僕がやられた129オーダー・プリーストの！？そっか、隊長、僕なんかのために……探し続けてくれたんだ……ぐすっ。			第129洞穴団							
そして、それを君が倒しただなんて……ぐすっ。怪我が治ったら自分で倒すつもりだったのに、なんてね。……ありがとう、冒険者さん。感謝するよ！			そして、それを君が倒しただなんて……ぐすっ。怪我が治ったら自分で倒すつもりだったのに、なんてね。……ありがとう、冒険者さん。感謝するよ！			第129洞穴団							
敵の気配を感じた！！			敵の気配を感じた！！			第129洞穴団							
