シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
それよりも、次のジュースのことを考えましょう！次は難題よ……！			それよりも、次のジュースのことを考えましょう！次は難題よ……！			力みなぎるジュースクラフト！							
わかった　聞くのは　やめるモブ……フシギ　フシギ……			わかった　聞くのは　やめるモブ……フシギ　フシギ……			力みなぎるジュースクラフト！							
ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「かけがえのない配合職人」と感じているようです！			ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「かけがえのない配合職人」と感じているようです！			力みなぎるジュースクラフト！							
また、「シェーロジャ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「シェーロジャ」から受注可能な、万貨街取引のストーリークエストが発行されました！			力みなぎるジュースクラフト！							
ワチュメキメキ万貨街のラルソジは、急ぎの注文を受けたようだ。			ワチュメキメキ万貨街のラルソジは、急ぎの注文を受けたようだ。			仕事の早い金荒物屋							
ラルソジと話し、ペルペル族の行商人から急ぎの大口依頼があったと聞いた。「トラベルランタン」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			ラルソジと話し、ペルペル族の行商人から急ぎの大口依頼があったと聞いた。「トラベルランタン」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			仕事の早い金荒物屋							
ラルソジにトラベルランタンを納品し、無事にペルペル族の行商人の出発に間に合わせることができた。一方で品質にこだわるあまり、ひとつも完成できなかったパパーニが壺匠に戻ると言って飛び出していってしまった。ラルソジとパパーニの関係が修復できるよう、引き続き見守っていこう。			ラルソジにトラベルランタンを納品し、無事にペルペル族の行商人の出発に間に合わせることができた。一方で品質にこだわるあまり、ひとつも完成できなかったパパーニが壺匠に戻ると言って飛び出していってしまった。ラルソジとパパーニの関係が修復できるよう、引き続き見守っていこう。			仕事の早い金荒物屋							
ラルソジにトラベルランタンを納品			ラルソジにトラベルランタンを納品			仕事の早い金荒物屋							
すみません、私どうしても作業が遅くて……。			すみません、私どうしても作業が遅くて……。			仕事の早い金荒物屋							
Forename！声をかけてくれて助かった、急ぎの仕事が入ったんだ。			Forename！声をかけてくれて助かった、急ぎの仕事が入ったんだ。			仕事の早い金荒物屋							
依頼主は、行商でトライヨラを訪れているペルペル族だ。出発までにできるだけたくさん、「トラベルランタン」を用意してほしいとのこと。			依頼主は、行商でトライヨラを訪れているペルペル族だ。出発までにできるだけたくさん、「トラベルランタン」を用意してほしいとのこと。			仕事の早い金荒物屋							
自分たちが使うのはもちろん、里に持ち帰って、仲間にも売りたいらしい。ふたりとも、よろしく頼むよ。			自分たちが使うのはもちろん、里に持ち帰って、仲間にも売りたいらしい。ふたりとも、よろしく頼むよ。			仕事の早い金荒物屋							
ええと……！！その「トラベルランタン」は、アルパカに下げて使うもの？それとも、人が持つもの？			ええと……！！その「トラベルランタン」は、アルパカに下げて使うもの？それとも、人が持つもの？			仕事の早い金荒物屋							
使い方によって要求される強度も変わるし、大きさや持ちやすさも考えたくて……！			使い方によって要求される強度も変わるし、大きさや持ちやすさも考えたくて……！			仕事の早い金荒物屋							
相変わらずの凝り性だな……。わかったわかった、作業しながら教えるから！			相変わらずの凝り性だな……。わかったわかった、作業しながら教えるから！			仕事の早い金荒物屋							
Forenameさん、あなたは……詳しい要件を聞かなくても大丈夫なの？			Forenameさん、あなたは……詳しい要件を聞かなくても大丈夫なの？			仕事の早い金荒物屋							
何と言う？			何と言う？			仕事の早い金荒物屋							
ペルペル族の暮らしを知っているので大丈夫			ペルペル族の暮らしを知っているので大丈夫			仕事の早い金荒物屋							
己の信念に従って作るのみ！			己の信念に従って作るのみ！			仕事の早い金荒物屋							
なるほど……。私は外に出てなかったから、知見が足りないのかもしれない……。だから使う人の目線がわからなくて手間取るんじゃ……？			なるほど……。私は外に出てなかったから、知見が足りないのかもしれない……。だから使う人の目線がわからなくて手間取るんじゃ……？			仕事の早い金荒物屋							
なるほど……。私は素材も作るべきものもお膳立てしてもらっていたから、自分の信念というものが足りないのかも……。			なるほど……。私は素材も作るべきものもお膳立てしてもらっていたから、自分の信念というものが足りないのかも……。			仕事の早い金荒物屋							
いったいどうしたら……。いや、でも、今は目の前の仕事に集中しないと……。			いったいどうしたら……。いや、でも、今は目の前の仕事に集中しないと……。			仕事の早い金荒物屋							
こいつに教えるのは、俺がやっとく。すまんが、大至急「トラベルランタン」を6つ頼む！			こいつに教えるのは、俺がやっとく。すまんが、大至急「トラベルランタン」を6つ頼む！			仕事の早い金荒物屋							
行商で使うということは、利便性と頑丈さを両立したうえで、軽量にするのも大事だから、そのために必要なのは……。うう、頭が混乱してきた……！			行商で使うということは、利便性と頑丈さを両立したうえで、軽量にするのも大事だから、そのために必要なのは……。うう、頭が混乱してきた……！			仕事の早い金荒物屋							
依頼人の出立まであまり日がない。できるだけ急ぎで「トラベルランタン」の製作を頼む。			依頼人の出立まであまり日がない。できるだけ急ぎで「トラベルランタン」の製作を頼む。			仕事の早い金荒物屋							
ああ、充分に使いやすそうな、立派な「トラベルランタン」だ！これがあれば、森の暗がりも安心して進めるだろう。			ああ、充分に使いやすそうな、立派な「トラベルランタン」だ！これがあれば、森の暗がりも安心して進めるだろう。			仕事の早い金荒物屋							
ああ、俺がつくるよりもずっと立派で、使いやすそうな「トラベルランタン」だ！これがあれば、夜の悪路だって安心して進めるだろう。			ああ、俺がつくるよりもずっと立派で、使いやすそうな「トラベルランタン」だ！これがあれば、夜の悪路だって安心して進めるだろう。			仕事の早い金荒物屋							
おや、もう出立の時間か？			おや、もう出立の時間か？			仕事の早い金荒物屋							
ういうい、もらっていくよ、できあがっている分の「トラベルランタン」を。			ういうい、もらっていくよ、できあがっている分の「トラベルランタン」を。			仕事の早い金荒物屋							
ちょうどよかった。今しがた、このForenameが、仕上げたものを持ってきてくれたところだ。			ちょうどよかった。今しがた、このForenameが、仕上げたものを持ってきてくれたところだ。			仕事の早い金荒物屋							
素晴らしい品だね。限られた時間で作ってくれて、とてもありがたい。			素晴らしい品だね。限られた時間で作ってくれて、とてもありがたい。			仕事の早い金荒物屋							
あんたたち商売人にとっては、時間は金も同然……出立前に、満足いく品を渡せてよかったよ。			あんたたち商売人にとっては、時間は金も同然……出立前に、満足いく品を渡せてよかったよ。			仕事の早い金荒物屋							
ああ、助かるよ。ではよい商いを、これからも。			ああ、助かるよ。ではよい商いを、これからも。			仕事の早い金荒物屋							
Forename。あんたのおかげで、なんとかなってよかった。			Forename。あんたのおかげで、なんとかなってよかった。			仕事の早い金荒物屋							
それというのも……当の本人が一番わかっているだろうが、今回パパーニはひとつも完成させられなかったんだ。			それというのも……当の本人が一番わかっているだろうが、今回パパーニはひとつも完成させられなかったんだ。			仕事の早い金荒物屋							
お客には時間がないことは伝えたはずだ。行商にランタンがなければ、どうなるかくらいはわかるだろ？			お客には時間がないことは伝えたはずだ。行商にランタンがなければ、どうなるかくらいはわかるだろ？			仕事の早い金荒物屋							
できるだけ早く、依頼品を納めるのが信条だと伝えてるはずだ！ここで働く気があるなら、頼むから、手早く製作を済ませてくれ……！			できるだけ早く、依頼品を納めるのが信条だと伝えてるはずだ！ここで働く気があるなら、頼むから、手早く製作を済ませてくれ……！			仕事の早い金荒物屋							
うっ……ぐっ……ごべんなざい……！！			うっ……ぐっ……ごべんなざい……！！			仕事の早い金荒物屋							
Forenameさんみたいに、品質と仕事の早さを両立するなんて技術、私にはない……。			Forenameさんみたいに、品質と仕事の早さを両立するなんて技術、私にはない……。			仕事の早い金荒物屋							
でも、でも……！私はどうしても、品質を無視することはできない！手にとってくれる人には、心地よく使ってほしいから！			でも、でも……！私はどうしても、品質を無視することはできない！手にとってくれる人には、心地よく使ってほしいから！			仕事の早い金荒物屋							
それは元壺匠として、そして職人として、譲れない私の矜持……！私は壺匠を辞めるべきじゃなかった！			それは元壺匠として、そして職人として、譲れない私の矜持……！私は壺匠を辞めるべきじゃなかった！			仕事の早い金荒物屋							
やっぱりモブリン族のところに戻らせてもらいますっ！			やっぱりモブリン族のところに戻らせてもらいますっ！			仕事の早い金荒物屋							
なっ、おい……！！			なっ、おい……！！			仕事の早い金荒物屋							
モブリン族……？どうして彼らの話がでてくる？			モブリン族……？どうして彼らの話がでてくる？			仕事の早い金荒物屋							
いやはや、Forename。うちの店のことですまねぇ……。			いやはや、Forename。うちの店のことですまねぇ……。			仕事の早い金荒物屋							
俺自身、人を雇うことに慣れてねぇから、パパーニにも混乱させちまったのかもしれねぇ。ちょっと頭を整理してから……改めて話をしていいか？			俺自身、人を雇うことに慣れてねぇから、パパーニにも混乱させちまったのかもしれねぇ。ちょっと頭を整理してから……改めて話をしていいか？			仕事の早い金荒物屋							
金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「信頼できる金荒物職人」と感じているようです！			金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「信頼できる金荒物職人」と感じているようです！			仕事の早い金荒物屋							
また、「ラルソジ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「ラルソジ」から受注可能な、万貨街取引のストーリークエストが発行されました！			仕事の早い金荒物屋							
ワチュメキメキ万貨街のシューニェは、順調に商いを続けているようだ。			ワチュメキメキ万貨街のシューニェは、順調に商いを続けているようだ。			自ずから然らしむ							
シューニェから、ワポタに頼まれた商品の調達を依頼された。「都市家屋の浄化用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「都市家屋の浄化用品」は、採掘師の場合シャーローニ荒野のウィダヨーナン台地付近で、園芸師の場合シャーローニ荒野のフーサタイ宿場町付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			シューニェから、ワポタに頼まれた商品の調達を依頼された。「都市家屋の浄化用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「都市家屋の浄化用品」は、採掘師の場合シャーローニ荒野のウィダヨーナン台地付近で、園芸師の場合シャーローニ荒野のフーサタイ宿場町付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			自ずから然らしむ							
シューニェに都市家屋の浄化用品を納品した。シャトナ族は古くから自然とともに暮らすことを良しとしており、都市部で暮らす者が増えた今も、その結びつきを大切にしているようだ。叱られるのを避けたがっているシューニェに代わり、ワポタに集めた品を届けに行こう。			シューニェに都市家屋の浄化用品を納品した。シャトナ族は古くから自然とともに暮らすことを良しとしており、都市部で暮らす者が増えた今も、その結びつきを大切にしているようだ。叱られるのを避けたがっているシューニェに代わり、ワポタに集めた品を届けに行こう。			自ずから然らしむ							
ウィダヨーナン台地付近で採集した都市家屋の浄化用品をシューニェに納品フーサタイ宿場町付近で採集した都市家屋の浄化用品をシューニェに納品採掘師または園芸師になり都市家屋の浄化用品をシューニェに納品			ウィダヨーナン台地付近で採集した都市家屋の浄化用品をシューニェに納品フーサタイ宿場町付近で採集した都市家屋の浄化用品をシューニェに納品採掘師または園芸師になり都市家屋の浄化用品をシューニェに納品			自ずから然らしむ							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			自ずから然らしむ							
里に危険を及ぼしかねない情報を掴んだときには、すぐに帰郷している。そうでない限りは、おおよそ2年に一度だな。			里に危険を及ぼしかねない情報を掴んだときには、すぐに帰郷している。そうでない限りは、おおよそ2年に一度だな。			自ずから然らしむ							
なにせ陸路も空路も、転送網だって整備されていない土地だ。頻繁に戻っていては、学ぶことに時間や労力を割けない……何より、旅費がかかりすぎる。			なにせ陸路も空路も、転送網だって整備されていない土地だ。頻繁に戻っていては、学ぶことに時間や労力を割けない……何より、旅費がかかりすぎる。			自ずから然らしむ							
ああ、いらっしゃい。また様子を見にきてくれたんですねぇ。			ああ、いらっしゃい。また様子を見にきてくれたんですねぇ。			自ずから然らしむ							
頼まれていた作業は終わったぞ。Forenameに何か依頼するなら、俺も手伝おう。			頼まれていた作業は終わったぞ。Forenameに何か依頼するなら、俺も手伝おう。			自ずから然らしむ							
店主としては、ありがたい申し出ですが……いい加減、休憩をとることも覚えてください。体力が無数(メキメキ)なんですか？			店主としては、ありがたい申し出ですが……いい加減、休憩をとることも覚えてください。体力が無数(メキメキ)なんですか？			自ずから然らしむ							
師匠たちに鍛えられてきたからな。旅を続けるのにも体力がいるし、やわな造りはしていない。			師匠たちに鍛えられてきたからな。旅を続けるのにも体力がいるし、やわな造りはしていない。			自ずから然らしむ							
頼もしいことで……。まあ、旅をしていれば体力がつくというのは、身に覚えのある話ですがねぇ。			頼もしいことで……。まあ、旅をしていれば体力がつくというのは、身に覚えのある話ですがねぇ。			自ずから然らしむ							
そうなのか？確かお前は、街からあまり出ないと……			そうなのか？確かお前は、街からあまり出ないと……			自ずから然らしむ							
(-？？？？-)あら、珍しく先客がいるわね。出直したほうがいいかしら？			(-？？？？-)あら、珍しく先客がいるわね。出直したほうがいいかしら？			自ずから然らしむ							
いらっしゃい、ワポタ。大丈夫ですよ、彼らはうちの従業員ですから。			いらっしゃい、ワポタ。大丈夫ですよ、彼らはうちの従業員ですから。			自ずから然らしむ							
なんですって……？あなた、新しい子を雇ったの？			なんですって……？あなた、新しい子を雇ったの？			自ずから然らしむ							
信じられない……！あの調達役が引退したら、いよいよ店じまいだと思ったのに！			信じられない……！あの調達役が引退したら、いよいよ店じまいだと思ったのに！			自ずから然らしむ							
シューニェ、あれからもうずいぶん月日が経ったわ。いったいいつまで、こうして街に引きこもっているつもり？			シューニェ、あれからもうずいぶん月日が経ったわ。いったいいつまで、こうして街に引きこもっているつもり？			自ずから然らしむ							
……それで、ご注文は？買い足すものがあったから、ここへ寄ったんでしょう？			……それで、ご注文は？買い足すものがあったから、ここへ寄ったんでしょう？			自ずから然らしむ							
はぁ…………。			はぁ…………。			自ずから然らしむ							
いつもの……家の浄化に使う品が切れそうなの。あとで、うちまで届けてちょうだい。			いつもの……家の浄化に使う品が切れそうなの。あとで、うちまで届けてちょうだい。			自ずから然らしむ							
……今のはワポタ、母親は違いますが私の姉にあたります。			……今のはワポタ、母親は違いますが私の姉にあたります。			自ずから然らしむ							
あなたたちヴィエラ族は、シャトナ族と同じ特徴を持っているんでしょう？なら、そちらにとっても珍しい話ではないはずですよ。			あなたたちヴィエラ族は、シャトナ族と同じ特徴を持っているんでしょう？なら、そちらにとっても珍しい話ではないはずですよ。			自ずから然らしむ							
シャトナ族にとっては……恐らく、ヴィエラ族にとっても珍しいことじゃありませんよ。			シャトナ族にとっては……恐らく、ヴィエラ族にとっても珍しいことじゃありませんよ。			自ずから然らしむ							
私たちは成長の過程で性別が明らかになりますが、その大半が女性となる。男性の数が、圧倒的に少ないんです。			私たちは成長の過程で性別が明らかになりますが、その大半が女性となる。男性の数が、圧倒的に少ないんです。			自ずから然らしむ							
都合、ほかの部族と違って、一対一で婚姻関係を結ぶという風習がない。異母兄弟はもちろん、異父兄弟もありふれている……。			都合、ほかの部族と違って、一対一で婚姻関係を結ぶという風習がない。異母兄弟はもちろん、異父兄弟もありふれている……。			自ずから然らしむ							
まあ、ワポタが私の何であれ、お客様には変わりありません。粛々と商いを進めましょうか。			まあ、ワポタが私の何であれ、お客様には変わりありません。粛々と商いを進めましょうか。			自ずから然らしむ							
ご所望の品は「都市家屋の浄化用品」でしたね。彼女にとっては、サカ・セージと、ニーケレピ川の清水がそれにあたります。			ご所望の品は「都市家屋の浄化用品」でしたね。彼女にとっては、サカ・セージと、ニーケレピ川の清水がそれにあたります。			自ずから然らしむ							
どちらもちょうど在庫が切れているので、シャーローニ荒野まで、採りにいってもらえますか？			どちらもちょうど在庫が切れているので、シャーローニ荒野まで、採りにいってもらえますか？			自ずから然らしむ							
俺も行こう。お前がやりにくい方を調達してくる。			俺も行こう。お前がやりにくい方を調達してくる。			自ずから然らしむ							
ワポタのことですみません……いろいろと……。シャーローニ荒野で「都市家屋の浄化用品」の調達、よろしくお願いします。			ワポタのことですみません……いろいろと……。シャーローニ荒野で「都市家屋の浄化用品」の調達、よろしくお願いします。			自ずから然らしむ							
ご苦労様です。ウヴロが帰ってきたら、彼の分と合わせて、ワポタに納品するものを確認しましょう。			ご苦労様です。ウヴロが帰ってきたら、彼の分と合わせて、ワポタに納品するものを確認しましょう。			自ずから然らしむ							
ああ、これは……。とても丁寧な仕事をしてくれたのだと、一目でわかります。			ああ、これは……。とても丁寧な仕事をしてくれたのだと、一目でわかります。			自ずから然らしむ							
ウヴロもじきに戻ってくるでしょうから、そのあとに改めて確認をさせてもらいますが……ひとまずこの素晴らしい成果に、お礼を言わせてください。			ウヴロもじきに戻ってくるでしょうから、そのあとに改めて確認をさせてもらいますが……ひとまずこの素晴らしい成果に、お礼を言わせてください。			自ずから然らしむ							
持ってきてもらったもので、質も量も申し分ありません。ふたりとも、ありがとうございました。			持ってきてもらったもので、質も量も申し分ありません。ふたりとも、ありがとうございました。			自ずから然らしむ							
しかし、家の浄化とはどういうことだ？それを使って虫を除けたり、掃除をしたりするのか……？			しかし、家の浄化とはどういうことだ？それを使って虫を除けたり、掃除をしたりするのか……？			自ずから然らしむ							
ふふ、そういう面もなくはないですが……もっと根本的な、シャトナ族の生き方に紐づいた文化ですよ。			ふふ、そういう面もなくはないですが……もっと根本的な、シャトナ族の生き方に紐づいた文化ですよ。			自ずから然らしむ							
シャトナ族は古くから、自然とともに生きることを、何より尊んできました。			シャトナ族は古くから、自然とともに生きることを、何より尊んできました。			自ずから然らしむ							
私たちは、生命の息吹を……とても大きな力の巡りを感じ取っているんです。大地や海、川や森、雨や風に太陽、そして種々の動物たちにも。			私たちは、生命の息吹を……とても大きな力の巡りを感じ取っているんです。大地や海、川や森、雨や風に太陽、そして種々の動物たちにも。			自ずから然らしむ							
それらと触れ合い、恵みを少しわけてもらうことで、自身も、その巡りの一部になれると考えられています。			それらと触れ合い、恵みを少しわけてもらうことで、自身も、その巡りの一部になれると考えられています。			自ずから然らしむ							
なので、暮らす場所も、できるだけ「あるがまま」が良しとされる。			なので、暮らす場所も、できるだけ「あるがまま」が良しとされる。			自ずから然らしむ							
開拓は最低限にして、洞窟に住んだり、ほかの部族が放棄した廃村なんかを再利用したりして、各地に小集落を作ってきたわけですねぇ。			開拓は最低限にして、洞窟に住んだり、ほかの部族が放棄した廃村なんかを再利用したりして、各地に小集落を作ってきたわけですねぇ。			自ずから然らしむ							
……もっとも、グルージャジャ様によって統一が果たされてからは、異部族との交流が盛んになって、価値観も多様化しています。			……もっとも、グルージャジャ様によって統一が果たされてからは、異部族との交流が盛んになって、価値観も多様化しています。			自ずから然らしむ							
都市部に住むことを忌避しなくなってきたし、そういった「時代の流れ」を受け入れることこそ、自然であると考える者もいる……。			都市部に住むことを忌避しなくなってきたし、そういった「時代の流れ」を受け入れることこそ、自然であると考える者もいる……。			自ずから然らしむ							
それでも、街の中……とくに屋内にいると、無性に息苦しさを感じるという人が、まだ少なからず存在しているんです。			それでも、街の中……とくに屋内にいると、無性に息苦しさを感じるという人が、まだ少なからず存在しているんです。			自ずから然らしむ							
なるほど……。だから家の中に自然の恵みを持ち込むんだな。大きな力の巡りから、取り残されてしまわないように。			なるほど……。だから家の中に自然の恵みを持ち込むんだな。大きな力の巡りから、取り残されてしまわないように。			自ずから然らしむ							
ご明察です。サカ・セージはシャーローニ荒野周辺に原生する植物で、人と大いなる力を強く結びつけ、清浄にするとされています。			ご明察です。サカ・セージはシャーローニ荒野周辺に原生する植物で、人と大いなる力を強く結びつけ、清浄にするとされています。			自ずから然らしむ							
一方でニーケレピ川は、トーリ湖をはじめ、複数の湖に流れ込む重要な河川です。その水は、生活に取り入れてきた恵みの代表と言えるでしょう。			一方でニーケレピ川は、トーリ湖をはじめ、複数の湖に流れ込む重要な河川です。その水は、生活に取り入れてきた恵みの代表と言えるでしょう。			自ずから然らしむ							
……ワポタは、長らくあの川の近くで暮らしていましたから。			……ワポタは、長らくあの川の近くで暮らしていましたから。			自ずから然らしむ							
子どもたちが独立したのを機にトライヨラに移ってきて、今は新たな家族と暮らしていますが……彼女にとっては何よりあれらが、自然との繋がりなんでしょう。			子どもたちが独立したのを機にトライヨラに移ってきて、今は新たな家族と暮らしていますが……彼女にとっては何よりあれらが、自然との繋がりなんでしょう。			自ずから然らしむ							
というわけで、おふたりが調達してくれた品を、ワポタの家に届けてあげなければ！			というわけで、おふたりが調達してくれた品を、ワポタの家に届けてあげなければ！			自ずから然らしむ							
ですが……私が行くと、また小言を言われそうですからねぇ。Forename、お駄賃は出しますので、お任せしてもいいですか？			ですが……私が行くと、また小言を言われそうですからねぇ。Forename、お駄賃は出しますので、お任せしてもいいですか？			自ずから然らしむ							
シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「秋の実りのような職人」と感じているようです！			シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「秋の実りのような職人」と感じているようです！			自ずから然らしむ							
また、「シューニェ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「シューニェ」から受注可能な、万貨街取引のストーリークエストが発行されました！			自ずから然らしむ							
ワチュメキメキ万貨街のパメカは、早くも次の依頼に取り掛かりたいようだ。			ワチュメキメキ万貨街のパメカは、早くも次の依頼に取り掛かりたいようだ。			土に囲まれて							
パメカから装丁に使う部材の製作を依頼された。「モブリン様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			パメカから装丁に使う部材の製作を依頼された。「モブリン様式の装丁部材」を6個製作し、ワチュメキメキ万貨街の「パメカ」へ納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			土に囲まれて							
パメカに「モブリン様式の装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			パメカに「モブリン様式の装丁部材」を納品した。デモウェニが語る次の物語に向けて、準備が整い次第ふたたびパメカに声をかけよう。			土に囲まれて							
パメカにモブリン様式の装丁部材を納品			パメカにモブリン様式の装丁部材を納品			土に囲まれて							
これは、Forename君。前回は、ペルペル族の物語についての本ということで、オルコ・パチャ産の素材を使って装丁部材を作りました。			これは、Forename君。前回は、ペルペル族の物語についての本ということで、オルコ・パチャ産の素材を使って装丁部材を作りました。			土に囲まれて							
その結果、物語の世界観が感じられる、素晴らしい装丁に仕上がったと思います。今後も同じ方針で進めていきましょう！			その結果、物語の世界観が感じられる、素晴らしい装丁に仕上がったと思います。今後も同じ方針で進めていきましょう！			土に囲まれて							
次はモブリン族の物語ということでしたが、彼らはハヌハヌ族と同じ、コザマル・カで暮らしています。ちゃんと両者の差別化を図りたいところですね。			次はモブリン族の物語ということでしたが、彼らはハヌハヌ族と同じ、コザマル・カで暮らしています。ちゃんと両者の差別化を図りたいところですね。			土に囲まれて							
コザマル・カで採れる素材の中でも、モブリン族の文化に馴染んだものを選ぶのがよさそうです。「モブリン様式の装丁部材」の準備をお願いします！			コザマル・カで採れる素材の中でも、モブリン族の文化に馴染んだものを選ぶのがよさそうです。「モブリン様式の装丁部材」の準備をお願いします！			土に囲まれて							
モブリン族の物語を本にするにあたって必要な、「モブリン様式の装丁部材」の準備をお願いします！			モブリン族の物語を本にするにあたって必要な、「モブリン様式の装丁部材」の準備をお願いします！			土に囲まれて							
常にマスクで顔を覆ったモブリン族のように、神秘的な雰囲気を漂わせる、素晴らしい装丁部材ですね！			常にマスクで顔を覆ったモブリン族のように、神秘的な雰囲気を漂わせる、素晴らしい装丁部材ですね！			土に囲まれて							
これに使われているのは、コザマル・カ特有のウコギ材？……なるほど、想像が膨らんできました。私の筆も、ノリノリで走りそうです！			これに使われているのは、コザマル・カ特有のウコギ材？……なるほど、想像が膨らんできました。私の筆も、ノリノリで走りそうです！			土に囲まれて							
さて、今回語るはモブリン族の物語。彼らには独自の文化がさまざまあるけれども……			さて、今回語るはモブリン族の物語。彼らには独自の文化がさまざまあるけれども……			土に囲まれて							
あの、デモウェニ君。椅子に座らないのですか？			あの、デモウェニ君。椅子に座らないのですか？			土に囲まれて							
おっと、これは失礼！けど、普段は店内で立ったまま物語を披露してるんで、こうしてた方が、語りに熱が入ると思うんだ。			おっと、これは失礼！けど、普段は店内で立ったまま物語を披露してるんで、こうしてた方が、語りに熱が入ると思うんだ。			土に囲まれて							
はあ、キミが良いのでしたら、こちらは構いません。……それではどうぞ。			はあ、キミが良いのでしたら、こちらは構いません。……それではどうぞ。			土に囲まれて							
皆さんはモブリン族と聞いて、何を思い描くだろうか。顔を覆うマスク、大きな背負子(しょいこ)、それとも……？これは、彼らが大事にしている「壺」に関する物語。			皆さんはモブリン族と聞いて、何を思い描くだろうか。顔を覆うマスク、大きな背負子(しょいこ)、それとも……？これは、彼らが大事にしている「壺」に関する物語。			土に囲まれて							
あるとき、日々の放浪生活に疲れたモブリン族の一団が、定住を望み、地下深くの洞窟を根城に生活を始めた。			あるとき、日々の放浪生活に疲れたモブリン族の一団が、定住を望み、地下深くの洞窟を根城に生活を始めた。			土に囲まれて							
彼らは必要な品をあちこちから調達し、壺に貯め込みながら、快適な我が家をつくりあげていった。しかし、物を集め過ぎたせいで洞窟はすぐに手狭に……。			彼らは必要な品をあちこちから調達し、壺に貯め込みながら、快適な我が家をつくりあげていった。しかし、物を集め過ぎたせいで洞窟はすぐに手狭に……。			土に囲まれて							
そこで彼らはツルハシを振るい、奥底へと穴を拡張……やがて地下に広がる一大都市を築くまでに至った！			そこで彼らはツルハシを振るい、奥底へと穴を拡張……やがて地下に広がる一大都市を築くまでに至った！			土に囲まれて							
……だが、その栄華も長くは続かなかった。あまりに遠くまでトンネルを掘ったため、彼らは海との境目に穴を開けてしまったのだ。			……だが、その栄華も長くは続かなかった。あまりに遠くまでトンネルを掘ったため、彼らは海との境目に穴を開けてしまったのだ。			土に囲まれて							
暴れ狂う濁流に呑まれたモブリンたち。自慢のマスクが仇となり、すぐさま窒息寸前に！			暴れ狂う濁流に呑まれたモブリンたち。自慢のマスクが仇となり、すぐさま窒息寸前に！			土に囲まれて							
これまで必死に貯め込んだものを手放したくない……その一心で、彼らは己の身体を壺の中へと潜らせた！			これまで必死に貯め込んだものを手放したくない……その一心で、彼らは己の身体を壺の中へと潜らせた！			土に囲まれて							
こうして濁流をやり過ごした彼らは、どうにか地上に這い上がると、地底暮らしはこりごりだと、密林の中に新たな集落を築いた。			こうして濁流をやり過ごした彼らは、どうにか地上に這い上がると、地底暮らしはこりごりだと、密林の中に新たな集落を築いた。			土に囲まれて							
このとき、自分たちの命と財貨を守った壺に感謝し、丸みを帯びた陶器で家屋や工房を建てたという。			このとき、自分たちの命と財貨を守った壺に感謝し、丸みを帯びた陶器で家屋や工房を建てたという。			土に囲まれて							
では、モブリン族の地底都市はどうなったのか？その正確な場所は忘れ去られたが、このトラル大陸のどこかに、水に沈んだ都、ムバルポロスは眠っているという……。			では、モブリン族の地底都市はどうなったのか？その正確な場所は忘れ去られたが、このトラル大陸のどこかに、水に沈んだ都、ムバルポロスは眠っているという……。			土に囲まれて							
毎度のことながら、惚れ惚れするような出来映え……物語をしっかりと聞いて、イメージを膨らませてくれたんですね！			毎度のことながら、惚れ惚れするような出来映え……物語をしっかりと聞いて、イメージを膨らませてくれたんですね！			土に囲まれて							
何と言う？			何と言う？			土に囲まれて							
モブリン族はたくましすぎる			モブリン族はたくましすぎる			土に囲まれて							
