空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			魂を扱う者たち							
あっ、おかえりなさい。ごめんね、すっかり話し込んじゃってた……！			あっ、おかえりなさい。ごめんね、すっかり話し込んじゃってた……！			人を知り、国を知る							
話、聞けたみたいだね。一度マフーサのところに戻ろうか！			話、聞けたみたいだね。一度マフーサのところに戻ろうか！			人を知り、国を知る							
それでそれで？キミの感想を聞かせてもらえるかな……？			それでそれで？キミの感想を聞かせてもらえるかな……？			人を知り、国を知る							
何と言う？			何と言う？			人を知り、国を知る							
思ったより普通だった			思ったより普通だった			人を知り、国を知る							
みんな前向きに働いていて偉い			みんな前向きに働いていて偉い			人を知り、国を知る							
エレクトロープが印象的だった			エレクトロープが印象的だった			人を知り、国を知る							
よかったあ……！			よかったあ……！			人を知り、国を知る							
だってそれって、キミの目から見ても、ここのみんなが無理なく働けてるってことだと思うから！			だってそれって、キミの目から見ても、ここのみんなが無理なく働けてるってことだと思うから！			人を知り、国を知る							
ふふっ、面白いこと言うね。キミは働くことに前向きじゃないのかな？			ふふっ、面白いこと言うね。キミは働くことに前向きじゃないのかな？			人を知り、国を知る							
でも、ここアウトスカーツの人たちは特に熱心かもしれない。みんな明るく元気に、やりがいを感じながら、仕事をしてくれてるんだ。			でも、ここアウトスカーツの人たちは特に熱心かもしれない。みんな明るく元気に、やりがいを感じながら、仕事をしてくれてるんだ。			人を知り、国を知る							
あっ、そっか……！キミがいた土地にエレクトロープがなかったのなら、物珍しく思うのも当然かも。			あっ、そっか……！キミがいた土地にエレクトロープがなかったのなら、物珍しく思うのも当然かも。			人を知り、国を知る							
でも、そこまで驚いてないってことは……キミはもっとすごい技術を見たことがあるのかな？ゆっくり話を聞いてみたいなぁ！			でも、そこまで驚いてないってことは……キミはもっとすごい技術を見たことがあるのかな？ゆっくり話を聞いてみたいなぁ！			人を知り、国を知る							
ラマチは、どう感じた？			ラマチは、どう感じた？			人を知り、国を知る							
い、いつの間にアタシの愛称を……！			い、いつの間にアタシの愛称を……！			人を知り、国を知る							
あれ……！？みんなが呼んでたから、てっきりそういうものかなって。ごめん、いきなり馴れ馴れしかった……？			あれ……！？みんなが呼んでたから、てっきりそういうものかなって。ごめん、いきなり馴れ馴れしかった……？			人を知り、国を知る							
いや、別に構わねぇぜ！アタシだって堅苦しいのは苦手だしな。			いや、別に構わねぇぜ！アタシだって堅苦しいのは苦手だしな。			人を知り、国を知る							
アタシの感想はそうだな……やっぱ驚きが強いぜ。こんな環境で、機械に助けられながら農業をするなんて、エレクトロープの存在も含めて、想像もつかねぇことばかりだ。			アタシの感想はそうだな……やっぱ驚きが強いぜ。こんな環境で、機械に助けられながら農業をするなんて、エレクトロープの存在も含めて、想像もつかねぇことばかりだ。			人を知り、国を知る							
その気持ちはわかるよ。私の後ろにある円柱状の装置だって、何に使うかわからないよね。			その気持ちはわかるよ。私の後ろにある円柱状の装置だって、何に使うかわからないよね。			人を知り、国を知る							
あれは作物や家畜のための水を管理してる装置なんだ。ただ、ちょうど不具合が見つかったところなんだけどね……。			あれは作物や家畜のための水を管理してる装置なんだ。ただ、ちょうど不具合が見つかったところなんだけどね……。			人を知り、国を知る							
不具合……？			不具合……？			人を知り、国を知る							
ああ、よくあることだからスフェーン様は心配しないで。給水してきた水が帯雷してたみたいでさ……。			ああ、よくあることだからスフェーン様は心配しないで。給水してきた水が帯雷してたみたいでさ……。			人を知り、国を知る							
おおかた、水源にしてる川で、雷を帯びた魔物が悪さをしてるんだろうよ。			おおかた、水源にしてる川で、雷を帯びた魔物が悪さをしてるんだろうよ。			人を知り、国を知る							
機械兵に退治させれば元どおり。正直、軍に頭を下げて出動を要請するのは、気乗りしないけどね……。			機械兵に退治させれば元どおり。正直、軍に頭を下げて出動を要請するのは、気乗りしないけどね……。			人を知り、国を知る							
……アタシたちでよければ、魔物くらい討伐できるぜ。			……アタシたちでよければ、魔物くらい討伐できるぜ。			人を知り、国を知る							
気持ちはすごく嬉しいけど、危ないよ……！			気持ちはすごく嬉しいけど、危ないよ……！			人を知り、国を知る							
アタシはトライヨラ連王国の武王だ。魔物の相手すらできないほどヤワじゃねぇ。			アタシはトライヨラ連王国の武王だ。魔物の相手すらできないほどヤワじゃねぇ。			人を知り、国を知る							
それに……これから先、この国との関係がどうなるかはわからねぇけどよ、困ってる奴がいるなら、助けてやりてぇと思ってる。			それに……これから先、この国との関係がどうなるかはわからねぇけどよ、困ってる奴がいるなら、助けてやりてぇと思ってる。			人を知り、国を知る							
何より、Forenameは、アタシの何倍も強くて、すっげぇ奴なんだ！			何より、Forenameは、アタシの何倍も強くて、すっげぇ奴なんだ！			人を知り、国を知る							
うーん、それならお言葉に甘えちゃおうかな……。でも、本当に無茶だけはしないでね……！			うーん、それならお言葉に甘えちゃおうかな……。でも、本当に無茶だけはしないでね……！			人を知り、国を知る							
それじゃあ、二手に分かれて、ユーペ円形農地周辺の川を見回ってこようぜ！雷を帯びた魔物とやらを見つけたら退治するんだ！			それじゃあ、二手に分かれて、ユーペ円形農地周辺の川を見回ってこようぜ！雷を帯びた魔物とやらを見つけたら退治するんだ！			人を知り、国を知る							
キミたちの強さを信じてないわけじゃないけど、気をつけてね……！			キミたちの強さを信じてないわけじゃないけど、気をつけてね……！			人を知り、国を知る							
なんだか巻き込んじまって悪いね。危なくなったらすぐに戻ってきとくれよ！			なんだか巻き込んじまって悪いね。危なくなったらすぐに戻ってきとくれよ！			人を知り、国を知る							
こりゃたまげた。あんたたち、ほんとに強いんだねぇ！			こりゃたまげた。あんたたち、ほんとに強いんだねぇ！			人を知り、国を知る							
おかえりなさい！ふたりとも無事でよかった……！			おかえりなさい！ふたりとも無事でよかった……！			人を知り、国を知る							
魔物の退治くらいでそんなに心配すんなって。雷をバチバチさせてた奴らは、粗方倒したと思うぜ！			魔物の退治くらいでそんなに心配すんなって。雷をバチバチさせてた奴らは、粗方倒したと思うぜ！			人を知り、国を知る							
心配するよ……！せっかく巡り会えた人たちだもん。			心配するよ……！せっかく巡り会えた人たちだもん。			人を知り、国を知る							
でも、本当にありがとね！ふたりのおかげで、すっごく助かっちゃった！			でも、本当にありがとね！ふたりのおかげで、すっごく助かっちゃった！			人を知り、国を知る							
ほんと、強いんだねぇ！おかげでゾラージャ様の機械兵に依頼しなくて済んだよ。			ほんと、強いんだねぇ！おかげでゾラージャ様の機械兵に依頼しなくて済んだよ。			人を知り、国を知る							
……ゾラージャ様ってば、何を考えてるのか、ここ最近はやたら機械兵を増産してるくせに、私たちを守るためには出し渋るんだ。			……ゾラージャ様ってば、何を考えてるのか、ここ最近はやたら機械兵を増産してるくせに、私たちを守るためには出し渋るんだ。			人を知り、国を知る							
民の安全なんて、これっぽっちも興味がないんだろうね。それに比べてスフェーン様は……			民の安全なんて、これっぽっちも興味がないんだろうね。それに比べてスフェーン様は……			人を知り、国を知る							
マ、マフーサ……それ以上はストップ！愚痴なら私がいくらでも聞くから！その……ラマチはゾラージャ王の……			マ、マフーサ……それ以上はストップ！愚痴なら私がいくらでも聞くから！その……ラマチはゾラージャ王の……			人を知り、国を知る							
いや、マフーサの言うことは正しい。ゾラージャの奴……それでも民を護る王かよ……。			いや、マフーサの言うことは正しい。ゾラージャの奴……それでも民を護る王かよ……。			人を知り、国を知る							
……とにかく、農地を見学させてくれてありがとな。おかげで、ここのみんなのことが好きになってきたぜ！			……とにかく、農地を見学させてくれてありがとな。おかげで、ここのみんなのことが好きになってきたぜ！			人を知り、国を知る							
嬉しい……！それって私にとって、何よりも嬉しい誉め言葉だよ！			嬉しい……！それって私にとって、何よりも嬉しい誉め言葉だよ！			人を知り、国を知る							
ふっ……スフェーン様は、ほんとに私たちのことが好きだよね。			ふっ……スフェーン様は、ほんとに私たちのことが好きだよね。			人を知り、国を知る							
うん、大好き！みんなは私の家族だもん！			うん、大好き！みんなは私の家族だもん！			人を知り、国を知る							
お前のことも、少しは信頼できそうだ。			お前のことも、少しは信頼できそうだ。			人を知り、国を知る							
けど、それでも敵国の王だってことは変わらねぇし、油断なんてできねぇけどな。			けど、それでも敵国の王だってことは変わらねぇし、油断なんてできねぇけどな。			人を知り、国を知る							
ぷっははは！スフェーン様が敵国の王だなんて、さぞ悪い王様なんだろうねぇ！			ぷっははは！スフェーン様が敵国の王だなんて、さぞ悪い王様なんだろうねぇ！			人を知り、国を知る							
もう、笑いごとじゃないんだよ？			もう、笑いごとじゃないんだよ？			人を知り、国を知る							
王様っていうのは、大勢の人たちの命を背負っていて、ただのひとつの決断でさえ、過ちを許されないんだから……。			王様っていうのは、大勢の人たちの命を背負っていて、ただのひとつの決断でさえ、過ちを許されないんだから……。			人を知り、国を知る							
……さて、仕事の見学はここまで！ふたりともおつかれさま！			……さて、仕事の見学はここまで！ふたりともおつかれさま！			人を知り、国を知る							
空の坑道のアジトのウクラマトは、エバーキープに向かいたいようだ。			空の坑道のアジトのウクラマトは、エバーキープに向かいたいようだ。			ソリューション・ナイン							
エバーキープ前のカフキワと話す			エバーキープ前のカフキワと話す			ソリューション・ナイン							
ウクラマトと話す			ウクラマトと話す			ソリューション・ナイン							
ウクラマトと再度話す			ウクラマトと再度話す			ソリューション・ナイン							
ウクラマトとさらに話す			ウクラマトとさらに話す			ソリューション・ナイン							
私とアルフィノも全然性格が違うけど、ノスタルジアとワヤッケもそうみたいね。そのうち、双子ならではの話もしてみたいわ。			私とアルフィノも全然性格が違うけど、ノスタルジアとワヤッケもそうみたいね。そのうち、双子ならではの話もしてみたいわ。			ソリューション・ナイン							
軍を相手に戦うとなれば、相応の覚悟がいるはずよ……。オブリビオンのメンバーには、それだけの想いがあるのね。			軍を相手に戦うとなれば、相応の覚悟がいるはずよ……。オブリビオンのメンバーには、それだけの想いがあるのね。			ソリューション・ナイン							
いよいよ塔の中に入れるんだな！いや……別に浮かれてるわけじゃないぞ。			いよいよ塔の中に入れるんだな！いや……別に浮かれてるわけじゃないぞ。			ソリューション・ナイン							
おふくろの奴……余計なことを話してないだろうな。			おふくろの奴……余計なことを話してないだろうな。			ソリューション・ナイン							
それじゃあ、そろそろオブリビオンの本拠地に向かおうぜ！カフキワは塔のたもとで待ってるはずだったよな。			それじゃあ、そろそろオブリビオンの本拠地に向かおうぜ！カフキワは塔のたもとで待ってるはずだったよな。			ソリューション・ナイン							
お、きたきた！さっそくエバーキープまで案内をしようじゃないか。			お、きたきた！さっそくエバーキープまで案内をしようじゃないか。			ソリューション・ナイン							
スフェーン様がうまく計らってくれているなら、通してもらえるはずだけど……。			スフェーン様がうまく計らってくれているなら、通してもらえるはずだけど……。			ソリューション・ナイン							
ダメだった場合はどうなるんだ？			ダメだった場合はどうなるんだ？			ソリューション・ナイン							
……最悪、ゾラージャ配下の軍が出張ってくる可能性もあるね。			……最悪、ゾラージャ配下の軍が出張ってくる可能性もあるね。			ソリューション・ナイン							
ここはスフェーンが信頼に足るかどうか試す意味でも、堂々と行こうぜ！			ここはスフェーンが信頼に足るかどうか試す意味でも、堂々と行こうぜ！			ソリューション・ナイン							
厳戒態勢ご苦労さん。そこを通りたいんだけど、どいてくれるかい？			厳戒態勢ご苦労さん。そこを通りたいんだけど、どいてくれるかい？			ソリューション・ナイン							
案内用アウトランナーマシン……登録番号確認。			案内用アウトランナーマシン……登録番号確認。			ソリューション・ナイン							
同行者6名の照会を基幹システムに申請、確認中……。			同行者6名の照会を基幹システムに申請、確認中……。			ソリューション・ナイン							
照会終了……理王スフェーン陛下の客人として登録を確認。どうぞ、お通りください。			照会終了……理王スフェーン陛下の客人として登録を確認。どうぞ、お通りください。			ソリューション・ナイン							
よかった……。ちょっとドキドキしちゃったわ。			よかった……。ちょっとドキドキしちゃったわ。			ソリューション・ナイン							
ひとまず、スフェーン様は約束どおり、基幹システムに登録していてくれたみたいだね。			ひとまず、スフェーン様は約束どおり、基幹システムに登録していてくれたみたいだね。			ソリューション・ナイン							
それじゃあ、行くよ！このエバーキープ最大の居住区、ソリューション・ナインへ！			それじゃあ、行くよ！このエバーキープ最大の居住区、ソリューション・ナインへ！			ソリューション・ナイン							
塔の中にこんなに広い街があるなんて……この場にいても信じられねぇ……。			塔の中にこんなに広い街があるなんて……この場にいても信じられねぇ……。			ソリューション・ナイン							
ええと……ひとまず真っすぐ進んでみるか！迷ったら後ろに戻ればいいだけだもんな！			ええと……ひとまず真っすぐ進んでみるか！迷ったら後ろに戻ればいいだけだもんな！			ソリューション・ナイン							
ううう……いきなり分かれ路だ……！これだけ広いと、どこに行っていいか迷っちまうぜ！			ううう……いきなり分かれ路だ……！これだけ広いと、どこに行っていいか迷っちまうぜ！			ソリューション・ナイン							
よし、決めた……！あっちの手近な建物を見に行ってみようぜ！			よし、決めた……！あっちの手近な建物を見に行ってみようぜ！			ソリューション・ナイン							
テッシャ・パニ廃村のアリゼーは、スフェーンを疑っているようだ。			テッシャ・パニ廃村のアリゼーは、スフェーンを疑っているようだ。			理王スフェーン							
スフェーンと話す			スフェーンと話す			理王スフェーン							
スフェーンと再度話す			スフェーンと再度話す			理王スフェーン							
スフェーンとさらに話す			スフェーンとさらに話す			理王スフェーン							
まあ、警戒してみたところで、今は少しでも情報が必要なのは確かだわ。			まあ、警戒してみたところで、今は少しでも情報が必要なのは確かだわ。			理王スフェーン							
スフェーンが信用できる人物か見極めるためにも、とにかく「アウトスカーツ」とかいう集落に行ってみましょう。			スフェーンが信用できる人物か見極めるためにも、とにかく「アウトスカーツ」とかいう集落に行ってみましょう。			理王スフェーン							
ここは農場だよ。キミたちの国にもあるんじゃないかな？			ここは農場だよ。キミたちの国にもあるんじゃないかな？			理王スフェーン							
あるにはあるけど……アタシたちの国の農場とはまるっきり違って見える。あちこちに見慣れねぇ装置があるしな。			あるにはあるけど……アタシたちの国の農場とはまるっきり違って見える。あちこちに見慣れねぇ装置があるしな。			理王スフェーン							
ふふ……みんなが試行錯誤して、この形に落ち着いたんだ。トライヨラから来た人たちの中には、土を耕す伝統的な農業がしたいっていう人も多くて……。			ふふ……みんなが試行錯誤して、この形に落ち着いたんだ。トライヨラから来た人たちの中には、土を耕す伝統的な農業がしたいっていう人も多くて……。			理王スフェーン							
でも、この環境でしょう？雨が多すぎるし日も差さない……。			でも、この環境でしょう？雨が多すぎるし日も差さない……。			理王スフェーン							
だから、「エレクトロープ」で特殊な装置を造ることで、建物を補強して、足りない力も補うことにしたんだ。			だから、「エレクトロープ」で特殊な装置を造ることで、建物を補強して、足りない力も補うことにしたんだ。			理王スフェーン							
エレクト……なんだって？			エレクト……なんだって？			理王スフェーン							
エレクトロープ。機械を形作っている素材のことなんだけど……			エレクトロープ。機械を形作っている素材のことなんだけど……			理王スフェーン							
詳しい説明はあとにして、町に移動しちゃおうか。奥に見えるのが「アウトスカーツ」だよ！			詳しい説明はあとにして、町に移動しちゃおうか。奥に見えるのが「アウトスカーツ」だよ！			理王スフェーン							
円形の畑なんて、はじめて見たわ。育てている作物は……見慣れたものに見えるけど……。			円形の畑なんて、はじめて見たわ。育てている作物は……見慣れたものに見えるけど……。			理王スフェーン							
すげえ……なんだあの、光って回ってるやつ……！			すげえ……なんだあの、光って回ってるやつ……！			理王スフェーン							
よかった、ちゃんと人が暮らしていそうね……。			よかった、ちゃんと人が暮らしていそうね……。			理王スフェーン							
さっき見た避雷針らしき装置といい、機械仕掛けの兵士といい、かなりの技術力だな。			さっき見た避雷針らしき装置といい、機械仕掛けの兵士といい、かなりの技術力だな。			理王スフェーン							
この先にある集落……日干し煉瓦の町並みには、たしかに見覚えがある。			この先にある集落……日干し煉瓦の町並みには、たしかに見覚えがある。			理王スフェーン							
活気はありそうなんだけど……この天気だと、どうしても元気がないように感じてしまうわね。			活気はありそうなんだけど……この天気だと、どうしても元気がないように感じてしまうわね。			理王スフェーン							
人の気配がたくさんするぜ。ヤースラニ荒野の人たちが無事だといいんだが……！			人の気配がたくさんするぜ。ヤースラニ荒野の人たちが無事だといいんだが……！			理王スフェーン							
……ここまでで、怪しい感じは特にないわね。			……ここまでで、怪しい感じは特にないわね。			理王スフェーン							
伝統的な日干し煉瓦の建物に、機械装置が取り付けられているみたいだ。異なる文化が、上手く融合してるってことか……。			伝統的な日干し煉瓦の建物に、機械装置が取り付けられているみたいだ。異なる文化が、上手く融合してるってことか……。			理王スフェーン							
ここはトナワータ族の集落だった場所だ。当然、機械に見覚えはないがな……。			ここはトナワータ族の集落だった場所だ。当然、機械に見覚えはないがな……。			理王スフェーン							
ここの農場はエレクトロープで効率化している部分もあるけど、すべてが置き換えられたわけじゃないんだ。			ここの農場はエレクトロープで効率化している部分もあるけど、すべてが置き換えられたわけじゃないんだ。			理王スフェーン							
なるべく昔ながらの暮らしを維持したいっていう、ここに住むみんなの希望に合わせてるから。			なるべく昔ながらの暮らしを維持したいっていう、ここに住むみんなの希望に合わせてるから。			理王スフェーン							
トライヨラの文化を尊重してくれたのか……。ありがたい話だけど、言葉すら違うはずなのに、よくそこまで……。			トライヨラの文化を尊重してくれたのか……。ありがたい話だけど、言葉すら違うはずなのに、よくそこまで……。			理王スフェーン							
えっと……言葉に関しては、それほど困らなかったと思うよ。不思議なんだけど、お互いの言葉がすごく似ていて、意思の疎通には大きな問題がなかったから。			えっと……言葉に関しては、それほど困らなかったと思うよ。不思議なんだけど、お互いの言葉がすごく似ていて、意思の疎通には大きな問題がなかったから。			理王スフェーン							
ここヘリテージファウンドとか、アウトスカーツみたいな地名は、便宜上、新しくつけたりする必要があったけれど……部族名とか伝統的な単語は、置き換えられずに使われてたり。			ここヘリテージファウンドとか、アウトスカーツみたいな地名は、便宜上、新しくつけたりする必要があったけれど……部族名とか伝統的な単語は、置き換えられずに使われてたり。			理王スフェーン							
アレクサンドリアとトライヨラの民は、お互いを尊重し合って、うまくやっていこうとしてきたんだ。			アレクサンドリアとトライヨラの民は、お互いを尊重し合って、うまくやっていこうとしてきたんだ。			理王スフェーン							
ほかにも気になることがあれば、何でも聞いてね。私たちのこと、もっと知ってほしいから！			ほかにも気になることがあれば、何でも聞いてね。私たちのこと、もっと知ってほしいから！			理王スフェーン							
まさか、他国の王様と一緒に、農業を見学することになるなんてな……。			まさか、他国の王様と一緒に、農業を見学することになるなんてな……。			理王スフェーン							
ネクサスアーケード前のスフェーンは、街を案内したいようだ。			ネクサスアーケード前のスフェーンは、街を案内したいようだ。			理王のガイドツアー							
スフェーンから説明を聞いた。ソリューション・ナインのネクサスアーケードにいる「スフェーン」と話そう。			スフェーンから説明を聞いた。ソリューション・ナインのネクサスアーケードにいる「スフェーン」と話そう。			理王のガイドツアー							
スフェーンにソリューション・ナインの飲食物を奢ってもらった。ネクサスアーケードの「ウクラマト」と話そう。			スフェーンにソリューション・ナインの飲食物を奢ってもらった。ネクサスアーケードの「ウクラマト」と話そう。			理王のガイドツアー							
スフェーンに次の場所に案内してもらうことになった。ネクサスアーケードの「スフェーン」と話し、同行させよう。			スフェーンに次の場所に案内してもらうことになった。ネクサスアーケードの「スフェーン」と話し、同行させよう。			理王のガイドツアー							
スフェーンとウクラマトを連れて出発した。ソリューション・ナインのモザイク・コーヒー付近にある指定地点で、同行中の「スフェーン」と話そう。※同行状態が解除された場合、再度「スフェーン」に話しかけることで同行を再開できます。			スフェーンとウクラマトを連れて出発した。ソリューション・ナインのモザイク・コーヒー付近にある指定地点で、同行中の「スフェーン」と話そう。※同行状態が解除された場合、再度「スフェーン」に話しかけることで同行を再開できます。			理王のガイドツアー							
スフェーンと話した。ソリューション・ナインのレジデンシャルセクター付近にある指定地点で、同行中の「スフェーン」と話そう。			スフェーンと話した。ソリューション・ナインのレジデンシャルセクター付近にある指定地点で、同行中の「スフェーン」と話そう。			理王のガイドツアー							
スフェーンと話した。ソリューション・ナインの9-14居住殻にある指定地点で、同行中の「スフェーン」と話そう。			スフェーンと話した。ソリューション・ナインの9-14居住殻にある指定地点で、同行中の「スフェーン」と話そう。			理王のガイドツアー							
病と戦っている人たちがいることを知った。9-14居住殻の「スフェーン」と話そう。			病と戦っている人たちがいることを知った。9-14居住殻の「スフェーン」と話そう。			理王のガイドツアー							
スフェーンは冒険者たちに決意を語った。引き続き、彼女の案内でこの国の実情を知っていこう。			スフェーンは冒険者たちに決意を語った。引き続き、彼女の案内でこの国の実情を知っていこう。			理王のガイドツアー							
スフェーンと話す			スフェーンと話す			理王のガイドツアー							
ウクラマトと話す			ウクラマトと話す			理王のガイドツアー							
スフェーンと話して同行させる			スフェーンと話して同行させる			理王のガイドツアー							
同行者ふたりを連れて、指定地点でスフェーンと話す			同行者ふたりを連れて、指定地点でスフェーンと話す			理王のガイドツアー							
同行者ふたりを連れて、指定地点でスフェーンと再度話す			同行者ふたりを連れて、指定地点でスフェーンと再度話す			理王のガイドツアー							
同行者ふたりを連れて、指定地点でスフェーンとさらに話す			同行者ふたりを連れて、指定地点でスフェーンとさらに話す			理王のガイドツアー							
スフェーンと話す			スフェーンと話す			理王のガイドツアー							
スフェーンに案内してもらえるなら、少なくとも迷うことはなさそうだな！			スフェーンに案内してもらえるなら、少なくとも迷うことはなさそうだな！			理王のガイドツアー							
それじゃあ、さっそく案内するね。この街とみんなのことを知ってもらうために。			それじゃあ、さっそく案内するね。この街とみんなのことを知ってもらうために。			理王のガイドツアー							
正直助かるぜ。広すぎて、どう歩いていいかさっぱりだったんだ。			正直助かるぜ。広すぎて、どう歩いていいかさっぱりだったんだ。			理王のガイドツアー							
この街の構造って、ちょっと複雑に感じるかもしれないけど、だいたいの主要な施設は「レイノード」……キミたちが言うところの、エーテライトから行けるんだ。			この街の構造って、ちょっと複雑に感じるかもしれないけど、だいたいの主要な施設は「レイノード」……キミたちが言うところの、エーテライトから行けるんだ。			理王のガイドツアー							
今回は、道順を覚えてもらうためにも歩いて移動するね。まずは……せっかく近くまで来てるし、このネクサスアーケードから案内しようかな。			今回は、道順を覚えてもらうためにも歩いて移動するね。まずは……せっかく近くまで来てるし、このネクサスアーケードから案内しようかな。			理王のガイドツアー							
ふたりとも、こっちに来てくれる？			ふたりとも、こっちに来てくれる？			理王のガイドツアー							
ここは、日用品店や食料品店、それに移動用のスピナーを販売しているお店まで、いろいろなお店が集まった複合施設だよ。			ここは、日用品店や食料品店、それに移動用のスピナーを販売しているお店まで、いろいろなお店が集まった複合施設だよ。			理王のガイドツアー							
エバーキープの中は広いから、あちこち行かなくてもいいように、ここに来ればだいたいの物がそろうようになってるんだ。			エバーキープの中は広いから、あちこち行かなくてもいいように、ここに来ればだいたいの物がそろうようになってるんだ。			理王のガイドツアー							
すっげえ……！			すっげえ……！			理王のガイドツアー							
上の階にはどうやっていくんだ！？階段がないみてぇだが……。			上の階にはどうやっていくんだ！？階段がないみてぇだが……。			理王のガイドツアー							
奥の方に文様が光ってるところがあるでしょ？あれの上に乗ると自動的に移動できるよ。			奥の方に文様が光ってるところがあるでしょ？あれの上に乗ると自動的に移動できるよ。			理王のガイドツアー							
同じような転移装置は、都市内のあちこちにあって……離れた場所に移動したいときに便利なんだ。			同じような転移装置は、都市内のあちこちにあって……離れた場所に移動したいときに便利なんだ。			理王のガイドツアー							
へええ、そんなこともできるんだな……！もしかして、それもエレクトなんとかで出来てるのか！？			へええ、そんなこともできるんだな……！もしかして、それもエレクトなんとかで出来てるのか！？			理王のガイドツアー							
ふふっ……エレクトロープのこと？半分正解、かな。			ふふっ……エレクトロープのこと？半分正解、かな。			理王のガイドツアー							
転移装置もそうだけど、このソリューション・ナインにあるもの、ううん……エバーキープにあるほぼすべてのものが、エレクトロープで出来てるんだよ。			転移装置もそうだけど、このソリューション・ナインにあるもの、ううん……エバーキープにあるほぼすべてのものが、エレクトロープで出来てるんだよ。			理王のガイドツアー							
生活に必要な設備も、この床や壁だってエレクトロープ製。雷の力を蓄えたエレクトロープに魔法回路を刻むと、火、水、風、氷、土……といった様々な属性の力に変換できるの。			生活に必要な設備も、この床や壁だってエレクトロープ製。雷の力を蓄えたエレクトロープに魔法回路を刻むと、火、水、風、氷、土……といった様々な属性の力に変換できるの。			理王のガイドツアー							
たとえば「風属性」に変換すれば、エレクトロープそのものを浮かせたり、人や物を浮かせたり……空を飛ぶスピナーの動力にも利用できる。			たとえば「風属性」に変換すれば、エレクトロープそのものを浮かせたり、人や物を浮かせたり……空を飛ぶスピナーの動力にも利用できる。			理王のガイドツアー							
「火属性」に変換すれば、照明の光源や、暖房やオーブンの熱源になる、とかね。飲み物を温めてくれるタンブラーだってあるんだよ？			「火属性」に変換すれば、照明の光源や、暖房やオーブンの熱源になる、とかね。飲み物を温めてくれるタンブラーだってあるんだよ？			理王のガイドツアー							
じゃあ「氷属性」の場合は、逆に飲み物を冷やしたりもできるってことか？			じゃあ「氷属性」の場合は、逆に飲み物を冷やしたりもできるってことか？			理王のガイドツアー							
そうそう、冷たい飲料の販売機とかね！			そうそう、冷たい飲料の販売機とかね！			理王のガイドツアー							
それだけじゃなくて、複数の属性をかけ合わせることもあるよ。風属性で空気を操ってから、雷属性でそこに光の像を投影すれば、エレクトロープの床を、木製の床に見せかけることだってできる。			それだけじゃなくて、複数の属性をかけ合わせることもあるよ。風属性で空気を操ってから、雷属性でそこに光の像を投影すれば、エレクトロープの床を、木製の床に見せかけることだってできる。			理王のガイドツアー							
恐いくらい何でもできるんだな……。そんな便利なモノがトライヨラにあったら、奪い合いになりそうだぜ。			恐いくらい何でもできるんだな……。そんな便利なモノがトライヨラにあったら、奪い合いになりそうだぜ。			理王のガイドツアー							
なあ、あれは何屋なんだ？			なあ、あれは何屋なんだ？			理王のガイドツアー							
気になる？じゃあ、見にいってみよっか！			気になる？じゃあ、見にいってみよっか！			理王のガイドツアー							
キミも一緒に行こう？珍しいものがあるかもしれないし、きっと楽しいよ。			キミも一緒に行こう？珍しいものがあるかもしれないし、きっと楽しいよ。			理王のガイドツアー							
ここに商品みてぇのが並んでるが、何の店だ……？			ここに商品みてぇのが並んでるが、何の店だ……？			理王のガイドツアー							
ここはね、食べ物を売ってくれてるお店だよ。カウンターに並んでる商品は、全部食べ物なの！			ここはね、食べ物を売ってくれてるお店だよ。カウンターに並んでる商品は、全部食べ物なの！			理王のガイドツアー							
これが食いもん！？ぜんっぜん、味の想像がつかねえ……。			これが食いもん！？ぜんっぜん、味の想像がつかねえ……。			理王のガイドツアー							
ふふっ、びっくりするよね。			ふふっ、びっくりするよね。			理王のガイドツアー							
最近はもうみんな慣れてきたけど……トライヨラ出身の人も、最初はそうやって驚いてたなぁ。			最近はもうみんな慣れてきたけど……トライヨラ出身の人も、最初はそうやって驚いてたなぁ。			理王のガイドツアー							
ふたりも、せっかくだから試してみる？お代は私が持つから、気になるものを選んでみて！			ふたりも、せっかくだから試してみる？お代は私が持つから、気になるものを選んでみて！			理王のガイドツアー							
いらっしゃい！スフェーン様のおごりだなんて羨ましいねぇ。			いらっしゃい！スフェーン様のおごりだなんて羨ましいねぇ。			理王のガイドツアー							
ウチのイチオシ商品は、そこに出てる5つだ。初めてならその中から選ぶといいぜ！			ウチのイチオシ商品は、そこに出てる5つだ。初めてならその中から選ぶといいぜ！			理王のガイドツアー							
試してみたい商品を選ぼう！			試してみたい商品を選ぼう！			理王のガイドツアー							
そいつは、「合成フルーツペレット」だな。かつて存在した幻の果実……ブドウの味と食感を、可能な限り再現した人気商品さ。			そいつは、「合成フルーツペレット」だな。かつて存在した幻の果実……ブドウの味と食感を、可能な限り再現した人気商品さ。			理王のガイドツアー							
まあ、俺は本物のブドウってやつを食べたことがないから、どの程度、再現できてるのかはわからねぇけどな。			まあ、俺は本物のブドウってやつを食べたことがないから、どの程度、再現できてるのかはわからねぇけどな。			理王のガイドツアー							
おっ、「ドリンクパウチ」を選んだってことは、喉が渇いてるのか？			おっ、「ドリンクパウチ」を選んだってことは、喉が渇いてるのか？			理王のガイドツアー							
