潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			幻の霊薬							
「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			「トノサマユメミ」はその長寿ゆえ、ほかの貝とは比べものにならないほど、魔力を溜め込んでいるとか。好物につられて、出てくるとよいのですけれど……。			幻の霊薬							
様子を見にきたんじゃが……どうじゃったかのぉ～？好物に引き寄せられて、出てきたヤツはおったかのぉ～……。			様子を見にきたんじゃが……どうじゃったかのぉ～？好物に引き寄せられて、出てきたヤツはおったかのぉ～……。			幻の霊薬							
紅玉海から姿を消した、幻の大貝をおびき出し、倒したとおっしゃるのですか……。思いのほか、大変なお願いをしてしまったようですね……。			紅玉海から姿を消した、幻の大貝をおびき出し、倒したとおっしゃるのですか……。思いのほか、大変なお願いをしてしまったようですね……。			幻の霊薬							
インバン様が心配して、様子を見にきてくださいました。「トノサマユメミの殻」さえ手に入れば、ヒスイを目覚めさせる霊薬を、作っていただけるのですけど……。			インバン様が心配して、様子を見にきてくださいました。「トノサマユメミの殻」さえ手に入れば、ヒスイを目覚めさせる霊薬を、作っていただけるのですけど……。			幻の霊薬							
これが、「トノサマユメミの殻」……！？まだ、生き残っていたのですね！			これが、「トノサマユメミの殻」……！？まだ、生き残っていたのですね！			幻の霊薬							
おぉ～、そこらのユメミガイとは、比べものにならんほど、霊験あらたかな貝殻じゃぁ～！まさか、幻のトノサマユメミを見つけるとはのぉ～！			おぉ～、そこらのユメミガイとは、比べものにならんほど、霊験あらたかな貝殻じゃぁ～！まさか、幻のトノサマユメミを見つけるとはのぉ～！			幻の霊薬							
……むかし、ワシらが狩りまくったもんじゃから、もっと深い穴へ移り住んでおったのかもしれんのぉ～。娘さんたちには、すまんことをしたのぉ～。			……むかし、ワシらが狩りまくったもんじゃから、もっと深い穴へ移り住んでおったのかもしれんのぉ～。娘さんたちには、すまんことをしたのぉ～。			幻の霊薬							
せめてもの罪滅ぼしじゃ、ワシにそいつを預けてもらえるかのぉ～？目覚めの霊薬を作って、スイの里へ届けてやろう。ちょいと時間をもらうが、なに、効果はてきめんじゃろうてぇ～。			せめてもの罪滅ぼしじゃ、ワシにそいつを預けてもらえるかのぉ～？目覚めの霊薬を作って、スイの里へ届けてやろう。ちょいと時間をもらうが、なに、効果はてきめんじゃろうてぇ～。			幻の霊薬							
いよいよ、ヒスイを目覚めさせることができるのですね。どうか、よろしくお願いいたします……！			いよいよ、ヒスイを目覚めさせることができるのですね。どうか、よろしくお願いいたします……！			幻の霊薬							
あなた様には、何と御礼を申せばよいのでしょうか……。それでは「スイの里」へ戻り、吉報を待つと致しましょう……！			あなた様には、何と御礼を申せばよいのでしょうか……。それでは「スイの里」へ戻り、吉報を待つと致しましょう……！			幻の霊薬							
……目覚めの霊薬のことは、シオサイにも伝えました。幻の大貝を見つけ、倒したあなた様のお力に、たいへん感銘を受けておりました。			……目覚めの霊薬のことは、シオサイにも伝えました。幻の大貝を見つけ、倒したあなた様のお力に、たいへん感銘を受けておりました。			幻の霊薬							
おかげさまで、あとはインバン様が、薬を届けてくださるのを、待つのみ……。効きめは折り紙つきとのことですから、期待して待ちましょう。			おかげさまで、あとはインバン様が、薬を届けてくださるのを、待つのみ……。効きめは折り紙つきとのことですから、期待して待ちましょう。			幻の霊薬							
そして……ただの御案内にとどまらず、思いのほか大変な旅になってしまったこと、お詫び申し上げます。			そして……ただの御案内にとどまらず、思いのほか大変な旅になってしまったこと、お詫び申し上げます。			幻の霊薬							
……思い返せば、あなた様との出会いが、まさに潮の変わり目でした。私も宮殿の外に、いろいろな方が暮らしていることを知りました。			……思い返せば、あなた様との出会いが、まさに潮の変わり目でした。私も宮殿の外に、いろいろな方が暮らしていることを知りました。			幻の霊薬							
いずれ私は紫水宮に戻り、「紅玉姫」として生きねばなりませんが、あなた様との旅の思い出を胸に、心穏やかに暮らしてゆけましょう。			いずれ私は紫水宮に戻り、「紅玉姫」として生きねばなりませんが、あなた様との旅の思い出を胸に、心穏やかに暮らしてゆけましょう。			幻の霊薬							
私が里におりますのは、ヒスイが眠りから覚めるまで。残るは短い間ですが……もう少しだけ、おつきあいくださいまし。			私が里におりますのは、ヒスイが眠りから覚めるまで。残るは短い間ですが……もう少しだけ、おつきあいくださいまし。			幻の霊薬							
スイの里のリセは、ヤサカニノマガタマ探しを始めたいようだ。			スイの里のリセは、ヤサカニノマガタマ探しを始めたいようだ。			秘色に暮らす民							
シオサイを探す			シオサイを探す			秘色に暮らす民							
アリゼーと話す			アリゼーと話す			秘色に暮らす民							
本当に、おまじないでどうにかなっちゃったわ。これが「東洋の神秘」ってやつなのね……！？			本当に、おまじないでどうにかなっちゃったわ。これが「東洋の神秘」ってやつなのね……！？			秘色に暮らす民							
じゃあ、どこからあたろうか？ソロバンは確か、仕切り役の……「シオサイ」って人に聞いてみろって言ってたよね。			じゃあ、どこからあたろうか？ソロバンは確か、仕切り役の……「シオサイ」って人に聞いてみろって言ってたよね。			秘色に暮らす民							
ほかにあてもないし、その人を探すしかなさそうね。			ほかにあてもないし、その人を探すしかなさそうね。			秘色に暮らす民							
ただ……さっきから、里の住民に睨まれてる気がするのよ。余所者だから当然かもしれないけれど、少しだけ、気を引き締めて行きましょう。			ただ……さっきから、里の住民に睨まれてる気がするのよ。余所者だから当然かもしれないけれど、少しだけ、気を引き締めて行きましょう。			秘色に暮らす民							
こうも街並みが独特だと、偉い人のいる場所にも、見当がつきにくいものだね……。			こうも街並みが独特だと、偉い人のいる場所にも、見当がつきにくいものだね……。			秘色に暮らす民							
店があるってことは、規模はそれなりね。仕切り役って、具体的には村長とかかしら？			店があるってことは、規模はそれなりね。仕切り役って、具体的には村長とかかしら？			秘色に暮らす民							
この人が、そうなのかな……？			この人が、そうなのかな……？			秘色に暮らす民							
……お引き取りを。見世物では、ございませぬゆえ。			……お引き取りを。見世物では、ございませぬゆえ。			秘色に暮らす民							
いきなり、ごめんなさい。アタシはリセ……それに、アリゼーとForenameだよ。			いきなり、ごめんなさい。アタシはリセ……それに、アリゼーとForenameだよ。			秘色に暮らす民							
アタシたちは、スイの里の仕切り役をしている、「シオサイ」さんを探してるんだけど……あなたでよかったかな？			アタシたちは、スイの里の仕切り役をしている、「シオサイ」さんを探してるんだけど……あなたでよかったかな？			秘色に暮らす民							
……そのおっしゃりようだと、碧甲羅の紹介ですか。			……そのおっしゃりようだと、碧甲羅の紹介ですか。			秘色に暮らす民							
仕切り役などと名乗った覚えはございませぬが、「紫水宮」が宮司(みやつかさ)の、シオサイと申します。			仕切り役などと名乗った覚えはございませぬが、「紫水宮」が宮司(みやつかさ)の、シオサイと申します。			秘色に暮らす民							
よかった……！さっそくだけど、聞きたいことがあるんだ。「ヤサカニノマガタマ」っていう宝物のことなんだけど……。			よかった……！さっそくだけど、聞きたいことがあるんだ。「ヤサカニノマガタマ」っていう宝物のことなんだけど……。			秘色に暮らす民							
失礼ですが、それ以上は口にせぬようお願いします。			失礼ですが、それ以上は口にせぬようお願いします。			秘色に暮らす民							
わたくしどもは、外から変化が持ち込まれることを望みませぬ。余所の宝物を巡る騒動など、もってのほかでございます。			わたくしどもは、外から変化が持ち込まれることを望みませぬ。余所の宝物を巡る騒動など、もってのほかでございます。			秘色に暮らす民							
キュッ、キュゥゥ～！			キュッ、キュゥゥ～！			秘色に暮らす民							
……イソベ。少々、静かにしていてください。			……イソベ。少々、静かにしていてください。			秘色に暮らす民							
ともかく、貴方がたのご要望には、お応えいたしかねます。申し訳ございませぬが、疾く、お引き取りください。			ともかく、貴方がたのご要望には、お応えいたしかねます。申し訳ございませぬが、疾く、お引き取りください。			秘色に暮らす民							
……ねえ、そもそもここはどういう集落なの？私たちを拒絶するのにも、それなりの理由がありそうだけど？			……ねえ、そもそもここはどういう集落なの？私たちを拒絶するのにも、それなりの理由がありそうだけど？			秘色に暮らす民							
……ここ「スイの里」は、アウラ・スイの集落。我らが紫水の君「紅玉姫」を中心として、一同、つつましやかに暮らしております。			……ここ「スイの里」は、アウラ・スイの集落。我らが紫水の君「紅玉姫」を中心として、一同、つつましやかに暮らしております。			秘色に暮らす民							
その起こりは古く、アウラ・レンが各地に散りはじめた際、争いを避けんと海底に身を寄せた者が、そのまま定住し、独自の文化を発展させてきたとされています。			その起こりは古く、アウラ・レンが各地に散りはじめた際、争いを避けんと海底に身を寄せた者が、そのまま定住し、独自の文化を発展させてきたとされています。			秘色に暮らす民							
歴史上、諸国と協力関係を結んでいたこともございますが、基本的には最低限の交わりにとどめるのが、わたくしどもの生き方……。			歴史上、諸国と協力関係を結んでいたこともございますが、基本的には最低限の交わりにとどめるのが、わたくしどもの生き方……。			秘色に暮らす民							
特に、ドマが戦火に呑まれてから25年は、姫様のご指示により、外との関わりを極力断っているのです。			特に、ドマが戦火に呑まれてから25年は、姫様のご指示により、外との関わりを極力断っているのです。			秘色に暮らす民							
極力、か……。確かに、生活に必要なすべてのものを、この集落内だけでは、まかなえないでしょうからね。			極力、か……。確かに、生活に必要なすべてのものを、この集落内だけでは、まかなえないでしょうからね。			秘色に暮らす民							
だったら、私たちも、例外として認めてもらえない？里の不利益になるようなことはしないし、騒ぎ立てもしないから、ただ話を聞かせてほしいのよ。			だったら、私たちも、例外として認めてもらえない？里の不利益になるようなことはしないし、騒ぎ立てもしないから、ただ話を聞かせてほしいのよ。			秘色に暮らす民							
…………ご勘弁を。ならぬことは、ならぬのです。			…………ご勘弁を。ならぬことは、ならぬのです。			秘色に暮らす民							
荒事は望みませぬゆえ、貴方がたを叩きだすような真似はいたしませぬ。個人的に声をかける者があれば、それも赦しましょう。			荒事は望みませぬゆえ、貴方がたを叩きだすような真似はいたしませぬ。個人的に声をかける者があれば、それも赦しましょう。			秘色に暮らす民							
しかし、里全体としては「否」なのです。宮司たるわたくしが、進んで協力するなど到底できませぬ。どうか、お引き取りを……。			しかし、里全体としては「否」なのです。宮司たるわたくしが、進んで協力するなど到底できませぬ。どうか、お引き取りを……。			秘色に暮らす民							
仕方ない……。とりあえず、向こうへ行きましょうか。			仕方ない……。とりあえず、向こうへ行きましょうか。			秘色に暮らす民							
知らない土地で拒絶されるのって、何度経験しても、しんどいなぁ……。塞いでなんていられないけど、さ。			知らない土地で拒絶されるのって、何度経験しても、しんどいなぁ……。塞いでなんていられないけど、さ。			秘色に暮らす民							
どうか、お引き取りください。ただでさえも政情不安を音に聞く昨今、里の者が怯えますゆえ……。			どうか、お引き取りください。ただでさえも政情不安を音に聞く昨今、里の者が怯えますゆえ……。			秘色に暮らす民							
あっちでもこっちでも、協力を取りつけるだけのことが、こんなに難しいなんてね……。			あっちでもこっちでも、協力を取りつけるだけのことが、こんなに難しいなんてね……。			秘色に暮らす民							
およそ25年、アラミゴ以上の長きにわたって、帝国の影響下におかれてきた土地に、変化をもたらす……覚悟してたつもりだけど、壁ばっかりだわ……。			およそ25年、アラミゴ以上の長きにわたって、帝国の影響下におかれてきた土地に、変化をもたらす……覚悟してたつもりだけど、壁ばっかりだわ……。			秘色に暮らす民							
何か……何か手を考えないと……。もう少しだけ無事でいてよね、ゴウセツ……。			何か……何か手を考えないと……。もう少しだけ無事でいてよね、ゴウセツ……。			秘色に暮らす民							
スイの里のクレナイは、冒険者の旅支度が整うのを待っているようだ。			スイの里のクレナイは、冒険者の旅支度が整うのを待っているようだ。			御伽草子の島							
まずは御伽草子の内容を確かめるために、オノコロ島をめざすことになった。紅玉海の筋違砦にいる「クレナイ」と話そう。			まずは御伽草子の内容を確かめるために、オノコロ島をめざすことになった。紅玉海の筋違砦にいる「クレナイ」と話そう。			御伽草子の島							
冒険者の顔を見た海賊は素早く態度を変え、年に一度訪れるという老人のことを教えてくれた。紅玉海の早逃桟橋にいる「海を見る老漁師」と話そう。			冒険者の顔を見た海賊は素早く態度を変え、年に一度訪れるという老人のことを教えてくれた。紅玉海の早逃桟橋にいる「海を見る老漁師」と話そう。			御伽草子の島							
老漁師と話し、断片的だった御伽草子の内容が判明した。スイの里へ戻り、「クレナイ」と話そう。			老漁師と話し、断片的だった御伽草子の内容が判明した。スイの里へ戻り、「クレナイ」と話そう。			御伽草子の島							
クレナイと話した。御伽草子は現実と符合する点が多く、実話がもとになっている可能性が出てきた。次はヒスイを目覚めさせる霊薬を求めて、碧のタマミズへ向かう準備をしよう。			クレナイと話した。御伽草子は現実と符合する点が多く、実話がもとになっている可能性が出てきた。次はヒスイを目覚めさせる霊薬を求めて、碧のタマミズへ向かう準備をしよう。			御伽草子の島							
クレナイと話す			クレナイと話す			御伽草子の島							
海を見る老漁師と話す			海を見る老漁師と話す			御伽草子の島							
クレナイと話す			クレナイと話す			御伽草子の島							
おそらく……ヒスイはもう二度と、目を覚まさないでしょう。身体は健在でも、消えた魂が戻ることはありませぬゆえ。されど姫様は、手を尽くすまで、その事実を受け入れぬはず。			おそらく……ヒスイはもう二度と、目を覚まさないでしょう。身体は健在でも、消えた魂が戻ることはありませぬゆえ。されど姫様は、手を尽くすまで、その事実を受け入れぬはず。			御伽草子の島							
姫様が過酷な現実を悟り、再び明日への歩みを始められるまで、しばし、貴方におつきあいいただきたいのです。……重ねて、お頼み申し上げます。			姫様が過酷な現実を悟り、再び明日への歩みを始められるまで、しばし、貴方におつきあいいただきたいのです。……重ねて、お頼み申し上げます。			御伽草子の島							
旅の支度は、終わりましたか？さっそくですが、まずは「オノコロ島」に向かいたいと存じます。……ある御伽草子(おとぎぞうし)の内容を確かめたいのです。			旅の支度は、終わりましたか？さっそくですが、まずは「オノコロ島」に向かいたいと存じます。……ある御伽草子(おとぎぞうし)の内容を確かめたいのです。			御伽草子の島							
外との交流はほとんどない、私どもですが……稀に、碧甲羅の方々が里を訪れることがございます。			外との交流はほとんどない、私どもですが……稀に、碧甲羅の方々が里を訪れることがございます。			御伽草子の島							
その御伽草子は、彼らから、子どものころにいただいた1冊。クガネで書かれたという古い本で、紅玉海の漁師をめぐる、御伽噺でありました。			その御伽草子は、彼らから、子どものころにいただいた1冊。クガネで書かれたという古い本で、紅玉海の漁師をめぐる、御伽噺でありました。			御伽草子の島							
ぼろぼろで、筋も追えないほどなのですが……ただ、何年も眠ったままだった姫が、不思議な霊薬で目を覚ます、というくだりがあるのです。			ぼろぼろで、筋も追えないほどなのですが……ただ、何年も眠ったままだった姫が、不思議な霊薬で目を覚ます、というくだりがあるのです。			御伽草子の島							
地名などは現実に即したものでしたし、もしや、実話がもとになっているのでは、とも思え……。			地名などは現実に即したものでしたし、もしや、実話がもとになっているのでは、とも思え……。			御伽草子の島							
その物語のはじまりが、「オノコロ島」というわけなのです。あなた様は、かの島を訪れたことはございますか？			その物語のはじまりが、「オノコロ島」というわけなのです。あなた様は、かの島を訪れたことはございますか？			御伽草子の島							
まあ、何と心強い……！それでは、御案内をお願いいたします。			まあ、何と心強い……！それでは、御案内をお願いいたします。			御伽草子の島							
そうですか、姫様はオノコロ島へ……。あそこは海賊衆の根城、筋違砦がある島……危険はございますが、貴方にご随伴いただけるならば、まずは安心かと。			そうですか、姫様はオノコロ島へ……。あそこは海賊衆の根城、筋違砦がある島……危険はございますが、貴方にご随伴いただけるならば、まずは安心かと。			御伽草子の島							
姐さんあんさん、悪いがちょっと忙しいんだ！このお嬢様を、歓迎してるとこなんでなァ……！			姐さんあんさん、悪いがちょっと忙しいんだ！このお嬢様を、歓迎してるとこなんでなァ……！			御伽草子の島							
こちらが、オノコロ島でしたね？着くなりこの方に声をかけられて、お話を伺っておりました。			こちらが、オノコロ島でしたね？着くなりこの方に声をかけられて、お話を伺っておりました。			御伽草子の島							
ん…………何だァ、姐さんあんさん？			ん…………何だァ、姐さんあんさん？			御伽草子の島							
何と答える？			何と答える？			御伽草子の島							
頭が高い！			頭が高い！			御伽草子の島							
…………。			…………。			御伽草子の島							
姐さんあんさん……ずいぶん偉そうな態度じゃねえかァ、え？いったい何者……			姐さんあんさん……ずいぶん偉そうな態度じゃねえかァ、え？いったい何者……			御伽草子の島							
おい……黙ってちゃ、わかんねェぞ……？			おい……黙ってちゃ、わかんねェぞ……？			御伽草子の島							
って……そのツラ……たしか、頭領と話をしてた……！こいつぁ、失礼しやしたァッ！			って……そのツラ……たしか、頭領と話をしてた……！こいつぁ、失礼しやしたァッ！			御伽草子の島							
ヘヘヘ……俺様は、強いヤツと金目のモノには巻かれる主義なんだ。そっちのお嬢様に恩を売っとけば、後でいいことがあるとみたね！で、島へは何の用でェ……？			ヘヘヘ……俺様は、強いヤツと金目のモノには巻かれる主義なんだ。そっちのお嬢様に恩を売っとけば、後でいいことがあるとみたね！で、島へは何の用でェ……？			御伽草子の島							
漁師が主役の御伽噺(おとぎばなし)か……聞いたことがないな。ああでも、ふっるい話だったら、知ってそうなじいさんがいる。			漁師が主役の御伽噺(おとぎばなし)か……聞いたことがないな。ああでも、ふっるい話だったら、知ってそうなじいさんがいる。			御伽草子の島							
年に一度だけ、ここを訪れる漁師のじいさんだ。海賊衆いちばんの古株がガキのころにゃ、すでにジジイだったとか。何かの大物を追ってるらしくて、毎年、島に来るんだよ。			年に一度だけ、ここを訪れる漁師のじいさんだ。海賊衆いちばんの古株がガキのころにゃ、すでにジジイだったとか。何かの大物を追ってるらしくて、毎年、島に来るんだよ。			御伽草子の島							
……たしか、いまがちょうどその時期だ。たぶん「早逃桟橋」に行けば、会えるはずだぜェッ！			……たしか、いまがちょうどその時期だ。たぶん「早逃桟橋」に行けば、会えるはずだぜェッ！			御伽草子の島							
貴重なお話、ありがとうございます……親切なお方！さっそく、向かってみます。			貴重なお話、ありがとうございます……親切なお方！さっそく、向かってみます。			御伽草子の島							
へへ…………俺様が親切なお方たぁ、こそばゆいなァ！万が一、役に立ったときは、ちゃんと礼をしにこいよ。俺様の名前を忘れずになァッ！			へへ…………俺様が親切なお方たぁ、こそばゆいなァ！万が一、役に立ったときは、ちゃんと礼をしにこいよ。俺様の名前を忘れずになァッ！			御伽草子の島							
あ…………いまの方、お名前をおっしゃらなかったような……？御礼を届けようにも……どなたに宛てれば？			あ…………いまの方、お名前をおっしゃらなかったような……？御礼を届けようにも……どなたに宛てれば？			御伽草子の島							
せっかく親切にしていただいたのに、申し訳ないですけれど……教えられたとおり、「早逃桟橋」へ向かうといたしましょう。			せっかく親切にしていただいたのに、申し訳ないですけれど……教えられたとおり、「早逃桟橋」へ向かうといたしましょう。			御伽草子の島							
こちらが「早逃桟橋」でしょうか？漁師とおぼしきお方が、そちらにいらっしゃいますが……。			こちらが「早逃桟橋」でしょうか？漁師とおぼしきお方が、そちらにいらっしゃいますが……。			御伽草子の島							
何じゃ、わしに用か……？			何じゃ、わしに用か……？			御伽草子の島							
ふむ……オノコロ島の漁師の御伽噺のことを聞きたい？たしか、ワシのひいじいさんから聞いたことがあるのう……。いや、ひいひいじいさんじゃったかな？			ふむ……オノコロ島の漁師の御伽噺のことを聞きたい？たしか、ワシのひいじいさんから聞いたことがあるのう……。いや、ひいひいじいさんじゃったかな？			御伽草子の島							
何と答える？			何と答える？			御伽草子の島							
どっちでもいい！			どっちでもいい！			御伽草子の島							
早く、話のつづきを……			早く、話のつづきを……			御伽草子の島							
ホホ……たしかに、どっちでもいい話じゃったの。何とか、その御伽噺を思いだしてみるとしよう。			ホホ……たしかに、どっちでもいい話じゃったの。何とか、その御伽噺を思いだしてみるとしよう。			御伽草子の島							
すまんすまん……歳を重ねると、話が逸れがちでのう……。何とか、その御伽噺を思いだしてみるとしよう。			すまんすまん……歳を重ねると、話が逸れがちでのう……。何とか、その御伽噺を思いだしてみるとしよう。			御伽草子の島							
ぜひ、お願いいたします……！古い御伽草子で読んだのですが、ぼろぼろで話がわからなくて。			ぜひ、お願いいたします……！古い御伽草子で読んだのですが、ぼろぼろで話がわからなくて。			御伽草子の島							
話はオノコロ島の浜で……とあるヒューラン族の漁師が、魔物に襲われていた、碧甲羅のコウジン族を助けたところから始まる。			話はオノコロ島の浜で……とあるヒューラン族の漁師が、魔物に襲われていた、碧甲羅のコウジン族を助けたところから始まる。			御伽草子の島							
漁師は碧甲羅から不思議な薬をもらい、海の底に案内された。そいつに案内されて、あちこち見聞するうちに、海に住む不思議な一族の宮殿で、お姫様と会ったそうな。			漁師は碧甲羅から不思議な薬をもらい、海の底に案内された。そいつに案内されて、あちこち見聞するうちに、海に住む不思議な一族の宮殿で、お姫様と会ったそうな。			御伽草子の島							
お姫様はちょうど、あんたみたいなベッピンさんじゃったが、実はもう、何年間も眠っていて目を覚まさず……民は困り果てていたそうじゃ。			お姫様はちょうど、あんたみたいなベッピンさんじゃったが、実はもう、何年間も眠っていて目を覚まさず……民は困り果てていたそうじゃ。			御伽草子の島							
ところが、ともにいた碧甲羅が知っていた、先祖伝来の霊薬を作って処方したところ、ぱちりと目を覚ました！			ところが、ともにいた碧甲羅が知っていた、先祖伝来の霊薬を作って処方したところ、ぱちりと目を覚ました！			御伽草子の島							
漁師とお姫様は夫婦(めおと)となり、海の底の宮殿で、いつまでも幸せに暮らした……と、まあ、そんなお話じゃったかな？			漁師とお姫様は夫婦(めおと)となり、海の底の宮殿で、いつまでも幸せに暮らした……と、まあ、そんなお話じゃったかな？			御伽草子の島							
そういう物語だったのですね……とても参考になりました！			そういう物語だったのですね……とても参考になりました！			御伽草子の島							
……まるで紫水宮のことを、もとにしたかのようなお話です。「スイの里」へ戻り、里の伝承と照らしあわせてみましょうか？			……まるで紫水宮のことを、もとにしたかのようなお話です。「スイの里」へ戻り、里の伝承と照らしあわせてみましょうか？			御伽草子の島							
優しいおじいさま。素敵なお話をお聞かせいただき、ありがとうございました……！			優しいおじいさま。素敵なお話をお聞かせいただき、ありがとうございました……！			御伽草子の島							
……優しいおじいさま、か。ずいぶんと育ちのよいお嬢様じゃったのう。			……優しいおじいさま、か。ずいぶんと育ちのよいお嬢様じゃったのう。			御伽草子の島							
わしらがこの島を訪れるのは、もう何代も前の祖先からの話での。海賊衆の古株なら、わしのじいさんあたりと、会ったことがあるかもしれんのう……。			わしらがこの島を訪れるのは、もう何代も前の祖先からの話での。海賊衆の古株なら、わしのじいさんあたりと、会ったことがあるかもしれんのう……。			御伽草子の島							
姫様とともに、無事にオノコロ島から戻られたようですね。何やら、成果があったと伺いましたが……。			姫様とともに、無事にオノコロ島から戻られたようですね。何やら、成果があったと伺いましたが……。			御伽草子の島							
不慣れな地上でしたが、あなた様が話をしてくださったおかげで、みなさま親切にしてくださいました。おかげで物語の中身を知ることができ、感謝の念に堪えません……！			不慣れな地上でしたが、あなた様が話をしてくださったおかげで、みなさま親切にしてくださいました。おかげで物語の中身を知ることができ、感謝の念に堪えません……！			御伽草子の島							
噂では、オノコロ島は乱暴な方も多いと聞いておりましたが……あなた様は、海賊衆の方々にも顔が利くのですね？			噂では、オノコロ島は乱暴な方も多いと聞いておりましたが……あなた様は、海賊衆の方々にも顔が利くのですね？			御伽草子の島							
シオサイもここへ呼んでおります。里には、文献になっていない言い伝えもありますので、心あたりがないか、訊ねてみようかと……。			シオサイもここへ呼んでおります。里には、文献になっていない言い伝えもありますので、心あたりがないか、訊ねてみようかと……。			御伽草子の島							
……なるほど、碧甲羅の力を借り、海の底の宮殿へ。最後は目を覚ましたお姫様と、ヒューラン族の漁師が結ばれる、と。			……なるほど、碧甲羅の力を借り、海の底の宮殿へ。最後は目を覚ましたお姫様と、ヒューラン族の漁師が結ばれる、と。			御伽草子の島							
まるで、紫水宮のことが伝わったかのようなお話でしょう？			まるで、紫水宮のことが伝わったかのようなお話でしょう？			御伽草子の島							
紅玉姫がヒューラン族と夫婦となったという結末は、草子を編んだ方が、つけ加えたものかもしれませんけど……。			紅玉姫がヒューラン族と夫婦となったという結末は、草子を編んだ方が、つけ加えたものかもしれませんけど……。			御伽草子の島							
いえ……まさにそのくだりが肝と考えています。何世代も前のこと、紅玉姫にヒューラン族の婿が迎えられ、たいそう鱗が少ない子どもが生まれたという言い伝えがあるのです。			いえ……まさにそのくだりが肝と考えています。何世代も前のこと、紅玉姫にヒューラン族の婿が迎えられ、たいそう鱗が少ない子どもが生まれたという言い伝えがあるのです。			御伽草子の島							
そうなった経緯については、伝わっていないのですが……。御伽草子が実話にもとづいて書かれたというのは、ありうる話。			そうなった経緯については、伝わっていないのですが……。御伽草子が実話にもとづいて書かれたというのは、ありうる話。			御伽草子の島							
だとすれば、ヒスイを目覚させるための霊薬も……！			だとすれば、ヒスイを目覚させるための霊薬も……！			御伽草子の島							
ええ、そのようなものがあるのかもしれません。			ええ、そのようなものがあるのかもしれません。			御伽草子の島							
……当初、わたくしはそのような智慧など、里の外でも見つからないのでは、と思っておりました。しかし……またしても姫様は、ひとつの希望を招きよせました。			……当初、わたくしはそのような智慧など、里の外でも見つからないのでは、と思っておりました。しかし……またしても姫様は、ひとつの希望を招きよせました。			御伽草子の島							
わたくしは現実を諭すと言いながら、何ひとつしなかったのに、姫様は行動を起こすことで、現実を変えつつある……。			わたくしは現実を諭すと言いながら、何ひとつしなかったのに、姫様は行動を起こすことで、現実を変えつつある……。			御伽草子の島							
……ありがとう、シオサイ。でも私たちが希望に近づけたのは、この方のおかげですよ。			……ありがとう、シオサイ。でも私たちが希望に近づけたのは、この方のおかげですよ。			御伽草子の島							
姫様のおっしゃるとおりです。そして、貴方の随伴があればこそ、次なる地へも、姫様を安心して送りだすことができます。			姫様のおっしゃるとおりです。そして、貴方の随伴があればこそ、次なる地へも、姫様を安心して送りだすことができます。			御伽草子の島							
仮に、御伽噺が実話だとすれば……紅玉姫の目を覚ました霊薬は、碧甲羅の間に伝わるもの。となれば次は、碧のタマミズへ向かわれるのが正道かと。			仮に、御伽噺が実話だとすれば……紅玉姫の目を覚ました霊薬は、碧甲羅の間に伝わるもの。となれば次は、碧のタマミズへ向かわれるのが正道かと。			御伽草子の島							
希望が見えて参りましたね……。参りましょう……「碧のタマミズ」へ！			希望が見えて参りましたね……。参りましょう……「碧のタマミズ」へ！			御伽草子の島							
スイの里のセイザウは、地上から来た者に頼みたいことがあるようだ。			スイの里のセイザウは、地上から来た者に頼みたいことがあるようだ。			陸の珍味							
ベニツノからベニツノの胸肉を入手			ベニツノからベニツノの胸肉を入手			陸の珍味							
セイザウにベニツノの胸肉を渡す			セイザウにベニツノの胸肉を渡す			陸の珍味							
その肌の日焼け……貴様、陸者(おかもの)だな？この里は、すべて自給自足で賄い生活している。余所者に頼む仕事などないぞ？			その肌の日焼け……貴様、陸者(おかもの)だな？この里は、すべて自給自足で賄い生活している。余所者に頼む仕事などないぞ？			陸の珍味							
……いや、そんなこともないか。陸者だからこそ、頼める仕事がひとつだけあった。貴様、鳥を狩るのは、うまいか？			……いや、そんなこともないか。陸者だからこそ、頼める仕事がひとつだけあった。貴様、鳥を狩るのは、うまいか？			陸の珍味							
自信があるというなら、頼みたいことがある。ベッコウ島にいる「ベニツノ」を狩って、「ベニツノの胸肉」を3塊ほど、獲ってきてくれ。			自信があるというなら、頼みたいことがある。ベッコウ島にいる「ベニツノ」を狩って、「ベニツノの胸肉」を3塊ほど、獲ってきてくれ。			陸の珍味							
ベッコウ島にいる「ベニツノ」を狩って、「ベニツノの胸肉」を3塊ほど、獲ってきてくれ。			ベッコウ島にいる「ベニツノ」を狩って、「ベニツノの胸肉」を3塊ほど、獲ってきてくれ。			陸の珍味							
「ベニツノの胸肉」は獲れたか？			「ベニツノの胸肉」は獲れたか？			陸の珍味							
