赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
確かに確かにぃ～！ピッカピカな大カブトだねぇ～。これなら、立派な捧物になるよぉ～。			確かに確かにぃ～！ピッカピカな大カブトだねぇ～。これなら、立派な捧物になるよぉ～。			碧甲羅と八百万の神							
お待たせ！よじれた紅珊瑚、とってきたよ！			お待たせ！よじれた紅珊瑚、とってきたよ！			碧甲羅と八百万の神							
拳大の万年貝も、これでいいかしら？大きさの基準は、私の拳なんだけど……。			拳大の万年貝も、これでいいかしら？大きさの基準は、私の拳なんだけど……。			碧甲羅と八百万の神							
うんうん、どれもバッチリだよぉ～。これを海におわす諸々の神様に捧げてぇ～、アンタたちを海に迎えてくださいって、お願いするんだぁ～。			うんうん、どれもバッチリだよぉ～。これを海におわす諸々の神様に捧げてぇ～、アンタたちを海に迎えてくださいって、お願いするんだぁ～。			碧甲羅と八百万の神							
そしたら水中でも自由自在に過ごせるようになるから、「ヤサカニノマガタマ」探し、頼んだよぉ～！			そしたら水中でも自由自在に過ごせるようになるから、「ヤサカニノマガタマ」探し、頼んだよぉ～！			碧甲羅と八百万の神							
それなんだけど……マガタマって、私たちが持ち運べる大きさなのよね？この広い海から探し出すなんて、可能なの？			それなんだけど……マガタマって、私たちが持ち運べる大きさなのよね？この広い海から探し出すなんて、可能なの？			碧甲羅と八百万の神							
そりゃ、難しいけどさぁ～。探してもらいたい場所は、それなりに絞られてるんだぁ～。			そりゃ、難しいけどさぁ～。探してもらいたい場所は、それなりに絞られてるんだぁ～。			碧甲羅と八百万の神							
この集落の周辺は、すでにオイラたちが捜索ずみ。なもんで、あるとしたら、西側の海底なのさぁ～。			この集落の周辺は、すでにオイラたちが捜索ずみ。なもんで、あるとしたら、西側の海底なのさぁ～。			碧甲羅と八百万の神							
そっちの海に関しては、「スイの里」のヒトが詳しいだろうから、海に出たら、まずそこを目指すといいよぉ～。			そっちの海に関しては、「スイの里」のヒトが詳しいだろうから、海に出たら、まずそこを目指すといいよぉ～。			碧甲羅と八百万の神							
人……？海底に、人の集落があるの！？			人……？海底に、人の集落があるの！？			碧甲羅と八百万の神							
そうだよぉ～、特別なアウラ族のヒトたちがいるんだぁ～。詳しくは、仕切り役の「シオサイ」さんを探して、聞いてみるといいんじゃないかなぁ～。			そうだよぉ～、特別なアウラ族のヒトたちがいるんだぁ～。詳しくは、仕切り役の「シオサイ」さんを探して、聞いてみるといいんじゃないかなぁ～。			碧甲羅と八百万の神							
……ま、そういうことでぇ～！うちの集落にほかの用事があるなら、おまじないをかける前に、すませてきてねぇ～。			……ま、そういうことでぇ～！うちの集落にほかの用事があるなら、おまじないをかける前に、すませてきてねぇ～。			碧甲羅と八百万の神							
筋違砦のヒラセは、冒険者の活躍を見ていたようだ。			筋違砦のヒラセは、冒険者の活躍を見ていたようだ。			打ち寄せる波瀾							
腐りかけた雑魚を入手			腐りかけた雑魚を入手			打ち寄せる波瀾							
指定地点に腐りかけた雑魚を使い猛るトビザメを討伐			指定地点に腐りかけた雑魚を使い猛るトビザメを討伐			打ち寄せる波瀾							
生真面目な海賊を探す			生真面目な海賊を探す			打ち寄せる波瀾							
生真面目な海賊を救助			生真面目な海賊を救助			打ち寄せる波瀾							
アリゼーに報告			アリゼーに報告			打ち寄せる波瀾							
ラショウと話す			ラショウと話す			打ち寄せる波瀾							
お前、さっきからずいぶん活躍してるみたいだな。腕も立つし、信頼できる働きぶり……それを見込んで、俺からも依頼をさせてくれ。			お前、さっきからずいぶん活躍してるみたいだな。腕も立つし、信頼できる働きぶり……それを見込んで、俺からも依頼をさせてくれ。			打ち寄せる波瀾							
頼みたいのは「猛るトビザメ」の駆除さ。奴ら、俺たちがちょーっと目を離した隙に、大事な食料である魚を、持っていっちまうんだ。			頼みたいのは「猛るトビザメ」の駆除さ。奴ら、俺たちがちょーっと目を離した隙に、大事な食料である魚を、持っていっちまうんだ。			打ち寄せる波瀾							
しかも、かなり獰猛でな……。倒すのにも一苦労だから、手を貸してくれると助かる。おびき寄せる餌として、そこの魚を使うといい。			しかも、かなり獰猛でな……。倒すのにも一苦労だから、手を貸してくれると助かる。おびき寄せる餌として、そこの魚を使うといい。			打ち寄せる波瀾							
何匹か駆除したら、東の浜辺で同じ任務にあたっている、うちの仲間に報告してくれ。よろしく頼んだぞ！			何匹か駆除したら、東の浜辺で同じ任務にあたっている、うちの仲間に報告してくれ。よろしく頼んだぞ！			打ち寄せる波瀾							
「猛るトビザメ」の駆除にあたってる仲間は、2人……片方は、いかにも生真面目そうな顔をしてやがるから、終わったら探してみてくれ。			「猛るトビザメ」の駆除にあたってる仲間は、2人……片方は、いかにも生真面目そうな顔をしてやがるから、終わったら探してみてくれ。			打ち寄せる波瀾							
邪魔が入ったかァー！			邪魔が入ったかァー！			打ち寄せる波瀾							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			打ち寄せる波瀾							
あ、ああ……助かった……！すみません、突然コウジン族に襲われて……！			あ、ああ……助かった……！すみません、突然コウジン族に襲われて……！			打ち寄せる波瀾							
あの、オレのほかに、誰か助けませんでしたか！？一緒にいた仲間が、先に連れていかれて……！			あの、オレのほかに、誰か助けませんでしたか！？一緒にいた仲間が、先に連れていかれて……！			打ち寄せる波瀾							
そう、ですか……。さっきのコウジン族は、オレたちに出身を聞いたんです。ドマだと答えたら、ヨツユ様の命令で連行すると……。			そう、ですか……。さっきのコウジン族は、オレたちに出身を聞いたんです。ドマだと答えたら、ヨツユ様の命令で連行すると……。			打ち寄せる波瀾							
クソッ、あの女、ドマ人を根絶やしにする気か……ッ！？オレ、お頭に報告しに戻ります。助けてくださって、本当にありがとうございました！			クソッ、あの女、ドマ人を根絶やしにする気か……ッ！？オレ、お頭に報告しに戻ります。助けてくださって、本当にありがとうございました！			打ち寄せる波瀾							
あっ、そっちも終わった？……って、深刻な顔だね、何かあったの？			あっ、そっちも終わった？……って、深刻な顔だね、何かあったの？			打ち寄せる波瀾							
ああ、Forename。そちらもひと仕事してきたのかしら？			ああ、Forename。そちらもひと仕事してきたのかしら？			打ち寄せる波瀾							
こっちは、暴れまわってた海獣を討伐したわ。リセは、喧嘩をふっかけてきた海賊衆の力自慢を、華麗に吹っ飛ばしてみせたみたい。			こっちは、暴れまわってた海獣を討伐したわ。リセは、喧嘩をふっかけてきた海賊衆の力自慢を、華麗に吹っ飛ばしてみせたみたい。			打ち寄せる波瀾							
帝国と戦う力があると証明するには、まだ足りないかもしれないけれど、まずは一目置かれ……って、何かあったの？			帝国と戦う力があると証明するには、まだ足りないかもしれないけれど、まずは一目置かれ……って、何かあったの？			打ち寄せる波瀾							
コウジン族が、ドマ出身の海賊衆を拐った……！？あのヨツユって奴、どれだけドマ人を虐げたいのよ……！			コウジン族が、ドマ出身の海賊衆を拐った……！？あのヨツユって奴、どれだけドマ人を虐げたいのよ……！			打ち寄せる波瀾							
私たちも、急いでラショウのところに向かいましょう。そういう状況なら、彼もこちらの交渉に応じる…………			私たちも、急いでラショウのところに向かいましょう。そういう状況なら、彼もこちらの交渉に応じる…………			打ち寄せる波瀾							
いえ、違うわね。私たちと彼らで助けあえるかも、よ。……行きましょう！			いえ、違うわね。私たちと彼らで助けあえるかも、よ。……行きましょう！			打ち寄せる波瀾							
海賊衆は、帝国からの勧告に従ってたのに……代理総督ヨツユ、何を考えてるの……！？			海賊衆は、帝国からの勧告に従ってたのに……代理総督ヨツユ、何を考えてるの……！？			打ち寄せる波瀾							
ラショウたちのところに行きましょう！			ラショウたちのところに行きましょう！			打ち寄せる波瀾							
……ったく、やってくれたもんだ。			……ったく、やってくれたもんだ。			打ち寄せる波瀾							
碧のタマミズのツヅラは、真剣な眼差しで甲羅磨きをみつめている。			碧のタマミズのツヅラは、真剣な眼差しで甲羅磨きをみつめている。			魂は甲羅に宿る							
若いコウジン族を探す			若いコウジン族を探す			魂は甲羅に宿る							
木綿の手ぬぐいを入手			木綿の手ぬぐいを入手			魂は甲羅に宿る							
若いコウジン族に木綿の手ぬぐいを渡す			若いコウジン族に木綿の手ぬぐいを渡す			魂は甲羅に宿る							
ツヅラと話す			ツヅラと話す			魂は甲羅に宿る							
アンタ、何見てるんだぁ～。そんなに見るんなら、見物料をもらわにゃなぁ～。なぁに、ちょっと頼まれごとをしてもらうだけだよぉ～。			アンタ、何見てるんだぁ～。そんなに見るんなら、見物料をもらわにゃなぁ～。なぁに、ちょっと頼まれごとをしてもらうだけだよぉ～。			魂は甲羅に宿る							
オラの妹が、甲羅磨きに使う「木綿の手ぬぐい」を、洗濯しにいったんだが、どうにも帰りが遅くてなぁ～。			オラの妹が、甲羅磨きに使う「木綿の手ぬぐい」を、洗濯しにいったんだが、どうにも帰りが遅くてなぁ～。			魂は甲羅に宿る							
東の入り江のあたりにいるはずだから、ちょいと行って、様子を見てきてくれんかぁ～？			東の入り江のあたりにいるはずだから、ちょいと行って、様子を見てきてくれんかぁ～？			魂は甲羅に宿る							
オラの妹が、東の入り江にいったんだが、どうにも帰りが遅くてなぁ～。ちょいと行って、様子を見てきてくれんかぁ～？			オラの妹が、東の入り江にいったんだが、どうにも帰りが遅くてなぁ～。ちょいと行って、様子を見てきてくれんかぁ～？			魂は甲羅に宿る							
誰だ、お前さんはぁ～？悪いけど、相手してるヒマないんだぁ～！大事な手ぬぐいが、風で飛ばされちまったんだぁ～！			誰だ、お前さんはぁ～？悪いけど、相手してるヒマないんだぁ～！大事な手ぬぐいが、風で飛ばされちまったんだぁ～！			魂は甲羅に宿る							
なんだ、お前さん、姉さんに言われてきてくれたのかぁ～？だったら、「木綿の手ぬぐい」探しを手伝ってくれないかぁ～？			なんだ、お前さん、姉さんに言われてきてくれたのかぁ～？だったら、「木綿の手ぬぐい」探しを手伝ってくれないかぁ～？			魂は甲羅に宿る							
海ん中はウチがやるから、海岸沿いを頼むよぉ～。終わったら、ここで集まろうなぁ～。			海ん中はウチがやるから、海岸沿いを頼むよぉ～。終わったら、ここで集まろうなぁ～。			魂は甲羅に宿る							
どうだ、見つかったかぁ～？			どうだ、見つかったかぁ～？			魂は甲羅に宿る							
ひぃ……ふぅ、みぃ……っとぉ～。よかったぁ、全部あったよぉ～。一枚でもなくしたら、姉さんに大目玉くらうとこだったぁ～。			ひぃ……ふぅ、みぃ……っとぉ～。よかったぁ、全部あったよぉ～。一枚でもなくしたら、姉さんに大目玉くらうとこだったぁ～。			魂は甲羅に宿る							
タマミズの中はお日様の光が弱いから、手ぬぐいをフワフワにするには天日干しが一番なんだぁ～。……ビチョビチョで、台無しだけどもよぉ～。			タマミズの中はお日様の光が弱いから、手ぬぐいをフワフワにするには天日干しが一番なんだぁ～。……ビチョビチョで、台無しだけどもよぉ～。			魂は甲羅に宿る							
また乾かせば、なんとかなるさぁ～。お前さん、ありがとうなぁ～。			また乾かせば、なんとかなるさぁ～。お前さん、ありがとうなぁ～。			魂は甲羅に宿る							
妹から話を聞いたよぉ～。大事な手ぬぐい探しを手伝ってくれて、ありがとなぁ～。お礼に、もっと近くに寄って、見てもいいぞぉ～。			妹から話を聞いたよぉ～。大事な手ぬぐい探しを手伝ってくれて、ありがとなぁ～。お礼に、もっと近くに寄って、見てもいいぞぉ～。			魂は甲羅に宿る							
この甲羅はなぁ、長い、長い時間を修行に費やして、仙人になった、偉大なるご先祖さまのもんなんだぁ～。			この甲羅はなぁ、長い、長い時間を修行に費やして、仙人になった、偉大なるご先祖さまのもんなんだぁ～。			魂は甲羅に宿る							
仙人さまの魂は、亡くなってからも、しばらく甲羅に宿ってるんだぁ～。その甲羅を門に掲げると、集落を守ってくれるのさぁ～。			仙人さまの魂は、亡くなってからも、しばらく甲羅に宿ってるんだぁ～。その甲羅を門に掲げると、集落を守ってくれるのさぁ～。			魂は甲羅に宿る							
だがなぁ、そこからさらに、長い、長い時間が経つと、いったい、どうなるか知ってるかぁ～？仙人さまの魂はなぁ、神さまになるんだぁ～。			だがなぁ、そこからさらに、長い、長い時間が経つと、いったい、どうなるか知ってるかぁ～？仙人さまの魂はなぁ、神さまになるんだぁ～。			魂は甲羅に宿る							
だからオラは、こうやってしっかり磨いて、護り手になってくださった、お礼をしてるんだぁ～。			だからオラは、こうやってしっかり磨いて、護り手になってくださった、お礼をしてるんだぁ～。			魂は甲羅に宿る							
ご先祖さまが、お前さんにもご加護をくださるよう、しっかり磨いて、頼んでおいてやるよぉ～。ありがとなぁ～。			ご先祖さまが、お前さんにもご加護をくださるよう、しっかり磨いて、頼んでおいてやるよぉ～。ありがとなぁ～。			魂は甲羅に宿る							
筋違砦のラショウは、話を続ける気があるようだ。			筋違砦のラショウは、話を続ける気があるようだ。			ああ美しき玉水							
リセを探す			リセを探す			ああ美しき玉水							
ベッコウ島でアリゼーと合流			ベッコウ島でアリゼーと合流			ああ美しき玉水							
碧甲羅の集落を探す			碧甲羅の集落を探す			ああ美しき玉水							
アリゼーと話す			アリゼーと話す			ああ美しき玉水							
任せてくれて、ありがとう。啖呵を切ったんだから、あとは実行あるのみ……よね。			任せてくれて、ありがとう。啖呵を切ったんだから、あとは実行あるのみ……よね。			ああ美しき玉水							
口の立つ嬢ちゃんたちだぜ、まったく……。お前も、よっぽど信頼に足る活躍をしてきたんだな。			口の立つ嬢ちゃんたちだぜ、まったく……。お前も、よっぽど信頼に足る活躍をしてきたんだな。			ああ美しき玉水							
お前たちだけで、コウジン族を引き受ける……そちらがそう提示したからには、海賊衆は観客に徹するぞ。			お前たちだけで、コウジン族を引き受ける……そちらがそう提示したからには、海賊衆は観客に徹するぞ。			ああ美しき玉水							
ただ、うちの者を世話してくれた礼はしておくべきだろう。……コウジン族について、ひとつだけ教えておく。			ただ、うちの者を世話してくれた礼はしておくべきだろう。……コウジン族について、ひとつだけ教えておく。			ああ美しき玉水							
帝国の軍門に降っているのは、コウジン族の中でも「紅甲羅」と呼ばれる一派だ。			帝国の軍門に降っているのは、コウジン族の中でも「紅甲羅」と呼ばれる一派だ。			ああ美しき玉水							
それに反発し、帝国以外のヒトと交易を続けている、「碧甲羅」という一派を訪ねれば、策のひとつも得られるかもしれない。			それに反発し、帝国以外のヒトと交易を続けている、「碧甲羅」という一派を訪ねれば、策のひとつも得られるかもしれない。			ああ美しき玉水							
「碧甲羅」の集落へは、南東の「ベッコウ島」にある洞窟から行くことができる。……あとは、お前たちの出方次第だ。			「碧甲羅」の集落へは、南東の「ベッコウ島」にある洞窟から行くことができる。……あとは、お前たちの出方次第だ。			ああ美しき玉水							
ご丁寧に、どうも。私たちの活躍を見逃さないよう、あなたたちも、コウジン族の動向に注目しておいてよ？			ご丁寧に、どうも。私たちの活躍を見逃さないよう、あなたたちも、コウジン族の動向に注目しておいてよ？			ああ美しき玉水							
じゃあ、さっそく「ベッコウ島」に向かいましょう。……って、いつのまにかリセがいないわね。探して声をかけないと……。			じゃあ、さっそく「ベッコウ島」に向かいましょう。……って、いつのまにかリセがいないわね。探して声をかけないと……。			ああ美しき玉水							
お手並み拝見だ。コウジン族の動向、しかと見ておこう。			お手並み拝見だ。コウジン族の動向、しかと見ておこう。			ああ美しき玉水							
あれ……Forename……？どうしてこんなところに……。			あれ……Forename……？どうしてこんなところに……。			ああ美しき玉水							
……って、ほっつき歩いてたのはアタシの方か。考えごとしてたら、ここまで来ちゃったみたい。慣れないことは、するものじゃないね……。			……って、ほっつき歩いてたのはアタシの方か。考えごとしてたら、ここまで来ちゃったみたい。慣れないことは、するものじゃないね……。			ああ美しき玉水							
もしかして、私が勝手に大見得きったから、不安にさせちゃったかしら。			もしかして、私が勝手に大見得きったから、不安にさせちゃったかしら。			ああ美しき玉水							
ち、ちがうよ……！むしろね、咄嗟にあんなこと言えてすごいなって。それで……アタシ、もっと頑張らなくちゃって……。			ち、ちがうよ……！むしろね、咄嗟にあんなこと言えてすごいなって。それで……アタシ、もっと頑張らなくちゃって……。			ああ美しき玉水							
交渉ひとつ、自分じゃできない……。姉さんの真似をしてたけど、中身は全然だ……。			交渉ひとつ、自分じゃできない……。姉さんの真似をしてたけど、中身は全然だ……。			ああ美しき玉水							
ホント、こんなので……みんなを助けられるのかな……。こんなに遠くまで、来た……けど…………。			ホント、こんなので……みんなを助けられるのかな……。こんなに遠くまで、来た……けど…………。			ああ美しき玉水							
リセ、あなた…………。			リセ、あなた…………。			ああ美しき玉水							
って、ちがうちがう！そういうの、ナシって決めてるんだから！			って、ちがうちがう！そういうの、ナシって決めてるんだから！			ああ美しき玉水							
次いこう、次ッ！コウジン族を大人しくさせて、海賊衆のみんなを仲間にする！それで、どこに行くんだったっけ！？			次いこう、次ッ！コウジン族を大人しくさせて、海賊衆のみんなを仲間にする！それで、どこに行くんだったっけ！？			ああ美しき玉水							
…………あの、アリゼー？			…………あの、アリゼー？			ああ美しき玉水							
……最初にギラバニアへ入る前にね。黒渦団に引き取られてるコボルド族の友人に面会したくって、私、リムサ・ロミンサに行ってきたのよ。			……最初にギラバニアへ入る前にね。黒渦団に引き取られてるコボルド族の友人に面会したくって、私、リムサ・ロミンサに行ってきたのよ。			ああ美しき玉水							
って、それ自体は、今関係ないんだけど……。ともかく、その帰りに、タルトのおいしそうな店があって……。まあ、私はタルトよりクッキー派なんだけど……。			って、それ自体は、今関係ないんだけど……。ともかく、その帰りに、タルトのおいしそうな店があって……。まあ、私はタルトよりクッキー派なんだけど……。			ああ美しき玉水							
………………全部おわって落ち着いたら、そこへ行きましょう。Forenameも、もちろん強制連行だから。			………………全部おわって落ち着いたら、そこへ行きましょう。Forenameも、もちろん強制連行だから。			ああ美しき玉水							
ヤ・シュトラも誘っていい？元気になったら、快気祝いをしなくちゃだし！			ヤ・シュトラも誘っていい？元気になったら、快気祝いをしなくちゃだし！			ああ美しき玉水							
……そうと決まれば、進みましょうか。目指すは「ベッコウ島」、碧甲羅の集落よ！			……そうと決まれば、進みましょうか。目指すは「ベッコウ島」、碧甲羅の集落よ！			ああ美しき玉水							
碧甲羅と、紅甲羅か……。そういえば、ソロバンもそんな話をしていたような……？			碧甲羅と、紅甲羅か……。そういえば、ソロバンもそんな話をしていたような……？			ああ美しき玉水							
ここが、ベッコウ島でいいのよね。同じような島が多くて、わかりにくいったら……。			ここが、ベッコウ島でいいのよね。同じような島が多くて、わかりにくいったら……。			ああ美しき玉水							
碧甲羅の集落へは、洞窟で繋がっていると言われたけど……もう少し内側を探してみましょうか。			碧甲羅の集落へは、洞窟で繋がっていると言われたけど……もう少し内側を探してみましょうか。			ああ美しき玉水							
ずいぶん深い場所に繋がってるみたいだけど……これが探してた洞窟でいいのかな？			ずいぶん深い場所に繋がってるみたいだけど……これが探してた洞窟でいいのかな？			ああ美しき玉水							
思い出した……！出会ったときに、ソロバンは碧甲羅だって名乗ってたよね。			思い出した……！出会ったときに、ソロバンは碧甲羅だって名乗ってたよね。			ああ美しき玉水							
オイラ、あんたたちを向こう側に渡さなかったっけぇ～？あれれれれぇ～？			オイラ、あんたたちを向こう側に渡さなかったっけぇ～？あれれれれぇ～？			ああ美しき玉水							
まさか、ここでも知人に会うなんてね。だけど、少しホッとしたわ……。			まさか、ここでも知人に会うなんてね。だけど、少しホッとしたわ……。			ああ美しき玉水							
さっそくソロバンに事情を伝えて、紅甲羅を押さえこむ方法がないか、相談してみましょう。			さっそくソロバンに事情を伝えて、紅甲羅を押さえこむ方法がないか、相談してみましょう。			ああ美しき玉水							
碧のタマミズの細身のコウジン族は、軽やかな動きのお客人に教えを請いたいようだ。			碧のタマミズの細身のコウジン族は、軽やかな動きのお客人に教えを請いたいようだ。			剣に向かって跳べ！							
細身のコウジン族と話す			細身のコウジン族と話す			剣に向かって跳べ！							
印に向かう			印に向かう			剣に向かって跳べ！							
印に再度向かう			印に再度向かう			剣に向かって跳べ！							
細身のコウジン族と話す			細身のコウジン族と話す			剣に向かって跳べ！							
印に向かう			印に向かう			剣に向かって跳べ！							
印に再度向かう			印に再度向かう			剣に向かって跳べ！							
細身のコウジン族と話す			細身のコウジン族と話す			剣に向かって跳べ！							
あぁ、やっぱりオラには無理かなぁ～。でもなぁ～、諦めたくねえなぁ～。			あぁ、やっぱりオラには無理かなぁ～。でもなぁ～、諦めたくねえなぁ～。			剣に向かって跳べ！							
うぅむ……お客人、身体は細っこいが、その分だけ、軽やかな動きをするもんだなぁ～。もしかして、オラに足らん部分を、教えてもらえるかもしれん。			うぅむ……お客人、身体は細っこいが、その分だけ、軽やかな動きをするもんだなぁ～。もしかして、オラに足らん部分を、教えてもらえるかもしれん。			剣に向かって跳べ！							
お客人よぉ～、この岩山のてっぺんに刺さってる剣が見えるかぁ～？オラはなぁ、夢のために、あれを取らなけりゃならんのだぁ～。			お客人よぉ～、この岩山のてっぺんに刺さってる剣が見えるかぁ～？オラはなぁ、夢のために、あれを取らなけりゃならんのだぁ～。			剣に向かって跳べ！							
地上の洞窟や廃墟を巡って、宝物を探して回りたくてなぁ～。だが、そのためには、あの剣を取る試練を達成して、長に一人前だと証明しなきゃなんねぇんだぁ～。			地上の洞窟や廃墟を巡って、宝物を探して回りたくてなぁ～。だが、そのためには、あの剣を取る試練を達成して、長に一人前だと証明しなきゃなんねぇんだぁ～。			剣に向かって跳べ！							
仲間からコツを聞いてるんだが、上手いことマネできなくてよぉ～。			仲間からコツを聞いてるんだが、上手いことマネできなくてよぉ～。			剣に向かって跳べ！							
お客人は、飛び魚のように身軽そうだし、もし登れるなら、お手本を見せてもらえないかぁ～？上で待ってるから、よかったら来てくれよぉ～。			お客人は、飛び魚のように身軽そうだし、もし登れるなら、お手本を見せてもらえないかぁ～？上で待ってるから、よかったら来てくれよぉ～。			剣に向かって跳べ！							
おぉ～、よく来てくれたなぁ～。まずは、そこの、地面が少し出っぱってるところあるだろぉ～？そこから、下に見える岩山に飛び移ってみてほしいんだぁ～。			おぉ～、よく来てくれたなぁ～。まずは、そこの、地面が少し出っぱってるところあるだろぉ～？そこから、下に見える岩山に飛び移ってみてほしいんだぁ～。			剣に向かって跳べ！							
試練は、自らの力で乗り越えなければ、手本になりません。マウントに搭乗したり、ルートから外れた場合は、最初からやり直しとなります。			試練は、自らの力で乗り越えなければ、手本になりません。マウントに搭乗したり、ルートから外れた場合は、最初からやり直しとなります。			剣に向かって跳べ！							
岩山を飛び移って、剣がささっているところまで行く、お手本を見せてくれよぉ～。			岩山を飛び移って、剣がささっているところまで行く、お手本を見せてくれよぉ～。			剣に向かって跳べ！							
(-細身のコウジン族-)そこまでは、オラも行けるんだぁ～。だが、そこからどう跳んだらいいのか、困ってるんだなぁ～。ちんたら動いてると、どうしても届かないんだぁ～。			(-細身のコウジン族-)そこまでは、オラも行けるんだぁ～。だが、そこからどう跳んだらいいのか、困ってるんだなぁ～。ちんたら動いてると、どうしても届かないんだぁ～。			剣に向かって跳べ！							
(-細身のコウジン族-)ふむふむ、なるほどなぁ～。そんな行き方があったのかぁ～。			(-細身のコウジン族-)ふむふむ、なるほどなぁ～。そんな行き方があったのかぁ～。			剣に向かって跳べ！							
いやぁ、大したもんだぁ～。あんな狭い足場で、上手いこと走るもんだなぁ～。			いやぁ、大したもんだぁ～。あんな狭い足場で、上手いこと走るもんだなぁ～。			剣に向かって跳べ！							
オラ、わかったかもしれんぞぉ～。足腰を鍛えるだけじゃなく、そこから跳ぶための、つま先の力も、鍛えればいいんだぁ～。			オラ、わかったかもしれんぞぉ～。足腰を鍛えるだけじゃなく、そこから跳ぶための、つま先の力も、鍛えればいいんだぁ～。			剣に向かって跳べ！							
お客人のおかげで、なんとかやれる気がしてきたぞぉ～。本当に、ありがとうなぁ～。さぁて、さっそく走って、鍛えまくるぞぉ～。			お客人のおかげで、なんとかやれる気がしてきたぞぉ～。本当に、ありがとうなぁ～。さぁて、さっそく走って、鍛えまくるぞぉ～。			剣に向かって跳べ！							
碧のタマミズのカイオケは、お客人に頼みたいことがあるようだ。			碧のタマミズのカイオケは、お客人に頼みたいことがあるようだ。			鍋の主役							
指定地点に腐りかけの魚を使い現れた特大のサンゴセオイからサンゴセオイの脚を入手			指定地点に腐りかけの魚を使い現れた特大のサンゴセオイからサンゴセオイの脚を入手			鍋の主役							
カイオケにサンゴセオイの脚を渡す			カイオケにサンゴセオイの脚を渡す			鍋の主役							
アンタが、外から来たっていう、お客人かぁ～？客に頼むんは気が引けるが、どうしても手が離せなくてなぁ～。ひとつ、頼みを聞いてもらえんかのぉ～？			アンタが、外から来たっていう、お客人かぁ～？客に頼むんは気が引けるが、どうしても手が離せなくてなぁ～。ひとつ、頼みを聞いてもらえんかのぉ～？			鍋の主役							
うちらの里では、年に数回ご馳走を持ち寄って、宴会するんだぁ～。次は、オイラが取り仕切ることになってなぁ～。準備に追われて、食材を取りに行く時間がないんだぁ～。			うちらの里では、年に数回ご馳走を持ち寄って、宴会するんだぁ～。次は、オイラが取り仕切ることになってなぁ～。準備に追われて、食材を取りに行く時間がないんだぁ～。			鍋の主役							
ほかの参加者は、すでにやる気いっぱいみたいでなぁ～。オイラの分を抜かして、ほかは全部揃っちまったんだぁ～。でも、肝心の主役の具材がなきゃ、鍋の持ち腐れよぉ～。			ほかの参加者は、すでにやる気いっぱいみたいでなぁ～。オイラの分を抜かして、ほかは全部揃っちまったんだぁ～。でも、肝心の主役の具材がなきゃ、鍋の持ち腐れよぉ～。			鍋の主役							
だから、「特大のサンゴセオイ」から、「サンゴセオイの脚」を、2つばかり取ってきてくれんかのぉ～？			だから、「特大のサンゴセオイ」から、「サンゴセオイの脚」を、2つばかり取ってきてくれんかのぉ～？			鍋の主役							
特大のサンゴセオイは、沖之岩の洞窟の中か浜辺によくいるぞぉ～。あのあたりで、この「腐りかけの魚」を使えば、おびき寄せられるから、頼んだぞぉ～。			特大のサンゴセオイは、沖之岩の洞窟の中か浜辺によくいるぞぉ～。あのあたりで、この「腐りかけの魚」を使えば、おびき寄せられるから、頼んだぞぉ～。			鍋の主役							
沖之岩の洞窟の中か浜辺で、特大のサンゴセオイから、「サンゴセオイの脚」を、2つばかり取ってきてくれぇ～。「腐りかけの魚」を使えば、おびき寄せられるぞぉ～。			沖之岩の洞窟の中か浜辺で、特大のサンゴセオイから、「サンゴセオイの脚」を、2つばかり取ってきてくれぇ～。「腐りかけの魚」を使えば、おびき寄せられるぞぉ～。			鍋の主役							
サンゴセオイの脚は、獲ってきてくれたかぁ～？			サンゴセオイの脚は、獲ってきてくれたかぁ～？			鍋の主役							
おぉ～、でかいのに身が引き締まって、なんともうまそうだなぁ～。匂いに敏感な奴ほど、エサを食べて、大きく旨く育つんだぁ～。こいつを殻ごと煮れば、いいダシがとれるぞぉ～。			おぉ～、でかいのに身が引き締まって、なんともうまそうだなぁ～。匂いに敏感な奴ほど、エサを食べて、大きく旨く育つんだぁ～。こいつを殻ごと煮れば、いいダシがとれるぞぉ～。			鍋の主役							
うちらの宴会はなぁ、ただ交流のための飲み食いじゃなくて、持ち寄った食材の中から、いっとう美味いモンを選ぶのさぁ～。それで、次の交易の主役を、決めるんだぞぉ～。			うちらの宴会はなぁ、ただ交流のための飲み食いじゃなくて、持ち寄った食材の中から、いっとう美味いモンを選ぶのさぁ～。それで、次の交易の主役を、決めるんだぞぉ～。			鍋の主役							
こんなでかいサンゴセオイの脚なら、次の主役は、決まったようなもんだけどなぁ～。ありがとうなぁ、お客人さんよぉ～。			こんなでかいサンゴセオイの脚なら、次の主役は、決まったようなもんだけどなぁ～。ありがとうなぁ、お客人さんよぉ～。			鍋の主役							
碧のタマミズのケフサンは、旅人を探しているようだ。			碧のタマミズのケフサンは、旅人を探しているようだ。			大盗賊のお宝							
チャットの「Say」モードで『誰かいるのか』を含む言葉を入力し指定地点周辺で噂の真相を突きとめる			チャットの「Say」モードで『誰かいるのか』を含む言葉を入力し指定地点周辺で噂の真相を突きとめる			大盗賊のお宝							
